ParlaMint-NL_2018-10-30-eerstekamer-5.u1	I shall reopen the sitting and the debate on the General Political Reviews.
ParlaMint-NL_2018-10-30-eerstekamer-5.u90	Thank you, Mr. Chairman. It's our economical weather. That's something to be grateful for after difficult years. However, the message the cabinet gave with Princess Day was: The Netherlands is doing well, but counting on dark clouds on the horizon. The international situation is not calm at all; escalating conflicts can cause serious disturbances. Those who look through the lens of budget and Millionnota therefore see a double picture: satisfaction and uncertainty. In these General Political Reviews it is good to consider the broader context. The Netherlands is more than an economy that has to run. There are major challenges in the areas of climate change, digitalisation, the development of social and human capital. In the international context, the Netherlands is therefore one of the countries that is committed to a broader concept of prosperity and to the 17 sustainable development goals accepted by the UN. That is a good thing that has the support of this Chamber. In the meantime, we are working on a Monitor Brede Welvaart at the planning agencies, which will report annually, partly at the intercession of members Ester and Sent, sir and ma'am. The Council of State also puts this broad concept of prosperity at the heart of its opinion on the state budget. He asks whether our society is strong enough to ensure our prosperity in the future. The council points to political and social fragmentation, tightening dividing lines between higher and lower educated people in society and a new compartmentalisation, as it were, when "bubbles of like-minded people" arise. The council challenges the cabinet "to do more than what the plans show" and "not to shy away from new perspectives." In doing so, the Council wonders whether the public sector instruments have been adapted to the new challenges. Mr. Chairman. The cabinet takes this advice as support for what it already does, but at the same time remains on the level, for example when it comes to the concrete recommendation to use the Millions Note annually for a forward-looking reflection on bringing those sustainable objectives closer. My group invites the Prime Minister to respond to that opinion from the Council of State, which was not in the cabinet response so far, and to the political and social challenges that are identified therein. How is the cabinet implementing the international mission we embraced to achieve the sustainable development goals? Does this implementation, which is often intersectoral and also international, require a different approach from the government or at least those "new perspectives"? Can the WRR be asked to reflect on the design of government policy in the light of these sustainable development goals? Many citizens are concerned about society and the capacity of government to act. One of the drivers of this is the lack of enforcement of laws and regulations, visible in many areas. I want to make a point of this during these General Political Reviews. Too often there are examples of laxity or inattention, with the NVWA, the UWV or other services. Since the 1980s, the government has set or reduced core tasks such as enforcement and remote surveillance. We now have to regret that in many ways. There is a culture in which citizens and businesses can look up the loopholes of the law and go ahead. This does not do any good for confidence in the public sector or in our political system, nor for a reliable and high-quality execution of many of the work. In a complex society with many large and small interests it is necessary to regulate and also to maintain it sharply. But it is precisely the services that need to do that that have been reformed, cut back and the workload is high. State inspections have been reduced in numbers and many personnel have been discharged. There had to be a compact state service and the burden of supervision for citizens and businesses had to be as minimal as possible. But what good will it do for society if capacity is not sufficient, if much is overlooked or overlooked, and if random checks encourage the normalization of law violations? As far as my group is concerned, it is time for a different approach and a rethinking of a new supervisory vision that solves current enforcement deficits. What initiatives can the government expect to take in this respect? The previous cabinet had a state-wide approach to the broad supervisory framework, but we have not actually heard this cabinet about it so far. Mr. Chairman. The EESC welcomes the positive development of macroeconomic figures, but today citizens are also looking at other screens: a second, a third or another screen. On the second screen there is an unprecedented attack on public administration and the rule of law. I am referring to the underworld of drug crime, which is able to penetrate society in many places. Housing districts are literally poisoned, liquidations and threats of violence are part of daily news, strong mayors and civil servants are threatened. Dutch illegal drug laboratories would have a turnover of EUR 19 billion per year, with the production of synthetic drugs alone. In Eindhoven, there is a greater amount of money involved in the drug chain than is shown in the municipality's budget. The sad thing is that little progress is being made in the fight against this. "The fight against drugs is on a dead end," said Amsterdam Commissioner Aalbersberg at the beginning of this year. The link between this out-of-control crime and our drug-tolerant cultural environment must be mentioned. There could not have been such a huge production system if we did not see the use of drugs as more or less innocent part of our lifestyle and entertainment industry. It hasn't been for a long time. Doctors are ringing the bell. People take pills without knowing what's in them. Emergency services in large cities receive serious drug consumption cases every day. At Erasmus University, half of all students use drugs, especially synthetic drugs, according to their own research. The principal was shy about it. What are pious words about alcohol and smoking prevention if we allow this to happen? "We run the markets ourselves," said the Brabant Commissioner of the King Van de Donk recently with reference to festivals where a pill can be bought for a number of euros. We shouldn't think it's normal if drugging is supposed to cheer up our parties and if we let young people fall into a culture of self-harm. Mr. Chairman. The undermining of the rule of law and public order also undermines confidence in our political system. The government is there to maintain security and public order. If this does not happen or is insufficient, the capacity of the government is questioned and its authority is at stake. This has already been mentioned here by colleagues. Images of mayors on a burgundy that receive the moral support of citizens are both heartwarming, but also intriguing and un-Dutch. Three years ago, I raised the same issue in the General Political Reviews. In the meantime, the phenomena of persistent drug crime are even more worrying and many authorities are more concerned. There is a task force and occasionally another EUR 100 million is added. The coalition agreement mentions a good commitment, but what counts is the result. How else? I would like to receive a precise response from the Prime Minister. Mr. Chairman. There is a fear that our democracy as such is in danger of becoming a reality. This theme has also been addressed by Mr Engels and is the next screen we are looking at together. Social fragmentation also manifests itself in decreasing political confidence or even in political unwillingness. There are now serious analyses about the "decommissioning of democracy" or how it can "end." The emergence of a new type of leader, a symbol of which is President Trump and others, is the cause of this fear, but also expressions of intolerance in society. What the first analyses make clear is that it is not so much the form of democracy that is being affected as the culture that has to bear it. I suspect that the ways of fellow English and mine are separated here. That is the culture based on values such as charity, care, mercy and respect. That is the culture that upholds justice as a reflection of deeper views on justice and human dignity. I know that in democracy, the truth perspective of one cannot prevail over the other, but that does not mean that we should not talk about it. Parliament is the place to conduct the dialogue on what is really right and right. Otherwise it becomes true what Johan Huizinga once wrote about a society in decline, where the engines can still run and the flags flapping, but where the spirit has departed. Mr. Chairman. These are my last general political considerations as group chairman in this House. I have always wanted to stand here as a representative of a party who is convinced that the human and world view of Christian faith matters in a political system. In fact, I am convinced that vital values of our democracy are fed, among other things, by Christianity. Our democracy has moral anchor points without which it cannot exist. The recognition of freedom of faith and conscience, which recognises the personal sphere of freedom and responsibility, has laid the foundations for many other constitutional freedoms. Those rights are rooted in a culture of respect, acceptance, tolerance, benevolence. They build a society in which it is about making people come to their senses as individuals and in their relationships. These moral anchor points are under pressure as a culture grows of intolerance, threat and contempt, wishing others away. Mr. Chairman. With me, many see the social polarization, verbal violence, the lack of respect and benevolence with sad eyes. It brings our society and democratic rule of law into uncertainty. I hope for a strong culture of faith, a Christian culture of faith, which continues to nurture our public values. I regard this culture as the spiritual capital of our civilization and also of our political system. If the day comes when this capital has been used up and the spirit has finally disappeared, democracy is also in grave danger. Mr. Chairman. I call on the Cabinet to be a genuine guardian of our rule of law and democracy and to speak boldly about what morale counts in our society. I wish you much wisdom and God's blessing in the performance of your task.
ParlaMint-NL_2018-10-30-eerstekamer-5.u91	I can go a long way with the values that Mr Kuiper has now set. I just named them, too. So basically, we can find each other a long way in there. But I have also tested government policy on the basis of these values, including the socio-economic policy pursued by this cabinet. How do you judge the government's policy of guaranteeing, standing firm for those values?
ParlaMint-NL_2018-10-30-eerstekamer-5.u92	I have now spoken about these values in relation to keeping the rule of law and democracy healthy. That starts with respect for the other and recognizing that the other has its own place, that it has its own position and that it has its own responsibility. You could translate that even deeper as a form of charity. I see this as one of the core values on which our rule of law and democracy are built. This also applies, of course, if you push it into the socio-economic sphere. If people also have to come to their senses in the socio-economic sense, this is in line with these values.
ParlaMint-NL_2018-10-30-eerstekamer-5.u93	Then how do you appreciate the cabinet measures in that respect?
ParlaMint-NL_2018-10-30-eerstekamer-5.u94	I also see a commitment in cabinet policy to this: commitment to other people, commitment to people living in poverty, commitment to human dignity, for example. So I certainly do not think it is absent. But you know how things are in the Netherlands: we form coalition cabinets. We do not live in the perfect society, but I do see a serious effort to make policies based on the values I have appointed.
ParlaMint-NL_2018-10-30-eerstekamer-5.u95	I'm just reflecting on that socio-economic aspect. Mr Kuiper rightly cites the Council of State as well as the importance of a broader concept of prosperity. The Council of State is very critical of the social divide in the Netherlands. The Social and Cultural Planning Bureau draws attention to the fact that the losers lose and the winners win. Is the gentleman... Oh, um...
ParlaMint-NL_2018-10-30-eerstekamer-5.u96	Kuiper.
ParlaMint-NL_2018-10-30-eerstekamer-5.u97	Mr Kuiper. I'm sorry. Sometimes you have a moment like that. Does Mr Kuiper agree that this, this social divide, is an urgent problem, which is not yet being addressed sufficiently?
ParlaMint-NL_2018-10-30-eerstekamer-5.u98	I think that is an urgent problem. This problem is not only due to this cabinet, which is only a year old, or to this cabinet policy. We have seen this pattern for many years, actually for decades. One could say that this goes hand in hand with the development we have seen since the 1980s: gradual phasing out of the welfare state, globalisation and greater forces. At the same time, however, I believe that we in the Netherlands are pursuing a sensible and moderate policy not to widen the gap. This gap is not only socio-economically defined, but also culturally defined. That is what the Council of State is doing very strongly by saying: the gap is growing between, for example, higher-skilled and lower-skilled people, or between people who are in their own bubble, with like-minded ones. So I think it is important that this is broken, so that people do not communicate with each other at all. That is, I think, the risk that the Council of State pointed out: the risk that society is fragmented by the fact that people are no longer able to speak or speak with each other, or that they are going to have advantages about each other. So I see it as an urgent problem, yes. I myself have also addressed my questions to the Cabinet: what are you doing with this comment from the Council of State and how do you connect this with a broader concept of prosperity, which also requires those seventeen United Nations sustainable development goals to be identifiable? If we do that, we will also respond to the societal challenges it poses.
ParlaMint-NL_2018-10-30-eerstekamer-5.u99	Finally, Mrs Sent.
ParlaMint-NL_2018-10-30-eerstekamer-5.u100	Finally. I have a concrete proposal. Your colleague Ester and I have asked if the planning agencies would like to publish their explorations in parallel with the Macro Economic Exploration of the Central Planning Office. That's what's happening now. That enriches our debate.
ParlaMint-NL_2018-10-30-eerstekamer-5.u101	Sure.
ParlaMint-NL_2018-10-30-eerstekamer-5.u102	We are very grateful for that. But I think the debate would be even more enriched if the government reflected on those explorations and we could include that reflection in our political reflections. Would you support that plea?
ParlaMint-NL_2018-10-30-eerstekamer-5.u103	In fact, I just asked. The Council of State says in its opinion: let the cabinet reflect on that broader concept of prosperity every year when publishing the millions note. As far as I am concerned, this is happening with the seventeen areas, the seventeen development objectives. In the response of the cabinet to the documents, i.e. to the Council of State, there was actually no substantive response to them. That's what I've been asking for. So we hope to hear it tonight.
ParlaMint-NL_2018-10-30-eerstekamer-5.u104	Thank you, Mr. Kuiper. I give the floor to Mr Koffeman.
ParlaMint-NL_2018-10-30-eerstekamer-5.u105	Thank you, Mr. Chairman. The smallest fraction received the most attention this year in the Millions Note. Almost all the wishes of that smallest group were given priority over the wishes and interests of the largest groups. I am not talking about political groups. They are merely a tool for policy-making. The smallest fraction of life on Earth is formed by man. The 7.6 billion people that populate the Earth are only 0.01% of all life on Earth. Our kind of people. We are inclined to assign our group an disproportionate importance. From different beliefs people believe that man is the crown of the creation, the top of the food chain, the highest form of intelligence, and in any case that is what we have agreed with each other. This means that the short-term interests of man prevail over the interests of all other living species, above nature, above the environment, above biodiversity and above the interests of 99.99% of all other life that our planet occupies. Mr. Chairman. It is in no way the case that man is also the most sensible species in terms of protecting life on earth. In fact, man has a devastating influence on the rest of life, where money is the main driving force. Since the beginning of what we call our civilization, 83% of all wild mammals and 50% of all plant species have been extinct. Money is all that matters when it comes to it. But what good is money if the ice sheet melts? Never in history anywhere in the world did a political party choose a different kind of starting point of thought, until in 2006 the Party for Animals was elected to the Dutch Parliament. A one-day fly, so many Binnenhofwatchers thought. It's a joke that got out of hand. A cry for attention, which could soon die away. But by now, at least one of every thirty members of the House of Representatives is a member of the Party for Animals, and if we can believe the polls, it will reach one of every nineteen members in this House next year. This may be difficult for a coalition that rules with the smallest possible majority with a prime minister who, despite the promised outstretched hand, has little willingness to meet the very reasonable demands of the opposition. Even within the coalition, it is not easy to honor wishes because of the narrowed coalition agreement and the exchange of interests underlying it. This millions note is a melons note. The coalition parties have had to swallow or choke, if necessary whole melons, so they have already announced after formation. D66 knew before the start that halving rule means halving for that party. The VVD is severely punished by voters in the polls. The CDA loses almost half of its supporters. Only the Christian Union remains reasonably stable, and that could be appreciated for that melons act. The polder model has served quite well for a while, with the exchange of ideals and the shaking of ideological feathers. But now we have to recognise that living in the polder, below sea level, gives us every reason to take climate policy forward with greater speed than is currently the case. However, the cabinet is more aware of the entrepreneurial environment than of the need for climate action to protect the next generation from serious natural disasters caused by global warming by human causes. The 2 billion that the cabinet wanted to give to foreign shareholders every year is still going to improve the business environment, while entrepreneurs also have a particular interest in real climate action. After the Urgenda ruling in appeal, we know that the cabinet will have to make every effort to achieve the climate goals. But for the time being effective measures within the Cabinet are controversial: speed limits, charges for dirty cars, air traffic, ships, accelerated coal power stations close or............................................................................................................................................................................................................................................... The cabinet chooses to go in cassation against the judgment of the judge in the Urgenda case and actively gives the wrong example to the citizen, who is burdened more heavily in the field of climate policy than the polluting industry. Cattle farming accounts for only 18% of the calories in our food, but consumes 83% of the available land, accounting for 58% of all greenhouse gas emissions, 57% of all water pollution, 56% of all air pollution, and 33% of all water use, according to recent research by Oxford University. Can the Prime Minister indicate whether the cabinet is prepared to have all the externalities of consumer goods analysed so that at last the polluter can actually pay for what he is doing? Mr. Chairman. Slow market forces and improper protection measures for businesses give citizens a check-up. Last weekend hundreds of patients were discharged from hospitals, not because they were better, but because there were useful entrepreneurs who thought they could get better from other people's disease.
ParlaMint-NL_2018-10-30-eerstekamer-5.u106	Can I ask Mr Koffeman, who is offering himself up for new coalitions, to be more serious than I say, to think with me? I'm almost out of office now, and I have 10 grandchildren to eat every now and then. Let us assume, then, just for the sake of thought, that the polluter must pay a little more. My grandchildren and I are going to eat a little less and the farmer, whom you address, pays a little extra tax to the minister. Where's that money going? Does that go back to that food production? So, for example, the ham for those kids doesn't have to come from Parma? Or so smaller stables can be made? I come from a farm village, so I really do know how it works there, even though I live in a bigger city these days. My question is really very concrete and serious. How are we going to tell these consumers? Or are you going to say there again: well, Brinkman, you can afford it all yourself, then you have to pay for your neighbors as well? That too is serious. It's not about me, of course, but you understand my reasoning. I really love those animals of yours, and I like them every now and then, but what I don't understand in your reasoning is that you walk so carefully and conveniently around the question I put on the table. That's the same question I asked the cabinet. I said: listen, you need to be specific in the different sectors. And it's okay to be a little stricter. You know my eyes. But then I would also like to know what is going on with meat production, looking at the consumer. The farmer and the whole cattle chain aren't gonna pay for that themselves. He can't afford that either. A few maybe, like me, but I'm not a farmer. Nor should you ask me for advice: I am asking you for advice. You studied for it, you talk about it with passion. I also talk passionately about the fact that this is something that we cannot leave hanging in ideologies, but in which we have to tell the citizens how things are going. We can't run away from the idea that the farmer will.
ParlaMint-NL_2018-10-30-eerstekamer-5.u107	Mr. Chairman. I am very pleased that Mr Brinkman is asking that question, and I too am serious about that. Last week there was a pig farmer in the paper whose pigsty had burned down. All the pigs were cremated alive, and this man was horrible about it, because he loves his animals in his way. He knows they're going to the slaughter, but he's not gonna let this happen to his animals. During the aftermath of that fire, he made some notes, which he shared with the newspaper. He said that it is a scandalous situation that every day six to seven farmers have to stop, and that only scaling up offers a solution. Where we have to go, he says, is not a race to the bottom where there are too many pigs, but a situation where there are too few animals, so that prices can rise. At the moment, scandalous prices are being charged for meat, which really cannot be justified by anyone. If you go to the Albert Heijn now, you can buy four sats at the euro shopper for €0.28. There's no justification for that. There's just a real cost to be paid. The externalities, so everything that causes livestock farming and what we all now have to pay out of public money, will simply have to be paid by the meat consumer. At the moment, every citizen in this country is contributing €120 to the externalities of the bio-industry, even if he does not consume meat at all. In this sense, it is extremely important to say that it is a very liberal principle that the polluter simply has to pay for what he pollutes. I don't think there should be a party in this house that's against that. There is artificial use of scaling and cost reduction in such a way that the farmer cannot earn dry bread from it. That's a scandalous situation that doesn't make anyone any better. Again, the comment came from an unsuspecting angle. It was the farmer whose pigsty was burned down, who said: we need to keep fewer animals. And today there is a big article in Trouw, which shows that a majority of Dutch people say that we need to reduce the livestock, and that that majority wants to eat less meat.
ParlaMint-NL_2018-10-30-eerstekamer-5.u108	Finally, Mr Brinkman.
ParlaMint-NL_2018-10-30-eerstekamer-5.u109	I welcome your very substantive response. I have one question left. For a moment, in your speech, it seemed that a certain levy would have to be introduced in order to achieve all this. But ultimately it's about either eating less meat or paying more to fight all those externalities. My question remains how we can then make it clear to the average citizen, that is to say to the general public, that it is indeed a matter of either less meat on the table or that more is paid for it. I am not talking now as former Health Minister, but just from this environmental and energy point of view. This whole debate is always going on and on, at least I hear it when I listen carefully to your fellow Members, who are not generally able to do so. It cannot then be that you have the Minister collect all these charges and then say: 'Dear citizen, you will not see that money again'? So you have to make that argument again.
ParlaMint-NL_2018-10-30-eerstekamer-5.u110	Yes, Mr. Chairman, it's clear. I have just said that livestock farming only supplies a fraction of the useful calories and proteins in our society and occupies 83% of the land surface. So we're going to have to go to a plant transition. The cabinet agrees with that, but it does change from one coalition to another: the previous coalition has released another 6 million to enable the transition to more vegetable proteins. At the moment when we would use the current agricultural area on this planet for plant production and plant human consumption, we could feed four billion more people. I therefore believe that we all cannot escape the observation that we cannot at present, in a world where there are shortages, afford to convert vegetable proteins into body heat via the gastrointestinal tract of an animal for 80%, and not into useful calories for human consumption. The moment we do this directly, we will come to great solutions. The six to seven farmers who now have to stop a day should also be met by offering them alternatives rather than just dropping them. In particular, the parties who say they are on the farmers' side should choose to give these farmers a perspective rather than let them die massively and only give them a chance, not only from an economic perspective, but also because of biodiversity and the climate.
ParlaMint-NL_2018-10-30-eerstekamer-5.u111	May I ask you to continue your argument?
ParlaMint-NL_2018-10-30-eerstekamer-5.u112	Thank you, Mr. Chairman. Doctors and nurses were also put on the dike, with the cabinet blaming the health insurance companies, as if this debacle, many of which could follow, was not simply due to the privatisation of both health insurance and hospitals. The banks were too big to fail and were saved, one after the other, with billions of community money. That logic does not go for saving hospitals or protecting the interests of the weakest hospital patients against the rights of the strongest. This causes more and more citizens to lose faith in politics. This year alone, more than 100,000 animals have been burned alive because the coalition parties refuse to make fire prevention mandatory in livestock farming. Since 2008, more than 1.5 million animals have been burned alive by barn fires. Can the Prime Minister tell us when we can finally expect measures to provide this hell for animals with proper fire prevention? I'd like a response. What the Party wants for the Animals does not cost much money, but requires political courage, possibly the courage of despair when the cabinet in this house loses its majority. I look forward to the Prime Minister's reply. And oh yes, then there is that tricky point of closing the Crown Domain for the public, donated in 1959 to the Dutch people by Queen Wilhelmina but closed every year for three months for that people because there is to be hunted. Actually, there can't be hunting at all because there are no huntable species. The five huntable species we mention in the law are not hunted by the royal family, so there is no formal hunting. The pleasure of hunting does not need to be consumed or protected there either. A majority of the House of Representatives wants the largest nature reserve in the Netherlands to be opened year round. The Minister of Agriculture and the Prime Minister said that they could not do so because, according to Article 41 of the Constitution, the King "set up his House in the public interest." That public interest is precisely the jumping point. The king seems to understand that and indicated this weekend in the margins of the state banquet in England that the discussion on this matter should take place in parliament. And that's what happened. Parliament believes that the Kroondomain should be opened year round. My final question to the Prime Minister is therefore whether he is prepared to go down the royal road and open the Crown Domain year round in accordance with the wishes of Parliament and apparently also the King's wish. It could be a meaningful gesture. Thank you.
ParlaMint-NL_2018-10-30-eerstekamer-5.u113	Thank you, Mr. Coffeeman. I give the floor to Mr Schalk.
ParlaMint-NL_2018-10-30-eerstekamer-5.u114	Madam President. These are the last General Political Reviews for the First Chamber in this composition. I can imagine that the Prime Minister said on the Council of Ministers: boys and girls, let us now promise the groups of the First Chamber that they can all ask for something that really does not suit them and that we will honour it. So what could it look like today? I'm gonna try and start for me on the left, with the PVV. After some coordination, the PVV comes across the bridge: targeted use of development aid for assistance to the distant neighbours. SP: chooses to improve the trade relationship with Israel. OSF says stop the gender neutrality that has gone through, because we in the province just want to be able to show off Frisian stallions and the Zeeland girl. 50PLUS: let's have a Department of Child Services. Party for the Animals: an eye for the environment but room for farmers. GroenLinks: for Defense, on to NATO standard. And the Labour Party opts for national sovereignty over the number of asylum seekers to be included. It's a nice package from the opposition, isn't it? Now the coalition. The Christian Union wanted to talk about abolishing the dividend tax, but they have already got their way. The VVD: all room for entrepreneurs in the middle of the week, but not on Sundays. The CDA, if you don't mind, stop the weed law. D66, of course, does not hesitate for a moment about something they would never do: equal treatment of one- and two-earners. Finally, the SGP: Madam President, everyone agrees this time. That doesn't happen every Tuesday, so we book it in. For suppose the cabinet would honour all these proposals: that would of course be great. This would strengthen society on four core values: 1. balance in care and work; 2. a healthy business environment; 3. security and peace, near and far; 4. Respect for life and awe of death. These are four pillars, just like the four pillars below us, because this room, as you know, rests in the Norenzal on four pillars, which have a name: Love, Peace, Concord and Faith. I'll connect them to my four core values, and I'll be happy to walk them by with you. First the balance in care and work, the pillar of love.
ParlaMint-NL_2018-10-30-eerstekamer-5.u115	Honor for life, a core value of the SGP. I think it's great; really, I mean that sincerely.
ParlaMint-NL_2018-10-30-eerstekamer-5.u116	Sure, thank you.
ParlaMint-NL_2018-10-30-eerstekamer-5.u117	However, I would like to ask the following question. Today, in Trouw, a Christian newspaper, there is an overview of how the voters of all political parties look at livestock farming and livestock in the Netherlands. In the Netherlands we slaughter 650 million animals a year, that is 650 million times without respect for life. The voters of the SGP are at the bottom when it comes to the desire to reduce livestock. Those of the Party for Animals are at the top. Can Mr Schalk indicate how he can relate respect for life to the slaughter of 650 million animals every year?
ParlaMint-NL_2018-10-30-eerstekamer-5.u118	That's an intrusive question. 650 million: there are small animals, but also cattle and so on. I don't know exactly how the numbers are, but it doesn't matter in the end. It's about the life that's affected. My party believes that at least livestock farming should put the animal's care at the top. That is not just a thought of the SGP itself. It is even a biblical thought: the righteous knows the life of his animals. The Lord Jesus gives wonderful examples of how to deal with an animal in need. Only, the SGP also believes that animals can be used for consumption. That's the big difference between the Party for Animals and the SGP.
ParlaMint-NL_2018-10-30-eerstekamer-5.u119	Finally, on this point. 'Cause I'm looking at the clock. We need to take a little time into account.
ParlaMint-NL_2018-10-30-eerstekamer-5.u120	I understand, Mr President, but it is really an important point. Anyway, there are obviously different views about respect for life, but it is very important to know that in the most dense country in the world the righteous no longer knows the life of his animal. Few farmers know the lives of their animals. I would also like to ask Mr Schalk whether he believes with me that the life of a chicken is just a small animal or the life of a cow for that animal is just as important as your life for you and my life for me.
ParlaMint-NL_2018-10-30-eerstekamer-5.u121	Let me just say a few words about the farmers. I was at a farm the other day. That farmer had like 180 cows. I was standing in the milk well and the farmer says, "That's him and that cow." I said, how do you know? He said: I can see that of course; I know which cows I have. That's a lot more complicated when you have 10,000 chickens. Everyone will understand that. 180 cows, that's still to be done. We can learn 75 names in this Chamber, but we don't all know by name all 17 million people in the Netherlands. But you have a point in that sense. Especially when it comes to huge numbers, it gets more distant. But that doesn't mean the farmer doesn't have a heart for that animal. I wouldn't say that when you don't know them. I don't know a lot of people either, but I have a heart for those people.
ParlaMint-NL_2018-10-30-eerstekamer-5.u122	Short, really short, Mr. Koffeman.
ParlaMint-NL_2018-10-30-eerstekamer-5.u123	Yeah, finally. Mr Schalk says that it does not mean that the farmer has no heart for the animal. In a way, that can be true. But you also know many examples with me that the farmer is very hard on his animals. That is not in line with your Christian beliefs. I really think that the SGP should take a different position. When you say, "The righteous knoweth the life of his beast," do you commit yourself to that?
ParlaMint-NL_2018-10-30-eerstekamer-5.u124	When Mr Koffeman says that there are farmers who are hard on their animals, I say with him: that is not right! I was working on the first pillar: balance in care and work. I took the pillar "love" in that. The SGP is based on the biblical notion that God has created man and woman, who within marriage are allowed to perform care and work in the family and in society. Care is of course about one's own care, but also care in family, family and neighborhood. But it is also about caring for the children, in which the school participates in citizenship and education from its own point of view. And work includes both paid and unpaid work. In our society, it seems more and more to be about one's own perspective, about self-development and self-development. But it is precisely here that the government should focus on participation, not only from paid employment, but in the context of a broad concept of prosperity, as has been mentioned a few times today. My question to the Prime Minister is whether it is possible to give value to family care or family care. Madam President. In this context, I would like to return to a theme that my group has been concerned about for many years: the position of the single-earners. The whole society is crying out for equal treatment on all fronts. The question is: when are they due? Undoubtedly, the Prime Minister has taken note of the CPB report "Eendeservers' under pressure, of February 2018. The first two sentences of the summary are these: "The difference in the tax burden for one and two earners has increased considerably. The question arises as to whether a further increase is desirable for the sake of equality and efficiency." May I ask the Prime Minister to reflect on this question from this report? The second pillar: a healthy business environment. That is where I choose the 'concord' pillar. The Group of the European People's Party (Christian Democrats) and European Democrats thinks there is room for entrepreneurship, but so that society does not suffer. In this context, the SGP commends the cabinet for refraining from abolishing dividend tax. The decision to strengthen the locational environment in other ways may justify the SGP, but there are some other important objectives. I mentioned all the one-earners, but I'm also thinking of paying off the sovereign debt. Why wasn't that chosen? A healthy business environment requires a good balance between business and home, between work and rest. The increasing Sunday work, especially due to the ever increasing opening of shops, is at the expense of Sunday as a salutary moment of rest, a gift from our good God. Does the Prime Minister agree with my group that a permanent resting place is the most desirable for everyone? And what about Mrs Keijzer's bill on strangle contracts for shopkeepers in shopping malls? My third point is peace and security, close and far. That is, of course, the 'peace' pillar. The tension between the great powers is increasing. Let's keep the peace. This is also necessary in the country I have just mentioned: Israel, the only democratic rule of law in the Middle East. Let us support them morally and, where possible, strengthen economic relations and trade relations. Several countries have rightly reduced their financial aid to the Palestinians, because the Palestinian authority rewards terrorists financially. Rewarding attacks is counterproductive to the peace process. Is this government prepared to shut down the money supply if practice doesn't change? In the context of peace and security, Defence is a continuous concern for the SGP Group. Over and over again, I insist on the fact that we do not even meet European standards, let alone NATO standards. There is certainly appreciation for the additional funds that have been allocated. But can the Prime Minister give an indication of how long it will take us to get close to the NATO standard? One more point in this context, which concerns migration policy, with the huge accumulation of procedures. That's just gonna get us losers. Now another committee has been set up to investigate this. Another commission. The impression is that there will not be a solution to any problem, but a committee. Can the Prime Minister give an overview of all the committees that are currently investigating difficult dossiers? The fourth core value: respect for life and awe of death. I use the 'faithful' pillar. I can't get used to 100 people being killed every day, 365 days a year. 30,000 abortions, 6,500 euthanasia cases. Amazing! In addition, many more can be killed if we, as a society, give in to the desire to end the so-called completed life. The coalition agreement indicates that further investigation is needed. Have recent developments in this area led to a shock reaction within the cabinet? As far as abortions are concerned, last year I pointed out the recidivism. I repeat once again that this concerns 10,000 cases of women having abortions for the second, third or fourth time. That problem would be addressed. Can the Prime Minister indicate whether any action has been taken and what its impact is? Madam President. In this context, it is good to consider a beautiful work of art here at the Binnenhof, between the First and Second Chambers. Here, behind the chairman, you will see a huge painting by King Willem II. He gave this out of discontent with the fact that he had no influence in this house after 1848 and said, "I will always be with you." If this painting were replaced by a large window, you would have a view of the fountain on the Binnenhof, on which stood the image of an earlier Willem II, Count of Holland and Zeeland and King of the Holy Roman Empire in the thirteenth century. A beautiful golden statue. Very familiar. But not so well known is the Latin spell, also carried out in gold. I make myself strong that no one knows what's in there. It's a spell from the Vulgata, the famous Latin Bible translation. The translation of this is: "You are my only hope, Lord, my God, from a young age I trust in You. I have relied on you since I was born, and in the womb it was you who carried me." This text does not, of course, only warn against damaging new life in the mother's womb. This text also offers great hope for all of us, when we put our trust in God, at all stages of life, on all the themes I mentioned, linked to love, unity, peace and faithfulness. That is what I trust the Prime Minister and all the ministers and secretaries of state, but also in the high office in which they are allowed to serve. This gives an extra dimension to the motto of this government: confidence in the future. Thank you very much.
ParlaMint-NL_2018-10-30-eerstekamer-5.u125	Thank you, Mr. Schalk. I give the floor to Mr Nagel.
