ParlaMint-NL_2018-06-12-eerstekamer-4.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2018-06-12-eerstekamer-4.u151	I would like to ask the Minister a more specific question: as regards public transport and communication, I can assume that the Minister does not mean communication between passengers, but only communication between the passenger concerned and the NS officials, the bus conductor or the bus driver, within the framework of the quality of service. When it comes to communication between people in public transport and between passengers, there is no fundamental difference from the rest of the public space.
ParlaMint-NL_2018-06-12-eerstekamer-4.u152	It is certainly also about communication between passengers and the conductor, the controller or whoever is in it, depending on the means of transport, but it is also about communication between citizens. In doing so, I make the distinction between public space, where citizens come together but where you have more space to choose where you walk, bike and stay, and the space you can't choose, such as in a care facility, in the waiting room, in education because your child goes to school or in public transport. So it's about the communication between professionals and people coming in, but it's definitely about citizens among themselves. Then it can also be about what you have just spoken about, namely the sense of security that people want and the social security that people want to experience.
ParlaMint-NL_2018-06-12-eerstekamer-4.u153	It is good that the Minister explains this further. This raises a new question for me: is it about safety as such, which is more of an objective standard, or is it about the feeling of safety between people? I'd have a lot more trouble with that last one. I believe that the debate has already taken place on the basis of subjective individual feelings. There are a lot of people I feel a little less safe with, but that's not a reason for government intervention.
ParlaMint-NL_2018-06-12-eerstekamer-4.u154	I can imagine that, but I think there was just a moment in an interruption talking about what people can derive from facial expressions. That has to do with your feelings, of course. So there's a certain amount of subjectivity in it.
ParlaMint-NL_2018-06-12-eerstekamer-4.u155	I was hoping that the Minister would also talk about security rather than just uniformity and communication, because I think a lot of people will have a sense of insecurity once they don't see what someone else is doing. So would you like to position that a little more firmly?
ParlaMint-NL_2018-06-12-eerstekamer-4.u156	The choice has indeed been made on that feeling. People could have that anywhere; that could also be out here in the Binnenhof or in another public location. However, we choose to standardize this in a limited number of places and not in other places. That has to do with the fact that it is difficult to choose there. As far as education is concerned, children go to school. The same is true in the care, and in the waiting room in the care. And the same goes for public transport. In our view, that choice justifies saying that people there need to be able to communicate with each other. That can only be done if the expression of the face is part of it. It is therefore about communication in those places, where the choice is actually more limited and where the degree of freedom is also more limited.
ParlaMint-NL_2018-06-12-eerstekamer-4.u157	I understand from the Minister's words that this is one of the reasons for the exhaustive list.
ParlaMint-NL_2018-06-12-eerstekamer-4.u158	Yes.
ParlaMint-NL_2018-06-12-eerstekamer-4.u159	I also asked whether this should not apply to events or demonstrations. Perhaps that will come later in your speech.
ParlaMint-NL_2018-06-12-eerstekamer-4.u160	Sure, I'll get back to you on that.
ParlaMint-NL_2018-06-12-eerstekamer-4.u161	Let's talk about the point of uniformity and choice. We have freedom of education. We have invented a system in which people can choose the institution freely. If you want to meet the freedom of choice, you should not regulate it legally. Then you make it clear in the house rules: someone can walk around with a burqa and not there. So you are actually hindering freedom of choice in one direction, because it is not that there is no choice. You can choose a school where you have to behave in a certain way. You can consciously opt for an educational institution. That market organization is precisely what makes it possible to think differently. So I do not understand why uniformity and choice should be linked in this way.
ParlaMint-NL_2018-06-12-eerstekamer-4.u162	It is a consideration; I agree with Mrs Nooren. It's a trade-off, a choice. This choice is limited to a number of places where the importance of uniformity and standardisation in the eyes of those in favour of this proposal outweighs individual freedom. I also agree with her that there is still a great deal of room for individual choices, for example in education, but it does not see a choice in facial clothing or not. But of course all kinds of other forms of individual choices remain completely intact. This proposal does not alter that at all. Mr. Chairman. I'm gonna keep going at this point. Mrs Bikker actually asked about this, but she asked whether additional house rules would be possible even after the entry into force of this law. The bill doesn't rule that out. It is therefore still possible to lay down additional house rules, even later within the law. I just said that the staff should know how to deal with the ban. I think it is also good that institutions clarify how they communicate about the ban and how they will deal with it. So these house rules remain possible. Then there is a question that I should have answered earlier: Mrs Nooren asked if I now have a look at the number of carriers of the burka or the nikab, because that will often be the case in practice. Actually, that's very difficult to estimate or to say. So we don't know exactly. There hasn't been a recent investigation into it. The numbers mentioned are 200 to 400, but that is an estimate and is not based on any more precise research. This was also a question from Mrs Bikker.
ParlaMint-NL_2018-06-12-eerstekamer-4.u163	I gave you my own personal impression. My impression is that this is based on one city, in which I cycled around a bit more is that this is increasing. Even when the bill comes into force, I wonder what the effects are. The Minister actually mentions estimates of the number of carriers I saw in 2009. So it's really been a while. Doesn't the Minister still have that interest? What is her interest in fact-knowledge in this area?
ParlaMint-NL_2018-06-12-eerstekamer-4.u164	I would, of course, lie if I were to say that my desire for factual knowledge would not be very great, because it always is. But it is a fact that we do not know exactly. What I can do, of course, is to look at what has happened in other countries with a similar ban, although that often goes a little further in other countries. That gives us some indication. In France they think, but it is not very hard, even there, that the number of carriers of nikabs and burqas has decreased after the ban. I think it is a good thing that we are trying to point this out here too, but yes, I can only say that there are no figures other than those that have apparently been used for a number of years. I have no indication that that number has increased.
ParlaMint-NL_2018-06-12-eerstekamer-4.u165	Then two points. In 2009 it seems to be possible to reach a number, or at least a bandwidth. Then I find it rather patient, also in the answers of the minister's predecessor, but it is in those shoes that she says that it will not be possible after that. Let me say this as a comment, but there is also a question of reflection, which the Minister does taste. Secondly, I am curious about these effects, because I see two possibilities: someone drops the burqa and participates in society again, which would be to be applauded, or someone sits inside. I understand from Austria it's fifty-fifty. If we don't know how many people they are now, then we can also be very difficult to estimate what the effects are; whether that's fifty-fifty or totally different. Hence my call for even greater reliance on facts, however much I welcome the fact that the Minister has them.
ParlaMint-NL_2018-06-12-eerstekamer-4.u166	Mr. Lintmeijer, then.
ParlaMint-NL_2018-06-12-eerstekamer-4.u167	In addition to this, but perhaps also in anticipation of the answers that are still to come: if we want to know more precisely, let us really carry out a serious evaluation and investigate it seriously, not only with regard to the numbers of secs, but above all with regard to the effects it has on the behaviour of women with nikabs and burqas in particular. I don't know, Mrs Bikker doesn't know, the Minister himself states in the answers that she doesn't know. That's still thin ice to skate on, isn't it? Let's make the deal that we're gonna launch a solid evaluation. At the moment that there are results, we can also consider how we deal with these outcomes. Does this lead to new, additional measures or fewer measures?
ParlaMint-NL_2018-06-12-eerstekamer-4.u168	I understand Mr Lintmeijer's argument, but on the contrary, the reason for the proposal for a limited ban on the wearing of facial clothing is not that it concerns large numbers. In fact, I have just argued that this is not the case. We do not know exactly how many people are involved in the case of nikabs and burqas, but I do know that these are not large numbers. That is not the reason for the bill either. I'll come up with possible behavioural effects and consequences of this later. In my introduction I said that it is difficult to predict; it is highly about human behavior. However, I agree with Mr Lintmeijer that it is important to know whether this leads, for example, to avoiding concern or not going to court and that sort of thing. That's very good to know. I also very much agree with him that we should keep an eye on this, even if it is not about large numbers.
ParlaMint-NL_2018-06-12-eerstekamer-4.u169	A supplement. Indeed, it is not about large numbers. My group is concerned about the effect on families, if it turns out that it is indeed fifty-fifty; if women stay at home and do not go to school with their children, do not go to the doctor with their children and therefore also drag children into unmistakable isolation. Then the multiplier effect is greater than I would like, even if it were only two people. As far as we are concerned, an evaluation or a good study is not only meant to know exactly, but also to see if we need to act when these effects arise.
ParlaMint-NL_2018-06-12-eerstekamer-4.u170	These would be undesirable effects, I agree with Mr Lintmeijer, even if they are small numbers. Other solutions are conceivable for this. Practice will have to prove it, because I can't prove it, that people will often choose to let someone else go with that child or to solve it in a different way. I also have a great deal of faith in the professionals we are dealing with, including care and education. I think that we should also give this space to people, to see if they can come up with good solutions in practice.
ParlaMint-NL_2018-06-12-eerstekamer-4.u171	Mrs Bikker, one more time at this point and then it's over.
ParlaMint-NL_2018-06-12-eerstekamer-4.u172	Mr President, I agree, but I would like to have answers to the questions I have just asked.
ParlaMint-NL_2018-06-12-eerstekamer-4.u173	Mr. Lintmeijer, also at this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u174	I'll be right back. The minister has a lot of confidence in the professionals, but the essence of the argument that several groups have held here is that professionals are also quite capable of dealing with women who come in with a burka or nikab without legislation, so you don't have to do it for those professionals. The minister says that she has a lot of confidence in these professionals in the implementation of the law, but they say that that law does not make it easier for them. I think that's a circular reasoning that bites itself in the tail.
ParlaMint-NL_2018-06-12-eerstekamer-4.u175	No, because it's two different things. I like to express my confidence in the professional in general terms, but also within this law. The law was not made at the request of these sectors, but will help the sectors to have a clear standard and to act within that standard when that standard is in place. The confidence that I had just expressed in the professionals saw precisely the harrowing situations that Mr Lintmeijer feared.
ParlaMint-NL_2018-06-12-eerstekamer-4.u176	The answer to Mrs Bikker.
ParlaMint-NL_2018-06-12-eerstekamer-4.u177	I think she was referring to the question about the numbers and to her desire to have more factual knowledge. I agree with her, but so far it has not been possible to get that very precisely. If the law has entered into force, we can try to get a look at it. I'll certainly do my best to do that, Mr. Chairman.
ParlaMint-NL_2018-06-12-eerstekamer-4.u178	Is this a promise? That saves me in the second term.
ParlaMint-NL_2018-06-12-eerstekamer-4.u179	It is absolutely a commitment to do my best, but I am well aware that it has been very difficult so far. I don't think this will necessarily be very easy after this law, but I think it's good to keep an eye on it. Perhaps, in reply to Mrs Bikker, I can also comment on the international situation and what we have learned from it, because that is something of a hold-on. I mentioned France, where such a ban has been in force since 2011, throughout public space, by the way. According to the French Government, the number of wearers of facial clothing has decreased by half following the introduction of the ban. Fines have been paid. By the way, they're quite easy to measure. There were over 1,000 to 2014, so in a limited period of three years. The enforcement of the ban takes place in most cases without the use of coercive measures and especially without the emergence of public order distortions, fortunately. In Belgium, where the same ban has been in force since 2011, no figures are known. Recently there has also been a general ban in Austria and Denmark, but that is relatively new, so there are no figures yet. Mrs Nooren also asked whether it could have an adverse effect on people with an Islamic background, on their right to confess their religion as a minority. The bill is religiously neutral. It doesn't just look at the burqa and the nikab. It sees the communication, the recognizability in those places where people meet each other. In that sense, I do not think that what Mrs Nooren fears needs to be done. It clearly sees on face-covering clothing. It doesn't look at expressions of a religion. There are a lot of examples and forms of this. The nikab and the burka are only a small part of that.
ParlaMint-NL_2018-06-12-eerstekamer-4.u180	Just so we're clear, it's a struggle. We have a law on which we do not know how it will work. If we're gonna predict that, it's gonna be hard for all of us. I didn't mean those 200 to 400 people involved, because I think we had a good debate about how you should be able to see each other's faces in order to get some things done. The question is about the implications of the law for a broader group, which you can think differently about. What tone does this government give you, to which you are a part? I understand this government is saying: is that a topic of conversation, would you like to map it out? What effect does this law have on that? How do you, as a D66 minister, look at a target group that says, "Oh, why do you have to do this, because things are going well now?" That's the question I wanted to ask.
ParlaMint-NL_2018-06-12-eerstekamer-4.u181	I'll tell you what I just said. I am talking about the reason for the bill, which does not look at expressions of beliefs but at communication. My predecessor has spoken to a number of nibblers. There are certainly mothers who say that if this law comes into force, they no longer want to go to their child's school, for example. That effect will certainly be there. On the other hand, there are women who say they prefer to go to their child's school. It is therefore a very personal consideration that people will make and where it is difficult to make a general statement about it.
ParlaMint-NL_2018-06-12-eerstekamer-4.u182	Mrs. Nooren, but I'd like to be brief.
ParlaMint-NL_2018-06-12-eerstekamer-4.u183	Then I'll join Mrs Bikker. It would be nice to know the effects of this bill on the connected society in order to be able to give some effect to it, because perhaps a legislative proposal will come after this bill. It is good to know what effect such a law has on cohesion in society.
ParlaMint-NL_2018-06-12-eerstekamer-4.u184	I can tell from Mrs Nooren's input and others that there is indeed a great need to map these effects. Caretaking is such an effect. Furthermore, I call it the effect on schools. I'd be happy to tell the Chamber that I'm keeping an eye on that. I imagine doing so by talking to organisations that have something to do with that. That may not be as quantitative as Mrs Bikker would like, but at least gives us an idea of the effects it has.
ParlaMint-NL_2018-06-12-eerstekamer-4.u185	The minister says the law is religiously neutral. That may well be the case in the wording of the actual legislative text, but in the explanatory statement Mr Van Hattem has already pointed out it is indeed a law that has been initiated from the perspective that we want to get rid of the nikab and burkka as part of a religious expression. So in the wording it may be religiously neutral, but that is not the reason and the explanations given. The question is, even if it is religiously neutral, whether there is any form of indirect discrimination in its effects. It does indeed work out in this way with a special group, which is also mentioned in the explanatory memorandum. So I'm not buying the story of religion-neutral.
ParlaMint-NL_2018-06-12-eerstekamer-4.u186	Still, that's important. Whatever the reason, when making laws, we must respect that starting point. So I actually attach that principle to that formulation of religious neutrality. I haven't put down any seats or benches either, and I don't think anyone here is saying that in practice it's mostly about nikabs and burqas, but it's important to say that it's also about other forms of facial covering clothing, even though they're even less common than the nikabs and burqas. As a basis, as a fundamental rule, religion neutrality is an important starting point. That doesn't affect the practice it sees fit to do.
ParlaMint-NL_2018-06-12-eerstekamer-4.u187	Finally, Mr. Lintmeijer.
ParlaMint-NL_2018-06-12-eerstekamer-4.u188	If that principle is religious neutrality and the cause is something that is not religiously neutral at all, then my question is whether we should not be talking about indirect discrimination in its effects and whether it is desirable in the drafting of a law.
ParlaMint-NL_2018-06-12-eerstekamer-4.u189	No, because it does not see a group or a religion, but it sees the desire for sufficiently open and transparent communication with each other and between citizens and bodies in those places where communication is important, also because of security, social security and the other issues that have just been listed. Mr Rombouts spoke about trusting professionals on the one hand and the need for legislation on the other. I have just gone into the issue of communication in detail. I also referred to uniformity and legal certainty. I think having one standard would help with that. I think it also helps for the same professionals I spoke out my confidence in just a moment in interrupting. This applies not only to situations which would lead to really poignant cases but also to everyday practice. So I think Mr Rombouts and I actually agree on that point. Then I will deal with a number of questions about scope. Mr Köhler asked whether there were in practice any problems of people wearing face-covering clothing in government buildings. There are not really any concrete problems that are also a cause for this bill. That has to do with what we have just said, namely that it is not about numbers or very specific problems. It is about the importance of uniformity and legal certainty, as support for the sectors that may be affected. About the choice of places we have already changed a few things. Mr Schalk mentioned a specific place, namely De Nieuwe Kerk in Amsterdam during the commemoration of 4 May. His question was whether it should be there or whether there should be a specific ban on that place for the time being. The Nieuwe Kerk in Amsterdam is not prohibited. It's not a government building as referred to in this bill. What can be done is that due to the specific occasion of 4 May, visitors may be asked to identify themselves. That's a possibility. Mr Schalk also mentioned the example of school buildings which could, of course, also be used for other purposes. That school building is covered by the ban, even when it is used for other purposes. The law is unambiguous in that: The New Church is not, even though it is at that time used for a government function, and the school building is, even though it may be used for something other than school in the evening hours.
ParlaMint-NL_2018-06-12-eerstekamer-4.u190	In the reply, the Minister indicated that the prohibition applies at the time when it is an educational-related activity. That led me to this question. But if the Minister can now confirm that there is no doubt that the school building is always covered, then we have clarity about that.
ParlaMint-NL_2018-06-12-eerstekamer-4.u191	My understanding is that I will check it out in the break later that because the building is still under the control of a school board, the law applies, even if the building is used for something else. There are a number of points on fundamental rights.
ParlaMint-NL_2018-06-12-eerstekamer-4.u192	Are you going to go into residential and non-residential, private space and no private space? This is also about the scope of the legislative proposal. Are you gonna come up with that?
ParlaMint-NL_2018-06-12-eerstekamer-4.u193	I would like to comment on this when I go through the sectors. Then there is fundamental rights. In my view, the explanatory statement clearly explains the proportionality aspect. We have just discussed the limitation to a few places, the neutral wording, the non-specific focus on religious clothing and a sanction in the lowest category. All this contributes to proportionality. The understandable and correct question was asked whether we are sure that the proposed ban meets the criteria set out in Article 9 of the ECHR. A fundamental rights test was carried out in the drafting of the legislative proposal. After considering all the interests involved, it is concluded that a partial ban can pass the test under Article 9 of the ECHR, insofar as it entails a restriction of religious freedom, because a restriction is finally permitted provided that it is established in the law, serves a legitimate purpose and is proportionate, including subsidiarity. So a restriction of freedom may be allowed if it serves a legitimate purpose and is proportionate. The European Court of Human Rights has allowed the ban on facial clothing in France and Belgium. In these countries it is a far-reaching ban because it sees the whole public space. So I think we can say with confidence that it can actually pass that test. Mr. Chairman. Then Mrs Nooren asked: how do you see the possibility that people wearing facial clothing do not have access to the College of Human Rights?
ParlaMint-NL_2018-06-12-eerstekamer-4.u194	Mr President, I apologise for letting the Minister pass on to the next block, that I was just walking a little too slowly to the interrupting microphone. I have already pointed out in the first instance that the government itself stated in the written preparation that proportionality and subsidiarity are also part of that constitutional test. In short, are there not less radical measures possible? And the means must be proportionate to the purpose. I have not actually seen any reaction from the government in the documents on subsidiarity in particular. And even now, I thought for a moment that the minister was ignoring it. That is the relationship between what is already possible in the sectors that designate the legislative proposal on the one hand and the far-reaching and far-reaching prohibition under the law on the other.
ParlaMint-NL_2018-06-12-eerstekamer-4.u195	I think Mr De Graaf is right. I have just outlined the conditions for a ban to pass the ECHR test. I have mentioned proportionality and subsidiarity. I have just gone into more detail about proportionality, also quoting from the explanatory statement. At the beginning of my term, we already exchanged a little bit on subsidiarity. Of course, subsidiarity is also a choice. There is the current situation in which everything can indeed be regulated through house rules, but the legislative proposal states that this is suboptimal, because it does not set a clear standard. If you limit yourself to house rules, then there is no clarity in those places where this bill is seen, where clarity, I think, for both the people involved and the people who work there helps in dealing with these cases. So that's the choice: the choice of setting a uniform standard for equality and legal certainty in that respect. And here comes the proportionality test, as I have just explained. As I said just now, a restriction is allowed provided that it meets the criteria I have just mentioned. I will continue with the question about the College of Human Rights. The CRM assumes that the introduction of the partial ban on facial covered clothing means that those persons would no longer be present if, for example, they had proceedings in court or at the college itself, of course. I can easily sympathize that this could lead to a discouragement for certain people to enter such places, including the college itself. However, the right of access to justice does not prevent rules from being imposed on, for example, clothing, i.e. clothing or a ban on facial clothing. It fits inside that room. Here too, it is important that it is not about banning religious symbols, but about banning facial clothing in general. Mr. Chairman. There's one last question in this block. Mr Schalk asked: how do you manage security and transparency on the one hand against religious freedom and privacy on the other? I will answer that question, because that is, of course, an important question. It is also in line with Mr De Graaf's question which I have just answered. It is, of course, about the possibility of restricting freedom of religion and privacy. That is the possibility that exists and the possibility that is now being used in this legislative proposal. I just argued that. The aim is that the restrictions are justified, and that is due to the choice of communication at its core, and consequently communication for the purpose of providing services and communication for security purposes. I hope that I have answered Mr Schalk's question sufficiently. Mr. Chairman. Let us now turn to the sectors. A number of questions have been asked. Let me not try to summarize them. I'm just gonna answer them. Mrs Nooren started with the question: do you recognize the image that the quality of care is already being secured, because the caregivers actually make sure that the nikab or the burqa does go off? There is already an identification requirement in the care and there is also the possibility of a dress code. And that's what happens in some health care institutions. But there is no clear rule regarding facial covering clothing in the care, while in the care that communication is so important. In order to avoid discussions on this issue, it is in our view right that there should be a clear standard, with general legal requirements, so that there should be no discussion about it.
ParlaMint-NL_2018-06-12-eerstekamer-4.u196	Mrs. Nooren, can you keep it until the second term? Or is it imperative that you do it now?
ParlaMint-NL_2018-06-12-eerstekamer-4.u197	No, it can be done in second term.
ParlaMint-NL_2018-06-12-eerstekamer-4.u198	Mrs Nooren also asked a question about the care-avoidance. I have just said, in relation to other sectors too, that it is, of course, a personal choice that people will make themselves. It would be very undesirable for people to refrain from visiting the doctor, but I do not think that will have to be the case in practice. Another question from Mrs Nooren was about the residential parts of a healthcare institution. Others have also asked questions about this in the first term. An exception is made for residential parts of care institutions. It therefore takes into account patients who are long-term residents of a care facility. For those patients, the care facility is actually their home situation. Long-term care often involves people with intellectual disabilities or a psychogeriatric condition. They spend a long part of their lives, their whole lives, or in the final phase of their lives in a care facility, but it's actually their home. A perspective of independent living or living in a facility other than the care institution is actually not there or no more. Therefore, there is also a competence of the board of a healthcare institution to allow face-covering clothing to be worn in non-residential parts of the care institution by clients or patients staying there or by their visitors. So that room is there. I think the essence of the matter is that when drafting the bill, too, it was never intended to prevent those people, for whom the institution is actually their home, from making this choice for face-covering clothing.
ParlaMint-NL_2018-06-12-eerstekamer-4.u199	The Minister repeats what I said myself and what the bill says. That's the easy part. And now the question: which parts do and which parts do not? We have also asked questions about this in the written preparation. You say it comes to uniformity. And then we get a bill in which you as director of an institution to the one person who is admitted to the nursing home must say: sorry, you are here for hip surgery, so you might go home again. So if you're going to have coffee with your partner, you can't wear your burqa. There's someone in that same department with onset dementia, whose perspective is that he or she should stay, and then it's okay. Do you mean "residential" only the bedroom, or is it also the living room? Or does it depend on whether you live in a housing unit or not? You're talking about uniformity. That is a term that is repeated over and over again. And I don't see the desired uniformity for the concern with this bill. In fact, I see a lot of confusion.
ParlaMint-NL_2018-06-12-eerstekamer-4.u200	On this point, I clearly have more confidence in the professionalism of the healthcare institutions than Mrs Nooren. It is very clear in the bill about residential versus non-residential. In my opinion, care institutions can determine very well themselves, where there are different target groups in a healthcare institution, which part is and which part is not. Moreover, the legislative proposal also provides for the power of a board to exclude certain groups in certain parts. So I think that customization is important here and that the law also offers that possibility.
ParlaMint-NL_2018-06-12-eerstekamer-4.u201	Finally, Mrs Nooren, on this point. I'd like to be brief.
ParlaMint-NL_2018-06-12-eerstekamer-4.u202	In my opinion, you can expect the legislator to ensure that the law is clear on where it is and where it is not, and on what part a driver should rule. I've been looking everywhere. I am well-known in the sector, but I believe that the legislator's sector expects it to be clear about where the boundaries lie between private spaces and terms such as'residential'. Of course drivers can. That's why they get out of their way with the house rules and don't need the law.
ParlaMint-NL_2018-06-12-eerstekamer-4.u203	I understand. That's Mrs. Nooren's position. I respect them, of course, but the question is: Is the law clear? I think the law is clear because it distinguishes between residential and non-residential. Then I come to Mr Lintmeijer's question. It was actually about the same thing, but then in the schools. In the schools it is about the school building and the school square. That's clear enough, too. It's not about the sidewalk or public space around the school. There must be no misunderstanding about that. That's what the bill says. Mr. Lintmeijer also asked about enforcement. We must imagine, as is the case with the enforcement of minor offences, such as the smoking ban, which is initially addressed to the person concerned. In the second instance, the person concerned is asked to leave the building. In third or fourth instance, if there is reason to do so and if this has not yet led to the desired result, the choice may be made to call on the police. Mr Köhler also focused on avoiding care, for example, and the consequences for children or the elderly. I have just argued that this would not be the desired effect of the bill, because it is important that people continue to take good care of their children and go to consultancies, but it is a personal choice of parents. I just said I don't expect any big effects, because I expect people to choose another solution if they really don't want to take off those face-covering clothes. However, I cannot give guarantees for this at the moment. It is something that we will have to pay attention to. I have just promised Mrs Bikker that I will remain in dialogue with the institutions. Just a few more things about public transport. Mr De Graaf has asked for it. At the very beginning of my speech I have already argued that in the vehicles the possibilities for people to avoid each other are much more limited than on the platform or at the stops. Hence the choice: in public transport, but not outside in areas where people have the choice to stay or not to stay. Mrs Bikker asked if we had had discussions with the transport organizations. This has been done, at least officials from my ministry have been consulted with the transport organizations. For them too, the added value of the legislative proposal is that there is uniformity about what should and should not be done. The transport organisations have indicated that they are prepared to draw up an instruction for drivers and conductors, which sets out how to deal with situations in which people continue to wear face-covering clothing. This makes the perspective of action clear to them. Enforcement. I've already said something about that. As I said in reply to Mr Lintmeijer's question, it applies to schools, but of course it applies to the whole of the four sectors. At first, it is up to the institutions themselves. They must draw up proper instructions for this purpose, so that people know what action they have in mind. They should give people the opportunity to adapt, to leave the building or vehicle, or to take off the garment in question. It is only in an escalation that we imagine that the police could be deployed.
ParlaMint-NL_2018-06-12-eerstekamer-4.u204	Apologies, Mr President, but this answer differs from the answer given in the reply in which the government says that institutions or organisations involved do not have to act actively. However, the Minister is now talking about working with instructions for people working in these sectors. This brings employees, who are often in a vulnerable position, into a role that does not fit them, because they need to be enforcive. They're not authorized to do that. Maybe they don't even think it's necessary, but that aside. How does the Minister see that? Is that what the reply says, that it is up to the institutions themselves what they are doing, or does the Minister say: there will be instructions for all the institutions involved and for all those staff, more than a million in the care, on how to act if something like that happens?
ParlaMint-NL_2018-06-12-eerstekamer-4.u205	I have just said in reply to the question from the PVV that I want the starting date to depend on how the consultation with the institutions is going. I think it is right and proper that institutions want to have a clear view of what action they have. We cannot make institutions and professionals in healthcare, education or public transport responsible for enforcement. That would be weird. That is why I outlined, as with the smoking ban, that it is logical that institutions themselves should have a kind of manual on how to deal with this, how to act when what is no longer allowed from the entry into force of the law. The first thing you do, like all of us do in our daily practice, is appeal to someone. If you know there's a ban and someone's breaking it, then the first thing you do is appeal to the person. That is different from what Mrs Nooren is describing, as if the staff were suddenly responsible for enforcement. That is not the case, because if the appeal does not lead to an adjustment of behaviour, I said just now, then it is obvious that the institution will involve the police. I do not expect this to happen in large numbers because it is not about large numbers either.
ParlaMint-NL_2018-06-12-eerstekamer-4.u206	Finally, Mrs Nooren, on this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u207	I understand that, by way of derogation from the government's answers so far, the Minister now states that an active role of the organisations concerned is expected.
ParlaMint-NL_2018-06-12-eerstekamer-4.u208	I certainly do not deviate from the reply. I will look very closely at this wording at dinner break, but as I now outline it, my expectation is that with this ban institutions will want to know in hand what scope for action they have. I'm referring to the driver, the caregiver and the teacher. Then it is logical that the institutions themselves should draw up a manual, but once again, the enforcement is of course never with the professionals I have just mentioned.
ParlaMint-NL_2018-06-12-eerstekamer-4.u209	At this point. How am I supposed to imagine that? Someone's coming up with a burka on the bus. The driver says, "Drop it off." That does not happen, whether due to lack of communication or whatever. Should the driver stop the bus? Should he say at the end of the road, "Will you sit down for a while?" Should he call the police in the meantime? Doesn't this lead to some kind of escalation that we don't want at all?
ParlaMint-NL_2018-06-12-eerstekamer-4.u210	I have faith in the bus driver, but it is important that the bus driver in front has been made clear by his employer what the rules are. I am really confident that, depending on the situation and whether or not there is any nuisance or an annoying situation with other passengers, the bus driver will get out of there.
ParlaMint-NL_2018-06-12-eerstekamer-4.u211	Finally, Mr Lintmeijer, on this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u212	It is not a question of whether we have confidence in the bus driver or whether or not this law leads to an additional complication in the behaviour of the bus driver, the conductor or anyone else. My concern is that this law does not solve a problem, but causes a problem that leads to escalation in the place itself.
ParlaMint-NL_2018-06-12-eerstekamer-4.u213	I do not think this has been the approach of those who have drafted the law, especially not my approach. The opposite could also be the case, which is unclear as to whether or not it should be. That is what the legislative proposal is looking for, namely by drawing up one standard for it. I would like to give the institutions ample opportunity to consider what action they want to give their own employees in the light of this new law. Then there are a number of other questions. First, a supplement. The conversations that have taken place in the previous period, including by my predecessor, with women wearing facial cloaks, have not given the impression that people will ignore this ban. People just say they'll adapt, or they'll get out of these places. We have, I think, sufficiently discussed enforcement in this respect. I hope that I have indeed answered the questions that have been asked. Then I come to a close set with a number of other questions. Mr Van Hattem listed a number of organisations that have made a joint appeal against this law. It is of course a fact that wearing face-covering clothing is seen by certain currents in Islam as complying with a religious rule. The fact is that this is a small minority in the Netherlands. I have no opinion of what these organizations find, say or sign. It's up to them. They are, of course, free to express their views on this, as other legislative proposals often give other organisations their views. That is part of our democratic rule of law. Mr Van Hattem asked me to indicate whether the application of what he referred to as the uniform ban on public roads under Article 435a of the Criminal Code could possibly apply. I had to look that up, of course, you understand. That article is about giving expression in clothing to a particular political pursuit. Wearing a burka is not about that at all. This does not take into account the pursuit of a particular political establishment. It therefore does not fall within the scope of this article of law. At least in general, that is the starting point, because in very specific cases it might be different, but that would have to be assessed by the court. Mr Schalk of the SGP spoke about integration. I have just said that this does not see on religion or religion. I have no indication that this affects specifically refugees or people with status in the Netherlands. It is true that we are now paying a great deal of attention to language lessons, but also to the way in which we look at society in the Netherlands. This is called knowledge of society and participation. Attention will be paid to the core values and freedoms that we consider important in our society in the Netherlands. But once again, I have no indication in itself that the bill that we are dealing with here is touching on the issue of refugees and integration. Finally, a question from Mr Schalk on demonstrations and demonstrations. This proposal focuses on buildings rather than on public space. There are usually demonstrations and demonstrations. There's a law for it: the Public Contests Act. That law already regulates that restrictions can be imposed on expressions of people in public space. So if the situation so requires, in practice there can already be a restriction on the use of facial covering clothing at that level. But this always requires a weighting of the specific relevant circumstances and is also a balancing of local authority. In doing so, I hope that I have answered all the questions asked in the first term.
ParlaMint-NL_2018-06-12-eerstekamer-4.u214	I'm going to go on about that last point. I know that there are public events in this Act, but that means, for every mayor in every place or in every municipal situation, that regulations need to be re-established every time. That may mean that this didn't happen, but that something is getting out of hand and that you're actually chasing the facts. At the moment there are demonstrations and such people with facial clothing that is very often meant to riot or whatever. You could turn it around and say: face-covering clothing simply should not be allowed at demonstrations for which permission has been requested and where police have been sent. If that's somehow settled in the law, you're helping the police a lot, because he knows what she's up to. You're going to help municipalities, because they know: normally it's not allowed, but in special situations, assuming it's part of a certain demonstration, it can be discussed in advance and everyone knows where it's going.
