ParlaMint-NL_2018-11-01-tweedekamer-4.u1	The next item is part two of the budget for Education, Culture and Science.
ParlaMint-NL_2018-11-01-tweedekamer-4.u129	I had that impression, too. I felt it.
ParlaMint-NL_2018-11-01-tweedekamer-4.u130	I share that impression with myself and with the Chamber, so that's nice. It is quite extraordinary that the Minister says 'then I need to know what that is about', because we have sent all the information to the Minister, including the programme of what would be done on that teacher's afternoon, so the Minister might know that.
ParlaMint-NL_2018-11-01-tweedekamer-4.u131	Ah, but tell me right away, you're talking about Discovery.
ParlaMint-NL_2018-11-01-tweedekamer-4.u132	It's about Shell Discover, of course. We were there and it was about the inspection. To the questions we asked, the Minister replied: the inspection is not competent there, because it has no legal authority to visit such a festival. This would only be the case if there were activities related to education. And my question is: can you find a teacher's inspirational afternoon where teachers will talk to Shell about how children can develop skills, an activity related to education?
ParlaMint-NL_2018-11-01-tweedekamer-4.u133	The inspection is competent when it comes to education as we know it. This is an activity of private parties. Teachers, teachers and classes can choose whether or not to go there. The inspection has no role in that. It is up to the whole professional people in education to determine whether this is relevant to them and whether they want to do so. It is a free country where these kinds of choices are very free. I understand that you do not think it is desirable, but that does not mean that schools should not choose it. We are not involved and I do not see any role there for the inspection.
ParlaMint-NL_2018-11-01-tweedekamer-4.u134	Very good. This afternoon it is also teacher inspiration afternoon, but before I suspend, there is still a question from Mr Rog.
ParlaMint-NL_2018-11-01-tweedekamer-4.u135	Of course, I do not want to use expensive interrupting time for this, because I will need it for the other minister, but my colleague Harry van der Molen has asked a question about students with educational qualifications who have little demand for a second study. Can the Minister comment on that for a moment? We haven't had an answer to that.
ParlaMint-NL_2018-11-01-tweedekamer-4.u136	You received that reply in writing. These are teachers who have an educational competence, but want to receive training to become competent in another subject. That was the question. We answered that question, too. There are already many facilities for this. For example, the scheme for side-intromers can be used for this purpose. The teacher grant can also be used for this purpose. So there are amenities that I find really an easier and more convenient route than the route proposed by Mr Van der Molen. I wanted to point out that this is a valid point, but that facilities are already available for it.
ParlaMint-NL_2018-11-01-tweedekamer-4.u137	Very good. Finally, Mr Van Raan.
ParlaMint-NL_2018-11-01-tweedekamer-4.u138	I would like to use this interruption to respond to the first and second interruptions.
ParlaMint-NL_2018-11-01-tweedekamer-4.u139	It's all possible. Don't hold back!
ParlaMint-NL_2018-11-01-tweedekamer-4.u140	Thank you, Mr. Chairman. As regards the first, it is of course very disappointing that there is an inventory going on that is important, but the Minister cannot indicate how long it will take. The fact that the Minister dismisses an obvious educational activity at Shell as a choice of his own, while it disseminates information that is not demonstrably helpful in what children need to learn, the fact that the Minister is wrongly saying that the education inspection has nothing to do with it, is simply unwilling. I have no further questions.
ParlaMint-NL_2018-11-01-tweedekamer-4.u141	It's a free choice. No one is obliged to go there. It's always a free choice. It's a beautiful country, I hear someone say.
ParlaMint-NL_2018-11-01-tweedekamer-4.u142	Beautiful closing words. Thanks to the Minister.
ParlaMint-NL_2018-11-01-tweedekamer-4.u143	I'm suspending until 1:10 p.m. Then we have the arrangement of work, after which we are going to listen to Mr Slob.
