ParlaMint-IS_2017-03-02-38.u1	We're expecting lunchtime off the clock. 13 o'clock. 14 today.
ParlaMint-IS_2017-03-02-38.u49	A respectable president. I'd like to be like others to thank the Prime Minister, huh? paritaprevir The Árnadóttir Þóra Arjörndóttir, very much for opening up this discussion here and the Minister for his answers. The report again shows how much went wrong when it came to caring for our most vulnerable individuals. As the original - language report pointed out, you can also find very extensive and practical suggestions for improvement, which is a very important contribution to how we deal with these facts. In this case, the minister has been through some of the suggestions he intends to respond to them. Since I would like to use my time to stress this point, the Commission's proposal to be developed a new study and to make fair progress due to ill treatment and violence to children at institutions. We have the present system where we respond to reports. I believe it is normal that we establish a permanent arrangement in which individuals who feel that they have been subjected to ill treatment or violence that children in institutions can submit and be evaluated, they are not always responding to a very special report. This process is also so important that, as we have seen over and over, these individuals are dealing with very serious consequences of the violence they experienced. While a report is presented and it is permitted to set the time frame, the individual may simply not be able to seek the correct compensation within that time frame. It also shows the importance of ensuring assistance to people with developmental inhibition. It also needs to be noted how serious the consequences may be to those who did not initially have inhibition, but they suffered such violence and therefore went through a great catastrophe all their life, and they need practical assistance to ensure that they will receive the payment they deserve. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u50	A respectable president. Thank you. paritaprevir For starting a special discussion today, the Árnadóttir Þóra Auradóttir. And I thank you very much. Prime Minister for his response. It is difficult to describe the feelings that wake up reading this report. I spent a long time in the nursery school of Mumla, where I learned how precious and rewarding it is to work with disabled children and their families. It is important not only that we learn from this report but that we prevent such things from happening again. We must never allow such conduct to take place with all our community. I'm particularly concerned with section 2.4, the regulations of the Constitution, the general penal law, the child protection laws, and the members. It's horrible to read about a child's punishment story and how the child protection laws have evolved, I would even say scary. As head of the welfare committee, I suggest that we consider both the Children's Law and the Child Protection Act to be revised. I think it's important to see that the laws that apply to children are in harmony with the development of society. I would also like to mention that we must not forget that the United Nations Children's Covenant is legalized in Iceland. By permission of the President, I would like to quote an explanation of the children's covenant: However, since children are particularly vulnerable to a social group, they are also ensured by increased protection and support in various international human rights contracts. ... Following the gross violations of human rights brought on by children during World War II, the discussion of the need to provide additional protection for children grew. I'm wondering if it's the highest. A well - being minister might consider revising the child - protection laws and the child - protection laws with regard to the children's contract.
ParlaMint-IS_2017-03-02-38.u51	Madam President. Here we will discuss yet another report confirming ill - treatment and abuse of government agencies that this is a time of neglect and merciless violence on disabled people and even small children. However, during the discussion, let us take care not to consider that former employees, who performed much of their work lovingly and best of their ability in line with an out - of - date and in - law view. Most important, use the report to learn from it. However, these were people's homes, mostly those of the worst social standing, with the weakest backland. What was to be a safe haven for the vulnerable became hell for many. There were many who failed. The committee counts, including... that there has been a significant lack of a clear policy in law and in the policy-making of the establishment of Kopavogus. She criticizes how long it took the government to fulfill a clear legal obligation to open children in Kopavog's shelter. A branch committee feels that the government has severely neglected to create conditions where children's equipment could be met by legal requirements. The Commission believes that the Ministry of Health has neglected its surveillance duties, and finally the Committee believes that child - welfare agencies, the Government Committee, the Developmental Committee, and the matters of the disabled and surgeons have neglected surveillance by their lack of regular supervision. Madam President. This must never happen again, and it is necessary that the Council as soon as possible establish the United Nations Convention on Infirm People and complete the induction process. Of course, it is the only real compensation that can be paid in this case.
ParlaMint-IS_2017-03-02-38.u52	A respectable president. The report on the Kapovogs bin is needed and useful. It is because it should be able to help us find better solutions. It is evident from the report that the application of retarded 1979 was modified by law, and it is also clear that hundreds of individuals, employees as well as supportive associates, have tried to improve the interests of those who have needed assistance with disabled persons. The report makes it clear that much more is needed. We are now to ask, What then? The question is, a respectable president, and I'm putting it in the top dress. Minister: Shouldn't we set up a new committee on behalf of the Minister, who has the responsibility of making proposals for these newly formed cases based on the available data and experience that appeared to us in the Kapovogs General report? In order for that experience to be clear and beneficial, other institutions must also be evaluated and how they were able to do so. Is there any reason to believe that they were anything different than the Kapovogs bin at the same time or otherwise than being smaller? How about a tour of Chefdanes? How about a tour of the chalet? What about examining other comparable organizations from the same time? These two institutions I give as an example. However, their study also needs to be supported by the knowledge of the growing training team and other members that will be discussed with members of the household and with the inmates. In fact, it's a question, Mr. Honorable President, whether the report on the Kopavog home, as tragic as it is, is not just a reason to make an assessment of the entire Icelandic welfare system, i.e. Its goals and activities. V.E.G. A minister has discussed ways to ask the local communities to take better care of the group. He has discussed ways of taking better care of all and to ensure that all work in accordance with law, but especially, perhaps most important, of all things, with full respect for those who enjoy the ministry.
ParlaMint-IS_2017-03-02-38.u53	Madam President. I'd like to start by saying thank you. paritaprevir The Steinunn Þóra Árnadóttir for having this discussion today. What a reminder that we are constantly in our teens when it comes to caring for and ensuring the right of the disabled! This is not just a matter of technical concepts, laws, rules, obligations, appeals, offenses, and fines. It is about individuals and families, the lives of individuals and families, and the quality of life and happiness. In such a small community as ours, all of this can become a bit complicated, delicate and difficult. In such a small community, the risks of factors such as cohesiveness and silence can be higher than in larger communities. This is something we work here, and we need to be aware of. We need to ask ourselves, " Is there enough ferries to be good enough? ' Are they clear enough? Is monitoring good enough? Is it obvious where the responsibility lies and what the penalty is for violating the rights of the disabled? I would like my first talk to echo the concerns that have been heard here today about monitoring and to direct that question to the highest level. Minister of each of them attracts the highest priority. A minister's inheritance from his predecessor, i.e. it suggests that the bill for services to disabled persons and that the bill for changing local social services is expected to be a more effective monitoring of community services and the affairs of the disabled. Do the authorities keep in mind taking initiative - related surveillance, reflecting on the initials I mentioned? It would be good if the minister could dig a little deeper into it.
ParlaMint-IS_2017-03-02-38.u54	President. It was so hard to listen to people discussing this report that they were hard to listen to. But I'd like to grab on to a story about the VR, with President's permission: During the past few years, there have been repeated acts of liberation against inmates in the United States. The court official of disabled people in the North is saying things very difficult, since the inmates cannot express themselves about what happened. One employee took an emissary neck and struck him in the back of the neck for trespassing on a chocolate roll. One was charged with kicking a resident while taking a walk. ▪ A special team of the Ministry of Health decided last year that an illegal forced and forcedness is applied to the community, which was reported on the news last night, saying former employees and legal guardians in the area unsatisfactory. The company responsible for business activity, Skafurvegur, admits that there is a significant offense in the operation. In 2011, because of suspicions that everything was wrong, the European Court's rights officer first discussed the matter at a meeting of rights keepers. Now I'd like to ask the highest. Minister whether he will try to make sure that when the tip comes - for this report is from February of this year - about violence against disabled people or other people who are supposed to be protected by the government, whether through societies... This group of subjects is always under the Ministry of Health. What will the minister do to prevent this from continuing? This kind of thing happens today. Such tragic things still happen today, and we are looking out for our brothers and sisters who need their safety in every way. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u55	A respectable president. There are many sad points in the report that are discussed, and it is commendable that it is discussed and to our reminders. There are many things so sad that you cannot excuse them in any way, but you can ask for forgiveness and right what you can do. We must never view organizations as storage. These are homes. It is to treat all members of the household with dignity, as we expect to be treated. Each individual has a unique status. He can have it. Let us give him a hand. Reading the report shows that in the 1932 Children's Protection Act, it is said that the child will be offended by physical violence, evil conduct, excessive work, poor equipment, or home conditions so as to result in health damage to the child as well as if the school is not cared for. It's a beautiful purpose. And also by the law of 1936, the institutions I would rather not take into account. It says that general education should be stressed and given special training in teaching work and in providing all the care that is possible. The report presented here shows some ways to improve. I know and know that it has a completely different and good spirit, much of the ability to process this report, and it helps with the wrong people. [[The president calls.]] I apologize, a respectable president, for having spoken too long.
ParlaMint-IS_2017-03-02-38.u56	V.E.G. President. I'd like to start by saying thank you. paritaprevir The Steinunn Þóra Arnardóttir for starting this important discussion, as well as thanking the highest. Minister for the clear answers he gave earlier. Clearly, a great deal of work has gone into operation within the Ministry of Health to help with these issues. I want to thank you very much. Minister for that. But better, if it's enough. It is vital that we all learn, society, past practices, and do better in the future. I want to say something. Logi However, the Einarsson that we are not allowed to detract from the work that worked well when we discuss this even though we are seriously looking at what happened. I want this brief talk to you. paritaprevir Eygló Harðardóttir for setting up a permanent arrangement for those who feel that they have been exposed to neglect, abuse, or other forms of violence, that we create a permanent arrangement where individuals can submit and be evaluated. As shown in the talk "Wicked. " paritaprevir The Eygló of Harðardóttir is sometimes given a time frame to respond to and provide evidence that people who have suffered a shock are not prepared to handle their situation at that time and within the time frame given. I think it would be very good if you could take a look at it as well as it could be considered as the highest. A minister speaks of, double the number of court-care officers, increasing surveillance, so we can prevent these serious things from happening again.
ParlaMint-IS_2017-03-02-38.u57	A respectable president. I pick up the thread where I finished the last time and continue with the children's contract. I would like to explain why I think it is important to have him guide my opinion on child protection and child law. It is simply to ensure that in the United States, children are treated with respect in accordance with the children's covenant. By permission of a president, I want to quote again in the United Nations Children's Covenant: 2.g. Opinions ◯ Reflect discrimination. All children shall enjoy the rights of the child's covenant, regardless of their race, color, sex, tongue, religion, political beliefs, lineage, disability, social status, or other circumstances or the activities of their parents. Section 3. What's best for the child. All decisions or measures made by the competent authorities should be based on the best interests of children. Laws and regulations should be set aside to ensure the protection and care that their welfare requires. Member States are to ensure that organisations and services caring for children meet governmental regulations, especially government safety, health protection, the number and qualifications of employees and the management board. Section 6. The right to life and development. Each child has an inborn right to life and should Member States ensure that he or she can live and develop. Section 12. The right to express your views and to influence them. Children have the right to express their views on all matters of concern and the right to consider their opinions in line with their age and development. Children should be given the opportunity to comment on their own issues in court or administration. It is my opinion that if I read the rights I read here in every part of the community, we would probably not be here today to discuss a Kopavogs bin. I have spoken specifically about children, and I decided to participate in a large report. I'm both the highest. Good ministers and whatnot. Generals to establish the United Nations Convention on the Rights of Disappointment Although validated, this report shows how specific laws must be in order to provide special protection to a vulnerable group of people.
ParlaMint-IS_2017-03-02-38.u58	A respectable president. In the past few weeks, citizens have been observing the discussions of matters that have been followed by a report on the function of the Kapavog bin during the time of 1952-1993, and the care and attitude of individuals many of whom had few or no warnings other than those who cared for them daily. During that period, there was a marked change in Icelandic society. Work, well - being, and knowledge moved ahead, rising education, and attitudes changed as time went by, all of which had their own history. At the end of the 19th century and at the beginning of the 20th century, the policy of so - called human civilization improved in the convergence of social change. There was considerable support for propaganda reformers, the need to reduce the cost of unsurpassed social groups that they claimed to improve. Various contrabands, including A large number of sterilization procedures. In the Western world, most of the 20th century, a medical viewpoint was the dominant one who viewed disability as the opposite of what is normal. The concept of normal life, or normality, was first observed by Danish professionals in the 1950's who suggested that people with developmental inhibition should have the right to live as normal as possible as those who were compromised. At this time, the most common agricultural form was in existence, and it was difficult to implement this ideologies, which has been extended to a host by professional workers who have worked hard to deal with these individuals. In today's society, these are considered to be human rights, the attitude of delinquency, and we are ashamed of the walking steps in this regard. Faceting the past is not painless. However, we should be careful not to unjustly judge the many assignments of kindness and human kindness, although they also have been guilty of wrongdoing and even serious offenses against individuals, and they can never be excused.
ParlaMint-IS_2017-03-02-38.u59	Madam President. I want to start by thanking the highest. Social and equal minister for his speech and answers to questions, as well as for the members of the council who have participated in this discussion. I think we all agree on the need to do better in this case, and we want to do better in the group. V.E.G. A minister said that the report describes the practices of the past, and I think that's true, to a very large extent. But like a dog. paritaprevir Birgitta Jónsdóttir came in, too, we have a terrible example of our time. Of course, they need to be taken firm because we do not want ancient attitudes or practices to pass away today. I'm glad to hear that a ministry agency has been established to supervise the ministry because I think the surveillance is important. I also agree with what has been said here on the United Nations Convention and its legalisation, for it must be the will of all of us that this is not just a word but that it is really carried out, the ideologies presented there. However, it has to follow funding, and it must be accompanied by staff working in behalf of disabled people. I think it's quite right for employees in general in this sector to do their work with great affection. But when there is a lack of staff, people simply cannot do as well as they want to do. I especially want to rejoice that a minister joined me in saying that the housing issues of disabled people are in a serious position. I'd like to finally ask the highest. Whether he or she is not prepared to exert himself for assistance in their homes, so that institutions, whether large or small, as we have today, will really be unnecessary because people will receive help but will not have to go anywhere else to get the ministry they need. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u60	Madam President. I want to thank you again. A senator for this fine discussion and, in fact, for all the members of Congress, for the discussion presented here. I think the key is, we're supposed to celebrate all manner of diversity. This is fundamental when it comes to dealing with disabled people. This is part of the human diversity. We need to make sure that, like all others, we will enjoy equality to the full and meaningful life. It turns even. to live in a home, to choose a home, to have a home service, to view the disabled wherever they live as their homes, not as agencies, homes, or something like that, and to have the respect they have in their homes, and those who render service draw it near to them. Things have been close in here. Hv. paritaprevir Birgitta Jónsdóttir mentioned a case that brought up the home of the factory. There I found an immediate meeting following the news about the local governor of Tattoos, who assured me that there was a systematic process of ambition in reforming. I trust in her words, and I know that there have been a number of better influences, although still involved in the activities involved in the elimination. It's extremely important that we expand our surveillance program. The Ministry is looking at various ways of doing this, to form a prime project available to the council right now for the establishment of a special surveillance agency, where the Ministry and Minister here must take their responsibility seriously and take this very seriously. I agree and believe that it is time to examine Iceland's child - protection laws, considering that we have legally established the United Nations Children's Covenant. The law is a lot older. Although the child - care issue has indeed become part of Icelandic legislation, there is good reason to consider the child protection laws in this regard. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u61	V.E.G. President. Recently, the one here had a good conversation with the highest. Marine and agricultural ministers, the Þorgerður of Katrín Gunnarsdóttir, in special discussions about food and food safety, import and EU contracts, changes in agricultural support systems and other food production and future aspects. The discussion was good, but what is left is the words of a minister on the importance of the present government's interests on the consumer, i.e. prices and products in stores. After that special discussion, I felt the need to go deeper into these issues, and then out of climate. We need to discuss customs policies and strengthen agriculture, but we must also be able to discuss food production in Iceland from a much wider perspective. It's not just about dollars and pennies and each thing, it's about a long - term view of the nation's interests, its security, and our responsibility in a global relationship. So food production is not only to the Ministers of Agriculture and Seaways and Environment Ministers but also to the Minister of Education, Health Ministers, and so on. I intend to continue my discussion of food production and thank you very much. Environment Minister for being prepared to discuss these matters with us today. The UN Report on climate change that appeared during the days is thought - provoking. It is estimated that climate change will threaten future food security on earth. According to the report, in the coming decades, the supply of food will not be in the hands of an increase in the world's population. These reports require that we Iceland appreciate our position in terms of both food production and domestic energy production. We need to consider how we can contribute to climate change, and agriculture is part of the problem, including the contribution of farmers to increase the production of food and food in Iceland. We need to protect our agriculture, it needs to be profitable, and to deal with changed times, research, counseling and developing work should be a key factor. This needs to be taken into account in agricultural education and gardening, a key influence on innovation and investment. Although we do not know everything, the changes in crops and species of climate change will seem to be necessary to ensure that all scenarios require good breeding and pasture countries to be preserved and protected from all manner of destruction. We also do not know how the world's trade of food will develop, and whether it will produce further opportunities for our export. It's quite likely. However, it is suspected that the international interest in transporting too much energy between areas could be reduced. V.E.G. President. With Icelanders, we need to carry out responsibilities on the global impacts of climate change and to adapt our society to them. The long transport of food results in high emissions of greenhouse gases, thus increasing the import of food at the cost of domestic production can only increase climate change. I have a report on the carbon tracks of gardening... made possible by the Organization of Garden Prayer. It contains a lot of interesting things, e.g. The Icelandic aguar leaves only about 44% of a carbon trail left by the imported. Food transport increases the rate of mortality compared to food intake near the site of manufacture. In addition, there is an increase in the cost of packaging. All of this increases chemical and energy consumption, increasing greenhouse gas emissions. But what has been more important in recent years is simply the waste of food that consumers have purchased in stores. For many years this problem was not being noticed here, but it is now taking over and is a joy to see how well it has been possible to call attention to this devastating destruction of food. Based on the fact that about a quarter of the food purchased, it must be considered a big deal. Better use of food must be a great deal of interest to consumers and is also a contribution to climate reform. Much has been discussed regarding forestry and land - healing contributions, but in later years there has been high expectations for a positive effect on wetlands recovery. I see my time is passing, so I'm going to finish this right here and discuss no more about wetlands in this talk, but I might find that out later. I'd like to hear the minister's perspective on the above points, i.e. Its policies and projects in the Ministry related to food production and its importance in food security and climate, the recovery of wetlands - in fact, we discussed the report in earlier times - and its impact on agriculture, its reduction in carbon production, and its use in reducing domestic food production and food management projects. What's the bearing, chief? Minister?
ParlaMint-IS_2017-03-02-38.u62	A respectable president. I appreciate the discussion. It is my pleasure to be here to answer. First, food security and food security questions were asked and if there was a plan on this subject. So it is to say that these lawsuits are not the only ones on the network of environmental and resource services and may not be my job of implementing a plan. Yet, these are vital issues that need to be clearly defined. We live on an island far north of the sea, and we're supposed to produce what we can in a sustainable way, to form in terms of energy and transport, and we're supposed to produce wholesome, safe food, preferably organic. It's the quality stamp I wanted to see on as many Icelandic foods as possible. I'd also like to point out in this context that while making the agriculture, it fully depends on imported fuels, and the exported source of input reduces the ability of this article to produce food, there is a situation that prevents import of these resources. Next, I was asked how I could see the future of food production in Iceland. In short, I see domestic food production only growing, but it has to develop towards sustainability, taking into account the changed consumption patterns of Icelanders and consumer choices. It tells itself that there is nothing sustainable about overproduction, as unfortunately, lamb. In the process of climate innovation, agriculture has a high level of activity, and I look forward to seeing the sector take strong initiative in that direction, in the same way as it does. The fishing road has done. I can see that a revised livestock contract can play a big role in it. Food waste and action against her have been a big part of the past year's discussion, and that's a lot of good. Less waste means less greenhouse gas emissions and generally less pressures on nature. The EEA is working on a food waste project that I think is very good. It promotes waste management in companies and institutions as well as public awareness. Of course, I'm very into the fact that raw materials are used in the best way and that, least of all, are wasted and will continue to support this issue. As for a carbon track of food transport, we need to remember that it will not be held and released. We can, for example. do not use climate reasons to limit food imports at the same time as we would like to sell our marine products, and, in fact, agricultural products as well, from abroad. Let us not forget that we are one of the largest fish importers in the world, bringing in grains, fruits, and products that we cannot earn at home. It is good to increase the awareness of consumers and try to reduce the level of carbon dioxide products at all levels, but it would be unrealistic to try to ban import on the basis of climate change. In fact, I wondered, " Is it certain that the carbon track of domestic food is always less than that of imported food? ' More often than not, the Icelandic product builds to a considerable extent on the imported resources and carbon tracks needed to be included in the overall equation. So it would be very good if, as I heard from the wind, local food producers would mark their products with a carbon line. A senator came in earlier, so that consumers could compare it with the embargos of imported foods, which are less important to be marked. Finally, wetland recovery was asked about the effect. It is clear that the recovery of wetlands is an important factor in climate policy, and I would like to promote measures in that area. There I want to make peace with farmers and other landowners. The most advanced wetlands are being used for today's crops. A significant additional item is used, but its overall size is not available. There is no plan for any unused wetlands that will be taken to grow in the years to come, nor is there a plan to plant forest there. These are all the factors that we need to consider and take into account in the government's climate control program. We need to map the possibility of a much better recovery before invasive procedures. However, it claims itself that such measures as crops or other crops are not required or are intended to use agriculture. There are plenty of the most advanced countries that are not in use, and measures can be prioritised there. I hope I came to answer as many questions as possible. A senator who looks forward to learning what other members of the Parliament say. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u63	A respectable president. I want to thank you for this discussion. It enters the theme that we have decided to honor the highest. Environment Minister with us on his birthday, as has been entered this morning. We're discussing a little of the climate issues. I have a view of climate and food production, as if by other sights, it needs a complete view. That's what I've been missing, that climate issues are taken into account, that all government decisions, that larger decisions are to follow. Who are e.g. The maximum impact of policy. Governments to increase the import of food? Has it been calculated? I heard the highest. A minister before said that the ability to import would be prohibited on the basis of climate change and the highest. Minister wondered if there would be more eco-efficiency of the import or domestic production. I don't think we should be in the place where we're wondering. I think we should be at the point where we should know before we decide what we're going to do. What is the climate impacts of agriculture? There's something we should consider. Will they be calculated in a reimbursement of market agreements? V.E.G. A minister suggested that this be done. The seaside exit comes in there. But in general, I don't think we should make decisions based on some kind of ideologies alone, such as. to increase the import, which is a great debate for some political parties, without considering its meaning. Now I don't know if I'm supposed to take my chances with numbers, but well over 10% of all emissions come from food transport. [[The president calls.]] What does that mean? We need to know exactly, black and white, could compare to see if it's more successful when it comes to climate.
ParlaMint-IS_2017-03-02-38.u64	A respectable president. I like everyone else to thank the advisor here and the highest. Minister for the answers. Iceland is a food - producing country, so it is only natural for us to discuss this big issue, climate, since we are food production countries, mainly in the field of fishing and production and fishing food. In addition to the excellent discussion on climate earlier today, I can agree with what it said about the success and success of marine soil. V.E.G. Environment Ministers also know that providing domestic contracts for the council during the summer and autumn was one of the eight guards that the employment committee wrote in its opinion that a review of agricultural contracts by 2019 should take into account climate conditions. This was one of the central objectives of the revised process in which the Parliament signed the labour contracts prior to 2019 C.E. It was not for no reason because it was most disappointing for me and others to see newly developed domestic agreements that had little to do with the environment and that the climate issues were not addressed. I think agriculture plays a much greater role in climate and environment here in Iceland, just like anywhere else, but we are generally normal. We've got a lot of lost time. We have too little research and analysis in the local setting to help out, to deal with this major problem in the food production at home. There are, for example. Evidence of this, without any confirmation of it, that feeding with grass means less greenhouse gas emissions. We are very supportive of international figures and the value of carbon emissions or greenhouse gas emissions, which we then place in national research. A fine report on the Environment Ministry web includes: to meet one value of the emissions of a particular type of land compared to the standards we are using from abroad, and compared to Icelandic data, it means about 87% lower emissions than the locals indicated. [[The president calls.]] So, Mr President, I say we have a lot of unscrupulous and unsearched in these matters. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u65	A respectable president. I'd like to start by saying thank you. paritaprevir Silja Dögg Gunnarsdóttir for the discussion. In the United States, food production has reduced the number to a considerable extent to the slaughter and protection of meats. With military regulations about the price and disposal, we drive for a long way with the brain and other nerve tissues for disposal. At the same time, we drive long distances to slaughter, but much of this is done in the name of convenience. With these measures, we are making progress at the expense of the environment. We need to reexamine these issues. We need to shorten the distances taken for slaughter as well as dangerous disposal sites. With the system as installed today, some part of the farm needs to go up to a 600 - mile [600 km] way to dispose of dangerous tissue. In addition, it is difficult to identify a special status with the meaning of origin. By paying a way to home entry, we shrink a lit of burning fuel in transport and also produce more valuable and environmental products. By increasing the number of disposal and protection sites, we bring back carbon lines when slaughtering. We have to start thinking about these things overall, taking the lead in reducing fuel combustion and paying a way to innovation. We can add that we still became too much products that otherwise could be made out of value. An abundance of meat waste has the worst thing we can do in this country. These waste materials can produce meats and broils, which, in turn, will become part of an application, and the flour will be used in animal feed. In famine, there is a meatthy standard for burning coal. Is it a sign of carbon-free fuel? Iceland thus has a tool for the full use of waste products.
ParlaMint-IS_2017-03-02-38.u66	Madam President. Like others, I want to thank you. paritaprevir Silja Dögg Gunnarsdóttir for taking up this important matter and setting it up on the program here today. Food production is important for us Icelanders as it is for other nations. It is unmistakably one of the world's foundations for a career. The rapid growth of tourism and its activities as one of our foundations adds to the importance of food production. Usually every day there are about 45,000 tourists. These tourists eat food. I think it can be claimed that many of them, even most of them, are a palace under Icelandic production when available. Then Icelandic food has to do with Iceland's image as a pure natural country. We know perfectly well that the excess of the foreign tourists leading up to the country is not contaminated with our natural nature, and, of course, the northern lights I hope most of them are from the wind. Senators have been able to enjoy last night, and if not, we expect another show tonight. She was amazing. Government contracts establish that the production of healthy domestic agricultural products should continue to be emphasised. And so it says, by permission of the President: In view of crops and the environment, high agriculture and lower carbon emissions are also guided by the above factors in government agricultural policy. A respectable president. One of the main factors that weigh the food security of the Icelanders is the unique state of nature and weather conditions that include. there is little need for the use of insecticides and medicinal products in agriculture. We are to evaluate ourselves from this special position and strengths, including those. By implementing a certification process and related monitoring, which hopefully confirms and maintains the quality and health of Icelandic products. [[The president calls.]] This combines the interests of farmers, consumers' interests and the interests of the environment.
ParlaMint-IS_2017-03-02-38.u67	Madam President. However, at the 2015 Paris Convention on Climate Action, it was noted that there is no mention of the production of animal products mentioned by the United Nations Food and Agriculture Organization, up to 20% of the emissions of all greenhouse gases. For example, on a global scale the production of meat and milk is thought to result in more than total transport. Benjamín Sigurgeirsson, a biotechnology doctor, writes in an inexpensive article several months ago and cites scientific research in his writings that reveal that about 60% of the deaths of mankind are caused by uninfected diseases, whose main risk factors are considered to be an unsatisfactory diet, smoking, alcohol abuse, and immobilisation. Such diseases are often direct food intake from the animal kingdom. Changing diet alone could thus prevent premature deaths and improve health. The environmental effects of animal production are, of course, not only financial but also potentially contaminated by animal production. Besides being extremely aggressive about both water and land space, it is responsible for large greenhouse gas emissions. But is there anything that can be done to improve these issues? Yeah, says Benedikt. It is possible for each individual to deny or reduce his involvement in the production of animals for human consumption. It may be supported by farmers who may wish to switch from animal production to other farms. The possibility of climatic development and other innovations within the plant kingdom might be considered and developed. A respectable president. In fact, it should be mandatory for governments in modern times to instruct people on the effects of meat and milk consumption on the environment and to use measures to encourage increased consumption of food with less environmental impact. There's nothing to wait for, time doesn't work for us.
ParlaMint-IS_2017-03-02-38.u68	A respectable president. I want to be like everyone else to thank for the discussion that has begun here. It is important when we discuss agri-climatic issues to remember that Iceland's farmers have long been in a position to promote environmental awareness and environmental protection in the country. They have been on the road to their crops, their pagans, and their homelands. This is what Icelandic farmers have done for years. They have also always been willing to take up new knowledge and technology in their farming and farming. Some time ago, or in April 2016, the Farmers'agreement on climate - this is similar to that of Kazakhstan in this chair - and I certainly hope that a new Minister will insist on the agreement made there. Also, in June 2016 two treaties were made by the then Environment Minister at Iceland's Farming University of Innunus for research on emissions of greenhouse gases and the binding of carbon dioxide in the soil and the calculation of carbon emissions in agriculture. According to this, it is at the same time very unusual to hear that it seems that the Iceland government intends to contribute to the rise in food import into the country, in fact, to the need for existing needs rather than focus on promoting food production in Iceland and setting it off. There may be a need to reduce production in some places. It may be possible for us to increase it elsewhere and we can expand the export of something else that we are doing today, etc., but it is completely out of the way of talking about climate and agriculture at the same time as a large import of products that are even produced under conditions or in ways that we would not like to recognize. Except for the dangers of importing raw food into Iceland, as has been pointed out in recent days in a very decisive way. Farmers are ready to deal with environmental issues. They have shown it, and they have been leading them to work for years. We can look at the fuel use in agriculture today. We can also look for domestic fertilizers, e.g. Blacks and so forth, to make our agriculture still climate and environmentalized but today. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u69	A respectable president. I want to start this conversation with the highest. Environment Minister by congratulating her on her day. Then I'd like to thank you. paritaprevir Silja Dögg Gunnarsdóttir's daughter for starting this case. But then to the matter. It is important for each nation to ensure its food and food security to the best of its ability, especially in the case of an island such as Iceland, far north of the sea. A healthy course, then, must exist. However, we're going to need first and last to install the sustainable glasses and watch the overall picture, to form what we produce today, how the production process is, what demand is of some products and what other productions could be considered to increase the range of food produced here. When it comes to the overall vision, it needs to be linked to the government's budget for food production, perhaps in particular the agricultural industry, allowing food and food security policies and public funds to work together in the policy. I agree with the highest. The Environment and Resource Minister that agricultural contracts could thus be part of the overall problem policy. If such agreements are to promote an increase in food security, they should contribute much more to the production based on sustainableity in terms of energy and fertilisers and contribute to climate innovation within the agricultural sector than they do today.
ParlaMint-IS_2017-03-02-38.u70	Madam President. We'll discuss food production here. It's tied to agriculture, looks me, not a fishing road, as good as knowing it. There are problems. There are overnew ecosystems, the baits. It's the disposal. I don't think the contraction's started in agriculture. There is a convergence of products mentioned here, which, of course, needs to be replaced by their distribution, and these are the commercial practices themselves. We are forced to shop most in large stores, where prewrapped products originate with a very small choice and small amount of open markets. It's really hard to deal with climateism with food in Iceland, it's been shown. It's a job to fix it. When it comes to import, we are faced with high quality products in Iceland, without significant drug use, without major medical problems. Indeed, in the case of consumers'interests, the vast majority of them have found that in the majority of cases, they are the only ones that make up their money and their products. The climate in Iceland's imports of food does not exist at all. We hear it from here every now and then. She's not part of the community discussion. It is not in the reasonings of those who want to increase the import of food. Of course, no one would think of banning the import of food, as presented here in the highest language. Minister. Of course, this is about finding a balance between the import of food and increasing domestic food production using a climate target. The import of food cannot be configured against the export of marine products. That's what you did. Minister, too. Of course, we can adjust this import to the prices, quality, and ecoves, as we remember the introductions of exported seafood. [[The president calls.]] It's not either or, it's both.
