ParlaMint-HR_2015-07-09-0.u106685	My colleagues and colleagues, colleague Cain?
ParlaMint-HR_2015-07-09-0.u116306	Thank you, too, dear colleague. Dear Representative Josip Salapic has a replica.
ParlaMint-HR_2015-07-09-0.u116307	Thank you very much, Mr. President. Your Honor, I must admit that I find you very likable in your speeches, but this is one assault speech, one more as a declaration based on the Constitutional Court's decision. I even liked it, you almost convinced me that we should respect the principle as you said it, but I would throw out the part where you talk about hypocrisy because you have now read to us the decision of the Constitutional Court that is as you have read it. But also, I will now return, given that I was one of the proponents of the conclusions, to the conclusion of the Constitutional Court decision where the Constitutional Court obliges the City Council of Vukovar to adopt the Statute of the City of Vukovar, gave for the whole area of the city or for certain parts of the city, but in this part, taking into account therefore the facts that it considers fit the life facts and factual circumstances in the City of Vukovar, which does not only compromise the importance of these rights, but also respects the needs of the majority Croatian people that originate from the still living consequences of large-scale aggression in the early 1990s,... the need for a fair and proper treatment of the Serbian national minority in the area of the City of Vukovar. According to this part of the decision, we can interpret the wider and the rope, and finally the Constitutional Court says it is not a participant of political debates, but that in order to solve... the problem, there is no other means than the versatile political dialogue conducted in good faith, however unpleasant this dialogue may sometimes be. So the basic essence of this replica of mine to you is that you need dialogue. Nor should those who made the decisions they made in 2009 be pursued because of the various circumstances, we will not call anyone there because someone has agreed to those decisions. It's not you or me. So let's consider how we're going to live tomorrow and whether this legal proposal that's ahead of us is going to be better than what we have today. So this dialogue, the consensus is needed and that's where we can understand each other, but I'm not into these methods of assault because chasing isn't going to bring us anything.
ParlaMint-HR_2015-07-09-0.u116308	Thank you very much. Replicate response, respected representative Ingrid Antičević-Marinović.
ParlaMint-HR_2015-07-09-0.u116309	Well, I mean, my colleague, when you talk about political dialogue and what the Constitutional Court points to, that we can talk to and that we can talk to and appreciate and those we disagree with and we can talk to arguments. But what to talk to the one who authored the text of hundreds of pages and who today deny the testimony of it. I said, he can only call Mr. Alzheimer's for his witness. How do you talk to these people? But, well, there are still people in the Croatian Parliament who are not our political members to talk to and talk to, and we are open to conversation. Thank you.
ParlaMint-HR_2015-07-09-0.u116310	Dear fellow Representative Peja Grbin, replica.
ParlaMint-HR_2015-07-09-0.u116311	Thank you, Mr. President. Well, dear colleague Anticevic, I wouldn't be surprised if I were you, my colleague, Mlakar and HDZ. When they advocated what you said, they were terrified in front of the European Union and were afraid to enter Croatia into the European Union. They were two-faced to advocate something they really didn't believe in. Today, when we entered the European Union, the masks fell. HDZ colleagues think it's all over, they think we don't have to pretend to be Europeans anymore, they're willing to use absolutely everything they can for their petty political breakthroughs. We must speak plainly, we must plainly point out that in Croatian society there are those who do not care at all what damage can be caused by their behaviour. The government has, as you have spoken, made proposals for laws implementing the recommendations of the Constitutional Court. We talked about them today. There have been some concrete suggestions, such as fellow Lesars, which should be considered. But there was nothing on HDZ's side but spit and complete forget about what they used to say. A fellow Salapic in his replica went a little in that context, but he didn't go all the way and he didn't say what I just said openly. I think it is our duty, our duty to remind ourselves of how someone spoke in 2009, 2010 and how he talks and how he behaves today. Thank you.
ParlaMint-HR_2015-07-09-0.u116312	Replicate response, respected representative Ingrid Antičević-Marinović.
ParlaMint-HR_2015-07-09-0.u116313	Yes, and the general disdain about it was told by foreign diplomats. At that time, they were portrayed outside as directional vassals, and at home as pompous viziers. However, I still need to honor and confess to my colleague Llakar. He was in one segment a better management minister than I was. A two-day letter was introduced for his term, and that was not me in his term. Likewise, they had better in one segment and the minister of justice. During their term of office, during our term of office, none of my generals were in The Hague specifically. During their term of office, all the generals went to The Hague, and during our new term of office, they returned.
ParlaMint-HR_2015-07-09-0.u116314	Thank you very much. We'll continue the debate with the MPs. Now it's up to a respected colleague, Dragan Montenegrin.
ParlaMint-HR_2015-07-09-0.u116315	Thank you, Mr. President, dear colleagues and colleagues, the Honorable Minister, Mr. Bauk, Mr. Milosevic. So here's what I'd end up saying in this individual debate to me as a Serb, a member of the Parliament and a citizen of Vukovar, I'd have a lot to thank some of you for, and some once again invite me to Vukovar to come and spend a little bit of us through Vukovar and see how we see it from our perspective. But I don't want to talk about it, first I'd like to say the same thing as everyone today about the Constitutional Court's decision, about the Constitutional Court at all. The fact is that not for the first time has the Constitutional Court ruled on the rights of national minorities, and I would say against national minorities. I would remind you, for the first time, when the Constitutional Court amended the Constitutional Law on the Rights of National Minorities and the way in which national minorities were elected in the Croatian Parliament, as well as institutions representing a national minority. What is very discriminatory for this case of the Constitutional Court is what they first took into their own, that is, they broke the rule and introduced it into practice, that, in addition to these requirements, the government's demands and requirements of the headquarters were taken, or received material in the metrics, and in fact its metrics were decided not in these conclusions. In conclusion, that decision is clear and as regards, therefore, the assessment of constitutionality, amendments and additions of the statutes with the Constitution and other laws. So he's an unconstitutional statute. However, they took materials named after the referendum said it contains answers to the Organisational Committee for the most frequent complaints that have addressed the initiative to the public. And another material called how we got to the referendum. And in fact it was a press release that was sent to all the media and it was taken by the Constitutional Court as relevant. So why didn't he take any other documents? Why in this procedure no one else could have addressed the Constitutional Court in such a way. For what? Is this objective? No, I don't. Constitutional judges have decided to take this and it is most objective for them and now here it is in some way before us a discussion about the city of Vukovar for which many here may be a fatal question. But Vukovar will live again tomorrow, the Vukovars tomorrow those who have not worked anywhere until now will not work tomorrow, nothing will be better than this debate or the amended statute. We have also entered into the statute the provision that Vukovar and the city of the special piety, that is what I have been saying today. Are we getting better than that? No, I don't. And those who come to Vukovar and love to brag about coming on 18.11. I'd like to hear what they actually hear then, what the Vukovars tell them. And there's little they can hear. You know why? There's not a lot of Vulcans there then. Surely it is hard for us to tell when we know that we are not in the majority or not in the political sense, we do not represent the majority where we can amend these laws and statutes, and therefore we often remind that when it comes to piety and we pray that we talk about the piety of Serbs who have died, who are civilians, who are unrecognizable and unprocessed victims of war. There's no place in Vukovar where you can unfortunately bow to such sacrifices. There's not even a place in common you can do that. We often hear the thesis of criminals walking freely through the city of Vukovar. However, in the DORH report, it clearly proves that the DORH has investigated these cases and that there is absolutely no evidence of this. But that's what they're talking about because it's supposed to keep hanging over Serbs. We don't have the right to have the state donate and give us real estate, and over a thousand and 100 properties in Vukovar have been donated. We don't have the right not to pay the bills. We don't have the rights of some other citizens, but we live in Vukovar because we want and love to live there. These are our homes, it's our not some way where our ancestors lived. He's talking about it all, and I've said it before, so that's what the city is talking about. So speaking the baroque core of the city of Vukovar, says the City Museum of Vukovar, the famous famous Serbs in Vukovar, Paunovica. Who mentioned... ? Well, no one. It is essential that Serbs have a stigma that they have committed a major crime and that all other discrimination is being built on it. However, when an assistant minister asked how Serbs do not have PTSD or how if Ivanka and Ivanka were wounded, Ivanka was a civilian victim of war, Johnka did not. His shift was immediately requested. Why? So isn't that a fact? Yeah, that's a fact. Census of the population, I think we've made this absolutely clear today as far as the total population is concerned. I was talking about a guideline on the consistent application of the Law on the Official Use of Language and Letters of National Minorities. Well, that was, in a way, a promise to both these and the last government that it would be passed, so to apply the law in the use of language and letter. You said yourself you weren't very pleased. Whether this proposal that you have now made will remain, therefore, the disbanding of the representative body if it does not adopt the statute will be seen. However, we have many examples like this. We have examples in school where schools have not been registered for 18 years but are not in the city of Vukovar but in the county of Vukovar-Srijem. The State Statistics Institute report I heard from some city councillors who say we should repeat the list in the town of Vukovar. We know how, the first thing the census was implemented under the Law on the census that was passed to me in 2010 or 2011 under EUROSTAT rules and it was worth a certain time interval. So it started on 31.03., it seems to me, or from 1.04. to the end of the 4th month, and he kept the list, and then there was another control, and everything was okay with that. I'm going to repeat it one more time is not the bilingualism some people wanted, which some people want to say is from '99. Or 2000. I will once again show this directive, and unfortunately, it may also be a problem for citizens not knowing but also politicians about some documents that are extremely important for the Republic of Croatia and that have taken over their obligations both the Republic of Croatia and the Serb community. And if we really wanted the majority people to contribute to establishing some trust I ask you why some other cities didn't apply positive legal regulations. It says here that some parts of the city will not be introduced with a Serbian letter, and I ask, "Why don't we introduce ourselves in some cities?" The law allows it. For example, why not introduce bilingualism in Tenja? The suburban settlement of Osijek? Why don't we introduce bilingualism in the Mirkovci near Vinkovci? Why in some other cities and places, perhaps in Benkovec or Knin or other cities? But we don't want to. Anyway, we'll always be and we've always been for dialogue. At the end of the day, we were so self-contained and in 2009, when the Statute of the city of Vukovar was being changed, we were in favour of dialogue and we had this conversation at HDZ headquarters in Vukovar where it was also a member of the HDZ, and now of the HDZB Slavica Jelinić. So no one had a problem with it, and together we worked out that statute, suggested and adopted it.
ParlaMint-HR_2015-07-09-0.u116316	Thank you very much. We have one replica, dear Tinker Millas.
ParlaMint-HR_2015-07-09-0.u116317	Thank you very much, Mr. President of the Croatian Parliament. Well, I didn't mean to pick up my coworker, but I can't help it. You say it's on the Serbs. Well, that's not true! It's not on the Serbs' Stigma. The Serbs defended Vukovar and Croatia along with us. So, Vukovar as its city and Croatia as its homeland. And there's no dowry on such Serbs, though. You say the minister spoke of Serbs who have PTSD. So he didn't talk about the Serb people, he talked about the members of the movement that attacked Vukovar and about the PTSD he was talking about. And here I have to say, you still have a monument in Borovo Sela for the Croatian directors' killer in the Croatian state. So enter today as a Croat in Borovo Village and say that you are Croat and ask how will you pass? I didn't mean to talk about this, but I should say, let it be known. It's not the Croats. It's not our fault we're under attack. Is that what we're guilty of? Thank you very much.
ParlaMint-HR_2015-07-09-0.u116318	Replicate response, respected representative Dragan Montenegrin.
ParlaMint-HR_2015-07-09-0.u116319	Well, you know very well that you can enter not only the village of Borovo, but wherever you want, and it's absolutely not a matter of any controversy, Mr. Miles, it's perfectly normal. And you know the same about some Jakovljevics, Damjanovic, Mrkics, some people who disappeared in Vukovar. Yeah, I'm not from Vukovar, and you said well, I live in Vukovar now, you lived until the war, I suppose. Yeah, I was born in the Vinkovci. And I'm asking you why did I have to leave Vinkovci? Why did thousands of people like me have to leave their cities, villages, houses and apartments? Why? Because we felt free, because I felt safe? Because I felt like nothing was going to happen to me, or it's going to happen to me like, say, these Vukovar people I've just listed and they've been taken and today they don't know where they are. And you know it very well. I don't think you know where they are, but I think you know those facts. And this is in some situations, as you call out, so we call upon absolutely you who know and who have lived. You said well, so look how long it's gone, how many of your neighbours haven't had Serbs since before the war in Vukovar and what happened to them?
ParlaMint-HR_2015-07-09-0.u116320	Thank you very much. On behalf of the Club of Representatives of the SDSS esteemed representative Milorad Pupovac for the final 5 minutes.
ParlaMint-HR_2015-07-09-0.u116321	Dear Mr. President, Mr. Minister, the esteemed co-workers and colleagues of the SDSS Committee believe that in today's debate, we rarely drifted away from what is a fundamental topic and that we engaged in those segments of debate that do not help achieve what the Constitutional Court's opinion has set as a framework for achieving consensus both in the City of Vukovar and in other parts of the Republic of Croatia. And two things are, one is respect for war victims, especially from the ranks of members of the majority Croatian people, and the other is respect for the rights of the Serb national minority to the official use of language and Cyrillic letters. And these two things were often wrongly debated, and rarely used for a purpose that was not intended to achieve dialogue. On behalf of the Club of Representatives of the SDSS, we said we should go to the adoption of these amendments and the addition of the two-thirds majority. Because it is a law that is so passed and because it is a matter prescribed by the Constitution of the Republic of Croatia, so on matter of human and minority rights. It is always foreseen that changes are made by a two-thirds majority, and we should do everything as some colleagues here have pleaded, including colleagues with whom we have had polemic tones such as their HDSSB colleagues, we should do everything possible to ensure the two-thirds majority, and it would be best if colleagues from HDZ participated in this and not trying to avoid the obligation to bring the two-thirds majority. And secondly, what counterpart Lesar was saying we must show by example to the City Council of Vukovar, on which it is a special responsibility to adopt the status of accessing matter in this debate, and on the other hand, we need to show an example of how to form the majority in order to vote the Statute. Avoiding certain clubs to discuss the scale of things like today's HDZ colleagues tried to say that here with this legal solution about the Commissioner wants to change the will of the people, we all know it's not true. We can agree whether the Commissioner's institute is good and whether it should be otherwise, we can discuss it but the intention is certainly not that, and we all know well if someone would try to do it to make the people's will come back as a boomerang. Therefore, it makes no sense to use it as an argument in the debate because it is not a measure of things. And what I would like to say once again, the council members of the Vukovar City Council must be, they must be returned to the mandate given to them by the Constitutional Court of the Republic of Croatia. That term was taken by the mayor. The mayor went with his will to form a commission that works in the Statute and took away and did not include any of the members of the Serb community, which he should have. But what he needed first was to empower the city council to do it, because the city council is bound to do it. For this reason, respected colleagues and colleagues as we will have a key question as to whether we are able to meet constitutional and business obligations? Some of the vital documents and vital laws that this Assembly should pass, such as the Law on Languages, such as the law concerning the rights of national minorities or human rights and such as the choice of judges of the Constitutional Court, whether we will have the power to overcome the differences between us, the differences that exist between us in terms of experience and to put ourselves above them and to raise the consensus that is necessary for such laws and such transactions to be done.
ParlaMint-HR_2015-07-09-0.u116322	Thank you, dear fellow Pupovac. Time's up. And now, on behalf of the promoters, respected representatives Josip Salapic and Dinko Buric.
ParlaMint-HR_2015-07-09-0.u116323	Thank you very much, Mr. President. I will use my business opportunity as one of the motions for debate and conclusions to thank all those who contributed to the dialogue and debate today. Likewise to those who called us at certain times that we had strayed from the debate, we only responded to those comments when the speaker behind this pay phone, like you, Mr. Pupovac, looked at the badges that we wear and the case that has nothing to do with the conclusion in question, so we also responded because it was polite to respond to what you were saying here. But there's no need to look back on that. I call as the Constitutional Court has said to dialogue, dialogue is needed, although sometimes it was unpleasant for those who listen to it, but in any case, if they talk more, we will come to better legal solutions and better understanding, regardless of our political views at a given time and time, they do not have to agree, but it is important that those who need to understand us will support them, and these are all Croatian citizens regardless of their nationality. I think that our good intentions in our proposal have made our contribution to calming the situation in the city of Vukovar, that the HDSB club is then in the memory column of 2013, 2014, and this year too will be a factor of calming, understanding and common life of all Croatian citizens. Thank you very much.
ParlaMint-HR_2015-07-09-0.u116324	Thank you very much. Dinko Buric. No, I don't. Thank you. We thus exhausted the list of respondents to the debate on these topics and the final words of the promoter. We'll vote on the bill's proposals and the conclusion when the conditions come to pass, I mean tomorrow. Final draft law amending and supplementing the Law on the Use of Language and Letters of National Minorities in the Republic of Croatia, emergency procedure, first and second reading, P.Z. No. 858. ... An emergency procedure has been removed? [[The intruder doesn't understand.]] Ma, the legislator withdrew the emergency procedure in the adoption of the proposed law, so I am voting on the following conclusion: 1) The draft law amending and supplementing the Law on the Use of Language and Letters of National Minorities in the Republic of Croatia has been adopted 2) All objections, proposals and opinions will be addressed to the applicant in order to prepare the final draft law. Please vote on the proposal for a conclusion. The vote is over. I'm asking for a result. I find that most votes, 89 votes, five abstentions and 21 votes against the proposed conclusion. Proposal for a conclusion on the issue of the establishment of bilingual inscriptions in the city of Vukovar and the application of the Constitutional Law on the Rights of National Minorities. The debate on the proposal is closed. In accordance with the proposal of the Government of the Republic of Croatia, I am voting on the following conclusion: - The proposal for a conclusion on the problem of the placing of bilingual inscriptions in the city of Vukovar and the application of the Constitutional Law on the rights of national minorities proposed by one third of the representatives in the Croatian Parliament. Please vote on the proposal for a conclusion. The vote is over. I'm asking for a result. I find that most votes, 81 votes for, 1 vote abstention and 25 votes against the proposed conclusion.
ParlaMint-HR_2015-07-09-0.u116926	Thank you, Mr. President. Dear colleagues and colleagues. Article 126(2) The Constitution of the Republic of Croatia and Article 6(1). The constitutional law on the Constitutional Court of the Republic of Croatia is prescribed that the procedure for running the Constitutional Court judges and proposing elections in the Croatian Parliament is carried out by the Board of the Croatian Parliament responsible for the Constitution. In accordance with the above provisions, the Committee on the Constitution, the Rules of Procedure and the political system of the Croatian Parliament has called on the judicial institutions of the Faculty of Law, the Bar Association, legal associations, political parties, other legal persons and individuals to propose candidates for the selection of two judges of the Constitutional Court of the Republic of Croatia, which was announced on 19 January 2015. On the basis of the provision of Article 6. The Constitutional Law on the Constitutional Court of the Republic of Croatia, following the expiry of the deadline for the submission of applications, established at the 84th session held on 17 March 2015 that 12 candidates had arrived at the time and had been found to be eligible from 11 candidates. In accordance with the above, the Committee held a public conversation with the candidates, and subsequently held at the session on 28 April 2015, and based on the discussion conducted, as well as the documentation proposed by the candidates in addition to the nominations, it was determined by three candidates for judges of the Constitutional Court of the Republic of Croatia and by alphabetical order, Mladen Bajic, Sanja Baric and Ivana Calic. The Committee considers that it is candidates who meet the high criteria that must meet the judges of the Constitutional Court of the Republic of Croatia, that they are persons known not only to the professional but to the general public, and that the choice of any of the proposed candidates can only help further build up a prominent institution in which they are elected. Now let me say a few more words about this proposal. In his final address on the previous agenda, Pupovac pointed to certain problems and to a certain will for consensus. We today see in the assembly that there are certain political options in Croatia from both left and right, which are ready to talk. However, we can also see that one side of the assembly stands completely empty, and that is the one on which HDZ sits. And I can say that I am extremely sad that the distinguished representatives of the HDZ neither here today in the assembly nor in the committee meetings that discussed the candidates for the Constitutional Court's judges would not participate. And you know why they wouldn't participate? Because we didn't want to agree to a political trade. We wanted this procedure to run for the choice of judges of the Constitutional Court in the spirit of the 2010 Constitution change when we introduced the two-thirds majority as a condition for selecting judges of the Constitutional Court. We wanted to implement it in a way that we would choose as judges of the Constitutional Court persons whose integrity and knowledge no one would doubt. We wanted to avoid situations where the Administrative Court made decisions that certain candidates did not meet the conditions for the Constitutional Court judges, and that the Constitutional Court abolished it. We wanted to avoid situations for the Constitutional Court to be chosen by persons who could not become judges of the county court. However, one political option did not want to agree to this. I will finish here now, I will invite you all to participate in this debate, to discuss the procedure of how the board has chosen and proposed these candidates to discuss the candidates we have proposed, and I will invite you all to participate in this vote when we vote whether or not you support certain candidates. Thank you very much.
ParlaMint-HR_2015-07-09-0.u116927	Thank you too, dear fellow President of the Committee on the Constitution, Rules of Procedure and the political system of the Croatian Parliament. I'm opening a debate. In the debate we are going to the clubs of representatives in the Croatian Parliament. It is up to the HDZ Representatives' Club and the respected representative Davorin Mlakar. He's not in the hall, so he's losing his right to discuss this matter. I call upon the honourable representative of Damir Cain on behalf of the Independent List's Club of Representatives. He is not in the Chamber of the Croatian Parliament, he is losing the right to discuss this topic. Dear Representative Milorad Pupovac on behalf of the SDSS Club. Here you go, fellow Pupovac.
ParlaMint-HR_2015-07-09-0.u116928	Dear Mr. President, dear colleagues and colleagues. For the representatives of the people in this case of the Croatian political people, there is no more significant opportunity for discussion than the budget, except for fundamental human minority rights, national security and the issue of the Constitutional Court. But we, in our chance, spent our energy and our concentration when it came to the issue of the Constitutional Court. And it is a great pity that certain clubs in the Croatian Parliament first and foremost raise the opposition club of the Croatian Democratic Community has no interest in the issue of the Constitutional Court and has no interest in that set of laws such as the Constitutional Law on the Constitutional Court as a premise of improving the overall work of the judiciary in the Republic of Croatia. And at this point we can freely say avoiding the crisis in the functioning of the Supreme Institution in the Republic of Croatia such as the Constitutional Court. We have 12 constitutional judges at the moment, and in the next day one of them will retire, so there will be 11 of them. For a long time, the Constitutional Court has not worked in full composition and in the necessary composition, because there is no ability to ensure the necessary two-thirds majority in the Croatian Parliament. And that means that particular and party interests are overcome and consensus is reached on the criteria, on the conditions, and then on the candidates, he's gone. It is not because, unfortunately, even if we are partying to a supreme constitutional instance, it is no wonder that we are partying because we are turning the entire judiciary into a means of political reckoning, political obstruction and political colonization. Instead of fighting for the judiciary to have as much autonomy as possible, instead of fighting for the State Judicial Council, that the Judicial Academy can carry out the necessary reforms both human and educational and evaluation and each other that the judicial system functions independently of us as parties and independently of the Parliament, we have actually witnessed in recent years an unholy invasion of influence and the creation of influence on judicial institutions. And as a consequence, we have what we have in relation to the Constitutional Court. This means that we are obstructing from here to fulfil the necessary obligation arising from the Constitutional Law on the Constitutional Court, which stems from the Constitution. We're from here, from the Parliament. Because we want to continue our campaign, if it can't be our way, then there will be obstruction. It has double, double negative consequences. The first negative consequence is that the serious candidates and candidates we should have for the Constitutional Court run away from it. And it's a miracle that we got these three that we're going to discuss tomorrow, which is what we're discussing today, and tomorrow we're going to vote on. It's a miracle. And it is a great pity that, by the best tradition that we haven't yet done with tradition, but the tradition of serious democracies, we don't have the competence between different judicial philosophies, the judicial worldview, the jurisprudence. We don't have it. And it would be a big deal if the HDZ colleagues had proposed either incentives or stimulated, or all of us together stimulated that we had candidates and candidates who were more conservative, some of whom were more of a different school or philosophy, and we don't have that. We don't. And, of course, I don't have the ability to encourage ourselves to have people who will stand out for professionalism. The last such consensus was reached in ancient times and not glorious times. Unfortunately, here in the House, but also by party criteria, not by value criteria, the position of the Constitutional Judge and the Constitutional Court is looking for. So we are obliged to ensure tomorrow that among those who are proposed choose as best as possible. For two reasons, first, to prevent a crisis that the Constitutional Court may enter. We also have a second obligation to ensure that people we are sure will have independence in the professional, moral and personal sense of that word. Who will know and who will be able to resist the challenges faced by people who are in the role of constitutional judges rarely find themselves in relation to those who have power, political, money power or some other kind of power. This is extremely important because we are witnessing that at various instances of judicial authority and powers really feel, see, and manifest themselves. If you have money, then you have judgment, that is. Freedom. If you don't have the money, then you won't have the verdict, or you won't have the freedom. And that's unfortunately our situation in a large number of cases especially in sensitive cases, especially in sensitive cases. What seems particularly important to me is that the Constitutional Court is a place from which the overall philosophy of the work of the judiciary is reflected, the overall spirit of the work of the judiciary, the total force of justice. If things do not work in the Constitutional Court, if there are difficulties in the teaming, in the election or anything else, then it will naturally reflect on the work of lower courts without further doubt and without doubt because it is thus destroying the authority of the Constitutional Court and then the authority of the entire judiciary is destroyed. Of these three proposed candidates and candidates, there is no doubt that we MPs and MPs in the Croatian Parliament can make a choice. Everyone will choose according to their own assessment, each will choose according to their own knowledge, but there is no doubt that the clubs in the Assembly have the opportunity to make a choice, not complete, I will say it one more time. Not completely, because there was no proposal from all sides. If they had come, then we'd have a chance to make a complete choice. And I hope that tomorrow we will make at least such and such a choice that this will be an example of what should be done in the autumn, and in the autumn we need to make a serious and large choice, crucial for the future functioning of the Constitutional Court of the Republic of Croatia, and thus the overall constitutional power in the Republic of Croatia. The SDSS advocates' club will vote tomorrow according to the assessment and assessment of the proposed candidates and will contribute to the prevailing state of the crisis in which the Constitutional Court enters and, of course, prepare itself for what we have pleaded for in this debate, which is to build a 2/3 majority in the Assembly, regardless of the party differences, regardless of the polemics that we can have when the injuries are sensitive and offensive in view of our experiences, in view of our world horizons and since we could all go through in terrible war years together. And we consider this our important task as a club and all those who contribute to it we will consider ourselves to be people with full right and full consciousness who can be called serious and responsible swearers to the Croatian Constitution. Thank you.
ParlaMint-HR_2015-07-09-0.u116929	Thank you too, dear colleague. We have two replicas. Honorable representative of Peja Grbin, first.
ParlaMint-HR_2015-07-09-0.u116930	Thank you, Mr. President. Well, fellow Pupovac, you have very nicely, clearly and accurately described what the procedure of electing the Constitutional Court judges should look like, so that in this procedure we should face opinions, our views on the judiciary, our views on the functioning of the institution, but also our views on the Constitution. The Constitution Committee carried out the procedure in accordance with both the Constitution and the Constitutional Law. Every step of the procedure was transparent and public. Many of us sitting here and we took part in this, asking questions to the candidates, and making our remarks about this process. And there is one huge problem, and the problem is when the first day of the process refuses to participate in the country's largest opposition party. But not only is it not because it does not make it impossible to say it, but it makes it difficult to reach consensus and the 2/3 majority is always a consensus, but the problem in their non-participation is that neither we as board members, but even more important than that, the Croatian public does not know what the biggest opposition party thinks about this process and about the candidates we have received. You were talking about these candidates. I really think we have three good candidates in front of us, top state lawyers, judges, law professors. I think of them all the best. The letter that you have all received as the opinion of the board describes why we have given them support. But I don't have a chance to hear why these candidates don't answer to someone, and I think I have a right to do that. Thank you.
ParlaMint-HR_2015-07-09-0.u116931	Replica's response, the esteemed representative, Milorad Pupovac.
ParlaMint-HR_2015-07-09-0.u116932	It is a great shame that such important things as this choice of Constitutional Court judges do not have a full debate and no full participation. I fully agree with you, Mr Grbin, that the decision of the HDZ colleagues not to take part in the work of the Constitution Committee and the Rules of Procedure is completely inexplicable and incomprehensible and it is to the detriment of the Constitutional Court, and it is to the detriment of this House, and it is to the detriment of what we, as representatives, should actually do by the act of the oath. As a representative of national minorities, I am very often able to value that some things are not being done the way I think they should and are far from being done the way I think the electoral body that chooses me and I represent would be in the interest of working with. But obstruction, non-participation, non-participation I find devastating for all those who participate in political life, and in particular such things as the choice of judges of the Constitutional Court, especially in matters that depend on the vital stability of interpretation and judgment in the issues of constitutional law, and we have come to the conclusion that this sometimes appears to us as questionable. To contribute to this is harmful, working in favor is dangerous.
ParlaMint-HR_2015-07-09-0.u116933	Honourable representative Ingrid Anticevic-Marinović, replica.
ParlaMint-HR_2015-07-09-0.u116934	Here is a colleague in the replica, and also in the debate you express your concern as well as your colleague, Peja Grbin, why there is no major opposition party, and indeed here in 25 years did they even advance in their democracy and life. You're wondering why they're not here. They're not in the process at all. But they are gone, and they have given a hint because their logic because they have learned, no one could have prevented them from doing so before. If it's not going to be my way, then we're not going to be part of it. How immature, how irresponsible, how irresponsible to the Croatian Assembly so irresponsible and to the Constitutional Court itself. In fact, recently a few months ago, they were surrounded by how they would have a two-thirds majority, and I guess in their imagination they themselves chose all the judges of the Constitutional Court. And here it looks like he's not going to pick either one.
ParlaMint-HR_2015-07-09-0.u116935	Thank you very much. We continue to discuss the clubs of representatives in the Croatian Parliament. It is the Social Democratic Party of Croatia's turn and the respected representative Ingrid Antičević-Marinović.
ParlaMint-HR_2015-07-09-0.u116936	Thank you very much, Mr. President of the Croatian Parliament, colleagues and colleagues. Here is the SDP club from the beginning very actively participated in the work, in the decision-making process and has been prepared for tomorrow's decision to elect two judges of the Constitutional Court of the Republic of Croatia. We don't think, like, ever before, any pre-prepared shops or any kind of rush to give any kind of signal to certain people. That is why we have actually received a very wide range of candidates from whom the Committee on the Constitution, the Rules of Procedure and the political system really had the room to decide, in its opinion, in a democratic way that the candidates, the best candidates of these candidates, would propose for judges of the Constitutional Court. What has so far been done and why is this public and why the public has thus gotten the wrong impression that the discussion of the Constitutional Court judges in the first place is seen as political trade, while on the other hand in other countries, starting from across Europe where consensus is needed everywhere, is considered to be the maturity of political competitors, i.e. both the authorities and the opposition. Namely, since it was known in advance who would come forward, these are the other candidates who would come forward, who knew. They didn't even answer, and then they had candidates who didn't know if they were ever meeting age years, or internships, so they could be judges of the Constitutional Court. So much so that the ruling thinks about the position, the role of the Constitutional Court in general and constitutional judges. It's really sad and it worries, because decisions of the Constitutional Court in every country, and so also in the Republic of Croatia often affect the everyday lives of citizens. We think we've just got good candidates, that we'll be able to make a good decision about them tomorrow. But once again, by finishing this very short address, we express serious concerns, so we do not like this fact that in the Croatian Parliament there is not a single member of the HDZ and let alone a single member of the HDZ to participate in this debate. It worries, it speaks of a serious democratic deficit. Imagine their responsibility, imagine that alternative being offered tomorrow will be power. Look at what he's doing as an opposition today, everything will be clear to you what they're saying at all, let alone what they'd be doing to come to power. Thank you very much.
ParlaMint-HR_2015-07-09-0.u116937	Thank you, too, dear colleague. On behalf of the Proposer of the Committee on the Constitution, Rules of Procedure and the Political System, its President-in-Office, Mr Peja Grbin. Finally, yes.
