ParlaMint-NL_2019-04-11-tweedekamer-9.u1	The next item is the Medical Devices Act. I give the floor to the Minister for his first answer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u127	I think, for the time being, that we have an adequate framework with this legislation in hand and the working methods I have just outlined. But Mr Rutte's question triggers me, so I'm going to think for a moment whether a more comprehensive and visible framework can be created. Well, I'll take that as homework. Then I actually answered all the questions, except for one question from Mrs Ploumen. Imagine if a manufacturer joins the first notified body and thinks: well, that's not going well, can I do that again? This information will soon be placed in EUDAMED and will also be visible to others. Mr President, I hope that I have answered the questions.
ParlaMint-NL_2019-04-11-tweedekamer-9.u128	Thank you very much for your answer. That is why we need the second term from the Chamber. I would like to suspend very briefly for a few moments. Then we will continue with the second term.
ParlaMint-NL_2019-04-11-tweedekamer-9.u129	We're gonna start with the second term of office. I shall first give the floor to Mr Van Gerven of the SP.
ParlaMint-NL_2019-04-11-tweedekamer-9.u130	Mr. Chairman. During this legal process, I wondered what the patients and those concerned would think of this debate. Would it make them happier? Do you think they'll be able to follow? And so on. I hope that they have been able to follow it and that they will eventually get some positive points out of it, so that the work we have done leads to something, in a positive sense. I myself had a negative association, namely the following. You want something, but the European regulation, which is very much dictating, forces us into a particular straitjacket, which actually blocks a lot of things that I would say will improve the law and ensure patient safety. I tried, anyway. I have tabled no less than five amendments and I also have a number of motions for resolutions. I hope that the Minister will see room to provide them with a positive association; we will hear it. I also have a question about something that triggered me in the discussion about the pelvic floor mats and the mesh patients. Does the Minister see any possibility of carrying out independent investigations into the current use of pelvic floor mats in this area? Is that even justified? I'd like an independent investigation, so apart from the doctors who use the mats in certain circumstances, to remove the unrest among the concerned patients. I hope that the discussion on compensation for the removal of breast implants will lead to success. I shall table the next motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas some women who had high-risk implants placed were not aware of the possible consequences;]] [[Whereas the potential dangers are so great that France has prohibited macrotextured and polyurethane coated breast implants and the Dutch Minister has requested the Netherlands Society for Plastic Surgery (NVPC) not to use these implants pending the RIVM study;]] [[Whereas there must be a medical need for the removal of implants free of charge;]] [[calls on the Government to apply the principle that the Dutch suspension of the use of these risky implants is a medical necessity for reimbursement of the costs of preventive removal by the health insurance company,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Gerven and Mr Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-15]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u131	Then there is a motion for a resolution on EUDAMED. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the publication of safety warnings in the European database EUDAMED is not sufficient as they are already publicly available on the website of the Health and Youth Inspectorate;]] [[Whereas both adverse reactions and emergencies and incidents involving implants should be publicly available in EUDAMED;]] [[Whereas a summary of the investigation is not sufficient and it is important that the full investigation is public;]] [[Whereas authorities in Europe sometimes keep research results secret;]] [[whereas, while the Regulation provides for the publication of both positive and negative research results, clinical studies are not published in EUDAMED outside the European Union;]] [[Notes that, in order to achieve maximum transparency, it is important that all information is publicly available in EUDAMED;]] [[and calls on the Government to make efforts to this end,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Gerven and Mr Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-16]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u132	Then a final motion, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Regulation provides an optional basis for delegation, on the basis of which Member States have the right to restrict the use of a specific type of device;]] [[Whereas, at present, a channeling system exists through delegation bases, which means that certain home-use tests which may have a significant impact on health, such as an HIV test, may only be provided by doctors and pharmacists;]] [[Whereas it is important to continue that scheme in view of the desirability of maintaining such transactions and the desirability of involving or possibly after-care by a doctor or pharmacist;]] [[points out that recourse to suppliers from outside Europe is not a reason to drop the scheme and calls on the Government to regulate this channeling scheme per AMvB,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Gerven and Mr Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-17]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u133	Thank you, Mr. Chairman.
ParlaMint-NL_2019-04-11-tweedekamer-9.u134	Thank you. Mrs Ploumen of the PvdA.
ParlaMint-NL_2019-04-11-tweedekamer-9.u135	Mr. Chairman. I thank the Minister for the answers to the questions. I have a number of motions, actually to establish with each other what the Minister has said and what we think. I very much hope for support for that. My first motion concerns the co-finding of population surveys. That's what I started my input with. The directive now states that any problems with implants are not reported to the general practitioner. That's what's on the web right now. That's why, just in case, the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the secondary findings of the Directive state that any wear and/or leakage is not reported to the general practitioner;]] [[whereas the Directive is expected to be amended before the summer;]] [[calls on the Government, pending the Directive, to ensure that abrasion and/or leakage of breast implants is actively reported to the GP,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Ploumen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-18]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u136	Mr. Chairman. Then a second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is an increasing awareness of the adverse effects of breast implants;]] [[Whereas this leads to justified uncertainty in many women with breast implants and that this psychological burden may constitute a medical need for explantation;]] [[believes that women who want to have their breast implants removed should not be prevented from doing so because they have to pay for it themselves;]] [[calls on the Government to ensure that breast implants are also reimbursed if the doctor considers that the psychological burden constitutes a medical necessity,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ploumen, Mr Van Gerven and Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-19]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u137	Mr. Chairman. One last, very brief motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the success of the new European resource policy depends on the completeness of information in EUDAMED and accessibility for all,]] [[calls on the Government to press for this at European level and to keep the Chamber informed of the progress of negotiations on the implementation of EUDAMED,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ploumen and Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-20]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u138	Mr. Chairman. Thanks again to the Minister. I am going to listen carefully to his answers again, because they are the basis of the advice I will give to my group to vote for the law or not. Thank you.
ParlaMint-NL_2019-04-11-tweedekamer-9.u139	Thank you very much, Mrs Ploumen. I call Mrs van den Berg of the CDA.
ParlaMint-NL_2019-04-11-tweedekamer-9.u140	Thank you, Mr President. Thanks to the Minister for all the answers, and for the fact that he is talking to the Patient Federation and the Consumers' Association to strengthen the complaint law and to establish an independent website. I just wanted to come back to the pelvic floor mats. The Minister says that they are only used exceptionally if there are no other options. I am pleased that the Minister is prepared to allow us to pass on the information we have from the field, because I am told, for example, that they are even going to be used as standard in stomas. Mr. Chairman. Furthermore, I found a recent investigation by the NZa and the ACM a bit disturbing. The Minister sent a letter about that. The research was about purchasing behaviour with regard to medical devices. It says that there are often rather strong links between manufacturers and doctors. This may lead to use that we did not mean with each other. I have two motions, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas orthopedics and cardiology have a quality record linking patient information and information on implants so that it is directly traceable which patient has which implant and when and by whom it has been inserted, and the LROI is willing not to make its system available to other associations;]] [[Whereas these registrations have led to fewer revisions, savings in healthcare costs and better quality of care;]] [[Whereas the national reporting point for adverse reactions is not yet linked to these quality records;]] [[calls on the Government to establish a link between registrations of the adverse reaction reporting point and quality records;]] [[calls on the Government to also engage with health insurers and scientific associations to set up quality registers for all implants in the inclusion list, if possible in accordance with a standard according to the "pass or explain" principle before the end of 2019,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr van den Berg, Mr Ploumen and Mr Ellemeet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-21]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u141	Then the second one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are no clear guidelines for carrying out cosmetic interventions such as eyelid corrections;]] [[noting that this results in a diversity of the quality of the procedure and hygiene requirements of the treatment area;]] [[noting that there is also uncertainty as to the requirements of competence and competence for carrying out cosmetic interventions;]] [[Calls on the Government to engage with the relevant professional groups in order to agree on clear guidelines for carrying out cosmetic interventions and to inform the Court of Justice before the end of 2019,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van den Berg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-22]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u142	I would like to return to Mrs van den Berg's introduction. She said that unwanted behavior can occur if there is a financial interest between a doctor and a manufacturer of an implant. I have tabled an amendment which seeks to prohibit individual favours and conflicts of interest. How does the CDA view this?
ParlaMint-NL_2019-04-11-tweedekamer-9.u143	I find what Mr Van Gerven says very far-reaching. As the Minister pointed out in another debate, the favour has been reduced and much more accountability has to be made. I am also thinking of the studies that often take place for which doctors make additional efforts. In order to ban it altogether, I am going too far at this stage. But it is good that there will be more transparency. This letter probably also appears in another debate. We are also curious about the sometimes strong links found in one third of the cases by the NZa and the ACM.
ParlaMint-NL_2019-04-11-tweedekamer-9.u144	Mrs Van den Berg recognises the risk that health care is not central. In the amendment, I would argue that it is not the individual doctor's appointment, but that it is up to the institution, for example, a university medical centre, so that it is a consideration of an institution and not the consideration of an individual doctor. Can the CDA live with that?
ParlaMint-NL_2019-04-11-tweedekamer-9.u145	I would like to see the consequences first. There are doctors who are very well known for all the research they do. They have a huge position in the scientific world. I don't know what that would mean for the research and the expertise they have, because sometimes these doctors also work in multiple places.
ParlaMint-NL_2019-04-11-tweedekamer-9.u146	Finally, the conclusion is that the CDA stops somewhere halfway again when it comes to preventing unwanted conflicts of interest.
ParlaMint-NL_2019-04-11-tweedekamer-9.u147	I'd like to respond to that. It is said here that in a third of the cases there are strong links. This means that in two thirds of the cases there is no such finding. Now I know that in another debate recently it was said: perhaps only 1 in 100 bicycles are stolen but we lock all bicycles anyway. The point is that we also want to ensure that there is an atmosphere of trust in care and that there is a learning culture. Then you're not gonna help by just closing everything down.
ParlaMint-NL_2019-04-11-tweedekamer-9.u148	Thank you very much, Mrs Van den Berg. I call Mrs Agema of the PVV.
ParlaMint-NL_2019-04-11-tweedekamer-9.u149	Thank you, Mr. Chairman. Looking back on the debate, I do not think it is sufficiently realised that there is a big difference between medicines and medical implants. I also notice this in the debates we have held here. With a cure, you can stop. If that drug has caused damage, it's very annoying, but at least you can stop. With an implant in your body, however, that is a completely different story. You're not just gonna take it out. You can't do that yourself. However, the ability of manufacturers to bring a medical implant to the attention of specialists who will then try it out is very great. Actually, a lot of people are medical guinea pigs. I think that the Minister's approach to the medical need is too strict. As an example, the breast prosthesis has passed several times. I myself came up with the example of the jaw implant. That's about six weeks in there, and it's kind of a bitch all the time. But, yeah, you can't prove that. If you then go back to the jaw surgeon to say that you actually want to get rid of that implant, because you find that thing very annoying and pressure it all the time on your jaw, which might still be like this next year, then the jaw surgeon says that there is no medical need for that, that he took a picture and it looks fine. Then what, I'll ask the Minister. Then it can be said that the doctor should have the last word because of medical need or that the patient should have the last word, but I think you should look at that less black and white. I think you should be able to take that patient's judgment with you in the case of those medical implants, because it doesn't just get rid of them. Then the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that an implant is basically lifelong in your body and that side effects or adverse health effects can always occur at any time;]] [[Whereas, as a patient, you should be able to decide at any time whether you want to retain or remove an implant, even if there are no complaints;]] [[noting that the removal of implants is now only reimbursed if there is a medical need;]] [[calls on the Government to consider the patient's judgement as a criterion for determining medical need,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35043-23]]
ParlaMint-NL_2019-04-11-tweedekamer-9.u150	I had also asked a question that was not answered and it was about the pelvic floor mats, the mesh mats. Because they grow along with the body, those mats aren't easy to remove. Moreover, the complaints it causes are long-term and can last for a lifetime. I had asked the Minister about the treatment of these patients, whether they are actually being adequately helped and what his view is of the long-term treatment of people who are dealing with medical implants that are stuck and can no longer leave their bodies but which cause a lot of problems.
ParlaMint-NL_2019-04-11-tweedekamer-9.u151	Thank you. Mr Raemakers on behalf of D66.
ParlaMint-NL_2019-04-11-tweedekamer-9.u152	Mr. Chairman. Thank you to the Minister for the answer, for the exhaustive answers to all Members' questions. I do not have any amendments or motions, but I have three comments to make. First of all, I would like to comment on my question on the number of devices that now have to be re-examined. The minister's gonna stick to the figure of 500,000. It is very difficult to clarify that, and I understand that. We had also asked for a timetable. In particular, I have heard years today. I get that, too. It is not important for the Chamber either, I think, to know exactly what month everything is being tested, but it must all be done in the end. That's very important. My second comment concerns the independence between notified bodies and manufacturers. I have followed the debate with the other Members closely on this point. So we don't want the situation that a manufacturer can shop between different notified bodies. I was wondering what the deal was with informal contacts. That is very difficult to keep up with, and you do not understand that in a transparency register. I am curious to see how the Minister looks at this and how strict the rules are in this area. My third point concerns the tools for perhaps small groups of patients, which are of benefit to very few patients, but which are important for those patients. In the debate, you saw a lot of tension between, on the one hand, ensuring more protection for patients and, on the other hand, ensuring that there is sufficient innovation. Mr Arno Rutte also pointed this out. So I think that's a point to think about in the future: how do we also keep all the tools accessible to small patient groups? All in all, D66 thinks there's a good bill ahead. I will advise my group to vote in favour of this bill.
ParlaMint-NL_2019-04-11-tweedekamer-9.u153	Thank you, Mr. Raemakers. Finally, Mr Rutte of the VVD.
ParlaMint-NL_2019-04-11-tweedekamer-9.u154	Thank you, Mr President. First of all, I would like to confirm that we had a good and well-balanced debate today on a very emotional subject, as was the case on 21 March. It is not often that the House of Representatives talks about implants and aids. It is very good that we have done so in such a short space of time, first of all in connection with all kinds of incidents and now with a legislative proposal which implements two very robust European regulations. Are they sturdy enough? Each group must consider whether it agrees or not. I don't have any motions. At first I thought I needed it, but the Minister has made a number of very important commitments, for which I thank him. I am extremely pleased that the Minister is talking to the umc's in the Netherlands to look at the problems surrounding the custom implants, to see how we can prevent them from becoming available to patients who are not being treated in an umc. That seems like a small problem, but that's a pretty big problem in the world of the umc's. It would be good to find a way in. I am also very grateful that the Minister is going to make a strong commitment at European level to look at the adjustments made to existing implants, and to tailor them to suit them. Should we or shouldn't we have a CE certificate? That must be clear, otherwise parties will not know what to do with it. As far as I am concerned, these small adjustments should preferably not lead to a new CE certificate, because that would also mean that they simply cannot be used anymore. And two years of waiting doesn't, of course, go with a treatment. Finally. There was a lot of attention today on the complex issue of macrotextured breast implants. I told you, this discussion is going to take place more and more often. Many thanks for the Minister's commitment to reflect on a robust and new balancing framework. I hope that will be there in the foreseeable future and that we will be able to take note of this in the Chamber. I think it is important to talk about that framework, to think about it with each other. I would like the Minister's undertaking that he will share that with the Chamber in due course. It is clear that the VVD will wholeheartedly support the bill as it stands, but it is also aware that the discussion is far from closed. Thank you.
ParlaMint-NL_2019-04-11-tweedekamer-9.u155	Thank you. This brings us to the end of the second term of office. The Minister needs fifteen minutes to prepare his response in second term. I hear he doesn't have all the amendments yet. We're gonna collect it for him.
ParlaMint-NL_2019-04-11-tweedekamer-9.u156	We're still working on the Medical Devices Act. I give the floor to the Minister for the second term.
ParlaMint-NL_2019-04-11-tweedekamer-9.u157	Thank you, Mr President. First in the direction of Mr Van Gerven. He has tabled a number of motions and a number of amendments. He also asked a question: is it not important to have independent research conducted into the use of pelvic floor mats so that unrest can be removed? I'd like to think about that question. I'd be happy to look into it with the aim of removing the unrest. I'd like to see what's still going on right now. I couldn't quite fix that in a quarter of an hour of suspension, but I'd like to respond to that. I'll inform your room of that by next month at the latest. Then there are the amendments. First of all, the amendment on item No. 10 on grace. It concerns the deletion of the phrase referring to a natural person. The idea is that favours can only be provided for services by institutions. I do not recommend this amendment because, as far as I am concerned, it is a brake on the development of new medical devices. In that case, the doctor may only provide services for the institution or university for which the doctor works. This means that there is no service for institutions other than the doctor's own institution. I believe that this is a fundamental limitation on the application and development of new medical devices. So it's undesirable.
ParlaMint-NL_2019-04-11-tweedekamer-9.u158	The amendment in part No. 10 is not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u159	Then there is the amendment to item No. 11, which is intended to make the framework law vbo's applicable to notified bodies. I would advise against that amendment. I assume that the idea of the author is that additional rules can be added with regard to notified bodies. I'm not for that. I'm trying to figure out the consequences of this. If we add too many rules for the notified bodies, they may leave the Netherlands. I wouldn't want that to happen. I prefer them in the Netherlands, under Dutch supervision. So I advise against that amendment.
ParlaMint-NL_2019-04-11-tweedekamer-9.u160	I have another question for the Minister. I ask him whether he can do it, regardless of whether he is in favour of it or against it. Can this amendment simply be adopted despite the regulation adopted in Brussels?
ParlaMint-NL_2019-04-11-tweedekamer-9.u161	That's not what I've been thinking about. I honestly thought that there had been technical consultations with the legal experts of my department on this amendment. But I'd be happy to find out. But I don't recommend the amendment. Let's get that straight.
ParlaMint-NL_2019-04-11-tweedekamer-9.u162	That is, of course, also important. Certainly, there has been technical consultation on the amendment. The notified bodies are now commercial, with a potential profit, and that has certain risks. I am trying to contain them with a number of amendments that I have tabled. All right, we need to point them out. That is a matter for the Minister or for the inspection. Then I say: put some extra conditions around it, so that you can steer it better and intervene if things go wrong.
ParlaMint-NL_2019-04-11-tweedekamer-9.u163	Of course, I should have known better. If the department's legal experts have helped in drafting the amendment and the amendment is here, I should have assumed that I would have liked to say that the amendment is technically possible. But I am not in favour of it for the reasons mentioned above. That is why I do not recommend the amendment.
ParlaMint-NL_2019-04-11-tweedekamer-9.u164	The amendment in part No. 11 is not recommended. Then there is the amendment to item No. 12.
ParlaMint-NL_2019-04-11-tweedekamer-9.u165	The amendment in part No. 12 is about setting up a medical device assessment college. I do not recommend that amendment, given the route that is being followed with medicines. The role of the CBG is a different one than we are discussing here this afternoon. The regulations are here in a context of European regulation. So I advise against this amendment.
ParlaMint-NL_2019-04-11-tweedekamer-9.u166	The amendment in part No. 12 is not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u167	Then we have the amendment to item No. 13. I would advise against that amendment. The amendment aims to remove the legal burden of using a defective medical device from the patient and lay it down with the doctor or institution. If a producer is blamed, it is up to the doctor and the institution to prove it.
ParlaMint-NL_2019-04-11-tweedekamer-9.u168	The amendment in part No. 13 is therefore also not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u169	Yes, because it goes against product liability law, whereby the producer must be held liable for mistakes made.
ParlaMint-NL_2019-04-11-tweedekamer-9.u170	I believe that the Minister's conclusion is incorrect. The producer's liability simply stands. What I intend to do with this amendment is to reaffirm the responsibility and liability of the physician, as already stated in the Civil Code in Article 6:77.
ParlaMint-NL_2019-04-11-tweedekamer-9.u171	We exchanged that in the debate. I've been talking about the side-suitability. The nail producer can be addressed, and the carpenter. But the amendment looks primarily at the aid provider. I do not think that order fits in with the regime of product liability law as we know it. So I advise against this amendment.
ParlaMint-NL_2019-04-11-tweedekamer-9.u172	We have the Van Gerven amendment to item No. 14.
ParlaMint-NL_2019-04-11-tweedekamer-9.u173	I thought I'd run out of stuff. I do not have the text of that amendment here, but I would like to add it. In the meantime, I am going to give an opinion to Mr Van Gerven's motions, first of all the Van Gerven/Ploumen motion on item No. 15, in which the government is asked to apply the principle that the Dutch suspension of the use of these risky implants is a medical necessity for the reimbursement of the costs of preventive removal by the health insurance provider. I do not feel in favour of this, and I say this in view of other motions that are still before us in order to colour that concept of'medical necessity'. That's up to the profession. They need to color that understanding, not me. That's why I advise against this motion.
ParlaMint-NL_2019-04-11-tweedekamer-9.u174	The Van Gerven/Ploumen motion in part No. 15 is not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u175	In the operative part of the Van Gerven/Ploumen motion to item No. 16 states that in order to achieve maximum transparency, it is important that all information is publicly available in EUDAMED and calls on the government to make efforts to do so. This is all about information. I have just given an example of information that gives rise to research into certain manufacturers. As far as I am concerned, that kind of information should not be public. However, having said that, I agree that we must strive as much as possible to achieve and work on it, and I too am moving towards Europe to ensure that public information is placed in EUDAMED. If I may read the motion in this way, I'd like to leave it to the Chamber.
ParlaMint-NL_2019-04-11-tweedekamer-9.u176	The motion in part No. 16 gets "judge chamber."
ParlaMint-NL_2019-04-11-tweedekamer-9.u177	The Van Gerven/Ploumen motion in part No. 17 I do not recommend, because I do not expect a practical result from the ruling contained in this motion. The concerns of the SP, the impact of a possible negative result, are not prevented by maintaining the channeling system. After all, a self-test is carried out without the presence of a health care professional. If the self-test reveals a negative result, the patient may seek medical attention. Of course, a patient can always choose to have a test carried out by a healthcare professional instead of a self-test. It remains possible, even without the channeling system. That is why I do not think it is necessary to continue the channeling scheme.
ParlaMint-NL_2019-04-11-tweedekamer-9.u178	The motion in part No. 17 is not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u179	The motion in part No. 18 has been tabled by Mrs Ploumen and calls on the Government to ensure, pending the directive, that wear and/or leakage of breast implants is actively reported to the GP. I thought I had argued in the debate that there was already an active obligation to report visible wear, because of course it is necessary for that screening radiologist to see that something is going on and that this is being reported. This motion is intended to ensure that the process at RIVM, where these screening radiologists work, works well in practice towards the general practitioners. If I may explain this motion in such a way that I bring both parties to the table and say to them 'you must pay attention to this, because this is important', I would like to do so.
ParlaMint-NL_2019-04-11-tweedekamer-9.u180	The motion in part No. 18 gets judgment Chamber.
ParlaMint-NL_2019-04-11-tweedekamer-9.u181	The motion in part No. 19 I recommend, because I do not want to paint the concept of'medical necessity', as I said earlier in the direction of Mr Van Gerven.
ParlaMint-NL_2019-04-11-tweedekamer-9.u182	I have, of course, heard that argument from the Minister, but this motion is actually asking for nothing more than that the cabinet should guarantee that the doctor's judgment is correct. Actually, it fits, so to speak, right in the direction of the Minister. It does not ask the Minister to give a judgment or to qualify that judgment. It only asks: if the doctor comes to the judgment "medical necessity" on the basis of psychological stress, will the minister guarantee that that is also a guiding factor? In fact, it calls for confirmation of the words of the minister himself. In that sense, it's just something else.
ParlaMint-NL_2019-04-11-tweedekamer-9.u183	Clear. The Minister.
ParlaMint-NL_2019-04-11-tweedekamer-9.u184	My objection is against the remark: to ensure this. I have always said all afternoon: it is important not to put the government at the centre of attention here, but to put the professional at the heart of the matter, so that the doctor and his profession choose what is covered by'medical necessity' with their professional rules. I would like to leave it at that and therefore advise against this motion.
ParlaMint-NL_2019-04-11-tweedekamer-9.u185	Let's just call it man and horse. The fear of me and my co-sponsors is, of course, that a doctor comes to the judgment "medical necessity because of psychological suffering" and that the health insurance provider says: yes, girl, that is not going to happen. I would like the Minister to say at that point: no, the agreement is that the doctor's judgment on medical necessity is leading.
ParlaMint-NL_2019-04-11-tweedekamer-9.u186	If such a situation arises, I would like to know. But I said both yesterday and today that I think it is important that the medical necessity is the criterion and that it is up to the professionals and the profession. They have to choose that. So I'm sticking to the judgment of "dissuade emotion."
ParlaMint-NL_2019-04-11-tweedekamer-9.u187	The motion in part No. 20.
ParlaMint-NL_2019-04-11-tweedekamer-9.u188	This motion considers that the completeness of the information in EUDAMED is crucial for the success of the new European resource policy. The motion then called on the government to press for this at European level and to keep the Chamber informed about the progress of negotiations on the implementation of EUDAMED. The motion is therefore, in fact, twofold: continue to insist that as much as possible be made public and that the confidential part of EUDAMED be kept small. I think that would be fine, Mr. Chairman, and therefore the Chamber of Appeal.
ParlaMint-NL_2019-04-11-tweedekamer-9.u189	The motion in part No. 20 gets judgment room.
ParlaMint-NL_2019-04-11-tweedekamer-9.u190	The motion in part No. 21 calls on the Government to engage with health insurers and scientific associations in order to establish quality registers for all implants in the inclusion list, if possible in accordance with a standard according to the principle of "application or explanation." I have previously welcomed the position that I would like to discuss with that scientific association the importance they attach to a quality register, because that is a new administrative burden. So I am fine with that "going into conversation," but the result does not always have to be a quality register as far as I am concerned, if that is a lot of administrative ballast and if the result can be achieved in a different way. That is how I put it on 21 March. So I want to see what's possible to establish the link with data that's in the different registers. The aim is to find a solution, but I'd like to take a swing at the arm. So my position is a little more cautious than the motion asks.
ParlaMint-NL_2019-04-11-tweedekamer-9.u191	The previous motion didn't say "pass or explain." We then held that motion at the Minister's request. We're gonna rescind that motion. We would like to put this motion to the vote. The term "apply or explain" gives a bit of space. There may be circumstances at a specific scientific association which makes it say: I'm not going to solve it this way, but in a different way. So the Minister has some freedom in that. But the aim must be to work towards a registration.
ParlaMint-NL_2019-04-11-tweedekamer-9.u192	Okay. It is, of course, the professionals who make quality registers, but if I may interpret the term 'apply or explain' in this way, I am happy to give the motion judgment Chamber.
ParlaMint-NL_2019-04-11-tweedekamer-9.u193	The motion in part No. 21 gets judgment room.
ParlaMint-NL_2019-04-11-tweedekamer-9.u194	The motion in part No. 22 invites the Government to engage with the relevant professional groups, with the aim of agreeing clear guidelines for carrying out cosmetic interventions and informing the Court of Justice before the end of 2019. I'll leave the judgment to the Chamber. The development of the quality framework of cosmetic medicine led by the Healthcare Institute is taking a good step in this direction and I would like to see with the parties whether additional steps are needed and to inform you about this.
ParlaMint-NL_2019-04-11-tweedekamer-9.u195	The motion in part No. 22 gets judgment room.
ParlaMint-NL_2019-04-11-tweedekamer-9.u196	The motion in part No. 23, I advise. The motion calls on the government to consider the patient's judgement as a criterion in determining medical need. No, Mr President, I say it again: it is up to the professional to colour the concept of "medical necessity." I advise against this motion.
ParlaMint-NL_2019-04-11-tweedekamer-9.u197	The motion in part No. 23 is not recommended.
ParlaMint-NL_2019-04-11-tweedekamer-9.u198	I have one more amendment, the one on item No. 14. I'd advise against that. The first part of the amendment is superfluous. The regulation already provides for the obligation to publish both positive and negative research results in EUDAMED. The amendment does not add anything, because this obligation already exists. The second part of the amendment is undesirable because it puts the doctor and other caregivers in an impossible position. I've promised that caregivers will be required to report an incident to the inspection shortly. I will submit a letter of amendment to that effect. The amendment goes further and looks at the direct disclosure of an incident. This amendment puts the doctor in an impossible position. If he is required to make an incident public, he could become more reluctant to use medical devices. Also, a doctor will think three times before reporting an incident, because he is at risk of liability for false reporting of an incident. On the contrary, I want to keep the reporting of incidents at a low threshold. That's it, Mr. Chairman.
ParlaMint-NL_2019-04-11-tweedekamer-9.u199	Thank you. I'm looking at the members. Are there any outstanding questions? One more question that has not been answered by Mrs Agema.
ParlaMint-NL_2019-04-11-tweedekamer-9.u200	A question I asked in my first and second term, about people who suffer from a medical implant, such as pelvic floor mats, and who become long-term pain patients. What about them? What is the Minister's view on this? How many people is that? I just want information about patients who suffer from long-term pain from medical implants that have something wrong with them.
ParlaMint-NL_2019-04-11-tweedekamer-9.u201	I thought Mrs Agema's question was more specific and was about people who are still experiencing adverse effects from pelvic floor mats. That is actually the same answer I gave to Mr Van Gerven. I would like to think about whether further research is needed in order to remove the unrest, and I would also like to add the factual information that Mrs Agema is asking for. You must give me the opportunity to think about what is already going on in research, because it is not so easy to grant research. But I'd be happy to give you a letter on that by next month at the latest.
ParlaMint-NL_2019-04-11-tweedekamer-9.u202	Thank you very much. We have thus come to the end of the treatment of the Medical Devices Act.
ParlaMint-NL_2019-04-11-tweedekamer-9.u203	The amendments and motions tabled will be put to the vote next Tuesday. I thank the Minister for coming to the Chamber and suspend the sitting until 6:40 p.m. In addition, I have to say that the Registry Plenair is currently doing everything possible to go ahead. If that works, you will be informed later.
