ParlaMint-NL_2019-11-13-tweedekamer-7.u1	I'm reopening the meeting. We shall continue with the examination of the Foreign Affairs budget.
ParlaMint-NL_2019-11-13-tweedekamer-7.u143	Thank you, Mr. Chairman. Two priests of the Armenian Catholic Church from Qamishli in Northeast Syria were shot from a car yesterday. The number of terrorist attacks in this area has almost doubled since the beginning of the Turkish invasion. One tweet by American President Donald Trump to withdraw his troops from Northern Syria has given free rein to Turkish President Erdogan to invade this Kurdish area. We know what the consequences have been: hundreds of civilian deaths and hundreds of thousands of people fleeing, an increase in the number of terrorist attacks by ISIS cells. Mr. Chairman. The Americans had troops in Northeast Syria since early 2016 as a result of a decision by the previous President, Obama, without a mandate from the UN, I add. Together with the SDF, the Syrian Democratic Forces, they have played a decisive role in the fight against ISIS. Before the withdrawal of the Americans, they asked for support, including from the Netherlands and the West. The answer was largely no. Only the French and the British have people there. The Netherlands refers to the absence of the international mandate. That is the dilemma I would like to outline here as well. What if international law is held hostage by one party, namely Russia? Can this then prohibit the rest of the world from taking on the most vulnerable minorities in Syria? The Armenians there are now once again threatened by ethnic cleansing 100 years after the Armenian genocide by the Turks. This applies not only to the Armenians, but also to minorities such as the Arabs, the Kurds, the Assyrians, you name it. Mr. Chairman. It is the Germans who are now proposing to bring the security zone under international control rather than under Turkish tyranny. The Americans are excited. Even Turkey sees something in it, as it turned out last week during the NATO ministerial. Even the Secretary-General of NATO, Stoltenberg, is enthusiastic. But Russia can still block in the UN Security Council by vetoing it. In short, the question arises of how to shape foreign policy if one country can cripple everything. I would like to hear a reflection from the Minister on that point. What if Russia continues to refuse? Will we continue to watch the massacre of Kurds and other minorities in North-East Syria? Is it not time that the Germans' plan was taken seriously? How does the Minister estimate the chances of getting that plan to get the security zone under international control and thus to bring the Turks back to their own territory? My second question to the Minister is: is he therefore prepared to give serious thought to this? Mr. Chairman. I'm going from Syria to Iraq and the minorities there. The Christian population has been decimated there since the beginning of this century. Christians flee the region because they are targets of violence. I say again that it is not only the Christians, but the Christians are the specific targets of the jihadists. Some displaced persons, for example in Iraq, want to return to their homes. How can the Netherlands, and how can the European Union, make an effective contribution to their protection, I ask the Minister? Mr. Chairman. This brings me to the subject of freedom of religion. Mr Van Helvert has already mentioned it. We were in Singapore last week for an interparliamentary conference. There we were told that Christian persecution is number one in the world when it comes to persecution. 245 million Christians in 50 different countries are oppressed and literally persecuted every day because they want to live as Christians, or because they have become Christians. Mr. Chairman. The second group are the Muslims. We also know how it can be prosecuted. In my opinion, I tabled a motion to the Foreign Affairs budget last year to see what we could do in the context of the worst punishment for repentance. Article 18 of the Universal Declaration of Human Rights is about the right to change faith. What happened to that motion, I ask the Minister. Were there indeed funds released, have people been released? To see what we can do with partners in Europe to address countries, I refer to Mauritania, Saudi Arabia and Iran, who still have the death penalty in their legislation on conversion, or apostasy, as they call it? If the Minister does not have funds for this, I am, of course, prepared to think creatively with him. Then I refer him to the Human Rights Fund, which we can use specifically for this purpose. I am also pleased that we now have a special envoy for religious freedom. I would like to see this envoy also have enough resources to do his job. Can the Minister also vouch for this? Please confirm that plea. Mr. Chairman. Then the Armenian Embassy. Hopeful developments have taken place over the last two years. Following a peaceful revolution, a new government has taken office, fighting the widespread corruption and crime and the ensuing repression. This government would like to strengthen its links with Europe and the Netherlands. Let us support this small country in this strategic region by establishing a fully-fledged Dutch embassy there. I would like to table an amendment to that effect together with the coalition parties. I'm hoping for the Minister's support. Mr. Chairman. Speaking of Armenia, we have often talked here about the Armenian genocide and its recognition. Next year there will be another anniversary remembrance, and according to the motion we tabled here in the Chamber we will send a ministerial delegation to Jerevan. Can the Minister also undertake, in the run-up to that memorial, that he himself is willing to attend the 105-year memorial in Jerevan? I'd like to hear his reaction on that point. My plea remains that, if we look back on the black history of the Netherlands, we can and must also continue to call on Turkey to look back on its black history with regard to the Armenian genocide. That's what I'm asking this government. What remains to be done before the government recognizes the Armenian genocide beyond doubt? The Chamber has already explicitly done so. When is the cabinet gonna bite through that sour apple? I'd like a response from the cabinet. Mr. Chairman. Then I'll zoom out the broader question of what's leading in our foreign policy. The anxiety that we see on this subject mainly relates to talking about trade as one of the main pillars of foreign policy in the Netherlands, I think. Trade is important, I admit that immediately, but at the same time we are saying that values such as freedom, freedom of religion and human rights are also values and interests. Almost the whole room says so. Can the Minister reflect on that? How does he see foreign policy and what does he think is leading it? Is that trade or are those very important values of Dutch society that we stand for? I'd like to hear his reaction on that point. Mr. Chairman. Through these values, I shall return to the debate we held with the Foreign Minister on the China note. The whole Chamber was actually a little disappointed about the human rights paragraph, but I must say that I very much appreciate this minister who corrected it with a supplementary letter on China's policy and human rights policy towards China. It is a clear analysis in which he explicitly denounces the problems of human rights, abuse and violations. At the same time, however, I have to say that the cabinet on religious freedom and the position of Christians refers to the government's commitment to the province of Xinjiang. But that doesn't mean anything about the position of Christians. It says something about the position of Muslims. A visit to a church, however well-meaning, doesn't make this right. On increasing pressure through trade measures, on which a motion was adopted following the China note, the Minister says that the cabinet is not in favour of using trade measures as a means of pressure. That's a phrase from the reaction. I would like to point out to the Minister that if the Chamber adopts a motion, the cabinet cannot dismiss it with a 'we are not in favour'. I would like to have an explicit response from the Minister to this, because this is indeed an approved chamberal motion.
ParlaMint-NL_2019-11-13-tweedekamer-7.u144	Before you continue, there is a question from Mrs Ploumen.
ParlaMint-NL_2019-11-13-tweedekamer-7.u145	Mr Voordewind talks about the balance of interests that sometimes has to be made between values and trade. I hope I rebut it so well.
ParlaMint-NL_2019-11-13-tweedekamer-7.u146	Human rights and trade.
ParlaMint-NL_2019-11-13-tweedekamer-7.u147	Excuse me, human rights and trade, of course. That is sometimes a struggle for every country and every fraction in which you make choices. One of the topics on the table is the G20 in Saudi Arabia. I wonder if Mr Voordewind has any thoughts on this. I'm not trying to get him some... But how does he look at that?
ParlaMint-NL_2019-11-13-tweedekamer-7.u148	If there is something very uncomfortable, and that is an understatement, it is that there will be a G20 next year in Saudi Arabia. We do not yet know whether the Netherlands will be invited to this. We'll have to wait and see. But with you, I would also find it uncomfortable if the Netherlands were there. And if we were there, then step two would be uncomfortable if we did not explicitly denounce the human rights and the murder of Khashoggi.
ParlaMint-NL_2019-11-13-tweedekamer-7.u149	Please continue. I think you were finishing up.
ParlaMint-NL_2019-11-13-tweedekamer-7.u150	Yes, I have two more points, Mr President. First Israel: 200 missiles...
ParlaMint-NL_2019-11-13-tweedekamer-7.u151	However, an interruption by Mrs Karabulut, very briefly.
ParlaMint-NL_2019-11-13-tweedekamer-7.u152	Do I understand that Mr Voordewind supports a boycott of the G20, as we propose with the Labour Party and the GroenLinks, if we are invited?
ParlaMint-NL_2019-11-13-tweedekamer-7.u153	I don't want to anticipate that. It would help us if we were not invited or if we were not too keen on it, but I would like to wait and see how the situation develops. Then we'll have to talk about it.
ParlaMint-NL_2019-11-13-tweedekamer-7.u154	Okay. An announcement of a boycott might help, I think.
ParlaMint-NL_2019-11-13-tweedekamer-7.u155	I'm sticking to my own words.
ParlaMint-NL_2019-11-13-tweedekamer-7.u156	I'd be fine with that. Please continue.
ParlaMint-NL_2019-11-13-tweedekamer-7.u157	So I'll come to Israel. Over the last few days, 200 missiles have been fired on Israel, even down to Tel Aviv. If this had been on any western land, the whole world would be too small. Then everyone would be ready to impose sanctions against the aggressor. But now we don't see any of that. The help goes on. Of course, the Gazans should not be the victims of the terrorists in Gaza, but I find it shocking to see that the world is just going crazy, while a friendly Western country is so under fire. At the same time, we also see a ruling by the European Court on the labelling of Israeli products from the Bank or East Jerusalem. I would like to ask the Minister how he sees this statement. Yesterday's ruling refers to Regulation 1169, which focuses on consumer information. That regulation refers to the labelling of all the disputed occupied territories that will be there. If this only applies to Israel, then there is international discrimination. I would like a response from this minister to this. Does he want to accept that? I hope not. Mr. Chairman. I have one final point. I know I'm running out of time.
ParlaMint-NL_2019-11-13-tweedekamer-7.u158	Yeah, I know, but there's a short question. Mrs. Karabulut, you have committed most of the interruptions of everyone. So tomorrow I'm gonna make a deal about that. This hasn't been wise of me.
ParlaMint-NL_2019-11-13-tweedekamer-7.u159	Mr. Chairman.
ParlaMint-NL_2019-11-13-tweedekamer-7.u160	You don't have the guts anymore, do you? You're not supposed to be afraid anymore. But knowing you, you're just gonna ask a question.
ParlaMint-NL_2019-11-13-tweedekamer-7.u161	Thank you, Mr. Chairman. Without interruptions, it is not a debate; not that you are fighting it or anything.
ParlaMint-NL_2019-11-13-tweedekamer-7.u162	No.
ParlaMint-NL_2019-11-13-tweedekamer-7.u163	I have a question about human rights. There was just an interruption debate between Mrs Ploumen and Mr Voordewind on the tension between trade and human rights. Isn't that true for a friendly state like Israel? I would like to ask you, Mr President, to tell Mr Voordewind, that he has a duty to respect human rights.
ParlaMint-NL_2019-11-13-tweedekamer-7.u164	Sure, and that's why there's still an investigation going on right now, because I assume you're referring to the Gaza War. There will undoubtedly be another investigation now. But I referred to firing at least 200 missiles at civilian targets. Those are unfocused missiles. It's really a miracle that no one's been killed yet. At the same time, I see the tension rising, even when you see the demonstrations in Gaza. I'm holding my heart for a further escalation of the conflict. It doesn't help anyone. You know that in recent years we have been working with you and other colleagues on reconciliation between the Palestinians and the Israelis.
ParlaMint-NL_2019-11-13-tweedekamer-7.u165	Certainly, but what do you think of the policy, the politics, of Prime Minister Netanyahu? He seems to be looking for this escalation. Of course, he attacked, bombed. Next thing I know, there's those rocket firings. Both of them aren't good. We'll convict one side. Do you not think that we should be critical of Netanyahu, precisely because we are friends, to stop this escalation, this violence, and to keep Israel above all to human rights obligations?
ParlaMint-NL_2019-11-13-tweedekamer-7.u166	I do see a distinction in this whole conflict. There's been a targeted attack on a known terrorist. The same organisation then took reprisals at civilian targets, on the whole of Israel on that side of Gaza. Of course, we have to see how this goes. No one will benefit from escalation. I understand a U.N. intermediary has left for Cairo. I really hope that a ceasefire will be reached soon. But here we are dealing with a terrorist organization that is trying to tackle a friendly nation. Escalation, of course, doesn't want anyone, but this is terrorism.
ParlaMint-NL_2019-11-13-tweedekamer-7.u167	I suggest you move on. You were finishing up.
ParlaMint-NL_2019-11-13-tweedekamer-7.u168	I would like to make two more points. I'd like the Minister's attention to West Papua. I would also like a response from the Minister to the Droogleever report. I understand that we have never had an official response from the cabinet. I would like to ask the Minister if he will respond to that. Finally, I would like to draw attention to the earthquake in the Moluccas. That's a massive earthquake. More than 170,000 people have become homeless. What can the Netherlands do to help if necessary? Finally, I would like to say a word about the diplomatic service. This service can no longer be opened up to side-intromers, so that the diplomatic service becomes more a reflection of Dutch society. Thank you, Mr. Chairman.
ParlaMint-NL_2019-11-13-tweedekamer-7.u169	A quick question. Mrs. Ploumen.
ParlaMint-NL_2019-11-13-tweedekamer-7.u170	In fact, this is more in support of Mr Voordewind's call to discuss the Droogleever report, of course in relation to the situation in Papua at the moment. It would be very nice if we could get a response from the Minister.
ParlaMint-NL_2019-11-13-tweedekamer-7.u171	You are therefore asking the Minister a question through Mr Voordewind.
ParlaMint-NL_2019-11-13-tweedekamer-7.u172	Sure.
ParlaMint-NL_2019-11-13-tweedekamer-7.u173	Oh, good. Thank you. Mr. De Roon.
ParlaMint-NL_2019-11-13-tweedekamer-7.u174	I agree with Mrs Ploumen's remarks, but I would like to raise another point in my question. In August of this year, Mr Voordewind made another big point in the Dutch daily about the pile of resolutions and the pile of anti-Israeli resolutions in the UN Human Rights Council. Mr Voordewind said that the Netherlands should not sit on the UN Human Rights Council as long as anti-Israeli resolutions are stacked. Well, that is still going on, but the government has said that we will be on the UN Human Rights Council next year.
ParlaMint-NL_2019-11-13-tweedekamer-7.u175	And the question is?
ParlaMint-NL_2019-11-13-tweedekamer-7.u176	And now my question is: has the Christian Union turned at this point, or has the Christian Union not made a fist in the coalition, and has it remained a weak hand?
ParlaMint-NL_2019-11-13-tweedekamer-7.u177	Let me look at my text, because I had no time to read my text on the resolutions against Israel.
ParlaMint-NL_2019-11-13-tweedekamer-7.u178	So this interruption is convenient.
ParlaMint-NL_2019-11-13-tweedekamer-7.u179	Yes, it suits me well, but I will not read the text for the sake of time. I told you, we have no business in a council run by the world's greatest crook gang. At that time, I had a reaction from this cabinet, namely that it is wrong that Israel should be on the agenda of the Human Rights Council by default. I support that line of government. I still believe that we should use our money and our human resources sparingly and focused on more effective activities, rather than making every effort to get back to the Human Rights Council at the moment.
ParlaMint-NL_2019-11-13-tweedekamer-7.u180	The conclusion is therefore that you still believe that we should not enter the Human Rights Council.
ParlaMint-NL_2019-11-13-tweedekamer-7.u181	Yes, but I'd like to respond to what Mr. De Roon said. He said, "Have you been sleeping?" No, because this cabinet has expressed its wish not to be on the Human Rights Council if Israel is still a permanent part of the agenda. That is another step forward. I continue to push so that the resolutions against Israel are no longer supported by this Dutch government. I'm gonna follow that closely.
ParlaMint-NL_2019-11-13-tweedekamer-7.u182	Thank you, Mr Voordewind.
ParlaMint-NL_2019-11-13-tweedekamer-7.u183	Thank you.
ParlaMint-NL_2019-11-13-tweedekamer-7.u184	Finally, I give the floor to Mr Van der Staaij on behalf of the SGP.
ParlaMint-NL_2019-11-13-tweedekamer-7.u185	Madam President. What has kept me from many meetings in the past few years at home and abroad, with politicians in Afghanistan, believers in Nigeria, lawyers in Colombia, doctors in Sweden, fathers and mothers in Iraq, is that people, however different, have so much in common. Who does not desire a healthy and safe life? At the same time you can see that it sometimes takes so little to be played completely apart. Competition, feeling of superiority or desire to exert influence lead to a conflict. Think of the Iraqi predecessor Daniel, who had to flee from IS. He said only one day before the persecution of faith: "My family received a letter from ISIS saying: leave within 24 hours, or you will be killed. Then we ran head-on from Baghdad to Erbil. We lost everything." No, freedom and security are far from self-evident. We're not living in an era of change, but in a change of era, I read. That means we have to reorient ourselves: where are we and where are we going? We have also had many discussions in this house in the last year, including in the field of foreign policy, the place of the Netherlands in the EU, the role of the European Union in the world, unrest and unrest in Libya, Yemen, Iran, but also our relations with ally America and the relationship with an aggressive Turkey, a strong Russia, an ambitious China. This also requires a constant orientation in foreign policy towards the rapidly changing world. The SGP wants to do so from the fixed orientation, from the biblical core values peace, connectedness and justice. I would like to use that three-stroke as a guide to my contribution and make a few comments on the issue of peace. Mr. Chairman. The rocket attacks from Gaza in recent days have shown that peace is fundamentally contested in the Middle East. How long will the rake attacks last? Israel can't slacken. The defence of the country is rightly the top priority. In this light, the disproportionate criticism of Israel in international forums remains indigestible. It was just about that in interrupting debates. Not only UN organisations, but also the European Union are guilty of this. The Labelling Directive, which Mr Voordewind also mentioned, is a good example, or rather a bad one. Under the guise of consumer information, only Israeli producers are targeted by the European Labelling Directive. When we talked about this in the Chamber a few years ago, in 2016, a Ten Broeke motion was given a majority, saying: no way; it must be a consistent labelling policy. However, EU Member States have not been prepared to apply the Directive equally in equal cases, and this is also contrary to the rule of law which the European Union claims to hold so high. That is why the question to the Minister is whether he wants to work for it, since it seems that it is not possible to apply the Labelling Directive in a broad way, that this directive is completely removed from the table. Is he going to work with the European Commission to ensure that this directive is repealed? Eventually that is fair, because it was not about consumer information at all, but rather about making a political statement. During a visit to Israel, the SGP delegation was encouraged by the many Israelis and Palestinians committed to peace and reconciliation. We want to encourage the Minister to continue to free money from the Human Rights Fund, because we believe, quite frankly, that there is much more to be expected from this kind of good cooperation from the bottom up than from all kinds of international pressure to try to find solutions. Mr. Chairman. Then the key word "connection." Also in my text this time there is a contribution about the position of the Papuans, precisely because we have such a historical connection with them and their situation is so bad. Since the transfer of western New Guinea to Indonesia in 1963, the Netherlands owes credit to the Papuans. But the situation of this old proud people has not improved since then, to put it mildly. On the contrary, under Indonesian rule, the people of West Papua have to do with discrimination, police violence and harassment. I agree with those who have said: look again at the Dry Lever report. I was able to participate in a general discussion on this at the time, but that was indeed quite limited. It's an incredibly thick study, about the thickest book in my bookcase. It is good to look at that again and see what we can learn from it and what obligations it gives. I would also ask the Minister to continue to fight discrimination against Papuan people internationally and to work to improve their socio-economic situation. There are also beautiful projects. I just heard about an education project from the Karunia Foundation. I would ask the Minister, through the Dutch embassy, to actively support projects that, for example, strengthen education in West Papua. I think it is precisely education that can help improve the position of the Papuans. Mr. Chairman. My last part is justice. I would like to highlight, in particular, the freedom of religion from the core value of justice. This fundamental freedom is not naturally respected. The Iraqi predecessor Daniel said: "The coming years are decisive for the churches in Iraq. Surviving or vaporizing? It is my greatest dream to live together in peace, justice and equality." The SGP welcomes the appointment of this special envoy for religious freedom, and as far as we are concerned, we should also pay even more attention to this issue, given the number of people affected by it. A number of questions in this connection. How is the motion on the classic freedom rights, which I tabled earlier and which has been adopted, implemented? The second question is whether the Minister is prepared to give practical support to religious persecutions and to give explicit support to psychological and trauma care. We hear there's a lot of demand for that. A woman from Aleppo said: it's easy to rebuild a house, but it's hard to fix a heart. Mr President, so much for my contribution.
ParlaMint-NL_2019-11-13-tweedekamer-7.u186	Thank you, Mr. Van der Staaij. This brings us to the end of the first term on the part of the Chamber of Foreign Affairs. I'd like to thank the MPs for their input. Tomorrow, the Foreign Minister will answer the questions asked.
ParlaMint-NL_2019-11-13-tweedekamer-7.u187	I shall suspend the sitting for a few moments.
