ParlaMint-NL_2019-04-04-tweedekamer-8.u1	We will continue the debate on social support.
ParlaMint-NL_2019-04-04-tweedekamer-8.u107	Would it be okay if I returned to that in the second term? I didn't find that question in my set.
ParlaMint-NL_2019-04-04-tweedekamer-8.u108	That's fine.
ParlaMint-NL_2019-04-04-tweedekamer-8.u109	That question is currently being registered.
ParlaMint-NL_2019-04-04-tweedekamer-8.u110	You'll get back to that.
ParlaMint-NL_2019-04-04-tweedekamer-8.u111	I'll get back to you. With regard to implementation and implementation, I would like to say to Mr Geleijne and Mrs Bergkamp that in the autumn I will update the state of implementation and indicate whether there is a reason for concern and whether there is a need to put back-up options into effect or whether it is going as planned. Mr Segers has also asked a number of questions about this. I've, I think, partially answered it. The planning is tight but feasible. This is also evident from the execution test. Mrs Bergkamp asked whether the other conditions laid down in the VNG implementation test were also met. This is about adapting the messaging traffic, creating a relapse option for data delivery and, indeed, the delivery of data, as I see him taking care that small healthcare providers can deliver at a low threshold. The answer to that question is yes. These other conditions are also met. That saves you for the second term. A single question about the suitability of the CAK as an execution organisation. I have just said something, I say in the direction of 50PLUS and the PVV, about the concerns about the CAK. At the same time, I wouldn't know who could do this better than the CAK. The complexity for them also really decreases when we introduce it on 1 January. I have now answered the questions about implementation. I have a few more questions under varia. A number of questions have been asked about the health fall. I understand these questions very well, but at the same time I think that the cabinet has solved the part that was soluble, namely the possible fallback in the number of hours, by allowing the Extra Costs Home scheme to be extended. If this would result in a fall in the number of hours in the Wlz, that number of hours could be increased. The Cabinet shall evaluate that measure in the first six months. I'll inform your room about that. As of 1 July 2018, we have introduced these measures, so before 1 July 2018 you will hear from us...
ParlaMint-NL_2019-04-04-tweedekamer-8.u112	2019.
ParlaMint-NL_2019-04-04-tweedekamer-8.u113	Yes, that is what I mean: before 1 July 2019 you will hear from us how these measures have worked out in practice. I also said that this is a partial solution because it does not solve the difference in its own contributions. That's not very easy to solve either. If I wanted to solve the difference in my own contributions, it would be budgetaryly neutral to do so only by, for example, reintroducing an own contribution to community care. You and I don't want that measure. This could lead us to think at some point about whether we should go to another legal regime, where we organise care at home, knowing that we are on the road to a huge demographic development. That is precisely the task of the committee set up on the basis of Mrs Bergkamp's motion. So the question of whether there is anything to do about the health fall in practice, we have resolved the number of hours. We're going to evaluate that measure. With regard to the system of own contribution, I also said that I cannot solve it, but that we can see if we should, for example, go to one regime in the future. We gave that question to the committee that was set up on the basis of the motion I have just mentioned: the Committee on the Future of Care for the Elderly. Under the varia block, there is also Mr Segers' question: are there any households that could experience a negative income effect? Yes, that is possible if municipalities increase their rate to the subscription rate. So that's possible. How many municipalities do that will be demonstrated by the monitor. What income effects are we talking about for the pgb protected living? Clients with a pgb protected residence who also receive a fee for the housing component will be covered by the inpatient contribution system with this bill. With this they are aligned in terms of inpatient contribution systems with all others. It's just a few dozen clients who apparently didn't. That is indeed a big increase, but that is also logical, because that is just the case with the in-house contribution. In fact, you could say that those who have wrongly paid far too little in recent times, so that's just getting straightened out. There was another question from Mrs Bergkamp as to what this change means for the pgb-funded parents' initiatives protected living. That's a similar question. For most, it does not mean anything, except for the pgb-initiatives protected living who received a remuneration from the pgb for the housing component. That's evened out, but apparently that's only true for a few dozen clients. That's exactly what this is about. It is, of course, important to set up good communication guidance there. That is also provided for. Then there is Mrs Lucky's question about the Central Board of Appeal. Implicitly, Mr Hijink also asked that question in connection with the announcement this morning in the Volkskrant. I have a letter in preparation which deals in detail with the issue of the ruling of the Central Board of Appeal in relation to the result-oriented indication. I expect to send that letter to the Chamber in the second half of next week. The Central Board of Appeal has pointed out the vulnerability to the legal certainty of clients in the Wmo in the event of result-oriented indication. Now you don't want to make that impossible, but at the same time you want to comply with that court ruling on protecting and providing more legal certainty. In that line, that letter will come your way next week. Consultations are being held with the municipalities in order to arrive here in a sensible way, doing justice to the judgments. If it's all right with you, I'd like to inform you about that next week. I think I came to the end of the reply. I shall now go through the amendments. I shall begin with Mr Kerstens' amendment to item No. 9. This concerns the creation of a new provision for the AMvB that is already in the law, not the new AMvB that comes in, but the AMvB that is already in the law. I do not understand very well what these provisions for the AMvB have for added value. For example, it concerns the definition of groups which may be exempted by the municipalities from a contribution if they meet a certain income limit. Those kinds of provisions are in the AMvB, so I don't really understand the added value of this. Frankly, I would advise against this amendment. I can imagine that you would like a provision on the new amendment that is coming, but that is another one that is before you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u114	The amendment in part No. 9 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u115	The amendment in part No. 10 is about deploying a client experience survey for the monitor. I agree with the importance of keeping an eye on the availability of provisions and the financial burden on clients following the introduction of the subscription rate. The only question is whether the customer experience study is suitable for that, because the monitor, as it has been established, is actually a better tool to visualize it. It was also made in consultation with client organisations. It takes into account precisely the two elements that you mention in this amendment. In short, here too, I do not think it is necessary to adopt this amendment, in order to get what you want done, namely to involve customer experience data in the monitor. It is recorded in the monitor itself.
ParlaMint-NL_2019-04-04-tweedekamer-8.u116	The amendment in part No. 10 is also not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u117	The amendment in part No. 11 deals with the pre-requisite clause related to the AMvB on additional rules following the investigation. I can, of course, agree with the principle that people who need a provision should not be given it. That is also the reason why I included that perspective of action, the possibility to do so, in the AMvB. I can actually agree with the desire to create a prefix. I find it rather curious that there is another condition attached to it, that if one fifth of the Chamber is in favour of casting the detailed rules that you would like to lay down in that AMvB, in the form of a law, there is not an AMvB but a law. That is a very special amendment. I appreciate the creativity, but frankly I have never seen it in legislation in this form. That would actually mean that if 30 seats in the Chamber say that the content of this AMvB should actually be designed at the level of the law, then the conversation is not about an AMvB over which you have to come to majority decision-making, but then you should start a legislative process. And the legislative process that you then have to start, you do not decide by majority; that is what you actually decide by 20% of the Chamber. I think that's such a wonderful figure that I don't feel very much about that.
ParlaMint-NL_2019-04-04-tweedekamer-8.u118	It's very clever.
ParlaMint-NL_2019-04-04-tweedekamer-8.u119	It's super smart. However, if you would like to have a provision, I understand that very well, but you would have to downsize the will of the amendment.
ParlaMint-NL_2019-04-04-tweedekamer-8.u120	We're gonna take a look at it. The intention is, of course, clear to the Minister. These are areas where there is a great deal of discussion and which, moreover, are addressed in both general measures of governance. The Minister, I think, is testing that there is a broad need in the Chamber to remain involved, to continue to influence it, not to be surprised by it. That is the intention of both amendments. I'm going to take a look at the latter: isn't that a little bit overdone, as the minister says?
ParlaMint-NL_2019-04-04-tweedekamer-8.u121	I'm adding "dissuade" now. If you wish to amend it, you will table an amended amendment.
ParlaMint-NL_2019-04-04-tweedekamer-8.u122	Yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u123	And an appreciation?
ParlaMint-NL_2019-04-04-tweedekamer-8.u124	If the amendment is amended, I think there will be a written appreciation.
ParlaMint-NL_2019-04-04-tweedekamer-8.u125	Oh, yeah. Either in the second term, or I try to do it in writing before the votes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u126	Yeah, exactly.
ParlaMint-NL_2019-04-04-tweedekamer-8.u127	That's fine.
ParlaMint-NL_2019-04-04-tweedekamer-8.u128	The amendment in part No. 12.
ParlaMint-NL_2019-04-04-tweedekamer-8.u129	Yes. The amendment in part No. 12 is also an amendment by Mr Kerstens. It calls for a two-year law review. I think that's very short. It's about an evaluation of the law. Let me put it this way: we have the monitor and that monitor shows, in September this year and in September next year, what the effects of the law are in practice. Therefore, we already know very well what the practice looks like. But a law review is actually something else. This calls for an examination of the effectiveness of a law in practice. I think two years will be very short. I would say: if you make that three years, then I am quite prepared to give the amendment judgement Chamber. I do not think that we have at present included a time limit in the law for the assessment. By default, for example, you would do that after five years. But if you make that three years, I'm actually very fond of it. I think two years is very short.
ParlaMint-NL_2019-04-04-tweedekamer-8.u130	Are you prepared to amend your amendment?
ParlaMint-NL_2019-04-04-tweedekamer-8.u131	Yes. Shall I take my heart by hand and save both the Minister and myself the homework by saying that we are adjusting it? By the way, we still have to do that: change on paper to three years.
ParlaMint-NL_2019-04-04-tweedekamer-8.u132	Adjust and retable, but we already know that the amendment will be judged by the Chamber if it is adjusted along this line.
ParlaMint-NL_2019-04-04-tweedekamer-8.u133	Yes. I would like to say a few words about Mrs Ellemeet's amendment to item No. 13. That actually introduces an income-dependent contribution. It states that people with an income above €55,000 gross are able to make an income-dependent contribution themselves. We've just talked about it in detail. We do not need to repeat that debate. I would not be in favour of this for the reason that we would then have to maintain the overall implementation capacity that exists today and for the reason that I do not think it is entirely in line with this bill anyway. It is not so much in line with the Wmo, where it is the art to come up with a tailor-made solution. I believe that income dependency is too one-dimensional to determine whether or not people need support. So I would advise against this amendment.
ParlaMint-NL_2019-04-04-tweedekamer-8.u134	The amendment in part No. 13 is not recommended.
ParlaMint-NL_2019-04-04-tweedekamer-8.u135	Then there is the amendment to item No. 14 and the amendment to item No. 14 and the amendment to item No. 14 15. If I have understood correctly, these are actually similar amendments.
ParlaMint-NL_2019-04-04-tweedekamer-8.u136	From the members Hijink and Agema.
ParlaMint-NL_2019-04-04-tweedekamer-8.u137	Yes, and Mrs. Agema's. I can come up with one piece of advice. The SP and PVV propose that the AMvB be removed from the study, at the kitchen table. I would find that unwise because I want to give ourselves the opportunity to take substantive measures on the basis of the monitor. So I am not running away from the financial part, but you should also be able to take substantive measures. We are happy to do so on the basis of an AMvB, so I would like to maintain that possibility of an AMvB.
ParlaMint-NL_2019-04-04-tweedekamer-8.u138	So you advise against both amendments?
ParlaMint-NL_2019-04-04-tweedekamer-8.u139	Yes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u140	Mr. Hijink.
ParlaMint-NL_2019-04-04-tweedekamer-8.u141	The point is that the Minister himself has just indicated that the current Wmo already offers many opportunities for municipalities to take such measures. If you incorporate it into the law in this way, you're actually saying that, in case it's necessary, we're going to lay down further rules, which can make municipalities more stringent in their selection. Because that's what you do: municipalities get more opportunities to give people less care. The concern with us is that you are ahead of an outcome the Minister says: it is probably not going to prevent municipalities from getting into financial problems, but if so, we will give this hook the opportunity to give less care. I don't think there are a lot of other flavors if you give the municipalities that opportunity.
ParlaMint-NL_2019-04-04-tweedekamer-8.u142	I disagree. I'm not going to repeat what we've just exchanged in way too many words. It is true that in the Wmo there are already a number of possibilities to have access to the conversation with people to see if the support is really needed, whether it is not under usual care, what someone can do and what someone can do with the neighbors or with family. And it's gonna stay. This amendment provides for the possibility of specifying and clarifying a number of things for this purpose. That is what we have done before with the AMvB on the real price. That was also just in the law, but still we felt it necessary to create an AMvB that focuses a number of things more closely. That's how you should see it: it's in line with how the Wmo is already equipped. I'm not getting ahead of myself. If Mr Kerstens's amendment is adopted, you will also have a possibility if I intend to send an AMvB to the Chamber. I would say: let us first see what comes out of the monitor, let us then see what sensible measures are, let us then see how the cabinet writes down these measures and then it is 'to be debated' at that time. I am not in favour of deleting the possibility of further clarification or measures, because that is what you are proposing and as I have read your amendment and what Mrs Agema is proposing. That is why I reject the amendment.
ParlaMint-NL_2019-04-04-tweedekamer-8.u143	But I just don't understand what the Minister sees as additional possibilities. I mentioned the examples from Eindhoven, this morning in the newspaper. The municipality already has so many opportunities to appeal to people to what they can do, to what the household care can do, to what the neighbors have to do, to what the network can do, etc. So there can be so much already. If there is an additional possibility for municipalities to do so even more specifically, then it can only be that it becomes stricter and that more care is taken away from people. I just don't see any other way. I do not hear the Minister mention an example of how he thinks that will happen.
ParlaMint-NL_2019-04-04-tweedekamer-8.u144	Now I'm really gonna repeat myself, because we've exchanged this in great detail. It is about giving yourself the possibility in the law to give a more detailed explanation, a more detailed explanation of the principles that are included in the Wmo anyway. You have to, because it's an AMvB on a bill. It's not a new bill, it's an AMvB on a bill. I think it is unwise, let me turn it around for a moment, because you do not know which case law is going to follow. I find it unwise not to give yourself that possibility as a legislator, because that is actually what your amendment is proposing, if you are going to do a monitor and you want to know what the outcome is and what measures can be taken at that time. If you do not do so, you simply leave open the possibility to add money at that time, regardless of whether or not municipalities have made use of the possibilities in the law, whether or not municipalities have been able to make use of the possibilities in the law, as case law, for example, reduces the possibilities for municipalities to do so. I'd say it's unwise to take that opportunity out of the law.
ParlaMint-NL_2019-04-04-tweedekamer-8.u145	Mr. Hijink writes that he believes that the minister should come forward with sufficient financial compensation towards municipalities. I agree, but I did not include that in my amendment. This is because I believe, in principle, that municipalities should not be given more opportunities, for example, to make schemes dependent on income, to go for compulsory care or to introduce other restrictions. So I just want the AMvB option out.
ParlaMint-NL_2019-04-04-tweedekamer-8.u146	That's right. I think the explanation is different, but the amendment you wish to make to the law is indeed the same, namely...
ParlaMint-NL_2019-04-04-tweedekamer-8.u147	Yes, but you should also read the explanatory statement.
ParlaMint-NL_2019-04-04-tweedekamer-8.u148	Oh, yeah. I have read it, but both proposals actually lead to the same thing. So either the amendment in part No. 14 or the amendment to item No. 15 is adopted, does not matter de facto. Your explanation relates in particular to the possibility of income dependency. You asked me the same question: surely you are not going to do that with the AMvB in your hand? Well, I did say that: it seems extremely illogical to me to do so. You say: I want to be sure that I have it out at all. And what I have just said in the direction of Mr Hijink is actually true in your direction. Look, if you're going to see with this bill what concerns there are, and then agree that you're going to monitor what the implementation practice looks like, then you should also give yourself the opportunity to take action on the basis of that monitor. If we take out this AMvB option, we will have less, if not less, options for action, unless it is in the form of a legislative proposal. This is usually the slowest way to make a change. In short, I would be very much for the possibility of an AMvB. However, I have also said that I am quite fond of linking it up with a veiling procedure, if Mr Kerstens makes a slightly less wild proposal to that effect. Then at that moment, when the AMvB is there, we can just have this debate. This does not differ substantially from dealing with a legislative proposal.
ParlaMint-NL_2019-04-04-tweedekamer-8.u149	I do not want to moan, but if Mr Hijink's amendment is accepted, then the Minister must come up with financial compensation. And if my amendment is adopted, all he has to do is delete the AMvB option. That brings us back to the first interrupt debate, because what is the Minister going to do now? He rejected all the amendments, both those of Mrs Ellemeet and those of SP, PvdA and PVV. So I'm still very curious what the minister is going to do politically. Is he just going to let it come to the votes next Tuesday? Or is he going to do a handshake towards one of the parties here in the Chamber to secure himself in the First Chamber as well?
ParlaMint-NL_2019-04-04-tweedekamer-8.u150	Well, what the minister's gonna do is talk his ass off to show passion how important this bill is, how much it is for people who are going to get into a pile of care costs, how many people are going to get into it and what it doesn't mean to them. I just did. Then, in the first period, I also found that I see, recognise, recognise and also trade the concerns that exist in municipalities, for example, or in some client organisations. I am acting by saying that we need a monitor in order to be able to keep a very good finger on the wrist in practice. Then the question "what if" was asked: "Yes, but if that monitor shows that it is going to be very bad for municipalities financially, are you prepared to...?" I said that I would be prepared to take measures, both substantive and financial. But we're not going to anticipate that. We wait for the monitor and then what Mr Van der Staaij summarized as: we don't get ahead of it, but we don't run away from it either. We keep our finger on the pulse and take the necessary measures when the moment comes.
ParlaMint-NL_2019-04-04-tweedekamer-8.u151	Finally, the amendment to item No. 16.
ParlaMint-NL_2019-04-04-tweedekamer-8.u152	Yes, the amendment to item No. 16 of the member Hijink. Actually, we've been over that. I'm dissuading him in his present form. Mr Hijink doesn't think that is a point either, if we have the possibility, if it leads to an AMvB, to send it to the Chamber first, before we actually let it do its job in practice. I think that's a great deal.
ParlaMint-NL_2019-04-04-tweedekamer-8.u153	Yeah, that's a good deal. I therefore believe that I should withdraw the amendment, because an amendment cannot be retained.
ParlaMint-NL_2019-04-04-tweedekamer-8.u154	The Heink amendment (Doc. 16) has been withdrawn.
ParlaMint-NL_2019-04-04-tweedekamer-8.u155	This brings me to the end of my reply, Mr President.
ParlaMint-NL_2019-04-04-tweedekamer-8.u156	Yes, that brings us to the end of the first term of office of the government. I look at the members to see if there is a need for a second term. Yeah, we're gonna do that. First, I give the floor to Mr Hijink of the SP.
ParlaMint-NL_2019-04-04-tweedekamer-8.u157	Mr. Chairman. The SP is not in favour of its own contribution to the Wmo, so if there is a law to significantly reduce that own contribution, that is a step in the right direction as far as we are concerned. There were and there are still a lot of concerns about the consequences of this law, because the own contribution goes down, which reduces the revenue of municipalities, and there are doubts as to whether the compensation from the Empire is enough. For the SP, this is also the biggest concern, the biggest risk of this law. We absolutely do not want this law to lead to new cuts in municipalities. We believe that this law should not be a disguised austerity. Today, the Minister has made an important commitment, a commitment that goes beyond what we have heard from him earlier, namely that measures can be taken in the event of an emergency and that they can also be financial measures, measures that allow municipalities to be financially able to implement this law properly. The Minister thus remains responsible and accountable for any problems that may arise under this law. He also remains responsible for the financial conditions that apply to municipalities in order to implement this law properly. To confirm that, I'd like to file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the subscription rate in the Social Support Act (Wmo) contributes to reducing the accumulation of care costs for people;]] [[noting that the subscription rate leads to less revenue from own contributions and possibly more applications for support from the Wmo;]] [[Whereas uncertainty exists as to whether the proposed compensation to municipalities is sufficient to properly implement the subscription rate;]] [[Whereas, for this reason, a monitor has been agreed to monitor closely developments resulting from the subscription rate;]] [[Considering that the Minister is able to address the opportunities and obstacles for municipalities to achieve the objectives of the 2015 WMO within appropriate legal and financial framework conditions;]] [[calls on the government to take measures, in consultation with municipalities, on the basis of the results of the monitor if there are any bottlenecks that have arisen in the proper implementation of the subscription rate by municipalities,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Hijink, Mr Ellemeet, Mr Kerstens, Mr Agema, Mr Kuzu, Mr Van Kooten-Arissen, Mr Geleijne, Mr Van der Staaij, Mr Baudet, Mr Hermans, Mr Geluk-Poortvliet, Mr Bergkamp and Mr Segers.]] [[She's getting No. kst-35093-17]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u158	Mr. Chairman. In the first term I asked about the grace care: is it covered by the subscription rate? I hope, in fact, that I am more or less assuming that this is the same as for day-to-day spending, so that people using respite care will in no case pay more than €19 per month. Finally, the point we have just mentioned: the possibility which the Minister reserves to intervene if he feels that this is necessary if there are serious overruns. We really reject the proposal in the law to give additional opportunities to municipalities to make even greater use of care services and their own network. There was something about it in the Volkskrant this morning. There can be so much already. At the kitchen table, in those infamous kitchen tables, it has been decided so many times to give less care than people actually need, that we in SP do not think that these possibilities need to be tightened even further. I therefore hope that we will support our amendment not to introduce that emergency brake, which the Minister would like to; I hope that there will be a majority in favour of getting it out of the law. That's it. Thank you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u159	Thank you. I call Mrs Ellemeet van GroenLinks.
ParlaMint-NL_2019-04-04-tweedekamer-8.u160	Thank you, Mr President. I started my first input with a quote from the minister himself. It explained why it is so important to make this Wmo accessible to everyone, because the Wmo with the subscription rate can really have a preventative effect. That is, I think, what we all want here in the Chamber. We all recognise that it is precisely the middle income that is now too often the victim of own contributions. That is why my group is also very much ported from that subscription rate. We also see the disadvantages and complications in terms of the powers of the municipalities on the one hand and the powers of the Empire on the other, but I think it is very important, in the end, for middle income to be met. However, we were very concerned about the costs that the municipalities would incur in terms of this additional influx. We've talked about that extensively. I am also really pleased and I am grateful to the Minister for saying so clearly, for the first time now, that it is precisely with regard to the development of the subscription rate for municipalities that we are looking not only at substantive measures but also at financial measures. I also understand the Minister's saying that it should not be a licence for municipalities; they should not be able to declare every overrun in the Empire. That is not what my group wants. On the other hand, it is important that when we see, on the basis of the data in that monitor, that there is an influx and an increase in costs, we also honestly say that we wanted this here from The Hague and we will assist these municipalities in the costs if there is reason to do so. I think that is the biggest profit from this debate. Mr Hijink has also tabled this motion on behalf of my group. I think that it is very important to keep monitoring the evolution of the subscription rate. I still have two concerns, which I have already mentioned, particularly with regard to minimum regulations. The minister says it's open to the municipalities. That's right. At the same time, we know that it is extremely important to keep access to care for people with really small incomes with these minimum schemes. It is therefore important, as far as I am concerned, to monitor this closely. It should not be the case that in practice people with low incomes suffer from the subscription rate. Then we're gonna blow our target off. I hope that I will continue to monitor, together with the Minister, whether that is not an undesirable effect. Mr. Chairman. Finally. As far as my group is concerned, it is also important that the strongest shoulders bear the heavy burden. That is where we differ when it comes to the deployment of the Wmo. I think it is important to look above a certain income at that income, where these WMO provisions should always be accessible to higher incomes. But it is also true that people who have it more financially can make a difference. Well, we disagree on that. I am very curious to see how this debate is going to develop. Maybe we'll talk about this possibility again in two years. Thank you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u161	Thank you. I call Mr Van der Staaij.
ParlaMint-NL_2019-04-04-tweedekamer-8.u162	Madam President. I would like to thank the Minister very much for his reply. We have had the debate with an interruption of a number of days. That also gave us an extra opportunity to think for a moment and talk to each other about where we want to come out. In fact, I find it very special that there is a Chamber-wide motion at the heart of this legislative process. It has been asked: in a fragmented political situation, is it not the government's choice to go left or right? You could also see if you can just have a very good debate, listen to each other and come to a Chamber-wide approach. That would be the real innovation again. Mrs Agema clearly indicated that they should actually choose between the PVV approach and the GroenLinks approach. Well, if it doesn't succeed in choosing between two approaches, you actually come to the middle of the SGP approach, which tries to connect the good of both.
ParlaMint-NL_2019-04-04-tweedekamer-8.u163	I'm sorry, but I'm a little challenged. In the middle? In the end, it's nothing at all. In the end, it simply says: "to take action if there are any bottlenecks'.
ParlaMint-NL_2019-04-04-tweedekamer-8.u164	Mrs. Agema is now undermining her own signature. In fact, I had the impression that she thinks this is a valuable motion, because I do not know the PVV as a party that puts its name under a motion that she does not think represents anything.
ParlaMint-NL_2019-04-04-tweedekamer-8.u165	I made this point first, when the coalition agreement was just there. That's when I made that point. Everyone knows what I think, namely that the windfalls that are expected in the coming years must now be put into effect. So there shouldn't be anything like a monitor at all. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Anyway, if the whole room wants a nothing-movement in the middle, I don't want to be a game breaker, of course.
ParlaMint-NL_2019-04-04-tweedekamer-8.u166	Well, then that is a very constructive attitude of the PVV group that she does not want to be a spoiler and yet participates. I'm always a little optimistic, but I see a development in moving towards more joint, although it's not quite perfect yet. In any case, I think this is a well-balanced wording which, on the one hand, is not satisfied with the total non-binding nature of 'we are all going to see it', but on the other hand does not want to fully anticipate and distribute blank cheques. Furthermore, I am not going to say anything about it, because experience has shown that if you have had a thorough debate on it in the first period and there is a balanced motion, you should not all give it its own colour. After all, we are going to repeat the second-term debate. I think the words are clear and clear. I think it is an important step forward. Mr. Chairman. I would like to leave it in second place.
ParlaMint-NL_2019-04-04-tweedekamer-8.u167	Thank you. Mrs. Geluk-Poortvliet.
ParlaMint-NL_2019-04-04-tweedekamer-8.u168	Mr. Chairman. I've been looking for so long to find a model or a solution to reduce the accumulation of healthcare costs. That is why I am so glad that we are finally in sight with this subscription rate. Now that we have it in view, we can reduce the cost of care so that care is accessible to everyone. The accumulation of administrative burdens for the municipalities was also extremely difficult. This will also solve the problem. I would like to thank the Minister for the detailed answer to the questions we have all asked. For me, it is very clear to a large extent and gives the answer to the questions I had. I still have one concern, and that is the concept of general provision. I shall table a motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the introduction of the subscription rate also includes general provisions relating to a long lasting aid relationship under the subscription rate of €19 per month;]] [[Whereas this measure is taken to reduce the burden on middle incomes and to reduce the accumulation of own payments in care;]] [[considers that a more detailed explanation of the concept of a sustainable aid relationship can avoid difficulties in implementing the subscription rate;]] [[calls on the government to consult with the VNG and patient organisations to clarify the concept of a "sustainable aid relationship" and then to disseminate it to patient organisations and municipalities, and to inform the House of Representatives about it after the summer recess,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Geluk-Poortvliet and Mr Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-18]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u169	Thank you, Mr. Chairman. I think we have had a good debate, especially about the concerns. That is why I welcome the fact that Mrs Geluk-Poortvliet also underlines why we are doing this. Of course, we are doing this to address the accumulation of healthcare costs, because it affects people. This also applies to the regulatory burden and the unclear invoices. People now have certainty and clarity. To be honest, I also like the fact that this very committee of VWS, where it is sometimes quite crazy, has been able to table such a very broad motion. I'm actually proud of that. I think that the Minister has indeed clearly explained that he does not want to anticipate things, but that he has made the monitor for a reason, together with the client organisations and the VNG. We also need to see what comes out of it. That is one of the reasons why I have signed Mr Hijink's motion and others. My group supports this law, which is quite clear. We too had a number of concerns about the implementation and the consequences, but I think the Minister has been able to formulate this in a very clear way. As you are used to me, I still have a question in the varia category, about the pgb-funded housing initiatives. The Minister states that this falls under the heading of inpatient funding systems. Does this also mean, for example, that the collective agreement is applicable? The pgb without a residential component is no longer covered by protected housing, but by another category. In any case, the Minister has indicated that good information and guidance is needed. But I was wondering about the inpatient contribution system or cost system. Does this also mean that the old initiatives must comply with the collective agreement? Thank you.
ParlaMint-NL_2019-04-04-tweedekamer-8.u170	Thank you. Mr. Kerstens.
ParlaMint-NL_2019-04-04-tweedekamer-8.u171	Mr. Chairman. A bill that contributes to countering the accumulation of healthcare costs is a good thing. It is less beautiful when it comes to a legislative proposal that may put the pain of it elsewhere, especially in the case of people with the weakest shoulders, who can suffer the least. We made some arrangements with the Minister. We've just filed a motion in the Chamber. I myself have a few more, of which two are also to be reassured, which I have already stopped at an earlier stage at the Minister's request, but of which I think it is important not to submit them too early, but not too late. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the aim of the proposed introduction of the subscription rate in the Wmo is to reduce the accumulation of care costs, which is a good thing;]] [[Whereas, at the same time, there is a fear that people with a minimum income will be directly or indirectly disadvantaged by this introduction by making access to the WMO more difficult for them, or that they will suffer from cuts elsewhere in the social domain as a result of the cost of such introduction;]] [[Whereas such a disadvantage should be avoided;]] [[calls on the Government to ensure that the introduction of the subscription rate does not lead directly or indirectly to the disadvantage, in financial terms or otherwise, of people with a minimum income,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas recent research has shown that around 30% of municipalities do not pay a so-called real rate to healthcare providers in the Wmo, as a result of which a correct payment of the salary increases as agreed in the collective agreement Nursing and Care Houses and Home Care is at risk;]] [[Considering that, also in the context of the growing need to be an attractive sector in terms of working conditions as a result of the substantial staff shortage, it is a bad thing;]] [[Whereas there is a risk that the additional costs associated with the introduction of the subscription rate in the WMO will result in a growing number of municipalities not paying a real rate as mentioned above, which is undesirable;]] [[calls on the Government to ensure that municipalities go or continue to pay a real rate to healthcare providers in the Wmo,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, as a result of the introduction of the subscription rate in the Wmo, people could be directly or indirectly disadvantaged;]] [[whereas it is widely shared that this is not the intention;]] [[Whereas, therefore, this is the reason for specific monitoring of the effects of that introduction;]] [[noting that such monitoring cannot prevent people from being disadvantaged before additional measures are taken as a result of that monitoring;]] [[calls on the Government to consider how, in this case, justice can be given to those concerned,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-19]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-20]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-21]]
ParlaMint-NL_2019-04-04-tweedekamer-8.u172	And then the last, chairman, in another genre. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the introduction of the subscription rate in the Wmo is a step towards reducing the accumulation of healthcare costs;]] [[noting, however, that such accumulation is still significant, for example in the case of long-term dependency on care and support;]] [[calls on the Government, in consultation with patient and disability organisations as well as senior citizens' organisations, to consider ways of reducing or reducing the level and accumulation of care costs for people who are long-term dependent on care and support,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Christmas. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35093-22]]
