ParlaMint-NL_2019-09-11-tweedekamer-9.u1	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-09-11-tweedekamer-9.u144	Thank you, Mr. Chairman. Thank you to the Minister for replying. I indicated in my first term that sharing information is a very important point. That is what several colleagues have said. The Minister was clear: there will be a few more items in the Chamber this autumn, so that we can also talk about the protocol. So I'll leave it at that for now, but we'll get back to that. Mr. Chairman. I believe that the Minister is giving me another response to the issue of SMEs. The small entrepreneurs who sit in shopping streets are almost literally bullied away or intimidated or see all this happening around them. I know this is happening for entrepreneurs, but I would very much like specific attention to be paid to small entrepreneurs. I would also like a response from the Minister to the point I mentioned about involving financial experts, people who can temporarily volunteer with the police. My predecessor of the VVD on this portfolio, Arno Rutte, has also proposed this in the field of cyber security. I would also like that for financial experts. I'd like to have another reaction to that. Mr. Chairman. I am also pleased that I was able to co-sign Mr Krol's motion. It's about a separate fund where the takeaway money could come in. That is something that needs to be investigated. That motion is a very old wish of the VVD. It's also in our election program. I am glad that, with this motion, hopefully with the support of my fellow Members, we can have an investigation into it for the next budget, so that we can better map it. Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u145	I have a question on the motion for a resolution on item No. 430 by Mr Krol, who she co-signed. Mrs Yeşilgöz just referred to that herself. This motion is actually very strange for three reasons. Firstly, it is an investigation into what we all want here, namely a structural fund. You don't have to investigate, you just can. Even the minister said that's what he really wants. Secondly, should there be such a structural fund? That shouldn't depend on how much crime money is being taken. Thirdly, it is therefore very strange to use this only to combat drug crime, while there are so many other forms of organised crime that we also want to tackle. Can Mrs Yeşilgöz respond to that?
ParlaMint-NL_2019-09-11-tweedekamer-9.u146	I can do that, Mr. Chairman. This really is about money you take from criminals. That money now goes to the general budget. We say you just have to put that in the security book. I think we share that in the Chamber. Put it in for safety. Then you can catch more criminals and there's more street thugs. That's what this motion says. Now you get a very complicated answer from The Hague. That is why I am pleased that research is being carried out, and that is also necessary, on how to organise it in this house so that the money actually ends up with this minister and not in other jars, which has so far been the case. That is why I am pleased that Mr Krol has said: I would like a research motion for the next budget so that we can look at it together. I find that annoying, because it's all The Hague, but the bottom line is that I want to use part of the money you take from criminals to catch more criminals. I think some of the colleagues here want that, too. That's what we're gonna do, I hope.
ParlaMint-NL_2019-09-11-tweedekamer-9.u147	Finally.
ParlaMint-NL_2019-09-11-tweedekamer-9.u148	I don't think it's so much a Hague answer, or maybe it is. I just think it's a really weird answer and maybe it's the same thing. It is very strange to say: we want two things; we want to tackle organised crime, and we think it is important for reasons of principle to take away crime money, and that has everything to do with one another. Why would you have to tie one to the other? Why not just say that we are investing in the fight against crime and doing what is necessary to do so? In addition, there are very fundamental and moral reasons to ensure that crime does not pay off. You don't have to link that up and make it dependent on each other, do you? Indeed, if it fails to take crime money, then apparently we have less money to deal with drug crime in your proposal. I think it is a very strange link, and I do not think it is desirable in principle either. We just have to say that we want this. We want a structural fund to fight crime and we have to do everything we can to take away crime money. Don't put that together.
ParlaMint-NL_2019-09-11-tweedekamer-9.u149	I understand it sounds weird reading it this way, but it doesn't say that. It doesn't say that. This cabinet invests in tackling undermining and tackling crime, including by 100 million in this period. It is also said here: make sure that you can also use the money you take from criminals. So it doesn't say what Mr Van Nispen reads. I get that this sounds confusing, but that's just not what it is. You are tackling crime and undermining, and we have also made funds available for this, and at the same time I would like the money we take from scum to be used again to tackle even more scum.
ParlaMint-NL_2019-09-11-tweedekamer-9.u150	On this point, I would like to support Mr Van Nispen. I do that a little bit by interrupting Mrs Yeşilgöz. There are two discussions. One discussion is whether there would be room in this country to exploit criminal power that has been taken away for criminal justice. That is a fundamental discussion, and you can be in favour of it or against it. That's one discussion. The other discussion is that there should be a structural fund and I will leave it in the middle for a moment whether it is a drug or undermining fund. I have to tell you: would it not be possible for this first motion to be about this discussion and that what Mrs Helder is always saying, now, is about the structural fund? Then we really have the substantive discussion that fits in with the substantive debate we have had here. Then we can vote on it. Then it is a very clear discussion and we do not have the hassle together. Then perhaps we can help the file further. That would be my call.
ParlaMint-NL_2019-09-11-tweedekamer-9.u151	Now I'm going to answer something that I don't know if Mr Krol recognizes. I think it is precisely those two lines that Mr Van Dam outlines here. On the one hand, you are indeed having the discussion, whether or not principled, about what you are taking money from. That's what this motion says. Find out if you can use that in this corner to deal with more criminals. In addition, there is the discussion that Mrs Helder referred to: should you not free up 100 million and even more structurally to tackle undermining? I think it's two separate texts, separate motions. I don't see Mr Krol moving, so I think it's going pretty well here. Then that's two separate cases. The motion before us, the Krol/Yeşilgöz motion, deals with the matter of principle. As we have in our electoral programme, money that you take away from bad guys, put it back in order to catch more bad guys.
ParlaMint-NL_2019-09-11-tweedekamer-9.u152	I don't think I should venture to interpret motions. It is best for the proposers to do so themselves. I would simply like to make my request, which would also be the best way forward politically. I have done so clearly, and with that the proposers must do whatever they want.
ParlaMint-NL_2019-09-11-tweedekamer-9.u153	Now you see exactly where it goes wrong when a new spokesperson comes up who thinks he can show off the feathers of an old point. I'm just gonna say it nicely. Look, what we wanted in the past was an undermining fund. That's when it was called an undermining fund. It's a semantic discussion about what it's called, but I don't care at all. The intention was indeed that the government's money would simply go into it. That would be nice, too. When, fortunately, the mayors got involved in this discussion, if I am not mistaken, I don't want to fail anyone, Mayor Aboutaleb said it must be a revolver fund, which must always be filled up, and asked if it wouldn't be an idea to allow stolen criminal assets to land somewhere, perhaps in such a fund. Now two lines are walked in one go. The Minister has set up a one-time undermining fund. What my group wants, and this is supported by more colleagues, is a structural undermining fund. In addition, I would like to see whether criminal assets could ever flow there or go to a separate fund. I don't care. What my group has been wanting for a long time, and this is supported by many colleagues, Mr O'Donnell, is simply that there will be a structural undermining fund from the government so that the mayors can move forward with it.
ParlaMint-NL_2019-09-11-tweedekamer-9.u154	In my view, that is simply the explanation of the small debate that Mr Van Dam and I have just had and what this motion also says. Our election programme clearly contains a fund where you can simply re-use money for security. That's what this motion says. This is about something else at the same time. We have discussed this at length. In my view, the summary is: as smart as possible and with as much resources as possible to tackle crooks. I hope we can all agree on that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u155	Thank you, Mrs Yeşilgöz. I now give the floor to Mr Van Nispen on behalf of the SP.
ParlaMint-NL_2019-09-11-tweedekamer-9.u156	Mr. Chairman. If the VVD had wanted to tackle crooks with as much financial resources as possible, it would have been able to support opposition proposals for additional investments in the fight against crime for a long time. That has never been done. That's too bad. Mr. Chairman. This minister was very clear about one thing. "Under this minister, legalization is not an option," he said pretty tough. But the question is whether that is wise. I'm not saying it's easy, because of course you have the export. We have all emphasised this. However, it is a pity that under this minister there is really no way of even considering a possible more sensible drug policy. I think that's a really missed opportunity. The SP wants more investment in detection capacity. They are very much needed to be able to detect weapons and all kinds of labs and you name it all. For the detectives, but also for the neighborhood agents. Just now it was about that one-off fund of 100 million. So we're going to make that structural. Apparently, we all do. Even the minister wants it. But are we going to find that in the pieces next Tuesday? Why can't we just meet today if we want to? That is why I wholeheartedly support Mr Helder's proposal. I have argued extensively that we should focus on the upper world, the corporate boardrooms. There are also criminals who disrupt society. The SP wants more attention to be paid to that. The Minister has not contradicted this, so he will very much agree. We are getting more information about the handling of money laundering and the taking away of criminally obtained money, but I do not think that is enough. This has got to be a lot better. Follow the money. The Minister also calls this a spearhead. I believe so, but the previous minister of the VVD said so too, and the minister before that, of the VVD, said so too, and the minister before that, of the CDA, said as well: we are going to take more money from criminals. Mr President, I have a motion on this subject, which reads as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is not clear why crime money is not well represented in the police and the judiciary and why it is not adequately taken away while on paper there has been a long-standing focus on financial detectives and the taking away of crime money;]] [[Considering that the Royal Notarial Professional Organisation, in response to Tops and Tromp's investigation, calls for further investigation into organised crime and the involvement of notaries;]] [[believes that crime should not pay, but that it is still not enough to really hit criminals substantially where it really hurts them: in their wallet;]] [[calls on the Government to make a more active effort to monitor criminal flows of money, including the role of financial service providers, accountants and notaries in embezzlement of criminally obtained money, and to inform the Court of Justice about that investigation,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member Van Nispen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-438]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u157	Thank you, Mr President. My fear was before that it would be a debate in which we would take extreme positions on a lot of things, but that was really not so bad to me; I think we agree on a lot of things. I do see a major point of dispute, and that is what Mr Van Nispen was referring to. That is the question of whether it would not be wise to think about it, however difficult it may be, because I also realize that it is necessary to deal with drugs in a different way, because this really seems to me to be a deadly road. On this point, unfortunately, I do not see much movement in the Minister's mind, but perhaps there is a progressive view. A few weeks ago in De Telegraaf, the Minister spoke quite firmly about the festivals. That is why my group needs to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas festivals are positive and cozy expressions of culture where people come to enjoy their favorite music and relax with like-minded people;]] [[speaks of wanting to maintain the Netherlands as a festival country and therefore to see no reason to impose restrictions on municipalities when organising it,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Groothuizen and Mr Bergkamp. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-439]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u158	Thank you, Mr President. I would like to thank the Minister for his answers and his colleagues for the good debate. I too was a little concerned in advance, because there were quite a few tweets and rough statements about this debate in the media and also in the social media, but I think we have had a good substantive debate today. It is indeed a pity to see that there seems to be some sort of taboo to better regulate, decriminalize and legalize forms of drug production. That was true even when I asked the Minister in an interrupting debate to argue in the UN context to see what this international war on drugs and this repressive approach in the Netherlands has brought us in recent decades. I agree with colleagues that there is no confusion about drugs in the Netherlands, but we have, of course, taken over parts of it. That is why I have a motion to ask for a ruling from the Chamber. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a UN conference on the fight against drugs is held annually in Vienna;]] [[Whereas an effective approach is characterised by a sensible balance between repression, prevention and decriminalisation;]] [[calls on the Government to undertake a UN investigation into the effectiveness of the drug approach over the past five decades, comparing the approaches of different countries, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Berge. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-440]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u159	Then I have a second motion, Mr President, but I am not going to table unnecessary motions, so if the Minister says 'we are going to do this' and he says 'we', then I will withdraw that motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas municipalities are calling for more tools to counter the interrelation between the upper and lower worlds, including in the fields of information sharing and structural funding;]] [[calls on the government, in consultation with the municipalities, to identify bottlenecks and propose structural measures to combat the interdependency of the sub- and sub-world, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Berge. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-441]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u160	I have tabled this motion because I have heard the Minister's intention to do so, but I have heard very few concrete commitments and measures. But, as I said, if the Minister is going to say that he is going to do so, I would also be happy to withdraw the motion. Thank you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u161	Thank you, Mr. Van den Berge. Finally, I give the floor to Mr Voordewind on behalf of the Christian Union.
ParlaMint-NL_2019-09-11-tweedekamer-9.u162	Thank you, Mr. Chairman. Where Mr Van Nispen may be disappointed by the statements made by this minister, we are very pleased and pleased with the promise that he will at least strive for a drug-free generation. I also heard him say that he wants to get rid of the normalization of drugs. To underline that, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the use of drugs in the Netherlands is punishable;]] [[considers that public authorities should not pursue policies that contribute to the standardisation of the use of drugs;]] [[calls on the Government to examine what measures it can take to prevent the normalization of drug use and to make concrete proposals to this end,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voordewind and Mr Van Dam. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-442]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u163	In fact, I see exactly the same problem as with this much discussed prevention motion. I was in favour of prevention until I heard your motion from Christian Union and CDA, because I have no idea what's behind it. What exactly are the measures that result from this? But let me confine it to this motion. What measures could be included? For I am not going to vote in favour of a motion calling on the government to take all kinds of measures which I do not know at all what they are. Maybe I don't agree with that. You mentioned in your input the testing of ecstasy pills at parties. If you want to ban or abolish the testing of ecstasy pills, it seems to me to be a major danger to public health and I will not agree to that. That's why I can't support a motion like that, can I? So what exactly does Mr Voordewind mean?
ParlaMint-NL_2019-09-11-tweedekamer-9.u164	I believe that the use of hard drugs is a major threat to public health. Mr Van Nispen is in favour of legalising this. If we do not tackle this adequately, if we do not put sufficient enforcement into place, there will be more victims. We've already seen the first harrowing situations. We've heard the Minister's reports about what the emergency services are doing on Sundays these days.
ParlaMint-NL_2019-09-11-tweedekamer-9.u165	Finally, Mr Van Nispen.
ParlaMint-NL_2019-09-11-tweedekamer-9.u166	You can't have a debate like that, because I didn't argue for the legalisation of hard drugs. I do not know, perhaps Mr Voordewind had just had a cup of coffee, but I asked the Minister whether he would like to think about a more sensible treatment of drugs, and I asked him if there could be an investigation, following Mr Tops and Mr Tromp. But if we are going to table this kind of unfocused motions and then accuse parties of being against drug prevention, for example... Yeah, you can't have a debate like that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u167	Mr Van Nispen has asked for research to see whether there can be a legalisation of hard drugs. That is what he proposed; he has repeated it here once again. I responded to that. I would also ask the Minister to make an inventory of what standardisation is currently taking place. If we really want a cultural change and we don't want our young people to go down on drugs, then we'll be together... There were just all these classes here; I think there's one more class here. There were just all these young people in the age class who we should warn about the danger of drugs. If we want that cultural change, we will have to fight against the normalization of the use of drugs. You and I can discuss soft drugs, but this is not even about soft drugs, which we already have a disagreement about. We are talking about hard drugs, ecstasy, and even of these you say: we need to do research to legalize this. You say that in front of these young people, and I am very sorry about that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u168	Mr Van Nispen may respond to that.
ParlaMint-NL_2019-09-11-tweedekamer-9.u169	Mr Voordewind can do very morally and say that parties who, in the interests of public health or in the interests of the fight against crime, want to think about a more sensible drug policy, are wrong. But I had a very simple question. That very simple question was: what does Mr Voordewind mean by his motion? Then he comes up with all kinds of you-boxes, he's gonna be morally elevated and he's gonna say you can't ask a question here about a more sensible drug policy, even though we've thought about it, without giving concrete substance to his own motion. That's very telling. I am not going to give the government a blank cheque for carrying out Christian Union policy, which I believe would be very unwise in the context of public health and a blessing for the criminals.
ParlaMint-NL_2019-09-11-tweedekamer-9.u170	If we want to work together to protect the most vulnerable young people against health risks, we will have to create a culture change and we will have to tackle standardisation. What precise measures can we take to achieve this, I await. I am not going to make all kinds of proposals here. I'll come up with another motion, but that's a separate motion. Whatever measures I mention, I have the impression that Mr Van Nispen wants to pursue the standardisation of drug use. Well, that's not gonna help.
ParlaMint-NL_2019-09-11-tweedekamer-9.u171	I have a question. I have noticed that in this debate we have talked almost all about prevention, but that we all mean something else as well. I would therefore like to hear from Mr Voordewind what he means by prevention in the context of this motion. GroenLinks strongly supports prevention when it comes to good information and addiction care, but not when prevention is actually a sort of cover for more repression. So I would like to know what exactly is meant by prevention in the context of this motion, because then I can judge whether my group can vote for it or not.
ParlaMint-NL_2019-09-11-tweedekamer-9.u172	We have had a debate here on preventive measures: investing in youth work, ensuring that young people do not slip into the use of drugs, let alone transport drugs or get into drug crime. We have, indeed, talked about good information. I am still shocked by the education of institutions that say: you might best use it, but don't do it while doing your homework, because it is not conducive to your school performance. If that is the information we provide, then we must ask ourselves whether this is indeed the protection and clarity we want to offer young people. That's what I'm really worried about. I'm gonna ask the Minister to take an inventory. You voted against this motion, because you are apparently opposed to forms of research, and it was even a question of a research motion that was directed towards prevention. That's very disappointing, but it also shows where you're from.
ParlaMint-NL_2019-09-11-tweedekamer-9.u173	Finally.
ParlaMint-NL_2019-09-11-tweedekamer-9.u174	This I cast far from me. This motion was tabled in a debate on the Prevention Agreement, which did not include drugs. I'm not going to faint, but the ruler who was present happened to be from the Christian Union house. In any case, the executive who sat there on behalf of the cabinet also dissuaded the motion for this reason and said: discuss this in the general consultation on prevention. That is also where my group very much likes to talk about drug prevention. But let us not go waving because we said in a debate where it was not on the agenda: it does not fit here, we are discussing it in the right place. Then do not say that my group is against prevention, because that is really bullshit. And that also applies to Mr Van Nispen's group. So if you had listened carefully to our input into that debate, you would have known that we are indeed in favour of prevention.
ParlaMint-NL_2019-09-11-tweedekamer-9.u175	Then what prevented you from voting for that motion yesterday? You made a plea here. What prevented you from doing that? The fact that it is not exactly a good time, doesn't it mean that you need to vote against such a motion? Anyway, I don't think we're gonna agree. Mr President, a second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the use of drugs is prohibited in the Netherlands;]] [[having noted that the Trimbos Institute's Drugs Information and Monitoring System (DIMS) has drug testing centres in more than 20 places in the country;]] [[Whereas the provision of drug testing centres by a government-funded organisation gives a signal of semi-legitimation of hard drugs;]] [[calls on the Government to stop facilitating drug testing centres,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-443]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u176	I am waiting for the Minister's response, but still an encouragement to the Minister. Because we've received so many sounds from several mayors when it comes to that information sharing, I'm coming to the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that municipalities indicate that they experience bottlenecks in, inter alia, information sharing, enforcement capacity and knowledge position;]] [[Whereas it is important to have an overall picture of the problems encountered by municipalities;]] [[Whereas it is important to take account of bottlenecks in different types of municipalities, such as regional, rural and metropolitan municipalities;]] [[calls on the Government to identify where municipalities are still experiencing bottlenecks and to come up with concrete solutions to remove these bottlenecks and to inform the Court of Justice,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-444]]
ParlaMint-NL_2019-09-11-tweedekamer-9.u177	I will continue to laugh, but I do not really intend to support this motion, because we already know everything that this motion calls for. It's really the cabinet's move now. The Council of State has spoken, all the mayors have spoken. Getting to work, I'd say, and not again all kinds of delaying investigations that really aren't gonna bring anything extra.
ParlaMint-NL_2019-09-11-tweedekamer-9.u178	Mr President, perhaps a reaction?
ParlaMint-NL_2019-09-11-tweedekamer-9.u179	Yes.
ParlaMint-NL_2019-09-11-tweedekamer-9.u180	A brief reaction. If Mrs Kuik reads the motion, she will see that concrete measures are also being called for.
ParlaMint-NL_2019-09-11-tweedekamer-9.u181	Mrs Kuik was ahead of me, but her words could have come out of my mouth, because I wrote on Mr Van den Berge's motion, which asks the same question: is already happening. That's what Mrs. Chicken just said. I am always in favour of a united approach towards box-K, but this is going to be a very strange figure.
ParlaMint-NL_2019-09-11-tweedekamer-9.u182	I do not fully understand what Mr Van den Berge's motion is. I'm quite willing to put it together, but I'm also waiting for the Minister's response.
ParlaMint-NL_2019-09-11-tweedekamer-9.u183	Thank you, Mr Voordewind. I'll see if the minister can respond immediately. The Minister needs five minutes to be able to read and assess 15 motions quickly.
ParlaMint-NL_2019-09-11-tweedekamer-9.u184	I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2019-09-11-tweedekamer-9.u185	Mr. Chairman. I have 15 motions to discuss. Finally, I have a few questions to answer from Mr Yeşilgöz and Mr Kuik. First, the motions. I need to move. President. - I call the Group of the European People's Party (Christian-Democratic Group). He could hold the motion until the budget debate. You know the saying of the brooding chicken. This is precisely a subject which I have always said in the Chamber that I am constantly calling for attention to be paid to this problem. That's what I'm gonna keep doing. This also applies to the point that Mrs Helder raised first, namely looking at the possibilities for structuring such a fund. I don't want to disturb the brooding chicken. My proposal would be to keep to the budget. Otherwise, I'm gonna have to dissuade the motion. Motion No. 431 is about increasing the reward of tipsters. I shall return to that in the promised letter. That really needs to be studied. I would ask Mr Krol to hold this motion.
ParlaMint-NL_2019-09-11-tweedekamer-9.u186	Mr. Krol, you really should do that for the microphone.
ParlaMint-NL_2019-09-11-tweedekamer-9.u187	I'm gonna have to rethink if I'm gonna make the first motion. I'm gonna talk to Mrs. Helder very well, too. I don't want this to be a motion against her motion. As far as I'm concerned, it's a matter of and-and-and-and-one. Both motions need to reinforce each other, but we're still gonna talk about that. I'll take the second motion.
ParlaMint-NL_2019-09-11-tweedekamer-9.u188	At the request of Mr Krol, I propose his motion (24077, No. 431). That is what is decided.
ParlaMint-NL_2019-09-11-tweedekamer-9.u189	Motion No. 432 also belongs to Mr Krol. I would also ask him to hold this motion. I have already said that we need to look at this in depth in the light of a possible amendment to the Constitution. I shall return to that in the promised letter. My proposal is to hold that motion, otherwise I'll have to dissuade her.
ParlaMint-NL_2019-09-11-tweedekamer-9.u190	Please continue.
ParlaMint-NL_2019-09-11-tweedekamer-9.u191	Motion No. 433 on the landlord's register, I'll let you know. The motion on increasing the number of drug and money dogs to 1,000 I must advise against. Then I come to motion No. 435 by Mr Van Dam and Mr Voordewind. This motion calls for a legal basis to be created to allow for the testing of alcohol and drugs by employers. I'm asking you to hold this motion. I have already said that the Chamber is informed by the Secretary of State for Social Affairs and Employment. She is currently discussing this issue with employers and employees.
ParlaMint-NL_2019-09-11-tweedekamer-9.u192	Different?
ParlaMint-NL_2019-09-11-tweedekamer-9.u193	Otherwise, I will discourage the motion at this stage.
ParlaMint-NL_2019-09-11-tweedekamer-9.u194	Would it be possible, with all due respect to the Secretary of State, to ask this Minister not only to leave it to the Secretary of State, but also to look at it from the point of view of combating drugs and, with that element, to give a reaction from the Cabinet?
ParlaMint-NL_2019-09-11-tweedekamer-9.u195	I can promise.
ParlaMint-NL_2019-09-11-tweedekamer-9.u196	Mr. Van Dam?
ParlaMint-NL_2019-09-11-tweedekamer-9.u197	Then I can promise I'll hold the motion. That's what I'm doing now.
ParlaMint-NL_2019-09-11-tweedekamer-9.u198	At the request of Mr Van Dam, I propose his motion (24077, No. 435). That is what is decided.
ParlaMint-NL_2019-09-11-tweedekamer-9.u199	Motion No. Mrs Helder's 436 concerns the structural undermining fund. If it is said that this should be introduced now, then I must discourage the motion. I have already indicated to the other motion that the motion can also be held until the budget is discussed.
ParlaMint-NL_2019-09-11-tweedekamer-9.u200	There's on purpose no time limit in the motion. I would prefer to do so as soon as possible with the emphasis on 'fast' but also on 'possible'. The Minister doesn't have to read out a deadline. I don't think I need to change that. Then about what just happened. Mr Krol was the applicant for this debate, so I understand that he is also the first to table a motion. He submits a motion that he had already prepared and also signs my motion on a structural undermining fund. I do not think that bites each other; my anger was just motivated by the fact that the colleague of the VVD co-signs his motion but not mine. It's not about the PVV sticker. If the Minister undertakes to do so, I think all colleagues will nod and say: give it to the Minister because then we will get a structural undermining fund. That is what we do for the mayors and to fight crime. So I see no malice with Mr Krol. As far as the VVD colleague is concerned, all I can do is make an implied... I don't think I should tell you.
ParlaMint-NL_2019-09-11-tweedekamer-9.u201	That didn't quite work.
ParlaMint-NL_2019-09-11-tweedekamer-9.u202	That didn't quite work out, no. "Implicate," Mr President, that was the intention to say. But that's what you get when you're a little angry; after years of discussion like this, it's starting to get a little messy. And that's not just on this subject. I am pleased with the support of other colleagues; that can also be said. I would be happy to continue the motion until the budget debate.
ParlaMint-NL_2019-09-11-tweedekamer-9.u203	At the request of Mrs Helder, I propose her motion (24077, No. 436). That is what is decided.
ParlaMint-NL_2019-09-11-tweedekamer-9.u204	I would like to express my gratitude for that. Then I come to the motion on part No. 437, about the drug-free generation. I urge Mr Bishop and Mrs Helder to keep it until 10 October. Then the debate of the Lower House with State Secretary Blokhuis. If the motion is not stopped, I should advise her not to, because otherwise I will really get in the way of the Secretary of State, and Blokhuis and I are working very much together in this whole thing. So I look at you, Mr. Chairman, and through you to Mr. Bishop.
ParlaMint-NL_2019-09-11-tweedekamer-9.u205	Yes. Mr. Bishop.
ParlaMint-NL_2019-09-11-tweedekamer-9.u206	Look, if the Minister promises to talk to Mr Blokhuis and to ensure that the judicial, police, perspective is taken into account, I would like to keep her on board.
ParlaMint-NL_2019-09-11-tweedekamer-9.u207	Yes. I thought I'd already reported that, but I'm confirming it here again, aboundingly.
ParlaMint-NL_2019-09-11-tweedekamer-9.u208	Thank you. Am I to understand that you're holding the motion, Mr. Bishop? I can see that it is.
ParlaMint-NL_2019-09-11-tweedekamer-9.u209	Then there is Mr Van Nispen's motion. It calls for a more active commitment to the monitoring of criminal money flows and so on. This motion, in part No. 438, that's definitely room for judgment. As far as I am concerned, she fits in well with the plan of action and also gives us some sort of incentive function. Mr. Chairman. Then there's the motion in part No. 439 by Mr Groothuizen and Mrs Bergkamp, on the Netherlands as a festival country. I've already said that there's been quite a misunderstanding, but yes, it's just what you're trying to get into the world at the point where I'd say there should be fewer festivals and b that I have any authority to do that at all. But I must strongly advise against this motion alone. 'Cause it says "spoken out of that."
ParlaMint-NL_2019-09-11-tweedekamer-9.u210	"Speaks that," yes, that's right.
ParlaMint-NL_2019-09-11-tweedekamer-9.u211	Yeah. Then we must never again make a condition in a permit to a festival or anything like that. I don't think that could have been the intention. So dissuade it. It is also a question of local policy.
ParlaMint-NL_2019-09-11-tweedekamer-9.u212	But nothing is being asked of the government in the motion. The motion makes a statement. Then it's up to the room.
ParlaMint-NL_2019-09-11-tweedekamer-9.u213	But I can say it's a motion...
ParlaMint-NL_2019-09-11-tweedekamer-9.u214	Sure, you can say anything.
ParlaMint-NL_2019-09-11-tweedekamer-9.u215	... which has not been properly put together in any way.
ParlaMint-NL_2019-09-11-tweedekamer-9.u216	In any case, I am pleased to hear that the Minister supports the intention of the motion.
ParlaMint-NL_2019-09-11-tweedekamer-9.u217	Oh. Okay. Good. I suggest you move on.
ParlaMint-NL_2019-09-11-tweedekamer-9.u218	Mr. Chairman. Then we have the motion in part no. 440, by Mr Van den Berge, on research. However, it is reported annually by the UN Drugs Conference on the effectiveness of the drug approach. I have already mentioned in my introduction the European Monitoring Centre for Drugs and Drug Addiction (EMCDDA), which also comes regularly with such reports. So I do not think it makes any sense to carry out another investigation. The World Drug Report really gives us a lot of data. Furthermore, as a Dutch society and here too, we must take the responsibility to look at what is needed in the Netherlands, given the peculiarities of our economy as I outlined earlier. The motion in part No. 441 by Mr Van den Berge, on behalf of the Committee on the Environment, Public Health and Consumer Protection, on the request for...
ParlaMint-NL_2019-09-11-tweedekamer-9.u219	Let's get back to the motion on part No. 440. Has there been a judgment given?
ParlaMint-NL_2019-09-11-tweedekamer-9.u220	This motion has been dissuaded.
ParlaMint-NL_2019-09-11-tweedekamer-9.u221	Okay.
ParlaMint-NL_2019-09-11-tweedekamer-9.u222	Absolutely. I said we're not gonna do any unnecessary work. Then we have the motion in part no. 441 and those in part No. 444. The motion in part No. Mr Van den Berge asked the government to consult the municipalities. The motion in part No. Mr Voordewind's 444 has been reworded, but the bottom line is that both motions say: will you... The motion in part No. 441 calls for structural measures to be proposed to combat and inform the Court of Justice of the links between the sub-world and the upper world. I would advise against that, because there is really enough research available. Undermining images are being made in all regions. If you wish, it will be shared with your room. We have the pursuit team undermining that falls under the Strategic Board Undermining. I have heard a number of your Members rightly say: people, let us be careful that not all new layers are going to function again. Maybe it slipped into the huge amount of pieces, but there's really enough research at this point. If I may take the motion in section 444, that is another motion, if I may explain it in such a way that it is about information sharing. I said, also in a discussion with Mrs Yeşilgöz, that this year I will come up with solutions. I'm coming up with protocol this year, too, so I'm gonna leave that motion to judge Chamber. But Mr Van den Berge's is really...
ParlaMint-NL_2019-09-11-tweedekamer-9.u223	The motion in part No. Mr Voordewind's 444th Chamber. Then that's what we've been through.
ParlaMint-NL_2019-09-11-tweedekamer-9.u224	Mr Van den Berge's motion on item 441 is superfluous and is not recommended.
ParlaMint-NL_2019-09-11-tweedekamer-9.u225	Mr Van den Berge, briefly.
