ParlaMint-NL_2019-10-02-tweedekamer-6.u1	We will continue with the debate on the General Financial Reviews.
ParlaMint-NL_2019-10-02-tweedekamer-6.u154	Last Prince's Day, this Minister of Finance continued his tradition by once again giving a valuable glimpse into the past. Last year the explorers Scott and Amundsen got a nice central role. This year, the Minister took us to 1906 and took credit for Theo the Master, the Minister of Finance of the 'Cracking Porcelain Cabinet'. Like this minister, the Animal Party looks beyond the 2020 budget alone. But we prefer to take a look at the future. What would the budget of the year 2106 look like? That's the point. With the current, our disruptive 2 degrees policy, it is far from certain whether the Netherlands will have a budget at all in 2106. The third consecutive, groundbreaking IPCC report on the deplorable state of the oceans and climate change leaves no misunderstanding. We are in a climate crisis and a biodiversity crisis. No wonder there's so many climate protests. Whoever walked along will undoubtedly feel supported by the words of the King during Prince's Day, who quoted an Englishman. That England sailor said, "I feel responsible to pass on to younger generations that you must resist when needed." Or, as Loesje says, when does civil disobedience become a moral duty? Those who walked along might also feel supported by the Minister of Finance when he called in his King's speech to watch for the moment when we were thinking with regret: if only we had started earlier. Those were wise words from the Minister, because it shows that this Minister is well aware that time is not free, that time is precious. I wish I'd started it sooner! This may be the underlying idea in the plans for a huge investment fund. In the NRC, Rosanne Hertzberger called for this investment fund to be fully committed to climate action. "For," wrote Hertzberger, "there is one problem in the Netherlands, and that is the same for everyone, young and old, rich and poor, left and right, and that is the climate crisis." My first question to the Minister: is he prepared, given the urgency shown by 30 years of climate science and three groundbreaking IPCC reports, to bring this entire fund to the benefit of climate action? Our government is proud of the Climate Agreement, but the Climate Agreement does little. As you know, the Climate Agreement aims to halve emissions in the Netherlands: 49% by 2030. But that's in the old picture of the here and now. We'll only do half of it. I'd like to explain. We now have the wide welfare monitor with the here and now and the later and the elsewhere. We are not only looking at the current economy, but also at the consequences of how we now live for the future generation and the generation elsewhere. The latter is not the subject of the Climate Agreement at all. That's weird, because elsewhere we're gonna emit about 265 megatons of CO, and that's gonna have to be half of it. That is why the statement is justified that we are only doing half of half of it with the Climate Agreement. Does the Minister follow this reasoning and do he see it that way? I'd like a response. Mr. Chairman. Last week was the great climate demonstration and yesterday the farmers were on the Malieveld, because the livestock has to shrink dramatically. That is what the Animal Party has been saying since it was founded, and it has become clear that many people think so and politicians who claim otherwise there are those in the Chamber who do so. But while livestock in the Netherlands is shrinking, we conclude trade agreements with countries like Brazil and Canada. These are countries that produce under European standards and are increasingly gaining access to the European market. That is, and farmers are absolutely right, unfair competition. Mr. Chairman. That is not all, because not only do we open our borders to cheap meat products from Ukraine and South America, we even finance this same foreign intensive livestock farming with Dutch taxpayers' money. And that goes through the so-called international financial institutions, which are financed mainly with western money. The Ukrainian chicken tycoon MHP has been able to borrow over half a billion in tax money through these institutions in recent years. A few months ago, the Animal Party barely managed to make up another 100 million. A Brazilian cattle giant has been funded by the IFC for 85 million, and we are about to open up our market to spot-buying Brazilian beef. Mr. Chairman. After years of failing agricultural policy, supported by LTO, CDA and VVD, our farmers revolt. But in the meantime, the same CDA and VVD are opening the borders for foreign industrial farmers. And as a blow to the flames, we also fund these industrial farmers once again with our own taxpayers' money. Can the Minister clarify the ratio? Mr. Chairman. Not only international financial institutions invest in dubious projects, our own government is not doing much better. In February of this year, Minister Hoekstra stopped three quarters of a billion dollars in Air France-KLM. Investing in fossil airlines is investing in beached assets. Those are investments that are irreversibly downgraded. Can the Minister explain to us the flight plan how he's going to get rid of those shares again? And commercial banks are also investing in sectors that no longer have a future: the fossil energy sector, intensive livestock farming and greedy aviation outside the law. The Financial Times recently warned of banks that have no idea of the risks their mortgage portfolios run. These are risks like floods caused by climate change. Does the Minister, like the Animal Party, see the risk of investment that could become worthless through climate change, the energy transition and the agricultural transition? Is the Minister prepared to make an assessment of the size of these investments? I'd like a response. Mr. Chairman. There is a lot of attention to so-called green investments, but investment in fossil, aviation, chemistry and intensive livestock farming remains in the room. The elephant in the room is those investments that lead to large-scale damage, destruction or destruction of one or more ecosystems and living creatures inside. Those are investments in ecocides. At present, there are no legal means to prosecute ecocids. People don't take that anymore. Look at what Greta Thunberg says. Look also at the growing and thriving movement Extinction Rebellion or, again, Loesje, "when does civil disobedience become a moral duty?" Mr. Chairman. For the time being, Ursula von der Leyen doesn't feel that she started it too late. Even before it officially started as a new President of the European Commission, it has already proposed a CO border tax. That looks like Columbus' egg. The import of harmful products is becoming more expensive, which makes it much less easy for governments and fossil companies to hide behind the so-called CO leakage. My question to the Secretary of State is whether a CO-frontier tax can be beneficial to the Dutch climate policy and whether the Secretary of State sees a role for himself in this. Mr President, I will conclude. If the Minister fears that he may have started too late, then I can reassure him completely here. Because I can guarantee him he started too late. But we all started too late. We all started saving this system too late. But that's actually fine, because a system that leads to self-destruction isn't worth saving. That's the hope, too. Mr. Chairman. You will believe it or not, but I have spoken to a grandson of a minister who was also in the cabinet of 1906, a grandson of Pieter Rink, far in the 80s. That is what I am offering this minister with the wish that he should pass this book on to his children, who can then present it to the Minister of Finance of the year 2106 for his speech when offering the state budget. In addition, he can tell the story of Wopke; the name which means glorious by fame. Wopke the Minister of Finance who watched for him to get on with it too late. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u155	Thank you, Mr. Van Raan. I now give the floor to Mr Van Otterloo on behalf of 50PLUS.
ParlaMint-NL_2019-10-02-tweedekamer-6.u156	Mr. Chairman.
ParlaMint-NL_2019-10-02-tweedekamer-6.u157	I see you have 30 minutes, good luck.
ParlaMint-NL_2019-10-02-tweedekamer-6.u158	Yeah, 30 minutes. Thank you, Mr. Chairman. I hope to deal with it sparingly and well. These are extraordinary economic times. The real economy and the monetary economy are moving further and further apart. The monetary economy has almost become virtual with the ECB's injections of money that are beyond imagination in size. All this to bring down the interest that is already historically low by an abundance of money even further. The result in the real economy in which real people live is that it is bad for pensions and fun for mortgage interest and public debt. Mr. Chairman. These are extraordinary economic times. For decades, the focus has been on reducing public debt, as the burden of interest was heavily on the budget. This focused on the reduction of public expenditure. Now we have come so far that even the President of the Netherlands Bank, a professional black eye, feels that reducing public debt, which now stands at 45%, is no longer a priority. So that's not a business as usual either. Mr. Chairman. The G.B.J. Mr Hiltermann's motion, as it has now been called, of my colleague Mr Krol, you know that mysterious motion on the situation in the world, we have deliberately held on so that she could not only be haunted during the General Reviews, but also later on. A day after the General Political Reviews, despite a good explanation in our view by Henk Krol, NPO Radio 1 and EenVandaag still found the motion somewhat mysterious. It was also amusing to see that in the General Political Reviews roughly a third of the people did not understand the motion, a third felt wetness and a third immediately saw what we intended with the motion. Of course, it has everything to do with Article 142 of the Pension Act. But we have also deliberately deviated from the literal legal text. In spoken language, "exceptional times" and "exceptional situations" are of course very close together, but legally this is different. In a wording with "exceptional economic situation" rather than "exceptional economic times," the link with Article 142 is unambiguous. Then the members of the coalition will probably vote against for that reason alone, I fear. The motion itself does not mention the legal implications and focuses on geopolitics and the macro-economics. That makes it a double-load motion, but also one that we believe all Members of the European Parliament should be able to give their opinion on this without any political discipline. In our view, therefore, all members of parliament of all political groups, opposition and coalition, can follow their hearts with confidence. You do not have to vote against this motion because you cannot fully see the direct legal consequences. The only direct result of the motion is that 50PLUS gives pensioners and active members of pension funds a stick to beat. As Martin Visser of De Telegraaf explained on NPO Radio 1, when the Chamber declares that we live in exceptional economic times, that gives a first hook to get the upcoming pension discounts based on Article 142 off the table. Nothing more and nothing less. We would also appreciate it if all the groups would allow us to abandon the discipline of the political groups. Dutch politics has always found that countries that did not save but financed pensions annually in the same way as we in the Netherlands finance the AOW were doing wrong. But now they seem smarter. If you do not save, but only in 20 years' time to collect euros for pensioners, it will be cheaper and therefore smarter because of inflation. But why are we threatening discounts? This is due to the fact that the current design of the interest rate creates a paper reality which creates deficits on paper. Instead of the actual returns obtained, the amounts that come in and go out will be looked at. Nevertheless, the interest rate is maintained, as if the pension fund were a company in liquidation which should not be valued on the basis of a going concern. As if the pension is not a deferred wage, but should already be given to 5 year olds who have not yet paid contributions. Unlike often the impression is given, the calculation rate is a brew of different interest rates and not a fixed interest rate that you can check on a daily basis. The risk-free interest rate today for the calculation of the claims for a period of 60 to 70 years means that you calculate your arm while the calculation says nothing about the yields made, the inflation and so on. The conclusion can only be that the risk-free interest rate for pensions means that the risk is placed on current pensioners, because they are reduced. The active, current participants are also affected by their pension structure, but they still have the opportunity to repair it if it does not turn out as bleak as predicted by the calculation rate, while many pensioners will not experience it anymore. Mr. Chairman. 50PLUS had a good weekend. We see the army of people asking the same critical questions as 50PLUS growing. You can also see that not only pension fund directors think that they can't explain it anymore, but that financial experts like Nout Wellink are already playing the game. Freed from the tightening of the function, there seems to be room for reflection. And also in the newspapers we see more stories about the retirement pots that are not being eaten by the elderly and about doubts about the need to cut pensions. Here, too, there is a greater understanding of an approach that does not disproportionately affect the elderly, except for the armed elderly haters who want to fight between generations. The reality is that active participants, as measured by the calculation rate, actually contribute too little. The funds take into account an average rate of return of 2.8% for the younger participants, while according to the calculation rate it is likely to be less than 1%. And that's how you create optical deficits. It is of two and one: either the premium is cost-covering and then you increase the calculation rate, or you increase the pension premium to a cost-covering level. The President of De Nederlandsche Bank also had to admit last week that there were too low premiums. That's why cutting old people feels wrong. Mr. Chairman. When it comes to purchasing power for pensioners, if it is up to the cabinet, it is not an exceptional economic time. The elderly are once again disappointed at this point, as in the past ten years. Prinsjesdag starts to look a bit like Groundhog Day in that respect. Like the journalist in the film, we wake up again and again on the same day, with disappointment about the failure to predict the improvement in purchasing power and the prediction that there will be an improvement in the coming years. Moreover, it is clear that workers are making more progress than pensioners, as if they are also being forced back to work. Working above the AOW age is nothing wrong, otherwise I wouldn't be standing here. But forcing it is something else. 50PLUS considers that discrimination against older people against workers is not fair. Last year, the CPB survey already showed that there was an increase in charges. Wimar Bolhuis rightly noted that the cabinet simply increases the burden by 1 billion over the whole period. And this year, too, the CPB announces that nothing will happen to the burden on balance next year. Despite repeated fine words from the cabinet about tax cuts, we just wake up on the same day and I can point out this again just like my predecessor Martin van Rooijen. Pensioners will be bumping in the back of the purchasing power cards next year anyway, while there is a threat of huge discounts that have not yet been fully incorporated into the figures. These reductions apply not only to the current pensioners; I have already said that they also apply to future pensioners. That's why the workers are being double-trapped. Not only do the discounts apply to them, but the premiums actually have to be raised tremendously in order to meet the conditions of the pension agreement. The only thing we are asking for is for the calculation rate that is now being paid to young people for the premium to be applied to pensions. That is fair and consistent. But with the pension agreement, younger workers will soon also face the interest-fundamentalism of the coalition. I think that this generation will soon understand pensioners much better. Then they will experience for themselves what cost-covering premiums mean in a zero-interest environment. Then we are all, young and old, treated, not to capital cover but to "capital cover." In view of the attitude of Minister Koolmees that we all have a problem in a capital-covered system if interest rates remain zero for a very long time, that gives us hope for the future. But then it is important that we should at least be able to sit at the bigger table as 50PLUS with more seats. As far as we are concerned, the elections can come. What is striking in the stories about falling interest rates is that ageing is often mentioned as a reason for the declining trend in interest rates over the past decades. In fact, ageing is synonymous with saving. Too much is spared, they say. The case is more complicated than that. The free money and little private investment by companies are other important components. Older people are often blamed for this. They should save less and spend more. But if you have seen the AOW age increase quickly and if you know that the last ten years pensions have not been indexed, that pension reductions threaten, that your own risk in care has doubled, that your own contribution to long-term care has been increased, that the nursing homes have been closed and you have to stay home longer, then that picture is not inviting. Yet there are economists who write that older people should spend more rather than prepare for a frightening future. These economists have forgotten that there is such a thing as a welfare state that people could rely on. Mr. Chairman. There is a point in the plea for more expenditure that I can understand. That is that the elderly are not helping to keep economic growth going. Retiring later, threatening pension reductions and an annual decline in purchasing power make these generations more conducive to economic growth, as their wallet is less filled. Ageing as the cause of the problems is again choir on the mill of lovers of a somewhat more totalitarian regime, in which older people have less or no voting rights. However, the last two Rutte Cabinets have significantly intervened in the provision and income of older people. That was with a parliament that on average was more like a youth parliament in terms of age than a parliament as is the case in the neighbouring countries of Europe. No balance in age gives a lack of experience and wisdom, and does not lead to the solidarity between generations so desired by 50PLUS. Mr. Chairman. The cabinet also literally leaves the elderly in the cold, it seems. For the elderly, this policy of government is clearly likely to lead to a very specific burden increase. That is the policy on energy taxes. Sustainability is a high priority for this cabinet. To this end, the tax on gas will be increased and the tax on electricity will be reduced. You may not think about it very often, but the increase in the gas tax seems to be mainly due to a form of old age taxation. After all, older people tend to burn much more than younger generations. Higher temperatures and longer heating times because they are less extrusive. Moreover, the effect of blood thinners is not only that the blood is diluted, it also makes it really colder. Older people are more at home than workers, who can lower their thermostat during the day in order to save. The ageing population leads to higher household energy consumption. Older people thus burn more because of their physical condition and live relatively more often in less well isolated often older houses. The need to stay home longer reinforces this effect. The tenants of low-income social housing are also affected by the high gas tax. 50PLUS believes that the cabinet should seek solutions for these groups in order to prevent this unintended debt-to-GDP ratio from increasing by gas consumption. Is it true that for the standard households I asked the Secretary of State for EZ and Climate last week to monitor the impact of the climate measures but that different consumption patterns of elderly people are not or hardly in the picture? Can a clear picture be given of what it means for the elderly? Mr. Chairman. In a previous summer recess contribution, I have already advocated, on behalf of 50PLUS, a new view of the financial situation of negative interest rates on government bonds, which offers opportunities to better prepare the Netherlands for the future, both by making investments and by considering how domestic spending can be stimulated in order to maintain a responsible economic growth rate rather than ending up in recession again. For the record, this is not a claim to add my name to the list of people who want to attach their name to the investment fund. Not only do I know my place, I have also made that plea with reference to a number of renowned economists. It's just a somewhat longer-playing theme among these experts. We are pleased that there will be a possible investment fund that could make the Netherlands stronger in many ways. As far as I am concerned, however, agreement will only be reached if good and new projects are financed. Good investment in the strength of society and the economy will make our future permanent. That's nothing more than what 50PLUS would like. As far as we are concerned, this includes lifelong learning. This is a project that makes society stronger without falling into traditional investment standards. Another point, Mr President. In addition to the ambiguous story of the cabinet about the burden, the budget surplus is systematically underestimated. The CBS reported that a surplus of EUR 14 billion had already been recorded in the first months of this year. Mr Van Dijck thought this was all over the year, but no, we are halfway through and we already have a surplus of 14 billion. That's a huge amount of money. It also ring a bell in my second instance and after a quick calculation, but for that I have to go back to my previous period. As a result of the reactions outside the microphone, this has to be because Parliament suffers from parliamentary dementia when it comes to what has happened in the past.
ParlaMint-NL_2019-10-02-tweedekamer-6.u159	Well, you're talking about yourself now?
ParlaMint-NL_2019-10-02-tweedekamer-6.u160	No, I'm talking about parliament. What I want to talk about, that's where I'm coming from.
ParlaMint-NL_2019-10-02-tweedekamer-6.u161	We don't suffer from dementia. Please continue.
ParlaMint-NL_2019-10-02-tweedekamer-6.u162	In my second period in this Chamber, from '89 to '94, there was the WAO crisis. Major measures were needed to curb the growth of public debt. As bad as the state finances were before, so full were the pension pots. Pay increases could be financed from the bonus holidays and so on. But today we have the mirror image of how dramatic retirement provision is being presented and how much public debt is no longer a problem that deserves priority over other matters. Mr. Chairman. Then why did a ring a bell with me? That is because I sometimes have an irresistible tendency to express it in guilders when it comes to amounts. And what's pale? The budget surplus of EUR 14 billion in the first half of the year is guilder 32 billion. Let that also be the notorious amount that Lubbers and Kok took out of the ABP in the 1990s. I was there, I looked at it and then I co-approved it because of the difficult situation of the government's finances. The cabinet and we as Chamber also play a role in the formal employership of civil servants. In doing so, we have an additional responsibility for the pensions of civil servants, pensioners and workers. Strictly speaking, you should actually calculate a 25-year return on that EUR 14 billion: interest on interest. Then we get to astronomical amounts. There would have been no less than 70 to 80 billion euros taken from the ABP. I can calculate about how much coverage that would yield, but I would like to ask the Minister to tell me what 14 billion and 80 billion are different in coverage levels. I admit once again that I was there, but perhaps that is why I feel some moral responsibility for the decisions taken at that time than others here in the Chamber. Moreover, I have always thought that the money would be returned in one way or another, because the word 'robbery' fits with the non-return and the word 'borrowing' fits more with the use at that time. Mr. Chairman. I know there's some laughing around here when people talk about ABP robbery, but when pensions are cut by 10%, it's a whole different story. It might be a good compromise if we forget the interest rate for those 25 years and just give the nominal amount back to the ABP, the place where it comes from. In doing so, we, as a cabinet and a chamber, play our employers' role in a good way. This, of course, also means good news for the still working participants, who are not reduced in their claims. Mr. Chairman. These are still exceptional economic times. This also has an impact on housing. Like Mr Heerma, we want to talk about housing rather than the housing market. There's an impulse planned. That's what we've just had a discussion about. They asked: "Is it 1 billion or is it ten times 100 million? And will there be another four times 250 million, so that it will be 2 billion?" But apart from that: we are dealing with the point that I have already said in an interruption to Mr Slootweg that the proceeds of the landlord's levy, once introduced as a crisis measure to fuel the state's greenhouse, are actually much higher than what the government provides for as revenue, while on the other hand there is a crisis in housing and a very substantial task in building and sustaining rentals. That impulse would look like a tip. We are concerned about rising house prices and reduced access to the housing market, partly due to low interest rates. The oldest and the youngest Dutch can give each other a hand, because the 70-plussers remember what it was like with the housing shortage, what it was like to have to live with your family with children with parents and in-laws or other family, and how much money you had to take when buying your first home, with a mortgage that only reached 80% of the valuation value. In that respect old times seem to relive, but without nostalgia. In addition, 50PLUS also looks at more social needs than just housing. 50PLUS notes that there is still a big gap between living at home and not being able to go to scarce nursing homes. In hospitals the wrong bed problem of 20 years ago is completely back in town. In the 1950s and 1960s care homes were built on a large scale to solve the housing shortage. Now the nursing homes should come back in new, small-scale intermediate forms for the real elderly among us. We also thought that this was a useful suggestion for the investment fund in the 'Finance Dagblad' series. Mr. Chairman. These are extraordinary economic times. That is precisely what you notice in the banking world when it comes to threatening negative interest rates on savings. 50PLUS... I see Mr Alkaya standing.
ParlaMint-NL_2019-10-02-tweedekamer-6.u163	Finish your sentence, Mr. Van Otterloo. Oh, you'd like to take a sip of water. That's fine. Then Mr. Alkaya.
ParlaMint-NL_2019-10-02-tweedekamer-6.u164	I thought I'd wait and see. Mr Van Otterloo first suggests that the age of Members of Parliament would be important in proposing initiatives and measures that would benefit older people. Then he comes up with a whole series of measures, of which I wonder: which of these measures in the areas of pensions, housing and health care, has he not found the socialists on his side, regardless of their age?
ParlaMint-NL_2019-10-02-tweedekamer-6.u165	No, that has not been a reproach to individual parties. I'm talking about the whole thing. The majority here in this Chamber had an age below 50. It has taken a number of decisions, for example on the Wmo and increasing its own risk. When I talk about parliament, I am talking about majority decisions in parliament, not individual decisions. In my time I was in the 40 years old I arranged for AOW beneficiaries to be better placed in the health insurance fund. I've spent 40 years living a troubled life. "Sorry" in the sense that I've taken care of it. So this is not a reproach that you need to care.
ParlaMint-NL_2019-10-02-tweedekamer-6.u166	That's good, because I'm one of the younger MPs at 31 years. I want to take that image away from Mr Van Otterloo. This majority has not taken all the measures that are taking older people, because it is young, but because it is neoliberal, because it had to be cut, because it did not want to burden the richer and the multinationals and because it did not want to tackle the shareholders. It would help Mr Van Otterloo in his analysis if he let go of that age fixation and looks at the ideology of those parties. He should not become so fixated on age, because Mr Van Otterloo will find every socialist by his side when it comes to pensions, housing, care homes and community homes for the elderly. He really doesn't have to worry about that.
ParlaMint-NL_2019-10-02-tweedekamer-6.u167	This was also about a plea made by a number of people in columns or in letters, namely that older people should be deprived of their right to vote, because in this Parliament, because of the presence of older people, they would only look at older people's interests. That is what my comments were for.
ParlaMint-NL_2019-10-02-tweedekamer-6.u168	Proceed, Mr. Van Otterloo.
ParlaMint-NL_2019-10-02-tweedekamer-6.u169	Mr. Chairman. I have one specific point for the Secretary of State.
ParlaMint-NL_2019-10-02-tweedekamer-6.u170	Yeah, or he'll be here for nothing.
ParlaMint-NL_2019-10-02-tweedekamer-6.u171	You can see where the shot's coming from.
ParlaMint-NL_2019-10-02-tweedekamer-6.u172	That sounds very aggressive, Mr. Van Otterloo.
ParlaMint-NL_2019-10-02-tweedekamer-6.u173	It is about the capital efficiency levy. He presented a proposal for a different approach in 2022. But that means waiting another two years. So two more years of capital return tax, while the interest rate on savings is virtually zero, or possibly even negative. In our view, that is not possible. We would like to see a proposal which, for example, reduces that element to zero. So we are talking about savings, not the return on shares. If necessary, this is done with a certain limit, in order to prevent entrapment, for example that suddenly money is released from shares on a given date and put into a savings account. Mr. Chairman. Then I have three questions for the Minister in a different capacity. First of all, his responsibility for DNB. We are discussing pension funds. We know we have to be careful when calling DNB. The Minister is the only one who can do this. Mr Knot made the point that a number of funds were in trouble because they did not pay interest. But now we have understood that we were whispered that this also applies to the DNB pension fund. That surprised us, or it didn't surprise us. Then it appears that the predictive ability about how useful this is is to be limited also with DNB. Two. It has already been mentioned by a colleague: the KLM shares. We feel that we have paid a lot for that blue feeling. The question is what we have actually received in the past few months. There was money to invest, but we get the impression that the blue feeling turns into "feeling blue" and that is quite another thing. Finally. ABN AMRO. It is not that I have a motion of censure against the Minister because he has not provided the money laundering practices of ABN AMRO. In the end, he is jointly responsible for this as a shareholder. We would like to know what he did as a majority shareholder and what his predecessors did, when it was still entirely public property, what happened in the direction of the supervisory board and how the supervisory board then sent it to the board, when it came to this element. Thank you.
ParlaMint-NL_2019-10-02-tweedekamer-6.u174	Mr Van Otterloo, Mr Slootweg has a question. Mr. Slootweg.
ParlaMint-NL_2019-10-02-tweedekamer-6.u175	I always find it so neat to listen to such a glowing and passionate story, to know if all the points have come along. Thank you for that. Mr Van Otterloo spoke at some point about capital disruption. I understand that 50PLUS wants to distance itself from our current pension system, which has also contributed to the fact that, for example, in the Netherlands, fortunately! Do so few people know poverty after the AOW age? And do you really want to nationalise the savings of pension funds?
ParlaMint-NL_2019-10-02-tweedekamer-6.u176	That's a couple of questions in a row. No, we don't want to get rid of the capital cover system. However, we do want to get rid of an interest rate which systematically undermines the capital cover system. At the same time, we have said in the debate on pensions that we need to examine whether there are mixing systems. One calls it hybrid, the other calls it dual, I don't care. We believe that the system and a good pension should be guaranteed. In our view, this system is still a very nice system, but it does not work sufficiently with the operation of the interest rate. That is where we must look for solutions. We look at the system and have not fixed ourselves on the interest rate. This may have been the case in recent years, but we have fixed interest rates because it destroys the system with the current falling interest rates and Draghi's interventions. If we look at good pensions, we are in favour of a good pension system, even if it can better anticipate the future. There is no question of us wanting to nationalise the funds. In fact, we are approached by many people who fear that it is the underlying idea of the functioning of the current accounting rate. They fear that it will suddenly become apparent that the pension fund pots are completely full and that there will be another big grip in the pension pots. So, no, no nationalization.
ParlaMint-NL_2019-10-02-tweedekamer-6.u177	I did not raise the rate of calculation, but I would like to thank Mr Van Otterloo for this explanation. For a moment, I thought he was trying to distance himself from our beautiful system.
ParlaMint-NL_2019-10-02-tweedekamer-6.u178	No.
ParlaMint-NL_2019-10-02-tweedekamer-6.u179	Thank you, Mr. Van Otterloo. I now give the floor to Mr Stoffer on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats.
ParlaMint-NL_2019-10-02-tweedekamer-6.u180	Mr. Chairman. Each ship used to have a crow's nest. In it was a sailor on the lookout. That sailor warned of pirates, windshots and cliffs. When he saw trouble approaching, he rushed to the pilots. I find this a striking picture for these General Financial Reviews, because on the ship of state the economic sun shines and a favourable economic wind blows. And everyone's in the best mood. But when I'm standing in the crow's nest and looking around me, I do see some risks and I would like to give them to the Minister and the Secretary of State this afternoon. Then I'll start with the state debt. Public debt will be around 47.7% of GDP next year. More than ten years ago, in 2007, the government debt was just over 43%. So we are not there yet, but we are taking substantial steps in the right direction, in the direction where the government can cope with new setbacks if the need is restored. In order to be able to look to the future with confidence, we need to strengthen our foundations and create reserves right now. For the record, I actually have to say end quote, because besides that this is a full SGP sound, this is literally from the text of Minister Hoekstra, yes, he already recognized it when he offered the briefcase on Prinsjesdag 2018. But that seems to me to be a very clear statement: it seems to me that the Minister has turned 180 degrees. The well-known salmon standard is being released and probably billions are being lent for an investment fund. The Minister of Finance admits that it is a very unorthodox step, a real change of course, in the Financial Daily. My question to the Minister is what is the reason for this change of course. Last year the Minister also discussed the situation in the Scandinavian and Baltic states, where the percentage of public debt is lower than in the Netherlands. My question to the Minister is whether he is still jealous of those Scandinavian and Baltic states. Next to me in the crow's nest it is a rather large crow's nest of that ship of state.. stand the Council of State and the CPB. We see public debt falling as a percentage of gross domestic product, but in absolute terms, the government debt will remain the same next year to increase by 5 billion by 2021. I would add that this percentage continues to fall; we agree on that. However, the Council of State strongly criticises the current fiscal policy and the CPB indicates that it is wise to create a buffer to deal with a future crisis. That was the view of the Minister last year. Despite all the positive reports that have come to us recently, I would nevertheless like to call for moderation, because public debt is not yet at pre-crisis level. There are many risks that threaten our economy. Let me mention a few: the Brexit, the trade war between China and the US, but also the problem of nitrogen, for example. How nice would it be if, in a future recession, we did not have to make the same cuts as before, but that we could just take an economic dip? I am therefore very curious to hear the answer to the question put by Mr Slootweg just now, namely whether we should not set a standard for EMU debt together. In this respect, therefore, this question has been raised twice. Then there's the billion-dollar fund. Last year we had the dividend tax and this year we have the billions fund that pays a lot of attention, with the important difference with the billions fund that almost everyone agrees it needs to be done. The wish lists are even submitted. And that does surprise me, because the content is still very vague so far. As a SGP, we will continue to monitor developments critically over the coming period, as an investment fund can have benefits, but there are also many problems. If we look at the past, then there are some examples of funds that do not always turn out to be positive in their entirety and throughout their lifetime. I refer to the Fund for Economic Structure Strengthening, from which the Betuwe line was paid, but where soon after its creation the objectives were shifted and important principles were abandoned from that fund, so that not only new investments but also existing investments were placed underneath it. At European level, I refer to the Juncker Fund, in which the European Court of Auditors made critical comments. Billions of funds that were rigged under fornication, but which did not deliver what we hoped for, at least not in total, because there were also good things in it. My question is whether the Minister will take the lessons of these funds into account in the further development of the perhaps-to-be billions fund. There is no other way. Of course, one would have expected me to consider the marginal pressure and the single earner. It would not be credible if the SGP did not consider this. The cabinet puts a lot of money into relief for households. That's good news. I sincerely hope that next year people will really feel this in their wallet. But when we look at the marginal pressure, we see that it's just a tissue for bleeding. Extra work still doesn't get much extra. However, I am pleased that the cabinet has understood this and at least lightened the tax burden. But, frankly, the measures we are now taking are not really measures that are putting us on the brink. It's a little bit. Let me just mention the gap between one and two earners. It hasn't gotten any less. In fact, Mr Bruins already gave it to Mr Bruins in purchasing power, he even got a little bigger in the coming year. I was just talking about a possible change of direction from the Minister. As far as the SGP is concerned, there needs to be a real change of course here. The Council of State also points this out in its response to the Millions Note. Last week, the study of the pain points in the marginal tax burden was finally brought out. That took about a year. The conclusion is that the peaks in marginal pressure are enormous, but they are hardly eliminated by the cabinet. Also, the options mentioned in the study will hardly close the gap between one and two earners. I am in favour of a real change of direction, namely a family-friendly tax policy. Take a family, a household as a basis for tax policy and base the tax rules on it. Then box three. The Secretary of State is going to review the property tax. I am pleased that the direction of the cabinet has shifted on this point. The proposal now before us has advantages, but also disadvantages for certain groups, for example for small investors and pensioners who have put some money aside for their old age. Another group I would like to focus on is SMEs. Alternative funding methods are very important for SMEs, for example crowdfunding. The proposal makes it much less attractive for investors to invest in SMEs. I do not feel sorry for those investors directly, but I do feel sorry for the SME entrepreneur who desperately needs the money to undertake and thus contributes to the economy. Investing for the future is important for the cabinet. See also the investment fund mentioned. There is a scheme for green investments, which stimulates green investments. My question to the State Secretary is whether he is prepared to make an exception for alternative forms of funding such as crowdfunding. Two more brief topics. First undermining. Two weeks ago, a motion was passed in the Chamber by CDA and VVD asking for action in the event of undermining. My question is whether this is only an organisational issue, or whether it involves money. Finally, a comment on defence. During the last APB, our Prime Minister again indicated that he would work towards the 2% expenditure standard. My question is whether the cabinet's desire to work towards it also has the attention of the Minister of Finance. I hope that the Minister and the Secretary of State will take on board the advice we have given, so that we can continue in the right direction for our country in the coming year.
ParlaMint-NL_2019-10-02-tweedekamer-6.u181	Again a clear SGP sound. Mr Stoffer spoke, among other things, about SME crowdfunding. Does this mean that there will be a further increase in public finances?
ParlaMint-NL_2019-10-02-tweedekamer-6.u182	It's possible. In the proposal now before us, budgetary neutrality has been resolved. As far as we're concerned, it can go either way. I would first like to know whether the problem is being recognised, because this may make it more difficult for entrepreneurs. So let's see if that's recognized first. Secondly, if they do recognise that, because it may well be that I do not see it correctly, then we should look at it. But as far as I am concerned, it is primarily budgetaryly neutral, so we will also have to find solutions elsewhere. But first of all, I would like to ask the fundamental question: is this recognised and does the cabinet agree that we should change something about this?
