ParlaMint-NL_2019-05-28-eerstekamer-14.u1	I give the floor to the Secretary of State for Infrastructure and Water Management.
ParlaMint-NL_2019-05-28-eerstekamer-14.u96	I am indeed familiar with the example, because I have also made a very nice work visit to the asbestos ambassadors in the context of the preparation of this bill and its handling. This was also the launch of the Rural Asbestos tracking system. We have seen some wonderful examples of innovative technologies, but also of this system. Since 1 January 2019 the landfill tax has also been reduced, so that also reduces the incentive to just throw it down somewhere, so to speak. That is, of course, very important in the context of the acceleration and the great task we still have. So I am indeed familiar with the system. In any case, I will make sure that we take this explicitly into account in the further roll-out of the Rural Asbestos monitoring system. We need to keep a close eye on each other and see where it might leak. Then Mr. Atsma would have asked if the legal definition is sustainable. Well, the scope of that legal definition is clear. We do not allow Coating under the Products Decision asbestos, which prohibits the processing of asbestos roofs. Coating in foam during remodeling is possible, because that protects the employee. And to be even more precise in the direction of Mrs Stienen: in 2018, there were 172 reports of fire in which asbestos was released.
ParlaMint-NL_2019-05-28-eerstekamer-14.u97	Let me ask you a question. The Secretary of State states that coating is not allowed. I also referred in my first term to the comments made by Mr Ruers on what can and cannot be done in the case of asbestos. And the moment you talk about "asbestos under pans," that's okay. So the moment you have to replace pots and there's asbestos underneath, isn't it allowed? 'Cause you're saying you can't put a coating on asbestos plates. But that is perhaps a temporary solution for many companies, but it is a solution. So you can't replace any more pans or reeds when it's really necessary? For that is why I said in advance: what about if you look purely at the legal sustainability of the explanation that you now give us through the answer to the questions?
ParlaMint-NL_2019-05-28-eerstekamer-14.u98	Look, based on what the law says, you can't work asbestos roofing, so there you have the link to asbestos roofing again. We have given a clear definition of this. And it's that roofing you're not supposed to work. Therefore, that coating should not be authorised. I would also like to point out that such a coating does not mean that the problem has been solved. The roof's still not gone. So you still keep keeping the same problem of the traffic light model. Because you have to check every time that coating is still good. What certification body would then have to assess whether this coating could be a solution to prevent the release of these fibres for what period of time, whether or not? We know that it is a solution that can help to protect workers, for example with foam, in order to clean up the roofs. But now I have no reason to see it as a permanent solution not to have to clean the roof.
ParlaMint-NL_2019-05-28-eerstekamer-14.u99	But the Secretary of State doesn't think reeds and pans are loose on an asbestos roof, does he?
ParlaMint-NL_2019-05-28-eerstekamer-14.u100	The ground is not the roofing and the ban concerns the roofing. The prohibition concerns the prohibition on the treatment of roofing. An underlay is not a roofing. I think I have answered a number of questions again. I'm gonna come up with the last one. Maintainability. There is a need to keep costs manageable and to avoid price rising by trying to increase market space. It will then remain affordable for many more people. Thanks to the fund, the instruments and the approach, it will be feasible, even for those people for whom it would be difficult to afford. Now, finally, we're gonna get to enforcement. Of course, it falls or stands with all the steps that come first. As you make it easier to run it, the part you have to maintain, so what remains, remains smaller. This is an important contribution to enforcement. Furthermore, it is important that in the current situation it is up to municipalities under the Housing Act to maintain on buildings that cause a danger to the environment. This is an unexecutable task for municipalities at some point, if you are not careful. The CDA asked for a review, roof for roof. This means an assessment on a case-by-case basis and therefore a lot of uncertainty for the owner and the residents and the possibility of legal proceedings. Without the ban, enforcement will be classified differently in different places and may result in arbitrariness. For residents it is difficult to have weathered roofs dealt with. I mean, a step to the judge is just a really big step you'd rather not make. The ban prevents this ambiguity from leading to heavy burdens. From the date of entry into force, there is no longer any discussion about the degree of defence and the risk. All asbestos must then simply be removed from rooftops. I say to D66 that everything is now precisely aimed at removing the asbestos roofs before the ban enters into force. With that common approach, you'll try to get there as soon as possible. The ban itself will be maintained by municipalities and provinces from 2025, subject to the exception category which will be clearly indicated in the AMvB. Hopefully we will have cleaned up so much that little need to be maintained. Together with the VNG, IenW is also working on a plan to deal with enforcement on the basis of a motion submitted by the SP Group in the Lower House on this point. Then there was a very concrete demand for the review in 2020. The question was whether I could indicate very specifically what some of the questions would be now. The PVV and D66 asked for that. What will the evaluation address? What buttons are we looking at? The main question is, of course, whether we are on course or whether adjustments are needed. That is actually the main question, but of course you want me to be more specific about it. I understand that very well. We need to look at the pace of the clean-up. I want to see whether the differentiation is well in sight, so the possibility of demolition, renovation or sustainability, and whether there are plans for that. Do we have the idea that this is being used or should I postpone it? Half-yearly we are also going to keep track of the price developments in the market, as I said, and the capacity in the industry. And all these things together are linked to the question of whether the size and structure of the fund is sufficient to accommodate those cases where it is difficult, so as to enable them to experience that reorganisation. So we're going to see if all these different buttons in the system are working properly or if anything else is needed. It is still asked: if there is to be maintenance, what can the municipality do? They can use the instruments of the General Administrative Law Act, i.e. a warning, administrative penalty, penalty payment and administrative coercion. It's asked if a community should evict people at some point. I think it is very important to say that this is not the case. The municipality can still order to clean up. Then there is the question of how the costs will be recovered. But no people are being evicted as an ultimatum remedium to enforce this ban.
ParlaMint-NL_2019-05-28-eerstekamer-14.u101	The Secretary of State was very quick to answer the question about the elements that will be included in the evaluation. It indicated that the fund would have the character of an agreement with different parties and that the outcome of the evaluation could be that the fund did not meet the objectives or that the groups that should be helped could not have recourse to the fund. Given the nature of an agreement, I wonder: if such things come out of the evaluation, what are the resources the Secretary of State has to change the organisation and size of the fund and possibly the conditions attached to it?
ParlaMint-NL_2019-05-28-eerstekamer-14.u102	Of course, that is what we should discuss. All those parties that participate in the fund do so because they feel responsible for those people who normally cannot get it out of the market. Since we have shown our willingness to put a considerable amount of money into this fund and have thus committed our common intention to help this group, it provides all the ground to enter into the conversation about what is needed to adjust the fund so that it will work if it does not prove sufficient to help.
ParlaMint-NL_2019-05-28-eerstekamer-14.u103	May I ask how much longer you need?
ParlaMint-NL_2019-05-28-eerstekamer-14.u104	I'm almost done, Mr. Chairman. A lot of questions have been asked, but these are, I think, the last two. Mr. Ruers has asked another question of a slightly different order. He said that the borders were wide open to products containing asbestos. Products containing asbestos are prohibited within the EU. When asbestos is found in products, such as recently in children's make-up jet grit, they are removed directly from the market. I remember one Tuesday night I suddenly got a report on the possibility of asbestos fibres in children's make-up. Then, together with the inspector-general of my department and the inspector-general of NVWA, I really sat at the office all night to send a letter directly to the Chamber and to ensure that asbestos was removed from the shelves. So the boundaries are not open. We're on top of that. The NVWA monitors consumer products. This brings me to the end of my reply.
ParlaMint-NL_2019-05-28-eerstekamer-14.u105	Thank you. Then we have now reached the second term of office. I give the floor to Mr Ruers.
ParlaMint-NL_2019-05-28-eerstekamer-14.u106	Could we take a five-minute break?
ParlaMint-NL_2019-05-28-eerstekamer-14.u107	You want a little five-minute suspension? I'll take a look at the room. Agreed? Then we'll continue at 4:30. The meeting is adjourned.
ParlaMint-NL_2019-05-28-eerstekamer-14.u108	We will continue to deal with the legislative proposal 34675, removing asbestos and products containing asbestos. I give the floor to Mrs Klip.
ParlaMint-NL_2019-05-28-eerstekamer-14.u109	Madam President, thank you very much. I would like to begin by thanking the Secretary of State for her very comprehensive and structured response. You've done an incredible amount of homework lately. This also applies to us, but certainly also to you. Thank you. I would like to say a few more things, but first I would like to return to two questions raised by the VVD Group, to which you have replied a little incompletely in our view or have not yet arrived. One is about the review in 2022. This may lead to additional measures. You have indicated that we are looking at the whole set-up and that can be at any point. However, I would like to repeat my question: what additional policy measures would you consider? In principle, this is 2.5 years before the final date of the proposed legislation. Our other question was the following. This bill also allows for the availability of all kinds of products containing asbestos. You indicated in your reply that you do not intend to do anything about the possibility offered by the legislative amendment for the time being. I indicated in my first term that I believe this immediately, but that it is, of course, a temporary reality in political life. So would it be possible for other AMvBs to be discussed more broadly with the First and Second Chambers on this issue? Madam President. The Secretary of State said we're doing it in a way that anyone can experience. My group is very pleased with that, because once again, we see more temptation than punishment. We are talking about a period of at most 5.5 years. The inventory of all the roofs isn't ready yet. The Secretary of State talks about about about 70 municipalities. The extension of the certification market is not yet complete either. The point is that parties other than Ascert alone could also be certified and controlled. The differentiation of the risk class will be completed by the end of this year. The programme bureau deserves backup, so you indicate. The fund comes into operation in the second half of the year. You have made an important commitment, namely that if you could link it to logical moments, you will think of about three years delay if you submit a plan for that. I repeat that the VVD Group supports the final objective of this bill. We understand that any roof covering containing asbestos could pose a danger to public health at some point in time, now or later. Yet we would still like to hear from the Secretary of State, with all the answers she has given: how do you come up with really attractive financial arrangements so that you seduce people? We still lack in your detailed answer a little the logical coherence and the logical intervention, swallowtails or whatever you want to call it, of all those different aspects and the changes that still have to be made. Another question that I am asking, but which I am asking on behalf of some of my fellow spokesmen: if, say, this legislation would not go ahead, will the fund remain in operation in order to be able to pursue the policy of stimulation, the policy of seduction? Thank you, Mr. Chairman.
ParlaMint-NL_2019-05-28-eerstekamer-14.u110	Thank you, Mrs. Klip. I give the floor to Mrs Fiers.
ParlaMint-NL_2019-05-28-eerstekamer-14.u111	Thank you, Mr President, and thank you to the Secretary of State, who has indeed done a lot of homework, as my predecessor has done. In my view, we agree on the purpose of the legislation: the source approach of the asbestos roofs. The central question here is: does the end justify the means and is it feasible? Affordability plays an important role in this. In this context, I would like to raise five points in this second period. First of all, this is the Negligible Risk, which the Secretary of State said we know about in several areas. That seems to me to be a logical starting point. Then there is the question: in which areas will you then actively pursue policies to bring it closer and in which areas will you not? When I was alderman in Eindhoven and had to deal with external rail safety, it was said, for example, that safety standards do not apply at a station, because there are many people there, and there we will not get that risk reduced. So I'm gonna ask the Secretary of State to zoom in on that after all. I still have a big question about the effectiveness of this law when it comes to the Negligible Risk. I hear the Secretary of State say that if we do implement this law, it will come closer and if we do not implement this law, it will get further away. To be honest, I think that is very important generalities when it comes to this kind of legislation, where you still have a big cost to the inhabitants. I'll be right back on the amount. In the second term, I would like the Secretary of State to respond to our questions about these dumpings. You said a few words about it, namely that you do not currently have any signs that there are more dumping. But the question to the Secretary of State is to reflect on the question: what if the law has been introduced? That's when people come at high costs. Does it suspect that there will be more illegal dumping after all? So it is not so much about the situation now, but about the question: what does it think the effect of this law is on that? In the interrupting debate, I have already talked to the Secretary of State about the 35 metres. I'd like to explain why that's the border. Finally, mathematics has never been my best point, but I'm going to try and see if the Secretary of State can count on it. We read in the SMEA that the cost of the reorganisation, assuming it is 80 million m, amounts to 1.6 billion. I just heard the Secretary of State say in the debate: we have to take into account that about 20% is asbestos-related. The rest is due to the fact that a roof has to be replaced. So we've got asbestos remodeling, but you're not with it. Then I'll do that times five and come to 8 billion total costs. I just heard the Secretary of State say: we assume that, let's say for convenience, 10% of the people can't afford it. Then I come for the people who can't afford it at a cost of 800 million. My question to the Secretary of State is: haven't my math lessons paid out now? So we have a cost of 800 million and there will be a grant of 5 million. Can the Secretary of State reflect on that again? To what extent does that amount of 5 million really help the people who can't afford it? That's it for the second term.
ParlaMint-NL_2019-05-28-eerstekamer-14.u112	Thank you, Mrs Fiers. I give the floor to Mrs Stienen.
ParlaMint-NL_2019-05-28-eerstekamer-14.u113	Mr. Chairman. We're standing here a week before we say goodbye to this Chamber. I think it is particularly important to have this debate with a few colleagues who have last participated in the debate. I like to call two of them by name. First of all, Roel Kuiper. 65 times? What a number, Mr. Chairman. I don't know if I'm ever gonna make it here: 65 times in the debate. What we have achieved together is a great many moments of wisdom between all the debates. I would also like to thank Mr Kuiper on behalf of my group. Thanks also to Bob Ruers for the special input into this debate. I can remember that during the expert debate one of the speakers, who even expressed his opinion on facts, made a rather sneaky remark about politics and science. Sometimes certain scientists need to do a little better homework on the academic background of the MPs before they come to the expert meeting. Mr Ruers has shown this very nicely today. For the D66 Group, it is very important that there should be a hard date for banning asbestos roofs. I think there are sufficient reasons to believe that there will be dangerous situations if we do not. Prevention is better than cure, it seems to us. I was shocked by the number of 180 incidents a year. Are those fires, are those explosions? What are those incidents? I think we need to have more insight into this, because it may increase the acceptance of people who have questions about the usefulness and necessity of this bill. I can remember from the aftermath of the fire in Roermond and the evaluations of the fire in Roermond that there has been social unrest for weeks or months. The question of whether you've been infected because of an incident in your neighborhood, we need to be able to answer. But we must also be able to answer the material and intangible costs for society if these incidents could have been prevented by an asbestos roof ban, which would have reduced the risk. We therefore call on the Secretary of State to consider these incidents in the evaluation if this law is passed. We are therefore not concerned with the weathering of the roofs, but with the costs of the incidents. Finally, we believe that the Secretary of State has responded carefully to our Chamber in the various written rounds and also in this plenary debate on the feasibility and enforcement of the proposal. We are pleased to hear that she also has a real eye for the concerns of individuals and entrepreneurs who may be in financial difficulties because of this ban. We appreciate her commitment to set up a special fund if a hardship clause can be invoked. I think that as a Chamber we still need some clarity about the differentiation between the fund set up with the provinces and the other possibilities that exist. The Secretary of State mentioned the number of 5 million. I'd like to hear exactly where that is. Finally, I intend to advise my group to vote in favour of this law.
ParlaMint-NL_2019-05-28-eerstekamer-14.u114	Thank you, Mrs Stienen. I don't see Mrs Baay. I shall now give the floor to Mr Van Dijk.
ParlaMint-NL_2019-05-28-eerstekamer-14.u115	Thank you, Mr. Chairman. I would also like to thank the Secretary of State for her generous reply. I want to keep my second term short. I can agree with a number of critical questions raised in the second term by my colleagues Fiers and Klip. I am thinking here of the evaluation: what can you do after 2022 if we are not on course? I am also thinking of the critical questions about dumping. For the rest, then, I come to my group's conclusion on the legislative proposal, which concerns the main line that I have tried to outline in my first term. Public health is extremely important. With public health interests, you can't skip, you have to take them extremely seriously. At the same time, however, you can also make a serious benefit and cost balance in public health. There is the big problem, because the benefits, the so-called health benefits, are not there, or they are so small that they are not measurable. This is partly due to the fact that asbestos in the outdoors is not really a real risk at the moment. So there are no serious steps to be taken at all. At least that is not what is happening with this bill, is our assessment. There are very high costs on that. As far as we are concerned, proportionality and feasibility have been lost. That is why the SGP is very sceptical about this bill. Thank you.
ParlaMint-NL_2019-05-28-eerstekamer-14.u116	Thank you, Mr. Van Dijk. I give the floor to Mr Binnema.
ParlaMint-NL_2019-05-28-eerstekamer-14.u117	Thank you, Mr. Chairman. Thanks also to the Green Left Group for the comprehensive reply of the Secretary of State. As I said in my speech, one of the complexities of this discussion is that the experts disagree. I had to think about the evenings when I am watching Nieuwsuur or Pauw and as a simple politician I find everything that is said by self-appointed experts about political parties, election results and so on. We also see in this debate that the boundary between expertise and the representation of interests, or the question of who should or should not call themselves an expert, is not always clear. In this respect, I am following the Secretary of State in the way in which she puts the advice of the Health Council in particular. The debate has shown that the ban on asbestos roofs is as close as possible to what we can do to prevent risks. If you want to do it right, then a ban, I think, is the only way to deal with it, as I indicated in the first term. I absolutely believe that encouraging, facilitating, directing and so on could be desirable in many ways and in all kinds of policy areas. However, on a number of points, choices are so fundamental that a ban is probably not only the most effective, but also gives the most clarity to those concerned about the time limit at which it is being discussed and about the scope of the mandate that awaits them. I'm left with a few questions. The picture of the number of municipalities that have a view of the asbestos roofs appears to be a bit more positive, although the website of the acceleration approach still covers 96 municipalities whose data are not available and 77 of which the data may be available but have not yet been made available via the map. In the context of visibility and familiarity for residents of the municipalities concerned, we should also encourage them to do so. The second aspect is the affordability, feasibility and organisation of the fund. I would like to know for myself what the overall scope of the fund is, also in relation to the amounts mentioned by Mrs Fiers and which seemed to me a little on the very high side. What is the state's contribution and how does the 5 million mentioned relate to the state's contribution to the fund for the distressing cases? Will that amount of 5 million be made available on an occasional basis or will it be made available each year? Is it intended that the fund should follow the duration of the ban, so that it should end on 31 December 2024? Or could the delay offered by the Secretary of State in conjunction with demolition and sustainability, thinking of a three-year period, lead to a possible extension of the fund's duration by three years? Other questions were about certification. I'm left with a slightly variable picture about that. On the one hand, it seems to us that it is dangerous work that requires specialists, but up to 35 m you can still do it yourself as a private individual. Perhaps the Secretary of State will come back to this in the context of TNO's trade-off once, but it is a bit unusual. Especially as space is being sought in the market and changes in the certification system are being looked at, with other providers who could do it, there is a bit of a changing signal of how dangerous it is actually to come into contact with this asbestos as a private individual. In short, the most important thing I and my group want to think about over the next few weeks is this. If we really want to do something about asbestos, in line with the ban and the fight against asbestos roads, we need to tackle these roofs now. In the meantime, we want to respond to all kinds of different interests and ideas, with the fund, with exceptions that are possible for the combination of demolition and sustainability, with a different arrangement of certification and with the question of who could do it. That total picture of the law, the question of how all these measures relate to each other and bring the intended goal closer, I think is still a puzzle. Perhaps the Secretary of State can say something about it in the second term, because it is a dilemma that I would like to think about and talk to my group about in the next week. The individual measures have their own inherent logic, they have their own basis and they are based on specific questions that have also reached us. However, the question I would like to raise is whether the whole of it leads to the most efficient and feasible approach to asbestos removal. So far in second term.
ParlaMint-NL_2019-05-28-eerstekamer-14.u118	Thank you, Mr. Binnema. I give the floor to Mr Kuiper.
ParlaMint-NL_2019-05-28-eerstekamer-14.u119	Thank you, Mr President. I would like to thank those Members who are beginning to speak kindly. I'd like to give it back. I have always experienced the debate in the First Chamber as something very special. We are still trying to look over the parties together to see which arguments are really good and sustainable. This requires a kind of collegiality that we practice here with each other, and which I found just as expressed in the words of Mr Stienen. I think that makes the First Chamber special, and also a very commendable part of our parliamentary system, no matter how it develops in the future. Mr. Chairman. On behalf of my group, I would like to thank the Secretary of State for the detailed answer, care and depth in detail. My group is convinced that we should go this way. It is, of course, also a road that has been going on for a long time. A line has been set from the initial responses to that report from the Health Council. I think it's important, also administratively important, that you maintain that consistently. The various Cabinets have built and worked on this, and now you have to continue this line as well. I am also saying this in the direction of groups that may still be thinking: how should we proceed? There are health risks, no matter how you feel about them. I think we've heard enough about that now. We know that those resistant asbestos roofs are a source and we need to tackle them. We know that those roofs are 30 to 50 years old and that their owners will have to do something with them at some point. But now, indeed, the "how." The Secretary of State also said: there are a number of modalities. I would actually like to join with the questions of the VVD colleague. We've heard a number of things. There is still a lot of flexibility in that "how." There is the possibility of self-efficacy. People can do something themselves. That's probably what they want, too. 'Cause how's that going? When you have a contractor on the floor who says it costs this and that, you sometimes ask: what can I do? If you do it yourself, it'll cut costs. So the more people can do it themselves, the better. The Secretary of State also talked about the role of roofers and about that certification. Especially in a market where the price is pushed up, it is very important to have that valve at least. The Secretary of State also talked about easing implementation and giving more time when there is a good plan. She also told us that her colleague from SZW is also working on this. How are we going to materialize all this in this debate? That's the question. Could that still be written, so that it is quite clear: that and that are the steps now, and that is not just a plan but we are really going to do so? That is also the offer on this day to the owners, who of course watch and think: where is it going? They want security. That is my specific question. What good are all these suggestions that sister can do or something? I would like to make a firmer commitment on this. I come to that assessment of the risk when individuals remove themselves, and that TNO advice. I actually have the same question as a few colleagues. Not alone, as Mrs Fiers says: how could I explain it? But also: why couldn't it be 100 m, or 200 m? That's how you help people. It has to be justified, of course. There's one more question I haven't answered.
ParlaMint-NL_2019-05-28-eerstekamer-14.u120	Are you thinking about your time, Mr. Kuiper?
ParlaMint-NL_2019-05-28-eerstekamer-14.u121	I see here I have 50 seconds left, Mr. Chairman.
ParlaMint-NL_2019-05-28-eerstekamer-14.u122	No, you're in the red for 50 seconds. You've run out of time.
ParlaMint-NL_2019-05-28-eerstekamer-14.u123	Oh, the numbers have been red all along. Anyway, I'll finish soon. I asked the Secretary of State to speak with the provinces about a level playing field. I'd like to get a reaction to that. Mr President, I shall leave it at that. I don't want to get any deeper in red.
ParlaMint-NL_2019-05-28-eerstekamer-14.u124	Thank you, Mr. Kuiper. I give the floor to Mr Ruers.
ParlaMint-NL_2019-05-28-eerstekamer-14.u125	Thank you, Mr President. Time is hard for MPs here. First of all, I would like to thank the Secretary of State for the detailed and intrusive presentation. She has gone into a lot of detail; I think that is very good. I know you have a lot of support from your staff, but I also think it is very good that you brought it all to us in a few hours. I admit that a number of things have been moved forward and come later because there was no other way. Yeah, I get that. I heard speakers say before me: I am not convinced that this is the solution for the asbestos roofs in our country. I understand that, and there may be doubts. But on the other hand, we also know that if we don't do this, we do know what we're getting. Then we get a lot of problems, human problems, social problems, huge costs, uncertainty. We're sure of it. I therefore think that this is just the best thing; if there are no better methods, we should do it with this. I think we should establish for the time being that this is the best solution, with all its limitations. In that case, there must be good maintenance and so on, and all the conditions must be met. That's gonna be quite a job, I'm sure. I made a slight mistake at the beginning. I said that this renovation of the asbestos roofs is actually the first collective scheme we are going to apply in this country. This is not entirely true, because the problem of asbestos has led to a clean-up scheme in the House of Representatives in 1999, but for soil. It was about the bottom in Twente, in a radius of about 40 kilometers around the Eternit factory. What was going on in there? Eternit had waste from the production process for various reasons, but also for cost reasons. That was to be dumped in the landfill and paid for. But one could also give away the garbage. Eternit did. That played out in the time that there were still a lot of sand roads in those villages around Goor. Farmers could harden roads with that garbage, harden the yard. They lined up at Eternit's factory on Saturday with their flat cars to brag about that free asbestos waste, then brought it to their country to harden the roads with it. Many also kept an extra supply at the edge of the barn. In those years, until the end of the 1970s, hundreds of roads and heirs were covered with asbestos waste. We'll see the consequences now. I just spoke to someone I know from that area. He is 72 years old and now has meosthelioma, because he used to play as a child on the yard where Eternit's garbage lay. For example, there are a lot of children who have played in those garbage heaps, and who die 30, 40, 50 years later. Terrible! So this reorganisation scheme has come to fruition. But there was something special about that. There's been three rounds. Each time that went with a number of millions. Somewhere in the documents mention a figure of 150 million, but I have already calculated that society has spent more than EUR 200 million to clean up these asbestos roads. And there are still reports from that area that new sources have been found. That garbage ended up everywhere: in gardens, in houses, everywhere. It cost 200 million euros, according to my calculations. And who paid for it? The polluter? No. The polluter, Eternit, has paid zero. We all paid for that together. I think that is a very sad observation. The principle of environmental law is always that the polluter pays. I have often asked the government why this polluter does not pay, but I did not get an adequate answer to that question. But it has been a happy reform and a great deal of good work has been done on it. Now we have this arrangement. I think it's acceptable and necessary. My third question is, of course, when does the government intend to find a solution to all that asbestos that is still in society, everywhere and in all possible places? People can get in touch with that. Is there any intention on the part of the government to take a next step when this is done? How do we get the asbestos out of all those houses, buildings, factories, etc.? I'm curious about that. I come to another aspect, Madam President. I see I've got five minutes left.
ParlaMint-NL_2019-05-28-eerstekamer-14.u126	You've got five and a half minutes.
ParlaMint-NL_2019-05-28-eerstekamer-14.u127	Here we go, 5.5 minutes. The Secretary of State made a number of interesting comments on the fund. For example, she says that there is an additional fund of 5 million available for special groups. I understand that this 5 million is specifically intended for the owners-inhabitants of houses with asbestos slate roofs. If that were the case, I'd be happy to. But it's probably 5,000 houses. 5 million will probably be too small to meet all these people, because it's not just about the costs and it's very little. If this 5 million is specifically earmarked for this group, the next question is to the Secretary of State what it will do if it turns out in practice that the 5 million is too little. Is the government then prepared to look with an open mind at the deficit, and to fill that deficit, so that we should not say halfway to the rest of the owners: you do not get it? In that case, I have a motion for a resolution which I would like to table. The President shall: Mr Ruers, Mr Köhler, Mr Stienen, Mr Koffeman and Mr Binnema proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas certain improvements, such as in particular the renovations for the owners-inhabitants with asbestos slate roofs, are unbearably high for these owners;]] [[Whereas other interested groups have been entitled to state subsidies for the cleaning of asbestos roofs, whereas owners of asbestos slate roofs are not entitled to comparable, adequate subsidies;]] [[calls on the Government to provide the owner-inhabitants with asbestos slate roofs with an appropriate State rehabilitation subsidy,]] [[and goes to the order of the day.]] [[She's getting No. kst-34675-I]]
ParlaMint-NL_2019-05-28-eerstekamer-14.u128	The motion is therefore intended in the event that there is no such solution, or that the Secretary of State looks at it differently than I have just indicated. That is what this motion is for. That's what I'm saying. I hope that the motion does not have to be tabled because there have been sufficient guarantees and commitments. Finally, I would like to comment on a point on which I do not agree with the Secretary of State. I said that the front door is wide open to importing products containing asbestos, even today. I have seen this a number of times in practice. The Secretary of State has said that it has intervened following the reporting of, among other things, the Asbestos Victims Committee on asbestos in children's make-up, jet grit and so on. But I also gave her the example that in 2019, within the company of Tata Steel, the import of gaskets containing asbestos has been considered and that Tata Steel has decided to purchase them indeed, now, this year. This means that asbestos is simply imported and such companies also use it. Then the Secretary of State says it's not true, but it's true. It's just used and it's not justified. What are we going to do about it? I would like to hear an answer from the Secretary of State.
ParlaMint-NL_2019-05-28-eerstekamer-14.u129	I would like to ask Mr Ruers the following. Now that there are such offences as are found here, I wonder whether they have been reported. It is difficult to ask the Secretary of State for action on the basis of the information provided by Mr Ruers. At the time of the report, it seems to me to be an issue that is becoming much more tangible.
ParlaMint-NL_2019-05-28-eerstekamer-14.u130	I'm gonna report it to you on one side. I'm asking for something from the government. The declaration against Tata Steel, which is indeed ready, is part of that. Finally, I can say that we welcome the legislative proposal, with all the limitations it has. I welcome the many commitments made by the Secretary of State.
ParlaMint-NL_2019-05-28-eerstekamer-14.u131	Thank you, Mr. Ruers. I give the floor to Mr Koffeman.
ParlaMint-NL_2019-05-28-eerstekamer-14.u132	Mr. Chairman. I would like to thank the Secretary of State very much for answering our questions. I would also like to thank Mr Ruers and Mr Kuiper for the pleasant way in which we have debated in recent years. It is a pity that it has ended after today, but thank you very much. We welcome the Minister's commitment to a generous interest-free loan, with an equally generous hardness clause. Is the Secretary of State prepared to clarify that hardness clause, possibly in a letter? Does the Secretary of State recognise the problem that many people have difficulty in taking loans, even if they are interest-free and even if they have extremely pleasant conditions? Has research been carried out on the behavioural impact of subsidies versus loans on the pleasant conditions which the Secretary of State has in mind? And does the Secretary of State also see any agreements with the scholarship and the loan system, which is also being discussed in this house today? The experience of converting a stock exchange into a loan is not very positive. I'd like the Secretary of State to reflect on that. I have missed the answer to my question about the provinces and regions that have not yet made a risk inventory in relation to access to the fund. The contributions that have been made today on proportionality and the questions that have been asked about it weigh costs against risk. That's very difficult in matters of life and death. In this context, my group would like to call on the Group of the European People's Party (Christian Democrats) and European Democrats in the European Parliament to give a slightly broader pro-life concept in this context. Does the Secretary of State recognise that a postponement of the ban on asbestos could make the government liable to endanger itself and that this would lead to a debt of honour which could justify a more generous policy of compensation and compensation? Can the Secretary of State also state that Mr Ruers referred briefly to the fact that Eternit was not simply addressed to the risks caused and maintained by the will and knowledge and that Eternit's staff worked without protection, that people died there? Has such a charge of death by guilt been made in any way by the government to Eternit, or has it never happened? If that didn't happen, why didn't it? Following on from Mr Stienen, I am curious about the nature and seriousness of the 180 annual incidents mentioned. Can the Secretary of State undertake to discuss with her colleague at LNV better legislation on fire prevention in stables? Not in order to incur costs prior to clean-up, I can very well imagine that if you are going to clean up next year, you will not be able to take fire prevention measures now, but at least to make a link with such a clean-up. If the renovation of roofs in official arrangements can be linked to the installation of solar panels, this should certainly be the case when linking them to fire prevention in stables. This doesn't happen all the time. Maybe the Secretary of State can reflect on that, too. I wish the Secretary of State every success in the clean-up plan for the elimination of asbestos in the Netherlands and the calculation of its costs in the most equitable way possible.
ParlaMint-NL_2019-05-28-eerstekamer-14.u133	Thank you very much, Mr Koffeman. I give the floor to Mr Atsma.
