ParlaMint-NL_2019-03-27-tweedekamer-6.u1	I shall be the first to give the floor to the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2019-03-27-tweedekamer-6.u119	I also have a great deal of faith in the municipal authorities. On the contrary, I think that this market test ensures that these municipal authorities can make a fair assessment, because it makes sure that they make a fair assessment. I also hear Mr Smeulders say that it is slowing down. I think there are many things that cause delays, and we do not want to abolish them all. When it comes to Flora and fauna law, you will always find me at your side to make sure that that sort of thing is guaranteed, even though they may be somewhat delayed. So it seems to me to be a bit of a strange reason to say: let us abolish the test, because it results in delays.
ParlaMint-NL_2019-03-27-tweedekamer-6.u120	I think this is a wonderful comparison. Mrs Van Eijs always finds me by her side when we can protect nature together. As far as I am concerned, this should also be a little delayed, because we do not have enough nature in the Netherlands and we have to be very careful about that. Mrs Van Eijs does not agree with me when she says that we should protect project developers at the expense of housing corporations that do not have the interest in making as much profit as possible, but in building affordable homes for everyone.
ParlaMint-NL_2019-03-27-tweedekamer-6.u121	That's what brought you to the end of your speech?
ParlaMint-NL_2019-03-27-tweedekamer-6.u122	I have come to the end of my speech, but I would like to put a substantive question to the Minister. We have tabled two amendments on the market test. One amendment is very similar to the motion that has been tabled, but it proposes to regulate it not in the law but in the AMvB. I am curious to hear from the Minister, also with the legal knowledge of her officials, what is the advantage and disadvantage of one thing and another. We understand that it does not matter very much whether you regulate it in the law or by AMvB, but before we vote on the various proposals, I would like to make that clear.
ParlaMint-NL_2019-03-27-tweedekamer-6.u123	Thank you, Mr. Smeulders. I shall now give the floor to Mrs Dik-Faber of the Christian Union Group.
ParlaMint-NL_2019-03-27-tweedekamer-6.u124	Thank you, Mr. Chairman. First of all, I would like to thank the Minister for answering all the questions that have been asked. I have another supplementary question. I referred to the consultation round, which called for more opportunities for municipalities to make arrangements in the framework of mid-term rentals for a period of more than ten years. The minister referred to a factsheet. We've looked up this factsheet, but it's about the ten-year period. This is mentioned as an example. That's the information I received. It would be good to take a closer look at this factsheet and see if other examples of 15 or 20 years of age should be mentioned, because then we have solved the problem together. Mr. Chairman. My name is under Mr Ronnes' motion, which has already been tabled. I have another motion myself on the rental teams, because I think they can be important to strengthen the position of tenants. Not all municipalities have rental teams and not all tenants know, if a municipality does have a rental team, that they can turn to the rental team. That's why this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2018, 58% of the rulings made by the Rent Committee on rental contracts in the free sector concluded that the housing should have been covered by the rules of the social rental sector and that, as a result, the rent fell by an average of €270;]] [[Whereas tenants who pay too high a rent are not always aware of the possibility to go to the Rent Commission and there may be a fear among tenants that a corridor to the Rent Commission will not benefit the relationship with their landlord;]] [[noting that there are several municipalities which have a rental team, or other forms of advice, which draw tenants' attention to the existence of the Rent Commission and which can be assisted in the use of it in an easily accessible manner;]] [[considers that a rental team in municipalities can be an important means of strengthening the position of tenants;]] [[calls on the Government to encourage municipalities to set up a Rent Team in a regional or non-regional context;]] [[calls on the Government to examine how to improve awareness of the possibility of moving to the Rent Commission, whether or not through a local Rental Team, and, if necessary, to come forward with proposals to this end,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-21]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u125	Thank you, Mr. Chairman. I hope to be able to stay until the end of this debate, but at about three o'clock my general consultation on the lease begins. If we are not ready, then I will leave the sitting a little earlier.
ParlaMint-NL_2019-03-27-tweedekamer-6.u126	Let's all see that as an encouragement. I shall then give the floor to Mrs Beckerman of the SP Group.
ParlaMint-NL_2019-03-27-tweedekamer-6.u127	Mr. Chairman. I'd like to start with an apology, too. I'm on the Committee for Economic Affairs and Climate. Our chairman, Isabelle Diks, has been ill for some time. That's why I offered to chair that meeting. This means that I must leave this sitting early, but we will of course continue to listen. Mr. Chairman. Then my second term. I hope that everyone realises that we are in a housing crisis, that the problems are complex and that political decisions are the basis for them. More market, more market, more market. Built too little. Too little protection for tenants. We talk a lot about solutions, but it takes an incredibly long time. Middle hire was said by the Cabinet: that is it, that is the Holy Grail. And now after two years I've been a Member of Parliament for two years now we have two minimal legislative changes to do something for it. And the lack of clarity remains. People are actually in way too expensive homes right now. A number of people here are naming the problem, but the Minister does not want to do very much for the time being. In the first term, I quoted the example of Jamal. He says the following: my neighbours live in the social rent, I live in the free sector and pay hundreds of euros more while I earn as much as my neighbours; how can this be seen as just? Ah, here comes an answer.
ParlaMint-NL_2019-03-27-tweedekamer-6.u128	But without doing the whole discussion again, I'm really suggesting.
ParlaMint-NL_2019-03-27-tweedekamer-6.u129	That's right. Except Mrs. Beckerman's a bit of a lure after all. The person she calls who is looking for a home, can also not live in rules we make here, who has to live in a home. The legislation we are adopting today is precisely that more houses will be built. Why does Mrs Beckerman always come back to laying down rules and intervention? Why doesn't she prioritize building more houses?
ParlaMint-NL_2019-03-27-tweedekamer-6.u130	Oh, oh, oh, chairman. The example I quoted was about Jamal. Jamal has listened to the cabinets that people who live in social housing and earn too much call crooked residents. He deliberately chose not to live crookedly. He chose a home for €700, he has seen his rent sky high, €1,000, and can no longer pay it. He sees that the neighbours with the same income pay hundreds of euros less in rent. When I ask you what you are going to do about it, you say: I am not going to talk about rules here. It is a political choice that Jamal has lost a very large part of his income to an unaffordable home. The question now is: do you just want to say that this is bad or do you want to do something about it? We want to do something about it. I have put forward proposals for this.
ParlaMint-NL_2019-03-27-tweedekamer-6.u131	I suggest you move on.
ParlaMint-NL_2019-03-27-tweedekamer-6.u132	Thank you, Mr. Chairman. Given the time, I'd like to file my motion. I have tabled two amendments. I very much hope that the Minister will go into that, because it is really necessary that we build but that we also ensure that these houses are then affordable for the people who want to live in them. After all, it is in our Constitution. My motion is about the fact that if you want to sell or liberalise a social housing unit now, tenant organisations and municipalities should be asked whether that is allowed, but this does not apply to middle-rent housing. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the proposed sale of regulated rental houses requires the views of tenant organisations and municipalities to be presented;]] [[Whereas, in view of the current housing shortage, it is undesirable to sell corporate housing without at least having been able to express their opinion by the tenants' organisation and the municipality concerned;]] [[calls on the Government to allow the proposed sale of rental homes with a rent above the rental surcharge limit (liberalisation limit) of €720,42 and of potentially liberalised housing (rentals with a rent below €720,42 but with more than 145 rental points under the housing valuation system) to present views of tenant organisations and municipalities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-22]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u133	Mr. Chairman. This is a technical motion but it can ensure that homes that we want to retain as rental homes, as well, remain so. Thank you.
ParlaMint-NL_2019-03-27-tweedekamer-6.u134	Thank you, Mrs Beckerman. Finally, I would like to give the floor to Mrs Van Eijs from the D66 Group.
ParlaMint-NL_2019-03-27-tweedekamer-6.u135	Mr. Chairman. This debate and also the measures we are discussing are more a step towards the much needed more middle rent. D66 is looking for balance, precisely because we both need housing corporations and private parties to build more affordable middle rentals faster. But I don't want to protect one party or the other. I just got put on something about that, but I want a balance and a fair playing field. That's why this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Mid-Term Rental Act includes a 0% project-based return requirement for housing corporations;]] [[noting that figures from the CBS show that 71% of rental houses have been built by market participants in the last two years;]] [[Whereas it is important that both housing corporations and market players can contribute to increasing supply in the middle segment;]] [[calls on the Government to ensure that housing corporations and market players operate on a level playing field in order to achieve mid-term rental,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-23]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u136	I am a little surprised at this motion, because if I understand the motion correctly, you say that there is no level playing field between housing corporations and market players. Is that right?
ParlaMint-NL_2019-03-27-tweedekamer-6.u137	I say, "to bail." I don't think the playing field is fair right now. We've noticed that housing corporations aren't getting enough work done. That is why there is now a simplification of the market test. We have also proposed a number of other measures, which I will not list all of them. We believe that all this will create a fairer playing field, but I also hear a lot of other measures being suggested here. I think it is very important to keep it in balance, to ensure that both market players and housing corporations have a fair chance on that playing field.
ParlaMint-NL_2019-03-27-tweedekamer-6.u138	Finally, Mr. Smeulders.
ParlaMint-NL_2019-03-27-tweedekamer-6.u139	Can I understand, then, Mrs Van Eijs, that this motion is a response to Mr Ronnes's motion, Mrs Dik and myself? If that motion is adopted, should this motion also be adopted so that the balance remains the same? What do you expect from the Minister when your motion is passed?
ParlaMint-NL_2019-03-27-tweedekamer-6.u140	We're expecting what we've been asking for before. I heard Mr Smeulders say several times in his speech that we should above all not protect the market players, but that the housing corporations should build above all. Well, I disagree. I believe that both sides should build and that both sides should therefore be given a fair chance. That's what happens when they get a chance on a fair playing field. If the Minister can ensure that the test is organised in such a way that it is as efficient as possible and ensures a fair playing field, then I am satisfied.
ParlaMint-NL_2019-03-27-tweedekamer-6.u141	Please continue.
ParlaMint-NL_2019-03-27-tweedekamer-6.u142	I really don't understand why people look so hard right now, but okay. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that regulations on restructuring and mixed buildings prove complex for interested parties;]] [[Whereas mixed neighbourhoods and buildings are important for the quality of life of towns and villages;]] [[Whereas the Authority plays a crucial role as a regulator in the efforts of housing corporations and municipalities in mixed complexes and restructurings;]] [[calls on the Government to address any obstacles to enforcement practice by the Authority housing corporations for the creation of mixed neighbourhoods and buildings and to inform the Court of Justice of this before the summer,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35036-24]]
ParlaMint-NL_2019-03-27-tweedekamer-6.u143	I see that all the spokesmen are moving slowly to their seats and I am giving the floor to the Minister for the answer and appreciation of the amendments and the motions.
ParlaMint-NL_2019-03-27-tweedekamer-6.u144	Mr President, certainly! Thank you for your patience too, because this debate is coming to an end, but it is an important subject. Meanwhile, a number of spokesmen, of course, have been forced to move elsewhere. So I will try to do it quickly, but there are a lot of motions and amendments and one more question, which I will deal with first. First of all, Mrs Dik-Faber's question to look again at the factsheet of the VNG, in order to clarify further the possibilities of recording middle rents for more than ten years, fifteen years, twenty years. I'd be happy to tell her. I'll do that with the VNG. In my opinion, it was a clear factsheet. She's telling me it's even better, so that's what I'm gonna do. Then there is the question by Mr Nijboer, who, of course, has also laid down some things about it, in general terms, about the increase in rents in the free sector. He sketches an image that can actually do so indefinitely in all cases. That's not true. He also nuanced that himself, because we have happily rented contracts in the Netherlands. In the vast majority and also in all the model agreements that are before it, there is a standard clause that looks at that indexation: inflation plus a certain percentage. There are also contracts in which there is no possibility of a rent increase. Then it is not possible; then a new contract must be agreed. The tenant can indeed have the reasonableness checked by going to court. The starting point is therefore that the tenant is protected. So I am also concerned about what Mr Nijboer is concerned about. I'd like to deal with that, too. I will come to the appreciation of his proposal later. Mr. Chairman. I'll start with the motions. The first motion is the motion in part No. 16 by Mr Koerhuis. He also suggested that I had not gone into this point in my first term. I did, but it went pretty fast, so I don't blame him for missing that for a second. Just a brief word on this motion. If it is a cover between 40% and 50%, then a test should already be performed. So I don't think it's necessary to tighten that standard even further. Also with 50% coverage there is twice as much collateral against the secured debt. I would like to talk to WSW about this, but I do not think that the tightening up proposed by Mr Koerhuis is necessary. That's why I'm dissuading his motion. The second motion is the motion in part No. 17 by Mr Ronnes. It calls for companies to be encouraged to use available funds explicitly for middle-rent housing in the free sector. I have just said that I also make agreements with municipalities in scarcity areas in the housing deals. Then it is appropriate that the housing corporations also become more active in the middle hire. With this explanation, in which the local choice does play a role, I can get out of my way with the motion and I could leave the judgment to the Chamber.
ParlaMint-NL_2019-03-27-tweedekamer-6.u145	That therefore concerns the motion in part No. 17 by Mr Ronnes and Mr Koerhuis.
ParlaMint-NL_2019-03-27-tweedekamer-6.u146	Yeah, excuse me. The motion in part No. 18 Mr Ronnes asks the government to investigate whether corporations invest more in rental homes with a rent between €700 and €1,000 if we differentiate the SGEI limits. The first step is to look at the differentiation of SGEI limits within the household composition. I made an announcement about this in the letter of 22 February, which we will discuss in April. In that letter, I also announced an exploration of the regionalisation of the SGEI borders. I can therefore imagine that Mr Ronnes would like to continue the motion pending what has already been announced.
ParlaMint-NL_2019-03-27-tweedekamer-6.u147	I'm willing to do that, so I'll hold the motion.
ParlaMint-NL_2019-03-27-tweedekamer-6.u148	At the request of Mr Ronnes, I propose his motion (35036, No. 18). That is what is decided.
ParlaMint-NL_2019-03-27-tweedekamer-6.u149	Thank you very much. The motion in part No. 19 by Mr Ronnes and Mrs Dik-Faber on the market test. As it says here, it is different from the legislative amendment I propose. We have just discussed this in detail. I have argued that I think it is wise to opt for this simplification first. I think you should always think. So I would be willing to say that, while we are taking this step, we need to evaluate it properly or explore the possibilities here to work without a test in the future. But that is something other than skipping this step, which I now read in the motion. So the motion in this form I must advise against. I would just like to inform the authors that there may also be other ways of making an agreement on this. The motion in part No. 21 by Mrs Dik-Faber sees on the Rent Committee...
ParlaMint-NL_2019-03-27-tweedekamer-6.u150	Let me repeat for a moment that the motion in part No. Mr Ronnes, Mrs Dik-Faber and Mr Smeulders were dissuaded.
ParlaMint-NL_2019-03-27-tweedekamer-6.u151	Yes. The motion in part No. 21 by Mrs Dik-Faber is, I think, well in line with what I have just outlined about the role of the rental teams. I would actually like to take over the motion, but Mrs Dik-Faber is not here. I don't know if that's possible, but that would be my suggestion.
ParlaMint-NL_2019-03-27-tweedekamer-6.u152	I suggest that we have the motion put to the vote. I understand that judgment will then be left to the Chamber.
ParlaMint-NL_2019-03-27-tweedekamer-6.u153	Then I'll leave the verdict to the Chamber. The motion in part No. Mrs Beckerman has 22 views on the free sector and the sale of free sector housing. I'm going to summarize it very briefly now. Mrs. Beckerman wouldn't blame me if she were here. Nor will she be surprised that I am deceiving the motion, because this is actually an extension of the regulated segment. I don't think this is contributing to the goal we have. I would also like to point out that performance agreements are also being reached among themselves and that I do not think that the motion is therefore necessary either. But I'm gonna tell her off. The Van Eijs motion in part No. 23 looks forward to ensuring that housing corporations and market players have a level playing field to realize middle rental. In short, that is what the proposal I have put forward is really about. For that reason, I'd like to pass judgment on to the Chamber. The motion in part No. 24 is also a motion by Mrs Van Eijs. I would like to inform her that the authority is, of course, independent. So I am very vigilant about entering into the enforcement practice of the Aw. I think the goal, namely the viability of the mixed neighbourhoods, is very important. This is also mentioned in the review of the Housing Act, and I made a number of announcements on this in the letter of 22 February. I would therefore suggest to Mrs Van Eijs that we hold her motion until we have been able to discuss it in greater detail.
ParlaMint-NL_2019-03-27-tweedekamer-6.u154	Mrs Van Eijs confirms that.
ParlaMint-NL_2019-03-27-tweedekamer-6.u155	I also see an interruption by Mr Smeulders.
ParlaMint-NL_2019-03-27-tweedekamer-6.u156	I have another question about the Van Eijs motion on item No. 23. The Minister points out that what this proposal is about is actually in line with what we are already doing. The motion would seem superfluous to me, but the Minister is giving the "judge chamber" motion. I would like to know from the Minister how she is going to carry out the motion, because I am very much wondering about such a general motion.
ParlaMint-NL_2019-03-27-tweedekamer-6.u157	I just said that the motion is in line with the aim of the bill, which is to ensure that housing companies and market players can operate on a level playing field so that they can help achieve both middle-rent. I do a number of things for that. I read the motion in such a way that the Chamber underlines once again that this is the purpose of what we are doing with this bill and that the Chamber is asking me to report on it at regular intervals.
ParlaMint-NL_2019-03-27-tweedekamer-6.u158	It is a pity that in the first term I missed the piece on tightening collateral rules for investors. Well, I guess I'll have to come back to it now. The Minister himself writes in the reply in the written input that 40% is used in practice. I don't understand why we can't make a rule out of that. I understand from the Minister that there is also a test between 40 and 50. We want to make it easier, so let's just put that rule to 40. I don't get it.
ParlaMint-NL_2019-03-27-tweedekamer-6.u159	I would like to go into this in detail another time, or in writing. But I just answered the question. I think the current practice is working well. I don't want to tighten it and not weaken it. It is a good practice and I would like to propose that it be maintained.
ParlaMint-NL_2019-03-27-tweedekamer-6.u160	Perhaps this will come back to another debate. Please continue.
ParlaMint-NL_2019-03-27-tweedekamer-6.u161	I think I've had the motions all by then. I shall now come to the amendments. I'll handle it in the order in which they were filed. The first amendment is that of Mr Koerhuis and Mr Ronner on the taxation of property taxes. There is no transfer pricing charge or any obstacle in the way it works now. I do not think that the amendment achieves the objective set by the proposers. If there would be a ban on the modification of the land lease canon, municipalities are not expected to grant any more permission for a change of destination and the aim of removing obstacles to the realisation of middle-rent housing is, of course, not achieved. There are other arguments to make, but I do not think we should do so, and I therefore advise against the amendment. There is no question of an additional tax on leases, because a higher tax on leases is, of course, also subject to higher rents. I have the impression that the proposers do not consider them.
ParlaMint-NL_2019-03-27-tweedekamer-6.u162	We're not going to do the whole debate again. You may ask one question, Mr. Koerhuis.
ParlaMint-NL_2019-03-27-tweedekamer-6.u163	I have a lot of questions in my head. I did not hear the Minister comment on this in the first term. The amendment is quite simply discouraged. There is indeed a debt tax in Amsterdam. It's already up to $40,000. Amsterdam shields it from going up to two tons. I would ask the Minister to go there again. There is a real tax on rent, and everyone knows that if two tons of tax is levied on a middle-rent house, the middle-rent price goes up, or a corporation simply doesn't. So that's my question back to the Minister.
ParlaMint-NL_2019-03-27-tweedekamer-6.u164	On this point, too, I think that Mr Koerhuis would really like to have a whole debate. I'd always like to be willing to do that. He has chosen to table this in the form of an amendment. My argument is that against a higher rent canon in a middle-rental house there is also that higher rent return. Mr Koerhuis weighs that differently. I really doubt whether the objective he is aiming for by that amendment would be achieved. I actually think the opposite would happen. It seems that we differ on this, but I remain firm in my assessment of the amendment.
ParlaMint-NL_2019-03-27-tweedekamer-6.u165	Please continue. So the amendment in part No. 11 is not recommended.
ParlaMint-NL_2019-03-27-tweedekamer-6.u166	Mr President, I am confident that you have the right numbers for you, because I am not sure I have them. Mr. Chairman. Then there are Mr Nijboer's amendments. They're about the rent increases. There's two of them. I just said something about that group. I was just saying, I have no doubt those people are here. It's hard to tell how many people they are. Actually, we don't know exactly. That is also a good reason for doing better research. Mr Nijboer is looking for ways to protect the tenant with a middle income. I agree with him, but I think he's going very far. I have just referred to the impact of the emergency button to tackle excesses, because I think we are talking about excesses in the housing market. And I want to distinguish between ordinary, decent landlords and speculators. I would also like to look at a regional distinction, because there are major regional differences. Mr Nijboer does not really make that distinction. I fear that his amendment would violate existing leases in order to achieve the goal of a freezing of rents. Then the government will really interfere in private law agreements between the tenant and the landlord in the entire free sector, while I do not think the problem exists in the entire free sector. I am very specific about these excesses; we want to tackle them. So I must dissuade those amendments, because I think that they go too far and infringe too much on the freedom of contract and the right to property, and because I also think that they would be very difficult to implement in practice.
ParlaMint-NL_2019-03-27-tweedekamer-6.u167	So both the amendment in part No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as
ParlaMint-NL_2019-03-27-tweedekamer-6.u168	Yes.
ParlaMint-NL_2019-03-27-tweedekamer-6.u169	You too: just one question, Mr. Nijboer.
ParlaMint-NL_2019-03-27-tweedekamer-6.u170	Yes, Mr. Chairman. There's been some disappointment about me. I think the Minister makes it very small by saying that it is excesses, that it is regional and probably only plays in new construction; 'we make an emergency button', very precise. I do not think that is right for the people who have problems with this. It is very wide in Amsterdam on Java Island. The Minister knows that well. It happens in Zeist, it happens in Leiden, it happens in a lot of places. You could also make a kind of three-quarters mandatory right, which you say we will lay down by law, and if you really agree with each other that you want 20% increase in rents, any individual who would like to do so would still be able to do so. So you can look for ways to do something generic about it and I think that there are really a lot of people getting into trouble right now. Those really aren't a few individual excesses. This is happening on a large scale, and the Minister does not want to do anything about it, whereas these amendments would help.
ParlaMint-NL_2019-03-27-tweedekamer-6.u171	Thank you, Mr. Nijboer. I'm hearing one last plea. Madam Secretary, the final answer.
ParlaMint-NL_2019-03-27-tweedekamer-6.u172	Thank you for that. In any case, we agree that these excesses occur and that we also want to tackle these excesses. I also agree with Mr Nijboer on this. Where we have not yet found each other is on how to deal with precisely those cases with a little more precision, without using a generic instrument, which, in my view, goes rather far and is not necessary. We are certainly going to talk about this when it comes to drawing up the emergency button. Mr. Chairman. Finally, Mr Nijboer had also tabled an amendment on transfer tax. He said, I thought, something about forging the iron while it's hot. That was the case two weeks ago. At that time the iron was really hot, and we discussed this in a 30-member debate. A motion was then adopted by Mr Dik-Faber and Mr Ronnes on exploring the differentiation of transfer tax. I undertook, of course, to work on this together with the Secretary of State for Finance. So I hope that Mr Nijboer will give the cabinet the chance to do that reconnaissance. But he still wants to table this amendment. He could have waited a while, but if he continues to do so, I must also advise against the amendment because of the timing.
ParlaMint-NL_2019-03-27-tweedekamer-6.u173	So the amendment in part No. 20 is not recommended.
ParlaMint-NL_2019-03-27-tweedekamer-6.u174	As part of his amendments, Mr Smeulders has asked what the legal, legal and legal aspects of the market test are in a law and what is in a general measure of governance. In practice, that does not really matter very much. This is important from a legal point of view. The law now states that the market test takes place and that the effect is contained in the general measure of governance. It therefore states what the market test must comply with. That is therefore legal technique and not so much implementation practice. I have three amendments to this effect. Two amendments are by Mr Smeulders. He chooses two different approaches to the market test. The first amendment would delete the market test and the second amendment says something about a limit of €1,000. I am not going to repeat my whole argument of just now, because in both cases I am afraid that we are losing the balance and not achieving the goal of achieving more middle-rent housing. That is why I cannot support both amendments and I must advise against them.
ParlaMint-NL_2019-03-27-tweedekamer-6.u175	The amendments to item No. 14 and item No. 15 are also dissuaded. Mr. Smeulders, just one question.
ParlaMint-NL_2019-03-27-tweedekamer-6.u176	My question is not about content, because we have talked about it long enough. I have a question following the Minister's reaction to a motion in an AMvB or an amendment in the law. In fact, you indicate that it does not matter whether the amendment or the motion is adopted, because implementation means the same thing, namely that housing between €700 and €1,000 will not now be covered by the market test.
ParlaMint-NL_2019-03-27-tweedekamer-6.u177	But then I'm not sure we understood each other correctly, because I'm talking about the law as I suggested it, the amended law. Because the law is as it is now. Of course, it will have to be adapted. Mr. Chairman. I have two further amendments, both by Mrs Beckerman. The first is about increasing the liberalization limit. I fear that this amendment will only lead to fewer offers, not more offers. I have also said a number of things about this in the first period. I'm also referring to the emergency button. But I must advise against this amendment.
ParlaMint-NL_2019-03-27-tweedekamer-6.u178	The amendment in part No. 10 is also not recommended.
ParlaMint-NL_2019-03-27-tweedekamer-6.u179	Mrs Beckerman's next amendment concerns the extension of the SGEI income limit. I have just said something about this, also in the direction of Mr Ronnes. I do intend to look at the income line in the social rental sector and see if we can better organise it and take more account of families, for example, but I am not in favour of a generic increase in the income line. That's why I think I should discourage this motion.
ParlaMint-NL_2019-03-27-tweedekamer-6.u180	You mean the amendment. The amendment in part No. 9 is not recommended.
ParlaMint-NL_2019-03-27-tweedekamer-6.u181	Excuse me, amendment. Yes. Thank you.
ParlaMint-NL_2019-03-27-tweedekamer-6.u182	This brings you to the end of your second term? Thank you very much. This also brings us to the end of this debate on the Mid-term Rental Act.
ParlaMint-NL_2019-03-27-tweedekamer-6.u183	I thank the Minister, I thank the spokesmen, the support staff and the listeners. The motions and amendments will be voted on next Tuesday.
