ParlaMint-NL_2019-01-31-tweedekamer-8.u1	We continue with the treatment of the Labour Market Act in balance, Room 35074.
ParlaMint-NL_2019-01-31-tweedekamer-8.u216	I think you've been finishing up, or am I mistaken?
ParlaMint-NL_2019-01-31-tweedekamer-8.u217	No, almost.
ParlaMint-NL_2019-01-31-tweedekamer-8.u218	You have three minutes left. Mr Gijs van Dijk.
ParlaMint-NL_2019-01-31-tweedekamer-8.u219	I was assuming for a moment that the coalition had gone home, but Mr Wiersma is just coming back. Because if she was, we could have done business together. But perhaps it can be done, because Mrs Van Brenn is right to make a point of saying that judges should give us more room. Mrs Van Brenk is putting the double for that, but we have an amendment to just let it go and see if the judge can decide for himself. How does Mrs. Van Brenk look at letting go of that maximation?
ParlaMint-NL_2019-01-31-tweedekamer-8.u220	I told you, we like that. We will certainly support that, but unfortunately we are counting on it not to add up to a majority in this Chamber. That is why we have tried to bring it up 50%. You still have a maximum, and I hope that will make it a little more understanding.
ParlaMint-NL_2019-01-31-tweedekamer-8.u221	We are indeed looking for room with the coalition. Another interesting point that Mrs Van Brenk made is, say, that mouse hole from the previous law. Maybe we can enlarge that a little bit. I would like to answer her question to the Minister as to whether it offers a perspective, especially for those older workers who may be on the streets with too little money to sustain it.
ParlaMint-NL_2019-01-31-tweedekamer-8.u222	I am pleased that several colleagues are looking and I am also pleased that it is recognised that older people are really affected by this legislation. So I also hope that the Minister will give a good and adequate answer to that in the first instance.
ParlaMint-NL_2019-01-31-tweedekamer-8.u223	Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u224	Mr. Chairman. The possibility to deduct additional training costs from the transition fee does not consider 50PLUS to be a good measure. This inevitably creates tension between, on the one hand, training which is primarily in the interests of the company, training which is in the interests of the workers and training which is aimed at sustainable use, and, on the other hand, labour mobility. We also point out that collective agreements already contain agreements on personal development budgets and other training budgets. And often wages have already been handed in for that. Can the Minister explain the proposed extension? Mr. Chairman. The reasons for extending the probationary period to five months have already been mentioned. We are not in a position to do that either, and I am glad that several colleagues have said the same. I would like to hear what the Minister has to say about this, but we are still assuming that the Minister has only put up this article in order to give it back generously later as change. It does not serve any purpose. Mr. Chairman. The final issue is the new system of premiums, where a high WW premium is levied on flexible contracts and a lower WW premium on fixed contracts. This measure is in line with the objective of making flexible work more expensive and of reducing the cost of permanent work. 50PLUS sees this system as a first, limited, yet important step. However, we believe that regular care services such as accessibility and sleep should not be affected. We have also read Cedris' comments. Several colleagues have already referred to this. And we would like to hear from the Minister how he intends to solve this problem. As far as we are concerned, more is needed. There is a larger and much wider price difference between flexible forces and fixed forces than only the costs of the WW. According to the CBS, the difference is 35%; the proposed difference of 5% in the premium is therefore only a small fraction. We therefore have doubts as to whether this incentive will be effective. We understand that there will be a general measure of governance to clarify when there should be a high or a low WW premium. I'd like a thorough explanation. How does this come about? Who is or is involved in this and does the Chamber still have any influence on this? Mr. Chairman. To sum up, the Labour Market Act in balance reduces the imbalance in the labour market in some respects, but increases it in others. On balance, measures do not work well for employees, and certainly not for older workers. Old is wrong in this cabinet. I have said it before: this cabinet gives elderly people a financial kick.
ParlaMint-NL_2019-01-31-tweedekamer-8.u225	Thank you very much, Mrs Van Brenn. This brings us to the end of the first term of office. Actually, I'd like to suspend for an hour before dinner break. After that, the Minister will answer. I have not limited the number of interruptions to a maximum, but there are about a hundred questions to each other, on top of the questions to the Minister. So many questions... We're really gonna do that in a different way. I give all the space for a debate, but asking each other a hundred questions, which also gives the ruler every chance of getting away with it. So I'd be asking limited and targeted questions later.
ParlaMint-NL_2019-01-31-tweedekamer-8.u226	We continue with the Labour Market Act in balance. We had arrived at the Prime Minister's first term. The Minister has the floor.
ParlaMint-NL_2019-01-31-tweedekamer-8.u227	Thank you, Mr. Chairman. Thank you for all the questions asked. I'm gonna go deal with a few blocks. Before we begin, I'd like to go over the blocks with you. I'll start with a general introduction. Then comes the block flex, which includes the chain determination, the call and the payroll. The third block is about dismissal, including cumulation, probation and transition fee. The fourth block is about the premium differentiation. I will also take Mr Stoffer's amendment with me. All the other amendments are simply interwoven through the text into all the blocks where they are relevant. So I shall begin with my general introduction, Mr President.
ParlaMint-NL_2019-01-31-tweedekamer-8.u228	Before you start, I'd like to address the MPs.
ParlaMint-NL_2019-01-31-tweedekamer-8.u229	Yes, indeed, Mr. Chairman.
ParlaMint-NL_2019-01-31-tweedekamer-8.u230	Because the first deadline has gotten completely out of hand with the interruptions. We remembered Dick Dolman today. I also said something in my speech about the fact that he called off the meeting at 11 p.m. In his mind, I want to act today. I shall now give the floor to the Minister.
ParlaMint-NL_2019-01-31-tweedekamer-8.u231	Thank you, Mr. Chairman. First of all, I would like to thank the Chamber for the speedy implementation of the Labour Market Bill in balance, a crucial step towards a strong, well-functioning labour market. In my introduction, I would like to consider why this step is so important, but also why the follow-up and parallel steps are equally important. Many of the spokesmen have asked for this. Since it's National Poem Day today, I'd also like to start with a poem: Hand in hand, comrades, It's not words, it's deeds. Yeah, yeah. For Mr Gijs van Dijk and Mr Van Weyenberg in particular, I would like to point out that on 6 February, 6-2, ticket sales start for Feyenoord-Ajax for the cup. I don't know if there are any more Ajacians here. But I had an excellent weekend! Mr. Chairman. The labour market requires complex adjustments. You guessed it: not words but deeds. The labour market is in good shape, unemployment is low, but underlyingly the current design of the labour market for employers and for employees is at odds. Employers are now too often reluctant to employ employees on a permanent basis because of the costs and risks involved. They cannot always rely on being able to fire an employee if necessary, paying a substantial remuneration in the event of a permanent employee's dismissal. For workers, labour market opportunities are unevenly distributed: insiders-outsiders, as Mr Heerma put it. There is a group of permanent workers with relatively high levels of protection and a growing group of flex workers with job and income uncertainty. Think of temporary workers who do not receive a transition fee at the time of termination of their contract, or call workers who have to remain unnecessarily available for work. I am committed to a labour market that offers security and opportunities to everyone. When employers and employees failed to reach an agreement on a well-functioning labour market together during the 2017 formation, in summer 2017, the coalition made ambitious commitments to reform that labour market. That is also my answer to the questions put by Mr Kuzu and Mr Bart van Kent when it comes to the trade unions and employers. Of course, that was tried for 14 months in the period before that summer of 2017, and the employers and employees just didn't get out and actually missed a chance. So it's up to politics to solve it. Mr Van Kent said: everyone is dissatisfied; would it be a good law? That quote was attributed to me. I have brought it a little more poetic, namely: employers are dissatisfied because they think we are too flexible and too little is happening on the fixed side, while it is the other way round for trade unions. They think that too little is happening on flex and probably too much. That is the quote I have made: I think it contains some balance, because both employers and employees, on both sides, are dissatisfied with the compromise. In December last year I presented you with an approach along five routes or tracks I don't know what it was anymore with different gears, solutions and collaborations. The cabinet has worked with urgency to develop the measures to move the labour market forward, because standstill was and is not an option. There are too many pressing challenges for this. Today we are talking about the first major legislative step: the Labour Market Act in balance. This legislative proposal addresses urgent issues of labour law as a matter of priority, and that is the first step towards a more balanced labour market. The second step is that I am working in parallel with measures concerning the obligations, for example, for employers for payment of wages in the event of illness and in the event of incapacity for work. Before Christmas, I presented an agreement with employers and employees on this, in order to put an end to this long discussion. We're working on that now. With that, I'd be happy to return to your room. In this context, Mr Kuzu asked how much of the 450 million premium reduction will be paid to small employers when it comes to the payment of wages in the event of illness, and whether the agreements I made were correct. What I find very positive is that, in the course of last year, employers actually indicated that they could not get away with the plans in the coalition agreement and actually asked for an alternative plan. At that time, my department, together with the Association of Insurance Companies, discussed with the SME Netherlands and VNO-NCW the question of how to solve this problem. That's where the chord came from before Christmas. It is really a practical approach to the problem of the transit payment in case of illness, which is particularly important for small employers. I am very proud that this has been achieved together with those parties. This 450 million comes down to more 90% of employers employing 25 people or less. Indeed, the vast majority of the premium discount comes down to those smaller employers. Mr Stoffer of the SGP has asked me in this context why it is so difficult to say goodbye to that excessive deficit, which was his word'sick pay'. The payment obligation and the reintegration obligation resulting from the Port Guard Improvement Act have led to a significantly lower inflow into long-term disability schemes. Of course, we had a real problem in the Netherlands with the WAO. Since that law came, we can see that the influx has gone down sharply and that a lot of companies are investing more in reintegration and helping sick workers get back to work. That works very well. This also means that if these incentives become less, the influx into the WAO will also increase significantly. That is actually also part of the agreements in the government agreement, where we saw an undesirable leak to a higher influx into disability schemes. That is why I am so pleased that we have been able to find an alternative to this package that does justice to the concerns of the employers, but leaves fewer workers in the disease law or in the WIA benefit. In this context, the SGP also asked if I could do something about the pay-by-pay obligation for older unemployed people, in order to create more opportunities there. That can and, more importantly, has already been done. Employers who hire people from the WW who are 56 years of age or older may fall back on the so-called "no-riskpolis." In doing so, they do not run a risk with regard to the payment of wages when those people fail, because UWV compensates those employers for this. So for this particular problem there is a working solution. Many of your members have asked about thezzp-side. I think that's a fair question. The Council of State also warns about this in the further report and in its opinion. The cabinet is working hard to increase this clarity about the nature of the employment relationship, i.e. thezzp side, and to prevent false self-employment. Among others, Mr Bruins, Mr Heerma, Mr Stoffer, Mr Van Dijk and Mr Smeulders asked for this, because they feared that there might be a waterbed effect. We need more time to develop this measure on thezzp. I sent a letter to your Chamber on 26 November on progress in that area. What we particularly run into is complicated legislation and regulation when it comes to better protection of the bottom of thezzp market. As you may know, the coalition agreement contains three coherent packages of measures: better protection at the bottom of thezzp market, countering bogus self-employment and more freedom for real entrepreneurs, the realzzp'ers, more at the top. Steps are already being taken to prevent false self-employment. We've already started that. Secretary of State Snel started enforcement against the obvious evildoers. 100 companies have been visited. In addition, both the preventive side and the coaching side of the Tax Administration come to the fore. We have also clarified the authority criterion on 1 January. The manual has been distributed and has been tried to give more guidance to employers, clients, when it comes to the authority criterion, which was very unclear about it. We are also working on the web module on the question of who is a real zzp'er and who is a dummy self-employed person. The web module is expected to be ready by the end of 2019. All in all, we are working hard on the legislation. Mrs. Van Brenk asked for this. During the course of this year, legislation on thezzp should indeed be in your Chamber. The whole package of both the Labour Market Act in balance, as well as the law on pay-as-you-go payments in case of illness, as well as thezzp-measures is introduced as a whole in this cabinet period. All the above measures will be implemented in the years 2020 and 2021. This has been done very consciously, precisely to prevent the emergence of a waterbed effect. The Council of State's point on this is a valid point. Indeed, if you were to take one law first and only then implement thezzp measures, there could indeed be shifts. I also find that undesirable, and the cabinet finds that undesirable. That is why we see this as a coherent set of measures to balance that labour market. This law is called "Act on the Labour Market in Balance," but it should be seen in conjunction with thezzp measures and with the measures relating to the payment of wages in the event of illness. We're working hard on this. I expect the whole package to be launched on 1 January 2020, 1 July 2020 and 1 January 2021, so that the waterbed effect has become manageable during this cabinet period. In this context, Mr Van Weyenberg asked about the progress of the studies on the possibilities for minimum rates. He asked this because of a piece in this weekend's Trouw, by two economists of the ACM. It was not the ACM itself that gave an opinion, but it was two ACM advisors/economicians. They gave their opinion on the scope for agreements on soil rates forzzp'ers. I read the article with interest. There's been some tumult after that. I saw that on Twitter too, with Mr Canoy, one of the authors. On Trouw's website there is a corrected, more nuanced story following this article. For me, it is important how the ACM deals with minimum rates in collective agreements. I will consult with the ACM on this. So it is not so much about the broader discussion onzzp, but in particular about whether you can set minimum rates in collective agreements.
ParlaMint-NL_2019-01-31-tweedekamer-8.u232	I see you want to ask a question, Mr Van Weyenberg, but I want the Minister to finish his introduction first.
ParlaMint-NL_2019-01-31-tweedekamer-8.u233	Yes, that's good, Mr President; that's always a big step. There is still no clarity as to the scope available for the government's measures to impose minimum public tariffs onzzp'ers. We are working hard on this, also in consultation with lawyers. And we are also looking at how that fits in with European laws and regulations. There's no political blockade there. I thought Mr Gijs van Dijk asked that, as one of the first speakers; that was already this morning. I feel broad support here in the Chamber for better protection of the bottom of thezzp market. There is support for this in the coalition, but also in the opposition. So there is no political blockade, but it is only extremely complicated: legal, implementing, in terms of enforcement. We're working hard on that. There's a whole team of SZW, Finance and EZK on it. They work together to solve this problem. It is of course not a new problem; even in the previous period, after the introduction of the DBA Act, it is of course derailed and we have always been looking for a solution to this complex problem. Mrs Van Brenk asked a question about the Deliveroo statement. I am working on a letter to the Chamber in which I will go into it, and in which I will specifically answer the questions. For the sake of clarity, I refer to that letter. In addition to the Labour Market Balance Act, thezzp and the pay-through in case of illness, there is a third step. Mr Smeulders, in particular, pointed that out, but also Mr Heerma and Mrs Van Brenk. We all note that in the coming years the labour market is going to change fundamentally, or perhaps it is already in the process. Think of platformization, digitisation and other forms of work. It may indeed mean that I am convinced that, in the longer term, we will have to make greater, but also more fundamental, adjustments to our system of taxation, social security and labour law, in addition to the steps we are taking now. Those adjustments may be necessary to meet these new challenges. That is why we have appointed the Borstlap Committee, the Committee on Employment and Social Affairs. In November, it should issue an opinion on the link between the regulation of work, social security and taxation. In reply to Mrs Van Brenk's question, I can say that the committee has also been asked to look at the scope of social security. Can it become contract independent entirely or on parts? This is also in line with Mr Smeulder's question last week, in another debate, on universal social security, or with Mr Wilthagen's new acceptable level. Those are indeed thoughts that appear more often in this analysis. However, I should like to warn you that it has very serious consequences for implementation if you do a very fundamental reform of the labour market, social security and taxation. We have now set up our entire system in such a way that the employer, as it were, collects the tax, collects the payroll tax and pays the contributions through the payroll return chain. If you want to do that more broadly to all workers, so alsozzp'ers, then that requires quite a bit of the Tax Administration and the UWV. So there are really complicated challenges for the coming years. However, I am not going to wait for that advice, because I think that the problems that lie ahead are really urgent. We have to deal with them now. That is why I am working so hard to work this out and to submit it to your Chamber through legislation. Then there's this law. A little bird-flying along the goal of the law. Together, the measures in the SAB aim to improve the balance between fixed and flexible contracts. I therefore consider the title appropriate. I therefore reject the amendment to item No. 41 by Mr Kuzu. The labour market is currently out of balance and we need to balance it with a coherent package of measures. I thought your amendment was creative, but unfortunately I have to advise against it. The use of flexible contracts remains possible if the work so requires and if it meets the needs of employers and workers, because labour market flexibility is important. That is what I am saying to Mr Wiersma. He explicitly asked for it. I agree with him: there is a need for flexible work, including in the Dutch labour market. For example, in order to provide space where it is necessary to resolve bottlenecks, this legislative proposal extends the chain clause. I'm about to go into more detail about that. However, the choice of a flexible contract should not mainly be driven by cost advantages. We are, of course, doing something about this bill by reducing the differences in costs between contract forms and also making the fixed contract more attractive. That is why there are proposals in the law such as the introduction of the cumulation ground. A lower WW premium makes entering into a fixed contract more attractive. And the structure of the transition fee is more balanced by building up from day one, but continuing to build evenly throughout the period. I will come back to this in more detail later on, but this is a matter of fact. To mitigate the negative effects of flexible contracts for workers, I take measures to better protect vulnerable groups of flex workers. Callers are better protected and payroll workers are entitled to the same working conditions as regular workers. This whole range of measures, both on the fixed side and on the flexible side, will improve the balance sheet and make the choice of a contract form less dependent on a difference in costs and risks, and more consistent with the nature of the work. That is an answer to Mr Van Kent's question as to why this bill is not just about the flexible side. It is precisely a simultaneous movement of fixed and flex. I'm not just saying that. That is also what big think-tank bodies such as the CPB, the International Monetary Fund, the OECD and the European Commission say. They all point to the large difference between fixed and flexible contracts in the Netherlands and point out that it is really a focus in the Netherlands to reduce these differences and to bring the forms of contracts closer together. So it's in a simultaneous movement. Firstly, negative effects of specific forms of flexible work should be limited or priced. Secondly, it must become more attractive and less risky for employers to offer their staff a permanent contract. It is also necessary to put both movements together. We're not gonna fix that balance with just one side of the room. Mr Smeulders and Mrs Van Brenn ask me for a labour market analysis of the effects of the legislative proposal and whether the proposals will actually lead to more fixed contracts. The VVD and PVV also asked about the expected effects of the WAB. Roughly speaking, the measures in the SAB together reduce the differences in costs and risks between fixed and flexible contracts, making it relatively more attractive to enter into a fixed contract compared to the current situation. The coalition agreement has been passed on by the CPB. It also looked at the labour market effects of the measures in general. The CPB indicates that differences between fixed and flex are reduced by those measures in the government agreement, e.g. the transition fee measure but also the premium differentiation in the WW. We are talking about roughly 7,5% cost differences which are narrowing compared to the current situation: 5% because of the premium differentiation and 2.5% because of the transition fee. This simply reduces the differences. Let's see... For its labour market analyses, the CPB only provides a qualitative explanation of the effect on fixed versus flex; you can't put a figure on it. It is a qualitative explanation, which is also reflected in the publication of Kansrijk labour market policy. Several measures have been scored for this type of impact. It is not possible to give a quantitative effect, because it has to do not only with costs but also with standards, with how the labour market works. This quantitative analysis is not available, but with the publication of Kansrijk labour market policy, you have a qualitative estimate that the differences are actually narrowing and that this will bring the permanent job closer. An additional analysis therefore adds little, there would also be little news. Moreover, it would lead to delays, which would be undesirable, given the urgency of resolving the bottlenecks in the labour market. The last question in my introduction. Mrs Van Brenk asked why the cabinet is not waiting for the evaluation of the Work and Security Act. Signals from society showed that the system introduced by the WWZ has not yet succeeded sufficiently in supporting employers and employees in establishing an employment relationship that suits their needs and the nature of the work. That is why, in anticipation of the review, the review in 2020 will of course continue; we have recently sent a monitor to your Chamber with the steps that have been taken yet decided to take measures to reduce the differences between fixed and flex in order to alleviate the experienced bottlenecks in the labour market. After all, we cannot wait for that to happen. This was my general introduction, Mr President.
ParlaMint-NL_2019-01-31-tweedekamer-8.u234	A quick question. Mr Van Weyenberg.
ParlaMint-NL_2019-01-31-tweedekamer-8.u235	The Minister states that he will consult with the Authority on Consumer & Market about the self-employed and that interview. He spoke explicitly about the extent to which a collective agreement would allow you to deal with the rates, but my question was about making it possible for groups of self-employed to be more powerless. I would like to ask him to take that point too and, for example, to look at the following as a current example. Until 2004, the independent photographers had, I understand, a sort of tariff list. It is prohibited by the competition authority at the time. But with a small number of those who have a dominant position in relation to such a group of self-employed people, could that sort of thing be a way of restoring balance in a mutually negotiated relationship? Does the Minister want to take these things with him? We really need to do something about the negotiating power of the self-employed.
ParlaMint-NL_2019-01-31-tweedekamer-8.u236	I'm taking this question with me in a conversation with the ACM. There's a lot to say about it, but I'm not gonna do that tonight, because that's not the point. But I'm taking it with me in a conversation with the ACM. It is a valid point, as is the FNV KIEM judgment; it is also a discussion at the European Court of Justice. I'll take it with me.
ParlaMint-NL_2019-01-31-tweedekamer-8.u237	The minister just said that the evaluation is coming, but we're going to take steps now. In my view, Mr Smeulders has just indicated that the round table with judges and lawyers has really said: we do not see 90% of all dismissal cases, because that is what we are dealing with in a settlement agreement. Now it looks like we're just going one punch in the other direction. If the minister has checked things and talked to people, are these the signals that have come to the ministry? Does he take these things for granted?
ParlaMint-NL_2019-01-31-tweedekamer-8.u238	Sorry, I don't understand the last question. What does Mrs. Van Brenk mean by "for good"?
ParlaMint-NL_2019-01-31-tweedekamer-8.u239	Does the Minister accept that more cases will be brought before the courts and that everything that was previously arranged between them will be brought back to justice?
ParlaMint-NL_2019-01-31-tweedekamer-8.u240	I'm sorry, I have to give you a comprehensive answer. We found in the introduction of the Law work and certainty that there were bottlenecks in the judges. In the case of some canton judges, a certain percentage of the cases was not dissolved, i.e. tens of percent of the cases were not dissolved because the reasonable grounds for dismissal of the Work and Security Act were not met. This indeed led to a new practice of the fixing agreement, but also to a higher percentage of cases that were not dissolved, in which employers and employees had to go through with each other, while there was malfunctioning, or perhaps also distorted industrial relations. This has been said at the hearing you held as a Chamber with the experts, and the Council of State and the Court of Justice have also made statements about it. They all say at the heart of the matter: the cumulation ground that is added is a sensible measure to give a little more room for the judge to dissolve. Indeed, that brings about a new situation and thus new case law. I have to agree with Mrs Van Brenn. This case-law must be crystallised in a new practice, on which it can also be based, allowing settlement to take place outside the courtroom. But you can see that experts across a broad line are positive about the addition of the cumulation ground. You can see that from all the positive comments on this, apart from the comments on the level of remuneration and the legal techniques on the basis of which it should be, which the Council of State has also commented on. There is a need for this cumulation ground, because in practice there is no solution. It's too strict right now. But you are right that it is a new situation, so after the introduction it will have to crystallize into new case law. That is why I am committed to these fixed percentages. I will come to that in a moment when the cumulation clause is in place. I am committed to making that predictable, including for practice outside the courtroom.
ParlaMint-NL_2019-01-31-tweedekamer-8.u241	One last point. The Minister says that people are positive about this accumulation, but they were not positive about the limit indicated by the Minister. They said, "Give us freedom now, so that we can also consider fairness and fairness." The suggestion raised by the fixed percentage is that there is no confidence that the case law is correct.
ParlaMint-NL_2019-01-31-tweedekamer-8.u242	I have received several comments and criticisms from the experts. There are people who have indeed said: don't put a cap on it; that gives me more freedom of movement as a canton judge. There are also lawyers who have said: why is an additional fee really necessary; it is a reasonable basis? Mr Stoffer asked for this. I shall come back to that in a moment when we are dealing with the discharge part.
ParlaMint-NL_2019-01-31-tweedekamer-8.u243	Please continue.
ParlaMint-NL_2019-01-31-tweedekamer-8.u244	But I'll start with the block on flexible work first. As I indicated in the introduction, this proposal is intended to prevent the choice of a flexible contract from being determined by differences in costs and risks between contracts. We have therefore put forward proposals to limit and price the negative effects of flexible contracts, so that flexible work can be used even if the nature of the work so requires and not mainly because it offers a cost advantage. Mr Van Kent also noted the link between flex and low wages. His point was particularly about the labour income ratio and the flexibilisation. I understand that, given all the publications of the last year of DNB and the economic offices of banks, but it is not so unambiguous. This is also apparent from the latest investigations. On the one hand, in international literature, the declining bargaining power of labour is presented as an explanation for the decline in the labour income ratio. It is often said that this may have to do with flexibilisation. DNB also said that a year or two ago. At the same time, there are arguments that point the other way, because the latest figures on the labour income ratio, from the CPB's draftsman for 2019, actually show that the labour income ratio is back, and has actually barely fallen. They have also carried out a study on wages, in which they focus on productivity, which is lagging behind, which may explain the slackening of wages. So it's not unambiguous. It's still a search. Intuitively, I think there'll be a point in it, but there's no hard evidence yet. Apart from this discussion, the cabinet has a key role to play in finding a new balance on the labour market and in adjusting the negative effects of flexible contracts. They have to stay possible. In the government's view, they are necessary to ensure that employers can respond to these changing circumstances. Mr. Chairman. I'll deal with the chain assessment first. This legislative proposal contains three changes to the chain definition. Firstly, the period during which a contract is transferred from two years to three years for an indefinite period after successive temporary contracts. In addition, in the case of recurrent temporary work of up to nine months a year, the period between chains is reduced: from six to three months. Finally, temporary substitute workers in primary and special education are excluded from the chain definition if they replace a sick teacher. Of course, these measures are not intended to lead to a new carousel of temporary contracts in which workers can linger. But in order to reduce that risk, the cabinet is simultaneously taking measures to make fixed contracts more attractive. So it is in balance again and you should also see the scissor movement. Due to the premium differentiation in the WW and the introduction of a transition fee from day one, it is expected that it will be more expensive and therefore that employers will not keep people in a temporary contract unnecessarily long. That's less attractive because those costs are getting higher. Mr...not Van Kent, but Mr. Van Dijk of the PvdA... Mr Van Kent is standing by at the interrupting microphone.
ParlaMint-NL_2019-01-31-tweedekamer-8.u245	Here too, Mr Van Kent, the Minister will finish this subject. Then you will be the first to have the opportunity to interrupt.
ParlaMint-NL_2019-01-31-tweedekamer-8.u246	Mr Van Dijk asked what the employer and the employee have to do to extend the maximum period of the chain determination. Mr Van Kent also asked how extending the chain clause would lead to less uncertain contracts. Mr Kuzu has also asked me why I am proposing this measure. The choice of extending the deadline from two to three years is the result of an overall package: the search for a balance between the interests of employers and employees. With regard to chain determination, bottlenecks are addressed to enable employers to offer temporary contracts for a longer period of time if the nature of the work so requires. For example, fluctuations in production may make it necessary to maintain flexibility over a longer period of time. In addition, extending the maximum period may result in the employer choosing to keep the employee temporarily employed for longer than not continuing the employment relationship. We've seen that a lot in the past few years. This also has to do with the fact that I thought Mr Heerma mentioned this earlier in another debate with the combination of different measures. In the current legislation, it works that after two years you have to offer a fixed contract and at the same time after two years you start the transition fee. In fact, these are two reasons for an employer to say: I place the intersection at those two years. In the bill, we have separated that intersection from each other at different points. At the same time, we have reduced the differences between fixed and flex. That's why you see a balance between all these measures - there are 16 measures in the package - to prevent natural moments in the business club from being exchanged with the SME entrepreneurs, such as: you just have to fire people after two years, otherwise you will have the transition fee and a fixed contract, with all the risks involved; you just hire someone else. Individually, you can have a whole discussion about whether this is the measure that will have the greatest impact on the number of permanent jobs. No, I'm not convinced of that, but you have to see it in a total package in which you remove the hard boundaries. I am an economist; I always think in incentives and costs that it makes sense to offer fixed contracts. To Mr Van Kent, who had specifically asked for this measure, I would point out that the flow to permanent work is not the main part. It fits in with a comprehensive package of measures that make those hard borders softer. In this context, the extension of the maximum period of the supply chain provision is also part of the legislative proposal. That is why I would also advise against the amendment on item No. 12 by Mr Van Kent of the SP. Indeed, there is a delicate balance between all these different measures. Mrs Van Brenk asked me to think about alternatives for extending the chain determination, for example if there is no solution to a job vacancy for structural work in the framework of the works council giving a position. Honestly, I don't see how that should work in practice. Often the uncertainty that an employer or entrepreneur has, that he is not sure if he has that work in two years' time, is the reason why he uses a flexible contract. Something else is happening now: after two years the contract ends and then we hire someone again, because they have no transition fee and they can start again with the chain determination. That's what we're trying to prevent. That's why we have these legislative proposals. But what is structural work is very difficult to describe at its core. Nor do I consider it appropriate to allow the measure to apply only to certain functions or sectors, as has been suggested, since the signals on the experience of bottlenecks are not limited to a particular sector or to certain functions. Mr Van Dijk of the PvdA asked about the possibility of shortening the interval between temporary contracts. He asked the specific question whether the Minister could decide to do so without the opinion of the Labour Foundation. The answer is no, and I hope this reassures him. Let's talk about practice, as it should apply. If it is not possible in a particular sector to reach collective agreements on the interim period in the chain, the collective agreement parties may turn to the Foundation of Labour. The parties, employers, employees and the foundation will then have to agree to submit a request as a foundation to the Minister for Social Affairs and Employment. So indeed, if there is no agreement there, the foundation will not submit a request to the minister either. That also removes your fear. If the foundation asks, the minister may decide to do so, but he doesn't have to. The Minister does have a point of view. It's a possibility clause in the law. The condition is that employers and employees agree on this, otherwise it will not be on the Minister's office. In this context, Mr Van Dijk also asked about the exception for teachers in primary education. Why now for this sector? Many questions have been asked about this in the note on the report, and I have answered them in detail. Mr Van Dijk's reasoning was: employers and employees already have agreements, why should you legislate? In the note, I argued the difference between primary and secondary education. That is what it means to have education, especially primary education, is a special form of public intervention. There have been many debates about it in the previous period. It is also involved in the collective agreement for primary education at the request of the social partners, workers' and employers' organizations. They have asked me to declare the supply chain clause "because of illness" in force prior to the entry into force of the bill. Mr Van Weyenberg is right that it is not generic, but limited to illness, so really limited to the replacement pool for sick teachers. I have responded to this request from the social partners in the law. The evaluation of collective agreements for primary education also shows that this is a problem. That's an extra reason to do this. The same evaluation has shown that it has not been possible to solve the problems caused by other types of replacement, such as replacement pools. In practice, it is very difficult to control replacement and this leads to problems. In addition, research has shown that short-term replacement by many incursion forces is not found attractive, because they quickly reach the maximum number of chains and can no longer work at their favourite school. That is also an obstacle to that. That is why we have incorporated this provision into the law. The exception provides for a clear need. It is undesirable that the present exception should continue to be dependent on collective bargaining in the future. That has also gone wrong a few times in recent years, and that has led to a lot of tumult in the Chamber. That is why I do not recommend the amendment to item No 2 of the motion for a resolution. 24 by Mr Gijs van Dijk. Again, it's just limited to sick teachers. That is why I do not want to create the fear that teachers are now outlawed. That would really be wrong.
ParlaMint-NL_2019-01-31-tweedekamer-8.u247	That was the point...
ParlaMint-NL_2019-01-31-tweedekamer-8.u248	Chain determination.
ParlaMint-NL_2019-01-31-tweedekamer-8.u249	Then I'm going to see Mr. Van Kent.
ParlaMint-NL_2019-01-31-tweedekamer-8.u250	The discussion about the AIQ and the influence of flex on it we would like to conduct another time.
ParlaMint-NL_2019-01-31-tweedekamer-8.u251	We'll do that at the pub sometime.
ParlaMint-NL_2019-01-31-tweedekamer-8.u252	I certainly do not agree with your analysis, but my question is about that chain determination. In fact, I hear the Minister say that this facilitates employers who want to have people with a flex contract for a longer period of time, i.e. that this will lead to an increase in flex. I think you are putting your finger on the spot, because with the Work and Security Act, it was indeed a good thing to fire someone after two years. That's what we're going to change now: dismissal pay from day one and a higher WW premium. Let us therefore be confident that this will work and that the pain that caused the Law work and security will be resolved. Then that third year wouldn't be necessary at all, would it?
ParlaMint-NL_2019-01-31-tweedekamer-8.u253	What I've been trying to argue is this. We can very much focus on the individual measure. In the balance sheet of cases, in the balance sheet of the sixteen measures included in the SAB, it was precisely to make some things more stringent, such as indeed a transition fee from day one and such as the premium differentiation, which makes flex contracts more expensive and makes some things more flexible to allow more opportunities to fit in with the nature of the business. That has been a conscious choice of balance. We can have a big debate on a separate measure, but I will always argue that it fits into a wider package. If I turn one button in there, then the structure will move again, also politically; that is what I say. That is why I am referring to my previous answer in my block about the chain determination.
