ParlaMint-NL_2019-11-05-eerstekamer-11.u1	The next item is the continuation of the debate on the Wet experiment closed coffeeshop chain.
ParlaMint-NL_2019-11-05-eerstekamer-11.u81	I thought I was giving a whole answer. I admit it was a long time, but I gave a whole answer about those one or two municipalities. Look, if you want to test if bunnies can do the 100 meters in ten seconds, and two out of ten bunnies say after 30 meters, "I'm gonna quit, because I'm not gonna pull this," yeah, those are the results that count in your experiment of those ten bunnies. I am referring to the fact that you cannot ask us to appoint substitute municipalities in advance, for example. That is not going to happen, because the coalition members would be very disappointed in Bruins and in me, especially in me, I think if we started an experiment in which municipalities could not compete against all kinds of difficult influences and then had to give up halfway. We did a really good job of selecting. The committee has advised us in this and we have followed that advice. We have good guarantees in the experiment. If there are two bunnies that give up, it's part of our report of the experiment. This was, once again, a complete answer, I hope. Mr. Chairman. Mr Recourt asked if I could share the analysis that is acceptable only temporarily and that a choice should be made between legalising or prohibiting. Does it have to be complete legalization, or is this just a limited experiment? Local directors and mayors are the people who really do the job and who are confronted with the bad things. Rombouts has already said something about this in his introduction, namely that it is difficult in certain regions. That's exactly what we said we should do that experiment. The choice is also indicated there. Those drivers want to know whether they need to go to legalization or a ban. The experiment is there to provide us with information. What are the consequences if you set up a legal road on that production side? Once again, a next cabinet will say what we are going to do with this. That is what the two of us are getting ahead of, of course, and the whole cabinet is not getting ahead of it. Mr Recourt also asked what profit you can now gain on safety. At least he asked if I could explain that. In this way, when the provision of supplies is regulated, you have the opportunity to see whether it is actually successfully taken out of the hands of organised crime, or whether you can see that it is no longer in line with the undermining crime and whether it still serves the interests of public order and public health. The criteria for what is now a successful experiment are not very clearly formulated. Mr Van Wely, but also Mr Dittrich, asked for it. They're not like, say, strict mathematical criteria. This experiment is valuable if we get information that will allow the next cabinet to come to political decision-making, regardless of what I said in the House of Representatives in January this year. So we should not focus specifically on health gains or reduction of drug crime. No, we're gonna do the experiment along these lines, and we're gonna see what happens at all these points. Nor should we anticipate what that next cabinet would say or wish to say. Mr. Chairman. Then Mr Janssen asked us to look again at what the experiment would yield scientifically and socially. The experiment is therefore about decriminalizing the back door of the coffee shop and investigating whether the supply can be removed from the criminal circuit. A larger-scale experiment does not necessarily provide more insight into this regulation. Once again, as a cabinet, we were otherwise we had not begun to believe that this experiment, with this size, could also be used to collect valuable information. Although resources are not unlimited, enforcement burdens are not decisive. You have also been able to see that they are indeed included in the experiment. I do agree with Mr Janssen that the experiment is not an end in itself. It is a means of obtaining information that allows a subsequent cabinet to decide on other policies, or not. But at least that's up to that other cabinet at the time. Mr. Chairman. Then I come to a question by Mr Janssen on the report by the Knottnerus Committee. We have taken this opinion very seriously. For the most part, the opinions were taken on board: the selection of ten growers, the supply of a variety of products, the requirements of packaging. We also took over from the second recommendation the municipalities nominated by the committee. Sometimes we have deviated from the advice as a result of discussions with important parties such as municipalities, coffeeshops and police. But that's what we motivated. On the specific issue of the extent of the experiment, the cabinet has taken into account research technical factors other than those recommended by the Advisory Committee alone. I would like to stress that the Knottnerus Committee does not say that this experiment no longer has scientific value if you do so with ten municipalities plus ten control municipalities. But it has been said that you will be able to draw less scientific final conclusions. That's a trade-off we've made. I am going back to my brief little debate with Mr Van Dijk on what I called the original sin; I really think it is very important that we do the experiment with each other now, perhaps with different angles at the beginning, so that we can get that clarity. Then a next cabinet can decide what will be the final path on which we will proceed. Mrs De Boer felt that the G4 should be involved in one way or another. With the research team to be appointed, we will discuss the possibilities of using the expertise in the G4 municipalities. I would like to stress that we are going to try to do this as well as possible, but how the Committee of Inquiry intends to do that, we really need to put it down to her. Utrecht can also be involved in this way, that was a point by Mr Meijer and Mr Recourt, but we must leave it to the Committee of Inquiry. Then there were a few questions from Mr Dittrich and Mr Meijer about monitoring and evaluation. Are we taking on board the aspect that cheap, illegal weed comes on the market in participating municipalities? At the start of the experiment, it is conceivable that the street trade will increase in one or more participating municipalities. That's a bit of a variation at the point that was just put forward. It is very important to monitor the situation prior to the experiment, both in the participating municipalities and in the surrounding municipalities. We need to identify the risks and solutions because of this street trade. That's why we started expert sessions with police, prosecutor's office, municipalities and tax authorities. They serve to develop various scenarios, so that we are prepared for possible measures at the start of the experiment. It is important that agreements are made in the local triangle prior to the experiment to determine the extra commitment needed in a participating municipalities. You have seen that there is also a year of preparation. That's really a year. That's right to set things up very carefully with each other. I'll tell you what, we're gonna do the same. Mr. Chairman. How are we going to evaluate the experiment, asked Mr Van Wely and Mr Dittrich. We informed your Chamber by letter of 15 May last. We're setting up an investigation team. At the moment the WODC is recruiting the researchers for this. It is expected that we will be able to do so by the end of this calendar year. In the letter of 15 May, we also identified a number of areas in which we formulated research questions on cultivation and distribution, supply and use, nuisance and crime, public health and the functioning of the closed chain. I refer you to that letter. I am not going to do it to you, Mr President, to repeat all that here. This research is accompanied by a monitoring and evaluation committee. That committee shall also carry out the final evaluation. Mr. Chairman. Mrs Bikker asked: is that going to give enough building blocks for a next cabinet to improve policy? If it is really good, the monitoring experiment is not only well designed but also well supervised, so that the best possible conclusions can be drawn, I mean "process optimal', before people startle. It is about optimum conclusion content, so that as next cabinet you can say: we now have the results of this experiment and they really help us to see what we have to do. Mr. Chairman. As far as supervision and enforcement are concerned, I have been asked by some Members to reassure them that adequate agreements are being made with the participating municipalities without discussions on money or capacity. The participating municipalities will certainly receive a financial concession for additional capacity associated with participation in the experiment. We'll make arrangements about the coverage. The cost estimate made by the nominated municipalities, including the three border municipalities, serves as a basis. In that case, legal support from our administration has been promised to participating municipalities. If necessary, if mayors become involved in very fundamental issues the outcome of which is important for the experiment, the lawyer of the country will be involved. The cultivation communities. As soon as it is known in which municipalities the growers are located, they will discuss security support with them. As I said to you, Mr President, on a question from Mr Dittrich. We share that this experiment is part of a broader approach to poisonous, undermining crime. That's how I started. Border municipalities also receive a financial concession for additional capacity for supervision and enforcement. The trading stock. The experiment is intended to look at the effects of another design of the coffeeshop chain. We have taken up a maximum of one week's supply as a trading stock. We await the experiment before deciding on the current policy of tolerance, including on the issue of trading stock. That is also the only thing you can do in the light of legal certainty. At the same time, that's all you can do to help your experiment. Coordination of monitoring and enforcement between the actors in the experiment. The administrative supervision will be provided to the mayors, the Dutch Food and War Authority and the Justice and Security Inspectorate. Those supervisors, police and the Public Prosecutor's Office will establish an enforcement arrangement on cooperation and demarcation of supervision. Article 45 of the general administrative measure provides that supervisors may exchange data in the context of the exercise of supervision in compliance with the General Data Protection Regulation. Then I immediately answered Mr Dittrich's point, which I look carefully at through you, Mr President. Then, Mr President, there was, of course, the issue of ensuring the protection of the participants in the experiment. That is a very important point, because we really want the experiment to be as safe as possible. I have said before that we realize that we are going to enter a market, the production of cannabis, where criminals, and in many cases serious criminals, are mainly at the moment. That's why there's this big involvement of the police and the D.A.'s office. We're really gonna see how we can mitigate all these risks as best we can. Again, that is why this Bibob screening is a very important instrument. Mr Van Dijk asked whether we wanted the police capacity or even the army to be deployed for the purposes of the experiment. The task of the police during the experiment is, of course, to detect and enforce criminal offences. That's also true outside the experiment. The task of the police within the experiment is therefore limited. Mr Bruins and I did not intend to call on defence here. Then I have one more thing from Mrs Bikker and then I come to Mr Rombouts' motion. I don't see them right now.
ParlaMint-NL_2019-11-05-eerstekamer-11.u82	He left the room for a while. He'll be right back.
ParlaMint-NL_2019-11-05-eerstekamer-11.u83	That's what I'm gonna do very quickly. No. Mrs. Bikker.
ParlaMint-NL_2019-11-05-eerstekamer-11.u84	I don't know what the minister had in the barrel, but my point was on the police for a while.
ParlaMint-NL_2019-11-05-eerstekamer-11.u85	It's okay.
ParlaMint-NL_2019-11-05-eerstekamer-11.u86	That's okay? Wow, that's extra nice. Thank you. In my contribution, I outlined the difference between an ordinary square metre of greenhouse horticulture and a square metre of indoor hemp cultivation. That's almost a factor of 1,000 difference in yield. That gave me the next question. I saw the enforcement arrangement, but I also see that little extra effort has been made by the police. How real is it that there is hardly any extra effort from the police if that trading stock or the cultivation that will take place there is so lucrative for these coffee shops to rip?
ParlaMint-NL_2019-11-05-eerstekamer-11.u87	In the year of preparation, we must look very closely at whether and to what extent it is lucrative to rip that stock. I do not rule out the fact that the enforcement arrangement needs extra effort. I think we should be very careful. I've seen people come across in the last few weeks in all sorts of so-called talk shows who say, what is 100 or 110 million for undermining against a billion dollars that an organization like this will take up in a year? The people who shout that ignore the fact that, of course, we already have a very large state infrastructure, even without Defence. So we have a very powerful police force, the number six worldwide. He's got his fast cars and stuff ready to go. So we don't have to do that again. You are focusing on enforcement here. Then it's about the extra people, the extra bets on that. But again, I say to you immediately that we are going to look, as soon as we start the preparatory year, whether the arrangement as it is now foreseen is enough, or whether it should be more. The government doesn't start with scratch. The police and the D.A. are of course standing, very well-oiled organizations.
ParlaMint-NL_2019-11-05-eerstekamer-11.u88	The Minister doesn't hear me grumbling about the police either. On the contrary, he has heard me the General Reviews. He heard me today. I bet on the powerful police there is, but who also needs maintenance. We all know it's tight with the police. We all know that if extra policemen are needed, they have to come from somewhere. That's where I care. If this experiment violates the existing corps, and given the value of those trading stocks, it's predictable that it's necessary, then my great concern is that this experiment swallows up police capacity that we desperately need in other places. I would be very sorry if, with the adoption of this bill, we could now prelude on the police capacity that is desperately needed in so many other places.
ParlaMint-NL_2019-11-05-eerstekamer-11.u89	We must be aware that, at the moment, there is also a need for police capacity as a result of this unclear policy of tolerance on the one hand and crime in production and delivery on the other. If we start writing the accounting enforcement balance together in that preparatory year, we will look at what additional police capacity it will generate, but also what it will save in other places in terms of police capacity, for example, because now I come back to it again, we say that every coffee shop in the municipality should participate. I have a great deal of sympathy for Mrs Bikker's point. If you got three coffeeshops out of town in Z, two on parole and another four on parole, it's not gonna work. It should also, of course, lead to other savings in the arrangements in these municipalities, especially in relation to cannabis enforcement. Even so, it may be that we find that we still need to add a little more. Then I fully understand Mrs Bikker's point that we have to be very careful not to make it any more difficult to use the word 'undermining' in other important tasks of the police.
ParlaMint-NL_2019-11-05-eerstekamer-11.u90	The Minister now says: we have all the coffee shops in that arrangement, so that saves police capacity that would be involved. I would like to say the other way around that we also have new municipalities where hemp is grown. So there is also a new challenge for the police. We can't completely get rid of it. I very much entrust it to the Minister and to the Dutch police to calculate exactly the capacity needed to organise this properly, but I would not want to ask for a commitment on that point and a report from the Minister.........................................................................................................................................................................................................................................
ParlaMint-NL_2019-11-05-eerstekamer-11.u91	I note that there is no question.
ParlaMint-NL_2019-11-05-eerstekamer-11.u92	I asked for a commitment. It is precisely this existing police capacity that should not be put under pressure. If you set up this enforcement arrangement with the police, you can, with your expertise, determine what remains of the police by starting this experiment. I immediately believe that there is also a synergy advantage and so on. But I would find it really indigestible if we gave the police, who are already under pressure, even more tasks on this point without showing how we organise it from here.
ParlaMint-NL_2019-11-05-eerstekamer-11.u93	I really cannot guarantee that there will not be any moments when there will be some extra pressure on that police capacity. This may be in the situation in the run-up to a moment when we conclude that an emergency brake must be applied to a municipality. We have to be very realistic about that. I did not quite understand it as a question at first, but I would like to emphasise once again very clearly that our efforts are very much aimed at ensuring that the enforcement arrangements relating to this experiment are not at the expense of the police. That is therefore a very active and far-reaching commitment, but I cannot give a result obligation to the police in this respect.
ParlaMint-NL_2019-11-05-eerstekamer-11.u94	Thank you to the Minister for the answers. Before he answers the questions about organised crime, I have another question about the cultivation communities. I had asked in my first term whether they would receive the same support in terms of expertise, enforcement capacity, communication path and legal assistance. That is what the ten municipalities that participate in the experiment get. The answer to a question by Mr Dittrich on safety was at least: yes, they can also be given to the cultivation communities. But the package is wider. So my question is whether it applies to the whole package.
ParlaMint-NL_2019-11-05-eerstekamer-11.u95	Well, it will always be a different package, because a growing community is of course quite different from a municipality that will host coffeeshops that participate in the experiment. But the security aspects, the enforcement aspects and also the possible legal aspects that could play in a municipality play, a bit translated into that slightly different position of those municipalities, in the same way. So that's what we're definitely gonna make arrangements with them about. Look, a mayor of a coffeeshop community may need legal advice at some point, because there is a discussion with a coffeeshop owner about whether or not he wants to join. And that is a very different legal advice, a very different route from a growing community, where perhaps a neighbour objects to the fact that a greenhouse is used next to him for growing weed. I cannot say that one-on-one, but I hope it will be enough for your Chamber to say that we are going to make agreements on the same subject categories, including the cultivation communities.
ParlaMint-NL_2019-11-05-eerstekamer-11.u96	Thank you. I had been in contact with a mayor of a suspected cultivation community, who was very afraid that this would get over the municipalities. But I hear you say that we do tailor-made work, but we are definitely discussing the needs of these municipalities.
ParlaMint-NL_2019-11-05-eerstekamer-11.u97	Well, the needs of the weed experiment. Whatever else is going on in municipalities is separate from that. I come to the last, Mr Rombouts' motion. I would like to apologize to you, and to you, the other 74 Members, for the fact that I was somewhat detailed in my reply here and there. But that has a reason and that is that, although my portfolio contains a rather wide range of topics, I really see the approach to this serious undermining crime as a very important thing. Not even so much because of the high profitability or I know a lot, but simply because it is not for nothing called 'undermining': it is affecting our society. Mr Rombouts' speech, in the run-up to his motion, was taken from my heart. He knows that, and everyone who's been following my performance for the past two years knows that. This serious drug crime is a very important, nasty, negative factor in undermining our society. Production, trade and transit of drugs, on which I have given your Chamber some figures in an earlier debate on the enormous growth in the transit of cocaine and the like. It makes for very big criminal profits. It is precisely the vulnerable neighbourhoods in our country that suffer the negative consequences of this crime. That was also mentioned by Mr Rombouts. I also understand what he is saying about regions suffering from lucrative drug tourism to a number of major cities, including certainly the capital. Besides, I'm an Amsterdammer, which I've been most of my life. I will continue to do so, but I do take this criticism of regions suffering from it as ministers and as an Amsterdammer. That is why the cabinet has said: it must be roll-up, take it down to the last penny and prevent it. Otherwise, the comparison of the house with the back burning, we may be on the side extinguishing the kitchen and at the front entering a new fire, again recruited people from those vulnerable neighbourhoods. Youth from vulnerable groups or directions. That is why we are also investing 110 million a year, after the previous 100 million on an occasional basis and 10 million on a structural basis, for a speedy start to the broad offensive. I'm just telling those people who say, "What the hell is that?" And then I say, remember, that's on top of the 290 million structuralally in the police force, that's on top of extra money that's already been invested in tackling all kinds of cybercrime and the like, which is also used by these gangs. Now it is clear that 110 million will be added for this broad offensive, as it has been mentioned, against organised undermining crime. In any case, we have achieved the first part of strengthening the approach until early 2021. I sent a letter to the House of Representatives yesterday about that broad offensive, which I will also send to your Chamber. As far as I am concerned, Mr Rombouts' motion adds two essential elements. The first is that the motion states that it must be a long-term structural reinforcement. That is, of course, also a very clear reference to the occasional budgetary resources. He also says that it should also be aimed at preventing and countering standardisation, while in my opinion the word 'prevention' was mainly aimed at preventing new growth from reaching those gangs. For those of you who are wondering what I am talking about: I would like to invite the Committee of Justice to go to certain neighbourhoods in the Netherlands once, where youth work already takes care of boys of 8 in order to prevent them from gradually becoming couriers and slipping further and further. When I talk about prevention, I'm also talking about targeting people in society who have become vulnerable because their income is falling, because they have come into difficult private circumstances, which means that they, as officials of customs or something else, are succumbing to temptation at some point and so on. You have to be willing to design that prevention widely. But Mr Rombouts says that it must also be much more focused on prevention, combating standardisation. This is in line, I say, with what the Prime Minister said here in your Chamber exactly a week ago in the context of general political considerations. If Mr Rombouts agrees, I am happy to take over the motion and, at least in a brief letter, your Chamber will be sending a further confirmation on this subject, in which I will mention a number of points. I will come to your Chamber in the spring with a very comprehensive letter with a further elaboration of those plans. Mr. Chairman. I'm at the end of my first term.
ParlaMint-NL_2019-11-05-eerstekamer-11.u98	Those last words were taken from my heart, to quote the Minister. But perhaps just for the sake of clarity, the following. You take over the motion and you're going to make that Delta Plan. Of course, you're halfway through the offensive. I have used three concepts in my contribution. A Delta Plan is wider than the offensive. It's longer-year-old, it's going to have to be over several cabinet periods. And it will also have to be more structural, but also of resources. Will the Minister confirm that he intends to do the same? This question is about the nature of the plan. The next question is about content. I mentioned four elements in the motion: repression, prevention, resilience and appeal to industries. Once again: repression is reflected in your plans for the last few months. Reinforcement of detection and prosecution. Actually, we agree on that. This social resilience lies in the plans of the Mayor of Amsterdam and the Minister of Justice and Security. But he's going to need other departments to take action in the neighborhoods. Home Affairs, Social Affairs and Education. Does the Minister have anything to say about a third element I mentioned, so that I feel that the motion is really being taken over? That is to address the very sensitive sectors of industry for undermining: the car trade, the banks, the notaries, the organizers of dance festivals, the lawyers, the brokers, those who facilitate much towards undermining. Finally, prevention, discouragement. Sorry I was so tall, Madam President. Maybe you'll never get used to it.
ParlaMint-NL_2019-11-05-eerstekamer-11.u99	Weability of neighbourhoods is indeed a point, especially when it comes to the long-term vision, which is definitely part of it. That is why I am taking over that point. Sensitive industries and that responsibility are issues on which we, as a cabinet, have not so far placed a great deal of emphasis. I admit that once in an interview I raised the question of whether we should have 1,100 festivals in the Netherlands, if a large number of these festivals require police deployment to check if someone has taken two or three pills. Policemen themselves ask me what this really makes sense and b whether they have become policemen for that. Vulnerable groups...
ParlaMint-NL_2019-11-05-eerstekamer-11.u100	Chairman...
ParlaMint-NL_2019-11-05-eerstekamer-11.u101	Let the Minister answer, please.
ParlaMint-NL_2019-11-05-eerstekamer-11.u102	I had focused mainly on vulnerable groups to prevent them from getting involved in crime. But I hear Mr Rombouts clearly say in his motion that you should also focus on those vulnerable groups when it comes to health risks and the other risks associated with drugs. I'll take over those four elements from the motion. There is one element in the motion that stands with a capital D. I ask you whether I can read the motion in such a way that it is not 'Deltaplan' but 'broader offensive', regardless of the fact that one of the Members has already mentioned the dilution of the concept of 'Deltaplan'. I would like to explain my request. Stanley H.'s gang was called the Delta Gang. It's my bad trait to know all unnecessary facts. I have said at some point in the run-up that I find 'Deltaplan' very unfortunate. That's why we called it "wide offensive." I now qualify it as "widest possible" offensive. I would like to underline the four points raised by Mr Rombouts. I said I wanted to take those points.
ParlaMint-NL_2019-11-05-eerstekamer-11.u103	What's in the name? I think that when we talk about a Delta Plan, we think not so much about that Stanley, but about Zeeland. I think we're at least aware that that's gonna take a long time and ask for a lot of bets and money, which you're gonna have to keep up for years. In that sense, I would not like to see my word "Deltaplan" surrendered so quickly. But perhaps the minister wants to turn it into a master plan or a broad offensive. Eventually, it's about what you're gonna do. One of the four elements, prevention, is on your fellow minister's plate. He has spoken very well about it this evening. I would like to say one more thing with the Minister, which could shorten the second term. He says: the cabinet hasn't talked so much about these sensitive industries. I'm a little freaked out by that. The Netherlands is a polder country. We're very good at getting in touch with industries. At the climate tables this happened in a good way. You may be able to argue about the results, but industry has been asked: what can you do yourself? You can sit on top of that. I have also suggested that a Delta Commissioner should do so if it is too much work.
ParlaMint-NL_2019-11-05-eerstekamer-11.u104	What's your question?
ParlaMint-NL_2019-11-05-eerstekamer-11.u105	The question is: in the Delta Plan, would you really like to pay substantial attention to the responsibility of those sectors that I mentioned?
ParlaMint-NL_2019-11-05-eerstekamer-11.u106	In this block-plan, as I have just said, I would like to take up the point of pointing out the responsibility of the industry approach that is needed. About the form in which I'm going to send you a letter in the spring. I would like to say to Mr Rombouts that we have recently had a townhall meeting with entrepreneurs, but also with business associations, to share each other's criticisms and shortcomings when it comes to undermining crime and so on. But on behalf of the cabinet, I would like to say quite frankly that this is a point that we have not yet given much attention to in that office plan, which is yet another plan. So I will at least take that over, because I see it as constructive criticism from your Chamber. Then I guess I'm really done with my first term.
ParlaMint-NL_2019-11-05-eerstekamer-11.u107	Thank you. That brings us to the second term of office. I give the floor to Mr Dittrich.
ParlaMint-NL_2019-11-05-eerstekamer-11.u108	Thank you, Mr. Chairman. What a surprise. I actually thought that my fellow Maiden Speaker was Mr Van Wely's turn, but apparently he doesn't want to...
ParlaMint-NL_2019-11-05-eerstekamer-11.u109	Members may waive a second term.
ParlaMint-NL_2019-11-05-eerstekamer-11.u110	Okay. All right, then I would just like to pass on very briefly a number of commitments that both ministers have made and which are important for the D66 Group in this second term. I have heard Minister Bruins clearly say that young people in institutions are explicitly included in the Trimbos Institute's investigations. That was an important commitment for my group. I have heard that the ministers have answered questions from Mr De Boer of GroenLinks that any date is actually possible for the entry into force of the law and all side-effects. That is also important for my group, because we do not want to waste any time. We want the preparatory phase to enter into force as soon as possible. Internationally, the experiment is discussed openly and transparently. We know that we have good diplomats and good officials who can do that. The Minister himself is also involved in this. This is important because there can always be political veiling, including from the other countries. Politicians often want to act against something because they think this is interesting for a particular constituency. But it's very good that facts are going to be presented, like what the experiment involves. I welcome the announcements on the measures to be taken by the police and the Public Prosecutor against organized crime in order to abuse the experiment or put it in a bad light. I have also noted that cultivation communities are really explicitly involved, including in the context of enforcement. A word about the report by Mr Tops and Mr Tromp. I keep wanting to say "Trump," but it's "Trump." That was indeed an opinion document, which was published after the report, after there was a lot of public discussion about the content of the report. So what I am trying to say is that we should not ignore the views of these two gentlemen simply because they have said in an opinion document that, on the basis of the information they have found, they believe that the direction of legalisation should be taken. I am not saying that the D66 group is promoting it here, because I really want to limit it to the bill we are discussing about cannabis and the ten municipalities. I have also heard that we are looking at Utrecht's involvement in relation to the Committee of Inquiry. That is also a point that is important for the D66 Group. I welcome the commitment that supervisory actors should exchange and coordinate data and that they should consider how to monitor and enforce it in a very good way. Mr. Chairman. Finally, I come to the motion by Mr Rombouts and others. I have the motion here. The motion is very broad; the word "cannabis" is not in it. This is not a critical point, but it is a view of society that focuses on organised crime in the area of hard drugs. This concerns the examples given by the Minister, such as cocaine trafficking. I've also heard Colombia fall. These are, of course, all worrying developments. I do not think there is anyone in the Chamber who is opposed to countering the undermining of the rule of law. I have heard that the Minister says on a number of points that he sees fit to do so and that he accepts it. I conclude my second term with a question to Mr Rombouts: may I assume, as the Minister takes over this motion, that you withdraw the motion and that the debate ends without a motion? Thank you.
ParlaMint-NL_2019-11-05-eerstekamer-11.u111	I suggest that Mr Rombouts raise that point when he has the floor. Or do you want to respond to it now?
ParlaMint-NL_2019-11-05-eerstekamer-11.u112	It might save some reflections on this motion by all the speakers when I say that adopting the motion by the Minister actually means that that motion is not off the table and that we do not have to withdraw it either. The motion is part of the debate, but next week we will no longer have to vote on it.
ParlaMint-NL_2019-11-05-eerstekamer-11.u113	This means that you withdraw the motion and that you consider the Minister's answers to be a commitment.
ParlaMint-NL_2019-11-05-eerstekamer-11.u114	Yes, you're right. I withdraw the motion, but it is part of the debate so far. The motion is in the Acts and the Minister knows what it means. We don't have to vote on it again next week.
ParlaMint-NL_2019-11-05-eerstekamer-11.u115	Since the motion-Rombouts c.s. (' point ) has been withdrawn, it shall no longer be the subject of a debate.
ParlaMint-NL_2019-11-05-eerstekamer-11.u116	Mr. Chairman. I think Mr Dittrich's time is still running, but... Thank you to the Ministers for their reply. It has turned out to be a bit of a debate that I was hoping wouldn't be, but... In response to the maiden speeches, the Minister indicated that he was looking forward to further debates. I do, too, in the sense that I really like debates in which you row against the current, because that gives muscle. Until it turns out that the boat is chained to shore, because then I'll stop. Next time, I think, we will have another real debate. Mr. Chairman. I have some points. Let me start with Mr Rombouts' point before I forget. The Minister said that he took over the scope of the motion, which means that that motion is now off the table. But I would like to ask the Minister the following. If he comes with his letter, will he not confine himself to the four points mentioned by Mr Rombouts? As far as we are concerned, they are not exhaustive. The experiment on which we are going to vote, for example, will have to be a part, or can be a part, let me put it this way, of what the Minister comes up with. It does not just have to be an effect on the four points that have not been mentioned exhaustively by Mr Rombouts. Let me add that to that. I would like to ask the Minister for his assurance that it will be wider than that. Mr. Chairman. Let me say that I have noticed that the word "science" is being used rather selectively in this debate. For example, I have referred to the report of Knottnerus myself a number of times.Knottnerus I and II, I say just for the sake of convenience but I noticed that it was also going to play a role in the THC level. Well, that's where science is leading again. Mrs Bikker also asked: yes, but ethically, isn't that normal scientific? On the other hand, the Minister says: yes, at Knottnerus it is scientific, but it can also be done in a slightly different way. I simply note that it was a rather selective use of the word'science', apart from the Minister's 'rabbits'. Mr. Chairman. As I said, the experiment is a means and not a purpose. This also applies to legalization. If legalisation proves to be a means of achieving the good results, legalisation is not an end in itself, but a means. That is why I have just asked for the measures contained in the letter that the Minister is going to make, because legalization may simply be a good means. Mr President, I should like to leave it at that. I thank the ministers. I look forward to further debates and the last response I have asked of them. Thank you.
ParlaMint-NL_2019-11-05-eerstekamer-11.u117	Thank you. I call Mrs De Boer.
ParlaMint-NL_2019-11-05-eerstekamer-11.u118	Thank you, Mr. Chairman. I would like to thank the Ministers for their comprehensive reply. I will not list what I am all pleased with, but I can largely agree with Mr Dittrich in that regard. I would like to make two very brief points in connection with the debate. One is an observation of the various input and discussions that have taken place. That is why I think it is a little too often that the approach to hard drugs and soft drugs is being treated in the same way. That is what I think it is called. I hear things like "the discussion tilts," in which all kinds of people are quoted who say it has to go the other way. I myself have the impression that this is not so much the case with dealing with soft drugs as with dealing with hard drugs, including ecstasy. I regret that it will all be thrown into one heap in this debate, because I think that will cloud the debate. In that respect, I will mention one point by Mr Grapperhaus which I was pleased with. He said: no, it is precisely this experiment and the possibility of getting out of the criminal sphere of the supply of soft drugs that is an approach to undermining crime. I think that's very important to put first. There was also a lot of talk about normalising the use of soft drugs. I think: if we were to start in a situation where there is no soft drug use, that would be the issue, but we are not in that situation. Soft drug use has been standardized. At least it's normal. It is available in coffee shops. It's used by humans. And in doing so, we need to look for a pragmatic solution: how can we design it as safely as possible, without inviting people to use it and ensuring that criminal activities are limited? I see that I have requested a minute too little, but I hope the chairman will forgive me. I would like to say a few words about the international aspect. I am reassured that the government will continue to monitor international developments and remain in contact with other countries engaged in forms of regulation and decriminalisation. But I also heard Minister Bruins say that he does not attach value to developments in the international context. I find that a little disappointing, because that suggests that no position is taken, in the sense that international regulation should allow for responsible decriminalisation and regulation or at least not block it. I hope, however, that the government will take a little more position in this than merely following developments, and I should like to say that I shall be very careful in doing so.
ParlaMint-NL_2019-11-05-eerstekamer-11.u119	Thank you. I call Mrs Bikker.
