ParlaMint-NL_2019-02-19-eerstekamer-11.u1	The next item is the continuation of the policy debate on the state of the rule of law.
ParlaMint-NL_2019-02-19-eerstekamer-11.u121	They certainly have that special position, also laid down in the Constitution, legislation and so on. But it is an illusion to think that if you gave the judiciary a separate budget number, as the Council of State and a number of other High Colleges of State have, it would be financially untouchable. In recent years, we have had to make substantial cuts. The Supreme Court has just had to deal with this and the Council of State has had to deal with this. So it's not like you're making them financially immune. I told you, of course, I'd like to have all the conversations about the BCG report. There are measures which, in my view, are feasible and desirable and which can also be quickly taken up. But there are also a number of more controversial suggestions and measures. One relates to housing. That's one of those themes. Mrs. Vlietstra asked: how do you deal with that? We have made a clear agreement on this in the government agreement, namely that existing courts and courts are not in principle closed. As far as I am concerned, this is still the case, so the closure of the courts is not, as far as I am concerned, the issue. I would almost say that the motion that she has tabled is superfluous. That's how I'm gonna dissuade it. Then something about Counter-Light. Mr Ruers, as well as others, quoted this and they said: it is bubbling within the judiciary. What exactly is going on and how do you assess the workload yourself? I have already indicated that I take this seriously and that it also has to do with the tight funding. We'd like to do something about that. For example, questions were also asked about the way in which the judiciary is governed. Then I have to say quite frankly that I really want to contradict the Council's image of justice if it is on the line of the Ministry. I know how it goes sometimes in big organizations. Then it is said: the drivers have been sung loose. It really isn't. I have very spicy discussions about finance and digitalisation, where justice really stands in front of the judges and the courts and also really stands up to him. But, of course, there is always a tension between what you as a judiciary, as an organisation, want to regulate widely, for example, take a theme such as digitisation, which I do not think you can arrange individually by court or by court, and how you make sure that there is enough room for individual judges to do their job simply in individual cases.
ParlaMint-NL_2019-02-19-eerstekamer-11.u122	I hear the Minister saying that he is having intrusive talks with judges and with judicial organisations. Fine, very nice. But then it's hard for me to explain the image I'm getting from the judges. I have also spoken to many of them and read all those pieces. They feel displaced and cornered. They have always thought: the Council of Justice is here for us. That's how it started once, as a buffer zone. It's in the pieces. Now they feel that they are becoming a production company: "The Council of Justice is not on our side, but against us. There's money shortage and the board's remote. We are a bit the forgotten corner of the judicial organisation." That's the image that you get very strongly from those surveys. It is widely felt and they feel, as it were, grieved. That's a statue. You have a different picture. Looking at these contrasts, I would like to ask you: go again into intensive conversation with the judiciary. If you see it that way and they see it very differently, then there must be something to discuss, I would say. My invitation, my request to you is: invite them and just discuss this openly with them.
ParlaMint-NL_2019-02-19-eerstekamer-11.u123	I'm gonna go on that invitation right now. I know that the new President-in-Office of the Council has taken this on board as something he wants to devote a lot of time and attention to in the coming period. Recently, in a debate on the other side, in response to an initiative by Mr Van Nispen and Mr Grothuizen of D66, who said 'we see that there is some kind of disconnect between the judges who are in practice and the directors', I promised that I would find that a very serious point, which I would like to dive into. I do not want to anticipate what the solutions are. Solutions are sometimes also too easy to think institutionally. If you were to appoint the directors along the line of elections, so to speak, the problem would be solved. I don't believe in that. I think something has to be done, and that starts with a good conversation. What does an individual judge need? Where exactly is his or her concern? How come he feels more and more like he's becoming a production machine, when he's actually chosen the profession for another reason? I admit that I will pay personal attention to this. Mr. Chairman. A few questions have been asked about governance, among others by Mrs Van Bijsterveld, who asked: should you not also look at governance once again, at the structure of the judicial organisation? Ideas on this are also laid down in motions by Mr Backer and others. and Mr. Ruers. I'm reluctant to do that. I would very much like to have this conversation, but recently the Kummeling Committee, which has carried out the review of the judicial card, strongly recommended: do not change the structure, because the organisation is still catching its breath from the previous one. Change of structure on structural change is not going to have the effect that we all aim for. This is not going to work out positively for the judicial organisation. When I see what challenge we all face, solving the financial problem, seeing if we can make a start on digitisation, and then I haven't even talked about the innovative forms of justice, I can see that the sign is already incredibly full. If a structural change is made, my experience shows that, in the coming years, a great deal of attention will be devoted to reorganisations and not to the improvement of the primary process. I'm a little hesitant there. That is also why I would at least like to discourage Mr Ruers' motion to fundamentally review the Law on the judicial organisation. I am also hesitant to go along with Mr Backer, who is asking for a whole vision, which I also read in that it should lead to a structural change.
ParlaMint-NL_2019-02-19-eerstekamer-11.u124	Mrs. Strik.
ParlaMint-NL_2019-02-19-eerstekamer-11.u125	I believe that this is of a different order from, for example, the revision of the judicial card, which makes real physical changes to the entire infrastructure. The Minister has just indicated that he is going to look at the governance structure and the role of the Council for Justice, and that he is going to discuss it. If he finds out that this is an important factor that keeps that gap going and that is how this workload is perceived, is it not logical to be prepared to find solutions to it?
ParlaMint-NL_2019-02-19-eerstekamer-11.u126	You should never argue like that with blinders. It may well be that with certain adjustments, including in the structure, we ensure that it works better. If both the Council for Justice and the people in the workplace agree on this, who would I be to say that I am against it? However, it should not be the idea to say now: we are going to take a very thorough look at whether we should go through with the Council of Justice, which we created with the law of 2002. When it comes to these minor adjustments, there is something in the pipeline that would address a number of concerns raised by both Mr Backer and Mr Ruers. I would like to mention the concern about the way in which the members of the Council are appointed to the Court of Justice and, in practice, my role in it, as well as the role in it. I believe that this procedure can gain in transparency. More can be done to support, also in a formal sense, through a more direct involvement of the judiciary in the appointment of the members of the council. If you look at the role of the minister, there will have to be one here and there. It's not that big at the moment, by the way. I have had two appointments recently and it is not that I have a huge finger in my mouth there. I actually want this role to be better defined and perhaps a little more limited on one part. I'm working on a bill to settle that. After it has been discussed in the House of Representatives, that will also be on your side.
ParlaMint-NL_2019-02-19-eerstekamer-11.u127	To make sense of each other, "I'm working on a bill to settle that." You said a lot of things at once. What's "that"?
ParlaMint-NL_2019-02-19-eerstekamer-11.u128	"That" is an amendment to Article 85 of the Law on the Judicial Organisation, which governs the appointment of the individual members of the Council for case-law purposes. There are three things I wanted to do. One. Increasing transparency, so actually a more detailed description of how that process is going, so that it is clear to you, it is clear to the courts and it is clear to me whether my successor is clear. Two. There, formally, a more direct involvement of the members of the judiciary. That's from the practice, you might say. Three. A limitation of the role of the political principal in this, of the Minister. Those are three parts that I'm trying to get into a bill right now. Mr. Chairman. Then some questions have been asked about the digitisation. That is also one of the subjects that I say: yes, the situation is really not dry, but there has been really good work done by the Council for Justice over the last nine months. Together, by the way, perhaps more than before, in consultation with the Presidents of the Court, in order to get together a picture of where we want to go. I said just before the summer that I feel that there is disagreement in the organization about where it should go. You may try to digitize, but then I know one thing for sure and that's that it's gonna fail. Big steps have really been taken to achieve better governance agreements and agreements on what we want to do together. It's cut more into bits and pieces. I think that, given KEI's size and scope, too big and too ambitious. You can see that it has gone well in a number of areas, but has failed in governance and civil. There is now a new plan, smaller, clearer, better. Is that enough to make the start, too? I think there is another test to be done, the so-called BIT test. We have also agreed on this. Where the judiciary was not previously covered by the BIT test regime, it has now voluntarily said: we are going to deal with that. I hope to be clear about this in the summer of this year. Mr. Chairman. Mrs Vlietstra asked at what time we are going to require that digital litigation. The final point on the horizon must be that justice is going to take that step over the full breadth. We have now said that we are going to do this first on a voluntary basis, with small steps. This will be done when digital litigation, also on the basis of experience, has proved successful. The starting point is that KEI legislation should provide for compulsory digitisation for professional parties at that time. Individual citizens will always have the opportunity to sue on paper.
ParlaMint-NL_2019-02-19-eerstekamer-11.u129	Mr. Secretary, I see another interruption by Mr. Backer.
ParlaMint-NL_2019-02-19-eerstekamer-11.u130	It's a very short one. With one of your predecessors, Mr Van der Steur, we have had a fairly long debate here on whether he would ultimately be involved in the debate, and I do not like the word "involvement" to ensure that all the chain partners would be involved. It took some pushing and pulling, but he finally promised. May I assume that's still true here too?
ParlaMint-NL_2019-02-19-eerstekamer-11.u131	Yes, the legal profession must of course also be included and all other chain partners must be properly connected to it. Actually, I think it's a good example. Ferd Grapperhaus just said something about it. In the criminal justice chain there is also more and more development from the chain: so not along the vertical lines and looking at how to connect it together, but you see if you can think much more in processes. The Justice Council now intends to take the first step towards digitisation. This is much less ambitious than the original KEI programme, which also wanted to make the leap directly towards automation of processes, which ultimately had to be saved. I think that is an understandable choice. It is a pity that it all takes more time, but better something smaller and ultimately succeeds than something ambitious and stuck again.
ParlaMint-NL_2019-02-19-eerstekamer-11.u132	Mrs. Duthler still?
ParlaMint-NL_2019-02-19-eerstekamer-11.u133	A very short question. Maybe I missed it. Can the Minister indicate when lawyers can permanently store their fax machines?
ParlaMint-NL_2019-02-19-eerstekamer-11.u134	I hope as soon as possible. That is why I welcome the fact that the Council has now said before the case-law: we are starting to digitize the whole chain before we start to automate further. The fact that digital means can sometimes make it difficult to communicate with the court, I really don't think of this time anymore. That is where the priority must be, as far as I am concerned, and that is where it is now. Mr. Chairman. Then there was Mr Backer's question when he could face the Law of Experimentation. It's in the Council of State right now. I'm hoping for advice soon. Then it goes to the other side and then it comes your way. It is an important legislative proposal, because it makes it more possible to do things within scope and within time that the Code of Civil Procedure does not allow at the moment with neighbourhood courts or for example divorce courts.
ParlaMint-NL_2019-02-19-eerstekamer-11.u135	Mrs. Vlietstra, at this point?
ParlaMint-NL_2019-02-19-eerstekamer-11.u136	Still on digitization. I welcome the answer that individual citizens always have the opportunity, I say, to sue through paper. That seems important to me and also in line with the WRR advice Knowing is not yet done. I also asked about the costs. These have been calculated at 11 million for this basic plan, of which the Council says for the case-law that they can carry 3.4 million of them themselves. Can I explain that the Minister is prepared to put the remaining 7.6 million on the table?
ParlaMint-NL_2019-02-19-eerstekamer-11.u137	We need to have that conversation if the BIT test is positive. I see that the case law does not have those resources at the moment, but I do not have them one-two-three on the shelf either. This is typically such a subject that, for example, we need to cut the Spring Note.
ParlaMint-NL_2019-02-19-eerstekamer-11.u138	I hear the Minister say: this is a point for the Spring Note.
ParlaMint-NL_2019-02-19-eerstekamer-11.u139	Because it's for the running year. It can be done with the Spring Note and, if necessary, with the Autumn Note. We need to see how we do the timing right. Then it also depends on the available space. I have said this to the Court of Justice, also to reduce expectations: I am very pleased with the plan that is now in place; please continue with it, but it has not yet been financed. In the worst case scenario, it may also lead to a positive BIT and we all have to come to the conclusion that the resources to start in the short term are not available. I hope things work out differently, but I think I should be open and honest about that.
ParlaMint-NL_2019-02-19-eerstekamer-11.u140	Does it mean that at least this year there will be clarity? Spring or autumn I hear the Minister say. I can assume that, in view of the great importance of this subject, I would just like to point out the response that he has just given to Mrs Duthler that the Minister is committed to resolving this in the spring note or in the autumn note.
ParlaMint-NL_2019-02-19-eerstekamer-11.u141	I'm sure you can count on it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u142	No one dares ask, but what is the BIT test?
ParlaMint-NL_2019-02-19-eerstekamer-11.u143	Yeah, that's a good question: what does the BIT key stand for? Let's see, does anyone know? It's just a little interrogation. Do you know? Administrative IT test?
ParlaMint-NL_2019-02-19-eerstekamer-11.u144	Yes, an agency that tests the effects of IT on feasibility, cost...
ParlaMint-NL_2019-02-19-eerstekamer-11.u145	I know exactly what it is, but what does it stand for? It's the test we've had since the Elias Commission to see if IT projects are solid enough, feasible and real. We have now had good experience of this in the departmental ICT projects, but the judiciary was not under that regime. We have said that KEI has become wise because of damage and shame. I'm gonna see what BIT stands for anyway. Mrs Vlietstra asked about the funding of socially effective...
ParlaMint-NL_2019-02-19-eerstekamer-11.u146	It stands for Bureau...
ParlaMint-NL_2019-02-19-eerstekamer-11.u147	I do not think it is necessary for this to be exchanged, in the context of speeding up the debate. You can google it all. The Minister continues.
ParlaMint-NL_2019-02-19-eerstekamer-11.u148	The roll-out of socially effective justice and how it is financed. It is at present at a level that it can be absorbed in its own budget. We're not ready for a big rollout yet, because it's all really still in the experimental phase. There's a community judge who's gonna start in Eindhoven. There's been a neighborhood judge in the north of the country. There is a family judge who does multi-problem cases in Rotterdam. That must run for a few years and then it must be evaluated to see if we can draw lessons from it. One of the lessons must be that by some other way of case law it will somehow get better and perhaps even more profitable in the long term. I can imagine, for example, that we are having discussions about the fact that sometimes it makes sense to spend a little more time in front of us on the first examination of a case in order to prevent them from coming two or three more times. Those are the ways we want to look at that. This does not necessarily result in an additional seizure of the finances.
ParlaMint-NL_2019-02-19-eerstekamer-11.u149	I would hope the minister was a little more ambitious. The way I'm listening to it now, it may take a few years before we start introducing this kind of innovation on a larger scale. You pointed out the neighborhood judge in the North of the Netherlands. That was almost another year ago. Everyone was so excited about that experiment. It would be a pity if we then had to wait a number of years before it was introduced into other courts as well. I would like to know what the Minister's ambition is. At what point does he think that civil justice, to use that word for a moment, should also be substantially applied, justice wide?
ParlaMint-NL_2019-02-19-eerstekamer-11.u150	I am not quite sure whether I have sent the letter from the Council of Justice on this matter to the Upper Chamber. In any case, I have recently sent it to the House of Representatives. I can tell Mrs Vlietstra that at the moment there are forms of social justice, of these experiments, of those pilots, in every region. Only, in one place that is in relation to criminal law, in another place it is in relation to family law and in another place it is in relation to debt. For example, each court has picked up one or two of these themes, giving you a whole palette of different species and learning from them. So it is not that we do it in one place in the Netherlands and then wait years before we do it in the rest of the Netherlands. As we speak everywhere in the Netherlands is being experimented with new forms of justice. Then there was the question about the absenteeism investigation. There's two things going on. At present, before the Court of Justice, the Council has to examine whether appeals to the courts and the number of judgments in absentia are developing differently from elsewhere in the districts where canton sites have been closed. So that's actually a very wide-ranging investigation. In addition, I asked the WODC to investigate the extent to which there is a relationship between travel distances to legal locations and the use of justice, specifically in the areas where the revision of the judicial card cancels canton locations, but where more attention is drawn to whether different developments can be seen in different groups of plaintiffs and defendants, in order to get a more layered picture. Both studies are scheduled to start this year and I expect that they will also be completed this year. Mrs Van Bijsterveld asked another question about the increased involvement of specialised lawyers as a judge-alternate. For example, a reason to employ such a specialised lawyer can be his specialised expertise in certain cases. That can therefore be such a specialised lawyer, provided that he does not practise his lawyer's practice in the same district as the one in which the case is dealt with. That rules out the law. That legal limitation is intended to prevent conflicts of interest. There is, therefore, a possibility of this, and this is also being used. Mr. Chairman. Then I wanted to make the bridge to legal aid. It is quite right that several questions have been asked about this. I'm sure you've also been following the discussion we've had across the street. There too I have said that I understand that there is a lot of emotion and there are a lot of concerns about this issue for two reasons. It is a fundamental pillar of our rule of law, so it is not a small thing. Legal aid is also intended for a target group which is particularly vulnerable because of its income and social position. Where these two things come together, we have irrevocably a lot of discussion and debate, and of course all of that in the light of a discussion that did not start yesterday, but has been going on for a very long time. We've got three, four thick reports showing problems. The social lawyer says, and rightly so, that we are concerned and the fees are below par. When I look at everything on the table, I must say that in this form our legal aid system is not sustainable towards the future. In this way, we cannot sustain this unless you decide to put a great deal of extra money into it. The cabinet has said that we do not do so, also for the reason that the Netherlands already spends a great deal of money on legal aid, more than 400 million a year. That beautiful book just showed by Minister Grapperhaus also shows how the Netherlands is doing internationally in the fields of legal aid and legal aid. We're pulling out two to three times as much per inhabitant as our neighbors south and east of us. In an international perspective, therefore, we are spending a substantial budget on legal aid. I just think we can and should do better for that money. That's what these contours are about. The starting point for this is that not only everyone must have access to the law, but there is also independent legal protection and high quality services. As far as I'm concerned, we're gonna work on a few things. The first is more accessible information and advice, not only for the target group who can now claim legal aid, but as far as I am concerned for everyone in the Netherlands, in order to respond to Mrs Van Bijsterveld's question. In addition, we need to look at what someone needs to get the really right help to solve their problems and not just their acute legal problem. Often there are also underlying problems that we need to be able to address. That requires a different way of assessing it. I call that triage. The idea is that the legal and social domain are taken much more together and that it is also considered which kind of help is the quickest way to find a solution. If you need a lawyer, you need a lawyer, but there are often other ways you can walk that can also lead to a good solution. In this way, we want to gain more control over costs and quality. Mr Backer used the term'self-help packages', but these are legal aid packages. They consist of a combination of advice, mediation and, if necessary, an attorney, if you need him. Then there is an integral price for an integral solution to your problem instead of the current system with points and flat-rate fees. We look at a different way of dealing with one's own contribution, of course with carrying capacity, with hardness clauses and pay-off arrangements, but a little more related to the heaviness of the help you receive. If we all do that, I think there's gonna be room for better compensation for the sector, for lawyers. Another important element is that I think that if we are to do this, we should also put our hands into our own minds and see what we, as a government, can do to reduce unnecessary judicialisation and unnecessary procedures. That means acting on a number of steps. I'll say something about that later. In the direction of Mr Backer, I might be able to correct a misunderstanding. He suggested that it looks like the Legal Loket is being dismantled. He said that first-line care is so valuable, isn't it? My reaction to that is full yes. The basis of these plans is a reinforcement of the first line. We're gonna need the Legal Loket for that. As far as I am concerned, we are not only strengthening the first line, but also broadening the first line. That is why I have often abandoned the idea of the Legal Loket in the discussions, because I think that in the case of that triage at the front, not only should we look at legal glasses, but also at what someone is in debt and whether someone has other problems at home or problems in the family sphere. The social domain also comes around the corner.
ParlaMint-NL_2019-02-19-eerstekamer-11.u151	I see a lot of people trying to create an interruption. First Mr Backer, then Mrs Van Bijsterveld.
ParlaMint-NL_2019-02-19-eerstekamer-11.u152	The Minister will explain again why he has come to these plans. We must make a contribution in this Chamber to the discussions that have taken place. I have focused it, including in the motion, particularly on the formal trajectory. That is why I have to say something about what you call triage and about different species. In the end, it is essential that you have the right to access legal aid. It shouldn't be income-related. As a young lawyer, I myself worked in the Office of Legal Aid. The characteristic feature of most legal aid questions is that the question of assistance needs to be formulated first. Most people don't know their own needs. There the Minister concludes that it is therefore not a legal question and that others should therefore look at it. That's an observation. I have two points I would like to make right away. Then we've only done it in one go. The Minister says that the whole system is going down. That's what my point of the formality was about. I just wrote down what he said: if you're going to make a structural change, everyone will be doing it in the next few years, and we already have so much on our plate. The same applies to this. If I wanted to find an intern in the social attorney's office, I wouldn't accept it, because this is a dying business if it goes on like this. I'm not gonna do professional training anymore, because everyone's reorganising. So I think the Minister is going down a road that is far more fundamental from what we are doing now than he himself is aware of.
ParlaMint-NL_2019-02-19-eerstekamer-11.u153	Let me start with that last one. What I propose is fundamental in a number of areas. And yes, that will also have an effect on social law. The social attorney's not gonna disappear, because we really need it. And there are also real jurisdictions where you can ask, with automatic grants and additions, for example in criminal law: do you have a lot of opportunities to do that in any other way? But there is the current system of flat-rate funding, the point system. Moreover, there are three reports which state that this also has disadvantages and that there are also perverse incentives, because litigation is rewarded more than finding a solution in an easily accessible way on the front. Then we need to see if we can organize that in another way. Look, my question is always: who are we doing this for? That's the question. Then the honest answer is: we do this for those who seek justice. And yes, then you need lawyers incredibly much and they do very important work on parts as well. But we're gonna do it eventually for the righteous. I can see that sometimes they can find a solution to a problem that is perhaps much more sustainable than the solution via the corridor to the judge. Let me compare it a little bit with the care. If you have a knee pain in your care, you don't go to the hospital specialist immediately. Then you also go to the general practitioner: a generalist who can think with you, who can give you an advice and who can refer you if you really need to. But he might also say: go first to the physiotherapist to see if you can get rid of that pain without surgery.
ParlaMint-NL_2019-02-19-eerstekamer-11.u154	So this is where things go wrong. The general practitioner is a professional. He's trained in health care. That's not what you call the triage in the front. I do not know at what level people are going to do that, but of course it must be cut back and it must not be done by lawyers. You are now creating an improper contradiction. Who are we doing this for? Yeah, we'll do it for the judge, of course. By saying that, you are already suggesting that those who criticize this would do it for someone else, as if they were doing it for a profession. No! No, Mr. Chairman, we don't do that when I speak for myself.
ParlaMint-NL_2019-02-19-eerstekamer-11.u155	That advice at the front has to be done by competent people. That must therefore be done by people who understand the law. I also said in the House of Representatives: I can also imagine you sticking a lawyer, for example, to the Legal Loket, or sticking to that triage function, to look into the complex cases and determine: do you have to make a case out of something? But then I'm going back to the current practice. I see that it is still far too often that the first line is skipped at all. In addition, people don't go to the Legal Loket anymore, but they immediately go to a lawyer to talk: how can I solve my problem? Yes, then there are legal glasses and then it is not so crazy that the solution is a legal one. You may then wonder if in all cases that is always the best solution. I don't believe it, and I want to get rid of that standing practice. I do not like the fact that there are law firms in the Netherlands that are actually recruiting people through acquisition. They say: you don't actually have to pass the Legal Loket, come to us immediately. That is simply not good and the Wolfsen report also says a few things about it.
ParlaMint-NL_2019-02-19-eerstekamer-11.u156	I see Mr. Ruers standing by the microphone, but Mrs. Van Bijsterveld was first. Or would you like to join us on this point, Mr Ruers? That is not the case. Mrs Van Bijsterveld will have the floor first.
ParlaMint-NL_2019-02-19-eerstekamer-11.u157	I hear the Minister say the word "integral." He uses that word to refer to the nature of the problems, to legal and non-legal problems as a whole. Is the Minister saying that he also applies that concept "integrally" to the property positions of those seeking justice? Let me get this straight. Then I will also come to the point I raised. It would be a bit crooked if, on the one hand, we were dealing with a group of people who have easy access to legal aid through social lawyers, while, on the other hand, we were also dealing with people who are in a different category, who have a gatekeeper in the form of an insurance policy, or who do not even have access to it because they know that it is simply financially out of their reach, even if they are not completely under- or under-powerful.
ParlaMint-NL_2019-02-19-eerstekamer-11.u158	Exactly. This is a very good example of what Mrs Van Bijsterveld has to say. These people are gonna have to pay the full price of a lawyer's commercial hourly rate, and they're gonna say, "I'm not gonna do it." This is exactly "the fall of the middle groups." That's what committee chairman Van der Meer called it. That says: there is a very big gap between those who are in the legal aid system, and that is 40% of the Dutch people, and those who are just above it. And I believe that with the development of legal aid offices, an integral price for an integral problem, it will also be more attractive, for example, for those who are just above the Wrb border. They can say: hey, I know what I've lost and I know what solution I'll get. So I think that what we are doing now for subsidised legal aid can also provide relief for that group just above that border. At least that would be my drive.
ParlaMint-NL_2019-02-19-eerstekamer-11.u159	I was a little worried about the Minister's reaction to Mr. Backer's remark. I fully agreed with your comment, Mr. Backer. There is an image that I do not think corresponds to reality. Let me give the Minister an example. A few years ago, your predecessor once informed us of the situation regarding access to justice. Research had then shown that of all legal disputes that exist in the Netherlands, only 4% ultimately result in a dispute with the courts. The question then was, of course, what did they do with the other 96%? A lot of cases disappear because people don't see a chance to prosecute that legal procedure. So there's a really big gap. You're acting like it's coming up great and people are all walking to these lawyers. It's much worse: a lot of people don't get their rights, they don't get to that judge and they don't get to that lawyer. They just stay at home with it. Then we're lucky to have The Driving Judge et cetera. We're gonna have the Justice of the Peace now, too. I understand that this is being investigated in the Netherlands and Belgium. There's still a huge hole in legal aid that's not being filled up. Here's what I want to ask you. You're in favour of those alternatives. Me too. The more low-threshold you can fix it, the better. But a judge of peace, a district judge or whatever you call it costs money. If these people go to those judges and that organization later, will you be willing to finance that, too? Because there's a very large group in the Netherlands that just doesn't get anything right now. These people don't get anything because they just don't get over that threshold. That's something to think about. You call that small group that goes to court, but the group that doesn't go, sits at home and has had bad luck, is much bigger.
ParlaMint-NL_2019-02-19-eerstekamer-11.u160	Not everyone who doesn't go to court has had bad luck. Fortunately, a lot of legal problems are solved in the Netherlands without the use of a judge or a lawyer. And that is a good thing, because that is often a very sustainable solution to the problem. Mr Ruers asks me: do you realize that if you want to do something about strengthening that first line, and you want to make it more accessible, that also costs money? Yeah, I realize that very well. But I also think that an investment in a better first line, closer to people, will eventually pay back. That first line must be really closer to people, so as far as I am concerned there will be a consultation hour in libraries or at the town hall, or there will be a link with the social neighbourhood teams. Indeed, if you tackle a problem earlier, the solution is in my view also more advantageous. Then you avoid a lot of stress and a lot of human suffering. But in my view, it is also socially justifiable in the end.
ParlaMint-NL_2019-02-19-eerstekamer-11.u161	I had the impression that the Minister made a bit of a caricature of the social lawyer. Those aren't people who recruit and see it through legal glasses. I know a lot of social attorneys who deal with problems in an integral way. They often refer to debt relief or you name it. And they are also very well connected to neighbourhood teams in community centers and so on, and so on. Only the difference is that there is no portal for it; so it goes much faster. If there are problems, they get caught much faster and they're with the right person. Can we not also have a little more confidence in the professionalism of the social lawyer, who is also focused on finding solutions and not just on making money with procedures?
ParlaMint-NL_2019-02-19-eerstekamer-11.u162	This is a good point from Mrs Strik. In the discussions we have, I am often critical of the system, but that does not mean that I criticise the individual actions of social lawyers. I have also met social lawyers who go through walls for their clients who are nowhere to go and who have only stood in front of closed doors. They ensure that these people are heard and that a solution is found to their problem. But then I am equally critical of the whole system; that is the other side of the story. A lawyer is an expensive paid specialist. If we think that the fee for lawyers should be increased, I think that..... we should also look at what work can be done by an expensive specialist and what light work can be done by others. I do not agree that referrals to, for example, a debt relief team or addiction care should be made through the lawyer. This must be done by strengthening the first line, where it can be much closer to people and more financially sustainable. That's a much better approach.
ParlaMint-NL_2019-02-19-eerstekamer-11.u163	However, I would like to comment on this. I do not mean that the lawyer then acts as a gatekeeper, but that there is a legal question, looking at how access to justice can be achieved and at the same time the lawyer is aware of the multi-problem that there is. But you don't have to pull it apart for that, so the gatekeeper does one thing first and then the access to the law still has to be realized. Because the fear is, of course, that that next step is hampered by the advice of the gatekeeper. I assume that the Minister will come back to that because I have also tabled a motion on this point. But of course, this is a big problem: if that is rejected, then we really have to deal with a violation of the principle of equality, because people with low incomes will not be able to achieve their rights.
ParlaMint-NL_2019-02-19-eerstekamer-11.u164	No, we're not gonna do that either. We're not blocking, and that's why I'm trying to avoid the word "gatekeeper." It's not like someone else is gonna decide for you whether or not to hire a lawyer or go to court. However, I believe that there can be much better advice on the front and that there can also be an incentive, including for those seeking justice, to first try, where possible, whether it can be done in a light way, in an amicable manner. For example, by checking mediation first before really making a case and dragging it to court. So: first try to solve a problem with advice. For example, someone sits next to you, picks up the phone and calls the benefit organisation because a mistake has been made with the benefit or because late payment has been made. That really doesn't have to be a lawyer, but that could also be someone with an HBO education who knows the subject and who knows the entrances to the Social Service. Someone who says we're just gonna make two phone calls to see if we can solve the problems that way. I can see lawyers doing that now, but those are the expensive specialists right away. I think that using HBO-educated people, paralegals, mediators and mediators, we can manage to do the light where the light can be. Then we leave the specialists where it must be difficult and where the hallway to the judge should really be made. In response to your motion: your own contribution will not be made dependent on the opinion. I've had that discussion across the street. We are actually doing what is requested in this motion. That would also make the motion superfluous. I think it's a standing practice to discourage the motion. So it is not the case that an advice for you determines whether you are going to pay a higher or lower contribution.
ParlaMint-NL_2019-02-19-eerstekamer-11.u165	For the next interruption by Mr Ruers, I should like to look at the spokesmen on the side of the Chamber and the Minister. It is undoubtedly an important debate and there must also be room for a good debate, with interruptions, but at the same time I note that we are now running out of time. I would therefore call on the Members of Parliament to limit the number of interruptions or at least to make them extremely short and concise. I would also like to call on the Minister to remain brief and concise in his reply, otherwise I fear that we will still be here after midnight. Mr. Ruers.
ParlaMint-NL_2019-02-19-eerstekamer-11.u166	I share your concerns, Mr. Chairman, and I will be brief. I am annoyed, if I may use that word, that the Minister is always talking about a "expensive specialist" of social law. I know who they are, and I know what those people deserve. We figured that out a few years ago, too. A social lawyer's salary is very limited; no large salaries are collected. It's just a specialist in his field, as well as others. I do hope, then, that if I am looking for justice, there will be a well-qualified lawyer who will help me, because it can often be about very big interests. So you should not use the term "expensive specialists." It's a specialist who gets paid fairly, but certainly not a fat salary.
ParlaMint-NL_2019-02-19-eerstekamer-11.u167	I'll admit this immediately. Mr Ruers certainly has a point there, because at the moment there is no reasonable remuneration for the social lawyer. I also think that compensation should be increased. The point I wanted to make is that it is logical that a lawyer, even later in the new system, should be paid more than someone with an HBO education, a mediator or mediator. We will be able to differentiate a little more in the approach: when are you going to use heavier help with a lawyer who, as far as I am concerned, is going to make more money in the future, and when are you going to put in lighter help that might also be cheaper?
ParlaMint-NL_2019-02-19-eerstekamer-11.u168	Mrs. Vlietstra. I would once again urge both the Minister and the Members of Parliament to be brief in their questions and in their answers.
ParlaMint-NL_2019-02-19-eerstekamer-11.u169	I'll do my best, Mr. Chairman. I'm trying to imagine how things are going to be in practice. I hear the Minister say that the first step is an easy-to-access advice for everyone. The next step is to see what someone really needs. That could be a legal aid package, but it could be a lawyer. Who ultimately decides whether it's going to be one or the other? Next, the Minister says that the contribution someone has to pay is related to the heaviness of the support. Do I have to deduce that someone who chooses to go to a lawyer has to pay more than someone who chooses a legal aid package? I would find that extremely unfair. If anyone thinks he needs a lawyer, then that lawyer should be accessible, even if you have a low income? Then you can't say that the contribution depends on the services and the extent of what the lawyer is going to deliver? Then there is my final point. How does the Minister feel about the acute problem that we now have, namely that social lawyers receive too low a fee for what they do, and the Minister also thinks that they should solve this problem? This route will take years before you have implemented it in such a way that it will also yield a substantial amount.
