ParlaMint-NL_2019-12-11-tweedekamer-11.u1	The next item is the Act on Language and Accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u112	I just want to make sure we have the right number, because we're gonna write the judgments right away. Are we talking about the amendment to item No. 21, I ask Mr Van der Molen. No, that's about the generic exemption. I would like to ask the President-in-Office of the Council whether he is prepared to accept this amendment. 23 or 24. He's checking. We'll get back to you.
ParlaMint-NL_2019-12-11-tweedekamer-11.u113	In any case, it is also an amendment by Mr Bishop, in respect of item No. 11 and my judgment on this is positive. For most institutions, of course, the legislative proposal as it was submitted already provided for them to have a language policy. We do not have so many institutions that do not have any other language courses at all, but it is of course never wrong to say that an institution should have a language policy anyway. All institutions have an obligation to promote the expression skills in the Dutch language of their students. Mrs Westerveld also had a question. An AMvB will be created for the obligation to promote expression skills. She asked me why I didn't pay for it. Why? Because this is in fact not a task increase, because that obligation already exists in the institutions on the basis of the current law. In that sense, therefore, it is more a derogation from the obligation in the current law. What is further regulated in this legislative proposal is that the choice of another language is made at the level of training and with the involvement of participation. That was also a question from a number of members: participation is also involved in the choice of the other language. Higher education institutions are also obliged to ask the NVAO for approval if they wish to provide training in another language. This is the case when two thirds of education is designed in another language. Why now the criterion of two-thirds? We have tried to set up the legislative proposal in such a way that it is feasible for the NVAO and that the administrative burden is somewhat reduced. This means that if you really have two thirds of your education in a different language, it is completely different. Then it is also enforceable for the NVAO.
ParlaMint-NL_2019-12-11-tweedekamer-11.u114	I was in Maastricht last Monday. There they really have a very rich offer for foreign students. Mr. Chairman. In the MBO too, I actually want to take another step towards internationalisation. That was also a question from Mr Wiersma. He was absolutely right when he said there's still a world to be won. One of the ways in which we do this is, for example, by shaping the reverse regulation and now creating a legal basis for it. This makes it easier for foreign students to obtain their MBO degree in the Netherlands. They still have to master Dutch at a minimum level, but there are wider possibilities for the other language. One of the interrupting debates showed that this offers great opportunities for border regions, because it would allow trade unions to be exchanged across the German border. That's what we want to do. Mr. Chairman. Mr Wiersma and Mr Van de Molen have tabled an amendment to exempt a number of training courses from the NVAO's obligation to consent. They say that you could do that if the added value of foreign language is obvious. I agree with them. It keeps it more workable and saves our workload and unnecessary bureaucracy. So that amendment in part No. 13, I'd like to give judgment Room. I understand that they also like to watch with me to determine which courses are involved. I think we can come up with a nice list together. I will also refer it to your Chamber. We can all imagine training where that is obvious, but there will always be a few points of discussion. GroenLinks and Mr Bruins had a question on Rule 1.3. The expressive skills that we require for Dutch students, we will work out in more detail in an AMvB. They're asking me if I'm willing to put that in front of the Chamber. I'm willing to do that. And I think Mrs Westerveld asked if you could do this without AMvB. Basically, you can. If your Chamber so wishes, you are free to amend on that point. We have chosen a different route, and if the question is whether I want to put that AMvB before the Chamber, I am happy to do so. Mr. Chairman. I have responded to Mr Van der Molen's and Mr Bishop's question to ask all the institutions to pursue an integral language policy. Mr. Chairman. Mr Van der Molen has an amendment to item No. 21 submitted for the deletion of the exception to point 1.3. There we had created an opportunity to exclude training from the obligation to promote the expression skills of Dutch students. I have no objection to this amendment. We had actually built this into the law as a kind of emergency brake in the sense of "it could occur that we find such training." We have said very carefully: we cannot find them at the moment, so we have no objection to this amendment.
ParlaMint-NL_2019-12-11-tweedekamer-11.u115	The amendment in part No. 21: Judgement Room.
ParlaMint-NL_2019-12-11-tweedekamer-11.u116	Yes, this amendment is judged Chamber. Mr Van der Molen also had a question about the approval of foreign language training courses for six years. He was wondering if you should do that; shouldn't you have to re-evaluate it every time you re-accredit him? The consent now, on the basis of the bill, is for an indefinite period. If the NVAO really questions the added value of reaccreditation, the NVAO itself can start the consent procedure on foreign language again. But that is not part of the process of reaccreditation. Because if there is any doubt about that, it is very difficult to call into question the entire accreditation. In fact, the NVAO has two procedures: accreditation and the consent procedure. The NVAO can say in the context of the reaccreditation in doubt about the added value of foreign language: yes, we take back on our own procedure consent to foreign language, and put it into effect ourselves. It's possible. But we also think that, if you put the question of foreign language into question every six years in accreditation, that would give us a lot of uncertainty. Because then an institution should almost always take it into account: oh, it may be that we have to switch to Dutch or bilingual again. That's kind of a pain in the ass. So we have said: no, in principle indefinitely, but the NVAO can start the procedure again in the event of reaccreditation.
ParlaMint-NL_2019-12-11-tweedekamer-11.u117	The minister is still working on the block of language. So please interrupt at the end of the block, Mr. Van der Molen.
ParlaMint-NL_2019-12-11-tweedekamer-11.u118	Mr Paternotte had another question about the optional provision of English language skills. Is there enough offer for that? Or should that be improved? We can see that there is already an incredible amount of offer. A lot of institutions have just set up whole language schools for that. But we will take stock of that existing offer. That is perhaps a good thing to do anyway, because one can then look at one another and see how one can organise that cleverly. And if necessary, I will also encourage institutions to expand that offer, if it is limited to them. Mr Wiersma had a question about the English language skills of teachers. He actually asked me, shouldn't you come up with a plan of action for that? That is what Mr Futselaar would have pointed out in his interruption that in our system of higher education there is a very strange duck in the bite. For unlike, for example, the foundational education and the MBO, higher education institutions themselves are responsible for ensuring the quality of their staff. We do not have a whole system of competences there, as in the fundamental education system. That's really different. It would be crazy to pick out one element and say that the Minister is going to make a plan of action. Then I could also do so in many other areas of their skills as a teacher. We see that the higher education institutions themselves have made the agreement that teachers must master English at a minimum level of C1 if they are to be able to teach English. This is set out in the internationalisation agenda of the Association of Colleges and the VSNU. We also see that they are taking that very quickly. The debate also raised the question of whether this would not only apply to permanent teachers. There are quite a few who are not on permanent duty. Of this, Mr Futselaar said in a clause that we should also do something about it. I agree with him. But we checked with the VSNU again. She really says to take the starting point that every teacher who teaches English must meet that C1 requirement. You can also imagine that a little more is being sent to teachers in permanent employment and that they are being paid a little more for that than people in temporary employment, but the starting point is that everyone who stands in front of the classroom and teaches in higher education has to control C1 levels. Otherwise, as a student, you'd be the victim of the fact that those teachers are not in permanent employment. Mr Wiersma also had a question in this context, which I think was mainly about international students who still have to come to the Netherlands. Can they not already be encouraged in preparation to acquire the Dutch language, for example by making moocs available? He asked if we could promote that. Institutions do offer moocs, but also have numerous additional courses, language courses and cultural courses and they also organise buddies. I will discuss with the VSNU and the Association of Colleges of Education how we for international students who want to come to the Netherlands and prepare ourselves for this, for example online a number of things that can be made available in a clear place. You mentioned a website for that yourself. We're gonna have to figure out what it takes. In any case, it may also be that the wide range of services available at many institutions is more widely shared. So that's what we'll talk about. Mr Wiersma also said that language policy should not discourage international students from coming to the Netherlands. I agree with him. That is why the bill also makes the choice to say that the offer for English-speaking students for learning Dutch is optional. That offer must be made, but we are not going to impose an obligation, because that could indeed set a threshold for international students, which we simply need here for many reasons. That could scare them off. Then there's the right of consent. Some of you, Mr Wiersma, but also Mr Futselaar and Mr Bruins, had questions about this. What about the right of assent to language policy in training? The inspection has investigated this. The discussions which the inspection has conducted with the institutions have shown that the internal dialogue is being conducted within the institutions and that participation is now being involved. That is a good development. It is very good that participation can talk about the language of the training, because it is of course very important for teachers, but so are students. With the legislative proposal, we want to ensure that the internal conversation is even better, that a conscious choice is made for a language and that the substantive grounds and procedures are laid down in the language policy that institutions should have. This legislative proposal therefore also includes the mandatory inclusion of language choice in the OER. The OER is really the place where a lot of these things come together. Mr Futselaar had another question for me. This legislative proposal also gives the training committee the right to vote on that part. He asked: are they sufficiently facilitated for that? The WHW has already established that the dean and the board of directors at universities are responsible for sufficient administrative, financial and legal support and training of the training committee. In the case of a new task, which is the case here, they should also facilitate the proper performance of this task. I expect them to do that. I will also explicitly call on them to do so. But the law is in such a way that the board of directors and deans are obliged to sufficiently facilitate the committees. If additional tasks are added, they should in that case also facilitate them. I see Mr Futselaar coming forward. I'm sure he expects me to keep my finger on the wrist. I certainly will.
ParlaMint-NL_2019-12-11-tweedekamer-11.u119	We're at the end of the block. I'll take a look at the Minister's direction, because we're half an hour away now. Is there a lot of questions in this block?
ParlaMint-NL_2019-12-11-tweedekamer-11.u120	I've got a few more.
ParlaMint-NL_2019-12-11-tweedekamer-11.u121	Okay. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-11.u122	Mr Bishop had the question of whether the language obligation also applies to non-cost education. I can reassure him: this does not apply to non-costed training courses. Mrs Westerveld mentioned the possibility of reducing administrative burdens. We have, of course, also had the Advisory Board review regulatory pressure look at this. They indicate that the expected reduction in regulatory pressure due to the possibility to write out placement certificates numerus fixus... No, sorry. Some of the measures are developed in AMvBs. Only then will these AMvBs show whether there will be administrative burdens, because it will show how detailed it is being done. There, too, we will look very closely at the possibilities of quantifying this and ensuring that we keep it within our control as much as possible. That was my cube of language, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-11.u123	Thank you. I saw Mr Van der Molen first. Then comes Mr Futselaar. A quick question, please.
ParlaMint-NL_2019-12-11-tweedekamer-11.u124	The Minister responded to the amendment on the test of foreign language in relation to reaccreditation.
ParlaMint-NL_2019-12-11-tweedekamer-11.u125	Would you mind mentioning the amendment number? Then it's clear to everyone.
ParlaMint-NL_2019-12-11-tweedekamer-11.u126	Well, I would have helped if there were a number on the paper I have here, but I don't have that number yet. The Minister referred to it, so I will continue to do so, otherwise things will go slightly wrong in time.
ParlaMint-NL_2019-12-11-tweedekamer-11.u127	Okay. Good.
ParlaMint-NL_2019-12-11-tweedekamer-11.u128	An accreditation test has been issued with a different language, so permission has been given to offer training in another language. The Minister said: it is not part of the accreditation test, but it is for the NVAO or a moment to look at that test again. Aren't we going to get into a bit of a semantic discussion? It is not officially part of the accreditation, but you will have to look at that test at the same time, otherwise you will not be able to get it back. So here's what I'm wondering. The amendment says that this test will be valid until the next accreditation assessment takes place. Is that so contrary, just to look at the feasibility?
ParlaMint-NL_2019-12-11-tweedekamer-11.u129	Yeah, that's right. Now it's true that you get permission for foreign language for an indefinite period of time. That is a sort of "yes, unless the NVAO says in reaccreditation: we now have serious doubts about this." This is not part of the accreditation process, so accreditation cannot be denied on that basis. But the NVAO can say at that time: we are going to look again and we are going to go into the procedure again about consent for foreign language. It's a different process, a different procedure. We don't want to confuse those two. We also checked it out at the NVAO. It's gonna be really complicated if you weave those two together. So this is really the way we've arranged it now, and I'm holding on to that.
ParlaMint-NL_2019-12-11-tweedekamer-11.u130	In conclusion, Mr Van der Molen.
ParlaMint-NL_2019-12-11-tweedekamer-11.u131	I will look at the text of the amendment with this explanation from the Minister. I also asked her a question about the NVAO's assessment. Shouldn't someone with knowledge of language be added to that? Maybe the Minister can say something about that. Because if you need to take that language policy and test properly, you need to be able to judge it with knowledge.
ParlaMint-NL_2019-12-11-tweedekamer-11.u132	I can imagine Mr Van der Molen's question, but I do think that the composition of panels is really something that should be left to the NVAO. It should not be the case that we are going to say here in the Chamber how these panels should be assembled. I think the NVAO man is enough to determine exactly what they're gonna look at, what they're gonna judge and how they're gonna establish their panel. I don't think we should be steering the composition of those panels from here.
ParlaMint-NL_2019-12-11-tweedekamer-11.u133	As regards support for training committees, the Minister says: there is a mandate to do so adequately. That is, of course, a vague concept. If you look into that world, you can see enormous differences in practice between universities and colleges and between courses, even within the same institution. But the tasks are basically the same, namely everything about the rules of education and examination. We see that this task has grown ever since the Administrative Act and since legislation like this. Is it not time to say that we need to focus more on this support, given the great tasks that lie ahead?
ParlaMint-NL_2019-12-11-tweedekamer-11.u134	No. I think it was Mr Futselaar who asked in his contribution to the debate: should we not have some confidence in the institutions and in the internal debate there? We have generally stated that deans and the board of directors are obliged to facilitate the training committees sufficiently. I think that's an adequate obligation in the law. If that is not enough, the debate must be conducted internally. At the moment, I am not prepared to lay down any further obligations for this in the law or by law. It is, of course, also very complicated to draw the same line for all the institutions and training courses, because there is quite a difference between the task package and the scope of the various training committees. I therefore believe that at the moment we can be satisfied with how it is governed by the law. Am I saying that reality is already perfect? Certainly not, and we continue to follow that critically. It is also a good thing that you are sending out the message that you are following that critically.
ParlaMint-NL_2019-12-11-tweedekamer-11.u135	In conclusion, Mr Futselaar.
ParlaMint-NL_2019-12-11-tweedekamer-11.u136	I also said in my speech, of course, that I do not trust all the institutions, and I certainly do so when it comes to dealing with their own participation. It is a little too easy to say that participation does not work very well and that should be discussed internally within the institution, i.e. through participation. Then you leave the solution to the problem with the organ that gets too little support. You'll never get out. So I'm considering a motion in this area, I'm sure.
ParlaMint-NL_2019-12-11-tweedekamer-11.u137	Thank you. I don't hear a question right away, so we're facing the possible motion.
ParlaMint-NL_2019-12-11-tweedekamer-11.u138	The Minister shook her head when I said that we are going to impose additional requirements on institutions when it comes to language, but then I look at the text in the explanatory memorandum, which states the following. "The new proposed paragraph of Article 1.3 sets out the issues to be covered, inter alia, by the rules. For example, a mandatory level of expression skills can be envisaged..." That's gonna go on in a little while. That's a tightening-up, isn't it? And these are, after all, additional requirements we impose on training when it comes to the level of language.
ParlaMint-NL_2019-12-11-tweedekamer-11.u139	It is actually more of a clarification of a duty that already exists. Look, also on the basis of the current law institutions have a maintenance obligation Dutch language towards students. What we are doing in this legislative proposal is to define it more precisely, in a sense of not being entirely satisfied with how we now see that legal duty being fulfilled. But the legal duty already exists, and defining how we see it, I do not see it as an additional legal task for which we need to finance extra.
ParlaMint-NL_2019-12-11-tweedekamer-11.u140	Finalizing, Mrs Westerveld.
ParlaMint-NL_2019-12-11-tweedekamer-11.u141	I'm having a bit of a problem with this explanation. We hear the Minister say that at the moment the legal task may not be properly fulfilled by institutions. This means that we are going to tighten up the requirements in the law now before us. I would then ask her to keep an eye on this and to see if institutions should do more. We must also take into account that, as I said, we see in the PISA report that the language skills of Dutch pupils are deteriorating. Is the Minister prepared to monitor closely in the coming years whether the burden of teachers on institutions is increasing when it comes to learning and keeping track of Dutch language skills for students? In this way we can also see in a number of years whether it is true that the load pressure has gone up and then adjust.
ParlaMint-NL_2019-12-11-tweedekamer-11.u142	I'm gonna repeat myself. There is now a maintenance obligation on the basis of the law. All we are doing now is saying that we are not going to fill it in at AMvB, because there are quite some doubts, for example whether the institutions are sufficiently complying with the maintenance obligation that is now in place. Then you cannot reason and say: that is an extra legal task, so you must finance it. No, it's a specification of an existing legal duty that exists.
ParlaMint-NL_2019-12-11-tweedekamer-11.u143	Block two.
ParlaMint-NL_2019-12-11-tweedekamer-11.u144	Mr President, I come to accessibility. Or rather, how do we ensure access to higher education, for example by setting up an authorisation requirement for setting up a numerus fixus due to a lack of capacity? That is really the central point here. Mr Paternotte was right to point out that good progress has been made here in recent years. At the moment there are in Wed 55 numeri flexi and in Hbo 37. That does not need to be requested now. Mr Paternotte asked me how many are now being requested. But they are not now being applied for, they are being communicated and simply set up. Why have we put measures in the law on this point, as we have done? A numerus fixus always means a limitation of the student's accessibility and freedom of choice. And I attach great importance to the student's freedom of choice. Mrs van den Hul also rightly pointed out that a numerus fixus can also have negative consequences for equality of opportunity. In this context, the Van Meenen motion was tabled in an earlier debate in order to look very closely at the selection criteria we have. For there are best doubts about a scientific basis for the criteria currently being used and b the degree of self-selection to which they lead. You may also wonder if they select for what you want to select for. For example, do they lead to sufficient diversity in training courses, because we also want to have them? The development of this research will come in the autumn of next year. I think Mrs Van den Hul or Mrs Westerveld asked if we would look again at drawing lots. That's what we're gonna do at the time. Because that's really the time when we need to see what the best system of selection we have is. First, you always have to wonder if we need selection. As far as I'm concerned, that should be as little as possible. And when you do it, do it in the best way, the way that does most justice to equality of opportunity and also ensures that you select in a well-founded way for what you want to select for. For this reason, it was agreed in the government agreement that the Minister of OCW could block the decision of an institution of higher education to establish a numerus fixus. An authorisation requirement may require universities and colleges to exercise this option in a cautious manner. This is settled in this legislative proposal by checking in advance whether the introduction of a capacity fixus is sufficiently substantiated. Mr Futselaar has tabled an amendment. He says, "Can't you do that afterwards?" Why are you doing that in advance? We'll do that in advance. We've gone through it all over time. If you do it afterwards, the fixus goes in and so you have a year limit on equality of opportunity, accessibility and students' freedom of choice, without having been able to check in advance whether that fixus is applied for for a good reason. Why do I think it's important to do it like this? That is not because I believe that institutions are dealing with this very recklessly at the moment. But when, for example, there was a fixus on a training course where you should not want it because of the labour market shortages, I specifically asked: did you really do everything to prevent that fixus? Have you checked with the surrounding business if there is any lab space available in the short term? Is there any way to work together when it comes to students or to guide working groups? Have you looked together with fellow institutions to see what you can do about lack of capacity? For example, has a nearby HBO institution been used to see what can be done about the capacity shortage? I note that, in the current situation, this is sometimes somewhat limited. That's why I want to have the opportunity to check it out in advance. But the institution that underpins it, of course, gets its numerus fixus. We're not gonna do anything irresponsible. I am particularly concerned about whether we have worked optimally throughout the entire system of higher education in order to avoid a numerus fixus, because we want to keep it as limited as possible, as I can tell you all. I think that the power to refuse should be handled very prudently. The committee that has to test this will therefore have to deal with it very carefully. Mr. Chairman. There's, uh... I think there's... I don't know who it belongs to...
ParlaMint-NL_2019-12-11-tweedekamer-11.u145	You were dealing with the amendment to item No. 12 and its judgment.
ParlaMint-NL_2019-12-11-tweedekamer-11.u146	Yeah, about the ex-post permission for the capacity fixus. For well-thought-out reasons, we do it in advance, so that amendment is not recommended. There is also an amendment to put the layout of the test in front of the Chamber, by Mr Wiersma in respect of item No. 15. We set up the test by means of a ministerial arrangement. It is very unusual to set up ministerial arrangements. I would like to say that we are on a tight timetable. The reason why I wanted this bill to be dealt with so badly before Christmas is that the committee that will have to test the numerus fixus will have to start work on 1 May 2020, because the applications will have to be in on 1 June. Therefore, if we still have to go ahead with the ministerial arrangement, I say to Mr Wiersma, we run the risk that the whole scheme will start a year later. You may want to, but that may be the consequence of hanging out. I would, however, like to make a commitment to you, and I think that we can come together in such a way that I send the draft regulation to the Chamber. Well, you can find something about that. That is not a formal front, but then we can do it neatly with each other. I'll do that before I decide on the ministerial arrangement. Then we do not run the risk of delay and you have the opportunity to take a look. I note that the need to look at lower regulation in the context of this legislative proposal is very great.
ParlaMint-NL_2019-12-11-tweedekamer-11.u147	That means that you have the amendment to item No. 15. Dissuade.
ParlaMint-NL_2019-12-11-tweedekamer-11.u148	Sure, yeah. Mr. Chairman. This bill also provides for training to be able to issue more placement certificates than the number of places available. Some of you had questions about that. We now see that the number of entries is ultimately below the number of numerus fixus. That's because students sign up, then they don't get their VWO diploma and then they don't sign out. That leaves valuable places unoccupied. That's a shame. Therefore, more placement certificates may be issued. That is also the point we have dealt with in this legislative proposal. Mr Paternotte has tabled an amendment to item No. 19 to give deans instead of institutional boards the power to determine the selection criteria and the procedure. I would advise against this amendment. The institutional board now determines the selection criteria and the procedure for each training. So bespoke in an education can already be done. But the advantage now is that the institutional board has overview and direction. Central participation also has advisory powers on both the criteria and the competence and the training committee can also advise the institutional board. I think we've got the procedure right now. I think it is a good thing that the institutional board can also control the numerus fixus and the way in which it is set up. Mr. Chairman. Then Mr Wiersma, together with Mr Van der Molen...
ParlaMint-NL_2019-12-11-tweedekamer-11.u149	Excuse...
ParlaMint-NL_2019-12-11-tweedekamer-11.u150	That was the amendment in part No. 19 by Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-11.u151	That's not recommended. To Mr Paternotte I say: at the end of the block, as is the case with the others. The Minister.
ParlaMint-NL_2019-12-11-tweedekamer-11.u152	Mr. Chairman. Mr Wiersma and Mr Van der Molen have tabled two amendments on what we call the caps on non-EEA students. The first is a cap as part of a numerus fixus and the second is a cap as an emergency brake in case of unexpectedly high inflow. I had already indicated in the legislative proposal that I also consider this emergency brake to be desirable. We have indeed had the situation in which I have actually tolerated it. Mr Van der Molen was right to point that out. In some cases I like it a little more than Mr Van der Molen, but here too I agree with him that it is a good thing to settle this. We ourselves were still trying to find out whether we have done this so carefully that it will stand up in European law and before a judge. Several of these schemes have been killed in Europe. I think we have found in the amendment a way that I think we can handle. This amendment will then be judged by the Chamber.
ParlaMint-NL_2019-12-11-tweedekamer-11.u153	Does the Minister have a number on that amendment? I don't think it's gotten through yet.
ParlaMint-NL_2019-12-11-tweedekamer-11.u154	This is the amendment to item No. 17 if I'm right about the emergency capacity fixus. That's gonna get judgment, Room. That's the amendment that first part No. 14 was, then 16 and then 17.
ParlaMint-NL_2019-12-11-tweedekamer-11.u155	That is Mr Wiersma's amendment.
ParlaMint-NL_2019-12-11-tweedekamer-11.u156	Mr. Chairman. Another amendment has been tabled by Mr Wiersma. Did you file that, or is it coming, because I can't find the number? I have a whole list in front of me here, but perhaps Mr Wiersma can give me a hand. It concerns the amendment on the cap on non-EEA students within the numerus fixus.
ParlaMint-NL_2019-12-11-tweedekamer-11.u157	I don't think that's been filed yet. Yeah, he's coming.
ParlaMint-NL_2019-12-11-tweedekamer-11.u158	That's coming up. I understand what Mr Wiersma and Mr Van der Molen mean. I think you'd like to file both. If you have a numerus fixus, can't you create a special compartment in that numerus fixus for the number of non-EEA students? This will ensure that accessibility for Dutch students and EEA students is ensured, especially in English-language studies with a capacity fixus. I have yet to see the amendment, so I am not going to make a final judgment on it, but I am sympathetic to it. I think it is quite exciting, because here too we have to see if it remains legal. We have to see what we can do here. Mr Paternotte asked me if I could ensure that DUO's communication is always bilingual, also in view of accessibility, so that foreign students can find their way there. DUO already does so as far as possible when providing relevant information on the website. In addition, DUO ensures that those schemes, which are mainly of interest to international students, are also available in English. If we get signals that DUO information would be poorly accessible to international students, I am always willing to use DUO to see if we can improve that. I don't have those specific signals right now. Mr Wiersma and Mrs Westerveld had a question about the following. For the sake of accessibility, in this bill we create the possibility of a numerus fixus on the English track, but not a numerus fixus on the Dutch track. You couldn't have done that before. You had to have a numerus fixus on the whole education. That's what we're worried about. It is asked whether the Dutch-language track will not be of lesser quality. I can take those concerns away. The quality within one training course is tested in the same way. The same requirements must be met. The same levels apply to the exam and the curriculum. So I don't think there's any need to worry about that. I know ISO, for example, was concerned about this. When I asked what they were based on, it was not so clear. It was more of a emotional matter. Mr Wiersma asked whether we should not allow the institutions to make additional demands on the Dutch track. We do not guarantee the quality of training with a kind of additional selection criterion at the front. The quality of the training is guaranteed within the accreditation process. It cannot be that different tracks within an education have very different quality levels. So I see no reason whatsoever to offer additional possibilities for selection at the front. I would even say that goes against the spirit of the bill. That's exactly what the separate track wants to increase accessibility. We're not going to put any extra restrictions on that. Mr Wiersma also asked about the suggestions in the ibo for selection to control influx. My goal with the bill is to ensure that internationalisation remains in balance. In my view, we have now found a package of measures that regulates this well. In this context, I find the suggestions made for further selection undesirable. Also, I didn't think it was necessary to set it now. With the current measures, we can come to a good balance. Then the term for the numerus fixus. A number of times it has been asked whether this is not all going to take a very long time. Also considering the registration procedure for students, you need to be clear on time whether there will be a fixus or not. Mr Wiersma and Mr Paternotte asked whether the two-year deadline for applying for authorisation for a numerus fixus was not unworkable. We can't make it any shorter, because you have to have clarity in time for students. Frankly, we are usually not very far from the projections we have of the number of students. That is often reasonably foreseeable. We also need time to do that test properly. By the way, there is no such difference between a pre-key and a possible test afterwards. I really can't make it any shorter. Mr Wiersma asked me if the capacity fixus committee is built in to give you as little as possible a numerus fixus for training in deficit sectors. Of course, this is partly the reason why we are going through this process: we believe that, in the case of training which is a major demand on the labour market, you should be as cautious as possible with a capacity fixus. We want that tested properly. Once again, I would like to see maximum consideration given to the possibility of avoiding a numerus fixus, possibly also in cooperation with other institutions and industry. We won't just give permission. But if there really is a real capacity problem, we will have to set that numerus fixus, no matter how unfortunate. You're gonna press that, of course. In principle, we grant permission for three years, but you instruct an institution to get started as soon as possible by taking measures to remove the fixus. That is, of course, the intention. It is not intended to rest on its laurels for three years, but you can imagine that, for example, if labs need to be built up, they need a little time.
ParlaMint-NL_2019-12-11-tweedekamer-11.u159	This is the second block, the accessibility. Do you have a lot of questions?
ParlaMint-NL_2019-12-11-tweedekamer-11.u160	Yes. Mr Bishop had the question: do you think that this is a good administrative partnership, in order to turn the screws on the numerus fixus? It is not a question of administrative partnership; it is also just a minister who must occasionally exercise system responsibility and ensure that the results of the system as a whole are also what we consider necessary and that there is maximum cooperation in the system. Mr President, that was the block of accessibility.
ParlaMint-NL_2019-12-11-tweedekamer-11.u161	Thank you. Mr Wiersma was the first to be there; I have actually just returned it. Then Mr Paternotte comes, and then I come to Mr Futselaar. I hear from Mr Wiersma that I can first give the floor to the others.
ParlaMint-NL_2019-12-11-tweedekamer-11.u162	The Minister indicated why it was important for the institution to establish the selection criteria. The selection criteria for master's programmes are set much more decentrally. The effect of the amendment is that institutions still have the possibility to overrule criteria, if they wish. So my question is: do we not agree with the way in which we now formulate selection criteria for masters?
ParlaMint-NL_2019-12-11-tweedekamer-11.u163	Mr President, would you mind if I returned to that in the second term? 'Cause I should really compare what's different.
ParlaMint-NL_2019-12-11-tweedekamer-11.u164	Yes.
ParlaMint-NL_2019-12-11-tweedekamer-11.u165	I felt that the Minister was very quick to step over a number of recommendations from the ibo, with selection as an opportunity to control the influx as well. You can have an allergy to selection, but it can also be a way, a handy instrument in the hands of institutions. There was a motion in the Chamber last week for a reason. This motion is not specifically about selection, but it says: we need to be able to control that influx, we need to look at what is needed in the Dutch labour market and we need to have the courage to provide guidance to institutions on it. That's not in the bill. We have tried to find each other in a few attempts with amendments. But that motion is very relevant; after this bill we can take it actively. The Minister did not say much about this, I understand that, because she also dissuaded it at the time, but it was adopted by the Chamber. So I wonder how the Minister intends to further implement that motion.
ParlaMint-NL_2019-12-11-tweedekamer-11.u166	In the block of talent strategy and knowledge strategy, I will go into the implementation of that motion. Moreover, I said in my introduction: we must, even when finding the balance sheet in internationalisation, dare to look beyond the economic importance of the sector. There is more in the world than economic interest, and internationalisation is also more than that.
ParlaMint-NL_2019-12-11-tweedekamer-11.u167	Thank you. Mr Wiersma, concluding.
ParlaMint-NL_2019-12-11-tweedekamer-11.u168	Finalizing, Mr. Chairman. I do not doubt that at all, but I must say that when it comes to diversity and all kinds of things, the Minister is prepared to steer everything up to gender diversity and toilets. That is fine, but at this point we also have something to determine with each other: what is needed for the Netherlands, what is it that makes us bigger, who do we need in the future? There's a war on talent; you can't look away. I'm glad the Minister's coming up with such a strategy and I'll encourage you to load some stuff in there. But the other side is also part of it: if that strategy works, and there are a lot of people coming here, then we must also be critical of who it is and, above all, look at our labour market. The Economic and Social Council says the same thing.
ParlaMint-NL_2019-12-11-tweedekamer-11.u169	What's your question?
ParlaMint-NL_2019-12-11-tweedekamer-11.u170	So I'm gonna push back to that side. I don't have a question, but that's a comment.
ParlaMint-NL_2019-12-11-tweedekamer-11.u171	It's been noted.
ParlaMint-NL_2019-12-11-tweedekamer-11.u172	It's been noted.
ParlaMint-NL_2019-12-11-tweedekamer-11.u173	Always end with a question, Mr. Chairman. Mine's about prior consent versus ex post approval. What the minister says is, two years in advance, you have to report it to us if you're expecting a capacity problem. My thesis is: if you really have an acute capacity problem, you don't see it coming two years in advance; then you're surprised by it. Then I understand very well that the Minister says 'we cannot organise this faster', but that is precisely the main reason for me to say: that is why you have to organise it afterwards. I also think this is because the Minister himself says: I want to use this means very reluctantly. Then there should not be much difference in practice either. Right?
