ParlaMint-NL_2019-10-09-tweedekamer-8.u1	We continue with the discussion of the budget Agriculture, Nature and Food Quality (35300-XIV).
ParlaMint-NL_2019-10-09-tweedekamer-8.u132	Thank you, Mr President. According to Wikipedia, a "tragedy" is a play with an intrigue that concerns a serious act. Often this leads to a fateful outcome, but besides this exit infelix I've heard that it gives you a lot of voices when you occasionally do some Greek or Latin in this Chamber, they also distinguish tragedies with an exit felix, or a happy ending. The intrigue of a tragedy works to a point where the hero becomes aware of his failure, after which a sudden and violent turn of events follows. The purpose of the tragedy is to exert a cleansing influence on the spirit of the spectators, the so-called catharsis. I have not yet seen any evidence of this cleansing capacity, but I thought: I am starting with this, because even though the agricultural policy in the Netherlands is actually one big grievance game, a happy ending is not excluded. But that does require, ladies and gentlemen, and especially Minister, that we face what has to be faced for a very long time. The proposals made by D66 in the newspaper, namely that the number of animals in the Netherlands should be reduced by half, have been advised for years by all experts to the Chamber and the Cabinet. Mr De Groot recalled the intervention of Minister Braks. I also remember Minister Braks saying very sensible things about the criteria you should apply for the number of animals that can be used in the Netherlands. Actually, that was: make sure you have enough soil to feed the animals and to get rid of the manure, and then you can also make sure that the animals can go outside. Those are very sensible criteria. After his interventions, the number of animals has grown again. Then there have been wise people who have said about the same thing. I'll call you Wijffels, CDA. I call former Minister Veerman, also CDA. I refer to the Purple II cabinet, which included the VVD, together with D66 and the Labour Party. The recognition has always been there: the number of animals in the Netherlands is far too large when you look at the sustainability of our agricultural model and the nature and environmental goals that we need to achieve. But it's all ignored. The last concrete proposal here was the first citizens' initiative to be dealt with here in the Chamber, namely Stop Wrong Meat. This has been fully calculated by the Agriculture Economic Institute. That looked at the nature and environmental goals that the cabinet had set itself. It was 2007, so the Party for Animals had in no way influenced that. They were therefore environmental and nature objectives which were also supported by the middle parties. That institute said: if you want to achieve those goals, it is inevitable that the number of animals in intensive livestock farming will shrink by 70%. It was said: start with that, because the longer you wait, the harder it gets and the more annoying it gets for everyone. Even in the end, the initiators of the citizens' initiative thought that 70% went a little far, so they proposed 50% to the Chamber. Unfortunately, that was rejected. However, we must note that the parties who took precious years away from farmers that scenario, in which there was also time for the changeover, did not want to implement it at the time. Those years could and probably would have been used for the conversion to an agricultural system that is sustainable in the long term. Mr. Chairman. So that's the tragedy in agriculture. If it is right, it is well known at the Ministry responsible for nature policy and for sustainable agriculture for farmers in the Netherlands that the model as it stands is not going. In fact, at the Ministry they can hang the chambers with all the advice, all the reports and all the passing-throughs, all of which found that sticking to the old model becomes a tragedy for everyone. That's what it turned out to be. The Council of State launched the latest trick devised by the CDA in 2009: the Programmatic Approach Nitrogen. At that time it was already clear that it would prove very likely to be legally unsustainable. We have received advice from the Council of State, we have received advice from nature conservation lawyers. The Animal Party, of course, asked the CDA about the trick they had invented: you could start a new nitrogen policy because you want the livestock to go off the lock. There could no longer be any new permits for the expansion or new production of livestock farms, and the CDA did not like that, but it seems legally very shaky. What happens if the judge brings down this instrument? Is that on behalf of the farmers, the entrepreneurs, who have been granted a licence but still have to return it? That is a lack of clarity which the farmers do not want at all. Or is it to the taxpayer who will have to buy out entrepreneurs in a rule of law if the government has constantly said: no, here you have a permit, you can stay in it? The CDA's reaction at the time was: we'll see about that and until then the companies have benefited from it. So much for the responsibility that the CDA wanted to take for the clarity that farmers always ask for, for the state treasury that we still need to conserve: no unnecessary buy-outs if you can make policies in advance that can prevent that. I know that the Minister's group also agreed at the time to this programmed approach to nitrogen. The attitude of the coalition partners - we can just add the VVD to it - is: well, we see, we'll see what kind of mess there is and we'll solve it and in the meantime companies have just benefited from it. If I were a minister, I would feel a little more free to say within these coalition relations: listen, I am responsible for responsible agricultural policy and I think your plans are a little too lean, just a little too risky for the farmers. Within these tense relationships, I can only give the Minister one tip. The only thing that's gonna save her is presenting the truth. Leave the debate to the Chamber. Just send the facts on the table. I would like to ask the Minister a few questions about this. Does it recognise that the Agriculture Economic Institute for the Citizens' Initiative in 2007 has already calculated that a reduction in livestock by 70% in intensive livestock farming is inevitable if you want to achieve the natural goals, and that ammonia was also the most important criterion in that regard? Especially ammonia would be the limiting factor. Is she willing to acknowledge that? Or does she have any justification why that calculation wouldn't be like this anymore? Is it prepared to acknowledge that the Council has already said for the environment: nature is one thing, but if you look at climate, you can see that a shrinkage of livestock is inevitable for the climate targets that the Netherlands has committed itself to? The longer you wait, the harder it gets. If you do not, then all the CO emissions that the Netherlands could afford are entirely agricultural in view of the climate goals. Then there can be nothing more: then there can no more car, then there can no more factory run, nothing at all. Is the Minister prepared to acknowledge that here in this Chamber? Mr. Chairman. The solutions to the nitrogen crisis should be known to the Ministry. The Animal Party is really worried that the Ministry responsible for nature policy, following the ruling of the European Court of Justice, has apparently not started working with scenarios, because it did not look good. I would like to hear a statement from the Minister, because I think she should be accountable. What did the Ministry do after the Council of State said that PAS policy couldn't do at all? That was in May of this year. The Ministry gives the impression that they have no idea what they should do to protect nature, while protecting nature is parked with this minister. That's her responsibility. There can be only two things going on: either they don't know it at the ministry or the minister dares not tell. And both can't be for a responsible ruler. The opinions obtained by the Chamber and the Minister are not a lie. A number of measures are inevitable and that means: significantly fewer animals, less speeding, less aviation, no formula 1 and nature recovery. I forget to mention one more, because it also includes: stop the subsidy on biomass plants. As far as the Party for Animals is concerned, this includes the following. If you are finally going to implement the reform that agriculture needs and provide the clarity that agriculture deserves, you must also say that we are not going to do that Mercosur Treaty. It is simply not fair to impose natural, environmental and animal welfare requirements on farmers in the Netherlands and Europe and to reduce import duties on products produced in Brazil and in other countries far below those standards at the border. We have put this question to the Minister for Foreign Trade and he has now confirmed in reply to our parliamentary questions that there will indeed be no European standards. These Brazilian products are produced across European standards and the Mercosur Treaty says: with a reduction in import duties and quotas, beef and chicken meat can simply be sold on the European market, and hence in the Netherlands. I don't think that's fair. Stop the Mercosur agreement! That's what I'm asking the Minister to do. Whatever is needed is a ban on mega-stables. You cannot, as is always the case in the current policy and, unfortunately, the Remkes Committee's advice is also sending out on fewer farmers and more animals. Technological innovations are simply euphemisms for megasthals with low-emission floors and air scrubbers on them. Those air scrubbers are dangerous when a fire breaks out, because the whole barn will be on fire in no time. And then it also matters if there are 500 animals in it or 35,000 pigs, as in Grubbenvorst is going to happen. That stable will have 35,000 pigs and 1 billion chickens. 1 million, I mean! 1 million chickens is also bad enough. That stable would be Remkesproof. If the Minister does not prohibit megalomania or, reworded, if she does not set a ceiling on the number of animals you are allowed to keep per farm and related to the land and animal welfare and environmental objectives, then she does not protect the small farmers who want to work in this way. You're gonna give the big cowboys a free pass. Does the Minister recognize that's how it works? If you're not willing to maximize the number of animals per farm, then you get situations like with Streethof. It just had 24,000 pigs in one stable and then you can say: that would have been 24 farms with 1,000 pigs. Does the Minister recognise that this is how it works and is she prepared to limit the number of animals per farm from the point of view of animal welfare and because you want to protect small farms? When you do that, you pay attention to what the animals need and what nature and the environment can handle. Mr. Chairman. The Minister said on the Malieveld to the farmers: as long as I am a minister, there will be no halving of the livestock. We consider that to be extremely unwise. If that were based on substantiated scenarios which ensure that it is not necessary, given nitrogen, given climate, given animal welfare, it would have a story. But she seemed to say it a little out of the loose wrist. Either she has to come up with the figures from which we can conclude that it is really not necessary, or she has said something to the farmers which sounds good, but which she cannot live up to. I don't think that's a good idea. GroenLinks already asked the question. Suppose it is necessary, did the Minister attach her fate to whether or not the number of animals in the Netherlands is shrinking, or should we see it differently? I'm just saying that we already have the analysis of why it's necessary. Mr. Chairman. We're having an extensive debate next week... Well, it's extensive. I think we have five minutes. In any case, we are having a major debate on the measures that the government is going to take in the context of the nitrogen crisis. The Animal Party is concerned because the letter that came on Friday is still very vague. I do not think we can have a good debate if we do not have scenarios, do not know how much the cabinet wants to go through with the reorganisation, and do not know what the goals are. It seems that the Ministry responsible for nature does not yet know which reduction rates to take into account. I would like to ask the Chamber if it will allow me to table a motion in the first term. I want a new letter from the cabinet before we start the debate. That must be done in the first time, so that tomorrow it can participate in the votes that have already been planned. But I know I need permission from the Chamber to table a motion in the first term, so I ask you to do so.
ParlaMint-NL_2019-10-09-tweedekamer-8.u133	It is customary to hold the debate first and to table a motion in the second term.
ParlaMint-NL_2019-10-09-tweedekamer-8.u134	Mr President, you are right. I'll just make it clear why I'm doing it like this. The second term of this Chamber is tomorrow night. That means I can't file the motion until tomorrow night. Then we can vote on it on Tuesday. That is a little late for the debate we want to have next week. I have just seen in the order of business that there will be votes tomorrow. I would very much like to see this motion included in those votes. That means I have to file her now, if the Chamber will allow me.
ParlaMint-NL_2019-10-09-tweedekamer-8.u135	Yes, but also for tomorrow's votes, you should have asked that in the regulation, because all Members of Parliament should know what they are going to vote on tomorrow. You're gonna need a majority for that, too. So in order to table a motion now, you need a majority, but you also need a majority to vote on it tomorrow. That should have been dealt with in the scheme. Don't look so angry, Mr. Graus.
ParlaMint-NL_2019-10-09-tweedekamer-8.u136	Madam President. My father used to say: Dion later becomes director of the Gulpener vinegar factory, because I always seem to look the easiest. So even when I'm relaxed, I look angry. I beg your pardon.
ParlaMint-NL_2019-10-09-tweedekamer-8.u137	Yeah, that's what's bothering me.
ParlaMint-NL_2019-10-09-tweedekamer-8.u138	But I'm not angry or anything; that's just how I look most easily. In any case, I would like to support Mrs Ouwehand to do it now. As far as I'm concerned, she can file her motion now.
ParlaMint-NL_2019-10-09-tweedekamer-8.u139	Okay, but then I'm gonna see if there's a majority for it. Then I'll go to Mr Futselaar.
ParlaMint-NL_2019-10-09-tweedekamer-8.u140	Mr. Chairman. I would like to support it, but if I understand correctly, it is actually a request for information. The Chamber is entitled to information if it so requests. I would like to support the request for information for the debate anyway. If the only way to do that is through a motion, it's the only way to do it. But it also seems to me that it should be possible to go beyond that route.
ParlaMint-NL_2019-10-09-tweedekamer-8.u141	That is an individual right of Members of Parliament. That's what you're saying. Mrs. Bromet.
ParlaMint-NL_2019-10-09-tweedekamer-8.u142	Mr. Chairman. That was my question, too. Is it now a motion to send a letter, which we then accept, so that we get a letter? We can support a request for a letter.
ParlaMint-NL_2019-10-09-tweedekamer-8.u143	No, Mrs. Ouwehand, you are not going to read the motion. You can only tell me what it's about.
ParlaMint-NL_2019-10-09-tweedekamer-8.u144	My motion will be that the Chamber should say to the Minister: we want a new letter and it must be much more concrete and clear. That is what I said in my motion.
ParlaMint-NL_2019-10-09-tweedekamer-8.u145	Mrs. Lodders. But now I still don't know what you're gonna do, Mrs. Bromet. It's all about information.
ParlaMint-NL_2019-10-09-tweedekamer-8.u146	I'd really like that information. If a motion is the only way, I agree.
ParlaMint-NL_2019-10-09-tweedekamer-8.u147	I always like to ask for information. I am not opposed to that either, but frankly I do not see so much as why this should be done by means of a motion. I would ask Mrs Ouwehand to simply ask the Minister for information. I know the Minister, and if there's a request for information, I think we'll get that information, too.
ParlaMint-NL_2019-10-09-tweedekamer-8.u148	I believe that in good traffic between the Chamber and the rulers, when a letter is requested, it is also provided. If it is not provided, you can always table a motion to give an opinion on it. When the request is made, I am in good faith and I assume that a letter will be made and sent.
ParlaMint-NL_2019-10-09-tweedekamer-8.u149	And so no motion? Support, I mean. No.
ParlaMint-NL_2019-10-09-tweedekamer-8.u150	I cannot put it more beautifully than Mr Moorlag. So I support Mr Moorlag and not Mrs Ouwehand's request.
ParlaMint-NL_2019-10-09-tweedekamer-8.u151	I'll take a look around. Mr De Groot.
ParlaMint-NL_2019-10-09-tweedekamer-8.u152	Chairman?
ParlaMint-NL_2019-10-09-tweedekamer-8.u153	Oh, sorry, Mrs. Fat-Faber. I'm a little... Mrs. Dik-Faber.
ParlaMint-NL_2019-10-09-tweedekamer-8.u154	Mr. Chairman. I also agree with what Mr Moorlag said.
ParlaMint-NL_2019-10-09-tweedekamer-8.u155	That goes for me, too.
ParlaMint-NL_2019-10-09-tweedekamer-8.u156	Then you have no majority.
ParlaMint-NL_2019-10-09-tweedekamer-8.u157	No, Mr. Chairman, I can see that. But I can see that coalition parties also say: if you want information, I'm counting on the government to give it to you. So I'll read for you what I'd like, and I hope the Minister will respond positively to that tomorrow.
ParlaMint-NL_2019-10-09-tweedekamer-8.u158	Go ahead.
ParlaMint-NL_2019-10-09-tweedekamer-8.u159	I had formulated my motion as follows. So I'm not gonna file it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u160	No.
ParlaMint-NL_2019-10-09-tweedekamer-8.u161	But I'll read the motion. Commenting that the nitrogen crisis calls for decisive action and a clear plan of action...
ParlaMint-NL_2019-10-09-tweedekamer-8.u162	Mrs. Ouwehand, we're not going to read a motion, are we?
ParlaMint-NL_2019-10-09-tweedekamer-8.u163	Shall I do it differently?
ParlaMint-NL_2019-10-09-tweedekamer-8.u164	Yes.
ParlaMint-NL_2019-10-09-tweedekamer-8.u165	Then I'll try to vary on what I have in front of me.
ParlaMint-NL_2019-10-09-tweedekamer-8.u166	You're very good at that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u167	Yeah, well, then it doesn't get that formal. We have seen that the letter sent by the Minister of LNV last Friday on the cabinet approach to the nitrogen crisis does not contain any specific objective, does not provide any clarity about the effects of planned measures and does not yet present any new resources. I would therefore ask the Minister to send a new letter before the debate on the problem of nitrogen, containing concrete objectives, quantified measures or scenarios. But I can also imagine that the Minister still finds it too difficult to make a decision. I see that within the coalition there is quite a lot of trouble about who wants fewer animals now, who wants to drive less fast or neither. Then I'll just present the scenarios and we'll open the debate in the Chamber. I can imagine if the minister said, "You guys figure it out with your fights, and I'll find out what it's gonna be." But it is clear that I hope the Minister will take care of this and that nature must be protected. That is what we are obliged to do; that is what our Constitution says. So: you can choose a, b, c or d, these are the scenarios and those are the consequences, but you have to choose.
ParlaMint-NL_2019-10-09-tweedekamer-8.u168	That's much more vivid than a motion, isn't it?
ParlaMint-NL_2019-10-09-tweedekamer-8.u169	That's it.
ParlaMint-NL_2019-10-09-tweedekamer-8.u170	That's the way a debate should be.
ParlaMint-NL_2019-10-09-tweedekamer-8.u171	But if the Minister says he's not gonna do that tomorrow, I won't have a chance. We'll only vote on Tuesday. Well, well, thank you very much for this novelty and for allowing me to do so in the Chamber: not to table a motion, but to table a motion and then read it out. I have another tip for the Minister. After this Minister took office, I said: congratulations, you are on Agriculture, but there are a lot of difficult choices. Those choices have to be made. The farmers deserve that, too. I also have to deal with the Minister in the sense that it is a heavy burden. For a long time, agriculture has not been a mass in the Hague politics, but there are very important choices to be made in agriculture that have a very significant impact on our country's viability. It is particularly difficult for this minister, but I welcome the fact that these choices lie ahead. And because those choices have big consequences, that has to be done right. So far, unfortunately, we have seen that the Minister has not yet felt supported by him to move forward. I don't know if the proper analysis is being made at the Ministry. For example, the General Court warns that if you do not make the right choices and do not dare to intervene, the rules pile up and it becomes a tragedy for everyone. I do not know whether this kind of analysis is adequately reflected in the advice that will then be given to the Minister, but as MPs we can simply see that it has been warned for so long and that the choices that have to be made have been put forward for so long, that I had hoped that this minister would have come to that by now. It hasn't worked yet. I also see how the coalition struggles, and I find that annoying for the Minister.
ParlaMint-NL_2019-10-09-tweedekamer-8.u172	I have a question about that. Mrs. Ouwehand is talking about whether the Ministry has seen it. We have a report from the Remkes committee which Mrs Ouwehand does not think is a very good report, but what GroenLinks does think is a groundbreaking report. Is that a problem for the officials at the ministry and the minister, or does the political force of the coalition and the weakened compromise play a role here?
ParlaMint-NL_2019-10-09-tweedekamer-8.u173	That's the question. I have also made this appeal to previous farmers. And whether the coalition wants it or not, the facts are the facts. If you are responsible for nature policy and also for an agricultural policy that is fair to farmers, namely fair about what can and cannot be done, then you can also, as Minister of State or Secretary of State, choose to simply present the facts and open the debate on them in the Chamber. I therefore acknowledge that the conservative section of the Chamber in the field of agriculture, in particular, is working fairly against a minister who would like to go ahead. But I'm also saying there's another route. The facts are the facts. With regard to the phosphate drama, I told Secretary of State Dijksma, when she was in a coalition with the Labour Party with the VVD, that she should simply have said to Mrs Lodders: very nice what you want here and I see that you have arranged for a majority in the Chamber, but it will be a tragedy and I am not going to implement it, because I am responsible for sound and sound agricultural policy. It's possible.
ParlaMint-NL_2019-10-09-tweedekamer-8.u174	So even if that meant the end of the cabinet?
ParlaMint-NL_2019-10-09-tweedekamer-8.u175	Yes. I believe that the parties that oppose healthy and sensible choices should take responsibility for that themselves. So I fully acknowledge that the Minister has no easy task, but the choices have to be made. I think the farmers also deserve to have a ruler who's honest with them. Since that seems to be difficult, we saw that in the peasant protest, I would like to ask the Minister here in this Chamber to acknowledge a number of things. We see that the debate is weirdly framed by the mantra 'farmers take care of our food'. This may be true, but 70% to 80% of what is produced in the Netherlands is for export. Does the Minister recognize that? And does she recognize that it's a bit of a half-story when you say that farmers are needed for food in the Netherlands? Agriculture as a whole goes beyond natural and environmental boundaries. It's not like we'd be hungry here if we intervened. I would also like to ask the Minister to tell us in this Chamber, let us stick to the pigs for a moment, how many pig farms we had in 2005 and how many there are by now. How many pigs did we have in 2005 and how many are there now? I would like her to make it clear, including to the farmers, that it may be annoying to read in the newspaper that the number of animals has to be reduced, but that this does not mean that the number of farmers is going to halve from now on and that this is a whole new situation. Because of the lack of choices in agricultural policy, five to seven farmers have to stop each day. If the Minister brings that into the debate, it will give a completely different dynamic, won't it? That also makes Dutch people understand: oh, how things are now, is annoying for small family businesses. Only the big boys with their mega stables will last if they invest in an air washer. This is due to the lack of choices. If you don't reduce the number of animals, you're gonna have to solve it with technique. Those outcomes are limited in any case. What we can expect from the technique is never enough. As a result, farmers rightly say: now I have invested in low-emission floors and it is not enough. Here's what's gonna happen. If a farmer wants to invest, he has to invest with a low-emission floor or an air washer. Then the Rabobank says: that's all nice and nice, but then you have to add more animals, because otherwise it doesn't pay off. That is the policy that is constantly steering on further scaling up. The small family farms are being squeezed away and the wretched thing is that the investments, which are partly to be made by farmers and partly with a lot of taxpayers' money, are never enough to achieve the nature goals. The farmers say all these rules drive them crazy, I get it. I would like the Minister to explain what that is about. If you stay out of the way of the big choices, the Court of Auditors has also said so, then you will remain in this situation where you force farmers to invest in measures that we already know will not be enough. What also strikes me in the debate is that it is said that livestock farming has already done so much to reduce nitrogen. That may be true, but I believe that the Minister responsible for nature policy should explain that the rules of nature are not so much a set of rules. Nature suffers from continuous deposition of ammonia, i.e. precipitation of ammonia in natural areas, which is higher than the area can handle. You have to compare that to the next situation. What if you live in a terraced house and your neighbor throws ten garbage bags over the fence every day? You don't like that. If you contact your neighbor after a few days, there are already 50 garbage bags after 5 days. And then he says, "You know what, I'm gonna cut that by half." I'll only do five more a day from now on. You're not satisfied with that, are you? But that's how it works with nature policy. The garbage bags that are already there are over there. That neighbor's not gonna clean them up. And there's new garbage bags coming up every time. I call on the Minister not to allow these misunderstandings about nature policy to exist. It may be that livestock farming has worked on reduction, but that's not how it works when you look at the nature rules. I think farmers are entitled to that clarity. I also think farmers should be entitled to say: yes, that's right, Schiphol should also shrink. It is not enough just to make a vague announcement of some measures for agriculture and not to say anything about them. Just tell me that's going to be inevitable, too, a shrinkage of aviation. Another thing I see coming back to the discussion is what Mrs Lodder said: Dutch agriculture is so efficient, because we have the least emissions per kilogram of product. I also think that the Minister should say that it does not work that way. The Netherlands may have the lowest emissions per kilogram of pork, but if you put a lot of pigs on a stick, that still means that the total emissions are unacceptable. And the Netherlands is the most cattle-proof country in the world. Nowhere in the world are as many animals as in our country. You can say that we are efficient per kilogram of product, but that is not the way environmental policy works, and that is not how climate policy works. That is the issue of emissions as a whole. The same goes for agricultural poison. It may be that we use the least poison per kilogram of product, but if you use a lot of poison anywhere in the Netherlands close to residential homes, that is also the case, because the Netherlands is in the top two of the number of countries with the highest use of poison in Europe. I am really disappointed that the Minister is even ignoring adopted motions from the Chamber, where she could feel the freedom to intervene, to protect residents from at least the use of agricultural poison near their homes and the schoolyards where their children play. The Chamber has said: set distance standards. And the minister sent a letter the day before yesterday saying she's not gonna do it. Why not apply the precautionary principle and tell parties in the coalition who might complain about it? Yes, the precautionary principle is one of the instruments I can use. Moreover, the majority of the Chamber has asked me to do so. I do not understand, because this minister, in response to the concerns of local residents, has said that things have to be radically different with these pesticides. This is not radically different. Here's what we already know. Do more research and "I'll see what I can do." Mr. Chairman. I think that the Minister, in parallel with the choices that need to be made, can do a lot to explain to farmers what the boundaries we are running into are and advise them not to let people make a fool of themselves who claim otherwise. She can say: it's going this way and we're going to help you switch to an agriculture that is sustainable in our little Netherlands. Passing the plant transition is my tip. If the Minister carries it out, there are good prospects for the farmers. I also think that she should respond to all the debate tricks that are taking place and that, in fact, I understand that well enough to only stir up anger among farmers. Finally, Mr President. I am glad to hear that D66 now also says that you should not forget the animals if you want to carry out circular farming. We have referred earlier to the promises made to the animals by previous cabinets. Actually in 2012, but by 2022 the systems in which animals are kept would not be adapted to the animal, but vice versa. I'm saying it wrong. The animals are not adapted to the system, but the system to the animal. Animals should be able to exhibit their natural behavior. I asked this minister earlier about this 2022 deadline of former Minister Verburg. I don't see any plan to get these yet. On routine breeding of pigtails, which has been banned for a very long time in Europe, the Minister says: we may do so voluntarily in 2030. Well, why? Why did the Minister so emphatically leave the animals out of her circular vision? Why doesn't she get to work and not use that mandate, so that cabinet promises have already been made for animal welfare, and does she confront the Chamber that these promises have been made? Why doesn't she say that the deadline was 2022 and you can expect this measure from me? I say to the Minister that the social interest in animal welfare and the importance of animal welfare are only growing. So you organize your own resistance if you just keep walking away from it and don't keep the promises that this government has made for the animals. Then it is sad to see, for example, the piglets mortality; it is just an example. Former Minister Verburg said it was too high. It gave the sector ten years to take measures to reduce this mortality. Then it appears that it has not become smaller but has just risen, and the Minister says: yes, it is a pity the pammer. And D66 says, well, we're only giving them another five years. Tax money goes to these programmes, so the sector does not have to follow the rules and gets money and does not achieve the goals. And if they make it to the targets, they get extra time. Well, what does the Minister think that does that with the confidence of citizens in politics, the confidence that this political animal welfare takes seriously? Mr. Chairman. I ask the Minister to put an end to the peasant deception. I ask the Minister to make the choices needed to solve the problems for nature in the Netherlands, but also to look beyond that. You can't just steer towards nitrogen; we also have problems with nitrate, we also have climate targets that we have to stick to. And there are animal welfare goals to achieve. If she combines all this with each other, the Minister of Agriculture, Nature and Food Quality should be able to present a future perspective with a timeline. A number of farmers will have to be bought out acutely and a number of farmers can take the time to switch over, but it has to. If the Minister cannot present these plans before we enter into the big, fundamental debate next week, I really wonder what is happening at that ministry. Mr. Chairman. Thank you.
ParlaMint-NL_2019-10-09-tweedekamer-8.u176	Thank you, Mrs Ouwehand. I now give the floor to Mr Wassenberg, also on behalf of the Animal Party.
ParlaMint-NL_2019-10-09-tweedekamer-8.u177	Thank you, Mr. Chairman. Mr Ouwehand ended her speech with a plea to put an end to the farmers' deception. I begin my speech with a plea to put an end to the fishing deception. Because a week and a half ago, the NIS revealed large-scale fishing fraud. The Dutch government has for years overlooked the fact that fishermen are cheating with engine power. Much heavier engines were used than allowed, with dramatic consequences for nature. Because with these heavy engines, the cutter ships attract larger nets and heavier chains across the sea floor. That's how they plow the entire sea floor. The Ministry knew about the fraud, made good promises, but didn't deliver. For five years the inspection was not responsible for the control of those engines, but commercial parties were. All this time, there hasn't been one fine handed out. In the following seven years, the NVWA controlled 23 ships out of a total of 300; that is 1% of the fishing fleet per year. For example, the fishermen who did fish according to the licence were severely disadvantaged by the free boys, the cowboys of the seas. Nature was the great victim, because these scams did a lot of damage with their heavy engines and high speed. The Minister's response to this fraud shows a huge lack of attention to the protection of the marine environment. "We see that that doesn't work this way now," she reports to the NOS. "Now" then. Mr. Chairman. In 2006 it was 13 years ago that there was already a judge's ruling that there should be better enforcement. So that's not now. After that time, several reports were published on the violation of the rules by the fisheries sector. All the minister's predecessors promised to deal with the fraud, but they didn't. Why hasn't the Ministry intervened before? Why did the Ministry never comply with the judgment of the judge, which the State ordered in 2006 to enforce better? And why has the Netherlands never responded to the reports describing the fraud? On the European Commission's recent report June this year? Can the Minister give a response to that? I expect the Minister to have them immediately look into how many ships are cheating and start large-scale checks and fines tomorrow. Mr. Chairman. A court order disappeared without apologizing in a dusty drawer. Recommendations from critical reports were well nodded, but they did not lead to better control and enforcement. Nature was the child of the account and nature is the child of the account. We must now quickly find out what the damage to nature is, because allowing illegal fishing on such a large scale for years can only have a major impact on biodiversity. Without adequate control, the Minister's sustainable fisheries policy is nothing more than a paper reality. An IPBES report from the UN identifies fishing as one of the biggest threats to underwater biodiversity. The Minister stated in her explanatory statement on the budget that he was working towards ambitious targets following that alarming report and the upcoming biodiversity conference in Beijing in 2020. In her Monday letter, the minister says she wants to move towards better monitoring. Does that also apply to the Netherlands? Does this also apply to the control of illegal fishing? And does that also mean that it will put an end to illegal fishing, which is a form of poaching, in the largest nature reserve in the Netherlands, namely the North Sea? That she's gonna keep it tight and dump all the rotten apples out of the basket? You cannot go back to playing at a biodiversity conference and at the same time overlook the ongoing illegal attacks on biodiversity in your own country. We are talking about serious economic crimes with major consequences for vulnerable nature. The Minister has the legal task and the moral duty to protect that nature. How's she gonna do that? Is it prepared to close at least Natura 2000 areas to fisheries? Mr. Chairman. Then, like a number of other groups, I would like to talk about trees and the cutting of trees in our country. The cabinet has set aside 6 million to expand the forest area. That sounds nice, but it's not a big deal if you sell it against the large-scale tree hood that's still taking place. In the Netherlands, 3,500 hectares of trees disappear every year. This means that every hour we lose a forest area the size of a small football field, 0.4 hectares. Whole parts of the forest go against the plain under the guise of forest management and ecosystems are destroyed by bald cover. State Forest Management sold almost 400 hectares of nature this summer. There is sawn and chopped in forests during the breeding season. Rest wood is disposed of to biomass plants. Moreover, the government wants to continue to broaden highways as if there was no climate crisis at all, as if the judge had never spoken out against the PAS. The widening of the A9 and moving a gas station costs 14,000 trees. All these trees cut and at the same time spend EUR 6 million on planting trees elsewhere, that's not only natural destruction; it's also capital destruction. That $6 million is just a tip to cover up this cabinet's fossil destruction policy.
ParlaMint-NL_2019-10-09-tweedekamer-8.u178	I read that 38% of deforestation has to do with conversion to other nature. Does Mr Wassenberg agree with me that this should actually be banned?
ParlaMint-NL_2019-10-09-tweedekamer-8.u179	I am very much in favour of changing nature, but I am opposed to cutting forests for that. There are many other areas in the Netherlands that you could use much better for that. As far as the cutting of trees to make them different nature is concerned, to a large extent they are also damage recovery measures. That has to be done in a different way. We want, on the one hand, to extend the area of nature and, very importantly, to link up nature reserves, but, in our view, the cutting of forests is not an option. There are other ways to expand nature.
ParlaMint-NL_2019-10-09-tweedekamer-8.u180	That answer is in line with my thinking, but the reality is that there is that large percentage, so that's pretty worrying. Does Mr Wassenberg agree with me?
ParlaMint-NL_2019-10-09-tweedekamer-8.u181	I agree with Mr von Martels that it is worrying to cut down forests to make them different nature. This other nature is desperately needed. It has already been mentioned by other colleagues: the Netherlands is the country in the European Union with the least nature. We need to expand it, but we don't need to cut down forests for that.
ParlaMint-NL_2019-10-09-tweedekamer-8.u182	Please continue.
