ParlaMint-NL_2019-12-11-tweedekamer-7.u1	I'm suspending the meeting for a minute and a half.
ParlaMint-NL_2019-12-11-tweedekamer-7.u114	I am, of course, also looking at what internationalisation gives us in a broad sense. That is what I am going to discuss in my contribution. But I consciously said I'd take a look at this subject with the VVD glasses. I see that Mr Wiersma, in his contribution and also in the newspaper, is looking at who gives us the most and what we should be most committed to. I see that figures from the CPB show that international students from outside the EEA average us a tonne. We also hear this from institutions. I now know the example of computer science from Delft. It comes back every time. Fine, but there are more institutions. They indicate that they are in short supply. They indicate that the student cost has fallen. Surely it would be a solution to invest more in institutions, to invest more so that they can attract more international students? Then Dutch students will not be replaced. That's a win for all of us.
ParlaMint-NL_2019-12-11-tweedekamer-7.u115	But then we still haven't resolved that we need to set clear limits here as well. We also need to be honest about what we mainly need in the Netherlands. Let us also draw up a strategy on this. How can we maximise the need of the Netherlands for our labour market with our internationalisation strategy? We have not given enough thought to this and then we have this kind of discussion. Then we get a bill that's not yet finished. Then we get discussions about whether there is not much more money to go to education. Of course, going everywhere a lot more money is always a good solution, because then you never have a problem to solve. But I think it's important that we think about things we do. If we invite people to come here, we have to offer them good education. We need to be able to secure that. It can't always be. That's what teachers complain about. Then you have to help institutions to secure that. I'd like to give them instruments for that. To that end, I have a number of amendments.
ParlaMint-NL_2019-12-11-tweedekamer-7.u116	Thank you. You will continue your speech.
ParlaMint-NL_2019-12-11-tweedekamer-7.u117	Mr. Chairman. Then we have the students in Europe. That is more complicated, because we have the same rules for free movement here. So I wonder how many students from within Europe we have here in the Netherlands. And how many Dutch people study in Europe? We know the benefits. Mrs Westerveld mentioned it. But also look at the costs from the lumpsum: how much is going to that group of students? How many of the state's resources goes to this group of people who come here to study from Europe? Then what are we talking about? There are arguments for wanting to control the inflow, namely because you want to ensure the capacity and quality. What opportunities does the Minister see for doing this better? This can be done on the one hand by bringing more money there. But then the Minister must also be prepared to ask for that money from other countries in Europe. The Netherlands is a net contributor. Then we should also have a discussion in Europe about how we can be helped to finance that additional capacity. What agreements can the Minister in Europe make with countries? There are also countries that have the opposite problem, which have a lack of talent. I was talking about those talent deals at first. I would like to have a positive discussion with countries about how to increase the exchange and how to improve the recognition of diplomas and skills. How can you involve business more so that it also becomes more attractive to take an internship in another country? It's also part of bringing that financial component with you. Is the Minister prepared to have that conversation in Europe? The ESC points out for a reason that EU students in training with little added value for our economy and students with a low stay rate may be a disproportionate burden on the budget of our education system. They don't say that for nothing. My question, therefore, is whether the Minister is prepared to explore this suggestion from the ESC, to have a discussion about it in Europe and to accept that suggestion. Mr. Chairman. Finally, I have two points to make. My colleague, Mr Tielen, has already tabled a motion for a single entry point, because we also see that it is sometimes attractive for institutions to bring in a lot of students from outside Europe. You'll be able to hang your own fare on that in no time at all. Then it could become even more attractive, when we do not want competition between ourselves on that aspect. Her motion called for one entry point. I'd love to have that centralized. That is where you can check whether it adds anything to the labour market, I would say to the Minister. Also check that these institutions do not compete with each other, that tuition fees are not charged unnecessarily high. I wouldn't approve of that. That one entry point could be a solution to that. That motion has been passed. How and when will it be carried out? Where can we see that? Mr. Chairman. Finally, the MBO. There's a part of the MBO in this bill. At the MBO, the challenge of internationalisation may be even greater, but the opportunities are also much greater. Especially in some border regions, we can do so much more to help institutions do better, encourage students to do something across borders, perhaps specifically in Germany. I see those numbers are lagging behind. I would like the Minister to take a closer look at this, look into it and see how we can help with the challenge of the MBO on internationalisation. Mr President, thank you.
ParlaMint-NL_2019-12-11-tweedekamer-7.u118	Thank you. I would like to give the floor to Mr Bishop before lunch. After Mr Bishop's speech, I propose that the sitting be suspended for lunch. I would add that Mr Bishop speaks on behalf of the SGP Group. Go ahead.
ParlaMint-NL_2019-12-11-tweedekamer-7.u119	Thank you, Mr. Chairman. That's totally correct. I do not know exactly whether this announcement is an encouragement to interrupt much or not. I'd like to leave that to all of you. I would like to thank those Members who gave me the opportunity to speak earlier than I was on the list of speakers. I made that request because I have to be at another meeting at 2:00 p.m. We couldn't do that internally. I am therefore very grateful to my fellow Members. Thank you for having patience to postpone lunch. Mr. Chairman. Last summer, the Maatschappij der Nederlandse Letterkunde again awarded the prize for the best dissertation on Dutch linguistics. I repeat: on Dutch linguistics. The title of that dissertation is: Policy versus Practice; Language variation and change in eighth- and nineteenth-century Dutch. I repeat: Language variation and change in eighth and nineteenth-century Dutch. Of course, this must be done in English. Other prizes have also been awarded, for a thesis and an article, I believe. Who's sketching our surprise? No, actually, he's not even here anymore. All three awards were awarded to English publications. Then we are talking about the Society of Dutch Literature. Totally logical I couldn't find this. There is nothing wrong with foreign languages, of course, but it seems that we are dealing with our own language in the Netherlands. I would like to draw attention to three points in my contribution. I would like to comment on the language policy, the external tests and the influx of students. First of all, language policy. Language is the entrance. Access to each other, access to art, access to culture, access to the future, access to education, access to other population groups. In view of the legal title, I assume that the Minister would also like to stress this. It is a question of language and accessibility. When I look at the explanatory statement, it seems to be pointing in some other direction. Language stands for the possibility to deviate from the language of the language, the message seems to be from this bill, while accessibility is about limiting the possibility of introducing a numerus fixus. In addition, the government has added the possibility of abolishing compulsory language policies and consent if necessary for the labour market and the economy. Packed in a long story, but in the proposal I simply read that language requirements can be sacrificed to economic conditions, if they so request. Mr. Chairman. If we see language in its entirety as part of the quality of education, then surely you cannot allow such a concession? For the SGP, the language is at least as serious as any other part of quality. I take it the Minister doesn't mean to interfere with that. Is that right? Then there's another question. Aren't we creating undesirable legal inequalities between institutions here? Towards Maastricht University, we could understandably say that an exception to language requirements is appropriate, but is it fair in the current economy and labour market that an institution in Utrecht is strictly subject to the law for the same study? The Ministry of Education has been working on access to legislation for a number of years, which is a good aim, but unfortunately legislative proposals such as this are becoming more and more extensive and more complex and therefore does not promote accessibility. For example, the current law simply says the following. 1. Use Dutch in teaching. 2. For derogation from this rule, use a code of conduct because as an institution you must have a code of conduct. What does the bill say? 1. Use Dutch in teaching. 2. Deviation without language policy is fine if it is not more than a third. 3. Formulate language policy if the other language is more than one third. 4. Request the agreement of the NVAO in the case of more than two thirds. 5. Try to get the Minister to grant a special exemption in certain cases. The result is that we have two language supervisors, namely the NVAO accreditation body for exemptions and the inspection of content, while initially the intention was to reduce the role of the inspection as much as possible. The short question to the Minister is: do we really want to make this so complex? The SGP I admit is not particularly dissatisfied with the current law. The problem was mainly in enforcement. At a time when almost all institutions now have a code of conduct, the legislator would say that language policy is not always necessary. That is a deterioration which we cannot really place. In any case, the SGP considers it important that institutions always make it clear how they deal with language and why they deviate from Dutch. I would therefore like to ask for a response to the amendment that has been tabled by us on this point.
ParlaMint-NL_2019-12-11-tweedekamer-7.u120	Also a question about the amendment. I understand that the SGP says that you have to work on Dutch for all students and that you have to include it in a code of conduct. What exactly is the demand you want to make for all international students?
ParlaMint-NL_2019-12-11-tweedekamer-7.u121	At the institutions funded by public funds, we believe that Dutch should indeed be worked on by foreign students as well. This also has to do with a piece of self-awareness in the sense of: we have something to offer. There may be an effort to ensure that the Dutch language is as specific as possible. So I am talking about funded institutions.
ParlaMint-NL_2019-12-11-tweedekamer-7.u122	Finalizing, Mr Paternotte.
ParlaMint-NL_2019-12-11-tweedekamer-7.u123	Just for duplicity. This also means, for example, that a beta student who comes here for a one- or two-year Master's degree and who may not be very lingual but who might then be able to work at ASML, according to the SGP then has to learn Dutch?
ParlaMint-NL_2019-12-11-tweedekamer-7.u124	Yeah, that doesn't mean that I'm making statements about the level at which they're supposed to achieve that. I can imagine that, when taking part in someone's education, you make further, different demands than when someone is in full training here. Take Wageningen. I realize that the university has a high international character there, but there is no reason to establish it exclusively in English.
ParlaMint-NL_2019-12-11-tweedekamer-7.u125	I think it's a good thing that if you come here and study here for a long time, you do your best to make your own Dutch. I think we'll find each other there. But you're making a commitment. I think you should have the offer. You're making an obligation. Then I ask you: have you thought about the consequences that might be attached to this? For example, there are countries in Europe that have done this, such as Italy. After that they saw the influx quite collapsed. I do not think language is the best example of selection, so to speak. Because I think you should see if it's the good people you want to be able to study here. So do you agree with me that we should not want these consequences? And have you thought about how we could deal with that?
ParlaMint-NL_2019-12-11-tweedekamer-7.u126	Of course, universities, and also a number of colleges, operate in a broad, international context. We need to be aware of that. At the same time you are talking about public money, Dutch money, funded institutions, which, as far as we are concerned, are primarily at the service of Dutch students. We also have agreements within the EU. That's what we're gonna do. But out there, you can make demands. I also do not entirely agree with the line that we should bring the talents from abroad to the Netherlands as much as possible and try to keep as much here as possible. No, I think we should be open to people who want to study from abroad and from other continents here. We are not going to close the door to that in principle, although you have to regulate it. If there are students coming here from Africa who then go back to their own country, their homeland, I would find that an excellent way to support those countries in building their own society. There is still much to be done.
ParlaMint-NL_2019-12-11-tweedekamer-7.u127	Mr Wiersma, concluding.
ParlaMint-NL_2019-12-11-tweedekamer-7.u128	I understand that, and I like that too. At the same time, we also attach an additional requirement to this group, namely that they should learn Dutch here. That's what they're taking back to that country. The question is whether you should make such a firm commitment. I have great doubts about that, let me put it this way. You want to do that, but then I wonder if you'll make a distinction in that, for example when it comes to how long you're studying here. And what level is that supposed to be? Can you explain how you see it?
ParlaMint-NL_2019-12-11-tweedekamer-7.u129	I have not worked out this in detail at the moment, but I think that is more the form of action. As far as I'm concerned, we can talk about that. Mr. Chairman. The SGP is critical of the proposed criterion of "added value" and, in particular, of the discrepancy between this term and the legal definition that it must be "in the interest of the student." This could be a recipe for renewed language struggle, while this bill had to settle the battle. The SGP is concerned that the Council of State and the inspection on this point do not see any improvement in advance compared to the legislation in force. It would be nice if we could manage that. I therefore call for a clarification of the legal text. I read in the bill the addition that the choice for English should be more in the interest of the student than the choice for Dutch. Is this the tightening-up of the current text? Does this mean that institutions must make it crystal clear that, first of all, the quality of education is more served by offering in English than by offering in Dutch? Mr. Chairman. Then there is another point in this respect: non-costed programmes abroad do not have to work on the Dutch language skills of students. The SGP then finds it logical to extend this situation to non-cost institutions in the Netherlands. The bill does not do enough justice to their own specific nature. The law must ensure that the quality is in order and that there are no abuses, but for the rest, the government must leave as much space as possible. Mr. Chairman. I come to the second point: the external tests. Ideally, language policy is a responsibility that stakeholders within the institution can manage independently. External bodies shall at most ensure that procedures have been complied with and that qualitative considerations are sufficiently present. The SGP is therefore not a fan of all kinds of new prior external keys. I will not take too much of the NVAO's test, because that test has been largely deprived of added value by the letter of amendment, because only in the case of more than two thirds of multilingualism consent is required. I am more concerned about the Minister's permission to introduce a numerus fixus. One of my colleagues has already referred to this. First of all, I find this difficult because the sector has shown good performance in recent years. This key therefore comes unexpectedly and too early. We are also in danger of having institutions become a kind of implementation office of the Ministry of Education. They may limit their inflow only as long as the Ministry permits and under the conditions set by the Ministry. Can they still fulfil their responsibilities? According to the Civil Code, directors are responsible for driving the legal person. What should directors do when they consider that further influx of students is not justified, but the Minister does not authorise the establishment of a numerus fixus? The funding of higher education is an important problem here. In addition, I have a picture from the VSNU's bottleneck analysis in mind. The number of students in universities has increased by 100,000 since 2000, while funding per student has fallen from €20,000 to around €15,000. The minister turns the screws on, but the money tap doesn't open. Is this, in my mind, a fair administrative partnership? The third point is how to control student entry. It would be nice if we could serve the foreign students, but the first task of our institutions is to serve Dutch students. I found the explanation contained in the further note on the report useful. Is the Minister actually saying that institutions control the influx of students from outside the EEA entirely themselves, by choosing whether they become recognised referees at the IND? That is an important fact to establish. I'd like another shovel on top of that. The Minister seems to suggest that institutions should allow all students from outside the EEA if they are recognised referees, but why should this be necessary? If that were the case, would the Minister be prepared to look with the Secretary of State for Foreign Affairs to see how we can arrange more customization? In my opinion, it is mainly a matter of political will and international rules do not stand in the way of us. I'd like to look forward to a response from the Minister. The numerus fixus is also a useful tool for controlling the numbers of foreign students. Why does the Minister not regulate the right of institutions to set up a numerus fixus independently for English-language courses? Otherwise, it would be contrary to existing EU regulations, at least as far as non-EEA students are concerned. For accessibility, we focus on a Dutch-language offer and the Dutch-speaking student. This ensures access to basic education. The accessibility of English-language pathways for all socio-economic groups can be promoted, if necessary, through policies. Finally, Mr President. The language skills of foreign students are also important. That has just been discussed in an interruption. I think I can leave this point alone if the Minister is prepared to include the questions raised in the interruption in the answer. Mr. Chairman. Then I'll come to a closure. I make no secret of it: at first we as a group were very sceptical about this bill, because of the points of criticism. We were strongly inclined to vote against it. We then asked ourselves: 'These are the administrative jitters we have to deal with, to what extent amendments could improve this bill in such a way that it is an improvement compared to the law in force.' We have now tabled an amendment to that effect, and some others will follow. Depending on the fate of these amendments, our own voting behaviour will ultimately be determined. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-7.u130	Thank you, Mr. Bishop. In doing so, you have been excused for the rest of the debate, as you yourself announced. I'm gonna suspend the meeting for 45 minutes. After the suspension, we shall begin voting and then the order of business.
