ParlaMint-HR_2014-01-23-0.u64071	[[CONTINUE AFTER MEETING IN 11.50 HOURS]] On behalf of Croatian Labourist fellow Tušak, please.
ParlaMint-HR_2014-01-23-0.u66498	Thank you. Answer me, Comrade Drinker.
ParlaMint-HR_2014-01-23-0.u66499	Thank you very much, Vice President. My colleague, I think you've been very supportive of the arguments that we've been making all the time about the meaning and the way and in fact the background for what this is all about, and that is more about financial independence and trade in some of the data from which this agency will be financed. Now, in order for this agency to be able to trade with data on findings or potential findings, then they will have to buy these data from Norwegians who now possess these data regardless of what is written in that law before this law is referred to as the ownership of the Republic of Croatia. And it cannot be owned by the Republic of Croatia if the minister says in the newspaper that the one who has now recorded it will be charged from the sale of that data. And since the state thinks to sell that data, then they'll have to buy it from those Norwegians. Here, these are those circles that are thought to be in some circles or the whole government that you don't really see, and that's nothing but, unfortunately, eye caressing. Thank you.
ParlaMint-HR_2014-01-23-0.u66500	Thank you. Now we're gonna stop working, I'm determining a break. We'll continue at 15.00 hours. It's the first club of the HNS and Jozo Radoš.
ParlaMint-HR_2014-01-23-0.u66501	Dear colleagues and colleagues, we continue our work. In the name of the HNS club, a respected representative, Jozo Radoš, will speak.
ParlaMint-HR_2014-01-23-0.u66502	Thank you very much, Mr. Vice President, colleagues and colleagues, Mr. Deputy Minister. Here before the break, we attended one of the ridiculers who had been performed by representatives of the former government who had managed the country for eight years and for such a responsibility and for this area, of course there were four ministers or ministers, and that the government had left behind the national company involved in the production, distribution of oil, oil products, one powerful company in a clear status relationship, that they had enabled the country's energy self-sufficiency, that they had provided more supply routes for gas, that they had secured gas supply through LNG terminals in some part of the country, that they had been above the level that is average or that the EU is looking for, then the mockery might be understandable but I suppose that the government that would have done so would know what was going on and probably would not be mocking one attempt to improve the situation in one segment of energy. In doing so, some of these had opportunities to know, and they probably know what they were talking about but they didn’t mind making fun of each other, others may not necessarily know, but they also made fun of this bill for half an hour. So there was all this and everything, that it was a nightmare, that it was chaos, that it was an unnecessary agency, bad rules, and if there were no bad rules at all, it was just at the time of that government that didn't do anything in any of these areas. And then, of course, it's easy to mock in such a way that there's actually no real argument here. To discuss here for half an hour that one agency in 181 in Croatia that will employ I don't know how many people, this topic is above the potential potential of potential potential and gains that this agency and this law on which the agency rests, or the Law on the exploration and exploitation of hydrocarbons, that was the main issue, how many people this agency will hire and not what this agency is actually carrying out properly. So a colleague, speaking on behalf of the club, said that he would not do anything for two years and after that there would probably not be any more of those authorities, the only thing he said was that if that authority came and it was, then nothing would be done because nothing had ever been done. So it's a very strange kind of debate. It would be too much to talk about how if the Republic of Croatia were to explore and possibly exploit the location of hydrocarbons on Croatian territory or in the Croatian Adriatic, what would the Republic of Croatia have? Why did she get into a position that she didn't have a strong company that could do it on its own? Why hasn't it been done before? Why the footage of the Croatian Adriatic, then based on it and possible and further research of the exploitation has not been made for the past 30 years. The latest data we have on, which, by the way, we haven't had at our disposal, and then this government is accused of boasting about having that data available today and having colleagues available for eight years to own these and such outdated data, but the only data we had. No, I don't. They did not or failed to do so and when the Deputy Minister says that the Republic of Croatia is finally visiting this information then it is irrelevant information, as if therefore there was no room to do so, to do so at a time so as they managed the country and led, of course, the interest and this segment of therefore energy policy of the Republic of Croatia. So this is about the agency that was founded in fact by the Law on the Research of Carbon Exploitation, this is just a technical law that realizes what was written in this law, so in fact all the debate including the substance debate should have been carried out under that law, but obviously it is not an important debate here, here is an important mockery, defamation and of course there were elements of insult in the full level of colleagues, which lasted half an hour here in the Croatian Parliament right before the end. So this job of researching and exploiting hydrocarbons is something someone has to do if they want to work. Whether it will be done by one agency as a government body or by some department within the ministry who employs just as many people because they employ as many people as that job needs, it's essentially an irrelevant thing. So, if this job is going to work and you haven't done it, that's why it didn't take any agencies, then that job needs some department, some management places, some people. Your entire debate was about whether these executives and these personnel were within the agency or within some department within the ministry, and it was more important than what this law carries with it as some potential. It is only about the President and three members of the Administrative Council and there, in some committee, the department of a ministry would also be some sort of management chamber, and other professional staff, professional staff of the department or agency should be equal and that was the topic that took us half an hour of debate, and it was essentially empty, and the most important issues of what possible benefit the Republic of Croatia could have from it, there was not a word about it here. But as counterpart Radinovic said, this type of organization is the type of organisation that is mostly dominant in the world, knows the best world experience. Of course, when you create mechanisms, of course, it's not sure you're going to make it, but we'll see about that, of course. A colleague who said that nothing would happen for two years, of course, thinks so on the basis of the most valuable results of his work when nothing really happened. So this is where a normal mechanism is created, how in times and energy crisis all possible hydrocarbon potentials within a country should be explored, trying to make these research innates the best possible result for the country itself, this is a matter of compensation, how many concessions will be made? It might be best if we had our own company that had enough power to investigate, to investigate, but also exploit, those companies unfortunately don't have any. This is about investment, not just research, but possible exploitation. Well, that's what we need, that's what's most important to us at this hour, so this law, this agency is just an executive body to achieve the two high goals of our economic policy, and that's energy and that's investment. And instead of being analysed metrically, it is exposed to completely pointless complaints of a type that members of the Governing Council do not have a requirement in law based on any qualifications. And these are representatives of the ministries, which writes very nicely, which is based on the fact that the heads of some departments of ministry service must have some requirements for qualifications when they came to those jobs, but this is an objection which one of the colleagues here presented, which is of course absolutely pointless. And, of course, the most important thing in this kind of business is that this agency submits a report to the government on what it does. So one important job for the Republic of Croatia has a body that executes it and, of course, that body reports the most body, and that is the Government of the Republic of Croatia about what it does. And this element of supervision or reporting of measuring bodies in our country has often lagged behind. There's something going on, there's a procedure going on, and then there's not a lot of people actually looking at what's going on, and somewhere else, it ends up or doesn't end up anywhere. So this is where the mechanism is provided, and I don't see what really should be the problem. Of course, only the establishment of the agency and the passing of laws, the fundamental law not of this law but of the fundamental law, does not yet guarantee success, but certainly represents one framework, one important effort to move forward in a very important area and that is why the Club of Representatives of the HNS will support this bill. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66503	Thank you. First of all, we have a breach of the Rules of Procedure. Dear Ivan Shuker, please.
ParlaMint-HR_2014-01-23-0.u66504	Thank you very much, Mr. Vice President of the Croatian Parliament. In accordance with the way in which you chair the meeting of the Assembly I'll say, don't worry. [[Intruder Stazić: First please article.]] Don't worry. Mr. Vice President, I'm asking you nicely, I know what the Rules of Procedure is like. [[Intruder Stazic: You have to say at the beginning, you know that.]] Don't interrupt me, you don't have the right to. If I don't say what I say in the Rules of Procedure, then interrupt me. Therefore Wait a minute, I didn't say a word and you're flying right into my word. [[Intruder Stazic: Go ahead.]] What? [[Intruding Stazic: You must say the article at the beginning.]] I have to say the introduction to say the article [[Intruder Stazić: You must say the article at first.]] That's not true. [[Intruder Stazic: No, at the beginning you have to say.]] It's an interpretation of your Rules of Procedure. So in accordance with the way you conduct the sessions, I believe that you have injured Articles 232 and 238, because you very often representatives of the HDZ both during the replicas and during the debate you warn that they have strayed from the topic. Look at the phonogram of the session, the debate of Mr Joza Radoš on behalf of the HNS Club, in the first 5 minutes had nothing to do with this topic, and 70% of his debate was a replica of the HDZ Club's speech. I don't mind that my colleague Rados commenting, but I say if he answered and spoke on behalf of the Club, then let them speak on the subject, if he meant to replicate, he could replicate, so Article 232 to quote him, he says, "The speaker can only talk about the subject discussed under the established agenda." Look at the phonogram of the session, he never said a word about the first 3.4 minutes of the talk. Furthermore, Article 238, the grounds for voicing the firm measures to a representative during the exclusive debate, must not speak of a subject which is not subject to discussion. The subject of the debate has not been anything that the HDZ Government has done in the past eight years, but I say, in a way that, given how you conduct the session, I expected you to act as you treat the MP. I'm sorry, Mr. Vice President, if I didn't say the article right away, and I know when I pick up a plate for the breach of the Rules of Procedure when you're running the session that I have to say the article and you saw that I've been invited to two articles.
ParlaMint-HR_2014-01-23-0.u66505	Here I let you go over the time of minute and 19 seconds I'm interrupting you now. The Rules of Procedure were certainly not injured in any of their articles. A colleague of Radoš spoke about the law and referred to what the other club also said about the law which is the usual way of discussing it. Neither the first nor the last to do so in this House. But look, fellow Shuker, it's not every time that the Rules of Procedure gets hurt when someone says something that HDZ doesn't like. It's part of a parliamentary debate. At no time or in any sentence, my colleague Radoš has deviated from the usual practice as discussed in this Assembly. He did not speak offensively, he did not speak with disrespect, he expressed his club's position on the bill's proposal and what the other party meant about the bill. You've heard the explanation and you've re-arranged a plate of damage to the Rules of Procedure. Since there is no discussion that after the argument there is no debate with the chairman, I cannot give you my word now.
ParlaMint-HR_2014-01-23-0.u66506	You have to give me your word because look, Mr. Chairman, you have no right to pollute with me. You could have referred our Rules of Procedure to Article 236. That's where the story ended. ... You didn't refer me to article 236 before you lectured me, and I respect that you told me that it wasn't a violation of the Rules of Procedure. [[The speakers speak at the same time, of course.]]
ParlaMint-HR_2014-01-23-0.u66507	My colleague Shuker has no discussion with the chairman, I haven't lectured you, I've given my explanation on which I have the right and the obligation. I'm not your country of lesson. Now kindly please allow us to continue our work. We're moving on to replicas. If you are not satisfied with my explanation, please contact the Constitutional Committee, so if you do not, then I suppose you consider me right. Then I guess you think my argument is correct. ... And then you're illogical, I'm sorry. [[The intruder doesn't understand.]] Replica Đuro Popiè.
ParlaMint-HR_2014-01-23-0.u66508	Thank you very much, Mr. Vice President. Dear fellow Rados, most of course, as fellow Shuker said in his debate, you spent in vain, so how much did you say by trying to deal with the findings that obviously deeply and painfully hurt you, are the truths that both I and my colleagues said in replicas. Obviously, you couldn't talk about the potentials of this law as you respected us for not talking about our potentials because neither of you found a single argument that would guide you to talk about the potentials of this law because it simply doesn't exist. So no potential of this law exists for the Republic of Croatia we continue to claim that the law is meaningless, unnecessary and, of course, including the one that preceded it. As for the high goals and the high results you have had, we can acknowledge that you have high goals, but unfortunately you have very low capacities to achieve them. So we're where the fall is. Let's not repeat what you heard yesterday but today and what we watch and listen to in the media every day about what a disastrous situation you've brought to the Croatian economy, starting with those investments that you've already founded 7 agencies for which you've passed the laws, and you're getting yourself involved in them. And I say, and I guarantee, although you're contesting it, and you haven't said any argument as to why, apart from making insults, it's probably not us, but in the same experience that you won't do anything for the next two years because it hasn't stopped you from at least continuing that direction and that path that we left for you in the last two years. If you hadn't done anything, it would have been much better, and it's better if you didn't do anything to stay in the future for the next two years, you'd all be better off.
ParlaMint-HR_2014-01-23-0.u66509	The answer to the line by Jozo Radosh.
ParlaMint-HR_2014-01-23-0.u66510	Well, that's exactly what I said. So we're not going to do anything for two years, so you say, and then you're going to come and do nothing anyway, so they'll never do anything. My debate was about what you're saying and I was telling the club's attitude about your attitudes. It is the usual way of communication in the Croatian Parliament especially if you have mocked the law in your replicas for half an hour. What you expected me to say instead of me saying what you did and saying that that's not a good way because you didn't say anything about being a law. I was talking about being the law. I said that's a standard solution in a very important area, that solution has potential, that you'll give it to it we'll see. But you didn't do anything, you didn't form that body, and you didn't do anything in that sense, and that's what I said. And if it's your high capacity, then it stays, we're going back to the beginning, which is that you really do when you come in if you do that, you won't do anything.
ParlaMint-HR_2014-01-23-0.u66511	Second replica Branko Bacic.
ParlaMint-HR_2014-01-23-0.u66512	Thank you, Mr. Vice President. In your opening presentation, you spoke of the fact that nothing had been done before in the Adriatic research to determine possible quantities of oil and oil gas in the Adriatic. But you're defending something that went wrong. In fact, no one in the Croatian public nor do we in the Croatian Parliament as Croatian representatives know what started research in the Adriatic Sea. All 3 to 4 nautical miles west of Dubrovnik, west of the Mljet National Park, west of Korcula, west of Hvar, west of Kornat. What document found to be a very suitable location for the use of oil and oil gas that is 4 miles away from the city of Dubrovnik? That's the first question. The second question is why the environmental impact assessment has not been carried out for this method which has led Spectrum to investigate whether such findings exist in the Adriatic from the aspect of protecting the marine environment. Why, on the third question, did the Government go into the business without a public competition and entrusted the job with a very important, very responsible job without a public competition? And in the end these results that the company Spectrum, although it seems to me that this research is still going on... whether they are the property of the Republic of Croatia and whether they are the property of the company and what the situation is and what the status of these results have been found by the company. [[The speaker doesn't understand.]] So, you apriors justify something that Which went very badly, I'm going to argue that the target justifies the means. [[Intruder: Time.]]
ParlaMint-HR_2014-01-23-0.u66513	The reply to the replica, the esteemed Jozo Radosh.
ParlaMint-HR_2014-01-23-0.u66514	If you and your colleagues had discussed this law in such a way, then I wouldn't have said it was a mockery and it would probably have been easier to qualify yours because all the questions you have now asked are logical questions. I don't know how to answer those questions, I don't do executive power, but you have the right as an agent to get answers to those questions. Perhaps you could only be offered an answer to one of these questions and whether these findings that Spectrum will find in terms of the fruit of its work, whether they are owned by the Republic of Croatia or owned by that company. To that question, your colleague Popioč may know the answer, he claimed in his statements that it was the property of that company, Spectrum.
ParlaMint-HR_2014-01-23-0.u66515	And the last replica, the esteemed Srdjan Gjurkovic.
ParlaMint-HR_2014-01-23-0.u66516	Thank you, Vice President of the Croatian Parliament. Dear fellow Radoš, you have made quite a point of mocking the opposition about this bill and I must admit that I have the feeling that at all costs he wants to prevent their economic policy of energy independence and the opening of an investment cycle. Because the assessment itself that according to one field of investigation, it means research and concession that can make $50 million of investments of which 40% to 60% would end the Croatian budget if domestic suppliers were to deliver some of the goods, and energy independence that would be gained if exploited. If the potentials you mentioned in your speech were to be exploited, it is obviously not to our opposition.
ParlaMint-HR_2014-01-23-0.u66517	The answer to the line by Jozo Radosh.
ParlaMint-HR_2014-01-23-0.u66518	My colleague Gjurkovic, I do not know if his HDZ colleagues are trying to prevent the economic development of Croatia. Fortunately, they're in no condition to do that. They may be disturbed by the success of this government because this government will prove to be better than what they were able to give while they were in power. Why they didn't talk more about what benefits the Republic of Croatia could have from it, I understand that well. Because they did with the national oil company what they did, and thus the possibility of using it through the company completely made it impossible for the Republic of Croatia.
ParlaMint-HR_2014-01-23-0.u66519	We continue to discuss clubs. Branko Vuksic will speak on behalf of Croatian Labourists.
ParlaMint-HR_2014-01-23-0.u66520	Dear Vice-President of the Croatian Parliament, Deputy Minister, colleagues and colleagues. Right at the beginning, even though we have 150 board funds agencies, we think it makes sense, there's a reason for this agency to exist if it's going to be called that. It is too much work and too much interest of the Republic of Croatia in this case, so it is the Law on the establishment of an hydrocarbon agency on the exploration and exploitation of gas and oil. However, there is now but, first of all, if it is a big job and we will believe the research done in the Adriatic, with which the government thinks it should be a ministry agency or government. That's what the Parliament needs to be in charge of. It should be a state agency and the agency's report gives to the Croatian Parliament. Too big a job and too big a bite to be decided by such a small number of people. I know that the Committee on Economy was also concerned about this, and I know that some members of the ruling coalition also had enquiries why this agency is not the agency responsible for its work to the Croatian Parliament. It is already one of the reasons, if this changes, Croatian Labourists will support it. So we're not against setting up such an agency. With the fact that I don't think that after this, even though the Norwegian company was doing research on the Adriatic submersibles, Croatian parts will become as rich as Norwegian. The question of how the Norwegian company Spectrum is even a bee to explore the Croatian Adriatic. By bypassing Croatian laws. So as soon as we passed the law, the obligation was to exploit hydrocarbons, the law was to call a tender for such research. And now the question has been asked what happened then. It happened next. The Adriatic Research Treaty did not sign the Ministry of Economy, you know that well, but signed by the Ministry of Science. For what? It's because the law has been bypassed and it's said that it's not research for exploitation, but it's interpreted as research for scientific purposes. And that's how he got around the law. This is already one reason to doubt the business. Why would the government control that agency? We're gonna open four eyes because it's too big a business. Some colleagues asked that they didn't have enough information. Here we Croatian laborers have a map of what it looks like, it's a map of Spectrum. Now they're asking how we got that ticket, we bought Spectrum, under quotes. Whose property is that map, then Spectrum. What the law says is they should be state property. The property of the state should be. So these researches that have been done are already widely reported in the media by those who want to exploit Croatia's Adriatic. That's right. Who sells them these results, not the Croatian state, but sells them the company Spectrum and it is a source from the ministry. So what happens now? Does the Croatian state have any control over this, did it participate in any part of the research? Will the INA where we co-owners get some fields that will be good fields, whether the Americans will give more money so they'll get, by heart, any company that makes sense to buy those fields for exploitation. Who's controlling it? Who protects the interests of the Croatian state? Looks like no one's protecting the interests of the state. And since the interests of the state of Croatia are not protected, I will support you with one piece of information, which is, for example, the information that we asked the Minister for an answer. We asked the minister because it was not clear to us, the Anamaria field owned by the Croatian state 51.5%, Italy 48.5%. The map shows very well, this is an old map, so what was previously explored, that this is an Anamaria field actually 2/3 on Croatian territory, 1/3 is in Italian territory, which belongs to Italy. After that, Italy received ownership of 56.7% and Croatia 43.3%, according to which it was investigated that the gas was more on the Italian side. Who controlled it, what was the expertise, who checked it out, who gave whom the results? We and the other wells and other sources have no control over how much gas is being drawn and how much oil oil is being drained. This may be the job of the century, this may be the job of the millennium, but certainly if it is done in such a way as it is now done, to explore the Croatian Adriatic submersible in a way that bypasses the law, to investigate it in such a way without a public competition, that the Croatian Parliament has no control, that a handful of people in a business worth billions, which can be the future of Croatia if what is true is what, we only know what it says in the media. Then we need to ask ourselves who is protecting Croatia's interests and whether we are actually at risk in this business. These are too many players on the world market not to be able to outsmart a few people who are looking to control oil and gas business in the Republic of Croatia, especially if it is as rich as it claims. At any moment, the Republic of Croatia should know how much oil and gas is being drawn, at any time in the Croatian Parliament we should know how these ratios of those who draw, whether it will be meant in oil and gas, whether it will be in money, in what way. We get the drop of information. It's true, we're stuck here for what, the wrong things. What qualifications are members of the agency, completely irrelevant. It's completely irrelevant. It is important that the Croatian Parliament has control over it, that we can also ask at any moment that those who are in this business, who control, at any time must submit reports to the Croatian Parliament. This is too serious. So what happens now? Now Spectrum is investigating or still investigating the Croatian Adriatic and now what are we doing? We must also buy from Spectrum's research results. What's our next step, because we know that or this agency that's going to be in the government's hands will tell us. You can see from these cards that the Italians have gone deep, here on your cards, after which they can also copy your cards if you're going to share with the Laburists part of the cost, that the Italians have gone deep into research on Croatian territory. Who let that happen? This is a violation of the integrity of the Republic of Croatia. But no one's saying that because it's a big business that we little people here can't speak or write. What do we have to interfere with? But there are people who say we don't trust them, here's the information we give you. Ask. I'm just asking questions. I'm not an oil expert. I'm not a gas expert. I'm a parliamentary representative, a politician who has the right to ask questions. I ask the ministry, I daren't say that a handful of six Labourers have the right to ask such big questions. How much will they pay you for the research results? For what's being explored in our backyard, what kind of contracts we made. And finally, the same thing about a big business that was promoted in my Međimurje the other day as the same business, this is going to be a thousand years, this is going to be a century. So be it. Oh, my God. It's fields of Vukanovec, Vukovec and Zebanec. I ask the question, who and when did he give the concession to the Hungarians? On what basis is the contract concluded? It's said there's been a contract. Who contracted concessions when we got the answer that there was no concession agreement. Now they're saying all of a sudden, there's been a signed oil exploitation contract without a concession. How come there's no concession, what's behind this? We are here as a legislative body, as they say, wrongly said "over the Parliament is only God", above the Parliament can only be a Croatian people. We're treating our greatest wealth too freely and it's the Adriatic, and it's researching the Adriatic and it's oil, gas wells, potential we have. Why don't we control our wealth when we're such a poor country? Before we discussed it, my colleague Holly used to say what Norway was doing and we know it well. What do Americans do that don't draw their own sources but subdue wars in other people's fields so they can liquefy oil and spend other people's oil. And we, the great poor girl, are simply saying, well, we're going to give it to others, we're going to bypass the laws, and we're going to give the business centuries, thousands of years to someone else. Without a public tender, there is a seismic survey in the Adriatic, it is a scandal to be discussed, here to do a session of the Assembly only on this subject. This is an important topic in order to talk about the qualifications of members of the agency, you need to ask what qualifications this government is.
ParlaMint-HR_2014-01-23-0.u66521	We're moving on to replicas. The first one was Boro Grubisic.
ParlaMint-HR_2014-01-23-0.u66522	Thank you very much, Mr. Vice President. As well as the distinguished representative Vuksic that you mentioned the distortion of actually the integrity and sovereignty of the Republic of Croatia by making decisions, giving or not giving concessions, you mentioned the exploitation of oil in your Međimurje at three locations, I think the VVZ is, in a way, the beginning of the names of these places where oil exploitation and that contract will be done. But what I was about to say is that in the 7 years of occupation of the eastern part of Slavonia and Sreme, we didn't have any, but Arkan directly, so Arkan exploited the oil from Djeletovci. When and how the Republic of Croatia tried to protect its rights and what was alienated from sovereign Croatian territory, so Djeletovci are part of Croatia, part of Slavonia. Has the Republic of Croatia ever tried to sue or claim compensation for removed oil from Djeletovci? That's one thing. And secondly, what about the oil fields that we have, let's say cheap in some fear of this conflict in Syria, sold to others, and today the strongest, the richest, richest oil finds in Syria, and there today, they draw oil and make huge money, and the RH is as you said for the little money yourself, you gave it up faster or gave it to someone else. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66523	Answer, Branko Vuksic.
ParlaMint-HR_2014-01-23-0.u66524	Dear counterpart Grubisic, first in the heat of the debate, Međimurje is not oil but gas. Only if you haven't noticed. ... Yeah, carbs. [[You can't hear the intruder.]] How did you ask the same question, how did your rights protect Croatia? You said Arkan exported oil to Croatia from Djelekovci He drew, yeah. [[Intruder: Rinse.]] But then he was exporting. ... Yeah. [[You can't hear the intruder.]] And how do you know that someone of ours wasn't involved in this? You know there's no saying drug trafficking, there's no smuggling of white slavery if not, in no state, the most democratic, if no one from the police is involved, someone from the top of the state. So we're no exception, we know that we're no exception. How do we protect our rights? I tried to illustrate in this debate exactly how we treat the greatest Croatian wealth or the Adriatic, and we keep swearing it. How do we control the pollution of the Adriatic? How do we control the environment? Did we even discuss it? In the Croatian Parliament, it is as if the Kukuriku coalition is not at all concerned. We didn't set up an agency so we wouldn't start that agency to hire a few people. This is too serious a job, and I appeal to the MPs of the Kukuriku coalition, do not let the agency be an agency of one ministry, and that the important issue is decided by a handful of people. This should be the responsibility of the Croatian Parliament.
ParlaMint-HR_2014-01-23-0.u66525	Second replica, respected Petar Baranovic, please.
ParlaMint-HR_2014-01-23-0.u66526	Thank you very much, Mr. Vice President. It's about hydrocarbons, not carbohydrates, respected colleagues. As for the things stated by the esteemed representative Vuksic in his presentation, there are some things that need to be clarified. The Ana-Mari gas minefield is located neither in Croatian nor in Italian territory, but in the area of the Epicontinental Belt of the Republic of Croatia and the Epicontinental Belt of the Republic of Italy. It's an area of extended jurisdiction, not full jurisdiction. It's not part of national territory. The issue of hydrocarbon exploitation in the context of international law must apply to the epicontinental belt, and if they put into this context this method of scientific research of spectrum, then it is very questionable whether the Republic of Croatia is above 12 miles, i.e. national borders at sea, has at all the possibility to prevent anyone from conducting such a type of examination by virtue of existing rules. Here we have opened the thesis in this House of Honored colleagues from the opposition whether it should have been done or perhaps should not have been done. We haven't done anything in, like, 30 years and we've been waiting for the next fact to break our heads. The hydrocarbon bearings located in the continental band of gentlemen do not know about the administrative boundaries unless we encourage the process of research, testing and exploitation through the positive legal regulations of the Republic of Croatia that regulate it then we will experience that they will drill us from their side of the Italians and collect everything. So we don't have time to play with national interests. Thank you very much.
ParlaMint-HR_2014-01-23-0.u66527	Reply Branko Vuksic.
ParlaMint-HR_2014-01-23-0.u66528	Dear colleague Baranovic, first of all I could have answered the whole answer here we asked that question long ago. And to write an epicontinental belt, etc. I didn't mean to, I could read it specifically, I could speak in a way that no one would understand. First of all, what did you say was whether or not to be done? Yes, it should be done, it should be done, but it should be obeyed by Croatian laws. It needs to be controlled. That's commendable, and we said we'd back this up. But if it will be controlled by the Croatian Parliament. So we're pushing for it to be under your control more than under our control. Therefore, we do not require anything that would be illogical. It is too much of the interest of the Republic of Croatia, it is too much money and the interests are too great to be decided by the Croatian Parliament. And for every commendation, it's that the Adriatic has begun to explore itself. We're just saying if anyone's asked a question about what's going on with billions in Syria, in Hayan. Do we have any information about this? What's going to happen to that? It's a terrible money. The Croatian Parliament has any knowledge of that? There isn't. We've got too much money, we've got a surplus, so we're not interested in it, but we're gonna dangle the workers, blink as much as you can.
ParlaMint-HR_2014-01-23-0.u66529	Replica Đuro Popiè.
ParlaMint-HR_2014-01-23-0.u66530	Thank you very much, Mr. Vice President, dear colleague. You're lucky Mr. Radosh didn't listen to you because he'd accuse you of making fun of the law since you opened up the most of it or confirmed the dilemmas that we held in our discussions here, perhaps in a slightly different way. Actually that's it, I didn't see you find any big sense besides saying you'd back up for some reason. You also mentioned that what is now going on on the big bells would spread through the media so that something that is now happening could not solve Croatia's future and will not be particularly if this law is respected which is now but also the one that was adopted on 18 July on research and exploitation. It says here that the Republic of Croatia has the right to buy all or part of the production of hydrocarbons that would belong to the investor in accordance with the contract, based on market conditions, depending on the method of exploitation. It's never written anything like that before. So anything that could have been done in terms of exploitation could have been done under current laws within the ministry as it has always been and nothing has prevented anyone from doing so. But what's written here right now in these laws just opens up a lot of questions about why they happened and where these laws actually lead. And the second thing that's hidden in all of this and it says, of course, about funding, there is a strong doubt that the agency is being financed precisely from the compensation that whoever exploits these oil and gas fields will be obliged to pay directly to the agency's account which has never happened, and especially since they have abolished the HANDA funding, which is much more important. So that's really a key question that we really need to answer here whether it's true and how it's actually going to be financed by that agency. Thank you.
ParlaMint-HR_2014-01-23-0.u66531	Reply to the replica Branko Vuksic.
ParlaMint-HR_2014-01-23-0.u66532	As for Mr. Radosh, I saw him leave, so I argued. As far as this is concerned, I was talking about it. So a company that exploits oil or a gas-exploiting company has a perfectly certain right and we know that by all contracts, it has the right to do its part or money that I was saying about whether it's entitled to part of the gas or part of the oil depending on what's being investigated and what's being drawn. The way in which this right of first purchase, i.e. in which the Republic of Croatia will buy it all depends on what kind of contracts are, who controls those contracts. It is very important, it is too important that we say that the Croatian state controls how much gas is being drawn or how much oil it is. Who's making the bills? Do we know and who knows, if he knows, let him say here's the deputy minister to say which, at what times and how it will be done in the future? That's very important.
ParlaMint-HR_2014-01-23-0.u66533	Last line, Branko Bacic.
ParlaMint-HR_2014-01-23-0.u66534	Thank you, Mr. Vice President. You have shown behind the speaker a map of locations where Spectrum conducts scientific research but to demystify it, this map with locations and coordinates of these locations has every port captain's office since according to the Maritime Code, the Minister of Science, with the consent of the Minister of Defence and the Minister of the Economy and the Minister of Maritime Affairs, Transport and Liaison, can and should be obtained by means of the grace of the port captain. But it's not a dispute here, it's a questionable thing that you rightly concluded, and that's why these papers are brought down under scientific research, not under the one that the Ministry of Economy should give the concession that these jobs are being done. And what is the most reluctant of all is that whose ownership is the result of these seismic research? Minister Vrdoljak says they are owned by the Republic of Croatia, but that they will be sold by the company Spectrum to raise funds from the company to which it sells the data. Therefore, that is what is controversial. How data can be owned by the Republic of Croatia when their use is charged by a foreign company that has reached the possibility of this scientific research without concession, without a public tender under what circumstances. Well, that would interest me, so I'd ask Mr. Leveric to explain it to us, or if he can't explain it to us, the economy minister.
ParlaMint-HR_2014-01-23-0.u66535	We'll hear from Mr. Leveric as soon as we hear the reply to the replica.
ParlaMint-HR_2014-01-23-0.u66536	Dear counterpart Bačić, as soon as the results of the scientific research are for sale, it is primarily a large questionnaire on whether it was scientific, we know that they were not scientific, that they were research to exploit gas and oil, it is owned by Spectrum because the source from the government of the Republic of Croatia says Spectrum is selling. Well, he can't sell Spectrum something owned by the Republic of Croatia. It would then sell the Republic of Croatia, or someone on behalf of the Republic of Croatia. The biggest question of all the questions is why the law has been bypassed, which is why the ministry that is not responsible for it has concluded a contract with Spectrum and what is behind it? I think there's work here for the State's Attorney's Office, that we need to examine what happened to that. It's too much value, especially after it says that they've pissed off companies worldwide as much of that gas and oil in the Adriatic. I don't think we're even going to bathe anymore, we're going to bathe in oil not in the sea.
ParlaMint-HR_2014-01-23-0.u66537	The word is now being reported by Deputy Minister, Honored Allen Leveric. Here you go.
ParlaMint-HR_2014-01-23-0.u66538	Thank you very much, Mr. Vice President.
ParlaMint-HR_2014-01-23-0.u66539	Here's to the pay phone, please.
ParlaMint-HR_2014-01-23-0.u66540	Thank you very much, Mr. Vice President. It's just two technical things. Mr. Honorable Parliamentary Representative Vuksic said about ANAMARIA it is about gas ratios, I suggest that the 72nd session of the Government point 20 have a technical agreement between the Ministry of Economy etc. The government adopted him, adopted him on the basis of an elaborate mining... You can get all the information and mining elaborates from a parliamentary representative. [[The speaker doesn't understand.]] I'm sorry you spent money on this map because the map is currently available on the Internet, anyone can download it. Well, I don't know why you spend money on something that can be copied. And not only is it available on the official pages of Spectrum, as the respected MP Bačić said, has it every port administration, but also has every major conference on oil and gas on the world market has these maps. And, in fact, not only are the routes and coordinates that Spectrum was doing the investigation, but all the fields that are already existing exploitation fields in the Adriatic area have been drawn. And just to demystify research mining works are drilling research wells and identifying spare mineral raw materials, etc., and according to the Mining Act. Thank you.
ParlaMint-HR_2014-01-23-0.u66541	And on this we have a reported replica of Branko Vuksic.
