ParlaMint-HR_2014-05-23-0.u77720	Looking for a club? Yeah.
ParlaMint-HR_2014-05-23-0.u79382	Thank you. So, buddy, two things to clear up here. You have every right to perceive us politically as part of the coalition. We formally are not now or from the first moment, we support all those legal texts, legal solutions that we consider to be good for the Republic of Croatia, absolutely for all the citizens of the Republic of Croatia. And I don't see why they wouldn't be supported if we thought they were okay. Just because he suggested it to the Kukurik coalition so we wouldn't support it? We were in the previous term on software matters with the HDZ government, here is former President Mrs Kosor, where we worked very well together and where we also supported those solutions that were for general benefit, or which were of interest to the Republic of Croatia. Not to talk about the EU accession process, much more difficult topics, etc., etc. So you can't tell us some things that don't stand. And we will always vote for those solutions that are good. It is also clear to you that what we think is not what we think is good. Second thing, quota. Well, you've been here long enough and you've been a Parliamentarian long enough to know that there is a constitutional law on the rights of national minorities that regulates this matter very clearly. Do you like it? Is that acceptable to you? That's the subject of conversation. But it's written, that's what this House adopted, it's what the EU bodies are pictured when we enter the EU and it needs to be implemented. There is also an Action Plan of the Government of the Republic of Croatia that has operationally committed itself and said what percentage must be members of national minorities in the employment of state administration bodies, regional administrations even local self-government authorities. Unfortunately, we don't stick to it. And it's quite clear that I insist that someone who retires from that percentage be replaced to maintain that percentage.
ParlaMint-HR_2014-05-23-0.u79383	Jadranka Kosor, replica.
ParlaMint-HR_2014-05-23-0.u79384	Thank you very much, Madam Vice President. Well, here's because my colleague Horvat initially mentioned the Ethics Commission and that the debate continued, I'm going to say that at times this debate on the Ethics Commission for these elections crosses the boundaries of ethical behavior. So in that sense, I would like to try to get back to the beginning and ask, and since fellow Horvat is having a problem with who decided on the composition of the Ethics Commission in the end, who chose it? Constitutional court. So far, no one has asked that question in any way. Therefore, if I assume that the Constitutional Court has made a final decision on the appointment of members of the Ethics Commission, I suppose it must have checked that all members fulfil the conditions set out in the regulations of the Republic of Croatia. And let's concentrate on that. And the fact is, by really clicking on a mouse, we can check whether someone is a member of a party or not. Is he the president of some organization or not? It would be strange if the president of the organization or the president of any party were not a member. But let's check it out and get this debate over with. And the other thing that seems important to me and it's mentioned here, and you mentioned it to Mr. Col. Horvat, about the processing of war crimes. I would like to point out once again here, no government, no one, not this one, not past, nor the previous ones could in any way be responsible for the processing or non-processing of any crime, and then no war crimes because governments must create frameworks to strengthen the rule of law, and it is known who is responsible for the state's attorney in these cases. Therefore, the data you have provided are data that are relevant. And that is the only information we can and must discuss in Parliament.
ParlaMint-HR_2014-05-23-0.u79385	The answer to the line of Mile Horvat.
ParlaMint-HR_2014-05-23-0.u79386	Thank you. Comrade Kosor, in any case, thank you for this clarification, therefore, of the unnecessary debate we have opened here and delivered to each other about morality and ethics. I see it more as some sort of semi-legal, semi-legal opportunity to talk a little bit more about elections when we don't already have official meetings, which is quite good and justifiable, then here's a chance that through one of the institutes here in the Parliament there is still something that is related to European elections, and none of us here previously wanted to. And that's why I'm surprised you opened it. The Constitutional Court is the one who, well you said who appointed the members and I do not question the legitimacy of the appointment to this effect at all, because then we question the legitimacy of the Constitutional Court's decision which is few. So here you are, here with this kind of debate a bigger question has been raised than the appointment of this lady whose name I will no longer be here to mention.
ParlaMint-HR_2014-05-23-0.u79387	Boro Grubisic, replica.
ParlaMint-HR_2014-05-23-0.u79388	Thank you very much. Col. Horvat, a colleague of the Mlakar, is when it counts those who are in the ruling coalition and who have proposed, except for the president who is president of the HZU, so three on behalf of the ruling ones. He also classified the SDSS, claiming you formally or informally that, whether in the coalition or not, it is public in the coalition and the people and citizens know it, as well as ORAH, pardon the watermelon, ORAH pardon. How much of those who have been sued in the Republic of Croatia, against whom the State Attorney's Office is conducting proceedings, do you think that, on the basis of the definition of the Constitution of the Republic of Croatia, it is therefore defensive and on my initiative and liberative, therefore a defensive and liberative war. Do you expect to be equal to the number of people sued for equality, for the key, I suppose? So in some Bosnian municipalities, the mayor of the municipality was chosen by key, these are old times. So one term must be a Serb, one term of office of Croat and one term of office of Bosniak, Muslim however you like. That's how you'd like it to be in Croatia and be a relationship on behalf of these ruling 2-1 Croats, and here's one member of the Serb minority. What do you mean, what are you saying? And in the end, I agree with you to be in the judiciary and the prosecution an even number of Serbs represented in the system, but then I also count on these people on the Serbian side to help shed light on the cases of the Sun, the raped women in Vukovar, whom neither this government nor anyone will process, nor help to process, and we have clear and loud statements of witnesses and those involved, those who were unfortunately exposed to such a procedure and procedure in the military.
ParlaMint-HR_2014-05-23-0.u79389	counterpart Grubisic, no government is processing in democratic states. You take counsel and you need to know that. The answer to the line of Mile Horvat.
ParlaMint-HR_2014-05-23-0.u79390	I thank my colleague Grubisic. My colleague Grubisic doesn't mind that you see us as part of the coalition and we are not ashamed of it, just as we are not ashamed of our participation in the coalition with the HDZ government. My God it's politics, it's moment, it's circumstances, it's time etc. But what I have to tell you because of the clear perception of the whole thing, it's always good for minorities to be there for the ruling because no one so big a minority problem can solve it from the opposition. Therefore, it must be co-operatively and correctly tackled with options, with governments that are in power at the moment. Regarding this second part, which you said, so you called me for the figures on criminal charges filed for war crimes, I only read 3495 criminal charges and 2.5% against members of the Croatian people and 97% against Srpski. And I didn't comment, and I didn't insist on any key because it's not bidding with the victims and it's not good that you're formulating it this way. I respect you, but your comment is not good, because I don't bid the victims, I'm talking about participation by, in relation to employment, not the trial and trial of the victims for war crimes. No one's playing with that. At the end of my mind, it wasn't my idea to bid myself in a way to look for some key in the procession. I realized that, how many people were processed, what proportions were in that number, and I found in the end that the state's attorney was doing its job after all. Of course you'd want to be twice as processed, then you'd probably find that the DORH was doing well, that at least one 5,000 of them were being processed, as it was supposed to be at first, as it was supposed to be. Otherwise, of course, out of compassion, it should be processed as far as I'm concerned.
ParlaMint-HR_2014-05-23-0.u79391	Thank you very much. Boris Blazekovic, replica. I'd like to hear a little bit of what anyone's saying.
ParlaMint-HR_2014-05-23-0.u79392	Thank you very much, Madam Vice President. A fellow Horvat, related to morality and ethics, we have heard here today a statement that is ethical at least, which is that this government enjoyed the misfortune of flooded people. This blast is simply impossible to pronounce in this situation at all, and this coalition certainly won't defend anyone to say whatever they think and whatever they think they need to say and say publicly. This coalition certainly won't threaten non-experienceds with various bans and openings of various caves. This coalition is not about people who never wanted this country but about people who fought for the Croatian state and for the freedom of Croatian citizens in the Homeland War. One who speaks the opposite, does not speak the truth, knowingly deceives and irresponsiblely harasses the public.
ParlaMint-HR_2014-05-23-0.u79393	... in the replica. [[The speaker doesn't understand.]] And Josip Djakic, the replica.
ParlaMint-HR_2014-05-23-0.u79394	Thank you very much. Well, fellow Horvat, you've been talking about how not some people are correct who are publicly published on your site and clearly says who is who in your organization, who is president, and that's a member. You do this... Why didn't you take it off the page? Why is... on that page worth having the president of your party's city organization? But you and her will prove it in the next procedure in front of those who should have known. When you talk about the proportion in the conduct of state attorneys in criminal proceedings and the initiation of those crimes in war crimes and rapes, I don't know what kind of proportion this should be in the initiation of proceedings with regard to aggression..., Serbia and... Chetnic formations on the Republic of Croatia. What is this supposed to be a proportion in the conduct of criminal acts conducted by the state's attorneys? I just want justice and justice to be equal for everyone, to use all the agreements signed between the state's attorneys, to use international red warrants and bring to court those who are perpetrators, and they are sheltered in the Republic of Serbia or Republika Srpska in BiH. They must come before the face of justice, before the Croatian courts and answer for the works they have done, not as they are walking today, both in Vukovar and in the village of Bor, and also in my Slatin, and there are as many as the Pakrac and defiances of the afflicted and the victims of the Croatian people, even mock the victims. That's what I'd like it to stop, and that's what I'd like it to be fairer and fairer and this kind of surveillance of...
ParlaMint-HR_2014-05-23-0.u79395	Replication response, Mile Horvat.
ParlaMint-HR_2014-05-23-0.u79396	I thank my colleague Djakic. So, I fully agree with you, justice and justice is the basic... which is also the fundamental interest of our members of the Serb minority community in the Republic of Croatia. Justice and justice is something that can solve things in the right way and can take down... and collective guilt that is still present today in some kind of social perception of these relationships. So, justice and justice, but I must also remind you when it comes to justice and justice, which is with justice and justice for victims in Kiev, for sacrifice in Osijek, Vukovar, Brod, Vinkovci, Pornić,... Dubravi, Topolaci, etc.? They wait for justice and justice, I absolutely agree with you and now I sign that the basic postulate is justice and justice in solving, processing crimes from a period of war. I said here that 99% of criminal charges were filed and first-degree procedures were carried out... It's not justice and justice, the profession will say it. In repeated proceedings, these first-degree rulings are often abolished with new witnesses, with better quality processes and discussions a different final decision is made. Now that is justice and justice, and I fully support you in that.
ParlaMint-HR_2014-05-23-0.u79397	We ended the debate, and I will remind you in the end that I am concluding the debate on the Proposal for a Law on Areas and Headquarterss of State Lawyers because we are so far away from the topic that if someone is watching us, they don't know what we're discussing. We'll vote on the bill later.
ParlaMint-HR_2014-05-23-0.u79398	Proposal for a Law on Areas and Headquarterss of State Lawyers, First Reading, P.Z. No. 668. The debate is closed. In accordance with the proposals of the working bodies of the Croatian Parliament, I am voting on the next conclusion. Proposal for a Law on Areas and Headquarterss of State Lawyers is hereby adopted. All objections, proposals and opinions will be addressed to the applicant in order to prepare the final draft law. Please, who's in favor of this conclusion? Thank you. Who's against it? Does anyone have any abstentions? Thank you. I'm asking for a result. I find the proposed conclusion accepted by most votes, 82 votes in favour and 26 abstentions.
ParlaMint-HR_2014-05-23-0.u79399	And now, according to the agreement between the clubs and the minister, we will discuss in a united debate - the final draft law confirming the contract between the Government of the Republic of Croatia and the Government of the Kingdom of Sweden on the exchange and mutual protection of classified data, emergency procedure, first and second reading, P.Z. No. 661 - Final proposal for a law confirming the contract between the Government of the Republic of Croatia and the Government of the Republic of Finland on mutual protection of classified data, emergency procedure, first and second reading, P.Z. No. 662 Proposer of the Law is Government of the Republic of Croatia. You've received a proposal for action. In accordance with Article 204. The Rules of Procedure, the emergency procedure unites the first and second readings. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law and the Committee on Justice. You received the reports at the session. Introducing the bill... The minister says there's no need to explain the proposals in the opening. Do the committee's reporters want to take a word for it? They don't want to. I'm opening a debate. The first is SDP and counterpart Franco Vidovic.
ParlaMint-HR_2014-05-23-0.u79400	Thank you, Vice President. Dear Ministers, colleagues and colleagues. The SDP Club of Croatia will support the proposal for a law on the confirmation of contracts between the Government of the Republic of Croatia and the Government of the Kingdom of Sweden on the exchange and mutual protection of classified data, as well as the Proposal for a law on the confirmation of contracts between the Government of the Republic of Finland and the Government of the Republic of Finland on the exchange and mutual protection of classified data. During 2006, 2007 and 2008, the Republic of Croatia adopted legislation in the field of information security which ensured the application of the necessary measures and standards in the exchange of classified data between the Republic of Croatia and other countries and initiated the process of conclusion of international contracts that exchange and protect classified data. A series of laws have been passed, the Law on the Security and Intelligence System of the Republic of Croatia, the Security of Verification Act, the Information Security Act, and a series of sublegal acts. For example. The Law on the Security Intelligence System of the Republic of Croatia covers the international exchange and protection of classified data. The information security law lays down the concept of information security, measures and standards of information security, the area of information security and competent authorities for the adoption, implementation and supervision of measures and standards of information security. The bodies to which the law applies have also been defined, and the same applies to state bodies, units of local and regional (regional) self-government and to legal persons with public authority using classified and non-classified data in their work. This law also provides for the establishment of specific funds for classified data submitted by the Republic of Croatia by another country or international organisation or institution with which the Republic of Croatia cooperates. The Republic of Croatia is also a member of a series of conventions and international agreements that regulate state co-operation to exchange data and information in the fight against corruption, organised crime, the prevention of money laundering, terrorist financing, the processing of war crimes but also in a number of civil-legal relations. The inevitable need is for the state to negotiate through bilateral agreements specific relations, standards, rules of mutual protection of classified data that arise together or are exchanged. This Treaty lays down a legal framework for the protection of classified data common to be created or exchanged between the Contracting Parties, the competent authorities for the implementation of the contract are to be designated, equivalent degrees of secrecy, treatment of classified data, obligations relating to national measures for the protection of classified data, mechanisms for the transfer of classified data shall be established. Specific provisions on classified contracts are also contained, the way in which visits and meetings of experts are achieved, the handling of security infringements, as in the final question of the costs incurred in the implementation of the contract. The signatures of these contracts are in principle an expression on the one hand of close foreign policy relations between states, and on the other hand the increased need for their concerted action to address the most common security issues and problems which often go beyond and beyond the national frameworks. Thank you very much.
ParlaMint-HR_2014-05-23-0.u79401	Thank you very much. On behalf of the HDZ Club, colleague Davor Bozinović.
ParlaMint-HR_2014-05-23-0.u79402	Thank you very much, Madam Vice President. Mr. Minister. I would say that it is a bit of an unusual practice that the proposing here in front of representatives of the Croatian Parliament does not find it necessary to explain the proposal on the table. Maybe not even so much for us here, but for the two states that are the signatories of this contract. I think it's a good diplomatic practice to show one review to the signatories of this contract, or these contracts, because if they didn't matter, they probably wouldn't even be signed. So Croatia is an active participant of a collective security system without cooperation, without sharing specific information that improves efforts and bilateral actors, but also broader in the fight against organised crime on the international stage. As we know, modern threats are on the one hand and diverse, they are cross-border so that cooperation on this issue increases the willingness of all to bear burdens in this fight, to face challenges and to counter or prevent challenges for international security and in this way. This Agreement constitutes a framework that promotes good governance standards, which means that giving up or neglecting some existing practice of cooperation and exchanges on ad hoc basis is already regulated first on national and then informing the other State that surveillance of information of a specific character is regulated at national level. So there is a mechanism of protection, as I said, for international co-operation. And now what I said at the beginning. Such a contract has an important bilateral context, not only in the context of joint threats but it speaks of a high level of trust that exists between states of signatories because the states that have such an agreement raises to a higher level of mutual co-operation, which is absolutely a step beyond classical bilateral cooperation between countries and I therefore think that it has also earned the introductory letter of the promoter. Thank you very much.
ParlaMint-HR_2014-05-23-0.u79403	Thank you very much. I'm closing the debate. We'll vote on the bill later. We will continue the session at 9.30 a.m. on Wednesday, colleagues and colleagues to discuss the final proposal of the Family Law. Thank you very much.
ParlaMint-HR_2014-05-23-0.u79404	Final proposal of the Law on the confirmation of the contract between the Government of the Republic of Croatia and the Government of the Kingdom of Sweden on the exchange and mutual protection of classified data, emergency procedure, first and second reading, P.Z. No. 661. The debate is closed. I am voting on the final draft of the law. Please plead. Who's in? Thank you. Who's against it? Who's restrained? I'm asking for a result. I find that the law of P.Z. No. 661 delivered unanimously with 98 votes in favour.
