ParlaMint-HR_2014-02-28-0.u64252	And now I see a colleague of Mile Horvat reporting, no. Mr. Pupovac, come in.
ParlaMint-HR_2014-02-28-0.u72979	Thank you. My colleague Shuker's answer. Here you go.
ParlaMint-HR_2014-02-28-0.u72980	Thank you very much, Mr. Vice President. My colleague Bačić, what I am asked is a fundamental question after these discussions today whether Croatia is ready for regionalisation. That's the key question. Because of all diversity and when we see that in the city of Zagreb and the surrounding area it is practically concentrated 65, 70 it doesn't matter if 5% plus up, minus the economy, then questions are asked whether Croatia is ready for regionalisation. Will this regionalisation lead to devastating divisions in the Republic of Croatia? And to the conflict precisely because of this great divergence? It's not a problem of regionalization when we all live in pretty much the same conditions, so that's the least of the problems. Then people do their jobs, they have jobs, they live by a certain standard, if professional career takes it to another part of Croatia, they will go like this everywhere, but unfortunately the map is only in one direction and that is the city of Zagreb. Perhaps some part of Split but hard and here, practically economically watching, do we want what is happening to us to us? And this is exactly what leads us to it. And we can't when we take income capacity and that's the key thing about these things, Croatian citizens in certain counties, then we'll see all the dangers of this all together. And when we take the seasonal character of individual jobs in certain regions that are predicted, that is why it is proposed continental and so to say the Adriatic region, precisely because there are certain similarities and problems where the city of Zagreb is highlighted as some kind of lighthouse that shines, however, the problems of northern Croatia with its wood and textile industry are the same problems that tend but in some other way peasants in Slavonia. Therefore, Croatia should view and share in such a way, and this is unfortunately something that can be dangerous and which, unfortunately, can lead us to violent conflicts that we do not need.
ParlaMint-HR_2014-02-28-0.u72981	Next line, Drazenko Pandek. Here you go.
ParlaMint-HR_2014-02-28-0.u72982	Thank you. Here's a esteemed colleague of mine you were talking about depolitizing the state administration's office. And in principle, that principle sounds pretty good. We have, however, implemented this principle of depolitisation legally consistent with the regulation, let's say that mayors and mayors of their county and city offices choose therefore in a public competition as formally without the influence of politics. However, we are very aware that a very small number or almost none of these or mayors, mayors, chooses not their leaders completely unknown people who have received an objective public competition and I have no intention... of any political option. It's what they do, basically the top people of those units from any of the options, and I have to tell them honestly, I don't blame it at all. Because, for example, ...independent mayor Milan Bandic in the City of Zagreb, it is unthinkable for me, for example, that he would design and implement a political platform for the entire city on his own, so with only three people he manages a whole system of 15, 18 thousand people. It seems to me that it would be more politically correct and politically less hypocritical if we hadn't prescribed such a provision in that Law on local or regional, regional self-government. That's right here, we always have some objections to depolitisation when we're in opposition. I'm afraid any party would not or any political option in power would not resist if, however, for such important segments that depend on the functioning of the state administration were placed precisely by people who, as a result, got completely unknown in some public competition. That's why I thought, I suggested, and for that it should be a consensus perhaps of all policy options that as in the United States, for example. have a plan..., a book of colors... where the American president when he comes to the office has the right about I think 7.5-8 thousand people set up according to his intent and exactly the prescribed places. I think it would be good for Croatia if we adopted that principle, and then...
ParlaMint-HR_2014-02-28-0.u72983	Time, fellow Pandek.
ParlaMint-HR_2014-02-28-0.u72984	No matter what political options, and so we stick to that principle, and that would be far better than the present...
ParlaMint-HR_2014-02-28-0.u72985	Answer, fellow Shuker. Here you go.
ParlaMint-HR_2014-02-28-0.u72986	... The cop in his back you told the biggest truth. [[You don't understand.]] The biggest problem in Croatia is that some rule and perception that the state service is infatuation, a good life and nothing to do has been applied. Now, you see, when we turn that perception around, so when we say that whoever works in the state service, and who's going to meet the needs of the citizens who pay him must be highly professional and professional, then we won't discuss these things anymore, no matter what we're from two different political options. Unfortunately, however, we continue to push the story that in the state administration there are unemployed and incompetent people. An unemployed and incompetent man cannot provide a quality service. When we set the level of services that a Croatian citizen must receive, be sure not one mayor, not one mayor, not one mayor, and no minister will be put in a position to appoint a man who does not know how to work. Why? Because if someone is professional, he professionally does his job, professionally warns his boss of certain problems that may arise, so if this one doesn't do it, he's not responsible for it. So I'm talking about that kind of work. We'll probably need it as a society to grow up a lot, but you can't say that tax administration, customs don't have to be depolitized, sea. Its place of politics is gone, there are professional people working there, and they have to do professional people working under the laws that we bring here. Politics, we don't have so many millions of people educated that everyone knows how to do that job. Let's stop that illusion. So we think that a parent should be some kind of lame, motherly person and certainly must be an expert person. The queens and everything that runs together may not have happened to us, the discrepancies between the home offices and the MUP who worked and kept different records, so when we introduced the OIB, we found what, 200 and so many thousands of Croats that practically do not exist. Tens of thousands of Croats under the age of 16 registered in the home office have not been registered in the MUP because they did not ask for any official document. So, buddy, I'm talking about these things that you don't know about and don't talk about. So professionalism offers quality, let's let politics go, politics is run here.
ParlaMint-HR_2014-02-28-0.u72987	Thank you. On behalf of SDP representative Ivan Posavec Krivec. Excuse me, my colleague, on behalf of the motionary, the Deputy Minister has come forward. Here you go, Mr. Puchuljan.
ParlaMint-HR_2014-02-28-0.u72988	Thank you very much. Ladies and gentlemen of the Parliament. I'm going to try to say something in these five minutes about what's on my heart, which I've been working on for 30 years, and I think we've hit in this final part of the debate very, very well. I would agree to your suggestions to a good degree, with your thoughts. Of course, it does not seem to me what has been the debate all this time, that here it should have been and that the political component of this debate, the territorial structure and the reconstruction of the Republic of Croatia was important. It's a good thing that part here opened up. I don't think we can run away from that part, face our opinions, but it seems to me that this is just about once. This change, the intervention in the law had its own genealogy, and the genealogy was created around 2008 when the Croatian Government ordered the project and received a project almost similar to the reconstruction of the state administration's office in the way of Croatian science and international science as it is today. The county of the office also includes the weakening of the office, but also the recycling of a large number of offices that cannot have administrative capacity in the Križevci as they have in Zagreb and Split, and that is the point and this solution. This solution will be best in that part and I agree with Agent Shucker in that part that it probably needed much better to elaborate in that part to make the network look, but the network seems relatively simple. You are leaving it on the ground transformed, reinforced single administrative places that we have introduced by the General Administrative Procedure Act, and now we are working on it here, and these are the home offices strengthened and there are requirements from the office, but not from this office but from other offices, and in time also from state bodies and legal entities with public authority. You're setting up a sectoral, functional approach, which is now not done, and that means that the local authority for Dalmatia is unless you have an expert, and I assure you that of these it's been affected that there are about 2800 employees with relatively weak structure, 60 and some medium professional equipment you can't solve the heavy property-legal, complex property-legal jobs equally in a small place, also in a central university centre. And that's why it seems to me that and then you take over the items or you sectorally solve them, but the citizen gets his service on the ground. No one will eliminate one who is reasonable but will spread the network across the Republic of Croatia. And this right here, of course, when systematic or 25-year interventions, are almost 20 and some years unconstitutional. You can't build a system. This is just a small mosaic that is likely to move on the logic of things and on one sense, which is that in the end this deconcentration which is not only what my colleague Bozinović says the concentration, but the deconcentration of the affairs of the state administration which one France is doing is extremely long and extremely careful and in this is the top master of Croatian patriot and Croatian Mark... which says don't give up so easily, strengthen the state, then shift your functions to the next level. [[The speaker doesn't understand.]] And now in that part of the deconcentration follows, it must go towards decentralisation and this means strengthening local self-government and strengthening the region. I'll add one more thing in the final word. But it seems to me that here we are the only thing that matters here is the administrative availability of administrative services to citizens and that is high-quality, fast and efficient. That's what this law is about, these amendments to this law. We haven't touched these other parts at all. It is also important, because it shows that life goes on, that even legal persons with public authority, independent regulators live among us, determine very strongly our destiny and we do not give them or we simply give them some authority. Here we're trying to say no, it's a system, systematically we have to do it. This is a small intervention, but every intervention in the System Law is part of a systematic intervention. So it seems to me that in that part of me, that part of the optics and focus should be shifted from policy to citizen and towards administrative functions. And these are first-degree and this is the only serious law established first-degree bodies. There's the administration, the state administration is running at first degree and almost nowhere else. Because in the final, I think you should say what's behind this law, which is practically the move of the Ministry's district offices in the good part and the concentration in the offices of all the first-degree offices of the State Administration dispensed, networked, but then with a higher quality. Do not underestimate and overestimate what it is, that someone sitting in the town of Split sitting in the county, sitting in the city of Split, Not in the same place as the county office, the Office of State Administration with significantly less complex jobs, significantly better paid and therefore stimulated or not stimulated to do its job. [[Invader Batinić: Time.]] The first-degree State Administration’s business in property and in-house transactions is extremely complex. That is, in the finale I would say something else especially in this part of the depolitical process that I can agree on to a good degree. [[Invader Batinić: Time.]]
ParlaMint-HR_2014-02-28-0.u72989	Thank you. There'll be a chance of a replica. Ivan Shuker.
ParlaMint-HR_2014-02-28-0.u72990	Thank you very much. Mr. Piculjan, we personally talked about these things many times. However, there is something that simply when we do this kind of thing we must not hide. We have something that's what it is now and we have two things that are unattractive to everyone. One is motherhood and that part and the other is property-legal relations where everyone runs like a devil from a incense. Why? Because they never know who they're going to have to take a piece of land and blame it on this or that. However, we cannot say that this law that regulates 2800 people should make such radical changes at this time or try to make some changes and then produce something else precisely because of the diversity of Croatia. Because as much as you're talking, you simply can't go with the number of people to what office they're going to have to deal with, because that job and the work of the administration requires a lot of economic, like this or something, not how many people there are. Therefore, this package that, this law went to the Law on the State Inspectorate, the Law establishing tax, customs administration, the Law on the establishment of these police stations or whatever it is called, and even what Minister Milenic is now walking around the formation of courts and that the whole story is rounded up in one package as a reform move by the state administration. Because it's the state administration no matter what they regulate their own story, then we could say it's systematic, that's it. Then when you tell someone you're removing his municipal court, now that you're removing his name from the county office or some tax returns, then when you move what I know, there's something else you can't explain to that man that you're raising the quality of his administration. So we can break and talk as much as we want, but that's why the state administration is one synchronised apparatus and only as a synchronised apparatus can act effectively, otherwise it can't.
ParlaMint-HR_2014-02-28-0.u72991	Thank you. Here you go, Deputy. You're responding from the scene. It's just a microphone.
ParlaMint-HR_2014-02-28-0.u72992	Excuse me. It's just what seems to me that we here don't really have a lot of misunderstanding. It seems to me that this project to reorganise the Office of State Administration is one of the more powerful projects, regardless of the small requirement that the Croatian administration has made since 2008 onwards in 2005. I don't want to talk about a complete project of state administration reform because this isn't, this is where the words of the state administration reform are spoken. This is modernisation, this is an improvement in one system, and this will be quite certain jobs that are uniquely carried out in the territory of the Republic of Croatia by state bodies, which are areas in the area of the economy, such as the issue of permits for craft jobs, the establishment of prescribed minimum conditions, jobs in the field of social activity, Croatian defenders, sports activities, property-legislative activities, the establishment of rights, the authorisation of property, the establishment of property rights for property seized during the Yugoslav communist rule, the affairs of general government, the resolution of personal states, the state-of-the-arts, the registers of voters, other registers, the supervision of local property, the supervision of local self-government, the supervision of local self-government, not only, must be carried out in a uniform and quality that is uniform and quality that you can only, if you have good footage of the situation, we have, we have a good state of the state of the situation, and the four states in which are not only one-of the law and the one-of-of-of-of-of-the-law law, which is the one-law-law-law-law, which is the one-law-law-law-law-law-of-of-law-law-law-law-law-law-law-law-law-law-law, which is-law-law-law-law-law-law-law-law-law-of-law-law-of-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-law-of-of-law-law-of-of-of-of-of-of-of-of-of-of-of-law-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-of-law-of-law-of-of-of-law-of-of-of-of-of- [[/Intruder Batinić: Your time is up, Deputy. We have three more replicas, so it's going to be...]]
ParlaMint-HR_2014-02-28-0.u72993	Vice President Zeljko Reiner, please.
ParlaMint-HR_2014-02-28-0.u72994	Thank you very much, Mr. Vice President. Well, Mr. Piculjan, first of all, one remark that concerns us here. It's sad that no matter what we agree with what we're talking about now or not, there are letters and numbers nine of us here and we're talking about one topic that really concerns people in all places, in all cities, some of us are very interested in it, what they're suggesting or not, and it's for concern, it's a small excess of opposition to the rulings, but there's still a total of nine of us, and it's actually sad, I have to say. However, what I was going to say and what was very good to be launched in this discussion if, in this chamber composition of the Assembly, the fact that the importance of professionalisation of the administration is highlighted, I think of the state administration as a whole, I think it is one of the huge problems of the Croatian state, and unfortunately not at the local level or at the state level, it is not far enough attention but that it is going in the opposite direction, we were aware that, let's say in 2012, it was almost entirely spent on changing the full set, bringing to its people in a country that is a small country, where human resources are very modest, where there is no possibility of finding more quality people for all positions, especially if they have to meet the capacities and needs and demands of certain members of the coalition so-and small parties in the coalition, in the government, etc., etc. It seems to me that one of the key things that Croatia must be able to do is to professionalise the state administration because it really has nothing to do with global policy whether an official in an office, in one small place is in one or the other party, when we achieve what we do, I think we have already come a long way into solving the crisis in which Croatia is now. Thank you very much.
ParlaMint-HR_2014-02-28-0.u72995	Thank you. Here you go, Deputy.
ParlaMint-HR_2014-02-28-0.u72996	The answer here is simple. I agree, it is an absolute topic that deserves certainly one broad discussion of Croatian experts, scientific public and political public, and that is a process that I think is unquestioned and only possible for European Croatia, that is, and that is what we are doing and that we are constantly imposing it.
ParlaMint-HR_2014-02-28-0.u72997	Thank you. Branko Bacic, come in.
ParlaMint-HR_2014-02-28-0.u72998	Thank you, Mr. Vice President. Comrade Piculjan, I may not be able to quote you correctly but you said somewhere on the trail that it is difficult to expect some small exposures from the state administration, the state administration's office can, in property-legal relations, solve quality work at the level of some university work, etc., etc. It seems to me that this law actually weakens the position and that is how the law foresees it, weakens the position of the precisely present-day insults of the state administration that were in the county centers and because they are now losing that position by this law which had until the amendments to this law and have become in a certain way some new structural unit lower-ranked compared to the state administration office which will now be, for example, in Split, and in Osijek I do not know where it will be. I believe that in those seats of which many and the university cities of which you yourself have spoken, there are sufficient capacity to deal with in complex property legal matters when they already have, when they are seats and municipal and not to say, numerous of them are the headquarters of county courts, therefore, if we can find personnel to solve such complex processes, judicial processes which are settled before the county courts I suppose have enough capacity and in civil servants to solve through property legal matters that are within the jurisdiction of the state administration's office. And on the other hand, it seems unacceptable to me, such a solution that goes towards the fact that the head of the state administration was also the head of the state administration's office of such a large area, that he became a state official. I think we need to break up with such a practice that the directors of state administrations that have become, become assistants, and that the heads of state administrations like this become state officials. They should not be the prey of election winners, after parliamentary elections and I believe that these persons should be highly professionalised, quality professionals who lead the largest in the ministry's presidencies and in the state administration's offices. Thank you.
ParlaMint-HR_2014-02-28-0.u72999	Thank you. Here you are, Deputy Minister, a reply to the replica.
ParlaMint-HR_2014-02-28-0.u73000	Thank you very much, Mr. Vice President. With regard to the first part of the reshuffle speech, this sectoral, functional, perhaps I have not explained it precisely enough, but it is quite certain that if we take only the region and you are interested in it, Dalmatia, and it is certain that Zadar and can perform and perform all the functions that it has so far performed as the Office of State Administration, but some when you just move to another part of Croatia, they simply cannot, all the offices have shown themselves equally capacitated to perform all the functions, part of these functions will be performed elsewhere where we have the capacity to do so. That would be this answer. And as far as professionalization is concerned, I just have to say that this solution that today, the solution to be state officials, will also be taken into consideration what you said and in the second reading will be reviewed and the second reading will give you an answer to whether we will go to such a solution or to a changed solution, which means to professionalise this body. In any case, if what I think is necessary is that if this solution remains, we have talked about it, and we have had alternative solutions, and that's what we've talked about, and it's that when officials write down the conditions under which they can, which they have to meet if they run these bodies that are primarily high-ranking bodies, that's what we call them.
ParlaMint-HR_2014-02-28-0.u73001	Thank you. And Ante Babic, replica. Here you go.
ParlaMint-HR_2014-02-28-0.u73002	Dear Deputy, although I was talking about it today, but you were repeating yourself again about decentralization, or decentralisation, it may be good to repeat here at the end of the day that there is no possible fiscal decentralisation before functional decentralisation or what your colleague Bozinovic was saying, it would be good to do so in one package and we also talked about the example of the city of Zagreb, we should think about that possibility, but we also said that many people in the Republic actually don't know the affairs of the state administration office. It's fortunate that public administration offices are located in county headquarters buildings so people don't feel that way because they think it's all done in one building, if it wasn't for that we might already have some resistance to some of the citizens. Then you said that this was not a reform but was actually a modernization and then you listed certain jobs, crafts, their activities, registers, Croatian defenders, social affairs, voters' registers, construction and so on and you said that it was possible to transfer it to the county and I also agree with it and you mentioned it perhaps abroad, here I will tell you only... in Germany you issue traffic permits, driving licences, crafts betray you municipalities, why couldn't the municipalities do it? So certain things and certain jobs can be transferred to local self-government and regional units and be extremely effective. Moreover, the proposal for this law states in the clarification itself that it provides for the possibility that the conduct of inspection tasks can be divided by a special law by a legal person who has public authority if the conduct of laws relating to a specific area. Well, according to that logic, perhaps then the work of the Government of the Republic of Croatia should be entrusted to a legal person with public authority. Here, just so much to think about. Thank you.
ParlaMint-HR_2014-02-28-0.u73003	Thank you. Deputy do you want to answer? No, thank you. We're continuing the debate. On behalf of the SDP Representatives Club, Ivana Posavec Krivec. Here you go.
ParlaMint-HR_2014-02-28-0.u73004	Thank you, Mr. Vice President. Deputy Minister with associates, colleagues, no more co-workers, and then I'm just saying hello to my colleagues. Today, this debate probably took a little longer than everyone expected together, but certainly because this is a good one because this is an important issue for both the Republic of Croatia and the state administration, especially at the local level, which I think we heard from all the debates today and we'll agree on. We at the SDP Club believe that this Proposal for a Law on Amendments and Supplements to the Law on the System of State Administration, which is currently in front of us today in the first reading, is one of the steps in just one of the reforms that is important to happen, which is important for the Republic of Croatia, which, as well as geographically, is very specific, transforming the state administration into an efficient and modern administration. Moreover, this is something that is written in the Strategic Plan of the Ministry of Administration for the period 2014 to 2016, which was brought by Minister Bauk, 10 May 2013, where certain visions, missions and objectives were set, so for all of us, it may be important to stress that it is this document that sets up a modern and user-oriented public administration, that the mission of the Ministry of Administration is a permanent improvement of the system of public administration in order to ensure and protect public interest, legal action and provision of services in the exercise of the rights of citizens and economic operators of the Republic of Croatia. And also these objectives are to improve the system of public administration, build a user-oriented administration, improve expertise, quality in providing administrative services and a number of other quality public services through the use of different tools and systems in the work of public administration. So on these basic starting points, on these foundations, we in the SDP believe that for one Croatia with only 4 million inhabitants with a territory stretching from the south, from the sea to the east, there to the border very broad, for which we often hear in various analyses that acts as a small body with a large head, certainly referring to the city of Zagreb and the concentration, not only to the human potential but also to the economic potential in the centre of Croatia, for one need of equal access to the whole country, uniform conditions for all residents in the Republic, whether they come from the most remote islands or whether they live in the suburbs of the metropolis. And just in this bill of law, we see the beginning of such a reform. We see one step towards an effective administration that is functional and is turning towards its citizens. This is what we see from these five offices of the state administration that are now formed on quite different principles and they are not following the territorial structure of the Republic of Croatia, they are not relying on administrative and functional borders of the county as a unit of regional, or regional self-government, but they are coming across them, they are uniting them and creating unity amongst something that perhaps no one has ever seen as a whole, and what must start to work as a whole in order to just get to this quality organisational and functionally united state administration in the Republic. We'll all agree that there's a system, it's been functioning for many years, it's been changing, but we'll also agree that this system has its weaknesses. And just for the sake of perceived weaknesses, and here the deputy spoke about it, weaknesses were seen not at the political level but at the professional level right there in 2008 this proposal came out. Of course, it is a suggestion that he is in the first reading and that I hope that on behalf of the proposing you will hear, or that today you have heard, everything that we believe should be further promoted until the second reading or reconsidered. But we certainly welcome in the SDP that perhaps for the first time the state administration system of state administration looked at itself in a way that puts the functionality and accessibility of citizens first. This would mean, in our opinion, that by looking at the number of inhabitants per territorial, or I'm going to say it freely in the geographical sequence, they've tried to piece together these very elements that you represent by this law. We're not going to deal with what these wholes are going to be called today. They are simply formed here through regular numbers and I agree with what Minister Bauk pointed out today, for the start of the debate may be the best start because we are all in the soul of local patriots and we are all going to ask the question that the historical or territorial name will be first for some maybe tomorrow future whole. So in this way we may have essentially turned to seeing that it's important that these are now balanced by the number of inhabitants as a whole, that these are the wholes that involve the possibility that no rationality in the use of human resources is reduced to a minimum, that in the first step, that's how we see human resources being put into place. Because all of you colleagues here today have been talking about making quality people, people who are educated for their work and people who have been in the system for a long time, who have passed state expert exams and who are very professionally committed to their work. However, not all of them in all situations and in all environments are able to contribute equally or be in a maximum position to make their knowledge and competences available, so I will also say this reform step. Therefore, this unification of human resources in the first row will lead us to a more efficient state administration and its system especially at that local level. This local level is important and there we certainly support the introduction of a single administrative place that will be a major step because in one place directly accessible to citizens, regardless of whether they come from small units of local self-government from some municipality or city, if we understand well in a place where today may exist outposts of the home office, where the mother or mother is with the queens or where it is the place to issue the housekeeper or the basic documents that are important to our citizens, you can now do so almost in the place of your residence regardless of the place of residence or residence whether you are born in another part of the Republic. This would mean that there is no more travel here, and even if there is a need for Korčula for those who were born in Korčula, and today they live in Zagreb, it will already be resolved through the system simply, functionally and equally quickly. Of course, this must not be the ultimate goal, I think the ultimate goal must be for all of us, and we at the SDP club support e-Croatia or Croatia without paper or that in the end all of these documents can be solved thanks to the information connection, availability and support of the system from the house in the way it is simplest, fastest and most rational. Looking further here, there are still some issues that are open today that we may not need to be much longer, but it should be stressed that our citizens are often in awe at all what we are talking about here today and they are asking themselves the question of what these are really matters dealing with the offices of the state administration, or whether it will be new, or whether it will happen here as often in the media, to notice the erasure of the county, their change through some new models of the territorial structure of the Republic of Croatia, or the loss of powers of the county and the mayors elected in the direct elections. So I think it is important that the media may explain to our citizens in the future that public administration offices do administrative and other very professional jobs in administrative areas, especially as you mentioned shortly before the deputy economy, social activities, general government, property and legal affairs, in fact that they enter almost daily lives in all these segments and that they are very important for the functioning of the economy in particular social activities. Maybe no one even knows that maybe early child enrollment in primary school is within the jurisdiction of the state administration's office. And what we've all caught ourselves for the most part in this debate is how many of these offices will be, where they will be their seats, what will happen to existing personnel, professional staff, employees employed in them and how everything will continue to be solved. Well, actually, it's all clearly defined by the act that's in front of us. It is quite clear that there are no dilemmas here that the Government of the Republic of Croatia regulation will regulate the regulation that will regulate the internal structure of these offices, that almost all the places where we are taught today are going to go to the state administration's office, today these are the offices of state administrations in the counties, and so each of the counties has its specificities today, but ultimately there will be rationalisation. And now that the question of rationalisation is raised, then somewhere it is a sum of about 5 million kuna savings, correct me if I have the wrong information that would be achieved solely on the basis of a reduction in the number of management staff or a reduction in the number of heads of state administration in the counties from the current 20+20 deputies to 5+5 deputies. Now, in today's debate, we hear different thoughts about whether the head of the state administration's office should be an official in the future. Is it a matter of politics or is it a matter of profession? Why is it doubtful that an official can't be a man of the profession? Why is it doubtful that current officials or current leaders could not be officials tomorrow. The official in this case can take one major advantage, can take precedence right in a segment where the ministry has set goals in its strategic plan. And one of these goals is certainly the one that was outlined in 2008. It says that all objectives, i.e. reforms, i.e. the internal structure and success of the state administration's office, will happen only if all their conclusions, all assumptions and all that is shown consistently through the law are implemented. In the SDP club, we believe that ensuring consistency of the implementation of everything the law provides lies precisely in the responsibility of those who pass the law, in responsibility that they can influence people who will be the leaders, not only to give them the opportunity to contribute to the reform through their professional contributions, but to realize that their work is as measurable as any public official or official in the Republic of Croatia should be. And if we're going to deal with these principles that actually depolitisation isn't contrary to expertise, to personnel, then I'm sure we'll come together to track down consensus. And this is reform. And the other day we participated here and attended a debate that surprised many, a debate that called for consensus, which called for questions in the Republic of Croatia that are not left or right but issues that are issues of the future of this country. And as the minister said, the reform began before. This procedure that we have today's bill of law started in 2008 and I am sure it will not end in the next year because this strategic plan by 2016 has been drawn up most but not all so that it will continue in the term of the next Government. And it would be good for an effective public administration that we are working together to be at a consensus today and to strive for a second reading to be resolved and the question of the centre, to maybe solve the issue, all these issues that are open today and then by consensus to pass that law. The SDP club will support the bill in its first reading.
ParlaMint-HR_2014-02-28-0.u73005	Thank you. We're moving on to the replicas of Ivan Shuker.
ParlaMint-HR_2014-02-28-0.u73006	I'm a colleague of Ivan's. I'd be happy to have these laws consensually, however, I'll remind you of two consensuss that have completely reversed. One is the Law on Premarital settlement, and then after 6 days, 45 articles changed and the law went in a completely different direction. The second is the Law on Waters and its Article 199(3), which has led us to the situation in which he has brought us. And that's why I'm afraid of this article 58th says the Office of State Administration 3 is forming the area of Zagreb County, Karlovac County, Krapina-Zagorska and Sisak-Moslavina, it... will be the center. [[The speaker doesn't understand.]] If it's the biggest city, then I'm happy then the centre will be in Velika Gorica. But I'm sure Sisak and Karloac will fight with their hands and feet to be their headquarters. And the Krapina won't be far behind either. In the end, it is logical and likely that fellow Members of the congregation will think in that way. However, since we don't have a network under that office, then we can't talk about it at all, every debate is purely political and then we can say that we are not discussing here in the interests of our citizens but are discussing in the interest of getting their eyes dirty and showing them how we are fighting for their interests. That's not how I want to discuss it. I repeat this law is very important but it's too general. Depolitisation and professionalism is something that simply needs state administration in the Republic of Croatia, it simply needs for a million and one reason. Because the services of these administrations are used by all citizens of the Republic of Croatia of different political options, different religions, different skin colors, different all possible differences we have. And therefore, one who provides them with this service must be guided to provide a quality service to a Croatian citizen and nothing else. And that's why it's for depoliticization and for professionalization.
ParlaMint-HR_2014-02-28-0.u73007	Thank you. Answer me, colleague Posavec the guilty, here you go.
ParlaMint-HR_2014-02-28-0.u73008	Thank you, Vice President. You see, fellow Shuker, you are not today City Councilor of the City of Velika Gorica, nor am I here today the municipal council of the Municipality of Križ, nor are we members of the Zagreb County Assembly today, we are MPs here today. And our interest above all should be the interest of the Republic of Croatia. It should be the interest of all inhabitants of the Republic of Croatia, and we can't go as far as we want and as much as it was in our subconscious to see the local patriotist best solution for our environment. I am sure that you and I both know very well that it is the Zagreb County, and here the assistant lady is not a representative example on which we can look at the state administration because we are a specific county that does not even have a seat in its area, but that is defined by law and that is how we respect it. The fact is, we need to find the best solutions. The best solution leads us to unification. I've calculated here by the state administration's offices, which would mean that the unit, so number 1 has an average population density of 66.2 inhabitants per km2 for example. that number 4 has 47 population density, that number 5 has 82, while the City of Zagreb has 1232 inhabitants per km2. And it is clear that on such concepts not only about the surface and the number of inhabitants but by putting them into a relationship we cannot have the same results and we cannot have the same quality and not even the speed of carrying out all those administrative procedures that must lie on state administration bodies. So it is irrelevant for every resident whether his seat will be in Velika Gorica or whether he will be in Karlovac or be in Sisak. It is important to him that he can solve his problem in the nearest place and, as we read this law, we experience it that way.
ParlaMint-HR_2014-02-28-0.u73009	Thank you. Dubravko Bilic, replica. Here you go.
ParlaMint-HR_2014-02-28-0.u73010	Thank you, Vice President. Here's a colleague of Ivana's actually said the essence of my replica. I also agree that any entry into the reform system, no matter how big or small it is, it is always reformal and what this amendment of the law is exactly a mini reform on the way to actually aligning the offices of the state administration, or the functioning of the state administration with the times in which we are going, which is digital time. My colleague Ivana also mentioned this e-Government which is very, very important and it is not only a paper-free conversation but also about the paper administration, but in a unique management post and that is the key thing. And then we'll get rid of politics and talk about whether my city is the center of the state administration or region's office than the headquarters of the state administration's office will be a place where I, as a citizen, will be able to exercise my right, or my need to do some work in the jurisdiction of the state administration's office. Is it Zagreb, is it Varazdin in the case of the Varazdin County, for me as a citizen of Ludbrega it is in any case Ludbreg and this unique administrative place using the OIB system, using the eGovernment system will allow me to feel like I am a citizen of my small place living in a big place because I will solve my big problem right on the doorstep.
ParlaMint-HR_2014-02-28-0.u73011	Thank you. Answer me, fellow Guilty. Here you go.
ParlaMint-HR_2014-02-28-0.u73012	Is a colleague, yes, we agree. The fact is that this is a small step, but this is a step that has already recognized all those steps that have been taken so far and that tries to bring them together on fundamental assumptions that are an effective and rational state administration, consciousness and establish an optimal model. The optimal model of course does not always offer that everyone in it is satisfied, there are always those who think they've lost something, unlike those who see an advantage on the other hand or some possibility of getting a seat or other function that can happen on their microterror. But if we rise from that level a little bit, then we'll see that it doesn't really matter. It is important that all of those structures within the state administration are functionally and functionally united at local level, that they be connected and that they give better quality, to make use of the human potential that we all recognize as valuable and quality and that in this direction we offer new, better solutions, direct solutions for our citizens and that they ultimately feel it quickly and quickly.
ParlaMint-HR_2014-02-28-0.u73013	Thank you. Branko Bacic, replica. Here you go.
ParlaMint-HR_2014-02-28-0.u73014	Thank you, Mr. Vice President. My colleagues of John, I would agree with many of the things that you have presented in your presentation, some would not, and especially not with two things. First of all, I believe that it is not wise enough to mark government administrations with regular numbers in the first reading of the law. I would be more inclined if the government had been braver and came to this House with a proposal of the headquarters of these offices of the state administration because this is the impression that either the Government does not want the Council of the Republic of Croatia to decide on this, so by its own regulation it will prescribe it on the one hand or on the other hand among the ruling MPs and the ruling parties not yet decided which city will be the headquarters of a single state administration office. And the second part that I disagree with you concerns the fact that you do not hold a disputed provision under which the head of the state administration's office will be state officials. I believe that complex, extremely complex transactions in the state administration must be professionalised, and when it comes to operations within central state bodies, so in the ministries and when it comes to the offices of the state administration, especially now these offices of the state administration that will cover a significantly larger area. So I believe that these jobs need to be professionalized, that it is necessary to allow civil servants to be, as the crown of their careers in professional administrative terms, exactly the position of the director of some administration or perhaps the head of the state administration's office in these offices of the state administration. In this way we would certainly make it more efficient, more up-to-date, more professional, both work in the ministries and in the offices of the state administration. I believe that this decision, which includes three levels of top ministry duties, is not good, therefore, that the politician and the minister and the deputy, and then the ministerial assistants. I think it was better to keep that double level of professional, or political responsibilities in central state bodies and this place as head of the administration. also completely depolitize. [[Invader Batinić: Thank you.]]
