ParlaMint-NL_2021-10-28-tweedekamer-10.u1	The next item is the follow-up to the budgetary treatment of Health, Welfare and Sport.
ParlaMint-NL_2021-10-28-tweedekamer-10.u184	Before proceeding, Mrs. Van Esch of the Animal Party and Mrs. Paulusma of D66 would like to interrupt.
ParlaMint-NL_2021-10-28-tweedekamer-10.u185	Thanks to the Secretary of State for his, well, good and fine words about prevention. We are often here to discuss this issue with each other, and I certainly know the good intentions of this Secretary of State in this area. But I'm still curious about his intention, or his vision of the next. In the written reply I read about the Prevention Agreement 2.0, which will be formed in a new government period. We know that the food industry was also at the table in the negotiations on the previous Prevention Agreement. This Secretary of State also knows, I believe, that the Animal Party was absolutely not in favour of this. We believe that it has achieved the opposite of what we wanted to achieve in the Prevention Agreement. We also know what consequences that has had. RIVM has pointed that out to us. I am curious to see the Secretary of State's view on this role of business at the table in the negotiations on a new Preventive Agreement.
ParlaMint-NL_2021-10-28-tweedekamer-10.u186	I get the question. It has also always played around the conclusion of the current Prevention Agreement. At the tobacco table, the part of the tobacco prevention agreement, the industry did not sit at the table. That has also led to very firm steps. By the way, I would like to say that we have also taken steps on the subject of overweight and alcohol, while the industry was at the table on these subjects, i.e. the producers and supermarkets. We have also taken steps in these areas, although they are not so good that we can achieve our ambitions. But these parties have certainly had an interesting input, for example in reducing calories in soft drinks. The industry has said that we are at the point of reducing the calorie of 30% in soft drinks. We are now ahead of schedule. If you can take strong steps together that will make it easier for people to make a healthy choice, and if you can do that together with industry, then we should seize that opportunity, even though it almost sounds like a paradise situation. That is an approach that appeals to me very much. We'll have to see if we can. I'm definitely not going on the eve of... Let us hope that there will be a next prevention agreement or a full follow-up that is even more ambitious. I'm not gonna say to the eve: I'm gonna rule them out and those parties out. I'll say that, as far as I'm concerned, ambitions may be higher. It is not for nothing that I am enthusiastically referring to rather solid texts of the Scientific Council for Government Policy.
ParlaMint-NL_2021-10-28-tweedekamer-10.u187	Still. We have read in the documents that the journalist wrote about what the food industry did behind closed doors. Demands were put on the table: no imports of sugar. If they didn't, they'd quit. Those pieces are there. That information is now public. We know that this is how the previous prevention agreement was negotiated. I am therefore curious whether this Secretary of State agrees with the Animal Party at least. We do not think at the table that if they sit down at the table again at such a next prevention agreement, that should at least be done in public, so that everyone can see what is being discussed there. So at least that is how the prevention agreement should be shaped. Does the Secretary of State agree?
ParlaMint-NL_2021-10-28-tweedekamer-10.u188	In any case, we can give that wish to the next cabinet. For me, two things are central to the design of a follow-up to the prevention agreement: a high level of ambition with many appropriate measures that really reflect that level of ambition, and b support. I think that support is very important. For me, the question is how much you allow that support to prevail over ambitious measures. As far as I am concerned, that is the agenda in the run-up to a follow-up.
ParlaMint-NL_2021-10-28-tweedekamer-10.u189	Thank you for your introduction and your reaction in this first block of prevention. I do have one more question. Nor did the answer appear in the written response you gave to my contribution. I indicated that we charge €80,000 for treatment when it comes to cost-effectiveness, while we only charge €20,000 for prevention. That is a frontier that I think we should look at when I listen to the Minister. We should do something at that border. For example, rota vaccine is now outside the scope of assessment, whereas all professionals in the world around us say it's super effective. I wonder if the Minister is prepared to see whether we should actually do something with this in order to ensure that we also value prevention in terms of cost-effectiveness as well as treatment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u190	Thank you. It's the Secretary of State.
ParlaMint-NL_2021-10-28-tweedekamer-10.u191	Last year the second spokesman on behalf of the cabinet was the minister, but this time it is the Secretary of State. I get the question. The fact is that in these steps, for example, we ask for advice from the Health Council, the royal route we have agreed with each other, also rely on the advice and use it as a standard. This has also led to the relevant advice of the Health Council on rota vaccine. As far as I'm concerned, we're dealing with this ourselves. The House of Representatives itself is about that, I mean, not us, but you. She's talking about whether we're gonna maintain that relationship. As far as I am concerned, we can have the debate on this. As far as I am concerned, investment in prevention must have a price, especially if we assume that there are enormous benefits and that we realise how much intangible suffering is avoided.
ParlaMint-NL_2021-10-28-tweedekamer-10.u192	Thank you, Secretary of State; a correction to my previous contribution.
ParlaMint-NL_2021-10-28-tweedekamer-10.u193	Thank you. There is another interruption by Mrs Van Esch, Party for Animals.
ParlaMint-NL_2021-10-28-tweedekamer-10.u194	Yes, excuse me, Mr President, because I could have just taken this question with me. I was just thinking: the block of prevention is almost over! I wanted to continue briefly on the protein transition I referred to in my contribution. In itself, a written answer has been given. As a matter of fact, I am standing here today, after nineteen years ago the Animal Party was founded. So we're celebrating our 19-year-old party today.
ParlaMint-NL_2021-10-28-tweedekamer-10.u195	Congratulations.
ParlaMint-NL_2021-10-28-tweedekamer-10.u196	Congratulations.
ParlaMint-NL_2021-10-28-tweedekamer-10.u197	Thank you! After nineteen years of telling the story about protein transition here and after twelve years of writing protein transition policy, we hoped that steps would be taken now. We have read the letter sent in response to the Transition Coalition Food, which is calling for frequent attention to this. But I do not see any concrete measures yet. We do not see what steps have been taken in those twelve years and how we then arrive at that important protein transition, also for our health in the Netherlands. I am curious to see what measures this Secretary of State can take to bring this movement a little further than the twelve years of policy that has already been on paper, and as far as we are concerned, even the story that we have been telling for nineteen years.
ParlaMint-NL_2021-10-28-tweedekamer-10.u198	I find that a difficult question. The fact is that the ambition is to turn the existing balance into fifty-fifty. That is also stated in the written reply. It is now out of balance, because it is now 60 to 40 in favour of animal food. If it is up to the Party for the Animals, the balance in favour of plant food becomes very different. You can write down that ambition, but then you have to add the deed to the word. I agree with Mrs Van Esch that we need to get something out of the closet. As far as I am concerned, this is an item on the agenda for a new prevention agreement. You could then think of making the healthy choice easier, also by differentiation in prices. That's a imaginable route. As for the Five Disc: I think that the Nutri-Scorelogo, which we want to introduce next year, can also contribute to this, because that way you can also send on more "Disc of Five" proof food. That is not a harsh prescription or prohibition, but it is an incentive to make the healthy choice.
ParlaMint-NL_2021-10-28-tweedekamer-10.u199	Finally, Mrs Van Esch.
ParlaMint-NL_2021-10-28-tweedekamer-10.u200	Finally, indeed, Mr President. I have a quick question. Recently, the Disk for Life has been presented. I wonder if this Secretary of State knows about this initiative. A suggestion is to consider, for example, whether this could be part of the food policy or the prevention agreement, given that it takes very concrete steps and that it also sees very concrete proposals.
ParlaMint-NL_2021-10-28-tweedekamer-10.u201	I can say briefly that I want to take a serious look at that. I would also advise my successor to include this in a new prevention agreement. If that means that we are going to bring about the shift faster or more ambitious in the Disk of Five, then I think we should also do real expectations management. We should not suggest that this can be done in a few years' time. Let's do things in the right order, with a real timeline. I think it's quite an achievement if we can live up to what we agreed on, so fifty-fifty in the Five Disk.
ParlaMint-NL_2021-10-28-tweedekamer-10.u202	I just want to get back to the rota vaccine. RIVM indicates that 3,500 children with this infectious disease end up in hospital every year. That is quite a number and, of course, a considerable burden on hospital care. We want to combat this tax. I would like to ask the Secretary of State the following. If, in any case, there is more pressure on the pharmaceutical industry or any other way that we can get to work quickly with that vaccine, is the Secretary of State prepared not to wait and postpone it, but to get to work with this vaccine as soon as possible? This must be done not only in order to prevent the burden on hospitals, but also, above all, to help these children and to prevent illness and even death. I would like the promise that, as soon as possible, we will also use this vaccine widely in the National Vaccination Programme.
ParlaMint-NL_2021-10-28-tweedekamer-10.u203	Of course, I have the same ambition as Mr Hijink about the interests of children. There is, however, a complicating factor. The Health Council has given its opinion. He says that it is very annoying in such a discussion that it is not cost-effective now, given the price that currently applies. Then it's the 20,000 and 80,000. We need to see if we can push the price down and whether we can generate resources at all at a rich level to finance that. Simply put, there is no money earmarked for it in the budget at the moment. That's the earliest we can do with the next spring note. I would like to move forward as soon as possible, so I also ask RIVM to start an implementation programme as soon as possible, not to waste time and to let tracks run parallel. On the one hand, therefore, financial coverage must be organised and, on the other hand, implementation must be prepared. If you want to start, you have to tender it. We must do this within the framework of legality and so on. If you're going to peel that off, the fastest route of contracting and implementing will take about a year. If that decision is taken in the spring of next year and if the financial framework conditions are met, so if we have taken that bump, I will do everything I can to make that bump, we can say it in real terms at the earliest possible time in a year's time and then implement it. I'm very motivated to do that. I can't go any faster than that, but that gives me a real timetable. Mr. Chairman. I'm going to go to the second block, because I was making that switch after I said it's okay to look at the whole thing, all the circumstances that people are in. This applies to prevention, to lifestyle, but also to homelessness and homelessness. Unfortunately, there are still far too many people who are nowhere at home. It is incredibly difficult to solve this problem at a time when there is a shortage of homes, in a hugely overstretched housing market. Over the past period, we have worked on two programmes: the Action Programme for Homeless Young People and the broad approach A (home) home, a future. The results are good. I was very pleased with the CBS figures in April of this year. We've had an increase for years. It even led to a doubling of the number of homeless and homeless. The 2018 stand was that 39,000 people were homeless or homeless. So that was in 2018. With the programmes mentioned, we have managed to bring that back to 36,000. We bent the growth towards a drop. The decline was particularly visible among young people. But we have to seriously count on Corona to have a setback here as well. I told you in my introduction: if there's a big wave if you're already standing with your ankles in the surf, you'll be flooded rather than when you're high and dry on the beach. Temporary shelter is an emergency hold. That's where we are by now. We can't be satisfied with that. What people need is a home, a place of their own, where they can build their future. We know what works by now. We also have to do it together with homeless people themselves. As far as I am concerned, it always starts with the people themselves, with experience experts, with people who are still in care. However, municipalities, youth care providers, ggz, health insurers, district teams, justice and social care also have a role to play. That sounds awfully complicated, but it's going well this time of year. There is a lot of enthusiasm among all the parties involved; especially where project leaders function as a spider in the web, we are moving forward. That's the road up, which we had entered for corona and on which we must continue. I understand Mrs Paulusma's concerns, because both programmes and the related funding end at the end of this year. Mrs Westerveld has also drawn attention to it. You don't have to look deep into my heart to know how I feel about that. On the other hand, I think it is up to a new cabinet to say that we are going to move forward and make additional resources available for this additional approach. I'll put a line under that last one. What we've done over the past few years has been an extra boost. Of course, municipalities have a lot of resources - 385 million - for social care. So that's it. The shelter is on its own. But that extra impulse and we can calculate what is needed for it, I would rather promise yesterday than today. To be honest, I think it's classy to leave that to a next cabinet. I would also like to say this later in the appreciation of Mrs Westerveld's amendment cum suis.
ParlaMint-NL_2021-10-28-tweedekamer-10.u204	We've already received the appreciation in writing. I just wanted to compliment the Secretary of State on that money. That's what I've done in my contribution. That money is very much needed to ensure that the number of people who are homeless and homeless does not increase further. That is why it is such a pity that this programme stops because a new cabinet is being formed and that money is therefore on pause. I do have a question about that. When I look at the appreciation, I see that the cabinet says: "The amendment provides for cover outside the budget of the VWS Ministry. This calls for a decision from the new cabinet. For this reason, I advise against the amendment." I think that is an opportunity argument, because the cabinet may be outgoing, but of course the Chamber is not. The Chamber still has a budget right. We can amend budgets. We can make money for something if that's what we want as a room. I would like to ask the Secretary of State if he agrees with me that, as a Chamber, we can of course decide that this action programme will continue.
ParlaMint-NL_2021-10-28-tweedekamer-10.u205	That's just one of the state's laws: parliament is the boss. So if the House of Representatives decides by majority "we're going to get money out of the Tax Plan and we're going to use that money for this, among other things," so be it. I think that will be dealt with on Monday when we deal with the Tax Plan. On the other hand, I find it appropriate for my position as Deputy Secretary of State to say: I am not about that now. I don't think it's classy to say, "I'm gonna do that." I think it is the royal route for a new cabinet to decide. Mrs Westerveld is absolutely right when she says: yes, but if we as a parliament decide to do so, so will we. That's the way it is, of course.
ParlaMint-NL_2021-10-28-tweedekamer-10.u206	I understand the Secretary of State, but this is also an opportunity argument. Look at the General Political Reviews. There was a motion from the House of Representatives on the revenue side that put a lot of shoved over there. That's where it was $2 billion. The motion tabled by Mrs Hermans of the VVD also received a ruling from the Chamber. We are actually talking about the same situation as today: the Chamber thinks that money is needed for something and asks for a ruling from the Cabinet. That motion was then judged Chamber. I think it would be nice if our amendment could also be judged by the Chamber of Cabinet when the cabinet says here, and that is what the Secretary of State says 'I agree with you in substance'.
ParlaMint-NL_2021-10-28-tweedekamer-10.u207	Yes, but we now have budget chapter XVI at the head of the VWS budget. The Group of the Greens/European Free Alliance is proposing an amendment to this budget chapter, with coverage not here but in another budget chapter. That's of a different order. In the General Reviews it is considered integrally in one debate. That is absolutely not an opportunity argument. That's how we do it here. If you have an integral debate, you can do it. I'm not gonna say, guys, fix it and get that money out of another pot. That should have been done sooner, in the General Reviews. Let me make it clear that I am 100% in content, and if there were more percentages, I said that I agree with Mrs Westerveld.
ParlaMint-NL_2021-10-28-tweedekamer-10.u208	But it's still possible. We want to cover this from an amendment amending the Tax Plan. We can do that until November 5th, if I'm right. By the way, we are also open to cover it differently. I look at my colleagues in the House of Representatives. When we were here the day before yesterday, I heard from a number of parties that it is very important that we do not leave people who have no roof over their heads in the cold. I'll take a look behind me. I hope we're gonna get out of this in the near future. It is very important that we do not temporarily stop a successful programme. Probably a next cabinet will just go back to it. But there'll be a snipe in it. I don't think anyone's been helped with that at all. Moreover, this is not an effective way of dealing with our public finances.
ParlaMint-NL_2021-10-28-tweedekamer-10.u209	And certainly not with a vulnerable group of people. Mrs Westerveld and I agree 100%. I didn't hear a question at the last interruption, but more of a call to see what we can do. She's almost in a split because she's looking at me and her colleagues. Shall we support this noble goal for a moment? I wish her luck with that. I think I'm allowed to do that as a Demissionary Secretary of State. Mr. Chairman. I come to my third block, the ggz. The corona crisis shows that we can all be shaken if we lose certainties. That may be more true for some than for others. Especially many of our young people were having a hard time. I've done video bells with crying high potential young people who were so in the pit during this corona crisis. We need to get a better look at mental problems and better help. Last week I wrote to your Chamber that a first reconnaissance showed that there is broad support for working together to strengthen our mental health. That was in response to the Dik-Faber motion and another petitioner to launch a national mental health prevention agreement. That is where we take the first step. Of course, we are going to have a quick debate on this. We will soon have a separate committee debate on ggz and a separate debate on youth policy, and these questions will undoubtedly come back to us again. However, I would like to dwell on the subject of mental health, ggz, because it affects many of us. Mrs Bikker, Mrs Simons, Mrs Van der Plas, Mr Van der Staaij and Mr Kuzu asked for very explicit attention to the ggz. Some of us get very personal about it. Mrs Den Haan's story will have left no one untouched, at least not me. That was a hell of a break. Like some others, she also referred to the round table recently held with young people and their parents, about youth and multi-problems, in which parents who had lost their child expressed their emotions and told young people about their own experiences with youth aid. The goal was not to identify culprits, but to learn from this with each other and to improve support and care. This gives a lot of cause for reflection and discussion, for example, about the problems in the transition from youth to adult ggz, about more multidisciplinary treatment or about involving parents, even if the younger person is over 16 years of age. I would like to promise, also in response to Mrs Den Haan's point, that we will involve this in the discussions we are having right now, because that is all about the Youth Reform Agenda. We have these conversations with young people themselves, with clients, with municipalities, with professionals, with organizations and with the Empire, i.e. with five parties. Once again, I expect both subjects to return to the debates we are having on ggz and youth at the beginning of next month. I'm done with the ggz. Then I'm at my last block: disability policy.
ParlaMint-NL_2021-10-28-tweedekamer-10.u210	I understand that we are going to discuss this further, at other times, in a number of committee debates, but I would like to come back to the model of care performance and the reduction of waiting lists. In the reply of the Secretary of State, I read that the current funding system may be a reason for the formation of waiting lists. I'm very curious what that's based on, how that relationship is proven. I imagine that waiting lists are mainly caused by the lack of care staff; we just don't have the people to treat the patients. I would very much like an explanation of how the new financing system will then exactly eliminate that deficit.
ParlaMint-NL_2021-10-28-tweedekamer-10.u211	In order to take away a misunderstanding, because I must remove that thought immediately, if it were to arise from that written answer: it is not that I think that with the new funding model that will come into force next year, all the problems surrounding waiting lists are over. Absolutely not. I see this as an important tool for stimulating specialist assistance. That's what I'm trying to explain by indicating that we're now working in the ggz with dbc-costing, with diagnosis-treatment combination cost. This means: average prices for journeys. There's a perverse incentive in that. I am not just saying that, as the providers themselves say, because that can lead to someone being helped just over the border of a DB scale and being in care for longer. That's a perverse incentive. That could be someone who doesn't have a big help question. In this system there can be a huge influx on the generalist ggz, and in that system it is financially very unattractive for providers to deal with someone with a complex need for help. That's just what they're saying. In the dbc-systematiek the stimulant is not large. The new system, which will enter into force next year, assumes that suppliers can bill on the basis of the help they have provided. It also defines the type of assistance provided. If the psychiatrist is in charge, then the hours are more expensive than with a nurse. If they are able to declare that, then that idea is widely shared in the ggz: with the providers, the domes and the insurers, an important negative incentive has been removed to finance expensive, complex assistance. That gives me the boldness to be optimistic about that. Have we solved all the problems? Absolutely not. But then we removed an important bump that now hinders people with a complex need for help being properly taken.
ParlaMint-NL_2021-10-28-tweedekamer-10.u212	I am very pleased with this explanation. This certainly clarifies things. I am also very pleased that the Secretary of State is aware that this cannot be the only means. What other measures can be taken to achieve a structural reduction in those waiting lists will probably not be possible in the forthcoming debates, and I hope that this will be discussed.
ParlaMint-NL_2021-10-28-tweedekamer-10.u213	Yes. Maybe I can say something about that. That debate will of course come, but as far as I am concerned, good cooperation between providers is a very important key. We want to get rid of the world in which a provider who has people on the waiting list does not know a colleague provider with the same offer that does have space. So: working well together. You now see a transfer system throughout the country, as we call it. That sounds like you're talking about football, but it's about handing over a patient with a question of help that's on the waiting list at one, while he can be helped by another. Now, for example, that gets a whole flight.
ParlaMint-NL_2021-10-28-tweedekamer-10.u214	Mrs Westerveld's last question.
ParlaMint-NL_2021-10-28-tweedekamer-10.u215	Yes. I have a question about the amendment we have tabled with the aim of making additional training places available to GZ psychologists. Why is that necessary? We know there are huge waiting lists in both youth care and ggz. There is therefore a need for more people to be trained to help people. Now I read in the appreciation that we have received in writing that the training places are financed from the contributions and that it is therefore not possible to increase the availability contribution with this amendment. Now I have another amendment, tabled by my colleague Renkema two years ago, about exactly the same thing. All we've done is adjust the numbers. That has to do with the cover. That amendment was accepted by the Chamber and it has been implemented. So I would like to ask the Secretary of State how this was possible two years ago, but apparently not at once.
ParlaMint-NL_2021-10-28-tweedekamer-10.u216	That is a perfectly logical question. That amendment was adopted two years ago, and that is what the law says in the budget. Then you have to do it. Only, it couldn't be done then either. To the consolation of Mrs Westerveld: but it has been dealt with. This only happened not through the budget route, but through the route of the premiums. That is what I want to say here with the appreciation of this amendment. I understand the target very well. However, putting the money on the budget is not the right route, because these training places are financed from the premiums. And you, the Chamber, do not amend the premium. As far as I am concerned, therefore, a motion containing that statement would be a more logical and purer route than an amendment. I don't mean that mosquito-like. That's the way the technique works. I would like to add a point of substance, because I understand that wish. If there is a shortage of GZ psychologists and the problem of resolving the waiting lists, for example, Mrs Westerveld is always committed to this; homage to this is necessary to train people, then I have to say the following. The Capacity Body shall itself determine the forecasts. There are also the professionals at the table. As a responsible ruler, I say: the Capacity Body gives an estimate; we sit at the maximum; we honor it. I think it is a crazy figure that the Group of the Greens/European Free Alliance will have to amend, year after year, what the Capacity Body itself... I find that annoying. A narrow section of the Capacity Body talks with political groups: please come forward with a shift. I think that's a little unheimic. So I want to talk to the Capacity Body about this too, because that should not really be the case. I warmly welcome this point from the Group of the Greens/European Free Alliance. It should not be the case, however, that the Capacity Body establishes a prognosis and, over the next few years, goes to the House of Representatives to say: yes, we have predicted that, but that has to be different.
ParlaMint-NL_2021-10-28-tweedekamer-10.u217	Thank you. You also have a second term, Mrs Westerveld. We have agreed on the amendments to at least use the second deadline. Let us now turn to the issue of disability policy.
ParlaMint-NL_2021-10-28-tweedekamer-10.u218	Mr. Chairman. That's my last block too, my fourth part. I was always proud of the title of the program Unlimited! Until Mrs. Werner came up with a truly brilliant find: unprecedented potential. I'll tell you in her direction. So if there is to be a follow-up to this programme, we already have the title. It completely covers the load, because I fully agree with her: let us not let that potential be lost. Every human being has talents. Let's use it instead of putting people at home behind the geraniums. Any man can do things. I started my speech with the idea that my adage is: everyone should be able to participate. So I think it's a brilliant, free advice for the next cabinet on this point. We are still with the title Unlimited! The programme focuses on reducing visible and invisible thresholds encountered by people with disabilities in everyday life. With the help of partners, we have been able to take significant steps. A question from Mrs Werner was: what has been achieved? I would like to mention a few examples, but I'm pretty sure she knows them better by heart than I do. However, I have a few striking examples to give to the Chamber as well. Something has indeed happened since the ratification of the Convention. More and more municipalities work together with their residents on the local inclusion agenda. This recently became visible with the election of the most accessible municipality. It became the municipality of Stein. Greetings. That's a first. The second: the University of Twente recently signed the UN Declaration of Intent as an eighteenth institution in higher education and thus expresses its desire to be an inclusive university, where any student can study. That's the second one. The third: 76% of train passengers now travel to or from an accessible station. For a quarter this is not yet the case, but the goal is that next year at least 90% of passengers travel to and/or to an accessible station. Those are good results, aren't they? And a fourth: more and more entrepreneurs ensure that their businesses and shops are accessible to people with disabilities. In the SME Accessible Route project, SMEs-The Netherlands recently highlighted a number of good examples in the Nijmegen Empire. So these are four great examples. So things are really happening. All the steps that have been taken are in the final report that you receive in mid-November, but with this I have already lifted a tip of the veil for you. In this final report, I have identified a number of promising principles for the follow-up approach, which I hope will also be addressed by a future cabinet. For example, it is incredibly important that we always involve people with disabilities in making and implementing plans. The implementation of the UN Convention has not been completed. That's what Mrs. Werner and Mrs. Westerveld both asked for. The next cabinet must also work with it and ensure that people with disabilities can participate fully in society: in education, in the labour market and in public space. Because they do have an unprecedented potential. Mr President, I have come to the end of the fourth block. I have a few amendments that I would like to respond to, as far as that has not already happened.
ParlaMint-NL_2021-10-28-tweedekamer-10.u219	Yes. Thank you. I would like to give the floor to Mrs Werner from the CDA.
ParlaMint-NL_2021-10-28-tweedekamer-10.u220	I would like to thank the Secretary of State for his compliments on the title "unknown potential." I still have a question about the programme Unlimited! The answer states that awareness and positive imagery have been successful. Now my question is: how could people with disabilities have noticed this?
ParlaMint-NL_2021-10-28-tweedekamer-10.u221	In my view, this is something we are going to highlight in the final report, which is also the subject of a debate in November, I think. I don't know what date. The final report shall indicate how this has been measured. I honestly do not know myself, because I have not yet taken note of whether it is based on a quantitative or qualitative measurement or both. So the simple, honest answer is: I don't know. I think it's in the final report. Let us meet, I say through the chairman to Mrs Werner, that I will inform the Chamber in a different way if it is not in the Chamber. And if it's in there, it's just in there.
ParlaMint-NL_2021-10-28-tweedekamer-10.u222	I think this is very important: is it measurable? Because positive imaging, awareness, that awareness, is incredibly key when it comes to being able to participate. So I'm very curious about that. I have another question. The answer also said: it was agreed in the cabinet that every department that participates in Unlimited! The Commission's proposal for a directive on the approximation of the laws of the Member States relating to the permissible sound power level of motor vehicles and Are there any ministries that don't participate in this program?
ParlaMint-NL_2021-10-28-tweedekamer-10.u223	Do you want the long list or the short list? No, that wasn't serious. There are, of course, ministries that are equal to the bar. I am thinking, for example, of IenW, for infrastructure adjustment. But Mrs Werner is asking me about this too. I wouldn't know which ministry doesn't feel responsible for any part of the execution. As far as I am concerned, I shall move this question to the debate we will have on this shortly, but if Mrs Werner wants to know tomorrow, she will receive a written answer.
ParlaMint-NL_2021-10-28-tweedekamer-10.u224	I do not necessarily need to know tomorrow, but it would be nice to know if it is visible which departments are involved and how it is monitored. It is, of course, interdepartmental, that word I have never seen come across in Lingo, and that is very important. If so, it is nice to see how every ministry works on Unlimited participation! My question is: how can we make that visible?
ParlaMint-NL_2021-10-28-tweedekamer-10.u225	I take that question very seriously, but I'm taking it as homework, just to show you that I take it seriously. 'Cause I don't know the answer right now. I would like to say that we make it clear which ministries are involved and how they fulfil their responsibility for fulfilling the Treaty obligations.
ParlaMint-NL_2021-10-28-tweedekamer-10.u226	Okay, thank you.
ParlaMint-NL_2021-10-28-tweedekamer-10.u227	Thank you. Then there are two amendments which need to be appreciated. I think these are the amendments to Parts Nos. 33 and 37. The amendment in part No. 33 is the amendment tabled by Mrs Paulusma, Mrs Van den Berg and Mrs De Vries.
ParlaMint-NL_2021-10-28-tweedekamer-10.u228	Yeah, that's about the medication transfer. For the sake of clarity, judge Chamber. We certainly see the importance of a good digital coupling and we see the great importance of medication safety in the context of kick-starting. The amendment in part No. 33 as far as I am concerned, therefore, gets judgment Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u229	Then we have the amendment to item No. 37 by Mrs Tellegen on the prevention of falls.
ParlaMint-NL_2021-10-28-tweedekamer-10.u230	Yes. As far as I'm concerned, he's gonna get a judgment room too. I can say that briefly. I have already said in the prevention of falls that this requires more. We also want it, as it were, to be part of the basic package, but this could provide a very good impetus for municipalities to take this matter further. So heartfelt judgment, Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u231	Yes, it is indeed a nice amendment. The Commission's proposal for a directive on the approximation of the laws of the Member States relating to the permissible sound power level of motor vehicles and their trailers (COM (86) 586 final) is a very important one. 29 is still missing, however. That amendment was in the documents, but that was an old version.
ParlaMint-NL_2021-10-28-tweedekamer-10.u232	Oh, did I?
ParlaMint-NL_2021-10-28-tweedekamer-10.u233	That is the amendment tabled by Mrs Van Esch and Mrs Kuik.
ParlaMint-NL_2021-10-28-tweedekamer-10.u234	Yes. That is the amendment to item No. 29. That is the amended amendment to item No. 19. That amendment frees EUR 1 million for the Healthy School programme.
ParlaMint-NL_2021-10-28-tweedekamer-10.u235	You have advised against this amendment.
ParlaMint-NL_2021-10-28-tweedekamer-10.u236	No. I'm gonna overrule the chairman. We see the usefulness of this amendment and I would therefore like to give it the appreciation of Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u237	Well, I think that's nice for the petitioner.
ParlaMint-NL_2021-10-28-tweedekamer-10.u238	In order to avoid any confusion, we have the amendment to item No. 19, which has been distributed, amended, and that is now the amendment to item No. 29 years old. That's what Court has been given judgment on. The amendment in part No. 19 is therefore no longer there, that is the amendment to item No. 29 and there is judgment given to Chamber.
ParlaMint-NL_2021-10-28-tweedekamer-10.u239	Then you've done a good job in the meantime.
ParlaMint-NL_2021-10-28-tweedekamer-10.u240	Mr. Chairman. I understand the confusion, because the amendment to item No. 19 had a negative appreciation and the amendment to item No. 29 a positive.
ParlaMint-NL_2021-10-28-tweedekamer-10.u241	That's good for the proposers. I would like to thank the Secretary of State for Health, Welfare and Sport. We'll proceed immediately to the second term of the Chamber. In view of the time available, I would ask people to at least limit the number of interruptions and questions to what is necessary. Mrs. Agema, go ahead.
ParlaMint-NL_2021-10-28-tweedekamer-10.u242	Mr. Chairman. I had 38 motions last year. Unfortunately, it will have to be zero this year, because I have run out of minutes. If anyone wishes to submit my motion for an inquiry into the maximum income and the part-time factor, I am highly recommended.
ParlaMint-NL_2021-10-28-tweedekamer-10.u243	Thank you for reporting, Mrs Agema. I shall now give the floor to Mrs Aukje de Vries of the VVD. Go ahead.
ParlaMint-NL_2021-10-28-tweedekamer-10.u244	Thank you, Mr. Chairman. Thank you to the directors for the answer. The whole red line in the story was actually the sustainable care. I also think that we should get to work on this in the future. It is not the case that this is now suddenly being discussed after the report of the Scientific Council for Government Policy. I remember having regular talks with the Minister of Finance when I was spokesperson for Finance and asking them to talk to the Minister for Finance to see how we could manage these costs in order to maintain our good care. Then I have a few points. I tabled an amendment on control together with Mrs Ellemeet van GroenLinks, also because we are working together on an initiative legislative proposal, which we hope will be able to conclude quickly. We believe that this is a very important proposal in the context of the labour market. In line with that story, we think it is important that we work on the rule pressure. That is why I have a motion with Mrs van den Berg on this matter. Then there is a third point. That is a motion on labour-saving innovation, because we believe that this can also make an important contribution. I'll read that motion now. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Scientific Council for Government Policy indicates that the staff shortage is the most acute and pressing issue for the sustainability of care;]] [[whereas one in seven people currently work in health care, and that this would be one in four people in 2040 under unchanged policies;]] [[noting that there are good examples of labour-saving innovations, such as nurses who spend 90% less time on wound care thanks to innovative bandage materials;]] [[Calls on the Government to continue to identify, together with the sector, which technologies are proven to be effective in saving time, under what circumstances and the sector actively encourage scaling up;]] [[calls on the Government to investigate what is needed to support parties in this process and what the obstacles are and which actors are involved in it;]] [[invites the Government to inform the House of Representatives in the first quarter 2022,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries.]] [[She's getting No. kst-35925-XVI-41]]
ParlaMint-NL_2021-10-28-tweedekamer-10.u245	We think it is important that if there are pilots, they are also simply scaled up. Because sometimes that's a problem. A second motion on prevention. I think we've talked a lot about that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering the importance of prevention for achieving health benefits, but also in the context of the sustainability and affordability of care;]] [[Whereas it is important to increase the use of incentives for prevention in the Health Insurance Act;]] [[calls on the Government to identify the obstacles and bottlenecks in the Health Insurance Act for health insurance companies in order to do more to prevent and resolve them, and to inform the House of Representatives in the first quarter 2022,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries.]] [[She's getting No. kst-35925-XVI-42]]
