ParlaMint-NL_2021-12-14-eerstekamer-8.u1	The next item is the continuation of the government's first-term response.
ParlaMint-NL_2021-12-14-eerstekamer-8.u122	Finally, Mr Van Apeldoorn.
ParlaMint-NL_2021-12-14-eerstekamer-8.u123	In my view, SMEs have been met by lowering the rate of the first disc at all. The extension of the disc will, of course, also benefit larger companies, who will then be able to choose instead of the tax unit to split up their business into different e.g. companies. So that helps SMEs, but that also helps larger companies to avoid de facto taxation.
ParlaMint-NL_2021-12-14-eerstekamer-8.u124	With all due respect, SMEs are not just very small. You've got bigger companies, too. But at least this is not in favour of multinationals. We can all agree on that.
ParlaMint-NL_2021-12-14-eerstekamer-8.u125	Thank you. Mr Crone has the floor on behalf of the Labour Party.
ParlaMint-NL_2021-12-14-eerstekamer-8.u126	Thank you, Mr. Chairman. And thank the rulers for the answers. I do not share the concern of colleagues that not all the questions have been answered, because they both go on for a while, so it is very good that we can discuss a lot in the coming years, in whatever role. I like the way you answer these dilemmas. I provoked it yesterday by saying that the Secretary of State should have done so as former Vice-President of the CPB. I won't go into it too long. Of course I also know Tinbergen from another university: one policy, one purpose, and so on. But we also know from the practice of life that you have to compromise, so fortunately it is not so bad with these dilemmas. Compromise is conceivable. Then you get one objective a little less, but then you do it a little better for that other objective. I would like to contradict the fact that everyone has agreed to this. I am still very proud that I voted against the Zorgwet package, which for the first time included the surcharges. By the way, that was under the Supreme Prince, Higher Prince-Balkenende, and not under Purple, as you said. We said: this is going wrong; with a nominal charge of €400 instead of €1,000, people can also opt for a different package of €380 or €410, which means that there is not so much money to be pumped around. I said here two years ago that Minister Zalm also said to us: good that we are done as PvdA, but I would have done this with you, because I don't like the pumping around of money. I said that two years ago. By the way, my party also proposed many times that child care should be made free of charge or partly free of charge. And you all remember that the Rutte/Samsom cabinet almost didn't get there after two days, because there was also a piece of pumping being abolished. So I share all the responsibility and all the guilt, and I never get right and never at the right time that certainly doesn't happen but there are more nuances in it. But that's more for history. I welcome the dilemma approach in itself and I am happy to continue with it. Also in general thanks to Secretary of State Van Huffelen. I've already predicted that we'll come up with our own report as the First Chamber. So we're gonna see you around here a lot. I had a little technical question. This Wiersma-€200 is not going to be reduced again via a surcharge circus, where people first received this supplement, via special assistance or otherwise, after which after a year a discount on the rent surcharge or other supplements will be added? Mr. Chairman. I have just said a lot about this Vpb cut in terms of content in the interruption. I'd like to explain why that's allowed here, because in the hallways I heard people shouting: you guys are doing politics, but this is House of Representatives. Well, that is not true, because we are explicitly talking about possibilities of circumvention, so it also has to do with the quality of legislation. Secondly, we are also a political body, so we can say that this is not what we want. If we can't do that anymore, we need to be abolished. Fortunately, it is also on our site that the novelle has become increasingly political. We are not asking for a novelle, by the way. It's not supposed to be. We note in the Vendrik motion the demand for a solution. One solution is that we just vote against it. Another solution is that the cabinet says: well, vote against, we may also be able to solve your problem. It's possible. So we're asking for a solution. That could be the withdrawal of the bill. That may be the adjustment of the rates, for which a novelle is then needed. Many roads lead to the possibility that we can vote enthusiastically for such a thing. Those are very normal ways of dealing in the States General. Mr. Chairman. Let me briefly repeat the following. You were actually sorry about the BIK before. You may regret this in advance. I therefore urge you to help resolve it by next week. I welcome the Secretary of State's commitment to relations with other countries and the minimum rate. However, I have one further comment to make. You yourself said that we were not very good with other countries. They're capitalizing on us. Isn't that an additional reason for the Netherlands to be the frontrunner now, to lead the way as a counter to criticism at a nice, average Vpb rate of 30%, for example, in any case in the Western countries? This does not apply to all OECD countries, but to the North-West European countries, including England. I hope your successor will shape that contramal. Finally, on marginal pressure. I've talked a lot about that, and so have others. My first point was, of course, that the marginal pressure should be reduced, so that people will have more to gain from extra work. We need that labour force. Two. This can be financed from the economic space. I have argued this in detail in the Financial Reviews. I hope that the cabinet will do the same tomorrow in the new coalition agreement. This is therefore a question of reducing marginal pressure. I have added that it is unfair that you have 60% marginal pressure with a middle income, while a top income has 49% marginal pressure. That is an additional argument. Another argument is that it is very good that higher paid people contribute a little more to social services. No more, no less. So I hope there's room in there. What, of course, helps most against marginal pressure is free, or almost free, childcare and directly subsidising the health insurance companies so that premiums go down, and more of that kind of thing. I introduced it two years ago. But as you know, the PvdA is never right, at least not at the right time. I am not going to repeat that we have said this before, because many others have said it before. Mr. Chairman. I hope to have many more debates with these two rulers in this position. Maybe there's a minister in there. That's good, too.
ParlaMint-NL_2021-12-14-eerstekamer-8.u127	I have an enlightening question for Mr. Crone. The PvdA is for equality. Are you also in favour of an equal marginal pressure for all incomes?
ParlaMint-NL_2021-12-14-eerstekamer-8.u128	No, there's always a dilemma here, too. a balance between a credible system and a viable one. When you put a soil on low incomes, you always have to remove it somewhere. The middle group is the largest group, so it never gets away from relatively the highest loads. Moreover, this cabinet has introduced the gradual scale. With the rent supplement, of course, you had a hard nod. That was totally horrible. But I take a step forward every year. That 49.5% is holding the cabinet. If it needs money, it can only get it from the middle groups. That's a shame.
ParlaMint-NL_2021-12-14-eerstekamer-8.u129	I just wanted to know if you're in favour of equal marginal pressure for everyone. But you think it's okay that it's different for different groups.
ParlaMint-NL_2021-12-14-eerstekamer-8.u130	I liked it rhetorically when I thought of it yesterday or the day before yesterday.
ParlaMint-NL_2021-12-14-eerstekamer-8.u131	Thank you. I call Mr Van der Voort of D66.
ParlaMint-NL_2021-12-14-eerstekamer-8.u132	Mr. Chairman. I thank the Secretary of State for their answers. I have become curious about the green paragraphs in the coalition agreement. The Secretary of State has fueled that curiosity even further. Whether you call the current tax policy "flets" or not, we obviously agree that there can be a scoop on top. The coalition agreement has actually been in the spotlight all day today, as if it were a surprise that we will be able to unpack later this week. Looks like we can't wait. The position of the Secretary of State today, at the end of their term, with the new cabinet approaching, is therefore not an easy one. In any case, our group understands this. As far as the dilemmas are concerned. It may even be a qualm. The Secretary of State for Increases and later Mr Van Apeldoorn mentioned transparent, careful, just and also quickly, so perhaps we are even talking about a quadrilemma. Not that I want to make things more complicated, but at least we have such a quadrilemma in the childcare allowance affair and perhaps also in the crisis measures, such as the corona crisis measures. That brings me to the question of the repayment of the tax debts that we have already discussed. The intention of the IRS is, as we hear, right. This is reassuring for now, but perhaps the Secretary of State can still comment on the situation of thezzp'ers. We are concerned about this group. How do the current aid measures work out specifically for this group and does the Tax Administration have any extra attention for them? I'd like to leave it at that. Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u133	Thank you, Mr. Van der Voort. I call Mr Ester on behalf of the Christian Union.
ParlaMint-NL_2021-12-14-eerstekamer-8.u134	Mr. Chairman. Thank you to both Secretary of State for answering our questions. We look back on a quiet and sometimes a bit of a matte debate. The fact that this is a limited number of legislative proposals will certainly be a cause for concern. The great work comes after the new coalition agreement; it has been mentioned many times. Nevertheless, a number of significant fiscal steps have been taken. I have shared the unanswered questions with the Secretary of State and will have an answer to them later, I suppose. In this second term, I want to limit myself to three issues: the issue of surcharges, the debate on returns and the role of ethics in the tax advisory sector. First of all, the poignant question of increases. My group sees a hard-working Secretary of State, who, together with her colleagues, wants to bring the painful and difficult process to a successful conclusion. We appreciate her openness, her commitment and her sense of responsibility, but I also think it is clear that it is going to take a long time and that many, often new bumps, still have to be taken. Fortunately, as I understand it, the available budget is not an obstacle. However, I am still curious to know that it is perhaps a bit of a spicy question, how it sees the role of Parliament in preventing new affairs. I am referring in particular to the many tax compensation schemes of planned policies set up in both chambers, which make the supplementing regime very complex. I'm asking that question a little bit to the other Secretary of State. Should they not even speak to us in admonition and say that limits are reached when it comes to feasibility? I note, however, that most of the tests carried out by the Tax Administration are always positive. They can handle it. Perhaps we should take a more critical look at this and you should also give us a mirror as a parliament. The second issue is the long-term debate on real and fictitious returns. It remains an annoying matter that no buttons are cut here. For taxpayers, it is inexhaustible that this issue should continue to drag on. And my group understands this annoyance very well. The Rotterdam professor Bas Jacobs recently made it clear that taxing on fictitious returns is a fiscal curiosity in the Western world and that there is a broader consensus among economists about taxing real wealth revenues. I would like to hear a response from the Secretary of State, Mr Delors. I can see him nodding a bit questionablely on this tax exemption position of the Netherlands. Mr. Chairman. The third and final issue concerns the relationship between ethics and taxation. Let me stress once again that there are many tax advisers who take the role of ethics very seriously. However, I am concerned with criticism that has emerged from the sector itself of the ongoing search for loopholes in tax legislation. That is why my group first suggested the idea of an oath for tax advisers, just as it does for banks. They could therefore be subject to disciplinary law. My group welcomes the Secretary of State's commitment to give his successor the idea we have put forward to take a few steps forward. We would like to be informed about the findings and the steps already being taken to work towards a code of conduct for the sector. What, according to the Secretary of State, is the dot on the horizon? We hope that a code of conduct, an oath or whatever you want to call it will have a purifying function for the tax advisory sector. Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u135	Thank you, Mr. Ester. I call Mrs Geerdink, who will speak on behalf of the VVD Group.
ParlaMint-NL_2021-12-14-eerstekamer-8.u136	Thank you, Mr. Chairman. On behalf of the VVD Group, I would like to extend my warmest thanks to both outgoing directors for their first-term response. I would also like to mention the great commitment of the officials of the Ministry of Finance. Once again this year they have processed the input of this Chamber at a rapid rate, which led to large piles of paper, to which reference was made earlier. Thank you for that. There are still a few issues on which the VVD Group would like to receive an answer or reflection from the Secretary of State in the second term. This is partly because an answer has not yet been received and partly because the answer gave rise to it in the first period. The first is the locational climate. We noted there that there was an en- en policy. It is aimed at both tax avoidance and the promotion of a good investment environment aimed at employment, greening and innovation with preferably the lowest possible Vpb rates, so that we as the Netherlands are and remain attractive to business. We have talked about an annual progress report and our group would like the second 'and' to be included. The point is that we're reliable. What is being said should not be highlighted from one side. As far as I am concerned, both sides need to be highlighted. We ask that this report be included in the annual progress report. We prefer to see them in the spring, so that we can discuss our tax plan in the autumn. The second issue is tax governance. We understand that VNO/NCW is taking the lead. We talked about it two years ago. In my view, this is a constant discussion, hence the question: when do you think there is something that can be done in practice? I would also like to ask if you can reflect on the English, neutral Chartered Institute of Taxation. This is able to generate neutral advice based on cooperation between fiscalists in distinctive roles. Maybe that's the solution to the problem. Third, I have the administrative burden. I have mentioned an example of the home working arrangements in conjunction with the anti-coherence scheme, together with the new development of the travel expenses scheme with the travel days. The Secretary of State didn't go into that. I would ask him to report on this, in particular how the Tax Administration will monitor it. Finally, there is the power test and the occasional special mention of the results of that test. Perhaps you could explain how it works and how it works, so that hopefully in the coming years there will be a slightly clearer test. Then there is the commitment on the briefing on the ICI capacity of the Tax Administration. We accept them in thanks. We are, of course, looking forward to the reaction of the Secretary of State in the second term and we are moving towards a new coalition agreement. Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u137	Thank you, Mrs Geerdink. I call Mr Van der Linden on behalf of the Nanninga Group.
ParlaMint-NL_2021-12-14-eerstekamer-8.u138	Thank you, Mr President, and thank you also to the Secretary of State for their detailed first-term response. In the first term of our group, of course, the essence was that our system of social security and taxation is too complex. That is an analysis that is widely shared. This was also apparent from the first term and from previous discussions here. It is not easy to break that, as the Secretary of State recognizes. The Secretary of State also referred with a different hat to coalition negotiations where four parties already do not come out. Our cautious conclusion is therefore that no major decisions will be taken in the coming years. That is why we are proposing an unconventional approach in the second term. We propose that the cabinet work together with the Lower House and possibly the Upper House on a plan to significantly simplify our social security and taxation system in the coming years, not as a kind of big bang, but at least as a spot on the horizon, as a vision strategy that will then be implemented, a long-term vision of the revision of the system. Our appeal is: take this simplification out of the too political and take out the too political ones. Take these two apart as step one, or it'll never work. In step two, of course, there is room for political differences over this simplified system. Of course it takes lubrication, money, money. The Secretary of State pointed that out, too. A suggestion might be a fund for this. Mr. Chairman. I would like to conclude with the motion for a broad approach to simplification of taxes and surcharges. The: Mr Van der Linden, Mr Frentrop, Mr Berkhout, Mr Nanninga and Mr Van Rooijen proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Dutch social security and taxation system is unnecessarily complex;]] [[Whereas there is broad support in both chambers for significantly simplifying this overly complex system in the coming years;]] [[Invites the Cabinet to work intensively with both chambers, research institutes and external specialists on an ambitious, transparent and step-by-step plan to significantly simplify our social security and taxation system in the coming years, with the starting point for the present:]] [[acceptable marginal pressure;]] [[acceptable budgetary impacts;]] [[acceptable income effects;]] [[acceptable labour supply effects,]] [[and goes to the order of the day.]] [[She's getting No. kst-35927-K]]
ParlaMint-NL_2021-12-14-eerstekamer-8.u139	Thank you, Mr. Van der Linden.
ParlaMint-NL_2021-12-14-eerstekamer-8.u140	Thank you and the rulers, too.
ParlaMint-NL_2021-12-14-eerstekamer-8.u141	Mr Schalk has the floor on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats.
ParlaMint-NL_2021-12-14-eerstekamer-8.u142	Mr President, thank you and, of course, thanks to both Secretary of State for the reply they have given. With regard to the surcharges, I fully understand the dilemma mentioned by Mrs Van Huffelen, the dilemma of speed versus care. I also understand that she has indicated that these supplementary regulations will first be dealt with in the House of Representatives, I believe, next Thursday, so we will not be focusing too much on them now. But it was one of my questions: do you have to come up with that right now, while the other process is still in full swing? Mr. Chairman. In addition, there has been a rather profound or in-depth discussion of the dilemmas which Secretary of State Vijlbrief has appointed. That's what it was about morality. For example, the words 'tax fraud' and 'tax avoidance'. Is that fraud, tax avoidance? That's gonna be an interesting question, of course. That depends on what exactly happens, whether it is within the framework of the law and so on. However, during that part of the debate we exchanged for a moment "give the emperor what is Caesar's," a beautiful statement by the Lord Jesus. But let us not forget the continuation of his remark: God what God is. The first half of that expression is about the right of the government to levy taxes. The second is the duty we have towards God. Mr. Chairman. We have also had a bit of a debate on the need to resolve the political dilemmas. [[Sentence could not be parsed: Ik heb daar nog verder over na zitten denken de afgelopen dag.]] Political choices which are considered acceptable at the outset can lead to new dilemmas, which may be morally out of step, on further development. For example, some years ago, the CBS indicated that the growing difference between one and two-earners, including the disproportionate marginal pressure, has reached the limits of justice and, I say a few years later, has already crossed. I have not been able to persuade the Secretary of State to regard the current regime as unfair. Maybe I could get him to at least label it as "croft grown" with me. Mr. Chairman. I understand, on the one hand, the failure to deal with the questions surrounding this issue. But that brings my group into a very difficult and special split. I gave you three options last night. One might think of freezing the transferable tax discount. Or, quite another thing, you could cancel the bill freeze child benefit. Or you could do something substantial for the one-earners at the bottom of the payroll building, in combination with the marginal pressure. I haven't had any answers to that so far. I understand, because we would do that in the second term. So I'm just gonna mention them. Then I considered: should I come forward with a motion? I've done that a few times in the past few years. Those motions were usually widely supported. Some parties now feel guilty because they didn't, but good. But in the end, after those years, I have to say, it didn't work out. So the question is whether I should do this again. I've decided not to do that, but to formulate a call. Mr. Chairman. My group is known as governmental and constructive. The SGP doesn't vote well because we're somewhere bad. In other words, not just like last year said: vote against. But on the other hand, I also have to deal with my own credibility. Last year we voted, exceptionally enough, against the Tax Plan 2021. I fear that it is very complicated for my group to support the last tax plan of the Rutte III cabinet. I'm very curious to know what's coming out of the top hat in the second term, but we'll make up our minds after that second term. Nevertheless, in any case, I wish both Secretary of State my heartfelt strength and God's blessing in their special work, even in these days of the present cabinet. Maybe we'll see them at some point. Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u143	Thank you, Mr. Schalk. I call Mr Otten on behalf of the Otten Group.
ParlaMint-NL_2021-12-14-eerstekamer-8.u144	Mr. Chairman. The better is the enemy of good. In short, this is how Dutch politics often tries to conduct fiscal policy on the square millimeter, often overwhelmed with the false security sauce of the CPB. There is often a lot of attention to all kinds of specific cases and exceptions. In the end, the premium affair has become the result of this. This makes the tax system a complex, complex and illogical set of rules for many, which also leads to many implementation problems. What is needed is simplification, clarity and transparency, especially now that inflation is rising and inflation expectations are beginning to change, with all the risks involved. This has also been recognised by the Secretary of State, thank you for that. Our group also has concrete proposals on how to do this. The Netherlands, as far as our group is concerned, needs to look much more closely at other countries for the solution of complex problems. In the case of the corona crisis, we have seen that this has been completely inadequate, although we have the impression that this has been the case a little more recently. That is why we have long called for a system with a much higher tax discount, following the personal allowance model in England of about €15,000. That solves a lot of the problems of the current system. Our motion to investigate this has been adopted by this Supreme Court a long time ago, but has not yet been implemented. That's why the next motion. The: Mr Otten and Mr De Vries tabled the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Otten motion for a resolution on a study on simplification of the tax system (motion 35302, letter N), which calls for a comparison of the well-functioning system of a significant tax reduction (personal allowance) for lower and middle incomes in England, was adopted by the First Chamber on 17 December 2019;]] [[Whereas the Netherlands urgently needs a simpler and more transparent tax system, which provides clarity for taxpayers, can increase economic dynamism and growth and leads to less complexity in implementation;]] [[noting that the study on a simpler tax system, to which the motion adopted (35302, letter N) calls and on which commitments have been made by the cabinet to the First Chamber, has still not been completed and has not yet been given to the First Chamber;]] [[invites the Government to give effect to the adopted motion 35302, letter N and the study in question to the Upper Chamber by 1 July 2022 at the latest,]] [[and goes to the order of the day.]] [[It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35927-L]]
ParlaMint-NL_2021-12-14-eerstekamer-8.u145	This motion therefore replaces our retained motion 35925, letter M, of 16 November last. Mr. Chairman. Then we get to the point of the surcharges. We have tabled a motion that, as part of the solution, we should at least immediately stop the country's attorney Pels Rijcken and no longer engage this country's attorney in tax and surcharge matters. After everything that's happened, how can you look those parents in the eye, after all that's happened, the victims of the premium affair, if you're still going through with an office where the top man has darkened over ten million in many years? The reason why we make such a point of this in the First Chamber, just like Pieter Ommzigt does in the Second Chamber, is that at some point you just have to draw a line in the sand and say "enough is enough," especially because there has been a much too much intertwining between the State and the national attorney in the last 52 years. The state attorney has been a state attorney since 1969. Mr President, I will conclude. If I were in the situation of Secretary of State Van Huffelen, and my partner as a notary was involved with the national attorney, as in her case, that would be an additional reason for me to break the ties immediately. New impetus is now needed, also a new lawyer, who can start with a clean slate. That is why I would ask that our motion 35927, letter G, on quitting the state attorney, be put to the vote today, because this does not allow any further delay. I understand that we may also be voting on other motions today, so that is why my request or point of order to do so immediately today. Thank you.
ParlaMint-NL_2021-12-14-eerstekamer-8.u146	Thank you, Mr. Otten. First of all, for the record, your motion 35927, letter L, which you have just filed, replaces your previous motion 35302, letter N.
ParlaMint-NL_2021-12-14-eerstekamer-8.u147	No, which replaces the retained motion 35925, letter M of 16 November 2021.
ParlaMint-NL_2021-12-14-eerstekamer-8.u148	35925, M of Maria?
ParlaMint-NL_2021-12-14-eerstekamer-8.u149	Yes, from Maria.
ParlaMint-NL_2021-12-14-eerstekamer-8.u150	The latter motion has therefore been withdrawn and is no longer part of the deliberations.
ParlaMint-NL_2021-12-14-eerstekamer-8.u151	It's been moved in. Correct.
ParlaMint-NL_2021-12-14-eerstekamer-8.u152	Thank you.
ParlaMint-NL_2021-12-14-eerstekamer-8.u153	I object to such a personal way of talking about the Secretary of State. My group wants this to be said as clearly and clearly as possible. She would like Mr Otten to withdraw this. Thank you.
ParlaMint-NL_2021-12-14-eerstekamer-8.u154	I've been thinking very consciously about whether or not I would. There are a lot more things I know that I didn't put in my speech at all. It's all much more intertwined than people think. But this has also been in the press. It has also been stated in Wob reports that there was special concern from the cabinet on this issue. You can check all that out. It has also been published in the newspapers. That seems to me to be relevant in this matter. Frankly, I do not understand, Mrs Geerdink, why the VVD wants to keep this country's attorney in charge after everything that has happened there. Why don't you just say, like almost the majority here: enough is enough; we're not all gonna come up with new rules? People have gotten into much less trouble with the surcharges. At some point, as a government, you must also say: we are simply drawing a line here; this is no longer acceptable. Certainly for us as the First Chamber, which must take account of the legality of the policy, there is a task here now to ring the bell. We have done so, following Pieter Omtzigt in the House of Representatives.
ParlaMint-NL_2021-12-14-eerstekamer-8.u155	Then I note that you do not understand what I mean. That's not so much a question as a question.
ParlaMint-NL_2021-12-14-eerstekamer-8.u156	I actually have a point of order, too. I had a little thought yesterday about whether I should make that point when the motion was tabled, because there is a name in it. But that's still from the state's attorney, and you could say something about that. But just now, the Secretary of State's partner was also called in. Then I thought, "Now we're really going too far." They're people who can't defend themselves here. I think it's also a personal matter to the Secretary of State. It is perfectly capable of defending itself, but as a point of order I would like to ask, or to consider, for Mr Otten to take that comment back at least.
ParlaMint-NL_2021-12-14-eerstekamer-8.u157	That is the second request. I do not, because this is the partner, who is also otherwise involved in this file, through another firm. I'm not gonna talk about any of that. But what I said: if I had been the Secretary of State, it would have been an additional reason for me, especially because it was in the press... At least NRC-Handelsblad has published about it. At least I've seen all kinds of Wob messages about that. In fact, the top of the D.A.'s office scaled down the investigation. The district attorney who was investigating this at Pels Rijcken has been flagged back, if I understand correctly. That is Mr Frakking, if I am well informed. There's some really weird stuff going on there. It is important that we, as the First Chamber, show that enough is enough. This is too intertwined with all kinds of state affairs. There just needs to be another state attorney, an employed lawyer or something like that. But I'm not taking it back, Mr. Chairman.
ParlaMint-NL_2021-12-14-eerstekamer-8.u158	At least you mentioned Pels Rijcken in your motion. That's so far. It's also in the press, but it's good practice not to mention names of people who aren't here. Because they can't defend themselves. You are not prepared to take it back, but I would ask you not to do so again, because I am not giving you the floor to do so. Mr. Schalk.
ParlaMint-NL_2021-12-14-eerstekamer-8.u159	Mr President, that is exactly what I wanted to say. The state attorney was appointed, but Mr Otten made a remark in his speech, perhaps he did not notice himself, as well as a comment about the personal partner of the State Secretary, who is not here. I know the name, but it doesn't matter at all. But I ask Mr Otten to take that back, because that is something else than the national attorney. It would please you, I say to Mr Otten, if you take it back.
ParlaMint-NL_2021-12-14-eerstekamer-8.u160	Mr. Otten, one more chance to take it back.
ParlaMint-NL_2021-12-14-eerstekamer-8.u161	All sorts of things have appeared in the publicity, including...
ParlaMint-NL_2021-12-14-eerstekamer-8.u162	No, the request is just: do you want to take it back, yes or no?
ParlaMint-NL_2021-12-14-eerstekamer-8.u163	No, I think it's relev...
ParlaMint-NL_2021-12-14-eerstekamer-8.u164	Clear. Then Mr. Van der Linden.
ParlaMint-NL_2021-12-14-eerstekamer-8.u165	I have one more question. I have just heard Mr Otten say that there are all kinds of other things that are not yet public, which should support this motion. My question is actually: if you say that here, then I think you should tell us something about it in order to consider whether to vote for or against that motion. Then what's it about?
ParlaMint-NL_2021-12-14-eerstekamer-8.u166	I have just said that I am not giving Mr Otten the floor to make personal remarks about individuals who are not here. So if that is part of the answer that Mr Otten has to give now, he will not be given the floor, Mr Van der Linden.
ParlaMint-NL_2021-12-14-eerstekamer-8.u167	No, apart from naming people like that, of course.
ParlaMint-NL_2021-12-14-eerstekamer-8.u168	No, I am not going to go into that further in the light of the previous comments. But I would advise Mr van der Linden to look into that. Then he can find out for himself, I think.
ParlaMint-NL_2021-12-14-eerstekamer-8.u169	Thank you. Then I saw Mr Vendrik, but now I see him running away. Thank you, Mr. Otten. Then Mr Otten tabled another point of order, namely to vote today on his motion 35927, letter G, which he tabled earlier. At the end of this second term, I propose that we vote on that order proposal to vote on that motion today or not. It may also be that there will be a similar order proposal. Mr. Van Strien.
ParlaMint-NL_2021-12-14-eerstekamer-8.u170	Thank you, Mr. Chairman. If we are going to vote today on a motion that I simply want to discuss with my group, then I would like to vote by roll call on the order proposal.
ParlaMint-NL_2021-12-14-eerstekamer-8.u171	Thank you. By the way, if motions are put to the vote today, you will have every opportunity to discuss them with your group, because then we will be looking at how much time it takes today. If there is to be a roll-call vote today, it will be late at least this evening, because then we must allow all Members to come here. So I would ask you to weigh that up with your request. But first we go to the State Secretary, but only after I have asked if one of the Members wishes to speak in the second term. That is not the case. Then, Secretary of State, are you able to respond directly to the questions of the Chamber?
ParlaMint-NL_2021-12-14-eerstekamer-8.u172	Mr. Chairman. I need a few minutes for a natural necessity and a few minutes to talk to my officials. That won't take long, don't worry.
ParlaMint-NL_2021-12-14-eerstekamer-8.u173	Fine. Then we'll suspend for a brief moment.
ParlaMint-NL_2021-12-14-eerstekamer-8.u174	I give the floor to Mr Van Strien, who has asked to speak. Mr Van Strien wished to speak on his last point of order.
ParlaMint-NL_2021-12-14-eerstekamer-8.u175	Mr. Chairman. I have a question first. There are therefore two motions for resolutions which call for the vote to be taken this evening.
ParlaMint-NL_2021-12-14-eerstekamer-8.u176	No, Mr. Van Strien. There is one motion on which the order proposal is currently before us to vote on it tonight. That is Mr Otten's motion 35927, letter G.
ParlaMint-NL_2021-12-14-eerstekamer-8.u177	Is that the only motion on which the proposal is to vote tonight?
ParlaMint-NL_2021-12-14-eerstekamer-8.u178	Right now. It is not excluded that during the evening one of the authors of the other five motions tabled today will at any time ask for his motion to be voted on this evening. That too will be an order proposal, which will then be voted on at that time, or as much later as the Chamber decides. Your order proposal, which is currently before you, is to have a roll-call vote on Mr Otten's order proposal to vote on Amendment 35927, letter G, this evening.
ParlaMint-NL_2021-12-14-eerstekamer-8.u179	Then I withdraw my request for a roll-call vote.
ParlaMint-NL_2021-12-14-eerstekamer-8.u180	Thank you. Then I will give the floor to the Secretary of State for Finance - Taxation and Tax Administration.
ParlaMint-NL_2021-12-14-eerstekamer-8.u181	Mr. Chairman. I'll appreciate the motions at the end of my term. I do the answer again in a few blocks, because it is quite a lot: Vpb, BIK and tax avoidance. Then I'm going to say something about tax governance and about income and energy. And then I've got a few more varieties. There's been a misunderstanding about cutting up the Vpb. Raising the border in two steps was included in the Tax Plan last year. It's not in the Tax Plan this year, it's in last year's. The proposal was made law by both chambers last year. That is the actual, factual, legal situation. The Chamber can then ask me for anything. Mr Vendrik does the same in his motion. Of course, that's perfectly permissible, but I'm just saying what it's like. I think that Mr Essers has said the best, better than I have done, for which thanks, there may also be all kinds of other reasons for cutting up your business. He has also made it quite clear that, in general, it is simply a reduction in the burden for smaller companies, regardless of whether they are SMEs or not. None of that matters. He has also said well that I announced in the House of Representatives that I would monitor this properly. In the House of Representatives, that was enough to discourage the amendments. That is what I am going to do with the motion, because I simply insist that this line can be maintained. I admit that I have always said that, and I am not going to go so far as to say that, if you isolate everything, raising that limit can in itself lead to more cutting up. I'm not gonna deny that, because that's just a fact. But that is not the point at all; that is what Mr Essers said. The point is that there is a broad consideration. I have had this debate with the Lower House for a long time and now also with the Upper House. I've said about the last word on it. This is the situation as the cabinet sees it.
ParlaMint-NL_2021-12-14-eerstekamer-8.u182	However, just a little while longer, because I mentioned the question of who is actually in the interest of Mr Essers in the interrupting debate. It is said that the introduction of the extension of the first disc has been done for SMEs, i.e. the increase in the amount of €245,000 to €390,000 profits. What percentage of SMEs actually benefit from this? Can the Secretary of State answer that?
ParlaMint-NL_2021-12-14-eerstekamer-8.u183	I'm gonna take it out of my head for a second, but I thought it was 20,000. It's not about small numbers.
ParlaMint-NL_2021-12-14-eerstekamer-8.u184	I read somewhere that the Secretary of State mentioned the percentage of 5%. These are the 5% most profitable SMEs. It's companies that are doing well. They make a big profit. You can say "it benefits SMEs," but it benefits a very small part of SMEs. I would just like to say that for the record of the debate. That's an important distinction. We should not pretend that we are also helping the baker on the corner and many other small businesses. This is simply not the case; it concerns the most profitable companies: 5%.
ParlaMint-NL_2021-12-14-eerstekamer-8.u185	I'm really resisting this image. I'm gonna say it one more time. I have had a very long debate with the House of Representatives on this. Now I have it again, with the First Chamber. Of course, SMEs are not just about the bakery on the corner, I say to Mr Van Apeldoorn. It's also about growing companies. In addition, you can make these kinds of profits. There's nothing wrong with that. I'm just saying that this is important for business. I also found the comparison with the BIK really inappropriate. This is a simple disk extension. You can find out what you think of that. I have had a long debate with the House of Representatives on this. This was in last year's tax plan. No one said anything about it back then. Now Het Financieele Dagblad opens three times in a week with this point and there are tax advisors who are so unwise to say that they are now going to cut up extra. Speaking of ethics, all right, so be it. I just insist that this is a normal measure. That is where Mr Van Apeldoorn and Mr Vendrik and anyone who supports the motion can find out what they think. You can ask me what you want, but you get the same answer over and over again. It is an important measure for 20,000 companies. You have it, I think, wrong by pretending that this is a douche bag for large companies. It just isn't.
