ParlaMint-NL_2021-05-20-tweedekamer-7.u1	I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u107	Finally, Mr President. At the request of Mr Madlener, I tried to find out how the European Parliament voted. Well, I can assure you, that is not an easy matter. This shows how the European Union works. But there has been a negative vote to the group and the group members have either voted against or abstained. So either we voted against or we abstained. I was able to get that far at lunchtime, but there is still much to improve in the area of democracy in Brussels. That's confirmed, too. Thank you.
ParlaMint-NL_2021-05-20-tweedekamer-7.u108	Thank you for clearing that up, because then it won't stay above the market either. Otherwise, we're gonna have a nasty feeling about going to the weekend, and we don't all want to go to the weekend. So thank you for that. How long does the Secretary of State need to think? We are voting after this debate.
ParlaMint-NL_2021-05-20-tweedekamer-7.u109	Fifteen minutes.
ParlaMint-NL_2021-05-20-tweedekamer-7.u110	Fifteen minutes. Well, I'll suspend until 3:15, but I hope we move on sooner.
ParlaMint-NL_2021-05-20-tweedekamer-7.u111	We need the government's second term. I call the Secretary of State.
ParlaMint-NL_2021-05-20-tweedekamer-7.u112	Thank you, Mr. Chairman. Before I go into the motions and the amendments, I would like to thank all Members for the debate. I think it was a nice debate and I think there are really shared concerns and shared wishes, namely that we should do this carefully. That is the common thread I hear through the contributions of all the groups. There are, of course, differences of opinion as well. I shall come back to the motions and amendments, but I do think it is important to highlight what this law does. It really is an improvement on the current situation. A number of comments are made on the current situation. This law may not be perfectly 100% waterproof on all parts, as we might want to have it for everything in the future, but it does provide all the foundations for achieving climate goals in a sustainable way, strengthens public oversight, increases transparency with, among other things, the Union database, and excludes that high ILUC, which we are concerned about. If we don't have the law, we can't do it. In that respect, therefore, I strongly recommend the law. The decision then sets the limits exactly in percentage and regulates the incentive factors. That is the translation into practical application. There are still a number of questions for information that you will find necessary before the decision can be taken. I shall come back to that in a moment to some of the amendments. Mr. Chairman. Mr Geurts asked for an illustration of this public oversight. If you look at how we have been able to expose the fraud in biofuels, you will see that we have not looked at it by link, but rather over the links. The certification body certify a link, but we can see that with this public oversight we can better see through different links: is it still true? That's one of the points. We can compare the financial records across the various financial links. That eventually brought to light what went wrong. That's how we're gonna strengthen public oversight. It is a very concrete illustration of how we could have brought something to light that we did not want to be together. We are going to overcome the fact that this can still be done in the future in the same way. Mr President, then there are the motions. The motion in part No. 15 by Mrs Bouchallichh I give judgment Chamber. When calculating the incentive factor "country" in the energy transport scheme, I do intend to use the factor 4 in accordance with the RED II. The motion in part No. So 15 gets judgment room. Then the motion to part No. 16 by GroenLinks. In the Netherlands PFAD is not used, but I will investigate whether this raw material has risks of suction effect. I will check with the Commission to see if it can possibly go under high ILUC. If that is possible, we can discuss with each other in the decision what we want to do with it. I leave the opinion to the Chamber with these comments. Then the motion to part No. 17 by Mr Van Raan. I leave the judgment to the Chamber on this too. Monitoring has been undertaken by the Commission at European level. After all, it is a policy that regulates the EU market. I'll be sure to proactively inform the Chamber. I think that is Mr Van Raan's question. Then the motion to part No. 18 by Mr Van Raan. I'm gonna have to dissuade him. We will inform the Chamber about the European list when the decision is taken. Then Mr Van Raan has that information in the decision. Furthermore, the scheme is merely its effect. Political decisions are taken when we discuss the decision with each other.
ParlaMint-NL_2021-05-20-tweedekamer-7.u113	One quick question, Mr. Van Raan.
ParlaMint-NL_2021-05-20-tweedekamer-7.u114	Excuse me, there's been a misunderstanding. Let me illustrate it with an example. Suppose there are ten topics on the European list. On the Dutch list we can take over ten of them, but also eight of them. We would like to have that Dutch list. We would like to debate this in the Chamber rather than the European list.
ParlaMint-NL_2021-05-20-tweedekamer-7.u115	Clear.
ParlaMint-NL_2021-05-20-tweedekamer-7.u116	I understand that, but when the decision comes to the Chamber, I'll make sure the lists are there. Then Mr Van Raan can say what he thinks about that. The Dutch list is a translation of the European list. A first subdivision was made there. We'll make sure the Chamber has those lists. Then Mr Van Raan can say what he wants. I'm not doing that with the scheme. I'm doing it with the decision. Then I'll make sure you have the information on that list. This motion calls for a suspension procedure in the case of a ministerial arrangement. We won't, but I'll send it to you. When we discuss the decision with each other, we also have an insight into the list we are going to use in the Netherlands. There may then be a difference of opinion between Mr Van Raan and the cabinet on which list the Netherlands should apply. For example, should there be a further selection? That is a legitimate political debate, but we do so when we discuss the decision. And I'll make sure you have that information, too.
ParlaMint-NL_2021-05-20-tweedekamer-7.u117	Clear. Then the motion to part No. 19.
ParlaMint-NL_2021-05-20-tweedekamer-7.u118	The motion in part No. 19 is about excluding woody biomass. I advise against this motion, and why I do so, I think we have exchanged enough in the debate. In the EU, it is determined whether these raw materials are included in a list of that specific annex and we are also actively following those pathways. But I'm not suggesting this motion. I should like to ask the authors of the motions for resolutions on the documents Nos. 20 and 21 want to ask them to hold. These motions are about a phase-out path for that small part, that 1.7%, that we now have of food crops. We have also agreed on a climate objective. Mr De Hoop proposed to delete it at once in 2023, which could have an impact on achieving our climate objectives. I think it is important that we have sufficient good alternatives if we are to rule something out. If not, CO emissions will go up, because we will replace it with fossil fuels or perhaps other biofuels that are worse than these. I would therefore suggest that we map the effects of the request contained in the motions. I will try to have that in your Chamber at the time of the discussion on the decision. Then we can discuss again with each other whether and in what way we would like to deal with these motions. My request to the authors is therefore for the motions to be put to the vote. 20 and 21, or I'll have to dissuade them.
ParlaMint-NL_2021-05-20-tweedekamer-7.u119	I am looking first at Mr Van Raan, because that is the first author of the motion in part No. 20. Just nod, Mr. Van Raan.
ParlaMint-NL_2021-05-20-tweedekamer-7.u120	I know that, Mr President, but that is not the issue right now. If we already agree that the use of these food crops should be phased out as soon as possible, and if that is also the commitment of the Secretary of State, then as far as we are concerned, she can simply start doing so.
ParlaMint-NL_2021-05-20-tweedekamer-7.u121	So you're not withdrawing the motion?
ParlaMint-NL_2021-05-20-tweedekamer-7.u122	No, not in advance.
ParlaMint-NL_2021-05-20-tweedekamer-7.u123	Then what is the verdict of the Secretary of State?
ParlaMint-NL_2021-05-20-tweedekamer-7.u124	Mr President, I must advise against them at this time, given the context in which we agreed in the Climate Agreement. Otherwise, it's a very vague motion that actually doesn't say anything else. Mr De Hoop's is much more specific. It calls for a specific date. That is why I think it is right to map the impact if you choose to do so within a specific short period of time.
ParlaMint-NL_2021-05-20-tweedekamer-7.u125	Clear. I would also like to refer to the motion on part No. 21.
ParlaMint-NL_2021-05-20-tweedekamer-7.u126	The request is also here to hold that motion. I see Mr De Hoop nodding, Mr President.
ParlaMint-NL_2021-05-20-tweedekamer-7.u127	Mr. De Hoop seems to nod.
ParlaMint-NL_2021-05-20-tweedekamer-7.u128	Yeah, I'd like to keep it.
ParlaMint-NL_2021-05-20-tweedekamer-7.u129	Very good.
ParlaMint-NL_2021-05-20-tweedekamer-7.u130	I agree with the Secretary of State's commitment, but the Secretary of State said: then I would like to try to deposit it with the Chamber for the decision. I really want to stress to her that my group considers it very important that we actually get it for the decision.
ParlaMint-NL_2021-05-20-tweedekamer-7.u131	That's noted. So the motion De Hoop is being apprehended.
ParlaMint-NL_2021-05-20-tweedekamer-7.u132	I'm gonna go get it then. That's definitely my bet.
ParlaMint-NL_2021-05-20-tweedekamer-7.u133	At the request of Mr De Hoop, I propose his motion (35626, No. 21). That is what is decided.
ParlaMint-NL_2021-05-20-tweedekamer-7.u134	Then the motion to part No. 22. It also calls for an impact assessment to be sent to the Chamber for the implementation decision. I think that's okay. So I can take over the motion or leave judgment room, because I intend to do so. Then the motion to part No. 23 by Mr Grinwis. The annual obligation may contribute to the roll-out of REV. The aggregated booking of charging points can also contribute to this. However, there are also concerns. That is what we exchanged in the debate. So taking into account these concerns, I would like to have a look at the possibilities for that aggregated booking. There will be another amendment coming along which is related to this, but I will leave it to the Chamber to decide on this motion. The motion of the VVD in part No. Twenty-four requesting an investigation. This motion, too, I leave to judge Chamber. We'll see if a quarter is right, but maybe another period is just better. Because of the administrative burden, we will map it. So judge Room. Then the motion to part No. 25 on inland waterway transport. The Minister is in talks with the sector and before examining the decision, the Chamber will be informed about the discussions. That is how I interpret Mr Bishop's motion and, if that is correct, I would also like to give this motion a Chamber of Judgement.
ParlaMint-NL_2021-05-20-tweedekamer-7.u135	Then I'll miss the motion on part number one. 26.
ParlaMint-NL_2021-05-20-tweedekamer-7.u136	I now come to the motion on part No. 26, Chairman! This was the motion in part No. 25.
ParlaMint-NL_2021-05-20-tweedekamer-7.u137	I was early again!
ParlaMint-NL_2021-05-20-tweedekamer-7.u138	Yes. This motion I must advise against. All efforts must meet the quality requirements and the quality is therefore guaranteed. The obligation is also a European requirement and I must therefore advise against this motion. Then there was a question from Mr Grinwis on quality standards. I can repeat it again. It is good to know that there is already an addition in inland waterway transport at the moment. There is also a possibility to buy off that obligation to mix. So I'm saying you fill it in administratively instead of filling it in through actual incorporation into your own ship. Of course, I am prepared to monitor it, also in the context of the obligations. I think that is a very real question, so we will certainly do that.
ParlaMint-NL_2021-05-20-tweedekamer-7.u139	Mr Grinwis is now absent, but somewhere in this building he breathes relievedly.
ParlaMint-NL_2021-05-20-tweedekamer-7.u140	I know the employees always listen in.
ParlaMint-NL_2021-05-20-tweedekamer-7.u141	That's right.
ParlaMint-NL_2021-05-20-tweedekamer-7.u142	So we will certainly continue to monitor that. But quality requirements for commitment are of course also set at European level. Mr. Chairman. Then I come to the amendments. First of all, the motion in part No. 8.
ParlaMint-NL_2021-05-20-tweedekamer-7.u143	The amendment.
ParlaMint-NL_2021-05-20-tweedekamer-7.u144	Sorry, the amendment to part No. 8. Of this, I would be able to send a new written appreciation if that were to be changed. I'm assuming that's a good thing. That's about the next thing. The amendment now ignores the distinction that, as for palm oil, is still possible between high and low ILUC risk based on sustainability certification. This is very important, also in view of all international rules. In order to overcome this and make the amendment possible, it would be necessary to adapt the wording and take that distinction into account. If the author is willing to do so, I assume that I can give a positive opinion.
ParlaMint-NL_2021-05-20-tweedekamer-7.u145	What is your answer to this, Mrs Hagen?
ParlaMint-NL_2021-05-20-tweedekamer-7.u146	Very briefly formulated. I am particularly concerned about the fact that the current situation is actually taking place in legislation. If so, so no use of soya oil for biofuel, then I can accept that amendment.
ParlaMint-NL_2021-05-20-tweedekamer-7.u147	That distinction is important for a while. If we can make that, we can legally anchor it. If the amendment is amended, I will ensure that the written appreciation is due to the Chamber before the vote.
ParlaMint-NL_2021-05-20-tweedekamer-7.u148	And then we expect Mrs Hagen to give us a new version of what is now the amendment to item No. 8 is.
ParlaMint-NL_2021-05-20-tweedekamer-7.u149	Mr. Chairman. The amendment in part No. Nine I must advise against. As promised, I will always send the Energy Transport Decision to your Chamber in front of you. I am also doing this with the Energy Transport Decision for this implementation process. Setting limits and the principle of fair share is difficult to operationalize at the level of the AMvB. That is why I do not recommend the amendment. But I get the question. Therefore, instead of anchoring this amendment in the law, I would suggest that I ask the Dutch Emission Authority to take this aspect into account in its annual reporting on the use of biofuels. That report will be sent to your Room every year. So we can keep our finger on the wrist together, which I believe is an important reason for this amendment.
ParlaMint-NL_2021-05-20-tweedekamer-7.u150	That is the amendment to item No. 9, but that has now received a new song, namely the number 27. Don't ask me why.
ParlaMint-NL_2021-05-20-tweedekamer-7.u151	The ways of the Chamber are inscrutable in some respects, Mr President. Mr. Chairman. The amendment in part No. 10, on mandatory suspension of the AMvB in order to develop the BKE-systematiek, is judged Chamber. We always do it, but if the Chamber would like to have it enshrined in the legislation on this point, I am of course not opposed to it. I'd like that. Any use of that BKE-systematiek would really require a further weighing. We do create the hook in the law to make it possible in due course, but that really requires a further weighing. It's fine to hang on to that. Mr. Chairman. The amendment in part No. 11, also from Mr Grinwis, is a sympathetic idea. We all want to stimulate electric driving. I welcome the proposal to include it with a possibility clause. I have just stated in the oral reply that there are a number of conditions that we must first look carefully at in order to assess whether it is possible and whether we should also want to have it with each other. But this hook is okay in that respect. I am going to investigate whether it would be possible within existing legislation and enforcement. But we will come back to the Chamber on that, as promised in the oral reply. Mr. Chairman. The amendment in part No. 13 calls for an evaluation. I think that's a very sensible idea. I am therefore happy to give that amendment by Mr Geurts to the Court of Justice, also because it is actually an answer to some of the concerns that have been raised in the Chamber today in the context of this debate. Such an evaluation will also give us the opportunity to say in a few years' time: "We had certain concerns. There have been certain answers and guarantees. Are they sufficient or do we believe that we should give a more detailed answer to this?" We will continue with this reinforcement, the improvement, the step we can take now, but we will not close our eyes that we may say in a few years' time that more is needed. So judge Room. Then there are the amendments to item No. 12 and item No. 14, which exclude certain things; therefore I want to answer them together. It is important to note that in the renewable energy system, this legislative proposal already addresses the exclusion of biofuels with high ILUC risks by 2022. The exclusion of conventional fuels per amendment leads to less CO reduction, and that is just where we have a responsibility. Once again, I have already indicated to the Chamber that I will explain further before the discussion on the decision in response to the motions. I therefore recommend that this be laid down in legislation at the moment. That applies to both the amendment on item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the amendment to item No. 12 as the I hope that I will be at the end of the answer and have answered the questions.
ParlaMint-NL_2021-05-20-tweedekamer-7.u152	I think so. There are no more questions, I'm not sure. Thank you very much to the Secretary of State for her presence today.
ParlaMint-NL_2021-05-20-tweedekamer-7.u153	On Tuesday we shall vote on the law, on the amendments and on the motions for resolutions. I'm gonna suspend for a minute, and then we're gonna vote.
