ParlaMint-NL_2021-12-01-tweedekamer-6.u1	Then we continue with part two of the budget for Agriculture, Nature and Food Quality.
ParlaMint-NL_2021-12-01-tweedekamer-6.u54	Mr. Chairman. On 18 November, as the only representative of this Chamber in Brussels, I spoke with all the other national parliaments, the European Parliament, the European Commission and the French Presidency on the common agricultural policy and its implementation at national level. I can recommend it to everyone, and I would also like to stress the importance of interparliamentary and European cooperation here, especially since last week the European Parliament voted on the revision of the common agricultural policy. I noticed two things. The first is that everyone in Europe wants to move in the same direction: towards a new, sustainable way of agriculture, a future-proof way of agriculture and food production. Some countries are a little more progressive and some countries are a little more conservative, depending on the problems each country or region faces. That makes sense, because the transition to this form of agriculture is very far-reaching. We share many of these concerns. I'll come back to this later. Mr. Chairman. The second thing that struck me is how incredibly much we can learn from each other. In Poland, for example, the third consultation of farmers and civil society started last week. In Austria, small farmers and high ecological standards are the norm. And the rapporteur from the EP, like the WUR, pointed out that the key to success is the use of eco-schemes for an ambitious area-based approach. The Minister said earlier that the exchange of best practices is valuable, but does the Minister also regularly exchange information and best practices with other Member States, such as Austria? And are these taken into account in policy making? In the Netherlands, there is a fear that farmers will not be able to participate sufficiently in these major transitions. They are concerned about whether there has been a proper thought about what measures mean for the management of a farm. That is why I would like to ask the Minister: how is the Netherlands doing with the consultations on the NSP? How is dialogue between government and farmers strengthened in the Netherlands? How, for example, does the exploration of the agricultural agreement relate to the forthcoming National Strategic Plans? Should not the agricultural agreement, which aims to establish a long-term predictable and coherent policy, be the basis of the NSP, which will be rolled out from 2023 to 2027? What is the timeline for drawing up the agricultural agreement? On 8 December we will debate the NSP and on 1 January the first version will go to the European Commission. My question is this: is there still sufficient possibility of incorporating input from the agricultural agreement into national plans? Mr. Chairman. Then I'm going back to trouble. A European agricultural policy, and hence the national plans for it, must satisfy three things. They must be ecological and economically profitable, and they must take everyone with them. This means that socio-economic aspects must also be considered. In many debates, therefore, we have already said that farmers are not victims of, but part of, the transition. They must therefore be encouraged and compensated for greening their earning models. It is striking that this problem is cross-border. It is not that people do not want to green up, but they are afraid of the consequences of that greening on the farmer's income and the unpredictability of the plans. We have seen this happen over and over again with the nitrogen crisis. This approach therefore does not work. However, the result should not be to lower our ambitions, which means that we will have to re-open our NSP in a year or two to bring it into line with the Green Deal and Fit for 55. Instead, the NSP must immediately become ambitious enough and be a long-term vision. Nevertheless, in order to ensure that climate plans are sufficiently reflected in the NSP, Volt has asked for an overview of all climate objectives affecting agricultural policy. We got that overview today. I would like to thank the committee staff for this. It's become a fine document. I hope that everyone in this committee will use this document to have a good debate next week on the NSP that is being proposed. I would like to add that we were surprised that such an overview could not be shared directly from the Ministry. It is true that some of the objectives are not yet 100% certain, but it is precisely in order to prevent new crises such as the nitrogen crisis that it is important that everyone, including the Chamber, has an early view of the certain uncertainties as to the sustainable objectives that agriculture is facing. Mr. Chairman. In most countries, as well as in the Netherlands, there are concerns about farmers' income and the lack of consultation. I have already paid attention to the latter, so now I want to focus on the farmer's earning model and the reduction of the premium per hectare, or the subsidies per square metre of agricultural land. Change is necessary, but the question is: are we, as citizens, also willing to pay a fair price for sustainable food? How does the Minister ensure that the transition in agriculture is accompanied by a fair income model for the farmer? Is this being taken into the NSP? And if so, can the Minister give an indication of the possible options on the table? How does this ensure a level playing field at European level? Mr. Chairman. Another concern is that every area, every region, every type of land needs a different approach. Unity sausage is not an option. That is why I would like to ask the Minister once again: to what extent does the Dutch NSP offer the possibility of an area-oriented approach? To what extent is cooperation with local authorities to coordinate and develop this approach? To what extent is European-wide information exchanged in areas similar to those facing the same problems? Mr. Chairman. Trust, predictability and information are key to success. Farmers must have confidence in the use of the money. It should become clear when the measure will have a certain effect, especially for new business operations, such as CO-reducing farmers. In this way, we can include farmers in the question of why they are going through what change and pay them a clear fee. All these things can be recorded in the NSP in the coming time. For that, I must be bold to look forward and have the ambitions we are meeting in Europe. We have to take people with us already. The Commission indicates that each NSP must have a clear strategy in the programme in order to adopt it. The NSP must have measures that are easily accessible to every farmer. The objectives of the NSP should be consistent with European climate and environmental ambitions outside the CAP. We can't see these things apart from each other. That is why, as the LNV Committee, we must keep a close eye on these different objectives. This debate shows once again how good it is to have a European information service for us in the Chamber in order to be able to monitor and monitor all the plans. Mr. Chairman. Finally, I would like to pay close attention to the next step. The plans should be submitted in December, so the preparation of an NSP should receive the most attention. At the same time, it is also important to think about what comes next, namely the monitoring of implementation. This is already being negotiated in Brussels, while the Netherlands is still preparing the plans. A question for the Minister is: when will a link between objectives, result indicators, reports, checks and actual performance be further developed and when will the Chamber be informed? Thank you, Mr. Chairman.
ParlaMint-NL_2021-12-01-tweedekamer-6.u55	Thank you. Then Mr Eppink of the JA group21. Mr. Graus, what can I do for you?
ParlaMint-NL_2021-12-01-tweedekamer-6.u56	We're gonna look back, 'cause I'm keeping a really good record. I am also chairman very often myself, and I know exactly how to do all that. I know exactly how it works, because I've been doing this for 15 years. Mr. Mulder has been interrupted a few times, among others by the chairman, and then it's just counted as a new question. But we had two questions left. This can't be happening. For example, I had a question for Mr Wassenberg, but I am sitting here for bacon and beans. I might as well go home. Then I'm going to listen to it all in the car, because I can't say anything here.
ParlaMint-NL_2021-12-01-tweedekamer-6.u57	The interesting thing is that almost everyone is through his interruptions, so if I can take over your speech usage, everyone's in for bacon and beans right now. But we just checked through Debate Miss. That's where you can see it. The interruptions are indicated there.
ParlaMint-NL_2021-12-01-tweedekamer-6.u58	But, Mr. Chairman, you interrupted Mr. Mulder twice and then the interruption was counted as a new one while he was interrupted.
ParlaMint-NL_2021-12-01-tweedekamer-6.u59	I just have half a rebellion here! I thought we'd go quietly to the next corona debate. But now the whole right wing is here.
ParlaMint-NL_2021-12-01-tweedekamer-6.u60	Mr. Chairman, I'll be sporty. Because I have good contact with my colleagues, I can also do it bilaterally, but it is not quite neat, because we had saved two.
ParlaMint-NL_2021-12-01-tweedekamer-6.u61	We want to do it nicely. I hear Mr Mulder talking in the Chamber; perhaps he wants to think about his volume. We're gonna watch it face-to-face. If you're short-handed, we'll add to that tomorrow. Is that a good solution? Then you can ask the Minister additional questions. Yeah, think about that, Mr. Mulder, because I'm offering you a sacrifice you can't refuse, I'll just say it in country language.
ParlaMint-NL_2021-12-01-tweedekamer-6.u62	I'll think about the damages tonight.
ParlaMint-NL_2021-12-01-tweedekamer-6.u63	It's nice with you, buddy. For 15 years, I've been dealing with this guy... well, okay. Mr. Eppink, it's really up to you to straighten up this debate, because we're in a slump. You have the floor.
ParlaMint-NL_2021-12-01-tweedekamer-6.u64	Thank you, Mr. Chairman. After this entertainment comes my contribution. Ladies and gentlemen. The story of the Dutch agricultural sector is a success story with many changes. That didn't always happen on its own. After World War II, the Groningen PvdA politician Sicco Mansholt became the architect of the Dutch agricultural sector. As you can see, I've been well documented. This book, I shall not read it, because then we will be sitting here tomorrow, which is very interesting, also for Mr Thijssen of the PvdA, because then he can learn something from party history. Mansholt was aiming for the economically profitable family business. That was then 70% of all farmers had a farm that was less than 5 hectares. Mechanisation changed the countryside, as did the land consolidation, which as a major opponent produced the later MP Boer Koekoek. The agricultural sector became increasingly large-scale and more intensive. Mansholt then became an architect of the European agricultural policy, which was actually a sort of planned economy, with milk lakes, butter mountains and wine ponds or seas, no matter how large they may be. Mansholt was both praised and hated. In the 1970s, however, he underwent a kind of conversion, partly inspired by Petra Kelly, the later founder of the German Greens. "Sicco, are you coming a hippie," he was told in Brussels. But with the flowerpower, the idea of nature conservation also came into being. That's how the tension field was created that we're in today. Our agricultural sector is now productive and sustainable, with a low ecological footprint. Our farmers are flexible, inventive and innovative. Unfortunately, farmers are too often portrayed as bogeymen nowadays, as an enemy of nature. But some themes are also deliberately dramatized. Take nitrogen, for example. In Germany, the heath has an identical nitrogen deposition as according to the European Commission. I do not hear many complaints about nitrogen in Europe, but it would be dramatic in the Netherlands. I see positive trends. I'm a future optimist. The amount of nitrogen emitted by agriculture has almost halved since 1990 according to the RIVM emissions registration. Nitrogen emissions have a decreasing trend, says Minister Schouten in a reply to me in the committee debate LNV of 30 September. That's right; Mrs. Schouten nods. I ask the Minister: why should some 20 to 30 billion extra be spent on the approach to nitrogen until 2030, if the Minister himself admits that the nitrogen deposition has fallen in recent years? What's with all the panic? Mr. Chairman. I'm hopeful. There are several developments in the agricultural sector that prove that the sector is sustainable. The livestock is falling year by year. Unfortunately, the Party for Animals has now disappeared, if I see it correctly. The nitrogen deposition's dropping. Greenhouse gas emissions are falling. Surface water has a reasonable quality. The deterioration is mainly from abroad. I wish the cabinet would appreciate these trends in the upcoming National Strategic Plan. Mr. Chairman. Allow me to think with you creatively and constructively in this strategy. We also come up with good proposals. The key word is time. Almost half of the farmers say they want to quit, for example because there is no successor for the farm. Give those farmers time and offer them a fair price for their country and no dumping prices. I also advocate a ban on forced expropriation, because that is, as you know, a declaration of war that causes a lot of unrest. I hope the Minister realizes that. Farmers are also entitled to legal certainty. Look also at the combinations that are possible, in which farmers in the outskirts of nature areas also deal with nature management for a reasonable fee. However, these edges must not be constantly extended. Finally, I would like to draw attention to the impact on rural areas in their own right. Farmers are the backbone of rural economic and social life. Less farmers mean less work in the agricultural sector. There is a danger of impoverishment and deterioration in rural communities. Large countries with larger rural areas already have this problem. France therefore has a policy called 'L'aménagement du territoire'. In Germany it is called "regional Daseinsvorsorge." The countryside must remain attractive, because the gap between Randstad and the region becomes unbridgeable. The public authorities should continue to guarantee certain basic public services, even if they are not directly economically viable. Is the Minister prepared to include this thought in the National Strategic Plan? JA21 would like to make some concrete proposals in this direction based on experience abroad. The countryside remains viable thanks to sufficient farmers with, as Mansholt said, an economically viable family policy. This is the Bible, ladies and gentlemen, because that is the basis of the success story. Thank you very much.
ParlaMint-NL_2021-12-01-tweedekamer-6.u65	Thank you very much for this historical overview. Mrs Koekkoek has another question for you. He read the book, too.
ParlaMint-NL_2021-12-01-tweedekamer-6.u66	But no relative, I've seen. Her name contains an extra k.
ParlaMint-NL_2021-12-01-tweedekamer-6.u67	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, It's a k lake, all right. There is more than an important distinction between Boer Cuckoo and myself. Yeah, if you hear "Cuckoo," you're gonna have to stand by the interrupting microphone. I hear from Mr Eppink that nitrogen would not be a problem at all in the rest of Europe. That surprises me very much. Flanders has a Programme Approach Nitrogen, Germany was already addressed by the Court of Justice in 2018 to the fact that there is too much nitrate in groundwater. So the countries around us in Europe do have the same problems, and they have to deal with them.
ParlaMint-NL_2021-12-01-tweedekamer-6.u68	Yes, but these countries take it less dramatically. They are going to develop a gradual policy, but they are not coming up with the major disaster scenarios that I have heard here today, especially from the left, where damnation and the end of the world are predicted. I'm not an undoing prophecy, but I've heard a lot of undoing prophecies today. In those countries, it is simply a policy issue that is resolved in a technological and political way. If you were to apply the Dutch nitrogen policy in Germany, in North Rhine-Westphalia, you would have to abolish almost the entire German industry, car and steel industry. I can tell you that even with a green government, that will never happen.
ParlaMint-NL_2021-12-01-tweedekamer-6.u69	I can imagine that very well, but it is precisely in Germany, as in the Netherlands, that a threshold is included in the calculation. That would indeed not find access here at the Council of State. The prophecies I have heard in the Chamber today are rather the limits that both science and the judiciary have set us. It may not be so much about doom thinking, but it is about sticking to the frameworks that have been created and that the Netherlands has to do something with it.
ParlaMint-NL_2021-12-01-tweedekamer-6.u70	Yes, you can say that about the Netherlands, but I have read Germany's coalition agreement. I do not see any major, alarmist paragraphs on the problem of nitrogen.
ParlaMint-NL_2021-12-01-tweedekamer-6.u71	That's not the point. I am not saying that there must be some alarmist paragraphs, but when there is a problem in which both science and the judiciary define limits, then a democratic government should comply with them. It's very simple, I think.
ParlaMint-NL_2021-12-01-tweedekamer-6.u72	It seems very simple to me. The Dutch economy is almost locked up by the nitrogen problem. That's getting worse. I do not see this phenomenon in Germany, because it is normally approached without all the great stories surrounding it and thus leading in the direction of dramas.
ParlaMint-NL_2021-12-01-tweedekamer-6.u73	Fine. Thank you. Are you going to souffle Mrs. Cookie, Mr. Boswijk?
ParlaMint-NL_2021-12-01-tweedekamer-6.u74	Mr President, there was something about the number of interruptions. I believe that a number of colleagues are indeed... we need to work together. I understand that very well!
ParlaMint-NL_2021-12-01-tweedekamer-6.u75	There's a question coming through the CDA or something?
ParlaMint-NL_2021-12-01-tweedekamer-6.u76	Something's going in.
ParlaMint-NL_2021-12-01-tweedekamer-6.u77	Something's being put in at Volt's. Well, beautiful.
ParlaMint-NL_2021-12-01-tweedekamer-6.u78	That's what you get as a constructive party. Then you can work with each other. Luckily, it's something I've thought of myself.
ParlaMint-NL_2021-12-01-tweedekamer-6.u79	Yeah, yeah, sure, sure!
ParlaMint-NL_2021-12-01-tweedekamer-6.u80	I would like to ask about the German approach, because that is what we were talking about. It was quite right to say that protests were also taking place in Belgium. We can differ about the alarm phase and the urgency that is felt. This is indeed felt in other countries. Why is it perhaps handled differently in Germany? Then I'll keep coming back to that court ruling. These are fundamental limits that we must adhere to in a democracy. It is not about the difference between the German and Dutch approaches, but about the boundaries of both science and the judiciary. I'm gonna try one more time.
ParlaMint-NL_2021-12-01-tweedekamer-6.u81	Yes, but it is a nitrogen directive, where the countries themselves can make the standards more stringent or less stringent. In other countries, this is done in a different way. In Belgium, it is. I know Flanders very well. I can tell you that the Flemish Farmers' Union will not allow what is happening now in the Netherlands to happen. Thank you.
ParlaMint-NL_2021-12-01-tweedekamer-6.u82	Very good. Thank you, Mr. Eppink. Then we will listen to Mr Bishop of the Political Reformed Party.
ParlaMint-NL_2021-12-01-tweedekamer-6.u83	I didn't know Mr. Graus had such a business impact.
ParlaMint-NL_2021-12-01-tweedekamer-6.u84	If he smells money, he's here!
ParlaMint-NL_2021-12-01-tweedekamer-6.u85	Yeah, when you've been hanging out for 15 years, you know each other. Mr. Chairman. Farmers, gardeners and fishermen are unsolicited on an administrative roller coaster. Although, if you're on a roller coaster, at least you remember which way it goes. The buy-out billions are flying over the table. Plant protection products disappear. The acreage premium is falling. On farmland, everyone seems to be able to make a claim. The SGP is convinced that food producers should assume their responsibility as stewards. Fortunately, on the various work visits we make, we see that many farmers, gardeners and fishermen operate their business in an increasingly sustainable way and that they have no problems moving along with the social desire and understanding of the need for sustainability. We need to move forward in this direction. This also requires public policy reform. I'd say know what's going on as a government. Challenge the craftsmanship of the sector, and where the market is still inadequate: provide sufficient support. Mr. Chairman. These three points I want to walk by, first: know what's going on. It is regularly observed that the distance between workplace and policy makers is growing. The same applies to agricultural policy. How, for example, is it possible that the draft action programme for the Nitrates Directive was so far removed from practice? It has indeed been adjusted a bit, but there are still a few bumps in that insufficient traces with the practice. Why wasn't one of the people from practice spoken to? In Natura 2000 policy, we need to know what is going on locally. The SGP therefore remains critical of strictly controlling absolutely critical deposition values. The planning agency already says: if we continue to do so, it will have major consequences when it misses its goal or, rather, when it does not even achieve its goal. Therefore, ensure better monitoring of nature development and, above all, look at its management side. My question to the Minister is how she handles this. Nitrogen models have recently been corrected on the basis of measurements in nature reserves. In the east, with more livestock, ammonia had to be removed and in the west, with more industry, along with it. Fine, but is it being considered whether we have a good picture of emissions and distribution? Are we going to have measurement points very consciously and in agricultural and industrial areas? Mr. Chairman. The second point is that we must challenge farming. The government is stalled by the accumulation of resource regulations. Look at the plant protection policy. Plant protection products become one by one prohibited. Telegraphers are concerned about the future: how should this continue with our crops? They spray more, because yes, seed coating should not be allowed, while competitors in other countries receive EU-approved exemptions. The growers fear resistance development because the choice is getting smaller. And then more must be sprayed for the same effect. Yeah, so it's a bigger environmental tax. They want precision farming to reduce emissions, but the admission policy frustrates that. A number of questions on this point. Is the Minister committed to reform of admission policy? Is she willing to grant more exemptions? Does it want to ensure multi-annual co-financing of practical trials? And will admission authority Ctgb have more capacity to assess alternative resources more quickly? I'm also looking at the nitrogen file. We should not only be talking about low-emission farm floors, but also about low-emission farm management. If you challenge that craftsmanship, you only book a quick and real result. Then we will have to work on target requirements, real-time measurements and an approach à la Brabant's due diligence score. The real-time measurement of ammonia makes big leaps and deserves top priority. How is the Minister going to give more experimental space and work towards a broad application? Thirdly, ensuring adequate financial support for sustainability. The billions for buying-up fly over the table, but installing the Lely Sphere, for example, provides a dairy farm with 70% emission reduction, demonstrably, while it is ten times cheaper than buying up. For example, there are dozens of other projects and systems. We'll meet them all when we're on the job. Sometimes it's small things that really have relatively big consequences, sometimes a larger investment that requires some financial support to get off the ground really well. It's good to help companies that want to stop, give them a hand. But bet first, as far as we're concerned, on perspective for keepers. I have tabled an amendment to shift at least EUR 50 million towards resource-oriented sustainability. Moreover, if the investment scheme from the European Recovery Fund is also used for source-oriented sustainability of housing systems, my question is this. I also have a question about the money for the provincial buy-back scheme. Where is the removal of the professional ban? Will the Minister also give some flexibility in implementation? Farmers are now pulling out, partly because of the strong hexagon accounting. Mr. Chairman. It's a good thing there's been a conversion fund. The signals I get from the field indicate that it is particularly welcome support for entrepreneurs who are already switching, but start-ups would not be enough. Is the Minister prepared to examine, together with provinces, interbranch organisations and banks, how the mobilisation of the fund can be strengthened? Mr. Chairman. Finally, I would like to say a word about fishing. The increasingly ponderous question is: how do we give our fishermen a future perspective? When will we be clear about the reorganisation scheme? How will fisheries be involved in identifying new areas for wind at sea, so that they do not end up in fish-rich areas? And does the Minister also intend to review the unworkable landing obligation? Mr. Chairman. To sum up, we need to make our food supply more sustainable, but not outsource it. Thank you very much.
ParlaMint-NL_2021-12-01-tweedekamer-6.u86	Thank you, Mr. Bishop. Then we are going to listen to Mrs Van der Plas of the BBB Group.
ParlaMint-NL_2021-12-01-tweedekamer-6.u87	Thank you. I hope this doesn't go away from my time, but I want to tell the people who are watching at home and sitting on the tube for the Corona debate that I am the last speaker here. But stick around, because there's a great story coming up. Mr. Chairman. It's nice to see everyone getting a little nasty and grumpy before lunch, because they had to eat. So you see how important food is to be able to perform well. Everyone ran to the restaurant to feed on all the beautiful products made by our farmers, and then everyone came back fresh and fruity in this room. So you see: without fuel, in this case food, you cannot function. Mr President, farmers, growers, growers, fishermen and citizens. Before I start, I would like to say that I share this input on behalf of Group Van Haga. Folks, it's 1944. A farmer's son who has been through this time has become 88 years old two weeks ago. During the war he lived with his parents and with six brothers and sisters on a farm in a peat polder against Amsterdam. The farm family had a dairy farm. Because the Germans had flooded the polder, his father had moved the cows to Weesp, leaving the mother alone, with seven children and one cow. The cow took care of the o so necessary milk and the essential proteins. Starved people from the city came to the country looking for food, but that was hardly there. The boy of that time became a farmer on the same farm and to this day he still helps regularly. He's 88 years old now. It is this generation that knows from its own experience how important it is to ensure food security. And that generation has done so: ensuring that there was even more hunger in the Netherlands. Mr. Chairman. Back to the present, 2021. We have a created nitrogen problem. This created problem is very conveniently abused by a few parties, and they are also in this Chamber, who simply want to get rid of this tedious livestock farming. By over-regulation and misinterpretation of EU rules, we have created this nitrogen crisis ourselves. Nature would be destroyed, but even the PBL, the Planning Office for the Environment, states that it is not at all clear whether the exceedance of critical deposition values, i.e. nitrogen precipitation on nature, results in natural damage and, above all, what nature damage exactly. The PBL has been calling for a scientific committee to establish this for years. Why isn't there one yet, I ask the Minister. And why is it sent on KDWs when these are not linked to the actual state of nature? The farmer who makes us food, the farmer who manages our landscape; that farmer is labeled daily in this country as an environmental polluter, criminal, poisoner and animal executioner. This process has been going on for years. But we have three basic necessities: oxygen, water and food. Without one of those three, you're just gonna die. Our farmers take care of that food: good, safe, affordable, sustainable and always available. The fact that they are thrown away, including in this Chamber, as destroyers of soil life, water quality, public health, meadow birds and nature is a serious scandal. The farmer must leave and expropriation seems to be the perfect instrument for this. Expropriating, even forced, and taking away permits: you're not making it up. It's just pronounced out loud here. The agricultural sector has reduced a lot of nitrogen, ammonia, particulate matter and CO in recent decades. Pig farming, which is set up by some parties even as the big bogeyman, has even reduced 81% of ammonia. There's no other sector that made so much reduction. At that time, 67% nitrogen was reduced and 40% particulate matter. CO equivalents, i.e. methane, CO and nitrous oxide, went from 33.1 megatons in 1990 to 27 megatons in 2020, a reduction of almost 20%. How? Especially through innovations and through peasant smartness. Not by putting the heels in the sand, but by moving along and taking responsibility. Mr. Chairman. My fear for the future if we continue like this: farmers who throw down the axe; tired, crippled, expropriated, bullied, emigrated from misery. Farmers who are increasingly robbing their lives. Farmers who have competed away by real turbo farming in countries outside Europe, without additional environmental rules, without field edges and without grazing bird management. But with more plant protection products, with more antibiotic use, with less animal welfare. My fear is that fewer farmers, fewer meadow birds and, where there are still meadow birds, more and more predation. It is already an important cause of the disappearance of meadow birds. More urbanization. More tile gardens. More roads. More mega-sun parks. My fear is that green will be exchanged for grey. Citizens must continue to travel in order to enjoy the beautiful farm landscape. My fear is that crops have failed due to a shortage of authorised plant protection products and no alternatives to them. Lower yields in the Netherlands and Europe. More and more empty shelves. Tower-high food prices. People with a tight scholarship who no longer have access to fresh and healthy food. Food that has to come from abroad more and more, because lost production in the Netherlands is being absorbed in other countries, which produce full-bodied food for the growing world population. Fruit and vegetables will contain more residues of plant protection products, including those that have been banned in the Netherlands for many years. But, yes, we have nothing to say about overseas. Mr. Chairman. A country that does not invest in its own food supply is a country that is heading for decay. It is a process that has been going on for years, as we have done for many years. We are now seeing the consequences of this. It's not just farmers, it's fishermen who make us food. This sector is also being driven away. I see people looking at you who say, you always with your "run away"! Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah... So many rules, so many framing, an ever higher cost, low returns and every day are labeled as the source of everything that goes wrong in the world. If you're not being literally chased away, you can feel it being chased away. How ironic it is: if other population groups feel undesired by framing and untruths, you are flying around the Chamber questions and the motions. Then we appoint national coordinators and throw millions to make society as inclusive as possible. Mr. Chairman. The fishermen are taken away from fishing grounds, for example by those horrible wind farms in the North Sea or on the IJsselmeer. We do not know at all what this has ecological consequences or caused health damage. Several researchers warn us of the potentially disastrous consequences at ecosystem level. Changed wind power and currents will eventually also affect algae growth, and that is the basis for all other life in the sea. Do our fishermen have another place in our waters? Are there enough North Sea fish left to feed us? Why don't we take the time to understand the profound consequences of these horrible megawigs? Why are we rushing on? The need for farmers to leave was confirmed last week when the Minister, without the participation of the Chamber, changed the objective of the scheme for the targeted purchase of livestock farms to reduce the nitrogen deposition in overstretched Natura 2000 sites. Any sane person would think that the purpose of such a scheme is to reduce the nitrogen deposition. The aim, however, appears to be to stop livestock farming permanently. No, chairman, those farmers weren't crazy on October 1, 2019. They didn't just drive their big tractors to the Malieveld. They were indeed threatened in their survival for improper reasons. The nitrogen of the farmers, their green nitrogen, is sold to big business and that makes it grey nitrogen. Grey nitrogen that unlike green nitrogen has no cycle. Mr. Chairman. Why don't we move on to targeted policies? And why don't we continue to target resources? Of course, BBB also wants farmers and anyone else to produce even cleaner. We see the most salutary path of innovation in the full box. I've also been in debates with the Ministry of Infrastructure and Water Management. How different will the industry be treated there than the farms in the LNV Committee! At IenW, the focus is on innovation, while it is my impression that innovation in agriculture has almost become a dirty word. If industry is to reduce emissions, nobody is talking about withholding or expropriating companies, let alone taking away permits and halving the number of companies. No, this is about techniques for filtering the air, techniques for filtering the water and so on. If a company "forget" to give up tons of ammonia emissions, well, then everything just goes on. An industrial company can just give up on its own. A farm is stuck in flat-rate standards and everything is determined by the government. The innovative power of the agricultural sector is enormous. We're known for it all over the world, and that's not random. We now have countless ways to reduce nitrogen, nitrogen strippers, nitrogen filters, dry tunnels, manure bacteria, air scrubbers with heat exchangers, cow and pig toilets, but because we stick to a rigid Rav list, everything is still, while the solution is so obvious. Go work with measurable goals! Measure ammonia emissions in the barn and beyond, and give the farmer the room to decide how to achieve these goals. No Rav list, no mandatory use of resources. The farmers are fed up with all the expensive investments that later go down in court, while the minister made them mandatory. Because of the bureaucratic and costly procedures to get on the Rav list, only large parties have the chance to innovate. How is the Minister going to ensure that small innovations also have a chance? Why is there such a big difference in the treatment of companies? Can the Minister indicate how many applications there have been for the Rav list and how many actually arrive? Does the Minister know the innovations submitted and does she also know why these innovations are rejected? Just a few more innovations to make it more sustainable. Using bees' sense of smell to detect plant diseases early. The self-driving solar-powered blueberry picker. The plant protection syringe with cameras, which only sprays where there is actually weed. Precision fertilization. Milk droids. Feeding robots. Manure robots. Producing hydrogen. Manure misplaced. I can go on like this for a while. Dutch agriculture is simply an innovative sector! This requires support in the form of grants. How does the Minister contribute to this? Furthermore, admission requirements hinder the arrival of, for example, autonomous field robots. We demand that there be continuous monitoring of an autonomous field robot. The principle of an autonomous field robot naturally conflicts with the principle of continuous supervision. Can the Minister make the admission requirements for this type of innovation more consistent with practice? Mr. Chairman. BBB would like emissions to be measured per holding, actually measured, and not only in the agricultural sector. We make a distinction between green and grey nitrogen. We do this because grey nitrogen threatens public health and the environment. It therefore calls for a different approach. Emissions are addressed through a combination of source-oriented and end-of-pipe solutions. I therefore ask the Minister not to close the door on "end of pipe" solutions. The background depositions should also be clearly visible. In other words, the nitrogen in the locks, which is produced in the autumn by the leaves falling into the locks, is then no longer attributed to the farmer. The nitrogen deposits on natural areas from other sectors and abroad are also included. Nitrogen emissions and nitrogen storage shall be offset against each other. That is the real emissions. The land-based organisations, such as Natural Monuments and State Forests, must find a much more efficient way of managing nature. They must also justify exactly what they have done with the many millions that are thrown at them every year. Accountability and achieving goals. The Ministry should also purchase social services from farmers. Not a system of subsidies, but a system in which the farmer is again in charge of his own business. The farmer makes agreements with the government, it is a question of supply and demand, and the entrepreneur can be a real entrepreneur again. We really need to pay for social services. What's the Minister's position on this? BBB also wants the arable sector to be able to do full work with resilient growing. As a result of the introduction of processing, there are more and more crops that are less susceptible to fungi, weather conditions and unwanted beasts. It now requires an investment that we will reap the benefits of later. Resistance to cultivation means fewer and fewer plant protection products are needed, but the Minister does not provide the co-financing requested. When will the Minister get over the bridge? Mr. Chairman. My final words in this term are for our food makers and flower makers: farmers, growers, growers and fishermen. People, you often think people in the Netherlands are against you. You think people think you're polluters and animal executioners, that you're trigger terrorists who ram down doors of government buildings and destroy the Malie Field when you stand up for your right to exist. You think people think you're against everything, you're just interested in profit and you just want to grow. It is also not strange that you think that, when you hear here in the Chamber in what way you are spoken of. Reality is different. Most of the Netherlands cherishes you. Most of it appreciates the fact that you're making our food and our flowers. We also increasingly buy directly from the farmer or at the fish stand. Most of the Netherlands is well aware that farming is not a fairy tale, and that it is hard to work day and night. These people know very well that you are the 0.3% of the population that makes the food for us, the citizens, the other 99.7%. Those people are very happy that on weekends and holidays they can cycle and walk among the beautiful meadows in a clean air. How do I know that? Every day I speak to these people and I am emailed by citizens, including people from the city. These people want to let you know through me that they also don't understand why a small part of the population, represented here in the House of Representatives, speaks so much evil about you, while you provide one of our three primary necessities: food. Know that. Know that the vast majority of citizens support you. Thank you.
ParlaMint-NL_2021-12-01-tweedekamer-6.u88	I have not heard anyone speak ill of farmers today, but that is not what my question is about. I've been counting a little bit. I've been rotting. How often is the citizen called? I heard that word once. I wonder: what good is your story to the citizen? What good is it for the citizen if you selectively quote from investigations? You did that this morning in an interruption and you also quoted selectively from the PBL investigation. What good is it if you deny the problem of nitrogen, which will lead to further deterioration of nature? Who do you stand for?
