ParlaMint-NL_2021-02-09-eerstekamer-11.u1	We need the response of the initiators and the government in the first term.
ParlaMint-NL_2021-02-09-eerstekamer-11.u78	No, exactly. But if I were to say that it has no effect or meaning for citizens among themselves, it would not do justice to the fact that I think that the effect and the mere fact that it is there in practice will certainly be an incentive for people to invoke it earlier and perhaps to go to the College of Human Rights or to report it earlier; I refer to the debate I just had with Mr Dittrich. I think it will have that practical effect, but in the legal sense Mr Koole has put it very well. Mrs Teunissen asked about the practical consequences. In the debate on the interruption with Mr Koole, the answer has actually already been given: I think it is very important that this recognition has consequences, that it will make interested groups and people more aware of the fact that they enjoy protection. That sometimes does not go through the Constitution, but through these other laws does not change that. But I think it's reinforced by the inclusion in Article 1. Then I come to the question put by several speakers on the amendment of the General Law on Equal Treatment, which will also have to be amended. Mrs Karimi rightly said that. That change is also in preparation. I thought I'd briefed the Chamber on that. I do that with JenV's colleague. A combined bill will be presented, which will change both the terminology in the AWGB and the Code of Criminal Law. We have made a draft legislative proposal for this, which has been in consultation this autumn. At the moment, the responses that have been received are being processed. Normally, I would have said that it would come as soon as possible, at least that we should send it to the Council of State. That will then require a further weighing-up in the Council of Ministers, because we are decommissioned. This means that every step of the legislation must be decided explicitly in the Council of Ministers. I must therefore make that reservation, but it is being worked on. Mr. Chairman. Then I come to the second part, which I call disrespectful. There have been justified questions about actual discrimination in society. For example, Mr Verkerk asked about jobs for the disabled. He quoted reports about this, and he mentioned the 125,000 extra jobs for people with disabilities and their realisation. In a letter dated 16 November 2020, the then State Secretary of SZW addressed those figures to which Mr Verkerk referred. Perhaps it is worth pointing out that out of those 125,000 there are about 100,000 companies that need to be realized and 25,000 government-owned. I think it's really disappointing, let me just say that here, too, that the government didn't achieve those numbers for 2019 either, because that's what the reporting was about. It is clear that the government's employers therefore need to step up their efforts in order to do this better. I also informed the House of Representatives in December about the additional measures we can take to improve this, because there is a quantitative deficit among the public employers. We're gonna have to walk it in. It's kind of hard to do this, even now in this corona crisis, but I think we should start to realize our share of those 25,000 jobs in the government. Mr Rombouts of the CDA asked whether it would be a good idea to impose stricter sanctions on the victims of violence. He suggested that a national coordinator should be appointed and that they should also be instructed to better identify and solve the problem. Partly as a result of a debate in the House of Representatives, which I believe was last July, we gave a strong impetus to the broad fight against discrimination. We also agreed with the House of Representatives to appoint a national coordinator for discrimination and racism. The cabinet has also promised to set up a state committee on discrimination and racism. This Chamber has also taken a number of steps in this area. Municipal anti-discrimination agencies are being strengthened. The monitoring of municipalities that do not make serious work of this is strengthened. These are additional pathways which are on top of existing discrimination policies and which have been stimulated by the Lower House and by the investigation that this Chamber has instituted. If Mr Rombouts says that we would still see if we could do more specifically for this, I understand that. But I think that we have already added a lot of extras and that this fits in very well. The cabinet response on the report on the childcare allowance also included statements referring to that national coordinator and that state committee. Then there are the measures to increase awareness and acceptance. Mr Van der Burg and Mrs Karimi asked for this. In other words, what else does the cabinet do? I have already made the announcement of the National Coordinator and the State Commission, but we have, of course, already focused on this issue in specific areas. I refer to discrimination on the housing market, discrimination on the part of the police and the willingness to report and discrimination on the labour market. The Cabinet and several portfolio holders within the Cabinet are taking measures to combat these forms of discrimination. I am talking about my own portfolio of BZK, the Secretary of State of SZW is taking action against discrimination in the labour market, which is now the Minister of SZW, because there is no longer a State Secretary, and my colleagues from OCW and VWS are taking measures to promote the emancipation of lhbti and people with disabilities. They have a particular programme called "Unlimited participation!'. This includes many measures to combat discrimination, starting with, for example, education in schools on sexual diversity and on the standard of accessibility. A programme has been launched to increase the safety of Ihbti's, OCW and JenV's Safety LGBTI Action Plan together, including the police. All that has to go on. It's always gonna take attention. In conjunction with the additions made by the National Coordinator, the State Commission and the strengthening of municipal anti-discrimination agencies, it is now getting the attention it needs. I hope that the outcome of the inquiry initiated by this Chamber will also contribute to this. To be honest, that's what I'm expecting. There's still a world to win, we just have to be honest about that. It has to be better and it can be better. This cabinet will simply continue to do so, whether it is outgoing or not, and I hope that the next cabinet will continue to do so in the same way. Then there was a question about the ratification of the optional protocol to the UN Convention on the Rights of Persons with Disabilities. Mrs Karimi and Mr Dittrich asked. I started by saying that we wholeheartedly support this initiative legislative proposal to amend the constitution. The fact that the optional protocol has not yet been ratified does not alter that at all. It has its own dynamics. I think both Chambers have been informed about this. My colleague for Medical Care and colleague for Foreign Affairs are working on this. They informed me that they would send a letter to both chambers before the elections on 17 March on the state of ratification of that optional protocol. Mr. Chairman. That is what I hope I have answered all the questions.
ParlaMint-NL_2021-02-09-eerstekamer-11.u79	I thank the Minister for the answers, but I remain disappointed by the latter. Of course, the optional protocol is not yesterday's. It's been going on for years. As I argued in my first term, we hear from the cabinet every time: it's complex, it's complicated, we'll get back to that. But nothing's gonna happen. In order to give credible form and substance to the constitutional change that we support today, it is important that the Protocol is signed and offered for ratification. It's not even signed. The urgent question is: Minister, can you let the Chamber know the timetable for signing the protocol?
ParlaMint-NL_2021-02-09-eerstekamer-11.u80	I can explain in detail once again what the issue is about the optional protocols in the broad and the evaluation that is taking place at UN level and which has also been delayed, but I do not think that Mrs Karimi will be happy about this. If I listen to her carefully, she's not waiting for that, but she just wants to know what's going on with the signature. I have already promised this Chamber that my colleagues will send a letter on this before the Lower House elections. I will pass on Mrs Karimi's appeal to my colleagues.
ParlaMint-NL_2021-02-09-eerstekamer-11.u81	Can the Minister promise that at least the previous commitment made to this Chamber four years ago will be respected, namely that the cabinet will come up with a timetable for ratification? So no explanation that it's complex and complicated. No, that's how we're gonna do it.
ParlaMint-NL_2021-02-09-eerstekamer-11.u82	If that is the commitment, then I think it is right that the cabinet should return to that commitment, indicating the timetable. I understand that there has been a delay in a somewhat broader issue surrounding the ratification of the optional protocols at the UN. That also means that it doesn't happen at a pace. I will take this back and let my colleagues know that clarity is expected on that point.
ParlaMint-NL_2021-02-09-eerstekamer-11.u83	Thank you, Minister. Before we begin the second term of office, I shall, on request, suspend the sitting for five minutes.
ParlaMint-NL_2021-02-09-eerstekamer-11.u84	We are now at the second term of office. I give the floor to Mr Dittrich. Go ahead.
ParlaMint-NL_2021-02-09-eerstekamer-11.u85	Thank you, Mr. Chairman. Thank you to the colleagues for letting me lead the way. I'm afraid I'm gonna have to leave soon because of obligations elsewhere. First of all, many thanks to the initiators, and of course also the Minister for the Interior, for their comprehensive and thorough response. All the questions I asked on behalf of the D66 Group in the first term have been adequately answered. So my second term can be very short. I can inform you that the D66 Group will vote in full and wholeheartedly in favour of the legislative proposal in the vote we have after this debate and will look forward to reopening the debate with the initiators and the Minister at second reading. Thank you.
ParlaMint-NL_2021-02-09-eerstekamer-11.u86	Thank you, Mr. Dittrich. I shall then give the floor to Mrs Karimi from the Group of the Greens/European Free Alliance.
ParlaMint-NL_2021-02-09-eerstekamer-11.u87	Thank you, Mr President. I congratulate Senator Baljeu on his maiden speech, of course. All who are in the Netherlands are treated equally. Discrimination on grounds of religion, belief in life, political orientation, race, gender or on any ground is not allowed. Not only is every Dutchman, in the sense of holders of a Dutch passport, as the PVV wants, equal before the law. No, all who are in the Netherlands, regardless of their nationality, are treated equally. Listening to today's debate, I wondered why a political party would want to abolish this article. Why does anyone want to delete the article that guarantees equal treatment and a ban on discrimination as a standard in our society? To be able to discriminate properly? To humiliate, exclude or trample someone who has another faith, another political mind, another race, or has sexual orientation? To sow hatred under the guise of freedom of speech? Mr. Chairman. GroenLinks, the political movement in which I have proudly found a political haunt in this beautiful country, will always, everywhere and with all possible democratic and constitutional means, oppose it.
ParlaMint-NL_2021-02-09-eerstekamer-11.u88	Mrs Karimi is full of hate-sowing and I know what she is getting at, just because we made the point that there would be a better wording for Article 1 of the Constitution. If you are already so touchy about an adaptation of an important constitutional principle that has applied for two centuries until 1989, GroenLinks is a little bit off track. I would like to put a question to Mrs Karimi van GroenLinks. GroenLinks has a candidate on the Dutch parliament list who is involved in the Muslim Brotherhood. The Muslim Brotherhood honors the Islamic doctrine of law, the Sharia. The Muslim Brotherhood is full of discrimination against homosexuals and their terrible treatment. How can Mrs Karimi look at herself in the mirror when she makes such accusations in our direction and in the meantime just sit on her lap at the Muslim Brotherhood?
ParlaMint-NL_2021-02-09-eerstekamer-11.u89	That is a repetition of moves and outside the order of this debate, so I am not going to go into that again.
ParlaMint-NL_2021-02-09-eerstekamer-11.u90	If Mrs Karimi thinks it is out of order, then her own remark would also be entirely out of order in this debate. If you are talking about discrimination and everything related to it, can you not seek cooperation with people involved in the Muslim Brotherhood with dry eyes? That's completely inexplicable, isn't it? Or don't you take yourself seriously?
ParlaMint-NL_2021-02-09-eerstekamer-11.u91	Mr Van Hattem continues to make accusations and make accusations that have not been proven in any way. I do not think that this debate is suitable for that. What I heard Mr Van Hattem say over and over again this morning was: first of all, abolish Article 1 of the Constitution and replace it with the following: 'Every Dutch person is treated equally'. There is therefore discrimination at the outset. It's not about all residents, including foreigners. No, it's all Dutch. That's a restriction right from the start. That is discrimination at the outset. That is what I am referring to.
ParlaMint-NL_2021-02-09-eerstekamer-11.u92	Mr. Van Hattem, third.
ParlaMint-NL_2021-02-09-eerstekamer-11.u93	Yeah, finally. I can only conclude that Mrs Karimi van GroenLinks is talking to me and that Mrs Karimi is therefore simply lying.
ParlaMint-NL_2021-02-09-eerstekamer-11.u94	I think we've heard that all day today. It has also ended up in the Acts. I am happy when Mr Van Hattem says: no, that was not my intention. I would say that is the profit of this debate.
ParlaMint-NL_2021-02-09-eerstekamer-11.u95	Please continue your speech.
ParlaMint-NL_2021-02-09-eerstekamer-11.u96	Mr. Chairman. I thank the initiators and the Minister for their answers. We have already found this bill a good initiative and, in response to the answers, we have become even more convinced of the usefulness and need of increasing awareness, standards and better legal protection of people who are already discriminated against on the basis of their sexual orientation and disability. We shall therefore vote in favour. I referred to it in my first term: it is about how the executive will now ratify that standard. Mr. Chairman. As regards the change of the AWGB, the Minister said: we need to see if we can continue to do so. This Chamber, for example, has not declared this bill controversial. If I listen carefully to the debate, it will reach a large majority. So I would say: go ahead with your work, missionary or not. You have our support for this. Second. Relating policies remain crucial. It is a very important step to continuously focus on awareness and empowerment, but also on combating discrimination. Finally. I remain disappointed with the answer on the optional protocol, but I am giving the Minister another chance. In anticipation of the letter, I hope that we can get an answer in which a timetable is given and also a clear commitment to sign the protocol.
ParlaMint-NL_2021-02-09-eerstekamer-11.u97	Thank you, Mrs Karimi. I call Mr Koole, on behalf of the Group of the Party of European Socialists.
ParlaMint-NL_2021-02-09-eerstekamer-11.u98	Thank you, Mr. Chairman. First of all, I congratulate Mr Baljeu on his maiden speech. I thank the authors and the Minister for the answers. If I have not said it in the first term, the Labour Party will vote wholeheartedly in favour of this law. However, I have a few comments to make. It concerns Article 1 of the Constitution. Of course, all articles are the same, but this is the first article. I mentioned it in my speech: when you ask people what is in the Constitution, they come up with no discrimination and equality for everyone. Apparently, the order of the articles corresponds a bit to what people spontaneously come up with when you ask them what the Dutch Constitution stands for. Freedom is right behind that, I must say. That is also very important for Dutch people. It's alive. The Constitution is alive; not the literal text, but the story of the Constitution. Those first sentences are therefore also very important, because they tell the story: all who are in the Netherlands are treated equally. The addition of two additional non-discrimination grounds has an important symbolic value for our party, which is often said here. This is not 'only symbolic', but an important symbolic value, in addition to the substantive value of the addition, of course. It's the story of the Constitution you want to tell; I told you. It is the symbolic value of the story: who do we want to be? What do we want to tell the world about who we are? And, above all, the signal to those involved, the disabled and those with a certain sexual orientation, of recognition and recognition. As a result, it also contributes to raising awareness among the population. I have one more question for both the Minister and the proposers on the grounds not explicitly stated. Does it matter now? At some point it was said: ultimately it depends on the circumstances. I didn't think that was the most powerful answer. Can anyone, the minister or one of the petitioners, say that it does not matter that those grounds are not included? So it's important that those two grounds get into it now, but this doesn't mean that discrimination on other grounds, which aren't explicitly in it, would be tolerated a little easier. I think there should be a little more clarity on this point. In this case, the story we are telling through the Constitution is aimed at new groups, specifically the disabled and the people with a certain sexual orientation, who belong to it like all other people. I think it's very good that this is included. But it will be hard work to change it in practice. The Minister has made a number of moves on how it is already being worked on and she has also said that much still needs to be done. That is also the view of the PvdA Group. It is very good that it is now in Article 1, but then the real work has to be continued in practice, because disabled people and people with any sexual orientation are just part of the Netherlands.
ParlaMint-NL_2021-02-09-eerstekamer-11.u99	Thank you, Mr Koole. Mrs Baay-Timmerman has the floor on behalf of the 50PLUS Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u100	Thank you, Mr. Chairman. Thanks also to the initiators and the minister. They have provided a more detailed justification for the need and the sufficiently crystallised discussion, by adding the increase in awareness, setting a standard and a possible input for lower legislation, a kind of legal beacon. The vague concepts of "necessity" and "crystallised discussion" have now been clarified. The criteria for the addition of the "disability" and "sexual orientation" categories agree with 50PLUS as well as the proposers. Our only concern was and is that groups not explicitly mentioned in Article 1 of the Constitution could experience a certain exclusion. They could think: why these categories and not my category? That was the starting point for the contribution of 50PLUS. I have already stressed the fact that 50PLUS warmly embraces non-discrimination grounds and disability and sexual orientation. My group is pleased that the initiators, in this case Mrs Bergkamp, also claim that no legal distinction is made between the named and the unnamed grounds in Article 1. This has also been explicitly confirmed by the Minister. This is always important for the Acts, so it is clear to the unnamed categories that discrimination against them is weighted in the same way as discrimination against the specific categories listed. I would like to refer to Mr Koole's remarks. Mr. Chairman. Just a brief word on the age ban on discrimination. Personally, I found the opinion of the Council of State to be rather lean in this area. However, as has already been said, this amendment is not currently in this Chamber. Of course, these are not rights linked to a certain age, such as voting rights or the right to study funding. The point is that, in equal cases, individuals are treated equally and not unequally purely on the basis of their age. The most obvious thing is that in the labour market, for example. The age discrimination that takes place there is just as reprehensible as discrimination against persons with disabilities or because of their sexual orientation. It's been noted. Mr. Chairman. 50PLUS will also vote in favour of the bill because of the careful and comprehensive explanations and answers given by the authors to the questions asked, as will the Dutch Parliamentary Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u101	Thank you, Mrs Baay. I call Mr Van der Burg, on behalf of the VVD Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u102	Thank you to the Minister and the authors for their contributions to the debate and to my colleagues. The best statement today came from my CDA colleague Rombouts: show me your constitution and I know what kind of country you live in. It is therefore a good thing that we are going to adopt this constitutional amendment.
ParlaMint-NL_2021-02-09-eerstekamer-11.u103	Thank you, Mr. Van der Burg. I call Mr Verkerk on behalf of the Christian Union Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u104	Mr President, thank you very much. First of all, I would like to thank the initiators and the Minister for the answers. When I look back at the debate, I find that we are really talking about something. It's about very fundamental things: why is this land or this house built as it is built? I have one very brief comment. I understand from the book on the First Chamber during the war that the President also has the right to delete words from a debate. I would like to propose that the last words that Mr Van Hattem added to Mr Karimi be deleted. Mr. Chairman. We have talked about the legal value and also about the symbolic value. One of my philosophical teachers was the legal philosopher Dooyeweerd from Amsterdam. In such a case, when you talked about such a law, he always stressed that it was the first one to have a legal value. He emphasized that. He said, "That's the character of the law." At the same time he said: a law also has a moral value, a symbolic value and a social value. In that respect, I am pleased that words such as'symbolic value' and those other types of values have emerged here. In particular, I would like to ask the Minister another question. I myself stressed in my first term that these values have a certain normality for us. If they are in the Constitution, then it has significance for politics and democracy. Then I'd just say that's the moral value. Maybe the Minister can respond from her position. Mr. Chairman. When I first read the arguments for the various grounds in the Constitution, I thought for a moment: there might be something in it to avoid specifying those grounds and to keep a very simple constitution.
ParlaMint-NL_2021-02-09-eerstekamer-11.u105	I had Mr Verkerk finish his lecture in moral philosophy. I'd like to remind him of something. We have established certain rules here. I assume that Mr Verkerk also believes that these rules should be respected.
ParlaMint-NL_2021-02-09-eerstekamer-11.u106	I'd like you to keep going and tell me what I wouldn't have respected. Then I can also answer your question.
ParlaMint-NL_2021-02-09-eerstekamer-11.u107	I think it is true that, even from 2001, for a little over twenty years, it is no longer possible to have documents deleted from the Acts, the body list, as it was mentioned. I think it was abolished 20 years ago. So what you are proposing cannot be done anyway, but apart from that we must ask ourselves the question: is it desirable for words to be deleted from the Acts here? We have our right to freedom of expression here, which is also a constitutional right. Then how do you look at that?
ParlaMint-NL_2021-02-09-eerstekamer-11.u108	If the President does not have this right, I assume he will not accept my request. The second point is that I have no comment on the content of your statement, not for the time being. But the language you used, as well as the moral value behind it, by the way, I do not find the First Chambers.
ParlaMint-NL_2021-02-09-eerstekamer-11.u109	Mr. Van Hattem, finally.
ParlaMint-NL_2021-02-09-eerstekamer-11.u110	When someone puts words in my mouth, I think it should just be established that someone is lying like hell. That is a clear statement. I'm not just gonna sit here and put words in my mouth or twist things. That is what I stand for, and I want to have clearly contradicted it in that way, especially if it has happened repeatedly. Maybe you could think about that for a while.
ParlaMint-NL_2021-02-09-eerstekamer-11.u111	Thank you, Mr. Van Hattem. Mr. Verkerk.
ParlaMint-NL_2021-02-09-eerstekamer-11.u112	Then I'm just gonna keep going. No, I was done with my class, by the way. I shall now turn to the point of those additions, or the specification of the grounds. At first I thought: how wonderful is it when it just says that very simple formulation, because then it has the power of simplicity. To say something about philosophy: that has a very high value within philosophy. But I've been converted, if I may say so. This report by the Commission has played a major role in this respect. I have read that report, being a non-lawyer, two to three times, and I have also really tried to understand: what exactly is happening here? I've been trying to experience that, too. From this point of view, I find it difficult for the SGP and the PVV to argue for a very short wording, precisely because of the Commission's arguments for legal effects. Then it is about the first legal effect and the second, but certainly also the third. It is precisely because we live in a country with minorities that I think it is important for all parties and all the grassroots that we radiate, and that is also the moral point that people with disabilities and other sexual orientations are valuable and that their rights should and should be protected.
ParlaMint-NL_2021-02-09-eerstekamer-11.u113	How far along are you, Mr. Verkerk?
ParlaMint-NL_2021-02-09-eerstekamer-11.u114	I'll be done in a minute.
ParlaMint-NL_2021-02-09-eerstekamer-11.u115	Mr Verkerk is now quoting minorities and people with disabilities whose rights must be protected. I am curious to see how Mr Verkerk is looking at the registered example that I outlined in the first term. This was about someone with a disability who has to be on a waiting list for years for an adapted home, which in the meantime cannot take a shower and therefore has to lead an inhuman life and hear from the housing foundation and the authorities: put him outside under the garden hose. That is unacceptable. In the meantime, status holders get a home gift here with priority, advanced by the government if necessary. Is this a form of discrimination, and you would also say that it is unacceptable for people with disabilities to be discriminated against in relation to status holders in the allocation of housing?
ParlaMint-NL_2021-02-09-eerstekamer-11.u116	First of all, let me deal with the first point, the case you mention. I would like to answer that if I know the case very well. Furthermore, it is important that the Commission's report on legal effects should read that which is contained in the Constitution has a horizontal effect. So it also invites lower legislators to come to good legislation. As far as I am concerned, I am not going to go into the other point you mentioned, because that is not what the debate is about today.
ParlaMint-NL_2021-02-09-eerstekamer-11.u117	I have to say, then, that Mr Verkerk of the Christian Union is only trying to maintain moral philosophy here. When it comes to practical matters, the practical operation for our Dutch citizens, how we should deal with the consequences of such laws and the interpretation of the Constitution, he says: yes, it is not about that; that ordinary citizen does not matter. If it is the moral philosophy of the Christian Union that the ordinary citizen does not count, then I think we have a very difficult discussion.
ParlaMint-NL_2021-02-09-eerstekamer-11.u118	Let me then give one answer on the basis of the Constitution. Article 1 deals with all people who are in the Netherlands. They have a right to be treated equally. In doing so, I gave a full answer to what you said.
ParlaMint-NL_2021-02-09-eerstekamer-11.u119	I would just like to say before the Acts and the clarity that what the SGP has argued in the House of Representatives, namely a shorter Article 1, is something different from what the PVV has proposed, namely to get it out in a new wording. Mr Bishop said: "All who are in the Netherlands are treated equally. Discrimination is not allowed." That was the shortest wording that indicates everything that is now referred to by the broader article. For the sake of clarity, it is not a question of any attempt by the SGP to reverse this discussion.
ParlaMint-NL_2021-02-09-eerstekamer-11.u120	Thank you very much for this addition. When I mentioned them both, I pointed to the point of shortening. I fully agree that your background and the way you defend it is quite different from that of the PVV. I'm gonna drop this for a second. I come to my final point. At the end of my first term, I went into the connection. When I see how the contradictions in society are increasing, I think that this connection is very important in our society, especially in politics. Eventually, you may also read Article 1 as a call to connection. Something only happens when people meet. Nothing happens when you talk about other people. I have also mentioned the word of Levinas, a philosopher. Mr. Van Hattum, you may not have anything to do with it, but that's not my point at all. Levinas says: When you look people in the face, you see their fears, their emotions, their pain and their grief. That's what you see when you look in the face of people who have disabilities or other sexual orientation. They have a history behind them of pain, exclusion and grief. In that respect, I also see Article 1 as an assignment for myself to have relationships with people who are not the same as me; if I may put it this way. Thank you very much.
ParlaMint-NL_2021-02-09-eerstekamer-11.u121	Thank you, Mr. Verkerk. I call Mr Van Hattem of the PVV Group.
ParlaMint-NL_2021-02-09-eerstekamer-11.u122	Thank you, Mr. Chairman. First of all, congratulations to Mr Baljeu for his maiden speech. Congratulations to the Labour Party for their 75th anniversary. In the time of the good old Drees that was a happy fact. Congratulations to the VVD, which emerged a little less than two years later. And, of course, congratulations to the President. Perhaps Mr De Vries too. I think we've had everyone's congratulations again today. Let me now turn to the issue of the debate on the Constitution. We've just heard extensive reactions and had some serious interruptions. There have been a number of points that I would like to reflect on. It is about adapting Article 1 of the Constitution. I would like to make it quite clear that the current wording of the principle of equality does not need to be carved into stone; it can be adapted. That is what is happening today. So all these accusations to the PVV Group, namely that we are doing something that is not constitutional, are totally unjustified. The PVV states that the law must be equal for all: the principle of equality. Then all the good guys came out here screaming that that would be discrimination. Well, almost 20 years after the murder of Pim Fortuyn, the left is still unabated. They also keep looking away from the danger of Islam. On the contrary, the principle of equality, an important Western value, is expressly absent from the Islamic doctrine of justice. A Muslim who loses Islam is not treated as an equal but as a pariah who has to fear for his life. And especially those Muslims deserve protection. Every Muslim must be able to leave Islam and, for example, openly confess a homosexual or other sexual orientation.
ParlaMint-NL_2021-02-09-eerstekamer-11.u123	Mr Van Hattem says that everyone must be treated equally. Does he also say that everyone in the Netherlands, as the first sentence of Article 1 now states, should be treated equally?
ParlaMint-NL_2021-02-09-eerstekamer-11.u124	The equality of all before the law is without respect for the person. So the answer is yes.
ParlaMint-NL_2021-02-09-eerstekamer-11.u125	This is not limited to Dutch people in the Netherlands, but that is true for everyone in the Netherlands.
ParlaMint-NL_2021-02-09-eerstekamer-11.u126	This is indeed the case under the current wording, but I would like to say the following. We have also said in the House of Representatives that every Dutchman is equal before the law. You can also include foreign law as in the older versions of this article. But that is a discussion that must first and foremost be held on the other side before we reach such a point. At the moment, everyone is basically equal before the law.
ParlaMint-NL_2021-02-09-eerstekamer-11.u127	Mr. Koole, your third interruption.
ParlaMint-NL_2021-02-09-eerstekamer-11.u128	Mr Van Hattem says that non-Dutch people in the Netherlands may be treated differently than the Dutch in the Netherlands. If he confirms that, it would be contrary to any rule of law.
ParlaMint-NL_2021-02-09-eerstekamer-11.u129	No, you're putting words in my mouth that don't add up. I did not say that people who are not Dutch should be treated differently. All I said was that every Dutchman is the same before the law. If there is a different nationality or certain aspects of foreign law, this can be regulated in a different way. But before the law, every Dutchman is equal.
ParlaMint-NL_2021-02-09-eerstekamer-11.u130	Did you just say "good-bye"?
ParlaMint-NL_2021-02-09-eerstekamer-11.u131	If that's what you're talking about, yes.
ParlaMint-NL_2021-02-09-eerstekamer-11.u132	You also said that you should not put words in my mouth. Did you just say "good-bye"? And what's that?
ParlaMint-NL_2021-02-09-eerstekamer-11.u133	Those are the left-wing parties who have been here all afternoon to put words in my mouth.
ParlaMint-NL_2021-02-09-eerstekamer-11.u134	I often think to my colleague Van Hattem: good, it's out again, pants up, washing hands and then we can talk nicely again. That enormous urge of colleague Van Hattem to put away those who disagree with him... I really wonder what ever went wrong in Alexander van Hattem's life, which is how he has to react. Here's what it's about. And now let him be a big boy, really a big boy. The PVV wants to get rid of Article 1. I'm not just saying that here, but that's also on the PVV website. That's where you can read it. Article 1 must be removed, because that is a commandment and a ban. We don't need that. There must be something about the Jewish-Christian roots of our society. Mr Schalk once pointed out to him what that would not be. But that's what the PVV program says. Don't walk away from that. Be a man and say: yes, that is the PVV, we want to get rid of Article 1 and we also want to get rid of the similar provision in the ECHR. If you say that, you're a guy. Don't try to turn away and don't come up with "bug meutes" and "the left this and the left that." Take your own responsibility and say also outside the Chamber here: the PVV is really convinced that we should get rid of Article 1 of that commandment and ban, and of similar provisions. Then you're a guy. Why don't you just go ahead and tell me the truth and tell me why you want me to? You want that, because the PVV wants to put away and discriminate against a group of our people a priori. That is the conviction of the PVV. You can find that. That's the nice thing about democracy. But then you should just say that and not always come to the Muslims by a turn and what is going on. Just being a guy and telling me what you really want!
ParlaMint-NL_2021-02-09-eerstekamer-11.u135	Can I ask you a question?
ParlaMint-NL_2021-02-09-eerstekamer-11.u136	I shall first give the floor to Mr Van Hattem.
ParlaMint-NL_2021-02-09-eerstekamer-11.u137	First of all, let me say something in the direction of Mr Kox. The word "mob" is still a pretty sympathetic term. It's a large group of people who come together in a certain way. We've had a whole group here on the interrupting microphone. You were one of the honorable members who came to express their displeasure and came up again and again with the same whim. You're doing that again now. You put words in my mouth again. Yes, Article 1 needs to be amended. We have said this very clearly. I've said that a million times this afternoon. And yes, we can get rid of the ECHR when it comes to it. But it's not like I want to discriminate. That is what Mr Kox's reasoning is all about. He says you want to discriminate. That's the steady straw that turns Mr. Kox off the SP. Speaking of discrimination, the SP was the party that already arrived in the early 1990s with stories about profiteers.
ParlaMint-NL_2021-02-09-eerstekamer-11.u138	I'm gonna step in now anyway. I note, first of all, that you differ from the subject matter. You are therefore in breach of Rule 94 (1) of the Rules of Procedure. Secondly, I note that you are doing insulting words to your colleagues here, and you are therefore in breach of Rule 94 (2). I would ask you not to do so. You are an excellent debater. You are perfectly capable of making your point without insulting your colleagues. You do. You're also out of the subject. I would ask you to return to the bill and not to offend your colleagues. Go ahead. I hear a number of voices from the Chamber, but first I will let Mr Van Hattem speak. After that, others will be given the floor.
ParlaMint-NL_2021-02-09-eerstekamer-11.u139	Mr President, I would have liked if you had also given Mrs Faber the floor. Anyway, I have the floor now. I would like to point out that Mr Kox has just been allowed to keep a whole tirade in my direction. Just now, Mr Raven has had a whole tirade and several others have. When I respond to that, I am then blamed for using indecent terms. I'd like to hear what term is inappropriate here and what would be offensive. If the word "mob" is offensive here, then I think we're having another discussion here. I have not been able to see that there is an explicit insult here and certainly not the intention of insulting one of my colleagues. On the other hand, I have been accused of discrimination and of other things which are actually very serious. So if I'm not allowed to respond to that, then I think we have a very bad debate. And if it were already out of order, then you should have already explained what Mr Kox said out of order.
ParlaMint-NL_2021-02-09-eerstekamer-11.u140	I've had you both pronounced, but if you're going to accuse your colleagues of lying, I don't think that's courteous and inappropriate in this room. So I kindly ask you not to. That's all I've done. And I'll come back to the previous point. The deletion clause was removed from the Rules of Procedure in 1983, so nothing has been deleted from what has been said here.
ParlaMint-NL_2021-02-09-eerstekamer-11.u141	Mr President, thank you for doing what you are doing. You're just as strict and tell me how things are going here, because we've been flying out of the bend for the last few minutes. You rightly pointed out two things. I would like to add a third thing; I walked to the microphone for that. The third thing is that we need to speak through the President. They have to be across the street. Speaking through the chairman actually means, if you consider it very formal, that you always speak in the third person: Mr. Chairman...
ParlaMint-NL_2021-02-09-eerstekamer-11.u142	That's right.
ParlaMint-NL_2021-02-09-eerstekamer-11.u143	It just went... Mr. Chairman, I'm about to fall into the trap myself. Mr. Chairman. So we should actually say, "Dear President. Mr Van Hattem..." We shouldn't be talking about "you" or "be a man." Neither anyone from the PVV nor anyone from the SP should.
ParlaMint-NL_2021-02-09-eerstekamer-11.u144	That's right. Mrs. Faber.
