ParlaMint-NL_2021-11-18-tweedekamer-4.u1	We shall then proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2021-11-18-tweedekamer-4.u148	Your life is hard.
ParlaMint-NL_2021-11-18-tweedekamer-4.u149	I have asked the Minister to implement the Karabulut motion, the February SP motion, now that we are qualified for the World Cup. There are serious abuses in Qatar around migrant workers, more than 6,000 dead. The World Cup tournament will take place there. That is possible, but do you agree with me that we should not send an official delegation there, not the king, the prime minister or anyone from that echelon, to prevent painful situations from, for example, the king standing there with a drink with an authority from that region? We shouldn't do that, not as long as the abuses in Qatar haven't been solved. Do you share that opinion?
ParlaMint-NL_2021-11-18-tweedekamer-4.u150	We are in a hurry, so it must be short, but it does not really lend itself to that, because it is a bit simple to say yes or no. There are a few things that are at stake here, and it is perhaps also exemplary for how we should look at these kinds of issues. Firstly, I note that there has been quite rightly a lot of talk with Qatar in recent years and the accusing finger has been pointed at Qatar. Dealing with people from the Philippines, India and Pakistan was below all standards and led to victims. Unisono created the sound: it can't be. As a result, Qatar is not paradise on earth now, but they have taken measures. They have taken measures. Too little, too late and some will say: it's marketing, they don't mean it. But they feel defensive. So it helped. That is also because there have always been conversations with them and they have been printed on them. I therefore find it rather short-sighted to say, as a gesture of protest, that we are not going anywhere. In addition, I would like to know whether we are going to be alone in this or not. And finally, I might think that's the most important thing, but it's up to everyone. If Mr. Van Dijk walks to his neighbour and says: "I actually think you're no good, but can you water my plants next week, because I'm on vacation for a week?', Then that combination is a pretty tricky one. We need Qatar every day when it comes to getting people out of Afghanistan. We have an interest in an orderly relationship with Qatar. So I am extremely reluctant to take this kind of understandable, symbolic action if we do not take into account a few other components that play a role in it. It's been over a year. Anything can happen. That is why I would plead for that motion to be held. Then Mr Van Dijk knows my hesitations and my considerations.
ParlaMint-NL_2021-11-18-tweedekamer-4.u151	But I cannot hold the motion at all, because it was adopted in February. That's when...
ParlaMint-NL_2021-11-18-tweedekamer-4.u152	Oh, sorry.
ParlaMint-NL_2021-11-18-tweedekamer-4.u153	...Mrs. Karabulut.
ParlaMint-NL_2021-11-18-tweedekamer-4.u154	Exactly. A majority of the House of Representatives then had to say: do not send an official delegation to the World Cup. The Chamber has spoken and it would adorn the Minister if he says: I have to do so, because that says the majority of the House of Representatives. I understand all the considerations that the Minister has just put forward, also in relation to Afghanistan. But I don't think that's a reason to turn a blind eye. There are serious abuses and we must not hide them.
ParlaMint-NL_2021-11-18-tweedekamer-4.u155	Mr. Chairman. I'm just gonna explain that last one as a question. We are not concealing that, there is no question of that. We bring it up, we talk about it, two weeks ago we talked about it. There is no question of that; we are trying to apply the pressure on it and we also notice that Qatar is letting it lie. Not that it all looks nice now, but some things have simply improved. Whatever their motives, it is for the people who work there to decide what the result is. So I would like to make that point. Furthermore, I hear very well what Mr Van Dijk has said, and that is something I cannot help noticing.
ParlaMint-NL_2021-11-18-tweedekamer-4.u156	The Minister is going to the subject of Afghanistan. But take a sip of water.
ParlaMint-NL_2021-11-18-tweedekamer-4.u157	I thought it was a break. Excuse me, Mr. Chairman.
ParlaMint-NL_2021-11-18-tweedekamer-4.u158	My idea is to really finish the first term, unless you are very keen to cut it now. I don't think that makes any sense. After that we have, if it is right, that I have to consult with the Registry of the House and then we will proceed with the second term. So if you're gonna hang in there for a second, I think it's best. An incentive to the Minister.
ParlaMint-NL_2021-11-18-tweedekamer-4.u159	Mr. Chairman. There are two issues that we need to discuss here when it comes to Afghanistan, also in the knowledge that we are going to come back to this in detail in the future. Mr Van der Staaij has asked for a deeper reflection on what lessons we should learn from this. A number of investigations have been announced, so we will certainly come back to that. One thing I want to say about it, otherwise it seems a little evasive and that is not my intention. Why did we go to Afghanistan? That was for three reasons. One was that our main ally asked for our support. Apart from everything else, you have to come from a good house to refuse. Well, that could be a little tricky, so that's a reason for us. The second was the fight against terrorism. That too was an acute problem at the time. That has also led us to give that support, to ensure that there was a coalition and not to leave America alone. The third reason was the construction of Afghanistan. It's hard for us to change. Once you go there, you can't ignore what you find there. You have something constructive to do with that. We may have exaggerated this in the management of expectations, in the expectations of what we could do there. Before you know it, someone's gonna say the term "nation building" and that's almost hubris. We have done 400, 500 years in the Netherlands about nation building. Then you go to a country that, outside Kabul, lives in the Middle Ages and you think: well, we're going to fix that up in about ten years. That is almost... I also remember whole debates of about eight or nine years ago, in which, for the sake of helping the United States as the main ally in terrorism, we tried to convince parties that we were going to do all kinds of constructive things for Afghanistan itself to build Afghanistan. When you talk about that, you always run the risk of argumenting turning into illusion. Maybe it's an important lesson that we haven't highlighted that difference. I remember discussions about police trainers that we were going to train and that we were going to keep a database to make sure they never joined the army. That's like giving someone a cell phone in Roman times. Those things don't fit. We may have missed that a little too easily, I think. I think that could really be a lesson that we could take to heart.
ParlaMint-NL_2021-11-18-tweedekamer-4.u160	Thank you for this reflection. It is as the Minister says: it will certainly come back later. However, since it is so far-reaching and we have had such a long-term commitment, I think it is good to give it a few words. I am glad that the Minister wanted to do the same in this debate. My question is as follows. We have always had very intensive discussions in the Chamber: under what conditions can we do what? That was prepared in detail. Actually, I have the idea that sometimes completing that involvement went much faster and less thought-out than the things you were going to do there. Are we not better at thinking very carefully about doing things and sometimes we don't stop things too easily?
ParlaMint-NL_2021-11-18-tweedekamer-4.u161	I myself once got my ass kicked by colleagues in the previous cabinet in which I was active, because I had said somewhere... someone asked: how long do you think it would be wise to stay here? Then I said, "Well, I think about a hundred years." I don't think that was what I should have said. But when you're talking about something like that, it's frankly hubris or almost self-overestimating to think that in ten years you can make a difference there that sticks in a way that we're moving towards an orderly rule of law in Afghanistan. Yeah, there's a lot to learn, even for ourselves. Mr President, let me see. We'll get back to the investigation and how we're gonna do it. So I don't have to do that now. A very specific point to which Mrs Piri, Mr Van Dijk and Mr Van der Lee asked: the guards of the embassy, as it was in the Volkskrant. It is good to think more precisely about this. Maybe in advance, because this isn't easy: if you set criteria on the basis of which people are actively drawn by us or not, there's always a patch on that line, and if you pull it off, it hurts. Because that dividing line is always somewhere. If we do a little less, it's on a different level. If we do more, it'll be on a different level. But somewhere there's always a line where it hurts. We must continue to realise that. These guards, very specific, belong, of course, to that risk group as defined at the time. That means they have priority if they apply for asylum here. Why are they not now eligible as a group as such? Firstly, they have not been in Dutch service. They were employed by a subcontractor. With this subcontractor, we are simply moving on again. We have agreed to this in principle. Should we get a foothold in another building in Kabul so that it needs to be guarded, we would like to continue with this subcontractor and the people he has. Finally, I would like to add that I also mentioned this at the time, and I am not going to go into that in detail, because that is wrong with the case that we have always wanted to keep room for harrowing cases and that there is a hardness clause. But that is without prejudice to the principle as I just said.
ParlaMint-NL_2021-11-18-tweedekamer-4.u162	On this point, Mrs Piri has a question, but Mr De Roon has also come forward for a question on Afghanistan on another subject.
ParlaMint-NL_2021-11-18-tweedekamer-4.u163	In my view, this is not a case of distress, but of cases which should simply be assessed under the rules. These are people who for years I know a guard who has worked for the Netherlands for 13.5 years working for the Dutch embassy, with a pass with a Dutch flag on it and with a stamp of the Dutch ministry, there, visibly, protected the Dutch diplomats. It is a group that was already known to all Members of Parliament in August, because we all received an e-mail from those guards in which they wrote: help us. That was one of the reasons why this Chamber adopted the Belhaj motion. Now the cabinet decided at that time not to call these people for evacuation, so when they were just under the rules laid down by this Chamber. At that time, you chose not to call them for evacuation. And now you say: six weeks after that Belhaj motion, we have decided to apply other criteria; these people were not called for evacuation, so they are unlucky. I just can't reach that. Can you imagine that?
ParlaMint-NL_2021-11-18-tweedekamer-4.u164	It's hard for me to introduce myself in front of Mrs. Piri. I am trying to indicate on the basis of which we have defined the criteria and apply them. This also includes a certain fairness towards everyone. Those criteria and the interpretation, the translation, I have just given you. Therefore, although we hope to be able to go further with this subcontractor and its staff, they are not covered by these criteria on the basis of the way in which they have been active. That's right.
ParlaMint-NL_2021-11-18-tweedekamer-4.u165	Now my nugget breaks. It's not about whether these people have a job or not. Besides, these people are still standing in front of that compound guarding the embassy. The Minister knows that. The point is that these people are in mortal danger because of the work they've done for us. That's really another matter. It's not about a job; it's about whether they're sure of their lives. As you know, I went through all those documents of the cabinet very carefully, I say through the President. The criteria state: in a visible function served the Netherlands. Well, if you're a guard with a Dutch pass, it seems to me that this is visible. Another criterion that has been established: have worked for the Netherlands for at least one year. I can imagine the cabinet applying that rule, even now afterwards, to this group. But now saying that people were not directly employed, while we did evacuate the Hungarian embassy security guards, who were not directly employed, really smells like a reason to exclude this group of people. Think about it. We're gonna have a lunch break later. I don't want to have to force the cabinet in a second term by means of a motion. I hope you will simply say in the debate that this group has been misjudged and you are reviewing the decision.
ParlaMint-NL_2021-11-18-tweedekamer-4.u166	I can only repeat myself with the small addition that the people who received a call before 26 August or left the country were never qualified for criteria that we would later apply. We have all established and concluded with each other that we did not have the luxury at all in that panic phase to see who is eligible and who is not. Sometimes in quotes, wrong people were taken under the motto "Sorry, we don't have time right now; get on the plane and get out." Then you end up in the second phase of the programme, and we talked about that at the time, and we are going to look carefully at what criteria you can define in all fairness how you apply these criteria. Mrs Piri talks about the guards, who are in danger on the one hand, and on the other hand still monitor the compound daily. We have already established the following. If people were directly in Dutch service, we wouldn't normally do that; embassy staff were never brought here in the past. There's something different about this. The subcontractor also monitors other things, not just the Dutch embassy. There is also evidently no employment with the Netherlands, but an employment with the subcontractor, with whom we also continue, including his staff.
ParlaMint-NL_2021-11-18-tweedekamer-4.u167	Mrs. Piri, finally.
ParlaMint-NL_2021-11-18-tweedekamer-4.u168	Finally, Mr President. I can already see here the harbinger of what the Netherlands is going to do next. We are no longer going to hire interpreters directly; everyone is going to hire them through a subcontractor, so that we never have any obligations. Those are not the appointments made with this Chamber. Does the Minister admit that he has now added a criterion to the October letter? There were two criteria: visible to the Netherlands and employed for at least one year. Here is the criterion: directly employed by the Netherlands. Does that also apply to all the Defense personnel?
ParlaMint-NL_2021-11-18-tweedekamer-4.u169	Yes, apart from the fact that there is also room at the Department of Defense to always look in individual cases for what I mentioned earlier.
ParlaMint-NL_2021-11-18-tweedekamer-4.u170	Mr De Roon has another question. First Mr Van Roon and then Mr Van der Lee.
ParlaMint-NL_2021-11-18-tweedekamer-4.u171	It concerns the freezing of Afghan assets, as imposed by the United Nations. The Minister answered a question I did not ask. He asked whether De Nederlandsche Bank had such funds, but I had asked if banks in the Netherlands had such funds and how many.
ParlaMint-NL_2021-11-18-tweedekamer-4.u172	That's...
ParlaMint-NL_2021-11-18-tweedekamer-4.u173	That was my question.
ParlaMint-NL_2021-11-18-tweedekamer-4.u174	Then the answer should have been: as far as we know, that is not the case.
ParlaMint-NL_2021-11-18-tweedekamer-4.u175	Yeah, "as far as we know." But did you ask De Nederlandsche Bank, for example, or the banks if they have such funds?
ParlaMint-NL_2021-11-18-tweedekamer-4.u176	That was checked with De Nederlandsche Bank.
ParlaMint-NL_2021-11-18-tweedekamer-4.u177	Here's what I'm asking for. If there are such assets that are frozen in the Netherlands and that freeze is lifted at some point by the United Nations, that could be a political decision that is simply motivated, then we could still know whether those assets cannot simply be seized under Dutch law, on the basis of the Law on the Prevention of Laundering and Financing of Terrorist Organisations. But if we don't know anything about such assets, then the story of course ends. But then my question is whether we are sure that there are no funds from Afghanistan in the Netherlands.
ParlaMint-NL_2021-11-18-tweedekamer-4.u178	We have heard from De Nederlandsche Bank that there are none.
ParlaMint-NL_2021-11-18-tweedekamer-4.u179	The Minister's answer. Mr. Van der Lee.
ParlaMint-NL_2021-11-18-tweedekamer-4.u180	I would like to come back to the interrupting debate that Mrs Piri had with the Minister. I find it very problematic that the interpretation of the criteria agreed with the Chamber is stricter than what is on paper. I'm gonna put that in a national context anyway. In the case of the premium affair, legislation has been introduced which, in an all-or-nothing approach, has been applied much more strictly than has been made clear, including to Parliament. We can't work together like this. If the interpretation from the outset was that "one year of employment" means only and exclusively a direct employment with the Dutch government, it should have been shared with the Chamber at that time. We know that the Defence Line has also brought in people who were also subject to a sub-contractor. I therefore call on the Minister to come back to this and to relate to the proper communication with the Chamber. We need to know from each other what we mean and not come up against each other afterwards, with different interpretations.
ParlaMint-NL_2021-11-18-tweedekamer-4.u181	I agree. I think that's right. What it was about that year in service, that's where we were talking about the NGOs. With the NGOs, it was more difficult, strictly speaking, to indicate exactly where you draw the line, how you define criteria. That ratio is by definition already looser, which is why we have formulated the criteria in such a way that the NGOs could work with them. That is what they have made clear to us and we have been able to work with them. That's how it started. We have never had the idea that a security company in Afghanistan with which we had a contract was an NGO as we talked about it. That is why it was not an element for us to have played a role in this discussion in this way, so I would also like to correct that misunderstanding. Chairman...
ParlaMint-NL_2021-11-18-tweedekamer-4.u182	The last part.
ParlaMint-NL_2021-11-18-tweedekamer-4.u183	The last part is the consular department. I can be brief about that.
ParlaMint-NL_2021-11-18-tweedekamer-4.u184	Do you have a question about Afghanistan, Mr. Brekelmans?
ParlaMint-NL_2021-11-18-tweedekamer-4.u185	Yeah, I have a quick question about Afghanistan. In fact, since the withdrawal, it has been said by both the Netherlands and the United States and NATO that we will continue to ensure that Afghanistan does not become a free haven for international terrorism again. Now I have always asked how this will be implemented. Are there any plans for the moment of withdrawal? We've been about five or six months since the withdrawal started. I see in replying to the written questions that there is still no concrete plan, at least that is what it looks like. I would like to ask the Minister whether we are working on this and how far we are going with it.
ParlaMint-NL_2021-11-18-tweedekamer-4.u186	Certainly, but here we also depend on the steps taken by the United States. They are doing all kinds of things themselves, but for the rest, namely taking the allies in those steps and the question of what that means for coordination, we also depend on what America is doing. So that's what we're doing. They're working on it, but we're not in the lead. Which makes that a little longer than you might normally think. The Americans are on top of it for all kinds of valid reasons, but we depend on their pace and the extent to which they involve the other countries. This goes step by step and sometimes only through the services.
ParlaMint-NL_2021-11-18-tweedekamer-4.u187	I have a question about the security guards who work for the subcontractor and who may therefore work for us again through that subcontractor, as the minister just indicated. What if there are people in there who are threatened and who have worked for us for 13 years, for example? That doesn't have to be all those people, does it, but is it a good idea for a cabinet to look at that too?
ParlaMint-NL_2021-11-18-tweedekamer-4.u188	As I said, I'm not going to discuss that at individual level. I do not think that is appropriate either, but we have always said that we realise that this cannot work without a hardness clause. So there is. Then the last piece of consular. In particular, Mr Sjoerdsma asked for this. We have recently had a committee debate on the whole consular aspect. In particular, he asked whether we could speed up the digitalisation of consular services. We do, and we're working on it, but we're doing it step by step. Large-scale ICT projects flown from above may not be the absolute unique selling point of a government, so we need to be a little careful about that. But we're doing that one step at a time, and we're doing okay. I promised Mr Sjoerdsma that I would inform him in writing, so that will also be the case. Mr Sjoerdsma asked about Dutch people who are in need of the stranger and how we can share that with each other. To be honest, I am very reluctant to do so because, if you want to help people abroad who are mangled by a foreign government, it often helps much better to do so with silent diplomacy, because loss of face for a foreign government often leads to cramps rather than moving along. Moreover, although this is perhaps of minor importance in this case, sometimes people's privacy plays a role. Finally, I promised Mr Sjoerdsma that it would be useful to change the way in which the security of the posts is financed. He was afraid that if we spend more money on posts, then it would be higher security costs, because the world would become more dangerous, leaving nothing for those posts. He recommended the German method. Honestly, I didn't know that one, but luckily people in my department did. This German method is not really going to help us, because the Germans, with a one-off exception, have in fact always met additional security costs within their own budget. So for this, we really need to come up with something else. I'll highly recommend that, should I run into an informant on the street sometime these days. Thank you very much.
ParlaMint-NL_2021-11-18-tweedekamer-4.u189	Thank you. Mr Ceder has just the floor for a question and for Mr Van der Lee.
ParlaMint-NL_2021-11-18-tweedekamer-4.u190	To prevent me from having to use the second term for this. You have answered my questions about the Envoy of Faith at national and European level. As you may know, there are still questions as to whether the mandate of the Envoy of the Faith in the Netherlands is due to expire. I don't think so. I would like the Minister to give me the undertaking that the mandate will simply be extended.
ParlaMint-NL_2021-11-18-tweedekamer-4.u191	There is no misunderstanding: the answer is yes.
ParlaMint-NL_2021-11-18-tweedekamer-4.u192	Then there is Mr Van der Lee on an amendment.
ParlaMint-NL_2021-11-18-tweedekamer-4.u193	Yes. I have made an amendment together with Mr Piri, but I withdraw it because it has proved to me that it is better to table a motion on this matter.
ParlaMint-NL_2021-11-18-tweedekamer-4.u194	The Van der Lee/Piri amendment (Doc. 9) has been withdrawn.
ParlaMint-NL_2021-11-18-tweedekamer-4.u195	Then we came to the end of the first term of the cabinet. Contrary to what I just said, we'll continue with the Foreign Affairs budget debate after lunch, after consultation with the Plenair Registry. There is no doubt that there are reasons for this. So I'm gonna suspend for half an hour. Then we'll continue with the second term of office at 1.55 p.m.
ParlaMint-NL_2021-11-18-tweedekamer-4.u196	We shall continue with the examination of the Foreign Affairs budget. We'll start with the second term of office. As the first speaker, I have the floor: Mr De Roon of the PVV.
ParlaMint-NL_2021-11-18-tweedekamer-4.u197	Mr. Chairman. In the course of the budget handling of Foreign Affairs, it is a tradition for the PVV to submit a motion again and again on the Dutch Embassy in Israel. A good old man, you might say. I'm gonna let them come back now. The text reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Jerusalem is the capital of Israel;]] [[calls on the government to move the Dutch embassy of Tel Aviv to Jerusalem,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Roon and Wilders.]] [[She's getting No. kst-35925-V-15]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u198	Then the next motion. The Minister pointed out that Article 21a is being applied to Gambia when it comes to taking back people who do not belong here but in Gambia. I think that's a little skinny. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas certain countries refuse to take their nationals back;]] [[calls on the government to make hard and repeated (diplomatic) action against refuse countries a new core element of our foreign policy,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon.]] [[She's getting No. kst-35925-V-16]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u199	Then I come to Europe and the Strategic Compass, which is being drawn up for foreign and security policy. The PVV has a lot of doubts about how that will end. The Minister states that there will be no majority decision-making on the use of European armed forces, but we know how it works in Europe. There's gonna be a lot of pressure to get involved anyway. We shouldn't want any of that. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas we should not give up our foreign and security policy;]] [[calls on the Government to oppose the EU Strategic Compass,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon.]] [[She's getting No. kst-35925-V-17]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u200	On Afghanistan, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas 20 years of engagement with Afghanistan have shown that Western and democratic values cannot be imposed from above;]] [[whereas tribal and Islamic societies, such as Afghanistan, are generally not or hardly susceptible to reforms in this area;]] [[calls on the Government to stop immediately all ongoing military and aid programmes aimed at (partly) building the rule of law and democracy in Islamic countries,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon.]] [[She's getting No. kst-35925-V-18]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u201	On Iranian drones, I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Iranian Revolutionary Guard drones deliver to terror groups such as Hezbollah, Hamas and the woodhi rebels;]] [[Whereas Iranian drones and their proliferation pose an increasing threat to Dutch military and international shipping in the Middle East;]] [[whereas the US has already imposed targeted sanctions against Iranian individuals and companies because of this threat;]] [[calls on the government to seek support from other European countries for similar sanctions against Iran for this disruptive drone policy,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon.]] [[She's getting No. kst-35925-V-19]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u202	I would add that the Minister has made it clear that we must try to reduce our dependence on the US. That is not a bad idea in itself, but we should not let go of the US either. The Minister also stressed this. I therefore believe that we should not leave the US alone when it comes to sanctions of this kind, but that we should simply go along with it and see for ourselves whether we can also impose sanctions on Iran. That's not entirely out of the blue. I have read, for example, that rocket engines produced in the Netherlands are small rocket engines, but have nevertheless been found in certain weapons used by the terrorists in the Middle East. We really need to avoid that, even when it comes to these drones. Thank you very much, Mr President.
ParlaMint-NL_2021-11-18-tweedekamer-4.u203	Thank you. I now give the floor to Mr Brekelmans of the VVD.
ParlaMint-NL_2021-11-18-tweedekamer-4.u204	First of all, I would like to thank all the members of this Chamber and the Minister for the congratulations I have received on my maiden speech, and for all the warm words that have been expressed in it in response to what I have said about my personal situation. At least I know our little girl watched this morning, no matter how small she is. She will one day appreciate that my words have been received so warmly by you. In my maiden speech I especially considered the impact that events in the world can have on people in the Netherlands, and on how that has personally touched me. I have also considered that, given all the threats and instability in the world, it is even more important to protect ourselves as the Netherlands against them. I would also like to thank the Minister for his reflection on this at the beginning of his reply. One of the important threats I've considered is China's. I stressed the importance of making us more independent from China and reducing the dependencies that exist to ensure that we are also able to make an economic fist against China. As far as I am concerned, this calls for a broad agenda and continuous attention and has a great deal of urgency. That is why I have made the proposal to at least start preparations for a task force, and to examine what is needed to target them. I would also like to thank the Minister for his response and for the fact that he embraces that plea. He sees that this calls for a broad agenda, not only from the Ministry of Foreign Affairs, but wider than that. But the Ministry of Foreign Affairs can play a coordinating role in this. Then there's safety. We have considered the situation in Belarus, on the border between the European Union and Belarus, and how important it is that there should now be strong pressure in the short term to ensure that human trafficking and the situation with migrants cease as soon as possible. With the winter period approaching, this cannot last for a number of months. We in the European Union must also show that we are not being blackmailed. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Belarus flies in migrants, including through air carrier Belavia, and then pushes across borders to put pressure on the EU;]] [[Whereas the Foreign Affairs Council has announced additional sanctions against organisations and persons involved in these trafficking of human beings, but the precise content of these sanctions is not yet known;]] [[Whereas previous sanctions against Belarus have not had the desired effect;]] [[Whereas the use of migrants as leverage should stop as soon as possible and it should be clear to countries in the ring around Europe that the EU does not accept this;]] [[calls on the government within the EU to promote secondary sanctions against Belavia, which may also impose sanctions on organisations doing business with Belavia,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Brekelmans, Mr Agnes Mulder and Mr Ceder.]] [[She's getting No. kst-35925-V-20]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u205	In addition to pressure on Belarus and on Belavia, it is also important to put pressure on countries of origin to ensure that they do not cooperate in this trafficking of human beings, but that they also take migrants back. I also asked the Minister about this and asked him whether he would like to work in the European Union to ensure that the European Union uses its economic power as a means of exerting pressure. In any case, I was pleased to hear from the Minister that he also does not think that we can welcome on the basis of these initial signals, and that, as far as he is concerned, the European Union continues to make every effort to use economic means of pressure. Another threat we've been talking about is cyber. In particular, I think it is important that we ensure that we are prepared for the worst scenarios and that we do not start thinking about how to respond to them at the time of a cyber attack. The Ministry of Foreign Affairs must also have been properly addressed. Because simulations are already taking place, cyber exercises are already taking place, but what do we, as the Netherlands, do with our allies against the rest of the world? We need to anticipate this as best we can. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that according to the Threat Statue, state actors are in preparation for digital sabotage in the Netherlands;]] [[Whereas it is important that the Netherlands is well prepared for any attack;]] [[calls on the Government to draw up and practice a roadmap with cyber-attack scenarios, including diplomatic response, and, in an alliance context, call for a roadmap to quickly arrive at an allergic reaction in the event of a cyber attack,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Brekelmans, Mr Ceder and Mr Sjoerdsma.]] [[She's getting No. kst-35925-V-21]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u206	Than Afghanistan. We've talked about that widely. What worries me is that, in view of the recent discussion and the latest letters sent by the government on this subject, little is being said about what we are doing to prevent Afghanistan from becoming a free haven for international terrorism. We cannot wait too long to have a clear approach to this, because once terrorist groups have taken root, it becomes all the more complicated to deal with them. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is a risk that Afghanistan will become a base for international terrorism;]] [[whereas the importance of a good intelligence position and the capacity to deal with threats from a distance is discussed within NATO;]] [[noting that the Cabinet letters on the engagement around Afghanistan contain no plans or ideas on how to shape this or what contribution the Netherlands can make;]] [[calls on the Government to make an alliance effort to ensure that Afghanistan is not once again a base for international terrorism, to propose proposals to this effect, and to inform the Chamber of progress on this matter,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Brekelmans, Mr Ceder and Mr Agnes Mulder.]] [[She's getting No. kst-35925-V-22]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u207	Finally, I talked about the influence of foreign threats on our freedom in the Netherlands. It's strange that espionage as we actually experience it on a daily basis is not yet punishable by our law. The Minister, on behalf of the Cabinet, in reply to the written questions, indicated that the aim was to send a proposal to the Chamber at the beginning of 2022. Now that ball has been on half the cabinet for some time and I know from experience that if on paper it says 'to strive for the beginning', which can be from January to June. It may also be said that "it was a goal" and then it is lifted over the summer. Can the Minister indicate more specifically when this bill will come to the Chamber, preferably with a specific month, so that we know when we can expect it in early spring 2022? In addition, I have advocated a public register for organisations and people who appear neutral, but in fact are employed or commissioned by a foreign power. Australia is a good example of this, but the question is whether this can be done in the Netherlands, or whether it can be done with our regulations. I would like to receive more information on this from the cabinet in the short term. That is why I shall end by tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is insufficient insight into the influence of representatives of authoritarian states in the Netherlands;]] [[Whereas Australia has a compulsory public register for "agents of foreign influence";]] [[having noted the commitment of the Cabinet to engage with these countries on their experiences by the end of 2020;]] [[calls on the Cabinet to make proposals for a public register in the Netherlands for "agents of foreign influence" on the basis of these experiences in 2022,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Brekelmans.]] [[She's getting No. kst-35925-V-23]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u208	There you go. Eight minutes of speaking time. I'd like that. Oh, it goes back to three real fast. But that's for the next speaker. Mr. Chairman. Thank you to the Minister for his reply. There are many issues that deserve further debate, for example Afghanistan. I ask the Minister: when is this inquiry, the independent investigation into 20 years of war in Afghanistan? See my April motion. Then there is the other point concerning Afghanistan. Mr Belhaj's motion is being eroded step by step. I can't say otherwise if you're not gonna evacuate guards because they weren't in the service, but because they were contractors. That is not possible, especially if they have worked for the Dutch for many years. That was the thrust of the motion: help the people who helped us. What's happening now isn't okay. We are going to make sure that we come back to this in an extensive debate next week. Mr. Chairman. Qatar. The February SP motion was crystal clear: no official delegation to Qatar because of the abuses, because of the exploitation in that country of migrant workers, with more than 6,000 deaths. The Minister's got a bit of a twist on it. He can simply say: of course, if that is the wish of the Chamber, I will carry it out and we will not send an official delegation. Now, this is a motion that is perfectly enforceable. So I would say: take this; it is the will of the Chamber. Mr. Chairman. Two motions, first of all on the Strategic Compass. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the European Commission is working on a Strategic Compass with far-reaching proposals on European defence;]] [[noting that the Strategic Compass has only been kept confidential, which makes a full and transparent debate impossible;]] [[calls on the Government to pursue full transparency on the Strategic Compass and not to take irreversible steps until then,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk.]] [[She's getting No. kst-35925-V-24]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u209	Mr. Chairman. The final motion is about nuclear weapons. I must confess that because of time I have not been able to mention this point in my first term, but those who follow the debate know about my position: nuclear weapons have to leave the world, starting from the Netherlands. Perhaps the Minister was also present at that fine big demonstration in 1981. A fantastic UN treaty against nuclear weapons has been adopted. Unfortunately, the Netherlands has not yet signed that treaty. I have a very modest question with this motion: be present at the conference on that treaty. That's all, Minister. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas international law has been complemented by the UN Treaty on the Prohibition of Nuclear Weapons, which is being ratified by a growing number of countries;]] [[Notes that a first conference on this UN Convention will take place in Vienna in March 2022, where NATO ally Norway has decided to be present as an observer;]] [[calls on the Government, like Norway, to participate as an observer in the first session of the UN Treaty on the Prohibition of Nuclear Weapons,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk, Mr Piri, Mr Van der Lee and Mr Kuzu.]] [[She's getting No. kst-35925-V-25]]
ParlaMint-NL_2021-11-18-tweedekamer-4.u210	I'd say take that opportunity, Minister. These are two fine motions.
