ParlaMint-NL_2021-03-16-eerstekamer-15.u1	I give the floor to the initiator, Mr Nijboer.
ParlaMint-NL_2021-03-16-eerstekamer-15.u93	Thank you, Madam President. It looks good. All the beginnings of this kind of thing are difficult. I remember once I had to fill in in the big room. I didn't understand anything about these buttons, so in that respect, our new Vice-President, our first Vice-President, is making great strides, Mr Van der Linden. Mr. Chairman. Mr De Boer said: let us note in particular that structural work must be done to make rentals in this country affordable. That's the big problem that I think we all agree on. No matter how you feel about investigations, if the Nibud finds that one in four tenants is somehow financially stuck, then we have a problem. If we're short on so many properties, and the prices keep rising, we all have a problem. It is up to all of us to find a solution. That's easier said than done, I'll say. I appreciate the Minister's efforts to get things moving, as she said. Her successor doesn't have to start from scratch, but will have a big job anyway. Housing has once again become one of the highest priorities on the political agenda, and that is good. Mr. Chairman. Firstly, I would like to address our colleague, Mr Nijboer, who told us that he belongs to the happy side of the Labour Party. I knew there had to be one of them on the bright side. But he is also on the effective side of the Labour Party. He is known as a passionate spokesperson, including in the area of housing, but also in many more areas. And he's done it anyway to get a bill passed in the Lower House, telling us honestly that he didn't get everything he wanted, but that this was feasible. He also received the Minister's support. I can say that he will also receive the support of our group in this Chamber. It must be strong if there are any groups here that are going to vote against this bill, but we will see that next week. The Minister said she wholeheartedly supports the bill. I think that's a win. At first, she had a different proposal. I find it brave if the Minister and the Government dare to say that this proposal is better and more politically sensible under these circumstances; let us do so. I have already said that I am less happy about the two legislative proposals put forward by the Minister today. We're still getting the results of the Terrstra motion. We'll see what's going on with the law on the temporary rent discount and the catch-up rent increase, but I don't think that's a great piece of a bill. We will say next week how our group is going to vote on this. On the income limits relating to access to corporate housing, the Minister says: this is the maximum I can do if I take into account the rules of the European Union. At the same time, there is a statement by the Council of State saying: where are the alternatives for the group that is just above them? If there are no alternatives, they may be listed with corporations. We come to talk about this even further, even when the investigation of the Nibud is done. My group will also be discussing this. We'll decide what to vote next week. Finally, Mr President. Nine months ago, I tabled a motion rejecting the Minister's tenancy policy because an urgent request from this Chamber was not filled by the Minister to the satisfaction of this Chamber. That was not good for the relations between government and parliament. A motion rejecting policy is not one of the standard activities of this Chamber. This room thought it was necessary. It was a motion in which not only the lease policy was rejected, but also an order was given to do what this Chamber wanted in any way. We gave freedom to the minister and said: the minister should not resign but act. The Minister promised to give effect to that motion in her own way. She's done it one step at a time. As Mr Crone said, the finish line looks good. If the Minister transfers her portfolio to a successor, will he ask: Madam Secretary, is there anything else in the closet I should know? Then the Minister must say: yes, there is still a motion from the First Chamber that says that there must be a temporary rent freeze for the social sector, which I have realized, but also for the free sector, which still needs to be realized; that remains. If the successor asks whether the motion of censure is still in place, my opinion is that other groups who voted for it at the time should say so themselves that the motion of censure is now off the table. The Minister has, in her own way, fulfilled a broad wish of this Chamber. There's been a stop in the social sector. At least, thanks to Mr Nijboer, there has been a significant reduction in rent increases in the free sector. A number of other measures have been taken. To say that this policy is still being rejected would not be fair. If this Chamber is hard to reject by policy, it must also be consistent and say: at the moment when the Minister has met the wishes of the Chamber to a large extent, the motion of censure may be sent to the archives and the museum. But once again, Madam Minister, that is the opinion of the SP Group.
ParlaMint-NL_2021-03-16-eerstekamer-15.u94	I thank Mr Kox for all his efforts on this dossier. I am grateful to him for that. But before he wants to permanently squander this motion of censure if this policy is implemented in this way: if the rents are still increased with the catching-up hires, does this mean that the motion of censure can still remain in the trash? Or should we be clear about the fact that these rent increases remain out of the picture even for the slightly longer term?
ParlaMint-NL_2021-03-16-eerstekamer-15.u95	I didn't suggest putting the motion in the trash. I rather think it should be framed, because it is a rather special motion in this Chamber. 145 years had to pass before we find its predecessor. The question is not whether the Minister is doing everything my group or this Chamber wants. The question is whether the Minister reasonably responded to the motion we supported by a large majority at the time. I think this can be said now. We had the motion on child poverty shortly before. It took us three years in this room. The government had trouble implementing it. Eventually, Mrs. Van Ark, then Secretary of State, came here. Then we all noticed: she does not do exactly what we want, but what she has done is good. Here we have used our hardest means: a motion of censure. I therefore believe that it is fair that if the Minister, assisted by the Chamber and the initiator, ultimately responds reasonably to our wish... Our demands will then remain on the table, but we will be able to get rid of the disapproval. That's, I think, fair.
ParlaMint-NL_2021-03-16-eerstekamer-15.u96	I hear Mr Kox saying two things. He says, "You can get rid of the disapproval." But he wants to frame it anyway. Once a motion has been adopted here, it will indeed be framed until the end of the day. Then we can still look at it in 143 years, or at least our successors. But my point is this. He says, "You can get rid of those demands." Is it enough that there is now, even with that law temporary rent discount? It actually has a very limited scope. The Minister has indeed met the Chamber, but is this really enough for the SP? Or are we not going to have a much larger rent increase, with possibly all these sustainability measures, and should we not be able to avoid that?
ParlaMint-NL_2021-03-16-eerstekamer-15.u97	That is what we are going to debate with this minister or her successor, but this was about the fact that this Chamber really wanted something at a specific point, namely a temporary freezing of rents, and the Minister said: I really do not want to do that. That led to the rejection of that part of its policy. That part of its policy has been adjusted and improved. We now have a rental stop for 2.3 million tenants. We also have a firm rent restriction........................................................................................................................................................................................................................................................... In doing so, the Minister responded reasonably to the criticism of this Chamber. I also said on behalf of all the authors at the time: this Chamber has no right of amendment, so we do not say exactly how to do it. The Minister is about the interpretation, but it had to be so that it fit in with what we wanted. On all these other points, Mr Van Hattem, we will have discussions with this minister or the successor. Then we will often say whether or not we agree with it, depending on the government that is sitting there. I would just like to say before the elections on a day-by-day basis that if the Minister finally meets to a reasonable extent what this Chamber wanted at that time, nine months ago, it is fair that this Chamber should say: thank you, Minister, that is well done, so the relations have been cleared up and the disapproval can be put away, but not forgotten.
ParlaMint-NL_2021-03-16-eerstekamer-15.u98	Mr. Van Hattem, last meal.
ParlaMint-NL_2021-03-16-eerstekamer-15.u99	Yes, briefly, Mr. Chairman. To be honest, I still think it is rather limited. A step has indeed been taken, but I think it is a small, late and difficult step. That is whether or not that motion is off the table, because that is not at all a matter of state law. But there are still a lot of steps to be taken. I hope we can at least agree on that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u100	A rent freeze for 2.3 million people and a rent restriction for 1 million tenants, together 3.3 million tenants, residents of this country, with everything that comes with family, I would not qualify as "a small step." It wasn't for this room either. That is why we strongly insisted that the Minister should finally do what we wanted. Then when she does, I don't say, "I'm stubborn with my old opinion." No, I say thank you, Madam Minister, it's good that it happens this way, so let's look forward. This dossier can be closed at that point, but there are many other areas that we will have to discuss. Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u101	Thank you. I shall now give the floor to Mr Van Rooijen of the 50PLUS Group.
ParlaMint-NL_2021-03-16-eerstekamer-15.u102	Mr. Chairman. The curfew has already entered, for this spokesperson tonight for the fourth time since the beginning of January, eight weeks ago. Who could have guessed? Firstly, I come to Mr Nijboer's own-initiative proposal. I almost said "colleague" Nijboer. Times go by, but they don't go by completely. We wholeheartedly support his own initiative proposal and think it is particularly important, as has also been recalled, that the Minister supports this initiative. That doesn't always happen, or it doesn't always. We also support the other two legislative proposals. Then I come to the Van Otterloo amendment, which was rejected in the House of Representatives. Moreover, there was strong support in the House of Representatives for that amendment: 60 votes. That's not nothing. But it was rejected. There was an exception for AOWs in the income-dependent increases. Unfortunately, that exception for AOW-ers has been removed from the draft law. The reasons for this did not convince the Lower House and part of the Lower House, but neither did our group in this Chamber. The Minister seems to assume that I mentioned it this afternoon already the income of AOW'ers is rising. I'm not going to adjudicate that again. That's what I did this afternoon. This increase in income is to some extent an illusion. The Minister then points out the unequal treatment she sees and also talks about AOW's with a large supplementary pension. Let's not talk about that at this time of night. But what is called a high income for AOW'ers is, for the rest of society, a moral income. That is what we call unequal treatment. Mr President, therefore a motion on that exception. The: Mr Van Rooijen and Mr Kox proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the exception of the AOWs in respect of the income-dependent rent increase is deleted by the present legislative proposal;]] [[Whereas the present legislative proposal spends an increasing proportion of AOW and pension on housing costs;]] [[Whereas in the absence of indexation, AOW'ers have lost more of their AOW to housing costs;]] [[Whereas maintaining the exemption position of AOWs reduces the burden;]] [[calls on the Government to re-introduce the deleted exception income-dependent rent increase for AOW'ers,]] [[and goes to the order of the day.]] [[It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35518-E]]
ParlaMint-NL_2021-03-16-eerstekamer-15.u103	Finally, I would like to address the Minister. Last year, with this motion of censure and debate, I have had to endure a hurricane in politics for quite some time, as I call it in my words. But she has gradually found the way to move forward with this First Chamber. That is, of course, the first task that a cabinet, a minister, has with Parliament: look to the future and try to pull it together. The image I'm just sketching here, at least she's leaving us. I hope that this is an inspiration for the new cabinet, but also for it, especially on the eve of the elections. Thank you very much. I also share Mr Kox's point, and it is in line with what I have said that this motion is now off the table as far as we are concerned.
ParlaMint-NL_2021-03-16-eerstekamer-15.u104	Thank you. I now give the floor to Mr Van der Linden of the Nanninga Group.
ParlaMint-NL_2021-03-16-eerstekamer-15.u105	Mr. Chairman. First of all, I would like to congratulate the initiator, Mr Nijboer, on his legislative proposal. I hadn't done that in the first term. Passionately he defended his initiative in the first term, literally at the finish line of the old House of Representatives. I have just seen the latest polls: I think we will see Mr Nijboer again after the elections. I asked three questions in the first term, about inflation versus the rise in house prices. Aren't we creating the crooked people of the future? The answer was clear: three years is of course a limited time and has a limited impact. So, no, that's probably not gonna have an effect in the long term. There's gonna be another evaluation. About the definition of inflation, the minister indicated that the buyer of a property has nothing to do with inflation on the value of the property. Of course, that's true. It is only about inflation on costs. I'm sure they're back in indexing. Then there is the second point: municipalities that want to get to work on this customization. I made this point because I also noticed that there is a lot of ignorance, especially in small and medium-sized municipalities. The big cities have this under control. Handhelds on how this can be made effective are important. This has also been demonstrated by the previous customisation. That 10% hasn't really been used very much. So it is very good that the minister talks with the VNG about clear communication about what municipalities can effectively do. Then the third point: the crooked habitation. How real is this flow in the current market and what about the risks to social cohesion? The Minister indicated that it was about appropriate rentals and not necessarily about flow. That's right, of course. That incentive is there, but in this challenging housing market many crooked residents will prefer to live over a non-found or much more expensive home. According to the Minister for Social Cohesion, the Labour Party and GroenLinks have agreed to invest in vulnerable neighbourhoods. Investing in urban areas is, of course, something that we have also discussed with the Minister. I owed GroenLinks a response on the number of homes that go to status holders. The IND is currently working on a backlog in housing 15,000 status holders. About 2021, it is a number of 27,000, including many single households. Municipalities say the alarm clock; think about Zaanstad and its surroundings for a recent example. The VNG calls it an unexecutable, almost impossible task. The CBS has calculated that 134,000 status holders with a temporary residence permit have been in a social rental house since 2014. Of course, these are not 134.000 houses, but it is almost equal to one year of new buildings. So these are significant numbers. In the debate in the first term, it was striking that 50PLUS attacked the VVD about the housing crisis, which would come through the cabinet. No, the VVD said we should point to the local government. D66 thought that was too easy: it wasn't the local government. After the elections, it should be different: building, building, building. You hear a lot of slogans like that in this house. In the first term I referred to Elsevier Weekblad with a comment about the Minister. That article starts with the conclusion: you can't open a newspaper or a magazine or it's about the housing crisis; why aren't they just built? Elsevier made a tour of those directly involved, all blaming each other. That's also a bit of the picture I get from politics. It's exemplary. There were fine words about long-running cooperation within the Labour Party, referring to former Secretary of State Jan Schaefer, with the quote: you can't live in bullshit; go build houses. That sounds like a nice call for a new cabinet. I have already studied the motion tabled by the PVV and discussed it with my group. I'll say two things about it. One. The motion calls for action on the part of municipalities, but we are in favour of local freedom of choice. However, we agree with Mr Van Hattem that it is not working very well now. I also live in one of those municipalities where the Prime Minister or the leader of the VVD may call 'I want to get rid of it', but where the local VVD simply votes against the deletion of that urgency status. The motion to delete that urgency is actually a step too late in the process. The obligation to redistribute municipalities remains, but it must stop, otherwise they will have to house people somewhere. If they don't, the Empire's gonna kick their asses. And if you did, that would lead to overcrowded azc's. The real solution is less net immigration, but, of course, politically we will support the proposal.
ParlaMint-NL_2021-03-16-eerstekamer-15.u106	Thank you for the support of the Nanninga Group for this motion. I would like to point out that this step must indeed be taken, but that the operative part of the motion therefore refers to'measures' in the broad sense of the word. It can therefore be linked to the fact that the inflow is also limited or completely closed, as far as the PVV is concerned. It is indeed also important to take measures in the Housing Act. The appeal to the cabinet is therefore to draw this as broad as possible, but since the Prime Minister has currently talked about that step towards municipalities on priority, that is the first step. To eventually get there, you do need to take some more steps. But let that be part of those necessary measures.
ParlaMint-NL_2021-03-16-eerstekamer-15.u107	I don't hear a question here, Mr. Van Hattem. You could have used your second term for that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u108	It's a matter of taking measures; I just indicated it. The call could also be for restrictions on immigration. That is what we are for, but I think that is what the elections are about. Then I would also like to table a motion in the second term, which is linked to the subject, but which is not on the rent. It's a motion to help buyers a little. We've known the grant exemption for a number of years now. Parents who have spared some, can...
ParlaMint-NL_2021-03-16-eerstekamer-15.u109	Your time is almost up, so I would suggest that you do so quickly.
ParlaMint-NL_2021-03-16-eerstekamer-15.u110	I'm gonna do my best. We would like to table a motion to widen or at least make the grant exemption fairer, because you cannot always use the maximum amount for old years. The: Mr Van der Linden, Mr Berkhout, Mr Beukker, Mr Van Wely and Mr Frentrop proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that since 2017, parents have been allowed to give €100,000 (indexed) tax-free to their children for the purchase, remodeling and/or renovation of their own home;]] [[Considering that for parents who only partially made use of this option in 2017 and 2018, it is not possible to provide additional support to their child in 2021 and beyond up to the maximum amount exempted;]] [[Whereas housing market conditions have since become more challenging, especially for start-ups;]] [[calls on the Cabinet to examine, before the Tax Plan 2022, how the system of tax-free donations of parents to children for the purpose of a purchase house can be adapted in such a way that parents who have only partially benefited from this scheme in previous years can still make an additional donation under the same conditions up to the maximum exemption,]] [[and goes to the order of the day.]] [[She's getting No. kst-35518-F]]
ParlaMint-NL_2021-03-16-eerstekamer-15.u111	So this is a little support for parents who want to support their children in that challenging housing market.
ParlaMint-NL_2021-03-16-eerstekamer-15.u112	Does Mr van der Linden realize that this arrangement makes it even more difficult for people who do not have parents who can give it to get a home? This drives the price up; we all know that. In a tight offer the price is determined by the providers. They can ask what they want. This is at the expense of those who, for whatever reason, have not been able to save.
ParlaMint-NL_2021-03-16-eerstekamer-15.u113	I don't see why that would be at their expense. I just suggested in the motion that it could be used for several possibilities for the home, for the relief of the mortgage and also for the renovation. So that bet is very wide. I don't think that's at the expense of other people.
ParlaMint-NL_2021-03-16-eerstekamer-15.u114	Perhaps you can check that again, but less than 5% of citizens have more than €10,000 savings at all. So 95% have no savings to give to children. And that 5% drives up prices, making it even more expensive to buy. Those are facts.
ParlaMint-NL_2021-03-16-eerstekamer-15.u115	Then I hear Mr Crone of the Labour Party actually say here that he is opposed to this grant exemption scheme. I can understand that politically. The motion, but I had to shorten the motivation a little because time was running out. That arrangement is now as follows. Did you use that for part of child one four or five years ago? If you want to do that again and if you haven't done that for the maximum amount, you can do it now for child two for the maximum amount and not for child one for that previous amount. We propose that we try to match that. We propose that we examine how to make that right, so that you can at least grant up to that maximum amount, just as you can do with a recent donation. So we're in favour of making that a little bit more honest, so that something you've done in the past isn't lost.
ParlaMint-NL_2021-03-16-eerstekamer-15.u116	Clear. Mr. Crone, last meal.
ParlaMint-NL_2021-03-16-eerstekamer-15.u117	Surely it can never be fair that a party says that 5% of people are going to get better and that they can buy even better houses at the expense of 95% that have to pay a higher price, because the market price is going to increase? You can never say that it is fairer and certainly not equal, as you keep saying.
ParlaMint-NL_2021-03-16-eerstekamer-15.u118	I think that Mr Crone should read the statement of reasons in the motion for a resolution again. What he is acting on here as the Labour Party, I think, is that there should be no grant exemption at all. I understand that, too. We differ politically on that.
ParlaMint-NL_2021-03-16-eerstekamer-15.u119	Thank you. I now turn to Mr Van Hattem of the PVV Group.
ParlaMint-NL_2021-03-16-eerstekamer-15.u120	Thank you, Mr. Chairman. I understood that the list leader of D66, Mrs Kaag, was not able to see it tonight in the election debate, unfortunately, but I did get some information about an opportunity crisis. That crisis of opportunity is something we see tonight in these legislative proposals, namely a crisis of opportunity for our tenants. There are too high rents, too high rents and too few homes for our Dutch tenants. Then I come back to what Mr Jan Latten, the former head of the CBS Democrat, said: the link between immigration and housing shortage is not structurally established. I would have liked to have seen a view of the Minister on that link between immigration and housing shortage. Because what we are seeing is, I have often said here that instead of housing people, there is still housing. We need to get rid of that. Otherwise, it's just not affordable and it's not possible to house our people. It also states that there must be an increase in rent, as one of the legislative proposals states, as an incentive to flow through. Where? What possibilities are there? As far as PVV is concerned, there must be a flow, but it must come from another sector. Then there must be a flow of status holders who are now housed here, for example Syrians who can safely return to Syria. They must be given an incentive to re-emerge to Syria, so that those rental homes can be released and we can house our people there again. For example, we also see it in the azc's. In Burgum, in Friesland, a complete residential area is being built for asylum seekers. Those are brand new, beautiful, large houses and our own Dutch people have checked. As an alternative, go to the azc Budel. That's 90 acres. Some 1,500 asylum seekers are now being received there. On 90 hectares, homes can be realized for our Dutch people, affordable homes, rental homes, where our Dutch house seekers can go. The same applies to the problem of migrant workers. Large-scale complexes are now being set up everywhere. Make sure that there is affordable construction for our Dutch tenants and especially lower the rents. Mr. Chairman. Which brings me to these legislative proposals. I have already pointed it out: it is actually too little there is now. Mr Kox may be very satisfied with the proposals, but as PVV we say: we really have to do everything we can to reduce the rents for our Dutch tenants. Because the rents have risen too much in recent years. People just pay way too much and way too much.
ParlaMint-NL_2021-03-16-eerstekamer-15.u121	This is an endless whirlwind, repeated weekly and in which groups are set against each other. You said just now by interrupting: we want to get rid of the reception of asylum seekers. I expressly distance myself from that. I find it unworthy, but you are bringing in a new aspect. These are the migrant workers, for which a large part of the economy is very much in need. I understand they can't be built for that anymore. What do you want? What are these people who do work here on invitation that other people don't like, sleep and live for? I find it scandalous how they are often housed, but you do not think they should be taken care of at all. Are you saying that the borders should also be closed to migrant workers?
ParlaMint-NL_2021-03-16-eerstekamer-15.u122	Since we are dealing with this Bolkestein Directive, this Services Directive, we have a perfide earning model. It's just that it's made way too easy to bring that migrant in. Indeed, Mr... er...
ParlaMint-NL_2021-03-16-eerstekamer-15.u123	Arrowman.
ParlaMint-NL_2021-03-16-eerstekamer-15.u124	... Pijlman "Sorry" "Sorry" "Sorry" says that conditions are often bad, but now office complexes are often converted for mass housing of migrant workers. There we can also place homes for Dutch house seekers. The biggest problem is that it undermines our economy, because we see large-scale XXL block boxes being placed in the landscape in places where houses can also be built. There, massively, often under poor conditions, migrant workers are employed. That doesn't contribute anything to our economy. Against far too low a reward, these people are put to work. This is simply not an effective way of building up a labour market and economy. That's what's bothering us. It costs us space, it costs us our economy and it also costs us a lot of trouble for the living environment. We can do that much better and more efficiently.
ParlaMint-NL_2021-03-16-eerstekamer-15.u125	Clear. Mr. Pijlman.
ParlaMint-NL_2021-03-16-eerstekamer-15.u126	Yes, it is clear: it is also over with the migrant workers for the PVV. They won't get in either. You should ask nearby in the Westland what the growers think of that, for example. Anyway, I get your point of view now.
ParlaMint-NL_2021-03-16-eerstekamer-15.u127	We can also use a lot of Dutch job seekers for this. That is much more efficient and better for our system. But again, we just need to make sure that our Dutch tenants are covered. If this is to be dealt with weekly, I will continue on a weekly basis, because every week people also run into too many and too long waiting lists for social housing in this country.
ParlaMint-NL_2021-03-16-eerstekamer-15.u128	Thank you, Mr. Van Hattem. Mr Crone from the PvdA Group has the floor.
ParlaMint-NL_2021-03-16-eerstekamer-15.u129	Thank you, Mr. Chairman. Thank you to both rulers, prospective executives, for their generous answers. I had asked in the group: can I say that I have known Henk Nijboer for a long time and that we appreciate each other and so on, or is that too personal? But luckily, he brought it up himself without me knowing, so now I have to respond. He made a mistake for a year, because I've known him a year longer. He was just a high school student back then. He said: I have to write a thesis on the Stability Pact; can I come visit you sometime? I was then financial spokesman in the Lower House. I always liked that. Then you sit for 15 minutes chatting about the content and another half hour and then you think: how nice! But I had to bring in all my knowledge of the Stability Pact for an hour, because he knew more about it than I did, which I can admit by now. Then I thought, "Oh, my gosh!" But it got much worse because of what he said then himself. At the Congress of the Labour Party in December 2001, Wim Kok had just said: I'm leaving in August. Then Henk Nijboer came up with a lot of departments behind him, young, enthusiastic and charming: that mortgage interest must finally be removed! The congresses always go down for young, enthusiastic people and he also had arguments. At that time, Melkert was the candidate for the list. Suppose Melkert had to defend this and lost. Chef's gone, Melker's on the bake and the mortgage interest's gone. That drama wasn't allowed to happen to the PvdA. Then I had to be 50 years old; I was no longer 18 against this young enthusiast. I only just won it, with a maximum of 20 or 30 votes difference. How much the world had changed, not because of 9/11 and the departure of Kok, but because fortunately this debate just ended well. Anyway, I really appreciate Henk and what he's been doing all these years since. Some people are an early talent and fortunately they have remained so for a long time. I therefore very much appreciate him, and I also support the draft law, following the great embrace of Mr Kox and others in this Chamber. This is a fantastic bill in which you see enthusiasm, quality and therefore even support throughout the Chamber, both here and on the other side. Of course, I appreciate that. He has also been very open and honest: actually there could have been more; what rate is good? Moreover, I do not think that rates close to inflation or anything up there are so crazy. You assume that a rental price is a market price and that you can adjust it annually to increase costs, because they are there for maintenance. This approach to inflation is quite normal in the market. It's not a normal market, but I don't think it's so bad. You can find everything too high, but then you might undermine the long-term development and quality of housing. So I didn't think it was that crazy. Of course, there are some backdoors. You still have those temporary leases, interim rent increases, the tourist rentals and Airbnb. There is no point system yet. There's no permit yet. Anyway, Rome wasn't built in one day. I think it is a very fundamental breakthrough that is being said in the Chamber: you must also have the courage to intervene in this private sector. I say, as a market-socialist, you have to be a market-master. The backdoors will be followed in the future. Now we are not getting any further, but once again very much congratulations. Today let the alderman in The Hague, Martijn Balster, have announced that he will introduce the following: no new housing in 23 neighbourhoods, a buy-back ban unless you are going to live there yourself, and a broad rental permit. And now let him come out of the same talent class as Henk Nijboer. The revolution begins again where it once began. I therefore very much appreciate this young, sympathetic applicant and his quality of support. The minister immediately said I knew her a long time ago. That's true, too. That enthusiasm is all over again. I wondered: can you actually withdraw that motion of censure? You can't arrest her because you already did. You can't move her in either. I'd say we put her in the closet. If you are going to tell your successor "I'm done, because she's in the closet, but if you're not doing well as a successor, they'll probably get her out in the First Chamber" we'll keep the tension in. But you're done; I totally agree. I said it myself in my first term: you're making a great finish, of course, because you're doing all the things you couldn't or shouldn't have done before, or you didn't want to, but the coalition has taken you hostage in. As a Houdini you have now freed yourself from the chains, by the way, in six cases helped by Henk Nijboer and others. So I would say: go together but that Minister of Housing will play in the next coalition. Divide the tasks somehow. I'm sure you'll get a lot of support from this Chamber. There are still a few questions to the Minister, but not so many. The Council of State has also said something about the sweet and sourness of the income line and the skews in a single draft law. That was not my point; that is what they have said. You do not have to go back, but I think I would advise my group to agree to this, because I think it is a little more important to broaden the income threshold for households. In principle, we are not necessarily opposed to crooked people paying a little more. It's a happy single sentence. It is a difficult balance, so I do not know what my group is doing, but perhaps it should be possible. The temporary rental discount, the rent freeze, is of course neatly covered with the BIK. Of course, Mr Nijboer and I, across the street and I, have also fought for this. We said: what kind of strange measure is that? I am glad that the VVD has finally admitted something at this point.
ParlaMint-NL_2021-03-16-eerstekamer-15.u130	Do you think about your time?
ParlaMint-NL_2021-03-16-eerstekamer-15.u131	Yes, Mr. Chairman. I'm almost at the end. What I still think is important: the Koerhuis motion will, of course, come back here in all respects. I hope the Minister heard me when I said: put on the table as much argument as possible why you dissuade it. That is what I mean in terms of content: what people have the disadvantage and benefit of this? I believe that the electoral parties D66, CDA and Christian Union will then adhere to their electoral programme and regret supporting that motion. Then they'll be free again, because then there'll be a new coalition. I want to conclude with that. Maybe I'll wake up on Thursday in the situation that this coalition is just gonna keep going. But Einstein said, if you do what you did, you get what you had. The last few weeks have been good, but I hope this coalition will say: let's bring Henk Nijboer in. And then you get the PvdA gift. Thank you for your commitment, both of you. We'll see. But at least we're gonna support this next week.
ParlaMint-NL_2021-03-16-eerstekamer-15.u132	Thank you. You referred, of course, to Mr Koerhuis' amendment. You said, "Movement House."
ParlaMint-NL_2021-03-16-eerstekamer-15.u133	Amendment.
ParlaMint-NL_2021-03-16-eerstekamer-15.u134	Yes, the amendment. Mr Rietkerk of the CDA Group has the floor.
ParlaMint-NL_2021-03-16-eerstekamer-15.u135	Thank you, Mr. Chairman. I shall begin with Mr Nijboer's own-initiative proposal. For the sake of clarity, I can go along with all the fine words that have already been said. Thanks for the answers, too. As a CDA group, we remain in favour of the initiative proposal and we will support it wholeheartedly. I would also like to thank the Minister for her answers. I'm going to ask you a few questions on one topic. This has to do with the implementation aspects, which we must examine here as the First Chamber. It is about the Climate Agreement and its impact in relation to these legislative proposals. In many places, housing corporations can already make tens of thousands of homes more sustainable, and I quote a number of things from the Climate Agreement on the condition that the monthly rent and the energy bill together do not increase. For example, tenants get a better home against the same or lower monthly expenses. In consultation with the Woonbond, agreements are made for all options regarding the guaranteeing of the residential expense neutrality for the tenants. In order to support, for example, heat grids, interested parties often aim locally for a good facilitation of tenants. On this basis, Aedes will indicate which part of these dwellings can be preserved within the financial possibilities and the indication of the housing corporations concerned, and for which part there is such an uneconomic summit that implementation is not possible. I think Aedes is talking to your ministry about this. The CDA Group notes that the Climate Agreement talks about removing this uneconomic summit: situations in which building owners face, without additional measures, the financing costs of the conversion, which are significantly higher than the savings on the energy bill. The CDA Group asks the Minister whether the legitimate restrictions on rent increases, this legislation, increase this uneconomic summit. Does the Minister consider it possible, if necessary, to extend the arrangements for the removal of these uneconomic peaks? In addition, the CDA Group concludes that the Climate Agreement indicates that Aedes and the government are engaged in further discussions on a part with such an uneconomic summit that implementation is not feasible, for example, that the removal of natural gas from homes does not succeed. Has that been discussed? And can you tell me about the results of that? Finally. The CDA Group notes that the precarious situation on the Dutch housing market................................................................................................................................................................................................. This is done through these legislative proposals. The CDA Group also believes that the agreements contained in the Climate Agreement on the sustainability of housing are of great importance. Could the Minister provide a more detailed explanation of the relationship between the agreements of the Climate Agreement, their implementation, and the legislative proposals in question? If so, when can we see it? Thank you, Mr. Chairman.
ParlaMint-NL_2021-03-16-eerstekamer-15.u136	Thank you. President. - I call the Group of the European People's Party (ChristianDemocratic Group).
ParlaMint-NL_2021-03-16-eerstekamer-15.u137	Thank you, Mr. Chairman. Build, build, build and live affordable. This will be one of the tasks of the new cabinet. If you look at the debate a bit from a distance today, you will see that the cabinet is increasingly intervening in an over-liberal market. And if you look over the past year, you'll see that most political parties have also moved on a huge scale. That's what you hear from the reactions, for example from the Minister. I hope that movement continues. As far as we are concerned, that would also mean that at least a large part of the landlord's tax should be removed, so that we can also give the housing corporations the impetus we all want to give. We are very excited about the housing impulse. You have just said that in the first tranche 60% was built for the people with the lowest incomes. In the second tranche, this has already increased to 67%. I hope we can look forward to the evaluation soon. Mr. Chairman. I thank Henk Nijboer for his fun and enthusiastic way of answering. I asked him what's going on. The temporary scheme is available for three years, but temporary arrangements also want to be established. He answered that question by saying that I had made a plea to secure it as well. But I didn't say that directly. After three years, I think it really depends on the circumstances. I could imagine it, but it depends on the circumstances.
ParlaMint-NL_2021-03-16-eerstekamer-15.u138	Do you think about time?
ParlaMint-NL_2021-03-16-eerstekamer-15.u139	Yes. I would ask the Minister to say that we too can receive the evaluation contained in the legislative proposal.
ParlaMint-NL_2021-03-16-eerstekamer-15.u140	Thank you.
ParlaMint-NL_2021-03-16-eerstekamer-15.u141	I answered earlier about the starting rents. I owe one more answer to Mr Crone. This is about the Koerhuis amendment. Was that wise? No.
ParlaMint-NL_2021-03-16-eerstekamer-15.u142	That was a clear and brief answer. Mr Raven of the OSF Group.
