ParlaMint-RS_2001-12-06-0.u14854	It's a business thing.
ParlaMint-RS_2001-12-06-0.u14962	The word has the People's MP Vladimir Dobrosavljevic, and next reported is MP Zarko Obradovic.
ParlaMint-RS_2001-12-06-0.u14963	Mr Vice-President, ladies and gentlemen of the People's Parliament, it is more than clear that today's parliamentary majority initiative to replace the president of the National Assembly of the Republic of Serbia is not about the president's personality, but about the moves that Mr. Martians has been making all these months. It's clearly another matter, which is, to say the least, a deal with former coalition partners. So, the shootout between the rest of DOS and the DSS. The real questions are: why is there a reckoning and what is the cause for such a thing? Of course, it has already been mentioned here that there have been programming, or conceptual differences that now require the withdrawal of the president of the Martians. But what kind of programming differences are these; that the Democratic Party of Serbia did not want to support certain legal solutions that it did not consider to be good enough. I'm one of the people who participated in the creation of a coalition agreement, along with the vice president of the DSS, Mr. Shami. There is no provision in that agreement in any single member that any coalition partner is obliged to support a legislative proposal that he disagrees with. There were clauses in which we were all obliged to support certain human resources that belonged to a particular political group. So it's the right truth about how he left a certain political concept. On the other hand, what's much more serious than one, so to speak, to a simple pre-election coalition agreement, because coalitions exist and coalitions differ -- today you can be in a coalition with one political group, tomorrow, by certain legal solutions or by a certain programming similarity, with another political group. The main problem is the non-compliance of the DSS to a kind of terror, to a kind of predisposition of the executive authority. What do I mean by that? You have one simple fact: that the executive authority, that the Government of the Republic of Serbia is at this point the Republic Parliament is too much of a burden - that it is an excess. You have a situation in which the government of the Republic of Serbia's policies are dogmatised, in the same way that during Mirko Marjanovic and while Slobodan Milosevic managed Serbia, national and state interests have dogmatised. Now we have another situation: to dogmatize the path to reform. It is claimed that the path the government of the Republic of Serbia has plotted, the only possible way to reform and the only possible travellers. If we don't go that way, we'll end up in Iraq, Iran and the Far East. Is that right, gentlemen? Yes, it is in the revolutionary consciousness of those who are drunk with power; those who have transferred the Jacobish convention to the National Assembly of the Republic of Serbia; those who would like their political opponents to see the guillotines here. Those who are drunk with authority, those who would love (and this time the DSS MPs) to see without a head, who like to threaten from this pay phone - not only the DSS, who see each of their political opponents in the way that the Jacobites saw it: either you are with us or you end up on the guillotine. I've taken seriously the threat from this pay phone. There is no other option, no other alternative power in Serbia, which, sooner or later, can be achieved by the majority of parliament at this time. So in one, very perfidious and mimicred, a way of saying what happened in the Irig municipality, which is not telling the truth. Ladies and gentlemen, in doing so, I apologize to the SPS MPs, I don't think anything bad about anything that has been done so far about their performances on local self-governments, to see who supports who in Backo Palanca; who is supported in Raska; who is supported in the Shop; who is supported by whom in the Caves? (from the hall - where is it) It is in Serbia, if you still know what Serbia is and what our country is. That's the real truth about who supports who. It's something else entirely. The key conceptal difference between the DSS and the rest of what he dares to call himself DOS is the next DSS does not want to accept that the government makes the Republic of Serbia a Balkan Colombia, with the spray of organised crime and political oligarchy. It's a key thing. The DSS sees Serbia in one single possible way -- as a developed European country, with a regulated legal system, with a market economy. Those who think Serbia is a place together with banana republics; that Serbia is a kind of protectorate that can do whatever it wants; in which there is no parliamentary control, in which the Constitution and laws are not respected; who want to make, as I said, Balkan Colombia of our country -- these people have the biggest opponents in the DSS. Ladies and gentlemen of the People's Parliament, let's not lie: the basic problem is in what all polls and all public opinion research show. 27% of the support of the electoral body, or citizens of the Republic of Serbia, belongs to the DSS. Thank you.
ParlaMint-RS_2001-12-06-0.u14964	The word is made by MP Zarko Obradovic, and then by MP Petar Petrovic.
ParlaMint-RS_2001-12-06-0.u14965	The respected presidency, fellow MPs, would logically be that the request for the removal of the president of the National Assembly that we are discussing today followed as a direct consequence of the responsibility of one of the DOS leaders for Serbia's overall poor condition and for the work of the Assembly, which is not the case at this time. It is about the conflict of parties within the DOS coalition over publicly stated claims of irregularities and theft when voting the labour law in principle. This issue was to be resolved within the DOS, not to be addressed by the Serbian Parliament. In Serbia, life is getting harder and harder. Production's almost gone. Unemployment is rising, prices are also rising, crime and corruption are present. A number of disintegration processes have been opened, legal and physical violence against DOS non-insectants is being applied. Other bad things happen. On all these negative phenomena and processes DOS shut up, doing nothing. It's all under the reform company and in the name of reform. It's all in the name of the people, but how things are and without the people, because it's hard for the people to endure the consequences of DOS policy. However, when it comes to DOS relations: mutual accusations, conflicts, calculations, when the DOS image is violated, then responds immediately -- assembly work is interrupted, and human and party issues become the most important state issues. This also confirms the DOS request to replace the president of the assembly, also the DOS candidate, in the middle of a debate on the Labour Law, and one otherwise bad law, but which DOS claimed to be one of the most important laws to be passed as soon as possible. How true those words were, they show yesterday’s and today’s dealings with human affairs and internal disputes. It would be logical for the president of the National Assembly to be removed because of the poor laws adopted by the Assembly and the devastating consequences of these laws among Serbian citizens. For example, tax laws establishing a number of tax obligations for citizens have been adopted - practically taxing everything other than air. The rights of unemployed persons and those who lose their jobs have been reduced, and the Labour Act, whose debate has been suspended, reduces the rights of those who work. The information law has been abolished. Serbia is placed under the media control of DOS. You can't read directly, see, anything that isn't in DOS policy or events in Kosovo and Metohija, about the terror of Albanian terrorists, about the 15-hour transfer of the Skender escape monument -- or anything else that is against DOS politics. The assembly has selected a large number of judges from the DOS party lists. The advantage was given to party criteria compared to professional ones. A party judiciary is being created. At the same time, a number of judges were replaced with a media hack because they were tried by law or because they refused to accept orders to operate according to DOS criteria. It would also be logical for the president of the National Assembly to be removed because of the Rules of Procedure on the work of the National Assembly, which has been changed twice, to two extraordinary sessions. Not only are the citizens' money spent needlessly for these extraordinary sessions but the amendments to the Rules of Procedure have violated the provisions of the Constitution of the Republic of Serbia on the rights of MPs. The essence of the changes, of course, were, it was -- it made it impossible for the opposition to step into the assembly and meet the public and citizens of Serbia with DOS policy. Logically, too, whether the president of the National Assembly of the Republic of Serbia was removed and because of what the Assembly did not discuss with the will of the chairman or the will of the assembly's majority. The assembly did not discuss the SPS request to form a survey board, which would determine all the circumstances related to the arrest and kidnapping of Slobodan Milosevic and, of course, the responsibility of the persons who did so. Slobodan Milosevic was kidnapped and extradited to the illegal UN tribunal, based on an unconstitutional decision by the government of the Republic of Serbia, and the Assembly is silent about it. The assembly neither discussed the situation in Kosovo nor Metohija in the evening of November's elections. The assembly did not confirm its position expressed through two adopted documents in May; that elections in Kosovo and Metohija should not be organised until all provisions of Resolution 1244 have been complied with, peace, security, the return of expelled persons, murderers, etc. The assembly did not discuss this through the will of the majority, through the will of the DOS. The assembly did not elect judges of the Constitutional Court of Serbia either. You know why. Not only would it confirm the unconstitutional nature of the adopted laws, but they would fall into water and a number of regulations, which are over 100, based on which the government of the Republic of Serbia is managing the country. The assembly did not discuss local theft in local self-government and the introduction of forced administrations in, now, 22 municipalities. What Serbian citizens think of it has shown local elections since 4 November, and the trust SPStada received. It would be logical for the president of the National Assembly to be removed. It's logical, but not according to DOS criteria. The request for the replacement of the National Assembly president came from the DOS, but as a result of the intra-DOS account, and across the back of the National Assembly of the Republic of Serbia. That is confirmed by the applicant himself. The argument found that the president of the National Assembly " has repeatedly violated the DOS coalition agreement". If he has done so many times in the congregation, why has the request for resolution just now arrived? What were you waiting for? Why was that kept quiet? So the president of the assembly worked badly, violated the coalition agreement, but was forgiven until the moment when it became a problem and a danger to the DOS. Then he should, of course, rescind it. It is also noted that it has violated the role of the president of the National Assembly and thus lost the confidence of DOS MPs. It is clear that the president of the National Assembly is identified from the DOS Politbiroom and that he is the first among the same. There is no place for anyone but DOS; neither for the citizens of Serbia nor for their interests. I must say that this event, this initiative, best shows how democracy is understood and applied within DOS. It was only when the DOS partners found irregularity and theft in the vote of one law, when it was seen to be bad for the DOS, because it shows it in a light that is unknown to the public, so when the image of the DOS is compromised, the procedure for the removal of the president of the Assembly is in motion. The intention is clear - to raise the public's attention and attention from the bad law and to direct the stealing in a different direction. Since the transfer request has only an intra-party character, it represents a conflict within DOS, we Socialists will not be part of this story. We don't want to get involved in it. DOS is our political opponent of all parties within DOS for us socialists are the same. If the request had come because of the poor work of DOS, we would have supported it. If it were a law of importance for Serbia, for the citizens, for their better lives -- we would, in any case, support it. Since it's a calculation within DOS, let's make DOS taste the porridge it created. Thank you.
ParlaMint-RS_2001-12-06-0.u14966	Here you go, Mr. Petrovich.
ParlaMint-RS_2001-12-06-0.u14967	Dear Chairman, please establish a quorum based on Article 95. Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14968	National MP Srdjan Petrovic asked us to determine the existence of a quorum. Please approach the quorum determination. I'm guessing we don't have a quorum. I'm taking a break for 30 minutes. [[After a break.]] I'm guessing we have a quorum. People's MP Petar Petrovic (the ambassador has given up) came forward. ) National MP Milan Radulović (not present. ) The People's MP Branislav Blažić (not present. ) (Employer Miroljub Veljkovic is asking for a word. ) The Rules of Procedure regulate how they participate in the debate, you have handed over the list now, but cannot get the word of a man who did not answer the word. There is a word from MP Zoran Nikolic (not present). He has the word National MP Zivko Selaković (not present). He has the word National MP Marko Jaksic (not present). There is a word from MP Miroljub Veljkovic.
ParlaMint-RS_2001-12-06-0.u14970	Dear People's MPs, in recent days, we have witnessed an unprecedented scandal, an unprecedented farce and, you can say, an unprecedented insolence in the Serbian Parliament. At first, we witnessed the theft of the votes of the MPs during the vote on the Labour Law. And now here we're distracting the public (even this Mr. Novakovic, who is now throwing) some videos -- and this is one video, this is another version. I invite Mr. Novakovic, if he's an honorable man, to come out here and say, "I was in the assembly and I voted," or I was in Athens. Then we attended the unknowing attempt of a part of the DOS to gain cheap political points, politics: I will -- I will not, I will -- and as a finale, we have this farce about the shift of the President of the Assembly, the Martian. We are also witnessing the petty political trade of these small minor strangers, who are using this situation. Here, look at this gentleman in front of me (shows Parliamentarian Marijan Risticevic), he has already sat down at the ministerial post, it is probably the personnel reinforcement of the new DOS, or the government of Zoran Djindjic. In one word, we are witnessing the breaking of a failed government. In the light of the request to replace the Martians, it is said to be changed for two reasons. First, because he does not respect the DOS coalition agreement. I answer briefly - should the President of the Assembly respect political arrangements or should he lead the country's largest legislative body? Secondly, it is being replaced because it protects (it is shown in reason) the party interests of the DSS. I also answer briefly because of the time you gave us - so did we, the Serbian Radicals, for months have not warned that Mr. Marsicanin was biased in the meetings of this assembly, except that his bias did not disturb Cedomir Jovanovic, who was fiercely defending him from this pay phone when he was biased, normally, in favour of the entire DOS coalition, etc. When Mr. Martian first acted as the real president of the assembly and wouldn't let himself steal votes, we're changing him. And now something very short on candidate for the president of the Republika Srpska Assembly, Mrs. Natasi Micic. This proposal by Ceda Jovanovic, I can tell you with responsibility, received Serbia with astonishment. With full respect, however, it is clear to Zoran Djindjic that she does not have the capacity to lead the most legislative body in the country. Perhaps some smaller meat community, but to lead the Serbian Parliament! However, since I am running out of time, there are two basic reasons -- one is that she is a member of the Civil League of Serbia: the other is that Zoran Djindjic needs chaos in this assembly, because he is mainly ruling regulations and is just about to rule regulations. He doesn't need the Assembly. Ambassador Marko Jaksic is asking for a word. )
ParlaMint-RS_2001-12-06-0.u14971	I called you Mr. Jaksic, indeed, there are other MPs who were not there when I called them. I can't apply two different arches. You're not in order, Mr. Jaksic. Mr. Jaksic, MP Dragan Tomic is coming. I can't understand, if you were there when I called you, why didn't you go out for a pay phone? Are you imputing to me that I have denied you the right to speak? That's not true. Come on, gentlemen, I'm really asking you to keep this session normal, I have no interest in denying anyone's word. But indeed, the Messenger whom I call and do not go out for a pay phone, I do not deny the word, he has denied himself. (Employer Tomislav Nikolic, from the place: Where does it say you're not giving him your word?) Mr. Nikolic, do you really think it should be written? The word is given by MP Dragan Tomic (not present). The next registered MP, Dragisa Djokovic (not present). ) (The People's MP Marko Jaksic is asking for a word. Mr. Jaksic, if you're advertising a breach of the Rules of Procedure, go ahead. Marko Jaksic, from the O.R., it's my turn. It's impossible to run the congregation like that, people, it's not in my interest to deny anyone the word, but we have to work normally. Mr. Dejan Michael's word.
ParlaMint-RS_2001-12-06-0.u14972	The Honorable Chairman, ladies and gentlemen of the People's Parliament, has always been a practice so far, that here many are calling for unwritten rules that apply in parliamentary life, so let's call ourselves, and see if you respect them. Of course you won't, and it won't be the first time, written or unwritten, but well, there'll be more to that. It has been a practice so far that when one of the MPs came out for some reason and he wasn't there, he went back to the O.R. to get his word. It's been a practice so far. I don't see that there's any reason for us to break that practice and procedure at this point, unless you care to hide from the public what you can't hide, to hide your shame from the public. Then you will try, surely, to keep this debate as short as possible.
ParlaMint-RS_2001-12-06-0.u14973	He has the word Mr. Cedomir Jovanovic.
ParlaMint-RS_2001-12-06-0.u14974	Mr. Vice President, ladies and gentlemen of the People's Parliament, as a motionor, I am pleased to listen to the course of this debate, and I will be pleased to hear any MP who is willing to participate in this debate correctly. If you think you're messing with us, as you did yesterday, don't expect us to support you in that. Make up your mind - whether you participate in this debate or not. Since you were not in the O.R. when you were called, you cannot use the right of an MP who follows the debate and attends the O.R. Take advantage of your time; but you are subject to the same rules that applied to all other MPs. Mr. Risticevic didn't get the word once, since he wasn't in the O.R. when he was called. So that goes for you, Mr. Jaksic, as well as for everyone else. The time of debate has been determined by the Rules of Procedure and that time can be used by other DSS MPs, but you can't, because you didn't want to take part in the debate [[Marco Jaksic: I have the right to replica.]]
ParlaMint-RS_2001-12-06-0.u14975	Guys, this is the Assembly. Let's act normal. It is not disputed that a man named has the right to a replica, but he cannot go out for a pay phone when he thinks of it. Before that, Mr Nikolic, before Mr Jaksic, whose right to the replica is not disputed, appeared. Go ahead and replicate, but don't act like one.
ParlaMint-RS_2001-12-06-0.u14976	Ladies and gentlemen, I know Mr. Jovanovic is in a hurry, he wants this to go as fast as possible. However, there is an old rule -- slowly, Mr. Jovanovic, we still have time -- I have the right to my discussion. I don't think there's any point in anyone stopping me. For these reasons, and for these initiatives, I must say here, it is not right, it is not correct to take a word from one MP. Why isn't it correct? It is not correct because we have had the opportunity to see how it is literally stolen publicly, to see that the MP who is in Thessaloniki votes in this assembly, and the MP who is nearby, has no right to vote. Have Mr. Novakovic come out and say if he voted or didn't vote that day. We all know that there has been an election theft, we all know that we caught a thief in the theft itself, we all know that Mr. Jovanovic was so boldly, cut off, in front of the cameras, publicly and loudly said that Mr. Novakovic was there. It is the future of Serbia, which needs to lead Serbia -- clearly, loudly, with lies to the end. There's an old Serbian proverb that says, "No one as big as a Turk doesn't lie. "I think I see some here who lie more and bigger than the Turks. But what's the point of the whole story here? The point of the whole story is neither Mr. Martian nor I, the problem is a coup against this congregation. Mr. Djindjic, with the help of his spokesman, the hero laughs, with the help of two of his jeeps, wants to, in fact, that same authority he made in the government to make in this assembly. That's the whole point of the story. The point of the whole story is to prevent an election that, we all know, should be in the spring. That's the point, actually. We have listened here to the trial not of Mr. Martian, but of Mr. Kostunica. Mr. Jovanovic, I got the impression, asked for the resignation of the president of the SRJ. So many heroes were angry, and he was angry, and he cried so much, and I thought, for God's sake, the Army would have to resign, he'd have to, as he went on hard. I think that's kind of the main point of the story. If it wasn't for Mr. Kostunica, you wouldn't be here. Under his name, you've become an MP. Literally, half of us in DOS wouldn't be here in this assembly, and that's clear and familiar to all of us. What's the point of the whole story now? A deal is being made with Montenegro, elections should be discussed and we need to strike in order to extend the elections for the next three years. That's the point of the story; neither is Mr. Marsican what he did wrong; nor are the elections in Kosovo itself. I admit publicly and loudly - I worked and was against the elections themselves in Kosovo. (President: Mr. Jaksic, time. ) But I don't see that Mr Jovanovic has been much for Kosovo, nor has Zoran Djindjic called much on Serbs in Kosovo to go to elections. Believe me, if the party hadn't heard Mr. Jovanovic's attacks on me and automatically, the booze would have changed its mind. As soon as Mr. Jovanovic attacked me, people realized there was no need to change me. (President: Mr. Jaksic, time, you've been talking for a minute longer. ) The point of the whole story is that Zoran Djindjic is holding everything in his hands: funds, government, police, courts. What else is there? There's still time for the Assembly to be taken over here. That's the whole point of the story. For these reasons and for these initiatives, I think we've misdirected this debate. It's not right, and I don't think there's any way to determine. (President: Mr. Jaksic, time. Please finish. You've been talking for almost two minutes longer. () In the very end, we have the opportunity to see what our future is like. Did we change the crime until yesterday or until now? Are we going with the jeeps? (President: Mr. Jaksic, speak for more than five minutes. Please finish. ....... from the time of Marko Milosevic, I think they only have another name in each other's head of Parliament. Is that what DOS was fighting for? Is that what it is that a man who literally doesn't have a day's work, that literally... Mr. Jaksic, you're putting me in a position to... I thank you. Bon appétit.
ParlaMint-RS_2001-12-06-0.u14977	The word is Mr. Nikolic, according to the Rules of Procedure.
ParlaMint-RS_2001-12-06-0.u14978	Ladies and gentlemen of the People's Parliament, you know that after this indignity, we have a draft labour law waiting for us. I'd ask you to work harder, not to leave the O.R., to maintain the quorum so that we can work all the way. (Alexander Radosavljevic: To the eggs. That's your education, young fellow. But you can't deny any MP the right to speak, even if he wasn't in an O.R. at a time when he was alive. The parliamentary group has a certain time to debate in principle. The MP's group has sent you a list, has the right to change it ad hoc. I told you, Mr. Sabic, that not at that time would be said by Ambassador Blažić, but Mr. Veljkovic and you should respect it; or to find me a provision by which the Rules of Procedure cannot happen; or to find the provision of the Rules of Procedure by which we would obey Mr. Jovanovic's order, that this MP no longer has the right to speak at all if he was not in the hall at the time of his appointment. With DOS coming to power, much has changed in this House. The Rules of Procedure are consummated, Members' rights are narrowed down to maximum. You are now sitting in that chair for half an hour and already narrowing down what has already been narrowed enough. So please don't step on the Rules of Procedure. The MPs of the SRS will speak in order that they have reported, if they are there. After half an hour, we were ready to continue the session, and we waited another hour for you to make amends. Now you're asking us to sit in the O.R. and wait for you to count to 126. Have an understanding for each other. One more thing, you haven't called an Arsic MP at all. Now I should say that you no longer have the right to hold a session of the Assembly, because you skipped one of the SRS MPs. Mistakes happen. So please, all the MPs of the SRS will get their word or we'll make a scandal.
ParlaMint-RS_2001-12-06-0.u14979	There's no reason, Mr. Nikolic, to make a scandal. First of all, if you've already advertised a breach of the Rules of Procedure, you should have pointed out to me which provision of the Rules of Procedure I violated. (Tomislav Nikolic: Article 89) That's not true. We can read it together, and we'll find out I didn't hurt her. But independent of that, the main remark was to deny someone the right to speak. I didn't call Mr. Arsic because he didn't get his turn. In fact, Mr. Alexander Vukitch asked for a change in time. (Tomislav Nikolic: How could you Blazic before Arsic? Because it's on the list that I got so listed. I have a list, we can compare it. (Tomislav Nikolic: What does it say under number one? ) See for yourself the list. I'm using the list I got. See for yourself what you have submitted as a list of debaters. The wolf made a replacement with Arsic and that replacement was made. That's how Mr. Wolf got the word. Mr. Arsic will get the word. As for the possibility that an MP can speak whenever he thinks he can go into town, come back and look for a word, I don't see what the Rules of Procedure is based on, and I think you're imputing me to take anyone's word away. You want to vote whether the provision of Article 89(4) has been violated. Rules of Procedure? No, I don't. I'm really trying, Mr. Nikolic, in a rather painful situation. The word has a folk MP Dragisa Djokovic, followed by Bozidar Vujic.
ParlaMint-RS_2001-12-06-0.u14980	Ladies and gentlemen of the Parliament, I'd start with the words of a great thinker who says - I don't agree with what you think, but I'll fight to the end to say what you think. Mr. Shabic, I know you're in a very awkward position, you're in a difficult situation, and please allow all the registered speakers to receive a word. The other thinker said - the merchant lies to you with laughter, the woman lies to all the tears by diving, no one lies big to the Turk. Today these gradations and these combinations could get some other entities in that comparison. So don't get upset, don't eat. This is where you know who's lying and who's lying and who's stealing. Our superior from Thessaloniki, this handsome man, reminds this gentleman that it is his duty to go before this congregation, to honor and to say with honor: how he flew it; how he rode these celestial spaces and how he arrived; let the citizens of Serbia see it. Unfortunately, this gentleman is the mayor of Novi Sad, the capital or the first city of the Autonomous Province of Vojvodina. However, it may not be a shame to know what kind of speaker the Vojvodina has; then it is even more embarrassing. I just didn't come out here to be a lawyer or to defend Mr. Dragan the Martian. We have nothing to defend him from, and we haven't heard a single argument here from anyone who was a proprietor or a transferor. I know that Mr. Mark Jaksic's transfer coordination centre request came from Brussels; I don't know where this request came from, but we'll find out. So I'm going to tell you that simply instead of being quiet, you nod to your heads, come out, gentlemen, say the arguments, tell the facts. Don't be nervous, don't be impatient, just the facts don't add up. I'll tell you what's the problem here, what the Assembly did and what it was supposed to do. Some jobs have been done by the government. The resolution proposed by the Government to the National Assembly No. 10-3852/2001 of 4 May 2001 and the Declaration on Kosovo is signed by Zoran Djindjic magnificently and, among other things, says - the additional disturbance of citizens has introduced the opening of customs checkpoints at the administrative border of the Autonomous Region of Kosovo and Metohija and the rest of the Republic of Serbia. This is another act that violates Resolution 1244 by UNMIK's administration in the AP Kosovo and Metohija, creating an artificial economic barrier between the AP of Kosovo and Metohija and the rest of the Republic of Serbia. It goes on to say -- we are giving full support to citizens' resistance to these harsh procedures that violate Yugoslav customs regulations and tax regulations of the Republic of Serbia. A particular problem is the creation of a legal framework for Kosovo's temporary self-government. The basic text made in UNMIK does not provide a elemental guarantee of the protection of the rights of national and ethnic communities. Albanian representatives in the task force are asking for more than that and pressured international experts. The declaration the Serbian government also proposed to this assembly for adoption, and we adopted it on 31 May, says -- the competent state authorities need to give co-operation with UNMIK and the OSCE regarding the consistent and comprehensive implementation of Security Council Resolution 1244 and this declaration. You know what declaration I'm talking about. Furthermore, the government of the Republic of Serbia undertakes to lead a policy of strengthening Kosovo and Metohija's ties with other parts of Serbia in order to preserve the sovereignty and integrity of the Federal Republic of Yugoslavia in line with that resolution. In particular, it points to the active government... (Dragisa Popovic, from the scene: What is the dispute? I'll tell you, sir, you don't care about Kosovo. You took three billion marks or dollars at the Paris Club to write off your debt. It goes on to say -- especially to the activities of the Government of the Republic of Serbia in the areas of education, health, traffic, trade, finance, culture and state administration; and what is controversial, the government is asked to submit regular monthly reports to the relevant assembly committees on Kosovo and Metohija and what the Government of the Republic of Serbia has done. I haven't seen a single report, nor has any committee in charge seen it. That's what's controversial and what's painful for you. It doesn't affect you, you want to decomposition through the change in Serbia, break it down, rip it apart as you wanted. As for anti-camping in Kosovo and Metohija, a boy who doesn't have a day of work, the chief defender of the labour law, but I don't know where he was doing it and what he was doing, assured us that the Democratic Party of Serbia led the anti-campion process. If the Democratic Party of Serbia had led the anti-campion campaign, you know what percentage of votes would have: zero, you're so popular and so much to gain. The people won't vote for your candidates. Your biggest antiquity was your list, your Rada Radical and your company. That's your biggest anti-reclave. The people of Kosovo Mitrovica will not vote for your candidate who says -- the people of Kosovo Mitrovica is criminalised. Is there anyone normal in this country who can tell all the citizens of one city that they're being criminalized? It's your biggest antiquity, your problem, it's your situation. I don't know what or how you did it. You know who voted for yours as well. In your campaign came MPs of a party I don't want to mention at all, so in the Serbian village of Suvo Grlo they argued with peasants; they said Serbia is a poor country, that it can't help them anymore, but they have to go to elections, so Pristina will give pensions, salaries and everything else. The way Pristina gives, you can tell. Therefore, gentlemen, you can do whatever you want. You can't go as far as you want. Nobody burns till dawn.
ParlaMint-RS_2001-12-06-0.u14981	Here you go, Mr. Nikolic.
ParlaMint-RS_2001-12-06-0.u14982	In order not to be later, the livers were fighting over the mother-in-law, that boss of Hekerup's MP group you mentioned, that Radu, that's what you said to the radical, we chased that bastard out of the party two years ago, and now he's in the Demochrist Party.
ParlaMint-RS_2001-12-06-0.u14983	The word has a People's MP, Bozidar Vujic, and the following is a registered MP, Stevan Z. Guduric.
ParlaMint-RS_2001-12-06-0.u14984	Ceda Jovanovic says there are two motives that drove the DOS to seek the removal of the Martians, also from the DOS. He explained the DOS's detailed motivation, elaborated and we understood then from the Serbian Radical Party how your pots are pounded on the same stove - NATO stove. The third motive of the Chedo-DS was apparently caught in the theft. The spirit of Thessaloniki has been released. By accepting that fact and hiding it, the DOS decided that lies and theft would be a measure of value, and they found satellites from the rest of the DOS. But, behold, miracles, they found true lovers in the opposition party, who, as an opposition, votes to you from DOS and government and budget. Well, good partners are found - according to the saint and the troupe. This today, apparently, is an act of force, a demonstration in this way depicted: arguments of force over force of argument. We Serbian radicals, through our request of October 22nd, presented all the force of the arguments for the removal of the president of the Assembly.
ParlaMint-RS_2001-12-06-0.u14985	Mr. Guduric, here you go, and after Stevan G. Guduric, the word has been made by MP Dusan Budishin.
ParlaMint-RS_2001-12-06-0.u14986	Ladies and gentlemen of the People's Parliament, for the first time I've come to the test for this pay phone to keep my mouth shut because I think that the way that you in DOS are stealing from each other, that's where we in the opposition can't add God knows what. It's your best election campaign for future time. They talked about this pay phone today, and even before, how someone had destroyed your business before you; they destroyed it by imposing sanctions, so when it wasn't enough, then your friends bombed it; so when it wasn't enough, then you'd sell it to one-party commissions. Thus, the tender commission for the sale of Beocinski cement factories, consisting of Šumarac, Cvetkovic, Djukić or all together, has a common denominator - Zoran Djindjic, who said in May after his visit to Paris, that the Beocinska cement factory was sold to Lafarža; so you have selected the consulting houses accordingly, which will listen to the tasks that you otherwise want to carry out. Also, you've given great experts to run the Agency, and someone has said these days that they're all smart professionals, experts; the only flaw they have so many years that they haven't been able to shave yet, so we'll look like we'll be in a situation in Serbia that the balavanders, who still don't know how to wipe their noses and what mom leads across the street...
ParlaMint-RS_2001-12-06-0.u14987	Mr. Gooduric, take care of what words you use.
ParlaMint-RS_2001-12-06-0.u14988	There's no other way to say that. My Boba is 11 years old and he's a balavander, and they have a little bit more, so they fall for it. They're going to sell out what they've never created in person. Go to the Agency and see what good experts look like. As for this, why there is no Constitutional Court in Serbia, which would be the gato. The constitution is not respected, it is politically decided who will go to which court and who will be tried. We heard Mr. Jovanovic say -- a political decision to send there and there. That flag that you're missing at Isriver, when they put out the price it costs, there's only one problem with that -- you won't be the authority to pay that price you deserve. Cheda used to say here that he was bitterly opposed to his enemies, and I thought we were political insolent, at least until we were in opposition. It turns out that Chad's position, in fact, is the DOS's position, because prisons are full of political opponents. So, then we have to talk about some bitter enemies; you just have to know that no one's burned until dawn and that the situation can change because we heard one more thing, another evening than Mr. Marsican: if Mr. Batic confessed, he would be where those who confess will be. She's closest to Mitrovica, and maybe she's got some closer apps. I just don't know how you think you're very good at introducing yourself to Serbia; when a few days ago this pay phone was a row where two goats crashed, the attitude of DOS forces showed Serbia and what it really was. I'm sorry, it's folk talk, and it was Mr. Chad you and Mr. Michael, since you were here explaining who was introducing crisis headquarters, who was going in, which is and how. What's DOS interest? Is that what someone said -- hand in someone else's pocket; officers who play with MP cards and play messengers? Maybe Mr. Janjic's famous cat was doing it too; whether a cat ate a tongue or stole a card out of his pocket, I don't know, someone has to make it clear. So it's possible that this cat is guilty in this whole situation. As for who in the coalition, thank you very much, we do not need any of you; and the 19th DOS member at this time (Cado, listen to who your 19th member is) that was very clear, and only some may not have noticed, it is the Party of Serbian Unity, because only the position of the vote for the government's election. I don't know how else to explain it, they might now be an extraordinary 18th place, because these guys are about to drive them out. The people on November 4th, at that first training, said how much they believed in you. You're worth a third, and maybe not that much. This percentage is very small to wag and boss Serbia and it can't last long; you can try what it all looks like, that only then the price is very high at the end of the story. You were saying that the Labour Act is the most important thing, the key thing, without it being in the world, and it turns out that it's much more important than kicking Mr. Martian, while the law doesn't matter, it can come on the agenda in a few days. Then Chad gave us a letter as to how all this was to end, not to go to lunch; a man had a throat, went to wash it, and one two or three hours were gone. When you ask us to sit here, then, sir, stick yourself there and you sit with us; when you're looking for someone not to go to lunch, and yours are careful, so they didn't give the quorum, they all went to lunch together. And just one more thing in the end, you were talking in the election campaign, and not only then, as you have saved all the reform laws, only to win power and at the same time adopt them, and you only forgot that one of your coalition partners, gentlemen in the DOS, had prepared regulations at the same time that will rule, and you and the laws are not interested in him at all -- Mr Djindjic. So you're going to have to end this situation on your own, that's your house, DOS, there's 176, and inside you do whatever you want; so when you're done with that story, then you're going to sit down with us here and work on it, but anyway, I don't think it's going to take long.
ParlaMint-RS_2001-12-06-0.u14989	Here you go, Mr. Janjic.
