ParlaMint-BG_2020-11-27.u1	Hello, colleagues who are remotely involved in the meeting! Anna Alexandrova?
ParlaMint-BG_2020-11-27.u294	Thank you, Mr. Danchev. You have the floor to answer, Mr. Deputy Prime Minister.
ParlaMint-BG_2020-11-27.u295	Mr. Chairman, Mr. Danchev, Mr. Ivanov, ladies and gentlemen of the National Assembly! In such a question, I am unable to answer you in the short time that I have in this parliamentary procedure, because everything that has happened in the area of EU funds over the past few months cannot be inserted within a few minutes. I feel two nuances in the question or sub-questions why changes are required in relation to the previously announced negative annual work programmes and schemes and the question of greater flexibility given to the managing authorities, especially the time periods of their implementation. Firstly, during an emergency situation, when the nature of the needs is changed and the long-term priorities remain valid, but the main task is to support those suffering either from the pandemic or from its economic consequences. The European Commission itself has not only authorised the reprogramming of existing operational programmes, but also the relocation of funds not only from an operational programme to another operational programme, but something unheard of so far, even moving funds from fund to fund. And it was done. Bulgaria may have been one of the countries that reacted the fastest. Nearly 1 billion. lv. were reprogrammed at the beginning of the pandemic, with the accumulated resource of all other operational programmes being invested in two instruments................................... which had the task to meet, so to speak, the first negative effects of the crisis. Here I include the measures for additional support of medical staff, which is continuing at the moment, will continue from the beginning of 2021. it is sufficient to repay the work of doctors and nurses, but I am convinced that this additional funding is appreciated. Here were all the additional measures related to the food provision of the population. At the expense of the ODA, the entire spectrum of protective clothing items, medical equipment that helped us in the first months to equip our doctors, nurses and hospitals, to be more prepared, including what is happening at the moment. And, of course, schemes to support business. There's a few of them. You know, the micro-enterprise scheme, the medium-sized enterprise scheme. The micro-enterprise scheme deserves interest because this is the first time that the system of distribution of European money has been opened to virtually all those who have stated the need for funding. There's no candidate who meets the requirements who's not funded. A special scheme was organized for the companies in the transport sector, a special scheme in the field of tourism. This will continue as long as necessary within the available resource. When we talk about a period in which our country is actually located at the border between two programming periods, this 2014 " 2020" begins, it is not entirely correct to talk about canceling schemes. The exact term is "delaying" and it is a few months away. Because a scheme that will not be announced now could either at the expense of REACT-EU or at the expense of the next programming period be announced in a few months, and we take advantage of this flexibility. There's no firm that's bankrupt that hasn't applied yet. On the occasion of your request for the action of art. 21 and the time period of § 51a do not think there is cause for concern. The texts in art. 21 give greater authority to the managing authority to be more flexible and faster. In this sense, its temporal application until 14 July is adequate because all schemes, including those I comment, have taken place during this period. In order to get ahead of your question why it was necessary later, with another legislative amendment, figuratively retroactive, to sanitize this period, and not to raise such questions. Thank you.
ParlaMint-BG_2020-11-27.u296	Thank you, dear Mr. Donchev. Mr. Ivanov, you have two questions.
ParlaMint-BG_2020-11-27.u297	Dear Mr. Chairman, honourable ministers, honourable colleagues! Dear Mr. Donchev, I listened carefully. Within five minutes, you could have quite synthesizedly given us an idea of what the government's policy is in the spending of these European funds, that is, the redistribution of them to overcome the effects of the CIVID crisis. Unfortunately, I felt like a lecture student who was being explained something he didn't understand. But you understand the difference that we ask the questions here, you answer the questions there is little difference. The additional questions I'm going to ask you are in relation to what we're asking at first and we're not getting an answer. First of all, I want you to answer me............................I think you have time, to what extent and in what volume these funds you have answered us here in writing, because you have answered us in writing on a previous question, have come to the extremely needy? And the second thing I would like to ask you, and you hinted at your statement, why exactly did we have to adopt this amendment in § 51a of the Law on Measures and Actions during the emergency situation so that the Law would go retroactively three months ago? What happened in those three months? Were money spent in violation of the Law, did anyone miss, did you sleep that moment, any employee woke up at the last second? And have our European partners been informed of this, because such a drastic retroactive act of law we have not seen, particularly related to spending money, and European ones? Not only us, but the media and Bulgarian citizens are interested, because the question that comes to us in this direction from the companies is: why do not the funds reach us? He's very reasonable, and we want you to give us an answer.
ParlaMint-BG_2020-11-27.u298	Thank you, Mr. Ivanov. You have the floor to answer, dear Mr. Donchev.
ParlaMint-BG_2020-11-27.u299	My lectures start in the second semester. Anyone interested should feel invited. I think with respect to § 51a, I have clarified the subject, there is no legal vacuum. The provisions of art. 21 refer to the actions of the managing authority and give it additional powers relating to greater flexibility. In this sense, this process ends with the announcement of a grant scheme. It is irrelevant to the conclusion of administrative contracts and to their subsequent implementation, i.e. there is not even a crumb, a speck of legal uncertainty for anyone in contractual relations with any managing authority. As I tried to explain in the short time before, the policy of the government in the crisis use of EU funds is related to the difficult exercise to preserve the traditional priorities described in the Partnership Agreement described in the relevant texts of the operational programmes and to implement sufficient, adequate anti-crisis measures. Yeah, that's a tough challenge. Fortunately, we have an accumulation of opportunities at the end of this and the beginning of next year and from national mobilisation. I'm not just talking about the government here, it depends on whether we can take advantage of all the possibilities. We have a programming period that ends 2023 under the M+3 rule; we have a new programming period that starts next year; we have the instrument for rapid support, called REACT-EU, worth 1.3 billion, which we expect at least as a rate of recovery from the European Commission to start at the beginning of next year; we have the Recovery and Sustainability Plan, which we have the ambition within a month of a month and a week to be as a final version presented to the European Commission; we also have the Fund for a fair transition. These are all instruments that, apart from qualitatively and quickly, need to be invested in the next few years. From the adequate mobilization of everyone, not only of the government, but also of companies, of municipalities, it depends on this resource to be quickly re-established to results. As for the question from the Chamber.. which has reached whom, if you have information about someone who has applied and is dissatisfied with the result, please present it to me. I would like to remind you that the scheme 3/10 "Liquid support for micro enterprises is the first of its kind scheme, where all interested parties, those who meet the requirements, received funding. It's a new logic of allocation of funds. This has never happened before. Until now, the allocation of funds has been done through a complex procedure - evaluation by criteria, burdens, a very long administrative process. Encouraged by the attempt in a few months to distribute funding to 20,000 companies, I have the ambition to apply this attempt in the future to finance for all who meet the requirements without a competitive procedure. Interestingly, despite the logic that was acting at European legislation level, the whole package of regulations that is applicable, the experts from the European Commission are impressed by our experience and we will probably get the necessary flexibility to implement similar schemes in the future. Thank you for your attention.
ParlaMint-BG_2020-11-27.u300	Thank you, dear Mr. Donchev. Mr. Danchev, are you taking treatment? Here you go.
ParlaMint-BG_2020-11-27.u301	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Deputy Prime Minister, what we also find from your reply is that decisions to grant grants under simplified rules have been taken without regard to the needs of the specific sectors, companies and persons affected by the CIVID crisis, but rather on the principle: give, so as not to say that we are doing nothing or driven by the motive to absorb some funds. By the way, a similar approach to planning the funds that will be spent within the next generation of the European Union and the Recovery and Sustainability Mechanism, including REACT-EU, we see now. And that is why we have called on you several times to submit this plan to the National Assembly. At the very least, there is a committee here dealing with the control of European funds. There is another committee, which the National Assembly has forgotten, a temporary committee to control the costs that are being made in order to overcome the consequences of the CIVID crisis. Accordingly, we notice that the effect of such actions on, so to speak, the planless work is just turning around some funds left and right, it is loudly advertised that the government is doing something for the Bulgarian economy, but obviously the effect is not great. The second, however, is probably also related to the legality of the actions carried out by the managing authorities, the time for which the grant reaches the beneficiaries. And here in your answer we also find a superficial information. By the way, for the procedures referred to just now by you, to the extent that your written answer to the current question that we have asked, for three out of four of the procedures presented in your reply, including the support of tour operators, the support of the transport sector, the aid has not yet reached those in need. Nine months after the start of the crisis and almost six months after the loud announcement of this aid! In other words, I can say boldly that the government lied to the Bulgarian enterprises by promising them in March this year that by the end of 2020, the economy will be supported by 4.5 billion with various measures.
ParlaMint-BG_2020-11-27.u302	Thank you, Mr. Danchev.
ParlaMint-BG_2020-11-27.u303	I'm finishing the sentence.
ParlaMint-BG_2020-11-27.u304	We're waiting for you.
ParlaMint-BG_2020-11-27.u305	Thank you, Mr. Chairman. And it turns out that once the working measures were only two and the Bulgarian companies received about 1 billion. BGN, which ranks last in the European Union on the funds provided to preserve economic activity. Thank you.
ParlaMint-BG_2020-11-27.u306	Thank you, too. Thank you for participating in the parliamentary control, dear Mr. Donchev. We continue with questions to Minister Angelov. Question from the MPs Georgi Yordanov and Ilian Timchev regarding the provision of vaccines under the conditions of a pandemic with the CIVID-19. Mr. Yordanov, you have the floor.
ParlaMint-BG_2020-11-27.u307	Mr. Chairman, Mr. Minister, honourable colleagues! The issue of vaccination and use of this method in relation to the pandemic with the COVID-19, of course, that excites the whole public. For now, at least from the media reports, the issue of creating and developing a vaccine is indefinitely in the future. It is mentioned about six projects in the territory of the European Union, the UK and the United States, two vaccines in Russia, India and China, including our colleagues from the At the same time, a press release came out that you were discussing within the Council of Ministers an obligation to provide a common order for the delivery of vaccines to all EU countries distributed in some way. As it does not become clear exactly what type these vaccines are of, but it becomes clear about their number of 13 million, which caused a lot of amazement, provided that a year ago the mandatory Immunity calendar of the Republic of Bulgaria was executed with 120 thousand vaccines, and in the last five years we have had difficulties with providing enough vaccines. Under the conditions of a pandemic, the figure of 180,000 vaccines, which you have planned, or the Ministry with your predecessors, was mentioned, so 13 million vaccines, whether they will be administered twice, are quite high, and worth somewhere between 300 and 500 million. BGN, which is also an extremely high price. I would like to ask you a question for more clarification on this issue. Thank you.
ParlaMint-BG_2020-11-27.u308	Thank you, Mr. Yordanov. You have the floor to answer, Minister.
ParlaMint-BG_2020-11-27.u309	Mr. Chairman, ladies and gentlemen of the House! Dear Associate Professor Yordanov, Dr. Timchev, regarding your question to the Ministry of Health, I inform you that the Law on ratification of the Agreement was published on 11 August which empowers the European Commission to propose to the participating Member States and to conclude, on their behalf, preliminary agreements for the purchase of vaccines with their producers in order to provide Member States with vaccines in the fight against the pandemic COVID-19, published in the State Gazette. The Commission shall be empowered to In implementation of the Law by Decision No 841 of 20 November 2020 of the Council of Ministers is proposed to the National Assembly to approve the participation of the Republic of Bulgaria in the preliminary agreements concluded by the European Commission and the manufacturers of medicines - Astra Zeneka, Sanofi, Pfizer, and Biontech............................................................................................................................................................................................................................ Information will be provided to the National Assembly on the course of the negotiations in implementation of the Agreement on the planned possibilities for approval and delivery of vaccines with the respective forecast deadlines, as well as information on the contracts to which the Republic of Bulgaria is currently involved. It should be borne in mind that at present there is no vaccine that has passed all phases of clinical trials and is approved for use in the European Union, given that the inclusion of the country in a preliminary agreement allows more access of the Bulgarian citizens to the vaccine against the new coronavirus. In conclusion, I inform you that the Ministry of Health has taken action to draw up common national rules and guidelines for vaccination of risk groups in the population, including the storage and transport of medicinal products, the provision of medical devices for their implementation and scope, these are the risk groups of the population, a mechanism for covering risk groups of health professionals, general practitioners, doctors and others to meet national needs and, at the same time, to meet European guidelines and recommendations with a view to establishing a synchronised European vaccination strategy. In conclusion, I would like to inform you that the Bulgarian Government is extremely important when vaccines are registered in the European Medicines Agency, all types of vaccines that the government will approve under the European Commission will be applied in the territory of Bulgaria free of charge and voluntary for all Bulgarian citizens. Thank you.
ParlaMint-BG_2020-11-27.u310	Thank you, Mr. Secretary. Mr. Yordanov, you have the floor for a line.
ParlaMint-BG_2020-11-27.u311	Dear Mr. Chairman, colleagues, Mr. Minister! I didn't actually get an answer about the number of vaccines and their value, obviously, that you didn't want to specify things. However, I would also like to add one more question: how do you assess the agreement reached with the European Union to drop legal protection in case of complications or adverse reactions due to vaccination with vaccines that you mentioned earlier?
ParlaMint-BG_2020-11-27.u312	Thank you. Mr. Minister, you have the floor for an answer.
ParlaMint-BG_2020-11-27.u313	Mr. Chairman, ladies and gentlemen of the House! Dear Associate Professor Yordanov, I have clearly and accurately said that information will be provided to the National Assembly on the course of the negotiations in implementation of the Agreement on the planned possibilities for approval and delivery of vaccines with the corresponding forecast deadlines, as well as information on the contracts to which the Republic of Bulgaria is currently involved. The Members of the National Assembly will receive all the information in question at the moment when all documents enter the National Assembly and such a meeting of the National Assembly is scheduled. There you will have the opportunity to ask your questions and get detailed information from me about all the facts and questions you ask.
ParlaMint-BG_2020-11-27.u314	Thank you. The next question to Minister Angelov is from the MPs Evdokia Asenova and Anna Slavova regarding access to examination and testing of patients with proven positive PCR test for COVID-19 during their prescribed mandatory isolation. Here you are, Mrs. Asenova.
ParlaMint-BG_2020-11-27.u315	Dear Mr. Chairman, honourable Members, Dear Mr. Minister! We live in the conditions of the so-called second wave of the spread of the coronavirus, and although we have had enough time to react, we remain with the feeling that the management of the crisis does not give us security and peace. The number of people infected is increasing, our health system is collapsing. This has required stricter anti-epidemic measures from this evening. Any citizen with a proven positive coronavirus test shall be subject to domestic isolation within 14 days. In the meantime, his health should be monitored by his personal physician. Practice has shown that this is not always enough and effective, where people resort either to self - treatment or to hospital treatment due to complications. My question to you is this: do patients who have a positive PCR test have access to an examination by specialists and studies during home isolation? Is there a special protocol for this? Thank you.
ParlaMint-BG_2020-11-27.u316	Thank you, Mrs. Asenova. You have the floor to answer, Minister.
ParlaMint-BG_2020-11-27.u317	Mr. Chairman, ladies and gentlemen of the House, Mrs. Asenova, Mrs. Slavova! I can't agree with you, with the statement you're making that the health system is collapsing. The health system doesn't collapse. For the last three days the cured patients from the health system of the Republic of Bulgaria are as follows: 1876 cured; 2518 cured; 2255 cured so that the health system works and gives this result due to the work of doctors, nurses, first-line nurses who are 24/7 at their jobs since March, so I do not accept as a fact what you say. As regards your question, a number of anti-epidemic measures have been introduced by order of the Minister of Health, as well as criteria for determining persons subject to compulsory hospital or home isolation in laboratory confirmed cases of COVID-19. Mandatory isolation and treatment of persons at home shall be carried out at the request of the Director of the relevant R & D & I. In case of deterioration of health regardless of the reason, patients need to notify the general practitioner and, if they fail to make contact with him, with the Regional Emergency Medical Centre by wire. 112. The general practitioner shall take the necessary steps to assess the health status and, where necessary, hospitalization of the person by wire. 112 shall inform the Regional Emergency Medical Centre of the provision of transport to the consultative office in the HRC or to a hospital care facility. The mandatory isolation or treatment of persons in a hospital care facility shall also be carried out on the prescription of the Director of the relevant RAI following a proposal from the general practitioner, respectively, on the basis of an evaluation of the existing epidemiological risk by specific criteria. Hospitalization of patients with horse mackerel is assisted by medical triage, by which patients are categorized according to the severity of the condition, the need for resuscitation and immediate life-saving measures, available human instrumental resources, and an examination and examination shall be carried out in the emergency room of the hospital. Depending on the objective condition, the patient is directed to isolation and reception in the hospital or to isolation and treatments in his home. The medical supervision of persons placed on home isolation shall be carried out by the general practitioner or by a medical doctor from the hospital who carried out the hospital treatment. In the period of mandatory home isolation, persons must not leave their homes or place where they have indicated that they will reside within that time limit under the prescription of the RGI and comply with appropriate anti-epidemic measures. In the context of unprecedented worldwide distribution of a horse and the exceptional epidemic situation introduced in the country, the interests of society require joint action by all institutions, depending on the resources at their disposal, to achieve a good balance between the protection of health and the minimization of economic and social failures. In this regard, I would like to assure you that our aim is to ensure that all Bulgarian citizens have equal access to medical care..................................the complex and permanent nature of the health system. Thank you.
ParlaMint-BG_2020-11-27.u318	Mrs. Slavova, line.
ParlaMint-BG_2020-11-27.u319	Dear Mr. Chairman, Mr. Minister, honourable colleagues! Mr. Minister, your answer was, unfortunately, like an administrator, but it's also like a doctor. Can we go out for a little bit of numbers, allines, regulations and any written texts that, we can see, are not doing any work for the average person who got a coronavirus?! You're saying that personal doctors should track the condition of the sick. Personal doctors, we know very well that they don't make house calls to people who are sick of a horse. Therefore, the already so-called phone call listening remains the only way in which patients with coronavirus are treated. All this time, we try to make it easier for the hospital system, hospital care and treatment in hospitals, where we see the shortage of doctors, the shortage of nurses, and the staff is already at the end of their powers. At the same time, you do nothing so that people who have become ill do not reach hospital treatment. How will a doctor decide by phone whether he should hospitalize a patient or not? And if he can already identify him by phone, it means it's too late for this patient. That's why the hospitals are crowded, so we're first and foremost in mortality. Somewhere we have something profoundly wrong with the tracking system for the treatment of the sick. We don't have access to mass testing at the moment, at least in Sofia they found themselves in the so-called centers where antigen tests are being done. Okay, you do an antigenic rapid test, you find the patient is sick, then what happens? We're sending the patient home, the personal doctors still don't have a referral for PCR, if this patient can't afford to pay the PCR, he goes home and waits to be treated on the phone again by his doctor. How long have we been waiting for these PCR directions from the private doctors and they're still gone? The RZI, you answered me last week, they have neither the capacity to trace epidemiology nor the contact persons, nor do we have strict control of quarantine monitoring. Maybe it's time to think about it instead of making green shopping corridors, let's make green treatment corridors so that less and less people can have hospital treatment. I think there should be a radical change in the treatment of the sick.
ParlaMint-BG_2020-11-27.u320	Colleagues, in order to be able to complete normal control with Minister Borisov, I will ask the questions and answers to be within what the Rules have prescribed. Here you are, Mr. Secretary.
ParlaMint-BG_2020-11-27.u321	Mr. Chairman, ladies and gentlemen of the House! Dear Mrs. Slavova, I don't mind talking to you as doctors. I can tell everything that happens the way I've seen it with my own eyes, and the way I hear it from my patients, my loved ones. Much of what you say is so, however, much is not so. I cannot agree with you that everything that happens in the health system leads to adverse consequences or that, you see, Bulgaria cannot cope with the situation. On the contrary, I am bold and most responsible to stress that our country, what is happening in Bulgaria, is nothing different from what is happening in other European countries, both in organizational terms and in terms of the results achieved as a result of the measures introduced, compliance with measures, perception by people and so on. I find it very difficult to accept concern and understanding at the time when this continues to be very painful for me, there were people in the Chamber of the National Assembly, including your parliamentary group, who did not wear masks that did not comply with the anti-epidemic measures, which denied almost that the micron mask, in any other medical terms, does not protect, it does not protect the person, the viruses pass and so on. Then, when, out of this high parliamentary tribune, we expose and raise doubts about the use of personal protective equipment, we dissuade the citizens of the Republic of Bulgaria to comply with the anti-epidemic measures. And that is the result of what you are saying about worsening the epidemiological indicators of our country. Compliance with the measures results and this is evident from the results achieved in European countries where anti-epidemic measures are being followed. With regard to the fact that how does the health system work? The health system in Bulgaria works in a way in which it was created decades back in time. We are asked, from this health system that we have, to extract the best from it that can be extracted. I think we're doing it. Thank you.
ParlaMint-BG_2020-11-27.u322	Thank you, Mr. Secretary. The next question to Minister Angelov is from the National Representative Nikolai Ivanov regarding the secondment of doctors. You have the floor, Mr. Ivanov.
ParlaMint-BG_2020-11-27.u323	Dear Mr. President, ladies and gentlemen of the House, honourable ministers! Dear Minister, according to the proposal of the Chief State Health Inspector in a statement to the media it is necessary to urgently give you the rights and powers to post doctors from outpatient care in hospitals to support their colleagues in the newly formed housing units in the country. What is your opinion on this proposal of the Chief State Health Inspector, are you considering specific actions in this direction? If on what basis will this type of posting be carried out to a doctor. A specialist from hospital or from one hospital to another, given that the medical institutions are commercial companies and each doctor has a contract for a particular type and type of activity for which he is profiled, and it is different from the activity for which he will be posted? Thank you.
ParlaMint-BG_2020-11-27.u324	Thank you, Mr. Ivanov. You have the floor to answer, Minister.
ParlaMint-BG_2020-11-27.u325	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Ivanov, the authorities of the management of hospital care institutions have decided to deal with the personnel deficit. Initially within the medical establishment through reorganization, temporary restructuring and reduction of hospital beds as provided for in Regulation No 49 on the basic requirements to be met by the establishment, activity and internal order of hospital care establishments and social care homes. Opportunities that can be used between medical institutions to negotiate between them for providing medical professionals, medical services and other activities shall provide the provision of art. 95, para. 1, t. 1 of the Law on Medical Institutions, in the case of the relevant dialogue and cooperation with the aim of interacting with the effective use of the resources available to us. With regard to employment opportunities with other employers, employment outside the working hours established for the worker and the employee in the main employment relationship and employment opportunities, the relevant provisions of labour legislation are applicable. Where the needs of the undertaking so require, the employer may post the worker or employee to perform employment duties outside the place of his permanent work, but for no more than 30 calendar days without interruption. Posting for a period longer than 30 calendar days shall be carried out by written consent of the worker or employee, this shall be the norm of art. 121, para. 1 and para. 2 of the Labour Code. The Ordinance on secondment to the country provides for the possibility to, exceptionally, be posted a worker or an employee from another undertaking, but only upon mutual written agreement between him, his employer and the poster. In such cases, the payment of the travel money shall be at the expense of the poster, unless otherwise agreed. Commands shall be carried out on the basis of a written written order issued in advance with the relevant props. It is apparent from the above provisions of the Labour Code and the Ordinance on Missions in the country that doctors working in outpatient care facilities may be posted to hospital care facilities on the basis of an order of the head of the hospital care facility and in the event of mutual written agreement between the doctor and the poster's employer. The task for which the doctor is seconded, the duration of the missions and so on shall be defined in the travel order. The head of the hospital care facility shall monitor the effectiveness of the activities of the seconded physician. Thank you.
ParlaMint-BG_2020-11-27.u326	Thank you, Mr. Secretary. The line, Mr. Ivanov.
ParlaMint-BG_2020-11-27.u327	Mr. Chairman, ladies and gentlemen of the House! Dear Minister, you described the routine process of posting medical professionals with an order, order of their employer and their consent from one medical facility to another. My question was for your opinion in this extremely difficult environment, what is your opinion on this idea of your extraordinary powers regarding the secondment of doctors, especially in hospital care, in hospitals where there is a shortage of doctors, especially in the exposed wards? Clearly, lack of enough doctors is currently the biggest problem of the system. The question must be specifically sought for a solution, and well thought out, because if doctors from hospital care, for example, are posted to hospitals, then the question remains: who will take care of patients in hospital care, in outpatient care, prevention, so that they have really good medical care even at the beginning of the disease by CIVID and not come to this severe situation with the overcrowding of hospitals? Secondly, it is no less important, even in an intra-hospital secondment, to provide for a training course, and very seriously, for the work of newly appointed doctors in housing, because we know that according to statistics, one part of medical staff is infected in such an environment precisely because of insufficient training for working in such an environment. These are important questions that also worry doctors, and are extremely important for patients with CIVID. Thank you.
ParlaMint-BG_2020-11-27.u328	Thank you. Mr. Minister's doppelganger.
ParlaMint-BG_2020-11-27.u329	Mr. Chairman, ladies and gentlemen of the House! The COVID-19 epidemic, rather the pandemic, raised many questions to health systems in the world, including Bulgaria. All the questions that can be asked cannot be answered during an epidemic, they can find their answers when we do not have a global pandemic, when we do not have an epidemic situation in the country and when everything is normal. We are currently talking about an emergency epidemic situation, given the pressure it has on the health system. What you said was yes, a serious problem is when they are posted and if doctors from outpatient care are posted to hospital care. But this mechanism of work works in several hospitals in the country. We have wanted doctors general practitioners, doctors from specialized outpatient medical care who help their colleagues in hospitals. This is an act of solidarity and, of course, solidarity must be for all doctors who can do it. With regard to the training of doctors for working in the wards, such training was done early in March in all medical institutions with educational films, with extraordinary briefings, periodic briefings, initial instructions for carrying personal protective equipment, a trend that we observe, which in large hospitals has been from the very beginning and continues to be lasting. There are very few doctors who are getting sick in the coffin wards, as there their actions are drawn in advance and their sharpness of attention is at the necessary heights. Unlike all other wards of medical establishments and in contrast to infection outside medical establishments. It's a trend we're seeing. Thank you.
ParlaMint-BG_2020-11-27.u330	Thank you, dear Minister. Two questions follow, which will be answered jointly by the MPs Krasimir Yankov and Lalo Kirilov. You have the floor, Mr. Yankov.
ParlaMint-BG_2020-11-27.u331	Dear Mr. Chairman! Mr. Minister, my question is getting more and more up-to-date because we've been seeing the situation over the past few weeks. There are specialists such as allergoologists, ophthalmologists and others who have never worked in an intensive environment with polymorbid patients in severe condition. In this way, I think it violates the healing standard of this specific disease for infected with COVID-19. The question is dictated by my desire to protect doctors and patients and it is: in relation to the possible formation of legal proceedings by relatives of deceased or disabled patients, is legal protection provided for doctors who are not pulmologists or infectiouss and perform a type of work other than that of their employment in order not to be subject to criminal liability?
ParlaMint-BG_2020-11-27.u332	Thank you, Mr. Yankov. Mr. Kirilov, you have the floor to ask your question.
ParlaMint-BG_2020-11-27.u333	Mr. Chairman, Mr. Minister! My question is: what is the position of the Ministry of Health on the provision of professional insurance that each hospital must have, provided that the medical professionals do not carry out activities according to their employment characteristics, on the basis of which a contract has been concluded with the institution concerned? Thank you.
ParlaMint-BG_2020-11-27.u334	Thank you, Mr. Kirilov. Mr. Minister, you have the floor for an answer.
ParlaMint-BG_2020-11-27.u335	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Yankov, dear Mr. Kirilov, due to the overlap of the content of the two questions for the most part I will present a common answer. In accordance with art. 183, para. 1 of the Health Act, the medical profession in the Republic of Bulgaria is exercised by persons who have a diploma for completed higher education in speciality and professional fields. The doctor is a qualified health care professional with an educational and qualification degree in specialty from the professional field of medicine. It was at the service of the doctor's diploma that he took a Hippocratic oath. The professional qualification is not limited to carrying out diagnostic and medical activities only in certain specialties in medicine. Under the Law on Medical Institutions, all doctors, whether with their higher medical education they have acquired a medical degree, cover a separate section of medical science and practice, can work in medical institutions and participate in the diagnostic and medical process. Moreover, as part of the staff of medical institutions, their main duty is to participate in this process. The specific activities of doctors shall be indicated in the official characteristics of the occupied position concerned, which shall be developed by the medical institutions and served to the staff. In carrying out the activity, doctors and medical institutions should also comply with the regulations laid down in the existing medical standards on the quality of medical care provided and ensuring the protection of the patient's rights. This regulation should in turn comply with the already cited legal provisions on medical profession and the basic duties of doctors. In this regard, for example, the current Medical Standard on Infectious Diseases regulates that in the Infectious Clinic doctors work in wards with and without an acquired medical specialty. This means that in the course of the activities of a particular medical specialty, doctors can be included without specialty or with another specialty. Thus, within the relevant team, these persons carry out the activities of doctors and not specialists of the specific medical specialty. In the event that they have acquired another medical specialty, together with their participation with the team of specialists in all stages of the diagnostic and medical process, they may also carry out activities within their specialty if necessary. Under the Health Act, persons exercising a medical profession are entitled to freedom of action and decisions according to their professional qualifications, medical standards and medical ethics. The same law introduces an obligation on medical institutions to insure persons who exercise a medical profession in the medical institution for the damage they may incur due to a guilty failure to comply with their professional obligations. This means all doctors involved in the diagnostic-treatment process. The terms, procedure, duration and amount of minimum insurance in compulsory insurance are determined by the Ordinance on compulsory insurance of persons engaged in a medical profession issued by the Council of Ministers. Subject to insurance under compulsory insurance, liability of persons who pursue a medical profession in the medical establishment shall be professional liability of insured natural persons engaged in a medical profession for the property and non-exercise damage caused by them to third persons resulting from the pursuit of a medical profession in or on behalf of the medical establishment. The control of the existence of compulsory insurance is carried out by the Executive Agency. Thank you.
ParlaMint-BG_2020-11-27.u336	Thank you, Mr. Secretary. Mr. Yankov, you have the floor for a line.
ParlaMint-BG_2020-11-27.u337	Mr. Chairman, Mr. Minister! According to the Health Standard and the recommendations of the World Health Organization, a patient with a species of infection should be consulted by a pulmonary surgeon or an infectiousist. We know doctors are deficit. What does the Ministry of Health do to ensure that patients have access to such specialists? The Chief Medical Inspector has offered you the posting of doctors from hospital care. Yes, those who in the initial phase, at the beginning of the disease of people with the COVID-19 have the qualifications, are the personal doctors and the specialists, the doctors in the hospital aid, but if you are posting to the medical institutions, you are exposing an important part of the response the active treatment of early diagnosed patients, i.e. you cannot afford to strip this unit. At the same time, the specialists who are surgeons, I have paid attention to you, allergoologists, ophthalmoses, they have no specialization, no qualification to consult or treat infected with COVID-19. Has the government requested humanitarian assistance from doctors and nurses from countries with which the Republic of Bulgaria has diplomatic relations, as well as the inclusion of the Red Cross to provide infectiouss and pulmologists? Given that there is already a necessary equipment on the request of the Ministry of Health, and your personal, that we are equipped, we have protective equipment, we have enough beds, with the inference of oxygen, it remains to provide doctors, but qualified doctors, there are not enough pulmologists and infectiouss. There is no other solution to ensure the treatment of thousands infected with COVID-19. Therefore, I also call on you, through you, the Prime Minister and the Government, the government, for concrete actions to provide qualified doctors from other countries to treat patients with CIVID-19. Thank you.
ParlaMint-BG_2020-11-27.u338	Thank you. Mr. Secretary?
ParlaMint-BG_2020-11-27.u339	[[non-member in NG, away from microphones]] : There is another attitude from the colleague.
ParlaMint-BG_2020-11-27.u340	Yeah, I know. After the minister's reply, Mr. Kirilov's reply.
