ParlaMint-BG_2020-12-18.u1	Good afternoon, fellow Members. Please, registration mode. Mr. Kirchev?
ParlaMint-BG_2020-12-18.u146	Thank you, Mrs. Chekanska. I'm opening the debate. Colleagues, you have a say in this. I can't see. I'm putting an end to the debate and moving on to the vote. I put to the vote the submitted draft Decision adopting procedural rules on the terms and conditions for proposing candidates as Director-General of the Bulgarian Telegraph Agency, presentation and public disclosure of documents and hearing of candidates in the Committee on Culture and Media, as well as the procedure for selection by the National Assembly, together with Annexes 1 to 6 inclusive. They voted 127 MPs: 126 against 1, no abstentions. The motion is accepted. Mr. Genov's procedure.
ParlaMint-BG_2020-12-18.u147	My procedure is as follows, Mr President, regarding the failure of the National Assembly's decision of exactly one year ago. The National Assembly decided after the initiative of a group of MPs from the Bulgarian Socialist Party the Minister of Regional Development by 15 May 2020 to prepare and announce a public discussion Draft for a new law for the water sector, as the problems in the water sector, the refusal of measures, reforms and solutions are a trademark of this government. He has obliged to inform us twice a year about the progress in implementing the Strategy for Development and Management of the Water and, if necessary, to offer the Council of Ministers its update. The project was declared public discussion six months later. He was returned to juvie from the beginning. So far, there's been a second public discussion.
ParlaMint-BG_2020-12-18.u148	Tell me the procedure.
ParlaMint-BG_2020-12-18.u149	One year we have been waiting for the Minister's unsuccessful presentation of her two reports according to the decision in June and December. Today is the last session of December, and such a report was not presented in June or now.
ParlaMint-BG_2020-12-18.u150	Mr. Genov...
ParlaMint-BG_2020-12-18.u151	Therefore, Mr. Chairman, I regret that the President of the National Assembly, who is also obliged to exercise control over the implementation of his decisions, left, but to inform Mrs. Avramova, she is listening to me right now, as the colleague asked a question a week ago and urgently received some answer that does not resemble any report but some report. The failures, Mr. Chairman...
ParlaMint-BG_2020-12-18.u152	Mr. Genov, thank you.
ParlaMint-BG_2020-12-18.u153	...are your right, but duty...
ParlaMint-BG_2020-12-18.u154	Actually, your time is up. You've run out of paperwork. I waited for you.
ParlaMint-BG_2020-12-18.u155	...to take responsibility for them is our duty.
ParlaMint-BG_2020-12-18.u156	Thank you. That's where we end up. [[Reply from Minister Petya Avramova.]] Madam Minister, you want to answer. Here you go.
ParlaMint-BG_2020-12-18.u157	Mr. Chairman, ladies and gentlemen of the House! I just need to bring in some information about the procedure that was just made. In June, following the decision of the National Assembly, the Ministry of Regional Development and Public Works submitted a report, as recorded in the Decision, on the state of the water sector and the implementation of the Strategy in June. A report was submitted yesterday or that day to the President of the National Assembly, addressed to him in December, so that the Ministry of Regional Development and Public Works has fulfilled its commitments and December to submit a Report on the implementation of the Strategy and State of the Water Sector in Bulgaria. Thank you.
ParlaMint-BG_2020-12-18.u158	Thank you, Madam Secretary. [[Noise and lines.]] It's the way it's supposed to be. Mr. Genov, I let Mrs. Avramova answer you, but in fact, if you remember, we started the day with a message that affected that particular question. There was the answer that Mrs Avramova gave you at the moment. You have the word in the manner of conduct.
ParlaMint-BG_2020-12-18.u159	Mr. Chairman, you, if you are satisfied with Mrs. Avramova's response, I am not. Explain to her that there has been no such report on the website of the Ministry of Regional Development since June. I say once again: explain to her that the announcement today and the firefighter's report and report that was submitted was that Lyubomir Bonev asked a similar question on Friday why this was not implemented. Now, to cover up the problem, we urgently presented some report to pull the number off. But as they see the Bulgarian society knows, this is exactly how it is managed by plastering the problems. Thank you.
ParlaMint-BG_2020-12-18.u160	Thank you, Mr. Genov. I have no intention of being a messenger and carrying around, but have you read the materials in the Library of the National Assembly? Have you received them? [[Reply from the National Representative Manol Genov.]] I get it. I get it. Colleagues, we continue with the debates on the questions of the MPs Georgi Svilenski, Manol Genov and Dimitar Danchev to the Minister of Regional Development and Public Works Mrs. Petya Avramova. I'll give you the reference. Mr. Svilenski, Mr. Genov and Mr. Danchev, in connection with the debates on the questioning of the MPs, was answered at the meeting on 11 December 2020, Friday. At the same meeting, 51 MPs from the Parliamentary Group of BSP for Bulgaria (BSP) submitted a proposal for a debate on the questioning together with the Draft Decision. The debates are scheduled by the President of the National Assembly for the next parliamentary control meeting. The proposal for a debate on questions and the draft decision were sent to the MPs in electronic form on 11 December. Project for a solution that you are familiar with has been introduced. Which of the importers will present the question? [[Comments from GERB: "Procedure! "]] I'm sorry, I didn't see. Mr. Nenkov, come in.
ParlaMint-BG_2020-12-18.u161	Thank you, Mr. Chairman. Dear colleagues, I am doing a procedure for admission in the hall of Professor Oleg Asenov, who is a member of the Board of the Railway Infrastructure Agency.
ParlaMint-BG_2020-12-18.u162	Thank you, Mr. Nenkov. I shall put the proposal to the vote. Vote 95 MPs: 83 against 3, abstention 9. The motion is accepted. Please invite Professor Asenov. Here you go.
ParlaMint-BG_2020-12-18.u163	Thank you, Mr. Chairman! Ladies and gentlemen of the House... [[Loud noise and lines.]]
ParlaMint-BG_2020-12-18.u164	I'm sorry, we didn't understand each other. [[Heckling]] Mrs. Georgieva raised her hand several times, let's start with her. You have the floor, Mrs. Georgieva.
ParlaMint-BG_2020-12-18.u165	Mr. Chairman, ladies and gentlemen of the House! The worst year that modern mankind has ever experienced.......................................... I am tempted to remind myself that the parliamentary group of VOLIA the Bulgarian Rhodolivists on February 19th first put the question in this Chamber about Bulgaria's readiness to face the outbreak. Some of you laughed, others said that this topic is for doctors and has no place in parliament. We all know what we know next. The fact is that Volya once again demonstrated that pragmatic sense developed in the successful business where we come from, the nose of excellent managers, which is so needed by every politician. We were right, and once again. I'll remind you one more thing. At the very beginning of the mandate of the Forty-fourth National Assembly in June 2017. ... [[Loud noise.]] Mr. Chairman, I must ask you to bring order into this Chamber. Already, Madam President, I apologize.
ParlaMint-BG_2020-12-18.u166	Please be quiet in this room, colleagues!
ParlaMint-BG_2020-12-18.u167	In June 2017, Volya proposed something unusual for parliamentary life, but essential, namely, to work for a month as a priority only on health reform, in order to solve once and for all the problems in the sector. None of you, however, supported this idea. Now you're all talking about how much reform is needed because we're picking up the fruits of the health experiments that you all did while you were in power. There can no longer be experiments on the health and life of Bulgarian citizens. Many sentences I can start with the words "If you had listened to us" or "If you had listened carefully to Veselin Mareshki and his visionary suggestions." I can give examples of useful ideas to the will and to our leader, whom you refused to hear. You preferred the constant quarrel between the government and the left opposition, but only in front of the cameras. On the sidelines, you didn't have a problem agreeing on things that serve your narrow party interests. I also give an example right away: the case of state subsidies for the parties. It took you 15 minutes. It would be great if you understood each other just as quickly about measures in the interests of the Bulgarians. This is what was missing in this Parliament during these difficult months of testing both for the world and for Bulgaria together, a thought for the people. How did the Bulgarians live this year? How were they treated? And as hard as it is, I'll say this: how did they die? Because the examples of inhumane treatment of sick people because of the disorder in hospitals have astonished us all. [[Loud noise.]]
ParlaMint-BG_2020-12-18.u168	Quiet, please, colleagues!
ParlaMint-BG_2020-12-18.u169	Colleagues, we all hope that this unprecedented health precedent that has led to so many victims, to the collapse of economies, to global problems, will cause us to change, to become more responsible, more compassionate and more human next year. In our society, we have amassed great despair and aggression. Negativism is pouring all over us. This is the wrong way. There is neither development nor happiness nor prosperity. The example of change should come from us, from politicians. It is not the time for personal ambitions, for political stubbornness and for close party interests. 2021 will be an extremely important year for Bulgaria. A new parliament is about to be elected, which means that the people will indicate how they want to live in the coming years. In just a month, all power candidates will start filming themselves with the people, promising them once again a bright future. All of a sudden, all of a sudden, they're gonna think of problems that we at WALK have been alarming for four years. As I mentioned, urgent and cardinal reforms in healthcare, improving the quality of education, security even in the smallest villages, caring for adult and educated parents for small and medium-sized businesses. That's why we launched the free drug campaign for the kids. 14 years old, who are students, as well as pensioners over the age of 65. An important and useful measure in this difficult situation. You didn't support us. And nearly 200,000 Bulgarians said to that idea. We didn't ask everyone. There's probably millions of them. During the past year the parliamentary group of Volya was a responsible opposition. We supported the useful measures for the Bulgarians, criticized ideas that are infertile, non-professional or lobbyist. We tried to make the right decisions so that Bulgaria would develop steadily, without unnecessary shocks and risks. We were often criticized for this. But at the end of the day, reasonable people realized that we were right. Politics is not gambling. Politics is responsibility. We believe that this is the right behavior for a responsible and patriotic party, such as the Volk. Thus we will continue until the end of the term, as in the next, if the people want to be represented by people who are not entangled in corruption schemes, who are here with the one thought to be useful to their society and country. Colleagues, we've got a complicated year ahead of us. Let us be aware of the responsibility that everyone who calls himself a politician brings to the people, especially in this difficult period. May he have more sense and empathy for the problems of our countrymen. Over politics, over any party purpose, over ego is humanity. Let's not forget it. Let the New Year bring us all health and much better days for all Bulgarians! Thank you, Madam President.
ParlaMint-BG_2020-12-18.u170	Thank you, dear Mrs. Georgieva. Let's continue with: PARLIAMENT CONTROL. Debates on the questioning of the MPs Georgi Svilenski, Manol Genov and Dimitar Danchev to the Minister of Regional Development and Public Works Petya Avramova on a reform of the road toll policy. I give Mr. Svilensky the floor to present to us the proposal and the draft decision. Here you go, Mr. Svilensky.
ParlaMint-BG_2020-12-18.u171	Yes, thank you. Dear Madam President, honourable Members of the National Assembly, Dear Minister, Mr. Asenov! If we make a quick reference to the Law of the present National Assembly, we will find that at the request of citizens hundreds of questions have been asked by MPs regarding the repair or construction of various roads and road facilities throughout the country. The answers to these questions by Mrs. Avramova and her predecessor Mr. Nankov are practically blank and can be summarized in one single sentence. [[Relations of the National Representative Vejdi Rashidov.]]
ParlaMint-BG_2020-12-18.u172	Mr. Rashidov, please! [[Relations of the National Representative Vejdi Rashidov.]] Quiet, please! [[Relations of the National Representative Vejdi Rashidov.]] Mr. Svilensky, continue.
ParlaMint-BG_2020-12-18.u173	The repair is necessary, but it will be done when the system is running. Well, fellow Members, this has become a dream of our dreams, because billions of toll fees have turned out to be a mirage. The Prime Minister and his ministers have convinced us that with the electronic system for collecting tolls, the fair principle will be introduced: who pollutes and destroys the roads more, pays more. However, the first year of the toll system accounts show that car owners paid twice as much as those of buses and trucks. The fact is that the money printer, as Prime Minister Borisov called it a long time ago, fails even to cover the investments made for the construction of the electronic system. From BSP from the very beginning of the emergence of the idea of building a toll system and for dividing the charging of cars and heavy goods vehicles we repeatedly insisted on a few simple but very important things: First, the system should be introduced gradually, with only initial coverage of highways and roads first, possibly second class. Secondly, tariffs to be set and carefully communicated with the transport industry, long before the start of the toll system. Thirdly, in relation to the tariffs and scope set, a system that is primarily effective and ensures the collection of sufficient resources to build and maintain a modern road infrastructure should be chosen. Fourth, an operator of the Tol system with relevant access to sensitive information which is guaranteed within the system should be only the State, setting up for that purpose a state-owned undertaking to manage a system, implementing the necessary interaction with the systems of the Ministry of Interior and the Customs Agency and, of course, to collect users' revenues. Apart from everything BSP said, the government paid 20 million. lv. The World Bank's report on the introduction of the Tol system in Bulgaria, which, although having its shortcomings, contained a major part of BSP's proposals. For each of these points we made the relevant proposals for legal changes and initiated several questions and hearings, including Prime Minister Boyko Borisov. Unfortunately, our voice remained a voice in the wilderness and the results of this lack of hearing from the rulers are visible to everyone. From January to December this year, 2.5 times more revenue has been collected from electronic wineries than from toll fees. The Commission therefore concludes that the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. BGN, and from tol's fees,.. 103 million. BGN, for the period 1 January 8 December 2020 The revenue from toll charges set out in budget 2020 was 450 million. BGN, which means that the default will be more than 3 times. It is not yet clear whether last year's results can be achieved when the revenue from electronic wineries exceeds 392 million. lv. As of 8 December, the revenue from wine and tolls amounted to 361 million. lv. Another paradox is that initially under the contract the system had to be owned by the Bulgarian state, in this particular case the key to access it to be in API, it really turned out that this would not happen until five years later and for another 141 million. BGN, except for the 180 million already paid. lv. for building the system. In practice, the system is granted a concession. The reason? National rule had no capacity to manage the ordered unique tol system. However, I remind you that around 900 staff members are assigned to this department. Furthermore, we cannot help but ask ourselves: what are the warranty conditions in relation to the placing into service of the electronic system? Is maintenance and service of the system planned after it is put into service, under what conditions? Are these relationships settled by an additional contract or are they part of the basic contract? What is the role of API employees who monitor the functioning of the system and do they perform activities that should be performed by contractors under the contract with the Consortium Capps? In this regard, I can not help but remind another lie, of the previous, but a long-standing Minister of Regional Development by GERB Mrs. Lilyana Pavlova, who assured us that the state will be the sole owner and owner of the electronic toll system, with the words said before BNT in January 2017, namely: "These are clean, I would call them lobbying interests of companies who wanted to sell their own systems. We have bet so in the documents the auction that the system is Bulgarian, the rights, the sorcerer to be Bulgarian, the Ministry and the Agency, not to be given in foreign hands, not to pay licenses. We want our Bulgarians with our rights to rule. These are elements of national security, so there is also one such interest here. In the current situation in Bulgaria, however, the financial risk for the construction of the system has not been borne by Kapsh. They will actually receive a fixed amount of 22 million. lv. per year, without being responsible for the amount of revenue from tolls. In fact, the fiasco of the Tol system was known by the many scandals caused by the Ministry of Regional Development and Public Works and by the API, even during the very award of the order for the construction of the electronic toll system, as well as during its implementation. For example, weeks before the executor was elected, in September 2017, a false decision of the Road Agency was issued with which the API awarded the order to The case was handed over to the State Agency "National Security" and the anonymous hackers at the time claimed that it was about the actual ranking, which was known before the opening of the bids. In any case, on the documents the ranking was different from the final result, but the winner really turned out to be Capps. In fact, there are a lot of ambiguities here about the methodology for assessing candidates' submitted offers, where sub-items are contained to assess the technical proposal, which do not have clearly defined scales to distinguish one proposal from another, and to place the relevant number of points. Unclear to this day remains also in what way is the estimated value of the contract determined and by whom? The big problems, however, began after the signing of the treaty, namely that with a series of moves the state put itself in a bad position, and the Consortium was very favorable in terms of money and deadlines. The first such step was the supplementary agreement, which totally changed the terms and subject matter of the order. For example, the original contract provided for 40% of the amount to be paid only when the electronic screw system was running and all the control points were installed and the rest of the money was installed when the toll started. That, of course, means a financial risk that companies had to take. Instead, with the help of the Anex contractor received the money in two instalments and the first was paid at an earlier stage. Some problems have been dropped, and the deadlines have been postponed. The agreement was frankly contrary to the Public Procurement Act, as it seriously amended the mandate and conditions. According to gross calculations, the activities that were saved were worth 20 million. lv. The estimated estimate has shown that it is difficult to talk about overlap of the value of the new activities with the dropouts. However, the amount of the contract remained 180 million. lv. with VAT. We wonder what it was with an additional agreement to make a change to the payment scheme of the contractor and whether the signed additional agreement did not cover a delay in implementation, that is to say, did it simplify the imposition of penalties for the late execution of the contract? It would also be interesting to see if at the time the system was put into service the technical assignment of 100% or part of the functions set out in the job was completed and tested after the final payment was made. In addition, several months later, it turns out that Kapsh is also indirectly involved in the sale of wine and tolls itself.
ParlaMint-BG_2020-12-18.u174	Get to the finish line, Mr. Svilensky.
ParlaMint-BG_2020-12-18.u175	The first elected national provider of services between the Road Infrastructure Agency becomes an intelligent traffic system, which only in Bulgaria had contractual relations with Kapsh. Before the establishment of the Bulgarian tol system. The company signed an indicative contract with the Road Infrastructure Agency in mid-December 2018 before even the final general conditions for applying were published. The intermediary in question shall receive a commission of 7% of all tolls collected. [[It said that time had run out.]]
ParlaMint-BG_2020-12-18.u176	It's time's up!
ParlaMint-BG_2020-12-18.u177	Let's do it in speaking time.
ParlaMint-BG_2020-12-18.u178	All right, take the speaking time. Go on!
ParlaMint-BG_2020-12-18.u179	At the moment, the same holds a significant percentage of market share and sells more wine, and from the very national toll. We cannot fail to recall that despite the resistance of the BSP, the ruling majority changed the Roads Act in 2019 so that GPS companies could not submit directly data to API and conclude contracts with the state and should use national service providers as intermediary. Until then, API's plan to work directly with these GPS companies, which are apparently so-called data providers. It is clear that the issues surrounding the preparation of the procurement for the electronic charging system for the use of a Republican road network and the implementation of the concluded contract, including the supplementary agreement thereto, are extremely many, and some of them can lead to the identification of indicators for fraud committed. Additional questions arise in connection with the subsequent operation of the electronic system. The amount of public funds spent and those to be invested, and complementary or continuing activities for monitoring and management of the electronic system are significant and therefore the Parliamentary Group of BSP for Bulgaria is proposing that the National Assembly accept the following: ? RESPONSIBILITY? The National Assembly on the basis of art. 90, para. 2 of the Constitution of the Republic of Bulgaria, art. 105, para. 1 of the Rules of Procedure of the National Assembly and Art. 7, para. 1 of the Law on the Court of Auditors HAS DECIDED Instructs the Court of Auditors to carry out an audit of compliance in the conclusion and implementation of the Public Procurement Contracts of the Road Infrastructure Agency with regard to the design, construction and operation of an electronic charging system for the use of a Republican road network. The verification shall cover the period from the start of the design of the system to the end of 2020. Thank you for your attention. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-18.u180	Thank you, dear Mr. Svilensky. A big round of applause. Colleagues, I'm opening the debate. You have the floor to speak. [[Noise and lines.]] Hey, guys, no speeches?
ParlaMint-BG_2020-12-18.u181	There are no speeches. [[Noise and lines.]]
ParlaMint-BG_2020-12-18.u182	Mr. Genov.
ParlaMint-BG_2020-12-18.u183	Dear Madame Chairman, Dear Madame Minister! My colleagues and I feel extremely satisfied that we succeeded with our questions to you a week ago on the subject of the Tol system, in the country to provoke serious public interest. Your response here from this platform of parliament last Friday has already been the subject of a very devastating discussion in both the media and civil forums, among analysts and experts. However, to cover themselves with common tales, the situations that put the work of this toll system, it is more than clear that there are many pending questions about this rather questionable and secretive system that you called a unique system last Friday. However, we at the BSP are obliged to repeat and further develop our questions to you and the government until we get the real answers, not general talk, a series and a bunch of numbers that you interpret in quite different ways. We are not the only ones who continue to wonder why such a huge administration has undertaken to do such a uniform activity. Officials of the Tol system "900 state," are the DMV, the Road Police and the Road Infrastructure Agency and the Ministry of Interior. In countries like Germany, with which we always compare and never succeed, are they stupider than us to have a single institution to cover with all the powers this type of activity? You alone seem to be eligible for the cost of the toll system. The figures show that for the three quarters of 2020, the expenditure of the National Tol Government is over 60 million. lv. and add to them 28 million a year, which is expected to be added with the future annex to be concluded. Well, don't you worry about those costs of 90 million. lv. A year? Even more hopeless, it seems, if you admit, of course, that no one promises an increase in investment in the country's roads against this annual expenditure. The failure in the revenue part of the Tol system has quite another explanation, which is perhaps more than you wish.. not as much the crisis around the pandemic is guilty as the misunderstood prime minister's generosity to reduce income in the pleasure of anyone who wants. The Tol system fell victim to this populism, that's what people say, read it, and we're just making it public right now. Have you forgotten, Madam Minister, that at the beginning of the toll system you promised 11,000. A kilometer range from the Republican road network? Following appropriate reactions, this was reduced to 6,000. km, finally they survived 3115 km by some sources, and only highways and first class roads. It is not the crisis, and the failure at the start of the Tol system that causes a few days before the end of 2020 to be faced with the clear figures that we have three times less annual revenues than the 450 million actually bets, and according to different figures, 140. Finally, I will finish with what I stressed a week ago: when will you tell the whole truth about the 141 million. BGN, which in the next five years you are going to pay on behalf of the state of the company operator? Do you, Madam Minister, that the state interest as a service and revenue is sufficiently protected, since the state in the face of the Roads Service will actually have access to the toll system after five years? You mentioned last Friday that this contract has an option not to be extended. Do we understand that the presumption is to continue? Mrs. Avramova, this is not a system, but it is frankly like a pre-organized scheme and it is really unique in the way it is organized and created. We strongly believe that the time will come, and the Bulgarian just prosecution will come to take an interest in this unique uniqueness. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-18.u184	Thank you, Mr. Genov. - What's the line? I can't see. Any other speeches? Statements? Here you go, Mr. Shishkov.
ParlaMint-BG_2020-12-18.u185	Madam President, honourable Members! I will begin with some of the words of the colleague who spoke before me, namely that they are trying to provoke some public debate on this subject. I think it's not exactly a debate, and you're trying to provoke another fictional scandal in the country to go through the holidays and the homes of people in these bright times. The truth about the system is that it works with a very good success. The system is one of the most innovative in Europe, I would say, in the world and is one of the most modern, most flexible and dynamic. It's a fact that no one can argue with. With regard to the financing of the system itself, each of you in this Chamber is aware that it is the Bulgarian tol system that is the cheapest in the whole European Union and with the cheapest support. It's a fact, everyone can see it from the documents. I do not need to do a comparative analysis with the Austrian, French, German, Hungarian, if you will, and each one is worth more than ours as putting into service and as maintenance. With regard to what you said at the end and your question regarding these additional arrangements that are envisaged with the contractor. This is about a very normal process, which is practice in all European countries, namely the maintenance and monitoring of the system. The system is not something we can take from the counter and use it, consume it for a long time. It is a living organism, it is a dynamic process that develops over time that requires its updates, its change, replacement, maintenance and so on. It is for this purpose that this contract was made, and the idea is, as you mentioned, that the Source code should remain in the country. It is state-owned, but the know-how itself requires a long time for its acquisition because it cannot be a system that has been built years and which requires a lot of effort and resources, in several months to be transferred purely technical to specialists who have never worked with it. It takes sufficient time for these specialists to enter matter and acquire the necessary knowledge to ensure the stability and continuity of the processes. In the end, if in just three days the system's work is stopped or stopped, it will result in huge budget losses and great chaos in the system. So these are the reasons why these actions are taken and there is nothing hidden, on the contrary, everything is open, publicly, uploaded to the sites and any one of you can get acquainted with it. In addition, I would say that the Bulgarian system is one of the few in Europe that started successfully from the first time. For the most part, countries have managed to successfully launch their toll systems from the second or third time. In Bulgaria started from the first time, of course, with slight problems that were solved at the moment. By finishing, I would like to tell you that your proposal will be supported by us. We agree with you and with your people that all processes in the country must be public and must be made public to the maximum extent of society. I therefore support the idea of a full audit of this entire process and for the public to once and for all know what has happened over the past two years. Thank you.
ParlaMint-BG_2020-12-18.u186	Thank you, dear Mr. Shishkov. - What's the line? I can't see. Any other speeches? I can't see. I'm closing the debate, colleagues. Mrs. Avramova, please say something within 2 minutes, of course. Here you are, Mrs Avramova.
ParlaMint-BG_2020-12-18.u187	Thank you, Madam President. Ladies and gentlemen of the House! Recently, in the last two years, many things have been said in this hall and beyond about the introduction of the electronic charging system on the Republican road network. Facts are facts and no political attack can neglect them. For two years Bulgaria has a working, reliable and fast electronic charging system for crossing the Republican road network. We have an intelligent system that works in the service of people, assists control bodies, assists institutions. The future is in digitalization and it cannot be stopped. Such a serious reform cannot take place in one day, but it is also the case with all significant changes. It takes time, regardless of whether they are in the economy, culture, the health sector or roads. Remember that it wasn't far away when we were all sticking wine stickers on the windows of our cars, and today wineries are bought online and from the comfort of the home, even straight from the phone. The system is constantly upgraded with new functionality in the service of consumers and to help law enforcement authorities. And here I want to thank all the employees of the National Toll Administration and all those who work in the administration, those who operate the system daily, those who are on the road every day who do not pity time and effort in their work. I also thank the Bulgarian citizens for their patience, and thank the business. Their support was important to us. Two years after the introduction of the electronic system is an irreversible fact and the benefits of its existence grow with each passing day. It is not insignificant to note, unfortunately, that the introduction of the tol system for heavy traffic coincided with the Kovid pandemic time, which is a test for all. The transport sector is also going through its problems. All of this is according to the analysis of colleagues from the Agency of Road Infrastructure. However, the revenues from toll fees are 6% higher compared to the receipts last year from electronic wineries for motor vehicles over 3.5 tonnes. The increase is despite the reduction of transport and transport distances and the actual charge of only 3115 km of roads. The analysis also shows that heavy traffic is mainly serviced by the channels of the Road Infrastructure Agency through the site, via mobile application, through the self-service terminals, through the points of the regional road management. The share is about 66% and the most used service is the route map. What do the analysis show? The Bulgarian system is complex and is one of the most effective in quality/price ratio. If we compare it with the systems in the countries, such as Germany, Austria and Slovakia, we will see that even with its current coverage, its acquisition price is at times lower, not only as a total value, but also because it charges both heavy traffic on a toll basis and passenger cars on a time basis. Usually in other countries, the two methods are introduced, maintained and operated independently... [[Noise.]]
ParlaMint-BG_2020-12-18.u188	Quiet, please!
ParlaMint-BG_2020-12-18.u189	I would like to point out one more thing: the electronic system is also a tool for controlling and preventing the grey economy. In other words, not only the direct benefits of its introduction must be taken into account, such as the provision of funds for the repair and construction of Republican roads, an easier method of payment, justice when paying tol fees under the scheme which it destroys more, it pays more and the indirect benefits must be noted. Data show that there are increased incomes from declared more realized courses by transport companies, which is a real success for lightening the sector... [[Noise.]]
ParlaMint-BG_2020-12-18.u190	Colleagues, please be quiet in the hall!
ParlaMint-BG_2020-12-18.u191	...and this means greater income from taxes in the treasury, as well as equal treatment of all carriers. The important question for me is, where do we go from here? Our policy in the future will be towards a change in the scope of the paid road network, and more road sections will be included gradually, which are used intensively by heavy traffic, such as politics in other European countries. I stress that this will be done by changing the relevant acts both in line with the economic situation in the country and in the course of the active dialogue with the transport industry. Ten hundred miles of Republican roads are prepared for transportation. It won't be difficult to increase the scope, but it will happen at the right time. I don't believe there's anyone who thinks now is the time and time in which we need to cause tremors. In the conditions of a crown crisis, when keeping each place is important, our goal is not to bankrupt businesses. Reforms in different sectors of socio-economic life in the country can occur when there is unification and support from everyone, regardless of political affiliation. That is why my appeal is for more objectivity and consideration of new realities. My personal belief is that it is time to confront and politicize every topic of our lives to give way to expertise and pragmatism. Thank you. [[Applause from GERB and OP.]]
ParlaMint-BG_2020-12-18.u192	Thank you, dear Minister.
ParlaMint-BG_2020-12-18.u193	Dear Members of Parliament, allow me on the last day of this session of the National Assembly to wish you a bright Christmas holiday! Be healthy! [[Applause from GERB and OP.]]
ParlaMint-BG_2020-12-18.u194	Thank you, Madam Secretary. You too have a bright Christmas and New Year's holidays! Colleagues, I vote on the draft decision on the questions, No 054-05-44 of 23 October 2020, by the MPs Georgi Svilenski, Manol Genov and Dimitar Danchev to the Minister of Regional Development and Public Works Petya Avramova on the reform of the road toll policy. They voted 101 MPs: 97, none, abstention 4. The motion is accepted. Mr. Vigenin, please come in for a procedure.
ParlaMint-BG_2020-12-18.u195	Thank you, Madam President. My fellow Members, I propose that we extend the working time until the parliamentary control provided for today is exhausted. Thank you.
ParlaMint-BG_2020-12-18.u196	Thank you, Mr. Vigenin. Please vote on the procedure so made. Colleagues, I ask that we support Mr Vigenin's proposal, as there are several questions that should not be passed in the next parliamentary session because they will be running out of time. Vote 108 MPs: for 106, against none, abstention 2. The motion is accepted. To all colleagues who will not stay in this Chamber, I wish you a bright holiday and until the next session alive and well! Written responses were received from: - Deputy Prime Minister for Economic and Demographic Policy and Tourism Minister Mariana Nikolova on a question from the National Representative Hristo Prodanov; - Deputy Prime Minister for Public Order and Security and Defence Minister Krasimir Karakachanov on a question from the National Representative Georgi Yordanov; - Minister of Interior Hristo Terziyski on a question from the National Representative Georgi Yordanov; - Minister of Labour and Social Policy Denitsa Sacheva on a question from the MPs Cornelia Ninova and a group of MPs; - Minister of Regional Development and Public Works Petya Avramova on eight issues from the National Representative Dora Yankova; - Minister of Labour and Social Policy Denitsa Sacheva on a question from the National Representative Dora Yankova; - Minister of Agriculture, Food and Forestry Desislava Taneva on a question from the MPs Mihail Hristov, Lalo Kirilov, Chavdar Velinov, Krasimir Yankov, Georgi Andreev, Nikolai Ivanov and Dimitar Stoyanov; - Minister of Energy Temenuzhka Petkova on a question from the National Representative Zhelyo Boychev; - Minister of Regional Development and Public Works Petya Avramova on a question from the MPs Lyubomir Bonev and Nikola Dinkov; - Minister of Regional Development and Public Works Petya Avramova on a question from the National Representative Lyubomir Bonev; - Minister of Interior Hristo Terziyski on a question from the National Representative Teodora Halacheva; - Minister of Interior Hristo Terziyski on a question from the National Representative Ivan Valentinov; - Minister of Agriculture, Food and Forestry Desislava Taneva on a question from the National Representative Yavor Bozhankov; - Minister of Interior Hristo Terziyski on a question from the MPs Dimitar Stoyanov and Chavdar Velinov; - Minister of Labour and Social Policy Denitsa Sacheva on two issues from the National Representative Nadia Klisurska-Zekova; - Minister of Regional Development and Public Works of a Question from the National Representative Kristina Sidorova. Here you go, Mr. Manov, for procedure.
ParlaMint-BG_2020-12-18.u197	Honourable Members, in the framework of a minor violation of the Rules of Organization and Procedure of the National Assembly and in the spirit of the holidays ahead, I address you in the framework of a procedure, but in fact with one request. Due to the severe situation with the coronavirus, many of the initiatives on a charity initiative for the children of the fallen and injured employees of the Ministry of Interior will not take place this year. So I turn to all of you and to the citizens who look at us at 1866 a SMS for these individuals, so that we can this year as well as other years help them feel part of the celebration and celebrations. Thank you, Madam President. I apologize for breaking the rules.
ParlaMint-BG_2020-12-18.u198	That message was important. Thank you, Mr. Manev. There are no new requests for the period from 11 December to 17 December 2020. We are going with questions to Denitsa Sacheva, Minister of Labour and Social Policy. The first question is from the MP Nadia Klisurska-Zhekova on socio-economic measures for the persons under art. 4, para. 3 of the Social Security Code. Here you are, Mrs. Klisurska.
