ParlaMint-BG_2020-12-17.u1	Colleagues, please register. Colleagues who are with us in the hall remotely: Mr. Kirchev?
ParlaMint-BG_2020-12-17.u154	Thank you, Mrs. Zaharieva. A report from the Labour, Social and Demographic Policy Committee who will present it? Mrs. Angelova, come in.
ParlaMint-BG_2020-12-17.u155	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! ♪ I can't believe of the Labour, Social and Demographic Policy Committee on the Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 - 2030, No 002-03-15, submitted by the Council of Ministers on 2 November 2020. The Labour, Social and Demographic Policy Committee at its regular meeting, held on 2 December 2020, discussed and discussed a Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 - 2030 with attached Draft Decision No 002-03-15, submitted by the Council of Ministers on 2 November 2020. The meeting was attended by Mr. Petar Nikolov, Deputy Minister of Education and Science, who presented the reasons for the Project of Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021- 2030. In his exhibition Mr. Nikolov explained that in recent years the system of higher education in the Republic of Bulgaria has undergone significant changes under the influence of a number of external and internal factors. A positive factor for its development was set in the existing Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2014-2020 main objectives and the measures taken to achieve them. The analysis of what has been achieved in recent years and of the new challenges to the higher education system shows the need to prepare and adopt a new Strategy for the Development of Higher Education in the Republic of Bulgaria, which will outline the vision and ensure sustainable development of the higher education system in the Republic of Bulgaria for the period 2021 - 2030. He noted that in recent years technological changes and the speed of innovation have substantially changed the requirements for the labour market competences. A number of traditional professions disappear and appear new, automation leads to polarization of the labour market, with increased demand for both professions requiring high analytical and social skills and non-rutinical professions in the field of service and social support. Deputy Minister Nikolov marked the following objectives of the Strategy within the scope of the Committee on Labour, Social and Demographic Policy: - Strengthening cooperation between higher schools, business, professional organizations and the state in discussing the curriculums and programs, practical training and career orientation of students. - Provide enhanced practical training for students to acquire competences and qualities sought in the labour market by including in teaching specialists from the practice. Stimulating the involvement of business and public administration representatives in the discussion of the curriculums and curricula in certain disciplines. - Stimulating the construction and maintenance of scientific infrastructures in partnership with the Bulgarian Academy of Sciences and the business for priority majors. - Support the professional orientation of students through career centers and create a national network of career centers. - Provision of mechanisms for monitoring the realization of graduates and maintenance of clubs of graduates. - Activating the partnership of higher schools with employers and the state in educational activities and continuing training. - Closer coordination between higher schools, employers and the state for carrying out ongoing training, qualification and requalification programmes as a main means of adapting to changing labour market requirements. - Stimulating the attraction of specialists with extensive practical experience as lecturers in the Bulgarian universities. - Stimulating cross-sectoral career development from academic to practical realization and vice versa. Activating the partnership of higher schools with business and state in research. The following discussion was attended by the MP Hasan Ademov, Nadia Klisurska-Zekova and Violeta Jeleva. After the end of the discussion and voting with results: 12 votes for........................................................................................................................................................................................................................................................ He proposed to the National Assembly to support a Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 - 2030, No 002-03-15, submitted by the Council of Ministers on 2 November 2020.
ParlaMint-BG_2020-12-17.u156	Thank you, Mrs. Angelova. Report of the Committee on Children, Youth and Sports.... who will present it? Here you go.
ParlaMint-BG_2020-12-17.u157	♪ I can't believe on a strategy for the development of higher education in the Republic of Bulgaria for the period 2021 - 2030 with attached Draft Decision No 002-03-15, submitted by the Council of Ministers on 2 November 2020. At its regular meeting held on 2 December 2020, the Committee on Children, Youth and Sports examined and discussed the Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 with the attached Draft Decision No 002-03-15, submitted by the Council of Ministers on 2 November 2020. The meeting was attended by Mr. Petar Nikolov, Deputy Minister of Education and Science, Mr. Stoyan Andonov, Deputy Minister of Youth and Sports and Mr. Kalin Kostov. The project of the Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 was presented by Mr. Petar Nikolov Deputy Minister of Youth and Sports in the part concerning the competence of the Commission for Children, Youth and Sports. He noted that the Strategy aims to develop a differentiated and flexible system of higher schools that function as successful partners and competitors of European universities and perform an educational, research and cultural mission for the benefit of society. A new point in the Strategy is the activity of activating sports activities in higher schools, improving the quality of training and racing activities, and building a modern sport base to achieve objective No 1 "Developing a sustainable mechanism to update existing and create new training programmes. The measures provided for in this Decision are in accordance with the opinion of the Standing Committee on Plants, Animals, Food and Feed, - a financially secured 10-year national programme for the construction and modernisation of the sports base in higher schools; - a system for shared use of this base by several universities and regulatory regulation of the possibility of shared use of available coach staff from two and more universities; - inclusion of compulsory sports classes in all educational plans of higher schools according to their specificity and improvement of the mechanism for financing sports activities in higher schools; - the definition of collective and individual sports for priority, of particular social importance, to be directed towards the efforts for financial and personnel strengthening; - the development and implementation of a national programme for the promotion and development of mass university sport; - establishment of a system for direct financing of the preparation and participation of the champions from the student collective and individual championships in the national championships in the respective types of sport; - the introduction of national scholarships for the most prominent athletes in higher schools and the preparation of clear criteria for their implementation. A written opinion was received by the Ministry of Youth and Sports, with which it fully supports the Strategy for Higher Education Development, stressing that the activities and measures envisaged to achieve the objectives set in Section VII as well as the expected results of the implementation of the Strategy comply with the Law on Physical Education and Sports and the priorities and objectives set in the field of sport for students. After a discussion and on the basis of the 10-vote vote held, the Committee on Children, Youth and Sports asked the National Assembly to support the draft decision on the adoption of the Strategy for the Development of Higher Education in the Republic of Bulgaria for the period 2021 - 2030, No 002-03-15, submitted by the Council of Ministers on 2 November 2020.
ParlaMint-BG_2020-12-17.u158	Thank you, Mrs. Angelova. Colleagues, I'm opening the debate. You have the floor to speak. Is there anyone who wants to make a statement? Mr. Tsonkov, you have the floor.
ParlaMint-BG_2020-12-17.u159	Thank you, Mr. Chairman. Ladies and gentlemen of the House, Mr. Minister! I would like to start my speech with the position of the parliamentary group of the BSP for Bulgaria and we will not support our presented draft Strategy for Higher Education. Although we have passed a procedure of public discussion, as well as a discussion within the parliament, I would very much like this strategy to be really consensual, to be visionary, to be philosophical conceptual and to draw the guidelines for the development of higher education in Bulgaria for the next 10 years. Unfortunately, the final version of the Higher Education Development Strategy did not justify my expectations for several main reasons that I would like to argue with you. First of all, it is very important that, before looking at the Higher Education Strategy 2021, we here in the National Assembly did not have the opportunity to take account of the implementation, to discuss the implementation of the Strategy by 2020. Because, although vaguely mentioned at the beginning of our proposed document, it is blurring out as an implementation of the presented project, which we should consider, not for any other reason, but because a major part of the objectives that were set in 2014, were actually met either at the end of the period or were not met at all. That is, the reform that had to be implemented with the Strategy, which is currently in operation, did not actually take place at this scale and depth that we wanted. Secondly, I think that the strategy that is being proposed to us is very formal because in many respects it does not go into the necessary depths in terms of the problems that should be identified and which should be resolved with a forecast for the future. The essential weakness of the Strategy that we are now considering with you is that there is no objective and important link between the system of higher education and the economic development of Bulgaria, i.e. what the industry should be, the sectoral focus of the Bulgarian economy for the next 10 years. Here is this analytical and prognostic element of the Strategy being lost, and hence, of course, we have no way to particularly outline the right objectives to be formulated and achieve high results for higher education for the next 10 years. The celibacy was wrong for several reasons. First of all, I see that a significant error is made between the aim and the measures and the actions which should follow And when we are talking about a higher education strategy, at the heart of this strategy, although it is somewhat vaguely mentioned that unity between education, science, innovation, technology, economics and labour market, of course, is very vaguely mentioned in the Strategy, the essence of such a higher education strategy is precisely this triangle, which is fundamental to every country. Why is he important? Because we have repeatedly raised the question of fundamental research that the state should be betting on. Again, we do not see this understanding of the development of fundamental research and what is the role of the state in financing, in stimulating, in the development of these researches. Here I open a clamp that, speaking of fundamental research, we must approach differentiatedly. On the one hand, we have the natural and mathematical sciences on the other, the technical, humanitarian and social sciences. This means that we must have both a complex and differentiated approach, because they are different as directions, have different needs and requirements. I immediately draw a parallel to how fundamental research will help the development of the state and link it to the role of higher education that is underestimated, by the way, with this document that we are looking at. Because in the document we see a role of higher education, which is reduced to creating competences, to serving the labour market, and returning to fundamental research and to creating knowledge that should be the basis for developing higher education, naturally, this generation of innovation and knowledge helps and generates economic growth in itself, sets the direction of developing the economy of each country. That is why I believe that it needs to exit in another way when we are talking about a higher education development strategy. The main value of higher education is knowledge, which is underestimated by our so proposed strategic document. Why do I say we have a mix of targets and measures? I am giving you, for example, digitalization, which is very widely proclaimed in our proposed Strategy Project. Digitalization can serve higher education, it is a tool, but it is not a main goal.. to digitize Bulgarian higher education. In the same way, talking about the funding, which is important, but it is the toolkit for the development of Bulgarian higher education and hence the state. And we are putting both digitalization and funding as main objectives. Key documents have been missed, such as the Smart Specialization Strategy. The link with regional development must be further strengthened and what is the role of higher education in developing individual regions. This is very important for maintaining regional farms and for creating conditions for the detention of young and trained qualified professionals on the ground. I would also like to say a few words about the relationship between secondary and higher education, because the quality of higher education is directly related to the staff who apply and become students. Therefore, quality should not be third as a goal, but should be a major goal for us to set for the coming years, linked to the creation of knowledge. And here I would immediately like to open a clamp that international research on the state of higher education in Bulgaria identify the problems, but I see that some of them have been missed in our proposed strategic document. With this strategy, we are trying to solve the deficits that are accumulated, unfortunately, the weaknesses that there are, instead of the analysis, the forecasts, the scientific results and evidence to predict in the next few years what the world around us will look like, what the Bulgarian economy, neighbouring countries will look like, what the competition is, and as we approach from this point of view, to look for solutions on how to develop Bulgarian higher education. Because it is important to have the intensity of scientific and educational staff, because it is important to increase both the number as quantity and the quality of research. I agree, but, I repeat, without the state, this thing can hardly happen. Of course, what impresses is also the large number of quantitative indicators that are handled, and almost the absence of qualitative ones that are important when we talk about such a system. This is also evident at the end of the Strategy, where we should indicate how we will control the implementation of the objectives set and, of course, what results we expect, but the results cannot only be quantitative. And an important very important weakness, which I would also like to share with you the role of higher education. We also have cultural, we have educational, we also have scientific, of course, scientific and educational are primary, but we should not underestimate the social, cultural, regional role of higher education, rather than simply narrowing it down to the labour market. With the so described weaknesses, which I think are very significant, we cannot support our proposed strategic document in this way. We would like a comprehensive revision, a new aim and a vision for the development of higher education, in line with new realities, with the forecasts for the development of new technologies, of countries, and the most developed to be competitive in higher education and as a state. Again I say: the quality of Bulgarian education and, of course, its role must be different, not just building the competences of young specialists, but knowledge, because the foundation is broad basic knowledge, so that they can quickly adapt to the dynamic, rapidly changing economic and social environment. Therefore, based on the role of higher education, we would like to see a new different strategy for higher education. Thank you.
ParlaMint-BG_2020-12-17.u160	Thank you, Mr. Tsonkov. - What's the line? I can't see. We continue with the speeches. Here you go.
ParlaMint-BG_2020-12-17.u161	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! The strategy proposed by the Council of Ministers for the development of higher education in the Republic of Bulgaria for the period 2021 is a balanced document that outlines the vision for the development of higher education in our country in the next decade, with all the current challenges arising from the processes in the field of higher education as well as from the changes outside it, and offers an exceptional, precise and detailed plan for dealing with them. This precision has been achieved thanks to the far-sighted decision to develop the document on the basis of slot analysis on the current state of the higher education system. This allows the proposed Strategy to combine established long-standing academic traditions and good practices with adaptability to the dynamic environment conditions and emerging challenges. The high quality of the document is guaranteed by its development according to all regulations and strategic documents from the Bulgarian legislation, as well as its compliance with the recommendations of the European Commission for the development of higher education. This strategy takes priority into account current and emerging problems arising from the intensive development of digital technologies, the accelerating dynamics of the labour market, demographic features, the changing role of higher education, management challenges, stereotypes and attitudes towards higher education, the challenges to the development of academic staff, insufficient scientific activity, increasing objectivity and effectiveness of accreditation, etc. The document also proposes the most appropriate measures possible to address these and other challenges to the higher education system. We can summarize that the vision for the development of higher education in Bulgaria laid down in the Strategy is in line with the government's policy for prioritizing the development of Bulgarian education and satisfies all stakeholders, taking into account their needs and recommendations. The objectives set in the Strategy cover the entire possible range of measures, activities, tools needed to achieve them. Only their uncompromising implementation will ensure the achievement of a differentiated and flexible system of higher schools that function as successful partners and competitors of European universities performing an educational, research and cultural mission for the benefit of society by introducing fundamental and applied research and by providing quality education. Dear colleagues, this strategy is a step in the right direction for the development of Bulgarian higher education and that is why with colleagues from GERB's parliamentary group we will support it.
ParlaMint-BG_2020-12-17.u162	Thank you, Mrs. Stoyanova. - What's the line? I won't. Come in, Mr. Stanilov.
ParlaMint-BG_2020-12-17.u163	Dear Mr. Chairman, honourable Members! The strategy for higher education in all weaknesses is adequate to the universal European education policy, also reflects its weaknesses. The existence of this minister throughout his term of office was not surprised by what I would say to fix the curves of previous ministers of education, including those who were in the governments of GERB. He didn't have time to deal with everything, but we're not discussing this now. Each strategy should be implemented by any governments, whatever it is, but usually in Bulgaria the next governments are beginning to distort things. I'm saying this because we're in front of an election. The weakness of this strategy is in her philosophy that she does not gamble enough, as colleague Tsonkov said, of knowledge, but relies mainly on training and competences. However, this is not her greatest weakness. The weakness is that in Bulgaria the strategies are usually not implemented. I am not convinced that this strategy will be implemented. As far as the relationship between fundamental science and higher education is concerned, let it be borne in mind that this government has adopted documents concerning research universities, strengthening research and so on, only fundamental science has been forgotten somewhat, but all of this can be straightened out. I voted on this strategy to the Commission. I'll vote on it now. I am deeply convinced that if this minister is in the next government or someone like him, things can go even better. What have we been unable to cope with, as I said in the Commission, during this term? We couldn't handle control. The so-called National Assessment and Accreditation Agency did not move one step forward. That was a very big weakness. That's why docs and professors continue to swarm into different universities that have no qualities for this, but with this weakness we can't deal with all of a sudden. It comes to my mind that something that breaks down is destroyed very quickly, but then when you try to restore it, it becomes very slow, painful and requires great effort. By the way, good luck to everyone with this strategy! I think that whatever weaknesses it has are useful, timely, and if it is implemented, we will have a step forward in higher education.
ParlaMint-BG_2020-12-17.u164	Thank you, Mr. Stanilov. Are there lines? Mr. Mihov, come in.
ParlaMint-BG_2020-12-17.u165	Dear Mr. Chairman, ladies and gentlemen, Mr. Minister! I regret that this important issue is being looked at at at the end of our meeting in this sleighty room. This strategy is slightly different from previous strategic documents. I do not agree with what the Left's colleagues have pointed out, looking for certain shortcomings. I think that it is perhaps not very bright, not very poster, but quite clearly formulated the main question of the higher education system. Can we even talk about a higher education system? In fact, we have an inherited network of higher schools, which is built centrally, state regulated and funded, it itself state-owned, under the conditions of a highly centralised planary economy and society. It has its qualities and we can still say it has little, significant and teaching potential. In this direction, I should say that we should not reject and brand our higher schools, our teachers. I've said it from this tribune, and I'll tell you now. An ambitious, talented and working young person can receive a wonderful European education in Bulgaria in all spheres of scientific knowledge and practice from high technology to humanities and medicine. However, this possibility is not transformed into a technological process that will make this opportunity a standard that not only someone can achieve high results in their qualification during their studies, but that anyone who completes the higher education system is the holder of such standards. That's the big question. This highly inherited centralized network of higher schools in the last 30 years has developed into absolutely free of any control, unfortunately, and commitment of the state in very complex conditions. Today, this network operates in a global scientific space, in a global university space. And it competes not only with higher schools in Europe, but throughout the world. It is a matter of desire that we can say, and not so much of financial opportunities that a young person chooses whether he will study in the European Union, whether he will study in the United States, in Russia, China or elsewhere, where there are universities that surpass us in a very, very large way. By putting that question to ourselves, we need to answer where to go and how to walk. I think this strategy is responding. Undoubtedly, in order to change our education, the only factor capable of doing so is the state. The state with its capabilities, levers, management, funding and everything we can put into this. This change must, in my opinion, take place in two main approaches. More finance, more resources in higher education and more regulation and control. Only in this way can we turn the public resource invested into an effective reform. I think this should be the strategic path that follows this government that puts it and everyone else. Because the question of our higher education is not just a question of preparing qualified personnel. It is a matter of national security, it is a demographic issue, it is a matter of scientific potential, it is a question of national dignity and national pride and national self-consciousness from this direction. If we have good universities that prepare specialists at a global level, we will have a good education system, we will have a good health system, good administration, good economy, good technical and scientific achievements. If we have faults in this, we'll have problems in all of these systems. I would be happy to appeal, and I have no doubt that we from IMRO and IMRO will support this strategy. It raises serious questions to this government at the end of its reign and to all the others who will come after it. Because our higher education must be placed seriously as a priority in education, something that we are doing with this strategy at the end of the mandate. I am pleased that the Education Committee has accepted our amendment to be clearly committed, to declare in the strategy something that has been in the old strategy on our proposal that the state will work actively to attract students and lecturers from abroad to the Bulgarian higher schools and, above all, from the Bulgarian communities so that our higher education will become a uniting factor for all Bulgarians, regardless of where they live. Thank you.
ParlaMint-BG_2020-12-17.u166	We continue with the speeches. Mr. Christov.
ParlaMint-BG_2020-12-17.u167	Mr. Chairman, Mr. Minister, colleagues! The very fact that we consider the Higher Education Strategy as the last point shows that it is the state's last priority. [[Noise and lines.]]
ParlaMint-BG_2020-12-17.u168	This isn't serious!
ParlaMint-BG_2020-12-17.u169	Are you done? [[Noise and lines from GERB.]] If you want, you can come here and I'll sit back down.
ParlaMint-BG_2020-12-17.u170	Please continue your speech on the subject, Mr. Hristov, and do not engage in dialogue with the Chamber.
ParlaMint-BG_2020-12-17.u171	The problems of higher education are a strategic problem for the state, for the society and for the nation. This is not just one of many activities. The cliché is known that higher education has the main task of not giving competence, not providing a material and technical basis, not providing changes in the digital age...............................that you will forgive, Mr Minister, the most important task of every educational process, including higher education, is what type of person we want to have, to create. This is essential. The successful societies in the 20th century and most of all in the 21st century are those who invest primarily and understand man as a main goal, a basic resource, a core capital, a fundamental value. In Bulgaria, when any strategic documents are created, and we, by the quantity of strategic documents, feel that we are in the same place in the world, by their failure, too, a very important point is missed very often: what is this strategy? The colleagues have already spoken here, partly touched on this issue. The strategy above all has the task of defining what state we are currently in and what state we wish to be in in 5, 10, 15, 20 years. What condition do we want to be in? The system of higher education is part of the public system as a whole. So before we answer the question what system of higher education we want, we need to be aware of what kind of state we want to be in ten years, what kind of society we want to be in ten years. [[GERB lines.]] You two recognized each other, didn't you? What kind of society do we want to be in ten years? These are the important, strategic questions. At least once this National Assembly takes serious matters seriously. For four years I have looked at you and see that you have no idea of the priorities of this country; no understanding of the dramatism in which it is present; no desire to try to understand that this is a common national problem. We are entering a cruel historical time that will not tolerate any of our provincial, simple, petty games at all. So to say, the existence of Bulgarians as such and their country is on the edge, which is not dramatic talk. To be clear about what type of education we want to have, we need to be aware that Bulgaria is located, firstly, in a strategic place and no one will leave us because of the lack of willpower, competence, desire and because of our universal invertebrateness to be present here as an amorphous mass without ideas, without goals, without a strategic vision of what we want to be. Secondly, the system of Bulgarian higher education, as it is at the moment, is a kind of hybrid between the state higher education found during socialism, which is spoken of by some of my colleagues, I think Associate Professor Mikov, and two very important factors. The first: the very modern one in the 1990s and the beginning of the 21st century neoliberal cliche for a smaller country, for the withdrawal of the state, for the minimization of the state, the neoliberal cliché for the fact that the market, you see, would solve everything. Which market? Business needs: which business? Active student: who is this active student? As a result, we now have a hyperatrophied head and an atrophied body. Socialist Bulgaria was 9 million and there was, if I am not mistaken, between 15 and 20 VUMs. At the moment, the country is 6 million and has 53 higher schools. If I am not mistaken, correct me, Minister, in the first thousand VUMs in the world there is no Bulgarian institution of education. The level of Bulgarian science is provincial, it is unrecognizable, the level of our education from year to year falls. Yes, we can go on in this spirit and further on burying our head in the sand, saying that things are very good. They didn't! Things are dramatic! Bulgarian education has no idea, it has no quality, it does not know where it is going. It's moving inertialy. So when we talk about strategy, the first most important question we need to answer is: who is the subject of strategic action that wants to achieve some strategic goals? Unfortunately, Mr. Minister, I don't see this subject in the Strategy. If it is the state, it should be made clear that the state from this moment on takes strategic action on the development of the Bulgarian higher education, which is one, two, three objectives - not more, and this will be achieved with such a financial resource, with such an organizational resource, such a human resource. I have direct and immediate impressions of how in 30 years neighbouring Turkey by an outsider in the field of education achieved exceptional quality in the field of higher education. It's only 30 years! In the region of Eastern Thrace 30 years ago there was only one University of Thracian University in Adrianople, 29 are currently with this one in Canakkale, at an extremely high level. Why? Because it is assessed by the strategic leadership of this country, despite the political blooms, that this is an important strategic direction for national survival and making Turkey not a regional but a global force. We do not have such priorities, we do not have such objectives and once again I say: there is no defined entity for strategic action. The Academic Community is putting as a goal in the Strategy. Where is this academic community? What are her common goals? Where did she manifest these interests of her own? Where she said she would enter into the respective interactions with the state, or against the fact that part of the academic community is setting her the status quo as it is now, and it is dead and killing the country. And higher education, too. Part of this academic community is simply living as state officials who want to secure their retirement. This is a combination of, to put it mildly, non-ambitious professors and two less ambitious students. Secondly, the country has been brought into the global village for 30 years. This means that every good child, every good teacher, every ambitious person in this country prefers to be realized outside because of the inability to realize it here in the country. The problem is not financial, as many people very often think by analogy with the theme of health care is the most funded system in the last ten years. So?! There's a cliché I hate: pouring money, absorbing resources. The semantics of the word shows the purpose of action to learn, not to create. It is clear to me that this team of the Ministry, which, by the way, should be greeted specifically in the higher education system, is trying to swim against the current, against the academic current, against the public current and against the political current. [[The President signals that time has expired.]] I'm coming!
ParlaMint-BG_2020-12-17.u172	Please extend the time!
ParlaMint-BG_2020-12-17.u173	Please extend the time. This, of course, means that against a real, real reform of the higher education system in the country there is a powerful group that does not want and only in words wants reforms, but the actual dead status quo suits it. This group has no color, no class or political characteristics. This is that mediocre swamp that is becoming more and more characteristic of huge spheres of our lives. What can we do in this situation? First, to set realistic goals one, two, three maximum. Secondly, let's do what in English is called Cluster of Excellentness, that is, one, two to three higher schools, which will start as a locomotive to pull the entire remaining system of this education, which will measure according to the best standards of European and world standards as China has done. You will say: China is a huge country and has a huge resource. It is not a matter of much or little resource, because I will give you another example with one country, which is not even legally recognised. Make the effort to see how many North Cypriot universities there are in the international rankings and how many Bulgarians there are and you will draw your conclusions. But this means completely other requirements for the teaching staff, language, competent, educational, if you want a way of teaching, attractive teaching. Second, a requirement for students. The principle that higher education, as well as secondary education, as well as primary education, is a function of financing a mudguard means that it is not important what results you make at the exit, but how many people you put at the entrance. In such a logic of funding education you cannot have quality education. You'll be making all kinds of concessions to more and more undergraduate students just to get your bread. It can't go on like this. Actually, it can until we hit rock bottom. And lastly, I know you don't care deeply about all this. I know you're waiting for the three minutes to go by and it's over. So slowly and gloriously and in complete ignorance goes our country. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-17.u174	Thank you, Mr. Christov. - What's the line? We continue with the speeches. Colleagues, I don't see anyone who wants to make speeches. Mrs. Simeonova.
ParlaMint-BG_2020-12-17.u175	Thank you, Mr. Chairman. Dear colleagues, Mr. Minister! The educational system in Bulgaria has centuries-old traditions and extensive experience, which is based on continuity. The education system is actually interconnected in preschool, school and higher education. The Project for Strategy for the Development of Higher Education in the Republic of Bulgaria defines a number of problems, real deficits that require systemic solutions, not only in higher education as a separate sector, but as part of the education system. Since there is very little time, I will not dwell on the problems that are defined and which are related to the subject. Although no decisions based on the relationship are envisaged on average higher education, after all objective No 7 is formulated as follows: The Strategy is to be materialized in regulatory documents and at least in them it is necessary to regulate the interaction of secondary higher education by clearly defining the tasks through which this can be implemented. If there is no quality in secondary education, how can we demand quality in higher education? Because secondary education not only creates staff but uses higher education, namely pedagogical specialists. It is therefore necessary to work to optimize the relationship and interaction between secondary and higher education, such as: - Preparation and synchronization of a national map of both higher and secondary education, which define the profile and territorial structure. - Construction and synchronization of a common information network of career development centers for both students and students. - Synchronization of educational programs, where possible, between secondary and higher education, especially in professional directions. - Development of mechanisms for student and student practices in real conditions. - Cooperation between higher and secondary education in the field of dual education. - Active cooperation in the construction of the staff for secondary education, namely pedagogical specialists. - More frequent visits to teachers from higher education institutions in secondary education, as well as vice versa teachers to be attracted as lecturers in higher education institutions and to enable career development, to receive PhD degrees, but also to associate degrees, which are now an exception. A system is stable and quality if there are strong connections between different levels. You can't get quality education without continuity. It is therefore necessary for the relationship between secondary and higher education to be both part of the Higher Education Strategy and part of the Secondary Education Strategy. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2020-12-17.u176	Thank you, Mrs. Simeonova. Are there lines? I can't see. Any other speeches? Mrs. Petrova.
