ParlaMint-ES_2020-02-04-CD200204.u1	Good afternoon, ladies and gentlemen. The meeting was called to order.
ParlaMint-ES_2020-02-04-CD200204.u113	Ladies and gentlemen, please remain silent.
ParlaMint-ES_2020-02-04-CD200204.u114	What have you done in Murcia? Parental censorship, so that then they say that the indoctrination is the model of Catalan school. What have you done in Madrid, for example? Declaring a competition between autonomous communities while saying that it is others who break Spain and, in addition, eliminate Central Madrid so that then Europe has to come to throw their ears out and have them rectified. [[Applauds]] While you do that, this government in less than a month has already declared the climate emergency, raised the minimum wage to 950 euros and updated the pensions according to the CPI. [[Applauds]] There are therefore two clear ways of understanding Spain: Spain's rights as proposed by this Government and Spain, which under an empty patriotic rhetoric tries to impose its sectarianism and also its doctrine. So this decree of tax, cadastral and social security measures has an immediate effect on citizenship, especially on those groups with whom politics has a debt after this decade lost of cuts and austerity: pensioners, self-employed, farmers and workers in general. And we do it despite the anomaly of continuing under the slab of Montoro's budgets, an anomaly that must be corrected by real decrees like this, but that will need a solid progressive and plurinational block to pass page of the popular party's inheritance. That is not just any inheritance, it is the inheritance of corruption - a few days ago we knew that Anticorruption asked for eight years in prison for Ignacio González - or the inheritance of the cloacas that last Tuesday directly pointed to Mariano Rajoy as the main responsible for fabricating false evidence against political opponents. [[protests]] We have also known - if anything was missing - that you, the constitutionalist patriots, used 500 000 euros of reserved funds to spy on those who were spying on you. They say whoever steals a thief has a hundred years of forgiveness, but the truth is that you're not going to be forgiven for all the evil you've done to our welfare state. You're proving it these days. I'm done. In your party - and I tell you with total sincerity - there are very sensible people who have ruled - we leave aside, for example, Mrs Álvarez de Toledo, who has enough troubles within the People's Party itself - and even you understand that without that dialogue - territorial dialogue, but also social dialogue with all the actors involved in the social progress of our country - there is no solution for this country, because dialogue is not only a desire of those who have always been at the side of solutions, dialogue is the guarantee that there will be social and political progress in Spain, the guarantee that we do not have to re-adopt real decrees that give security to citizens, because we will already have budgets and laws that do so. I am convinced, and with this I conclude, President, that in this parliamentary term, which begins all the forces that we are on the side of progress and plurinationality, we will make it possible. Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u115	Thank you, Mr. Mena. For the VOX Parliamentary Group, Mr Figaredo Álvarez-Sala has the floor. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u116	Very good afternoon, ladies and gentlemen. Thank you very much, Madam President. Before I start talking about the issue that brings us here today, I want to ask Mr. Spokesman of Podemos to please not lie again in this room. I really ask you, please, because while the VOX accounts are public, they are audited and we are open to comment on them, and so we have done on countless occasions, yours however are absolutely opaque. And on this I will ask you directly: what happens to the financing of Bolivia, Venezuela, even Iran? [[Applauds]] I remind you that in Iran your friends of the Iranian dictatorial regime hang homosexuals for the mere fact of being gay. Give you explanations of that; speak with a loud voice, as we do of our accounts. This, on the one hand. [[Applauds]] On the other hand, let us deal with the issue that brings us here today. Today we come to talk about the Royal Decree-Law 18/2019, a real decree-law apparently innocuous, very technical, but what hides behind it is that it is basically one of the gears that accompany the entire extension of the General Budgets of the State. However, this royal decree-law brings with it or demonstrates the way this Government and, by the way, also of all the previous ones: that way of kicking forward constantly, of postponing the moment to face reality. And to show a button. If we read this Royal Decree-Law 18/2019 we will see that it extends in ten years the date to return a loan granted to Social Security, which had to be returned originally in 2010, i.e., at best this loan would be returned twenty years after the original date. Minister, you say that this royal decree-law demonstrates the sensitivity of the government to the workers of Spain. The reality is that this royal decree-law demonstrates the improvisation with which this government is directed. If you had been genuinely sensitive to the needs of the Spaniards, you would have brought to this House the rules that you are now extending with your eyes closed. And this I'm going to say now is relevant. You are dedicated to convincing your fellow members of government: communists, separatists and terrorists. By the way, you speak of grandchildren and rights, and precisely these communists speak only of spending and spending. Well, if you continue along the path you claim, your grandchildren will have nothing but ashes, you will have no pension, neither worthy nor unworthy, because the system will not be sustained as you continue with the measures you want to implement. Let's keep going. Madam Minister, your Government and all the previous ones in Spain - and it seems that successive ones too - have increased public spending, which is the basis of the General Budgets of the State. They have increased it from about 30 billion euros - the figure is said to be soon - in 1980, which brought at present time, with inflation, would be about 150 billion euros. Well, in 2019, public spending has risen to EUR 500 billion. Out of the 150 000 that would correspond have gone to 500 000. The expenditure is triggered and together with this the deficit, a public deficit that makes the Spanish economic system and the Spanish Treasury totally unsustainable. How do you continue along this path? However, these extremely high budgets are not so negative or at least not negative for everyone. In them you can easily distract a few hundred million euros. For example, those nearly 700 million euros from the EREs of Andalusia, the Socialist Party, by the way, which the press said were spent on prostitution and cocaine. [[Applauds]] It's funny to me that Mr. de Podemos has the ability to see one corruption, but not the other. What's going on with those 700 million euros? Don't you ask about them? Or for those 30 million euros of UGT and Workers' Commissions in Extremadura? Or that poor million-and-a-peak UGT in Asturias? Or by Fernández Villa, who had EUR 1 400 000 in cash kept in his house, that unionist and socialist Asturian enclave? Don't you ask for them, gentlemen of Podemos? We see that these budgets and this huge spending is a magical and socialist box to dilute, dissolve and make taxpayers' money disappear. Gentlemen, stop putting clubs on the wheel for the worker, the entrepreneur and the Spanish entrepreneur. Do not put sticks on the wheel because those sticks that put on are not only economic, but also bureaucratic and prevent all Spanish workers from developing efficiently in the market. And if I do not ask those who listen to us from their homes to read even diagonally this Royal Decree 18/2019 to see the complexity to which the Spanish field workers, the self-employed, etc. are subjected. [[Applauds]] And here I make one more observation. Mr de Podemos, I do not see you asking about that 21% with which energy is taxed in Spain. That 21% is a natural response to the voraciousness of the state, to the collective need they have, and so they do not lower it. The energy emergency could be alleviated simply by a modification of this type of tax. In short, a fairly simple solution - VOX is one of the few groups that brings it, not to say the only one - would be to draw up budgets on a zero basis, start from scratch, count on account, analyzing what are the needs of the Spaniards. This would involve a great deal of work and a great deal of effort, and for some of the disputed it would be something new, of course. [[Applauds]] Thus we could ask ourselves whether, for example, those nearly EUR 9 million that are given to trade unions are necessary, trade unions which, by the way, are dedicated to stealing and insulting, among others, Spanish farmers who manifest themselves in front of the Ministry of Agriculture. [[Applauds]] The question is that the only party that proposes common sense measures is VOX, because it is not common sense for those who waste the money of all Spaniards not to answer for it, and neither is it that when the Spanish State already owes more than one hundred per cent or about one hundred per cent of one year's GDP, it remains in that cycle of expenditure and deficit. Gentlemen, get out of your bubble and see what the real needs of the Spaniards are, because politics must not be a mere catwalk to get to the Falcon or to move from 15-M to stepping on Congress's soft carpet. [[Applauds]] Ladies and gentlemen, political work must make life easier for the Spaniards, for all the Spaniards, and that is achieved by hindering them as little as possible. That is why the VOX Parliamentary Group cannot, much less, approve the validation of this royal decree-law, and that is why we will abstain. Thank you so much. [[The vote will take place tomorrow at 12 noon.]]
ParlaMint-ES_2020-02-04-CD200204.u117	Thank you, Mr. Figaredo. For the People's Parliamentary Group in Congress, Mr Garcés Sanagustín has the floor.
ParlaMint-ES_2020-02-04-CD200204.u118	Good afternoon, Madam President. Ladies and gentlemen, we haven't seen each other in two months. The first thing I have to say is congratulations on having repeated in this government that we see new faces. Congratulations to all the ministers. Congratulations on being a spokesperson. Mr Sicilia has given me the memory, because the truth is that the Socialist Party has a very complicated and very difficult system of rewards to understand. They have been his two most characteristic horribilis months, because it is true that during these months there have been no vulture funds, what has been vulture in public funds and precisely in the Junta de Andalucia. Therefore, in view of what has happened and the intervention of the Andalusian Board, where it has been necessary to make an adjustment plan derived from the adjustment made by the General Intervention - which is up to you, Minister - it is still surprising that you are here right now as the spokesman of this Government. [[Applauds]] In any case, Mrs Montero, I appreciate you despite what I have said to you. I appreciate him and I like him to be a spokesman for this government; I really like him. We will live extraordinary moments and hope to share them with you in a pure sense, in the sense of political dialectic. I'm already telling you that we're going to vote against this decreeley and I'm going to tell you why. First, we consider that this decreeley, like any decreeley, should obey a reason of extraordinary and urgent need. Unfortunately there is no reason for extraordinary and urgent need here, what there is is a reason for extraordinary and urgent incapacity; inability to have passed a law on general state budgets. Do you know, Minister, that this week has been thirty months since the last Council of Ministers approved budgetary stability objectives, which were endorsed by Congress and the Senate? Do you know that you have been unable to do so? It is true that there have been moments that are not directly attributable to their governance. It is true that there have been moments of public inaction and paralysis not directly attributable to you, but it is now time for us to break this kind of psalm and we can move forward, which is the important thing. We are going to vote that not because the text contains the consolidation - one more year - of the property tax. You know, minister, that within the People's Party's election program was the abolition of the property tax, a tax that we consider anachronistic. The Institute of Tax Studies, which is dependent on you, has recent studies that say that it is an extraordinarily unfair tax from the point of view of vertical and horizontal inequality, that of course does not fulfil the census function that it had been said to fulfil, and that it obviously also has little collection capacity. If it does not fulfil any of the primitive functions for which this tax was created, it will be extinguished. But we're going to do it in a smart way. We are not going to extinguish it through the total repeal of the tax, but what we want to do is to increase the tax quota to 100 percent - I have it registered in a PL, which obviously will not support us, but I have to expose it -. You know why? Because in this way the taxable act is taxed and so the autonomous communities that want to be tempted to apply the tax will not be able to do so within their territory. You who talk so much about fiscal dumping let the autonomous communities work freely. Now, speaking of autonomous communities, I will tell you one thing. Congratulations on convening the Fiscal and Financial Policy Council today. Thank you, but I would ask you one thing on behalf of the autonomous communities governed by the People's Party: expand the agenda and include the issue of VAT. The EUR 25 billion owed to all Autonomous Communities is not included. [[Minister of Finance, Montero Quadrado: Montoro]] By the way, it has been sued by the President of the Castile-La Mancha Board because these funds have not been transferred. [[Applauds]] As far as the text is concerned, I would like to have some doubts, precisely because their partners are here as well. When's the big fortune tax? Is it a tax that's going to have a state root? Is it a state establishment tax that is going to be transferred to the autonomous communities? Is it a tax that will nourish the public resources of the State Treasury? Can you explain to me for when that big fortune tax? How are you going to live with a tax like the property tax, which has the same taxable object? How will you fulfill your promise with your partners knowing that you can't tax twice on the same taxable object? How are you going to do that? He'll tell me that maybe he can't clear the incognita today, but we'd like to know. The property tax practically does not exist in any country in Europe. Only in France - scarcely, because right now they only tax real estate through assets - in Liechtenstein, Switzerland and Norway. In the rest of the countries it does not exist, even in Germany it was declared unconstitutional. Well, look at a big fortune tax, look at the European scene and see where you can find a tax of those characteristics. But I will go on, because this is a real decree-law that confronts us with the contradictions of your Government, your coalition government, the programs that are combined and the ideas, because it is true that a coalition pact is made but in the end all contradictions arise. The first of these: you extend the module regime so that there is no direct estimate. Where is the promise of the United Nations? Can we say that the modular regime has to disappear so that everyone can go to direct estimate? Where's that formula? Are you going to discuss it at your assemblies? Now that it's already governed, doesn't it matter if there's an objective estimate? Or was it all a subjective estimate converted into an objective estimate, such as the subjective estimate of public assets in the Junta de Andalucia? Is that what we're on about? Have we changed yet? The other day we saw convert Republicans applauding; now we find ourselves as the conversion has also occurred in the tax system. It is what has to play carpet, that in the end one becomes liberal quickly, but well, these are things that happen. [[Applauds]] But there is more, it also extends something that was already in the Budget Act of 2016, approved by Minister Montoro. This, truly, minister, from Montoro to Montero and from Montero to Montoro, because we are constantly going from one to the other. This is like the goose, what we don't know is what track we're moving on. The simplified scheme and the special scheme for farmers, winners and fishermen are also extended. That's very good. But do you know what goes on too, Minister? The sponsorship regime. Today I have heard the expression, Mr. Vice-President, once again. Do you remember what he said on TV? Amancio Ortega is a young man who makes donations. Today they will adopt an article that includes tax benefit measures for donors, for example in matters related to neurodegenerative activities. They have converted to liberalism too. It's just that not only will Amancio Ortega be able to give you money, but you're going to pay you money, you're going to give you tax benefits for those contributions. What are we left with then, aren't you gentlemen? We left Gramsci for Gracita Morales, that's what happened; Gramsci really no longer exists, it was a second-level reading, because at the end of the day in universities that was not explained, Mr. Iglesias, was explained to Gracita Morales, which is the level that could be reached. [[applause]] And I'm done. Obviously, as I said, we will vote no. We shall vote no, and I say that today we have tabled and registered a proposal for a law abolishing the property tax. We want a modern, fair, fair tax system that does not penalise merit. Do not continue to stigmatize merit, ability, effort and sacrifice. They break down modern societies that criticize for an absolutely anti-liberal principle. But I do aspire to one thing, and I say it to you very clearly: I frankly believe that in addition to the conversion we saw the other day through manual automatism of giving applause to his majesty the king, let us see another kind of conversion, which is tax conversion. Thank you, welcome to liberalism. Thank you so much. [[Let's give it up.-A honourable Member: Good!]]
ParlaMint-ES_2020-02-04-CD200204.u119	Thank you, Mr. Garcés. For the Socialist Group, Mr Casares Hontañón has the floor.
ParlaMint-ES_2020-02-04-CD200204.u120	Thank you very much, Madam President. Good afternoon, everyone and everyone. It is also my first speech at this plenary session of the Congress of Deputies, and I am proud to defend the position of the Socialist Parliamentary Group. Today we bring the last of the three decrees, a very technical decree with fiscal, tax and cadastral measures that the Minister of Finance has very well explained to his lords. Before delving into some of the considerations that the minister has also made, I would like to respond to some reflections that we have had to hear in this House, especially from the right-wing groups represented here. Citizens, I do not know what you mean by something exceptional, but if we have a government in office it is not something exceptional, I do not know how you will explain the current situation to us. By the way, something that you, with your permanent blockade, committed yourself to not having a government in this country, and the citizens returned it to you in the ballot box by leaving you today in political irrelevance, gentlemen of Citizens. [[Applauds]] Also by the way if they were so concerned about the module system, I don't know why they didn't include it in the budget pact they reached with the People's Party to approve the 2018 State General Budgets. [[Applauds]] And, gentlemen of VOX, that you come to this House today to talk about the financing of political parties, when we learned that your political leaders and your electoral campaigns were financed by Iranian exile, is at least delusional, gentlemen of VOX. [[Applauds]] And, gentlemen of the People's Party, that you speak here today of Andalusia, when you were the first and only government of democracy censored by this House for the illegal financing of your party, it is also blushing, and much more so the next day to know that you used reserved funds to spy on Barcens, gentlemen of the People's Party. [[All right, cheers. Rumours.]] More, much more, gentlemen of the People's Party. And you also come to the point of amending yourself to demand that the Government of the nation pay that monthly VAT, when it was you, the Government of Mariano Rajoy, who did not pay the Autonomous Communities and who, in addition, passed regulations so that it could not be done. [[All right, cheers. Rumours.]] Of course, gentlemen of the People's Party... Now I am going to dwell very briefly on what is important, which are those measures that the Spanish Government has adopted by decree to benefit many workers and many women workers, many people who need politics with that urgent decree. It is a decree that has taken necessary measures, as the Minister explained, to help sectors that need our help, such as farmers, farmers or fishing, with these special VAT measures. It is also a decree that if not implemented today, all these sectors would have to be subject to higher tax burdens. It is a decree, gentlemen of this House, that, among other measures, it has the update of the cadastral values so that they could enter into force before the beginning of the degeneration of IBI, and the people who come from municipal politics know today especially what the main tax for the municipalities of this country represents. It is a decree which also provides for the temporary maintenance of the property tax, which has been extended since 2011, a measure of important economic significance for the autonomous communities, and which has a planned collection of around EUR 12 billion for this year. And I ask the political groups that are going to abstain today or even vote against: what are you going to say to the autonomous communities when you cannot finance public education, public health, dependence or policies that you develop with that money, ladies and gentlemen? [[Applauds]] A measure in a day like today also especially important of this decree is that relating to the freezing of pensions, as they had been updated in 2019, until the revaluation by a new decree of the Government of Spain already with all its functions, with a double objective, ladies and gentlemen: to give security to the pensioners and not to generate confusion, first with that revaluation that you wanted of 0.25 and then with another revaluation when we already had the Government until the 0.9. A commitment - yes, I know you do not like it - of the President of the Government, Pedro Sánchez, to give dignity to more than eleven million Spaniards, who are the beneficiaries of this measure. It is a measure of justice to end the dictatorship of the pension update of 0.25. And what did we have to hear those days, ladies and gentlemen? We had to listen to a political party that had condemned the pensioners of this country for seven years to the dictatorship of 0.25, who were going to appeal it to the Constitutional Court - do they remember?-, and only did it because a government in office, responsibly, ladies and gentlemen - do not get nervous -, postponed the rise of pensions to, then,... [[rumors]] [[Rumors]]
ParlaMint-ES_2020-02-04-CD200204.u121	Ladies and gentlemen, please remain silent.
ParlaMint-ES_2020-02-04-CD200204.u122	...as we have seen in this House, update them according to the CPI. So thank you to the Council of Ministers. [[Laughter]] What was better, ladies...?
ParlaMint-ES_2020-02-04-CD200204.u123	Ladies and gentlemen, please.
ParlaMint-ES_2020-02-04-CD200204.u124	What was better, ladies and gentlemen, to suspend the application of the minimum increase of 0.25 set by the Rajoy Government or to wait for the revaluation of 0.9 % in order to avoid doubling costs and procedures? That is the reality as much as you try to interpret it and manipulate it. Finally, ladies and gentlemen, this decree also reflects the freezing of the minimum wage until we wait, as we saw this morning in the Council of Ministers, for the updating of the minimum wage with an increase of 5.5%, in addition to the biggest increase in the history of Spanish democracy with that 22%, which was also an achievement of this government, of a progressive government. [[Applauds]] Finally, ladies and gentlemen, I appeal to the responsibility of all 350 Members of this House to validate this royal decree-law, a measure of justice that will undoubtedly benefit the working class of this country, those who earn low incomes, women, young people, the self-employed, farmers, farmers and fishermen. So please let him see, take a little responsibility, just a little, and vote in favour, not for the government, but for thousands and thousands of Spaniards who need politics. Thank you so much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u125	Thank you, Mr. Casares.
ParlaMint-ES_2020-02-04-CD200204.u126	We now turn to the last item on the agenda concerning the direct and single reading of the proposal to amend the Rules of Procedure of the Congress, amending Rule 46.1. I would remind you that, in accordance with the second final provision of the Rules of Procedure, their approval will require the approval of the absolute majority of the House. An amendment has been tabled to this proposal for reform. For the defence of this amendment, Mr Espinosa de los Monteros de Simono has the floor by the VOX Parliamentary Group. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u127	Thank you very much, Madam President. Ladies and gentlemen, first of all, I wanted to welcome all Members who have joined the House in this XIV Legislature, and especially all those whose ideas we do not share, but who are determined to make the constitutional order and sovereignty of the nation prevail. In the same way, and as we are at the first plenary session since the official opening of the legislature, I wish the new Government much luck, sincerely. It's a wish, not a prognosis, but I want it with all my heart. [[laughs]] And I say the prognosis is not the same because I see it difficult. If what we have heard here this afternoon from the representatives of the Socialist Party and Podemos, it is significant of the policies and ideas that will prevail in this Legislature by not leasing its profits. Mr Casares, from the PSOE, who you find out about the newspaper of very singular things and very late; those old and false news about the financing of this party, from VOX, have appeared in 2015, in 2016, 2017, 2018 and 2019; but there is a circumstance that VOX is a party that audits its accounts with an external independent auditor in 2015, 2016, 2017, 2018 and 2019, and we will also do so in 2020. An independent external auditor is a concept that you do not handle very much. [[Laughter]] They have not met auditors, they do not know almost anyone external, and of course they have not met anyone independent in their life, but I invite you to one day meet one. [[Applauds]] I know several; I've been an independent external auditor and I know how it works. Mr. Mena, you start the legislature with false news. You talk about others not doing it and you start with false news. Look, in relation to Mrs Monastery, I can tell you, simply for you to make an idea, that throughout your entire career of architecture the subjects of projects have taken them out with outstanding and honorary registration. [[Several Members: Oh!]] He is, without a doubt, one of the best architects of his generation. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u128	Mr Espinosa de los Monteros, I have to ask you, please, to stick to the subject before us, which is the defence of the amendment to the amendment to the regulation. [[Protests]]
ParlaMint-ES_2020-02-04-CD200204.u129	We girded ourselves, Madam President, but not without wishing Rocío Monastery a happy birthday, which today precisely fulfills them. [[Risa.-A honourable Member pronounces words that are not perceived]] As I said, it is not a prognosis that this government will be doing very well not only because of what we have heard in this House, but also because with the crazy number of ministerial portfolios with which you are tearing things up, things are not going to start well. There is no doubt that it is logical to adapt the number of commissions, or rather to adapt the Regulation on the basis of the ministries that the Government has created in order to be able to control the action of the Executive, which is, as you know - although some forget it - one of the main functions of the Legislative Power. But, ladies and gentlemen, it is also logical that the Government should set up its ministerial portfolios in accordance with the needs of the Spaniards and not with the needs of the Government itself - in this case, socialcommunist - which, by the way, is not the Government that the Spaniards chose, since the President refused in campaign both Podemos and the separatists who support him today. But, finally, the number of ministries is crazy. Its derived expenditure is unique and exclusively in the interest of one person, Mr. Pedro Sánchez, and that of his party, the PSOE. In short, everything is summed up in the only patriotism that you feel, the love of your leader, who has never had problems of self-esteem in his own right. [[Laughter]] That is why it did not take you, gentlemen of the PSOE and of Podemos, forty-eight hours to reach a government agreement. After asking so many votes from more formations wanted to cover up their failure, the problem is that they have done so at the expense of the pocket of the Spaniards, who are the ones who pay for all their ministries. - By the way, less bad that they fit, because if there was one more I think they wouldn't fit in this Chamber. Here we have, for example, the case of the former Ministry of Science, Innovation and Universities, today divided into two, one of Science and Innovation and another of Universities, where by the way we have a professor of prestige who preaches the lies of separatism and literally states: The national aspirations of Catalonia were severely suppressed in 1640, 1714, 1934 and 1939. This is our minister today. Our group cannot prevent you from sharing 22 ministerial portfolios - many of them unnecessary and obviously redundant - and in the same way you cannot justify it without appealing to your own ego, but we can try to avoid through this amendment that we have tabled that at least the Spaniards do not have to cover 21 standing legislative committees, or what is the same, 21 committees with their 21 presidents, 21 first vice-presidents, 21 second vice-presidents, 21 first secretaries and 21 second secretaries. But since you intend to create 17 other subcommittees or spokespersons within them, we will have 21 plus 17, that is, 38 spokespersons and 38 deputy spokespersons for each parliamentary group. For example, within the Committee on the Environment, today pompously called the Ecological Transition and the Demographic Challenge, there have been 4 subcommissions or spokespersons: Environment, Climate Change, Energy and the Demographic Challenge, with 4 spokespersons and 4 deputy spokespersons, for 10 groups, up to 80 environmental spokespersons could be. That's leaving a carbon footprint, socialist gentlemen and mayonnaise gentlemen. [[Applauds]] As soon as Greta finds out, they're gonna hurt him. How dare you! [[Laughter]] I know why they dare. They dare this nonsense of an elephantic structure, because if we take those 38 spokespersons and 38 deputy spokespersons give us 76 deputies placed with their complements by the permanent legislative committees. - Keep the number, 76-. But if we add to that the approximately 22 commissions that are missing to be created and that will come soon - among non-legislative permanents, the mixed ones with the Senate, the ones from abroad -, 22, with its 22 spokespersons and 22 deputy spokespersons, gives us 44 more, 44. Do you remember the 76? So 76 plus 44 gives us 120, 120 charges with their complements for any match. [[Applauds]] And how many deputies does the PSOE have? [[Mrs. Esteban Calonje: 120]] Right. [[Applauds.-Protests]] And that is the only explanation for this hyperinflation of so many additionally remunerated posts that you want to approve in this House. One for each PSOE deputy: 120. [[Applauds]] That is to say, we already know why the PSOE has led this initiative, and what we hope is that the other groups, by common sense, will accept our amendment to reduce, albeit modestly, this number which, of course, is borne by all the Spaniards. If they didn't, it would be symptomatic that some might also want to co-wrote their parties in charge of the public treasury. Look, in the last legislatures - which we have taken as a reference - the deputies and their groups did the same work but with fewer commissions: 13 commissions with Felipe González, in 1993; 14 with Aznar, in both legislatures; 16 and 19 with Zapatero - inflation was already arriving; 17 and 19 with Rajoy, and now 21 with Pedro Sánchez. If they could say that Spain has not stopped growing in these years and that it has had population growth or sustained economic growth, it would still be justifiable, but it turns out that the more commissions are created in this house the worse control is exercised, the less the Spanish population grows and the less the Spanish population grows. And how do you explain this waste to a Spanish man on foot? Ask the Spaniards if, when they enter their home less money, they spend more or they spend less. The worst is that you already know the answer, because I am sure that you in your family economy are much more austere. That is the problem, that we will not raise our heads as a nation until the public representatives have the same respect and care for the era that they have for the State and their own accounts. [[Applauds]] Finally, ladies and gentlemen, as is well known, the creation of more commissions only makes it difficult for the Government to control it, that is to say, we would be putting obstacles as a legislative power on our own if we fired the number of commissions. In this way, the opposition's attention is dissipated and efforts are multiplied in a sterile way because the good control work is impossible for smaller groups, which obviously do not have enough Members to cover every mini-area that you are creating. Finally, ladies and gentlemen of all the parliamentary groups, you have the opportunity to show that in VOX we are wrong, you have the opportunity to show that it is not true what we are saying at this time, but we would like nothing more. The amendment we are proposing reduces the committees from 21 to 17, only four fewer. As you can see, we are not being maximalists, but, if we were, we would certainly reduce them further, because we also trust the working capacity of Members. It is perfectly possible to control this Government with 17 commissions and to reduce the number of spokespersons or subcommittees from 37 to 30. It is not a great effort, but it is a step in the right direction and would also entail a savings of more than 2 million euros to the era. I conclude with the VOX spokesman's statements at Gijón City Hall, returning 86.9% of the municipal grant received in 2019. He said: The economic policy of this group is very clear, public money is sacred; it comes out of the taxpayer's pocket and must be treated in an exquisite and transparent manner. Thank you very much. [[The vote will take place tomorrow at 12 noon.]]
ParlaMint-ES_2020-02-04-CD200204.u130	Thank you very much, Mr Espinosa de los Monteros. For the Citizens' Parliamentary Group, Mr Bal Francés has the floor.
ParlaMint-ES_2020-02-04-CD200204.u131	Good night. First of all, congratulations to all the many new ministers in the Chamber today. From the speech we have just heard, from the amendment tabled by VOX, we agree with the argument that this ministerial structure is absolutely arbitrary, totally uneconomic, that it represents a large increase in public expenditure and that it has as its sole purpose to bring into the government those people who were going to vote in favour of the nomination of the president of the government. The only reason this Government is the one with the most ministries in the history of democracy is to accommodate people who, as we have heard before in some brilliant intervention, have decided to become caste, which, on the other hand, seems to be something good; we have even heard that you are going to turn to fiscal liberalism through the adoption of that royal decree-law that has been presented to us on tax measures. On the other hand, Mr de VOX, what happens is that the committees have to function to control the government, and in the distribution that we are asked to do, there are some where we would have to call almost three ministers, with vice-presidents, and we suspect that this would be a way of running the committees that would make them frankly inoperative. They are right, therefore, as far as reasoning is concerned: this is an absolutely out of place and totally artificial increase in public spending as a result of this artificial structure of this government, but we have to think that the commissions are operational. I would also like to say that, in this matter of committees, the Socialist Group has not even called us. We have not participated in the distribution of Commissions. There has been not the slightest parliamentary courtesy with the Citizens' Group and, in the end, we will retain our vote in abstention.
ParlaMint-ES_2020-02-04-CD200204.u132	Thank you very much, Mr. Bal. Mr Guijarro García has the floor for the Confederal Parliamentary Group of the United Nations Podemos-En Comú Podemos-Galicia in Communal.
ParlaMint-ES_2020-02-04-CD200204.u133	Good afternoon. Thank you, President. I wanted to debut at the rostrum in this legislature including two comments on the topic that brings us back today. The first relates to the amendment tabled by the VOX Group. I'm not done understanding what's coming to me. After Mr Espinosa de los Monteros' explanation, I think I still have more doubts. First of all, it seemed to me to hear a thesis of the so-called conspiracies, where 120 is equivalent to not knowing what cabalistic number; by the way, the garlic itself would be the People's Party. [[laughs]] Gentlemen of the PSOE, I don't know how you have done it but you have achieved the perfect conspiracy: to join even the People's Party there. Then says Mr Espinosa de los Monteros that they make a proposal not of maximums, even I think I have heard moderate, a word not very frequent in their vocabulary. I don't understand. Why then remove a few, Mr Espinosa de los Monteros? If you have a more ambitious proposal, present it, and so we will all know what degree of ambition you have in cutting off supposed superfluous expenses. But I would like to say that parliamentary work is a very sacrificed thing, you will have already realized it; it demands above all effort and planning; then I just have to tell you that they are applied, that they are up to the people who voted for them. Secondly, I would also like to take this opportunity to congratulate myself on the fact that we have reached a vote in this House and the right-wings do not vote together. Moreover, the far right has today marked a path and for the first time in time the other two right-wings have decided not to follow it. I think this is something that deserves to be celebrated. Congratulations, therefore, to those two right-wings, to Citizens and the People's Party, because it seems that they have decided to enter the game and have not been thrown into the mountain; which, if I tell you the truth, is certainly harder for the Government itself, which will have to deal in that case with a thinner, more subtler, more effective opposition, but of course it will benefit the Spanish parliamentary system itself, and I am therefore glad that the right-wings want to play the parliamentary game and have therefore decided to support this proposal which we have jointly tabled by the People's Party, the Socialist Party and ourselves. So, what else can I say? Long live parliamentaryism! Thank you very much. [[Applauds]]
ParlaMint-ES_2020-02-04-CD200204.u134	Thank you, Mr. Guijarro. For the People's Parliamentary Group in Congress, Mr Bermúdez de Castro Fernández has the floor.
