ParlaMint-IS_2015-12-18-58.u1	There will be time for a conference between the clocks. 13 and 14 today, due to committees.
ParlaMint-IS_2015-12-18-58.u199	Mr. President. That's an interesting idea. Of course, it presents the problem of the Icelandic tenet. It is so large in the hands of individuals who rent out their own homes. Because people have chosen to collect relatively lower rents and to get the people they trust and know how to manage their housing, this is positive in that respect. However, this has also resulted in people's dissatisfaction. They rent an apartment, and then a daughter comes home from school or aunt, and the apartment needs to be released, and people have to leave on short notice. Similarly, there is insecurity, for one individual takes a risk of renting out property and thus wants insurance money. This follows the individual market set up by Icelanders and is, of course, the direct offspring of the specialist policy. We haven't been ready to build real estate companies. When I'm at the highest. A minister speaks of some sort of landlord's insurance policy, is she not looking primarily at the tenants on the market for employment? All the people who rent homes - now I'm not speaking against them, they're just people renting out their property, and they're very positive that they're offered on such property, but it's a much more difficult market to deal with, and often more difficult for tenants. Is this fund primarily intended for real estates, or is it the idea that people who rent houses in general will become members of such a fund?
ParlaMint-IS_2015-12-18-58.u200	A respectable president. The principle that we have thought of it comes first to lawmakers. This is just one of those things I think the committee will be looking at, i.e. whether it would be possible for more people to gather together and share the risk in this way. As I mentioned, the suggestion we received from the cooperative group was very clear, and the project management said that these differing views were being weighed. The tenants have been with landlords who are very unfair, but tenants have many very bad experience with the premiums of tenants and bad associations. It may take a very long time and it may be very difficult to get people out of their homes when they have stopped paying rent and even damaged the house. The cost of doing so has become far beyond the guarantee. For example, one of the things we do not share in the bill, but I know that the Ministry of Internal Affairs has been considering whether it is possible to speed up getting people out of their homes when they have completely failed their contracts with the landlord. When the time comes, we are still trying to weigh different viewpoints. It is true that the amount of money may be high for those who are in the rented market, but we certainly hope that by building it, they will take out the advance payment to improve the tenant position, but it is important to make sure that people are willing to rent out their homes. Those who rent out their own homes are a very large and important part of the Icelandic tenement, and it is important that this continue.
ParlaMint-IS_2015-12-18-58.u201	V.E.G. President. I'd like to start by saying in this speech, which I'm going to have very brief, that I thought it sounded pretty good. The minister in his talk on 3 mg. 2. G., who became a significant debate over the last council, and the fact that special arrangements are being made for renting houses in residence homes. I think this is a very important change from last year. I'm also glad it's in 3. a woman who is not profit-employed landlord is permitted to set legal and legal requirements for the rent of an apartment house. I think it's a really good change on the bill from what it was when it was put out last year, and I'm just celebrating it. Tonight is the highest. Minister has recommended the Homing Maps. These are large and extensive issues, as one could see how fast a minister had to speak at times. You can also see how thick it is - talking about the volume of the bill. Of course, having a home is one of the most important things in people's lives, so I wanted to leave quietly and hold a brief talk at the end of the discussion, for like the highest. A minister said that it is very important that these issues be taken together as a whole. So it's a little sad how late they're going to be, but I'm glad they're here now, and I'm sure it's the most important thing to do. For example, a health - care committee may arrange for a discussion to take place. It's big and complicated. I'd like to celebrate what happened earlier. paritaprevir Sigríður Ingadóttir, who, at the same time, is president of the dog. The welfare committee, said there would be a meeting on the committee in the morning and the bills would be issued. I'd like to say that I think it's important because we're going into Christmas vacation that it's going to be a good claim on the bills. I know there's a hurry to get things done, but it's just a matter of time before it's done. All of that, I wanted to say goodbye to the highest. Minister to congratulate you on bringing in the bills. Now the matter has arrived at the council, and there will be work at hand. The welfare committee is pleased to see what the future will be like.
ParlaMint-IS_2015-12-18-58.u202	A respectable president. I want to thank the senator for her speech. She's right. She says it's a big deal. It's important that we try out the matters at the council. Senators and the entire natural community need an opportunity to pass their opinions and comments on the matter. However, I would like to remind you that this is part of the required agreements. Work contracts are being revised in February. As a result, it is very important that we conclude the matter before that time. The Congress has certainly shown that it can work well but quickly on such big issues. I also hope that the great preparation and the great consultation that has taken place with these primary points will be carried out in the progress of the council.
ParlaMint-IS_2015-12-18-58.u203	V.E.G. President. It was at the top of the line. Ministers not exactly a question to me, and I have to admit that I'm not better at this system than I thought it was my duty to answer. But at the end, I'd like to say that, of course, I hope that. The welfare committee is doing well with this job. In fact, I have nothing more to say about it than to repeat that while it is important to work fast in this matter, it is extremely important to work well. I think I've responded to the highest response. Minister of this brief introductory device.
ParlaMint-IS_2015-12-18-58.u204	A respectable president. I hereby recommend a bill to legalize the law of Iceland's Penitentiary, No. 36/2001, with subsequent changes. The bill suggests some changes to the current preliminary Article III of the European Parliament, which are considered important to help clarify how to receive and further development. It is suggested that the current provision be divided into a number of paragraphs in order to provide a clearer understanding of the factors in the procedure covered in the provisional, i.e. from when the bat receives the valuables and until it is finally taken into account in accordance with the Stability Treaty Act. The law that will be 2nd. in principle the 3rd agreement of the provisional principle III in the current law. However, here it is suggested that the government's banking agency be especially cared for in the management of financial resources, dr. Code 88/2009, State Bank County. This will continue to be expected to keep free funds in the special bank accounts of Iceland's Federal Bank, while other valuables will be maintained by the bank or by a partner appointed to be founded. In the regulations that will be 3 mg. is suggested that Iceland's Secret Bank establish a special organisation to care for the management and to complete and sell it on non-profit valuables or stocks. It is not expected that property will be owned by the company. It is assumed that the purpose of the company will have to be processed and converted to free funds. In other words, with regard to possession it is clear that it will be with the state's funds. The bill assumes that the body will be provided with a legal warrant for administrative management, complete and sell the assets, without any particular legal means being sought at any one time. It is recommended that the Society's management board have vast knowledge and experience to carry out this commission and that it be organized by the Sentencing Bank. While the bank belongs to the union, it is not expected that the Councilman nor the Minister who handles the government's property will come to the individual decisions made by society in the management of the property. By enforcing these sources by means of law and by enforcing them, experts are looking for treatment and provision of these valuables to transcend doubt. In management, full and selling property, the company shall emphasize transparency, objectiveness, equality and practicality. Practically, the highest price or market price for property is applied. It is assumed that the minister and the partner will make a special contract which will further address the work of the company and the aspects that are most relevant to the management and administration of these assets. Since the Councilman or Minister is not expected to interfere, as previously stated, the work of the Society is proposed to monitor the activities of the Society and to implement a contract between the state and the company. I'd like to say, in relation to the agreement referred to here, i.e. An agreement intended to be made with the Society, that I intend to present a plan to the agreement here under the Congress treatment of the matter. In the law of 4 mg. it provides a provision for the State of valuables received on the basis of 2 Secrets 1. The fourth layer of current legislation recommends the management and administration of the valuables in accordance with 2 mg. 1st par. a law on stability taxes. Here it is suggested that the directive referred to in the Convention on Strategies Treaty will also be included in the provisional directive for an explanation. It does, however, comment on measures that are different from the arrangements made by the company to take care of and prepare to work on the property, demand money, and obtain valuables. The provisions discussed in this provision are arrangements that largely involve the way the State finally employs the value of its possessions into society. Such arrangements should be made on the basis of financial and financial stability and the presentation of the case to the Economic and Business Committee on the preparatory level of the budget. Otherwise, a comment at 2 mg is cited. 1st par. bill for law No. 60/2015, about a stable tax. Mr. President. I suggest that the bill be referred to. The Economic and Business Committee and the 2nd Environment. to end this discussion.
ParlaMint-IS_2015-12-18-58.u205	A respectable president. Thank you very much. Minister of his history on the case. This is to establish a union to be established by the Council, appointing the administration of the Society, on the other hand it is a National Reunion to monitor the activities of the Society. It is then reported that the Minister should consult the Secret Bank on the evaluation of this impact on economic and financial stability, i.e. The sale of the assets and the presentation of the situation to the Economic and Business Committee at the preparation level of a budget bill. I'd like to ask the highest. Minister on the status of this company for the council. This is very important in view of the stated targets that show that the Society stresses transparency, objectivity, equality and practicality that this transparency is ensured in some way. The minister suggested that he introduce this agreement between the Society and the minister to the council in some way. Doesn't count at the highest. Minister that it needs to be written much more clearly in this bill each exact meeting should be in view of the fact that the only thing mentioned in the text is to present the matter to the Economic and Business Committee at the preparation of a budget bill, which is really a very small part? I'd like to ask the highest. Minister if he does not consider him to be a great reason for sharpening the Senate's surveillance role in this society that has an enormous amount of property and their management.
ParlaMint-IS_2015-12-18-58.u206	Mr. President. I think it's very important that we distinguish between two things here. On the one hand, it is our job to hide the company, which is merely to care for these matters. It may be said that we are discussing a considerable amount of value, over 60 billion. However, as we look at how much of these assets could be inexpensive assets, a project is likely to turn toward just some 40 billion dollars in the Ministry of finance. This arrangement, on the other hand, is the arrangement for valuable things. This will then happen, so once the Society has placed prices in the bank account of the State in the Federal Bank, and it is a provision for the valuables in which this consultation is written, consultation with the Secret Bank, consultation with the Council through the budget, to make an account there. The other aspect of my discussion is at a time when the value is still unsolved inside the company, and the treatment is in force, and I'm sure I'd like to discuss this in more detail how we can conduct the Senate's surveillance role over that period. This is to make sure that you have the highest transparency of the method used. But let us bear in mind that after the contract is made, there will be nothing else that will be involved in this group rather than just what it says in the contract, as if we hide people in the state system the various tasks, and we can call out if they are not being treated somehow. However, there should be no news of this group except that the property has been sold or sold ahead. They're going to put it all in prices as the highest price as soon as possible.
ParlaMint-IS_2015-12-18-58.u207	Mr. President. Thank you very much. Minister for the answer. I think it's very important. A financial and business committee will then review the meeting's arrival when the contract is prepared and exactly how it will be introduced to the Commission or to the council after the incident. It may also be that not all members of the Parliament are allowed to observe this matter but not just surly. The Economic and Business Committee. I think it's important in itself, and we're supposed to learn from the experience in the big issues that have been discussed here. There, we could have done better in my view, taking the entire conference into our own hands. The other question I'd like to ask the highest. The minister to it is the fact that the key role of the bank is not the management of property. Nevertheless, it is here chosen to establish a company in the Pentateuch to care for this organisation. I'd like to ask the highest. Minister: Is there any other way? To start a special society? Whether he could just review the reasons why this route is beginning to take place and not establish a special government society to care for this administration or simply hide a far greater role than it already has. If the highest. A minister could only review the argument.
ParlaMint-IS_2015-12-18-58.u208	Mr. President. The main reason that the Federal Society is set up is that the property and value of the bank are coming out of the stocks and that we have cooperated with the Secret Bank on the removal of the problems from the beginning and in connection with the restoration of the banks was established within the Sensian Bank, or since the time of the work of rebuilding the banks. I can refer to the National Social Bank of Iceland. There have also been other societies, such as Hilda. At one time, it was to establish a company of Salvahol. There, knowledge has been built up. These are assets that spring out of the possession process, where the late bat has been very far away. He will give a review of the disposition of the object, i.e. The value of the property. It was, therefore, close to continuing to cooperate and making use of the knowledge that has been built up in a property business in the Federal Bank, a special association. But since the collapse, there have been hundreds of billions of property companies. Other advantages that might have been considered were, of course, entrusted to the government's bank administration. However, she has had the distinct role of carrying the government's holdings on financial affairs and will have plenty to do with planning for the sale of their possessions. Third, some new privatization committee could have been established inside the management system. I should have. Directly under the board in some way. [[Up front.]] But this is the way it went on top. I hope that by the transparency of what we are putting up here, we can make a good deal of peace. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u209	A respectable president. I agree that transparency is very important. I emphasize that in the case of the Committee it will be considered as sufficiently secure. It reduces anxiety. It is, of course, property that is vast and that can change power and power in the Icelandic economy, and it is important to know in what way it is set aside. I'm happy with the thoughts that are presented here to put to the National Reconclusion of the Society and that it would do better than that it has the direct administration of the Secret Bank, the Board of Banks, or Ministers. I believe it's a more reasonable methodology. As I understand this case, recovery will be more stable under the U.S., Iceland's Secret Bank, now known as the U.S. Marshal, who has made comments on the legal basis. I wanted to direct that question to the highest level. A minister on the other hand, if it is not the correct understanding, and, of course, whether a minister is not prepared to discuss the matter in a contingency of information and, quite frankly, as the minister says, it is only a provision of the property and how it is arranged, the transparency process that would have to be prepared for the council to have everything on board, because I believe that it is in everyone's best interest that this arrangement is done at the beginning of its success.
ParlaMint-IS_2015-12-18-58.u210	Mr. President. Just about the property involved. There's quite a bit of cash under here. It will find its out, as I could in my history speech, directly into the state account at the Federal Bank. This is followed by a considerable amount of registered property. There may be records of bonds, stocks, single unsolved assets, unbecoming stocks, unregistered bonds, other holdings, claims, and so on. I believe that it will, in large measure, take a relatively rapid turn at the price of specifically registered assets, and it is difficult to see that it has to take a very long time. However, a clear understanding of the entire arrangement, what kind of action will be used to bring in prices, benefits all those involved, especially the society itself, to eliminate any suspicion. I'm just offering a good partnership with the Committee to implement it at best possible. We will present the committees with a plan to negotiate and receive all the good indications on how to reach this common goal, that it is clear what principles should be based on the price of the property. One thing that comes to mind is that some form of regular work will be made up of a report on what has happened in the past quarter or something about the likes that could be introduced to a committee. I take note and thank you for being in charge of this arrangement with a Government Review. As for the U.S.A., questions are raised at least by an agent who has been appointed in April to respond. But if in this process one can somehow respond to the Sullaby Bank's wishes to make it more secure or to provide more solid support for its existence, it is likely to be taken into consideration. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u211	Mr. President. I'm not going to extend the discussion, but I just want to stress that when the bill goes to what? The EEA and Business Committee was particularly concerned with the objectives of the bill being targeted at transparency, objective, equality and practicality. I suppose that's what. Committee members are prepared to see if it is not necessary to write in more detail, and then I would especially like to mention what was stated in the answers, the responsibility for this partner, the responsibility of whose command is to order the Council Bank, but the check should be in the hands of Government Research. I think it is very important that we are convinced that these responsibilities are correct, that it is the right thing to go to the Union to be located at the Federal Bank, but still do not submit to administrative law, to do a project that is not the standard task of Iceland's Bank, a holding property. That is why I asked a question earlier about other possible options. I think it's very important that this responsibility is to be tore up in the committee. However, I would emphasize that the Senate's surveillance role is clearer in the law. As it is stated, it is in fact bound to, legally, that this is about introducing to the Economic and Business Committee at the preparation level of a financial bill whether selling property has any impact on financial status. However, I do believe that if we want to ensure that this transparency is set out as a specific objective, it is important that we better define the exact procedure with the council and even enter it into the law. I think that when we discuss this issue in January, it is very important that these questions are on the table so that at least all of us can try to convince ourselves that this is the right arrangement, to have this society located inside the Pentateuch. As I say, I would have felt that at least the committee would be more comfortable with the logical support and if it had not been normal to have a special company or to post the job in Bank County. Why am I wondering? Yes, because I want my responsibility to be clear. I want to go. Congress officials have a very clear picture of where the responsibility is because they are employed here with a wealth of possessions, and it is important that this is done in a totally professional way. This is the first, and the second has a view of the council. But because it's getting late, I'm not going to extend the discussion. I suppose that's what. A financial and business committee - and I see that her boss is out here - take a good time to review this matter and there we have the opportunity to tear down any questions that might arise around it.
ParlaMint-IS_2015-12-18-58.u212	Mr. President. Hv. paritaprevir Katrín Jakobsdóttir wishes to make it clear how a consultation with the council should be conducted according to this bill. But as I understand the bill, no consultation is expected with the council. It is said to introduce to the Economic and Business Committee the means to take into account the value of the ransom when the assets have been cashed. No one according to the bill has ever tried to put his fist on the table, either the Secret Bank or the Economic and Business Committee. Of course, the late bank is supposed to have perfunctory rights, and it includes a great amount of pressure because if the second bank decided that the value of the stored possessions would be likely to increase the expansion, it would, of course, greatly reduce the credibility of the financial bill. On the other hand, I'd also like to say that I accept the way in which this is suggested. I think, in view of experience with the presence of the Secret Bank and the existence of the holding society, the Secret Bank is also quite well qualified to have this company. However, I pondered over the meaning of the former part of my case here and in view of the Supreme Court. According to one secretary, it is reasonable to assume that the internalization of property will take place relatively quickly, whether at least to consider that the Council or the Commission will be obliged to report regularly to the council in the manner in which the transfer of property has taken place, e.g. in a report to the General for which a financial and business committee for incidents might wish the minister to report orally here at the council. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u213	Mr. President. Yeah. This is one of my main concerns. The Council is just a presentation. It was only the effect of selling property on financial stability. The presentation is not in the early stages. But I thought it was the best. A minister earlier says that he was very willing to do so. The Economic and Business Committee considered changing this. And I thought, as I told you earlier in my case, it was normal for the process to be introduced not only to a financial and business committee but also to that point, the process is also presented at the General Assembly. If we have something to do with all of this, it will be best if we introduce it to the Generals and the Generals have some idea and conviction that this procedure is in order. So I'm up for ideas. paritaprevir That's the case with Össur, the son of Skarphéðinsson.
ParlaMint-IS_2015-12-18-58.u214	Well, there was a case, Mr. President, so... A senator did so. But just to explain this more clearly to myself and to others, I would also like to point out that the council has access to this matter and exactly what part of the matter may be most needed to reflect what is happening and to use as much transparency as possible. This is because through the bill there will be a institutions or one of the council institutions, i.e. A government agency, monitoring the activities of the community, and in what way the holding of property is implemented and how the contract is made. That in itself is quite a good guarantee that the council has the right way to do so. On the other hand, I believe it is important for the council to have a picture of how this will happen and how I trust. The Economic and Business Committee for more management of the process and the wording in the bill for a presentation. I think it's a little weak. It's the same word as in the law we agreed on on the stable tax, and I criticized it back then. I'm also going to do it here, because there is one thing I'm going to do. I believe the council needs more control over this. That is why, first of all, I think that there is a clearer order on how an economic and business committee can approach the case, and it is at least a black minimum that it is said in a way that it is consulted as with the Secret Bank. Maybe that's what I wanted to pay attention to here. Then I want to stress again that I believe that this is a good option and to consider that the minister will report the matter in some way at regular intervals, especially because it will be quickly removed. [[The president calls.]] V.E.G. Minister thinks this is going to happen fast.
ParlaMint-IS_2015-12-18-58.u215	Mr. President. Hv. paritaprevir Össur's Skarphéðinsson has grown long after I join him, but his words here are like a lovely bell in my ears, especially about putting in consultations instead of introductions. I think we should learn from what we talked about around the stability proposals, that writing these things clearly into the law is important. As for our reporting, I believe that a minister in his history declared that he is more than willing to report such reports on the progress of the case. I think it's important that we do what we need. The question of how this will be handled will be discussed in more detail by the Economic and Business Committee. But I hear no better than that this is the will to do it in the most clear and efficient manner toward the council. [[Stubborn.]] Stubbornly, w. Senator.
ParlaMint-IS_2015-12-18-58.u216	Mr. President. In the context of this discussion, a small contribution has been made to the property government that is already taking place at the scene of the Federal Bank and to the approval of the Trustee of the World Council since the autumn of that year. I don't have a place in the Economic and Business Committee myself, but I was wondering if there was a review of the concomitant treatment of this bill on the basis of law under the already existing property county within the Secret Bank. [[I'm sorry.]] One factor was the comment by an agent that the basis for that law was not entirely sound. Now I think that the Scrollblad has a different opinion, but I think it's important that this be done on the committee scene. An agent's comments also pointed to how the project was being carried out and to the extent that it can relate to this matter, I believe that it is right for a financial and business committee to get information about it. That is correct, which was shown in the case of the highest. The secretary of finance earlier, according to the Council of U.S. Marshals' proposals until April to respond. However, it is normal in my opinion that the committee takes this note of the treatment of this case. The letter of the agent - this is not considered, but a letter - is being discussed at the level of the administrative and surveillance committee. To this end, an agent has made a detailed explanation of the letter's contents and, likewise, has been contacted by both the Secret Bank and the members of the Ministry of Economic and Economic Affairs on the matter. Further information and information and further discussion will be available in this field. Although this material, i.e. I believe that there will be some kind of conversation between these committees, when starting treatment at the economic and business committees.
ParlaMint-IS_2015-12-18-58.u217	President. I thank the senator for these indications that I feel very strongly that he will react. The Economic and Business Committee. I'd like to ask the senator, in view of the reasonable lack of confidence in all performances, that the personalization of the banks is subject to whether he thinks the way to go best or whether there is any other means to go, and whether the senator thinks it is important that we can create as open a discussion as possible here in the General to prevent the continuation of trust, because it is natural for the public to fear that we are going back to personalization so soon after the big financial breakdown. I just wanted to hear something. The senator's concern is that we can have this conversation objectively but also as practical and open as possible, the discussion of how we're going to build around this important operation.
ParlaMint-IS_2015-12-18-58.u218	Mr. President. I can agree with that with what. A senator says that the decisions made in these matters will be fragile. It is very important that they thus remain suspicious that there will be as little and as open discussion about policy in these matters as possible at both the council and elsewhere. In general, I can agree with the view that I believe it is right. I strongly believe that the State should dispose of these parts of property. However, I realize that there is a problem, and the good, open discussion that serves the goal that the government's interests, the interests of taxpayers, and the interests of the public of the whole country are the best of loyalty. I can cut myself off on the way this bill is offered but like the highest. Of course, a minister of finance earlier could have been able to choose another formal way to go to that end. I believe that the bill can basically serve that purpose, but I agree with it. A candidate for open discussion, both at Generals' and elsewhere, on the steps that will take place in these areas, is very important.
ParlaMint-IS_2015-12-18-58.u219	Mr. President. I will briefly explain my position. Four. 1st par. is in effect being suggested in the manner in which the penitentiary was placed. The financial and business committee shall come to the disposition of the value of the contained assets. It's exactly the same career as it was registered here when we had the stable tax, happy memories, that I cry all the time. Actually, I'm saying that I'd rather have gone that way than this way, says the highest. Minister and Council Banker. Then we just wait to put our hand in the wound and see if they have had the right religion. At any rate, at the time when it was accepted, I made it appear critical of the career, to the point that, in itself, I was fully satisfied that it should consult the Secret Bank, which is, in effect, the only thing men have today in regard to the provision of the money. It is the exact same wording there that was in the bill on the stable tax with regard to the General Assembly, i.e. This is to be introduced to the Economic and Business Committee. Now is the time for me to think of the one who has -- I dare not say it if it is. paritaprevir Will Bjarnason is in the house where that person has the most knowledge of financial matters - at least the most powerful force for us senators is. paritaprevir Frosti Sigurjónsson, chairman of the Economic and Business Committee. At one time, he was holding here a tremendous speeches and saying that spending any of the money that comes in because of the contribution would be extremely dangerous. He believed that the money was, in effect, the advantage of an overcoat, and he spoke to them that it was best worth them by burning them. There was a word. A senator here at the council this spring. He had such a clever argument that I fell in love with her like many other things that could see her coming. A senator has said. So I think it's important that the council have something to do with the matter. We know that the equipment is constantly being subjected to the temptation problem. For example, when it comes to elections, anyone in the government, we know that it is always the temptation for the execution of the authority to want a stretch to go to one and one out of the funds in the sealed accounts and pass through the nation's bodies, since it is often a popular fall just before elections. At that time, most of us spoke, thought I, in the sense that it was necessary for the council to have some sort of access to the case. The results of this were only to be presented to the Economic and Business Committee. I think it's the best I can do. What, then, is the hold we have through the government's institutions on these aspects of the process? It's through the Secret Bank. They're supposed to consult the Sentencing Bank. This has nothing other than that word, i.e. He should be consulted. The late bank can't say no. But, of course, it is a strong grip if the Council Bank was to give a review of the intended disposition of the negative properties of the contraband. This would greatly diminish the credibility of the budget bill and, therefore, the government. It is true that it is a continuation, but I am older than two times, and I know that there has certainly been strong evidence on the part of the board of directors that it is the will of the Board of Overseers to change the management of the Secret Bank, both individuals and the arrangement. On the basis of at least one of the board members, if not both but certain members of the two administrations, are declared willing to change the administration so that instead of being the bank manager, they will be three as before. I'm afraid of the story in that matter. Of course, men are going to seek the bank manager for proper rules, but there are always the dangers of three men in the management board of the Federal Bank that there is a possibility for political decisions. To counter this, I believe the council should undergo its many existences to have access to the case. What's going on between the power factors of our administration? She rests on a holding in English, by permission of presidents, ◯chacks and Balances, to be held in English. We're doing so in the administration order that the legislator is supposed to match the execution of the project and then rule out the whole other show. Everywhere in the system, we try to create resistance in which different power sides take place to make sure that this will not be an unfortunate conflict of interests. It's a matter of defending the interests of the public and the whole. In this subject, where we are discussing three factors, i.e. The bank, the executive authority, the legislature, and the lawgiver, I think it's the kind of device that's presented in 4 mg. 1st par. Hold on to the lawgiver. I think there's something to be done with it. That's my attitude on 1st. I don't have any specific suggestions on how to do that. However, I am very strongly directed to the Economic and Business Committee to look at it in the flesh. This is the main thing I have in this show. Other than that, about the other part of the bill, i.e. The union itself, wrapped around it and monitored it, seems to me that things are quite right from the highest level. Secretary of finance. I have no comment on the fact that this club is saved and within the docks at the Secret Bank. That might be two. I believe that there is an excellent experience with the Federal Bank in all of this, both his advice and the way he has held property within the holding society. It works by going that way. Then I guess I'm content with the fact that monitoring of property disposition, i.e. Their failure will, despite all indirect efforts, be carried out by the Council's surveillance through a review under this bill to monitor both the activities and the activities of this organisation. This fact is made clear in the bill and also in the report that it will also be taken over the disposition of the property. Nevertheless, I still feel that, as I have already made it clear in this discussion tonight, that it would be convenient and probably needed for everyone, in view of the demand for transparency, that in some way the council would have made further details about the progress of property. It would be possible in two ways. Of course, through the Economic and Business Committee, but it could also be done in this way to the highest level. The minister made a report on progress, following written reports, which would then be reviewed by the Economic and Business Committee. If she wished him to rip the matter up orally in a report, it would be done. He too would be self-important, I believe, to do it simply orally. I think that if we make peace with such a process, it would be very difficult to criticize it on the basis of lack of transparency. Now it just so happens. The minister of finance has published his feelings on this matter and this aspect of it earlier tonight and has said that he is prepared to look at anything that might be involved in the matter relating to property and the insurrection so that there would be cash available to the accounts listed here in the state of the Sensian Bank. That's my attitude, and I'm not hiding it from the highest. A president I always believe in my deepest feelings when I'm in a speech chair, that, of course, there's a lot of trouble in hearing a bad attitude. paritaprevir Sigurjónsson Siglejonsson, president of the Economic and Business Committee, to the two major factors I've tore up here in short.
ParlaMint-IS_2015-12-18-58.u220	A respectable president. I had no intention of speaking in cover 1. The matter will be considered very closely at the work of the Committee and rejoice that it has been made because this is an attempt to improve the management of the great financial resources that are coming up into the state's budget in the form of stability donations. Many of these assets are not in the form of cash but, rather, in all other possessions, financial regulations, bond bonds, and the rest, even property in companions. It may take time to get it into the form of cash. During this process, it is very important that the process be open, transparent, and arm length of devotion. This is an experiment. I see that this is a suggestion for a union owned by the National Bank to care for property, but I understand the fact that property itself is owned anyway by government funds. [[Up front.]] I don't think it's important that they're not on the National Bank accounts in themselves. Of course, the balance sheet on the state funds. The county body in the holding of the National Bank, I don't comment on that. I think it's a much better place than it is with the ESI, Iceland's Secret Bank, which is at the National Bank accounts. It is embarrassing and can cause a disturbance of the Federal Bank that needs to be very clean and clear and should not be of that sort. Regarding the answer to the point that was directed to me, even though it may be mine to ask why. A speaker, then I noticed. A senator wondered about the assembly's approach to this process, to turn property into cash, to sell it. I suppose he agrees with me in that it is not the State's place to have these assets for a long time. But when cash is passed, it is carefully prepared for how it is put in circulation. I think there's some very careful equipment. Does he not agree with me that these factors are not solidly arranged? [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u221	Mr. President. If I'd understood a question, why? At the end of his answer, a senator was concerned whether I felt that the value of the locked property, which had been converted into cash, would be protected by the government's account in the Federal Bank. [[Up front.]] No, I'm not. I'm not quite comfortable with that. As I understood it, and I'll be right about it, so the fourth verse says. 1st gr., with permission of the U.S. President: The Council shall agree with the Council on the Assessment of the Impact on Economic and financial stability and shall present the case to the Economic and Business Committee at the preparation level of a budget bill. Mr. President. You can imagine a situation in which a financial and business committee would not agree fully with the situation. Then it's still so that the government could still drive it through. Yes, she could. Unfortunately, I believe our Congress and democracy are in a way that can be thought of. That's why I think it's better, as I said before, that it would only be fixed. For example, I distinguish between negotiations and introductions, the meaning of the two words. I would have at least wanted it to be in some way, possibly in a committee study, to clarify the role of the Economic and Business Committee. I'm saying that if she thinks so, she should be able to put down brakes. I'm saying these two power factors, the Council and the Council, through the Economic and Business Committee, should be at least equal. [[The president calls.]]
ParlaMint-IS_2015-12-18-58.u222	Thank you. A senator for these indications. I assure him that these are exactly the things the committee needs to explore in her work. All of this will be tried to make the most of it. We are also wondering if there is adequate care, and I may point that question to why. A senator, whether it is adequately thought that some property there may be sharers or even individuals' demands, we don't know yet, which may have difficulty doing business with the highest company, as this company will be. In fact, we are thinking, not of long - term business, but of completing our demands or selling them. I want to ask you why. A member of the committee may need to consider what we have learned from the experience with Drema and whether it is urgent to try to hand these demands into the hands of some companies who are interested in maintaining business relations with the debt on which we owe, whether it is one of the things we need to consider.
ParlaMint-IS_2015-12-18-58.u223	Mr. President. Suddenly, I'm grateful. A senator for wanting to pay attention to the comments I made about the coming of the council through a financial and business committee. As for the second matter, it may be a technical question, but I tend to say clearly yes to the point that we should learn from our previous experience when we were sailing out of the crisis. Of course, the experience of pride is malicious and horrible. I think we should try to learn from it. But I trust each other. The head of the panel of all men best uses their X - ray eyes on it and suggest, after studying the history and experience, what would be the best way of handling these matters.
