ParlaMint-IS_2015-05-27-113.u1	The program suggested at a meeting yesterday from Jón Þór Ólafsson, etc. is called again.
ParlaMint-IS_2015-05-27-113.u73	A respectable president. I think it's on purpose and because of lack of time, we don't go out for a profit supply. We can take it completely out of parentheses in this discussion for now, certainly in reply. That's right. A senator names Mikki mús as part of the current cultural requirement highlights another interesting point involved. There are two points I would like to shed light on. On the one hand, the question is why I should not as an individual or as an amateur society hand out orphans in the same way as schools, museums, libraries, and public libraries, etc., mentioned in this bill. Why should only these institutions do so? That's one question. I'm not necessarily saying that it should be, but I think it's important that we talk about it and try to figure out if it's natural that we give ourselves to the general community that jobs that are orphans or that look like orphans are somehow inaccesible to the public, except through public library, educational institutions, etc. That's another question. Why is it only the institutions, but not the public and generals, who are allowed to stay in the database that I expect to be found? I know no answers here and now, but I would be interested in understanding a better attitude. Senator. The second, then, is the question about culture, which is already under the title of authorship, such as Mikki mús. Now Walt Disney is a long dead man, and those who invented Mickey Mouse. On the other hand, there are Mickey Mouse, and other things that are still authoritarian, genuinely part of the cultural element. Even if it is under some capitalist system, it does not change that it is a cultural product. I think there's a little bit of a blow back there. While we always view the authorship as the personal or the author's property, we look to the rich part of our entire universe of culture. [[The president calls.]] There I see a certain tension I'd like to shed more light on. I hope so. A senator can teach us a little more about how he sees these matters.
ParlaMint-IS_2015-05-27-113.u74	Mr. President. This example of Mickey Mouse is complex in that it is likely to be heard under the U.S. Authoric Code, which is the European Authoric Code. So I'm not sure we can find a lot of matches between them. Let us take him outside the parentheses in this discussion. The big question as a dog. A senator proposes whether agencies working in the public service will have the privilege of doing these works in excess of others, i.e. Publicity, business and stuff like that. At any rate, I think this is a very important step to getting orphans into access, and the general bioavailability must be through this. Granted, other persons can continue to pay for the use of their actions, for example, it is reasonable to think that these books can still be purchased, such as I mentioned in my earlier speech, the books that were signed under cover, and I have purchased many copies of them as an amateur member of ancient Icelandic crime stories. They've been bought, to be said, probably without any money ever coming to the author, but therefore I support that this is made accessible in another way, i.e. in digital form, it is useful to everyone. At least that's an important question to me. However, I am not ready to go all the way, just as I could hear it. A senator should then be completely opened to this bioavailability. About the orphanes. As I said before, there weren't so many works that came up, they're just a smell of the whole body. What is being worked on and is very interesting is trying to come, and I take only one example, the literary missing of digital form. Then the rights or authors of the work still in the author's rights must be sought, but in general there seems to be a rather light task in Iceland to get such permission, there are exceptions. What is culturally interesting about this is that the vastest part of the work does not move much, for example, in the literature stores of the country in its Physic form. [[The president calls.]] We are likely to be increasing reading these tasks by placing them in a digital bioavailability. [[The president calls.]] Of course, that should be the benefit of all the people in the country.
ParlaMint-IS_2015-05-27-113.u75	A respectable president. Thank you. A candidate for the talk may have been in a similar area. paritaprevir The Helgi of Hrafn Gunnarsson, which attracts the limitation of the specific person for copying the digital form, is whether it is over the head if it is simply a universal requirement for copying. At the same time, I would like to ask the senator if in cases where some of the authors or rights of minds are known and part of an unknown or unrecognized house, or after any incident in such a way that it is not possible to approach it, this could be paid to resolve matters where there are many rights and the will of most or all of them, except to use the task in any way that can be done but can't be handled with them alone.
ParlaMint-IS_2015-05-27-113.u76	Mr. President. I think in the debates presented here, we are discussing a much larger case than can be discussed in two minutes, which has to do with the big lines and the big debates that have been dealing with brain rights in recent years. However, I look at this step completely independent of the large lines, as an important step to facilitate access on the terms of the public interest. I think that's a good thing. About what question? A member of a number of courts is defined in the directive that there may be many rights to a particular piece of work or to a recording. The directive is that if one of them is identified and located, let's say that only one court official was identified and located, it's all in a very thin language as usual, then the task is not considered an orphan. Although my primary point was to point out a book education example, since I know them best, it is obvious that in the case of audio or films, there are many correctities, that is not necessarily one all - wise writer. It is stated in the directive itself that in the rights which have been identified and located there is a lack of authority in regard to their own rights either because their rights are theirs or because they have been passed on to them, so their legal rights are guaranteed in no uncertain terms. First and foremost, the directive, as I have left it with reading it and working on the Committee, is that it is important to coordinate this approach between different countries, since the definition of orphans has been quite different. In this area, we work together with other European countries, and these rights actually have no borders. Thus, they are trying to match definitions. [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u77	A respectable president. Just to make sure I understand this perfectly correct sense: If the courts are known, all outside one, the job is not an orphan, so that it is used out of the language itself, but there is in the group one unknown sea, and if all the justice workers outside it have agreed to copy or accept it, doesn't the directive accept that it can be copied without the approval of this one person who has not been identified? And how, if it cannot be used to do so, will such matters be resolved? Suppose they plan to do a radio show that is the author of the play, entitled to the translation, to the translation, to each actor, even to the Heirs of some of the original actors, entitled to the music transfer, etc. and everyone has agreed to a copy, but one of them will not be located or unknown, can't be used to solve it? Then it is the authority here for these people to copy this digitality, is it not possible to provide copies of it once it has been taken, is it only copies of the existing storage accounts?
ParlaMint-IS_2015-05-27-113.u78	Mr. President. I'm beginning to feel like a writer's office lawyer trying to cross this, I'm saying that I'm not. As I understand the directive, the rights of the rights have been recognized in a way that is discussed, and then there is one unknown rights, such as the ocean. paritaprevir The Helgi Hjörvar mentioned, the directive should ensure that the project can be copied and communicated. This is what the game is designed to ensure public access to the cultural element. However, it is also mentioned here that, first of all, it is necessary to perform a so - called thorough search, defined very accurately in the directive text, how exactly to perform a search for the unknown rights. Here, too, it is that judges have the right to cancel their actions as orphans by performing and demanding their rights on the job or other protective materials. Rights that suddenly spring forth and claim to be the unknown rightful Sovereign or author have the possibility according to the directive. This could be a good fictional subject, I imagine, the orphaned creation of authors who suddenly came to have a author, if anyone needs a good idea. The answer to a question why. The speaker sums up the question: This is to share these activities with the public. It's the public benefit that should be left behind. Second, if there is one unknown state of justice, while others have granted permission to prevent a project from being placed in a public display for the sake of public interest.
ParlaMint-IS_2015-05-27-113.u79	A respectable president. The theme proposal we're discussing here is linked to a bill that is also available for the council and is further considered for the treatment of the situation. The General and Education Committee, and it's been discussed there recently, along with two other authors, of which, in my opinion, an extension of the protection period is associated with this discussion a little bit, and I'm going a little bit more into it in a few minutes. This proposal is that certain institutions, such as public libraries, educational institutions, museums and libraries, movie preservation institutions, audio recordings, and radio networks, can make digital copies of so - called orphans, works that have been carefully investigated by certain institutions as to who is the author. If the author finds it not defined as an orphan's work, and it can be copied digitally. Similarly, if they appear later, authors are given the option of claiming to be the authors - I look forward to seeing exactly how it is implemented, how they prove they are the authors - and then can get some sort of relief for their work being used. Now I'll say right away that I'm not against this matter, although I certainly want to revise the authorly in principle and to count it in many respects out - of - date, as in the law of our day, whether it be here, in Europe, or in the United States, or wherever. But this EU Regulation and the bill for the treatment of the Council in question No. 701, about the transformation of authors, is designed to preserve culture. It is a very positive, essential objective, and, of course, it has to be possible to do so. But you also need to ask yourself, " Why do I need to be specific about whether the author is available or not? ' This may be a rather drastic question for many, but I still want to think about it. The Mickey Mouse we mentioned earlier is expected to fall under American authorship at the same time. A senator who spoke earlier, and Tinni or whatever, is part of a cultural requirement, i.e. A cultural phenomenon that developed a long time ago and that is probably part of the growing and culture of most people in this room and probably most of today's people, and soon all of us today. You have to wonder why institutions such as public libraries, schools, museums, and libraries need permission to make digital copies of such cultures. Here is a conflict between the traditional understanding of authorship on the one hand and the public interests. When you create a fantasy, such as a song, let's say that I write one song in five minutes on a guitar, the idea is that the song is my private property in the same way as if I had a car or a computer or something like it. What I'm underlining is that it's not like, it's not the same thing, it's not made out of the same material, it doesn't work in it, and it doesn't have the same kind of work in it, distribution isn't the same, delivery isn't like the one who enjoys the job isn't the same. If I have a computer and I use it, I'm using it, but if I'm making a song, I'm probably writing it primarily for others, actually as I personally, if it goes to myself. But if I'm negotiating for others, it's the public who enjoys the project. And when it comes to such arts as music, movies, books, and stories as well as similar, it becomes an inevitable part of the so - called cultural background. There is a tendency between the individual's rights simply to take away this culture or to limit it in some way. Suppose Walt Disney was not going to publish more Mickey Mouse books, now Mickey Mouse was no longer allowed to be part of Western culture. Or if George Lucas would decide the same thing about Star Wars, happy memories, the one who stood up here grew up with, and other fine whales. Senators. Should that be okay? To decide such things should be possible under current rules, now there will be no more Star Wars. Is it normal if we try to examine things from the very beginning that a private partner can decide, that there are no more stories about the Logi geimgengill gang, as is named Luke Skywalker in Icelandic? I don't think it's quite normal. I feel that at least we need to answer the question of how we're going to look at the part of the author's penance, which is the fact that these works are really not just the artist. They belong to the whole culture. Please note that I'm not going out on any justification for how the distribution rate should be, that's another debate. But I think it's important to roll it up. It is not just the artist himself who scatters his stuff that lives in a void, and it would be of no use to him in this way but, if it is gone, nothing. Of course, people need to be paid for their jobs, and it's a business model that works. But in my opinion, all of us have to admit that we are not to think of art as the artist's personal affairs, they all concern us. They are part of the culture and become part of the culture, and we are to respect the fact that it is not only money that governs the world but also other forces, including public taste. I believe this proposal is linked in a certain way to another bill, which is being discussed at the council, a bill dealing with the extension of a mental protection, prolongation of authorism, how long it's worth. Today, there is one interesting thing about the fossil record and the transport rights that it expires, unlike any other property rights. If I buy a computer, I only own the computer. Nothing for 50 years, nothing for 70 years, no bill will be asked to extend that privilege, I just own it, and that way it is until I don't have it anymore because I sell it or give it to it or something. But the Author's Court expires and always increases that protection time. Some say that it is because people live longer. I think that's now mainly because very old and important work is getting close to slipping out of fictitious protection so that Walt Disney and similar companies are finding it harder to defend their financial interests, not their cultural interests, check out, but financial interests. This directive and the above bill also emphasize that at some point this private property must become a possession of the public. One day Halldór Laxness will be simply part of an Icelandic culture and not part of one or none of its ownership rights. We all have to pay off any descendant of a god who can help us enjoy that story and change it if we want to, and reassign it, if we want to, and use it in music and movies if we want to, because it's cultural. It simply is not and can no longer be considered private property. I'm not in itself attacking the concept of capitalism. Rather, I'm pointing out that there are questions such as those that do not apply to traditional property rights, and we should keep in mind when we look at these matters. This point underscores the fact that these factors exist. I asked two questions earlier than that. A member of the Parliament who spoke before about this particular Regulation, first of all, why museums should need special authority from the author in order to make digital copies if a work belongs to culture, i.e. if it is cultural, it must be asked, even if it is not answered immediately. And second, why is this limited to these specific organizations? It is important to remember that there are different aspects of the distribution and use of mental functions, as well as especially lists. It is distribution for profit, which is nothing but distribution to share culture with others. For example, an example, expositing an example just to show what I mean: If I put up a website where I was selling songs after the highest level. A musician of Bubbi Morthens and I would be making money with his music and letting him have no share of the money, that would be anything but if I bought, for example. A medium with the highestv. Bubba Morthen's musician and I were so impressed with his music that I decide to share it. paritaprevir Birgitta Jónsdóttir, because I wanted her to hear that song, it's a good song, but I don't want to buy another CD. It is otherwise to share such with friends, whether over the Internet or not, in order to complicate it a little more, and to distribute material for profit. We in Pirates make this distinction. There is a difference between spreading money and sharing only modern culture with others. Then there is what is sometimes called an illegal download, which is, in fact, in the best sense, no illegally download, the distribution may be illegal, but not self-down, to date. There is also a difference. There is a difference between enjoying the music in the environment and distributing it. For example, you experience all kinds of music if you walk into a place, walk into a place of entertainment, just downtown, or live with a friend, music you never pay for, and in itself do not necessarily have much control over what music it is. You do not walk around and choose what music is in the environment, which once again emphasizes that art is not in nature what worldly things are, which can only be in one place at once. This is different, and we need to think about this differently. Of course, the focus of all of this is, the problem itself that we're all trying to solve, including the Pirats, is how artists can get a fair amount for their work, but we stress that the author's domain is so when carried out is not dependent on joining other people's civil rights, for example, that out town men can look up my IP number online. Then my right to be anonymous on the Internet, which I'd like to say is very important, and the fact that you don't monitor what I'm looking at on the Internet. When I'm in Germany, I always feel a little on the Internet because I need to ask myself, " Who's watching where I'm going? ' I always have to think about it. I know as a technician how this works, but that's the only reason I can somehow comfort myself. If I wasn't a technician, I wouldn't know how anyone would find out that I'm downloading something that I can't download or whether I'm looking at some disturbing political pages or not, which I now have to do and do if I want to. If I wasn't a technician and I didn't realize how technology works in Germany, I'd be afraid to get things online, and that's unacceptable. However, there are ways that you need to go in order to apply traditional ideas about authorhood. The situation is that the Author's right to produce, legal to distribute, and legal things, with the certain conditions that you will pay for it. It differs from material that is simply illegal and justifies police investigation and the presence of the law enforcement system and the righting system and its total cost. And the reason why writers'rights cannot be carried out in the same way as can be carried out, e.g. The ban on violence or pornography, as well as on the like, is that it calls for the legal state, law enforcement, and judicial practices that may cost something. But if you're going to enforce the authorship in the same way, there are only two ways that you can do it. One is to make a huge amount of cost on it, so it would never pay itself, and the other way is to make it easier than at the expense of civil rights, and that's what Piratar and I don't exist. On the other hand, if we find a business model, and they become gradually, which works along the network's information and expression rights, we'd probably be the first group to exonerate it and put in a prime report if it needed it. But right now, we are more involved in a defense struggle because we constantly develop ideas about trying to enforce these old ideas about writers, in an effort to see the quality made from information in the same way as quality made from material, i.e. It's physical, it's worldly. This crystals, reflecting all the debate on the fossil record. It is not without reason that, at least to the public, the author's right, but, rather, a dry and boring subject, has become such an important subject. For good reason, there will be entire political movements around him to revise him. There will not be any political movement to reevaluate the housing market, it is always in the wider context, based on some fundamental principle, such as social justice or something similar. And classes would be the product of achieving social justice and being created. However, due to the basics of society and in the context of the individual interests of artists and intellectual workers, the right of the court will be a cause for the establishment of political movements. And by the way, the guy standing here is a coward, all I know is how to make music, text, and software. Each of us must find a business model that works for everyone and ensures artists and authors that every act of thought is an acceptable fee for his work. That must be the common objective of all of us. But the methods used must also matter. Business models can't be justified just on the ground that it's what men thought 150 years ago, that's not good enough. That is why we should revise it, and we should do it now. This suggestion is emphasized by the fact that there is conflict between the artist's private rights and culture that the public is expected to enjoy. I'm not saying that one thing should simply drum the other, I'm just saying that there's tension between us and we're supposed to respect it, realize that. Other than that, this is the suggestion that I have mentioned as to how to put it. Actually, I'd be worth discussing it longer and better because I'm also an opportunity there. Here's a suggestion to allow copying beyond what would have been considered normal from traditional ideas and that's good, I like it. I'm not entirely convinced that this particular implementation is the most accurate, but I don't see any harm yet in civil rights, I don't see this requiring human civil rights or going to an enormous expense. Of course, I must make comments about the claims that this will not cost anything or will not have any significant impact on the welfare of the State. I don't think that's exactly right, I think there must be some cost simply because it needs extramarital action, as general rule, especially if you're going to try to have an international cooperation on what's meant to orphans and what's not. Finally, I'd like to say at this little time I have, or almost finally, I'd like to put out an idea just to let people think about it in a more broad context. Why is it not established by a central database that postes work from the European Union, an orphan, a true orphan, in which all are invited to use them over and over again? Of course, if it was material goods, such as bread or anything like it, we would do it to save, save costs, so that we would not have to produce more, but could use what already existed. We do not when it comes to writing, because it is our goal, not to use what already exists, but to produce more. And there is another fundamental difference in the way ideas function differently from worldly possessions. All of this must be a reason for us to try to create a setting that takes into account the nature of what is happening between our minds and worldly possessions instead of constantly calling back and constantly trying to view ideas as worldly things. They just aren't. And now that the distribution and some productions are so good as free of charge, it's as good as free to write something down, it just costs time and work, but the equipment doesn't cost much and it's very useful; distribution costs the same as nothing, then we can't build on the same old business models. To say that, I don't like this suggestion at all, but I wish there was more time left for a council to discuss this matter, especially with all the others. Finally, I suggest that the meetings of the Generals will normally be opened.
ParlaMint-IS_2015-05-27-113.u80	V.E.G. President. I know that pyramids have been very concerned about civil rights, but I have to admit that when they express themselves about them, I'm always half-mad. I am just as confused about this fine speech as I am about to wonder about certain princes. Why should the difference between protection of property rights be made based on what the movie is like, a subject or a material one? There's no hard work in it. I know it's far more difficult to protect the right to possess ideas than material possessions, but if you care about those rights, the same prince's step is, of course. Hv. paritaprevir The Helgi of Hrafn Gunnarsson speaks of the removal of the exclusive rights of mind when it comes to mental activity, if I understood it correctly, because this is a cultural failure and if I remember correctly, the term was used for the term "general interest. " [[Up front.]] Who's going to decide the public interest? Is it public interest that we get to enjoy the love of mice? I don't think it's a public interest thing. I'm trying to figure out why men make a difference. Is it because it turns to the subject of pirata, or is it really downhill, other than my impressions?
ParlaMint-IS_2015-05-27-113.u81	A respectable president. Hv. A senator asks two questions. I'm gonna answer the second one first. Hv. A senator proposes it as if it were my idea that property rights in the case of authoritarians should eventually disappear. It's not my idea, it's the idea of anyone who's been up to the idea of authorship. It's been that way from the Bernic Convention, that's how it is in current law and the bill I mentioned earlier, No. 71, it's about extending history from 50 years to 70 years after the death of a author, so time limit is not my imagination. However, it emphasizes that it is normal and has been reasonable in all history to limit time to this particular privilege of private possession, I refer to the history of that subject. Of course, he should disappear for the same reason as that, for example, a Berblinh story of sooner or later should be available to all and could be distributed, I would expect. I want to ask you why. In order to explain to me how he sees this differently: Who should pay to distribute a Brennish-Nvili story or Gísla's history of the son of Sur? In terms of differences in property rights of mentality and property over secular things, there is a difference between information and worldly things. The difference, for example, is that I'm here with a magazine, giving the impression that it's something of value. Now it's on this side and not on the other side. If I take it and put it here, it's on this side and it's not on the other side. If I could make one 18-inch pizza with pepperoni and finish and feed it to the whole world, I would, if it didn't cost me an extra one, and then they wouldn't have to be stressing about taking off my pizza because there's enough of it, for the same reason we don't pay for the oxygen -- Still then -- because there's enough to do it for everyone, there's no shortage. Economics' foundation is a shortage. That's what I learned in economics in 101, happy memories. That is why we have money, which is why we have values, because of lack of it. [[The president calls.]] There is a key difference between secular things and information, however, because information can be copied with no expense at all. I suggest that's a fundamental difference.
ParlaMint-IS_2015-05-27-113.u82	V.E.G. President. Of course, I realize that when an artist is dead, or the person who deals with the act, there's a time limit on the rights of the land, on how long he is active. But, hey. paritaprevir Hrafn's Helgi was talking about men in their lives, to make George Lucas, that he could now stop producing, that we can't see Star Wars films, which I've certainly never got to see, that's absolutely accurate. It's the real right that I'm talking about, when the author is alive, because it was discussed that there was a cast of culture here, and then Georges Lucas's rights should not work any longer at all. I think we're gonna be on the Prince's Tip, at least. when the authors are alive, to say that the private right of property is clearly active, whether it is a subject of thought or something else. It's very important, and that's what I'm trying to talk about. I thought I heard from him. A senator that it would be impossible to follow this in technology now, impossible to have any law enforcement officers to defend the rights of authors, but it was all right to have a lot of law enforcement to prevent pornography, etc. Both are in violations, both of them are punishable. We cannot make a distinction between what is broken and what is done. If it's a crime, law enforcement authorities have to do it, like all other offenses.
ParlaMint-IS_2015-05-27-113.u83	A respectable president. Maybe I wasn't completely clear enough about Star Wars before, I can totally handle it. But an author's right not only works that, for example, he's trying to spread the first Star Wars, because that's not what I was talking about, but that's what Star Wars is in itself. You couldn't make any more stories about the Logi geimgengill gang. I couldn't make any more stories. I couldn't have spent my time on it. That's it. You can't do that. In case of a moment. A senator does, or I'll be charged af George Lucas, for property reasons. [[Up front.]] There is something that would be worth discussing a little more than that is not the focus of what I'm saying. In terms of the fact that the right to possess mental powers is very important, I agree with that. For example, when it comes to opening software, one of the rights of authors is necessary to say something about open software. For example, if I have software under the condition that if they change it, they'll reassign it, it's based on the fact that I have a brain right to issue that order. As I say again and again and I've told you from the beginning, the piranha is not against the author's rights, we just want it to match the technology that it is in real life, not the way it is in the Democratic princehood where there's plenty of money and justice care is safe and cheap enough because it isn't. When it comes to pornography, I was especially referring to child pornography or to violent pornography, where victims of violence exist, which is different from pornography that is relevant to humans in daily life. Actually, I don't want to go out in this discussion about the definition of it. It's the same story when it comes to pornography, where you're willing adults, you can't stop it online, but, unless you have two ways, there are two ways to do it. One means that there is an indiscriminate cost to law enforcement and justice, and the other involves shortening the ways and reducing the requirements of law enforcement and rights that we take for granted, i.e. by taking civil rights. I suggest neither of them is available. Then there's nothing left but reevaluating writers... [[The president calls.]]
ParlaMint-IS_2015-05-27-113.u84	President. I would have chosen that this case would have been taken along with a similar case on the General Information and Education Committee. I have to complain only about the work here, I find it very strange to be taking such an EEA case that is in direct contact with a case that is being discussed in other committees, then looking for opinion from the committee, or just overstepping the responsibility of the case on the Committee that has found it relevant to such matters. I suggest that this particular case -- if I may ask the senators to do so well and close the door here in the side room, I have no great deal of splashing, it bothers me. I would like us to postpone this case and take it along with the case of the Universal and Education Committee on Authorism. The reason is that we have delayed the value of singlemates, which may be controversial in Europe or are in special treatment here at the Council. We were well remembered on the Foreign Affairs Committee to postpone the legalization of data right here via the EEA Convention, that was well, because the number of sentences in different European countries and in the European Court has been clearly declared and found to be non-statutory, as they have been carried out and carried out under the EEA Directive. The reason I mention it in this context is that there is a great danger that we will be trapped in some frame before we complete the legislation that is being treated in a General and Education Committee. You see, I've been paying particular attention to the basic policy of Pirata, but I'm sure there's more of these cases involved in this, that it somehow overlaps between committees, and maybe we haven't made sure that the extras or the opinions we feel need to draw attention to and even try to secure our special status are taken into consideration. To the bill itself. [[Senator sings.]] ▪ Happy published by Jehovah's Witnesses to you, luckyly published to you. - Now I was doing a festery, did you know that? This song is bound to an author's right to 2030 according to the Warner Music experiments, and it is bound to the author rights of Europe to 2016. It's amazing with this kind of song that no one connects to author rights. So I could technically see, because this is the public scene, be fined, or have to pay $700 for taking these two lines from the world's most famous song because I did it in English. But I don't know exactly what it's like if it's moved out of European Union on Authorism. I take this particular song in particular because everyone assumes that everyone is allowed to use it, that's somehow something people assume is almost in the public interest to be used, strangely that they need to charge about $700 for singing this song, or if there's an accident in a story or something like that. But this is the jungle we live in today, that very large author-friendly profits have really been made by diving and searching for ways to often purchase questionable authors, as in this case, can be found in Wikipedia. But I think it's one of the weirdest things, and I couldn't believe it until I first heard it and checked it out. I was surprised to learn that the writers' union could become such an enormous capitalist. I know that birthday cakes in some bakery in the United States were taken and destroyed because something was inappropriate there on birthday cakes for children, which is something special. Let's get to this. This is an interesting case in itself because it could have been solved if we wanted to ensure that the authorship of orphans is not abused by such large sources. For example, if you go to Camden, London, there's a hell of a selection of T-shirts sold with Banky movies, which is one of the most well-known sources who chooses to let his work be an orphan. That may never be worth Banksy's price, but people are profiting from selling his ideals. One good way to make sure that people do not benefit from the thinking of others is simply to take all these orphans and put them under the so - called CC, or CL, glycolleft. You can also learn this by going to Wikipedia. CC goes out on it, for example, let's say that you want to hand out a photograph you've taken or poetry, I'll do it with my poems, for example, that everyone can share my poems as long as they don't profit from it and that they can write the poem. I've been doing this since I started publishing my poems on the Internet in 1995. Yet, they are not yet orphans. But if we were to ensure that, as well as individuals, everyone who wanted to tell them, and that is what gets me a little bit on the bill, that the idea behind these solutions of orphans is that they are creating an enormous amount of blunder around this, an overexploitable system that is even expensive, which means that it will cost them access to these data for schools, students, scholars, or investigators. I think we need to learn from experience, that a huge and complex exchange for access to information or culture is not the future. So I find the bill and the ideas behind it, both in this EU case and in the general and educational committees, to be a little old-fashioned and out of shape with the time we live in. One way to heal both orphans and other works that come from the rights of authors is to give many people a brilliant idea, including Google. Google was at one time copying books that had come from an author's rights and had succeeded in obtaining or using some form of legislation, so they obtained the authorship of the copy. But others who wanted to copy it, such as. The Internet Archives currently available on the Internet was suddenly confronted with the fact that they were not allowed to copy jobs that were orphans, and particularly jobs that were no longer in the Author's rights. It's a form of disorientation, I think, and there's some way I don't like it. That is why I hope that when these laws are reviewed to ensure, for example - this adjustment in itself is not bad, but it could only be much better, which is all too common with laws written both in the EEA and among us, it could be much better in the sense that we could get away from the blunder that is being created with this. I hope that it will be specifically mentioned in this case to ensure that the author's right is not put on copies of orphans. Since we have come to a place where we speak of cultural value, for example, one thing that we have completely screwed up here, and unfortunately not only here but in many parts of the world, that is that there have been no targeted stored, except perhaps in the past, I don't know five, seven years, on cultural values that are on various websites that have been made and are intelligent as cultural as well as cultural. So there are a number of factors that require much deeper discussions on the committee. Unfortunately, it has been difficult for pirata to attend a meeting at the Foreign Affairs Committee, where these matters are considered because we are so few. The one standing here is always meeting in another committee at the same time, but I hope to what. The head of the committee takes into account what I have presented today. I reiterate that I suggest that if someone has not already been assigned to review it, when in place of a universal and educational committee, it would conflict with these laws to simply put CCs on this rather than create complex and complex, multi-level databases and processes. I would've liked this case not to have been on the agenda until it's been resolved, and to vote for the bill that lies on the General and Education Committee on the same thing. Then I would like to agree with and encourage other members of the council who have the case discussed to listen to the tremendous talks being given at ease. paritaprevir Helgi Hrafn Gunnarsson and why. paritaprevir Katrín Jakobsdóttir's daughter. Although they talk about different factors, there are points that were shown in their talks that are worthy of consideration when the matter is settled here at the council. I wish, President, that there will be a check on whether the case can be taken off the program and not a vote until the case is resolved on the General and Education Committee.
ParlaMint-IS_2015-05-27-113.u85	V.E.G. President. In view of the last decision why. Jónsdóttir You may want to recall that this case has come several times to the council in the early stages, i.e. A case came here first, I suppose, in 2013 into the so-called 2 stret. EEA contracts are presented to the Parliament. Then it was addressed to the Foreign Affairs Committee, and it was sent to the General and Education Committee that did not comment on it at that stage. Then this came back to the Foreign Affairs Committee when it was due to be recorded in the EEA Convention at the time of the so - called Article 3. The process. Then a special presentation was held on the scene of the State Department, and the case was settled, in fact, mainly on the basis of the earlier coverage. Then, in fact, two cases enter the council. On the one hand, it is this synoptic proposal that includes the reduction of administrative plans for the induction of this case and that is what we are discussing today, followed by the Minister of Education, with the bill now for the treatment of the General and Education Committee. This matter has been discussed at various levels. I'm just calling it up because I don't think there's any reason to wait on this matter until the other case is closed, i.e. The induction bill. This body of interpretation suggests, not the final outcome, but only that it is authorized to make the adjustment of the bill. Secretary of education includes.
ParlaMint-IS_2015-05-27-113.u86	President. It's nice to have a detailed procedure on the council. I'm not complaining about the treatment of the matter with the State Department at all, but as mentioned at the beginning of my speech, I was pointing out that this EEA case could be fixed, so the committee, which, in turn, gets a bill called the EES principle, maintains the matter from A to A. That's what I was pointing to at the beginning of my speech. I hope, and I sense that there is a certain will among members of Congress to change only the process. Well, hopefully on the autumn day, this will be revised. The only thing I'm afraid of is sometimes when a job is being done that people gain a little deeper and better knowledge of things. I have found, in the discussions that have developed with this committee, that my understanding has deepened considerably and that there have been some guidelines that one would have made in previous stages. As a result, I wanted to point out - it's probably too late to bring something into a report on this particular case, but then at least it points to an international and educational committee that when the other case goes to a final payment there to make sure that in that bill there is somewhere that it is not permitted to write a copy of the work that is now to be made available, because it means that it will be less available to the future.
ParlaMint-IS_2015-05-27-113.u87	Mr. President. I think I can totally agree. paritaprevir Birgitta Jónsdóttir says that there are certain aspects of this EEA job process that we could revise in the light of our experience now that we were in the last half of the season. In fact, the arrangement in the EEA has been a little longer for the people, most of the last term, I think that men also tried to follow this procedure, so there's no experience in how this works. In some areas, I think we may be spending too much time pushing paper between us. I think we have to face the fact that in some cases we are doing this without even going into the matter. But I think, and I agree. A member of the Parliament, that we should be assigned to the Foreign Affairs Committee - likely to be the foreign Commission to take the initiative, but the prime committee would likely have to do the same - examine this procedure. It should be our goal to make it easier for us to consider material matters that really matter, and actually can be influenced, that we spend less time considering a case that in itself we will not move on. Somehow, we need to create a filter in order to sort it out. I don't have here, that's how I'm doing here, because I'm standing in this chair, the answers on my hands about how we're supposed to do it, but I think we must do it so much better than we've been doing and maybe get more out of the work we do.
