ParlaMint-HR_2016-11-30-0.u17819	Here's my colleague Branimir Bunjac.
ParlaMint-HR_2016-11-30-0.u19950	Thank you, Agent Pernar. Mr. Maras picked up the line. Here you go.
ParlaMint-HR_2016-11-30-0.u19951	Thank you very much. In your discussion, you said that the HDZs speak to you from the halls of Parliament, that Pernar is telling you to write something, suggest you don't just talk concretely to see it and maybe accept it, and I felt in your voice and part of the hope that a part of them might accept it. But since you haven't been well aware of how this works especially with HDZ, don't hope, so they won't accept anything and it doesn't matter to HDZ whether the proposal is good or not because there's no debate about whether the proposal is good or not but what they've suggested will accept it. But the bigger problem for me is that they told the caterers in the campaign that they were going to cut their taxes, and now they're increasing their taxes. And that's a very clear message, and that's where you sent a good message to the Croatian caterers to know who to choose next time. On this side of someone who de facto has de facto reduced their profits in the continental part of Croatia, destroyed their perspective, it should not be chosen to represent you should be chosen by those who reduce the costs that allow you to operate more easily. But continue to write suggestions because it is not bad for Croatian citizens to see this one political hypocrisy where people tell you Pernar to write to you in the halls and then they won't accept anything at all.
ParlaMint-HR_2016-11-30-0.u19952	Thank you, Agent Maras. Replication response, Agent Pernar.
ParlaMint-HR_2016-11-30-0.u19953	I'd just like to say one more thing our citizens don't know, which is that the amendments to the laws can't be given during the first reading. So I was constantly told by my colleagues from HDZ and MOST, so Ivana why don't you propose amendments, and I can't table an amendment because it's the first reading, only in the second reading of the law can the amendment be submitted. So the reason why I put that amendment in fact, Mr. Maras, is not because I expected them to accept it, I was actually starting to assume that they would refuse that amendment, which means that the same thing that you felt and that you know in some way I also felt, and in fact this is not a battle for their voices because they're all going to vote on some key that they have to vote on, and this is more of a struggle to show to the public especially the caterers on who's paintingly working on the main one, who's the one who wants to get their last kuna out of their pockets because when you have a bar, you have to pay the workers regardless of whether the guest has or not. You have to report these workers, they can't be black, you have to pay the rent. If you're late with my rent, the suitor will kick you out. So this is where you look at the caterers as some kind of cash-filled caste, and now let's give them the money. There is no assumption at all that a large part of these hosts are literally struggling to survive on this harsh market or in a system called capitalism in the media, but which actually leads to the destruction of all small entrepreneurs and, in fact, the dictatorship of corporations that even some of them and in bonuses pay their obligations which is contrary to common sense. But that's all about how much rabbit shortages are currently in the system. Thank you.
ParlaMint-HR_2016-11-30-0.u19954	Thank you, Agent Pernar. Representative Josip Boris reported for individual participation in the debate.
ParlaMint-HR_2016-11-30-0.u19955	Thank you very much, Your Honor. So here's today all morning we've been talking about the Value Added Tax Act and the Profit Tax Act. Practically, it was perhaps the most critical law in the past month because there was a space where something could be resented by the government and what it does. However, the law or history of this law goes back 20 years and the first law on value added tax is adopted 21. Six. In 1995, he was then delayed to enter into force. 1. In 1997, then another delay went to 1. 1. In 1998. This is exactly the kind of original law that knew two steps – one general rate of 22% and one lower rate or 0% VAT rate for certain excluded products. And it took about a year until 2006 when it introduced the intermission in tourism to the hotel accommodation services of half boards and pensions so that from 2006 we have such a rate from 10% to 2013. In 2009, there is an amendment to the VAT Act and the VAT is rising from 22% to 23%. That's when the SDPs in the opposition say the harachus, that's the famous story of the harachus for one percentage point. However, in 2012, the same SDP raises the general rate from 23 to 25. The HDZ then says, "Trainer times two." The SDPs said that this is a welcome measure, that it has to put the finances back on track and that it must be in line for those countries that may not have the best rate or the smallest rate, but that there are also those countries that have the same or larger countries as Denmark, Sweden, Hungary, Iceland, Norway, etc. It was an explanation that needed something or didn't need it. To make up for something, they then dropped one part of the catering service from 25 to 10%. So, only one segment of Croatia's total tourism in the total revenues of hotel houses is around 20% of total income. Speaking of cafes, restaurants must be something more. What is important to say is that on 30.11.2012 again, as part of the amendments to the VAT Act, the SDP raised a zero VAT rate from 0 to 5% for bread, milk, books, textbooks and said it was because that is how the European Union said it and that it must be and so we all accepted it because it can't be 0%. Nobody then cried over the price of milk, books, etc., but not to forget what it looked like in their time. And of course, they did what they now resent for everyone in 2013 first the rate for catering activity from 25 to 10, and then for all tourism, means for hotel accommodation or half boards from 10 to 13 along with catering services. That was in line then they say with the Tourism Development Strategy. I don't think it was in line then, but I will return to that strategy later, because the fundamental objective of this reform was clear and clear and indicated. To the most extent, to relieve the economy, to relieve households of additional costs and to create conditions for the economy to invest, to create and to create new jobs. Another important objective clearly noted, to create a stable, sustainable and simple tax system. What's the law? The law provides for the introduction of a VAT rate of 13% on the supply of electricity, i.e. at the total price of the account, also for the waste, for the utility service, for the agricultural reproduction of seedlings, seeds and everything else that goes with it and increasing the rates from 13% to 25% for catering services. A 50% deduction for the purchase or rental of a car whose value does not exceed 400 thousand kuna is allowed and the threshold for entering the VAT system is increased from 220 to 300 thousand kuna from 1. 1. This appropriation is intended to cover expenditure relating to officials and temporary staff of the Commission in accordance with Article 21(3) of the Financial Regulation. Who's against it? It's against that I tell the SDPs because in their time it was quite different, I say, and they put all their policies in the space of catering services, claiming that their changes were the best changes, regardless of what I say, which increased the general rate then by 2% points. And when we were increasing by 2%, there was an interesting show called "Open" and we were sitting on one current minister and one then vice-president of the government, and then they calculated how much it was 2% of VAT on the total VAT revenue in the Republic of Croatia. Then says SDP's vice president at the time, that's seven billion. Then says current one minister in the Croatian government -- not 7 but 3 billion. So we helped you not to make a mistake. Of course, that vice president was making amends all the time because everything they were counting on was always counting on more. What did that look like with electricity prices and what's the difference between you and us? Here is a thousand kunas of spent electricity in 2012 you still paid 230 kuna of VAT at the beginning of the year. When the SDP came, you paid 250 kuna or 20 kuna more VAT. They didn't have enough, they were collecting electricity by 20%. These thousand kunas become a thousand and 200 kunas in the base. You add 25% VAT to that and you come to the expense of a thousand and 500 kuna. The difference only 250 kunas more based on the purchase of electricity and VAT prices of 2% What are we offering on this base of 1200 kuna? Reduced account from 250 kuna to 144 kuna savings. So 1356 kuna with VAT will be paid. So, something we can do, 144 kuna. Someone's gonna say a little bit, someone spends it a month, someone spends it maybe all year. The same reduction goes to the utility account, i.e. in cleanliness. What happens to catering services? I think the caterers will continue to do their job like they've done since '98. the year until 2013 at the rate they had then from 22, 23 and 25%. I will continue to say work in the same sense, because I think the market will solve this problem, meaning supply and demand as well as price competitiveness. Here we come to similar stories that have already been heard in Croatia. Let's say at any price purchase, for example, gas as the price was determined by the government based on various calculations, so as soon as the gas went up a little bit, then we'd all say now we're going to pick up our prices. As soon as it fell, it remained on the same table until the market had now resolved and I really don't think anyone is complaining about the price of gasoline that at the time of the SDP even at one point was 11 kuna regular euros. Now I don't know nine kunas as much. And more or less, it's out. As far as the strategy itself is concerned, I think it is necessary to read first in order to know why we are even talking about it the way we talk. In order to ensure that VAT is indeed not fatal in the strategy itself, colleagues from the SDP will have to read it whole to find a single sentence mentioning 10% of VAT rates because it writes only in one single sentence. There are almost a hundred pages of strategy, please read it. What's the big deal? There is also an action plan in this strategy. Action plans do not specify changes to the VAT law as something that brings competitiveness to Croatian tourism. Read the action plans, which laws need to be amended, in which sector they are in, and you will realize that there are no finances here except in point 6 on page 67, where it says to reduce i.e. conduct a proactive fiscal policy. That's all it says in the action plan in terms of the Ministry of Finance. And what does it say about the competitiveness of Croatian tourism? That we are among 30 in the world as the most competitive tourism. Where we're the most competitive I've spoken to today. So in the number of hotel rooms, financial institutions, ATMs, car rentals in fourth place. In terms of tourism, 20th place. The availability of cultural attractions in 30th place. Quality health care at 32nd place and personal security at 33rd place. According to the price competitiveness indicator, one sign of a sentence writes. I beg you to hear us from the other side. It says the most competitive we're in the Mediterranean. It's from the strategy that you proposed, we adopted it by consensus in this House, and now I should be defusing myself or you, and we can reopen that strategy and find that part. It tells you to be competitive. Croatian tourism page 14 [[The President's incursion: Time.]] Here's where I'm gonna end up, so we can move on. [[The President's incursion: time. Please.]]
ParlaMint-HR_2016-11-30-0.u19956	Thank you. Representative Ivan Klarin reported on the replica.
ParlaMint-HR_2016-11-30-0.u19957	Thank you, Mr. President. My colleague, Boric, you have mentioned as many as 17 times in this 10-minute SDP debate, so I am very interested in who is in power of the SDP, HDZ, I do not know. 17 times I counted, 17 times you mentioned SDP, first fact. Two, if it wasn't for the MOST, we'd be paying for food and medicine at 13%. Therefore, you in HDZ sits one. That's a different fact for you. Your third fact is that GDP has increased 2.9% today and that you are introducing the highest VAT rate in catering in Europe since Greece. Next time, sit down one. What you have done today and are trying to wash yourself and to mention 17 times to another party, that in no sentence other than the parts of the sentence you mention the positive shifts of this reform it tells me enough, and probably to the Croatian public who listens to us that this is also a catastrophic tax reform for you.
ParlaMint-HR_2016-11-30-0.u19958	Reply to the replica, MP Boric.
ParlaMint-HR_2016-11-30-0.u19959	Thank you very much. I worked at school for 10 years. I always put such students in the first bench because they never heard well or always pretended to hear anything, didn't know, or would answer wrong. I mentioned the SDP purely to know where our starting positions are and I mentioned the document made by the Government of Zoran Milanovic where we discussed this here, we voted in 2013 on this document. He was represented by Minister Lorencin after Ostojić was removed, I spoke on behalf of the club and I know what I was saying and I know what it says. And I cannot accept that the competitiveness of Croatian tourism is being reduced to VAT. Because that document, that competitiveness doesn't signify VAT. So I've given you what makes Croatia's tourism competitive and what it says and where we're good and where we're bad. And it says we're bad at human potential because we have problems in vocational schools. It says we're uncompetitive in a legitimate environment because we've often changed laws. That's what it says. And it says where we're competitive and I read it to you. But all you want to hear is what suits you. I claim to you by respecting logic, that this caterer with 25% VAT and 22 and 23 jobs since '98. until 2013, that he had operated for 3 years at the VAT rate from, inter alia, 13 or 10%. And that today he's going to do business again with a 25% rate and he's going to do what he's done so far. And that the market will address the issue of supply and demand. Will they raise prices? Maybe he will. Why didn't they drop the prices when they needed to? I don't know. That's their excuse and I can say whatever they want. But if you were competitive with 13% at the same price and you didn't bring it down, now you're gonna leave it on the same, on a bigger VAT. It means there's a place where you can act. If you don't understand, then I give you everything you've done and how much you've burdened the Croatian citizens. We've decided to fuck the bills, and you're against it. All right.
ParlaMint-HR_2016-11-30-0.u19960	Thank you, counsel. The representative who reported for the replica Gordan Maras.
ParlaMint-HR_2016-11-30-0.u19961	Thank you very much. Mr. Boric, here's your answer to Mr. Clarina's replica. You basically showed me how wise my wife was when she told me you had to meet your children's teacher. So it's very important to meet your children's teacher because that person is raising your child just as you are raising him. And now I see basically that it's very important and you've shown me how important it is to your replicas. I wouldn't want my child to listen to his teacher for years. The other thing I didn't hear what you said, Bull. [[Intruder President: Please nice.]] The other thing is, you said a whole series of things that don't actually stand. [[I'd like to ask the MPs.]] So not only did you mention the SDPs 17 times but you went even into nebuloses, he says, "As the SDP was at the power of the price of gasoline was 11 kuna." Watch out! I mean, what does that have to do with SDP? Now, he says, nine kunas. So he goes on to say, "I think the caterers will continue to do their job despite the 25% rate." Come on, no, what is it? So, I thought tomorrow everyone would close down the joints if the 25% rate was adopted. So, Mr. Boric thinks he'll keep doing his job. Unbelievable, no. So he goes on to say, "We are the most competitive in the Mediterranean, we adopted it unanimously here." Well, what's the dispute here if that's the case? Why are we raising 12% to be uncompetitive? Then he starts talking about VAT. So please don't talk about VAT in HDZ. Three times before the election, you said you'd cut the VAT rate. You haven't done it once. So when HDZ starts talking about VAT, you know nothing happens. [[The incursion president: Thank you.]] Thank you very much. [[Adversity President: Representative Maras, time.]]
ParlaMint-HR_2016-11-30-0.u19962	Before we go any further, I must warn you that there was a very inappropriate way in which you addressed the MP and I would ask you to refrain from such comments in the future. Injury of the Rules of Procedure, Representative Bulj.
ParlaMint-HR_2016-11-30-0.u19963	Thank you, Mr. President. Col. Maras injured the Rules of Procedure in his first part of the debate because he did not talk about the subject, Article 238, because he did not talk about the subject under discussion. It's a matter of tax reform, it's not a curriculative reform, so here's a clean use, to warn the MPs when they're off topic. Thank you.
ParlaMint-HR_2016-11-30-0.u19964	Thank you. Representative Bulj, I warned Representative Maras. Reply to the replica, MP Boric.
ParlaMint-HR_2016-11-30-0.u19965	Thank you very much. Comrade Maras, I'm not going down to your level. In Croatia there are about 50,000 people working in Croatian schools, teaching our children. Insulting me, you probably tried to insult all of them. But it's your right as well as the rights of others, and I don't know, the media and any other to talk about these people that way. I've calculated here, shown arguments, you've tried to insult, why maybe there's no point in discussing further. Perhaps it is best to apply that famous saying from your first internal campaign when talking about counterpart Maras of his party colleagues, they say, "Hear, ignore and eskicipate."
ParlaMint-HR_2016-11-30-0.u19966	Don't force me to give warnings, and then harsher punishments. I think we can continue in a civilised debate. A representative of Nikola Grmoya called in a replica.
ParlaMint-HR_2016-11-30-0.u19967	Your Honor. I think that in this debate here, in individual terms, I should talk about the positive aspects of this tax reform that are many. Of course, there will always be those who will be damaged. This is a comprehensive package. The fact is that, through profit tax and income tax, there is a huge discharge that I hope will start investment and new employment. As far as VAT is concerned, it is good that we have come by common agreement that those who offer with accommodation of food and drink services will remain lower VATs, which will not endanger investment in tourism, most importantly. As regards hospitality, of course, we would all like this VAT to be as low as possible, but we should take into account, of course, the desire, and the intention and goal of Minister Marić to keep the budget sustainable, so that there is no big budget gap because there has been a major tax discharge. And as far as these figures are concerned, which you stated that one vice president of the government on the show means, double the amount, it's no wonder that this man was a machine for optimism. He always liked to blow up numbers. The only thing that surprises me is the fact that after that gaffe in the "Open" show never appeared in it again. Here, thank you.
ParlaMint-HR_2016-11-30-0.u19968	I'd like to thank my representative, Grumoja. Reply to the replica, MP Boric.
ParlaMint-HR_2016-11-30-0.u19969	Thank you very much. A fellow Grmoi, but we helped them on the show because they calculated themselves that they had burdened Croatian citizens by 7 additional billion. Then Mr. Coric warned him at the time that it was not so much, but only 3 billion more with 2% more of the basic VAT rates. And today I'm saying, here we're hearing that this law isn't right since here, one of the rates is up by 12%. When we enter the business of hotel companies carrying Croatian tourism, let's say on small tenants who have about 400 thousand beds, this law does not leave any effect on them. When we look at those other 400 thousand, it is organized institutional accommodation – hotels, camps and all other types of accommodation. They have a 13% rate they've had so far. They don't change anything. What's changing them? Hostage services. When we enter the incomes of these houses, 75% of the income of these houses is on the part of the accommodation of those total revenues. So that's where they all stay the same and they're as competitive as they've been before. What's changing them? Those 25% catering services. Why am I criticizing her? Because they were the basic 10% rate that was on the accommodation services together with these 25% others in terms of catering services and then they were 100% up by 3 percentage points from 10 to 13 and there was a difficulty in part of the income, i.e. not competitiveness in the part of the accommodation, but they do not want to admit it. And then they went against the tourism strategy we adopted here. They say we're going to do it today who did it. In the fifth month, we adopted a strategy, and in the tenth month they changed the law that comes into play in 2014 and raise VAT from 10% to 13% for catering services. You need to be honest and say that's how it's done.
ParlaMint-HR_2016-11-30-0.u19970	Thank you, Representative Boric. Representative Branimir Bunjac reported on the replica.
ParlaMint-HR_2016-11-30-0.u19971	Thank you, Chairman. Col. Boric, you have just now stated in your debate that there is some difference between you and the SDP in electricity prices, so you have elaborated that it is essentially a difference of 140 kuna per year in price for a single household. If that's the difference, I have to tell you that there's basically no difference between you and the SDP, it's some kind of minimal change that doesn't bring any significant benefits to citizens. If you were as socially sensitive as your colleagues from the SDP when they were in power, then you would stop the practice of shutting down power to socially endangered families, terrorizing the poor, the elderly, the sick and the children who are constitutionally and illegally destroying the property that they paid for themselves and leaving people to sit in total darkness as in the Middle Ages without any opportunity to carry out their normal day-to-day activities. If you are already as socially sensitive as you claim about electricity, please also answer my question, why does the Government reduce participation in the cost of dwellings for persons with reduced property status or those who live on a minimum fee guaranteed and for the amount of 200 kuna that these same families receive as a electricity voucher? So we see that there are five billion kunas in the budget to increase expenditures, we see that there are salaries for parliamentary deputies and ministers, we see that there are salaries for management and for rich people, but there are no vouchers for citizens, so there's got to be another social case to somehow justify it. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19972	Thank you. Reply to the replica, MP Boric.
ParlaMint-HR_2016-11-30-0.u19973	Thank you very much. Comrade Bunjac, I am glad that you are in the position of the SDP to oppose the reduction of total electricity bills. Maybe it's small for you, there's a lot of households that pay a thousand kuna a month, so these 144 kunas certainly mean 12 things. There may be fewer who may be the total annual amount they pay in apartments, etc., but when you add utility bills when we talk about cleanliness, you will realize that you are still doing something that goes counter to what you stand for. And you've been interpreting here all along and for a month and a half that the people in charge are in charge, and the poor aren't rich, and we need to help the poor right now. And now that we're doing it, you're against it. I think you're on your way to accomplish what I told you the other day that only two bricks will remain from that Living Wall, and I can see that's really happening in that part.
ParlaMint-HR_2016-11-30-0.u19974	Thank you, Representative Boric. Representative Franjo Lucic answered the line.
ParlaMint-HR_2016-11-30-0.u19975	Thank you very much, Mr. President. My colleague Boric, I sign your debate because it has indeed been in the context of extremely good changes in the tax system which, by now, I can say freely, in this context and in this volume has not been seen but, above all, in a positive sense. We're witnesses, and I can't miss it because I was saying that in my individual debate a few days ago that exactly the SDP government that was four years ago was recorded as the government that made so much of the biggest mess in the tax system by changing the laws and bringing into uncertainty all those potential investors in the Republic of Croatia. And these very tax changes that are now current, which have also been the biggest tax changes since the 1990s, guarantee both the sustainability and future of the Croatian economy. The best indicators are that the public debt has been reduced, the deficit has been reduced, that GDP growth that has been announced today is also in the upward path. And I'll just say a few words about your government in the last four years. You had a sign of GDP growth in all years except the last quarter of the fourth year. Well, gentlemen, do you talk about it any more, and today you're against these tax reforms. And a few words only about hospitality. Slavons also worked when VAT was 10 and 12 and I don't know what 13% was on the Adriatic, and... seems to work in the future because they have no perspective in Slavonia And tax should now be reduced to agricultural products, but it certainly takes time to speak much more about it. [[Intruder Petrov: Time.]]
ParlaMint-HR_2016-11-30-0.u19976	Thank you, Agent Lucic. Replication response.
ParlaMint-HR_2016-11-30-0.u19977	Thank you. My colleague Lucic, the SDP doesn't like it when we remind them of what they were doing, but I do it persistently and often because it's numbers and it can't be hidden, it's recorded and we have to repeat by not knowing which times. They raised the VAT rate from zero to 5% for bread, for milk, for books, for textbooks, for medicines and everything else that goes with it. They did it in 2013. They reduced the rate from 25 to 10 for catering services only, so they all raised 3% of points to hotels, and accommodation and catering services. They raised the VAT from 23% to 25%. That's their effect in four years of their term of office. The load at the annual level, you saw how they count themselves, they said 7, we told them at least 3 about the general rate part, and there was probably a lot of impact on all of these other steps. And that's why they're back where they are in the opposition today because they're untrustworthy and they don't know how to read the documents they brought themselves, and that's the strategy for developing Croatian tourism where the VAT rate itself is mentioned in one single sentence and where it's not mentioned at all in terms of the competitiveness of Croatian tourism, but all other important factors that just make tourism competitive, and that's all, just not the VAT story. And they have to understand that. And it's not nice, I'm saying, that they say the lies in this home because there's a document, and there are pages, and there's one chapter that says the competitiveness of Croatian tourism, and what it says in one sentence is just, the SDP wrote, according to the indicator of price competitiveness, we're the most competitive in the Mediterranean. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19978	Thank you, Representative Boric. Representative Miro Bulj has come forward for the replica.
ParlaMint-HR_2016-11-30-0.u19979	Thank you very much. Dear Boric, you have listed some of the facts of this tax reform, such as that it will be or will remain the same prices on basic life supplies that led us to debates before tax reform itself every day even baskets with life supplies were brought. But the fact is that this tax reform also has cheaper electricity, certain municipal services, and I'm glad that he noticed that on behalf of the Club he also spoke to a colleague named Lalovec where he had a positive attitude towards this reform. Of course we have agriculture here, and we also have cheaping. The smaller VATs towards the retromaterial, but the fact is that the impact is essentially on the import lobby. However, the fact that in the last four, five years we have 64,000 dairy producers, today we have 4000 800, and 5 billion kuna is invested. This should perhaps be better explained by former Minister Jakovina, he is the most professional there. The fact is that we have 100,000 fewer people in Slavonia because of the funds that the EU funds were supposed to be allocated to our OPGs, and they were allocated to other people who had fictitiously opened the OPGs. And surely these tax reforms would have had an even greater effect on agriculture if they hadn't gone into the wrong pocket these funds during Mr. Jakovina's focus, instead of small OPGs are directed at tycoons. So much more effective that the previous authorities did not do what they did and therefore I believe that tax reforms have some good effects, but in time it is necessary to see that the situation and the fact that a billion and a half kuna due to the untaxable part of the salary from 2 and 600 to 3800 goes into the pockets of our citizens who will still be spent Thank you very much. [[The President's incursion: Time.]]
ParlaMint-HR_2016-11-30-0.u19980	Representative Boric responds to the replica.
ParlaMint-HR_2016-11-30-0.u19981	Thank you very much. Comrade Bulj, we have to repeat because I say, everything that says in the law he has numbers and can be calculated and that's why I repeat what it looked like only on electricity bills. They offered us 270 kuna collection of thousands of kuna electricity as a result of their policy, energy policy or care for Croatian citizens, and we offer a reduction. VAT payments and savings on the same account or spending of a thousand I say kuna for 144 kuna and can be calculated using certain parameters and these rates. And they say, we're against it, we're against reduction and we insist on being against it. And what do we tell them? Be against it. We will continue and we believe that this law we are discussing is now said in a smaller group, but the reform is complete and will certainly give positive results. And that's where they most, I say, are afraid because all their reforms were going with the results down, i.e. negative. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19982	Thank you, Representative Boric. Representative Nenad Stazic reported on the replica.
ParlaMint-HR_2016-11-30-0.u19983	You are telling your colleague, Boris, that on page 14 of the Tourism Development Strategy, we are the most competitive in the Mediterranean. Oh, yeah. The only thing I don't understand is why HDZ cares about us now stop being the most competitive in the Mediterranean. You're saying that the caterers are completely indifferent to what VAT is and that they will work equally with 13% and 25%. But what you're saying is that a thousand hosts in Split left the rally when it was there... Here's a report from "Free Dalmatia" Scandal at Hotel Love in Split "The hosts boycotted Capelli's assistant. [[You don't understand.]] When he came to the pay phone, a thousand of them left the hall with whistles. The hosts expected answers from the resorient minister about the announced VAT increase from the current 13% to 25% since January next year against which the hosts have been insecure for a month explaining how this will make their service uncompetitive on the international market." I repeat, listen to me, Boric – that this will make their service uncompetitive on the international market – so this does not tell you now Stazic and Maras and SDP in the Parliament. That's what a thousand caterers and whistles say in Split in Hotel Lav. So don't rephrase it, answer the line to me, then replicate it to them. A thousand of them whistled you, and that's all we're saying here is that a thousand representatives of the caterer whistles your decision, and you're praising her here as genius.
ParlaMint-HR_2016-11-30-0.u19984	Thank you, Agent Stazic. Reply to the replica, MP Boric.
ParlaMint-HR_2016-11-30-0.u19985	Thank you very much. My colleague Stazić and you, like me, know all the models or opportunities that democracy provides. Right? You were, say, one government that received one referendum every week, and that was the form of a civil rebellion against some of your activities. That's right for the caterers. They have every right to express their dissatisfaction, to say what they think, to propose their own solutions, and no one can forbid them. That which they whistled, and let them whistle, which I would forbid for them. Well, you haven't just gotten a round of applause in the past four years. So you whistled behind every canton. So, you've been played by the people in the election twice a year if we can pass it on. Well, not for being good and perfect, but for being bad. And this fellow who left said he was in bad company. And that he's come to his senses now and now. But we claim, and that shows the figures, that we are the most competitive in the Mediterranean, and that's what the minister said in his opening speech. He told them at a meeting that we had here at a thematic session, that we were in the competition index at the level of Portugal, which together has one of those indices 100, 74. That we have a space of 30 index points to get to the level of the European Union average. And there are those that are over 100. Well, it means there's space. But you know as well as I do when you fly here to a country of the European Union or a hotel, so you know there's something more expensive than here. And food, and drink and everything. And let's not get into how prices are going to be formed. Prices form supply, demand and market. That's what we fought for. How will they form after raising this inter-step? Well, I guess that'll be decided by every caterer for himself. Well, we're not in socialism that we all have the same price. Well, that would mean everyone had to lower their prices when she fell in the middle of it. However, it may not have been that way. I support them in every part of them where they feel democratic should express their dissatisfaction and dissatisfaction. And no one should blame them for that. [[The President's incursion: Time.]]
ParlaMint-HR_2016-11-30-0.u19986	Thank you. Before we go to the next individual debate I'd really like to ask the MPs, I don't want to end your freedom of speech and the possibility of replicating, but I don't think it really makes any sense for the replicas within the same club unless you've been able to agree within your own club. The next representative to report for individual participation in the debate is Tomislav Panenic. Here you go.
ParlaMint-HR_2016-11-30-0.u19987	Thank you, President of the Parliament. Well, hello to the secretary of state, I will especially welcome him because he is with us for the first time, and probably this topic is a good introduction to this future time where he will work, and in view of this, we've known each other for a number of years, so here's what I'm saying, in fact, is, in some way, a message that I've been conveying, and that's the common desire of both the Ministry of Finance and me as a former economy minister, to help the economy, to help entrepreneurs. And this reform, I also welcomed it then, that there are really a whole series of positive things that can contribute to the development of entrepreneurship and that we will improve especially in one general picture. I hope that these expectations of the Ministry of Finance and the entire government will come true. At that time, and I would now return to the topic, since I come from an assisted area, I have appealed to both the minister and the associates, to consider once again abolishing profit tax benefits, but here I will use a little and abuse it, is not a topic today, but it also refers to income tax from independent activity. When we look at the reason why I responded, I spoke primarily because I wanted to and, to put it that way, the state authorities also, both regional and local authorities, to help our entrepreneurs in these areas. We're not talking about 264 cities and municipalities where entrepreneurs have difficulty. It is not only that we have areas that have difficulties in themselves but also have difficulties in the economy. And it's our desire to help them. And we help them through various visions and support that we provide from local level, regionally, also national. But what's going on? Neither the funds are sufficient to help them fully nor are they qualified to benefit from certain funds available and many of them remain without even the support of small value support that can be found within one period. And then what do they have left? They actually have that tax relief that they can use, and in some ways that's how we help them in these areas to actually keep their business. And what we do, since I was also the head of local self-government, every single measure that we can imagine is a competitive advantage for us, we use it to have a business zone, we use it to free them from communal contributions. We say here, you have a relief with us, and that's why it was exactly my intensity when I turned and asked to see again this whole package worth 40 million kuna, to consider again in your projections to allow these areas of the first and second groups most threatened to be helped. Here, I appreciate the ministry's respect for the part about the City of Vukovar, where the city of Vukovar has been given back a lot of release, means the full release of profits. But I'm saying, I have to simply because I come from a municipality adjacent to the City of Vukovar, I have to protest, I have to simply protect myself for the sake of a provision that I believe is probably unknown to the real situation there, which is that the reliefs for the City of Vukovar are recognised, but in a way that workers who are employed at least 50% must come from the area of the City of Vukovar or the assisted area of the first group. I'd just point out that neighbouring municipalities, including mine, we're all meaning all assisted areas of the second group. I'm just trying to paint what's going on. It happens that a worker from a neighbouring municipality where an undeveloped economy, where there are not enough jobs, is looking for a job in the City of Vukovar. In this way, if he will not be acceptable to the employer, since he could lose his relief to which the City of Vukovar is entitled, he will avoid hiring people from neighbouring areas. And I mean, on the one hand, come as a resident, as the leader I was there, we lost our right to relief. But on the other hand, how do I explain to my workers who live there that simply in future time will have difficulty getting a job in the City of Vukovar. With entrepreneurs of course who want for themselves well, but will turn out to be neighboring municipalities of the collateral sacrifice. And I would just point out that the town of Vukovar suffered, a lot of people there died during this war, but it was also not only defended by the citizens of the city of Vukovar, there was a whole series of people from neighbouring municipalities, there was also from the Tompoevci municipality, where I was from, it was from the Municipality of Bogdanovci, and the Municipality of Bogdanovci too, and the place itself was very much lost. And for that I appeal once again here to the ministers to respect what I'm saying, I'm saying this from the heart and I really want to be able to come back as a representative there and that I can tell the people here we really figured out what the difficulty is and we did it with it. I would if you could consider, at least that detail, that the assisted area around the city of Vukovar group one is gone. The nearest is Gunja or those parts along the Sava, Markusica but means neighbouring municipalities where most people are employed in the town of Vukovar, none of them are assisted areas of the first group, so consider it one more time, so here, I hope you will also talk to the government about it because not only am I talking about it, but also with colleagues who are the leaders of local self-government, who are also from HDZ. And this is the attitude we share, I'm actually trying to be a spokesman for the whole area and help all of us stay there. Because in the event that this change is not made, every entrepreneur first, what remains will want to start his business in Vukovar because he is provided with this relief. Any worker seeking employment in the town of Vukovar will transfer his residence to be competitive in the labour market and will move to Vukovar. And then what did we do? I would just say one illogical thing that we had in the past when we helped young families with material for building housing, so we said what you can do in the area of special state care and you'll get that privilege. People thought rationally in a way that if I already got the material, I could buy construction land and then go to build in the town of Vukovar or I don't know in the village of Mirkovci which is next to Vinkovci where the value of this property will be greater. And it happened that from one good intention we moved the areas where they usually lived, so... say you're building in the place where you come from and I'm afraid that this measure could just influence and further depopulate the areas that are based on the city of Vukovar and the city itself without the strong environment that is developing will definitely not be able to survive in a long time. [[The speaker doesn't understand.]] Therefore, it is not only the area of the city of Vukovar, it is likely that these difficulties will also be felt by entrepreneurs. I when I saw it, so we had all set up 779 of economic operators that used to mean 2015 for that relief. I think it's a small number of subjects and I think it's a measure that helps them, that's that small-value support. And if you can in your projections, once again I urge you to try to find a model of how to keep those funds. Thank you very much.
ParlaMint-HR_2016-11-30-0.u19988	Thank you, Agent Panenic. The first representative to report for the replica is Davor Vlaovic.
