ParlaMint-HR_2016-03-11-0.u292	On behalf of the Club of Representatives of the Most, I'm looking for a five-minute break.
ParlaMint-HR_2016-03-11-0.u4732	Thank you, Mr. President. Dear Representative Hrebak, on several occasions you mentioned local, regional administration and the will of local (regional) administration. And I assure you that you really need to change in a series of segments of legal frameworks. I'll have two specific examples as far as I can. You have to call public procurement, and let's say you have centers of former addicts who organize in the areas of local administrations of the house some, former addicts under the waistline and you can't give them certain communal jobs because they can't meet the conditions of public procurement in administrative and bureaucratic papers. Such segments should be adapted and these people should be easily assimilated into society, and in some ways create existence. Let's say at the local administration we find that problem. Next, the next problem. Here we had this one by me good Law on Legalization of Objects. They entered some kind of facility, got some kind of object that wasn't legalized. They have no other benefits, they also like all others and citizens and associations, businesses, companies, companies have to pay all those benefits and all that it takes to legalise their facility. They can't do that. They're former addicts. They're trying to assimilate into society, into the local community they're in. And the local community can't give them that because they're being threatened by the legal framework. Here's through these two examples already. So there's probably a number of other examples. I'm talking about those I know from my local community. But perhaps such societies, such a group of former addicts who want to be assimilated into societies, have the will to look at some other eyes through the sight of a number of other laws that apply to them.
ParlaMint-HR_2016-03-11-0.u4733	Thank you very much. The esteemed representative of Hrebak will respond.
ParlaMint-HR_2016-03-11-0.u4734	Well, we're a pre-determined country, and that doesn't even have to be emphasized at all, it's more clear and familiar to everyone. I was just talking, and I agree with you about this low-level approach, so county level, city level, so there's this direct approach that we can use for addicts. But what's even more important, I'm stressing again I wouldn't want to deal with that final stage when you're actually getting a ready-made addict. We need to move on to this stage, and this is exactly what you were talking about, so it doesn't happen at all. So, the prevention system. And the prevention system other than this red tape that you were talking about about the prevention system is extremely important to enable infrastructure capacities, expertise and ultimately financial capacities of local cities and counties to just implement prevention systems in an even better and much stronger way in which they will have a much greater impact to make this phenomenon stop as much as possible. Of course this is a big problem, not just in this segment. You mentioned, although it is not good to mention in this debate building permits and amending laws from that domain, it is really necessary that we focus more on the county bodies, more on the county commissions that are designed to combat drug abuse at local level.
ParlaMint-HR_2016-03-11-0.u4735	Thank you. Now we're going to switch to individual speeches. The first will be Commissioner Ladislav Ilcic, please.
ParlaMint-HR_2016-03-11-0.u4736	Thank you, Mr. President. Dear colleagues and colleagues, I will begin my debate with a television commercial – she said in that ad by the lady until two months ago I felt terrible, stress, work, children even think that I've been taking it well and since I've been taking those pills, I feel great. I'm in a very good mood, and my roses are blooming, and so on. What kind of message are we sending in that commercial? What message do we send to our society if it is necessary for a good mood to take some pills? If you have a problem, you can’t solve some difficulty in life and you can’t be happy, but you need to take some pills. What kind of health message are we sending to our nation? What exactly is health? Health is not just the absence of disease or the absence of addiction, but one value for which we should raise people, raise primarily young people, raise them one way to say that they can be happy without taking drugs, raise one self-esteem in which they will be important enough that they will not have to prove themselves to their peers by taking drugs or be part of such a system. I will even dare say spoiledness because when we talk about health I want to talk about a holistic approach to health, meaning not only physical health but also spiritual health. Are spoiled people healthy? I'd say they're not, if they can't solve their difficulties in a normal way, if they're not willing to fight in life for some things that are good without taking some kind of means, some kind of pills to make them feel better. So, the key to our fight against addiction is this prevention. So we need to raise young people, and today what I think is the least good in this report is that part, we have a lot of programs today. It's said to be now the base of these programs is being created. So we don't even know exactly what programs we have, we don't even know how they work. I believe that all these programs came with good intentions, but you had before and programs that, say, talked about the impact of different drugs at school. Let's say they come and talk to the kids about this drug and they're spreading your pupils, and this drug is laughing at you, and then in children, it's provoking curiosity, so the kids are going to try it out. So later it turns out that such programs do not bring the desired results, that we should go formatted. So we should raise kids like I said who'll be happy enough not to even need drugs. With these programmes, we need to know that the information itself does not affect the behavior of young people and information affects education. I'll say it and all the smokers know that smoking is harmful to health and yet they still smoke. So that information itself hasn't changed their behavior. We must act educationally, and education is always for certain values, education is always a moral category. And that's the problem we encountered in health care. I'll even say that prevention of addiction is a collateral victim of sex because as long as we have a consensus and we're not afraid to go out with one moral fact that addiction is bad. So using that term that's good, which is bad, you can't say in sex today, let's say promiscuity is bad. Then they attack you, they say you're backward, etc. Health education, and this is incorrect in this report, so on page 190 of this report, says "All educational institutions are obliged to include preventive programmes in their annual plans. In addition to the prevention programmes of primary and secondary schools, they also implement a compulsory health care programme whose one module deals with the prevention of addiction." That's incorrect. Health education is not being conducted in schools today, except very, very rarely. Why? Because 10 years ago, there was an intrusion. The installation of one program for all. And I really think Mrs. Krpan is wrong to say that those who do not accept former Minister Jovanovic's programme are being held back. There are indeed many people who are very good at raising their children, whose children are not addicts, do not smoke, do not drink, achieve excellent results in schools in competitions. But they have a very bad opinion on the program. Because there's some stuff going on. We need to see that we're different. Maybe we want the same things, the same goals, maybe we do them in different ways. And that's where we need to achieve that plurality. And ever since the reverse, it's not just from Minister Jovanovic and there's been these attempts to impose one programme on everyone, and from that moment on, there's nothing in schools, there's nothing from health care. These programmes that are being implemented should be evaluated, we don't know how they're being implemented. We need national character programs that will be evaluated, which will be effective and that is what is missing. The other thing I want to look back at in this report is that repressive part. You know that since 1 January 2013, we have changed the legislation that possessing a certain amount of psychoactive substance no more than if it is considered to be a personal use that is only a violation, thus the bad side of that law is that one message has been given and it is not so terrible, so I will simplify it. On the other hand, Mr. Petkovic said well on the board yesterday when it was, therefore, a criminal offence, as it is said, so the crime then did not, the state's attorney's office did not initiate this criminal procedure because it was a minor, this, that, etc. And it's got a little bit higher, that's all I'm saying. But I'm interested in one thing. Here on the 114 page it says we have 7 grand and some violations in 2014. What I didn't get to ask yesterday on the board. Of the 7245 perpetrators, how many did they really end up in treatment. That's what I'm really interested in because I don't know why because here yesterday I learned from a center that deals with these very treatments that the number is really falling, that the number in 2015 is twice as small as 2014. So what do we come up with now? It's a violation where you need to know what's already been said, today in business people that weekend, cocaine, this thing, let's do a little yelling over the weekend, etc., it's often parents. What kind of parents then give their children a message? You know that children learn the most by imitating their parents. If that's normal, if it's not sanctioned, if someone catches you, you just pay some money and you don't even go to treatment, then what kind of message are we sending? In my opinion, these 7,000 violations are extremely small. Although there is an increase of 5700 and something since 2013 to this 7200 in 2014, it is still very little. We need to find out as soon as possible and take care of these little offenders systematically as possible. And you know those stories from the movies when they get caught, and that's what happens to us. You know, when a kid gets caught by a rich parent, and then his parents start to apologize, so he only has one joint, so just go anyway, why are you harassing my poor kid now, go ahead, catch those big drug lords who delivered that drug to my poor kid, then I say it's totally wrong. Fighting addiction won't end up moving drugs from the market. Of the 10 big drug lords, there's probably 100 others who can't wait to jump into this bigger place. And it's a story without end. What we have to work on is that these little users, each and every one of us, can't let them be smarter than us. Our police must be smarter than they are. We also have to arrest everyone, so we arrest him, start a misdemeanor procedure, charge the fine, but what's above all is to send him to treatment. And it's the only way out. It's hard work, big job, no magic wand, but it's the only way out. And above all, as I said, prevention and in this area too little work is done, and I say, it is because health education is not being conducted in schools. And I'll just say a few more words about resociation at the end. So I was surprised when I co-ordinated the production of health care, the health care care program, I didn't know until then that the abstinence crisis lasted only a week, for a maximum of 10 days and for heavy drugs. I thought it was much longer, everything else was socialization because those people who do drugs most often destroy all their relationships in the family, outside the family and there's the greatest need to help... [[The speaker doesn't understand.]]
ParlaMint-HR_2016-03-11-0.u4737	Your exposure has caused more replicas. The first one is the distinguished representative of Sandra Krpan. Here you go.
ParlaMint-HR_2016-03-11-0.u4738	Dear fellow Ilcic, it can be said that promiscuous behavior is bad but it cannot be said that masturbation is bad and that children who thus investigate their sexuality will end up in hell. Health education is made by experts, he must be in schools because very often parents do not want to talk to their children about the subject because they are uncomfortable. What would you say to my colleague Ilcic when the students answer the question that they can't stay pregnant in an anonymous survey if they showered after sexual intercourse? I remind you that we are now in 2016. If you've recognized yourself in this, in the insolence and incarceration of these issues of sexual education, if you don't want to talk about them at school, I think they should be discussed at school and that's really your problem. All programmes implemented, medical education at school have been evaluated and followed by the National Centre for External Evaluation and the fact that some directors have refused to do so and this speaks more about them.
ParlaMint-HR_2016-03-11-0.u4739	Thank you very much. I would just like to remind all the debaters that the topic of implementation of the National Strategy of the Action Plan on Drugs, not masturbation, hell and all, is just who forgot, by chance. Here's a colleague to respond. Here you go, colleague Ilcic.
ParlaMint-HR_2016-03-11-0.u4740	I believe that health education in schools is not necessary certainly not to invest a few years of his life in the development of a health education and training programme. These examples you're referring to, which are so radicalized and which no one else is normal, so some kind of hell, and what you said about masturbation, we can talk about but not under this topic. I'd rather not. But I'd rather not. But in any case, your approach in which you radicalize these topics means that those who don't accept the program as I said that you're putting in a fight, unnecessary arguments, instead of making it possible, as I said, to introduce two, three more programmes at national level that could achieve the result. [[Intruder President: Not a topic.]] And I remind you that our program that won the competition just out of addiction prevention got the highest score, the highest score, of the 24 programs was named the best. So, what's crucial is that I would like to reduce tension, not to go through such attacks, to see that indeed in the field of sex that we have different attitudes, but to make it legal in a plural democratic society. Thank you.
ParlaMint-HR_2016-03-11-0.u4741	Thank you. The next replica is the esteemed representative of Zeljko Jovanovic. Here you go.
ParlaMint-HR_2016-03-11-0.u4742	Thank you very much, Mr. President. Well, we've heard it a few times today, but now colleague Krpan has replied that the health care program is not being implemented in schools, which is not true. He simply has to be in all curricula and programs. If some school doesn't run it, she's breaking the rules. So let's get rid of this dilemma. So, I'm absolutely for an argument without a lot of arguments. I will refer the parliamentary question to Minister Shostar to inform me whether the programme is being implemented, in which schools are not being implemented and what he has taken against the directors in schools where the programme is not implemented. Otherwise, the health education programme in Croatian schools is being monitored and evaluated by the National Centre for External Valuation, which will give an expert assessment to the extent that it has been successful. And the key problem and my kind of conflict with my colleague Ilcic was just about the Rodney module and sexual equality. About the other three modules, no one has ever said anything controversial, and the reason why I was against the programme offered by my colleague Ilcic is because it was precisely the National External Valuation Centre that assessed it as bad. And the results of the program did not increase student education in schools on the subject they needed. And this is the only truth about this programme that was constantly mentioned as necessary to be second to a program that was introduced by health care in Croatian schools.
ParlaMint-HR_2016-03-11-0.u4743	Thank you. The honourable representative, Ladislav Ilcic, will respond.
ParlaMint-HR_2016-03-11-0.u4744	So first there's this second part. So the National Centre for the External Evaluation of Education gave a recommendation to implement the GROZD programme in schools. So it's a fact and there's... As well as the Education and Education Agency as well as the Professional Education Agency. [[The speaker doesn't understand.]] So these are the facts. Later, when the evaluation of the experimental implementation of this programme and the Education Forum Programme was the first conclusion that Minister Primorac then stated that we did not need health care, and this was manipulation because neither the National Centre nor the Ivo Pilar Institute did the evaluation of the needs of health education, but they did the implementation of the programme. And they didn't do it according to the programme's specific outcomes, because the programme for political reasons has been put into operation for two months. The goal of this programme, as I said, is not educational in that sense of education, means that in two months, the nabiflate can be not know how much information, but that it affects the behavior of young people, raised to influence, and you know that it can't be achieved in two months. So I'm talking about documents and the context in which it was made. And what was mine, my objection to your introduction of health care was precisely that desire for one program to be imposed on everyone who went through PR-ovski, I don't say now from you or how, but all the time the kids didn't know how to wash our hands, they didn't know how to brush our teeth, they threatened. So, the type of parent you can't raise your children, which is why we here at the ministry are going to explain to you how children should be raised. It's not an approach. So we have to have motivated teachers, motivated parents, motivated children to have a successful health education. And we can't push him over our knees. And that's why I think the plurality that I'm talking about and what we've been repeating for several years of course needs to be licensed some kind of basis for the program so that things that are really scientifically incorrect are not spoken of. But after that, we must realize that it is realistic in one plural society to have different views of, especially sex, and that both can be good.
ParlaMint-HR_2016-03-11-0.u4745	Thank you very much. The next replica is the distinguished representatives of Ines Strenja-Linić. Here you go.
ParlaMint-HR_2016-03-11-0.u4746	Well, now I don't know where I'd go. At first, I would say that my replica of you is actually about what my colleague Jovanovic said. Look, you can't deal with a problem like you don't get into what kind of math program is adopted at schools and that you as parents will say it's not appropriate for my child or not, unless you get a decision on a tailored program for your child. And if we accept that we're going to have a medical education that is, it has to be introduced to schools. I would also like to answer the question that schools have decided on their own initiative that they will not implement. And if we accept that there's a "Living Healthy", "Prevention of Addiction" and "Prevention of Violent Behavior" in there, which is why we put ourselves in a position. What I don't know doesn't concern me and it won't be a problem. And I don't want my child to know. If it is known according to what is today and what are clear statistics on how few minor pregnancies there are, how many sexually transmitted diseases there are and what would be surprised among the young population because they do not even know what this is about and how it is prevented. So we can say that a particular health education is especially relevant as regards sexual education must be appropriate to a certain age of a child, but it is absolutely something that is according to today’s scientific and clear results and indicators clearly that this child should receive that information at that age. It's bad when you say I decide for myself about my child. Let us ask ourselves how much you are actually educated as a parent to know on the medical side all those clear indicators that say that at that age this child needs to get that information to prevent certain unwanted consequences that will definitely affect this entire young life from unwanted pregnancy, promiscuity behavior because he will not know what it is if we do not explain or sexually transmitted diseases to him, etc. So, we're gonna talk about bulling, we're gonna talk about drug prevention, but we're not gonna give them basic information about their sex. Of course appropriate to their age. Second of all, I'd still be on the line, I'm glad you noticed that commercial. I, as a neurologist and as a doctor, is deeply disturbed that we practically promote antidepressants and that's how we solve the problem. This does not solve the problem, the problem is solved by some other things, by helping a husband or a spouse to each other, etc., about the way a woman should be relieved or one of her spouses but not by taking treatment because that only covers the problem, we do not solve it. It's bad when it's a commercial everyone's watching on TV. In the end, even patients spoke to me and asked for therapy afterwards. Okay, thanks.
ParlaMint-HR_2016-03-11-0.u4747	Thank you very much. The honourable representative, Ladislav Ilcic, will respond.
ParlaMint-HR_2016-03-11-0.u4748	First of all, I will not be surprised at any information about the sexual behavior of young people because I have been doing this for 20 years and I have been following the situation and I know from the field and from practice and at the level of the state, therefore complete data concerning the sexual behavior of young people who are often associated with all other risky behaviors. So the risky behaviors are often that you probably know about. So irresponsible sexual behavior with abuse of psychoactive substances, violence, etc. I also agree, of course it must be consistent with the age of the students, it is without further ado and these are all the programs that were given showed it. What I'd like to answer, information, when you say a child needs to get information, I repeat, it's not enough. So, with information, we have to give certain values, direct. When you raise your child, you give not only information but you give and you testify this is good or this is not good. And it only affects the child and affects the youth. And there are differences. So it's not the same mathematics where all parents teach the same children, and in sex they raise in different ways. When we talk about the rights of parents, they are constitutionally such that the parent is the first and main educator and that he has the right to decide on his own. Self-sufficient. You know what the word in the Constitution means and every word of the Constitution is particularly difficult. Make a decision on raising your child on your own. So, a school should help parents to raise, not to raise, regardless of their parents being competent. So that's where we should look at the school and the parents' cooperation to give it together. And that's only possible if they respect each other. So we can't do the intrusion. And there really are solutions that can satisfy everything, and that's like I said plurality in choice. To offer several programs at school and then to have parents and children, of course both the other and the third programs that will be at school, have to meet some basic conditions, but then parents can focus on someone else, in the direction in which they normally raise their child. So there is a solution. And I'm sorry that these ten years have failed just because of unnecessary arguments.
ParlaMint-HR_2016-03-11-0.u4749	Thank you very much. The next replica is the distinguished representative of Tomislav Zhagar.
ParlaMint-HR_2016-03-11-0.u4750	Thank you, President of the Croatian Parliament. Dear colleague Ilcic, my replica is heading towards the relationship between prevention and repression. So I don't think I'd agree with you here. I don't think the repression will ever bring results. That's what I'm saying in the context of the 2013 legislative changes. The intensity of these changes was that those young people who were found with a drug-free joint, so they experimented with it, not to bring into the sphere of criminal application and later lasting consequences to their lives. What you need to be careful with these messages without being read out of your statement does not mean that these people will not have any sanctions. So they were transferred to the criminal sphere and Mr. Petkovic was also speaking to the board that the police in this regard achieve better results because the infringement procedure is far better carried out than the criminal procedure especially when it comes to minors. So, the police have methods, there are ways, they have information, and they can, and so ultimately and act, tell which people they are who distribute drugs, which are people who only use drugs for their own personal use. So I wouldn't, in that context, view this amendment to the law as negative, but I think it's positive that it yields results. Otherwise, in the cities and municipalities of all those who have done this, you have a council of prevention and there is a very important cooperation between the police and local self-government units where quality information is obtained, good information which then helps the police to act and to mark or detect the very people that I think you mentioned or someone before you do not know who is messing around the school, who, in particular, bring drugs to school or near school. Prevention is something we have to work on, that's where we agree. But the repression, believe me, will not give us results so that whatever you put in the Penal Code with any drastic provisions. Thank you.
ParlaMint-HR_2016-03-11-0.u4751	Thank you. The answer of the distinguished representative, Ladislav Ilčić.
ParlaMint-HR_2016-03-11-0.u4752	Both the offense and the crime is part of the repression. So in that sense, I didn't say the repression would solve either this or that. So, by transferring from criminal to criminal section one is repression. I just think that given the data we heard yesterday that when it was in a criminal offence that not everyone against everyone had not initiated a criminal procedure because they were minors etc. We have not heard of how many of those who are now affected by the offence so that they are punished or how many have ended up being treated. We'll probably agree to that, and I believe, so I don't even think that we have any different opinions in it, I think we agree on that, I hope that we agree, that it takes all those who meet the joint in their pocket not to get over it because we know that although it is clear that the use of easy drugs is not necessarily followed by the use of heavy drugs. But we need to know that from those who use heavy drugs that 99% of them started with easy drugs. So there's a connection. Which means that we need all those we find with the joint as soon as she says and your colleague to treat, and not in treatment, I don't know any punishments, these people know what they're doing. I say, strengthening confidence, talking about communication, why he experimented, etc. So now that all these people are doing the treatment, they're all going to the family therapists now because they realize that it's not enough to talk to a young person, or child, that we should talk to parents, too. So that part of the repression is necessary and can partly lead to results but we agree that prevention is crucial. Prevention is what it means to create a young person who will have enough confidence, who will be happy enough not to need drugs, who will live life with ambitions because spoiled people who are more prone to drugs, they don't have any special desires in life, they don't get anything wrong, etc., so let's go get something out.
ParlaMint-HR_2016-03-11-0.u4753	Thank you very much. The next replica is the esteemed representative of Darko Milinovic. Here you go.
ParlaMint-HR_2016-03-11-0.u4754	Thank you very much. You spoke in your presentation and about this one ad that I saw on television, one family with two or three children, they chose, it's interesting why they chose a woman to be depressed so after an antidepressant she was in a mood, they solved all her problems and she had problems about this, and even the kids. And the children suffered. Now it's interesting why they didn't choose the whole family but just singled out the woman and the question is, where are we going? And the legalization of easy drugs that HDZ was against when it was being debated. So where are we going? Shall we tomorrow whoever's in the mood, remember I said four and five years ago here in this House and where you're at, so it was a hit like this, where you're at, where we're going, where we're going. After a few years, are we going to get into a situation where whoever's in the mood to ask each other what you're on about? So if someone's in the mood, if someone like your president said jumps like a squirrel, that means he's in a mood, then he has to be on some kind of antidepressant. I'm convinced that fellow Ostojic wasn't on antidepressants when he jumped like a squirrel. As for the legalisation of easy or decriminalisation of easy drugs, you are right, you have mentioned that even now in your opening statement "The road to hell is filled with good intentions". We almost don't know who we are in health care. We don't know anyone who's on heroin right now. It's just this joint in his pocket, so he likes it, so it's great under quotes, of course, step forward in the thing against, God forbid we lose the battle against addiction and drugs, which we're all really fighting together.
ParlaMint-HR_2016-03-11-0.u4755	Thank you very much. The honourable representative, Ladislav Ilcic, will respond. Please, just no zoology. Here you go.
ParlaMint-HR_2016-03-11-0.u4756	I'd like to answer, just supplement the part that talks about that condition, let's tell the nations. So we simply need to expand the atmosphere of healthy life in Croatia. It means that really, I don't know, this healthy life in any case involves both some difficulties and ways to overcome difficulties. So if I don't know, you want to play the piano well, you need to practice five, six hours a day, if you want to finish medicine, you need to study. So difficulties are an integral part of life, and they are treated not by some kind of antidepressants but by those services so that they can accomplish something in life. And right in that part of the state of the nation's health, we need to look out for civil society associations and the media, the culture of ours, which will promote a healthy lifestyle, which will promote healthy values in society and I think there's a lot to be done here, so in some kind of atmosphere. I have to say, today's media isn't good for us. Today’s media show mostly that part of life that concerns mere pleasure and that pleasure when a man deals only with pleasure after some time, there is no such thing. And good results in life and in professional and family life have just been posted by people who have been able to sacrifice themselves for something. And I think that part of the mentality that fits or doesn't fit the drug is crucial to preventing addiction. Because like I said, we have to create a society that lives a healthy life, that lives health as a value and not as a absence of disease or addiction. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4757	Thank you very much. The next individual debate is the esteemed representative of Zeljko Jovanovic.
ParlaMint-HR_2016-03-11-0.u4758	Thank you, Mr. President, colleagues and colleagues. So I must begin by commending this report that is ahead of us on the implementation of the National Strategy and the Action Plan to combat drug abuse for 2014 for the simple reason that I am already taking part in this report on several occasions. And the report makes sense if, on the basis of what is discussed in the Assembly and after that, they bring some concrete things that will improve the problems in which there were words in the report. That is exactly what has happened in the past year, because when we held this debate last year, one of the key sentences that has repeatedly been related to the importance of adopting standardised guidelines for the field of treatment, to accept the concept of quality standards as criteria for funding programmes and projects implemented by associations and implementing specific education and training in line with the detected needs on the ground. So we discussed it a lot, and it just happened. We can read from this report. And what was a particular problem highlighted in the Parliament last year because at the time it was extremely acute, it was the emergence of new drugs that led to both death outcomes in Zagreb, especially in Osijek and then we discussed how to solve the problem. And we can see that thanks to the list of psychotropic drugs and plants that have a generic list, they've managed to get to that problem as well. And the Health Ministry inspection together with the Home Office successfully solved smart shops that were the biggest problem about these new drugs to call them that. When we talk about addictions, then it is very good to quote a familiar thought because through observation of that thought, right then we see how to reduce the problem of addiction. So that thought says that addiction, unfortunately, is the most common way to go without going back. That path begins with a man taking drugs, after which drugs seek drugs, and unfortunately drugs take a man. So if we go in that order, then we see exactly what are the stairs that need to be ensured so that it doesn't eventually come to drugs taking a man. So, prevention in the first place. A prevention that will prevent young people from getting in touch with drugs at all, the second that they want to try drugs at all. So, this prevention goes simultaneously with repression, especially with the discovery and disclosure of drug chains where here I think we should all congratulate everyone in the House who worked on it because since 2009 when it was seized in 2014 it was 9166. So, apparently both police and customs in this segment are doing a good job and thus reducing the availability of drugs on our market. So, of course, health education, of course, that the family, of course, has a great role to play in preventing the start and contact with drugs. Today, it has been pointed out on several occasions that it is important to send messages about how harmful drugs are. Well, I'd like to appeal to all my colleagues in the Parliament to send one good message in a way, and especially to colleagues from the Patriot coalition not to go on television shows run by a convicted drug dealer who was paying prostitutes with cocaine. Dear colleagues and colleagues, if you're going on a show with such a man, I think you're sending a very bad message to Croatian society, so ignore the leaders I repeat are convicted cocaine dealers who used cocaine to pay prostitutes. I think we know who it's about. So, after prevention, the other part follows. Someone came in contact with the drugs and should try to stop him from using drugs as early as possible. And that's where we're all scheduled. That's where the family schedules, that's where the school schedules, that's where the company schedules because the age limit for drug use is getting lower. Twelve-year-olds are already in contact with drugs, and the first entry into the treatment system is on average 26 years old. So, for 10 years, it usually takes that time that neither school nor family, nor friends were either aware or not willing enough to tear that child off from addiction. We heard something today about treatment. So, of course methadone isn't ideal, but of course it's methadone and useful. So I'll quote you experts, then. The Croatian model for heroin addicts by substitution therapy is one of the best models in the world recognised by many experts, as the system makes up a network of 20 county centres, the Institute of Mental Health. The majority of the addict population is thus removed from the street, removed from the drug mileage, so there are far fewer fatal outcomes due to overdose. Of course, methadone has many flaws as well as any medicine. After all, it's just a dose that determines whether it's medicine, food or poison. A simple sugar can also be your food, it can be a cure, and it can be poison. Today, however, there are new drugs, much better quality than methadone. It is buprenorphine which is given more frequently than methadone in the Croatian Centers for Treatment of Addiction. Unlike methadone, which doesn't make a man very capable of working, all those who are on substitution therapy with buprenorphine actually function perfectly normally. And it remains that part of the people who, unfortunately, cannot get out of the way of addiction. There's that third programme, the damage reduction programme to reduce the possibility of HIV infection, hepatitis, fatal outcomes where civil society plays a great role in doing this good job. Of course, one of the key problems that we haven't solved well is the resociation of addicts after they leave the commune, upon returning to the normal environment where they need to make a maximum contribution that they try to find a job and thus prevent them from returning to the path of addiction. We talked a lot about drugs here today. What we're kind of forgetting is, unfortunately, a bigger problem than marijuana, a bigger problem than heroin, that's alcohol. So, unfortunately, many young people are too often in an alcoholic state. It's enough weekends to walk around all major cities and see young people lurking in bottles of alcohol. So, of course, that's how I say these heavy drugs are a big problem. But we mustn't ignore our domestic drugs that add up to alcohol. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4759	Thank you. We have one replica, the esteemed representative of Sinish Varga. Here you go.
ParlaMint-HR_2016-03-11-0.u4760	I would like to thank Mr. President, distinguished MPs and MPs. Dear counterpart Jovanovic, I would like to get a little involved in the discussion about methadone therapy, i.e. generally related to the locality of curative medicine, i.e. the place where addiction is treated by a substitution method, means methadone and other preparations. The very addiction has been diagnosed by the international classification of disease classified as psychiatric disease F19. Therefore, those educated in the Republic of Croatia for the treatment of addiction are specialists, psychiatrists. However, during the reform that was implemented and tried during 2015, unfortunately during the pre-election period in the elective atmosphere, it was believed that sufficient therapy was being conducted today in the county public health institutions on the one hand. On the other hand, the Croatian Institute of Public Health asked the Ministry of Health for an application within the reform, i.e. within the proposal for an amendment and addition of the Health Protection Act, to return curative medicine to levels of home health. So 20 County Institute of Public Health, the Croatian Institute of Public Health did not consider it an appropriate place for curative medicine, but rather a place to focus on preventive procedures to prevent any abuse of drugs, other substances, but also on all preventive actions as such. Today we have a situation where we have specialists in school medicine, to treat 26-year-olds. We read in the report that 26-year-olds are the first contact with treatment, and they are treated by school medicine within the county institutions. And I would dedicate this exposure to the deceased child who came into possession of methadone from his addict father and unfortunately died. And so I think that psychiatrists are the ones who have to treat their own addicts. Thank you.
ParlaMint-HR_2016-03-11-0.u4761	Thank you very much. We'd move on to the next individual announcement, and that's the esteemed representative of Mark Sladolev, please.
ParlaMint-HR_2016-03-11-0.u4762	Thank you, Mr. President. Here I won't be long, I'll share some of my experience in prevention as a classmate who worked 20 years with children from 5 to 8th grade. We in the class community class in the annual plan and program have these topics on a regular basis. And as much as you prepare yourself for that topic and as interesting as that lecture is to those kids don't really touch until I've done one thing, which is that I've invited a man who's been through hell of a drug, who's cured himself and who has a new meaning in life. So my proposal is for the Ministry of Science and Education to establish some coordination with therapeutic communities, communities, religious communities, so that those people who have passed the experience of the drug hell and who have a new meaning in children's lives can describe in an acceptable way what hell this drug is. The reactions of those children were ten times stronger than what I was talking about, Doctor, the police, because their own experience of this hell is best. I'd like to point out another monster that's spreading in an elementary school that this report touched the same thing, which is a bookies. The bet in elementary school has already been mass accepted and has taken great proportions. Children bet on adults, and some bookies even quietly approve of children's betting. And another example of prevention and a proposal for prevention. And that's already done by a mathematician named Tony Millun, who in a mathematical way explains to children how evil the bookie is and what a robbery it is. So here we at MOST have a proposal that math students engage in workshops with primary school children where they will in a mathematical way explain to them what is actually a bookie evil and robbery. Thank you very much.
ParlaMint-HR_2016-03-11-0.u4763	Thank you. The next individual debate is the esteemed representative of Maria Klobučić.
