ParlaMint-FR_2017-11-16-O1058.u1	I'm going to suspend the meeting for a few moments.
ParlaMint-FR_2017-11-16-O1058.u134	Mr Olivier Dussopt has the floor.
ParlaMint-FR_2017-11-16-O1058.u135	I thank the Minister for his explanations but he did not fully address my concerns about compensation to employers. I take note of what has just been said for the agents, but what about the employers, depending on the type of agents? The premium would in fact necessarily be higher because of the high presence of category C agents, where the largest number of agents are not subject to the ETUC. Depending on how the premium is awarded and calculated, compensation by contribution will not necessarily be sufficient. Doubt remains. However, I withdraw the amendment. I said in presenting it: our amendment proposed funding of 50 million within the limits of the appropriations available for the mission, but without common measure with those that would have been necessary if the employer contribution had not decreased.
ParlaMint-FR_2017-11-16-O1058.u136	The Minister has the floor.
ParlaMint-FR_2017-11-16-O1058.u137	I would not like Mr Dussopt to imagine that I am not fully responding to his questions. This is, of course, a global compensation. While there is no obligation to compensate since there is no transfer of burden – you will agree with me – the Government has chosen a permanent compensation for employers, without any obligation to renegotiate each time with the Government, thanks to the removal of the contribution of 1.62 points – a little more, therefore, than the 1.6 point that would cost this compensation of the increase in the CSG. That's a good thing to reassure you. Public officials, like employers, will have the opportunity to verify the Government's statements at the end of January. Despite our good relations in the parliamentary debate, I imagine that you will not fail to carry out your monitoring work, and that is quite normal.
ParlaMint-FR_2017-11-16-O1058.u138	I call the appropriations of the mission "Social and Pension Plans", listed in state B.
ParlaMint-FR_2017-11-16-O1058.u139	Mrs Mathilde Panot has the floor in support of Amendment No. 1577 on the additional rule after Rule 63.
ParlaMint-FR_2017-11-16-O1058.u140	Earlier, in her introductory statement, the rapporteur for the opinion of the Committee on Social Affairs said that three-fifths of the special pension schemes of RATP and SNCF are financed by the State and explained that this would not be the case if the ratios between pensioners and assets had not decreased as much in these public enterprises. In doing so, it has given us an argument in favour of this amendment: we want to know to what extent the imbalance in the RATP pension fund is due to such a decrease in the ratio between pensioners and assets, which de facto leads to funding problems. The report we are requesting may be drafted by a working group involving four representatives of the administration and four representatives of RATP staff unions. [[Applause on the benches of the FI group]] It seems to us very important to shed light on this issue.
ParlaMint-FR_2017-11-16-O1058.u141	[[At seventeen a.m., Sylvain Waserman replaced Annie Genevard in the Chair]]
ParlaMint-FR_2017-11-16-O1058.u142	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u143	By this amendment, you ask the Government to produce a report assessing the impact of the reductions in the RATP workforce on the balance of its special pension scheme and, by ricochet, on the amount of the State subsidy. I will provide you with two points of answer. First point: with this amendment and the following amendment, No. 1579, you multiply the requests for reports, which is more about two special regimes whose situations are similar. On this issue of special deficit schemes, it would be more relevant to conduct a comprehensive analysis. Secondly, your amendment is underpinned by bias which hinders an objective analysis of the situation. Indeed, the report you are calling for would focus only on one of the factors explaining the imbalance in the RATP regime – the drop in the number of contributors – and would stalemate the others. However, while it is true that in recent years RATP has been more willing to hire staff who contribute to the general scheme rather than to the special scheme, which causes the number of contributors to be reduced, this is not the only cause of the imbalance in the scheme. It is also linked to the fact that the number of pensioners is constantly increasing because of the increase in life expectancy and the liquidation rules which favour early retirement compared to the general scheme. The number of new retirees is increasing faster than the number of retirees. It should be recalled that the average retirement age of RATP staff is 55 years: it therefore remains much lower than that of employees who are members of the general scheme, which is 62 years old. It is this combination of factors that explains the structural deficit suffered by the RATP special pension scheme and hence the constant increase in the amount of the subsidy. As to the impact of this imbalance on the amount of the State subsidy, these data are given on page 29 of my report, which refers to the budget management's forecasts that the subsidy could reach 799 million by 2021, which would increase the State's participation in the financing of the fund from 58 per cent to 61 per cent. Unfavorable opinion.
ParlaMint-FR_2017-11-16-O1058.u144	I call Mr Bernalicis to support Amendment No. 1579.
ParlaMint-FR_2017-11-16-O1058.u145	You could have underestimated the previous amendment, Mr Special Rapporteur, if you thought that the staff were not alone in the matter. Be like your colleagues who, earlier, considered that our amendment to request a report suffered from the lack of mention of Brexit. The balance of special diets, in the end, seems to be a subject of interest to you – unless it is not so and you simply want to remove them? That's a point of view. We defend our own by asking for a report. In this case, we are asking for a report on the SNCF and the budgetary imbalance in the financing of staff pension schemes. We would like to see a study of the link between this imbalance and the downsizing. I am sure, Mr Special Rapporteur, that, with the experience of the previous amendment, you will under-amend it. I'm counting on you!
ParlaMint-FR_2017-11-16-O1058.u146	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u147	My opinion is the same, for the same reasons, as the previous amendment, in all respects similar to it. Firstly, in my view, it is not appropriate to conduct a sectoral analysis of special deficit schemes. Secondly, the requested report would cover only one of the factors explaining the imbalance in the special regime of the SNCF,...
ParlaMint-FR_2017-11-16-O1058.u148	All you have to do is amend the amendment!
ParlaMint-FR_2017-11-16-O1058.u149	... whereas, as in the case of RATP, this imbalance is also linked to the constant increase in the number of pensioners, as a result of factors that encourage employees to retire early: to 53 years and 5 months on average for driving agents, to 57 years and 6 months on average for other agents.
ParlaMint-FR_2017-11-16-O1058.u150	A sub-amendment...?
ParlaMint-FR_2017-11-16-O1058.u151	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u152	A minister's subamendment, perhaps?
ParlaMint-FR_2017-11-16-O1058.u153	Unfavorable.
ParlaMint-FR_2017-11-16-O1058.u154	I call the appropriations of the trust account "Management of the State's real estate assets", entered in statement D.
ParlaMint-FR_2017-11-16-O1058.u155	I have before me two amendments on the additional article after Rule 63. Mrs Danièle Obono has the floor to support Amendment No. 715 as corrected.
ParlaMint-FR_2017-11-16-O1058.u156	Since 2005, the State has sold more than €7 billion in real estate: it is potentially several million square metres that have changed hands in the last decade, since the State decided to implement a new policy for the management of its real estate assets. You certainly have in mind, like us, the various scandals caused by the obscure or even contentious conditions in which these sales, in particular of horse goods, have allowed the sale of real estate of the State at a vile price or in a way clearly incompatible with the general interest. The State must be strong and intractable on these issues. We need to take stock of this accelerated sales period, which is designed to fill the public deficit. What is better for this than a generalist working group, composed of associations whose impartiality is no longer to be demonstrated, such as Anticor or Sherpa? State inspection services such as the General Finance Inspectorate, subordinated to the Government, would not be free enough to investigate thoroughly. [[Applause on the benches of the FI group]] If you adopt this amendment, we will finally have a clear study of the mistakes observed by the press, in particular, during these express sales, and other sales which seemed not to be in conformity will be cleared of any suspicion.
ParlaMint-FR_2017-11-16-O1058.u157	What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u158	It is a real question, and an essential question, that the value of state property. I am referring to it in my special report. On this subject, the amendment still calls for a report,...
ParlaMint-FR_2017-11-16-O1058.u159	You refuse them all!
ParlaMint-FR_2017-11-16-O1058.u160	... but at some point we have to work, drawing on the work already done, which seems serious to me. I shall turn to the controversial comments contained in the summary statement, but I would like to go back to the notion of vile prices. Is it the implementation of the discount you think? This problem shows how complex it is to justify the price of an assignment, especially in the case of public goods, as this price often results from political choices and it is not necessarily up to the Government to define it. I therefore call for the amendment to be withdrawn; Otherwise, I'd send an unfavorable opinion.
ParlaMint-FR_2017-11-16-O1058.u161	I call Mr Bernalicis to support Amendment No. 716 as corrected.
ParlaMint-FR_2017-11-16-O1058.u162	We come to a very interesting subject,...
ParlaMint-FR_2017-11-16-O1058.u163	Because before, it wasn't?
ParlaMint-FR_2017-11-16-O1058.u164	... which was also extensively discussed during the review of the "Justice" mission: public-private partnerships, or PPPs. This morning, I visited with my colleagues in the Law Commission the future court of great instance in Paris, in the Batignolles. The building is beautiful; it looks functional; I guess magistrates and litigants will be better off.
ParlaMint-FR_2017-11-16-O1058.u165	Is that in the amendment?
ParlaMint-FR_2017-11-16-O1058.u166	The consolidated amount of the investment is 611 million euros, supported by the private provider: it is already a good investment. During our visit, we asked for the amount of rent that will be payable by the Ministry of Justice to repay the investment component, knowing that a rent must also be paid for the operation. It will reach EUR 50 million per year for 27 years, or 1.350 billion in total. That's the amount we're going to pay for a building that cost $611 million. This is the magic of PPP: you double your bet; There's no need to go play casino!
ParlaMint-FR_2017-11-16-O1058.u167	What do you want, you have to eat well!
ParlaMint-FR_2017-11-16-O1058.u168	By the way, it is our taxes that are used to pay for these installations, and the public credits that are dilapidated. We therefore ask for an analysis of the cost of PPPs that finance large real estate projects – including those of local authorities, such as the big stadium of Villeneuve-d'Ascq, where you have to go from time to time, Minister...
ParlaMint-FR_2017-11-16-O1058.u169	Not so much, no.
ParlaMint-FR_2017-11-16-O1058.u170	Why don't you come on a couple of occasions? This is another wonderful example of PPP where our local taxes are swallowed up.
ParlaMint-FR_2017-11-16-O1058.u171	We don't go to the same places!
ParlaMint-FR_2017-11-16-O1058.u172	You can talk about it during the next session suspension. What is the opinion of the committee?
ParlaMint-FR_2017-11-16-O1058.u173	I have the impression that the authors of the amendment have already made the report they are asking for,...
ParlaMint-FR_2017-11-16-O1058.u174	Partly, actually!
ParlaMint-FR_2017-11-16-O1058.u175	... in the form of the detailed financial analysis which they give us here and which I thank them for. It also seems to me that the Court of Auditors itself is preparing a report on the subject: your wish will be fulfilled, my dear colleague.
ParlaMint-FR_2017-11-16-O1058.u176	The Court of Auditors is not the Government!
ParlaMint-FR_2017-11-16-O1058.u177	[[Exclaims on FI banks]] Documents and clarifications have already been provided. While it seems to me quite normal that we should be fully informed about PPPs, it is necessary to properly measure the respective commitments of the private and public sectors, and to take into account the risks that are taken into account in some cases. I therefore call for the amendment to be withdrawn, failing which I would express an unfavorable opinion.
ParlaMint-FR_2017-11-16-O1058.u178	What is the Government's opinion?
ParlaMint-FR_2017-11-16-O1058.u179	Same opinion.
ParlaMint-FR_2017-11-16-O1058.u180	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2017-11-16-O1058.u181	We would have liked to hear from the minister on this vital issue. To the examples cited by my colleague, one could add perhaps the most well-known one, that of the South French hospital, for which the contract had to be broken despite the subsequent compensations. In this hospital, the first whose construction was financed by a PPP, 8000 malfaçons and eight months of delay were deplored; the rent exploded; doors could not be repaired unless they paid four times the market price. When will we stop using this system which weighs all the losses on the public and allocates all the profits to the private, to the detriment of the quality due to the users, when it does not put them in total danger? We need to deal with this issue and go further than a report – up to the ban. [[Applause on the benches of the FI group]] I would add that communities often turn to PPPs because of the austerity and downsizing they suffer and because, until recently, PPPs were not included in debt. This incitement was disastrous for the public service rendered to the French and French.
ParlaMint-FR_2017-11-16-O1058.u182	She's right!
ParlaMint-FR_2017-11-16-O1058.u183	I call the appropriations of the special-purpose account "pensions", entered in statement D.
ParlaMint-FR_2017-11-16-O1058.u184	We have completed the review of appropriations for the management of public finances and human resources.
ParlaMint-FR_2017-11-16-O1058.u185	We come to the examination of non-mission items. As usual, summary articles, i.e. articles 29 to 37, will be examined at the end of the first deliberation. I would remind you that, at the request of the Government, we are considering articles 41 to 45 as a matter of priority, as well as amendments to the additional article after article 45.
ParlaMint-FR_2017-11-16-O1058.u186	Several speakers are inscribed on rule 41. Mr Stanislas Guerini has the floor.
ParlaMint-FR_2017-11-16-O1058.u187	Ladies and gentlemen, with regard to taxation, we cannot see our country as a Gallic village isolated from the rest of the world. Today, however, the corporate tax rate is 33 per cent in France, compared with 25 per cent in Spain, 19 per cent in the United Kingdom and 15 per cent in Germany. Our counterparts are about to set it at 25% in the United States. Do we want France to have the highest rate of SI among OECD countries? Of course, the SI rate is not the only element of a country's economic attractiveness, but how can it be challenged that it represents a real handicap for our companies? How, in this situation, will we be able to convince companies to set up factories in our territory and to set up European headquarters there? This question should obsess us, on all the benches of this House,...
ParlaMint-FR_2017-11-16-O1058.u188	She doesn't obsess us!
ParlaMint-FR_2017-11-16-O1058.u189	...because tomorrow's jobs are going to be there. That is why we are choosing to reduce the SI rate from 33% to 25% over the five-year period. The measure was defended by other candidates in the presidential election. This decline does not make France a new tax haven for multinationals: it aligns our country with the European average. It will primarily benefit our SMEs, for whom, as you know, the average IS rate is higher than for some multinational companies. At the same time, at European and international level, we must continue our fight against aggressive tax optimisation and the erosion of tax bases. [[Applause on a few benches of the REM and MODEM groups]] In short, our policy works on both sides: we commit ourselves to the harmonization of our tax policies and, at the same time, we strongly support, unambiguously, our companies that create value and jobs in our country.
ParlaMint-FR_2017-11-16-O1058.u190	Mrs Marie-Christine Verdier-Jouclas has the floor.
ParlaMint-FR_2017-11-16-O1058.u191	Article 41 embodies a promise by the President of the Republic. In strict compliance with the presidential commitment, we are reducing the normal IS rate to 25% in 2022, compared to 33.3% today. Every effort must be made to put France back in the European competition. By this fall, we will bring France back to the average, an average that we must achieve all the more as our neighbours have tended to reduce the tax on profits massively in recent years. The objective pursued is a strong objective for businesses: we want to endorse a gradual decline in the IS rate that economic actors have long been demanding; We listen to them and support them. The rate will fall year after year, reaching 28% regardless of turnover in 2020, then 26.5% in 2021, to 25% by 2022. This makes it possible to reconcile the effects of the normal rate of SI at 28%, currently enjoyed by SMEs, with the decline in the normal rate of SI by 2022, without weakening the enterprises to which the reduced rate is now applicable. From the beginning, companies know where we're going. We have a plan, which is implemented in full visibility, without totem or taboo. We want to create a fair and favourable framework for the development of French companies. We have always very clearly supported companies that succeed in France, which create value and employment there. When we made the forced decision in the amending finance bill to ask companies to participate exceptionally, we recalled that there was no ambiguity in our political and economic approach to them. We prove it today with this article.
ParlaMint-FR_2017-11-16-O1058.u192	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2017-11-16-O1058.u193	Section 41 goes in the right direction in two ways, since it defines a downward trajectory of corporate tax to reach a rate of 25% by 2022 and, in so doing, gives visibility until 2022. This article is therefore a guarantee of stability and confidence that we can rejoice at. But, Minister, you ruined everything.
ParlaMint-FR_2017-11-16-O1058.u194	Yes!
ParlaMint-FR_2017-11-16-O1058.u195	Indeed, between the introduction of the finance bill and its vote, you took the decision to increase the tax rates for certain companies in 2017, so that it amounts to 38.3% for companies with a turnover of more than 1 billion euros and 43.7% for those with a turnover of more than 3 billion euros. You wanted to send a message of trust to companies; But this is a decision that does not fully meet their expectations. Last night, our colleague Christine Pires Beaune presented us with a very interesting special report, where she highlighted the overall stake of the disputes existing today in Bercy's closets and their astronomical bill, which is truly hallucinating. The amount referred to is EUR 22.6 billion in potential litigation, of which today only EUR 10 billion is paid out in some way thanks to contributions set up in 2017 and of which the 2018 budget will take part. [[Applause on the benches of the LR group]] On the one hand, you organize a calendar of corporate tax rates until 2022 and, on the other, you adjust to the margin, very quickly, to finance the cost of litigation relating to the same tax. This is not to reassure us of constancy and stability.
ParlaMint-FR_2017-11-16-O1058.u196	Mr Eric Alauzet has the floor.
ParlaMint-FR_2017-11-16-O1058.u197	I would like to stress that this reduction in corporate tax is particularly favourable to small and medium-sized enterprises and medium-sized enterprises, rather than to large groups and multinationals. At the end of 2012 and 2013, there had been a great debate, on the basis of taxation, as to whether taxes on production or taxes on income should be weighed instead. The more important companies were by their representatives, the more they pleaded for lower production taxes, the smaller they were, the more they pleaded for lower corporate taxes. Rather, it was the first option that had been chosen, except at the end of the mandate where the social solidarity contribution of companies – the C3S –, which is a tax on production, was not removed, as it should have been, but transformed into a reduction in costs. [[Applause on the benches of the FI group]] Large companies can, more than small ones, reduce their tax base. That is why lowering corporate taxes can help reduce tax evasion. However, I caution those who say, including in this House, that too much tax would be confiscatory: nothing can justify tax evasion. In this account, even 25%, even 12% is too much – and companies do not hesitate to go to negotiate with governments, as in Ireland, to reduce their tax base. It's good to lower the tax; But at some point, you have to be reasonable.
ParlaMint-FR_2017-11-16-O1058.u198	Mr Hubert Wulfranc has the floor.
ParlaMint-FR_2017-11-16-O1058.u199	Minister, you find yourself pushing the fires in a tax competition process, as the 25 per cent reduction in corporate tax is part of a vast scald race. Donald Trump has just announced that he wants to go down to 20% as soon as possible; Theresa May is on the same line; Viktor Orbán promises to make Hungary a tax haven; In Ireland, the rate is 12%. Article 41 acknowledges this tax war and proposes that our country take its rightful part in it, in a way, for the benefit of large companies and not of taxpayers and small businesses, those that are not mobile. Therefore, you undermine the foundations of the social contract and you will break the capacity of the public authority and its means to meet social needs. That is why we will oppose these provisions.
ParlaMint-FR_2017-11-16-O1058.u200	Mr Jean-Paul Dufrègne has the floor.
ParlaMint-FR_2017-11-16-O1058.u201	Undoubtedly, there is a contradiction in our corporate taxation. Our corporate tax rate is higher than that of our western neighbours, since, at 33.3%, the normal rate is within the high range of rates applied elsewhere. However, it was 50% in the early 1980s. Yet his performance has been reduced as a pain in the last ten years. This tax amounted to €63.3 billion in 2007; It will only raise 28.4 billion euros this year. As a result, corporate income tax returns have been halved in a decade. This is the truth of the figures, which undeniably twists the neck to the ideas received about the so-called heaviness of taxation in our country: the opposite is true. Let's take a look at the OECD figures in 2015 to convince ourselves. French corporate tax accounts for 2.11% of GDP, when the OECD average is 2.81%. What is the reason for this particularly low yield, which has been falling steadily for the last ten years? The main explanation is, of course, to be found in the establishment of the CICE, which in the end resembles a disguised reduction – or not assumed – in the rate of corporate tax adopted by the previous majority: EUR 21 billion a year, ladies and gentlemen. This is how our corporate tax has been gradually torpedoed. This has resulted in a transfer of tax burdens on other economic agents, particularly households, as demonstrated by the OFCE in a report last year. Despite the inefficiency of the scheme and its abyssal cost for public finances, you propose to sanctify the CICE by removing certain employer contributions from 2019, while reducing the corporate tax rate by more than 8%. This trajectory raises important questions and creates major risks with regard to the financing of the economy and the fair contribution of everyone to the collective effort. We don't share it.
ParlaMint-FR_2017-11-16-O1058.u202	Mr Alain Bruneel has the floor.
ParlaMint-FR_2017-11-16-O1058.u203	The Government proposes to gradually reduce the corporate tax rate to 25 per cent by 2022. Mr Minister, if this fall were conditioned by job creation, investment or the sustainable establishment of activity in the territory, we could have had a constructive exchange. If this fall were conditioned by a review of the – highly questionable – effectiveness of all these tax-derogation schemes, such as the CICE, the research tax credit or the exemptions from contributions, we could also have had a necessary substantive debate on the tax architecture of companies. However, as it stands, this decline is unconditionally, again, and comes – we regret it – in addition to a long list of tax gifts: all the tax measures that you have been multiplying for several weeks and which lead to putting our public finances at the service of a small minority, without any guarantee on the employment and development effects of the production tool. This provision will not benefit small businesses. For them, this will be the status quo with the retention of 15% of the reduced corporate tax rate. On the other hand, for very large companies, the measure will be able to make a big difference. It is only necessary to see the estimated cost of the device for 2023. The reduction proposed here is estimated at EUR 11.4 billion in unconsolidated losses. Minister, do you have any information on the distribution of this cost by size of businesses? In any case, this drop of water falls into a vase that has been overflowing for a long time. For us, you realize a holding-up that endangers the social cohesion and economic development of our territories.
ParlaMint-FR_2017-11-16-O1058.u204	I have before me two amendments, Nos 1369 and 1394, to delete the article. Mr Jean-Paul Dufrègne has the floor to support Amendment No. 1369.
ParlaMint-FR_2017-11-16-O1058.u205	This abolition amendment raises the question of the financing of public action and the fair contribution of everyone to the nation's effort. Your starting assumption is not the right one: considering that the attractiveness of a territory, in this case France, lies solely in its corporate tax rate, you set aside everything that creates or attracts wealth in the territories. To promote private investment, roads need to be in good condition. To create activity and employment, reliable, sustainable and efficient transport infrastructure is needed, forming a good network. To ensure the rise of our industrial economic fabric, it takes trained and qualified personnel, but also in good health. In order to promote private investment and business creation, the public authorities must therefore have the means to act and to carry out these necessary public investments. However, in this case, as you did in the discussions on the abolition of the ISF and the introduction of the single flat-rate levy of 30%, you are focusing on the alleged cost of labour, which has to do with job creation and the so-called tax burden on capital and therefore on investment. In the absence of dangling and conditionality, multinationals have housed 45 per cent of their profits in tax havens. Without the real debate that should take place, namely the question of the cost of capital and the financial performance standards imposed on businesses, you are making a tax bet without visibility or certainty and, in any event, hyper-rised for our public finances and social cohesion. That is why we are calling for the deletion of this article.
ParlaMint-FR_2017-11-16-O1058.u206	I call Mr Bernalicis to support Amendment No. 1394.
ParlaMint-FR_2017-11-16-O1058.u207	We are also proposing to delete section 41, not because we would be against the 25% reduction in corporate tax, which was in our program, but because we were making other proposals to justify that reduction. There was thus an increase in SMIC. Is it in your current proposals? No. There was also the removal of the CICE. Are you proposing to delete it? No, of course not. However, it is clear that there has been a transfer for many years from corporate taxation to households: tax optimisation accounts for an increase in VAT of more than 73% in 20 years, of which 13% over the last 10 years, and an increase in the CSG by 6.7 in 20 years. One of our colleagues in the running Republic said earlier that it was unbearable to hear about confiscatory tax and that the rate of 25% was already sufficient. As it stands, I am rather in favour of maintaining corporate tax as it stands. In any case, the tax is never confiscatory: it is redistributive. You raise the tax not to keep it, hide it in a basement and do nothing about it, but to spin public services, which benefit everyone, including businesses. It is strange, if not upuesque, when the Paradise Papers case is revealed, to extend the duration of the CICE or to reduce the corporate tax. The runoff does indeed seem to be on the agenda, for the greatest dismay of all the employees in this country.
ParlaMint-FR_2017-11-16-O1058.u208	All right!
ParlaMint-FR_2017-11-16-O1058.u209	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion.
ParlaMint-FR_2017-11-16-O1058.u210	Unfavorable opinion. These amendments are completely orthogonal in relation to the Government's policy. As far as the CICE is concerned, if you wait for Article 42, which comes... immediately after Article 41, you will be satisfied.
ParlaMint-FR_2017-11-16-O1058.u211	No, precisely: we propose to delete it too!
ParlaMint-FR_2017-11-16-O1058.u212	For the rest, there is a jurisprudential notion of a confiscatory tax rate; I didn't make it up.
ParlaMint-FR_2017-11-16-O1058.u213	The ones who did it are not our buddies!
ParlaMint-FR_2017-11-16-O1058.u214	The Minister for Economic Affairs and Finance has the floor to give the Government's opinion.
ParlaMint-FR_2017-11-16-O1058.u215	Unfavorable opinion. For my first comment on this article, I would like to say how strategic the reduction in corporate taxes is for our economy and for employment. I want to hear everything we want, but the previous policy of systematically increasing public spending and neglecting the competitiveness of our economy has gone straight into the wall.
ParlaMint-FR_2017-11-16-O1058.u216	Sarkozy's policy?
ParlaMint-FR_2017-11-16-O1058.u217	Are you talking about the period 2007-2012?
ParlaMint-FR_2017-11-16-O1058.u218	[[Exclaims on FI banks]] Right in the wall: more unemployment, less competitiveness, inability to export. Many of you have said to me this morning – quite rightly – that our external trade balance is heavily in deficit. But how do you want it to become surplus again if you put a ball at the foot of businesses with an ever heavier corporate tax?
ParlaMint-FR_2017-11-16-O1058.u219	The trade deficit is due to the purchase of raw materials!
ParlaMint-FR_2017-11-16-O1058.u220	It is therefore essential to reduce corporate taxes. You're talking about industry, and you're right; I know that everyone here is attached to the French industrial power,...
ParlaMint-FR_2017-11-16-O1058.u221	Depends!
ParlaMint-FR_2017-11-16-O1058.u222	...but, I'm sorry, the policy is to make choices. On the one hand, you cannot want a strong national industry and, on the other, you cannot continue to increase corporate tax, or keep it at its current level, while it has fallen across Europe. It's totally inconsistent.
ParlaMint-FR_2017-11-16-O1058.u223	We have another strategy: it's neither one choice nor the other, it's something else!
ParlaMint-FR_2017-11-16-O1058.u224	We demand this strategic choice – for the French nation, for our industry, for our SMEs and ETIs – to lower the corporate tax rate from 33.3% to 25% by 2022. You asked me about the numbers; I would therefore like to provide some useful clarifications to the debate. All those who legitimately say that it is primarily necessary to help SMEs should note that in 2018, 87% of the gains associated with the reduction in corporate tax – which we have maintained, especially with the preferential rate of 15% – will go to SMEs. In 2022, there will be a rebalancing in favour of the companies we said this morning that it was essential to make them grow: the ETIs, which will benefit 29% of the profits of this decline.
ParlaMint-FR_2017-11-16-O1058.u225	That's absolutely not true!
ParlaMint-FR_2017-11-16-O1058.u226	It is very often said that corporate tax cuts do not benefit the ITEs enough, but these figures show that by 2022 almost a third of the profits will go well to the ITEs. I also give back the figure put forward this morning by the INSEE, because it is crucial: since 2009, 375 000 net job creations are linked to the ITEs, i.e. that almost two thirds of the jobs created in the market sector are the result of these enterprises. [[Applause on several benches of the REM and LC groups]] If you want to reduce unemployment, strengthen the competitiveness of our industrial fabric, grow our SMEs to transform them into ITEs and regain a conquering economy – as much choice by the Government – you have to vote for this reduction in corporate tax.
ParlaMint-FR_2017-11-16-O1058.u227	Mrs Emilie Cariou has the floor.
ParlaMint-FR_2017-11-16-O1058.u228	I hear the arguments concerning the reduction of tax levies, but I feel that the social contract is already broken, since the tax on profits is now much more borne by SMEs and midcaps than by multinationals. Lowering the rate of corporate tax – a measure with which Bernalicis agreed – will primarily benefit French companies that cannot relocate the results of their activities outside our borders. This gradual decline, which we have long been calling for, will obviously be accompanied by international work to clean up the tax bases and the corporate tax base. One goes with the other: lower rates are good because, when comparing effective tax rates, we see that we are well above the European average – and I am talking about rates that are practised not in the quasi-tax havens housed in the heart of Europe, but in real large European states that have public policies to build, such as Germany, Italy or Spain. I think it is healthy to return to the average European rates; on the other hand, it is urgent to fight against the pitting of the corporate tax base – the real scourge that is breaking the social contract today...
ParlaMint-FR_2017-11-16-O1058.u229	We're all right!
ParlaMint-FR_2017-11-16-O1058.u230	... and which makes the tax burden on households rather than on those who have the resources to pay the tax. [[Applause on a few benches of the REM group]] It has been said and reiterated that imposing multinationals on a fair level is an emergency, and the list of tax havens is the number one tool to achieve this. Some arrangements will be able to work once an effective list is established listing all States that can be classified in this category. Then we'll recover corporate tax revenues.
ParlaMint-FR_2017-11-16-O1058.u231	Mr Ugo Bernalicis has the floor.
ParlaMint-FR_2017-11-16-O1058.u232	I could partly agree with the analysis. It is clear that when large companies pay an average of 8% corporate tax, it is questionable whether it is appropriate to charge 33% or 25% to SMEs. We need to lower the rate to 25% to relieve SMEs, and at the same time – I take a formula that is dear to you – we need to raise the rates actually paid by companies that are optimising taxes and that do not pay today either 33%, 25%, or even 15%, but often less than 10%. But that is not what you do. In terms of competitiveness, trade balance and exports, it is a question of political philosophy and economic model that we want to promote. You are defending unbridled economic liberalism with free and undistorted competition between countries, including in tax matters. As a result, corporate taxes are being taxed downwards across Europe; It's who's gonna be the most paradisiacal. If you want to gradually transform France into a tax haven, you are on the right track; But if you want to protect the companies and employees in this country, it's not the one you have to borrow. We have proposed a series of measures, including solidarity protectionism, but in reality, relaunching the economic machine requires more than moving a few criteria: we must invest, for example in the energy and ecological transition, in a broad sense. However, it is not 57 billion euros – 12 billion of them warmed up from previous investment plans – that will make the difference; Only a plan of at least $100 billion could solve such problems. We therefore call for a vote in favour of this amendment.
ParlaMint-FR_2017-11-16-O1058.u233	Mr Alain Bruneel has the floor.
ParlaMint-FR_2017-11-16-O1058.u234	This is a real political debate, marked by completely different positions – and that is normal. For companies, a report notes that over the last five years, approximately 900000 jobs have been lost, at a rate of 2000 to 16,000 per quarter. Industry has lost more than 45% of its jobs. However, it has been years, Minister, that the state has been helping businesses, which benefit from tax cuts and financing – without any results. It has been more than 20 years since it was said that it is necessary to help companies, under the penalty of having them relocate their production – in vain, since the industry continues to lose jobs.
ParlaMint-FR_2017-11-16-O1058.u235	Yes!
ParlaMint-FR_2017-11-16-O1058.u236	The number of people working in this sector is only 3 million in France; It's terrible! At the same time, corporate tax revenues have fallen by 40 per cent in 10 years, while businesses are making more and more profits. You see, therefore, that it is not necessarily this method that will create employment; On the contrary, since these formulas have been used for a long time, without any effect.
ParlaMint-FR_2017-11-16-O1058.u237	I call Mr Eric Woerth, chairman of the Committee on Finance, the General Economy and Budgetary Control, to support Amendment No. 1733.
ParlaMint-FR_2017-11-16-O1058.u238	The days follow and do not look the same: two days ago, corporate tax was increased considerably – 30% for French groups. Of course, it was a one-off measure, but with you, life does not lack surprises.
ParlaMint-FR_2017-11-16-O1058.u239	It's the salt of life!
ParlaMint-FR_2017-11-16-O1058.u240	Today, corporate taxes are being reduced. It is better for the French economy and companies to be today than before yesterday. But we don't lower it enough: you don't go far enough. Indeed, you are turning some EUR 25 billion of CICE into a drop in costs – we are in favour of this mechanism but, as you know, it automatically raises the results of companies. To get to the end, you should neutralize that effect. We do this for you, since you do not, by proposing to lower the corporate tax a little more than you thought: by 4 points compared to the rate initially expected, then a little less as you go.
ParlaMint-FR_2017-11-16-O1058.u241	That's not enough!
ParlaMint-FR_2017-11-16-O1058.u242	You will tell us that this measure is expensive; Indeed, it costs about 6 billion euros – I prefer to make the questions and answers (Sorry) –,...
ParlaMint-FR_2017-11-16-O1058.u243	But this will create jobs, of course!
