ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u273	Then delete the numerus clausus!
ParlaMint-FR_2017-12-12-O1094.u274	Our country lacks master's and doctoral students. It must, however, raise its level of qualification to train young people in new challenges, new jobs, and put them into employment on a sustainable basis. The challenge is, therefore, to have the largest number of graduates successful in order to enable those who wish to continue their studies to do so. Yes, our choice is to inform the bachelors of the concrete reality of a often vague mention of a licence, and to offer them pedagogical support in the event that their course and their training do not allow them to fill all the expectations necessary to succeed in this field. These debates will lead us in the coming days. I hope that we will bring them in the same constructive spirit as the one who chaired our work in committee, and which has made it possible, rarely to be stressed, to adopt amendments from all the groups. The latter have made it possible to enrich the text considerably. The committee adopted three amendments aimed at enhancing the safety, readability and transparency of the system. Security is therefore enhanced with the inclusion in the law of a national scoping of expectations. It will serve as a benchmark for institutions that set expectations specific to their sectors, avoiding both the risk of competition between institutions and the risk of social inequalities in access to higher education. Readability is then guaranteed, with the requirement for all higher education courses to be registered on the new platform by 2020 – some institutions were not present on the PDB. Finally, transparency will prevail with the publication of several essential information elements. Each year, the Ministry of Higher Education will publish the results by academy of the assignment commission chaired by the Rector for bachelors who would not have obtained any of their ten wishes. In addition, in three years' time, the Government will submit to Parliament a report on the concrete effects of the reform, from orientation to high school, to the personalization of the courses in the higher education system and the new arrangements for their assignment. This report will provide a useful basis for the work to be carried out by Parliament in its task of evaluating the law. Our work in open session should allow us to continue in this direction. I shall therefore make a number of amendments. Two of them seem to me to be particularly important. The first, which I will be defending with Christine Cloarec, draftsman, concerns the new'student life contribution'. The draft law provides for three separate amounts of contribution, from 60 euros in license to 150 euros in doctorate. Since the purpose of this contribution is to finance an offer linked to student life on campus, in the cultural, sports and health fields, which will be accessible in the same way to all students, it seems to us more about providing only one amount, fixed at 90 euros, for all students. I would remind you that the abolition of the student social security contribution brings an increase in purchasing power of 217 euros.
ParlaMint-FR_2017-12-12-O1094.u275	What about mutuals?
ParlaMint-FR_2017-12-12-O1094.u276	I have also tabled an amendment to exempt refugee and asylum-seeking students from the "student life contribution". It seems to me that, because of the difficulty of their situation, which is very precarious, they do not have to pay for it.
ParlaMint-FR_2017-12-12-O1094.u277	We must also stop expelling them from the CROUS!
ParlaMint-FR_2017-12-12-O1094.u278	The second amendment is precisely related to the abolition of the student social security scheme and to the attachment of students to the general health insurance scheme, which the board of directors now provides for the representation of employees' unions in its membership. With the affiliation of several million students, it seems to me legitimate that they too should be represented. They will thus be able to identify possible difficulties on the ground in affiliation and participate in the construction of prevention policies and messages for young people. We know that peer prevention makes sense. Colleagues, this bill, resolutely geared towards the success of students – of all students – is a major step forward for our higher education system. It is one of the cornerstones of a larger building, whose plans form the core of the project defended by the President of the Republic, the Government and the majority: that of emancipation. [[Applause on the benches of the REM and MODEM groups]] The profound renovation of the vocational path, the apprenticeship, the baccalaureate and the reform of vocational training are all projects which, with this bill and the Student Plan, pursue one and the same objective: to guarantee to every child in France, regardless of their origin, social milieu and place of residence, that he will be able to flourish and succeed, and, through him, to make our country succeed. It is with this firm conviction that I approach our discussions.
ParlaMint-FR_2017-12-12-O1094.u279	Mrs Cloarec, draftsman of the opinion of the Committee on Social Affairs, has the floor.
ParlaMint-FR_2017-12-12-O1094.u280	Madam President, Madam Minister, Mr President of the Committee on Cultural Affairs, Mr rapporteur, ladies and gentlemen, the Committee on Social Affairs has taken up draft articles 3 and 4. Each student's goal of accompaniment to success cannot be achieved without including the essential subject of health. Only the guarantee of living conditions commensurate with the needs will achieve this objective. In the face of a number of findings of failure of the current system, Articles 3 and 4 propose to abolish the system of derogating social security for students to mutual students and to introduce a new contribution designed to promote social, health, cultural and sporting support. In recent years, several reports have been concerned about the difficulties students face in asserting their rights to social protection. The UFC-Que choix association, in 2012 and, more recently, in 2015, the Defender of Rights gathered overwhelming testimony: repayment times of up to one year, insufficient dropout rate, lack of telephone response to complaints in most cases. With regard to access to rights, 26 per cent of the students who participated in the Ombudsman's call for testimony indicated that they had encountered difficulties in becoming a member – non-affiliation resulting, de facto, in a breach of social security rights. The Court of Auditors, for its part, carried out a mission between 2012 and 2013, the conclusions of which were also without appeal: degraded service, particularly in La Mutuelle des étudiants – LMDE – where one in fourteen appeals had a chance to succeed; impressive stock of unopened mail; higher than average management costs. Although efforts have since been made by student mutuals, this regime appears to be quite breathless. Created in a particular post-war historical context, it aimed to strengthen students' autonomy by creating a social security that is their own. This is why, in 1948, the management of the compulsory health insurance scheme was delegated to the MNEF – now LMDE – responsible for managing and liquidating the benefits in kind of sickness, maternity and disability insurance. In 1972, this public service mission was entrusted to the ten regional mutuals, the SMERs. On the other hand, in almost seventy years, the number of students exploded, from 150,000 in 1948 to 2.5 million in 2016. Last year, it was 1.8 million insured persons that the mutual societies had to manage, resulting in €569 million in repayments. It is becoming necessary to change this model inherited from the post-war period and to adapt it. The Social Security Financing Act 2016 introduced some developments. First, the introduction of the principle of universal disease protection, or PUMA, allows students to be considered as independent insured persons. Secondly, a decree lays down the arrangements for the organisation of management delegations. In the face of serious financial difficulties, on 1 October 2015, LMDE was placed under judicial safeguard and entered into a partnership with the Caisse nationale d'assurance maladie des travailleurs salariés – CNAMTS. Since then, it has managed only the reception at the counter and the affiliations. According to CNAMTS and the Directorate of Social Security, the service provided to students has improved significantly. The winning rate now stands at 92% and the average repayment time for electronic care sheets is six days. Section 3 of the bill merely pursues this logic by ending the delegation of management of the compulsory student health insurance scheme. Mutuals will also be able to continue to offer supplementary benefits. Students will now fall under their parents' regime. They will no longer have to carry out a regime transfer at the end of their studies in the vast majority of situations. The proposed schedule will be gradual, as only new entrants will benefit from the new system by the start of 2018. The others will wait for 2019. On the other hand, students will no longer contribute 217 euros each year to be affiliated with the general social security scheme since the draft law provides for the abolition of this contribution. As far as the staff of the regional student mutual societies are concerned, the text provides the same guarantees as those proposed in 2015 for those of LMDE: assignment proposals corresponding to the level of qualification and no geographical mobility suffered: 436 persons representing 424 full-time equivalents have thus been transferred to fifty-six bodies of the general scheme, without major difficulty. Finally, the possibility of payment of compensation to the mutuals for abnormal and special damage is provided for. In addition to connecting students to the general social security system, this bill proposes the introduction of a new "student life" contribution. This participation of students is intended to promote their social, health, cultural and sporting support. In particular, it will strengthen university preventive medicine services, in particular their relay student system, which allows for peer-prevention actions. Ten additional health centres are planned to be set up within the institutions, for a total of thirty-four health centres by 2019. The text consolidates the preventive measures carried out by the health insurance for young people. It complements this legislative framework by creating a Prevention Conference to identify priority actions and monitor the health status of students. It will involve representatives of the university, students and health insurance. [[Applause on the benches of the REM group]] We need to provide students with simple and effective answers, whether it's health prevention or the provision of care. The various developments proposed in this text will only help to improve the health coverage of students, simplify their administrative procedures and, more broadly, improve their living conditions.
ParlaMint-FR_2017-12-12-O1094.u281	Mr Bruno Studer, Chairman of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2017-12-12-O1094.u282	Madam President, Minister, rapporteur, draftswoman for opinion, ladies and gentlemen, it is today with great pride that I come to defend this text on the orientation and success of students. No one, I believe, can dispute the usefulness of this text today.
ParlaMint-FR_2017-12-12-O1094.u283	Yes, I do!
ParlaMint-FR_2017-12-12-O1094.u284	Wait, Mr. Bernalicis, before you go on fire! In fact, last summer we shared on these benches the status of impotent observers in the face of the anxiety or even the distress of some of our young people about their future. This justifies the absolute usefulness of this text. I will not go back to the question of selection by the failure that the rapporteur and the draftsman for an opinion have presented correctly, which is simply a shame for our country. Nor will I go back to the malfunctions of the APB system. While this system has provided good services, its dysfunctions have taken over, in 2017, from those that had already been found in the summer of 2016. If you have to return to APB what is to APB, I will remind you that this tool, which has served a lot, no longer corresponds to the reality of the country when an additional 50,000 students are announced for next year's school year. The CNIL also forced us to act, since it gave us three months to put an end to the draw. I am therefore pleased that the new "Courseup" platform, foreseen in the text, arrives in January. Madam Minister, the rapporteur, the draftswoman for an opinion, you have made a full presentation of the measures contained in the text. So let me go back to his general philosophy, as well as to the values and ambitions he carries. As far as its general philosophy is concerned, I should like once again to welcome the method, Madam Minister, which you used when you took over this project. You have managed to put around the table most of the actors and to bring out convergences.
ParlaMint-FR_2017-12-12-O1094.u285	What about the differences?
ParlaMint-FR_2017-12-12-O1094.u286	It was far from being won, especially since some had conjectured that the concertation would not come to an end, which the facts denied. Thank you. This method was also used by the deputies of the presidential majority. I know that in your various constituencies you have been in contact with students, parents' associations, heads of institutions and persons in charge of universities and higher education institutions, in order to best prepare the work within the Commission. This method was, at last, that of the commission. I would like to welcome the remarkable work done by the rapporteur, Gabriel Attal, who, even before he was officially appointed rapporteur for this text, took over the leadership of a working group that I had wanted to set up in the committee, so that each group could be informed as much as possible of the progress of the text. This method is to be welcomed. In terms of values, as you pointed out, Mr rapporteur, this text is not a reform through selection, simply because selection is not our political project. On the contrary, it aims at the right to access to university for all, a right which is thus fairly reaffirmed, since the text gives the means for all to achieve this.
ParlaMint-FR_2017-12-12-O1094.u287	Including the financial means?
ParlaMint-FR_2017-12-12-O1094.u288	That is our political project.
ParlaMint-FR_2017-12-12-O1094.u289	That's not true!
ParlaMint-FR_2017-12-12-O1094.u290	You will have the opportunity to speak, Mr Mélenchon, and to do so, I am sure, with a certain talent. Please let me go to the end of my remarks. We also have the ambition to take on the overall transformation of the national education and higher education system over the long term. This, which began with the duplication of classes of preparatory courses in REP+ – reinforced priority education networks – and soon in REP, will produce its effects after the end of the legislature. So here we take political action over the long term, including when we want to reform the baccalaureate. Two conditions are essential for the success of this project. The first is that of means. I am pleased, Madam Minister, that you have announced the implementation of a € 1 billion plan to support students' success. The second condition is that everyone takes responsibility, from students to teachers, from parents to professors and higher education actors, rectors and academic leaders. Our project, I repeat, is not that of selection: it is that of responsibility. [[Applause on the benches of the REM group]] Minister, it's not all about legislative work. Other texts will follow, without a doubt. We will carry out our monitoring and evaluation mission in the coming weeks and months on the ground, to ensure the proper implementation of this bill, the cornerstone of the transformation of national education and higher education, which is our honour and that of the Republic.
ParlaMint-FR_2017-12-12-O1094.u291	I have received a motion from Mr Christian Jacob and members of the Republicans Group to reject it in advance pursuant to Rule 91(5) of the Rules of Procedure. Mr Patrick Hetzel has the floor.
ParlaMint-FR_2017-12-12-O1094.u292	Madam President, Madam Minister, the chairman of the committee, the rapporteur, the draftswoman for opinion, ladies and gentlemen,'student orientation and success': this is a bill that bears a fine title and promotes an objective as important as necessary. Alas, excuse me to say this ex abrupto, this is the chronicle of a largely unfinished text! Why? First of all because you're acting in haste.
ParlaMint-FR_2017-12-12-O1094.u293	And you haven't seen everything!
ParlaMint-FR_2017-12-12-O1094.u294	In doing so, you take risks and, above all, you will have them taken by many players in the system, first and foremost by the bachelors and their families, who will be the guinea pigs of a forced walking experiment for the next start-up – that is, it will have to be operational as early as January, in less than a month. All this is neither reasonable nor serious. Then you obviously base your analyses on partial and erroneous data. In this way, you make little reference to the report that the Court of Auditors published last October on the post-bac admission system, which clearly indicates that improvements must be made, not a fundamental change, as you are advocating. In addition, Madam Minister, to our questions, you simply answer: "Trust the Government! Understand this: Even if our role is not to be in permanent distrust, it is still to be vigilant and to contribute, as legislators, to securing the arrangements, including at the legal level. Several elements should be included in the hard text. But you and your majority systematically reject amendments that seek to clarify, clarify and clarify the legal provisions and thus help to perpetuate them. I had the opportunity to remind him in committee: a minister is not eternal, it is the law that ensures sustainability. Finally, if I seek to have a synoptic view of this text, I would say that it is characterized by an explosive typology of government measures whose consistency and logic we find it very difficult to understand. Your approach is Kafkaian, and I weigh my words. Indeed, certain measures are clearly half-measures, such as those relating to the way in which you envisage entry into higher education. Others will create more problems than they will solve, such as those related to Student Social Security, since you do not seem to be concerned with funding issues at all. You claim that you will give back purchasing power to the students, forgetting that you will not give back to all, since, as you know, the fellows are already exempt and therefore will not benefit from this measure. The student mutuals are also concerned with prevention for students, obviously in the field of health: they are subjects specific to the student environment. Who will take care of it in the future? That is an important question. Similarly, having the Social Security of students managed directly by the National Health Insurance Fund and the general scheme is a real question. If the management of the CNAM gave satisfaction to our fellow citizens, it would be clear! You may create more problems than you will solve. The Government has a relatively Soviet approach to social security.
ParlaMint-FR_2017-12-12-O1094.u295	Madam Minister!
ParlaMint-FR_2017-12-12-O1094.u296	Does Student Social Security raise questions? You are abolishing the public service delegation of student mutuals, ignoring the report of the CNAM itself, which has shown that important progress has been made by mutuals in the recent past. Is the RSI – the social regime of the self-employed – the subject of criticism? You remove the RSI and integrate the independents – more than 3.5 million files – into the general scheme. Now 1.8 million students have to be added. It is unrealistic to believe that this will be done without technical problems. While the general scheme will soon have to integrate almost 6 million new arrivals, again you say: "No problem! Trust us! » We have some doubts, especially since the general system has so far failed to perform optimally. I invite you to read several reports on this subject. Is there any difficulty in voltage systems, where the number of places is limited and for which it is necessary to do better than to draw lots? You are calling into question the entire PDB system, whereas, as the Court of Auditors' report rightly points out, the problem concerns only a few areas: it was enough to show some political courage by making these channels selective and by explicitly putting in place prerequisites. Even more serious: you prefer to slip subjects under the carpet by not approaching them at all. There are thus vacant places in universities. In other words, while some lines are energized, others have available places. Again, a bit of political courage would be to encourage universities to evolve their training offer: you, the minister, are contracting with universities. This may mean that there is a problem of matching the supply of training with the demand for training; If this is not the case, then it is a problem of orientation. Once again, you don't go to the end: you have to take this problem with the body and step up orientation and information from high school so that the bachelors are better oriented. This would require a greater involvement of your colleague in school education; In particular, external resources should be mobilised, such as the professional branches, some of which complain that they do not find enough young graduates with the required skills. The latter are even volunteers to intervene in the field of information and guidance to our high school students: why don't you go in this direction? In the same way, you remain very tiring, Madam Minister, with regard to the communication of the integration rates of each course. Why do you refuse our amendments on this subject? It's incomprehensible. Similarly, one may wonder why you do not address the issue of the evolution of the staffing of higher education institutions not only to activity, i.e. according to the number of students enrolled, but also to performance, i.e. according to the achievement of certain objectives. For example, if you really were to address the issue of student success, you should have the courage to tell universities that their staffing for first-year students will not be calculated on the basis of the number of students enrolled in September, but on the basis of the number of students still physically present at the university in January. You have been president of a university: you know perfectly well that, in some fields, "evaporation rates", as is called pudically in the middle, are very important. You see, there's really something to say about your text; The rush with which you act is problematic. We have identified another important dead angle in your approach. Indeed, in recent years, French higher education has invested heavily in the field of apprenticeship training – it is very happy. This is obviously a very good thing, because it allows students to benefit from a perfect alliance between theory and practice, while at the same time being wage-earners, which allows them to have resources. As of 24 September this year, Admission post-bac showed 2,471 apprenticeship courses on a total of 12900, with an offer of 46,147 places, of which about half were in public institutions. However, post-bac admission ended at the end of September, while apprenticeship contracts can be registered in apprenticeship training centres until December. It was therefore impossible, in the current state of the procedures in force in 2017, to obtain precise data via Post-Bac Admission for Apprenticeship, especially since some post-Bac Apprenticeship courses are not registered in APB. Thus, at the close of the contract signatures, it would also be useful to carry out a national census of the bachelors finally enrolled in these courses and who sometimes free places elsewhere after a few weeks of courses, including in tension training. In any event, it is certain that, after obtaining an assignment via Post-Bac Admission in a non-apprenticeship training, candidates eventually end up learning a few months later – in particular the professional bachelors who had enrolled in a university degree course. Wouldn't the time have come to ensure better reporting of final information about bachelors, and especially professional bachelors? To this end, it should also be ensured that the unique identifier of each bachelor's degree will be widely used in all higher education institutions. Let's go into the details of your actions, minister. Our first concern is obviously the disappearance of Admission post-bac. Indeed, the reduction in the number of possible wishes from twenty-four to ten is catastrophic: no one understands this decision! Our colleague Cédric Villani himself explained, in an excellent interview published a few days ago in Le Monde, what the virtues of Admission's post-bac algorithms were. Similarly, Bernard Koehret, who is at the origin of the tool, is also very critical in an article of the same daily. You probably rely on the fact that the candidates made an average of seven wishes on Post-Bac Admission. But, Madam Minister, in statistics, an average does not mean anything as such: everything depends on variance! Some candidates made only one wish, but just over 20% added more than ten to their list. As a result, one in five bachelors will be penalized by your decision. This must be known, because, for the moment, families are not yet aware of what awaits them, nor the bachelors, moreover – fortunately for you! In short, you ask them to practice self-censorship: great performance for a reform that you claim will give more satisfaction to the bachelors! In fact, you are in the process of holding back our youth, because bachelors will only choose training courses that they consider accessible. On the other hand, some students will only opt for selective training, which is highly sought after. Yes, minister, there is no homogeneity related to the number of choices in a cohort of bachelors: it is, to use a statistical term, multimodal. In short, you deny reality. It's still strong coffee because of the ministerial portfolio for which you have responsibility, Minister! According to Mr Koehret's estimate, with this reduction in the number of wishes, it is more than 7,000 additional candidates compared to the 2017 session of Post-Bac Admission that will not receive any proposal for admission. Those who find themselves in this case are always those who have made the least wishes, and it is known that it is in the least socially favoured circles that they will be the most penalized. But you have no answer on this point: it is extremely worrying! You claim to act in the name of greater social justice: let us doubt it! Another monumental error is the removal of the hierarchy of the candidates' wishes, thus the disappearance of the assignment algorithm. The researchers interviewed by the Parliamentary Office for the Evaluation of Scientific and Technological Choices, under the auspices of our colleague Cédric Villani, have nevertheless made this point very clear. The stream assignment process, as set out in Parcoursup, will be terribly long and much more stressful than Post-Bac Admission for applicants and their families. This is also worrying for institutions, which will not have a good visibility on the filling of their trainings. They will have to wait before their numbers are stabilized. Candidates will have seven days to respond to a proposal for admission. Most will allow three or four days before answering, not to mention the candidates who answer with a definitive yes, before changing their mind. Under Post-Bac Admission, the prioritisation of vows allowed a simulation of the filling of training courses to be made one week before the posting of proposals to the candidates: the institutions could thus anticipate. For next year, some people are wondering about the problems related to overbooking: places will be released in a much slower process and with much less visibility. On the other hand, Madam Minister, you have announced that the timetable for responses to candidates would be put forward at the end of May, instead of June: this choice is also incomprehensible. Indeed, the report of the Rector Filâtre, which was given to you in October 2017 and which has been discussed on numerous occasions, clearly indicated that the communication of admission proposals before the baccalaureate exams was a source of stress for high school students. The working group of Inspector General Durand also recommended that you let the candidates pass the baccalaureate quietly. This was the case with Post-Bac Admission until 2014, before the minister asked to move the schedule forward by June 8, which was already too early. To finish with Post-Bac Admission, CNIL wanted a share of humans to be added to APB. Indeed, the CNIL blamed APB for the fact that the machine automatically classified candidates on licence, without human intervention, with lots. It is not a human who will answer each of the wishes of the candidates! Our excellent colleague Cédric Villani has spoken in this direction. All of this is Kafkaian, because this text has its origin in the criticisms that CNIL has addressed to the classification algorithm. It recommends a human intervention and you find the way not to answer the only imaginative reproach made by the CNIL: you had to do it! You are well aware, Madam Minister, that universities will soon be using algorithms to process a large volume of files; A number of university presidents, including heads of the Conference of University Presidents, have spoken publicly in this regard. Let us come to article 2 of the law, which provides for the extension of the "best bachelors" scheme, which allows 10% of the best bachelors in each high school to access the sector of their choice. Not only does there exist no evaluation of this mechanism, but there have even been significant controversies about it. For some experts, it is not the best way to prevent deserving young people from all social backgrounds from experiencing inequalities. On the contrary, they think it helps to accentuate them. For example, these experts consider that it would be much more appropriate to apply this quota to bachelor's degrees which are considered to be "primo-bacheliers", i.e. none of the parents holds the baccalaureate. You had a fantastic opportunity to evolve a device: you missed this excellent opportunity. Similarly, there is an extremely interesting and relevant mechanism to help disadvantaged young people move forward and to be ambitious in higher education: these are the "strands of success". This mechanism has proven its worth and has been positively evaluated. Why not institutionalize it by including it in the education code? Again, what a lack of ambition! I will no longer go back to Article 3 concerning student social security, which I have already mentioned in my introductory remarks, except to regret that the measure is likely to cost more: indeed, the cost of managing the files by the CNAM is higher than that of mutual students. This is included in a parliamentary report by our colleague Jean-Pierre Door on the mission to assess and monitor the funding laws of the Social Security. With Article 4, you plan to create a contribution that will replace the right to preventive medicine; It will also provide access to the Faculty's sports and cultural activities. A final part of this reassessment will be used to feed the solidarity and development fund for student initiatives, which funds personal projects outside the curriculum. This contribution will be paid by students to the CROUS, who will pay them to the universities. The addition of CROUS to the scheme has no justification and is likely to result in a loss of funds through the existence of management fees. Moreover, in this respect, there is no control mechanism for the management of funds in the text. Article 5 provides that a student may, at his or her request and with the consent of the President or the Director of the institution in which he or she is enrolled, temporarily suspend, for a maximum period of one academic year, his or her presence in the institution, with the aim of carrying out other activities enabling him or her to acquire skills relevant to his or her training, or to promote a personal or professional project. The group The Republicans is not opposed to the principle of a year of caesure, which is practiced in the great schools: it is a very good thing. But we do not want it to be automatically awarded: it should be based on the student's professional or personal project, and there should be no automaticity. Finally, I would like to put some elements in perspective. Indeed, despite the budgetary efforts made during the period 2007-2012, where EUR 15 billion was invested in higher education and research, at present, on a global scale, our higher education is experiencing a competitive deficit. Many of us today recognise the need for further implementation of the Lisbon strategy guidelines. In line with this, the raising of the level of qualifications of European citizens in general, and, as far as we are concerned, of French citizens, requires joint developments at at least two levels: organisational developments to improve the overall efficiency of our higher education and research system, and developments in the financing of the system, which requires more resources, at a time when it will be difficult to increase public expenditure. Again, this requires rethinking the levers for action that allow our higher education institutions to increase their resources outside the state budget. Indeed, we cannot ignore international competition in the production and transmission of knowledge.
ParlaMint-FR_2017-12-12-O1094.u297	What for?
ParlaMint-FR_2017-12-12-O1094.u298	Higher education is marked by increased emulation between nations and areas of influence around the world. To cope with this, we must step up our efforts to improve the competitiveness of our higher education. The challenges of competitiveness are multiple, but above all economic, social and digital. One example is Australia, which has made its higher education a powerful lever for its overall, and above all economic, attractiveness: Australia's higher education makes a very strong contribution to the country's positive trade balance. It is foreign students who contribute to bringing foreign exchange into Australia, which has at least two very positive effects: it helps finance some of the studies of young Australians while strengthening Australia's ability to influence internationally. Indeed, when they return to their home countries, many foreign students trained in Australia maintain links, particularly economic ones, with Australia, which further enhances the economic leverage effect. But the stakes are obviously also social. The aim is to raise the overall level of qualification of the French population, which must also be achieved through vocational training and lifelong learning. In this respect, the progress of our higher education institutions remains too timid. We have to go a lot further. This is in the interest of institutions and, much more, of our national interest. As for digital issues, they also imply an intensification of the use of current technologies to ensure the transmission of quality knowledge. Here too, we have margins of progress despite the financing made over time, notably thanks to the programme of investments of the future, initiated by President Nicolas Sarkozy almost a decade ago. So, minister, yes, we have to react, but in a much stronger and more effective way than you are doing. In fact, French higher education institutions are becoming less and less well classified, with the exception of our higher management schools. This has important consequences, since foreign students are less attracted to France than in the past.
ParlaMint-FR_2017-12-12-O1094.u299	Seen as we welcome them...
ParlaMint-FR_2017-12-12-O1094.u300	We obviously find it very difficult to compete with countries like the United States or Australia, of which I have just spoken; But above all, what is worrying is that some outsiders now come to compete very directly with Europe in general, and France in particular. For example, Singapore has a successful investment policy to attract teachers and students. What our higher education institutions need is a legislative framework that allows them to build poles of excellence, with greater flexibility and agility sufficient to be competitive. You don't talk about that. All this lacks vision and breath, minister. Above all, you don't talk about research. Higher education is, of course, inseparable from research activity. Indeed, while research advances higher education through the production of new knowledge, on a larger scale, it also and above all contributes to the country's competitiveness and, of course, to its growth. [[Applause on the benches of the LR group]] In short, this first text of the Macron quinquennium concerning our higher education is a missed appointment. That is why Members of the Republican Group are calling for the rejection of this text, which is not up to the stakes.
ParlaMint-FR_2017-12-12-O1094.u301	And so maintaining the draw by lot!
ParlaMint-FR_2017-12-12-O1094.u302	That's not what I said!
ParlaMint-FR_2017-12-12-O1094.u303	The minister has the floor.
ParlaMint-FR_2017-12-12-O1094.u304	Mr President, allow me first of all to reassure you, and, if I may say so, to thank you for reading almost all of the article written by Mr Koehret, who created APB. I can understand his regret that this algorithm, which he said was working perfectly well, was not kept in the "Courseup" platform; But I guarantee you that the professors at the Collège de France, specialists in algorithms, as well as the researchers at the Centre national de la recherche scientifique – CNRS – who are as well, and those at the Institut national polytechnique – INP – Toulouse are perfectly capable of creating an algorithm. As proof, we are already testing a new one. So don't worry, the algorithm will work.
ParlaMint-FR_2017-12-12-O1094.u305	You want us to sleep alone!
ParlaMint-FR_2017-12-12-O1094.u306	Move, there's nothing to see!
ParlaMint-FR_2017-12-12-O1094.u307	[[Applause on a few benches of the REM and MODEM groups]] You indicate that 117,000 places are available, particularly at universities, and encourage the ministry to ask universities to reduce their training offerings. But it is not to you that I will learn – or recall – that universities have been autonomous since a certain law on the freedoms and responsibility of universities, called "LRU". It seems to me that, from this point of view, if there had been any action to be taken or to continue, you were extremely well placed to do so. As has been pointed out earlier, if, on our part, we had wanted to continue with the projects that have been undertaken and to continue with the differentiation of universities, particularly with a reform of selection, believe me, we would have done so. But that is not the goal of this government at all. We want the universities to be able to sign each one. We consider them all to be of paramount importance in the French higher education landscape. What we want is that they are much better recognized, and not chosen by default by too many high school students and bachelors. You also mentioned the risk associated with the CNAM's coverage of student health insurance. Again, I want to reassure you. I would remind you that the situation has improved from the moment the de facto management was carried out by the CNAM, even if the contributions continued to be collected by some mutual students. As the draftsman for an opinion on behalf of the Committee on Social Affairs pointed out, in 2015 more than 430 people were transferred from these mutuals to CNAM to continue to take charge of student files. If we transfer people with skills and records at the same time, there is no reason for this not to work. Perhaps you find that the CNAM works badly in our country; It's probably because it's been a long time since you've been dealing with Student Social Security. Indeed, believe me, it offers an incomparable service. [[Applause on several benches of the REM, MODEM and UAI groups]] For all these reasons – the other issues will be developed during our debates – I call for the rejection of your motion.
ParlaMint-FR_2017-12-12-O1094.u308	We come to the explanations of vote. Mrs Pau Langevin has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u309	Madam Minister, ladies and gentlemen, I believe that this debate is extremely important for the future of our youth. I understand Mr Hetzel's criticism of this text. It is very clear that it was designed in a certain urgency, in particular to respond to criticisms of the PDB system, to the notice of the National Commission on Informatics and Freedoms – CNIL – which established a number of requirements relating to the digital Republic, and to the injunctions of the Court of Auditors. So you wanted to deal with this problem quickly, so that this text, in many respects, is not fully completed. [[Applause on the benches of the NG group and on some benches of the REM group]] Having said that, I would hardly understand that we can decide not to debate, since this is one of the main tasks of our assembly. It seems to me that in this case, even if this baby is not very well trained, we can try to make it a little less naughty. Not discussing is not the right solution; Therefore, we will not vote on the motion to reject.
ParlaMint-FR_2017-12-12-O1094.u310	The next speaker is Mr Jean-Luc Mélenchon, for the Group of the European People's Party.
ParlaMint-FR_2017-12-12-O1094.u311	Although we did not share the premises of the exhibitor, we will vote on this motion of rejection because of a constant hostility, for several decades now, to the project that underlies the temporary moment that we are living. From the Devaquet law to the LRU law, through all sorts of fantasies of this nature, under the leadership of the Organisation for Economic Co-operation and Development (OECD), which has repeatedly reiterated the need for this reform, from the European Commission and the Lisbon strategy – to name but a few – there is only one thing in France – which does not want it – as elsewhere: to establish a market for higher education. The coup de grace is given by the drawing of lots. This is the result of a trend that comes from far away, because no one will believe that, for eighteen years, something is less well documented than the number of students taking the course. Let us be brought here to those who are responsible for such a disaster! [[Applause on the benches of the FI and GDR groups]] How have we been able to ensure that this wealth – the intelligence of our young people, the success of the French school – is reflected in this result that there are so few places available? We are proposed to adjust the number of students to the number of places available, whereas we would like to do exactly the opposite. What is being done is called the "numerus clausus". It's already in medicine, we've seen the result. And all this is packed in all kinds of considerations on the customization of journeys and other foolishness. Since when does a professionalising diploma – the diplomas of higher education all – have to be delivered to the appreciation of a career? Maybe it's an awakening journey? Since when does a doctor develop a course based on what he wants to do at university? It does so according to a repository. Higher education must contribute to the country's wealth by taking advantage of the availability of young people coming to college. The freedom to choose one's own studies is confused with the freedom to choose one's life, and that's what you're going to do.
ParlaMint-FR_2017-12-12-O1094.u312	The next speaker is Mr Cédric Roussel, on behalf of the Group of the European People's Party.
