ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u206	Indeed, this budget fully meets the two objectives defended by the President of the Republic during his campaign. Despite the budgetary context, and in keeping with our European commitments, it helps to stabilise public expenditure, but also to reshape the financial relations between local and regional authorities and the State by placing them under the seal of contract. Thus, in the area of investment, support for local and regional authorities is maintained. The appropriations under programme 119 increase by EUR 223 million, in particular to cope with the transfer, creation or extension of powers of the EPCI. Support for the investment of municipalities is stabilized at the historically high level of 2017. For once, resources, such as the Investment Support Fund and the provision of equipment to rural areas, are sustained and stabilized.
ParlaMint-FR_2017-11-14-O1054.u207	The investment has decreased by 25%!
ParlaMint-FR_2017-11-14-O1054.u208	What about the reserve?
ParlaMint-FR_2017-11-14-O1054.u209	Equalization, on the other hand, is preserved. With regard to the abolition of the housing tax, which crystallizes many questions from mayors, it is now clear that this is indeed a relief. Thus, each municipality will be compensated to the nearest euro on the basis of the rates voted in 2017. The increase in its population will be well taken into account and the municipality will be free to change the rates. For the first time in four years, there will be no reduction in appropriations for operations.
ParlaMint-FR_2017-11-14-O1054.u210	That's right!
ParlaMint-FR_2017-11-14-O1054.u211	The objective of reducing spending by 13 billion over the duration of the quinquennium, which we must assume, will therefore not give rise to a unilateral decision by the state but to contracts between the state and the most important communities...
ParlaMint-FR_2017-11-14-O1054.u212	With a gun on your head!
ParlaMint-FR_2017-11-14-O1054.u213	... under the conditions laid down in the National Conference of the Territories.
ParlaMint-FR_2017-11-14-O1054.u214	DGCL rules, we know it!
ParlaMint-FR_2017-11-14-O1054.u215	This is the first step towards this contractual republic which the President of the Republic outlined in his speech before the Congress.
ParlaMint-FR_2017-11-14-O1054.u216	It won't be a republic anymore!
ParlaMint-FR_2017-11-14-O1054.u217	[[Exclaims on the benches of the LR group]] For these reasons, the La République en marche group will vote on the appropriations for this mission. However, since any project is perfectable, our group has also tabled an amendment...
ParlaMint-FR_2017-11-14-O1054.u218	You'll be deprived of dessert!
ParlaMint-FR_2017-11-14-O1054.u219	...to reduce from nine to eight the number of skills required by an EPCI to claim an increase in the allocation of intercommunality from 2018.
ParlaMint-FR_2017-11-14-O1054.u220	That's audacity!
ParlaMint-FR_2017-11-14-O1054.u221	Indeed, although we are convinced that the transfer of skills allows for rationalisation, savings of resources and simplification, we are also aware of the need to be flexible and to accompany the transition. [[Applause on the benches of the REM and MODEM groups]] Transparency, readability, realism and consultation: these are the key words of this budget, which the working Republic Group supports. And thank you, really, for your attention!
ParlaMint-FR_2017-11-14-O1054.u222	Mr Damien Abad, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2017-11-14-O1054.u223	Leave the floor to those who know the subject!
ParlaMint-FR_2017-11-14-O1054.u224	Take some lessons!
ParlaMint-FR_2017-11-14-O1054.u225	[[Applause on the benches of the LR group]] Ladies and gentlemen, let me first say to my colleague from the REM Group that mayors do not need a high verb but strong actions.
ParlaMint-FR_2017-11-14-O1054.u226	Nice words!
ParlaMint-FR_2017-11-14-O1054.u227	They do not need compassion, but support in these difficult times. Concern, distrust, anger: these are unfortunately the main words of an increasingly tense relationship between the state and local and regional authorities. Mr Minister of State, it must be noted that the regions have left the national conference of the territories, that the departments are asphyxiated, that the communes are placed under supervision. Yet, when we read the mission "Relationship with Local and Regional Authorities", we might think that everything is going best in the best of the worlds. [[Applause on the benches of the LR group]] The reality will catch up with you next week, on the occasion of the Congress of Mayors: the Republic of the Territories is waiting for you at the turn of the day. She needs to be listened to, heard and, above all, respected.
ParlaMint-FR_2017-11-14-O1054.u228	It's not the mayors, it's Baroin!
ParlaMint-FR_2017-11-14-O1054.u229	[["Ah" on the benches of the REM group]] Yes, there are certainly some positive points here or there. A first is the stabilization – apparent, I will come back to it – of the DGF, and a second is the pact of trust with the communities. With regard to the confidence pact, Minister of State, responses must be provided to all communities that are going to experience demographic changes that prevent them from meeting the 1.2 per cent standard for operating expenses. It will also be necessary to take into account the rise in social expenditure, particularly for the departments, without which they will no longer be able to cope with it. Finally, consideration should be given to the impact of the measures decided in Paris on the budgets of the communities. It is so easy to increase the point of index of public servants and to make them bear the cost of it by the communities!
ParlaMint-FR_2017-11-14-O1054.u230	It's permanent guardianship!
ParlaMint-FR_2017-11-14-O1054.u231	As far as DGF is concerned, stabilization is therefore apparent, or rather in trompe l'oeil. There are disguised decreases, and for the moment, if I had to make an inventory at the Prévert, it would be long.
ParlaMint-FR_2017-11-14-O1054.u232	Exactly!
ParlaMint-FR_2017-11-14-O1054.u233	First, under the adjustment variables, there is a reduction of 240 million in the allocation of compensation for the trade tax.
ParlaMint-FR_2017-11-14-O1054.u234	Who did the reform?
ParlaMint-FR_2017-11-14-O1054.u235	[[Applause on the benches of the LR group]] And there is also, as you know, a major equity problem with regard to the FPIC, with an unfair puncture especially on the mountain tourist communes. It is not by impoverishing the rich that you will enrich the poor! You're talking about local public investment. But how can we invest when municipalities and communities are so suffocated? What about the barracks tomorrow? What about EHPADs – residential institutions for dependent seniors – colleges, children's homes? Just understand one thing: the concerns of local authorities are the daily concerns of the French! You have refused to make water and sanitation a non-mandatory competence for IBDAs.
ParlaMint-FR_2017-11-14-O1054.u236	While it cost nothing!
ParlaMint-FR_2017-11-14-O1054.u237	[[Same movements]] And what about water agencies, deprived of 400 million euros? What about the decrease in the APL, the billion and a half euros taken from the social donors, the abolition of the aided contracts – the communities must, once again, close the gaps? What about the DETR, which you have cancelled €216 million of appropriations for the 2017 execution?
ParlaMint-FR_2017-11-14-O1054.u238	That's right.
ParlaMint-FR_2017-11-14-O1054.u239	[[Exclaims on the REM benches]] In reality, you start by amputating and then you agree to discuss. We prefer to discuss first, predict, organize things.
ParlaMint-FR_2017-11-14-O1054.u240	Ladies and gentlemen, only the speaker has the floor...
ParlaMint-FR_2017-11-14-O1054.u241	You have transformed the parliamentary reserve into a recentralised and unequal system that will not meet the expectations of the associations or the needs of the small communes.
ParlaMint-FR_2017-11-14-O1054.u242	It's over, the notables!
ParlaMint-FR_2017-11-14-O1054.u243	The regions will lose EUR 450 million with the abolition of the Economic Development Support Fund; the departments will have to continue to assume the solidarity allocations while facing the division by two of the emergency fund with 200 million euros. [[Applause on the benches of the LR group]] Finally, Minister of State, you are well aware of the issue of unaccompanied minors – even if they are well accompanied. You know that this is not a child protection competence, which is the responsibility of the local authorities: it is a subject of migratory flows, which is the responsibility of the State. It is outrageous that the state should release itself from this jurisdiction over communities. What about the municipalities, the abolition of the housing tax? Of course, you committed yourself to a discount. But can you make the commitment tonight that this adjustment will apply to the entire quinquennium, and that it will not be part of the adjustment variables? Importance of funds allocated on the basis of criteria by the prefects, recentralisation, distrust, disinterest, accountability of local elected officials, supervision of local authorities...
ParlaMint-FR_2017-11-14-O1054.u244	Debt-free!
ParlaMint-FR_2017-11-14-O1054.u245	The reality is that you are turning your back on the constitutional principle of the financial autonomy of local and regional authorities.
ParlaMint-FR_2017-11-14-O1054.u246	My dear colleague, we must conclude...
ParlaMint-FR_2017-11-14-O1054.u247	[[Exclaims on the REM benches]] [[Vif applause on the benches of the LR group. – Exclaims and desk taps on the benches of the REM group]] We, elected from the Republic of the Territories, refuse to be accused of clientelism, to be by nature expensive and ineffective, we refuse to receive lessons of governance and efficiency from a failed Jacobin state...
ParlaMint-FR_2017-11-14-O1054.u248	Thank you, my dear colleague. Mrs Elodie Jacquier-Laforge has the floor for the Group of the Democratic and Related Movement.
ParlaMint-FR_2017-11-14-O1054.u249	In the preamble, I would like to welcome, as I did in the enlarged committee last week, Mr President. the special rapporteurs and the draftsman for the quality of their work. In recent years, local and regional authorities have undergone a lot of reforms: a reduction in the number of regions, the creation of joint departmental councils, the development of intercommunality, a decrease in allocations...
ParlaMint-FR_2017-11-14-O1054.u250	What a disaster!
ParlaMint-FR_2017-11-14-O1054.u251	There are many examples. Like our fellow citizens, local and regional authorities face the crisis, which does not save them, and they make a major contribution to the national effort. Today local elected officials are worried about their territories and trust is in dull.
ParlaMint-FR_2017-11-14-O1054.u252	That's right!
ParlaMint-FR_2017-11-14-O1054.u253	The confidence pact between the State and local and regional authorities was therefore more than necessary. This new budget does not include a unilateral reduction in State assistance to territorial authorities, as in previous years. I think it's important to remind him.
ParlaMint-FR_2017-11-14-O1054.u254	Macron was the minister of the economy for those years!
ParlaMint-FR_2017-11-14-O1054.u255	His orientation has been clearly defined: it is trust. The Government has chosen to continue supporting local investment: the DETR is maintained at its 2017 level; the DPV – the city's political allocation – amounts, as in 2017, to 150 million euros, compared to 100 million in previous years; As for DSIL, it is sustainable. Together with my MODEM colleagues, we support these necessary efforts and initiatives. Expectations and concerns are high in the territories and communities, and it is imperative to reassure local elected officials and trust territorial intelligence.
ParlaMint-FR_2017-11-14-O1054.u256	That's right!
ParlaMint-FR_2017-11-14-O1054.u257	More than ever before, we must support elected representatives, key players in local life, who are committed to the public interest, most often at the expense of their personal and professional lives. In view of the challenges they face and the reforms in which they must participate, we must accompany them. This is why the maintenance of endowments was essential – at each level of communities: communes, intercommunalities, departments and regions. All of these communities are and will remain essential to the recovery of our economy. It is important to support local elected officials who work daily for the defence and well-being of their inhabitants. We must help them find the tools to carry, develop and multiply innovative projects; and, in order not to discourage good will, we must tackle normative inflation. [["Congratulation! » on several benches of the LR group]] The skills are there, let's not spoil them! Rural areas, urban areas, peri-urban areas, all are areas of future and innovation, which must move forward together. They must be encouraged, not opposed, and positive dynamics must be created, and parliamentarians must be at the heart of the process of allocating resources within the territories. We will defend several amendments to this effect, aimed at strengthening their presence and prerogatives in the DETR commissions and on the modalities for the allocation of subsidies under the DSIL. [[Applause on the benches of the MODEM and REM groups]] I would like to stress one last point: the predictability of local finances. Communities cannot be left unclear about their expenditures and resources. The latest reforms have not always been carried out with pedagogy, which explains in part, I believe, their distrust of any reform. The predictability of the evolution of their finances is therefore, in my view, a prerequisite for the restoration of that confidence.
ParlaMint-FR_2017-11-14-O1054.u258	That was pretty good!
ParlaMint-FR_2017-11-14-O1054.u259	Pierre Morel - À- L'Huissier, for the group Les Constructives: Republicans, IDU, independents.
ParlaMint-FR_2017-11-14-O1054.u260	The mission we are addressing today brings together the funds allocated to local and regional authorities. This is an important part of the nation's budget, which often leads to tensions between the state and local authorities, and sometimes also between the local authorities themselves, more specifically between the so-called rich and the so-called poor. We have come a long way, because over the last three years there has been a reduction of 11 billion in state aid to local authorities. Some here would like to make us forget this period, during which, I would remind you, the institutions have been profoundly changed, as well as the division of powers. The fiscal year you are carrying out is only more difficult. I note that the Government has chosen not to lower the DGF, neither for the municipalities nor for the departments, and that for the regions it is replaced by a share of VAT. One day, however, a comprehensive reform of this allocation will have to be carried out, bearing in mind that it amounts to 62 euros per capita in rural areas, compared with 128 euros in urban areas! There will also have to be a review of the tax bases, the whole of local taxation and equalization. This maintenance of the DGF must not hide the budget cuts you make on water agencies, consular chambers, the CNDS – the national centre for sport development – the abandonment of assisted contracts, the reform of the personalized housing allowance and the zero-rate loan. However, I am pleased to note that the DETR is maintained at its 2017 level of EUR 996 million. This is a good thing, but it remains that this budget envelope is affected by departmental prefects. The participation of all members of the Department in the DETR Committee is discussed; Beyond this debate, it would be important for the notifications of appropriations to make it clear that the DETR comes from a budget envelope voted by parliamentarians, and that these funds are not allocated at the discretion of the prefects alone. The appropriations for the parliamentary reserve have been abolished: this amounts to almost 145 million euros. It is now necessary to clarify the situation of the 25 million earmarked for the Fund for the Development of Associative Life and the 50 million earmarked for the DETR and the allocation of support for local investment. In my view, 70 million euros remain to be distributed. This naturally leads me to question you about the financing of rural contracts. More generally, I would like to draw your attention to the problem of rural life, which accounts for almost 80% of French territory and 20% of the population. You know as well as I do the problems related to the maintenance of water and sewerage systems, the communal road, the rural roads, the operation of schools, the support for associative life, and I pass by. In recent years, institutional reforms, including intercommunality, skills transfer and downsizing, have profoundly affected local authorities – municipalities, intercommunalities and departments. The Association des mayores rurales de France demands a law for rural life. At the Assembly, the group to which I belong, together with Philippe Vigier, decided to present, on the day reserved for him, a text aimed at establishing a national agency for rural revitalization – or territorial cohesion, the terms do not matter. I will turn to a separate subject: rural revitalization zones – ZRR. I have already drawn the Minister's attention to this in an enlarged committee. A reform was initiated in 2015, changing the criteria for municipalities' membership in the ZRRs. 3060 communes were excluded from the scheme and 3600 new communes were included. The majority group recently took the decision, with the support of all groups, to reintegrate all excluded municipalities until 31 December 2019. The Minister of Economy and Finance, Bruno Le Maire, indicated that this two-year period would help redefine zoning and re-engineer the tools related to the ZRRs. Minister of State, Madam Minister, could you confirm that the Government's will is to strengthen the ZRR system? [[Applause on the benches of the LC group and on several benches of the REM and MODEM groups]] In addition to these considerations, and given the current budgetary difficulties, the LC Group is in favour of the appropriations for this mission. However, we urge you to reflect on a far-reaching reform of the DGF, local taxation, equalization and rural development.
ParlaMint-FR_2017-11-14-O1054.u261	Mrs Pires Beaune has the floor for the New Left Group.
ParlaMint-FR_2017-11-14-O1054.u262	All the budget texts prepared by this government, whether it is the public finance planning law for the years 2018 to 2022 or the finance law for 2018, show great distrust towards local elected officials, even though it would obviously be necessary to try to restore confidence to conclude contracts with them.
ParlaMint-FR_2017-11-14-O1054.u263	That's right!
ParlaMint-FR_2017-11-14-O1054.u264	The method of contracting that you want to use, Minister, Minister of State, for the 319 largest communities in our country, is attractive and much smarter than the consistent decline in FMD under the previous mandate.
ParlaMint-FR_2017-11-14-O1054.u265	Thank you! It's good to recognize him!
ParlaMint-FR_2017-11-14-O1054.u266	That's right!
ParlaMint-FR_2017-11-14-O1054.u267	As I have always said, it does not bother me to repeat it. Nevertheless, some of your decisions make a harmful climate prevail. The announcements made this summer about local authorities have been particularly badly felt, especially in rural areas and suburbs. A sharp reduction in assisted jobs, the exclusion of a very large part of our territory from the PTZ – zero-rate loan – and the Pinel scheme, a reduction in the number of local elected officials, the introduction of a new prudential standard in Article 24 of the programming law, not to mention the cancellation of more than 200 million euros of payment credits from the DETR envelope... All these decisions made the elected representatives very suspicious. Your majority paid him in the ballot box in the last senatorial election.
ParlaMint-FR_2017-11-14-O1054.u268	Yes!
ParlaMint-FR_2017-11-14-O1054.u269	The finance bill for 2018 also includes its share of surprises. After the vote on its first part, we note that the increase in the DGF you were talking about is no longer relevant: it is only a stability of the credits, but it is in fact concealing a decrease, because you want the communities themselves to finance the extension of the exemption from the housing tax for certain categories of people. And it is an amendment by the Government not considered by the Finance Committee that brings the cost of this exemption, that is, 60 million, to the communities!
ParlaMint-FR_2017-11-14-O1054.u270	That's right!
ParlaMint-FR_2017-11-14-O1054.u271	In addition, and for the first time, the entire increase in equalization through the DSU – Urban Solidarity Endowment – and the DSR – Rural Solidarity Endowment – will be financed by the lump sum allocation. Thus vertical equalization becomes totally horizontal. Worse still, the municipalities that no longer have a lump sum do not finance equalization: it is a climax! More serious, and again for the first time, the draft finance law provides for a punction on the DCRTP – allowances to compensate for the reform of the trade tax – of the communal bloc. As you know, Minister, Minister of State: it is deeply unfair, when you know which communities are affected by this funding! At this stage, this puncture represents EUR 169 million.
ParlaMint-FR_2017-11-14-O1054.u272	Thank you for reminding him! And to say that the majority claims that the endowments do not fall!
ParlaMint-FR_2017-11-14-O1054.u273	At the meeting, Minister Gérald Darmanin undertook to remove this puncture. Have you found a solution on this point? I would like to address a second point: the metropolises – a subject that is dear to you, Minister of State. Last year, 150 million DSIL was set aside for fifteen metropolises, including the one you were presiding over. The Prime Minister had committed himself to fund the seven new metropolises, namely Dijon, Orléans, Saint-Étienne, Toulon, Metz, Tours and Clermont-Ferrand. None of this is foreseen in the 2018 Finance Bill! You have told me, Minister of State, that nothing prevents the prefect from signing a metropolitan pact. But with what money? If the pact is to be concluded within the framework of the DSIL, which is already declining compared to 2017, then it will revive the war between urban and rural people, which I do not wish.
ParlaMint-FR_2017-11-14-O1054.u274	No one here, I hope!
ParlaMint-FR_2017-11-14-O1054.u275	I therefore ask you, Minister of State, to provide a specific envelope for the seven new cities in order to provide them with fresh money, if I may say so. I would also like to return to the issue of contracting. For the communal bloc, given the intertwining of powers between the municipalities and the EPCIs, it seems to me that it would be necessary to analyse the situation and assess the evolution of public expenditure at the level of the territories – I mean by the word "territory" the whole formed by the EPCI and its member communes, and even the trade unions that are there. Indeed, as you know, depending on the territories, such structural equipment will be managed either by the municipality, by the EPCI, by a trade union, or even by a private delegate supporting the debt. The analysis can therefore be much more complex than it seems. This being the case, contracting can only take place between the representative of the State and the executive of each structure. However, the rate of change in public expenditure included in the programming law is 1.2%, including inflation. This leaves me sceptical, since inflation over the last 12 months is estimated at between 0.9% and 1%, leaving little room for manoeuvre. [[Applause on the benches of the NG group]] As for the departments, you know that the situation is very heterogeneous, especially depending on the number of beneficiaries of the APA, the RSA, the PCH – disability compensation benefit – or the number of isolated minors. My question is simple, Minister of State: Is the rate of increase of 1.2% negotiable? If so, according to what criteria? Shouldn't an appointment clause be included as early as 2019, in order to reassure all elected officials and ensure the success of the contracting mechanism?
ParlaMint-FR_2017-11-14-O1054.u276	We come to the questions. Let me remind you that the time limit for questions and answers is two minutes. The next speaker is Mr Ugo Bernalicis, for the Group of the European People's Party.
ParlaMint-FR_2017-11-14-O1054.u277	Minister of State, last July, the President of the Republic undertook not to reduce the allocation of funds to local and regional authorities. We note that this finance bill does not correspond to this: those of our colleagues who spoke in the gallery have given many examples. The price of this denial for local and regional authorities, and ultimately for our citizens, will be very high. Is it worth recalling here that the communities carry out missions of public services and solidarity but also of animation and valorisation of the territories? You know, Minister of State, for having been responsible for a large territorial community for several years – which you regularly recall – that they are a social bulwark for the most precarious and isolated. In two years, however, their investment has decreased and many are no longer able to renovate or maintain all the equipment they are responsible for. As spending on, for example, inflation, investment or government decisions increases, you decide to cut budgets. The corollary of this situation is that the savings and working capital of local and regional authorities are marked by a sharp erosion. It is clear that such a situation is no longer tenable. Your policy, even if it partly freezes the situation, continues to increase imbalances in spatial planning and inequalities between citizens. You perpetuate the disengagement of the State from the general functioning of the communities, you continue a project-by-project pilotage, putting up a form of control. [[Applause on the benches of the FI group]] My question is: How do you intend to compensate for the declines in endowments – even in troubling terms – so that communities can ensure the equality of territories and ultimately equality between all citizens of our republic?
ParlaMint-FR_2017-11-14-O1054.u278	The next speaker is the Minister of State.
ParlaMint-FR_2017-11-14-O1054.u279	Mr President, we do not share exactly the same view of the situation.
ParlaMint-FR_2017-11-14-O1054.u280	[[Smile]] Surprising!
ParlaMint-FR_2017-11-14-O1054.u281	I would therefore like to remind all of your colleagues that one of the current difficulties is that when public expenditure amounted to 56% of GDP in France, it was, for example, 44% in Germany and 47% in the EU.
ParlaMint-FR_2017-11-14-O1054.u282	So what?
ParlaMint-FR_2017-11-14-O1054.u283	[[Exclaims on the benches of the LR group]] It was because our public spending was too high that we taxed our businesses so much, and our country lost tens of thousands of industrial jobs in the space of a few years. All those who have a sense of responsibility say this: public spending must be reduced. There are several ways to do this.
ParlaMint-FR_2017-11-14-O1054.u284	We've just been battling companies!
ParlaMint-FR_2017-11-14-O1054.u285	[[Applause on several benches of the REM and MODEM groups]] I remind some that a primary candidate wanted to lower the endowments by 20 billion euros! What we offer you today is far from it! Yes, we reduce public spending,...
ParlaMint-FR_2017-11-14-O1054.u286	That's why your ministry's budget is increasing!
ParlaMint-FR_2017-11-14-O1054.u287	... that of the state and the local authorities, but not by the decrease of the endowments in an authoritarian way: this will be a contract with the communities so that they reduce their spending by 13 billion.
ParlaMint-FR_2017-11-14-O1054.u288	The knife under your throat!
ParlaMint-FR_2017-11-14-O1054.u289	[[Applause on the benches of the REM and MODEM groups]] Mr Bernalicis, since you are asking me how I intend to do this, I will reply to you: as we did in Lyon, that is, through the reform!
ParlaMint-FR_2017-11-14-O1054.u290	We come to two questions from the Republic Group on the move. Mrs Emilie Chalas has the floor.
ParlaMint-FR_2017-11-14-O1054.u291	[[Exclaims on the benches of the LR group]] I commend the Government's initiative, which, and this will be the first time in four years, has taken the decision not to reduce allocations to local authorities for 2018. Indeed, this new approach, announced at the first conference of the territories, no longer consists of successive reductions in their allocations, but is part of a dialogue and partnership approach. Preferable to a unilateral decision, it clearly demonstrates the government's confidence in local elected officials...
ParlaMint-FR_2017-11-14-O1054.u292	Cirage!
ParlaMint-FR_2017-11-14-O1054.u293	...to reduce their expenses. I know that communities have already taken the path of rationalization: evidence of this has been the case in recent years. This initiative, which takes the form of a synallagmatic contract, also aims to deepen the pooling of competences and to help local elected officials to move towards more efficiency and solidarity.
ParlaMint-FR_2017-11-14-O1054.u294	These are the minister's arguments! He won't have anything to answer!
ParlaMint-FR_2017-11-14-O1054.u295	In addition, this contract should not be transformed into a unilateral decision in practice that would make it lose its very essence and make the elected representatives of the 319 communities already concerned nervous. Nor should we fall into the pitfall of the budgetary period, that of having an exclusively accounting approach. So I'm asking you about its application. What flexibility do you want to introduce, based on the principles of financial autonomy and the free administration of local authorities?
ParlaMint-FR_2017-11-14-O1054.u296	Pleasurery!
ParlaMint-FR_2017-11-14-O1054.u297	[[Applause on a few benches of the REM group]] The principle of bonus-malus must be clarified in order to avoid any feeling of state control over local authorities and allow them to make the savings of 13 billion. If compliance with the commitments by the territorial community or by the EPCI outweighs the benefit of a counterpart over resources, especially on the DGF if it is perceived, what position will you hold towards those who do not respect them?
ParlaMint-FR_2017-11-14-O1054.u298	I think it's a rather slingy question. Not bad!
ParlaMint-FR_2017-11-14-O1054.u299	The next speaker is the Minister of State.
ParlaMint-FR_2017-11-14-O1054.u300	[[Applause on several benches in the REM group. – Exclaims on the benches of the LR group]] Madam Member, I said that we have two ways to reduce public spending. The first would have consisted of a drastic reduction in allocations, as was done for three years, which led to a very considerable decrease in investment. The Government therefore did not wish to do so. The second is to enter into a pact with local and regional authorities, in particular with the most important ones, so as to set a maximum increase in operating expenditure. The principle is that you cannot ask to save others and never to yourself!
ParlaMint-FR_2017-11-14-O1054.u301	Tell the state!
ParlaMint-FR_2017-11-14-O1054.u302	Mutualisation must save in operating expenses, everyone will tell you, unless they are in total demagogy. [[Applause on the benches of the REM and MODEM groups]] Next, I will ask the prefects to have a discussion with these communities so that they can define their financial strategy over the next two or three years, so that we have some visibility. The Prefect will see if this financial strategy is in line with the reduction in public spending we want, and will eventually come back to the communities with remarks. A permanent dialogue will thus be established between the State and local and regional authorities.
ParlaMint-FR_2017-11-14-O1054.u303	Mrs Nadia Hai has the floor.
ParlaMint-FR_2017-11-14-O1054.u304	Minister of State, in the debate that brings us together today, it is on the politics of the city that I wish to question you. I measure all your commitment and all your experience in implementing proactive policies in favour of the neighbourhoods of your territory. Coming from the heart of the neighbourhoods, I am here the relay of those who feel, sometimes rightly, that they are on the margins of society and its economic dynamism, that they are forgotten by local development plans, and who sometimes even feel that they do not count, with all that this can lead to as a feeling of isolation and loss of confidence in our public institutions.
ParlaMint-FR_2017-11-14-O1054.u305	Talk about APLs!
ParlaMint-FR_2017-11-14-O1054.u306	[[Claims on several benches in the LR group]] [[Same movements]] After forty years of city politics and more than ten plans, the expectation is all the more strong, as the hope for the transformation that we want to bring to our fellow citizens. The proposed budget addresses this complex issue with humility and determination, because everything cannot be reformed in a budget or in a year, as we all know here. However, milestones can already be set because it is not about spending more, but about spending better. We, the majority, know that.
ParlaMint-FR_2017-11-14-O1054.u307	How humble!
ParlaMint-FR_2017-11-14-O1054.u308	[[Applause on several benches in the REM group]] In this context, Minister of State, what are the guarantees provided in the 2018 budget to carry our proactive policy on strengthened priority education networks, day-to-day security policy and the challenges of urban renewal, all of which are so essential in order to restore the bond of trust with the people of the neighbourhoods and finally break with this idea of forgotten territories of the Republic?
ParlaMint-FR_2017-11-14-O1054.u309	The next speaker is the Minister of State.
ParlaMint-FR_2017-11-14-O1054.u310	Thank you, Member, for your question. First of all, I want to recall what the city's policy credits were: they amounted to 100 million in 2014, 100 million in 2015, 100 million in 2016, and then increased to 150 million in 2017, a level maintained for 2018. This means that we are stabilizing the credits of the city's policy. But let me tell you, honourable Member, that the problem is not just a matter of money: it is also a question of urban strategy. For example, I think that if certain communes of the small Parisian crown are to emerge from marginalization, we must adopt global strategies for the big periphery, to ensure that the planning of the territory is thought out. A common process by commune is not possible: this gives rise to the disparities that exist in Île-de-France. [["Ah! » on many benches of the LR group]] [[Applause on the benches of the REM and MODEM groups]] If in the metropolis of Lyon there are a little less problems, it is because we have carried out global urban strategies. That's how we'll change things, putting social mix back into the city! This is not just a question of money, it is a question of political will. And we have this political will, expressed today by the President of the Republic!
ParlaMint-FR_2017-11-14-O1054.u311	We come to the questions of the Republican Group. Mr Raphaël Schellenberger has the floor.
ParlaMint-FR_2017-11-14-O1054.u312	Minister of State, the mission "Relationship with local and regional authorities" should reflect a willingness, that repeatedly expressed by the Government to build a relationship of trust between the State and the communities. Let me assure you of this, I share it. However, I can only regret the implementation that you are proposing. In particular, you propose the reduction of the appropriations of the action "General allocation of decentralization of the communes", which aims nevertheless to allow the financial compensation of the expenses transferred to the communes and their groups. Rather than a relationship of trust, it is more a sign of distrust of communities that is reflected in the public finance programming bill for the period 2018-2022, which calls for a continuation of the effort to reduce the public spending of communities by $13 billion when the state, on the other hand, evades its efforts. As evidence, the rate of effort required of local and regional authorities in the area of debt is completely disproportionate to their weight in our country's debt. The Government's budgetary choices here force communities to act and increase their dependence on the State. How can we not worry about the abolition of the housing tax when, in parallel, a 17% reduction in the departmental fund for equalisation of the professional tax is presented? The Government is depriving communities of dynamic resources while promising to compensate them, but then reducing the envelopes for such compensation. [[Applause on the benches of the LR group]] It is clear that such a dynamic actually increases the relationship of community dependence on the state. We are far from the relationship of trust that you advocate. Communities suffer from a lack of budgetary visibility. To improve the situation, for example, you could introduce a finance bill dedicated exclusively to communities, separate from the PLF and PLFSS. I suggest that we think about it collectively.
ParlaMint-FR_2017-11-14-O1054.u313	The next speaker is the Minister of State.
ParlaMint-FR_2017-11-14-O1054.u314	Some answers to your various reflections, Mr. Member. The first will deal with the general allocation of decentralization: the decline is only apparent, since it is due to the fact that for Corsica, we have transformed DGD into VAT. This explains the reduction of €90 million. [[Exclaims on the benches of the LR group]] As far as the housing tax is concerned, the terms should not be confused. When reference was made to the business tax, there was compensation. The words have a sense and the President of the Republic had made it clear during his campaign, knowing that we were a few, in the local elected representatives, that what the words mean, that this would not be a housing tax, not a compensation, but a reduction. This means that the scheme will be permanent over time and take into account the revalorisation of the tax bases. For example, if you have more housing or activities, this will be taken into account. You'll always have power over rates. But of course, it is only from the 2017 administrative account that these elements will be taken into account, otherwise all mayors would increase the rates, as far as the state has to pay. [[Applause on several benches of the REM and MODEM groups]] The taxpayer will know tomorrow that if he pays a housing tax again, it is because his mayor will have increased his rate: this is what is called responsibility.
ParlaMint-FR_2017-11-14-O1054.u315	Mr Vincent Descoeur has the floor.
ParlaMint-FR_2017-11-14-O1054.u316	Minister of State, this part of the finance bill that deals with the appropriations allocated to local authorities ostensibly ignores a level of community: the departments, which are the great forgotten of this budget.
ParlaMint-FR_2017-11-14-O1054.u317	That's right.
