ParlaMint-GB_2022-01-11-commons.u1	1. What steps he is taking to improve productivity levels in the UK.
ParlaMint-GB_2022-01-11-commons.u369	This is the second day in a row that the Chancellor of the Exchequer appears to have been posted missing. At the beginning of the pandemic, he was absolutely everywhere: we could see all his branding on Instagram and he was clearly trying to pump himself up in advance of a Tory leadership bid. This Government often talk about their plan for jobs, but it is becoming increasingly clear that the Chancellor has a plan for only one job: his next job, which the Prime Minister seems to be doing his best to expedite today Yesterday, I met Age UK and Age Scotland, which told me that 96% of respondents to their snap survey last week were worried about their energy bills. People are already making really tough choices between heating and eating: for example, some people are making the decision just to live in the one room in their house that they can heat The Government need to reflect that, when people fall into destitution, the state bears the cost anyway, so there is a preventive argument as well. What we need from the Government is not just a plan for jobs, but a plan for their cost-of-living crisis and a plan to tackle pensioner poverty. We need a one-off payment to low-income households, which could be identified by way of the council tax reduction mechanism. We need to increase and extend the warm home discount, delivered through customers’ bills and funded by the Government. We need the April benefits uprating to better reflect inflation rates and certainly to reinstate the £20 that was cut from universal credit, which was so callous on the Government’s part We need to reinstate the pensions triple lock, on which the Government broke their own manifesto commitment only a couple of months ago, because pensioner poverty is on the rise and the UK already has one of the poorest pensions in the OECD. We were told that an 8% rise in pensions would be disproport- ionate, but reasonable economic forecasts now expect inflation to run at 7% in April. We need bold action on pension credit. Over 3,000 constituents in Glasgow East are eligible for pension credit but do not take it up, so we need more action from the Government to promote it The Department for Work and Pensions needs to look again at the £500 million household support fund. Initially, we had £41 million of that Barnettised to the Scottish Government. Rather than winding the fund down, the UK Government should increase it. We need to reintroduce and mandate the social energy tariff, reinstate the free TV licence for over-75s, who largely spend more time at home, and reduce or remove VAT and environmental levies on energy bills Those are just some of the things that could be in the Chancellor’s plan for the cost-of-living crisis but, as we all know, his only plan for jobs is for his next one. This place is clearly not going to deliver anything for Scotland, so the only way to do it properly is with Scottish independence.
ParlaMint-GB_2022-01-11-commons.u370	In rising for the first time since Friday, I want to place on the record my sadness at the untimely passing of the Member for Birmingham, Erdington. Jack Dromey was a lovely man and a staunch trade unionist, and he always stood up for working people. If he were with us today, I am sure he would be speaking in this debate, because it is about fairness, decency and supporting those who are most in need I know from speaking to residents of Newport West how worried they are about the rising cost of living. They are paying more for their food, more for heating, more for gas and more in tax. In short, the people of Newport West and this country are worse off under the Tories, and they need a break. Today, the Opposition are forcing a binding vote on a VAT cut on home energy bills because the Conservative party refuses to back a windfall tax that would support families. Simply put, it is not interested in giving working people the support that they need and deserve Incomes are still falling relatively, but for those with the least, living costs are still rising. More than half of Welsh households have seen their food costs increase, while more than 60% have seen their utility bills increase. The impact on children is worsening: more than one in five families with children has had to cut back on items for them, including books, toys, nappies and clothing, while one in 10 families with two children has had to cut back on food for them My pledge to the people of Newport West is this: I support removing VAT from domestic energy bills for a year from April 2020; I support expanding and increasing the warm home discount; I support smoothing the cost of supplier failure; and I welcome the establishment of a contingency fund that would be directed at supporting energy-intensive businesses. Those are real and tangible actions that would make my constituents’ lives better. I cannot understand why the Conservatives will not support us. I say to the Minister that someone in Newport West on the energy price cap with typical usage is currently paying £1,277 a year for their dual fuel bill. That is expected to rise to £1,865 a year from April according to the latest estimate, which is a £588 increase. We need less time to be spent on agreeing excuses for lockdown parties and more time to be spent on standing up for those most in need. We need less time to be spent pretending that energy costs are not rising and more time to be spent cutting the cost of gas and electricity Simply put, we need more action for those most in need and less dither, delay and letting people down. Dither and delay are exactly what Tory Ministers will do if they vote against this important motion. The Opposition’s motion will make life that bit easier for those most in need, so what are we waiting for?
ParlaMint-GB_2022-01-11-commons.u371	January is the toughest month for most people, but this year, people’s financial worries are at a whole new level. In December, emails started coming in from my constituents telling me that they are having to choose between heating and eating It is not just pensioners, those unable to work or workers on low incomes who are worried about spiralling food, fuel and energy costs, but the majority of people—many millions of workers—who are not entitled to Government help. They include the self-employed hammered by IR35 and those excluded from help during the pandemic. Most of them can normally withstand the odd unexpected bill, but they cannot now budget for the spiralling costs, income tax hikes, council tax rises and the cost of inflation heading towards 7%, alongside real-terms pay cuts and stagnant growth In 2016, the Prime Minister and the Secretary of State for Levelling Up, Housing and Communities promised us, as they outlined their plans to cut VAT on household energy payments, that gas bills would be lower for everyone and wages would be boosted if voters backed Brexit. A year after Brexit, the opposite is true. Ministers should make good on their promise to ease the burden on families by cutting VAT on energy bills, but instead of action, all we are left with is a tissue of false promises The Government cannot keep hiding behind the cost of the pandemic as an excuse to do nothing, when other Governments have faced the same difficulties. The Labour party has a plan that I hope the Government will listen to today. UK households are already under pressure from inflation and face a sharp rise in costs in April when the cap on energy prices will be raised. The poorest 10% of households will see their spending on energy increase from 8.5% of their total budget to 12% according to the Resolution Foundation. Again, the people who can least afford it are footing the bill while the millionaires and billionaires are untouched We must act now to prevent the devastating consequences of sky high bills that many people simply cannot afford. The need to reform our broken energy and regulatory system has never been clearer. We must unleash the vast potential of British renewable and nuclear energy and we must insulate our homes. To deliver the green transition, we need energy security and affordable bills.
ParlaMint-GB_2022-01-11-commons.u372	It is undeniable that the cost of living is spiralling out of control and the situation is being made bleaker by sky rocketing energy prices. The Government have failed to prepare for and refused to respond to the problem. When the new energy price cap is announced, households in Durham and across the country face a potential 46% rise in their energy bills, yet the Government are doing nothing to protect ordinary people from that hammer blow Fortunately for the Government, while they dither, the Labour party has a plan to protect households from the worst of the spiralling energy costs. The Government must act immediately to reduce the financial burden on households. According to polling by YouGov, a third of people say that a £25-a-month increase in their living costs would be unaffordable, while 50% say that they could not afford a £50-a-month increase. I do not think the Government truly appreciate the gravity of the situation for ordinary people. Labour’s plan would mitigate the impact of energy price rises by temporarily scrapping VAT on domestic energy bills, while taking steps to prevent the costs of supplier failure from being passed on to consumers We also recognise that there are those who need greater protection from these rises, which is why Labour would expand the warm homes discount and increase it from £140 a year to £400 a year, ensuring that it reaches squeezed middle-income and low-income households as well as pensioners. This, combined with our other proposals, would give eligible households a £600 a year reduction in energy payments The Government will no doubt protest that these plans cost money, but what is public money for if not to be spent on the public? At a time when households are experiencing greater pressure than ever on their resources, it is the Government’s duty to relieve that pressure. The best bit about this is that it could be paid for by a windfall tax on North sea oil and gas profits. As ordinary people are left to shiver in their cold homes or to pay through the nose for energy, these oil and gas companies are expected to report near record income in 2021-22. That simply is not right, and Labour would make these companies pay However, we cannot just look at short-term solutions to the crisis. We must also look to the future. Our energy system is broken, and it needs reform to make it greener and more sustainable by accelerating the switch from gas to homegrown renewables and by ensuring that millions of people in Britain have warm and well-insulated homes MPs have a simple choice today: we can vote to ease the squeeze on families across Britain or we can leave many to choose between heating and eating. I know which I will be voting for.
ParlaMint-GB_2022-01-11-commons.u373	The wind-ups will begin promptly at 4.25 pm.
ParlaMint-GB_2022-01-11-commons.u374	Thank you, Mr Deputy Speaker. Annual fuel bills are expected to rise not by a little bit but by a whopping 50% when the current energy price cap is raised in April. This motion is right. To provide some temporary relief, the Government must cut VAT on household bills as soon as possible. Beyond that, the longer-term problems must be addressed We could see this crisis coming for a long time. Closing the UK’s largest gas storage plant in 2017 without a plan to replace it was illogical, and the Government were repeatedly warned at the time that the country faced more volatile winter gas prices and was becoming too dependent on energy imports, but they ignored all advice The bigger issue is the business model of the energy sector as a whole. For years since privatisation, the monopoly grid companies prioritised dividend extraction over upgrading the system for renewable energy. The generators did not really start investing in renewables until public money was put on the table, and the supply market is in complete disarray. Many smaller suppliers are now folding, creating even less competition and leaving huge market shares for the bigger players. In response to that collapse, we see the Government setting aside billions in public funds to prop up firms that are too big to fail, but with that public money comes no change in the broken energy market, no reduction in household bills and none of the benefits of public ownership If our energy system were brought into public ownership, such public companies would not be duty bound to prioritise huge returns for shareholders. They could invest in the system and in renewables, and they could use financially buoyant times to build up reserves to protect against the price fluctuations we are seeing. They get this in Germany, where two thirds of electricity is bought from municipally owned energy companies. They get this in France, where two thirds of electricity comes from EDF, which is majority owned by the French state. EDF also runs the French grid and generates most of the electricity. In fact, EDF supplies the UK, yet the Government do not think we are good enough to have our own public energy company Until the Government recognise that public ownership is central to addressing the crisis we face in our energy system, our constituents will continue to pay the highest price. Today’s motion would help them, but ultimately the Government have to look at the bigger picture and examine public ownership.
ParlaMint-GB_2022-01-11-commons.u375	May I just put on record how much I miss Jack Working families everywhere are feeling the pinch. Energy prices are rocketing, housing is increasingly unaffordable and inefficient, food prices are rising and there is a global gas price crisis. Ten years of failed energy policy has left us particularly exposed, including through the closure of the Rough gas storage facility. It was vital to keep that open. That facility would have ensured some energy stability and resilience. Now, our storage capacity is only 2% of our annual usage, compared with 25% in France and Germany. Meanwhile, in February Ofgem will announce a new price cap for April 2022 onwards, under which bills can rise by 46% or £600 a year. That compares with wage growth of 4.2%. How on earth are families going to survive this increase? Without Government support, they will not. Research from YouGov shows one in 10 Brits could not afford a £5 per month increase in their cost of living, a third could not afford a £25 per month increase, and half could not afford an additional £50 per month. Almost 4,000 households in my constituency are already in fuel poverty—that is 8.9% of all households—and they will be hit the hardest and have to choose between heating and eating Inflation is running away at over 5% and it is going to hit 7%, according to Goldman Sachs and the Bank of England. As my hon. Friend the Member for Leeds West (Rachel Reeves) has said, we are facing a high inflation, high cost and low growth economy. That is why Labour is calling for measures now to reduce the expected energy price rise in April. Removing that price rise and increasing the warm home discount would save most households around £200. The lowest earners and the squeezed middle would save up to £600 on bills, preventing all the expected increases in energy bills Pensioners have also been abandoned by this Government through the Chancellor’s failure to protect the triple lock. That simple action would have avoided a short-term crisis but there is more to do to protect our constituents from future shocks. Our housing stock is poorly insulated, the worst in Europe. British homes leak heat up to three times more quickly than the more energy-efficient homes on the continent, resulting in higher bills and colder homes. The last Labour Government introduced a legal requirement for new homes to be zero carbon by 2016. We would have had a million homes built in the past five years if that had been allowed. Labour would make the green deal deliver 19 million warm and insulated homes, saving households an average of £400 a year, but the Government do not see the advantage of that. The Government have also failed to accelerate quickly enough to domestically produced clean energy, as we have heard. Then there is house price inflation and rent inflation, and the exorbitant costs that people living in this country face. I understand how hard this winter is going to be for my constituents, and I believe that the Government have to act urgently to address that.
ParlaMint-GB_2022-01-11-commons.u376	Our country faces the worst cost-of-living crisis in recent memory as families grapple with rising inflation, soaring food costs and an energy crisis that has rapidly got out of control. This Government’s decade-long failure to reduce the country’s foreign energy dependence has left us especially exposed to the devastating impact of wholesale gas prices. In the space of just a few short months, no fewer than 27 energy providers have collapsed, and ordinary people are being forced to reckon with the real possibility that their gas and electricity bills could rise by as much as 45% to 50% by spring 2022, according to the trade association Energy UK. No one has been spared the fallout from this spiralling crisis, but it is the poorest communities, such as those in my constituency of Birkenhead, that are being hit hardest of all. Last autumn, I warned the House that thousands more people across Wirral risked being pushed into poverty as a result of changes to the energy price cap and the cut to universal credit. At that time, those concerns were dismissed out of hand by complacent Ministers, but now National Energy Action is warning that 2 million more people could be plunged into fuel poverty as a result of rising costs, bringing the overall total to the highest level since records began At this challenging time, the country has the great misfortune to be governed by a party more interested in its own internal power struggles and the increasingly untenable position of the Prime Minister than in giving British households the support they so desperately need. Ministers rushed to take to the airwaves this weekend to condemn Labour’s plans to bring energy bills down, but it is clear for all to see that they have no realistic plan of their own. Some Conservative Members have seen this crisis as an opportunity to take aim at the net zero agenda, calling for the environmental levy on energy bills to be scrapped and for the resumption of fracking and the expansion of drilling in the North sea. That is not prompted by the slightest concern for people struggling to get by. Instead, those Members are motivated by a deep-seated and ideological objection to climate statute Let me be clear: we cannot solve the problems of today by trading away our grandchildren’s future. Hard-won progress on the climate must not be sacrificed to make up for the Government’s monumental failings. In truth, only my party has put forward credible proposals to meet the immediate needs of British households and industry. I commend my hon. Friends on the Front Bench for the proposal that they have brought before the House today, including the removal of VAT on domestic energy bills, a windfall tax on North sea gas and oil, and a £600 contingency fund to support energy-intensive industries such as British Steel The Minister must put partisanship to one side and engage constructively with those proposals in the national interest. But I believe that he must go further, too. The current crisis has exposed enormous vulnerabilities inherent in our fragmented and privatised energy system. Wholesale reform of the sector is badly needed. By bringing energy into public hands, we can—
ParlaMint-GB_2022-01-11-commons.u377	Order. Sorry. Claudia Webbe.
ParlaMint-GB_2022-01-11-commons.u378	The Tory Government of the super-rich are presiding over a cost-of-living crisis that will hit the most vulnerable the hardest. Between the uncontrolled pandemic, inflation, soaring energy bills and the end of covid support schemes, households across the country are facing a difficult start to 2022. UK household incomes could be down £1,000 this year, according to analysis by the Resolution Foundation think-tank, as rising prices combine with welfare benefit cuts and rising raxes The truth is, when faced with a crisis, this Government balance the books on the shoulders of those who can least afford it, while leaving the fortunes of their rich mates untouched. The unjust policies of the Government will push more people over the brink into destitution. Inflation increased by 4.2% in October alone, the highest figure in a decade. Everyday items are getting more expensive and, on top of that, the Government’s planned national insurance increase is a regressive tax, which will hit the poorly paid the hardest, as workers’ pay packets are raided at a time when wages are failing to keep up with the UK cost of living That means a landlord who rents out dozens of properties will not pay a penny more, but the tenants working in full-time jobs will. Meanwhile, the billionaires, large corporations and super-rich whom this Government truly represent will continue to pay a lower rate of tax than people who are struggling to make ends meet. For all their empty talk of levelling up, the Conservatives continue to rig the economy in favour of the privileged few. Even before the current energy price rises, an appallingly high number of Leicester East residents were forced to make the impossible choice between keeping their family warm or going hungry When I became an MP, 5,800 households in Leicester East, or 14.4% of the constituency, were in fuel poverty. That has worsened during the pandemic to 18.6%, or 7,659 households in fuel poverty. Faced with a sharp energy price rise, the Government are now refusing to take the necessary action to combat poverty and protect families in Leicester and across the UK The Government must raise their ambition by setting a fuel poverty eradication target, as well as committing to end all forms of poverty for good. That can be achieved by raising taxes on those who can afford it most, the super-rich and big businesses. Failing energy companies must be brought into common ownership The crisis is not one that will be felt equally. Those in poverty already spend the highest share of their income on daily essentials. Poorer households pay as much as 50% more on their utility bills than the wealthiest. I will end with this: as the inspiring James Baldwin once said—
ParlaMint-GB_2022-01-11-commons.u379	Order. To resume his seat no later than 4.25 pm, Grahame Morris.
ParlaMint-GB_2022-01-11-commons.u380	Thank you, Mr Deputy Speaker. In another place, those who were last will be first. It is an honour to follow my hon. Friends the Members for Leicester East (Claudia Webbe) and for Birkenhead (Mick Whitley) This issue, the cost of living, shows the disconnect at the heart of Government and the realities on the ground for the vast majority of people, including many in my constituency. When the book is finally closed on the last chapter of the Conservative Government, they will leave a legacy of insecurity—the gig economy, zero-hours contracts, fire and rehire and the loss of workplace rights. Sadly, the Conservative party will be remembered as the party of child poverty, food poverty, fuel poverty and homelessness. We see that in the growing queues for food banks, the rising levels of private debt, and the unprecedented numbers of people sleeping rough on our streets. The political choices of the past decade have not put the resources of the state behind addressing these critical issues. Working families are facing tough choices this winter, and, in the months ahead, many will be pushed below the poverty line.
ParlaMint-GB_2022-01-11-commons.u381	Apologies to those who did not get in. There were quite a few of you.
ParlaMint-GB_2022-01-11-commons.u382	I want to thank all hon. Members who have spoken in this debate. I particularly thank my hon. Friend the shadow Chancellor, my hon. Friends the Members for Tooting (Dr Allin-Khan), for Sheffield, Brightside and Hillsborough (Gill Furniss), for Merthyr Tydfil and Rhymney (Gerald Jones), for Batley and Spen (Kim Leadbeater), for Bradford West (Naz Shah), for Brighton, Kemptown (Lloyd Russell-Moyle), for Newport West (Ruth Jones), for Bedford (Mohammad Yasin), for City of Durham (Mary Kelly Foy), for Salford and Eccles (Rebecca Long Bailey), for Warwick and Leamington (Matt Western) and for Birkenhead (Mick Whitley), and my hon. Friend the Member for Easington (Grahame Morris) for his just-a-minute speech, which was excellent There are three questions at the heart of this debate. How did we get here? What short-term action should we take? And, what is the long-term plan to stop it happening again? First, on the crisis, there is no question but that there is a global dimension to this crisis. Many countries are facing strains as a result of what has happened to wholesale energy prices, but there are some undeniable facts about how badly we have been hit. No other country has seen 28 energy companies go under. They are failures that we already know will cost consumers £100 on bills. No other major European country has gas storage equivalent to just 2% of its energy demand. No other country in western Europe performs as badly on fuel poverty and insulation as the UK. These undeniable facts are symptoms of Government failure over the past decade. There were failures of regulation. They were warned repeatedly about the regulation of the sector, and did not act—in fact they loosened regulations. As the recent Citizens Advice report said: “From 2010 onwards, dozens of companies entered the market with limited checks. Some offered good services to consumers, but others were poorly prepared. ” It went on to say that the regulatory system “allowed unfit and unsustainable energy companies to trade with little penalty. ” It is consumers and businesses that are paying the price. There were failures of strategic decision-making, too, such as the closure of the Rough storage facility, which my hon. Friend the Member for Leeds West (Rachel Reeves) warned about when she was Chair of the Business, Energy and Industrial Strategy Committee Let me get to the heart of this debate, and I say this to the anti-net zero tendency in the Conservative party. We can reach two different views. Some Conservative Members say that it is because we have gone too fast on the green transition. I say that they are dead wrong; it is because we have gone too slowly. It is continued dependence on fossil fuels that makes us more vulnerable and less resilient. Let us take energy efficiency. A 2014 study showed that a comprehensive programme of energy efficiency could cut gas imports by a quarter, but what have we seen? We have seen the abolition of the zero carbon home standard, the fiasco of the green deal and the fiasco of the green homes grant. That is why emissions from buildings are now as high today as they were in 2015, and it is not just about energy efficiency. Before this debate, I looked up the number of onshore wind turbines being constructed each year in the past four years—it is because I am a nerd. I will not do a guessing game in the House as I do not have the time. The answer is that just four turbines a year were granted planning permission in the past four years. It makes no sense, because onshore wind is the cheapest power at our disposal—so much for being the Saudi Arabia of wind power; it is just hot air I come now to what short-term action should be taken. There is a divide in this House between a party that has some proposals and a party that does not. Fundamentally, that is it. Conservative Members can talk all they like about the Order Paper and all that stuff, but they do not have an answer. We have come forward with an answer. What is the principle of the answer? It is this: we help all families, and we give most to those who need it most. I want to explain this to the House. We have said that we want to increase the warm home discount from £140—£150 from April—to £400. We want not just to increase it, but to extend it from 2.2 million households to 9 million households, or one third of families. That is the right decision to help the poorest people in our society who are going to be so badly hit. But we all face a dilemma, and we need to be honest about this. It is right to help the poorest, but it is not just the poorest who are facing tough times as a result of this crisis; it is those in the middle as well, and the swiftest, most direct way of helping those families is to get rid of VAT on energy bills Perhaps I am a bit naive in thinking it surprising that this idea is controversial, because this is a Government whose Prime Minister and Home Secretary, along with 26 Conservative MPs, used to think that it was the bee’s knees. They thought it was a great idea. It was not some random, chance remark made by the Prime Minister; it was a promise made over and over. Given the Prime Minister’s long and distinguished record of integrity, demonstrated again today, surely the British people were entitled to take him at his word when he said that “we will be able to scrap this unfair and damaging tax”, and again, just two years ago, when he said: “Not only will we be able to reduce VAT in the UK, but we will be able to do it in Northern Ireland as well. ” As Conservative Members consider how they will vote in a few minutes’ time, instead of making arguments about the Order Paper, why do they not look at the substance of the motion? Labour Members say, “Let us take action”; their Government have nothing to say. That is the difference, and they should join with us. The problem is not just that the Government have nothing to say. I think we got to the heart of where they really stand on Sunday when we heard what the Education Secretary said when he was sent out to comment. It is not great being a Government Minister going out there at the moment, to be honest; I remember times like that in the Labour Government too. The Education Secretary—I had to double and triple-check this quote—said: “A windfall tax on oil and gas companies, who are already struggling in the North Sea, is never going to cut it. ” “Already struggling”? As my hon. Friend the Member for Leeds West said, the chief executive of BP, Bernard Looney, said that the price rises were a “cash machine” for his business. It is not putting that money into investment; it is putting it into dividend share buy-backs from its shareholders. Who is filling up that cash machine? It is working people. All we are suggesting is something quite simple, which is a one-off windfall tax for a year to get some of that money back and help families right across this country Short-term action is essential, but we need long-term action as well. There is a very big difference we could make to families, and that is a national mission to retrofit homes in this country. It is the closest thing there is to a no-brainer with regard to energy policy. We could cut bills by up to £400. We could make ourselves much less dependent on volatile fossil fuels. That is why we put forward a plan for a £6 billion a year retrofit and zero-carbon energy programme to insulate 19 million badly insulated homes. But the Government refuse to act. They offer piecemeal privatised programmes that do not work, and they are still short of their very inadequate manifesto promise on this. We can get a sense of where the Government stand. When they had the fiasco of the green homes grant—I do not blame them for thinking it was not going very well—they did not plough the money saved back into retrofit but simply cut £1.5 billion of investment. We need to go faster on energy efficiency. We need to invest in our ports and grid so that we can meet and exceed 40 GW of offshore wind. We need to end the effective moratorium on onshore wind, embrace tidal power and other forms of renewable energy, drive forward our nuclear programme and invest in clean energy storage There needs to be a proper inquiry into how we ended up with the disastrous regulation system under this Government and a root-and-branch reform of that system so that we never again have a situation where so many companies go bust and it is the British people who are left to pay the price, with such a dramatic impact on their bills. I am afraid to say that the culpability lies directly at the Government’s door: they were warned and they did not act This debate has been revealing in very many ways.
ParlaMint-GB_2022-01-11-commons.u383	Will the right hon. Gentleman give way?
ParlaMint-GB_2022-01-11-commons.u384	I will not We have a Government who got us into this mess and have no clue how to help the British people out of it. They are paralysed in the face of this cost-of-living crisis. They do not have any answers for the British people, either now or in the future. That is why we are acting. I urge Members from all parties to join us in a few minutes and vote for relief for hard-working families across this country.
ParlaMint-GB_2022-01-11-commons.u385	I thank right hon. and hon. Members for their valuable contributions to this debate I can fairly describe the main thrust of our debate as: wholesale gas price volatility has caused many problems—what are the Government doing about it? By contrast with what the right hon. Member for Doncaster North (Edward Miliband) said, we have everything to say about this issue. There are two main parts to the Government’s answer, and the first is about making significant improvements to our energy supply, with more energy Our long-term strategy is about finding effective replacements for fossil fuels that are reliable and do not expose us to the volatility of international commodity markets. That means investment in renewables, as my right hon. Friend the Member for Kingswood (Chris Skidmore) pointed out, and in nuclear energy, which will be key to achieving that aim. In both areas we have made massive progress since 2010 and continue to do so. As of 2020, renewables contributed 43% of our electricity mix. I checked who the Secretary of State for Energy and Climate Change was in 2010: of course, it was the right hon. Member for Doncaster North. Renewables are now six times the level they were when he was Secretary of State, when they contributed just 7% in that year On 13 December, we launched our biggest-ever contract for difference renewables auction—the largest yet—with a goal of around 12 GW, which is more capacity than the previous three rounds combined. That was a major step towards delivering the Government’s increased ambition. We already have the world’s largest installed offshore wind capacity, which was created under this Government, but we are not resting on our laurels: our ambition is to quadruple that over the next decade. It is a proven technology that is moving us away from the volatility of gas and other fossil fuels There is a key role for nuclear. I am delighted that the Labour party supported in principle the Nuclear Energy (Financing) Bill last night. That is a far cry from Labour’s 1997 manifesto, in the writing of which I think the right hon. Member for Doncaster North was involved. In that year, the Labour manifesto said: “We see no economic case for the building of any new nuclear power stations” The lost time on nuclear is entirely down to the Labour party I am delighted that we have the new regulated asset base model for the financing of new nuclear power stations.
ParlaMint-GB_2022-01-11-commons.u386	I am not giving way There is £1.7 billion of funding to support our objective of approving at least one new large nuclear power project by 2024, as well as the new £120 future nuclear enabling fund. Nuclear will play a vital role in the reduction of volatility in the energy system and work hand in hand with renewables to produce reliable power for generations of consumers to come Let me turn to the points raised by my hon. Friend the Member for South Thanet (Craig Mackinlay). It is a misnomer to say that the Government are not appreciative of the efforts currently being made on issues such as the North sea. It is not right to say that we have not welcomed more investment in the North sea. In the final quarter of 2020 alone, five new gasfields came onstream: Arran, Columbus, Finlaggan, Tolmount and Blythe and Elgood. The majority of our gas consumption still comes from domestic production; of the rest, the biggest part comes from Norway, which provides more than half our imports There is this idea that storage would have helped. Storage does not help when there is a price issue. It might help when the issue is supply, but here it is price. Being able to store high-cost gas does not help with a price crisis. The protection of households is vital to the Government. We are committed to supporting vulnerable households with their energy bills. My right hon. Friend the Chief Secretary to the Treasury pointed out many of the important schemes that we have in place, not least the energy price cap, the warm home discount scheme, the energy company obligation, the solar process, which has led to the ability to transfer people’s energy provision from one company to another seamlessly and without cost to the consumer, the winter fuel payment, and the £500 million household support fund. They are all in place to help and protect consumers We have had a very good debate. If I may say so, we had some fantastic contributions from my own side of the House. My hon. Friends the Members for Birmingham, Northfield (Gary Sambrook) and for Stoke-on-Trent South (Jack Brereton) spoke passionately about Government help for residents in their constituencies. My hon. Friend the Member for Brecon and Radnorshire (Fay Jones) spoke about her rural constituency and again highlighted support from the Government in her area. My hon. Friends the Members for Ashfield (Lee Anderson) and for Mansfield (Ben Bradley) forensically and skilfully took apart the Labour motion. We had thoughtful speeches on net zero from my right hon. Friend the Member for Kingswood and my hon. Friends the Members for Devizes (Danny Kruger) and for North Norfolk (Duncan Baker), who also looked in detail at the workings of the energy market My hon. Friend the Member for South Thanet called for changes in energy policy. There are changes. The main one is that we are producing more energy. We are producing more renewables and more nuclear. We are making sure that we get as much gas as we can from UK domestic sources. That is the basis of our energy policy In contrast to the Opposition, we have a plan. I have outlined what it is. Labour Members do not have a plan. A four-page motion is not a plan. This is a student union tactic, which they rehearsed well during the Brexit years. I thought that the departure of the right hon. Member for Islington North (Jeremy Corbyn) as leader of the Labour party might herald a return to serious Opposition politics. To be fair to the hon. Member for Leeds West (Rachel Reeves) and the right hon. Member for Doncaster North, they were part of what was a more serious Labour Opposition from 2010 to 2015. I give them that credit, having done Opposition politics myself from 2009 to 2010. It all started well for them. On Sunday, there was that classic briefing to The Observer about their plans, and a full media round on Monday. It was all looking good until they arrived here today and produced this four-page, 20-clause, student union motion. The first line mentions “households” and “bills”. In the following four pages, there is no repeat of those words. Instead, we have multiple mentions of “motion”, “proceedings”, “amendments” and even the term “dilatory Motion. ” They have completely lost the plot and disappeared into their own world of procedural gobbledegook. The Opposition have no new plan and no new thinking. Their motion does not deserve serious consideration today and should be comprehensively rejected Question put.
ParlaMint-GB_2022-01-11-commons.u387	There is quite a bit of interest in this debate, so may we have some time restraint from the Front Benches in order to allow as many Back Benchers in as possible? I think anyone looking to contribute from the Back Benches should really limit their speaking time to three minutes.
ParlaMint-GB_2022-01-11-commons.u388	I beg to move, That this House recognises the strain that businesses are under following a difficult Christmas period and two years of disruption during the covid-19 outbreak; notes challenges are more severe in some sectors; regrets that businesses are struggling with increasing energy costs, high inflation, low growth and higher taxes as a result of the Government’s long-term failures and lack of adequate support; and therefore calls on the Government to reform business rates, to alleviate the debt burden by allowing businesses flexibility on Government loans and to implement a contingency fund to support businesses with high energy costs Our motion highlights the strain that British businesses have been under over a difficult Christmas period and acknowledges the further challenges that they will face this year. Most of all, I hope that it will facilitate a discussion about what this country needs to allow British businesses to grow and succeed, in order to ensure our and their future success I hope that we can take a moment at the beginning of the debate to recognise the toll that the recent challenging trading environment has taken on many people. When the shadow Chancellor and I met a wide range of businesses just before Christmas, I was struck by the impact of the pandemic on the mental health of many of the people present on the call. The uncertainty and the constant need to reinvent business plans and respond to changing consumer behaviour brought on by the pandemic have taken a toll on many people. The Government’s press conference just before Christmas, in which people were advised not to go out but no support package was offered alongside that advice, was genuinely very difficult for people. It was because of the testimonies we heard that day that we were so insistent that support had to be offered before Christmas. I am pleased that the Government changed course and recognised that additional need I am sure that we will hear from hon. Members in this debate the effect of that short-term pressure on businesses in the areas they represent.
ParlaMint-GB_2022-01-11-commons.u389	Energy-intensive industries, such as those on Teesside, are under the cosh when it comes to the cost of gas, and not just for energy but as a feedstock in the production of a wide range of goods. Does my hon. Friend agree that without action on the highest prices in Europe, on gas transportation costs and on carbon costs, many companies could fail, costing thousands of jobs?
ParlaMint-GB_2022-01-11-commons.u390	I absolutely agree with my hon. Friend, who has put his case as he always does. I will mention energy-intensive sectors later in my speech, but the broader point is that the medium and long-term pressures facing businesses do not look much better than the short-term pressures that they have just come through.
ParlaMint-GB_2022-01-11-commons.u391	rose—
ParlaMint-GB_2022-01-11-commons.u392	rose—
ParlaMint-GB_2022-01-11-commons.u393	I am conscious of your warning, Mr Deputy Speaker, but I will give way to a couple of hon. Friends.
ParlaMint-GB_2022-01-11-commons.u394	Rising energy prices have been described as an existential crisis for small businesses in the hospitality sector. Does my hon. Friend agree that the Government must offer support to businesses in paying their energy bills immediately?
ParlaMint-GB_2022-01-11-commons.u395	Very straightforwardly, yes. We will talk about some of the specific proposals that the Labour party has developed to help alleviate that pressure.
ParlaMint-GB_2022-01-11-commons.u396	Like many colleagues, I visited many small businesses in my constituency just before Christmas on Small Business Saturday. Although they were really pleased with the support, they also described the immense challenges they face and have faced over the past couple of years. High energy bills and inflation are clearly having a big impact, but it is set to get even worse with the increase in national insurance we are expecting in a matter of months. Surely my hon. Friend agrees that the Government cannot expect businesses to keep shouldering extra burdens without putting more support in place.
