ParlaMint-GB_2022-05-16-commons.u1	1. What steps he is taking to support local leaders in regenerating high streets and town centres.
ParlaMint-GB_2022-05-16-commons.u282	Making Britain the best place to grow up and grow old is a big challenge. Ensuring where people are born and raised does not limit their quality of life and life expectancy is an even bigger challenge and one that lies at the heart of the Government’s levelling-up agenda We all know the expression “You are what you eat. ” In Britain, we are trapped in a junk food cycle that means we now consume more highly processed foods than any other European country except Malta and have higher levels of obesity, yet we have had decades—even centuries—of political barriers to good food policy. We often hear cries of “Nanny statism” or “Don’t tell us what to eat. ” The latest Government announcements on delaying the ban on junk food advertising on television before 9 pm and delaying restricting “Buy one, get one free” promotions follow that regrettable trend. As a self-confessed chocoholic, I struggle to resist the temptation to boost my energy levels with a bar of chocolate rather than, so I know at first hand the irresistible pull of promotions and multi-purchase deals. I appreciate some hon. Members believe that attempts to tackle the bombardment of unhealthy food should be postponed so as not to increase the cost of living, but they are wrong. Research shows that promotions encourage people to buy 22% more unhealthy food and drink than intended, and to consume more of it, too. Marketing tactics have a real financial cost, as well as a negative health impact Let us not forget that retailers have other choices. Instead of encouraging customers on tight budgets to spend more on non-essential foods through these offers, they could simply offer 50% discounts or, as some supermarkets have started to do, have a value range of products at affordable prices that covers the basic foods for a balanced diet The political context has changed in recent months, and the Government’s focus is rightly on helping with the cost of living. Although that is a priority, it should not prevent the introduction of these important measures. Any delay will mean more children living with obesity and too many having reduced life chances through ill health. Our constituents will not thank us or forgive us for doing a U-turn on their health Obesity is a national emergency. In England, about 68% of men, 60% of women and more than one in four children aged between two and 15 are obese or overweight. Although this is a nationwide issue, rates of obesity are disproportionately higher among people living in more deprived communities. The statistics for my city of Stoke-on-Trent are shocking: 76.1% of adults in Stoke-on-Trent are overweight or obese. That is the third highest figure of all local authorities in England As the cost of living continues to squeeze household budgets, low-income families are forced to choose the cheapest calories, which are typically the least healthy. The Government must ensure that, when it comes to tackling food insecurity and the cost of living, they introduce policies that make nutritious diets affordable, easy and accessible to families on the lowest incomes There is a pressing need for a good food Bill to set out in law a long-term approach and clear targets for the food system, with better systems for independently monitoring policy. We talk about the need for a resilient food system in terms of supply chains and production, but we need to widen that narrative to one of a resilient population that is both financially resilient to price shocks and resilient in public health terms, such as to pandemics We must not lurch from crisis to crisis. Action on the nation’s obesity emergency needs to start now. I support the right to good food as a fundamental pillar of the Government’s levelling-up agenda. I support a school food standard to ensure our young people have the fuel to learn. I support bringing cookery skills and an understanding of nutrition into the school curriculum at every key stage and through community organisations such as family hubs. I support measures to enable British farmers to produce the food we need, and to enable the food industry to innovate and adapt by incentivising the creation of healthier and more sustainable products. And I support better help within the NHS for people living with obesity, including social prescribing and fair access to bariatric services Good health is a vital ingredient in maximising our quality of life and longevity. Proper nutrition is the foundation of good health. Investment in access to good food will pay dividends both in savings to the NHS and in increased productivity, which will boost the economy and deliver on the promise of levelling up health outcomes.
ParlaMint-GB_2022-05-16-commons.u283	Speaking in last year’s Queen’s Speech debate, I welcomed the Government’s commitment to bringing forward a ban on conversion therapy. A year on, we are no further forward—in fact, we seem to have gone backwards—but I hope to see progress this year I hoped to see a “better business” Bill in the Queen’s Speech, to give us a cleaner, greener and fairer future. Businesses in my constituency are pushing me on this, as they understand how important it is to give businesses different priorities in law. I hoped to see something about that and am disappointed by its absence Talking of better business, I am also extremely disappointed to see no progress on legislating to outlaw fire and rehire, of which P&O Ferries is the latest example. Ministers and Conservative Members said it was absolutely terrible but, when push comes to shove, there is no action to outlaw the practice. That is a huge omission from the Queen’s Speech Instead, we get a promise to bring forward legislation to abolish the Northern Ireland protocol. Whose Northern Ireland protocol was it? It was the Prime Minister’s—he wrote it, he sold it to the British people—and now, once again, he is trying to renege on something he himself wrote. It demonstrates, yet again, that he is a Prime Minister who will say whatever he needs to say to get out of whatever position he is in at the time and then have no sense of responsibility for the promises he has made. I say to the House that this does affect us internationally. Who will do deals with us if he is going to bring forward legislation to break deals that he wrote himself and signed himself only two years ago Of course, the biggest omission at the moment is of any kind of proposals on tackling the dreadful energy crisis we have. Millions of families up and down the country are facing soaring energy bills and ever increasing costs of living. The Government have demonstrated that they have no plan to fix this. Families are paying triple their energy bill, and they need a solution now I was disappointed that the Government have not adopted a one-off windfall tax on the oil and gas giants, and let us just understand exactly why that is. It is because a windfall tax would affect not simply the oil and gas companies—incidentally, as we all know, they have said that with the level of profits they are getting, at several billion pounds a quarter, they would be quite happy to pay it—but the City investment funds and City hedge funds that the current Conservative party, along with Russian oligarchs of course, exists to serve. They are not in their places now, but the Education Secretary, the Secretary of State for Health and the Chancellor all have big City investment fund backgrounds. That is what they know, and that is who they are really defending when they refuse to have a windfall tax. Locally, in my area of Cheshire West and Chester, we are leading the way on alternative and clean energy provision. My hon. Friend the Member for Ellesmere Port and Neston (Justin Madders), who is in his place next to me, and I have been very supportive of HyNet. Actually, I pay tribute to the Government for that particular scheme; they have assisted us. I know that, in his constituency, the Vauxhall Ellesmere Port plant is looking forward to an all-electric future, leading the way on green jobs. That is thanks to him and, again giving credit where it is due, thanks to the Secretary of State. However, I have to say to the Government that any attempts to bring back fracking will be given short shrift in my constituency, and I am very concerned about that On levelling up and transport, I was looking forward to some detail in the new transport Bill, and I will be keeping an eye on what the Government are proposing. At the moment, however, we need proper rail services. My hon. Friend the Member for Ellesmere Port and I are meeting the rail companies this week to try to restore direct services between Chester and London. At the moment, they have gone from 12 a day before the pandemic down to one, and now that has been doubled to two we are asked to be grateful for that. We are hopeful that we might get more services, but of course direct services are essential to economic growth. Instead, we have seen the cancellation of Northern Powerhouse Rail and the scrapping of the High Speed 2 eastern leg, which is a betrayal of the north. It is the same for buses. The Government have turned down a bid for more bus money from Cheshire West and Chester Council, even though Ministers described the bid as “excellent”. I hope the transport Bill will tackle the difficulties we are seeing with bus provision, and give more opportunity for places such as Chester to improve connectivity Finally, it is absurd that the great heritage asset that is the city walls of Chester has to be paid for out of the highways budget, so that money that should be spent on roads, potholes and pavements is being diverted, understandably, to pay for that great heritage asset. We need a separate fund for the walls.
ParlaMint-GB_2022-05-16-commons.u284	I was delighted to welcome the Prime Minister and the Cabinet to Stoke-on-Trent last week to meet local workers, businesses, educators and community groups. Stoke-on-Trent is on the up, and we are determined to deliver an even better place to grow up and grow old. We must now level up cities such as Stoke-on-Trent and seize on the opportunities of Brexit, free from the shackles of Brussels bureaucracy, through the Brexit freedoms Bill. Stoke-on-Trent is a city that has been neglected and held back for decades, but we have so much potential just waiting to be unleashed. Finally, we now have a Government and local politicians who are focused on securing the investment and delivering the improvements our city needs. We must particularly improve our local public transport, which is a barrier to jobs and skills opportunities. In parts of Meir, in my constituency, 40% of households do not have a car. For the rest of the city, the average figure is 30%. The need for rail and bus improvements is desperate, so the big win pledges that we have secured for investment from the transforming cities fund, the bus service improvement plan, the restoring your railway fund and others have been gratefully received, because they remove some of the barriers to better jobs and skills opportunities I was delighted to champion the improvement works proposed for Longton station through the transforming cities fund, and it is time for those funded works to be delivered. Network Rail must start playing its full and properly co-ordinated part in the delivery, which it has not been doing up until recently. I hope that Great British Railways and the transport Bill will help to resolve how we can better deliver the transport improvements needed in cities such as Stoke-on-Trent. In particular, I hope that they will help to address organisations that can hinder progress, as Network Rail has done on the works that we have been doing across Stoke-on-Trent I also call on the Government to announce that our plans to reopen Meir station will proceed—I have been chairing the delivery board for that—and I ask them to continue to support us as we develop our plans for the reopening of the Stoke-Leek line. In building a better city, we are not only making it easier to get around, but reviving historic sites that give our city and our towns their unique character and appeal. I particularly welcome the Levelling-up and Regeneration Bill, which will help us to breathe new life into our towns and high streets The heritage action zones that we have won for Longton and for Stoke town, which is in the constituency of my hon. Friend the Member for Stoke-on-Trent Central (Jo Gideon), and the levelling-up fund pledges for major regeneration sites, including the derelict Tams Crown Works in Longton, are all key to levelling up our communities and breathing new life into our town centres. Our city is becoming the place to invest for digital and creative sectors such as the gaming industry, right at the heart of the UK and spurred on by the massive investment in fibre gigabit connectivity. I was pleased last Friday to visit a site where Openreach is installing such connectivity in Fenton That is alongside improving education to ensure that everyone locally has the ability to access better skills and better-paid employment. The major announcement that Stoke-on-Trent will benefit from the family hubs programme and as a prioritised education investment area will ensure that every young person gets the best possible start in life, particularly in the early years We need to focus on the gaps in engineering and creative skills for the high paid, high-value jobs that we want to attract locally, to fill the gaps that employers regularly speak to me about. I particularly welcome the Government’s lifetime skills guarantee, which offers free training for adults to upskill. That will be significant in places such as Stoke-on-Trent, given the number of adults there without higher level qualifications. The Schools Bill and the higher education Bill can get us on the right track to ensure that young people and everyone in our city achieve their full potential I hope to see some more support for the ceramics industry. There are real concerns about the current cost of energy for high energy use manufacturers, particularly the local world-leading ceramics industry. I know that the Prime Minister is listening, and he did so carefully on his visit last week to Churchill China, in the constituency of my hon. Friend the Member for Stoke-on-Trent North (Jonathan Gullis). I hope that we will not allow other countries to steal a march on the fantastic British ceramics industry. Increased energy costs remain a significant concern for much of the sector, and we must see more support, especially for the SMEs that did not qualify for much of what has been announced thus far.
ParlaMint-GB_2022-05-16-commons.u285	Throughout the pandemic, children and young people have paid a very high price in their liberty, learning loss and mental wellbeing. We had the hokey-cokey of school reopenings and exams inflicted on parents, pupils and teachers, but our young people have shown remarkable resilience and school staff rose to the challenge. Now is the time to recognise those challenges and sacrifices. Now is the time to address the widening attainment gap between the wealthiest and the poorest children. Now is the time to embrace new ways of teaching and learning, as well as to capitalise on new levels of parental engagement. I am afraid that Her Majesty’s Gracious Speech failed our children spectacularly. Only one sentence was dedicated to children or education—yet here we are with the most severe disruption to our schools for two years and crises in children’s mental health and special educational needs and disability The Education Secretary has managed to secure parliamentary time for a schools Bill and he is using that precious time to tinker with school structures—what a waste. This technocratic Schools Bill tinkers around the edges of the management and governance of schools and is not what parents, pupils or employers are crying out for. They want a broader offer that equips our young people with broader life skills and experiences that nurture creativity, build resilience and teamwork, and boost their wellbeing All of us, on both sides of the House, want to see children in school and are alarmed by the large numbers of children missing from school. I am concerned, however, that the Government’s zero-tolerance approach overlooks the needs of children who might be struggling with their mental health or special needs. We need to identify and tackle the root causes of school absence, rather than go for the “all stick and no carrot” approach I hope that the Government will use the clauses in the Bill that relate to the funding formula to reverse the devaluation of the pupil premium. I am proud that that Liberal Democrat policy to support the poorest pupils was introduced when we were in the coalition Government, but it has been cut in real terms by £160 per primary child and £127 per secondary pupil over the past seven years since we left Government. With the attainment gap growing, the pupil premium must be restored to its original value if the Government really are serious about levelling up Time and again in this place, I have highlighted the growing mental health crisis among children and young people. We know that unhappy children are less able to learn, thrive and perform well. Our teachers are overburdened and unable to cope with the immense challenges around pupil wellbeing, yet there was no reference in the Queen’s Speech to the urgent action that we need. I suggest that we need an urgent children and young people’s mental health recovery plan. The Secretary of State for Health and Social Care is here, and in the same way that he has focused on the elective care backlog, I implore him to come up with a similar plan on children’s mental health, because it is desperately needed. We would not ignore a child with a broken leg, yet too many children who are mentally unwell cannot cope without access to the help and support that they need. Liberal Democrats are calling for a dedicated, qualified mental health professional in every school Finally, there was no reference to catch-up funding either. The Sutton Trust found that more than two thirds of primary heads are struggling to help children due to a lack of catch-up funding. Schools in my constituency are drawing on parental donations to support children with catch-up. This is a political choice. People may no longer want to talk about the pandemic, but its impact on our young people and our economy will be felt for decades if the right investment is not forthcoming I call again on the Government to step up and provide the full £15 billion of catch-up funding that was recommended by their adviser, Sir Kevan Collins. The Education Policy Institute said that the cost to the economy of lost learning could run into the trillions—I repeat, the trillions—over the next 80 years, and that is based on OECD data. That is many times the return on investment of key infrastructure projects, if the full £15 billion catch-up funding is committed. Let us start treating our children—the future generation on whom we will all be reliant one day—as an investment and not as a cost. Sadly, the Queen’s Speech has largely ignored them.
ParlaMint-GB_2022-05-16-commons.u286	May I take this opportunity to say a great deal of thanks from my constituency to the Queen for her service over almost 70 years, as I may not get that chance going forward The subject of today’s session is making Britain the best place to grow up and grow old. Two and a half years into my service as the MP for my constituency, I thought that it would be worth touching on a few things that are trying to move that plan forward We have had millions of pounds for Hinckley Academy to make sure that we have education that supports our local children. We have had £19.9 million for Twycross zoo to create a conservation and education centre to breed the conservationists of the future. We have had £28 million for internet for Leicestershire, which means that 330 houses in Sketchley Brook in Burbage now have better, faster internet access. We have had £1.8 million to improve Hinckley high street and ensure that people go there and want to enjoy it, whether they are a child or an OAP. We are working on improving the A5, which is vital infrastructure for our constituency for people to get to their jobs: £20 million has been invested and we moved through decision point 1 in March. I am keen to see that go forward Most importantly, £7 million has been put towards Hinckley hospital, with another community diagnostic centre coming and a plan that is ready to go. I am dead keen to make sure that there is no red tape in its way, because it puts Hinckley on the map and provides the service that we need for our community of children, adults and OAPs. That is what it is all about In the three minutes that I have left, I want to focus on two subjects: planning and the Online Safety Bill. I have heard the Secretary of State for Levelling Up, Housing and Communities use the acronym BIDEN for the five crucial points of planning: beauty, infrastructure, democracy, environment and neighbourhoods. I put it to him that he has missed a trick there, because “INBED with Gove” would be a far better selling point. However, the principles are right: we need the right homes, in the right place, with the right infrastructure that is right for our environment. That is fundamental to our planning system, but the current system does not deliver it. My constituency typifies that, because under the Lib Dem borough council we do not have an up-to-date local plan, which means that every single day we are open to speculative development without that infrastructure, without those amenities and without that support I am pleased that the Queen’s Speech is bringing forward planning change. That should concentrate on strengthening neighbourhood plans and localism in action, especially for those without an up-to-date local plan. The infrastructure levy is important for getting funding up front for the amenities that we need: the roads, the GP surgeries, and the schools. All those things need to be rectified, so I am glad that change is being introduced. Of course, there is also the question of building out. Developers getting the land is one thing, but using it is another. We need houses for young people and their families to aspire to, but we also need houses for our pensioners to retire or downsize to, and we need to provide support for them I come at the Online Safety Bill through my work on body image. There are two fundamental things that I would like to see in the Bill. First, there needs to be a legally named person for the algorithm. We have safeguarding leads in schools, we have Caldicott guardians in health and we have GDPR controllers. On our social media and on the internet, the algorithm is fundamental, so naming someone who is accountable would mean that anyone in this House or in this country could hold the big companies to account. That is imperative in lifting the bonnet to see what is underneath and what is driving the content that all of us—children or adults—are served. Secondly, we should allow people to choose to be served verified authentic images. The technology exists. We are allowing people to choose anonymity, so why do we not do it with authenticated images? Those two little changes would really make sure that we grow up and grow old in the best of Britain.
ParlaMint-GB_2022-05-16-commons.u287	There has already been quite a lot of discussion about waiting lists, but I want to talk about another aspect of the situation. Waiting times for mental health services continue to be chronically oversubscribed, if people are actually deemed ill enough to be referred to them in the first place. If I may, I will give just one example of what that means for the person who is waiting I have a constituent who was advised in 2020 that she was displaying signs of post-traumatic stress disorder and emotionally unstable personality disorder. She was accepted on a dialectical behaviour therapy treatment course with a two-year waiting list. Of course, the wait has been exacerbated by covid. However, in the second year of waiting there has been no update whatever from the mental health trust, so my constituent is just left waiting and wondering how much longer it will be before she receives any treatment at all. Of course, as the MP’s office we have been chasing the trust as well, but we have not heard anything either. This is a really appalling way to treat some of the most vulnerable people in our communities I join my hon. Friend the Member for Bradford South (Judith Cummins) in what she said about dentistry. In my area, waiting lists are in their thousands, with one practice citing a waiting list of more than 3,000 people. One constituent contacted me because of the pain she was experiencing. She described her attempts to register at a practice as a fight, which I think sums up the situation perfectly. In the last six months of 2021, I was contacted by dozens of different constituents, all of whom were contacting me on behalf of their families as well as themselves. It is well documented how challenging the issues dentists face in relation to the unit of dental activity, which does not encourage dentists to take on new patients and accommodates only 50% of the population. That, in effect, means we start from a position where the Government know many people will be denied access to dental care but have consciously and deliberately accepted that their policy will leave many people either forced to carry on in pain or seek treatment from the private sector. The whole system is in desperate need of reform Of course, we cannot have a debate on the NHS at the moment without having regard to the impact of covid, but we should not just limit it to covid. People suffering from long covid remain a huge issue. Recent reports suggest that the number of people seeking help for long covid is in the region of 1.8 million—a huge number. It has been reported that some sufferers are waiting so long for help that they are taking advice on buying their own oxygen to help with their breathlessness, while others are seeking advice on accessing private healthcare because they cannot get anything from the NHS. That is the nub of the issue The pattern in just about every aspect of healthcare—surgical procedures, mental health support and dental treatment—is that people are finding the system they have paid into all their lives is no longer there for them. The founding principle of universal healthcare free at the point of use, which is supposed to be the bedrock of the NHS, is under threat. That will lead to privatisation by default and we will be all the poorer for that I want to say a little bit about the cost of living, because every indicator I see shows that things will get much worse before they get better: interest rates, inflation, energy bills and food bills. We are on the cusp of a tsunami that will send many people under. I will not even start to talk about the complete failure to support British agriculture and get crops planted in the ground, which will cause us problems next year. For many, the point of destitution has already arrived. I am sorry to say that the number of people I see in that situation, because they have already gone through all the emergency assistance agencies and have had their quota for the year, shows me that there is a real problem and that the state is not offering any solutions. Telling people to get a better paid job or work more hours is just patronising nonsense that just shows how out of touch this Government are In those circumstances, it is shocking that on the most pressing issue, which requires urgent action—that is, the cost of living—there is nothing in the Queen’s Speech. There is nothing to give families the security they need. I do not see the objection to a windfall tax on North sea oil and gas profits. The clue is in the name: windfall. The companies were not expecting that money, so it cannot be the restraint on investment that some would claim it to be. Such a tax would make a huge difference to my constituents. In my constituency alone, 12,500 families would see £400 off their bills as a result of a windfall tax. We should really continue to push for it In the end, we have a whole system where public services are being rowed back. Many constituents see their transport network decaying, public services decaying, local councils starved of resources and town centres closing down. There is so much more we need to address. I am afraid that, for me, the Humble Address fails to do that.
ParlaMint-GB_2022-05-16-commons.u288	It is a pleasure to follow the hon. Member for Ellesmere Port and Neston (Justin Madders). I congratulate him on Ofgem’s recent announcement that Ellesmere Port, as well as Redcar, will progress to stage 2 of the hydrogen village trials Today’s debate is on making Britain the best place to grow up and grow old, and we are doing just that. However, the Queen’s Speech must be viewed in the context of a war in Europe and a growing energy crisis, which is why the energy security Bill is one of the most important Bills in the speech. Defence and energy security go hand in hand. Putin has been emboldened because of Europe’s collective reliance on Russian gas and he uses it as a weapon, as can be seen in his rash reaction to Finland’s desire to join NATO. Not only will our energy Bill enable us to achieve energy sovereignty in a dangerous world, but it moves us further along the path to net zero and creates thousands of jobs in the process, in places such as Teesside In Teesside, we are quickly becoming the centre of excellence for green technology through: offshore wind; the world’s first industrial-scale carbon capture utilisation and storage project; hydrogen production, with 5 GW of hydrogen planned and the hydrogen village trials that I mentioned a few moments ago; and, of course, our nuclear power station at Hartlepool. It was commissioned in 1983, a whole 10 years before I was born. Only three power stations have been commissioned in the UK since then. In the 13 years of the Blair-Brown Government, not one new power station was constructed and six were decommissioned. New Labour turned its back on new nuclear, and we are righting its wrongs with a new power station every year for the next decade. This Queen’s Speech will help us to address that great national challenge, ensuring that our critical infrastructure remains future-proofed to the evolving needs of the 21st century Investment in infrastructure is a key signature of this Government’s commitment to levelling up, but I think we can go further. I look particularly to HS2, which currently has no commitment to using UK-sourced steel in its construction—that is wrong. It is nonsensical to have a situation where every few years the steel industry finds itself in further hardship and us MPs with steel constituencies go knocking at the Treasury’s door. Surely a better use of taxpayers’ money is for procurement rules to benefit foundation industries in the UK over international counterparts, and I hope that that is what the Procurement Bill allows. It is not an excuse for UK industry not to be competitive in its pricing, but we should acknowledge in any procurement decision the economic and social value that investment in UK industry brings and the levelling-up effect that such investment can have The purpose of our levelling-up programme is the next generation, which is why this Government are also investing in a world-class schools system to deliver the high-quality education that our young people deserve. The Schools Bill will absolutely set us on a path to achieving that. In Redcar and Cleveland we have made great strides under this Government to invest in our local schools, particularly at a primary school level, with more than £20 million invested to revitalise the 48 primary schools over the past decade, and Newcomen Primary School remains one of the best in the country. Despite that, more still needs to be done to ensure that every child has the education they deserve; in my part of the world that particularly relates to our secondary schools and I hope the Schools Bill will help to achieve that Finally, I wish to thank the Government for bringing forward the conversion therapy Bill again. I speak as a gay Christian who cannot wait for this Government to finally outlaw conversion therapy. Everyone, LGBT or otherwise, deserves to grow up and grow old being who they are, without the threat of disgusting, outdated and, I hope, soon-to-be criminal practices labelled as “conversion therapy” We are three years into this Prime Minister’s leadership. We have faced the biggest political challenge in the post-war era with Brexit and the single biggest health challenge in 100 years with covid. We now face the dual challenge of our energy security and war in Europe once again. This Queen’s Speech demonstrates our willingness to tackle the big issues of the day—becoming energy secure while levelling up across the whole of the UK. We have been tasked with delivering on the people’s priorities, and we are doing just that.
ParlaMint-GB_2022-05-16-commons.u289	I welcome the legislation to protect access to cash, which is a lifeline for many of the most vulnerable and one of the best budgeting tools there is. However, it needs to be enacted speedily, as closures are happening daily and the more there are, the more difficult and costly it is to reverse them. There needs to be statutory regulation for shops to offer cashback. It is a service offered by many but it could be withdrawn at any time at the moment. Shops also need to be forced to accept cash; people who choose to budget that way should be able to spend where they wish I also welcome the regulation to force banks to reimburse the losses through the push payment scams. Enforcement and tough penalties will be key, but I would also like to see transparency, so that customers can see how quickly and how many people banks reimburse on this aspect, and they can then choose their banks accordingly. More needs to be done to protect consumer rights, and not just by giving the Competition and Markets Authority new powers to fine firms that break the rules. We need to ensure that consumer review groups are consulted on all changes made to consumer protection, particularly when any EU laws are scrapped. We do not want a reduction in standards. There also needs to be a new duty and a clear remit for the Financial Conduct Authority to have regard to financial inclusion, and ensure that consumers are not excluded from products and services by the poverty premium Many comments have been made about people using food banks because they cannot budget or cook a meal from scratch. Both in my own experience and in 23 years dealing with people in debt and on low incomes, I have not found that to be the case. In fact, I have found quite the opposite, and I will give the House a little of my own experience to demonstrate that When I was left alone with a very young child, I did find a job very quickly. It was not very well paid, but I could manage if I was careful and if there were no unexpected bills, which are often the tipping point causing people to get people into debt. I got up at 6 am, got my daughter—who was 18 months old—ready for the childminder, prepared breakfast, drove 30 miles to work because there was no suitable public transport, did a day’s work, drove home, gave my daughter tea, bathed her and put her to bed. At 8 pm I thought about my tea, and prepared for the next day. That was what happened on every weekday; weekends were spent tidying, washing, and trying to spend some time playing with my daughter When people are doing that week in, week out, it is no wonder that they have little time or energy to prepare meals from scratch every day, or batch cook every weekend. I certainly did not. It is no wonder that people resort to frozen convenience food or, heaven forbid, a takeaway instead of a rushed sandwich. There is a saying about not judging people until you have walked a mile in their shoes. My work in a citizens advice bureau brought that home to me, and I think we would all do well to remember it There are now 2.1 million people a year using food banks to survive. It has been said that throwing money at the problem will not help, but actually it is probably the only thing that will help, as too many people have too little income to pay bills and eat and heat. A windfall tax is one possible measure; reinstating the £20 uplift to universal credit and a moratorium on deductions from benefits which leave people well below the poverty line would also help. Undoubtedly, however, there will be an increase in demand for debt advice, and an increase in the number of people who have no disposable income to pay their creditors I should like to know what discussions the Government are having with both businesses and their own Departments about the treatment of people who have no chance of paying off their debts owing to lack of income. According to the Joseph Rowntree Foundation, nearly 4 million low-income households are behind with essential bills, rent or debt payments, up threefold since the pandemic. What measures are being considered to help these people? Perhaps we should listen to Jubilee Debt Campaign and write off some of those debts. There is no point in leaving people in constant debt. All that that is doing is building up mental health problems and ill health generally and placing more and more pressure on the support networks. The Prime Minister promised to bring his full fiscal firepower to tackle the cost of living crisis. Given their performance so far, these measures have proved a pretty damp squib for most of my constituents.
ParlaMint-GB_2022-05-16-commons.u290	Today’s theme is “Making Britain the best place to grow up and grow old”. As I am still clinging desperately to my 20s, I will focus on the growing-up side of things; and as a north-east MP, I will also focus on my region and my own fabulous constituency We know that there are talented kids throughout our country, in every single community, but for generations—and, unfortunately, because of the actions of successive Governments—too many ambitious, talented young people feel that they have to move away from their home towns to chase their jobs and their fortunes. The Government are already making progress in that regard, particularly in our region. We see swathes of high-quality jobs coming to Darlington, thanks to the opening of the new Treasury and Department for International Trade campuses, but also as a result of the success of Ben Houchen, the Tees Valley Mayor, empowered by Government policy on devolution and on freeports. That has brought high-quality, highly skilled, highly paid jobs to our region, well within commuting distance of Bishop Auckland However, this is not just about jobs. We need town centres with diverse shops, enjoyable leisure activities and a vibrant night life for the whole town to enjoy. On this, the Government are helping pretty well. In Bishop Auckland, as well as the levelling-up fund, which is delivering much-needed infrastructure improvements to the A68 at Toft Hill and Whorlton bridge, we are also the proud recipient of towns fund investment. Since I became MP for Bishop Auckland there has been over £70 million of direct funding into Bishop Auckland to deliver tangible improvements to our town centres, attracting private investment and creating job opportunities for our young people. I am delighted that the Queen’s Speech will continue this ambitious plan through the Levelling-up and Regeneration Bill and the non-domestic rating Bill, helping empower businesses, improve our local communities and breathe new life into our high streets, which we all know they need Town centres are the cultural hearts of our communities. In my constituency we are very pleased to have the Bowes Museum and The Witham in Barnard Castle, in Bishop Auckland we benefit from Kynren and the British Auckland food festival, and in Spennymoor we have the Norman Cornish gallery. But it is not just town centres where we have these cultural gems; they also exist further afield, such as the Grassholme Observatory in Teesdale, the Locomotion railway museum out by Shildon and great country shows such as those in Eggleston and Bowes, which I enjoy every summer. If this sounds like a tourism pitch, it absolutely is, because the best way to turbocharge Bishop Auckland and make it one of the best places in which to grow up and thrive is by ensuring County Durham wins UK city of culture 2025. Let me rephrase that, because we do not want to be the city of culture; we want to be the UK’s first ever county of culture. I hope Ministers on the Front Bench today will send this message to the Culture Secretary, because we know what city of culture status can do in unlocking opportunities for tourism and advertising that County Durham is open for business Being the best place to grow up also means not living in fear of crime and in communities riddled with antisocial behaviour; we will all know about that from our own communities. I am very pleased that County Durham is already seeing its share of 20,000 new police officers; they are some cracking people and I thank them wholeheartedly for their service and engagement with our local communities. However, those unfortunate enough to be victims of crime need to feel that they get both support and justice, and both as MP for my community and chair of the all-party group on one punch assaults I greatly welcome the victims Bill and all it will achieve It would be remiss of me not to touch on the conversion therapy ban. It has been talked about for a long time and I am very pleased to see it in the Queen’s Speech this year, because young people—straight, gay, bi, or trans—should be free to live and love as they wish to and be supported in that by the Government. That means finally banning the abhorrent practice of conversion therapy, not just for under-18s and not just for people who are part of the LGB community, but for everyone—for the entire LGBT community. I certainly plan to continue my engagement with Government to make sure we get the right legislation on this abhorrent practice.
ParlaMint-GB_2022-05-16-commons.u291	Over the last few days of this debate we have heard some harrowing stories from constituencies around the country of poverty, deprivation and destitution—of people living hand to mouth in some of the worst possible scenarios. However, the Secretary of State who opened the debate today seems to have missed a lot of that, because the picture according to the Secretary of State is that this is a place where people get more than enough opportunities, where young people have never had it so good, where every school is funded exactly as it should be, and where the health service is operating as it should. I have absolutely no idea what parallel universe the Secretary of State is living in It is fine to talk about opportunities, but what about the obstacles people face before they get to those opportunities, the biggest of which is poverty? Let us be clear about this: poverty did not arise a few months ago with the cost of living crisis. Poverty has been worsening over the past 12 years because of an ideological austerity agenda by the Conservative Government that has devastated our communities. This is the reality of where we are At a time when people are facing some of the worst challenges ever, we see Conservative Members, even a Minister, going on national television saying that people should budget better and work more hours, as if that is the reason they are poor. When is the last time that Members met anybody who chose to be poor? When is the last time that we heard a child who was born in poverty say, “You know what? Actually, I am glad that I was born in that household. ” I urge the Secretary of State to come to Bradford. Our young people are full of aspiration and full of ambition, but, tragically, the media does not give Bradford an easy ride. Frankly, I am fed up with the media’s unfair image of Bradford and of our young people. We are a vibrant city, with a young population. What we lack is the opportunity Earlier today, the Secretary of State stood at that Dispatch Box and told me, my constituents and the people in my district that, somehow, we do have that opportunity. The reality is that he could have used his time differently in this Queen’s Speech debate. Conservative Members know that. Those who represent constituencies with poverty and deprivation will know inside themselves that this Queen’s Speech is a missed opportunity. It does nothing to provide opportunity to young people in Bradford. It does nothing to address the health inequalities. A person living in the inner cities of Bradford is likely to live 10 years fewer than if they lived in an affluent city suburb. That is the reality. When it comes to educational attainment, a person from Bradford is likely to achieve a lot less than if they lived in a rich leafy suburb. That is the unfairness. Those are the barriers that we are talking about If the Secretary of State for Education, who spoke earlier today, and the Health Minister, who will close the debate, want to address these inequalities, they have missed that opportunity. They should listen to our suggestion. We need an emergency budget to address the destitution that is rife in our country. Poverty is a political choice, and the people of this country will remember the choice that the Government have made.
