ParlaMint-GB_2022-02-04-commons.u1	I beg to move, That the House sit in private Question put forthwith (Standing Order No. 163)
ParlaMint-GB_2022-02-04-commons.u124	I congratulate my right hon. Friend the Member for North Somerset (Dr Fox) on introducing this Bill, which has huge support across the House. Does the Minister agree that, when the Bill passes, it will be an example for the communities that suffer from other genetic and chromosomal disorders and learning disabilities? They might not be as common or as well known as Down syndrome, but they are no less impactful on those families.
ParlaMint-GB_2022-02-04-commons.u125	My hon. Friend makes a very good point, which has been raised by my hon. Friend the Member for Stourbridge (Suzanne Webb) and my right hon. Friend the Member for Scarborough and Whitby (Sir Robert Goodwill), who have previously mentioned specific genetic conditions. We will definitely consider overlaps and linkages between these conditions and Down syndrome through the consultation on the development of the guidance. Even though, as has been stressed many times, this Bill is specifically drafted to increase its chances of being passed, many groups will benefit from the work to develop this guidance I also thank my right hon. Friend the Member for North Somerset for the two amendments he tabled in Committee to ensure that the guidance is laid before Parliament on publication and to amend the Bill’s long title. I was pleased to accept both amendments on behalf of the Government. Laying the guidance in Parliament, as my very experienced right hon. Friend explained, will ensure it has the proper scrutiny I also thank my right hon. Friend, other hon. Members and stakeholders for providing invaluable feedback, on Second Reading and in Committee, on ensuring the implementation of the guidance in practice. Of course, the guidance must be acted upon for us to see real change for people with Down syndrome. That is why we have committed to having a named lead on integrated care boards who will be responsible for the implementation of the guidance in practice. The named lead will ensure that the right services are in place at local level and that people with Down syndrome are able to access those services. That will be a much-needed voice. We are determined that the guidance will be implemented fully and as intended at local level. This will lead to tangible improvements in the lives of people with Down syndrome, and I am personally very committed to that At the heart of the Bill is guidance for the relevant authorities—local authorities, and education and health authorities. I am clear that to ensure that the guidance is fit for purpose, we will consult widely and in an open and inclusive way. We will seek views from people with Down syndrome and their families, from the voluntary sector and from others who support people with Down syndrome to ensure that it reflects their needs and experience. We will work with stakeholders to ensure that the guidance remains fit for purpose. This is a real opportunity, and we do not intend to miss any aspect of it Once the guidance is published, the Government will keep it under regular review and update it periodically. As I said, we also recognise that people with genetic or chromosomal conditions other than Down syndrome may experience similar problems to people with Down syndrome, so we will definitely look at that and consider how the guidance can help some of those groups more broadly during the process I know from the debates during the passage of the Bill that employment is a really important consideration, on which we have not done well enough to date. We will continue to explore any steps required to make sure that people with Down syndrome who want to work can find work that is right for them. Fundamentally, we must make sure that people with Down syndrome maintain good health and receive the right education to support their transition into work. The Bill is an important and meaningful way of achieving that aim. It will provide those lasting foundations for people with Down syndrome to be successful Additionally, we are delivering a wide range of employment initiatives, such as dedicated disability employment advisers at our Jobcentre Plus sites. All these schemes, including the Access to Work fund and so on, will help to ensure that people with a learning disability have better opportunities in the workplace. Again, that is something that I am personally committed to.
ParlaMint-GB_2022-02-04-commons.u126	I thank my hon. Friend for the plans that are being put in place, but are there plans to ensure that people who work in the Department for Work and Pensions have the relevant training to understand the specific needs of people with Down syndrome and to help get them into work?
ParlaMint-GB_2022-02-04-commons.u127	I regularly meet the Minister for Disabled People and the Minister for Employment—the three of us are often together—to talk about how we can optimise opportunities for many people across our society, but particularly those with learning disabilities. The numbers are not good enough, and we know that we have more work to do. As I said in Committee, I will return to the issue of employment in developing the Down syndrome statutory guidance. We know that good work helps people to live happier, healthier and more independent lives On scope, as healthcare, education and housing are devolved matters, the Bill and guidance will cover England only. However, I know that there is real commitment to improving outcomes for people with Down syndrome across the whole of the United Kingdom, and I look forward to working with my counterparts in the devolved Administrations as we develop the guidance so that we can ensure that there is consistency of approach and inclusion for people with Down syndrome across the whole of the UK It has been a pleasure to work with my right hon. Friend the Member for North Somerset in supporting the Bill on behalf of everybody with Down syndrome and their families, including my own. Its passage so far represents the very best of the parliamentary process, with MPs working together cross-party for a common purpose. I very much look forward to the Bill’s successful passage through the Lords, which Lord Kamall will oversee. He will have heard the pleas from many Members about timing, to try to coincide with World Down Syndrome Day on 21 March. I commend the Bill to the House.
ParlaMint-GB_2022-02-04-commons.u128	With the leave of the House, may I say what an absolute joy it has been to find this bolthole of consensus in the psychodrama that seems to be British contemporary politics? I thank colleagues for their very kind words today; to get to this level of flattery in the House of Commons, one normally needs to be dead. [Laughter. ] I remind colleagues of the point made by my hon. Friend the Member for North Devon (Selaine Saxby) that this Bill is not about a medical condition, Down syndrome, but about people with Down syndrome, who have a right to dignity and individuality and to make the choices for their own lives that we all take for granted I want to thank the many people who have made today possible. I thank the National Down Syndrome Policy Group, and all the other voices in the Down syndrome community, including the carers and families whose input has been invaluable. I thank the officials at the Department of Health and Social Care, who have done outstanding work behind the scenes to bring us to the point that we have reached today. I especially thank the Minister. We have been so lucky to have a Minister in the shape of my hon. Friend the Member for Chichester (Gillian Keegan). Not only is she an outstanding Minister in her own right, but her family background and understanding of the issue have been crucial in helping to provide the necessary momentum within Government. Indeed, I thank the Government as a whole, and in particular the Secretaries of State who signed off the two very important amendments. I am sure that they entirely understood the precedents they were setting, and it was therefore—as they would say in “Yes, Minister”—all the braver of them to do so I thank my own staff in the House of Commons, and I thank my constituency assistant Annabel Tall, who began much of this process when she brought her son Freddie to see me at my constituency surgery, shedding light—many colleagues will have had this experience—on the difficulties that parents can have in fighting fire on so many fronts on behalf of those whom they love. I hope that means that in some sense we have gone full circle today I thank all colleagues for their support, for their contributions, for the encouragement that they have given, and for their advocacy of this whole process in the House of Commons, in the constituency and in the media. It has been a real example of what we can achieve together—and that includes the all-party parliamentary group on Down syndrome, which provided so much support None of us are passengers in our own lives or in the society in which we live, and change is always within our grasp if we choose to seize it, especially those of us who are in the uniquely privileged position of being able to make the laws in our own country. I thank all those who have chosen that path today. The real heroes of this debate, however, are not those in the Chamber or those who make the laws pertaining to Down syndrome, but all those who have fought, struggled, and overcome the challenges that they have faced without our help for far too long Question put and agreed to. Bill accordingly read the Third time and passed.
ParlaMint-GB_2022-02-04-commons.u129	I am delighted to say that the Ayes have it.
ParlaMint-GB_2022-02-04-commons.u130	I beg to move, That the Bill be now read a Second time It is a great pleasure to introduce the Bill. Its proposals are not really novel, because co-funding and co-payment within our national health service already exist. Indeed, the NHS website, under the heading “When you need to pay towards NHS care”, states: “Patients often need to pay towards the cost of: prescriptions dental care eye care wigs and fabric supports” It goes on to say: “The money raised helps fund the NHS. ” The payments in respect of those items are co-payments. Sometimes they are fully funded by the individual, sometimes partially funded, and sometimes there are exemptions, but the money raised from the co-payments then goes into co-funding, and it helps to fund the NHS. Of course, other items could be added to that list It is necessary to pay towards NHS care when it is described by some bureaucrat as social care and not healthcare. We know that an enormous amount of bureaucratic time is taken up with trying to argue that people are not in receipt of continuing healthcare, but are actually in receipt of social care. If they were in receipt of continuing healthcare, they would not have to pay for it—it would be free—but because it is deemed to be social care, they have to pay towards it either in full or in part under the system that is in place. The Government have now said that they wish to bring together the health and social care sectors. If they are to do that, then surely they need to be thinking through the issue of means testing and co-funding and co-payment as it relates at the moment to social care If we are to have this system, let us make sure that it works. This NHS document makes it clear that a person is not allowed to pay towards the NHS in various other sectors. Why are they are not allowed to pay towards the NHS? Our NHS is, by all accounts, still short of resources. Why do we not do everything in our power to encourage more contributions towards healthcare in this country from private individuals? Is that not a reasonable objective? It seems as though the NHS policy is to prevent people contributing towards their own NHS costs unless they fall into the categories to which I have referred. That is really the essence of this debate. I will not be able to get this Bill on the statute book in the next quarter of an hour, but I hope that I will be able to open up a debate that has been closed for far too long.
ParlaMint-GB_2022-02-04-commons.u131	No, I will not give way. I just want to make my point Today is World Cancer Day. This morning, the Secretary of State launched a new document, talking about a 10-year plan for cancer. That reminds us that the NHS is free at the point of delivery, but it is not often free, or even available, at the point of need. Those are two separate propositions. Often, when people talk about how wonderful our NHS is, they omit to point out that, very often, the NHS is not available at the point of need. That is highlighted by the fact that there were 50,000 fewer cancer diagnoses across the UK during the pandemic, and that, during that time, NHS cancer treatments fell by some 6%. We have information now that compares OECD figures, and it shows that, in the United Kingdom, in 2019—before the pandemic—the rates of fatalities from cancer were 216 per 100,000 people. In the United States, which has a very different system from ours, it was 178 per 100,000 people. In Australia, it was 180 per 100,000 people, and, in Mexico, it was 118 per 100,000 people. The OECD average across 38 countries was 191, so we are an outlier in this country with our NHS in having much higher death rates from cancer than comparable economies and, indeed, much higher death rates than economies that are much less successful economically than our own We also have a pretty poor show in terms of diagnostics. We have fewer diagnostics with computerised tomography, magnetic resonance imaging and positron emission tomography scanners—CT, MRI and PET scanners—than the average OECD country, by which I mean the 38 countries to which I have referred. The average in the OECD is 45 scanners per 1 million population. In this country, it is only 16 per 1 million population. Is that not a scandal? When we look at the gargantuan waste within certain aspects of the NHS machine, it brings home the gravity of those figures and why we need to draft more resources into the NHS, including resources from the private sector.
ParlaMint-GB_2022-02-04-commons.u132	Will my hon. Friend give way?
ParlaMint-GB_2022-02-04-commons.u133	Wait a moment That could include, for example, all those facemasks with ear loops that had been ordered at a cost of £155 million. If the NHS did not want them, because it insists on having better-quality facemasks with head loops, surely it could have sold them off to try to get some income from the private sector, but it did not: it just wrote that money off. Similarly, because of an official error in drawing up the specification for hospital gowns, it wasted £70 million on them There is no reason to be complacent about the state of our NHS. That is not to say that there is not some fantastic work carried out by people who work in the NHS across the country. In many respects, the NHS is a centre of excellence.
ParlaMint-GB_2022-02-04-commons.u134	Will my hon. Friend give way?
ParlaMint-GB_2022-02-04-commons.u135	No—I am just coming on to a constituency case, and my hon. Friend may be able to intervene on this point I do not know whether the person in question knew I was raising this matter in the House, but at 8.19 am today I received a letter from a lady whose mother is one of my constituents. She says, “My mother has avoided Covid for two years by staying home, she is going to be 81 tomorrow. She had urgent surgery on Monday on her spine. She now has COVID. Everything I have heard about her treatment by all at the hospital is dreadful. She is currently sharing a ward with people who are all being sick. ” She then makes some rather rude, disparaging remarks about the NHS, which I will not share with the House, and says: “I know there is an option to go private, but let’s face it that’s for the wealthy upper class”, and asks why we do not give people more choice without having to bankrupt them. She goes on to say: “Is anyone in the UK seriously looking at the state of the NHS and working to make real, positive change Thanks and Regards” She is saying that we must not be complacent. We must start addressing those very real concerns I am conscious of time, so I will refer to an answer I received on 2 February from my right hon. Friend the Minister for Health. The question was: “how many staff in his Department will be permitted to work from home after 1 February 2022; and if he will make a statement. ” I think there is a lot of concern that some staff in the NHS are not at their posts and are working from home when they should not be What answer did I get “The Department is transitioning to a new model of hybrid working. Staff are expected to work partly in the office and partly from home, with a minimum of four days a month in the office unless there is a business or wellbeing reason not to do so. ” A minimum of four days a month in the office? I thought at first I had misread it, and they were talking about a maximum of four days a month working from home. How is it that our NHS, which we are told is the envy of the world, can manage with so many of its staff working from home rather than from their workplace What is this new model of hybrid working and why are we transitioning to it? Why has nothing been done before? If we had had action before, perhaps so many of my questions to the Department of Health and Social Care would not have gone unanswered—for example, a question due for answer on 5 January. I am delighted to see the vaccines Minister on the Front Bench. The question was: “To ask the Secretary of State for Health and Social Care, how many (a) deaths and (b) adverse reactions have been officially recorded against covid-19 vaccinations; and how many have been examined to establish the cause and/or trigger. ” That is a fundamental question to which the Government should have an answer. Now, however, a month later, on 4 February, the question that should have been answered on 5 January has still not been answered. If some of those staff had not been working from home, perhaps they might have got round to answering that question Another question that was due for answer on 5 January was: “To ask the Secretary of State for Health and Social Care, for what reason his Department has taken over responsibility from covid-19 vaccine manufacturers for negligence claims arising from their vaccines causing serious illness or death; and when he plans to return producer liability to those manufacturers. ” Again that is an example of where, if the responsibility is taken away from the manufacturers, the taxpayer will end up footing the bill. Have we had an answer to that question due on 5 January? No, we have not. My final example of the consequences of too many people working from home and not answering questions from parliamentary colleagues is: “To ask the Secretary of State for Health and Social Care, pursuant to the Answer of 21 December 21 to Question…on Coronavirus: Immune Thrombocytopenic Purpura, what steps his department is taking to investigate the 427 suspected cases of major thromboembolic events with concurrent thrombocytopenia; and if the Government will make it its policy to those affected by those suspected cases of the availability of the Vaccine Damage Payment Scheme. ” I have not had an answer to that either, even though it was due on 13 January and is directly relevant to all the issues about vaccine confidence that many hon. Members take very seriously Not long ago, an article was published in the British Journal of General Practice, “Patient co-payment for general practice services: slippery slope or a survival imperative for the NHS? ” , that asks: “Is universal zero cost at point of general practice care a time-expired and unaffordable NHS sacred cow? Is it time to question the unquestionable? ” In a sense, that is what the Bill does: questions what has, hitherto, been unquestionable The article continues: “International observers of the NHS note increasing despondency within the general practice workforce,”— and not just within the workforce, but among their patients— “with much talk of a broken system tracking an unsustainable trajectory. The increased patient demand is exacerbated and compounded by the burdensome opportunity and transaction costs of a powerful, centrally orchestrated, and financially-incentivised framework. This framework is designed to drive (or buy) ‘quality’ through a complicated and time-consuming matrix of accountability measurements. As the columns of this Journal and many others…have detailed, the combination of increased demands from patients and an onerous system of accountability has led to widespread and serious workforce stress, demoralisation, and flight to early retirement. ” The article then describes the situation in New Zealand, where it says: “There is strong support from general practice to retain co-payments both as a mechanism to manage demand and as a way to encourage self-management of minor ailments. ” Why are we not considering that in the United Kingdom? We know that GPs are under enormous stress and that people feel deterred from going to the GP or that their GPs refuse to see them, which is contributing to the examples of undiagnosed cancer that I referred to earlier.
ParlaMint-GB_2022-02-04-commons.u136	Will my hon. Friend give way?
ParlaMint-GB_2022-02-04-commons.u137	I will not, because I am afraid that there are only 30 seconds left. I hope that this short speech will open up a proper debate on a really important issue. We cannot keep ducking it.
ParlaMint-GB_2022-02-04-commons.u138	It is a pleasure to talk about my love for the NHS. I was born with a cholesteatoma in the right ear. Thanks to the NHS, I was able to be seen at the age of seven, which meant that the bones that had deteriorated in my inner ear—
ParlaMint-GB_2022-02-04-commons.u139	Object Bill to be read a Second time on Friday 25 February. Public Houses (Electrical Safety) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u140	Object Bill to be read a Second time on Friday 18 March. Mobile Homes Act 1983 (Amendment) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u141	Object Bill to be read a Second time on Friday 25 February. Flooding (Prevention and Insurance) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u142	Object Bill to be read a Second time on Friday 25 February. Climate Change Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u143	Object Bill to be read a Second time on Friday 25 February. Public Advocate Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u144	Object Bill to be read a Second time on Friday 18 March. Copyright (Rights and Remuneration of Musicians, Etc.) Bill Resumption of adjourned debate on Question (3 December), That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u145	Object Debate to be resumed on Friday 25 February. NHS England (Alternative Treatment) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u146	Object Bill to be read a Second time on Friday 25 February. Public Health (Control of Disease) Act 1984 (Amendment) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u147	Object Bill to be read a Second time on Friday 25 February. Caravan Sites Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u148	Object Bill to be read a Second time on Friday 25 February. Public Sector Exit Payments (Limitation) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u149	Object Bill to be read a Second time on Friday 25 February. Regulatory Impact Assessments Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u150	Object Bill to be read a Second time on Friday 25 February. Illegal Immigration (Offences) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u151	Object Bill to be read a Second time on Friday 25 February. BBC Licence Fee Non-Payment (Decriminalisation for Over-75s) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u152	Object Bill to be read a Second time on Friday 25 February. Green Belt (Protection) Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u153	Object Bill to be read a Second time on Friday 25 February. Covid-19 Vaccine Damage Bill Motion made, That the Bill be now read a Second time.
ParlaMint-GB_2022-02-04-commons.u154	Object Bill to be read a Second time on Friday 25 February.
ParlaMint-GB_2022-02-04-commons.u155	On a point of order, Madam Deputy Speaker. I do not normally whinge about the Government objecting to my private Member’s Bills, but I wish to on this occasion because on 28 January I tabled a question to the Department for Levelling Up, Housing and Communities asking why the Government’s policy is to object to the Mobile Homes Act 1983 (Amendment) Bill having a Second Reading. The Minister replied on 2 February; I will not read out the first part of his answer, which is not relevant: “The Bill printed on 24 January 2022 set out a new proposal to change the pitch fee review inflationary index from the Retail Price Index to the Consumer Price Index. ” That is, of course, Government policy “We will consider the proposal in detail and make a statement at the Bill’s Second Reading. ” Well, we have had the Bill’s Second Reading today. I proposed the Second Reading of the Bill and, through you, Madam Deputy Speaker, I would like to hear from the Government as to what statement there is. Having seen that answer to my question, I assumed that the statement was going to be, effectively, no objection and that the Bill was then going to be able to get its Second Reading. That has not materialised.
ParlaMint-GB_2022-02-04-commons.u156	I thank the hon. Gentleman for his point of order. I am not sure he is factually correct. The Bill has not had its Second Reading. He introduced the Bill and said, “Now. ” The Government Minister objected. I accepted the objection and asked the hon. Gentleman to name a date for the Second Reading of the Bill, which he did. I think he said 25 February. I might be wrong on that date, but my recollection is that he said 25 February. It is therefore quite clear to me that the Bill will come forward for Second Reading on 25 February I must also say, however, that some Members might not quite, due to their inexperience, understand the concept of an objection to a Bill under the private Members’ Bill process. That does not apply to the hon. Gentleman because he has probably objected to more Bills than any other Member in history.
ParlaMint-GB_2022-02-04-commons.u157	Further to that point of order, Madam Deputy Speaker. I think I have also had more Bills to which an objection has been made than any other Member, but I will leave that on one side. When Second Reading today was blocked, I moved that the Second Reading be put over to 25 February. Normally, no Bill receives a Second Reading, if there is a debate, until after the Government have spoken and after there has been an opportunity for a vote on it. So I had assumed, from the answer I received from the Minister, that the Government were going to make a statement at the—
ParlaMint-GB_2022-02-04-commons.u158	Order. I have heard the hon. Gentleman’s point of order, and I have to correct him. I do not think for one moment that he assumed anything of the kind because he knows this process better than anyone. I will not entertain his point of order any further as it is now 2.38 on a Friday afternoon. The hon. Gentleman has made his point more than once. It will have been heard. We will come back to this matter on 25 February.
ParlaMint-GB_2022-02-04-commons.u159	Colleagues in this House will have heard me speak many times about the problems facing residents living in New Mill Quarter in Hackbridge and the issues surrounding the Sutton Decentralised Energy Network, or SDEN. Before I go on, may I particularly welcome that it is this Minister who is on the Front Bench? The Under-Secretary of State for Business, Energy and Industrial Strategy, my hon. Friend the Member for Sutton and Cheam (Paul Scully), will know much of what I am about to say, as my constituency neighbour and as the MP for the second half of Sutton, which we both represent For the benefit of the House, I would first like to go over some of the background to SDEN. It was set up in 2016 and is still wholly owned by Sutton Council. It was set up to provide heating and hot water to properties, as part of a heat network, across Sutton but also neighbouring boroughs. The energy for this project was to be generated by the Beddington energy recovery facility—in other words, an incinerator that is the largest polluter in the London Borough of Sutton. Put simply, the incinerator will burn waste, and the energy produced will provide heating and hot water to nearby properties The first phase of this project was to provide energy to New Mill Quarter, which is a new build estate in Hackbridge. It is still partly under construction, but when it is completed it will total approximately 800 properties. Residents started moving into New Mill Quarter in 2019, but since then they have been absolutely plagued by problems, with a number of issues surrounding technical aspects of SDEN as well as management by Sutton Council causing financial and mental distress to the residents who live there. I would like to go over some of the issues they have been facing in more detail The first and most important issue has been the extremely regular blackouts that have occurred. One resident tells me that, since 2019, they have had a total of 26 heating and hot water blackouts, and two incidents that required call-outs from the London Fire Brigade because of problems to do with the technical nature of SDEN. Until fairly recently, SDEN promoted its services as “100% 24/7 resilient”, but as residents living at New Mill Quarter can attest, the service is anything but resilient, as they continue waking up to freezing cold homes on a regular basis. I was particularly shocked at a meeting, which the council tried and failed to block me from attending, when it was claimed that residents should not have expected it to be 100% resilient, despite the marketing material claiming that it was, as this was clearly just a promotional piece of literature. I personally fail to see how this does not fall foul of the law, but I do not have time to go into that right now, so I will move on The regular blackouts have been particularly difficult during covid-19, as of course people were ordered to stay in and work from home, but many of them suffered regular outages of their heating and hot water while they did so. For most of us, hot water and heating blackouts would occur very infrequently—once in a blue moon—if the boiler is on the blink or a heat system does not work. But for residents in New Mill Quarter, it really is a daily guessing game as to whether or not they will wake up to have any heat or hot water. Many residents are having to pay extensively for additional or alternative heating devices, but in response to this, SDEN has only offered residents a pitiful compensation package of just £54 The second issue with SDEN surrounds the pricing model. The council was again so keen to keep information about the pricing model quiet that it took freedom of information requests and a ruling from the Information Commissioner to even get hold of it. What it actually revealed is that residents in New Mill Quarter are indeed paying above average energy prices, despite claims from SDEN that they are on parity. The pricing structure of SDEN is split into two categories: a variable rate, which is the usual daily rate; and the standing charge, which covers maintenance and repairs. Based on the pricing model that has been provided by SDEN—finally—the New Mill Quarter Residents Association has calculated that the costs were likely higher than the market by £2.9 million across the entire estate over the term of the contract The final issue—again, potentially one of the more important parts of this—is that residents can do absolutely nothing about this. They are trapped by the infrastructure that is there, because properties in New Mill Quarter do not have individual heating sources such as boilers or heat pumps. They cannot vote with their feet and switch energy providers, so ultimately SDEN has a monopoly on energy in New Mill Quarter, and residents are tied into a 25-year contract that they cannot get out of Since becoming the MP for Carshalton and Wallington, I have basically had to deal with SDEN issues since day one, so I have been curious to look at whether these were exclusive to SDEN, but sadly it appears they are not. There are other case studies from across just the capital here in London. I hear that the Pembroke Park estate in Hillingdon has suffered failures, as have the Oval Quarter in Lambeth, New Festival Quarter in Tower Hamlets and multiple estates in Southwark, all of which have suffered hot water and heating outages. But nothing in my research comes even close to the absolute shambles presided over by Liberal Democrat-run Sutton Council Thanks to a motion in Sutton Council by the Conservative group, an independent review into the financial model of SDEN was conducted. The Chartered Institute of Public Finance and Accountancy conducted the review over the summer, and its findings were nothing short of shameful. It concluded that Sutton Council had made false assumptions in its financial modelling to gain approval for its heat network. It was essentially a fake news business document. The model falsely included 75 dwellings that do not exist and funding grants that were never obtained. The report concluded that SDEN was “not financially stable”. To improve the financial resilience of SDEN, the report suggested two things: increases in the tariffs charged to customers, who are already paying above the market rate for energy prices; and, revising the funding available from the taxpayer to pick up the pieces The second thing I want to look at is the fact that SDEN is dependent on the Beddington incinerator to operate, but that creates a paradox. SDEN claims to be a low-carbon energy provider, but SDEN was used as a condition to get approval to build an incinerator, which is the largest polluter in the borough. Those two statements just do not add up. The heat network relies on the burning of waste to keep it going, yet the Lib Dems are claiming that they can increase recycling rates this way. Incineration is not conducive to our net zero targets, and it is the Government’s policy to phase out incineration in their waste minimisation strategy As recycling levels increase, along with “reduce and reuse”, the amount of waste that the borough produces, and the amount of waste that other boroughs send to SDEN to burn, will inevitably reduce. That can mean only one of two things: either SDEN will have to import waste to the Beddington incinerator to keep it operational, or the incinerator will become obsolete, as there is no waste to burn, and therefore homes will be left with no source of heating. I do not think the latter is likely any time soon, because the operators of the Beddington incinerator, which was approved by the Lib Dem council in 2013, are now looking to expand its capacity. They are applying for an increase in the amount of waste it can burn, and much of that will be imported from outside the borough. More waste equals more vehicle movements, equals more incineration, equals more air pollution, equals more carbon emissions To add insult to injury, there has been a complete lack of any understanding, empathy or action from the Lib Dem-run council, including the Lib Dem councillors representing the area, which may explain why it seems most of them are jumping, like rats leaving a sinking ship, rather than daring to face their electorate for re-election in May. The Lib Dems are still touting this scheme as a huge success—as proof of their competence and a demonstration of how well they run things. If this is how they run things, it is no wonder that more and more lifelong Lib Dem voters are telling me that they simply cannot put them back into the council in May This is where we need the Government to try to help. This relatively new form of energy is almost entirely unregulated, so new consumer protections are needed. I welcome the work that BEIS is doing to regulate heat networks. I support the decision for Ofgem to act as the regulator, with Citizens Advice acting as advocate for customers and the energy ombudsman responsible for resolving disputes. We need regulation and consumer support as soon as possible. To reach our net zero ambitions, heat networks are set to increase by 800%—that is a lot of growth in a short period of time To protect and help current and future heat network customers, regulation needs to be expedited. People are trapped in homes, unable to sell due to the well-known issues with heat networks. The regulators need to have enough bite to resolve the issues that customers are experiencing, including, importantly, providing compensation for historical complaints, ensuring that these projects can be future-proofed Some problems are yet to be addressed. In the case of SDEN, there have been failures by the public sector local authority and the private sector developer/energy provider, which needs cross-departmental support. Sutton Council, as I have already said, established this heat network under false pretences and has failed to manage its finances, so I would be grateful to hear how BEIS and the Department for Levelling Up, Housing and Communities can work together to ensure that rogue and incompetent local authorities are not failing consumers and to prevent them from conducting these projects without legitimate financial models. Wider conversations need to be had about how we can liberate the heat network market so that they are not monopolised, to the detriment of customers trapped in long-term contracts SDEN has been a catastrophic failure. It was founded on fantasy, it is not working and now local residents are going to be asked to foot the bill for this vanity project. At the heart of this are residents trapped with nowhere to go. They cannot change provider because of the monopoly of heat networks such as SDEN, so we need tougher regulation. We need the energy price cap to apply to heat networks, and when things go wrong we need compensation and assurances that incompetently run councils, such as Lib Dem-controlled Sutton, are not the final arbiter The Lib Dems are not going to help these residents. They just do not care. I hope that the Government can step in with tougher regulations to protect SDEN customers from the disaster that they have been left with.
