ParlaMint-GB_2022-03-24-commons.u1	1. What recent progress her Department has made on the rollout of gigabit broadband.
ParlaMint-GB_2022-03-24-commons.u345	It is a pleasure to follow the hon. Member for Gordon (Richard Thomson) The increasingly unstable world in which we live brings many challenges to people at home, not least the many concerns of people across the country about the cost of living and the potential impact that rises in that cost can have on family living standards. Yesterday marked two years since the start of the first lockdown, the reckoning point of the first pandemic of its kind in over 100 years. Flash forward two years and we already face a new crisis, the war in Ukraine—the first full-scale war on European soil since world war two. As we heard from the hon. Member for Gordon, the fact that the tax burden is at its highest since that point shows the scale of the economic hit that we took from the coronavirus. It is in that context that we must view the Chancellor’s statement yesterday. There are no easy choices—the outlook right now is bleak, and our focus has to be on steadying the ship, on supporting the most vulnerable and on rebuilding. We are able to do this only because of the tough decisions we took preceding this crisis, and it is not worth thinking about the situation this country would be in had the Opposition won in 2019 This Bill is an example of how we rebuild, by setting the course for lower taxes, starting with a tax cut in July for everyone earning less than £35,000—a tax cut for 70% of workers. By raising the threshold at which we all start paying national insurance from £9,500 to £12,500 in July, we are supporting over 30 million working people with a tax cut amounting to an increase in income of about £330 for the average family. That means that no individual will pay any tax at all until they earn at least £12,500—the largest increase in the starting tax threshold in British history. It means that workers up and down the country can earn £1,000 a month without having to give a single penny to the Government. This is the first step on our journey to lower taxes, in stark contrast to the Labour Opposition, who have absolutely no tax cutting plan, or any plan at all, for that matter. The shadow Chancellor recently proposed over £170 billion in uncosted spending increases as she pandered to the hard left of her party, with absolutely no plan to pay for it and absolutely no plan for how to get more money back into the pockets of hard-working people As my hon. Friend the Member for South Dorset (Richard Drax) pointed out, we on the Government side of the House believe that cutting taxes is in everyone’s interest, but it is only sound fiscal management that enables us to cut taxes this year, next year and beyond. This strong economy meant that last year the UK was the fastest growing nation in the G7, and unemployment levels are now back to their pre-pandemic lows, which is a remarkable achievement considering that we have just emerged from a once-in-a-century global pandemic Turning briefly to some of the throwaway suggestions from the Opposition, they ask why we do not just cancel the health and care levy, but they have no alternative proposals for how to fund the NHS and social care as we begin to see longer and longer waiting lists caused by the pandemic. They talk about an oil and gas windfall tax, but with no acknowledgement that it is the oil and gas sector that is delivering the future energy security we need through investment in carbon capture and storage and in hydrogen production in places such as Teesside. They talk about increasing defence spending, but with no recognition of the fact that most of them spent the period from 2015 to 2019 propping up a hard left leadership who wanted to scrap the nuclear deterrent while last year we delivered the largest ever cash increase to the defence budget since the cold war. Labour has no plans for the NHS, no plans for energy independence and no plans for defence. It has no plan at all. We on this side of the House will keep on delivering on the people’s priorities and taking the tough decisions to ensure that our economy does not just recover but becomes more resilient to the challenges we face in an uncertain world.
ParlaMint-GB_2022-03-24-commons.u346	It has been interesting to listen to the speech from the hon. Member for Redcar (Jacob Young), but I do not think we read the same books or share the same philosophy. This country is set to have the biggest fall in living standards since records began. Households up and down the country are struggling to pay their energy bills. This is a crisis that requires big solutions. At the start of the pandemic, the Chancellor looked at big solutions to big problems, but I am afraid he did not do that yesterday. The energy crisis was already here before Russia invaded Ukraine, and it is now set to get worse. We do not know how long the war will last. The British people understand that we must have some hardship here to help the heroes in Ukraine, and they understand that the war is about standing up for freedom and democracy. What people do not understand is why the Government are not doing everything in their power to help us get through this energy crisis. People at home are struggling, business are struggling and the Chancellor must do more to ease this struggle. Raising the national insurance cap is welcome, but it is a drop in an ocean compared with the measures that are needed. Critical manufacturing industries such as glass are on their knees. Yesterday, I, along with the CBI, British Glass, Glass Futures and manufacturers and sellers of glass celebrated the International Year of Glass, but the businesses are on their knees. One told of a rise in energy costs this year of £250 million; another of a £48 million rise. This has had no acknowledgement from the Government. Once these businesses go, they are gone for good. They provide good, high-paying jobs that we cannot afford to lose. Other Governments are stepping up to support their industries and ours must do the same The energy companies have made huge profits and will continue to do so. They are massive corporations, and energy is always going to be in demand. The Chancellor needs to be on the side of the British people and put a one-off windfall tax on the energy companies. They are not investing; their profits are going into shareholders’ dividends. The energy companies will still be around when this crisis is over. The Government need to ensure that the livelihoods of the British people are still here as well. We cannot afford to have thousands of people in crippling debt, going to moneylenders, as millions are.
ParlaMint-GB_2022-03-24-commons.u347	The hon. Member makes the case against the rise in national insurance and for a one-off windfall tax on the energy industry, but that would obviously be just a one-off for one year. The costs of Government spending will continue year after year. Which taxes would she raise to pay for public spending in the years following the windfall tax?
ParlaMint-GB_2022-03-24-commons.u348	I do not accept what the Member says The tax burden is at its highest in 70 years, and it is estimated that the Government have an additional £50 billion to operate with because of taxes that have come through. This begs the question of why the Chancellor is not using that £50 billion to help British people. We are already in a time of crisis. First it was covid, then it was energy and now it is Ukraine. The Chancellor must adopt big solutions to the big problems our country faces.
ParlaMint-GB_2022-03-24-commons.u349	When it comes to challenging rising costs and what measures the Government can put in place to address them, I always turn to what I consider to be some of the wisest people in this country—the people of Peterborough.
ParlaMint-GB_2022-03-24-commons.u350	Like my mother-in-law.
ParlaMint-GB_2022-03-24-commons.u351	Like my hon. Friend’s mother-in-law. I went to a “politics and a pint” pub surgery in the Oxcart pub in Bretton in my constituency to talk to my residents. I wrote to a large number of people living around the area and told them that I would be there between 6 and 8 o’clock and that I wanted to listen to what they felt about the spring statement, and any other issues that they wanted to talk to their MP about. The single most popular measure in the spring statement that came up was the rise in the national insurance threshold. Peterborough is a city of hard-working people and hard-working families and they want to see work rewarded. That is what this measure does. It will mean that if they work those extra hours and have the dignity of a job, they will keep more of their own money, pay less tax to the Government and be able to spend it on what they perceive to be best for them and their family. That is the Conservative way, and that is why I welcome these measures. I think they will go a significant way towards relieving pressure on families in my constituency. One lady I spoke to told me exactly what this extra money might mean for her. For her and her family, it would mean help with school uniform costs and help with the weekly food shopping bill, and of course it would also mean help with rising energy prices That was not the only thing raised with me last night, and it would seem partisan if I did not mention that constituents raised elements of concern. One constituent told me that, although the spring statement will go some way towards addressing energy prices, people need the heating on during the winter, and they asked whether there will be more measures later down the line. I also spoke to pensioners, who raised a concern about what this might mean for people on a fixed income The landlord of the pub pulled me aside to explain that, typically, he was paying about £1,200 a month for energy but, due to the rising costs, some of the deals on offer are almost £4,000 a month, which is an eye-watering amount for a local community pub like the Oxcart. However, he told me how pleased he is with the continued cut in business rates Far be it from me, as a new MP elected in 2019, to say this to longer-serving colleagues, but a “politics and a pint” pub surgery is an excellent thing to do because it supports local businesses. If we do not use pubs, unfortunately we will lose them. A “politics and a pint” surgery is a fantastic way to meet our constituents Returning to my central point, the rise in the national insurance threshold will reward work. As my hon. Friend the Member for Redcar (Jacob Young) outlined, people who earn less than £12,500 a year will not pay any tax at all, which means more money in their back pocket to support themselves and their family A large number of people in my constituency are on universal credit while in work. One of the most popular things this Government have done in recent times is to alter the universal credit taper rate from 63p in the pound to 55p in the pound. That is an extra £1,000 in the back pocket of hard-working families in my constituency, which makes an incredible difference I praise the raising of the national insurance threshold because it simplifies the tax system. It was an anomaly that people did not pay income tax until they earned £12,500 but they were still paying national insurance. This measure creates a simpler and clearer tax system, which is in everyone’s best interest. We do not want tax to be confusing, lacking sense or difficult to understand. People pay their tax, so it should be as easy as possible for them to understand, which is what this measure does Finally, I want to talk about what the rise in the national insurance threshold will mean for particular people in my constituency. As I said earlier, work is plentiful in my constituency. We have lots of vacancies in Peterborough—in fact, there are more vacancies than people on universal credit—and this rise sends a message that the Government are putting their arm around everyone in this country, and particularly hard-working families. If people want to go out and find a job, work hard and make a contribution, they should be rewarded. There are plenty of those people in Peterborough and across the country.
ParlaMint-GB_2022-03-24-commons.u352	My hon. Friend and constituency neighbour is a great champion of everyone in Peterborough, and I pay tribute to him for all the work he has done since his election in 2019. How do his hard-working constituents feel about the 6.6% increase in the national living wage, which makes sure that having a job is a way out of poverty?
ParlaMint-GB_2022-03-24-commons.u353	My hon. Friend and constituency neighbour makes an important point, and it is another example of how this Government are rewarding those in employment who work hard and make a contribution. That is what this Government are all about, and it is what any Government should be all about. This Bill is another example of rewarding people who make the right decisions.
ParlaMint-GB_2022-03-24-commons.u354	No one opposes this Bill, but it gives us an opportunity to reflect on yesterday’s spring statement, as a package of support to help families who are being pushed into poverty The hon. Member for Peterborough (Paul Bristow) talks about engaging with his constituents. It is not as easy for me to go up to North East Fife for politics and a pint on a Wednesday night, but my constituents want to know whether this is it. The spring statement has, frankly, let down the country as it faces a cost of living crisis, and the House does not have to take my word for it—after all, it is my job as an Opposition Member to oppose the Government. Other Members mentioned the Institute for Fiscal Studies, which says the Chancellor’s measures “will make the tax system both less equitable and less efficient. ” That does not make for a stronger or more secure economy. Instead, the belief is that the Chancellor is setting us up for a return of absolute poverty where people have to choose between heating and eating or, even more devastating, neither. That is not strong or secure Conservative Members need to look at today’s front pages and YouGov’s snap poll, which says that 69% of those polled believe the Government have not gone far enough to support them, and that 66% do not feel the spring statement helps people like them. The Chancellor told us yesterday that his changes are significant, but saying that does not make it so. We have heard statistics from both sides of the House showing people’s reflections on the Bill, and I tabled an amendment with my hon. Friend the Member for Bath (Wera Hobhouse), which she will address in Committee, that would require the Government to report on the effect on disposable incomes Cutting fuel duty by 5p a litre only helps people who drive and, even then, it brings down fuel prices only to the level at which they were last week. I represent a rural Scottish constituency that has much higher fuel prices than in other parts of the UK.
ParlaMint-GB_2022-03-24-commons.u355	Does the hon. Lady accept this measure helps not only people who drive but hauliers, who move important products across the country, which obviously has an impact on food prices? This measure will help not only our constituents but the wider economy.
ParlaMint-GB_2022-03-24-commons.u356	I accept the measure helps other people, but the reality is that we have seen an increase, on average, of 40p a litre. As other hon. Members have said, there has been a 5p a litre increase in the last week. A 5p reduction is helpful, but it does not go far enough to support those who really need it Frankly, lowering the basic rate of income tax is the biggest wheeze of all. Paul Johnson of the IFS said in The Times this morning that we are experiencing “fiscal drag. ” The freezing of income tax, which the Chancellor previously announced, means that, even as people’s wages increase, they will pay more tax, and the reduction is not happening yet. All the Chancellor has said is that he will do it at an unspecified time before the next election The reduction will help those on low incomes the least. It is a tiny reduction and, overall, the tax cuts announced yesterday are worth only a quarter of what is being increased. Arguably, it is not workers who benefit from the cut but people, such as landlords, with unearned income from investments. People who are wealthy enough to get their income from savings and property will pay less tax, while the least well off continue to pay more and more. This is driving another wedge between unearned and earned incomes. I tabled a further amendment with my hon. Friend the Member for Bath to require reporting on the impact The Chancellor repeatedly spoke about hard-working families—that was his catchphrase of choice—but those hard-working families are not being helped. They are seeing their energy bills go up and the price of food to feed their children skyrocket, and working parents are being pushed into higher tax brackets by the choice to freeze the thresholds. They pay ever more tax. My final amendment addresses unearned income This spring statement is a huge missed opportunity. I would have liked to see a packed Chamber debating legislation that actually makes a difference to people, but I think we would all accept that this is not that Chamber and not that Bill. There are so many steps the Government could have taken today but did not. We had an Opposition day debate at the start of this week on pensioner poverty, which we know is increasing year on year. The Minister in that debate said he was sure the Chancellor would have been listening to Opposition Members calling for more support for pensioners and suggesting some of the ways in which that could be done—you were in the Chair at the time, Madam Deputy Speaker. Clearly, the Chancellor was not listening, because pensioners were not mentioned at all yesterday. There was very little for pensioners who do not drive or own their house—or for those who do own their house but are not planning any energy-efficient home improvements.
ParlaMint-GB_2022-03-24-commons.u357	I point out to the hon. Lady that 200,000 fewer pensioners are in absolute poverty now than were in 2010. I just put that on the record.
ParlaMint-GB_2022-03-24-commons.u358	I thank the hon. Gentleman for putting that on the record, but we are looking at 1.3 million additional people, some of whom I am sure will be pensioners, going into absolute poverty in the next year. Our state pension is set to have a real-terms cut. Inflation is at 6.2% and is expected to go up to 8% in April, yet pensions are going up by only 3.1%. That was what the triple lock was designed to deal with; it was there to keep pensions in line with and up to the cost of living. As I have said many times in this Chamber, the state pension is not just about pensioners now; it is about ensuring that people in the longer term know that they have a state pension that they can look forward to, and that matters for younger generations, too This Government say that they oppose loneliness, but, as always, actions speak louder than words and the measures are leaving older people on their own, in the dark and the cold. There are very good reasons why some people cannot work. There is nothing at all for those receiving social security, who are also suffering the real-terms cut to incomes and are also struggling to pay their rent, because of the freeze to housing allowance—even the National Residential Landlords Association has called that out as being catastrophic. Frankly, it is more expensive to be poor. People on benefits are being unfairly punished by a system that is set up to make them fail. They are worrying about money, making ends meet and debts, and living in unsuitable housing that costs more to heat. These are not the conditions that set someone up to apply for jobs, to succeed in interviews or to move on to a better place in their lives. We know, as we have heard the evidence, that the benefits system can cause serious harm, damaging people’s mental health, sometimes to the extent that they take their own lives. This is not a system that helps people—often it harms them. We know that our economy is stronger when those who are able to work do so, but our system does not help people do that and it must be more compassionate. It must also receive sufficient funding so that those receiving benefits are not pushed further and further towards the edge Do the Government want this country to be one where destitution becomes normal? As I have said, the estimate is that 1.3 million people will move into absolute poverty as a result of the current cost of living crisis. The only support offered yesterday for those on the lowest incomes was the boost to the household support fund, via local authorities. That is no substitution for having a proper support system that stops people falling into poverty in the first place. As happens with pension credit, people do not always come forward for the support they need, so I echo the suggestion that anyone facing hardship contacts their local authority so that they can get support that may be available to them The Government could have cut VAT to 17.25%, which is what my party would propose to do. That measure would help everyone. Cutting VAT will shield our constituents from the worst of the increased costs, put money back in their pocket, and help those on middle and low incomes the most. With an economy that is struggling, because of a variety of factors, we need people to be out in our economy; we need people on our high streets, buying things that are made in our factories and marketed on our streets. A cut to VAT would give an immediate boost to every household, but it also helps us in the long term. That is what a meaningful policy would look like.
ParlaMint-GB_2022-03-24-commons.u359	I am very interested in the hon. Lady’s arguments on a VAT cut, which is something I would consider, as it is sensible. However, how would the Liberal Democrats propose paying for such a cut?
ParlaMint-GB_2022-03-24-commons.u360	The purpose of the VAT cut is to increase the economy and increase productivity, and therefore see increased tax receipts, which would cover it Instead of raising taxes on working people, the Government could implement a windfall tax on the super-profits of oil and gas companies. I say “super-profits” because this is about the additional profits that those companies are making as a result of the increase in energy prices, and it is not the same as the policy proposed by Labour. However, this Government are allowing those companies to make and keep those massive gains. That is true to form; we have seen them give banks a £7 billion tax cut and we know about the high levels of wastage that we have seen, for example, in relation to personal protective equipment. A measure such as this would help support our most vulnerable families.
ParlaMint-GB_2022-03-24-commons.u361	Does my hon. Friend agree that the proposed changes to the national insurance thresholds are disappointing, because they just do not go far enough to help people cope with the shocking scale of this cost of living crisis? A disabled family in my constituency do not pay national insurance so they do not get any benefit from the proposed cut; one member is too ill to work and his wife has to stay at home to care for him, so they get nothing from this, but they are struggling to heat their house and pay their food bills. This does not do anything for them. For those who are in work, the NI rate is still increasing by 10% and so they will not benefit enough to be able to heat their homes. Does she also agree that those who live off-grid and heat their homes with heating oil are not protected by anything that happened yesterday?
ParlaMint-GB_2022-03-24-commons.u362	Order. Interventions have to be quite short.
ParlaMint-GB_2022-03-24-commons.u363	Thank you, Madam Deputy Speaker. I also thank my hon. Friend for her intervention. We know that the price cap does not support those who are off-grid. That was a point Members made in Monday’s Opposition day debate in relation to pensioners, and in other places. I hope that the Government will consider that and if they do not do something about it now, I hope they will do so in future Yesterday’s statement was all smoke and mirrors. It increases the disparities between unearned and earned income.
ParlaMint-GB_2022-03-24-commons.u364	I was intrigued by the hon. Lady’s comments that a VAT cut would increase economic activity, leading to more tax receipts and therefore it would pay for itself. I very much welcome the idea that tax cuts help to promote economic activity, but if she believes that VAT cuts pay for themselves, does she believe we should always have VAT cuts? How low would she bring VAT? I have to say that that analysis is not shared by Treasury economists.
ParlaMint-GB_2022-03-24-commons.u365	I find it interesting, given the criticism always given to those on this side in relation to the European Union and VAT, and what we could not and could not do, that I am experiencing criticism from Conservative Members about proposing cutting VAT. I am proposing a temporary measure to help boost the economy in the short term, and I am happy to have a further discussion with the hon. Gentleman about what levels of VAT might look like. We are seeing an increase in the disparity between unearned and earned income. We are ignoring those who are being pushed into poverty, and we are not addressing the cost of living, which the Chancellor’s statement was supposed to deal with yesterday. Today’s Bill does too little, too late. The measures announced in it will come into effect only in July this year. Payments at the higher rates will remain in place for the next three months. The NI hike will cost employees £2.1 billion in that time. The cost of living crisis is biting right now, today, and the Chancellor must look to implement the changes earlier than outlined. I am not fooled by this Government, and neither is the country. If this is the best the Chancellor can do, they know, as I do, that they deserve another Chancellor.
ParlaMint-GB_2022-03-24-commons.u366	It is an honour to follow the hon. Member for North East Fife (Wendy Chamberlain). Watching today’s debate, I am struck by a sort of parallel universe; on the Opposition side, people are arguing for more and more tax cuts. As a good, red-blooded Conservative, I am always in favour of good tax cuts, but they are arguing this without any recognition of the macroeconomic situation—the £400 billion this Government have spent propping up the economy, saving jobs and lives during the pandemic; and the war in Ukraine, where Putin’s tanks are crushing my ancestral homeland and murdering thousands. Opposition Members do not seem to recognise that When I looked at the amendment paper, which was passed to me during this debate, I became very concerned, because it contains no amendment tabled by Opposition Front Benchers. It is almost as though they do not want to engage with the Bill and make any improvements, so they stand here with their rhetoric about how they are against the Bill and what it is doing, but without seeking to improve it, make any changes or add anything to the debate. Even the Liberal Democrats added a certain je ne sais quoi to this debate, but the Opposition do not and that concerns me. We have a debate where they talk about how awful this is but without any recommendations for improvements.
ParlaMint-GB_2022-03-24-commons.u367	I very much welcome the fact that my hon. Friend mentioned the fiscal background, which is that we have just spent £400 billion on the pandemic and we now have national debt that is the same size as the GDP. One thing concerns me when I listen to the contributions from those on the Opposition Benches; does he agree that Governments always have to live within their means and, like individuals, they cannot carry on living on the never-never and ultimately will have to try to balance the books?
ParlaMint-GB_2022-03-24-commons.u368	Of course, we all have to live within our means: we cannot just keep on spending money. It was right for us to spend £400 billion to save jobs, save lives, prop up our economy and make sure that people have jobs, but we need to pay that back, so unfortunately we cannot have huge, sweeping tax cuts, however much we might like to. The Government need to make and are making the tough but responsible choices. I also feel we are in a parallel universe when I hear Opposition Members talking about being on the side of working people and saying that they would do more if they were in our shoes. My local council, Labour-run Rotherham Metropolitan Borough Council, is not only increasing council tax for hard-working people but doing so with the ninth-largest increase, in cash terms, in the entire country. That is despite the council having £58 million in reserve for rainy days. If this is not a rainy day, I do not know what is. Instead of increasing council tax by so much, the council should spend the money it has in reserves and lower council tax for hard-working people Let me turn to an even more ridiculous example. Last year, the Labour police and crime commissioner for South Yorkshire underspent his budget by £2 million. That is a big saving. What would a fiscally prudent person do? They could spend it on reopening the police stations on Maltby High Street or in Dinnington, as I advocate, or perhaps freeze or even cut the precept. But no: the precept for the South Yorkshire police and crime commissioner is increasing, despite that budget underspend. It is a parallel universe The Government are introducing tax cuts for hard-working people. We should emphasise that it is about the working people, because we want to put more money into people’s pockets. The Bill is a good, strong and stable measure, because it will look after people and put pounds in their pockets, where they matter. It is my fundamental belief, shared by my colleagues on the Conservative Benches, that if someone works hard, they will get the fruits of their labour—they will get out what they put in. Under this Bill, the more someone works, the more money they will get in their pocket, and more money in their pocket is better for them and their family, community and society. That is what the Bill does: it looks after people by putting more money in their pockets, because the individual knows best. That has been what goes on since time immemorial.
ParlaMint-GB_2022-03-24-commons.u369	According to the IFS, median earners on around £27,500 can expect to be around £400 worse off in 2022-23 than in this financial year, even after the increase to the national insurance floor. Are they getting back all that they put in? How do the hon. Gentleman’s comments square with the lived experience that people on median earnings will have in the forthcoming financial year?
ParlaMint-GB_2022-03-24-commons.u370	I thank the hon. Gentleman for that interesting point, but it is clear that 70% of working people are going to have a tax cut. In fact, not only is there a tax cut in the Bill, but we know that there will be an income tax cut in 2023-24. I hope the Scottish Government also reduce income tax, so that they too are on the side of hard-working people.
ParlaMint-GB_2022-03-24-commons.u371	Does my hon. Friend recognise, as the Chief Secretary to the Treasury did earlier, that the IFS figures show that, taking into account the health and social care levy, people who earn £35,000 or less will still see a tax cut because of the measures in the Bill?
ParlaMint-GB_2022-03-24-commons.u372	I completely agree with my hon. Friend’s point. This is a Bill that really helps people because it will reduce the amount of taxation and put more money in people’s pockets. We need to make sure that work pays. That is vital. I mentioned the £400 billion that the Government have spent; they have kept jobs going throughout the pandemic. That is vital. It is why unemployment in Rother Valley is only 3.6%, which is below the national average. Of course, that still means that 2,000 people in my seat are actively looking for jobs, which is why last Friday I held the first ever Rother Valley jobs fair. It was a great success: there were more than 30 employers and hundreds of people turned up, and I am told that dozens of people have already got jobs out of it. That is the Conservative view on the ground in a constituency, helping with jobs, and the Government are doing that nationally.
ParlaMint-GB_2022-03-24-commons.u373	My hon. Friend is making a fantastic and eloquent speech. Is he aware that last year unemployment fell every single month, thanks to the Chancellor’s plan for jobs?
ParlaMint-GB_2022-03-24-commons.u374	I was not aware of that exact point, but it does not surprise me because that is generally what happens under Conservative Governments: we try to promote people and work The measures on national insurance that we are discussing will encourage more people into work, but we must also look at the wider context. It is not just about working people; the Government recently changed the universal credit tax taper, thereby helping people on universal credit. The simplification of that system will not only make a huge difference to everyday lives but, hopefully, reduce some of the accounting costs and make it easier for business. That will be a double help for business Fundamentally, I believe this is a great measure, in the sense that it will put more money into people’s pockets but also pay for the important health and social care levy. We all need that great NHS that protected us throughout the pandemic. This will fund the NHS, put more tax in people’s pockets and clearly shows the way for us to lower taxes in the years to come.
ParlaMint-GB_2022-03-24-commons.u375	The Chancellor’s spring statement left households and businesses across Luton South to fend for themselves in the middle of a cost of living crisis, as we are set to see this year the biggest drop in incomes on record. The Office for Budget Responsibility confirmed that real household disposable income will fall over the next two years, leading to “the biggest fall in living standards in any single financial year since ONS records began in 1956-57” Britain is facing the highest tax burden in 70 years, with the Chancellor confirming £24 billion in tax rises this year. For every £6 the Chancellor has taken in tax since he became Chancellor, he is giving back just £1 today. This situation cuts to the heart of the Conservatives’ mismanagement of the economy, structured on low investment, low pay and low growth. It also shows their total disregard for the hardship that my constituents in Luton South are facing. Whether it is that people cannot afford the soaring heating bills, the petrol at the pump or the rising food prices, it is our communities that are suffering right now The Bill represents just one aspect of the Chancellor’s sleight-of-hand approach to the management of public finances, which is based more on feathering the nest of his own popularity—or, dare I say, his Instagram account—than it is on building an economy based on high growth, high productivity and higher redistribution. Although increasing the national insurance contributions threshold will provide some respite, it will deliver twice as much benefit to the top 50%—the top half of earners—as it will to those in the lower half. And it cannot be considered in isolation. The Chancellor announced in the 2021 autumn Budget that national insurance contributions rates would rise from 12% to 13.25%. Overall, that tax increase is regressive: those earning more than £100,000 a year could end up paying proportionately less. Notwithstanding the threshold change, the rate will be around 13.25% on most earnings up to £50,000 but just 3.25% on any income above that threshold. For all the references earlier in the debate about everyone paying their fair share, I am not sure that is the case.
ParlaMint-GB_2022-03-24-commons.u376	The hon. Lady mentioned the health and social care levy; does she recognise the point made earlier by my hon. Friend the Member for Grantham and Stamford (Gareth Davies)? The top 14% of earners will pay 50% of the levy. Surely that demonstrates that the levy is more progressive.
ParlaMint-GB_2022-03-24-commons.u377	There are many ways to cut a cake. The people in my constituency know what fairness is and they know that they are paying disproportionately more in their everyday lives Could the Chancellor point to any other major economy that is putting up taxes on working people this April? The policies in the spring statement are poorly targeted and not grounded in fairness. According to the response from the Institute for Public Policy Research, they will help the wealthiest households four times more than they will help the poorest. Alongside the lack of support in the spring statement, wages are forecast to fall in value by 2% this year, which is equivalent to a real-terms cut of £552 We have heard much about a parallel universe, but it is clear whose side the Conservative Government are on. They are certainly not on the side of the pensioners, families on universal credit and children living in poverty in Luton South, who face the choice of heating or eating. I wish the hon. Member for South Dorset (Richard Drax) was still in the Chamber. I listened intently to his comments about freedom; if someone cannot afford to heat their home or feed their kids, they do not have much freedom. For those on the very lowest incomes, there is nothing. There is nothing for those unable to work or those who are unemployed The reform places a greater level of tax on almost all workers. The Government’s negligence will lead to increased fuel poverty. Government Members may try to point, again, to the household support fund. A colleague told me earlier that for those under the income threshold, the increase would be equivalent to 6p a day.
ParlaMint-GB_2022-03-24-commons.u378	Will the hon. Lady give way?
ParlaMint-GB_2022-03-24-commons.u379	One more time.
ParlaMint-GB_2022-03-24-commons.u380	We are talking about the second tranche of the household support fund. The first tranche of £500 million was announced last year. Luton got £1.83 million from that fund, which I am sure was helpful to her constituents. They will get a further share from the second tranche. Does the hon. Lady welcome that?
ParlaMint-GB_2022-03-24-commons.u381	I am really pleased that the hon. Member is able to remember that figure; I hope he is also able to remind the House of the more than £100 million that has been taken away from Luton council over a decade of Tory austerity, which is why so many of the families in my constituency are living in poverty and are in fuel poverty.
ParlaMint-GB_2022-03-24-commons.u382	Will the hon. Lady give way?
ParlaMint-GB_2022-03-24-commons.u383	Will the hon. Lady give way?
ParlaMint-GB_2022-03-24-commons.u384	I am going to make some progress The household support fund is simply a short-term solution. I declare an interest as a vice president of the Local Government Association, which warns that we need an “effective long-term solution” to support the most vulnerable. The Chair of the Select Committee on Levelling Up, Housing and Communities, my hon. Friend the Member for Sheffield South East (Mr Betts), raised a number of points on that issue earlier; I add that 60p in every £1 has been taken away from local authorities over 10 years of Tory austerity. We need to see much more stability and certainty for local authorities before we will see an impact Ultimately, Luton South deserves a Government that will help them through the cost of living crisis, with a plan to drive growth and living standards. That is not what the Conservative party’s spring statement offers, but it is what a Labour Government will.
ParlaMint-GB_2022-03-24-commons.u385	It is a pleasure to follow the hon. Member for Luton South (Rachel Hopkins), who made a passionate speech. This has been an incredibly important debate, but the framing of the debate by the Opposition Front Bench was somewhat curious. The hon. Member for Ealing North (James Murray) did not want to answer any questions from Members, including myself, on taxation issues that impact the cost of living for my constituents. Thankfully, the debate has been wide-ranging. If we are to discuss the impact of tax, we must look at it in every part of the country I listened to the hon. Member for Gordon (Richard Thomson). I often have to restrain myself from intervening on Members of the SNP, but today, I had to listen to the spokesperson for a party who has actually found a way of taxing the people of Scotland, their own citizens, to the sum of £900 million in extra taxes over the last three years for a net benefit of £170 million.
ParlaMint-GB_2022-03-24-commons.u386	I think the hon. Gentleman is confusing cause and effect with the complicated system for forecasting tax revenues and then balancing payments between the Treasury and the Scottish Government. Would he like to add that clarification to his remarks?
ParlaMint-GB_2022-03-24-commons.u387	Absolutely not. The SNP has found a way of raising taxes that penalises their own citizens and raises less income. I come back to Greater Manchester. I am proud to be the MP for Bury North. My constituents face a wide range of taxation issues. They will support the Government position and the policy announced yesterday on the increase in the national insurance threshold. Every single person in this debate has supported it. Indeed, the hon. Member for Gordon said, very curiously, that it was an indictment but he was going to support it. It is a good policy that will put more money in people’s pockets. It is a tax cut, especially for those on the lowest incomes, which is to be welcomed I want to consider this policy in the context of the largest self-employed sector in my constituency—taxi drivers. Taxi drivers will be hit completely by the taxes proposed for Andy Burnham’s clean air charging zone—at 493 square miles, it will be the world’s largest such zone. That tax—£10 for small vans and £60 for lorries—will hit all those who rely on certain types of motor transport to earn their living. How can that be right? I stand up here on a regular basis and ask Opposition Members to support me in asking for that charge—a cost that hard-working taxi drivers and others in my constituency face—to be removed, but there is silence. We have to look at the whole of the country, and at the policies put in place by politicians at different levels My hon. Friend the Member for Rother Valley (Alexander Stafford) talked about his experience of a local Labour authority. In Greater Manchester, we have council tax rises linked to incompetence. We have precepts that the Greater Manchester Mayor is levying on taxpayers in my area, even though he, as police and crime commissioner for Greater Manchester, has wasted millions on millions of pounds on a failed computer system. The decisions of politicians impact my constituents every day. I hope at some point Opposition politicians will join Conservatives in Greater Manchester in calling for the reduction of taxes on our constituents, for the benefit of those constituents We see a contrast. The Government are investing in my constituents and in hard-working people.
ParlaMint-GB_2022-03-24-commons.u388	I completely agree with my hon. Friend’s point about clean air. Does he agree that there will be the same impact in the nearest big city to my constituency, Sheffield, where at the end of this year heavy goods vehicle drivers will be charged up to £50 a day? With the huge increases in petrol costs, there is a double whammy for hauliers; the charges should be scrapped.
