ParlaMint-GB_2022-07-05-commons.u1	1. What recent assessment he has made of the adequacy of staffing levels in the probation service.
ParlaMint-GB_2022-07-05-commons.u265	I am interested in the hon. Gentleman’s comparison with Germany. Does he agree that one secret of the German success is a radical devolution model, held together in a federal state—but very much together? It is interesting that he is making the case for the German model, which is based, by definition, on a federal state, not on separating. If the German Länder had separated from each other, it probably would have ended in disaster.
ParlaMint-GB_2022-07-05-commons.u266	I will get to the point about government structures later, but there is a definitely a debate to be had about the constitutional question. In my view, the constitutional question in Wales is very much an economic one, which is why I ultimately support independence for my country Finally, the post-reunification German constitution is underpinned by a coherent political structure based on powerful Länder and local governments, as the hon. Gentleman said in his intervention. Levelling up cannot be delivered from Westminster alone. What English politicians want to do with regional governance in England is a matter for them, but the Welsh, Scottish and Northern Ireland Governments must be empowered with a full portfolio of fiscal powers. I was no Brexiteer, but I will say that if the British Government were genuinely interested in maximizing their new freedoms to boost levelling up, Wales should have full powers over income, corporation tax and VAT. Of course, not only are this British Government anti-European, but they are anti-devolving powers from Westminster, and that is leading to complete economic and political stasis Talking about ironing out Brexit teething problems will not solve the crisis either. I often consider political discourse in this place to be outside the paradigm of reality, but the truth is that Wales and the UK are in a state of limbo. The UK is facing an inflationary spiral not witnessed in my lifetime, and it is running the worst current account deficit since records began, at a staggering 8.3% of GDP. As Will Hutton wrote in The Observer over the weekend, this is the sort of deficit “recorded by banana republics before they collapse” As a direct result of post-Brexit trade policy, real export volumes are down 4.4% and import volumes are up a staggering 10.4%. Within the EU single market and customs union, the UK was the leading destination for foreign direct investment, but that is no longer the case All that is leading to reduced investor confidence and a slump in the value of sterling, adding fuel to the inflationary fire, which hurts every one of our constituents. The Bank of America warns that sterling is facing an existential crisis. This place should be in complete panic mode, yet Westminster plods along sticking its fingers in its ears and whistling to itself in a happy bliss of ignorance. If the British Government are unwilling to provide economic levers for Wales to solve its own problem, the only sensible solution is to rejoin the safe harbour of the European Union economic frameworks. That would boost exports, help investment and, critically, return some much-needed economic confidence and strengthen sterling In the time left to me, I turn to capital projects associated with the city deals. Jonathan Burnes, the director of the Swansea Bay city region deal, has warned that construction costs were high as a result of inflationary pressures, which might endanger some of its proposed projects. Furthermore, there are worries that the promised private sector investment that makes up the vast majority of the Swansea deal could fall if economic conditions worsen as expected. The key plank of the British Government’s economic policy for the communities I represent is therefore at “red” risk level. It would be helpful if Ministers could outline, in winding up, what they will do to make up the expected shortfalls Lastly, I highlight the challenges facing the Welsh Government’s budget, as day-to-day funding for Wales remains slightly below the 2010 level. Furthermore, the rate of real-terms reduction is currently greater than the British Government’s departmental average. When Unionists speak of the dividend that Wales gets from being part of the British state, it clearly does not apply to the funding we receive as a nation.
ParlaMint-GB_2022-07-05-commons.u267	It is a pleasure to follow the hon. Member for Carmarthen East and Dinefwr (Jonathan Edwards), and I will refer in my speech to some of the comments he made. The hon. Member for Rhondda (Chris Bryant) made an interesting comment about the strategic aspect, perhaps suggesting that there should be less competition within the funding arrangements. I may address that as I move through my speech. This is a timely debate, given the concerns about rising prices and the strength of the economy. We must recover and adjust to a post-pandemic era. We must also deal with the distortion of global markets by the invasion of one of the world’s largest grain producers by one of the world’s largest exporters of hydrocarbons. These are rough seas for anyone to navigate, and I am unequivocal that Wales is better for doing so as part of, and within, the UK. To use the example of tourism, in Wales we have just 2% of all visitors to the UK. Wales can clearly benefit from attaching itself firmly to the UK’s global offer, and from attracting more visitors to come and see what is unique, special and distinctive about Wales.
ParlaMint-GB_2022-07-05-commons.u268	I would be delighted to agree with the hon. Gentleman that Wales should hitch itself to the UK effort, if that UK effort was any good at all for Wales. My impression, after many years of examining the UK’s efforts to promote Wales, is that it is hopeless. Does he agree?
ParlaMint-GB_2022-07-05-commons.u269	I certainly agree that we can do better. To be clear, I speak in this debate as a proud Welshman—Cymro balch, if I am allowed to say that in the Chamber—born, raised and schooled near Bangor. I have the honour of representing Aberconwy, which is by any measure one of the most beautiful parts of Wales, and indeed the United Kingdom. It should be no surprise that my constituency attracts hundreds of thousands of visitors from throughout the UK and overseas. Llandudno, the queen of the Welsh resorts; the natural splendour of Eryri, Snowdonia national park; Conwy castle, one of several UNESCO world heritage sites that we enjoy in north Wales and are happy to host; and a thriving hospitality and culinary scene—these are just some of the attractions that make Aberconwy the visitor success that it is I share the pride felt by so many of my constituents in this thriving sector, but I also share the concern of many that we are so dependent on tourism, and the concern that, for so many young people, the only chance of pursuing a high-skilled, well-paid career lies in moving away from their community. This pattern has been detrimental for many and to the future of many, and not least also to the viability of our precious Welsh culture and language—a language that I, like so many in all parts of the Chamber, wish to see flourish I had to move away from north Wales to develop my interests and career, initially as an engineer. In many ways, it is a typical north Wales story, but it cannot be right that our young people have to think in those terms—that to see themselves working, living and settling in north Wales, they must first move away; but then I notice, when I look at Wales’s economic figures, that weekly income over the last 20 years has essentially just about kept up with inflation. There has been no net increase. Why is that? It is a frustration, because Aberconwy is home not just to many of the UK’s finest visitor attractions, but to talent and ingenuity Just last winter, an analysis of Companies House returns identified Llandudno, the queen of resorts, as the entrepreneurial capital of the UK. More new companies were filed there than anywhere else. That has to count for something, and it certainly reflects the conversations I have with many young and ambitious people in Aberconwy. Each and every week when I am home in my constituency, I visit businesses and community groups, and I am always impressed by the entrepreneurialism, and the commitment to growing, creating and strengthening things. Whether we are talking about business, people, groups or even our communities, there is huge ability and interest in improving what we have As we have heard, talent is distributed throughout the United Kingdom, but opportunity is not. Creating opportunities in communities in every corner of Wales, and indeed the whole UK, is at the heart of this Government’s levelling-up agenda. That is why I welcome the record amounts of funding and investment coming to Wales from the UK Government. However, there are three frustrations that I would like to set out, and they speak to why levelling up could not be more urgent for communities throughout north Wales. It is a tragic fact that, after 24 years of devolution and a consistently Labour Welsh Administration in Cardiff, despite all the promises, all the opportunities for devolution and our vast economic potential, Wales has the lowest economic output of anywhere in the UK apart from north-east England, a region with its own unique challenges.
ParlaMint-GB_2022-07-05-commons.u270	I am listening to the hon. Member with great interest, because he is making some persuasive arguments, but does he agree that devolution for Wales has not equipped Wales with the tools to make a significant difference? We have seen Labour managing poverty in Wales, rather than having the means to make a difference. He talked about tourism. Does he agree that if we are to play to our strengths, we should have a tax on people staying in Wales—what is known as a tourism tax? That would surely be a way of improving our skills base, which would lead to better jobs, better qualifications and a better experience all round for communities in which there is tourism. Does he agree that we should play to those strengths, and that we need the means of doing that?
ParlaMint-GB_2022-07-05-commons.u271	The right hon. Lady’s intervention gives me an opportunity to make a really important point. I think that we have a fundamentally different view of the world. Effectively, she is referring to a deficit model, in which the deficit from poverty and need is something that must be filled. I come from a different perspective. I hold to what I would call an asset-based model. Yes, there are problems, gaps and shortages, but the way to deal with them is not simply to try to fill the deficit; it is to engage with and use the assets that are there I have spoken against the tourism tax. I feel very strongly that a tax placed on visitors who stay in hotels does nothing to address problems, or the behaviours of those who come to the area and wild camp, or do not even stay overnight, and who do not spend money in the local economy. I understand the sentiment behind the tax, but its motive is to make the money to fill or fix the deficit. We should instead ask: how do we work with communities and businesses to change the behaviour of visitors, address their experience, and address inappropriate behaviours in our area Our frustration comes from seeing that we have talent, but limited opportunities. That is compounded by our having one of the lowest income outputs of anywhere in the UK. On top of that comes frustration with some of the responses of the Welsh Labour Government. I say that in all sincerity. In a recent letter to leaders of local authorities in Wales, the Welsh Government Minister for the Economy wrote that “the Welsh Government is unable to endorse the approach that the UK Government is taking on the Shared Prosperity Fund. This means, as we have consistently stated to the UK Government, that the Welsh Government will not deploy our own resources to implement UK Government programmes in Wales which we consider to be flawed. ” I, like many others, am frustrated by this approach. Surely it is counterproductive to second-guess how a UK Government funding stream for parts of the UK will be handled.
ParlaMint-GB_2022-07-05-commons.u272	My intervention is in response to the right hon. Member for Dwyfor Meirionnydd (Liz Saville Roberts), who argued that Wales needs more tools. The tools that we have already given to the devolved Welsh Government have not been fully used. I give the example of income tax. Does my hon. Friend the Member for Aberconwy (Robin Millar) agree that one thing we could do in Wales is cut the top rate of income tax—that is something for which the Welsh Government have responsibility—and attract high-value tech entrepreneurs and their families to Wales, which would create more jobs and businesses?
ParlaMint-GB_2022-07-05-commons.u273	I thank my right hon. Friend for making that point. I could not agree more. Contrast that deficit view, which seeks to fill, with an asset-based view, which seeks to grow, encourage and stimulate that kind of economic activity.
ParlaMint-GB_2022-07-05-commons.u274	rose—
ParlaMint-GB_2022-07-05-commons.u275	How could I possibly refuse the hon. Member?
ParlaMint-GB_2022-07-05-commons.u276	In the interests of consistency, does the hon. Gentleman agree with cutting VAT for hospitality businesses, rather than increasing it, as happened recently after the pandemic?
ParlaMint-GB_2022-07-05-commons.u277	I would settle for not adding a tourism tax on top of VAT Contrast the Welsh Labour Government’s view that we should not implement UK Government programmes in Wales with the more enlightened view of the Welsh Local Government Association, which, in its manifesto for localism, said that “greater fiscal autonomy and flexibility” should be at the centre of its plan for recovery from the pandemic. That is what the levelling-up fund and the shared prosperity fund seek to do I said that I had three points. My third is to do with misunderstanding business. As my right hon. Friend the Member for Preseli Pembrokeshire (Stephen Crabb) mentioned, we in the Welsh Affairs Committee are very grateful to have Welsh Government Ministers in attendance at our Committee. Without a doubt, it enriches the evidence presented to us and our discussions. When the former Minister of the Economy, Mr Skates, attended, he was asked a question about the Welsh economic plan. This flagship project of the Welsh Government sought to sign up Welsh businesses to it. After some discussion, we established that the aim was for 3% of Welsh businesses—some 6,000—to sign up. I put it to him in our meeting that the reason for the low take-up was the unrealistic expectations placed on businesses in Wales. The time and financial commitment that it takes to sign up to making quite honourable and desirable—idealistic, I suppose, is too strong a word—steps towards decarbonising business and making it more sustainable are simply crushing for small businesses. After all, 95% of businesses in Wales have fewer than 10 employees In that context, I will make a comment on the question asked earlier about the amount of funding coming into Wales. Despite concerns about performance, and despite the frustration, and confusion or misunderstanding, about what businesses need, the reality is simple and irrefutable: there has never been more funding coming into Wales, if we perhaps except the blip that came through the consequentials around the covid pandemic Let us start—and start we must, because this is a long list—with the spending review. In 2021, we set the largest annual block grants for the Welsh Government: £18.4 billion per year. That will increase to £20 billion between 2022 and 2023. If comparison is helpful, over the spending review period the UK Government are providing the Welsh Government with roughly £1,000 more per person than is spent in England. That block grant increase is in addition to £900 million for farmers and land managers over the next three years, and the £6 million for Welsh fisheries That is not all: there is also the first round of the levelling up fund—yes, there are more rounds to come—which is £121 million, and there is £46 million through the community renewal fund. Perhaps hon. Members can see a pattern here. That is in addition to the £460,000 in just the first round of the community ownership fund and, lest it feel left out, the £130 million of investment by the British Business Bank All that funding speaks to the points so helpfully made by the right hon. Member for Dwyfor Meirionnydd (Liz Saville Roberts), and highlights the difference between a deficit-based and an asset-based approach, because all that is also in addition to Wales’s 22% share per annum of the UK-wide £2.6 billion UK shared prosperity fund—a fund that ensures that EU funding is matched. Those are not my words; on 11 June, during an evidence session of the Senedd’s Finance Committee, Guto Ifan, a research associate at the Wales Governance Centre—an organisation that has never been slow to criticise this Government—stated: “by 2024-25, the annual funding from the shared prosperity fund will match the average annual funding that Wales would have received” from the European regional development fund and European structural fund, after inflation readjustments. All that long list comes on top of substantial legacy EU funding, which Wales will continue to receive as it tapers off I could speak at length—[Interruption. ] I assure you that I will not, Madam Deputy Speaker; I would not deprive hon. Members of their time—but the money coming into Wales offers a huge opportunity to my Aberconwy constituency and north Wales. It is incredibly positive and forward-looking of the UK Government to act in this way. Local businesses are excited by it, and I see tremendous potential in the projects and bids we will submit to the levelling up fund bidding process In conclusion, we must ask what has happened in Wales in economic terms. It is not in a good place; it has not been in a good place, and there is no suggestion that that will improve as long as the Welsh Labour Government continue with their economic plans, which have, after all, been under their devolved capacity for the entirety of the Welsh Government’s existence.
ParlaMint-GB_2022-07-05-commons.u278	I congratulate the right hon. Member for Preseli Pembrokeshire (Stephen Crabb) on securing this debate, and thank the Clerks on the Welsh Affairs Committee, who do sterling work for us I do not really know where to begin; as I listened to the hon. Member for Aberconwy (Robin Millar), I felt as though I was living in an alternate universe. I could not disagree with him more, unsurprisingly, and I will outline why. I start by saying how proud I am, as I know other hon. Members in this Chamber are, of Wales, the Welsh Government and what we have achieved. We are the only country in the UK to have had a Labour Administration since the inception of devolution, and currently they are pursuing in Wales progressive, bold, socialist policies, including the extension of free school meals to all primary school children, the universal basic income pilot, the living wage for key workers, and a major cost of living crisis support package. Contrary to what Conservative Members have said, the UK Government have actually cut funding for Wales. Looking at this year’s main estimate for funding in the memorandum to the Welsh Affairs Committee, I see that the cuts are significant, indicating over £2 billion in comparison with the previous year. I have that document if anybody wants to see it. The budget is going to be worth £600 million less over the spending review period because of mismanaged inflation, and, contrary to what Conservative Members have suggested, EU funding will be £1 billion less by 2024-25 That reduction in funding is a clear example of the UK Government holding back Wales on its ambitious policy agenda. They are not providing the funding and investment we require, particularly during this historic cost of living crisis—the worst in living memory. The UK Government are continuing to pursue their agenda of ideological austerity and recentralisation of power in Westminster, bypassing the democratically elected Government of Wales, as we are seeing with the levelling-up fund, the community funds associated with the post-Brexit agenda, the United Kingdom Internal Market Act 2020 and the Elections Act 2022. In all sorts of areas, the UK Government are riding roughshod over the democratically elected Government of Wales. This goes against Welsh Government priorities and, as I have said many a time, it is an affront to democracy. The people of Wales backed a Labour Government who champion devolution and progressive policies and look to protect public services and, indeed, public ownership The Welsh Government’s Finance Minister has condemned “clear gaps in funding” in the spending review and called the spring statement a “threadbare” one that exposed “an out-of-touch Chancellor” I could not agree more. It is vital that the block grant allows the Welsh Government to lift incomes and investment, even if the UK Government will not. Earnings in Wales and the proportion of people on low incomes in Wales are worse than in the rest of the UK. In my constituency, I commissioned some research on the post-covid economy that was conducted by the Bevan Foundation, looking at community wealth-building approaches. The evidence was shocking. The median earnings of working residents are well below both the Welsh and the UK averages. Another piece of research that was recently conducted on the cost of living crisis exposed harrowing experiences. Over 30% of respondents had skipped meals over the past year to keep costs down—over 60% in the case of benefit claimants The central issue facing both the UK Government and the Welsh Government is how to deal with the impact of inflation by lifting incomes in real terms. There are key immediate actions that can and need to be taken. On trade unions, as the Welsh Government pursue their new Social Partnership Council, the UK Government must not undermine Welsh Government legislation on industrial relations. On pay, the UK Government must listen to Wales TUC and consult the Welsh Government in responding to trade union public sector pay demands. On social security, the UK Government must adopt the Welsh Affairs Committee’s recommendation to reintroduce the £20 universal credit uplift and extend it to legacy benefits, and, in addition, use near-term inflation forecasts to increase benefits On levelling up, the UK Government must allocate adequate funding from the shared prosperity fund to Wales, and it should go through the Welsh Government, which is the Government of Wales. On other revenue sources, the UK Government must begin a process of equalising the role of the Welsh Government over the Crown Estate with that of Scotland, as has already been mentioned We also have to look at the powers in the long term and at how funding is allocated to Wales. The Barnett formula is inadequate and does not work. The introduction of a floor to prevent underfunding of public services in Wales and a discussion about devolving corporation tax and capital gains tax merit UK-wide debate, as recommended by the Holtham commission To conclude, there is a lack of trust in the UK Government delivering the funding necessary to alleviate the cost of living crisis from the people of Wales and my constituency of Cynon Valley. Because of that lack of funding, the Welsh Government are severely constrained in how they can deal with that crisis and, as I said at the outset, how they can push forward their innovative ideas, which they are doing in co-operation with other parties, and I again put on record that I fully support the co-operation agreement. It is because of those constraints that I support the First Minister pursuing an agenda to strengthen the Senedd and to give Welsh politics greater clout to fight its corner and to fight for the funding it deserves. I am sure that in time we will secure it.
ParlaMint-GB_2022-07-05-commons.u279	It is a pleasure to follow the hon. Member for Cynon Valley (Beth Winter), for whom I have the highest respect. We do not always agree on everything, but having served on the Welsh Affairs Committee with her and various other Members present here on both sides of the House, I echo her words in praising the staff who make the Welsh Affairs Committee run so well. We discussed this debate in the Committee and we all feel, whichever political party we represent, that this important event enables us to bring the affairs of Wales to the Floor of the House, which we all are keen to do My own upbringing was in the tourism industry—we have had much talk about it already in this debate—at the Lake Vyrnwy Hotel, which my father ran as a business. It is only a few miles south of my constituency of Clwyd South, which in itself has a wonderful tourism industry with the wonderful heritage, the canal, the steam railway, the beautiful countryside and so on. I will return to that theme later With all due respect to the hon. Member for Cynon Valley, I do not recognise her point about the spending review cutting money to Wales. Given the figures that my hon. Friend the Member for Aberconwy (Robin Millar) gave—I will not go back over all those—it seems self-evident that the block grant to the Welsh Government is rising year by year by a generous amount. I do not see how we can dispute that fact. At £18.4 billion rising to £20 billion in the coming year or two, it is the most generous spending review settlement since devolution There has also been mention of the fact that the amount of money coming from Europe to Wales will be cut. With all due respect, that simply is not the case. The shared prosperity fund will equalise, if not increase the amount of money that would otherwise have come from the European Union. The hon. Member for Rhondda (Chris Bryant) made the point about the levelling-up fund not being fair. As an MP for north-east Wales, I would argue that the European funding was not fair, because it was concentrated on west Wales and south Wales. North Wales, mid Wales and north-east Wales had little representation in that. My argument is that all parts of Wales need support. My constituency and my neighbouring constituencies have deprivation as well—deprivation is not exclusive to south Wales or west Wales. Therefore, the new shared prosperity fund, and the other funding that is coming through in the levelling-up fund and the community renewal fund, are spreading the money and investment across Wales, which strikes me as being much fairer.
ParlaMint-GB_2022-07-05-commons.u280	Does the hon. Gentleman agree that the drawing up of the NUTS—nomenclature of territorial units for statistics—maps that identified west Wales and the valleys as targets of European intervention was an objective process, based on clear metrics? Does he think that the metrics for the levelling-up fund are equal or superior to those that led to the drawing up of those maps?
ParlaMint-GB_2022-07-05-commons.u281	Actually, I do think that the way it is being done now is fairer. I could never understand that schematic system, which was rigid in its thought process and implementation, and which meant that areas of deprivation, particularly in north Wales, were simply not going to get the level of funding. I am not saying that there was no European funding—there was some—but it was not anything like the largesse that went to west and south Wales. That simply cannot be right. The new system is much fairer in its thought process and application Another point that I feel strongly about is devolution, about which we have heard from several Opposition Members. To my mind, if the granting of money is devolved from the UK Government to local authorities, that is devolution. Why should it go to the Welsh Government, who already get a huge block grant and have plenty of scope within their remit of government to spend that money? It seems that they like devolution if it comes into their coffers, but they do not like it when it goes into the coffers of the local authorities.
ParlaMint-GB_2022-07-05-commons.u282	The Government’s form of devolution is different and does not work because it is a beauty parade. Councils are asked to bid and then some get the money and some do not. It is not a fair form of devolution, because it pits one council against another with an opaque mechanism for deciding how councils get the money. At least if it goes to the Welsh Government, it is clear how Wales is getting the money.
ParlaMint-GB_2022-07-05-commons.u283	With all due respect, I have been part of that process. As the Member for Clwyd South, I sponsored a bid, which was granted. One point I would make—[Interruption. ] Opposition Members can make their point, which I know and which I anticipated, but let us take the world heritage site at the Trevor basin in my constituency, which includes the wonderful Thomas Telford aqueduct. Hitherto, it has never had any public money invested in it by the Welsh or UK Governments. I think that the constituencies of Opposition Members have received money for so long that they do not understand how starved places such as my constituency have been over a long time The hon. Member for City of Chester (Christian Matheson) said that the process pitted councils against each other, but that is not how I see it. Let us look at the process, in which I have been involved. Every council can apply, although some Labour councils do not because of a political point of view, which seems a very strange approach when the money and availability are there. It is not really pitting people against each other; it is an application. The Welsh Government are themselves an opaque mechanism for distributing money to regions such as north Wales. Those of us who represent north Wales constituencies are fed up with north Wales being starved of investment and south Wales in particular getting the lion’s share. For us, it is a much fairer system The hon. Member for Carmarthen East and Dinefwr (Jonathan Edwards) referred to the financial problems that are besetting the country. I accept that we have high inflation and so on, but if Wales were independent, how would he get round the fact that its national net fiscal deficit—the gap between total public spending for Wales and public sector revenues from Wales—amounted to £25.91 billion at the financial year end in March 2021? This is about £8,200 per person compared with the UK average of about £4,700 per person. It seems to me that, if we went down the route suggested by Plaid Cymru Members, we would have a huge financial problem in Wales, and we never ever hear any cogent arguments to oppose that point of view. If they are going to vote for independence and to go for independence, they have to prove to the country how they would make the books balance.
ParlaMint-GB_2022-07-05-commons.u284	I am grateful to the hon. Gentleman for taking an intervention and inviting me to respond to him. Does he not accept that the fiscal deficit is a damning indictment of failed Unionism? That is what it is: it is because of the failure of the Westminster system.
ParlaMint-GB_2022-07-05-commons.u285	I and other Conservative Members refer to the fiscal deficit to make the point that England and the rest of the UK—the UK overall—is supporting Wales to a massive extent. On the hon. Member’s point about the fiscal deficit, Wales simply does not generate the funds for the public sector services we have; they are provided by the overall advantages of being in the United Kingdom, which are massively beneficial to Wales.
ParlaMint-GB_2022-07-05-commons.u286	I am grateful to my hon. Friend for opening the lid on this complex and important question of devolution. Does he agree that there is a difference between the instruments of devolution—the institutions of devolution that were democratically set up by a referendum—and their political operation, since they were set up, by the Welsh Labour Government? Does he see a distinction?
ParlaMint-GB_2022-07-05-commons.u287	Yes, I certainly do. One question the Labour party must ask itself is whether, by going into collaboration with Plaid Cymru, it is actually supporting independence for Wales. How does it guard against that? The agenda is dragging it, day by day, closer to an independence agenda, which it is prepared to risk for the sake of its own political stability.
ParlaMint-GB_2022-07-05-commons.u288	One thing we need to consider is how the status quo results in Wales’s current financial position. Carrying on doing the same thing when it has led to failure in the past is the obvious statement—that is something else to be considered. Does the hon. Member agree that, in citing how much Wales receives, we must bear in mind that London receives more public spending per person than any other country of the United Kingdom or region of Wales at £15,490 per head, compared with Wales at £14,222 per head? When we use the argument that Wales receives more than England, we should look at the fact that London and its prioritisation affects the rest of the UK. We in Wales are trying to find a more effective way.
ParlaMint-GB_2022-07-05-commons.u289	I thank the right hon. Lady for her intervention, and I have a degree of sympathy in that I believe we should support areas outside London, but the fact of the matter is that London generates the income that it spends. London, regardless of whether she or I like it, is the economic powerhouse. We represent adjoining constituencies in a very beautiful part of Wales, but the truth remains that a large proportion of Treasury finance is generated by London. Overall, the point I wish to make is that public spending in Wales is 20% more per person than it is in England, which shows, to my mind, that the UK Government are providing very strong support for Wales I have huge respect for the hon. Member for Cynon Valley and have seen how seriously she takes the cost of living issue, and learned a lot from listening to her in the Welsh Affairs Committee. I suggest that two things may be worth thinking about from the Labour party’s point of view. First, under Labour council tax bills in Wales have soared, while the UK Government have ensured that council tax has fallen in England in real terms by 1.1% since 2010. Over the same period, bills in Wales under Labour soared by 54%, or 17% in real terms. That really hits people in Wales in their pocket. Secondly—my right hon. Friend the Member for Preseli Pembrokeshire (Stephen Crabb) made this point—the Welsh Government now have the capability to use income tax to raise more money, or indeed to reduce income tax, yet we never hear any word of that. I often wonder whether the Welsh Government are scared of using those powers. We see all the time that an easier way to handle things is to complain about the UK Government but take the money, rather than actually thinking about ways to ameliorate the situation through levers that have been put in the hands of the Welsh Government. I also wish to comment on infrastructure, because it seems crazy to me that the Labour-Plaid coalition has suspended all new road building projects, holding back vital infrastructure improvements. If we want to improve the economic performance of Wales, we must improve the infrastructure—everybody knows that—and I hope that the Labour Welsh Government will reconsider that position Finally—you will be relieved to hear that, Madam Deputy Speaker—the Labour-Plaid coalition must also think hard about adding 36 more politicians to the Senedd at a cost of over £100 million per Parliament. That is enough money to pay for 780 doctors, 800 nurses, or 740 teachers. Let us consider the Welsh health service performance—I think Opposition Members have also commented on this. For example, the number of people waiting more than two years in Wales is now 68,032—an increase of 887% in a year—and that is more than five times the English figure of 12,735, which is shrinking fast. All I would say is that the Labour-Plaid coalition should think about spending the money that they are going to spend on extra members of the Senedd on improving the health service, which would be to the benefit of everybody in Wales.
ParlaMint-GB_2022-07-05-commons.u290	It is a pleasure, as always, to follow the hon. Member for Clwyd South (Simon Baynes), and I join him and the hon. Member for Cynon Valley (Beth Winter) in thanking the staff of the Welsh Affairs Committee. A number of Committee members are present this afternoon, and we benefit from their hard work and diligence in preparing what I would argue is an impressive range of inquiries. We punch above our weight—very much like Wales, perhaps I congratulate and thank the right hon. Member for Preseli Pembrokeshire (Stephen Crabb) for securing this debate and for leading the Welsh Affairs Committee in the way that he does. His contribution, and those of my hon. Friend the Member for Carmarthen East and Dinefwr (Jonathan Edwards) and the hon. Member for Aberconwy (Robin Millar), have already caused us to discuss the structural long-term problems that Wales and its economy are facing, and the demographic consequences of those structural problems. Mention has already been made about recent census results in which Ceredigion reported a 5.8% fall in its population. I do not intend to pursue that line of inquiry in my remarks this afternoon, but it is an important area for us to consider and debate in future, because it is intertwined with the debate about levelling up and building a more prosperous economy, and indeed society. In many rural areas, and particularly areas such as Ceredigion, we are seeing a demographic trap in which some of our biggest and most valuable exports are our young people and skills. Yes, that has been happening for many years, but sadly the trend has been accelerating in recent decades. We need to get a handle on that I want to focus my remarks on the impact of the recent cost of living crisis on both households and businesses. Set against that backdrop, the debate is timely. As right hon. and hon. Members will be well aware, our constituents, whether households, businesses or community groups, are struggling under the weight of increased fuel and energy costs in particular. In anticipating some of the Secretary of State’s arguments and comments in summing up, I acknowledge that there has been a package of measures and support from the UK Government. As the Library’s briefing informs us, it amounts to some £37 billion and includes: £400 to help all households with energy bills; £650 for households receiving means-tested benefits, with an additional £300 for pensioners and £150 for people receiving disability payments; and a further £150 council tax rebate for households in council tax bands A to D.
ParlaMint-GB_2022-07-05-commons.u291	My hon. Friend is making an excellent speech. On that £400 household grant, does he share my concern that the residences of farmers count as businesses and therefore do not qualify? That is significant for us in Wales and would make a difference to an awful lot of people in rural areas.
ParlaMint-GB_2022-07-05-commons.u292	I am grateful to my right hon. Friend for raising that important point. Indeed, a number of hon. Members are concerned about that. There is still a lack of clarity arising from the technical consultation on the energy bills support scheme about whether farms—I am told that most of them will have a commercial electricity contract that also includes their household premises—will be able to receive that £400. It is important for the Government to look at that now before introducing the scheme in the coming months. She is right that it would not be appropriate or fair if farmers—many hon. Members in their places represent a great number of them—lost out due to a technicality. I am certain that the Government intend to support those individuals and households; it is just that the technical eligibility criteria need to be put right One thing that the useful House of Commons Library briefing tells us is that, despite that rather impressive package of measures, once we take into account changes to income tax and national insurance contributions, some of that support is offset, at least in net cost to the Treasury. If we were to take tax increases into account, net Government support stands at about £14 billion in the fiscal year 2022-23 We need to consider whether the package of support is sufficient, given that we know that domestic gas prices increased by 95% between May 2021 and May 2022 and that domestic electricity prices rose by 54%. In nominal monetary terms, the April price cap saw an increase in the maximum for average bills from £1,277 a year to £1,971 and, in May, the chief executive of Ofgem mentioned that he expected the price cap to rise by potentially 40% in the autumn to a maximum of £2,800. That would be a doubling in less than 18 months, and that is why it is important that we consider the sufficiency of the measures already announced. Just after April’s price cap came in, the Welsh Government estimated that 45% of households in Wales could fall into real fuel poverty—and, of course, that does not take into account further increases that may come in the autumn As MPs representing rural areas know, the energy price cap offers solace only to households on the mains gas grid. Many off-grid properties have not been offered the same level of price protection and have been exposed to significant price increases in terms of heating oil and liquefied petroleum gas. It is particularly true in Ceredigion, I am sad to say. According to the Mid Wales Energy Strategy, as many as 72% of properties in Ceredigion are off the mains gas grid. I am sad to say that we have the accolade of being the constituency most dependent on heating oil of any in the UK Parliament. On average, the price of heating oil has risen by 150% in the last year. In some circumstances, the increases have been significantly higher There is a debate we need to have, perhaps not for today, on whether we need to change approach in how we tackle the price hikes. Are we certain that they are just one-off temporary increases? Some suggest that we have underestimated and under-costed the risks, and that some increases are here to stay. Indeed, we could see further price increases. I note just today turbulence in Norway that might cause a further increase in the price of wholesale gas. There are a lot of uncertainties at a time when wholesale prices are already at an elevated level Before drawing to a close, I should mention that we need to do more to support small businesses and community groups facing energy and fuel price increases. I have been speaking to many hospitality businesses in Ceredigion. One told me that its energy bills have increased by 450% and to such an extent that it had to really consider whether it could continue to operate. The situation is not unique to that business. I know a great number of many other businesses that are struggling in a similar manner. We cannot allow otherwise valuable and successful businesses to fall foul of the price hikes. I sincerely believe that the situation warrants further Government intervention To add to that, because I do not want to portray this as solely an economic problem, there is also a community or social impact of the current crisis. We will all have heard from community groups, halls and swimming pools—you name it—that are struggling at the moment with higher than average energy bills. We are currently in the summer months, so usage is a lot lower than it will be in the winter. If they are struggling now, I dread to think where they will be in autumn. For example, in my own constituency, Calon Tysul, a community-run swimming pool in Llandysul in the Teifi valley, is already spending about £1,500 a week just to heat the swimming pool. That does not include the dry side of its facilities. That is already forcing it to make very difficult decisions about the provision of swimming lessons for our young people.
