ParlaMint-GB_2022-03-17-commons.u1	1. What steps his Department is taking to encourage the use of electric vehicles.
ParlaMint-GB_2022-03-17-commons.u414	I congratulate the hon. Member for Lanark and Hamilton East (Angela Crawley) on securing this debate, following the debate that we had in Westminster Hall, and I thank the Backbench Business Committee for allowing us to discuss this important and sensitive issue. It is so important that we hear the examples that she mentioned. We must give our sympathies to people who have lost a much-wanted baby at any stage of their pregnancy, including though miscarriage, and always reach out to them and support them. She spoke with much passion, as she always does on this issue, and I am grateful for her continued work to raise awareness of the significant impact of baby loss at any stage on those parents. I also thank everybody who contributed to the debate and supports the discussions around baby loss The hon. Member asked what the Government are doing to support people following a miscarriage. I am pleased to say that we have support in place for both employers and employees, to guide employers to do the right thing by their staff and to protect employees when they need to take time off. I have talked about how losing a baby at any stage is devastating and how those people need their employers to respond with compassion I want to set out briefly the wider work that the Government are talking forward on women’s health, including in the workplace, because this is integral to the strategy. In March 2021, we announced the establishment of England’s first women’s health strategy, led by the Department of Health and Social Care. Health in the workplace, fertility, pregnancy, pregnancy loss and post-natal support will be priority areas in that strategy. As we have heard, damaging taboos and stigmas remain around many areas of women’s health, and they can prevent women from starting conversations about their health or seeking support for a health issue, whether through medical help or help from their employers. When women do speak about their health, all too often they are not listened to. We are determined to tackle those issues. Women need to feel supported in the workplace, and those taboos are broken down through open conversation Our vision for the women’s health strategy, which was published on 23 December 2021, sets out an ambitious and positive new agenda to improve the health and wellbeing of women across England. We will publish the full strategy later this year. The Government have an active agenda on work and health more widely. One example of that is our response to the “Health is everyone’s business” consultation published in July 2021, which sets out measures that we will take to protect and maintain progress made to reduce ill health and related job loss and to see 1 million more disabled people in work from 2017 to 2027. Those measures are part of the wider support system that I mentioned and are key steps in our effort to change the workplace culture around health and sickness absence. Changing that culture through opening up conversations in the workplace will benefit anyone who has health issues at work, including those who have lost a pregnancy So far I have talked about physical health, but for some people the feelings of grief and loss associated with a miscarriage are overwhelming and have an impact on their mental health. Our excellent national health service is there to support individuals when such feelings are particularly debilitating, or are likely to have a longer-term impact on their mental or physical health. We are expanding access to psychological and talking therapies within specialist perinatal mental health services, with 26 hubs due to open by April 2022. The hubs will offer treatment for a range of mental health issues, as well as bereavement services As part of the Government’s commitment to build back better, we published our mental health recovery action plan, which is backed by an additional £500 million this financial year to ensure we have the right support in place. That is in addition to the £2.3 billion of additional funding we are investing in mental health services by 2023-24. We also remain committed to achieving parity between mental and physical health services and reducing mental health inequalities. We are making good progress, with investment in NHS mental health services continuing to increase each year from £11 billion in 2015-16 to £14.3 billion in 2020-21 I know that the hon. Member for Lanark and Hamilton East (Angela Crawley) is specifically interested in, and always speaks passionately about, a leave entitlement for miscarriage. Parental bereavement leave and pay may not be that entitlement, but it does two important things. First, it supports parents who have suffered that tragic unimaginable loss we have talked about. Secondly, it sets a statutory baseline for employers, sending an important message that the Government expect employers to support their staff following any type of bereavement. That bereavement leave is available to parents who have lost a child under 18 or who have suffered a stillbirth after 24 weeks. That definition of stillbirth is a clinical one Miscarriage is undoubtedly a very personal experience and some people affected may want to stay at home, while others may prefer to continue to work or alternatively need time off later. That is why the Government support employers and employees to have those conversations about what is happening in their lives and what support they need, giving them the flexibility to have that approach. Employers are best-placed to understand their own people and to develop a solution that works for the individual There are really good examples of companies treating their employees with compassion and going beyond the statutory minimum we set. That is valuable to the employer as well as to the employee. Increased loyalty to employees can improve the retention rate. There is a bottom-line argument for employers, because after investing time in people it seems daft to then not give them the flexibility to keep them within the workforce. Rewarding them well will keep them productive if they feel a valued member of the team We heard about the pregnancy loss pledge, which is an excellent example of exactly what I have been saying: encouraging employers to show empathy and understanding towards people experiencing pregnancy loss, and having a supportive work environment where people can openly discuss their needs following a loss In this difficult economic climate, the Government are mindful of placing extra statutory burdens on businesses, but for those businesses that can go further we strongly encourage them to do so. We fully expect that in time others will follow that lead. On flexibility, I can give the example of ASOS, which has life events leave. In recent debates we have talked about endometriosis, neonatal care, other caring responsibilities, menopause and now miscarriage. All those things fit partly within the women’s health strategy I was talking about, but in those life event situations it is absolutely incumbent on employers to value their people and show flexibility if they want the reward of their employees remaining productive and loyal in turn When it comes to helping employers to be sympathetic and supportive, one of our most important tools is guidance. We recently commissioned a significant update of the guidance on “Managing Bereavement in the Workplace”. That includes a new section on supporting employees after a miscarriage before 24 weeks of pregnancy and offers examples of best practice. The guidance can be found now on the ACAS website. Flexible working is integral to this issue. Yes, it is not a replacement for leave, but having access to flexible working arrangements can be a really important tool to support those in employment who experience a difficult life event. Changing a work pattern can provide individuals with the flexibility they need to balance their work commitments with their personal lives during such challenging times. Having a statutory right to request a temporary or permanent working arrangement could therefore be beneficial to individuals grieving a miscarriage We have taken forward our manifesto commitment to consult on making flexible working the default unless employers have good reason not to do it. That consultation contained measures that would increase the availability and support the uptake of flexible working arrangements, including whether to extend the right to request flexible working to all employees from the first day of employment. We have received 1,600 responses and we are going through them now. We will issue our response in due course.
ParlaMint-GB_2022-03-17-commons.u415	I just want to clarify: is the Minister seriously suggesting that someone who has had a miscarriage should make a flexible working application, which could take weeks or months to resolve?
ParlaMint-GB_2022-03-17-commons.u416	I am saying that it is one of the tools for employers to value their people, which is why we want to ensure that we can have a tailored response to people’s life events. I talked about miscarriage and we have also rightly talked about all the other areas, including women’s health and, indeed, men’s health, whether that is mental or physical. Flexible working can be at the heart of wraparound care for employees, but it is not the only tool.
ParlaMint-GB_2022-03-17-commons.u417	Those of us on the SNP Benches often accuse the Government of stealing ideas from their distant cousin, the Liberal party of Australia. Is this not a case where the Liberal party of Australia is correct and more progressive than this Government on paid miscarriage leave?
ParlaMint-GB_2022-03-17-commons.u418	I am saying that we want to work with employers. We want to showcase the very best and to explain to employers—rightly—that any statutory limit we set is a minimum limit. Any sensible employer that values its people understands that very few businesses, if any, are anything without loyal, productive people. They can value them by showing increased flexibility, including through the examples that I gave of compassionate leave for life events Our consultation also talked about ad hoc flexible working and we want to explore how non-contractual flexibility works in practice. That can be done far faster than over the weeks talked about by the hon. Member for Ellesmere Port and Neston (Justin Madders). I have discussed the question with the flexible working taskforce, which will ensure that the role of ad hoc flexible working and the question of supporting women with health conditions are part of its considerations We have heard about employment measures and when they are coming to the House. I reassure Members that the Government are committed to building a high-skill, high-productivity and high-wage economy that delivers on our ambition to make the UK the best place in the world to work and grow a business. We will do that by continuing to champion a flexible and dynamic labour market and as we build back better we will introduce new employment measures to make it easier for people to enter and remain in work as soon as parliamentary time allows I extend my condolences once again to anyone who has experienced the loss of a baby. I understand and sympathise with the difficulties suffered by parents in this situation. I have highlighted some of the broad range of activity that the Government already have under way to support people in the workplace who experience difficult life events, including those who have lost a baby. It is also the case that employers have an important part to play because they know their employees and that a supportive workplace benefits both employees and employers, including on productivity and wellbeing I thank the hon. Member for Lanark and Hamilton East once again for her contributions to the debate and I thank everybody who has worked hard to raise awareness of the impact of miscarriage.
ParlaMint-GB_2022-03-17-commons.u419	On behalf of everyone who supported the motion, the private Member’s Bill, today’s debate and the Westminster Hall debate, I want to say with no disrespect to the Minister, who I know has a very large brief, that I do not feel he is listening to the volume and weight of the people who have asked the Government seriously to consider miscarriage leave. It is essential, it is important and without statutory provision too many employers will not make provision. It is fine to say that there is a gold standard and best practice, but when there is no statutory obligation too many employers will not do it. That means that too many families and too many parents will still suffer alone and in silence, and that is not good enough Question put and agreed to. Resolved, That this House calls on the Government to introduce paid miscarriage leave; notes that in the UK, two weeks parental bereavement leave and pay is in place after stillbirth, however there is no such support for anyone who has experienced a miscarriage before 24 weeks of pregnancy; believes that miscarriage is an extremely traumatic experience and that more support should be provided to families that experience such a loss; understands that the New Zealand Parliament unanimously approved legislation to give people who experience a miscarriage paid leave, no matter what stage a loss of pregnancy occurs; and further believes that the Government should follow suit and provide paid leave for people that experience miscarriage and allow families to grieve for their profound loss.
ParlaMint-GB_2022-03-17-commons.u420	With permission Mr Deputy Speaker, I would like to make a statement about the developing issue with P&O Ferries. I thank you, Mr Deputy Speaker, for having found time for me to make this important statement Earlier today, P&O announced its decision to make around 800 seafarers redundant on several routes across the UK. Let me say right off the bat: the way that these workers were informed was completely unacceptable. I will say more on that in a moment or two. While this is fundamentally a commercial decision for the company, I wanted to come to the House today to inform Members about our latest understanding of the situation and what is now being done In taking this decision to make seafarers redundant, P&O has also today informed us that it will be suspending services, for approximately a week to ten days, while it locates new crew. The affected routes are Dover to Calais, Larne to Cairnryan, Dublin to Liverpool and Hull to Rotterdam. I know right across the House will share my concern over the loss of these routes, but I should stress that P&O says they are only temporary and that alternative provision will be provided by other operators, to whom I am extremely grateful Passengers will still be able to travel to and from the UK, including across the channel, with freight coming in and out of the country. I understand that DFDS is stepping in to provide alternative services for passengers with valid tickets, and I would like to thank DFDS for its swift action However, I must warn travellers that they should expect some disruption over the coming days. I have asked my officials to liaise with the Kent Resilience Forum and the Cabinet Office to closely manage traffic in Kent over the coming days while P&O works to restore services. Today, the Dover TAP—the Dover traffic assessment project—has been activated, although as Members will know that is not all that uncommon, and there is some queuing on Jubilee Way, although the Port of Dover expects this to reduce over the afternoon. I have also asked officials to remain in close contact with other resilience forums around the country, as well as the devolved Administrations, in managing this issue Mr Deputy Speaker, we of course have long planned contingencies for such situations and disruption, particularly around the channel, and I do not expect the supply of critical goods and services to be impacted as a result of this decision by P&O, although queues on the way to Dover are more likely to occur at times. Modelling suggests we have sufficient capacity to handle the temporary loss of these P&O ferries Let me turn now to the issue of the seafarers. These are hard-working, dedicated staff who have given years in service to P&O. The way they have been treated today is wholly unacceptable and my thoughts are first and foremost with them. Reports of workers being given zero notice and escorted off their ships with immediate effect, while being told cheaper alternatives would take up their roles, shows the insensitive way in which P&O has approached this issue—a point I made crystal clear to P&O’s management when I spoke to them earlier this afternoon As I told Peter Hebblethwaite, I am extremely concerned, and frankly angry, at the way workers have been treated today by P&O. As a matter of urgency I have asked my Department to liaise closely with counterparts in the Department for Work and Pensions to ensure that workers are being signposted to the most relevant support, and I am intending to call the trade unions immediately after this statement to discuss the situation with them There can be no doubt that the pandemic has had a devasting impact on the finances of many travel companies, including P&O. But while their finances are matters for them, and them alone, I would have expected far better for the workers involved. We will continue to engage closely over the coming days, and I commend this statement to the House.
ParlaMint-GB_2022-03-17-commons.u421	The action taken by P&O Ferries today is a national scandal—a betrayal of the workers who have kept this country stocked throughout the pandemic. I have heard directly from the crew throughout the day: their lives upended, the jobs they depended on scrapped Workers are now left wondering how on earth they will put food on their families’ tables. The management did not even have the decency to tell them face to face: they were told this life-changing news on a pre-recorded video. Images are circulating of what we are told are handcuff-trained security staff, some wearing balaclavas, marching British crew off their ships. This is not a corporate restructure and it is not the way we go about business in this country. It is beneath contempt: the action of thugs It is quite simply a scandal that this Dubai-owned company, which received millions of pounds of taxpayers’ money during the pandemic has, without consultation or notice, upended the lives of 800 British workers, all while the profits of the owners, DP World, soared by 52% in the first half of 2021. We need a clear, unequivocal statement from the Government—no ifs, no buts. An overseas conglomerate cannot be given free rein to sack workers in secure jobs here in Britain at the click of a button and replace them with agency staff. The Government must not give the green light to this appalling practice. They must act now to secure the livelihoods of these workers, not signpost them to the Department for Work and Pensions This cannot stand. Will the Minister review any and every contract and licence that the Government have with P&O or DP World, to maximise leverage and force them to do the right thing? DP World runs two of the Government’s freeport schemes. Will he consider terminating those contracts? Will he convene urgent talks with P&O and the unions to look immediately at what steps can be taken to safeguard these jobs? Will he confirm whether the Secretary of State received notification, as required under the Trade Union and Labour Relations (Consolidation) Act 1992? Given that neither the workers nor their unions received notification, this action is clearly illegal. Will the Minister act immediately and ensure that all those party to the decision are appropriately proceeded against? Will he join me in condemning Clyde Marine Recruitment and Interforce for the role that they have apparently played in today’s events and investigate any action that can be taken against them? Will he outline the full extent to which other operators will be able to cover this unacceptable disruption? It is impossible to conceive that we have sufficient capacity to cover a loss of 10 days. Finally, will the Minister look at clawing back every single penny of taxpayers’ money given to P&O over the course of the pandemic This situation must be set in context. For far too long, the Government have sat on their hands and chosen to side with bad bosses by failing to take action to outlaw fire and rehire. This is the cruel consequence of a decade of attacks on workers’ rights. No more excuses: it is time for Ministers to keep the promises they have made, deliver workers’ rights and outlaw fire and rehire without delay We are an island nation. British seafaring has been, and is, the envy of the world. We are rightly proud of the British sailors, ratings and officers, who make our fleet and whose name is known across the globe. What has happened is a straightforward assault on British seafaring. It cannot be allowed to stand. The Government must stand up, speak out and take action to protect the livelihoods of these proud workers.
ParlaMint-GB_2022-03-17-commons.u422	I thank the hon. Member for her comments. She is quite right: lives have been upended and jobs scrapped. My sympathy and thoughts are wholly with the people who had this terrible news this morning. She is absolutely right about the video, which I have seen. I agree. This is devastating news, and to be shown a video on a television screen rather than told the news face to face is not how we expect loyal, hard-working workers to be treated. She mentioned crews being marched off; I have heard the same reports. I expect people to be treated with dignity and respect at all times, throughout their employment Employment laws apply, of course. It is difficult for me at the moment to comment in any detail on where that might be. I urge anyone affected to consider legal advice. Clearly that is something that they should do, but it is difficult for me to comment on that, particularly as this is a fast-moving situation The hon. Member asked me to review contracts that may exist. I have asked my officials to do that. I apologise, but I cannot give her any details at the moment, although I will be able to provide information to the House in due course if required. Conversations about freeports would have to take place across Government, involving, in particular, the Treasury and the Department for Levelling Up, Housing and Communities. The hon. Lady asked me to convene urgent talks with the unions; I will speak to them this afternoon. It is possible that that will be an initial conversation and then there will be others, but I need no persuading that that will happen. She hon. Lady mentioned illegality. I ought not to go into that, but obviously the Government have a number of concerns, and I urge people to take the advice that they will need. The hon. Lady asked me to give details of the operations. As I have said, this is a fast-moving situation, but although I am assured that there is not likely to be an operations impact, I will be monitoring that closely. I will give the hon. Lady more details when I have them, and if there are any steps to be taken, I will consider what they should be The hon. Lady spoke of setting this in context. I of course reject any suggestion that we have sided with bad bosses. I have made absolutely clear, today and on other occasions, that I expect people to be treated with respect at all times, and that is not the way in which these people have been treated. No one should be treated in the way in which they have been treated today Finally, the hon. Lady asked about seafarers. We will continue to do everything we can to support British seafarers, and I hope to be able to give the House more details about that in due course.
ParlaMint-GB_2022-03-17-commons.u423	I call the Chair of the Transport Committee.
ParlaMint-GB_2022-03-17-commons.u424	Thank you for allowing the statement, Mr Deputy Speaker. I also thank the Minister for delivering it so robustly P&O, that once great flag carrier of the seas, has made an appalling error. If it does not reverse that error immediately, reinstate the employees and follow proper process, it is hard to see a way back for it commercially. The parent company, DP World, needs to understand that the British public will not do business with companies that treat their employees with such contempt. Will the Government do everything within their power and influence, including tabling emergency legislation if necessary, to ensure that this appalling employment transaction cannot be completed?
ParlaMint-GB_2022-03-17-commons.u425	I thank my hon. Friend for his comments. I repeat that this is a fast-moving situation, and we are reviewing it both as it develops and as it exists. I will certainly review what arrangements exist as we go forward, and I can certainly commit myself to working with all Government Departments to consider what relationships we have with P&O. I will also try to see whether there is anything I can do in the particular circumstances with which we are dealing, although commercial matters affecting a company are primarily a matter for the company itself, within the constraints of employment law. In this country we have high standards of employment law, and we expect those standards to be respected and upheld.
ParlaMint-GB_2022-03-17-commons.u426	I thank the Minister for advance sight of his statement. Let me add that I agreed with every word that was said by the shadow Secretary of State and the Chair of the Select Committee Earlier today I said that the actions of P&O were deeply concerning, but as more information has emerged, it has become clear that those actions were shameful, insensitive and inhumane. The Government responded to the fire and rehire scandal with lip service and warm words, saying that fire and rehire was shameful but stubbornly refusing to back those words up with any legislative action. That inaction has had consequences. What P&O has done today in sacking 800 workers over Zoom with no notice or consultation, and dragging them from their place of work using handcuff-trained private security personnel, is well beyond even fire and rehire. Of course, our primary concern must be for the traumatised P&O staff and their families. People are now jobless, having gone to work as they would on any other day. Will the Minister support the staff who remain aboard P&O vessels, and call on P&O to end its attempts to forcibly remove staff members The villain in all this is P&O and its parent company DP World, which is owned by anti-trade union oligarchs in Dubai who have a shockingly bad track record on employment relations. P&O’s plan is for entirely new crews to operate vessels with zero or little time for acclimatisation. Does the Minister not agree that P&O’s aim of resuming shipping with new staff almost immediately is reckless and unsafe? The Prime Minister visited the United Arab Emirates yesterday. Was there any discussion between him and the Dubai Government, the owners of DP World, about P&O The Minister said that while this is a commercial decision “for them, and them alone, I would have expected far better for the workers involved. ” I agree, but I would also expect far better protections for our workers from the Government of the day. Can the Minister tell us if there is anything—anything at all—that the Government can do to intervene and help these workers? If there is not, does that not demonstrate, yet again, just how broken UK employment law is?
ParlaMint-GB_2022-03-17-commons.u427	I hear the anger and anguish expressed by the hon. Gentleman, and I know that he speaks on behalf of constituents and others he represents. I would encourage all employers in any event to speak to their hard-working, loyal, long-serving employees. I would certainly urge them to engage with the unions, which I hope would have been spoken to in advance in any such incident that would cause distress to workers and certainly in one such as this. I urge them to do that. On safety matters, this is still an evolving situation and there are clearly safety regulations that have to be applied and complied with in any case, no matter who is crewing a vessel. I would expect that to be the case. Clearly there will be no shortcuts as far as safety is concerned. We will continue to look across Government and speak to colleagues, and to uphold the rights that are clear in law to protect workers.
ParlaMint-GB_2022-03-17-commons.u428	Does my hon. Friend agree that the way in which P&O Ferries and DP World have acted is shabby, disgraceful and utterly unacceptable? They have mistreated 600 loyal workers in Dover and in addition to this, they have brought traffic disruption and put at risk the economy and the trade routes through it. Will he meet me to discuss what more can be done to hold DP World and P&O Ferries to account for their disgraceful behaviour?
ParlaMint-GB_2022-03-17-commons.u429	I thank my hon. Friend for speaking out so powerfully and forcefully on behalf of her constituents, who will be anguished, hurt and distraught at the news they have been given today. She speaks for them and I thank her for doing so. I will of course meet her; I will meet any hon. or right hon. Member from anywhere across the House to discuss any concerns that they or their constituents might have. My hon. Friend asks me whether I agree that the way in which P&O has behaved is unacceptable? Yes, it is unacceptable.
ParlaMint-GB_2022-03-17-commons.u430	Does the Minister acknowledge that my constituency of Canterbury, and east Kent as a whole, will be particularly affected by today’s shocking news? What urgent support will the Government give to all those affected locally, including the hundreds of P&O workers who have been treated disgracefully, as we have just heard, and who are now facing no pay packet at all in the face of the soaring cost of living? They do not want a work coach; they just want their jobs back. That is not to mention the beleaguered residents of east Kent, who will yet again have to bear the brunt of serious disruption to our daily lives. I am glad to hear that the Minister will meet MPs across east Kent; that needs to be done urgently. Thank you.
ParlaMint-GB_2022-03-17-commons.u431	I thank the hon. Member for speaking out and making her constituents’ understandable anguish so clear in this place. That has been entirely heard by me and I share it. She speaks with anger, and I have expressed that anger in person to P&O today, because of the effect that this news will be having on people living in her constituency and elsewhere, particularly at a time that is already causing much uncertainty for many people. I would be delighted to meet her and any other Members who would like to meet me to discuss what we might be able to do. I referred earlier to some signposting within the DWP. That support is available, and if there are other things that would be helpful, I would be happy to hear from her. She also referred to disruption. There may be some disruption, but the only happy side of that is that we have good, well-rehearsed procedures in place to deal with that. I totally accept this situation will cause inconvenience to her constituents, but I hope that the well-practised routines we have in place will keep that to a minimum.
ParlaMint-GB_2022-03-17-commons.u432	When I was the shipping Minister, I oversaw the maritime growth study that built on the sector’s success. At its heart was the development of skills to build an even stronger merchant navy. This capricious, careless, callous decision by P&O flies in the face of all that Will my hon. Friend work with my old friends in the maritime sector, the RMT and others to recover any moneys granted to P&O during the pandemic and to ensure it reverses its decision? I will not let anyone tell me this is the free market. The free market put little girls in factories and boys down mines, and it put both at risk on the high seas. We thought those dark days had gone. P&O is either too dim to see it or too dastardly to know it.
ParlaMint-GB_2022-03-17-commons.u433	My right hon. Friend is absolutely right about the skills that have been demonstrated by extraordinary British seafarers over many years. This is key to the Government’s vision of what we want to achieve, and it is particularly important to me personally. We remain committed to doing what we can to support seafarers, and all the strategies the House has heard me talk about, from Maritime 2050 onwards, remain the case. Our focus on maritime skills remains. The Government are still determined to do all we can to develop British seafarers and to continue as a maritime nation, as we have always been. He can be assured that determination remains undimmed. My right hon. Friend rightly speaks about employment rights, which are extensive in this country. They exist for good reason, they continue and the Government support them.
ParlaMint-GB_2022-03-17-commons.u434	As the MP for Liverpool, Riverside, I am disgusted by the actions of P&O today. Liverpool is one of the routes that will be affected by this action, and it is another example of fire and rehire by a despicable employer. Why have this Government stood by and ignored it? Actions speak louder than words, Minister, so let us take some decisive action against P&O.
ParlaMint-GB_2022-03-17-commons.u435	I entirely understand the hon. Lady’s anger on behalf of her constituents. I am acutely aware that they will be affected. I caution her that we do not know all the circumstances yet. We do not know whether this is a fire-and-rehire situation or something else.
ParlaMint-GB_2022-03-17-commons.u436	They have fired 800 staff.
ParlaMint-GB_2022-03-17-commons.u437	The hon. Lady is right, and I have been absolutely clear about my view of how that has been done. I am merely making a point about the contractual arrangements that exist. We need to understand that, and I will continue to work with her and others to see what we can do to help.
ParlaMint-GB_2022-03-17-commons.u438	I thank my hon. Friend for coming to the House so swiftly. We are all shocked, outraged and appalled by the treatment of P&O staff, and I welcome his condemnation of these dreadful employment practices. Will he continue to update the House on this unfolding situation?
ParlaMint-GB_2022-03-17-commons.u439	Yes. I am acutely conscious that there are some details I have not been able to give to the House today because the situation is evolving, and there are some things that we do not know and I do not know. As and when I do know, of course I will give the required information, either verbally or in some other way.
ParlaMint-GB_2022-03-17-commons.u440	I speak on behalf of my hon. Friends the Members for Kingston upon Hull East (Karl Turner) and for Kingston upon Hull West and Hessle (Emma Hardy) and the people of Hull, who stand united tonight in our utter disgust at what has happened to the seafarers who have been sacked by P&O. It is simply a lie that P&O must sack 800 British workers to survive. P&O paid out £270 million to shareholders last year while taking furlough money from taxpayers The Government have to be clear about whom they back. They cannot just say this is a commercial decision. This is a choice between predatory employers that are sacking workers on Zoom in their levelling-down race to the bottom and our loyal, hard-working UK workers who are fighting for their jobs. Will the Minister instruct Dubai-based DP World to stand down the replacement crews, send their security muscle home and reinstate immediately those who have been sacked?
ParlaMint-GB_2022-03-17-commons.u441	I thank the right hon. Lady for speaking on behalf of Hull and the hon. Members for Kingston upon Hull East (Karl Turner) and for Kingston upon Hull West and Hessle (Emma Hardy) to make their voices heard. Her question, of itself, shows the importance of the maritime sector to the entirety of our United Kingdom. There are hon. and right hon. Members from every corner of our United Kingdom expressing their anguish on behalf of their constituents and themselves, and she is right that furlough money will have been available to P&O. The Government have supported this company, as we supported the whole economy during the pandemic The right hon. Member for Kingston upon Hull North (Dame Diana Johnson) asks whether we are on the side of levelling down and a race to the bottom. No, we are not. I have been clear today that we expect rights to be maintained and supported. She asks whether we are on the side of hard-working workers. Yes, we absolutely are.
ParlaMint-GB_2022-03-17-commons.u442	My background is in the travel industry and this is not how the travel industry behaves. P&O is a great British company, but can the Minister make it clear that there is a difference between P&O Ferries and P&O Cruises? P&O Cruises has nothing to do with this disgraceful incident. If the parent company of P&O Ferries has made British workers redundant to replace them with agency workers and then in a week’s time expects to carry on as normal, the British public will not travel with it in any case, but surely the Minister should suspend its licences.
ParlaMint-GB_2022-03-17-commons.u443	I thank my hon. Friend for his expertise. He is absolutely right about the values of the wonderful travel industry that we have across the whole of the maritime, aviation, cruise and wider travel sector. His point about the distinction between P&O Ferries and P&O Cruises is accurate; they are separate entities and the two are not connected. He is right to make that absolutely clear and I thank him for doing so. I have made it clear that the behaviour we have seen today is absolutely unacceptable, and I will continue saying so. Not only that, but the British public will have noticed, as he rightly points out.
ParlaMint-GB_2022-03-17-commons.u444	We hear a lot of anger and sympathy from the Minister, but he is from the Government and the clue is in the title—they need to govern and take some action. We have not heard about any action whatsoever. It would be helpful to hear more from him on that. We have just been discussing St Patrick’s Day and our relationships with Ireland. Has he had any discussions with the Irish Government or with Members in the Northern Ireland Assembly about the impact on both Northern Ireland and Irish trade?
ParlaMint-GB_2022-03-17-commons.u445	I understand the points that the hon. Lady makes. I am also keen to stress that I have come to the House as quickly as I can to make a statement, which means that I have not had that much time to act. I have already spoken to the management of P&O—I made sure I did that—and I have asked my officials to undertake a number of actions so that I understand the wider system that exists. I hope she will bear with me while that work takes place. I have not yet spoken to the Government of Ireland, but if that is helpful, I am happy to do so.
ParlaMint-GB_2022-03-17-commons.u446	This afternoon, I have heard people talk about British employment law and discussing this with other Governments overseas. However, the legislation that covers this area is simply the maritime labour convention, an international convention that applies not only to vessels ordinarily engaged in trade, but where a vessel is operating under the flag of a country that has ratified the MLC, which the UK has, or it is operating in the waters of a country that has ratified the MLC. That ensures that there are terms and conditions for seafarers, including those who may not be part of the navigation team on the ship; it applies to everyone, including on issues such as repatriation. Will P&O or indeed DP World be repatriating the crew and everyone on the ship? Will that be paid for by P&O? Alternatively, it can be paid for by the Maritime and Coastguard Agency. If it is, will the Minister ensure that that money is repaid back to the British taxpayer?
ParlaMint-GB_2022-03-17-commons.u447	My hon. Friend raises a number of important issues. There are different legal regimes applying here, and things depend on which one is applying. One is employment rights, which we have referred to, but he is right to say that there is also the MLC. This will depend upon what circumstance we are looking at. It is not entirely clear exactly what has happened. I will continue to look at that. I would expect that any ramifications that arise because of decisions taken by P&O would be ones that it would put right and not look to the Government to do so.
ParlaMint-GB_2022-03-17-commons.u448	P&O Ferries’ actions today, in sacking 800 workers via Zoom, are despicable and disgraceful, as has been said by Members from right across the Chamber. Of course we now need deeds, not just words. Some £270 million was paid in dividends and about £15 million paid in furlough. We need some teeth there. Those workers should be reinstated and that requires ministerial intervention. The hon. Member for Wellingborough (Mr Bone) referred to the arrangement with licences—well, let us get on with it and show solidarity with those in the RMT—National Union of Rail, Maritime and Transport Workers—and all their families.
ParlaMint-GB_2022-03-17-commons.u449	The hon. Member is right that the behaviour we have seen today is unacceptable. I will be meeting the RMT later to hear what it has to say, and I will work constructively with it to see whether there is anything that I can do in support. He asks us to think about those affected and their families, and I of course entirely agree. I will talk to colleagues across Government and speak to the unions and those affected to see whether there are any further steps that we can take.
ParlaMint-GB_2022-03-17-commons.u450	I join other Members in saying that what has happened today is completely unacceptable. On the face of it, it also seems to me to be potentially unlawful, although I understand why the Minister will not want to say at this point whether he shares that view. I also understand that in the discussions that have already taken place today there has been doubt about what law applies, in relation not just to the individual workers but the company’s obligation to notify the Government when it comes to redundancies. When the Minister has a better understanding of the legal obligations to the workers and to the Government, will he update the House so that we can take an informed view as to whether the company has potentially broken the law?
ParlaMint-GB_2022-03-17-commons.u451	The important thing to understand is that maritime contracts can often be quite complicated. Different contracts can apply for different seafarers at different times. I do not want to be in a position where anybody is looking to me for legal advice from the Dispatch Box. That is not my role as a Minister. I urge everybody to obtain their own independent legal advice so that they can take any steps that are necessary. It is for lawyers to provide that assistance, not Ministers.
ParlaMint-GB_2022-03-17-commons.u452	For how long are the Government prepared to allow companies such as P&O to treat loyal workers with contempt while they leach off the UK taxpayer? The Minister will know that there is a £146 million deficit in the pension fund for P&O retirees, yet P&O’s owners, DP World, just spent £147 million on sponsoring the European golf tour. After taking £10 million from taxpayers for furlough and demanding a further £150 million from the public purse to keep its operations going, the company paid out £270 million to shareholders in dividends and is now trying to fire 800 loyal workers. Does the Minister accept that P&O is taking him and the Treasury for fools? Does he regret the Government’s failure to back the measures in my private Member’s Bill that would have prevented these 800 seafarers from being treated so disgracefully?
ParlaMint-GB_2022-03-17-commons.u453	As I have said, we need to take stock of the situation as we understand it. The hon. Gentleman referred to fire and rehire; this may not be a fire and rehire situation—
ParlaMint-GB_2022-03-17-commons.u454	I said the measures in my Bill.
ParlaMint-GB_2022-03-17-commons.u455	I am happy to look at what the measures in his Bill were, but we need to understand exactly what has taken place. I agree with his wider points about the actions that P&O has taken at the same time as treating its workers this way. Treating long-serving, loyal, hard-working, skilled people in this way cannot be defended.
ParlaMint-GB_2022-03-17-commons.u456	I thank the Minister for coming to the House to make this statement and compliment him on the tone with which he delivered it, but the Government clearly must do more to protect British workers. He mentioned 800 redundancies, but the jobs are not redundant: the reality is that those 800 British-based seafarers are going to be replaced with 800 overseas seafarers who will work for cheaper rates. It is an absolute and utter disgrace. People anticipate that the Minister and his Government will do something about this to prevent it from happening again in future. If they do not, other employers—such as Heathrow airport or anyone else—could go down a similar route. Did the Prime Minister discuss P&O Ferries’ plans with anyone from Dubai-based DP World during his recent trip?
