ParlaMint-ES-CT_2017-10-27-4402.1.0	The session begins. Mr. Carrizosa, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.100.0	To explain the vote of the Popular Unity Candidate - Constituent Creed. You know – and for whom I don't know today will be the occasion – that our political culture is very far from secret ballots. In fact, he has never exercised them, we have never asked for them and in the constitutions of the assemblies, which is where we have our main trajectory, they are neither part nor part of the investiture sessions of mayors and mayors. For this reason, there is a parliamentary group that has asked if we would support them in this secret vote and we would like to explain it and we need to explain why we would do it. And we'll do it for anti-repressive political culture, not theory, but practice. We've been working on anti-repressive matters for many years, we've known about arrests, escorts, torture and arrests. And today there are two men in prison, of whom they are advancing, and today there are threats of criminal disputes of more than thirty years in prison of worthy and honest people.
ParlaMint-ES-CT_2017-10-27-4402.101.0	Ms. Gabriel, it's not a vote explanation – it's not a vote explanation.
ParlaMint-ES-CT_2017-10-27-4402.102.0	And, before that, we can do nothing but support a path of voting that is far from our political culture.
ParlaMint-ES-CT_2017-10-27-4402.103.0	...so, so...
ParlaMint-ES-CT_2017-10-27-4402.104.0	But today, for the sake of exception, we need to give it support.
ParlaMint-ES-CT_2017-10-27-4402.105.0	So... [[some applause]] We'll vote whether it's a secret ballot or not. [[Don't worry about it. Don't worry ……]] He asked... two groups have asked for a secret vote, so we will proceed to the secret vote. [[Xavier García Albiol asks to speak.]] Mr. García Albiol, you've already asked for it. Mr Santi Rodriguez has spoken. Say it. You spoke, too.
ParlaMint-ES-CT_2017-10-27-4402.106.0	Madam President, let's see something. We're close to a vote. This vote is no different and has nothing to do with the two or three that have occurred before; therefore, the criteria must be a single criterion. And I don't understand how you want to proclaim independence if you don't have the noses to give your face at the time of voting. [[Voice remorse and applause.]] What independence will they proclaim if they don't have noses? If they have him for...
ParlaMint-ES-CT_2017-10-27-4402.107.0	Sir...
ParlaMint-ES-CT_2017-10-27-4402.108.0	...they've got him for..., they're afraid of him...
ParlaMint-ES-CT_2017-10-27-4402.109.0	Mr. García Albiol...
ParlaMint-ES-CT_2017-10-27-4402.110.0	...to Spanish legality, what independence will they proclaim?
ParlaMint-ES-CT_2017-10-27-4402.111.0	Mr. García Albiol...
ParlaMint-ES-CT_2017-10-27-4402.112.0	If they hide like cowards. [[Widow's remorse.]]
ParlaMint-ES-CT_2017-10-27-4402.113.0	Mr García Albiol, we shall proceed to the vote because it is legitimate. We shall therefore proceed to the vote. We vote if this vote is done in a secret way. The vote begins. [[The deputies of the People's Parliamentary Group leave the Session Hall.]] The secret vote was adopted by 73 votes to 8, with no abstentions. So now we have to go find the urn so that we can proceed to the vote. But now we're voting. We will vote on the joint motion for a resolution by Junts for the Yes and the CUP, number 2, and then, when we arrive at the ballot box, we will vote on number 1. We shall therefore vote on resolution No. 2. The vote begins. The proposal was adopted by 71 votes to 8, with 3 abstentions. [[Greetings.]] We're waiting for the urn to arrive. [[Roger Torrent and Ramio ask to speak.]] We're waiting for the urn to arrive, Mr. Torrent. Yes, say so.
ParlaMint-ES-CT_2017-10-27-4402.114.0	Yes, in any case, and while the ballot box, which I see now above, and which is able to organize the logistics of this vote, we would ask you that, bearing in mind the transcendence and interest of the motion for a resolution that we will vote on at these times, we would ask you that, from the statement of this – that is to say, from the statement of this motion for a resolution that we will vote on – I read the part that goes from "by virtue of and until the end of this statement: "before it is possible to vote. Thank you, President.
ParlaMint-ES-CT_2017-10-27-4402.115.0	Okay. "By virtue of everything that has just been said, we democratic representatives of the people of Catalonia, in the free exercise of the right of self-determination, and in accordance with the mandate to reject the citizens of Catalonia, We constitute the Catalan Republic, as it is independent and will rise, from the right, democratic and social. We have the entry into force of the Law of Legal and Foundational Transition of the Republic. We start the process as a democratic, citizen-based, cross-cutting, participatory and binding process. We affirm the will to open negotiations with the Spanish State, without preconditions, to establish a cooperation regime for the benefit of both parties. Negotiations should, as a matter of necessity, be in a low level of equality. We have in the knowledge of the international community and the authorities of the European Union the constitution of the Catalan Republic and the proposal for negotiations with the Spanish State. We urge the international community and the authorities of the European Union to intervene to stop the violation of ongoing civil and political rights, and to follow the negotiating process with the Spanish State and be witnesses to it. We express the will to build a European project that strengthens the social and democratic rights of the citizenry, as well as the commitment to continue to apply, without a solution of continuity and unilaterally, the norms of legal order of the European Union and of the order of the Spanish State and of the Catalan autonomous that transpose this regulation. We say that Catalonia has the clear will to integrate as quickly as possible into the international community. The new State is committed to respecting the international obligations currently applicable in its territory and to continuing to be part of the international treaties of which the Kingdom of Spain is a party. We call on the state and international organisations to recognize the Catalan Republic as independent and it will rise. We urge the Government of the Generality to take the necessary measures to make possible the full realization of this declaration of independence and of the forecasts of the Law of Legal and Foundational Transition of the Republic. We call on all the citizens of the Catalan Republic to make us worthy of the freedom we have given ourselves and to build a state that translates collective inspirations into action and conduct. We assume the mandate of the people of Catalonia expressed in the self-determination referendum of October 1st and declare that Catalonia is an independent state in the form of a republic. And we will continue to vote for the resolution of this motion for a resolution. [[Pause.]] So, now we're going to vote for cry. The first secretary will be screaming... [[Don't worry about it. Don't worry ……]] Yes... [[Don't worry about it. Don't worry ……]] No, I don't, I don't, I don't, I don't, I don't, I don't, I don't, I don't. [[Pause.]] I did it by alphabetical order; if it looks good, we'll do it... if it's by absentia, we'll do it by alphabetical order. So, the secretary... [[Don't worry about it. Don't worry ……]] Yeah.
ParlaMint-ES-CT_2017-10-27-4402.116.0	I'll call all the deputies, the ones who are there and the ones who aren't. [[The first secretary shouts in alphabetical order to the deputies because they have paper in the ballot box.]] [[The first secretary calls in alphabetical order the members of the government because they have paper in the ballot box.]] [[The first secretary shouts, one by one, the members of the Bureau because they have paper in the ballot box.]]
ParlaMint-ES-CT_2017-10-27-4402.117.0	Let's do the countdown. Secretary Nuet, can you help us with the recount? [[Pause.]] [[It's going to the polls.]] The resolution of the statement by the representatives of Parliament was adopted by 70 votes to 10, with 2 votes in favour. [[Strong applause and perlongats. The chamber, dempeus, sings Els Segadors. Crits of "Visca Catalunya!]] Thank you all very much. The session's up.
