ParlaMint-BE_2018-05-15-54-commissie-ic892x.u1	Mr Janssen is present and can ask his question. The questions of the other Members will lapse.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u80	Minister, the figure you quoted is really impressive. It's important. Indeed, it can be very training for a student who has the opportunity to join concrete, work in company, to his studies. This experience will make it easier for him to enter working life, to take initiatives and responsibilities at the end of his studies more quickly. We can therefore only welcome the proper functioning of this statute, hoping that it will continue to develop in the coming years.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u81	Minister, the figure speaks volumes. We have not only taken measures to enable everyone to become self-employed; we have also taken measures to ensure that the status of student entrepreneur is so successful. I look forward to the evaluation at the end of the year. We will then see how we can proceed with this.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u82	Minister, I have recently asked your colleague the Minister of Economy about the failure of some night shop operators to comply with the regulations on closing days and hours and the display of prices. In view of the magnitude of the problem, the latter had asked the Economic Inspectorate to carry out an investigation. It was found that between September and December 2016, of 344 controlled outlets, 234 were in breach: 44% of them for non-compliance with closing days, 36% for non-compliance with closing hours and 33% for breach of price rules. 17% of the controlled stores did not even have closing days at all. Minister Peeters informed us of the preliminary results of a new investigation conducted between April and December 2017: 132 reports were submitted and 119 investigations were conducted. As a result, 5 warning minutes and 49 pro-justitia had been drafted. This is still more than 40 per cent again. These figures are quite challenging in that the sustainability of this situation is detrimental to smaller, more scrupulous traders, who are penalized competitively compared to those who do not comply with the rules. It is also a concern for the tranquillity of a part of the population in view of the problems of the neighbourhood that often involve violations of the provisions concerning closing hours. The penalties contained in the Act of 10 November 2006 on opening hours in commerce, crafts and services provide for a prison term of between 1 month and 1 year and a fine of between 2000 and 80,000 euros. The court may also order the closure of the establishment. The ceilings are therefore relatively high. However, given the limited human resources of the Economic Inspectorate, the risk of control is apparently not sufficiently dissuasive. An interesting avenue would therefore be to involve the municipalities more closely in the fight against these offences. However, they can only punish offenders by means of administrative sanctions with a ceiling of EUR 350, which is a derisory amount in view of the turnover of these businesses. The new municipal law also provides for the mayor to close the establishment in case of non-compliance with the municipal regulations relating to operating permits and establishment limits. It may also enforce such a measure in order to put an end to public safety, health or tranquillity disorders. In the latter case, the act must be taken with strict respect for the principle of proportionality. The municipalities, which are nevertheless the first level of the public authority, are therefore confined to the two ends of the spectrum of possible sanctions, namely a fine of a few hundred euros or the pure and simple closure of the establishment. Mr Minister, I would like to know what you think of the opportunity to give the municipal authorities greater power of coercion in respect of the observance of the hours of operation of night shops through higher fines. If you are in favour of it, what is the most appropriate bias: an amendment to the Act of 24 June 2013 on communal administrative sanctions or a revision of the Act of 10 November 2006 mentioned above? If not, what steps do you intend to take to put an end to this problem?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u83	Mr de Lamotte, the problem you are talking about is well known to me, and I am particularly sensitive to it. I am very attentive to the nuisances caused by night shops, which do not always respect the opening hours. As a result, their officials violate the principle of fair competition between retailers in the distribution sector. This phenomenon too often has as its corollary neighbourhood disturbances, or even breaches of public order, particularly in terms of security. It is therefore not without reason that the Act of 10 November 2006 on opening hours in shops, crafts and services was revised in 2016. The aim was for a municipality to be able to take over in some cases to impose hours of night closure on shops located in seaside resorts and tourist centres. Until the entry into force of the revised provision, these businesses could open 24 hours a day. Having said that, in order to answer your question about a possible adaptation of the above-mentioned law, it seems to me useful – if not essential – to ensure that we hear all the stakeholders: Comeos, UNIZE, SNI and UCM. In this regard, I will soon be inviting these organizations to reflect with them. I will consult them on whether or not to amend the legislation in order to resolve the persistent problems that you have identified.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u84	Minister, thank you for your answer. I understand that you will take language with the partners concerned. I may see this as an opportunity to enter into a partnership with Parliament on possible hearings, as this problem is likely to spoil the climate in some neighbourhoods or in some municipalities. This situation should not be allowed to go to sleep because it could lead to problems of social and other cohesion. To involve Parliament in this process would be positive. I am thinking in particular of the Committee on the Economy. Minister, thank you for the signal you gave. There is the 2006 Act, but there are also communal administrative sanctions. We must therefore see how we can play on several levers because I do not think there is a single answer to this situation.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u85	Mr President, Minister, you have recently stated your willingness to give more rights to SMEs, particularly with regard to business law and access to public procurement. Indeed, you have pointed out two important problems in these matters: on the one hand, the abusive clauses that smaller companies, dependent on larger companies, have difficult to refuse, and, on the other hand, the fact that these companies cannot appeal to the Economic Inspectorate in the event of unfair practices and have no choice but to consider a lengthy and costly trial. You have indicated that you wish to amend the Code of Economic Law to remedy these difficulties. Furthermore, you have expressed the wish to make available to SMEs an IT portal on which they can register and indicate their preferences for obtaining public contracts, and which would alert them when a public procurement corresponding to their profile opens. Minister, can you provide us with figures that would tell us about the situation of SMEs in abusive terms? Is this a recurring phenomenon in our country? How many cases have they already been reported? Can you provide an overview of the changes to the Code of Economic Law that you wish to implement, the discussions with stakeholders, their claims, the possible timetable? With regard to the IT portal, have you planned an agenda for its implementation? How many SMEs do they obtain such markets annually? How many would you like to see this figure increase as a result of the introduction of such a mechanism?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u86	Mr President, Mrs Galant, this is a matter of great concern to me. It concerns the situation of SMEs suffering from unfair terms. This practice is not yet regulated in Belgian law. Cases in which SMEs are victims of unfair terms are not reported or detected. It is therefore impossible to produce figures relating to this situation. But it is not because these situations are not detected that they do not exist. They do exist and are one of my concerns with a view to ensuring that our SMEs have an appropriate code of economic law. While the vast majority of Belgian companies are SMEs, there are very few provisions for them. This Code is therefore applicable today to businesses – whether large, small or medium-sized. I would like to place SMEs at the centre of attention and identify ways of improving the SME Code. Indeed, it seems to me that we could – and this is what I am currently studying – draw on a number of foreign experiences relating to the abuse of economic dependency. Competition law currently allows only for the regulation of unlawful cartels or abuses of absolute dominant positions. There is no provision for the protection of SMEs whose activities depend on a trading partner, which, in a number of cases, is in a position to impose disproportionate constraints on them. Another avenue for reflection is on unfair terms in market practice law. These are now outlawed in the relationship between a company and a consumer. They are therefore perfectly lawful in business relations, which may seem surprising given the current situation between the company and the consumer. Until recently, SMEs and public procurement, too, did not necessarily go hand in hand. A study was carried out in 2016 at the request of the federal authorities on SMEs' access to public procurement and, on the basis of a statistical analysis of Belgian public procurement between 2009 and 2015, a number of conclusions emerged. The first observation was that large companies are raising a large part of public procurement with a high contractual value – which is not surprising to you – so that there is, so to speak, little left for small and medium-sized enterprises. In addition, newly created enterprises, start-ups were under-represented as direct participants in public procurement in comparison with their share of all SMEs in Belgium. A number of factors that impede SMEs' access to public procurement have been identified: too much administrative burden; too long delays; lack of information or knowledge; and too much complexity in public procurement. It was realized, even if it was anticipated, that it was complicated for a small company, in terms of human resources, to untie specialists overnight for markets that were too complicated. Stimulating SMEs to participate in public procurement also means supporting job creation, growth and innovation. But first, it was necessary to ensure that this was better adapted to the needs of SMEs. That is why we have amended the legislation on public procurement. This reform has led to the development of new principles. First, the allocation that enhances competition is expanded. The issue here is the possibility for SMEs and specialised SMEs to access markets which, if not, would remain the preserve of businesses. With the allotment, the market is divided into lots, small parts. This naturally becomes more accessible to small and specialised SMEs in certain areas of the global market. Secondly, the threshold for accepted invoices increases to €30,000. Thirdly, the use of the electronic system which reduces the administrative burden on SMEs wishing to participate in a public procurement is introduced. All measures will be monitored to see whether certain provisions need to be further adapted in order to increase the effectiveness of these measures. This monitoring will therefore be important. Finally, I proposed a charter consisting of thirteen principles. It was adopted last January by the Council of Ministers. It complements the reforms I have just mentioned by ensuring that all companies have the same opportunities for access to public procurement. A deepening of this charter will be carried out gradually, through substantive additions, on the basis of consultation with the representatives of the various sectors. There will therefore be a "chart+" for SMEs, but also for sectors with specific public procurement needs. The question of establishing an IT portal for access to public contracts falls within the competence of my colleague, Steven Vandeput, in his capacity as Minister responsible for the Civil Service. Indeed, the Strategy and Support SPF, which hosts the e-Procurement platform, which allows contracting authorities and companies to easily and quickly access the various applications relating to the procedures for public procurement transactions, is its responsibility. But I made sure he was aware of the matter.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u87	Minister, thank you for your answer.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u88	Minister, a measure proposed following the SME plan of 25 January 2015 concerned the so-called road shows for SMEs. Initially, they would have as their primary objective to familiarise SMEs with the benefits of internationalisation and what comes into play. In response to a previous question, your predecessor replied that the issue of internationalisation would be taken into account in a broader context of training of entrepreneurs on the instruments specifically made available to SMEs. This broader form of education or road show would take shape at the end of 2017, early 2018. Do you have a specific calendar for the road shows for SMEs? Which partners are involved in the preparation of this? What subjects will be dealt with there?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u89	Mr Janssen, SMEs are not yet sufficiently informed about the instruments and the private and public offerings relating to financing in the broad sense. They often delegate that activity to external experts. That sometimes causes high costs. The road show fits into a much wider spectrum than just the internationalisation of SMEs. Many themes related to the financing of SMEs will be addressed. I would particularly like to propose the new law, which amends the 2013 law on SME financing. In particular, it concerns information to SMEs, the framework of collateral and guarantees and the reinvestment fees. The mechanisms of the SME tax shelter for start-ups and growing companies will also be discussed, as will the award services for SMEs and bank and alternative financing. The internationalisation of SMEs will also be discussed. The event will be organised in partnership with the chambers of commerce, UCM, UNIZO, (...) and IZEO. Experts from Credendo, from the FSMA, from the crowdfunding platforms and from the administrations will also be involved. The raodshow will start in September 2018. I am, by the way, awaiting the finalisation of the rating simulator. This instrument, which I will soon make available to SMEs, is intended to assess in a theoretical way the robustness of the credit applications that an entrepreneur wishes to submit to a bank. It would be ready in the next few weeks. You can be sure that I will provide you with the necessary information as soon as the precise agenda is adopted.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u90	Thank you, Minister, for your reply. It is very good that you are making sure that it is not just about internationalisation, but that you are looking at it in a broader context. We look forward to September 2018, when we will start. We will therefore follow up the dossier.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u91	Mr President, Minister, the Unified Patent Court is the result of an agreement between 25 signatory Member States and would result in more effective protection of the patent. This protection is important to protect companies operating internationally from property theft. Following an earlier question on this topic, your predecessor argued that the Unified Patent Court would be operational by the end of 2017. My questions are as follows. Is the Unified Patent Court now operational? Are the competences of the Unified Patent Court included in the information to SMEs?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u92	Mr President, Mr Janssen, as you know, the reform of the European patent system consists of two parts. Firstly, the European patent with unitary effect and, secondly, the unified patent court. The regulations on the European patent with unitary effect entered into force on 20 January. On the other hand, the application of the regulations and the start of the Unified Patent Court depend on the date on which the Unified Patent Court Agreement will enter into force. However, it will not enter into force until 13 of the participating Member States, including France, Germany and the United Kingdom, have ratified it. While today the UPC agreement has been ratified by 16 participating Member States, including France, it has not yet been ratified by Germany. However, it is not excluded that the UPC Agreement will enter into force by the end of 2018 in order to open the way to a unified patent law. You are also questioning me about informing SMEs about the powers of unified patent law. Users of the patent system in Belgium will be given close access to the UPC by setting up a local branch in Brussels. The website of the FPS Economy will provide more information about the powers and functioning of the UPC. Organisations and companies will also be informed by the Intellectual Property Council. Several organisations, such as UNIZO, UCM and VBO, will be represented in that Council. The European level includes the cost programme aimed at strengthening the competitiveness of SMEs, which is also a measure aimed at improving access to unified patent protection for innovative European SMEs. This will be achieved in particular, firstly, through the establishment of the Coordination Office, in order to ensure the proper functioning of patents, and secondly, through financial support for both the registration costs of European patents for innovative SMEs and the insurance costs for patent disputes and, finally, by providing information on the commercial use of patents.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u93	Thank you, Minister, for your comprehensive reply. It was a good answer and I'll go over it again.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u94	Mr President, Minister, we were learning, through the figures from the SPF Economy, that more and more self-employed people continue to work after exceeding the statutory retirement age. This number also increases in the case of employees who wish to continue a professional activity through a complementary self-employment activity. The numbers speak for themselves. Since last year, an additional 6,000 independents have decided to continue working. Since 2009, this number has almost doubled to about 100,000 at present. The reasons for this are obvious. There is, on the one hand, a steady increase in the average life expectancy of Belgian citizens and, on the other hand, a better health of people aged 60 to 75 than in previous decades. There is also an economic reason: the end of the annual income cap for pensioners. Minister, this increase is a good thing for both our economy and our pensions. However, some feel that this is done at the expense of younger generations of self-employed people. How do you respond to these criticisms? Are they justified? Are the two generations really competing? What are the main areas of professional activity of these self-employed persons? Are these professional retentions also beneficial for job creation? Do you have figures in this area?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u95	Mrs Galant, the figures quoted must be received in a very positive way. We are talking about people who continue to produce wealth and participate in the entrepreneurial dynamics of our country. In terms of entrepreneurship, as elsewhere, you are right: it is not appropriate to oppose generations. He was seen earlier in a question by Mr Friart and Mr Janssen on young independent students entrepreneurs. Having made arrangements to allow people to continue working while accumulating their pension income with work is not an obstacle to having excellent figures at the level of student entrepreneurs. Generations should therefore not be opposed. Sometimes the simplistics of some lead to it. Wealth is created. She's not uniform. It can grow according to the dynamism of all generations. We must not see this as a threat to the independents. Each category benefits from its experience. This can be of a professional type for seniors and in the field of new digital tools, for example, for younger ones. Having said that, I obviously remain attentive to support the dynamics of student entrepreneurs but also the Starter measure for the self-employed who are starting. Paradoxically, this measure has been developed with a youth-centred mindset, but it is realized that there are quite a few quinquennials who use this measure to embark on self-employment. The conclusion is that generations are not opposed but are often complementary. As regards the sectors of activity, the data compiled by the SME Observatory Data and Analysis Service on the basis of the 2016 data published by INASTI show that senior self-employed persons are mainly active in the following three sectors: trade (33.5%), the liberal and intellectual professions (26.6%), industry and crafts (19.6%). My administration does not currently have figures on the number of jobs created by these senior self-employed people. It might be interesting to look at this aspect in the context of the INASTI programme aimed at measuring certain elements and developments concerning the self-employed. I will ask if this is possible in the future. Support should be given to maintaining these activities after the legal retirement age. It's obvious. Any activity, even if restricted and carried out in an individual capacity, is always beneficial for individuals, but also for our economy as a whole. Indirectly, these activities are also likely to increase job creation and knowledge transfer. It's important. Thank you for this question, Mrs Galant.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u96	Minister, thank you. I fully agree with you that we must not oppose generations and that the experiences of some can be of benefit to others.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u97	Mr. President, Mr. Minister, your administration has been very effective with regard to false foreign independents. Indeed, for the year 2016, 800 of them were cancelled for fictitious affiliation. Both posted workers and foreign self-employed persons now have an obligation to complete the Limosa declaration. This Limosa statement, you want to strengthen it particularly in relation to the sectors at risk. Any foreign employee or self-employed person will be obliged to declare for whom he or she works, when, how long and where. At the same time, you have referred to the will of a Europe where the free movement of persons must combine with fair competition. However, Europe's social and fiscal harmony is slowly being built. Minister, we support your willingness to strengthen this sector, which is being abused. Can you first remind us how many foreign independents are present in our territory? How did this figure change during the legislature? In which sectors of our economy are they predominant? On average, how long do they stay in Belgium? What foreign nationalities predominate? How do they spread in our country? How much do they contribute to the Social Security budget? Similarly, how high is their impact on our economy in terms of growth and employment? Can you develop your vision of Europe and how it should work differently in your eyes?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u98	Mr President, Mrs Galant, this is an important subject. The free movement of workers at European level is a subject to which I am committed as a liberal. We must ensure that this free movement of workers is not diverted from its original vocation for the purpose of social dumping and unfair competition. The Limosa Declaration is a statement made to ONSS. Since 2007, it has allowed inspection services to know who works, where and for how long. INASTI recorded, on the one hand, the number of foreign self-employed persons subject to tax in Belgium and, on the other hand, the total figures of the A1 returns received for foreign self-employed persons active in Belgium. As you know, an independent person who has to complete a Limosa declaration is not necessarily subject to Belgian social security. These are, for example, independent service providers who come to work temporarily or partially in Belgium. The scope of the Limosa declarations is therefore broader than that of the A1 declarations. In addition, an independent can make several Limosa statements per year. This explains the difference between the number of A1 returns received and the Limosa returns. With regard to the number of Limosa statements, it should be noted that it has remained stable since the beginning of this legislature. The monitoring of the Limosa data bank, however, enabled INASTI to see a slight shift in practices with regard to A1 declarations. Thus, there is a shift from secondment to the simultaneous exercise of an independent activity in several Member States. So it's not just about us. As of 31 December 2016, there were among the non-Belgian independents subject in Belgium, and I quote only the leader of the platoon: 23,450 independents of Romanian nationality, 16,612 Dutch, 12,919 French. In order to better measure these figures, I would point out that in Belgium there are almost 1 100 000 independents. Independents of Romanian nationality are mainly active in the construction industry. The Dutch and French self-employed are mainly involved in trade. As regards the distribution by province of these three nationalities, it can be seen that most of the persons of Romanian and French nationality are present in the Brussels Region, while most of the Dutch nationals who are subject to Dutch nationality in Belgium are concentrated in the province of Antwerp. It should be noted, however, that the geographical distribution of taxable persons is based on their domicile or the address indicated, which do not necessarily correspond to the place where the professional activity is carried out. Declaration A1 concerns Polish, Dutch and Slovak nationals in descending order, and to name only the three main countries of origin. As I said, if the free movement of workers is an opportunity, a chance, or even a necessity today, we must naturally be realistic and be aware that we will not be able to build a social, fiscal, coherent Europe until certain rules of the game are respected. So we must ensure that we have a free movement system that is not a turbo for unfair practices. In Belgium, we have a strong social status for the self-employed. No doubt, according to the information provided to me, one of the best social statutes at European level. But this one can only benefit those who respect the rules of the game. That is essential and we must ensure that. It is in this sense that last March the European Commission gave us its green light. That wasn't the case before. I had to have a long discussion with them, so that they would allow us to impose a Limosa declaration on self-employed workers from another European Union country coming to Belgium as part of a posting. In order to comply with European law, it will apply to self-employed persons in sectors at risk. At first it wasn't possible. We have negotiated in this way for the meat and cleaning sectors, for example. These are areas where fraud is more important. The Limosa will have to be met by these independents.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u99	Thank you, Minister, for your full answer.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u100	Mr President, Minister, the European Commission has launched its Common Agricultural Policy (CAP) reform project. At issue, the CAP is considered by the Commission to be ineffective and its funding needs to be reviewed because of Brexit. The European Commission's ideas focus on three changes. First of all, it would be a matter of simplifying the system of the CAP itself, particularly as regards the unequal distribution of European aid. Indeed, these aids are linked to the possession of land where a minority of farmers, 20%, receive 80% of the subsidies. In this way, the Commission would like to better target the redistribution of CAP payments by a mandatory ceiling on aid and degressive payments to reduce support for larger farms. Secondly, with regard to an economic sector with an ageing population, the Commission hopes that the Member States will stimulate a profound generational renewal through tax incentives. Finally, it is envisaged that Member States will have more responsibilities. Thus, the Commission would set targets at European level, but each Member State, according to its specific characteristics and its particular national context, will itself define the appropriate way to achieve them. Minister, what do you think of these ideas? Have discussions ever taken place with the European bodies? Is there a European agenda between the Commission and the Council of the European Union for the start of negotiations? What is your analysis of the current situation of the common agricultural policy? What position does Belgium stand in this case? What are your fears? Finally, what impact could this change at European level have on the Belgian agricultural sector if these reforms were to succeed?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u101	Mr President, Mrs Galant, I referred earlier to the risk areas in which Limosa would be imposed on foreign independents. In addition to the meat and cleaning sectors, the construction sector should be added, so that the answer is complete. As far as your question on the CAP is concerned, the debates on the CAP post-2020 and its budget are increasingly at the heart of the discussions at the table of the European Council of Agriculture Ministers and at the same time in many meetings. On 19 February the European Council referred to the issue of direct payments, green payments and rural development. Discussions focused on the need for simplification, the possibility of transfers between the first and second pillars, external convergence, coupled support and market management tools. I insisted on this last point. Beyond market aid measures, it is necessary to look for an effective instrument that can be used more quickly in the event of a crisis. At Belgian level, we call for the maintenance of a budget at least as high as that contained in the current CAP, for simplification both in terms of its preparation and its control, and for the strengthening of the function – it is essential – of market regulators by strengthening the current arsenal of markets and other risk management tools. Unfortunately, I must admit, few Member States have mentioned on this last point the need to implement the principle of insurance. Belgium, for its part, and as early as July 2017, had expressed the need to analyse such a mechanism. However, in general it seems that the Member States want more flexibility for the next CAP. As you may know, discussions will be difficult. We see that, throughout the meetings we have at the level of the European Councils, positions are sometimes taken in a somewhat tense way. Some people sometimes take firm positions. Our logic is also to forge alliances with other countries that share our position, defined following discussions with the Regions, which are in the front line. The aim is to ensure that we are not isolated and that we are able to present a position which is not only that of Belgium, but that of a group of countries which will defend related theses.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u102	Minister, thank you. We will be attentive to future discussions. The agricultural sector is still in difficulty.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u103	Mr Minister, Securex has recently carried out a thorough study with Eurostat on the growth of the working population and that of so-called "atypical" jobs, i.e. part-time, temporary, isolated or overlapping jobs as employees and self-employed, but not perfectly either. Several findings emanating from this study are interpelling. First of all, these jobs have seen strong growth over the past ten years compared to the labour force. Secondly, they cover a great deal of amplified diversity with the new technologies and the new economy, the so-called one call or Uberized jobs. Finally, the status of wage earners and self-employed persons has increased significantly over the past five years. They are self-employed who are economically dependent, mainly on a single customer. They currently account for one third of the total self-employed. Finally, the study raises concerns about the precariousness of these jobs, in particular the way in which baby boomers who are about to leave the labour market will be replaced in enterprises. Minister, Securex concludes with a legislative renewal and the introduction of a third statute. What is your overall analysis of the study conducted by Securex? Is the rise in so-called "atypical" jobs good news for you? What are the main sectors of professional activity? Is the finding that 30% of the self-employed are economically dependent on a single customer? Does this dependency weaken these jobs? Are they more likely to go bankrupt or become unemployed? Do you share the fears of a certain precarisation of employment when baby boomers leave the labour market? What do you think of the proposal to create a new status in addition to the employee and the self-employed?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u104	Thank you very much, Mrs Galant, for this is an important issue. The first step is to draw attention to the fact that the study conducted by Securex goes beyond the scope of independent activity. It deals with self-employment on a complementary basis, the work of self-employed persons who are temporarily or structurally dependent on a single client, but it also deals with the collaborative economy and with certain realities specific to the wage-earning sector, particularly part-time work. The collaborative economy is a reality that must be taken into account given the potential in certain sectors and the positive impact of this economy and its impact on all aspects of the voluntary sector. In my view, the rise in atypical jobs is a reality. I do not know if I would have chosen the term "atypical" but the collaborative economy must meet certain guarantees. Its activities must either be a stepping stone to entrepreneurship, or allow the people concerned to exercise their hobby or even their passion in a number of cases, in a framework that is as clear as possible. In the present case, a combination of several activities does not necessarily imply a situation of precariousness. Moreover, Securex's study shows that much of the people who practice this combination consider it rather as a means of obtaining additional income through a hobby and an activity that stems from their passion. A second essential aspect that must be kept in mind is that these collaborative economy activities must not lead to unfair competition against traditional self-employed and SMEs. We are, of course, watching over it. As soon as this activity becomes professional and generates income, it must be treated as any self-employed professional activity. It is essential to respect the work of the self-employed. The study contains an amazing recommendation that the status of self-employed persons working without an employee, caregiver or partner should be challenged. This is the case for a large majority of them: doctors, lawyers, farmers and artisans work alone. Therefore, there is no doubt as to their status. Therefore, this approach leaves me puzzled. The study then finds that almost 30% of the self-employed have only one client and asks whether, for this reason, they are false self-employed. In this regard, fairly rocky titles, relaying the opinion of a union, were published in the press. This, of course, is a shortcut that ignores the daily lives of many self-employed people. Let us be clear: working alone or for a single client is not an economic criterion for assessing the existence of a relationship of subordination in a professional relationship. It may also be a transitional situation. As the case law of the Court of Cassation points out, the legal criterion defining the concept of a link of subordination is the most relevant, because of its centrality. I therefore believe that those who choose to enter a self-employment relationship - here, without any link of subordination - should be allowed to exercise their activities quietly. Rather than considering providing for a third status in addition to those of employees and self-employed persons, it would seem to me more wiser to clarify, on the one hand, the legislation on the nature of labour relations by bringing it into line with the jurisprudence of the Court of Cassation and, on the other hand, to continue to promote the social status of self-employed persons. In recent years, as you know, we have strengthened it, we have improved it. It includes various measures to assist self-employed people who are facing difficulties. I will also highlight here the possibilities for reducing provisional social contributions, which were strengthened on 1 January by the addition of new reduction thresholds: - the possibility of requesting a clearance plan or exemption for contributions; - "Incapacity for work" insurance with the possibility of compensation from the 15th day of sickness; - the possibility of applying to benefit, under certain conditions, from the right of access in the event of cessation for economic difficulties or collective settlement of debts or bankruptcy. This insurance entitles, for a maximum of 12 months, to a financial benefit and to the maintenance of the right to sickness and disability insurance. All this is new, and these are measures that will finally see the independents better supported at the social level. To put an end to the reform of the Posting of Workers Directive, I would say to you that in its current version, the directive does not achieve its objective of combating social dumping, with the result that labour costs are often drawn downwards, as the gap between the levels of social contributions in the various European countries is large. That's the reality. On 1 March 2018, an agreement was still reached with the European Commission. It is planned that the Directive will shortly be amended in order to limit the duration of posting and to introduce a principle of equal pay for a posted worker and a national worker for the same position in the same place of work. It's important. These measures will help to limit the abuse of secondment and will therefore be in favour of Belgian market players, including the self-employed.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u105	Minister, thank you for your answer. It is true that this measure is important for those who come to work at home.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u106	Minister, the consulting firm Ernst & Young recently published a study on the state of mind of Walloon companies and the concerns of Walloon bosses. The first most challenging finding is the fear of Walloon companies to expand their activities internationally. They prefer to stay in their comfort economic zone and work mainly with neighbouring countries. Walloon companies are less attracted to the international market than the average of European companies. The second concern is the lack of implementation of a corporate culture in Wallonia, which would promote risk-taking, innovation and growth. The third finding relates to the usual obstacles to growth: labour costs, lack of labour, taxation and flexibility of staff. Minister, how do you think we need to encourage our businesses to become more open to the international community in order to grow their businesses? What types of companies are more likely to open up to the international market? In what types of sectors? Do you agree with the opinion of this study on the lack of entrepreneurial culture in Wallonia? The government has undertaken many reforms in favour of SMEs, do you think they will have a positive impact on this culture?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u107	Mrs Galant, let us remember that external trade is essentially a regional competence. However, you are right to point out that we can also act at the federal level. Within the framework of federal competencies, I want to support SMEs internationally by making them more competitive and stronger in the conquest of international markets. I can give you some specific measures that we have taken in this area. We must, however, keep an eye on the statistical aspect of your question. At this stage, there is no specific typology for exporting companies. All SMEs are likely to open up internationally. My administration notes, however, that the sectors of activity with the largest number of exporting SMEs are wholesale trade, the food industry, the chemical industry, and the automotive and motorcycle trade. The cultural factors highlighted by the testimony of entrepreneurs in Ernst & Young's study should encourage us to continue on the path we have taken in order to make our businesses more competitive. I will not repeat the list here, but substantial progress is being made. The federal government's drive in this context is to be noted: its progress makes it possible to develop the entrepreneurial environment but also the spirit of entrepreneurship among our fellow citizens. I will not go back to the fact that so many new independent positions have never been created. We've never seen so many new SMEs. The figure of 95,000 in 2017 underscores this reality: we have surpassed all the records. I also believe that the improvement of the social status of the self-employed, which we have already mentioned in this meeting, contributes to this. But I want to answer your question on a number of axes more strictly linked to the international strand: a number of initiatives grouped with the public export credit insurer Credendo, the Finexpo scheme and the External Trade Agency must be highlighted. Credendo offers guarantee credit insurance as well as financial guarantees to companies wishing to obtain a new line of credit as part of their international development. Finexpo's aim is to offer a panel of financial aid to eligible exporting companies (interest rate stabilization, interest rate subsidies, mixed loans, etc.).). The External Trade Agency publishes country studies free of charge online.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u108	Minister, thank you for your answer.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u109	Mr President, Minister, the neighbourhood supermarket is a phenomenon that is becoming increasingly popular in our country. In 2016, their number increased by 4% and in 2017 a market share of more than 30% was exceeded. Neighborhood supermarkets combine the proximity of the supermarket with the extensive supply of a small supermarket. The success also increases the employment that the neighborhood supermarket needs and can offer. For this reason, the NSZ calls for a review of the Sunday opening scheme for the neighbourhood supermarkets. The current legislation allows food shops with fewer than five employees to open a whole Sunday. The NSZ would like to see this limit increased to 10 employees. However, other interest groups such as UNIZO and neighborhood super.be have reservations. They fear a shift from the morning to the afternoon, which would increase costs. They also ask questions about the wage conditions to be attached to the scheme. According to UNIZO, the sector and its employees would not be a requesting party. In a press article, your colleague, Minister of Work Kris Peeters, indicated that he would be open to the discussion and discuss the dossier with you. Minister, what is the position on the NSZ's proposal to increase the employee limit for Sunday openings at local shops from five to ten employees?
