ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u1	Question No 27460 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u85	Madam President, I take the time to put my question to the Minister. Many commercial jet planes use air from the engines to change the air in the cabin. As a result, the crew and passengers breathe in burnt oil fumes in the event of incidents. Exposure to emissions is associated with certain health risks. The effect of the oil vapours is related to that of the nerve gases tabun and sarin. Research with the cooperation of the airlines could help to establish links between the occupational and passenger health effects related to work. After all, every aircraft passenger and employee has the right to know what they are exposed to. Although the problem calls for a European approach, I believe that Belgium can play an important leading role. I therefore have a few questions for you, Minister. In the case of fume incidents, is there an obligation for airlines to inform all victims, passengers and cabin crew immediately and transparently about what has happened and what actions they can take? Are you in favour of regulation at European level to oblige or encourage airlines to install other ventilation systems, use less toxic oil and filter air better before entering the cabin? If so, at which meetings did you raise the issue? What reactions have you received from the other Member States? Are you in favour of systematic air quality measurements on Belgian airlines' aircraft? In reply to my written question No 2780 you said that any notification of such an incident is collected in a European database. The question is whether every fume incident should be reported by the airline. Are the data publicly available? Are they systematically delivered to the Belgian government? Will there be a compulsory Belgian-European registration system for all incidents? If that's the case, from when? What flight movements will be covered? Finally, are there any possibilities to speed up the examination of recognition as an occupational disease, which is not insignificant for those working in the aviation sector, particularly cabin crew? The problem also concerns your colleague De Block.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u86	Dear colleague, if a fume incident is suspected during flight, the cabin crew shall be informed and alerted by the pilot. There is no obligation to inform passengers. The communication of flight-related events to passengers depends on the air carrier's policy. However, pilots are obliged to report the incidents to the authorities in accordance with the reporting system as defined in Regulation EU376/2014. That Regulation lists the actors to act in the investigations and manage and disseminate the information, as well as the resources and obligations to be deployed, inter alia, on confidentiality. The incident reports shall be submitted to the European Aviation Safety Agency, EASA, and shall be included in a European database. The specific data contained in this database shall not be accessible to the public. Each report shall also give rise to an investigation by the air carrier. The problem of toxic fumes is not specific to Belgium and is a well-known phenomenon in the aviation sector, particularly in certain types of aircraft. For example, certain incidents are related to a maintenance that can be improved. These kinds of events were discussed and an improvement is being made. This is part of a normal process of reliability under the European Regulation. The incidents of this type and the actions undertaken shall be monitored by DGLV. The Air Accident Investigation Unit has received the reports and has decided, having regard to the frequency of the incident, to monitor the file closely, in close cooperation with Brussels Airlines. So far, we do not have any information to conclude that the air carrier could have endangered the health of passengers on board. The accreditation of aircraft and the construction requirements that apply to them are a European competence. EASA is constantly working to improve aviation safety, including the safety of passengers and crew members. The different national authorities contribute to providing leading information to EASA, such as incident reports and the conclusions of the investigations. This makes it possible for the European Authority to identify new parameters and points of interest to be taken into account in the technical requirements set out in European legislation.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u87	Thank you, Minister, for your comprehensive and technical answer. I understand that a number of databases are not publicly accessible, but I believe that it is essential for transparency to have an insight into the extent to which this occurs. I have not been able to tell from your answer whether our country, as in other countries, is clearly communicating, so that the EU Directive 376/2014 can also be applied numerically.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u88	Thank you, Minister, for your reply. I've memorized two cases. Firstly, pilots are not obliged to inform passengers and, secondly, information on occurrences is not publicly accessible. I think this is a problem. Both passengers and cabin crew have the right to know when a fume incident has occurred. We have seen that there have been a few cases at Brussels Airlines in recent weeks. This can have serious health consequences. We must not take this lightly. This concerns the health of dozens of passengers and cabin crew. We therefore call for this information to be made public, in line with the European Directive, for systematic air quality measurements to be carried out on aircraft and for a detection system to be established. We are convinced that this must be done within a European framework because Belgium cannot do so alone. Our country can play a leading role. I would urge you to include this in the European meetings together with your fellow Minister De Block.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u89	Madam President, Minister, I come back to the speed control marathon. I myself am a mayor and I am present in one of the police areas of Brussels. We have taken full part in this very successful operation. I would like the views of the federal government in this regard. From October 17th 6 a.m. to October 18th 6 a.m., the 10th edition of the speed control marathon was held. Citizens could themselves propose places where law enforcement would operate. The purpose of the operation was to raise awareness among motorists of the respect of speed limits for safer roads. Minister, what is your assessment of this 10th speed control marathon? We have learned lessons at the local level, but it would be interesting to hear from the federal minister on the subject. Are the penalties/ fines imposed in the event of non-compliance with speed limits sufficiently binding?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u90	My colleague, the results of the 10th speed control marathon are very positive. The Federal Road Police and 130 police areas carried out checks throughout the country. Only 2.54% of the controlled drivers were in excess of speed. In addition, this is the first time that the marathon has been monitored for its effectiveness. On marathon day, drivers were driving less quickly and the number of vehicles in violation fell by almost 25%. It is therefore clearly established that the announcement of speed controls and effective control have a considerable impact on the speeds on our roads. It is therefore essential for road safety to continue to carry out prevention and control activities on a regular basis. With regard to the initiatives undertaken to improve road safety, it is important to recall in this context the law of 6 March 2018 on improving road safety, which contains various provisions which certainly have a positive effect in the short and long term. The penalties for escaping have been severely increased. The responsibility of the holder of the registration plate has been more binding and we have expanded the scope of the obligation of the anti-start ethylotest. The latter will have an important effect during 2019, as it will be increasingly imposed as a penalty by police judges. You may have read in the press that yesterday, in Bruges, a judge summoned [r1] people for high alcohol consumption already applying severe penalties provided for in the law of 6 March 2018: Ethiotest anti-start, long withdrawal of driving licence, heavy driving fines. I am also referring to the draft new Road Traffic Code, which is expected to come into being next spring, which will clarify the traffic rules for the benefit of all actors as of 1 January 2021. It is also my wish to be able to send awareness messages within a few months, which will be attached to the minutes that all offenders will receive. It is essential that the authorities make every effort to counter an overly lax social standard in the field of road safety, especially in the field of excessive speed or driving under influence. I would like to add that I am actively supporting advances in the development of vehicle technologies that can, as is the case with anti-start ethylotest, limit risk behaviour on roads. To this end, I have concluded with Vias Institute and the SPF Mobility a convention allowing the implementation of pilot projects in order to know the possibilities of different technologies such as ISA (Intelligent Speed Adaptation), black box or autonomous vehicle. The ISA system is entering an area that will automatically put the vehicle below the maximum permitted speed. Overspeeds recorded during speed marathons are punishable, like any speeding, by penalties provided for in the Law of 16 March 1968 on the Road Traffic Police. In practice, most of the time, this will be an immediate perception, the amount of which varies depending on the speed and type of road. In agglomerations and in areas 30, residential or meeting areas, the immediate collection is 53 euros for the first 10 km surplus and then 11 euros for each additional kilometre and, on other types of road, 53 euros for the first 10 km surplus and then 6 euros for each additional kilometre.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u91	Mr Minister, in your reply of 22 October to my question on cooperation between SNCB and the Société nationale des chemins de fer luxembourgeois (CFL), you replied that there are two working groups to ensure this cooperation, in addition to the direct contacts which you yourself have with your Luxembourg counterpart, who has just been renewed in his duties. In the field, collaboration between operational teams is, according to CFL management, very effective. It made it possible to resolve positively the kyriella of problems encountered in mid-September. I have just learned, however, that there is no structured relationship between SNCB management and CFL management. Minister, do you agree with me that such a relationship is a prerequisite for better cooperation between operators, i.e. cooperation guided by a shared vision of common challenges in terms of standards, equipment, equipment, personnel training and communication. In fact, sometimes we think of passages to France or Switzerland that pass over the Grand Duchy, since there is no consultation at this level. According to this logic, can you invite Ms. Dutordoir to meet with Mr. Wengler and agree with him on a working methodology on certain issues, including the certification of SNCB rolling stock, the creation of a Park and Ride in Arlon – a project that has already advanced – and the harmonization of communication with the traveller and the press?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u92	Minister, last Wednesday, I was asking you about the Park and Ride in Viville. You then explained to me, concerning the direct service between Viville and Luxembourg, that neither the SNCB nor the CFLs currently had the equipment to ensure such relations. You also stated that the development of an accessory track in Stockem was necessary. On the other hand, with regard to the offer of trains to Viville-Stockem, you also explained that the offer could not be expanded until the end of the work at lnfrabel, in mid-2020. It is only from this point on that time that a service schedule could possibly be provided live to Luxembourg in cooperation with the CFLs, provided that compatible equipment is available. You also mentioned possible co-financing of the project by the Walloon Region. Minister, in rereading the answers you have given me, I realize that there is a lot of conditionality. While the first parking spaces were to be available in 2017, it is clear that the Viville-Stockem Park and Ride project can remain at the project stage for a long time. You decided with your Luxembourg counterpart on 21 November that the CFLs and SNCB would build a scenario for the organisation of a satisfactory offer via Viville-Stockem from mid-2020 onwards. I am a little surprised that this decision is only taken now, despite the many agreements already reached between the two countries. Several statements were made by you and your Luxembourg counterpart. What are the conditions for the completion of this dossier? Should new technical and financial studies be carried out? Which ones? How was previous studies not sufficient? What is the agenda of the meetings with your Luxembourg counterpart on this subject? The Grand Duchy of Luxembourg had also offered to finance part of this P&R. Is it still up to date? Under what conditions and up to what amounts? How many places could be planned for 2020? Would the commissioning take place in phases, as originally planned? What would be the sequence of these phases? I did not understand very well why the work between Habay and Lavaux prevented the sale of the furrow necessary for the commissioning of this P&R. Has the question of setting up a terminus in Viville-Stockem already been analysed and budgeted? Is there any provision for an accessory track in Stockem? If so, when? If not, why? Finally, are you going to ask SNCB to make compatible equipment available for this project?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u93	Dear colleague, I invite you first to refer to my answers on several points to questions No 27612, No 27992, No 27810 and to inquiry No i288 of 12, 13 and 26 November 2018. As I indicated to you last week, I asked SNCB and Infrabel to draw up a common sheet, as part of the discussions with the Walloon Region, on the financing of priority projects on the territory of the Walloon Region and possible co-financing by it. This sheet will take up the analysis of the costs associated with the various facilities required, including tracks and wharfs, for Viville. At the November 21st meeting, at which various issues such as the certification of SNCB rolling stock, communication to the traveller, punctuality, infrastructure work and the development of a Park & Ride in Viville were discussed. The question of taking over this Park & Ride by the Grand Duchy of Luxembourg was not raised. In addition, the CFL and SNCB scenarios for the organisation of the supply from mid-2020 onwards will determine the number of parking spaces to be made available (200 to 2000). As already indicated, the constraints associated with the ongoing work between Habay and Lavaux do not allow a satisfactory offer to be made. Without an attractive rail offer, the customer is at risk of squandering the Park & Ride. The next follow-up meeting to the Letter of Intent was agreed on 20 June 2019. An inventory will be prepared at that time. Mr Piedboeuf, I have to tell you that there are three levels of consultation. Firstly, at ministerial level, we have the Gäichel groups. To prepare these groups, there are always high-level meetings between the various indispensable actors, on the CFL side and on the SNCB and Infrabel side. Secondly, there is the operational relations which must study the concrete aspects of each of the questions asked, whether it is certification, certification planning or work, knowing that we are four ministers concerned. Approvals do not depend on Minister Bausch or myself, but on Minister Ducrame and others. What we can do is act on the schedules and on the companies that supply us with ETCS equipment to be found in the equipment. All this was settled on 21 November, chapter by chapter, in the presence or not of Mrs Dutordoir and her Luxembourg counterpart. Whatever! The instructions have been given and it is on each stage of the cooperation that the decisions have to be developed. For example, the Park & Ride in Viville that was announced for 2022 has been advanced to June 2020; approvals for Desiros scheduled for the end of 2019 will be in mid-2020 and other equipment has been advanced by a few months. In the meantime, following the meeting on 21 November, service providers have been able to speed up supplies, following the intervention of the European ETCS agency, it seems, which has told service providers that their deadlines are far too long to provide a high-quality cross-border service. As far as the information on the dock is concerned, I have already told Mrs Goffinet that, in addition to the screens at the Libramont station and in the Libramont-Arlon Public Lobby, screens would be added at the docks at Arlon and Libramont. A number of decisions have been taken, but the work is continuing with all the difficulties that this may pose for travellers during their execution. In any case, we have ensured that there is more method, collaboration and coordination where necessary.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u94	Minister, thank you for your answer. In fact, I asked that question a long time ago, but it had not been joined. That is why some of the questions asked had already been answered. As far as existing relations are concerned, there is indeed political and operational relations, but we are sometimes somewhat surprised. This is, in any case, my case when I meet Mrs Dutordoir's counterparts in the Grand Duchy of Luxembourg, who sometimes fall off their necks. Clearly, there is not always a follow-up between policies and operations. It will therefore be necessary to pay attention to the fact that the subjects discussed in the highest political place are well communicated, in any case on the Grand-Ducal side, since you assured me that this is the case in Belgium.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u95	Minister, I would be grateful if you would excuse me for having intervened again on certain points, but I did not understand or grasp everything. I understand that the deadlines have been advanced from 2022 to 2020. However, I remember statements in the press and all the questions asked by Ms.Isabelle Poncelet and it was then a question of 2017 and 2019. So I was somewhat blocked by the dates you mentioned. My speech is truly constructive and I do not want to think in 2020 about how this dossier, which is the subject of the study of the mobility development scheme of the Grand Duchy of Luxembourg, can be put into practice. It is important to move forward and that everything be ready, that it be really operational by mid-2020. That is, in any case, my dearest wish. As my colleague has said, method and coordination seem to me more than essential. As far as I am concerned, if I may, I would add the communication, which you had called for on the occasion of my last speech. I insist that you bring the mayors together to inform them of the situation.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u96	Madam President, Minister, we are being questioned by citizens about the abolition of trains between Libramont and Arlon from 9 December. Of course, it is normal and useful to be able to interrupt traffic to allow work on the line. However, have any alternatives been or will they be put in place? Has an organization with the Tecs been planned?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u97	Minister, we are being asked about this issue. We're starting to call this line "the cursed line." The work is important, but it has been going on for 20 years. I think it's normal for people to be a little angry. I asked you about the night work. You mentioned that this methodology saves time. You pointed out that, in particular for line 96/117, it was not envisaged to replace trains with buses, given the significant costs and the lengthening of the journey time in this case. Of the two trains involved, one was at 11:30 p.m. and the other at 00:03 p.m. I would be interlocked if it turned out that there was no replacement, even if it could be explained by the late schedule. However, passengers on line 162 would see their situation become problematic if there was no solution attached to the train stop at Libramont. This would be a problem both for people returning from Brussels to Arlon or Marbehan, and for travellers arriving by plane to Brussels and coming to Luxembourg. Solutions are needed so that people can continue their journey and not be caught off guard at Libramont station. Care must be taken to find a solution in case a train arrives late. Travellers should not be trapped. At present, if we leave Brussels to arrive at Arlon, Marbehan or Luxembourg, the last train in Brussels is at 7:34 p.m., which seems to me to be very early. It's more like the beginning of the evening. I would like to know whether a replacement by a bus takes place for trains which have been removed from Libramont by a special bus line which would arrive at normal times. I would like to know whether, after the work, the working hours will be maintained. A further concern for travellers is that, beyond 2020, there are no trains at all during these time slots. This situation is unprecedented. For two years, there was no possibility of going to destination.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u98	Ladies and gentlemen, in the context of the important work on the modernisation of Line 162, Infrabel needs to extend the "white work" on the line, which means the time zones free of any rail traffic, if work is to be speeded up. In order to minimize the impact on passenger traffic, Infrabel favours night or weekend work as part of its large-scale construction projects. The organisation of night work implies that the decommissioning of the tracks slightly interferes with the end of the evening. As a result, the ICs 2120 and 2121 connecting Brussels to Arlon will be limited to Libramont for the last train of the evening, starting on 9 December 2018. In such a situation, theoretically, there are three solutions available to SNCB. First, put buses in principle. Secondly, do not put on buses, as a matter of principle. Third, to apply a consistent, systematic, documented and client-oriented approach. Since the prediction of behavioural changes is difficult to make, it could be imagined that the company would run alternative buses for a trial period to properly document the subject before making a final decision. Finally, the choice of opportunities falls within the operational responsibility of the autonomous public undertaking and must be taken on the basis of the number of persons affected by these deletions, by the significantly longer journey times of the substitution buses, in comparison with the journey times of the trains, and above all by the rate of occupancy of the substitution buses during the trial period. I therefore expect SNCB to follow such a process to analyse each situation with the same logic, but without necessarily achieving the same result for each train deleted. I will therefore ask him that such a process be carried out.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u99	Thank you, Minister, for your answer. It suits me perfectly and I share your point of view.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u100	It is really necessary to put all the chances on the SNCB side to keep those passengers who are interested in the train and who might no longer be interested if the wait is too long. Putting in place a solution with buses and evaluating it seems appropriate to me. However, there is a need to communicate well about these changes. I would also like to point out that, contrary to the announcements that these changes will take place from 9 December, they have already been in operation for a few weeks.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u101	Debates of the European Parliament Question No 278, by Mr Van Hecke: Question No 27890, 27891, 27892 and 27895 by Mr Devin Mr Cheron's 27903 were converted into written questions.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u102	Mr Minister, I tabled this question following an initiative by the Dutch Railways on deportation trains. In the book Willilig Belgium I read the chapter on SNCB. In our country there were 28 convoys, with which 25 257 Jews and 351 gypsies were deported from the Dossinkazerne in Mechelen from July 1942, mainly to the concentration camps of Auschwitz-Birkenau. Only five percent of those people survived the horror. In the past a sober wagon was already installed at the Dossinkazerne. This black page in the history of our national railways is also considered in a very serene way in Trainworld. Germany, France and now the Netherlands are looking at what can be done with regard to the survivors of these victims. In Belgium, the Jewish community is also asking for an investigation into the role of SNCB. In 2012, the then delegated manager of the holding company, Mr Haek, recognised the role of the railways and apologized, but I think nothing has happened since then. The archives of the then Director-General, Mr Rulot, would still be in the possession of SNCB, but in my opinion they were never subject to scientific research, although it may be necessary to examine what the decision-making pyramid looked like at the time. I would like to stress that, in all the literature I have read on this subject, there are many individual actions of resistance by SNCB. Minister, would it not be desirable to first conduct a scientific study into the role of the Belgian Railways in the Jewish deportations in our country during the Second World War? Are you prepared to ask SNCB to cooperate or possibly instruct them to initiate that investigation?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u103	Mr President, Minister, I fully endorse Mr Geerts' question. In the meantime, I have also read about the situation in the Netherlands. They were not prepared to pay compensation effectively from the outset either, and excuses were made earlier. At some point it was found that the Dutch Railways have made a lot of money on these transports. I assume that this will also have been the case in Belgium. It is argued that this income could be released for the victims and their families so many years later. As far as the questions are concerned, I would like to add my voice to the questions put by Mr Geerts.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u104	Ladies and gentlemen, we have heard from the press that a debate has arisen on the transport to the concentration camps by the National Railway Company in the Netherlands. Neither SNCB nor my cabinet received an official application on that subject. If that request were to be made, I believe that historians should investigate the facts and the role of everyone in these dramatic events. It is only after such an investigation that conclusions can be drawn by the political or other stakeholders and/or actions linked to them.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u105	Thank you, Minister, for your reply. I will look with Mr Van den Bergh and other colleagues in this House at the possibility of drafting a resolution in the short term, so that something can be done in all serenity by SNCB, without making any accusations.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u106	Minister, your answer is quite formal. On the other hand, the director of the Dossinkazerne and the Holocaust Museum in Mechelen explicitly stated that it would be desirable to clarify the matter and see what could happen. I believe that this is already a question of taking steps and investigating the matter. So that question is already there, at least informally. We need to look carefully at whether we should wait for a formal question from the victims or whether we can take an initiative to start things up. The initiative in the Netherlands will also get some feedback from us. The desirability of such an initiative will only increase.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u107	Madam President, Minister, currently cyclists wishing to park their bikes at the Brussels-Midi train station – the country's largest railway station – are very upset. The number of places for bicycles is totally insufficient. As a result, cyclists drive their bikes where they can and, as a result, create illegal car parks in places that are potentially dangerous to pedestrian and car traffic. For example, around the corner of the covered street and Fonsny Avenue in particular, cyclists are forced to tie their bikes against the railing, which is neither safe for pedestrians – as we have seen – nor reassuring for cyclists since many bicycle flights are regularly reported. You could tell me that there is a secure bicycle parking on Rue de France, but it is only accessible on a paid subscription, which is hardly very incentive. After talking to SNCB workers, it would appear that solutions exist, especially on the Fonsny Street side, at the corner with the Swedish street, where there is currently nothing to accommodate bicycles. And yet, there would be buildings that had been unexploited for years and would belong to SNCB. I repeat, a free and open bicycle car park seems essential in Brussels-Midi, as elsewhere, if intermodality is to be developed in the European capital. Mr Minister, is SNCB planning to build free and secure bicycle parking at Brussels-Midi station? If so, what are the proposed places and means? Is collaboration with Cycloparking possible?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u108	Dear colleague, the SNCB launched in 2016 the construction of a bicycle parking lot under the awning that runs along the big quadrilateral side of the Pensions Tower. The construction site had to be interrupted after the commune and the Region opposed this infrastructure. As a reminder, the public spaces near the Gare du Midi are the property of the Region or the communes. SNCB therefore does not have the possibility to develop new free bicycle parking in these areas in the short term, but it will welcome any initiative. In the longer term, opportunities for development exist in the covered areas under the tracks between Fonsny Avenue and the boulevard de l'Europe. Finally, SNCB intends to build more and more bicycle car parks equipped with access control, in order to give priority to ensuring a place for its customers and to reduce the risk of flight. For your information, a subscription for bicycle parking with access control costs less than 35 cents per day to its users.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u109	Minister, thank you for your answer. I think you tend to put the hot potato back in the Regions or in the municipalities! So that there is this incentive, it seems to me justified to set up free car parks, which is more so if, as you say, it costs 35 cents a day. In addition, if you want to reduce the number of cars in the city centre and, at the same time, improve the air quality and nerves of Brussels, offering a quality alternative is essential.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u110	I agree with you.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u111	Minister, I have a question about transportation management during last Sunday's event. The Sunday day, which was to be a celebration and a special moment for rail in a climate event, was unfortunately seen as a failure for SNCB. Many commuters stayed on the wharfs on the way back and the influx was such that the stations remained saturated for several hours. The SNCB had clearly not anticipated this situation well and its reputation is again long-lasting, even though it will be and is already one of the responses to the climate emergency. However, there were many signs of large-scale mobilisation: 16,000 "green tickets" sold in pre-sale, the cumulative Facebook events announced more than 60,000 "interested" people, plus 40,000 "participants" declared, 20,000 people had made the move to register on the action website 8 days before the date of the march and more than 30,000 at the end of the week. Participants should not be expected to come by car to a climate walk. While mobilization was much more important than hoped, the additional resources were totally undervalued. In Gembloux or Liège, for example, only one additional train has been planned for departure to Brussels. On line 161, the service to the intermediate stations has hardly been strengthened. The IC Antwerp-Charleroi composed of a single Desiro - which is already not acceptable in normal time - has remained in identical composition, etc. There are many examples. And the management of returns was also difficult. Of course, we are aware of the management of such an event, especially when it brings back twice as many people as expected. We are also aware that a train requires significant logistics: a driver who controls the available line and equipment, an attendant, a train able to ride, a furrow, etc. Nevertheless, there is a lack of foresight, as well as a lack of flexibility to adapt planning in the short term. In particular, on the return, once the exceptional number of demonstrators was known. Minister, what is the procedure for assessing attendance at such events? What was the original exceptional arrangement? Was it enough to accommodate the 30,000 travelers announced by the organizers? What actions were implemented during the day, once the number of demonstrators was known? How can we improve the short-term planning of the SNCB network?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u112	Mrs Schlitz, first of all, I would like to remind you that the organiser, when speaking in the RTL-TVI news on the eve of the demonstration, indicated that he would be happy if the participation in the event was 25,000 people. I'll send you back to their site. Second, it should be noted that for this Claim the Climate event, I asked SNCB to establish a Green Ticket, which was done. But I would remind you that the estimate was about 25,000 participants, some of whom did not come by train. SNCB informs me that on Sunday, 2 December, it conducted a permanent consultation with the police services, at various levels, following the influx. With regard to the journey to go, in order to transport the demonstrators, the SNCB received the first messages informing it of the overoccupation of several trains from 11 a.m. Several procedures were immediately initiated in-house, in order to manage the higher-than-forecast influx of participants to the event. The reception in Brussels-Nord was strengthened by the presence of police officers and agents from Securail. At around 12:40 p.m., the police ordered the imposition of a rail traffic stand and go at the Brussels North station to ensure the safety of passengers arriving at the station. The measurement lasted 15 minutes. As a result of massive and higher-than-forecast passenger traffic, SNCB has put in service four additional trains, offering 4,645 seats. The composition of a large number of trains has also been increased, bringing the number of additional seats to 11,000 compared to normal traffic. With regard to the return trip to bring the demonstrators back, travellers in Brussels-Schuman were advised to take the metro to the Brussels-Central Station or to take their train from Brussels-Schumann. A shuttle service consisting of two trainsets with a capacity of 1 000 and 750 passengers respectively has been set up between Brussels-Schuman and Brussels-Nord. The shuttles made this trip six times in total. In addition to this offer, another additional train with a capacity of 1,000 passengers has been put into service between Brussels-Schuman and Namur, in addition to the additional offer already planned in the morning. Measures have also been taken at the Brussels-Centrale train station to ensure the safety of travellers on their return journey. A stop & go of traffic of about 2h30 was also ordered there. SNCB tells me that I have responded in real time to the influx of travellers. I would add personally that, when such an event is scheduled in the future, it will be necessary, in the event of the sale of individual tickets, for SNCB to stop this offer no later than Saturday noon so that it can estimate the number of travellers interested in travelling. This will give him the time he needs, the day before at noon until the time of the demonstration, to organize his transport offer. It should be noted that a large number of tickets have been purchased from automatons and counters in the last hours and at the time of departure. Good for success, but it was far from these forecasts to hear the interlocutors. This experience will serve for the future. SNCB did both well and badly, and rather than badly, in the face of this influx that no one had anticipated.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u113	Minister, thank you for your answers. I'm glad to see some leads emerge from this day's evaluation. Indeed, perhaps stopping tickets the day before could help to anticipate this problem better. I have the impression that reactivity should also be assessed at the moment. You say that the SNCB has put in place some things, but the result is that the Brussels-Central station was closed for a long time, people could no longer return home and this situation was perceived as very chaotic. Consideration should be given to more flexibility for this type of event. To strengthen supply, it is also possible to increase the number of cars. If this is not possible, maintaining a series of first-class cars on trains may not be essential to the extent that the purpose is to be able to carry as many people as possible and that first-class cars do not maximize the number of seats available. I hope that further in-depth assessments will be made of this event.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u114	Question No 1, by Mr De Pasquale (H-l 27966, 27967, 27968 and 27970 of Mr Van den Bergh are converted into written questions.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u115	Mr Minister, last year there was some commotion at the beginning of the carnival season because drivers of tractors, who draw carnival trailers, should have a driving licence C-E or C(1)E, according to a note from Centrex and the parquet, with a corresponding medical examination. Article 20 §4 of the KB Driving licence provides that for motor vehicles and their trailers, which are used exclusively for folkloric events, and only exceptionally on public roads, a category B or G driving licence is sufficient, irrespective of the mass of the vehicle or the number of seats, provided that they do not drive more than 25 kilometres per hour. I do not have to point out to you that the carnivalists assumed that they could operate under this rule. You shared this view and opposed the police's position in response to an oral question I asked you last year. I converted this question into a written question at the time. I have received your answer, but it was never published in the Bulletin of Questions and Answers of this Parliament. That is why I am asking this question again so that there is a formal answer from you as a minister, which can then also be used to help the police. In your written preparation, it was stated that these rules should not be interpreted too strictly. If an agricultural tractor pulls a carnival trailer, you think it would be a combination of a tractor and a trailer, which is only used for exceptional, folkloric events. At that time, a driving licence G may be sufficient if it is used exclusively for carnival, with a maximum speed of 25 km/h and a municipal admission. In the meantime, I understand that last year's discussion is rekindling. Centrex police zones would remain in line with their position in the absence of clear interpretation of the rules. I therefore believe that it is appropriate, Minister, to return the interpretation of this regulation to this committee and to answer the following questions. Do you think it is desirable that drivers of carnival cars have a compulsory driving licence C1-E or C-E? Why is that? Why is that? Do you, as Minister, maintain the view that drivers of tractors pulling carnival cars can be exempted from driving licences C-E or C1-E on the basis of Article 20 (4)? Can you explain that to me? Given the difference in interpretation of the word only in Article 20 (4) between yourself and the police, is a clarification of Article 20 (4) desirable so that drivers of tractors drawing carnival cars can be exempted from those driving licence requirements? Why is that? Why is that?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u116	Royal Decree of 27 January 2008 on floats listed some exceptions for floats for folklore events. This met the aspirations of, among other things, carnival associations. That decision also introduced an exception to the licence regulation, which states: "For the driving of motor vehicles and their trailers used exclusively for folkloric events, and only exceptionally come on the public road either on the occasion of folkloric events permitted by the municipality, or the road to them or for trial trips for those events, the licence shall be valid for category B or G, irrespective of the mass of the vehicle or the number of seats, and in so far as they do not drive more than 25 km per hour." This rule also constitutes a very limited extension of the cases where agricultural and forestry tractors and their trailers may be driven by a driving licence G. In addition to the agricultural and forestry operation, these vehicles require a licence B, BE, C1, C(1) E, C or CE, depending on the maximum authorised mass of the tractor and the trailer, if any. In line with what I said earlier this year on parliamentary questions, it seems clear to me that the legislator wanted this exception to apply to all folkloric vehicle combinations, including those in which carnival cars are drawn by an agricultural tractor. During a folkloric manifestation, a driving licence B or G for this combination of vehicles is sufficient when it is used for towing a carnival car and in so far as it does not run faster than 25 kilometres per hour.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u117	Thank you, Minister, for your clear answer that many volunteers will enjoy this International Day of Volunteering.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u118	Minister, an offer of bike-only pitches to the tune of 5% of the total number of daily travellers must be provided in front of each station. In Liège, however, we are below this rate. At the Guillemins station, the covered parking lot has been saturated for several months. Users told me they couldn't do it anymore. Every day, they can't park. Are you considering its extension? At Liège-Carré station, there is no provision for secure parking. The same applies to Liège-Saint-Lambert station. In addition, a covered rack is installed, but is under-used, as it is located in the SNCB parking lot, so far too far from the entrance to the station. As a result, it is not used at all by cyclists, so they have to manage to find a place. Finally, a project has been on stand-by for years. The plans of the Guillemins station provided - as soon as the project was developed - a cycle path to the rear to facilitate access to the station for cyclists. But this path has never come to light. This route was to lead to a new secure parking lot, which also did not exist. Minister, what is the status of this project?
