ParlaMint-BE_2018-02-07-54-commissie-ic816x.u1	Debates of the European Parliament 21000 by Mrs Caprasse will be converted into a written question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u103	Minister, as you know, the Bioethics Committee has presented its opinion on euthanasia in patients who are not terminally ill. The report notes that in 2015, 2,022 people were euthanized but 15% were not terminally ill. Generally, these patients are in great physical and psychological distress. Let us remember that a request for euthanasia in our country can only be made if the person is sound in mind, the request is made repeatedly and the medical situation is unanswered. For mental or psychiatric cases, the law seems evasive. The Bioethics Committee recalls that the fatigue of life, often linked to social and societal problems, cannot in any way constitute a reason for euthanasia. Three medical positions emerged at the end of this report. The first considers that it is inappropriate to amend the current law. The second would like to amend it to make it clear that it is not possible for shrink patients to benefit from euthanasia. The latter believes that an amendment to the law is necessary to take account of psychiatric disorders. Minister, have you read the report of the Bioethics Committee? What is your overall analysis of this report? Are you satisfied with the long-term work of this committee? The conclusions of this report point to the lack of a legal basis or rather the vagueness of euthanasia for people who are not in the terminal phase. What is your opinion on this specific point? Are you in favour of revising legislation on euthanasia? Do you think that new legal criteria or conditions should be included in order to obtain and extend it to psychiatric categories? What else do you think of the proposal to extend the legal period of one month between the request for euthanasia and the act itself?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u104	Mr President, Mrs Van Peel's question referred to an opinion document and to the reaction of the chairman and members of the Federal Audit and Evaluation Committee. Mrs Galant, your questions are specifically asked following Opinion No 73 of the Advisory Committee of Bioethics of Belgium: "Euthanasia in cases of patients outside the terminal phase, of psychological suffering and psychiatric assignments". It is clear from all these documents that not only do there exist different views on the wish to provide for the possibility of applying euthanasia, within the framework of the law, on the basis of untenable psychological suffering, but also that the role of the Federal Commission for the Control and Evaluation of Euthanasia is questioned by some. The end of active life at the request of the patient is evidently one of the most important and delicate ethical issues. It is primarily up to Parliament to hold a debate on an evaluation and possible improvement of the law. There have also been a lot of votes recently to evaluate the euthanasia law. Some also proposed changes on a number of points. I am thinking of the practice of euthanasia in psychological suffering, the possible registration of palliative sedation at the terminal stage, the task and operation of the Federal Control and Evaluation Committee Euthanasia, the ability to carry out euthanasia in dementia, the extent to which institutions prevent the application of euthanasia within their walls and so on. I am in favour of a broad debate on the legal framework for euthanasia. There are already researches on which you can base your evaluation. Of course, you can listen to people in the field. It is first of all patients, but also doctors, nurses; the Flemish Psychiatric Association, which has drawn up a directive setting out criteria for the attention given to euthanasia for mental suffering; the Euthanasia Commission when presenting its next report, and others. At the possible request of this House, I am prepared to entrust my services with examining the extent to which they can gather additional elements to further develop an evaluation. Federal entities and universities must also be able to play a role. Mrs Fonck and Mrs Van Peel asked me for a review of the Euthanasia Audit and Evaluation Committee. I would point out that the government only supports that committee in terms of logistics and financial support, and that according to law it can only report to Parliament. The Chamber has decided on the double list of candidates from which the effective and alternate members of the Committee were appointed. I assume this list was pluralistic. So there's nothing I can do about it. It was the House that decided who should be represented on this committee. Funding is the responsibility of the government, but reporting and evaluation are the responsibility of Parliament. That is how we did it at the time, when the law was passed. This was not a simple decision to make.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u105	We received the evaluation committee a few months ago about their last report. I no longer know whether this is an annual or biennial report.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u106	Every two years.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u107	It is true that legislative proposals exist. The difficulty is that they are sent to the Justice Committee and not to the Health Committee. Euthanasia is legal. It's always a little complicated. We do the assessment, we think about the people involved, in relation to the health care and the rights of patients. But if we want to change the law, this is actually settled in the Justice Commission.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u108	This is an exception to criminal law. The Criminal Code makes that distinction. It is therefore more of an ethical issue than a legal one.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u109	This is one of the topics that parliamentarians or groups can add to their priorities for the organization of work in the coming months.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u110	Madam President, Minister, more and more people are seeking refuge in plastic surgery, not only for the sake of an exalted ideal of beauty but also for medical reasons. The figures of the RIZIV show that people are spending more and more on reconstructive plastic surgery. In 2015, nearly sixty thousand interventions were repaid that were necessary for medical reasons. This accounted for over EUR 18 million or 70% more than in 2006. The figures show that the number of interventions for purely aesthetic reasons has also increased dramatically over the last ten years. The taboo around breast enlargements, facelifts and nasal and eyelid correction has completely disappeared. I would have liked to have received some figures for the university hospitals of Leuven, Ghent, Brussels and Antwerp for the period from 2010 to now. What was the nature of the interventions and what amounts were those at the RIZIV? This concerns both the reconstructive plastic procedures and the aesthetic plastic procedures.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u111	Madam President, Mrs Van Hoof, the RIZIV only reimburses reconstructive plastic surgery. The purely aesthetic surgery will not be refunded. Consequently, the RIZIV also has no information on the latter category, since the doctors do not certify them or the certificates are refused by the sickness fund. They are therefore not included in the statistics either. I have a table showing the number of cases and the expenditure per provision of nomenclature 14, c from 2010 to 2015. A distinction is made between university hospitals and other hospitals. I also have more information on which benefits will be reimbursed. Sometimes these are accidents, but also birth defects and surgical interventions due to malignant diseases. So it's really reconstructive surgery. The number of indications is also increasing considerably as technical expertise is being built up.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u112	These data will be added to the annexes.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u113	Thank you for your answer.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u114	Mrs Van Camp, would you accept Mr Senesael's question about hemochromatosis? In this way, we could then continue with you until the minister leaves.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u115	Yes.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u116	Minister, our country has many people with some form of haemochromatosis, whose treatment consists of regular bleeding. However, their blood could not so far be used as part of the donation of blood because their donation was not considered selfless since the bleeding was a treatment for these patients. In order to allow the use of the blood of these patients in the context of a blood donation and following lengthy discussions, a bill to amend the law of 5 July 1994 on blood and blood derivatives of human origin with regard to the altruistic character of blood donation by people with hemochromatosis was adopted unanimously by the parliamentarians present at the session on 21 January 2016. Minister, it is up to you to make the necessary enforcement orders. Can you tell us where you are in their development? How do you explain that they were still not taken?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u117	Mr Senesael, in my memory the vote was quite easy. While there was a broad consensus in Parliament, the drafting of the decrees proved to be more difficult. That's why we're late. But it's in progress. Patients will be able to give their blood from the date of entry into force, ten days after the publication of the orders in the Belgian Monitor. This is planned for the end of the month or, at the latest, during the month of March. An information campaign is planned to inform about the conditions to be guaranteed in order to be able to give blood. There was also a need to change the lists for statements. Because, remember, it was already discriminatory. It took several months. Finally, we have succeeded. Sometimes it takes a long time to vote for something that then happens quickly, but in this case, there was still a lot to discuss. Because, of course, the risk of contamination requires vigilance with regard to liability.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u118	Madam Minister, first of all, I thank you for the successful outcome of this matter. I have noted that no later than the beginning of March, the order will be published in the Monitor. Secondly, even if I had not mentioned this in my question, you have indicated that after the vote on the text, a communication will have to be organised in order to convey the information in the most relevant way possible. You're telling me you're going to take care of it.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u119	Questions No 22096 by Mrs Barbara Pas, No 22172 by Mrs Karin Jiroflée and the attached questions No 22173 by Mrs Karin Jiroflée and No 22465 by Mrs Anne Dedry and the attached questions No 22184 by Mrs Karin Jiroflée and No 22413 by Mrs Anne Dedry are postponed. We could stop work at 5:00 p.m., after the attached questions on Lyme disease.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u120	Madam President, there are several questions from Mrs Van Camp, but they relate to the same subject.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u121	Yeah, they're for one. This happens sometimes!
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u122	Something went wrong.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u123	It happens from time to time!
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u124	The texts are identical, to the points and commas. Actually, it's one question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u125	Not with me. These are two different questions, but with the same title.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u126	Then something went wrong sending it to my services. After all, we have received the same question twice.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u127	No, I didn't. It's two other questions.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u128	We also have the same question twice.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u129	That's weird. One question dates from 14 November and the other from 20 November. One question is about the transparency of pay supplements and the other about opening up the dates of the Inter-Mutualist Agency.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u130	I suggest you ask your questions together. Then the minister will answer you. If you have not obtained all the information, we will be able to return to it at the next meeting. Moreover, we have the same questions.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u131	Madam President, something must have gone wrong. The first question concerns the transparency of pay supplements. As a group, we have repeatedly called for transparency in this area. Today we sometimes read statements about this in the press of the sickness funds, which do have the necessary information. There are then data showing that the Walloon and Brussels hospitals would charge twice as many honorary wage supplements as the Flemish. I've never seen government figures on this. My question is therefore what your position is on this matter. Do you also think that transparency in respect of pay supplements can be improved? Do you intend to have this kept centrally by the government? When and what is planned in this area? The second question is about the lack of transparency, and I refer to one of the shortcomings in the field of pay supplements. In reply to my question No. 1499 you replied that you are working on opening up the data of the sickness funds, which include, inter alia, information on those supplements. This would automatically make this information accessible to the public authorities, so that you have it as a policy-responsible minister. My question was what progress has been made with the implementation of this law? When can we expect that this information from, among other things, the Inter-Mutualist Agency will be available to the public authorities and this Parliament? Is it all the data available to the sickness funds? Are these data automatically transferred or is a system set up to centralise the data directly from the files and documents to the government? How am I supposed to imagine this? What dates will become available when exactly so that we can follow this up from Parliament?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u132	Madam President, Mrs Van Camp, as indicated in the answer to your written question No. 1499, concerning data other than those appearing on the hospital invoice, the insurance institutions do not currently systematically have the information on supplements invoiced by the health care providers. As we pointed out, the negotiations are ongoing, but no timetable has yet been set for the systematic communication of these supplements. As regards the communication of data available to insurance institutions, the Law of 11 August 2017 introduced an Article 9quater into the Law on compulsory medical care insurance and benefits, coordinated on 14 July 1994, which provides for access to that data for the RIZIV. That is the legal basis that we adopted at the time. Under the 2014 government agreement and under the governance agreement of the RIZIV 2016-2018, provision is made for the installation of a platform containing all data from the insurance institutions relating to medical care insurance. A mandate was given to the InterMutualist Agency, as a subcontractor of the insurance institutions, to establish that database and to make it available to the RIZIV on a permanent basis and via a secure link. That is the way we will work. The RIZIV will of course be able to retrieve and link data in it, but it will always be possible to trace why the RIZIV needs that data and what is being investigated. This access to the data provides for an increase in opportunities for action for the RIZIV and is also part of the Action Plan on Enforcement in Health. The mechanisms set up were described in detail in the explanatory memorandum preceding the draft law on various health provisions, which introduced an Article 9c into the Law of 14 July 1994. You can also go back to the discussions of the Law of 11 August 2017. The explanatory statement contains more detail on what can happen and how it can happen.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u133	The practical implementation, and therefore the establishment of the platform, is still ongoing? So at the moment the data are not yet available, but is working on it, with that platform?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u134	The IMA must create that platform. Via the legal basis, the RIZIV can collect and cross data from that platform.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u135	That will include data on the pay supplements, among other things?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u136	What's the problem there? A supplement is called under the table. That is not visible, but it is still being done. We ask patients to report that to their health insurance fund in order to map it out, but if it stays under the table... One could ask the same question with black money. How much black money is there? If anyone could tell me that. We don't know that either.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u137	Madam Minister, on 26 May 2016, the resolution on a multidisciplinary approach to Lyme disease was unanimously adopted in plenary. This resolution calls on the government to increase awareness of Lyme disease and its treatment, to improve the registration of infection with Borrelia bacteria, to update the diagnostic and treatment directive, to work together with the Communities and the Regions to prevent Lyme disease and to focus on further research and knowledge transfer on the disease. Madam Secretary, we are now more than a year later. I and many other colleagues were contacted by the vzw Lyme International to draw attention to more research, reliable tests and effective treatments for Lyme disease, elements all contained in the resolution of 26 May 2016. That is why I would like to ask you the following questions. In what way did you follow up this resolution? Were the diagnostic and treatment guidelines updated on the basis of new scientific evidence? What international initiatives were taken by Belgium? How feasible do you consider the slope to optimise efforts at Benelux level on prevention and scientific research into Lyme disease?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u138	Madam President, Minister, this Parliament adopted on May 26, 2016 a resolution on a multidisciplinary approach to Lyme disease. According to the Lyme-Int association, which works for people with this disease to improve prevention, research, care and reimbursement of treatment for this complex disease, nothing has changed for the sick since the adoption of this resolution. Currently, it appears that the ELISA test is unreliable, which means that thousands of people are not diagnosed in time and are thus deprived of the basic treatment required. There would therefore be an urgent need to find a more reliable test and more effective treatments. Minister, can you tell us what part of the follow-up has been given to the various requests contained in the resolution I mentioned? What actions do you intend to take so that there is more research on this disease, a reliable laboratory test, effective treatment and, ultimately, better prevention and care for the sick? Thank you in advance for your answers and, in order to avoid an hour of waiting for the next train, I will read them in the report.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u139	Madam Chair, I have time to ask my question before I take my train and listen to the answer. Minister, I am particularly sensitive to the problem of Lyme disease because, according to TiquesNet's 2016 report, it is in my province that the number of bites is highest, which is normal since that is where the forests are located. As part of the resolution on this disease, I would like to join my colleagues in asking you what measures have been, or are going to be, implemented in the resolution. If so, what obstacles do they delay implementation? Could you also provide us with your reply to the Lyme-Int association, only part of the reply on its website?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u140	Madam President, Minister, ladies and gentlemen, discussions have taken place on how to deal with Lyme disease. We found differences in the approach to disease in the scientific world and the lack of reliable diagnostic tests. A resolution was adopted by the House of Representatives in May 2016. Minister, could you provide an update on the implementation of this resolution?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u141	Minister, I would like to ask the same question about the implementation of the resolution adopted in May 2016. I still remember the hearing of the various speakers on this occasion. The scientific references were those of the institutional structure of the United States responsible for infectious diseases, the Infectious Diseases Society of America (IDSA). At present, the International Lyme and Associated Diseases Society (ILADS) seems to take precedence in the scientific analysis of appropriate treatments for Lyme disease, and in particular in the evaluation of tests, including the ELISA test, considered unsatisfactory in terms of detection. It sometimes even gives positive results to individuals without symptoms, who have good immunity. The current recommendations call for clinical analysis and the use of the Western blot test. For chronic Lyme disease, present in a limited number of people, it is necessary to continue treatment with dioxiciline more than the usual three weeks, up to two months, and to treat erythema for six weeks. This other approach is related to the chronicity of the disease. Prevention is part of the competencies of the federated entities, but there is the National Environmental Health Action Plan (NEHAP), a National Environment/Health Plan, through which you and the federated entities could take initiatives to achieve the total elimination of ticks and promote the use of repellents in risk areas. Minister, how does this issue evolve in this NEHAP cell? Finally, scientific advice is increasing. Groups of doctors are formed in Benelux, as well as patient associations, to work with experts. Like our resolution, they want the development of research and the gathering of experts in this field, with diverse views, analysis and guidance. In this way, they could develop consensus or plural recommendations, but would at least express an agreement on the different themes of treatment and detection. Madam Minister, where are you? What is your position about the potential chronicity of Lyme disease, produced by tick bite infection?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u142	Madam President, I note that a simple e-mail from an organisation caused six parliamentary questions to be tabled. We can really talk about efficiency! The "Health Data" recording strategy is currently not used for the monitoring of Lyme bcorliosis, as the system is still in development and is not yet accessible to all physicians. The aim is not to make monitoring comprehensive – which would mean notification of all cases. It is pursued by the doctors of the Vigier laboratory network, the National Reference Centre – which is a consortium of UCL and UZ Leuven – and the Minimum Hospital Summary. It shall be examined whether further monitoring of neuroborreliosis is possible as part of a possible request for data from the European Centre for Disease Prevention and Control. Each year, PSI launches a press release about TiquesNet to encourage public participation in tick bite monitoring. The various media are taking it back. Information is also transmitted to youth movements as well as to people who often come into contact with nature, such as Agentschap voor Natuur en Bos. The new communication media developed in the context of prevention also refer to TiquesNet. Recommendations for the diagnosis and treatment of Lyme bcorliosis were reviewed at the end of 2016 based on the most recent literature. They are available on the BAPCOC website. A summary was provided to general practitioners in the Huisarts Nu professional journal of June 2017. Recently, recommendations for prescribing and interpreting serological tests for Lyme bcorliosis have been re-evaluated by a group of European experts in the European Society of Clinical Microbiology and Infectious Deseases Study Group for Lyme Borreliosis. Their recommendations are identical to those of BAPCOC experts. Signs of migrant erythema should be clinically diagnosed and not require laboratory testing. Diagnosis of Lyme bcorliosis requires examination of cerebrospinal fluid to demonstrate intrathecal antibody production. Diagnosis of other symptoms is based on the clinical appearance and demonstrated presence of antibodies against the bacterium Borrelia Burgdorferi. In addition, due to its low positive predictive value, screening is not recommended in people with non-specific subjective symptoms. It is also not recommended to use other tests, such as Elispot-LTT, offered by commercial laboratories, such as in Germany. It was concluded in a recent study in the Netherlands, which examined the need for the Elispot test in the diagnosis of neuroborreliosis, that this test does not distinguish an old infection from a recent one and that it is far less able to demonstrate active Lyme disease affecting the nervous system than antibody testing. A similar study is currently under way for other manifestations of Lyme bcorliosis in the Netherlands. According to INAMI data, the number of serological tests, ELISA and Western blot tests performed in Belgium, has increased sharply in recent years, particularly since 2014, involving of course also an increase in costs. INAMI has been responsible for antibody testing and confirmation testing since 1999 and 2008, respectively. However, according to the results of the National Reference Centre, much of the requests for such tests do not meet the recommendations of the BAPCOC. In 40% of cases where clinical information is available, these include erythema migrating or unspecified symptoms, such as fatigue, generalized pain and others. It is therefore necessary to disseminate the recommendations more widely and to inform patients, who often insist on testing themselves. BAPCOC's treatment recommendations follow those of other European countries. In terms of duration of treatment, several double-blind studies have shown that long-term antibiotic therapy is harmful and does not provide a proportionate benefit in terms of quality of life (New England Journal, 2016). However, normal antibiotic treatment of the disease is reimbursed in category C of drugs. Contrary to what has been suggested by certain doctors and patients' associations, the majority of doctors and scientists agree that the term "chronic disease of Lyme" is no longer used. This is also reflected in the BABCOC Directive, which was signed by several professional associations involved in the Lymeborreliosis, such as the Belgian Association for Infectiology and Clinical Microbiology, Domus Medica, the Belgian Royal Society for Rheumatology, the Flemish Society for Neurology and the Belgian Society of Internal Medicine. Disease prevention is a competence of the federated entities. In 2017, both the Health and Health Agency and l'Agence pour une Vie de Qualité provided new information on the subject Lymeborreliosis and tick bites, including in the form of a web page in Flanders, sign bites.be, and flyers and a poster in Wallonia. At the start of the next drawing season, in the spring of this year, the Health and Health Agency is also planning a major information campaign through various channels. As far as research is concerned, 1 500 ticks were collected after a bite on a human being. This sign is investigated in the RIVM for the presence of various germs, such as Borrelia burgdorferi, Anaplasma phagocythophilum, Borrelia miyamotoi, Rickettsia, Candidatus mikurensis and Babesia. I've had a lot of microbiology, but I don't know all of them either. The results will be made available on the TekenNet website by the end of the summer at the latest. In 2018, the Scientific Institute for Public Health is planning a retrospective study on the occurrence of neuroborreliosis in Flanders for the period 2015-2017. This is also financed by the Health and Health Agency. The study will also assess how the diagnosis was made, which treatment was initiated, and will examine the possibility of prospective surveillance of neuroborreliosis. Proposals for research on the control of ticks in the environment, with a focus on the garden "SignNet" show that 44% of tick bites in the garden are incurred by the working group of the National Environmental Health Action Plan and the plan for the prevention and control of diseases transmitted by ticks in Belgium. There is also a great deal of international cooperation. Through the ECDC and through direct bilateral contacts, our scientists from the WIV-ISP and the National Reference Centre work closely with other European countries. This cooperation takes the form of studies, such as the study on the sign. There are also expert meetings and an exchange of information on ongoing studies and epidemiological information. Mr Piedboeuf, with regard to your specific question on the Lyme-Int BSA, I can confirm that, like the other Ministers of Health, I have received the letter from his representative. The main concern was the explanation for the diagnostic and treatment guidelines. The response was sent on December 5, 2017.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u143	Madam Secretary, thank you for your comprehensive reply. I will read the answer again to be aware of all the details, but I believe that I have received an answer to all my questions. A lot of studies are still going on. The insights as to whether or not this is a chronic condition are still evolving. Apparently, on the basis of the guidelines of the various organisations, the current position is that it is not a chronic disease, but there is still a lot of scientific evidence to be gained in this respect. It is good that we keep an eye on them.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u144	Thank you, Minister, for this very detailed answer. That is why you are replying in detail to all the Members who have asked these questions!
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u145	It is a great job of all our bodies. The WIV / ISP works together in this area in collaboration with Europe and others. It's not just at home that there are questions.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u146	It was worth taking stock of this resolution almost a year and a half later. I noted that there was a development in epidemiology, strategy. That there is a whole series of questions for which we had answers and others on which the research continues. This indeed deserves to continue this effort. You have some words that can be reassuring in part and others that will ask that we come back from time to time on this issue that continues to cause concern to some of the population.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u147	Minister, thank you for your detailed answer, which I will also read again. There are two things that still disturb me after your answer. The first is that when we heard the doctors and experts at the time of the resolution, they recognized that some of the people were developing a long-term disease with a variety of symptoms that were diffused and changing over time. For these patients, they finally didn't know what to do. The only thing is, they didn't want them to take antibiotics. At the time, we were talking about antibiotics for a year, while here we are going back to two months in the suggested practices. So I really feel, by meeting people with this disease on a regular basis, that they are not sufficiently taken into account. For some, the treatment boils down to the hot shower. There is a whole series of elements that I really want to be able to work with these patients and with professionals, researchers and experts who have different a priori and different methods. It was felt at the time of the hearings that there was really an opposition, almost hatred, between the representatives of the various currents as to the approach of this disease, in its diagnosis and in its practice. I would like to stress the need to put in place something that would make it possible to get out of this problem from the top and to accompany this minority of people who develop long-lasting, painful and disabling symptoms. If we don't, some of these people will leave their jobs because they can't do their jobs anymore. It's a real question of public health and efficiency.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u148	Question No 22243 by Mr Hedebouw is transformed into a written question. The remaining questions are deferred.
