ParlaMint-BE_2018-04-25-54-commissie-ic879x.u1	Questions Nos 22993 and 22995 by Mrs Galant are converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u66	The answer is not that bad in terms of length. It is, of course, also a very good answer.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u67	The European Commission recently published its Country Report 2018 on this country. In this report, the European Commission starts from a number of starting points and draws a number of conclusions. What is your vision on this Country Report 2018?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u68	First of all, we must be satisfied that growth led to more jobs. It is important to note that this increase in employment in Belgium is faster than the macroeconomic growth rates would suggest. Institutions such as the National Bank owe this to the government's labour market policy and labour cost control. I am pleased that the European Commission also recognises these efforts. However, we are not there yet. Continued efforts are needed to achieve the European 2020 objectives. The Commission is right to suggest to our country that particular attention should be paid to mismatches between skills and job vacancies. The jobs are here. We need to be able to fill them out now. There is therefore a need for a strong focus on the training of groups that are far from the labour market: low-skilled, people with a migration background and so on. In this context, I would like to point out that the Commission, for the whole of the Union, finds that there is a deterioration in the quality of jobs. This is not the case in Belgium. Full-time contracts of indefinite duration remain the rule. Small part-time jobs and involuntary part-time work are decreasing. That's very positive. There has been no exchange in Belgium between job growth and the quality of the jobs. However, we must not be complacent and look forward. I invited the social partners to work together to identify the impact of digitalisation on the labour market and to make proposals on, among other things, training to make employees more resilient and to tackle job losses in certain sectors and jobs together. I look at the European Commission and the Employment Committee (EMCO) to offer good practice in this context. In this context, Belgium is also asking for an extension of the Globalisation Fund to address the consequences of digitalisation.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u69	I have no further comments.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u70	Mr. Minister, Vacancy.com and the Department of Social Economy at Ghent University recently conducted a survey on the job interview etiquette for employers. Almost 30% of the 2 623 respondents indicated that they rarely or never receive a response to their CV or motivation letter as applicants. More than half of those interviewed over fifty-five report rarely or never to receive a response to applications. Two out of three respondents are negative about the feedback provided by employers following a successful or unsuccessful application, 31 percent consider that communication on the application procedure is fair and 36 percent consider it unfair. More than half of the respondents say that after a negative application experience, they would rather not have anything to do with the company in question. That's what the investigation is about. Article 9 of collective agreement No. 38 of 6 December 1983 concerning the recruitment and selection of workers provides that applicants, who meet the job requirements set out in the job offer but whose application has not been received, shall be informed in writing by the employer within a reasonable period of time of the decision taken with regard to them. This means that it is important for an applicant that he or she should know whether the application was stopped. If this is indeed the case, the employer will naturally invite him or her. If this is not the case, the applicant must be informed within a reasonable period of time. I'd like to get an answer to the following questions. First, employers who do not give feedback to applicants breach collective agreement No. 38, isn't it? Secondly, what means does the applicant have of a judicial complaint, the social inspection or whatever in the absence of sufficient feedback? Thirdly, have you heard any complaints about this in the last five years? Fourthly, is it not in the interests of a company to courteously treat its applicants/potential consumers?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u71	Madam President, Mr Van der Donkt, the problem referred to is the subject of collective agreement No. 38 of the National Labour Council, closed on 6 December 1983, concerning the recruitment and selection of employees. This collective agreement No. 38 contains, in addition to the employer's obligations, a number of rules of conduct relating to recruitment and selection. One of these rules of conduct is Article 9, which provides that applicants who meet the job requirements listed in the job offer but whose application has not been received shall be informed in writing by the employer within a reasonable period of time of the decision taken with regard to them. The code of conduct, including Article 9, has not been declared generally binding and is binding only on the organizations which have collective agreement No. 38 of the National Labour Council. In other words, these are recommendations, not legislative, legally enforceable rules that directly bind employers. Compliance with the code of conduct set out in Chapter IV of collective agreement No. 38 can therefore not be enforced in criminal matters. As for your question about facts and figures, so far no complaints have been made to the services of my inspection of the Social Laws regarding Article 9 of collective agreement No. 38. I would also refer to the divided opinion of the NAR, No. 1975 of 23 February 2016, in response to the question by the Social Affairs Committee to issue an opinion on the legislative proposal by Ms Kitir, Mr Bonte and Ms Jiroflée, amending the law of 13 February 1998 laying down provisions for the promotion of employment as regards the introduction of the obligation to reply to applicants. The employers' and employees' representatives look at this issue with very different glasses, which makes it very difficult for a consensus to be reached. I understand that this bill is still pending in committee, but that the proposers do not ask for priority treatment to enable the social partners to reach a consensus.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u72	Madam President, I thank the Minister for his reply and I have no further comments.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u73	Minister, in Antwerp, more than EUR 40 billion of diamonds are traded every year. Approximately 80% of the rough diamonds and 50% of the cut diamonds are converted here. Over the last ten years, the number of diamond cutters in our country has been halved. There's 650 of them now. A large part of the sector has moved to low-wage countries. Most diamond cutters work here in the city of Antwerp and in the Kempen, a small part is employed in West Flanders. Even though the number was very high, Antwerp remained world top. Here the most expensive and difficult stones are still ground because they require a lot of expertise. The average age of the diamond workers is quite high, almost 47 years. The sector is trying to do something about this by investing in training to pass the knowledge on to the younger generations. In Belgium, about 6 600 people work in the sector, mostly in sales. Now Tiffany, the largest jewellery chain in the world, wants to close his Antwerp grinder Laurelton Diamonds. Although it would only be about thirty sharpeners, it would mean a new loss of image and prestige for the Antwerp diamond sector. South African Safdico Gem Tech also wants to remove most of its grinding activities, resulting in the loss of a dozen sharpeners and some servants. In the context of the Renault Act, there would have already been an intention of collective redundancies and the information phase would be at present. I would have liked to have heard an answer to the following questions, Minister. Is it true that the procedure under the Renault Act was initiated for the Antwerp grinding mill Laurelton? How many jobs are there on the road? Is it true that Safdico would also have similar intentions? Given the enormous importance of the diamond sector for Antwerp in particular and Flanders in general, what measures have you taken to make working conditions in the diamond sector more attractive?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u74	Mr Van der Donkt, the competent services of my department have indeed received a notification of a proposed collective dismissal of the diamond company Laurelton Diamonds Belgium bvba in accordance with the provisions of the Renault Act. As you said, 30 employees are involved. I would add that the procedure is under the Renault Act, which means that negotiations are under way with regard to the announced collective redundancies. This announcement of the dismissal of 30 workers does not necessarily mean that 30 layoffs will actually be made at the end of this procedure. There could be fewer of them. Wait and see . At the Safdico Gem Tech diamond cutting shop, six diamond sharpeners were fired, but this was not done as part of a collective dismissal because it was less than ten employees. The result of these redundancies was, however, that the company's grinding activities in Belgium were stopped. The wage and working conditions in the Antwerp diamond sector are governed by the collective agreements on which the competent Joint Committee No. 324 is under negotiation. In particular, the social partners pay more attention to making the profession more attractive by providing training and by making the profession financially more attractive. For example, diamond workers under the Joint Committee No. 324 are also covered, inter alia, by a free hospitalisation insurance and a supplementary pension. However, competition from Africa and Asia is such that it is very difficult to compete with the wages paid there. In 1999, the social plan sought to maximise the reduction of employers' social security contributions. This plan, which worked only a small year, until complaints were made to the European Commission and the Belgian courts about prohibited state aid, had already paid off on that very short period. Subsequently, an attempt was made to convince the European Commission that this plan did not involve prohibited State aid, given the virtually non-existent competition within the EU. However, by decision of 9 April 2002, the European Commission considered that this social plan constituted unreasoned State aid. After the European Commission had taken this decision, an attempt was still made to comply with the European State aid exemption regulations, but this was not accepted by the European Commission either. From 2017 onwards, a social plan light was introduced that could provide support to the diamond workers who employ grinders and other workers for the actual machining of diamonds. However, the aid is limited to the maximum amount of so-called European de minimis aid. That is to say, a maximum of EUR 200 000 per three fiscal years. The plan is that the social costs of diamond workers will be greatly reduced in order to maintain and strengthen employment in the sector. The plan is still in operation, thank God. The recent tax shift has ensured that in the Joint Committee No. 324 employers' social contributions have fallen by EUR 600 000. They now come to an amount of 3.8 million euros, to be paid in for the year 2018. The above is, however, a theoretical comparison based on pre-tax shift employment. The real amounts for 2018 may be lower or higher as a function of real employment. The reduction will continue to increase in the coming years and therefore costs will fall by around EUR 100 000. Thus, in the diamond sector, contributions will have fallen by 15% compared to the situation before the tax shift, on top of the effect of the index jump, of course. This does not, of course, mean that the sector is not yet close to wage costs in the low-wage countries. However, the policy cell is currently engaged in discussions with the Syndicate of the Belgian Diamond Industry, which is the sector federation for the diamond industry, on how a new influx of diamond workers can be achieved at a reasonable cost.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u75	Minister, I have no further comments.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u76	We have arrived at item 24 on the agenda, which is the joint question No. 24397 by Mrs Gerkens, No. 24500 by Mr Delizée, No 24500 by Mr Delizée, No 24617 by Mr Daerden, 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. 24624 by Mrs Gerkens, No. No 24743 by Mrs Dierick and others, 24963 by Mrs. Fonck. A number of Members have asked for the matter to be postponed. Debates of the European Parliament Mr Hedebouw's 24421 will be converted into a written question. For the combined questions No. (Parliament adopted the legislative resolution) I am waiting two minutes for Mrs Kitir to check whether Mrs Fonck is still coming to the committee. We have arrived at item 27 on the agenda, which is my question No. 24602. Minister, is it right that I should ask my question from the Chair?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u77	Madam President, where else would you put them?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u78	Otherwise, I'm gonna have to get replaced and it's gonna be a chair dance. So I will ask my question now.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u79	In the Royal Decree of 28 August 1963, which regulates small dereliction, Article 2 XI refers to the "family council" as it was called at the time. However, the Family Council was already abolished in 2001 and replaced by a new procedure in the Civil Code, also under the supervision of the Peace Court. If a person is now summoned to the justice of the peace in the context of such a procedure, the person cannot in theory avail himself of the small fee when this legislation is strictly applied. Until now, this has not often led to major problems and, in the spirit of the law, has been granted the small dereliction for such a summoning by the court of peace. In practice, however, it is now clear that in some cases small care is not granted, with the argument that the conditions are not met to enjoy the small benefit because there is no call for the so-called family council. It cannot be the intention that something to which an employee is entitled should be refused simply because the terminology used in our legislation has not been adapted. I have the following question. Are you prepared to amend Article 2 XI of the Royal Decree of 28 August 1963 by referring to the convening by the peace court under the procedure laid down in Chapter II, Title X of Book I of the Civil Code, so that there is no longer a family council? I asked questions earlier today about hospitalisation leave, for which you were able to arrange. I hope that you will be able to arrange this too, which means no more than adjusting the terminology.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u80	Your question relates to Article 2 XI of the Royal Decree of 28 August 1963 under which workers are entitled to be absent from work while retaining their pay for attending a meeting of the Family Council convened by the Peace Court, for the necessary time, with a maximum of one day. You state that the family council was abolished as such, but that the family members can still be heard by the peace court, for example in custody cases. You are right, therefore, to ask whether the concept of family council as defined in the mentioned Royal Decree should be understood to include the convening of family members by the Supreme Court in matters of custody and whether, in such a case, Article 2 XI of the Royal Decree of 28 August 1963 precludes the employment of members of the family from retaining pay. In this context, I can refer you to an answer to a parliamentary question given by the then Minister for Employment in this committee in 2002. However, the Law of 29 April 2001 amending several laws on custody of minors abolished the family council and entrusted its powers to the peace court itself. As a result, I believe that the provision of Article 2 XI of the Royal Decree has become obsolete. The family council was an organ of guardianship intended to allow the blood and related persons to play a role in the custody system and to be convened in specific cases by the peace court to make decisions on custody. Where the authorisation of the guardian for the establishment of specific acts originally came to the family council, the new rules, in particular after the abolition of the family council, only provide for a right of peace. In a number of cases, the court of peace is obliged to hear certain persons and/or the court of peace has the opportunity to hear persons whose opinions may be useful, but these persons do not have any formal participation. The convening of family members in custody cases within the framework of such a consultation, whether mandatory or not, by the peace court cannot therefore be compared with the previous call to attend a family council. Thus, to my regret, the workers who are called upon to be heard by the peace court in custody cases will not be able to remain absent from work while retaining wages under Article 2 XI of the Royal Decree of 28 August 1963. In this context, I would like to point out that the Royal Decree of 28 August 1963 contains only a minimum provision. An individual or collective agreement may contain more favourable provisions. In this case, employers can therefore still allow the absence of wages. For the sake of completeness, I should also like to point out that the persons concerned are entitled to leave on compelling grounds, whether unpaid or not, in the event of an appearance at the hearing. In view of the above, I propose that the opinion of the social partners should be sought on the possibility of amending the Royal Decree of 28 August 1963, in the sense that workers who are called upon to be heard by the peace court in custody could also enjoy a right of absence while retaining their pay. As a result of your question, I will refer it to the social partners and see if we can do something about Article 2 XI of the Royal Decree of 28 August 1963.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u81	Minister, I do think it would be good to look at how we can solve this. In the majority of cases, I am noted that there is no problem and that the employer allows this while retaining bets. In a number of cases, the family council is strictly referred to. You say that the stricto sensu is not intended for custody. However, when a peace judge summons someone, it is not for nothing. Hopefully there will be a positive opinion from the social partners to bring greater uniformity to this small gap. I look forward to the advice. I will ask the question again in a few months to get an answer, unless you spontaneously keep me informed.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u82	Questions Nos 24352, 24941, 24951 and 25132 by Mrs Fonck are postponed.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u83	Minister, Taylor Mail, located in Orcq, Tournai, was declared bankrupt by the Commercial Court on April 17, 2018. The Penant group, which had taken over the company in 2016, had promised to make a series of investments in order to sustain the business. Unfortunately, that was not the case. Since the beginning of this year, Taylor Mail has been involved in a Renault procedure following the announcement of a restructuring plan to eliminate 29 jobs. With this announced bankruptcy, all 78 workers are at risk of losing their jobs. This is a social tragedy that is like a huge blow to many people, to many families in my region. A curator has been appointed in particular to meet with the workers to take stock. The latter will have to decide on the continuation of the current contracts. Minister, what follow-up did your administration bring to this issue? Do you have any information about a future acquirer who could continue the activity and save these jobs?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u84	Mr Delannois, in the event of collective redundancies, the Royal Decree of 24 May 1976 on collective redundancies requires the employer to communicate certain information to the authorities. In this context, my administration had indeed received a notification from that company concerning the announcement of collective redundancies. Twenty-nine workers were involved. On the other hand, in the event of bankruptcy, the law does not provide for a similar obligation. Finally, as regards a possible successor, I would like to inform you that employment policy is a matter of regional competence. It is therefore up to my fellow regional ministers to respond.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u85	Minister, I understand that this is a regional jurisdiction. As a federal minister, I thought you might have more information than I did. Apparently that's not the case. Moreover, the difference you make between restructuring and bankruptcy is important. It's a shame we can't play much more entrepreneurially.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u86	All other questions have either been postponed or converted into written questions.
