ParlaMint-BE_2018-01-09-54-commissie-ic792x.u1	Debates of the European Parliament Mr Blanchart's 17020 will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u64	Madam Minister, thank you. If I understand correctly, another form of benefit will be introduced to compensate for it, regardless of its name. I would point out that these active pensioners continue to pay contributions, which makes sense. However, what I know about this royal decree, about what had been said about it in medico-mut, and about what you yourself had promised directly to the unions, dates back many months. The royal decree is under way. Do you hope to succeed quickly? Do you have any idea what this is about?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u65	It's not up to me. As soon as the elements arrive at my house, it will be ready, but in the INAMI consultations, I do not know how long it will take.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u66	The consultation has therefore not yet been completed.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u67	No, I didn't.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u68	Thank you.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u69	As soon as the text arrives at my home, it will evolve at the speed of the TGV.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u70	In practice, I have your commitment that in the event of a medico-mut agreement on the content of the "compensation", if I can call it that, will you endorse it and let the text pass?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u71	Yes.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u72	Mr.President, Minister, according to LIMOSA's official figures, the number of Indian posted workers' contracts in the computer sector increased from 1,214 in 2007 to 4,462 in 2016, an increase of more than 300% in less than 10 years. More and more telecom companies, IT consultants and even public services are opting for seconded and subcontractors to manage their IT services in whole or in part. The total annual wage of the average computer worker in Belgium is €49,510. For a posted Indian employee, this amount is only €40,972, the legal minimum. In companies employing these Indian workers, we can see that it is exactly the amount, to the nearest euro, of the legal minimum that is offered to them in employment contracts. More and more posted workers do not have the same social rights as their Belgian colleagues. They cannot be represented by a trade union, they do not enjoy any social advantage, because they continue to depend on the Indian social security system. Since 1 September 2006, a social security agreement has been concluded between Belgium and the Republic of India, allowing for detachments of up to five years. This is huge, knowing that in Europe it is a maximum of two years. Madam Minister, why does the agreement provide for a longer period than that for intra-European detachment? What is your assessment of the agreement with India? Is a renegotiation of the agreement envisaged? The Minister for Employment, Kris Peeters, said on 23 May last in committee that federal social security cannot conclude new agreements providing for a longer-term mission than foreseen by European legislation. Do you share this view? What social rights do posted Indian workers have in Belgium? Do they benefit from Belgian health insurance, for example? What is your opinion on the proposal to collect social security contributions in Belgium, in particular in order to simplify social inspection work? In the information technology sector, many Indian workers are employed at the minimum legal level, which, I suppose, was not the intention at the outset when this bilateral agreement was concluded. Do you agree that all employees in this sector should be employed in accordance with the terms and conditions of employment of the collective agreements applicable in Belgium? Finally, what do you think of applying the law on secondment in Belgium to this case? In concrete terms, the trade union delegation, the works council and the joint committee could have a say in the decision to have posted foreign workers.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u73	Thank you, Mr. Van Hees. Of course, in 2017 and until December 19, a LIMOSA declaration was registered for 3,695 people. The secondment period provided for in the social security agreement with India is five years. The same period is foreseen in the conventions with the United States, Japan, South Korea and Australia. For intra-European postings, the European Regulation provides for an initial period of 24 months, which may be extended. For information, India has concluded social security agreements with thirteen countries of the European Union. In all these agreements, there was a review of the five-year secondment period. Is there an evaluation? Are detachments correct? I am told that there is a permanent assessment of the correctness of detachments from the point of view of social security and compliance with the rules of this Treaty. In February 2017, there was a meeting between representatives of SPI Social Security and the Indian authorities to reach clear agreements to ensure that control was permanent. Meanwhile, the Indian authorities are developing a computer tool to give my services the opportunity to consult the Indian data bank in order to check whether the evidence of the detachments is correct and present in this data bank. During the negotiation of this Treaty, the request concerned mainly many people working in the field of TCI. There are currently no plans to review the terms of this treaty. In addition to a number of other aspects, the Convention prevents such persons from paying twice social contributions and from applying any social security legislation. Without this Treaty, posted workers could pay twice contributions or receive no social security protection. In India, social security coverage is not compulsory. It was therefore necessary to sign this treaty in order to prevent people from ending up without social protection. The employer of the secondees resides in India and ensures payment of wages and social contributions in the country of origin in order to avoid the risk of lack of protection. The posted person does not benefit from Belgian social security or sickness benefits, since no contributions are paid at home. On the other hand, Belgian citizens posted to India retain their rights in Belgium as if they were working here. It makes a difference if it is a person from here who works in India or vice versa.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u74	Minister, as far as the conventions are concerned, I note that for Canada, Turkey and the Member States of the European Union, they have a duration of two years. For most countries, the rule is not five years. I'm not saying there's none, but it's not the majority. That is my answer to one of the points you have put forward. There is no social security obligation. That is a problem. Trade unions are particularly dissatisfied with what they call "a form of social dumping". That's not true. It's not a win-win situation, it's a loser-loser. Indian workers are subject to unfavourable conditions in terms of wages and social security and Belgian workers are subject to this social dumping with threats to employment. These threats are not theoretical at all. They are very real because companies have dismissed workers to replace them with Indian workers. There is a real need to reflect on such agreements and situations which are at the expense of both workers in Belgium and workers from other countries.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u75	Minister, in mid-September 2017, you announced that you wanted to take further action under the government summer agreement. Among these, one measure concerns physicians who prescribe too many days of illness; these will have to be justified. You specify that guidelines will be established for physicians with respect to prescribing sick days. They will be clearly informed of how to set periods of absence. You say that it will be objectively determined in which physicians the duration and number of periods of incapacity for work differ from those of physicians with a similar profile. These differences may be explained by objective and justified reasons. If these reasons are lacking, doctors will have to justify themselves otherwise. This raises questions and questions. What do you mean by "the guidelines established for physicians regarding the prescription of incapacity for work"? Are you talking about volume? On the other hand, do you refer to indications or rather to a mixture between volume and indications? Who will establish these guidelines? The "who" is important. Will physician representatives be involved in this reflection? What criteria will be used to compare physicians to their incapacity-to-work requirements? What do you mean when you talk about the fact that doctors will have to justify themselves if objective and justified reasons are lacking? What are these objective and justified reasons? Are you planning sanctions? If so, what kind? To whom will these sanctions be applied?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u76	Minister, I wish you, as Minister of Health, good health and social security, this year 2018. My question also dates from last September. I have two questions: the first on medical certificates and the second on the abusive prescriptions of medicines. It's not exactly the same thing. You and the federal government have announced your willingness to empower physicians by strengthening controls over the issuance of medical certificates. Indeed, the cost of social security increases from year to year. It therefore seems appropriate to tackle the problem of certificates of convenience at the same time. To illustrate my point, in my own city, some doctors whose name I will keep sold certificates of convenience for ten euros, to students to exempt them from going to school, at the Institute Notre-Dame de Bonne Espérance, not to mention the institution. In 2016, a first step has already been taken in this direction, with the introduction of new certificates of incapacity for work aimed at better collaboration between treating physician and physician-counsel. You want to go further by carrying out thorough checks. Is there an estimate of the positive effects produced since the introduction of this new certificate of disability? What are these effects? Do you have an estimate of what constitutes the problem of certificates of convenience in our country? In concrete terms, what kind of sanctions do you envisage against practitioners issuing such certificates? For the issue of abusive prescriptions of medicines, it is known that INAMI is based on a set of obvious deviation indicators. Otherwise, they are normally prudent and diligent provider criteria. What can you take from these controls, Minister? Is there a decrease in this practice? On an annual basis, how many files have been opened? Have sanctions been imposed? If so, to what extent?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u77	Ms.Fonck, Mr.Flahaux, the new certificate of incapacity for work, with the end date, has been in effect since January 1, 2016. With regard to the impact of the number of days of recognized illness and the average duration of incapacity for work, I will give you a table showing the number of periods of illness per duration. The 2015-2016 evolution is represented. Overall, we can see a slight, non-significant increase in periods of short-term illness and a slight and insignificant decrease in longer-term periods of illness. The pivotal moment is around three months for the unemployed and around five months for the active. The average duration of incapacity for work decreased by four days: 154 in 2016 compared to 158 in 2015. As regards the number of persons with primary incapacity for work, we can see a slight increase in the number of persons in employment, but also a marked decrease in the number of persons with recognised incapacity for work. As regards the number of persons who fall under the invalidity scheme after a period of primary incapacity for work, we see the same phenomenon: a slight increase in the number of persons employed, as well as a marked decrease in the number of unemployed persons recognised as being disabled. However, it is not possible to measure whether the findings result from the impact of the new certificate of incapacity for work. In order to answer Mr Flahaux's second question, a distinction must be made between the different disease certificates which a doctor may have to draw up. Such a document may be intended, among other things, for the employer, a school or a medical consultant of the insurer. In the case of compulsory health care and benefits insurance, the declaration of incapacity for work is in the form of a certificate issued by the attending physician and the model of which is imposed. With regard to compensation by the insurer, the medical consultant for mutual benefit is responsible for the assessment and, as such, recognizes or refuses incapacity for work, both during the period of incapacity and during the period of incapacity - in other words, after more than one year of incapacity. It remains competent at any time to put an end to the recognition of incapacity for work. INAMI is competent in terms of control, but only in respect of certificates which have given rise to compensation by compulsory health care and allowances insurance. Certificates of complacency for incapacity to work are practically the only guaranteed wage period. The Medical Assessment and Inspection Service cannot provide an estimate of the number of certificates of convenience, as it does not have such data for the guaranteed wage period. The certificate used in compulsory insurance is specific and obliges the prescriber to medically motivate this incapacity. The medical assessment of incapacity for work is carried out by the physician-counsel of the insurance body. An employee recognized by that body is subject to sanctions if he or she performs work that is not authorized by the medical consultant. The social controls of the administrative control department have supervisory competence in this area. In 2016, they found 399 cases. However, this does not mean that there have been certificates of convenience. The Medical Assessment and Control Service (MSC) publishes information brochures for health care providers on INAMI regulations. Any problem with medical certificates can be reported by any citizen to the College of Physicians. Physicians may be subject to ethical sanctions by the College of Physicians. Physicians are aware of the Code of Ethics. There are also possibilities for prosecuting and penalizing those who issue a certificate of convenience, such as those who use it. The issue and use of this type of certificate can be punished either as a false use in social criminal law, as a scam in social criminal law, or as an incorrect statement by a healer in the Criminal Code as well. These facts are also covered by article 204 of the Criminal Code concerning the false medical certificate. The SECM examines whether further measures could be taken against the perpetrators of this type of offence. With regard to Ms. Fonck's questions, the guidelines on incapacity for work requirements will be drawn up by a working group set up within the National College of Social Insurance Medicine. The various representatives of the medical associations are included in this working group. The criteria used in comparing physicians with a similar profile will mainly be the duration and number of work disabilities prescribed according to the pathologies. The physician with a prescriber profile, which could be described as outside, can be identified and will have the opportunity to motivate and explain his/her behaviour. The objective and justified reasons may be differences between the specific characteristics of patients, such as age or social status. The Evaluation and Monitoring Service is examining what action could be taken against out-of-country prescribers. With respect to Mr.Flahaux's question, during 2014-15, 45 files related to the use and abuse of analgesics and narcotics were processed. The prescribing and medication profile of prescribers and users was analysed on the basis of pricing data for all public pharmacies. In three of the 45 cases, the prescriber maintained substance abuse. When the INAMI Medical Inspection Evaluation Service finds, after analysing the pricing data and hearing of doctors, that the prescriber has prescribed unnecessary or unnecessarily expensive medicinal products, it can only be punished after a six-month monitoring period by the SECM. The prescriber may be punished only if he or she does not change his or her prescribing behaviour during the monitoring period. The files of the three physicians under monitoring were forwarded to the College of Physicians and the Provincial Medical Commission. One of them was sent to the prosecutor's office. After monitoring, the three doctors changed their prescribing behaviour. However, they always remain under monitoring with increased vigilance. I will give you the table, whose figures range from one week to one year.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u78	Madam Minister, thank you for your answer. I don't have the paintings yet, but you'll send them to us. We will then see what is happening since, obviously, a series of data are not significant in evolution and elsewhere, to talk about evolution, we would have to analyse several years and not just one. You have recalled the existing legislation, which I would like to stress again. In your statement in September, the manner in which this was presented suggested that doctors should be considered, first and foremost, suspects. I think I can forcefully say that the vast majority of doctors respect the rules. On the other hand, this suggested that there was nothing, while everyone knows that certificates of convenience have long been potentially sanctioned with different categories. Mr Flahaux, in your remarks, you are targeting doctors and a college. These are serious charges that require evidence. Penalties exist and if you have evidence, it is your duty to pass them on to the prosecution. But be careful not to make accusations without proof, especially accusations as serious as this one. I wanted to remind you, in particular, that certificates of convenience have been sanctioned and sanctioned for a very long time. This government didn't make up anything. Finally, Minister, I am well aware of the elements relating to potential new decisions and possible additional adjustments to existing and old sanctions. I hear we're working with the medical representatives. I hear you've been working on the length and number of volumes. I'm paying attention if you start working on the patient's personal indications as such. In fact, to whom will the outsiders, as you call them, have to justify themselves? To the doctor-counsel? With the control office, if any? How will this be articulated with the existing physicians-controllers who are supposed to do this work? In addition, in an individual situation, it is extremely complicated to make a comparison on the basis of an indication as stated in the medical certificate. In this regard, there is still work to be done with physician representatives. Finally, Madam Minister, I regret the way in which you communicated in September. You have done so in a rather provocative way, as if there was nothing in the legislation today. That's not true. There are already many things, controls and sanctions. It appeared, at that time, as being an understatement rather "gross" that doctors had to be considered ex officio suspects. That's too bad.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u79	[[...]]
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u80	If you'll allow me to finish, that's not my interpretation. I can tell you that if I have put a question on this subject, it is first and foremost because I have received an incredible number of e-mails from doctors. I'm just telling you. In fact, the unions reacted. I note that they are now associated with these famous guidelines. It is a minimum and we will see what work can be done. I hope that it will be constructive and realized in a way that is attentive to the personal realities of the patients.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u81	Since she has attacked me, I take this opportunity to say that my colleague, Mrs Fonck, sometimes has the art of having two brothers and sisters fight. Frankly, she interprets things. I consider that the overwhelming majority of the medical profession fully respects both the certificates and the requirements. But there are abuses and I think that, in this area as in others, the current government takes the bull by the horns. It not only improves and refines existing legislation, but implements it. It's also important. It is often when some commit abuses, that public opinion tends to generalize, whereas these are often extremely minority events. It's also kind of the meaning of my question. I am not here to defend her, but I do not think that the minister has a provocative attitude either. In any case, the medical corps, which I also know well, did not feel that way, but as a way of putting the clocks back on time.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u82	Mr President, this question will please Mrs Fonck since the CDH wanted to put it on the agenda of the Opinion Committee on Social Empowerment as a matter of priority. But since the CDH was not present in committee to defend its proposal, it will not be accepted. Minister, once again, the issue of prostitution has recently come to the fore following the advertising campaign of a website inviting students to register to attend Sugar Daddy. Beyond the problem of student prostitution, I would like to come back with you to the issue of prostitution in general. I had previously addressed a similar question to the Minister of Justice, who recommended that I address you. Minister, the situation in our country remains unclear with regard to prostitution. At a time when some European countries have decided to follow the path of a ban, while others, like our Dutch neighbours, have decided to regulate this phenomenon, we are in a more complex situation. Indeed, since 1948, only articles 379 et seq. of the Criminal Code have dealt with the issue. They do not suppress prostitution as such, but rather a series of behaviours that surround this activity. Belgium therefore pursues a policy of tolerance towards prostitution. Yet there is no legal status for prostitutes. They are estimated to be around 20,000, 80 per cent of whom are women. This would represent one in every 100 women. Without status, these people find themselves particularly poor and unprotected. Minister, without entering into a moral discussion but taking a pragmatic stance, what is your position on this issue? Are you considering changing legislation in this area? If so, in what sense? I am also thinking of the problem of "coachers" or "mackerels". Since you are also Minister of Health, it is also important that health checks be carried out.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u83	Mr Flahaux, the fact that there is no specific social status for a given activity does not mean that the persons who carry out this activity do not enjoy any social protection. These persons then fall under the general rule and, as with any other activity, it will be necessary to determine on the basis of the concrete situation whether the person concerned is an employed person or an independent person. In the case of a contract of employment, i.e. if the three elements of an employment contract are present, i.e. wages, benefits and authority, the person concerned is subject to the social security scheme for employed persons. The employer will then have to pay contributions and the worker will acquire social rights through this employment. Although prostitution goes hand in hand with criminal acts, social security contributions are still due. If there is no employment contract, it is necessary to check whether the conditions are met in order to be considered independent. If necessary, the person concerned will have to join as an independent person and pay contributions as such. The various social inspection services are responsible for monitoring the rules. Other elements are important. We are working on this, including funding for people who work with prostitutes. We're making good progress. So far, there are not too many problems.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u84	I thank the minister for her response, which shows that she is fully aware of the situation and that she is trying to improve things. That is common sense. The situation is better at home than in France, where the customer is even criminalized. However, it is well known that prostitution still exists in practice. So it's better to regularize things. Thank you.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u85	Mr. Chairman, Madam Minister, I asked two different questions. One was addressed to you as Minister of Social Affairs. The other was addressed to Minister Kris Peeters. Unfortunately, I see that this issue has been referred back to you, when it was formulated differently according to the Minister's jurisdiction. I will therefore first ask the question that was addressed to you in its own right. I was recently questioned by a councillor on the communal council that I chair. As a future mother, she raised the incompatibility between receiving maternity benefits and participating in the board. Since then, she hasn't been sitting. Meanwhile, she had her baby, and fortunately, since it was October 5. The Coordinated Act of 14 July 1994 on Compulsory Health Care and Allowances Insurance provides that local female agents who are in maternity protection are unable to continue to carry out their duties. In the event that the activity is not terminated, the compensation is no longer due. In fact, young mothers therefore have a ban on sitting, which I find scandalous. This situation raises two questions. First, how can we justify preventing an elected person from exercising his or her fundamental right, that of exercising the mandate entrusted to him or her by the citizens? This can also cause organisational problems within the council of its municipality. This is not the case with mine, but it may be a problem in the case of communes where the majority are schep, if I may say so, to a seat nearby, and this one is occupied precisely by a young mother. Secondly, how can such a situation be justified at a time when there is a plea for ever greater mix at the political level? Is this not a hindrance for many women wanting to engage in politics at the local level? Minister, what is your position on this issue? What can you do to eventually change the situation? I continue with my question to Minister Peeters. The introduction is generally the same. This status will have to be removed from the current framework of paid employment. That's what I was thinking to Minister Peeters. I asked him what avenues could be considered to change this status and to allow women on medical certificates to nevertheless assume their political commitments. What would happen to an amateur football dad on paternity leave, who would win a game bonus? Should he also refrain from serving his club? It's not just about women. This could potentially affect men. I'll give you the hot potato, Madam Minister.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u86	Mr. President, Mr. Flahaux, thank you. It is important to remember that the maternity rest period does not constitute a period of incapacity for work within the meaning of the allowance insurance, but rather a period of maternity protection. This maternity protection measure has the dual objective of enabling both the physiological recovery of the mother and the reception of the child. The legislator thus sought to promote the mother's complete rest by granting her a specific replacement income. In the scheme for salaried workers, this period of maternity protection consists of a compulsory rest period covering, on the one hand, the week immediately preceding the presumed date of birth and, on the other hand, the compulsory postnatal rest of nine weeks taking place on the day of delivery, as well as an optional rest period covering the remaining five weeks, which may be taken before or after the birth. Compulsory rest periods are covered by a prohibition on working in labour law. And when the worker requests her optional maternity leave, it is not possible, under the current health and disability insurance legislation, to pursue an activity during that period. Article 115 of the Health and Disability Insurance Act states that the period of maternity rest may be used only if the holder has ceased any activity. Before clarifying what is meant by "activity" within the meaning of this insurance, it is important to recall the objective pursued by the legislator and which was the basis for the adoption of this Article 115, namely that maternity allowance constitutes a replacement income intended to promote the full rest of the mother. Indeed, the condition of termination of any activity is justified both by the nature of the benefit granted and by the purpose pursued, namely the protection of maternity. The concept of inactivity which is referred to must be understood in a broad sense and not only covers gainful activities but also any type of activity, whether remunerated or not, which applies to employed and self-employed persons. In addition, it is important to specify that this condition of cessation of any activity is not only required during a period of maternity rest but also for the award of an allowance in connection with a birth or paternity leave. This allowance shall be awarded under the same conditions as those laid down for the grant of the maternity allowance. This equality also applies to young fathers.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u87	Madam Minister, thank you. Indeed, paternity leave is equivalent to maternity leave except that it is much shorter; therefore, the problem arises less long. The best is the enemy of good, as they say. However, paradoxically, these young women participate in the political meetings of their locals while breastfeeding their babies sometimes but cannot attend the meetings of the communal council. This is not a question of money; many of them would attend the communal council without emolument. I would also remind you that your French colleague from Justice, Rachida Dati, resumed his professional activities two days after his delivery. Today, women are solid and well in their skin. This positive protection measure could be perceived as discriminatory. I will therefore come back to this subject.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u88	Debates of the European Parliament 21467 by Mrs Catherine Fonck will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u89	Madam Minister, at the end of November, you launched the idea of keeping pregnant women at work longer by stating that, in your opinion, they should not take leave if their health and that of the baby were not compromised and if they could be assigned to another task in the same company or elsewhere. In your view, this would save money in terms of health care insurance, as they would continue to receive their wages. You added that this would be a very good thing for women workers themselves, as they receive only 78% of the gross salary when they are on prenatal leave. In addition, during their absence, they would lack some opportunities for promotion. Minister, what would be the order of magnitude of the savings resulting from such a measure? Have you ever prepared a budget calculation in this regard? Have you discussed this with the social partners? If not, will you consult them? Will the pregnant woman be able to choose to continue working under other circumstances? Was this not just a decision made by the occupational doctor? Do you intend to punish pregnant women if they refuse to continue their work, especially if they are offered a suitable function? Finally, what do you think about the risk that employers will put pressure on them to agree to continue their work, when this would be medically contraindicated?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u90	Mr Van Hees, Mrs Ben Hamou of the PS, asked exactly the same question during the plenary session on 30 November. I could therefore only repeat my reply given on the same day and available in the full report. So I can pass it on to you, because it's pointless to repeat myself.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u91	Maybe there's something new, minister!
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u92	It was the same question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u93	There may have been some new developments since then.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u94	No, not at all. In a few weeks?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u95	There's no extra news. Non bis in idem.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u96	Budgetaryly, for example...
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u97	It's no use. You shouldn't try, it won't work. It's the same question. So you'll get the same answer.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u98	There's only five weeks in between.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u99	Can I still reply?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u100	Of course you can.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u101	I'm listening to the answer.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u102	I think you were there.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u103	Yeah, I was there, but there may be some news.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u104	Stop it. Replicate!
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u105	I believe that budgetary problems should not be solved to the detriment of the health of young mothers or their babies. Only a doctor at work can determine whether an employee should be removed from work. Neither the employee herself nor the employer are competent. This situation is problematic because these workers are already more vulnerable and in a weaker position to say no to the employer. There is a risk that the employee may overestimate herself or underestimate the health risks and the risks to her baby in order to keep her job. These pregnant women already have a great sense of guilt. Allowing them to decide themselves will only increase this risk. I think we're really in a situation that risks taking a step backwards in maternity protection.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u106	Questions Nos 22174, 22175, 22176, 22177 and 22196 by Mrs Van Peel are converted into written questions.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u107	Mr President, Minister, following on from the discussion of the programme law on extending the scope of flexi-jobs, I asked you about the state of play of the royal decree referred to in Article 24 of the Law on various provisions on social affairs of 16 November 2015. That Article lays down the following: "The employer using flexi-job workers must use a system which records and maintains for each individual flexi-job employee the correct time of beginning and end of the work performance. The King shall determine, by decision adopted after consultation of the Council of Ministers, the detailed conditions to be met by the system referred to in paragraph 1. The King shall also determine, by decision adopted after consultation in the Council of Ministers, how long the recorded data shall be stored." You replied that the royal decree was not at issue. During the discussion of the Minister of Work's policy paper, I asked for his views on this issue. I wasn't alone with my concern. I quote from the report a passage by Mr Vercamer: 'The success of flexi-jobs in the hospitality sector is due not only to the work arrangements created, but also to the introduction of registration systems and white checkouts. With regard to the extension of flexi-jobs, the speaker wondered whether it would not be appropriate to introduce similar counselling measures." The answer of the Minister for Work was as follows, and I quote again from the report: "The Minister states that, according to Article 27, the draft programme law should include time recording. He assumes that everyone will implement it when the law is passed. Article 27 of the Royal Decree of 16 May 2003 implementing Chapter 7 of Title IV of the Programme Act of 24 December 2002 on the harmonisation and simplification of the arrangements for the reduction of social security contributions or the use of the equipment referred to in Article 164 of the Programme Act, therefore reads as follows: "A registration pursuant to Article 28/10, Paragraph 2 of the Royal Decree of 16 May 2003 implementing Chapter 7 of the Programme Act of 24 December 2002 on the harmonisation and simplification of the arrangements for the reduction of social security contributions or the use of the equipment referred to in Article 164 of the Programme Act, shall replace the obligation to register as referred to in paragraph 1 of this Article. My questions are as follows. Firstly, do you confirm the reply of your colleague, in particular that at the time of the extension of the flexi-work there will have to be either a white register or a time record? Secondly, do you confirm the reply of your colleague, in particular that at the time of enlargement, users of the flexiwork must have either a white register or a time record or a device made available by the RSZ? Does that imply, on the other hand, that, in the absence of a royal order, which is also required under Article 24 to fix the period of retention of the data, the records must be kept in accordance with the conditions laid down in Articles 167 and 168 of the Law of 22 December 1989?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u108	Mr President, Mrs Kitir, we made it clear during the discussions in this committee that there should indeed be a possibility of registration, as provided for in the Royal Decree of 16 May 2013, either via a white checkout or an alternative system of attendance registration, which is made available by the RSZ and offers the same guarantees. There was also no need for an additional royal decision. In those provisions, the employer has the choice between the different forms of time registration that already exist, being the registered cash register and an alternative system of daily presence registration by the web application developed by the RSZ in the framework of the workforce, where a daydimona is equivalent. If there is no registered cash register, you can therefore use the day dimona or the specific application from the staff. We have added a new possibility to this by means of the Programme Act, namely the devices referred to in Article 164 of the Programme Act of 22 December 1989. However, these should not be issued by the RSZ. Since this registration contained in paragraph 2 deviates from paragraph 1, the provision which states that a royal decree lays down the retention period does not apply. The data recorded by the apparatus in question shall be kept in accordance with the provisions of application to such apparatus and, in particular, Articles 167 and 168 of the Programme Act of 22 December 1989.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u109	Madam Secretary, thank you for your reply. This is different from the answer given by the Minister of Work, which is why I questioned you about it. I will read the answer very carefully, and if there are any questions left, I will come back to this.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u110	We come to today's last question, which is a question from Mr Spoorten. Mr Spoorten, I give you the floor for your question and I would ask you to chair the sitting. You may be able to observe the Presidency from your place.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u111	Président: Jan Spooren.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u112	Madam Secretary, this is a follow-up question. On 20 January 2016, I questioned you about the fact that DIBISS works exclusively with Belfius as a financial institution. You replied that the reasons were historical and that opening up to other financial institutions would involve significant investment costs. In your reply, you rightly referred to the fact that DIBISS would be integrated into the RSZ from 1 January 2017, which also happened successfully. In the context of that merger, you replied that the exclusivity of the direct debit via Belfius Bank could be reversed. There would be harmonisation. The aim was to open the direct debit system to all financial institutions without maintaining an exclusivity contract. Madam Secretary, what is the state of this harmonisation project? Does the contract with Belfius still exist and is it still exclusive?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u113	Mr Spooren, as I said last year, the exclusivity of Belfius and, more specifically, its abolition is being considered in the context of the integration and harmonisation of the management of the employers' accounts of the former DIBISS with the employers' accounts at the RSZ. For several reasons, this is an extensive project. The current system of the RSZ was created in 1979. About 3 000 employers' accounts at the level of the former DIBISS and about 900 000 employers' accounts at the RSZ should be integrated into the new system. The daily collection of social security contributions should not be compromised. Prior to the project of integration and harmonisation of the management of the employer accounts of the former DIBISS with the employer accounts at the RSZ, two sub-projects should first be identified. A first sub-project concerns the alignment and integration of account management with two other databases managed by the RSZ, namely the Employers' Directory, which contains metadata at company level, and the DmfA, which contains the employers' quarterly declaration to the RSZ, which contains the details of the social security declaration. The analysis to guide this sub-project has now begun. The second sub-project concerns the modernisation of employers' schemes at RSZ, including the creation of a new database that is more flexible and able to meet specific needs, in particular employers' accounts ex-DIBISS, as well as the modernisation of the application of account management, including the management of collection and charging of payments resulting from direct debit. This project was launched in 2016 and will be finalised during the first quarter of this year. The RSZ will soon start with the business analyses linked to the management of the employers' accounts ex-DIBISS and the exclusivity via Belfius.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u114	Madam Secretary, thank you for the answer. I have no further comment on this.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u115	Debates of the European Parliament Mr Van Hees' 22824 will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u116	Mr President, 16 questions were not asked.
