ParlaMint-BG_2019-02-20.u1	We have a quorum. I'm opening the meeting.
ParlaMint-BG_2019-02-20.u52	Madam President, ladies and gentlemen of the House! I will be very brief because I believe that in the report I presented from the Internal Commission meeting, it was very clear with all the arguments that were put out there and the debates that were held. Finally, I would like to thank the Commission for protecting personal data for their activity and the opportunity to be available and actively involved in the working group, which was in the Internal Commission and for four months to have a meaningful and thorough debate. They made mutual compromises and, if we remember when we adopted the Law at second reading in a large part of the texts, it was changed, thanks to the teamwork of experts, representatives of NGOs, all those who wanted to find this balance. Following what Desislava Atanasova said about all those who are the experts and the nominations made by President Radev, I would like to share to you that Constitutional Decision No 4 of 2012. This is the decision that has been discussed, this is the decision that has been debated, precisely for this balance that needs to be reached between citizens and the media. In this particular Constitutional decision, when it was taken, a participant in the meeting was also our esteemed Professor Drumeva. I find it very strange that Professor Drumeva was defending another thesis, which is slightly different from the Constitutional Decision No 4 of 2012, and this was marked, as well as by Ventsislav Karadzhov, the Chairman of the Commission for Personal Data Protection. [[Applause from GERB.]] What I can say is that the final adoption of the second reading of the bill had a full consensus, there was only a topic that was open and remained for debate and after the meeting with a representative from the opposition Mr. Milkov, Mr. Kashumov, also representatives from the Commission for Personal Data Protection and representatives from the Ministry of Interior. Then, in fact, we have given the opportunity to discuss again and to be able in the Chamber, when we look at the Draft at second reading, to have a full consensus. It was also said by Mr. Manev that this was indeed the bill which united absolutely all political forces, regardless of their belonging, to support the Law, which was extremely consensual for all. For me, it is extremely important, and what I stressed is that when the Association of European Journalists, two days before the meeting of the Internal Commission to view the president's veto, they actually went and received support from the Bulgarian Socialist Party. And then Mrs Cornelia Ninova said that they stand firm behind this bill and will support the president in the veto. Unfortunately, not a single representative of the Bulgarian Socialist Party complied with the promise and commitment made by Mrs Cornelia Ninova. In fact, BSP colleagues felt worried that they should change their position not on a principle basis, but on a political basis, as Mrs Cornelia Ninova put it. I would also like to express a firm opinion here that the subject and the suggestion that some have tried to make in their comments that the importing of this bill is the Council of Ministers is the Ministry of Interior, and that there is hardly any additional repressive element in the Law, I can say that under the Constitution the executive authority in the face of the relevant ministries has a legislative initiative, and the Commission for the Protection of Personal Data does not have one. That is why, in fact, the Bill, which was prepared by the Commission, together with the experts, was submitted by the Ministry of Interior and was adopted by the Council of Ministers and viewed in the Bulgarian Parliament. Colleagues, I can clearly state that the adoption of the Law, the support for it will give a better balance and guarantee the rights of all those involved in this process. Thank you. [[Applause from GERB.]]
ParlaMint-BG_2019-02-20.u53	Thank you, dear Mr. Tsvetanov. Colleagues, any other speeches? I can't see. I'm closing the debate. Please, the Quaestors, invite the MPs to the Chamber! Please, fellow Members, take your seats. I re-vote the Law amending and supplementing the Personal Data Protection Act adopted by the National Assembly on 24 January 2019. They voted 132 MPs: 127, against 1, abstention 4. [[Applause from GERB.]] The proposal has been adopted, and thus the Law amending and supplementing the Law on the Protection of Personal Data has been re-accepted. The law will be sent to the President of the Republic for promulgation in the Official Journal of the Republic within seven days of its receipt under art. 101, para. 3 of the Constitution. Thank you, colleagues. I'm calling a half-hour break. (After the break.)
ParlaMint-BG_2019-02-20.u54	Dear Members of Parliament, we are continuing our work on today's programme. The next item is: ANNUAL YOUTH REPORT 2016 AND ANNUAL YOUTH REPORT 2017 WITH PROJECTS FOR DECISIONS. We will start with the Committee on Children, Youth and Sports Report. Mr. Atanasov, the President of the Commission, will brief us on the report. You have the floor, Mr. Atanasov.
ParlaMint-BG_2019-02-20.u55	Dear Mr. Chairman, Mr. Minister, honourable Members of the National Assembly! ♪ I can't believe on a draft Decision adopting the Annual Youth Report 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018. The Committee on Children, Youth and Sports at a regular meeting held on 9 May 2018 discussed and discussed the draft decision adopting the Annual Youth Report 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018. The meeting was attended by Mrs. Vanya Koleva, Deputy Minister of Youth and Sports, Mr. Petar Mladenov and Mrs. Gergana Djuglarska. On behalf of the importer, the report was presented by Mrs. Vanya Koleva. In her presentation Mrs. Koleva informed the MPs that the 2016 Annual Report is based on summary information from all institutions whose activities relate to young people in the country. For the needs of the report a national survey was carried out on the topic "Establishing the effect of youth policies on young people in the country." The questions set out in the study follow the main topics and priorities of the National Strategy for Youth 2010 - 2020. The information is structured on the basis of the indicators of nine priorities. In 2016 was developed and adopted National Youth Programme for the period 2016 - 2020 under which projects were funded for the creation of 36 youth centers in 26 district cities in the country. 39 projects have been financed for the activation of young people in small towns and their participation in voluntary initiatives. The total amount of the funds allocated for 2016 amounts to 695 thousand. lv. The importer pointed out that the activities related to the promotion of youth employment in the country in 2016 were implemented in the context of the initiative................................................................................................................................................................................................................................................. 36 labour exchanges were held with employers and young people involved in the activation of inactive young people. These included 5257 young people up to 29 years of age, with 3443 starting to work. Programmes and measures for employment, internship and apprentices financed by both the state budget and the European Social Fund include 23 108 young people up to 29 years of age. The first two parts of the report are focused on the profile of young people and on the main demographic characteristics of young people in Bulgaria. According to the information in the report, Bulgarian youths do not have serious social deficits. More than 70% of young people believe that their funds are sufficient for full nutrition, the purchase of clothing and shoes, the payment of electricity and the purchase of medicines. The acquisition of higher education is largely a guarantee for employment in Bulgaria. Only 4% of all graduates were unemployed during the poll. The high level of education also proves to be decisive for the satisfaction of young people from their work " 65% of young people are satisfied, and only 29% are dissatisfied. Ms. Koleva pointed out that at the end of 2016 the budget for financing youth activities was increased by 2 million. BGN, which is more than three times more than that in 2011. The Deputy Minister for Youth and Sports also informed the members of the Commission of some of the results achieved in 2016. 40 500 young people have started working on the primary labour market, 23,000 to 29 years of age are included in employment programmes and measures, 4200 are included in different forms of training. In conclusion, Mrs. Koleva said that the implementation of the priorities and objectives of the state policy for young people in the country is related to the achievement of certain results in specific sectoral policies as well as better interaction between the different executive units in terms of measures and activities aimed at improving the lives of young people. The following discussion was attended by the MPs Vesela Lecheva, Hristo Prodanov, Ivan Chenchev, Mikhail Hristov. The MPs analyzed the conclusions drawn on the financial situation of young people, their economic activity, also focused on the lack of state support and justice, 85% of young people did not feel protection from the state, according to them. They also supported the idea of applying a differentiated approach to three different age limits, not to be a total of 15 to 29 years, but to divide into three, which would lead to a greater result in the implementation of youth policies. During the discussion it was pointed out that the report provides information on the peculiarities in the educational and social development of young people in the country. After the discussion was completed and a vote with results was held: 13 votes for.. 5 votes against................................................................................................................................................................................................................................................... Asks the National Assembly to adopt a draft decision adopting the Annual Youth Report 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018
ParlaMint-BG_2019-02-20.u56	Thank you, Mr. Atanasov. Please also introduce us to the Annual Report for next 2017.
ParlaMint-BG_2019-02-20.u57	Colleagues, before this, I request that the Deputy Minister of Youth and Sports Mrs. Vanya Koleva be admitted to the Chamber.
ParlaMint-BG_2019-02-20.u58	Please vote for admission to the House of the Deputy Minister of Youth and Sports Mrs. Koleva. Vote 67 MPs: for 67, against and abstention there is no. The motion is accepted. I ask the Quaestors to invite the Deputy Minister to the Chamber. Mr. Atanasov, continue reading the second report.
ParlaMint-BG_2019-02-20.u59	Mr. Chairman, Mr. Minister, ladies and gentlemen of the House! ♪ I can't believe The Committee on Children, Youth and Sports at a regular meeting held on 19 December 2018 discussed and discussed the Annual Report on Youth for 2017 and the Draft Decision No 802-00-55 submitted by the Council of Ministers on 14 December 2018. The meeting was attended by Mrs. Vanya Koleva, Deputy Minister of Youth and Sports and Mrs. Gergana Roshmanova. On behalf of the importer, the report was presented by Mrs. Vanya Koleva. In her presentation Mrs. Koleva informed the MPs that the Annual Youth Report 2017 was prepared on the basis of a summary of the measures implemented by the competent institutions responsible for the development and implementation of youth policies, the National Statistical Institute, as well as by a study. The questions set out in the study follow the main topics and priorities of the National Strategy for Youth 2010 - 2020 for increasing civic activity, the role of young people in crime prevention, promoting healthy lifestyles, improving access to information and quality services, promoting economic activity and career development of young people, developing youth volunteering, developing intercultural and international dialogue, developing young people in small towns and rural areas, as well as preventing the social exclusion of young people in disadvantaged situations. The purpose of the report is to show the specific problems, socio-economic realities, the lifestyle of young people, as well as their attitudes and values. The report shall provide information on programmes, projects and measures for employment and training financed by the State budget. There is a tendency to increase the activity of institutions in providing social services to children, young people and families aimed at supporting vulnerable groups. The Deputy Minister of Youth and Sport shall also inform the members of the Commission of the results achieved with regard to initiatives, trainings and services provided by the Youth Information and Consulting Centres where 214 133 young people participated. Of these 58 912 were young disadvantaged people, 21 805 were unemployed, 41 955 were employed, 105 202 were students, and 41 221 were students. The report reports that Bulgarian youths do not have serious social deficits, with 70% of young people thinking that their funds are sufficient for full nutrition, buying clothing, buying shoes, paying electricity and buying medicines. Young people who are in a difficult social situation are mostly part of ethnic minorities, which is the main factor for their low social status. It has reduced the number and relative share of dropouts from 2.9% in 2016 to 2.7% in 2017. The report provides statistics from the Employment Agency, which shows that the unemployed are shrinking by almost 16% in 29 years, taking into account that about 42% of the working young people do not intend to change their jobs while around 13% are in the process of looking for a new job. There is a tendency to increase the number of returning young people in Bulgaria after completing their education abroad. The share of young people who are not interested in politics is still high. The main focus and priority of the Ministry of Youth and Sports in 2017 in the fight and prevention of all forms of aggression and addiction among young people is the National Program for the implementation of youth activities under art. 10a of the Gambling Act with a budget of 2 million. lv. The program is aimed at young people aged 15 to 29 years and is implemented in three areas "Inform young people".. Motivate young people.............................................................................................................................................................................................................................................. Scholarships were granted to 426 students with prominent gifts. As regards the Programme for the Prevention of Chronic Infectious Diseases, activities are carried out aimed at limiting risk factors related to lifestyles, unhealthy eating, low physical activity, alcohol use and others. Different educational methods and forms of training are used: lectures, lectures and discussions with a total number of participants 65 500. The report shall provide information on the number of acts carried out by the children's pedagogical room in association with minors. The need for cooperation of institutions to conduct policies on the personal and professional development of young people and to prevent the causes of crime and social exclusion is reported. In conclusion, Mrs. Koleva pointed out that the policy of the Ministry of Youth and Sports will continue to be aimed at encouraging students for systematic activities with sports, creating habits for healthy motor activity and opportunities for sports performance. The subsequent discussion by the MP Vesela Lecheva expressed reservations about the objectivity of the data presented in the report. National Representative Sevim Ali made a recommendation to request opinions from the youth organizations of the parliamentary groups in preparation of Report 2018, and Mrs. Svetlana Angelova expressed her satisfaction with the results reported in the Report, adding that they should continue their efforts in this direction. As a result of the discussion and on the basis of the 10-vote vote held, the Committee on Children, Youth and Sports asked the National Assembly to adopt a draft decision to adopt the Annual Youth Report for 2017, No 802-55, submitted by the Council of Ministers on 14 December 2018 and thank you for listening.
ParlaMint-BG_2019-02-20.u60	Thank you, Mr. Atanasov. The draft decision that we are looking at is also allocated to the Committee on Education and Science. The 2016 and 2017 reports will introduce us to Mrs. Stoyanova. Here you go.
ParlaMint-BG_2019-02-20.u61	Thank you, Mr. Chairman. Dear colleagues, I will present to you the reports of the Committee on Education and Science on the Annual Report on Youth for 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018. At its regular meeting held on 9 May 2018, the Education and Science Committee examined the Annual Youth Report 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018. The meeting was attended by Mr. Petar Mladenov, Head of the Department of Public Policy at the Ministry of Youth and Sports, and Mrs. Denitsa Sacheva, Deputy Minister of Education and Science. Mr. Petar Mladenov pointed out that the report was drawn up on the basis of the summary information from all institutions whose activities relate to young people in the country. For the needs of the report, a national representative survey on the topic "Establishment of the impact of youth policies on young people in the country" has also been carried out. The structure is also in line with the main priorities and strategic objectives of policies for young people laid down in the National Youth Strategy (2010 - 2020).). The information from the survey showed that the number of young people in the country aged 15 to 29 as of 31 December 2016 was 1,125 125 people, or 15.8%, of which 849 989 lived in the cities and 275 136 people in the villages. The target group in the period until 2020 will decrease, particularly sharply affecting the age groups 15 - 19 years and the age group 20 - 24 years. With regard to education, 63% of people living in villages and 59% of people living in small towns do not think that they can get a good education in their locality. In the capital, 79% believe that they can get a good education and only 11% that they can't. A positive trend is in terms of reducing youth unemployment, which is in line with the active process of implementing measures and policies by the institutions. As a negative, 54% do not work in their specialty, but only 30% have been realized in relation to their education. The acquisition of higher education is largely a guarantee of employment. Only 4% of all graduates at the time of the study were unemployed. In 2016 36 youth information consulting centres were funded in the territory of 28 major cities and 39 youth voluntary initiatives. Young people's attitudes towards civil processes in Bulgaria are more optimistic than pessimistic. Among those entitled to vote, nearly 50% vote always or often. In conclusion, Mr. Mladenov stressed that the implementation of the priorities and objectives of the state policy for young people in the country is related to the achievement of certain results in specific sectoral policies as well as to better interaction and synchronization between the different executive units in terms of measures and activities aimed at improving the life of the target group. In the subsequent discussion, the people representative Irena Anastasova asked a question: what are the most severe problems related to the young people, who should be looking for a solution? Mr. Mladenov pointed to the civic activity of the young people, the group of the non-learners and the less faith of the young people in the institutions as the main problems of today's generation. Prof. Stanilov expressed his opinion that business is important not only to talk about the problems, but also to give high salaries to young people so they do not leave but to stay in the country. People's representative Milena Damyanova stressed that young people have different understandings and different requirements, these are new generations. With bans and restrictions we will not keep them in Bulgaria. It is important that the business enters the system of education and motivates them, including with payment, to be convinced that the education they have received will bring them incomes, will bring them a good standard of living and personal happiness here in Bulgaria. National Representative Galya Zaharieva pointed out that Bulgaria has some of the most capable and knowledgeable young people. We, as a society, their parents, must make sure that they are motivated enough to come back here and apply their knowledge, but that we are ready to give them the chance to do so. Because very often in different spheres, including in our field, we do not give young and prepared people a chance to work, only led, unfortunately, by the fear that they are better than us. Following a 14-for-stakes vote, no anti-stakes vote, the Committee on Education and Science proposed to the National Assembly that the Annual Youth Report 2016 be adopted, No 802-19, submitted by the Council of Ministers on 20 April 2018. I will now introduce you to the second Youth Report for 2017, No 802-00-55, submitted by the Council of Ministers on 14 December 2018. At its regular meeting held on 23 January 2019, the Education and Science Commission examined the Annual Report on Youth for 2017, No 802-00-55, submitted by the Council of Ministers on 14 December 2019. The meeting was attended by the Ministry of Youth and Sports: Mrs. Vanya Koleva Deputy Minister, Mr. Petar Mladenov, Head of the Department of Education and Science, Mrs. Gergana Roshmanova, Senior Expert Directorate of Policies and Ms. Ralitsa Mutafchieva Secretary; from the Ministry of Education and Science: Ms. Tanya Mihailova Deputy Minister, Mrs. Evgenia Kostadinova, Director of the Directorate of Pre-school and School Education and Ms. Yordanka Petrova. On behalf of the importer, the report was presented by Mrs. Vanya Koleva, who pointed out that it is the result of summary information on the measures implemented by the competent institutions responsible for the development and implementation of youth policies. The purpose of the report is to show the specific problems for this target group, socio-economic realities, the lifestyle of young people, as well as their attitudes and values. More than 70% of young people feel that their means of life are sufficient. Young people who are in a difficult social situation are mainly ethnic minorities. In 2017, the number and relative share of school dropouts were reduced compared to the total number of students by 2,9% in 2016. (or 21,170 people) to 2,7% (or 20,092 people) which has interrupted the trend of steady increase in this indicator over the past four years. Decision No 373 of the Council of Ministers of 5 July 2017 established a mechanism for the joint work of institutions covering and holding in the educational system of children and students in compulsory pre-school and school age. The graduates who continue to study in Bulgaria are 51% and 14% are going to study abroad. Youth unemployment in 2017 fell by almost 16%. More than 50% of young workers declare that they have found their work easier than their expectations for this process. In Bulgaria, young people with primary and secondary education are more likely to go abroad. The majority of people with higher education have an attitude to stay in Bulgaria. There is a tendency to increase the number of returning young people in Bulgaria after completing their education abroad. The project of the National Program is prepared together for each child for 2018 worth 450 000 BGN in order to support the joint work of the institutions on the implementation of the Entrepreneurship and Detainment Mechanism in the educational system of children and students and to engage the parents in this process. The policy of the Ministry of Youth and Sports is aimed at encouraging students for systematic activities with sport, creating habits for healthy motor activity and opportunities for sports performance. In implementation of this policy, the Ministry administers every year the programs "Sports for children at risk" and "Development of sports of students." Ms. Koleva stressed that the strategic vision of the Ministry of Youth and Sports is aimed at building and implementing a unified, consistent and sustainable youth policy in Bulgaria, based on cooperation and joint management with young people at national, regional, regional and municipal level. Members of parliament Milena Damyanova, Anelia Klisarova, Tanya Petrova and Donka Simeonova took part in the discussion. National Representative Donka Simeonova congratulated that the report is based on serious research and analysis. It is important to draw conclusions and identify the measures to be taken. The People's Representative Milena Damyanova addressed a recommendation to the Ministry of Education and Science. In addition to STEM, which has been said a lot in recent months, to start talking more about civil education, because this is also a priority in GERB's management program for many years. The Ministry of Youth and Sports report clearly proves that there is a need for this. Prof. Klisarova expressed his opinion that serious attention should be paid to the professional orientation, to the early career development and to the students from an earlier age so that they know that they have perspective and if they are at school, they will receive knowledge and opportunity for realization in society. National Representative Tanya Petrova raised a question whether Varna has become a strategic center for business and young people after conducting more than 140 initiatives for the time when it is a European youth capital. Deputy Minister Vanya Koleva and Deputy Minister Tanya Mihailova answered the questions raised by the MPs. After a vote with results: 11............... and 9 abstentions.........................................................................................................................................................................................................................................
ParlaMint-BG_2019-02-20.u62	Thank you, Mrs. Stoyanova. We are to get acquainted with the Commission's reports on labour, social and demographic policy on the draft decision adopting the 2016 Annual Report. In 2017, we will be introduced by the President of the Commission Dr. Hasan Ademov.
ParlaMint-BG_2019-02-20.u63	Thank you, Mr. Chairman. Dear Minister, ladies and gentlemen of the House! ♪ I can't believe on a draft Decision adopting the Annual Youth Report 2016, No 802-00-19, submitted by the Council of Ministers on 20 April 2018. The Committee on Labour, Social and Demographic Policy at its regular meeting, held on 9 May 2018, discussed and discussed a draft decision adopting the 2016 Annual Youth Report with the importer of the Council of Ministers. The meeting was attended by Mrs. Vanya Koleva, Deputy Minister of Youth and Sports, who presented the Annual Youth Report for 2016. She pointed out that the report was drawn up on the basis of aggregated information from all institutions whose activities relate to young people in the country. For the needs of the report, a national representative survey on the topic "Establishment of the impact of youth policies on young people in the country" has also been carried out. The structure is also in line with the main priorities and strategic objectives of policies for young people laid down in the 2010 National Youth Strategy. The information in the Annual Youth Report is in line with the main priorities of the policy for young people in the country, promoting economic activity and career development of young people, improving access to information and quality services, promoting healthy lifestyles, preventing the social exclusion of young people in disadvantaged situations, developing youth volunteering, increasing civic activity, developing young people in small towns and rural areas, developing international and intercultural dialogue and increasing the role of young people in crime prevention. According to information in the report, the number of young people in the country aged 15 to 29 as of 31 December 2016 was 1,125 125 people or 15.8%, of which 849 989 live in cities and 275 136 people living in villages. The NSI's target forecast shows that in the period until 2020, the number of young people will decrease, especially with a sharp impact on the age groups 15 years and 20 years. In connection with the implementation of the Priority, the promotion of the economic activity and career development of young people. The positive trend in terms of reducing youth unemployment, which is in line with the active process of implementing measures and policies by the institutions, has been observed. The unemployment rate for young people from 15 to 29 years of age is 12.2%, which is 2.2% lower compared to 2015. What is reported as a negative is that 54% do not work in their specialty and only 30% have been realized in relation to their education. There is a need to improve coordination between institutions to increase the effectiveness of early career guidance measures, as well as investment in appropriate forms of training to acquire professional skills and key competences and develop entrepreneurial spirit. During the reporting period, the number and capacity of the social services provided to disadvantaged young people have increased, as well as the amount of the financial resources allocated for that purpose. As of the end of December 2016, the total number of social services in the community, including from a resident type, is 1,095 with a total capacity of 22 771 seats. The total amount of funds for 2016 to finance social services provided in the community as delegated by the state activity is BGN 123 670 022, i.e. 35 427 574. more than 2015 Nearly half of all young people surveyed do not seek information about social services, social and professional integration, specialized consultations, opportunities for youth participation, international initiatives or volunteering. Only sporting events are more sought after. It can be noted that regarding opportunities for participation in international initiatives, meetings and other events, in the largest proportion of young people appreciate that they find it rather difficult to find information. In conclusion, Mrs. Koleva said that the implementation of the priorities and objectives of the state policy for young people in the country is related to the achievement of certain results in the specific sectoral policies as well as to better interaction and synchronization between the different executive units in terms of measures and activities aimed at improving the life of the target group. This cooperation needs to be developed and refined not only at national but also at regional and local level by applying more flexible models of coordination and partnership between all stakeholders. In this regard, it is necessary to take action to redefine the goals and measures in the youth sphere in order to strengthen the positive effect of the policies applied to young people in Bulgaria. After the end of the discussion and voting with results: 12 votes for........................................................................................................................................................................................................................................................ Asks the National Assembly to adopt a draft decision adopting the Annual Youth Report 2016, No 802 00 19, submitted by the Council of Ministers on 20 April 2018 ♪ I can't believe on a draft Decision adopting the 2017 Annual Youth Report, No 802-00-55, submitted by the Council of Ministers on 14 December 2018. The Labour, Social and Demographic Policy Committee at its regular meeting on 23 January 2019 discussed and discussed a draft decision adopting the Annual Youth Report for 2017, No 802-00-55, submitted by the Council of Ministers on 14 December 2018. The meeting was attended by Mrs. Vanya Koleva, Deputy Minister of Youth and Sports, who presented the Annual Youth Report for 2017. She pointed out that the information in the Annual Youth Report is in line with the main priorities of the country's youth policy, laid down in the National Youth Strategy (2010 - 2020) "Promoting economic activity and career development of young people, improving access to information and quality services, promoting a healthy lifestyle, preventing the social exclusion of disadvantaged young people, developing youth volunteering, increasing civic activity, developing young people in small towns and rural areas, developing international and intercultural dialogue and increasing the role of young people in crime prevention. According to information in the report, the number of young people in the country aged 15 to 29 as of 31 December 2017 was 1,083 467, of which 817 335 lived in cities and 266 132 in villages. The NSI's target forecast shows that in the period until 2020, the number of young people will decrease, especially with a sharp impact on the age groups 15 years and 20 years. The report provides statistics from the Employment Agency, which shows that unemployed people up to 29 are shrinking by almost 16%, taking into account that about 42% of working young people do not intend to change their jobs while around 13% are in the process of looking for new jobs at the time of the study. The unemployment rate for young people aged 15-29 is 9.9%, which is 2.3% lower compared to 2016. Deputy Minister Koleva informed the members of the Commission of the results achieved with regard to initiatives, trainings and services provided by the Youth Information and Consultancy Centers, where 214 133 young people participated. Of these 58 912 were young disadvantaged people, 21 805 were unemployed, 41 955 were employed, 105 202 were students, and 41 221 were students. As of the end of December 2017, the total number of social services in the community for children and adults, including from a resident type, is 1 120, with a total capacity of 23 167 seats. As of December 2017, 817 social services operate on the territory of the country, including from a resident type delegated by the state, suitable for children and young people aged 18 to 25. The report reports that Bulgarian youths do not have serious social deficits, with 70% of young people thinking that their funds are sufficient for full nutrition, buying clothing, buying shoes, paying electricity and buying medicines. Young people who are in a difficult social situation are mostly part of ethnic minorities, which is the main factor for their low social status. One of the key issues among young people is related to their moods towards emigration, 33% point out that at the first opportunity they would go to live abroad and 18% in another locality in the country. This is especially valid for young people living in villages and small settlements. There is a tendency to increase the number of returning young people in Bulgaria after completing their education abroad. The share of young people who are not interested in politics is still high. There is a need to improve coordination between institutions to increase the effectiveness of early career guidance measures, as well as investment in appropriate forms of training to acquire professional skills and key competences and develop entrepreneurial spirit. In conclusion, Mrs. Koleva said that young people in Bulgaria, such as their peers in Europe, face countless challenges related to their education, realization, quality of life and so on. The Young People's Group is one of the most dynamic because of the rapid transition from one role to another This implies a clear analysis and a definition of clearly achievable targets in relation to each of the designated groups that come into the general population as young. In the subsequent discussion the people representative Vesela Lecheva expressed reservations about the objectivity of the data presented in the Report. National Representative Galya Zhelyazkova expressed his satisfaction with the reported results in the report, adding that they should continue their efforts in this direction. After the discussion and vote with results: 10 votes for the vote, 5 votes against the vote and 3 votes abstention, The Committee on Labour, Social and Demographic Policy adopted the following opinion: Asks the National Assembly to adopt a draft decision adopting the 2017 Annual Youth Report, No 802 00 55, submitted by the Council of Ministers on 14 December 2018
ParlaMint-BG_2019-02-20.u64	Thank you, Dr. Ademov. Opinions on the two reports have also been received for 2016 and 2017 by the Committee on Health. They will be introduced to us by Commissioner Alexander Ivanov.
ParlaMint-BG_2019-02-20.u65	Mr. Chairman, Mr. Minister, honourable colleagues! "COMMODITY" on the 2016 Annual Youth Report and the Draft Decision No 802-00-19 submitted by the Council of Ministers on 20 April 2018. At its regular meeting on 10 May 2018, the Committee on Health examined and discussed the Annual Report on Youth for 2016 and the Draft Decision No 802-00-19 submitted by the Council of Ministers on 20 April 2018. The meeting was attended by Mr. Kiril Ananiev, Minister of Health, Dr. Boyko Penkov and Mrs. Zheny Nacheva, Deputy Minister of Health, Mrs. Vanya Koleva, Deputy Minister of Youth and Sports, representatives of word organizations in the field of health, patient organizations, etc. The 2016 Annual Youth Report was presented by Mrs. Vanya Koleva. It informs the members of the Commission that the report drawn up is a combination of summary information from the competent institutions responsible for youth policies, as well as from a study carried out by a research centre on behalf of the Ministry of Youth and Sport on the topic of Strengthening the impact of youth policies on young people in the country. The study is based on issues that follow the main topics and priorities in the National Strategy for Youth 2010 - 2020. The annual report on youth shall take into account the implementation of the priorities and objectives of the National Youth Strategy 2010 - 2020 in accordance with art. 5, para. 3 of the Youth Act. It is important to note that, according to § 1 of the Additional Provisions of the Youth Act, young people are persons aged 15 to 29 years including. The report shows that the share of young people in the European Union has been steadily decreasing in recent years. In Bulgaria, for 2016 young people aged between 15 and 29 years are 1 million 125 thousand and 125. Of these, 849 thousand and 989 live in cities. The rest of them live in the villages. The National Youth Strategy 2010. 2020 sets out nine strategic objectives, according to which the main part of the 2016 Youth Report is structured. In the implementation of a strategic goal of promoting a healthy lifestyle, the report shows that various campaigns among young people have been conducted in this direction. In 2016 the Ministry of Health with the partnership of the Ministry of Education and Science, the Ministry of Youth and Sports, and the representation of the European Commission in Bulgaria finalized the National Student Competition In 2016, the Ministry of Health conducted a national anti-smoking campaign, offices for free consulting and quit smoking were promoted. During March 2016 the Ministry of Health and the National Centre for Public Health and Analysis together with teams of 28 regional health inspections in the country organize and conduct a Third National Study to assess the prevalence of obesity among children in the first grade, within the framework of the World Health Organization's initiative to monitor obesity in children. In 2016 a total of 948 information campaigns were conducted on topics related to HIV and sexually transmitted diseases, of which three are national. The report shows that 6% of young people in the country suffer from chronic diseases. 90% of the representatives of the target group of young people appreciate their health as excellent and very good. In terms of physical activity practitioners sport young people are 32% according to the report data, 66% do not sport. Nearly half (46%) of Bulgarian young people smoke cigarettes, with their share rising as they grow older. Twelve percent of young people, according to the report, used light drugs, 1% declared heavy drugs. It should be borne in mind that the results obtained may be lower than the actual use of drugs, as this type of issue may have an effect of concern in some young people. In conclusion, the data from the report under consideration regarding harmful habits shows that Bulgarian youths are aware of the negatives associated with drug use, alcohol, cigarettes and sexual contact without protection. On the basis of the discussion and the vote carried out on the following results: 13 votes for the 2016 Annual Youth Report, No 802-19, submitted by the Council of Ministers on 20 April 2018...........................................................................................................................................................................................................................................
ParlaMint-BG_2019-02-20.u66	Please continue with the 2017 Report, Mr. Ivanov.
