ParlaMint-NO_2020-10-09.ana.ud305e37	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e689	In the case of package travel companies, the government was defeated in the revised national budget. Together with the Center Party and the Advance Party, we received a majority to provide support and not just loans to the tour operators. Why? Well, because they had been sitting and reimbursing trips that people had planned in one since we shut down on March 12th, and lacked a lot of the reimbursement that they had spent on airlines and other hotels. I see that the government is trying to rematch. Where we said you could get up to 80 pst. of the reimbursements covered by this aid scheme, the Government now says: No 40 pst. I'll hold it. 40 pst. does not keep I need to say something about Svalbard. When air traffic shut down and we got the anti-infection measures we got, it became incredibly difficult to operate travel life activities on Svalbard, and it's some of the only Svalbard that lives off after shutting down coal operations on Svalbard. We are today invited to adopt 25 million. kr to Svalbard. I am very happy to do so, but I think it is a pity that we do not know anything about how the access to this money will be for the travel companies at Svalbard. It goes into the range of unpredictable industrial policies we face from the government. I believe that there is reason to ask the government. When the Minister of Finance presented the state budget, he said that the market should decide who will survive. There is reason to ask for clarification as to whether the government believes that when you shut down the markets of certain industries because you want to protect us from the pandemic, only those who have enough equity to live until it opens up, who are going to be with us further. Or, as a community, are we going to set up, so that we can bring these businesses with us when we can travel again – when the Europeans come to us? I think this merges into the sequence of what the government does in many fields: say one thing, do something else. It is known that the crisis is not over at the turn of the year, but the support for the unemployed is still cut by the turn of the year. Can you just get into the open with your arguments and say, no, we've been thinking that those who don't have enough equity will go bankrupt, and then they'll be rebuilding the day the market for travel is back.
ParlaMint-NO_2020-10-09.ana.ud305e700	I then continued to vote on the motion for a resolution to the Labour Party. 51: A fair burden-sharing between employees and employers in the placement scheme is important. Therefore, the normal situation should be 15 days. We are still voting against this because we believe that this should first be discussed with the parties, in line with the Norwegian model and in contrast to the right government did at the beginning of the crisis, and the Red proposes here today. Proposal No. 53 we will vote against. We don't want to extend it just out of the year, but we've proposed March 31. We also want to pass on the compensation rate of the day. For proposal No 40: The Labour Party believes that it is decisive that all sectors, including aviation, have taken action to reduce climate change emissions. Increased use of advanced biofuels is important in this context, but we cannot support the proposal to set this as an absolute requirement for both old and new crisis packages. For proposal No 61: This is $134 million. 2020, and I don't see any means to do this in the settings. That is why we are voting against. For proposal No 62: We have been working on a state order in this matter. That is why we are voting against. The Labour Party will also vote against proposal No. 2, from the government part, because we want 80 pst. compensation performance, not 60 pst., which is their suggestions.
ParlaMint-NO_2020-10-09.ana.ud305e715	I noticed that the representative Agdestein was up in the pulpit instead and said it was important to carry on with accurate measures, and mentioned the concrete tourism tax as an example. Then it's a little hard to see why travel is important for travel life with a VAT rate of 6 pst. in December, while in January it is to be doubled to 12 pst. Is there anyone who sees that this crisis for travel life, and for the others who are subject to the low VAT rate – transport industry, culture – is suddenly going to be over during Christmas, that one has normalized the situation in January? We must ensure both predictability and long-term sustainability for those planning within those industries, in order to provide good framework conditions and ensure as many jobs as possible. It's not just about travel. For example, it is the taxi driver who must be organised as a self-employed person, who, from 1 January, loses the income insurance scheme, who from the same date receives a double VAT rate and who, after all the sun brands, also loses these out of the other compensation schemes. It's unwise for those who are being hit. It is therefore necessary to bring in measures that are effective to all. With regard to compensation schemes, I do not doubt that one is sitting and working with it in the department, but what has been presented to the Stortinget is an empty shell. There's nothing concrete about what kind of support you can wait, and in what kind of situations you can do it. I would definitely recommend the government to listen carefully to those who make recordings, from both the travel industry, the event industry and others, who have given completely concrete, targeted input into how a scheme can be arranged. One must also ensure that it is not limited to a sum of 1 billion. kr. To the representative Stokkebø, who spoke about food festivals and closed events: Yes, it is good that there are people who are cared for, but for the event industry, for artists, for those who run with light and sound, it is equally important whether you have a closed event, or whether it is an open event. The limitations of a layer, cause some to be preserved, others not. It also applies to food festivals. A food festival that has not been cancelled, but which has been tried and done in the best possible way, as an example from Trøndelag, does not come under the aid scheme as it has been set up. So we have to have targeted measures. The proposed new aid scheme is intended to go to municipalities, showing precisely this unforeseeableness to which the municipalities are confronted when one says that the municipalities should have co-financing. No, municipalities must have full cost coverage in all areas. Instead, a system should be in place that goes directly to the companies affected.
ParlaMint-NO_2020-10-09.ana.ud305e726	No more people have asked for the word on the matter. 1 and 2.
ParlaMint-NO_2020-10-09.ana.ud305e743	No one has asked for the floor.
ParlaMint-NO_2020-10-09.ana.ud305e749	There will be a call to voting.
ParlaMint-NO_2020-10-09.ana.ud305e759	Then the Storting is ready to go to voting. Before the Storting starts today's voting, the President will first bring up a proposal that was excluded from voting on Tuesday, October 6, 2020 by an incubation.
ParlaMint-NO_2020-10-09.ana.ud305e773	That applies to proposal No. 30, from the Workers' Party. The proposal reads as follows: ‘The government is asking the government to make publicly available the professional basis for new infection protection measures before being advertised.’ The proposal is at this point. The Progress Party, the Centre Party, the Socialist Left Party, the Green Party and the Red Party have already supported the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e790	The size of the store then goes to voting on the matter on today's map.
ParlaMint-NO_2020-10-09.ana.ud305e802	Two proposals have been put forward during the debate. It's proposal No 1, by Kari Elisabeth Kaski on behalf of the Socialist Left Party, the Green and Red Environment Party publisher No 2, from Mudasar Kapur on behalf of the Right, the Advance Party, the Left and the Christian People's Party Proposal No. 1, from the Socialist Left Party, the Green and Red Environmental Party. The proposal reads as follows: ‘The Government asks the Government to come back to the Storting in December 2020 with a case on the assessment of the continuation of grants by cancellation of leave in 2021.’»
ParlaMint-NO_2020-10-09.ana.ud305e927	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_2020-10-09.ana.ud305e937	The decision will be taken a second time at a later meeting in Stortinget. Proposal No. 2, from the Right, the Advance Party, the Left and Christian People's Party. The proposal reads as follows: ‘Proposals to the Act amending the Temporary Act on Compensation for Self-Employed Workers and Volunteers who have lost their income as a result of an outbreak of covid-19 I In temporary law 12 June 2020 No. 62 on compensation benefits for self-employed and freelancers who have lost their income as a result of an outbreak of covid-19 are amended as follows: The first sentence of the fifth paragraph of Section 3 is replaced by the following: The compensation is provided by 60 per cent of the basis limited up to 6 G. Section 4 is replaced by the following: Income as self-employed persons and freelancers during the social welfare period is deducted from the benefit by 60 per cent. Paragraph 13, second paragraph, is replaced by the following: The law shall be repealed on 1 January 2021. II The Act shall enter into force on 1 November 2020.’
ParlaMint-NO_2020-10-09.ana.ud305e975	Red has already received subsidized support for the proposal. The Labour Party, the Centre Party and the Socialist Left Party have warned that they will vote against it.
ParlaMint-NO_2020-10-09.ana.ud305e989	The title of the law and the law will be the subject of a vote. The Labour Party, the Centre Party and the Socialist Left Party have warned that they will vote against it.
ParlaMint-NO_2020-10-09.ana.ud305e1010	A total of 63 proposals have been put forward during the debate. It's proposed no. 1-9, by Svein Roald Hansen on behalf of the Labour Party proposed no. 10–21 and 61–66, from Sigbjørn Gælsvik on behalf of the Centre Party proposed no. 22–36 and 40–42, from Kari Elisabeth Kaski on behalf of the Socialist Left Party proposed no. 43 and 44, from Une Bastholm on behalf of the Greens/Greens/EFA Orphaned No 45–60, from the Bears Moxnes on behalf of Red
ParlaMint-NO_2020-10-09.ana.ud305e1031	Proposal No. 45, 49 and 51, from Red. Proposal No. 45 sounds: ‘The State budget for 2020 shall be amended as follows:
ParlaMint-NO_2020-10-09.ana.ud305e3681	Proposal No. 49 sounds: «The government is asked to change the terms of the daily allowance, so that the daily allowance will not be paid until the amount of work exceeds 80 pst. of normal working hours.» Proposal No. 51 sounds: «The government requests the increase in the remuneration of companies by leave to 15 days, with effect from 1 July 2021.»
ParlaMint-NO_2020-10-09.ana.ud305e3701	Proposal No. 47, 50, 53, 57 and 58, from Red. Proposal No. 47 sounds: ‘The Government is asked to ensure that all beneficiaries receive a compensation rate of 80 pst. of revenue up to 3 G, with effect from 1 October 2020. ‘... Proposal No. 50 sounds: ‘The government requests the continuation of the full pay compensation scheme for 20 days out of the year, so that from 1 September 2020 the government will cover full pay for 10 days in addition to the company’s pay obligation of 10 days.’ Proposal No. 53 sounds: ‘The government asks the Government to extend the temporary compensation benefit for apprentices also for new cases out of the year, as well as from 1 November 2020, to provide full compensation for all out-of-work apprentices for income up to 3 G.’.» Proposal No. 57 sounds: ‘The government requests the establishment of marine hull production facilities above 75 metres, in relation to the existing yard industry, in order to take back a greater part of the maritime value creation that takes place in Norway.’ Proposal No. 58 sounds: ‘The Government is asked to ensure that exceptional maintenance is carried out on all ships owned by the government, provided that the work is carried out by Norwegian shipyards.’ The Socialist Left has already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e3742	Proposal No. 54 and 56, from Red. Proposal No. 54 sounds: ‘The government is asked to continue the temporary extension of the benefit periods for the beneficiaries of redundancy benefits during the year.’ Proposal No. 56 sounds: ‘The Government is asking the Government to grant funds to the Institute for the Exploration of the Sea for the construction of the ‘South Coastal Research vessel’, subject to the assignment to the Norwegian shipyard.’ The centre party, the Socialist Left Party and the Greens have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e3766	Should we vote in favour or against?
ParlaMint-NO_2020-10-09.ana.ud305e3771	Come with me! Proposal No. 60, from Red. The proposal reads as follows: ‘The Government asks the Government to establish a support scheme for municipal investment in electric ferries, where construction contracts are awarded to shipyards and production companies in Norway.’ The Labour Party, the Centre Party and the Socialist Left have already supported the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e3790	Proposal No. 46, 48, 52, 55 and 59, from Red. Proposal No. 46 sounds: «The government is asked to continue the reduced minimum income requirement in order to qualify for a daily allowance out of the year.» Proposal No. 48 sounds: ‘The government asks the government to extend the benefit period out of the year for beneficiaries who had 19 or less weeks left of the daily allowance period at the end of June 2020.’;» Proposal No. 52 sounds: ‘The government asks the government to extend the temporary compensation benefit for self-employed and freelancers by 80 pst. the degree of compensation.’;» Proposal No. 55 sounds: ‘The Government requests the establishment of a system of condemnation for outsourced offshore vessels, provided that recycling is carried out in Norwegian shipyards.’ Proposal No. 59 sounds: ‘The government asks the government to increase Enova’s contribution to climate action in industry.’ The Labour Party, the Centre Party, the Socialist Left Party and the Environment Party The Green Party have already supported the proposals – the Centre Party with subsidiary support for proposals No. 46 and 52.
ParlaMint-NO_2020-10-09.ana.ud305e3830	Proposal No. 43, from the Environment Party of the Greens. The proposal reads as follows: ‘The State budget for 2020 shall be amended as follows:
ParlaMint-NO_2020-10-09.ana.ud305e6419	Proposal No. 44, from the Green Environment Party. The proposal reads as follows: ‘The government is asked to set up a student day-care scheme according to the model of the scheme for persons who have recently graduated from first-time employment.’ Red is in favour of the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e6436	Proposal No. 22, from the Socialist Left Party. The proposal reads as follows: ‘The State budget for 2020 shall be amended as follows:
ParlaMint-NO_2020-10-09.ana.ud305e9271	Proposal No. 23, 26, 31 and 40, from the Socialist Left Party. Proposal No. 23 sounds: ‘The government is asked to return to Stortinget with a scheme to ensure that students with loss of income between 16 June and 31 December 2020 benefit from the same scheme of extra loans and conversion into scholarships that applied to students in spring 2020.’» Proposal No. 26 sounds: ‘The government is asking the Government to ensure quickly that new, clear projects, which fall under the decentralised system for cultural construction, are supported under a new framework for the 2020 scheme.’» Proposal No. 31 sounds: ‘The Government is asked to continue the temporary rules for the amount of the lump sum in agriculture, etc. and the temporary rules applicable to third-country professionals.’» Proposal No. 40 sounds: ‘The Government is asking the Government, in relation to all major, both current and future, support schemes and aviation crisis packages, to impose conditions on the increase of the inclusion requirement from 0,5 pst. For 1 pst. Advanced biofuels.’» The Greens and Reds have already given their support to the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e9305	Proposal No. 30 and 34, from the Socialist Left Party. Proposal No. 30 sounds: ‘The Government requests that the reduced requirement for lost working time be extended to 40 pst. also for new cases.’;» Proposal No. 34 sounds: «The Government is asked to continue the measures provided for in the temporary regulation on exemptions from the Swedish Social Security Act and the Working Environment Act in the case of covid-19 which deals with the beneficiaries of redundancy benefits.» The centre party, the environmental party Dei Green and Red have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e9329	Proposal No. 24, 25, 27-29, 32, 33, 35, 36, 41 and 42, from the Socialist Left Party. Proposal No. 24 sounds: ‘The Government asks the Government to ensure that the compensation scheme for cultural life is continued with the same device as it is today’.» Proposal No. 25 sounds: ‘The government asks the Government to come back to Stortinget with its own proposal for measures of competence that may be available to cultural actors.’ Proposal No. 27 sounds: ‘The government is asking for a guarantee that the interim daily allowance rates will be extended as long as the risk of cancellations and lay-offs due to covid-19 and infection protection measures persist.’ Proposal No. 28 sounds: ‘The government requests the extension of the suspension of a three-day waiting period before the daily allowance is paid, including after 1 January 2021.’; Proposal No. 29 sounds: ‘The government asks the government to extend the temporary reduction in minimum income requirements to 0,75 G also for new cases.’ Proposal No. 32 sounds: ‘The government asks the Government to extend the temporary compensation for self-employed and freelancers at the same rate as before.’ Proposal No. 33 sounds: ‘The government requests the extension of the temporary income insurance scheme for apprentices also in new cases.’; Proposal No. 35 sounds: ‘The government is asking the government to ensure that North Norway improves Hurtigruten’s offer, increased to at least twice the number of take-offs during the Coronapandemic and returned to Stortinget in an appropriate manner during the autumn of 2020.’» Proposal No. 36 sounds: ‘The government is asked to ensure that the taxi industry is guaranteed a compensation scheme with no minimum amounts and no excess claims, either as part of the new travel scheme or a separate industry-specific scheme.’ Proposal No. 41 sounds: ‘The government asks that companies which are resident for tax purposes in countries listed on the EU blacklist of tax havens are directly or indirectly controlled by shareholders in the blacklist, directly or indirectly control subsidiaries or own businesses permanently established in the blacklist, or share ownership of establishments in the blacklist with enterprises in the blacklist, are cut off from any state corona-related aid such as compensation and guarantee schemes.’ Proposal No. 42 sounds: ‘The government asks the government to require all companies receiving corona-related State aid to show full transparency about all real owners and corporate structure.’ The Labour Party, the Centre Party, the Green Party and the Red Party have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e9401	Proposal No. Ten, from the Center Party. The proposal reads as follows: ‘The State budget for 2020 shall be amended as follows:
ParlaMint-NO_2020-10-09.ana.ud305e12170	Proposal No. 20, from the Center Party. The proposal reads as follows: ‘The government is asking for a retroactive change in the model for companies with large seasonal variations in turnover, so that the requirement for the activity to be carried out in full or in part outdoors is deleted, and the proportion of turnover in the peak season to be covered by the scheme is reduced to 70 pst.’ The Socialist Left and Red have already supported the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e12187	Proposal No. 19 from the Center Party. The proposal reads as follows: ‘The Government requests the extension of the system to maintain logging peak activity until 1 July 2021.’ The Labour Party has already given its support to the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e12204	Proposal No. 14 from the Center Party. The proposal reads as follows: ‘The government asks the Government to amend the support scheme for public open events so that support can be sought regardless of whether the event was planned to be open to the public or not.’ The Labour Party, the Socialist Left and the Greens have already supported the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e12222	Proposal No. 11-13, 15-18 and 21, from the Center Party. Proposal No. 11 sounds: ‘The government asks the Government to abolish the requirement that events have been cancelled in order to receive support under the cultural event compensation scheme.’ Proposal No. 12 sounds: ‘The government asks the Government to abolish the requirement that assignments and events must have been planned before 12 March 2020 in order to receive support under the cultural events compensation scheme.’;» Proposal No. 13 sounds: «The government asks the government to reduce the lower limit of the compensation scheme for culture, volunteering and sport from NOK 25 000 to NOK 10000.» Proposal No. 15 sounds: ‘The government is asked to adjust the model to cover regulatory maintenance costs to cover all regulatory maintenance, including maintenance services purchased/rented, and to demonstrate the necessary compensation of employees for activities carrying out the maintenance under its own control.’ Proposal No. 16 sounds: ‘The government requests the extension of the period for the calculation of statutory maintenance costs to the period from 12 March to 31 October 2020.’;» Proposal No. 17 sounds: ‘The government requests the extension of the period during which the maintenance of seasonal holdings may be carried out until 31 March 2021.’ Proposal No. 18 sounds: ‘The government is asked to follow up on the grant of reimbursement obligations in case of cancellation and cancellation of package travel from 14 March to 14 March. June 2020, as adopted in the context of the revised national budget 2020, may be up to 80 pst. of the reimbursements and the start of the next round of distribution as soon as possible.» Proposal No. 21 sounds: ‘The government requests the adjustment of the guarantee scheme for loans to small and medium-sized enterprises by increasing the maximum maturity of the loans from 3 to 6 years’.» The Labour Party, the Socialist Left Party, the Green Party and the Red Party have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e12277	Proposal No. 61 and 62, from the Center Party. Proposal No. 61 sounds: ‘The Government is asked to ensure that all beneficiaries receive a compensation rate of 80 pst. of revenue up to 3G, with effect from 1 October 2020 and until further notice.’;» Proposal No. 62 sounds: ‘The Government requests the conversion of the proposed grant scheme into municipalities that will compensate enterprises affected by extensive local infection protection measures into an application-based grant scheme for activities affected by such measures, where enterprises may receive support based on the same model as is applied in the new travel industry compensation scheme.’; The Socialist Left Party, the Green Party and the Red Party have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e12301	Proposal No. 66, from the Center Party. The proposal reads as follows: ‘The government is asking for a return by the end of 2020 with proposals for a stabilisation package for aviation, with financial framework conditions in place for airlines based in Norway, including measures ensuring the seriousness and orderly remuneration and working conditions of aviation.’ The Labour Party, the Socialist Left Party and the Red Party have every support for the proposal.
ParlaMint-NO_2020-10-09.ana.ud305e12318	Proposal No. 63-65, from the Center Party. Proposal No. 63 sounds: ‘The Government is asking the Government, in relation to all major, both current and future support schemes and aviation crisis packages, to make sure that there are permanent posts with direct employment in the carrier.’ 64 sounds: ‘The Government is asking the Government for all major, both current and future support schemes and aviation crisis packages to impose conditions on compliance with home-base rules that clearly define employer responsibility, social responsibility and Norwegian labour law legislation.’ 65 sounds: ‘The Government is asking the Government, in relation to all major, both current and future aid schemes and aviation crisis packages, to impose conditions on it not to accept flags of convenience or subsidising foreign subsidiaries.’ The Labour Party, the Socialist Left Party, the Environmental Party of the Greens and the Reds have announced support for the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e12339	Proposal No. 1, from the Workers' Party. The proposal reads as follows: ‘The State budget for 2020 shall be amended as follows:
ParlaMint-NO_2020-10-09.ana.ud305e15291	Proposal No. 2-9 from the Workers' Party. Proposal No. 2 sounds: ‘The government requests the provision of income assurance schemes for students who can refer to income losses in the autumn of 2020, within the framework of the budget of the Storting.’.» Proposal No. 3 sounds: ‘The government is asked to ensure that beneficiaries of grants from the compensation scheme for organisers and subcontractors are not able to pay bonuses to senior executives in the remainder of 2020 and in 2021.’» Proposal No. 4 sounds: ‘The Government is asked to ensure that beneficiaries of grants from the compensation scheme for organisers and subcontractors undertake not to increase the remuneration of directors or directors in the remainder of 2020 and in 2021.’;» Proposal No. 5 sounds: ‘The Government is asked to ensure that beneficiaries of grants from the compensation scheme for organisers and subcontractors cannot have parent companies in third-country jurisdictions on the EU blacklist of non-cooperating jurisdictions.’ Proposal No. 6 sounds: ‘The government is asked to ensure that beneficiaries of grants from the compensation scheme for organisers and subcontractors cannot pay dividends or make share buy-backs in the remainder of 2020 and in 2021.’» Proposal No. 7 sounds: ‘The government asks the government to compensate the municipal sector for the loss of tax revenue in 2020 compared to the estimated revenue in the State budget for 2020.’;» Proposal No. 8 sounds: «The government is asking the government to compensate each municipality for direct additional expenditure incurred as a result of the covid-19 outbreak.» Proposal No. 9 sounds: ‘The government is asked to ensure predictability throughout the winter season 2020-2021 of the travel compensation scheme. Provision should be made for monthly payments of aid.’;» The centre party, the Socialist Left Party, the Green and Red Environmental Party have already supported the proposals.
ParlaMint-NO_2020-10-09.ana.ud305e18081	It was also recommended that:
ParlaMint-NO_2020-10-09.ana.ud305e18138	The Greens have announced that they will vote against it.
ParlaMint-NO_2020-10-09.ana.ud305e18151	It was also recommended that:
ParlaMint-NO_2020-10-09.ana.ud305e18171	The Greens and Reds have announced that they will vote against it.
ParlaMint-NO_2020-10-09.ana.ud305e18183	It was also recommended that:
ParlaMint-NO_2020-10-09.ana.ud305e18193	The Labour Party and the Center Party are in favour of the proposal. The Greens and Reds have announced that they will vote against it.
ParlaMint-NO_2020-10-09.ana.ud305e18241	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_2020-10-09.ana.ud305e18251	The decision will be taken a second time at a later meeting in Stortinget.
ParlaMint-NO_2020-10-09.ana.ud305e18290	Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting has been cancelled.
