ParlaMint-NO_2020-06-19.ana.ud168e128	His Fredrik Gruvan will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e1992	Many smaller and local businesses around our country contribute to the value of reinvestable in local communities. The fact that the compensation scheme is so biased, systematically distorts and so centralizes money. Last week I visited Trysil, one of the really big tourist communities in Norway. There are smaller shops that are totally dependent on all the cabin people who have a place in the municipality for holidays and holidays. And one of the shops we visited is dealing in a slightly special type of clothing that many tourists appreciate. Marlene's happiness is called the company that is locally owned. She must now pledge the house in order to be able to afford to drive on and be in danger of going bankrupt. If that company goes away, local ownership in Trysil will also be gone. How can the representative defend this arrangement?
ParlaMint-NO_2020-06-19.ana.ud168e1997	The smallest and – I was saying – the most remote shops are covered by the Mercury programme, which the government has now strengthened in the context of the Korona crisis. The shops that are not located in places “who would not believe anyone could bow”, but which are at least far from other shops, have received an additional grant in connection with the coronary crisis. But unfortunately, it cannot be such that we here at Stortinget can make arrangements that make any store. There were a lot of shops, even a very big mall that I occasionally go to in the Drama called Gullskogen Zenter, which closed. Everything was closed for the first few weeks. So it's opened up again. And now you say, for example. the sporting industry that they have a record turnover, that they are doing better than ever, for Norwegians are going to leave in their own country. It's sold out for tents. Everyone has to lie in a tent and go for a walk. So this gives a very different look, and I can't guarantee that it would be possible to create a system that hits the exact store in Trysil that the representative has visited.
ParlaMint-NO_2020-06-19.ana.ud168e2002	When people with little money get into a crisis – get sick, lose their jobs and depend on Nav – there are often strict demands to get help from the state. When the government was going to make support arrangements for the companies, which it was absolutely necessary to do, and on which SV was involved, there was a completely different idea. Then it was a matter of having a trust-based arrangement. And so the government has repeatedly refused to make basic social demands related to this support, linked to dividends, linked to the use of tax havens and most importantly, which should be a quite obvious requirement – the requirement of zero dismissals as long as you receive state support, so that the support also benefits workers. Today, government parties abuse once again the chance to do this. Even today's business, in the leadership position, has suggested that there should be such a requirement for zero redundancies. Why is the Right so far to the right of Today's Business?
ParlaMint-NO_2020-06-19.ana.ud168e2009	If you're going to begin to characterize where the Norwegian press is on the scale, I think it's easy for many to get to the right of it. I mean, we've set up a race that's trust-based, yeah. The compensation system, on which we have just had a round, is trust-based, but it is control mechanisms. However, if one were to say that not one company in Norway would be able to make a profit, and not one company would be able to cancel someone during a period when the company might be on the brink of the downside, it would have gone beyond the workforce. That's what would happen. The point is that we must have a dynamic business even if we are in a crisis. We want to help those who can be viable, and it's been widely cared for by Stortinget. SV was probably also involved in these schemes, these packages. We've taken care of it. So when Lysbakken wants to implement his socialist policy – in the shelter of the Korona crisis – we say no.
ParlaMint-NO_2020-06-19.ana.ud168e2016	That's the line change.
ParlaMint-NO_2020-06-19.ana.ud168e2021	I am pleased that the Progress Party has ensured a major and important impact in the revised national budget. The proposal put forward by the government in May was too weak. For us, it has been important that economic activity in the country takes on board, that more people come to work, and that new jobs are created. The decline in society has led to long-term health cows. Even before the corona virus, many people were in health queues in Norway, and it will take a very long time to recover the delay that has now developed. More than 50,000 screening studies are reported and 320,000 fewer patients were treated in hospitals in March and April compared to last year. In the revision, we've had an impact of 600 million. to reduce the costs of follow-up in the health sector. There are few things in life that are more important than our health, and many have now put their lives on hold because they haven't had any studies or operations carried out in the last few months. Cancer treatment, X-rays and MRs, as well as accelerating treatment for patients who may develop chronic diseases, shall be given priority and, in particular, the capacity of the private health care shall be put into service. Private actors are essential for us to take back part of the delays in investigations, treatment and operations. It has been difficult to read and hear about lonely elderly people who have been at home for months without visits and without being able to go out, as well as older people in nursing homes who have not seen their loved ones for months. The fact that we are now securing a 400 million package of measures. kr to the age of the country, as much as we give priority to children and young people, is good. This is money to be spent on combating solitude and raising the supply of nursing homes, as well as helping to improve the quality of life for older people living at home. We believe that older people have been involved in building the welfare community, and although they do not always cry out loud, they definitely deserve to be invested in. We'll help keep the wheels going in society. That's why it's important that we've had an average of about 700 million. kr for new road projects and for the maintenance of road sections throughout the country. The changes to the revisions are now starting small and large road projects across the country. This means several assignments to Norwegian entrepreneurs and workers in the important construction industry. With efforts on the way, we ensure both jobs for people and absolutely necessary maintenance and upgrading of our roads. The Norwegian maritime industry is now in a serious situation. The improvement of the maritime package was an important requirement for the Progress Party in the negotiations. We have now ensured that the ceiling on net pay for the offshore equipment is removed in the last three months of the year. We have been able to double the top-level funding scheme for short sea shipping and fishing vessels to 600 million. kr, which corresponds to the construction of a minimum of six new ships. Originally, the government proposed to start the construction of a new research ship. We have now been given an insight into the construction of two new research ships instead of one, and this, of course, contributes to more activity. The Norwegian maritime industry is very important for the country, both historically, strategically and in the form of the value creation and the jobs generated, and the Progress Party is on the side of the seafarers in both good and bad times. Norwegian seafarers are indispensable for Norwegian shipping and the maritime industry as a whole. With the achievements we have now received in the negotiations, we have received a revised national budget that contributes to more economic activity and that more people come to work. With a total of one billion extra for health and care, we have reduced health cows, combated loneliness among the elderly, and we ensure activity in the construction industry with the start-up of the projects I have just talked about. So it might sound like we've done all the perfect arrangements with this debate. At least the Progress Party does not believe that we have done so. There will still be a need to look at adjustments and make changes in the time ahead, because we do not know the course of the next few weeks and months for the Norwegian economy. Therefore, we must be prepared to make new moves in the time ahead. At least the Progress Party is prepared to contribute, but to stand on this platform and say that you have all the solutions at a time that is very uncertain, at least I won't. But I think it's important that we use the opportunities we have to listen to, to talk to the companies and individuals who have shoes on the outside of Norwegian society, and to do what we can as quickly as we can to make everyday life easier, secure jobs, avoid business going over the top, and help families get the economy around.
ParlaMint-NO_2020-06-19.ana.ud168e2044	It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e2049	It was a little surprising that Siv Jensen did not spend any time trying to talk about the police or the justice sector. It may be that the Progress Party does not have so much to boast about in that area. Before the Coronacrise, there was a large manslaughter in the police districts. Fortunately, then, the government came with 400 temporary positions to the police districts. It was very good and absolutely necessary. There are settings that we needed without the coronary epidemic. Today, the Labour Party has made a proposal asking the government to extend the temporary posts so that they can be made permanent for 2021. My question to the representative Jensen is whether the Progress Party will vote in favour of that proposal.
ParlaMint-NO_2020-06-19.ana.ud168e2056	I figured I'd get a question about it so I could say a little about the Progress Party's view of the justice sector and the bet on it. We have also prioritised that in the negotiations we have conducted. Not least, we're adding more money to the police's National Emergency Response Centre. We are providing a special anti-crime campaign here in Oslo, where we see that crime is taking off farms especially among young people in immigrant environments. And we have a pretty long, proud story from all the years we've been in government. The police and justice sector was one of the areas of activity which received new funds in each budget alone. I think that the Labour Party should also look a little bit in the rearview mirror, because when we took over government responsibility seven years ago, we are relying on a justice sector with long pay queues. And the Labour Party's answer to doing something about it was to let people out before the end of atonement. We did something about it, and we got the cows down.
ParlaMint-NO_2020-06-19.ana.ud168e2063	Oi, oi -- here we had to go back a long way to find an answer. I'm sorry, I don't mean to laugh, but it's kind of funny, because my question was really very simple. Will the Progress Party vote in favour of our proposal today that the temporary police posts be made permanent from 2021? Yes or no. Does one think there is a need for 400 more settings also in 2021, or does one not think so? Today has a golden opportunity to vote for it. The party of progress said when they put in government that there was historically good staffing in the police. As soon as they got out of the government, the police were not very well staffed. Husband of the wing. One can correct it today by voting in favour of the proposal we have for voting.
ParlaMint-NO_2020-06-19.ana.ud168e2069	The Progress Party does not waver in justice policy. Rather, on the contrary, we have had a red thread in everything we've done, I might say a blue thread, to strengthen the entire justice sector, both the criminal justice system, the courts and the police. There's nothing funny about that I'm telling you about everything we've done that has contributed to a historic strengthening of the police and the police budgets for years. It's there as a basis. Then the Progress Party has concluded a budgetary agreement with the Government Parties. That's what we're in favour of. That does not mean that we will not continue to strengthen the police framework and budgets in the coming years. Soon there will be a government budget that the Progress Party will probably also put on its image.
ParlaMint-NO_2020-06-19.ana.ud168e2076	I understand that, and that a contract is made. I can formulate myself in a slightly different way: Does the Progress Party believe that these positions are needed? If so, would you be able to work to get it in place in the state budget for 2021, as the Progress Party is likely to be the government's supporting party?
ParlaMint-NO_2020-06-19.ana.ud168e2081	If the question is whether the police and the justice sector are fully funded and will not need more money in the future, then the answer to that is no. Of course, we will need to add more resources to the police sector as well. However, unlike the Workers' Party, the Progress Party is able to finance these things by cutting off other areas of the State budget. The Labour Party's response to this is always and exclusively to increase taxes for both ordinary people and businesses. We also heard that in the line change that I had just had with the representative Gahr Støre – The Labour Party’s answer is always to put the suction pipe in other people’s pockets to finance election vows. I think it is possible to reach an agreement between the Progress Party and the Labour Party on strengthening the justice sector, but I never believe that the Labour Party and the Advance Party will agree on how to finance it. Where the Workers' Party tightens taxes, the Advance Party looks for effective cuts in bureaucracy and administration.
ParlaMint-NO_2020-06-19.ana.ud168e2086	The representative Jensen said that the Progress Party was open for future adjustments. One of the areas in which changes are now made in comparison with the clear assumptions made by the Storting at the time of adoption of the compensation scheme is linked to seasonal holdings. The assumption of the size was that there were enterprises that have large parts of their turnover in a smaller period of the year. Then there was an adjustment, where seasonal holdings were also defined to be enterprises that have all or part of their business outdoors, or enterprises closely related to it. How does it make sense to make such bureaucratic arrangements on the part of the Progress Party, which means that there are many businesses, including the United States and Japan? tourist hotels, which end up on the outside?
ParlaMint-NO_2020-06-19.ana.ud168e2091	Through all the crisis measures that have been discussed and assessed and to the extent addressed by the Storting, the Progress Party has been committed to raising the challenges facing different parts of our travel businesses. And I believe that through the negotiations we have conducted for the revision, we have contributed to a strong improvement, where we also point to what must be done in the time ahead. As I said in my main post: I don't think any representative in this room should be sceptical that they have the perfect face of what must be done in the time ahead of us. I just think we're going to be a little humiliated so that we're not exactly what's going to happen in the time that's coming. But we need to be able to turn around quickly and put in place reinforced tools when the needs respond. And as the representative, Gülsvik, I can also assure you that I am talking to many of these companies, I get all the recordings, and we have tried to help make significant improvements through the negotiations we have conducted.
ParlaMint-NO_2020-06-19.ana.ud168e2098	The cord shift is over.
ParlaMint-NO_2020-06-19.ana.ud168e2103	At the beginning of the coronary crisis, we had important cross-political cooperation on financial measures. The strength of the size was demonstrated in the examination of the first economic crisis package in March. The proposal by the government was quite weak, but a total expansion made a strong bet possible. It is the profits of the party that the first crisis package came out as well as it did. Then we see later that some decisions have been taken. Other decisions have still not been fully implemented by the government and some decisions have obviously not been implemented in line with the Stortingen’s clear intentions. After two months of broad cooperation on the economic crisis package in Stortinget, however, the government said thank you and goodbye to that kind of cooperation. The revised national budget and the third crisis package brought back the contradictions in Norwegian policy. The Right Party and the Support Party The Advance Party were back in party politics and negotiated a result between themselves that was most likely to be preparations for the right side election campaign. The centre party believes that what we are dealing with today is not sufficient in terms or in terms of equipment. The measures will not be accurate and fair to people throughout the country. It will not be appropriate and fair for businesses of all types and for small and large enterprises. We believe that the government is taking too little account of how the coronary crisis turns out in different parts of the country. There is a high risk that several measures may reinforce social and geographical differences. The centre party is of the opinion that it is in cooperation between public and private initiatives that the potential lies in order to strengthen Norwegian business. Therefore, it is disappointing that the government will not use the municipalities as an engine to increase the activity locally. They could have done both through municipal investment and maintenance because it is through the type of investment and maintenance that one will also meet the local industry, the local construction industry, the small entrepreneurs and the professionals. Instead, we are in a situation where a number of municipalities are now preparing for cuttings. Then it would be that when they cut down the business they should be doing normally, they would also not be able to be an engine in getting activity going locally. We see in the economic structure that's now here, that it's the big ones and not the small ones that are given priority. The small contractor in my hometown is still passing through, between all the chairs, as far as the compensation scheme is concerned. He has no assignment and is standing on the bar hill. At the same time, he has to see that the state's money goes to compensation for those who are behind the tax-free trade at Gardermoen. Now we also see that it is clearly said from the right that the public sector is to be down-prioritized. It is the private thing that must be given priority. But it is also going to hit the municipalities hard and thus the schools, the kindergartens and the municipal health services that have been standing steady in the storm in the last few months. The lot of the centre proposes an arrangement amounting to 4,4 billion. kr more than the government of the local government, both as compensation and to start activity. At the beginning of June was over 10 pst. by the labour force in Norway, in full or in part, unemployed. The corresponding figure before the closure in March was 3.2 pst. There are many people here today who have underlined the seriousness of this. It is our responsibility to all of us for the many people who have lost the job, or who have been permitted as a result of the coronary crisis. Getting people back to work as soon as possible is essential. As a society, we can't afford the kind of unemployment that's close to what we're now seeing. The forward situation is uncertain. We must be prepared for new outbreaks of infection. At the same time, we need to be able to deal with the situation in a way that is understood by them. With regard to the economic situation, the Central Party is concerned. We're concerned about what happens over the summer as the permitting systems approach the end, and we're concerned that one is not taking fast enough action in relation to activity related to specific sectors such as municipalities, the defence, the shipyards, the hydropower and in the case of green investment.
ParlaMint-NO_2020-06-19.ana.ud168e2122	It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e2127	I want to get into the transport sector a little bit. The centre party opposed the establishment of Nye Veier in its time. It was argued that this was a very bureaucratic system. The reality is that Nye Veier is a small and effective development organisation. Now we have some years of experience behind us, and the conclusion is quite clear. The company builds more, globally, faster and at a lower cost together. 19 of the projects have improved, and we get more for each of the heads that we invest. New roads have also contributed to a higher level of activity than ever in Norwegian road construction and to a faster implementation of several projects. It will be an important tool, not least to maintain a high level of activity even in the time we are entering. My question is: is the representative Arnstad and the Central Party still of the opinion that New Vejer is a bureaucratic system, or will one be with and develop the company further and ensure a continued high level of activity in Norwegian road construction?
ParlaMint-NO_2020-06-19.ana.ud168e2136	Traffic is important, and it will be an important part in the future to get the activity up. I could have talked a lot about that. Instead of talking about organisational forms, I could have talked about the need for e.g. strengthening the county roads and the county road network, which is currently a heavy one, should be too many counties, and into which the state should have gone much stronger. But let's talk a little bit about the organisation of the transport sector. I am of the opinion that both Nye Veier and the State Road Administration are doing a good job. I don't think there's any reason to talk down the state road system either. They do an excellent job many places around the country. Then they've got a competitor in New Veier. New roads have many of the same professionals, but what they've got is a different predictability of the framework from that of the state road system. They have received a competitive advantage from political authorities in the work they do. The fact that they do that job very well a lot of places, they do. There's nothing to put on.
ParlaMint-NO_2020-06-19.ana.ud168e2143	It's reassuring to hear. This means that we can aim at New Veger having a good future ahead of us and can be a good benchmark for the work done by the State Road Administration. I want to ask about a more specific project. Yesterday we had a debate on the E18 Lysaker – Ramstadsletta. In that debate it became clear that the Central Party did not support that project, in so far as a project such as the representative Arnstad, at the time as Minister of Transport, was presented in the National Transport Plan in 2013. At the same time, we are committed to maintaining the level of activity in the economy and facilitating employment. I expect that there are several Norwegian suppliers who will now be concerned that this and other transport projects will enter the market as soon as possible. In its alternative budget, the Senterpartie cut 400 million. kr in the allocation to the Fornebuban. Will the Centre Party and the representative Arnstad consider voting for the E18 Lysaker – Ramstadsletta later today, so that we can speed up the project with the positive effects it has on activity and employment?
ParlaMint-NO_2020-06-19.ana.ud168e2151	No, we won't. It's a pure priority from our side. The project E18 westwards is a socio-economic very unprofitable project. It is also a very expensive project. Around this country, we have a county road network that is sadly neglected, both in the centre and in the local government. They need drag help to get the county road network rusted up. We should rather spend more money there and less money on the type of project that the E18 westwards.
ParlaMint-NO_2020-06-19.ana.ud168e2156	The cord shift is over.
ParlaMint-NO_2020-06-19.ana.ud168e2161	The first crisis package Stortinget dealt with in ours, was a package that was not at all adapted to the situation in which it was put, but the Stortinget took control and made it more powerful and social. It has been absolutely essential that we have come through the first few months in a much better way than what would have been the case if the package had been adopted as it came from the government. Why has it been so important? Well, because economic crises like the one we're up to now often lead to an explosion in social inequality afterwards. Unfortunately, we are back to normal with the consideration of the budget and the third crisis package today. It is the right side that comes together in this collapse, and the result is that fine little has been done with the government's proposals that were taken up, gray and unsocial: take hold because there is not enough money where there really is an effort to get the wheels going and people working, gray because the long-aware green crisis package is puzzled and inadequate, and unsocial because we see the true face of the right when even in this situation they choose to give tax cuts to the country's wealthiest that we don't know works, instead of giving priority to the unemployed, and that they choose to continue with a model of support for businesses without social demands, for example. what should have been the most obvious, namely that if you receive state support, you should not resign workers. SV's options are aimed at dealing with the different aspects of the current crisis. We're proposing 10 billion. D more to combat the economic crisis in order to get the wheels moving through a wide range of short-term measures, 10 billion. SEK to strengthen the welfare of municipalities and 10 billion. kr to climate and green industry. The crisis is not over, so it is essential to create security for workers, and that we equip ourselves for what can become rounds of mass redundancies for the harvest if the policy is not changed. Therefore, the period of leave should now be extended to 52 weeks, so it is wrong to propose a cut in the daily allowances for the harvest, and it is therefore also necessary to point out once again how bad it is that the government was unable to provide an emergency solution during the spring for the many persons who were looking for their money. We have had a situation where workers in Norway in 2020 lacked money for food on the table. We propose a wide range of measures to get people working: upgrading construction, installation of solar cells, rail, highways, county roads, ports and pedestrian and cycle routes, flood protection and race protection, broadband development, water and sewerage upgrading and 3 billion. to increase the safety and income protection of workers. Then SV suggests that we start with what must be the big project for Norway in the 2020s: a nice new deal. We must counteract this crisis by preparing for the next, which is the climate crisis. Work and climate go hand in hand. That is why we are proposing a large green investment programme that will enable us to develop solutions to reduce emissions and reduce global technology, while at the same time creating opportunities for Norwegian industry: carbon capture and storage, sea wind, green projects for the yard industry, hydrogen – the list is long. And then finally, we're facing a possible crisis of well-being. It cannot be that those who depend on kindergartens, schools, care for the elderly and those who work in the municipality pay the price of the crisis. Therefore, municipalities must now have an economic boost and be compensated for the failure of income they have. We are seeing right now – even if things go up and down a little from day to day – that things are going really well in the stock markets. Central banks in several countries have entered financial markets heavily. The rich are always saved in crises. The question is whether the policy will be for everyone else, and what we are proposing today is a crisis policy that is for the many, not for the few at the top.
ParlaMint-NO_2020-06-19.ana.ud168e2180	It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e2185	I want to thank the representative for the post and ask him something that I know is close to his heart, namely climate. In the budgetary notes, the Socialist Left Party writes that there is a need for more renewable power production in Norway. The SV referred to in the note is the upgrade of existing hydropower plants. Can the representative tell us how many new TWh it will give us, compared to how many TWh we need in order to be able to electrify all of the things that we here on the Storting together agree to electrify?
ParlaMint-NO_2020-06-19.ana.ud168e2190	There's a big discussion right now, how much renewable power you can get from different sources. I think it's one of the areas where it's necessary that the parties come to a common understanding, so that we can also do what's a very important balance, that's to relate to the two environmental crises we have at once. We need renewable energy to phase out fossil energy and solve the climate crisis. But we are also in another environmental crisis linked to nature and species diversity. Therefore, it is quite natural for an environmental party to also impose requirements on the development of renewable energy. There I see that the government has made some wise demands related to wind power – a recognition that the level of conflict around it needs to decrease. I expect that is what lies behind the representative Heggelund's question.
ParlaMint-NO_2020-06-19.ana.ud168e2195	It's not quite right that this is a big discussion. The representative Lars Haltbrecken has asked the Minister of Oil and Energy earlier about how many TWh such an upgrade will trigger. We know this, and to put it simply: what we also know is that such an upgrade will give us something more TWh, but not near what we need to electrify all that we have agreed to electrify – not in the vicinity. What I want to challenge is the leader of the Socialist Left Party at that time, is what kind of new renewable production is what he wants to set in motion so that we can manage to electrify everything that we agree to electrify.
ParlaMint-NO_2020-06-19.ana.ud168e2200	The SV has presented the last weeks related to the Green New Deal, and as we will further specify in our programme, I believe that the bravest and most comprehensive policy development in Norwegian policy is at a good time, because it is about reconciling the interests of work and industrial development, the need to reduce emissions and to address the challenges we have related to nature and biodiversity. I know that the Right Rare is so very busy lately, but we have to take that into account too. Then we need to find ways to obtain renewable energy that provides industrial opportunities, while at the same time looking for what gives the least natural intervention possible. It is also one of the reasons why SV wants a heavy bet on floating sea winds, which we very much welcome the fact that the government parties show greater enthusiasm for progress. It is not without natural conflict but with less natural conflict and with very large industrial opportunities for Norway.
ParlaMint-NO_2020-06-19.ana.ud168e2205	Then I will follow this up with two questions, because it is absolutely impossible now to get clear answers from SV about what they actually think about renewable power production in Norway. One question is: when the representative Lighthouse mentions liquid sea wind – we fully agree that it should be put on, and we already do – he believes, when he takes it as an example, that that power should return to land and not be used to electrify the base and perhaps be sent southwards, which will be a great industrial opportunity for Norway. That's the one. It will be completely new, completely new paces from SV to which the representative Lightbaking adds up. Then there'll be big and interesting debates about it. That's the one question: shall that stream return to land? The second question is: What renewable power generation, in addition to the few TWhs available for upgrading hydropower plants, will he have on land? Where is he willing to have the wind – if anywhere? Will he have new hydropower plants – if anywhere, if so, where?
ParlaMint-NO_2020-06-19.ana.ud168e2212	The counter-question will be whether the Right has a complete strategy for both how much renewable energy we need in a 10- or 20-year perspective, and exactly where it's going to come from. I don't think the right one has that. It's a lot demanded that everyone else have it. We have clear principles for how we want to gain power. We are in favour of renewable power development. We are also concerned that there must be criteria on the basis of which nature takes care. Therefore, SV has contributed to the development of wind power on land. We've also been against projects that obviously cost too much naturally, or for example. is contrary to the interests of indigenous peoples. I see that the government is giving the same signals itself. So the representative Heggelund must explain why the oil and energy minister said on the radio this morning at the latest that there will be less wind on land.
ParlaMint-NO_2020-06-19.ana.ud168e2219	I also have a question about climate. Norwegian greenhouse gas emissions decreased by 3.4 pst. last year. There were new numbers from the SSB today. It's the fourth year in a row that we're reducing emissions. Norwegian cities where SV is involved in driving more work. Among other things in Oslo, emissions rose in 2018. They are probably higher now than they were in 2015. Then my question is, what are we doing nationally and with a civil majority that's right, and what's the SV doing wrong in cities?
ParlaMint-NO_2020-06-19.ana.ud168e2225	It's a little bit original if the Left is to take credit for everything that's happening nationally, but has no responsibility for what's happening in cities, where a very large part of people live, and where the emissions are going. So I think we'll see these things in context. It is also the case that government parties should be very careful about boasting too much of these emissions, which unfortunately still plunge into a rainforest-causing palm oil, which we risk contributing to global emission growth instead of reducing. With regard to the actual conversion of the Norwegian economy to become a green renewable economy and a green industry investment, it is sad to say that it is puzzled. See how the government has now invested in large tax reliefs to oil companies instead of an offensive to green industry.
ParlaMint-NO_2020-06-19.ana.ud168e2232	The cord shift is over.
ParlaMint-NO_2020-06-19.ana.ud168e2237	We have today come to the last day in a session completely out of the ordinary. What until March drew to become a more normal six-month, was suddenly turned upside down. The virus spread has hit a lot of people hard. Fear of both personal health and the health of people who are close has been difficult to bear for many. The uncertainty associated with job and own economy and, in particular, the prospects have been difficult. Nor should we underestimate the fact that the social dissociation that has been necessary for infectious diseases has been demanding for many. People who initially struggle with mental distress have been particularly hard hit in this situation. We have to take this very seriously in the future. The government’s response to the outbreak of the virus has been stringent measures to protect the sick and the elderly, by investing considerable resources in treating those who get sick. It is a strong sense of solidarity, in line with the Christian People's Party's human dignity, that all people have equal and inviolable value. However, for individuals and businesses alike, the cost of the anti-pollution measures is high – as we have seen in the last few months. Therefore, comprehensive measures were decided to limit the adverse effects on the Norwegian economy, enterprises and jobs. The goal has been to provide security and support to those who need it. That's why the investment in vulnerable children is 400 million. the priorities of hospitals and the elderly have been important initiatives. We should never forget that it is the weakest who are hit the hardest in such a situation. The crisis is now moving into a new phase. The society is gradually opening up, and we're going to get the wheels started again. The Government has proposed a number of measures in the RNB and the Phase 3 proposition that will become important at this stage. This will help to get more people to work – everyone who can work should work. Then we have to prevent people from falling out of work, and make sure to help more people get into work. One group we know often falls out of the labour market is immigrants, and in times of crisis the situation becomes even more difficult for those who are struggling initially. That's why we're prioritizing 260 million. kr to increased effort in the introductory programme, SEK 171 million. NOK 25 million for Norwegian adult immigrant training. SEK to increase the number of participants in Jobjesen, which is an action to increase the number of domestic women with a migrant background in work, and EUR 10 million. to non-governmental organisations working on information measures against the immigrant population in the context of the outbreak of the virus. Many are now unemployed or marginalised because of the coronary crisis. Past crises have taught us that we need to provide education and school to prevent people from staying out of work. We have to make sure that those who are unemployed today get the skills that business needs tomorrow. Competitive measures for workers in need of formal, up-to-date or new skills are important for precisely combating exclusion, including more and strengthening the migration capacity of the Norwegian economy. Competence requirements in the labour market are increasing, and it will be useful for individuals as well as for society if people without jobs can take the time to gain more skills. It is particularly important to increase skills among people without or with little formal education. With the government's proposal, an estimated 2 500 people in the year's take-off coal can be given the opportunity to complete secondary education in the autumn of 2020. An estimated 5,000 persons now on leave and unemployed without completed secondary education are given the opportunity to complete the autumn of 2020. In addition, we increase the appropriation for the apprentice grant by 170 million. kr, so that more enterprises will take in apprentices. The measures in this package are about 1 billion. kr. The financial measures in Phase 1 and Phase 2 have been aimed at keeping enterprises and jobs liquid through the crisis. In Phase 3, we introduce measures that can help get the activity up and get the permit back to work. A total of 6.4 billion is proposed. to take measures to promote the activity of the construction industry, in the cultural and sporting industries and in the tourism sector. These are very important measures to put in place to get the unemployed and to permit them back to work. I am pleased that this powerful package will have a majority in Stortinget today. These are important instruments for all those who are hard hit by the pandemic in different ways. We'll still have to live with the consequences, but it's important that we start getting the wheels started again. We believe that the means to be adopted today will help.
ParlaMint-NO_2020-06-19.ana.ud168e2258	It's going to be line change.
ParlaMint-NO_2020-06-19.ana.ud168e2263	The travel industry was a little mentioned by the representative. It's an industry that's characterized by a lot of optimism, and it's probably the opposite of what you can call a demanding industry. It is a travel industry that is now in its greatest crisis ever, but you have every opportunity to succeed if you are able to assist the industry through the crisis. Now our country is shut down for tourists, and then there's no reason to keep open. The city I live in, Tromsø, is a hub for travel life throughout the country. There's 60 pst. in the tourism industry now on leave. There are almost 2,000 people. That's really serious. Because they don't want to extend the permit scheme, they fear that at the end of July they will have to cancel a lot. My question is: does the representative Gruvan think that the government should give the travel industry the necessary signals that the permit regime needs to be extended?
ParlaMint-NO_2020-06-19.ana.ud168e2270	Clearly, both the tourism industry and other industries are still struggling. We can see that. Fortunately, we also see that some of the wheels are starting to get started again. Luckily, several people come back to work, the people on leave can come back to work, and there will be fewer redundancies, and there will be a total ban. What I think is important now is that we follow developments closely. We are not going to be sloppy today about what measures are the right and most targeted beyond the harvest and winter. We have to listen to the industry, and the tourism industry is an important industry. At the same time, we have experience from the financial crisis in 2009, where an expanded permitting mechanism was 52 weeks, and where one also had some negative experience of this being an enclosed position. I think we need to be open to assess that kind of action without concluding today.
ParlaMint-NO_2020-06-19.ana.ud168e2277	With all due respect to report, we have almost shut down our country. There won't be tourists to Norway. It is not useful to say that measures may not be taken. If we're going to have a travel industry after the crisis, they need help over the crisis, and then they're going to be able to recover. I was visiting the Senja region, as the representative knows very well, last week. They are fully in agreement, as the travel industry is also, that the most important thing now is to ensure that the permitting regime is extended, so that many people are not to be dismissed at the end of July. It's a fact. I ask again, is it not wise to give the travel industry this extremely important signal, so that the industry can continue to grow and be the amazing industry it is?
ParlaMint-NO_2020-06-19.ana.ud168e2284	We will follow the tourism industry very closely, along with other industries that can experience major problems further on. At the same time, we see that some wheels are starting to start. We don't have a full overview. I think it is wise that we now both listen to the industry and assess the measures that can be as accurate as possible. To conclude today, before we've seen a little bit more of the development, I think it's a little too early. As I said, we had some experience in the 2009 financial crisis, as the representative Myrseth probably remembers, where one chose to expand the permitting arrangements. The experience wasn't just good. There were people who actually stayed out of work, who could have come to work. It is also the experience that we need to take with us when we evaluate the actions ahead.
ParlaMint-NO_2020-06-19.ana.ud168e2291	As I said, you can't run a business without having the most important customers in place. It's just not possible. You can't have hotels open if it's not people who want to stay at the hotels. It is not that they can be used for courses and conferences either, because it is not easy to do either. I hear what the representative says, but it is not that it is too early to conclude – it is too late. We're too late for this industry. Since the representative does not want to respond to it with the permitting mechanism, I wonder what measures the representative Grøvan believes are most important now to keep the wheels running for the travel industry.
ParlaMint-NO_2020-06-19.ana.ud168e2298	I think there are many measures that are important to keep this industry going. I also think we will see that this with the Nordics choosing Norway as a holiday destination can give some positive effects that we do not fully see the consequences of today. We are aware that for some industries it has also been difficult for the closure to create an unpredictable situation by ordering foreigners late, etc. But now I think we should first of all listen, we should see how these things evolve, and we must be prepared to be able to put in place new measures if we see that this is going a path we are not served with, and that can mean too much burden for a sector, such as the United States. the tourism industry, which is brought forward here.
