ParlaMint-NO_2020-02-26.ana.ud57e28	The representative of Marit Knutsdatter Strand will present a proposal for a representative.
ParlaMint-NO_2020-02-26.ana.ud57e879	I would like to stress that all municipalities should be offered logoped services. But the municipalities are free to organise this offer. The services provided by the logopeds may be defined under both the Law of the Kindergarten, the Training Act and the Health and Care Services Act. In line with the government’s proposal, Stortinget has legalised the competence of municipal health and care services. As of 1 January 2018, Section 3-2 of the Health and Care Act states that the municipalities must have linked to themselves doctors, nurses, physiotherapists, midwives and nurses in order to fulfil their responsibilities as caregivers. From 2020, the obligation was extended to include psychologists and ergot therapists. In the preparatory work for the provision, it is clarified in point 3.6.1 that the proper competence of the municipal health and care services is so fundamental as to be able to provide the necessary and sound services that certain requirements of competence should be identified directly by law. In the extension of this, it is stated, inter alia, that:\t\t You can change the settings of the grid. \t\t \t ‘Such a statutory list of core competences will not be exhaustive as to the type of competence or professional qualifications that each municipality must provide. [[...]] For many patients and users, the necessary health and care services will consist of the sum of different contributions from a number of professional professionals. Municipal responsibility for health and care services is comprehensive and complex. Municipalities often have to have access to a wide range of staff with different competences in order to be able to discharge municipal responsibilities properly. In addition to the core competence of a statutory list, the municipality itself must consider the type of staff with which it is necessary to hire or contract in order to fulfil its responsibilities in order to ensure the proper and necessary provision of health and care services. A list of core competencies shall not, in this way, alter the otherwise required service provision of the municipality.» In line with this, a municipality may not refrain from providing logoped services to persons who need it, whether adults or children, if the service is a prerequisite for the provision of special educational assistance, special education or necessary health and care services of sound quality and scope. This is clearly a service that municipalities should offer to citizens when they need it, including adults, but they are themselves free to organise this service.
ParlaMint-NO_2020-02-26.ana.ud57e893	SV wants everyone who needs logoing help, like me, to get where they live. We want logoped to be a core competence of municipal health and care services. Logoped is not specifically mentioned as a necessary core competence at this time. Will the Minister of Health ensure that logopedic services become a statutory shell service?
ParlaMint-NO_2020-02-26.ana.ud57e898	We do not now intend to extend the list of core competences that I believe are necessary for the municipalities to be able to perform proper services. But again, as I said in my answer, that does not mean that that list is exhaustive, and it is quite obvious that municipalities need to have logoped services in order to be able to perform many different statutory tasks, both within the kindergarten law and the training law, and not least within the healthcare law. However, the way the municipalities organise this offer will vary from municipality to municipality according to the appropriateness of each municipality.
ParlaMint-NO_2020-02-26.ana.ud57e903	I'm a little sad. There were no plans for logging services to become a shell service. Another question: Logopeds provide the necessary treatment for us who need language training. Adult training is reduced and responsibility is transferred to private logo horses. These logopeds do not have the same requirements for record keeping and interaction with other professional groups, since they are not authorised. Only Estonia, Croatia, Denmark, Bulgaria, Hungary and Norway have not authorised health professionals for logopedi. Is the Minister of Health going to authorise logo pedigree, so that logo pedigree services are quality assured and accessible to everyone?
ParlaMint-NO_2020-02-26.ana.ud57e910	The personnel authorised under health legislation are personnel who are mainly employed in healthcare. Logopeds work in very many other parts of the service, including. within training. This means that it does not necessarily mean that it is right to give a health authorisation to logopeds. The question raised by the representative is related to legislation dealing with healthcare services, and it applies to all those who carry out health services and services under health law, regardless of whether they have an authorisation or not. It is important to stress that it does not depend on whether the person doing the job has an authorisation or not.
ParlaMint-NO_2020-02-26.ana.ud57e920	‘Norway has received large sums for several years from the EEA allocation to Greece in return. This happens at the same time that there is a humanitarian asylum crisis in the Greek islands and very serious deficiencies in asylum treatment in the country. Both refugees and locals suffer. Norway has now concluded a new agreement with Greece on the EEA funds. How will the government ensure that the EEA funds are actually used to improve the situation, and will the government take the initiative to allocate funds that may not be used for humanitarian aid?’
ParlaMint-NO_2020-02-26.ana.ud57e927	There is little doubt that there are both great needs and difficult conditions in many of the camps. Over the current funding period, 353 million. NOK 33 million. EUR earmarked by the EEA funds for asylum and migration in Greece. It is divided into a donor-driven and a Greek-driven asylum programme. The focus is on capacity building of the Greek appliance and reception capacity and quality. Strengthening Greek asylum management will help to speed up the processing of applications for those in the camps, and it will also establish around 300 places for minor asylum seekers in Greece from the second half of the year. During the previous funding period, we, in cooperation and in agreement with the Greek authorities, made more redeployments so that the total amount of asylum and migration finally amounted to 257 million. kr. Support for the Moria camp was not originally part of the migration programmes, but donors and Greek authorities agreed in 2015 to redeploy funds to respond to significant needs there. In Athens today, the Greek-driven programme is being launched under the EEA funds. One of the projects will strengthen the capacity of the National Center for Social Solidarity, the ECKA, to provide just one-off minors and other vulnerable groups. The project's at 23 million. kr. The ECCA is subject to the Greek Ministry of Labour, Social Insurance and Solidarity and is inter alia: responsible for the accommodation and protection of lone minors. Our exposure through EEA funds is largely at the heart of the challenges facing Greece. The programmes are strengthened by solid partnerships with Norwegian and international expertise. We are also based on the experience we have gained from the previous programming period, and the Foreign Affairs Directorate assists as a partner for both the donor-driven and the Greek-driven programme, in close cooperation with the Greek authorities. The Ministry of Justice, UNE, the EU Fundamental Rights Agency, UNHCR and IOM are also partners. They are going to have a continuous follow-up to the programmes in question. We also expect all available funds to be used as planned. Should money use be shifted in time, which is possible, the aim is that payments should follow the plans. Through the EEA funds, Norway makes a significant and relevant contribution to remedying the situation in the refugee camps in Greece. Late this year, we are going to launch a process of reviewing the status of all EEA programmes in all countries. It will also lead to decisions on the use of reserve assets, and it will give rise to the reallocation of programmes and projects based on agreement between the competent national authorities and the donor countries. We will of course also consider the arrangements for our involvement in Greece in this process.
ParlaMint-NO_2020-02-26.ana.ud57e940	It's hoping the new program works better than the old one, because now it doesn't work. I've been in these camps, and the situation there is not quality in reception. So vulnerable persons sitting there are not identified, because they are now required to be certified in a public hospital, a military hospital or other public health professionals, and they do not exist there like the refugees, for example. in the Moria camp, er. Kids can't go to school. There is no certainty in the camps. Food and sanitary conditions are under every criticism. Here there is a real need for the government to control this money far better than today and to ensure that the quality of the humanitarian work being done in the camps is actually raised. Can the Council of State ensure that this will happen?
ParlaMint-NO_2020-02-26.ana.ud57e945	As I was about to do, we're of course going to follow closely the implementation of the programmes, just as we did in the previous programming period. It is obvious that there are significant challenges for the major beneficiary countries, because arrivals have increased again, and that is also one of the reasons why this is an important topic that both the Minister of Justice and I regularly discuss with our colleagues. We see a very clear need to find pan-European solutions that can now help relieve the most distressed recipient countries, and there is also a problem we are facing. I believe it is important to continue, because if we do not achieve a better European burden-sharing, as Norway has said, we can contribute on a voluntary basis, even if we are not a member of the European Union, we cannot solve the major challenges we see either.
ParlaMint-NO_2020-02-26.ana.ud57e952	If you've been following this implementation closely in the previous period and you're going to do it the same way now, I'm not optimistic. So now the situation in Greece and in the Greek islands is a dangerous greenhouse for extreme right forces. The locals suffer, the refugees suffer. Thus, it is European countries – Finland, France and Germany – that have now agreed to accept, for example, several of the lone kids sitting there, without schooling, without help, without security. What is the reason why Norway cannot do like Finland, France and Germany, but must wait for the most conservative and right-wing regimes in Europe, which will never reach out and say yes? It's going to end up in a situation where there's going to be more dangerous and more dangerous in Greece, and where more and more people are going to go down in these camps.
ParlaMint-NO_2020-02-26.ana.ud57e957	The government has been very clear that we want pan-European solutions because it is the only thing that can provide sustainability in the long term to address the migration challenge we see. The exposure to the representative Andersen is commendable – but I have to say that I am very surprised why SV has cut 321 million in the budget for 2020. SEK in the contributions, inter alia: to vulnerable countries. Contributions are intended to prevent many people from feeling that they need to make an effort to stabilise the situation in their home countries. It is not an end in itself for people to spend on a dangerous flight across the Mediterranean or via other migration routes. It is much better that we are able to contribute to stabilising a situation, providing work, education and security in the countries from which people come. Escape from war is one situation, but fleeing because you want a better life – which is a legitimate wish – is another situation, and then SV should help prevent it.
ParlaMint-NO_2020-02-26.ana.ud57e973	This issue is postponed to the next Question Time, when the Council of State has left.
ParlaMint-NO_2020-02-26.ana.ud57e981	I would like to ask the Minister for Municipal Affairs and Modernisation the following questions: ‘In the Groruddalen and Oslo East we see an increasing tendency for rental companies and speculators to buy up single dwellings and convert them into a number of rental homes or small rentals. It is even announced that the villas can become ‘renting machines’. Where there is much more living in an area than before, this infrastructure overloads such as water, sewerage, traffic, parking, trash disposal, etc. We also see that the character of the strokes is changing, and that families of children are pulling out. What measures does the Council of State think can be taken to counteract such developments?’
ParlaMint-NO_2020-02-26.ana.ud57e990	The debate on so-called 'hybridisation' has been going on for a while, and I am, like my predecessor Monica Meland, well aware of the problem. Reinforcement of measures against residential speculation and hybridisation is also a point in the Granavolden platform. In May 2019, at the hearing, the government sent a proposal to regulate the restructuring of the planning and building law and the ownership law. The proposal in the case of the Law on Planning and Buildings is intended to clarify the authority of the municipality to adopt provisions for the division of a housing unit into units in the municipal plan. In addition, the Government proposed a new authorisation to adopt such provisions in the regulatory plan. These proposals meant that access to regulation of the hybridisation process becomes part of the ordinary planning system. This can provide a better basis for managing the development and use of the housing stock. The proposal in respect of the ownership law implies that a section owner must obtain the agreement of the annual meeting in order to convert an apartment into furniture. The proposals received broad support in the consultation, and we are now working on the follow-up to the consultation and aim to return to the Stortinget with a legislative proposal in 2020.
ParlaMint-NO_2020-02-26.ana.ud57e999	I thank you for the answer and for the positive parts there. The Ownership Act I have worked with here at Stortinget, and I am aware that progress is being made there, so that's good. But this applies to villas that are not regulated by it, and then there are other areas. The Council of State said that changes should be made in such a way that municipalities have the possibility to impose restrictions on the hygiene of their regulatory plans, that a new legal basis should be introduced. My question is about what is called Chapter 2 of the Building Regulation, which mentions what is subject to an application. It seems like you're isolating it to self-contained units, but not when it's hyblicating, i.e. when it's hyblics, which are often not independent units, but where you use the common kitchen, etc. Will the Council of State also look at the building regulations and Chapter 2 thereof, because if it applies, it is difficult for the municipality to overdo it.
ParlaMint-NO_2020-02-26.ana.ud57e1010	Hybridisation will often represent a change in use and will therefore be subject to an application. In order to reject the application, the municipality must have a refusal residence in the law. For example, the municipality may reject the change in use if it is not in line with fire safety requirements. The municipality may also have the opportunity to reject the application on the basis of today's Planning and Building Act § 31-6. This provision states that the municipality may refuse an application and, inter alia: breakdown of the dwelling into furniture, even if the measure otherwise complies with all the requirements. The condition for refusing is that § 31-6 of the Planning and Building Act is applied in the municipal plan, and the provision is initially a suitable instrument for the municipality to prevent the hygiene. But then the challenge is that the determination and how it is used is little known. The municipalities are therefore using it little, and I am not familiar with the extent to which it is used by the municipality of Oslo, for example. But this is also part of the background to the legislative changes we have had to be consulted, which will make it easier to counteract unwanted hyblication.
ParlaMint-NO_2020-02-26.ana.ud57e1017	I think the Council of State gives interesting answers, and it is important that the municipalities know all the possibilities that the law can provide. What makes me in doubt about what will be the current legislation, what one has to do with the possibility of refusing in a municipality, is what I mentioned in the building case regulation that mentions what is mandatory, where it is stated in Chapter 2, Section 2-2 of the building case regulation that division is subject to application only when the units are ‘physically separated’, i.e. there is no internal connection between the units. And a furniture will often not be physically separated; it will often be common kitchen or other common functions – common bathroom, toilet, etc. It may be that the legislation goes a bit across here, and it may be difficult for municipalities to orient themselves.
ParlaMint-NO_2020-02-26.ana.ud57e1024	I agree. It is clear that at that moment something goes from being an internal furniture to becoming a separate part of the dwelling, there will also be a number of demands. Not only does it concern fire safety, but it also concerns parking, access to outdoor areas, etc. So there's a reason to take a closer look at this problem as well. But I think it'll be a strength that access to regulate hyblication becomes part of the ordinary planning system, as we're now proposing. I think that can make it easier for municipalities to take action and control the development and use of the housing stock as they want. So it's a challenge that some people do housing without applying, and it makes the municipalities depend on tips to make them aware of the changes.
ParlaMint-NO_2020-02-26.ana.ud57e1036	«Recently we could read about a 57-year-old cleaner on the railway in Trondheim who started working in the then NSB 40 years ago. Now this cleaner and a dozen of her colleagues in Traffic Services are being cancelled as a result of the railway reform. How does this fit with repeated promises from the government parties that no one should lose their job as a result of the rail reform, the Council of State seems to be treating workers in this way, and will he do something to keep their jobs?’
ParlaMint-NO_2020-02-26.ana.ud57e1043	I would like to thank the representative Sverre Myrli for the question. When implementing major reforms, it is important to ensure that they do not compromise their working conditions. I think there's been a lot of right moves to facilitate a well-functioning railway sector, the companies have come up with good and forward-looking pension schemes in cooperation with the added ones, and the new train companies seem to be able to offer them attractive jobs with at least as good conditions as before. I think the transaction transfer is a very good principle because it ensures that the job added further. So the question the representative Myrli asks: when it comes to the reindeers of NSB Trafikkservice AS, as the representative Myrli pointed out in his question, I understand that these can experience some uncertainty in connection with the train being run by new operators. NSB Traffic Service AS is 100 pst. owned by the Vy group. The company won the assignment to clean up the train that Go-Ahead runs on Sørlandsbanen, but for Traffic Pack Nord the situation is still not clear. SJ has put out the cleaning of trains on offer. NSB Traffic Service is one of the providers. SJ has not yet chosen a content provider. If the SJ selects the NSB Traffic Service as a maintenance provider, the termination could be cancelled. In this case, after the Ministry of Transport is familiar with, initially everyone will keep the job, but the number depends on SJ's cleaning needs. Today, the company has the cleaning assignment for Vy on the routes that SJ will start operating on 8 June this year. At the end of January of this year, 23 people were added to NSB Traffic Service. This applies to 16 added to Trondheim and 7 added to Bodø. Through their collective agreement, they had added six months' notice period. We have informed the Ministry of Transport that they have been added to the NSB Traffic Service that the company will help them to find new jobs as far as possible if the maintenance contract goes to another maintenance operator. This may involve assistance and advice, writing CVs, contacting Nav and using local recruitment companies and the company’s network. A survey has already been carried out of what they want to help – and if they are willing to move – through individual conversations with all of this debt. According to the Railway Directorate, SJ Norway has held negotiations and clarification meetings with various suppliers with a view to signing an agreement during February 2020.
ParlaMint-NO_2020-02-26.ana.ud57e1054	All the technical things are certainly right, and that's okay, but the core of the matter is that a political promise has been made from the four parties that were behind the railway reform – the Right, the Progress Party, the Left and the Christian People's Party – here in the hall, at public meetings outside the Storting, at meetings with the employees' organisations and many other places. It was explicitly said that no one should get worse pay and working conditions as a result of the railway reform, and no one should lose their job. The cleaner mentioned in the question is called Wenche Bye. She's here at the mall today, she's 57 years old and has worked 40 years in the railroad. Does the Minister of Transport think that she is satisfied with the answer he has now given, and does the Minister of Transport think that the Wenche Bye perceives that this is in line with the promises previously made by the four parties behind the railway reform?
ParlaMint-NO_2020-02-26.ana.ud57e1061	This is a matter that has actually been resolved through the contracts that have now been concluded. There is then a principle of business transfer on the train running itself. For those who are subcontractors, there is another part of the contract that has been concluded. But as I'm telling you here, the situation for this person is not really clear because the contract for who is going to get the cleaning is not settled. This is actually going to be clarified in the month that we're now inside. So we don't have the answer to that question here today, but a contract has been signed, and it's been arranged for a business transfer on some parts – and not on other parts. It's a guide that I'm taking with me. But as I also say in my answer, I thought business transfer was a good principle precisely because it helps to secure the addition. But here's a contract that's already signed.
ParlaMint-NO_2020-02-26.ana.ud57e1066	Now this applies more than the Wenche Bye, there are twenty cleaners in Trondheim and Bodø, as the Council of State also said. Wenche Bye is a spokeswoman who has been elected for many years for the cleaners in the NSB and in the NSB Traffic Service. There's a lot of things that apply. In fact, these cleaners have for the last few years waived increases in wages and salaries; they have actually fallen in wages and salaries in order to be able to compete. So the thanks are that they are cancelled and can lose the job after many years of cleaning work on the railway. Governments mention business transfer, it is an important principle, but it does not apply to cleaners. This applies to those who drive trains, i.e. to drivers, to conductors, and to administrative staff – but it does not apply to workshop people, and it does not apply to cleaners. Could the Minister for Transport be aware that the rules on business transfer also apply to cleaners?
ParlaMint-NO_2020-02-26.ana.ud57e1073	As I said in my answer, I thought business transfer is a good principle because it ensures that the job is added regardless of who wins. That type of principle must be clarified before a contract is entered into. In the matter we are talking about now, an offer contract has been concluded, and SJ is now making its choices according to the contract that the State has arranged for. So it's a principle that has to be included when we're looking at new contracts. In case we consider here, the contract has already been concluded. In parts of that offer, there is a business transfer – and not on others. But when it comes to that representative Myrli asks: I think it's a good principle that we should follow, and we should look at it when we're going to review new contracts, but not for the contracts that have already been concluded – unfortunately.
ParlaMint-NO_2020-02-26.ana.ud57e1081	This question, from the representative Nina Sandberg to the Minister for Research and Higher Education, will be answered by the Minister for Municipal Affairs and Modernisation, who will direct him.
ParlaMint-NO_2020-02-26.ana.ud57e1086	‘On short notice and without being involved in advance, from 1 March onwards, universities and colleges are required to use State Building as an adviser in renting premises in the market. Does the Council of State see this undermining competition, giving lower market dynamics, and thus worse conditions for universities and colleges as tenants?’
ParlaMint-NO_2020-02-26.ana.ud57e1093	The short answer is no. But let me take the long answer: After salary, rental costs are the largest operating expenditure in the country. Renting of office premises in the market amounts to approximately 4.5 billion. kr per year. The government's objective is to reduce rental costs. A number of state-owned enterprises have been assisted in recent years by State-building in the negotiation of new market rental contracts. This has resulted in considerable savings for enterprises, instead of being able to use resources for their core business. That's good. The government carried out an area review of building and property policy in the State civil sector in 2018-2019. The consultant referred, inter alia, to: that the country’s rental of premises in the market should be professionalised in order to reduce its expenditure. In 2017, State Building negotiated state leases for 40 pst. reduction of expenditure compared with expiry of the agreements. This amounted to 90 million. kr saved per year. In 2018, 13 new leases were concluded where State Building was an adviser. These agreements will result in a total cost reduction of 291 million. DKK over 10 years. The fact that the State has a professional adviser does not undermine competition – on the contrary. Good purchasing competence strengthens the competition of those renting out premises to the State. That's what's important. State buildings already assist a number of state enterprises in acquiring premises in the market. The assistance covers everything from designing a workplace concept to moving in. The Brotherhood of Services is purchased in the market through framework agreements. State buildings shall not build a large apparatus itself but continue to purchase services in the market. For me, it is important that state establishments have functional premises with good availability for employees and visitors, at the lowest price possible. By exploiting State Building's experience and knowledge, and purchasing services tailored to needs, I'm sure that businesses get good premises while we free resources. By pooling the advice, we build skills and improve the overview of the entire portfolio of government rentals in the market. The acquisition of larger premises takes time, and many processes are in progress. Use of state buildings as advisor does not initiate work. For me, it is a point that individual businesses and state-building together need to find good and effective solutions for ongoing procurement processes. I trust they can do that. I do not share the concern of the representative Sandberg. On the contrary, the State shall be a demanding customer in order to reduce government costs for the rental of premises. In this way, we also contribute to strengthening competition in the market, to the joy of the state as a major tenant.
ParlaMint-NO_2020-02-26.ana.ud57e1118	I thank the Minister of State for the answer, but my question was intended to be addressed to the Minister of Research and Higher Education. This is the third time I – in vain – try to get the State Councils of Universities and Universities on the track to answer questions about the right to dispose of property management. It's worrying, I think, that the higher education minister doesn't take that challenge, not least because the right-wing government itself has said that building is an essential resource for achieving national targets for both research and higher education. I note that the Ministry of Local Affairs claims that State Building will save enormous sums, and refers to contracts from 2018, which means 291 million. kr saved over 10 years. Can the Minister of State explain the assumptions and content of this calculation and whether it can be transferred to all sectors, including universities and colleges?
ParlaMint-NO_2020-02-26.ana.ud57e1125	Let me first say that I am absolutely sure that the Council of Asheim had gladly asked to answer questions if it was within his constitutional responsibility to do so. He's just been sitting through an entire oral Question Time without getting a single question, so I'm going to think that he would be happy to have the opportunity to answer questions within his constitutional responsibility. However, state buildings are within my constitutional responsibility, and that's why I stand here and answer this question. The representative, Sandberg, says that I ‘repealed’ that money has been saved by using State Building as an adviser. Well, it's not a claim, it's demonstrable that there are significant reductions in the expenditure of the state that can be released to the business that we want the state to focus on, that is, the outlying. It must also be important in the higher education and research sector.
ParlaMint-NO_2020-02-26.ana.ud57e1132	I thank you again for the answer. Governments referred to the territorial review of construction and property policy. The government put on that report for four months before it was presented in April. The recommendations from here have met massive countermeasures, and the report itself is criticised by trade unions. So the government says it has made no decision in the matter. But it is that the area review recommends stronger management and centralised execution of rentals in the market. In concrete terms, it is recommended that agreements with a total value of more than 30 million be concluded. kr shall be treated by the professional community as a whole. This is almost identical to that imposed in the letter from the Ministry of Local Affairs on 31 January, which says that all except the police and Nav will use State Building for rental contracts of over 30 million kroner. kr. So then my question to the municipal minister is: on what basis can the municipal minister make recommendations from an area review that the government has not taken a position on, at least on February 2nd this year?
ParlaMint-NO_2020-02-26.ana.ud57e1141	As the representative rightly points out, the government has not concluded when it comes to the area review of the State civil sector. We believe, however, that it makes sense to use State Building as an adviser from 1 March to achieve better conditions in the market. As the figures I've already shown show, it's a huge sum to save on this, which can be released to the operational part of the business, and it must be important that we facilitate. Then we'll come back to how we're going to do it with the follow-up of the area review, but it's quite clear that there are different perceptions of the area review, not least in the sector that Sandberg is talking about here.
ParlaMint-NO_2020-02-26.ana.ud57e1155	This question has been withdrawn.
ParlaMint-NO_2020-02-26.ana.ud57e1164	‘In written question 22 November 2018, the Minister of Culture then was asked to initiate a dialogue with the Danish authorities on the transfer of the oldest preserved image of Bergen’s seal and other Norwegian medieval documents to Norway. The Council of State then invited the Swedish Archives Agency to make an enquiry to the University of Copenhagen, which then replied that such dialogue had to be conducted at political level. Recently, Iceland has taken such an initiative towards Denmark in order to obtain Icelandic manuscripts. Will the Council of State do the same?’
ParlaMint-NO_2020-02-26.ana.ud57e1171	First of all, I would like to thank the representative for raising this issue in order to bring it to my attention. I really appreciate that. The documents to which the representative Lysbakken refers belong belong to the University of Copenhagen. They are part of a collection created by Icelandic historian Árni Magnússon. Some of these documents have an impact on Norwegian cultural history and relevance for Norwegian researchers. The collection Diplomata Norvegica covered initially over 1,900 documents, but after long negotiations, more than 1,100 of them were transferred to the Norwegian National Archives in 1937. These were documents that Árni Magnússon had borrowed from Norwegian bishop archives. The Swedish Archives Agency, which is the Norwegian Archives Agency, contacted the University of Copenhagen in January 2019 to investigate the possibility of returning the documents to Norway. The University of Copenhagen stated that they do not have the opportunity to enter into dialogue on the return of documents and that such dialogue must take place at government level between the two countries. The Swedish Archives Agency received offers from the University of Copenhagen on digital copies of the 870 documents, the University informed that these will be digitised according to the plan during 2020. The Swedish Archives Agency will publish these copies on digitalarchivet.no, which is Norway’s website for the publication of digital archive material. Such a solution will significantly facilitate access to documents by Norwegian historians, philologists, art historians and other researchers. However, digital copies cannot replace the original, physical, objects. That is why I want to follow the initiative of the representative Lysbakken. I welcome the question of transferring the documents in Árni Magnússon's meeting with my Danish and Icelandic colleague as soon as the occasion comes. I believe it is important that Norway connects with the processes in progress between Denmark and Iceland, so that we are represented if the handover of common Nordic medieval documents takes place. I thank the representative again for bringing the matter up and to my consciousness. I understand that these documents are of importance to many in Norway, not least to the sense of identity of the mountains.
ParlaMint-NO_2020-02-26.ana.ud57e1182	I would like to thank the Minister of Culture for what I think was a brilliant answer! Then we can take the initiative that is needed, and it will be very exciting to follow up on whether the Minister of Culture can get something out of it. I believe there are strong reasons why these documents should be in Norway. They're an important part of our cultural history. Then, of course, such a process must be handled with respect for our Danish friends. I am very pleased that the Minister of Culture said yes to entering into such a dialogue. The sail is going home, and I think this very year would be a great occasion for it, because then the Minister of Culture could have done something about it in what is Bergen's 950th anniversary. There may be an extra good opportunity to make such a transfer, or to have a decision on it, this year.
ParlaMint-NO_2020-02-26.ana.ud57e1189	I was in Bergen on Wednesday and Thursday last week. Then I got the 950th anniversary pin, but I don't wear it today – of course I should have had it! I would like to mention that good cooperation has led to the kind of exchanges that have led to, for example: a historical version of Magnus Lagbøte’s Law can be seen in the National Library’s exhibition room from tomorrow. I was there already today and got a little snitch on it. It's a fantastic opportunity that's just been made possible through good cooperation. So it's important that we approach this in a humble way. The documents belong to the University of Copenhagen. Norwegian authorities and cultural businesses do not have a legal requirement to take over the documents, but we can initiate a dialogue, and we can always hope for a good gift.
ParlaMint-NO_2020-02-26.ana.ud57e1198	I think the state council's attitude to the mountain is very good. I thank you for that! So I think it's important to stress that even though the urban seal is important to us from Bergen, there's a lot of documents in these collections that matter to the whole nation. I agree with the Minister of Culture that we must do this on the Norwegian side in a kind way and with respect for those who have managed these documents for a long time, but I have the hope that, on the Danish side, too, you will see the reasonableness of it. I would like to ask the Minister of Culture a question. We know that our Icelandic friends too are in the same situation – there are many medieval Icelandic documents in the Arnamagnean Collection, as it is called, at the University of Copenhagen – and that the Icelandic Government has taken an initiative in dialogue with Denmark about it. I wonder if the Minister of Culture will contact the Icelandic Government to see if there are opportunities to cooperate on this.
ParlaMint-NO_2020-02-26.ana.ud57e1207	I am aware that Iceland has raised the issue of the transmission of medieval documents from the collection of Árni Magnússon, and I will now examine how the Danish authorities are dealing with that proposal, and connect me to the dialogue that is already underway. Then it is important that we do it in parallel with avoiding the postponement of the work that the Danes are now planning to provide access to digital copies. I can tell the representative that I meet my Nordic colleagues at regular intervals – I have been told. I haven't done that in the past – I've been working for just over four weeks – but I've already told the ministry today that a point needs to be set up so that I can raise this issue with my colleagues on the first occasion – when the Minister of Culture meets his Nordic colleagues at regular intervals.
ParlaMint-NO_2020-02-26.ana.ud57e1219	‘The landfill of hazardous waste on the island of Lang Island is expected to be filled during 2024. For industry and municipal combustion plants, which depend on the ability to deliver hazardous waste, the lack of clarification creates a high degree of uncertainty. The hearing period for the report of the Committee of Experts is over. Will the government take responsibility for finding an alternative deposit, or will it be left to the market?’
ParlaMint-NO_2020-02-26.ana.ud57e1226	It is true that today's landfill for hazardous waste in Lang Island is considered to be full by 2024 and that a solution is needed. Over time, there has been a process in the Ministry of Climate and Environment to assess the role of the State in ensuring new treatment capacity for hazardous waste. In spring 2019, an expert selection of hazardous waste was set up to assess both how the amounts of hazardous waste could be reduced and how future treatment capacity for hazardous waste could be ensured. They made the recommendation in November last year. The report was sent on the phone, and as the representative Hansen says quite correctly, the hearing period is out – he went out on 15 January. The Ministry of Climate and Environment now assesses the follow-up. As part of it, a mission was given to the Environment Directorate to make various assessments of the report and recommendations from the selection. Work within the time limit of 1 April. Former Minister for Climate and Environment Ola Elvestuen and former Minister for Industry Torbjørn Røe Isaksen have also had dialogue with key industrial actors on possible solutions. That dialogue I'm going to follow up. The government has not concluded on a further process of ensuring a future treatment capacity for hazardous waste, nor can I say anything more now when a decision will be taken. What I can say is that the matter is of high priority.
ParlaMint-NO_2020-02-26.ana.ud57e1237	I had hoped that the pleasant atmosphere from the previous round of questions could be included in this, but for the time being I think the answer is a little too defensive for that. As the Council of State has seen in the hearing opinions, it is not long until 2024. For the actors, this is a very short time, and waste Norway writes among others. in its consultation response to the expert committee that it could affect waste collection from almost all households and businesses across the country in a short time if an alternative to Lang Island is not available. It must be in place in good time before the Lang Island is full, because the actors depend on knowing where to deliver the waste. I have to say it is worrying if the government has not yet decided whether to take responsibility for finding the option or leave it to the market.
ParlaMint-NO_2020-02-26.ana.ud57e1242	It is true that it is a short time to 2024, and that is why – as I said in my answer – this matter has such a high priority in my department, and we are working hard on how to follow it up. So the Environment Directorate has got a job that we're about to get a response to. Then I realize that there are many who are impatient to get a final clarification, both when it comes to whether the government should take a role, and in that case what role it should be. The expert selection has given us a very good basis for the further process, both through different solutions to reduce the amount of hazardous waste, which I believe is some of the things that should be a target, and by pointing to different sites that could be worth taking advantage of one should expand its capacity and continue it after 2024. As I said, we are working on this now with a high priority, but unfortunately I cannot today give the representative Hansen a final answer to what the solution is. It'll come when it comes.
ParlaMint-NO_2020-02-26.ana.ud57e1251	I thank you for the process. Can the Council of State give any indication as to whether, if, as he said, the dialogue with industrial players is not pointing towards a solution within a reasonable time, he will take responsibility for finding a solution? We all know that the landfill of hazardous waste triggers little enthusiasm and a lot of resistance, and here you might have to have a government that takes that responsibility, and you might not get a solution like a local cheering for. But we must have a landfill for hazardous waste. I would like to remind you that there is also a decommissioning of the plant in Halden, which also requires a waste site. So here I think the government has to prepare to take responsibility for finding a solution.
ParlaMint-NO_2020-02-26.ana.ud57e1258	Today we have a landfill for hazardous waste, and that is the operation of private operators. When it comes to whether to take a role and go about using a government plan, as it has been suggested in Porsground, or go to other places, there is part of this process with different things to consider. But there's a lot of different ways to go about the goal here, I think. The selection of experts has pointed to a number of different ways in which they can think, both in terms of the reduction of waste volumes and the different locations, and they also point to the need for intermediate solutions. So what I can say is that all this is being evaluated, and what has been important both for my predecessor and for me, is that we should get all the facts on the table, and everything should be carefully assessed – not least because there is a very strong view in this case, and I believe it is important for the legitimacy of a possible decision finally that all the cards have been turned around. That's what we're working on right now, and I'm sure we're going to give answers in good enough time for everyone to settle down on it.
ParlaMint-NO_2020-02-26.ana.ud57e1267	That being the case, it is no. 2 completed.
ParlaMint-NO_2020-02-26.ana.ud57e1281	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - It doesn't seem so, and the meeting is cancelled.
