ParlaMint-NO_2020-05-06.ana.ud68e28	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-05-06.ana.ud68e819	We would like to have a good dialogue with the speakers to this extent, but also with the gardeners. When it comes to the specific situation the representative refers to in Grong, I think it's been a dialogue with the County Council, where one from the County Council wants one to move the sheep to another area to graze. That's what the gardeners have been against, and then the county has gone away from that trail. As far as I understand, it's a dialogue on how to deal with this situation. I agree that the situation is demanding. It's not that inside has pre-emption rights anyway, and one can never take them out. It may be, but it has to be a concrete assessment as long as we're so far away from the stock target that Stortinget has asked me to make sure we get up to it. It's a tough situation to handle for the administration, but we have to be able to do that. And we have a special look at the situation in Trøndelag – the representative can be sure of that.
ParlaMint-NO_2020-05-06.ana.ud68e826	The oral question procedure is now over.
ParlaMint-NO_2020-05-06.ana.ud68e840	The questionnaire is usually published electronically in the section, although there are currently no changes to the questionnaire.
ParlaMint-NO_2020-05-06.ana.ud68e848	‘The decision decided on 19 March to ask the government to facilitate, if necessary, the entry into the ownership of particularly important Norwegian enterprises in order to ensure national ownership. On questions from the undersigned, the Council of State has stated that the Government will not rule out the possibility of this happening and that it may apply to companies of central importance to society and how current activities are necessary in order to avoid social damage. Which specific companies and sectors do the Councils of State regard as relevant to state ownership?’
ParlaMint-NO_2020-05-06.ana.ud68e861	The government has recently submitted the ownership message, which reviews our ownership policy. It follows from this notification that the State will have holdings in companies only when it is the best solution to meet the different needs of the State. As a general rule, private owners are better placed to engage in and create new business, while the country facilitates good framework conditions. The government is following the situation of the corona carefully and is constantly assessing what action might be taken to overcome the crisis. As the representative is well-known, the government has presented several crisis packages to business over the past few weeks. These include: establish a cash support scheme, deferral of payments has been granted, and changes have been made to the law on permitting. The background to these things is getting businesses through the crisis we're in. As the representative refers to, I would also not rule out that, in the ultimate sense, state acquisitions of firms in difficulty may also be relevant in order to ensure national ownership. As I have said before, and as it has been referred to, it may apply to companies that are of central social importance, and we think of companies where current activities are necessary to avoid social damage. This will include, inter alia: could be companies which operate activities which are of such importance that a total or partial loss of function would have consequences for the country’s ability to safeguard national security interests as defined in the Security Act. It will also be in situations where regulation, which is the usual measure in this area, is considered insufficient. However, it is too early – and it will not be right – to respond specifically to the sectors and companies that may be involved in state ownership in the current crisis. Assessments made by the country in relation to these issues are likely to be both business-sensitive and potentially exchange-sensitive. But if state ownership becomes current, the government will promote matter to the Storting about it.
ParlaMint-NO_2020-05-06.ana.ud68e872	The councils referred to the government's announcement of ownership, but it was presented before the coronary apathy. The corona pandemic has revealed a great vulnerability, both in the Norwegian economy and in strategically important sectors. It has also made important Norwegian enterprises more vulnerable to foreign purchases than before. In the first position adopted by the Finance Committee after the corona pandemic had taken place in Norway, there was a strong emphasis on national ownership of natural resources, important businesses and societal critical functions. The overall committee also stressed the importance of the necessary instruments and that they had to be prepared. How does the Council of State and Government prepare for such a situation?
ParlaMint-NO_2020-05-06.ana.ud68e879	The most important thing for us now is to work for these companies to get through the corona situation. This is why both the government and the big business have been so busy putting these packages in place. At the same time, we follow up on what is happening. We have been clear that it may be relevant to go in and buy up companies if necessary. But besides that, I can't go into the assessments that the government makes in that regard, other than what I've already said, precisely because it could be both business-sensitive and exchange-sensitive, and it could also be inside information. The representative, on the other hand, doesn't have to deal with such restrictions, so maybe the representative himself has some suggestions for companies he thinks should have been publicized in the difficult situation both we and the companies are in.
ParlaMint-NO_2020-05-06.ana.ud68e886	I understand that the Council of State is not commenting on individual companies, but what I asked the Council of State questions about now was about how such a situation might be prepared. What has been mentioned by us in the United Kingdom is both the establishment of a state ownership instrument to ensure ownership of strategically important companies and the ability to have an action plan in the area of the specific situation in which they are located, as can be seen from examples in other countries. Clearly, the situation you see today, as a result of both the exchange rate and the share price, makes Norwegian enterprises exposed to foreign purchases. It is very good that we work together for new actions, but it can just make some people think they deserve to enter strategically and secure foreign ownership now. How do you prevent that? How do you prepare that for the government?
ParlaMint-NO_2020-05-06.ana.ud68e893	The most important thing we do, in addition to getting the companies through this, is that we're just following what's going on out there. We follow up on how it works in Europe related to this, but also in the market here at home. If or when it would be appropriate to go in and buy up a business – either buy in or acquire ownership – we will normally come to the Storting with it, because there will be no government that can do anything. In that case, this will require the approval of the Stortinget. But it will happen normally after a concrete assessment that the government will have made in advance.
ParlaMint-NO_2020-05-06.ana.ud68e903	‘In the Question Time of 12 February this year, the Prime Minister said that the District Minister has a smaller area as his own constitutional responsibility, but a larger area of coordination. The Prime Minister also said that the government with a district minister is lifting its coordination responsibility because it wants to see the whole thing better in the policy. Following the decision in November 2016 on the closure of Andøya Airport, the Prime Minister announced at hoyre.no ‘extraordinary State intervention’ to take care of the Andey community. What are the status and plans of this extraordinary effort?’
ParlaMint-NO_2020-05-06.ana.ud68e910	The closure of Andøya Air Station has significant consequences for the community up there. That is why the government has already contributed 60 million. kr in exceptional means of conversion, and we have announced a total of 95 million. kr i support. The main contribution of the government is to facilitate the situation, so that there is active local and regional responsibility to work to create new, forward-looking and secure jobs in Andeya. It is an important principle in the conversion work that the municipality itself defines its areas of action. Andøya has already established a migration organisation with its own board of directors and has developed migration plans. I followed this work closely and had, among other things, meeting with representatives of the municipality no later than 29 January. They then presented a series of exciting plans for Andy Island in areas such as aquaculture, tourism, technology and competences. The Government has taken overall responsibility for caring for the Andey community as a result of the closure of the air station. The Ministry of Local Affairs has contributed funds for conversion. At the same time, other departments also have investments, which are probably so important for Andøya. An example of this is the overall property strategy for the areas that are subsequently decommissioned by the Defence at Andøya Air Station. The property strategy has been developed in close dialogue with Andøy Municipality as a planning authority. Another example is NAROM AS, a national centre for all levels of education in space-related training. The aim of that grant is to support the work of NAROM in contributing to the recruitment of Norwegian space activities and creating a greater interest in the real and technology sciences. By 2020 there will be 16.2 million. kr, same as in 2019. Andøya Space Center has established the Andøya Spaceport subsidiary to develop plans for a small satellite launch base on Andøya. In February 2019, the company submitted an application to the Ministry of Agriculture and Fisheries for 1.3 billion dollars. kr in equity to establish such a base. A revised application was received in November 2019. The Ministry then gave feedback on the issue of State aid law in the application. In view of this, the Andøya Space Center has drawn up a revised application received by the Ministry of Agriculture and Fisheries on 1 April and is now in dialogue on the examination of the further application. The matter has a high priority for the government, and we will do what we can to avoid delays.
ParlaMint-NO_2020-05-06.ana.ud68e923	The answer is that there's a lot of exciting happening on the Andes. These are many good initiatives. That's good intentions. That's good projects. However, local communities are built through concrete decisions and decisions. Andøya Spaceport, mentioned, national drone centre, aerodrome release, port improvement, possible establishment of a new aviation school, etc., are good projects. And if Andøya gets full bangs on all the balls that are now in the air, it's going to have huge ring-effects, with hundreds of new jobs, but it's not likely that it's going to be like this. But if all the balls land on the ground, is there someone who has the overall look and says that maybe we should pick up at least one or more of these balls anyway?
ParlaMint-NO_2020-05-06.ana.ud68e930	As I just explained, many departments are involved in the conversion work on Andeya. The Ministry of Transport is involved, the Ministry of Knowledge is involved, the Ministry of Industry and Fisheries is involved, along with my own department. That is also why I agreed to a meeting with the municipality to be briefed on the plans they had. There were very exciting plans, both in aquaculture, in tourism and not least in research and experience centres. I can assure the representative that in the government we are making decisions together. As a government, we are very concerned about securing the future of the community on Andeya. That's why a lot of departments are involved and follow up on this case.
ParlaMint-NO_2020-05-06.ana.ud68e937	But time goes on, and the Andey community also needs some clarification. And the Andøya Space Center is a good example of a project that has come in a critical phase, where the state has to answer whether they're setting up with the necessary equity this is about. So I'm also very excited about the revised budget, which is presented next week. I have no expectations that the Council of State will bring some good news here, but I can be clear that the expectations as such are there. And then we'll have to wait until Monday to get the answer. But I hope it'll be a day when we get confirmation that at least there's something that solves for the Andey community. So let me finish: does the Council agree with that?
ParlaMint-NO_2020-05-06.ana.ud68e944	Governments agree that it is very important to create new, forward-looking and secure jobs in Andøya, and therefore I am very pleased that there are different alternatives that lie on the table from the municipality itself. But Andyya Spaceport is a complicated matter. It is important here that the legal basis for granting any State aid remains. It is important that we are sufficiently confident that the business model will generate sufficient revenues and be economically sustainable in the long term. So the time when the government can make a decision in the matter depends on the outcome of assessments that are now being made, among other things. on State aid and commercial returns and risks. But here, as said, the NFD is in very close dialogue about this application and prioritises it very high.
ParlaMint-NO_2020-05-06.ana.ud68e954	‘The Minister for District and Digitalisation, to the evening post on 28 April 2020, says that Norway should take less account of the environment and that the government has had the luxury of saying no to tens of thousands of jobs for environmental reasons. In what ways will we see less emphasis on environmental considerations, and can the Council of State explain to what tens of thousands of jobs the government has said no for environmental reasons?’
ParlaMint-NO_2020-05-06.ana.ud68e961	The rendering of my statements is not correct. But I want to start by saying that in the Right, like in other parties, we are well-informed about the work on a new party program. Developing policies and finding answers to Norway’s challenges in the future is demanding in itself, but extra demanding in the situation we are now facing, with hundreds of thousands of outlawed companies and bankrupt companies. The more important it is to address the difficult debates, including debates where the parties' members emphasise different needs. It may not be all parties that facilitate internal debates in the public domain, but in the right we are concerned that debates are a good thing and a part of shaping the good policy measures at the end. In the case to which the representative of August refers, it is clear that I am speaking as the leader of the party's programme committee. Now I'm not here in Stortinget as the party's programme committee leader, but I still choose to answer the question. The title and the insight into the matter that Norway has to take less account of the environment must be provided by the Evening Post itself. I also think the Aukrus representative read what I actually said. There is no doubt that I still believe and will believe that there is no contradiction between creating jobs and pursuing a good climate policy. The government is doing well with the green shift. We're going to invest in green, digital jobs. We will continue to focus on green technology development and a tax system that rewards green migration. My wish with the debate is to make the need to create jobs visible at a time when it is more demanding than ever. The fact that people should have a safe job to do is the most important thing politicians can do right now. The workplaces provided by industry and nature-based industries will be important for creating jobs throughout the country. The use of nature in a sustainable way is the basis for many people's jobs. It does not in any way mean that natural interests are to be sacrificed, but at a time when many are out of work and are concerned about whether they will have a job that pays the bills and the mortgage, the debate on job creation will come in a completely different context, where the growth/protection debate will be slightly different from what we experienced when the unemployment rate was 3 pst., not 10 pst. In recent years, we have seen many examples of industry being attacked and jobs being lost. I experience a frustration out there that is now reinforced by the high unemployment rate, and that the exploitation of natural resources is all too often discussed with negative signs. In the future, we will have to look much more closely at the jobs that the natural industries can provide us with.
ParlaMint-NO_2020-05-06.ana.ud68e974	I appreciate the fact that the Council of State is trying to answer, but she does not answer what I asked questions about. She says she's mistaken. Well, in the quote, which is a direct quote, it says: ‘Nearly no other country in the world has been able to do so, say no to tens of thousands of new jobs. But we do." And on the other hand, “Now we don’t have that luxury anymore.” At a time when there are half a million people who are out of work or who have been permitted, I think they are interested in knowing which tens of thousands of jobs the Council of State and her colleagues in the government have said no to. That's why I ask again: Can she explain at least a few thousand of those jobs – if she doesn't come up in tens of thousands – she has said no to as a councillor, which is what she has said?
ParlaMint-NO_2020-05-06.ana.ud68e991	This was a play I had as the head of the program committee in the Right. I talked about Norway having been able to take on the luxury of saying no to jobs in nature-based industries over many decades, which unfortunately we see in Tromsø now, where a radicalised Workers' Party has been put in place by the Green, SV and Red Environmental Party. They're going against a travel life project, Arctic Center, that was supposed to build alpine hills and travel life centers. The working party has now put an end to these plans with objections and justification related to untouched nature and open-air life. This project, as I know, would have created 100 jobs in connection with it, but also indirectly, through trade and service. Such examples, where the Labour Party sets its feet down to develop new jobs around Norway, we see every day. We don't have that luxury anymore. We have to discuss how we can give people a job to do, whether it's within the industry. [[President clubs]]
ParlaMint-NO_2020-05-06.ana.ud68e998	Then you're out of time.
ParlaMint-NO_2020-05-06.ana.ud68e1003	That was a strange answer. The Council of State therefore blames its entire play on a regulation decision that came into a municipality in Norway after she had played out. There is no other way to interpret the council than what she said was completely wrong. This government has not said no to tens of thousands of jobs. She's trying to create a false contrast, which she's also done before. That's why this case gets extra serious. She did the same when she said that it was said no to tens of thousands of jobs when the government she herself is part of said no to follow up on the Lofoten, the West Pole and Senja. I totally disagree with the premise of the Council of State. There is no contrast between environment and work. On the contrary, they are interdependent. We can't save the environment if we don't give work to everyone. But we can't create jobs either if we don't take into account the environment. Then I agree much more with the leader of the international trade movement, who has said that there are no jobs on a dead planet. I hope that the Right is taking over, and that they take away the contradiction that the chairman of their programme committee has put up, but for which she has fortunately been corrected by the Prime Minister in retrospect.
ParlaMint-NO_2020-05-06.ana.ud68e1010	In the case of LoVeSe, or Lofoten, the Westphalian and Senja, and that this government has chosen not to proceed with a knowledge acquisition there, the Right initially wanted an impact assessment. Let me mention examples of hydropower, wind power, forestry and mineral industries – here are many jobs that have been lost in total, over many years, because we have had so low unemployment. When I meet rapporteurs and other trust-elects in the Labour Party outside the country and in the districts, they also talk about this protection/growth debate. It is felt that there are clear lines of conflict about this also in the Workers' Party, namely between those who stand on the side of industry, who want jobs, who want to use natural resources, and those who allow other considerations to weigh much more heavily.
ParlaMint-NO_2020-05-06.ana.ud68e1018	I allow myself to ask the following questions to the Minister for Municipal Affairs and Modernisation: «The aggregate intention is not only to compensate municipalities for the unreasonable effects of tax failures, loss of income and additional expenditure, but to compensate them unconditionally. It is announced that major investment projects will be put on hold with the effects it will have. The Council's response is a report in April 2021. In the past, the government announced estimates in the revised State budget. Does the government believe that municipalities can wait until 2021, clarifying the costs they will have to bear with the consequences?’
ParlaMint-NO_2020-05-06.ana.ud68e1027	The government has been very clear that the state will provide the municipalities at this demanding time. Of course, we will follow up the Stortingen decision on compensation to help the municipal sector deliver good services to its citizens even after the Korona crisis. Fortunately, there is no urgent lack of money in the municipalities now. The municipal sector has already received increased appropriations of almost 6.5 billion. kr as a result of the outbreak of the virus. In addition, the employer’s fee has been reduced, giving the local government a saving of about 2.2 billion. kr. There is also reason to believe that wage growth will be significantly lower in 2020 than estimated in the State budget, leading to a significant increase in the scope of action for the municipal sector in isolation. The government has announced that we will provide an overall assessment of the economic impact on the municipal sector in the revised national budget for 2020. However, as the Korona crisis is not over, that assessment will not be final. For example, we want to do this. do not have a final statement of the tax intake in 2020 before the beginning of the next year. We don't know how much pay will be until after the salary is settled. And most importantly, we don't know how long we have to live with extraordinary measures to limit infection, and what effect these measures will have on economic activity over time. Therefore, the review of the revised national budget will be a preliminary assessment, and we will have to come back with both further assessments and possible action when we know more about the final impact. I am dedicated to having a good dialogue with the local government sector. That is why I have invited KS to join a working group to identify the economic consequences of the virus outbreak. The working group shall submit a final report by 1 April 2021. KS’ own estimates of the effects of the crisis crack from 12 billion. DKK to 20 billion kr. It shows that there is a need to examine the figures in order to take appropriate action on any new measures. There is also wide variation between municipalities. Although the working group has a long-term time perspective, this does not mean that municipalities have to wait until 2021 with clarifications as to the costs to be covered. Until April 2021, the Group may provide interim reports and input reports to enable the government to assess on an ongoing basis the need for new measures. In that case, we'll come back to Stortinget with it. The representative of Nordlund indicates that investment projects in municipalities are being put on hold as a result of the coronary crisis. My clear call to the municipalities is to implement the projects that are already planned and will in any case be implemented. At the same time, I think it is important to stress that this crisis is so serious that no one will be unaffected by it, nor the municipalities. The most important thing for me is that municipalities and county councils should be able to deliver good quality services to their inhabitants both during and after this crisis. I'm sure the Storting and the government together will take care of it.
ParlaMint-NO_2020-05-06.ana.ud68e1044	I'm getting seriously worried. The Council of State here makes it quite clear that he has not received the latest estimates from the KS. They came so far just a few days ago. The last estimate is 18 billion. kr, not 12 br. kr, to which the Council of State refers. That's a pretty significant excitement. So this is about jobs. It is about construction and it is about necessary investment in public infrastructure. If the municipalities now cut their planned investments in spite of the calls made by the Council of State, and because the Council of State here is unable to provide security to compensate for the costs caused by the coronary crisis, yes, it will actually lead to the loss of jobs, we are going to lose activity. This means that there will be more unemployed in the future, especially in the construction sector, which are among those implementing important public projects. Then you are dependent on the order access, and that order access is now experiencing an overall industry, including in the feedback from the municipalities, going down.
ParlaMint-NO_2020-05-06.ana.ud68e1051	The representative Nordlund interprets very much from my post for which I do not think it is a basis. I have been very clear that the government will present the municipalities at the demanding time they are in, and of course we will follow up the Stortingen decision on compensation. That's what I started my article with. So I think I've answered the issues that the representative Nordlund is dealing with at that point. Then we're all busy with jobs and that we're going to create activity in the economy. The government will return to the Storting with which measures should be put in which sectors and at what time to contribute to the economic activity following the crisis. Right now we're in a phase where we have the brake hard pressed in. Of course, it is necessary to adapt the measures to be taken to prevent infection at all times. However, the representative can be sure that the government will follow closely and will follow up on relevant actions over time.
ParlaMint-NO_2020-05-06.ana.ud68e1058	I think I owe it to the Council of State to draw his attention to the fact that the Storting has expressed a much stronger intention of compensating the municipalities and the counties for services throughout the country, than the decision by the Council of State to which it refers. This was done by the Stortinget in a unanimous finance committee by 31 March. It goes significantly beyond the decision to which the Council of State refers. When talking about setting up, it doesn't necessarily mean anything to the municipalities when, in a few weeks' time, they are going to adopt their tertiary reports and plan which investments they are going to make as planned and which they are going to wait for. This will mean fewer new health homes, there will be fewer school buildings and less investment on the way, and it will mean that more people will be unemployed because the order entry into the construction industry will be delayed. It is worrying that the Council of State has no greater understanding that local politicians are sitting there watching that there is no money coming. The government says you just have to have a review, you promise to set up, but you don't make any real promises that you're actually going to cover the extra costs. It will increase unemployment.
ParlaMint-NO_2020-05-06.ana.ud68e1065	I would recommend that the representative, Mr Nordlund, await the presentation of the revised national budget before drawing the conclusions he makes, because I do not think that is the basis for the conclusions drawn by the representative here. Then it's not true that KS' estimate shows 18 billion. kr. The correct thing is that KS has a voltage in its estimate of 12.5 billion. kr and 19,5 brd. kr. It just shows the importance of having to go into these figures in order to figure out what numbers are right, and to have a unified understanding of what the actual extra costs are, what the actual small incomes are, how the compensation that has already been provided, and what measures may need to be taken over time. The representative Nordlund is powerful in his predictions, but they are nothing but predictions. It's easy to predict, but it's kind of hard to get right. That's why we have to go into this material thoroughly with KS. We're already working on that.
ParlaMint-NO_2020-05-06.ana.ud68e1077	‘In the debate on the National Transport Plan in June 2013, Knut Arild Hareide said about Fornebubanen: ‘It is a great paradox that we are discussing what to do in 2013 at Fornebu. We should have done that a long, long time ago. That's why I'm very impatient to get started." At the time of accession, he said that climate was his main priority. How do these two statements correspond to the fact that the Council of State now, in its position, does not intersect with important steps to realise the Fornebuban but leaves its fate connected to the realization of a traffic-enhancing E18?’»
ParlaMint-NO_2020-05-06.ana.ud68e1084	I'm impatient after the Fornebuban is about to start. Just in order to secure funding and progress, the Fornebuban of this government was pointed out as one of the so-called 50/50 projects, where the state will contribute 50 pst. of the costs. State has already allowed large resources to plan the project. The project is discussed in both the concluded urban environment agreement between Oslo and Akershus from 2017 and in the negotiated urban growth agreement from last summer. The State is under the co-financing agreement and has not delayed progress. There has been a local process after the quality assurance has been carried out to look at savings in the project, for example. moving Skøen station. This has meant that the state has so far been waiting for more information about what the government bill should be half of. There's nothing new about the E18 and the Fornebuban. Both projects are part of a collective community in Oslopackakt3, for which it has our cross-political agreement. The Fornebuban and the E18 project are therefore politically and physically linked. Both parts will provide the metropolitan region westwards with a great boost and entirely different opportunities for cycling, public transport, clean air and urban development. At the same time, we have a completely necessary development of a national transport year that the whole country is dependent on, whether we want it or not. Both projects are part of Oslopackak 3-einheita. It is natural that when one of the projects seems to fall away, it will have consequences for the packages themselves and the other projects. This also applies to the Fornebuban. The projects are also physically linked by the E18 project containing a so-called western link that provides a new and important connection to Fornebu. Without the realization of the E18 project, this new advent to Fornebu will not come into place either. This I know that the basic owners who are going to contribute heavily to the funding of Fornebubanen have reacted. These projects are linked because they are physically linked. They are politically linked, and the funding is really linked, but I'm glad that, after so little time in my current role, I have had the opportunity to put forward a solution to the Fornebuban. My wish is that we should be happy with that, because we need the Fornebuban.
ParlaMint-NO_2020-05-06.ana.ud68e1097	I thank you for your answer. I am very pleased with the positive attitude to do something for the Fornebubane that the Council of State expresses here. But if the Oslopak negotiations are going on, the Council of State could imagine withdrawing the proposition that is now in Stortinget, and taking the initiative for new solutions that can be agreed upon by all parties, or, alternatively, dissociating Fornebubanen and signing the financing plan that lies there, which has been on his table for more than ten months, do I think? Perhaps the Council of State sees that he has democratic challenges when he keeps an external view, at least seemingly, which is contrary to the view of the majority both in the Gulf and in Oslo, a region with about 2 million inhabitants?
ParlaMint-NO_2020-05-06.ana.ud68e1106	What I see is that we could get security for both the E18 project and the Fornebuban through the negotiations. Now these negotiations are still in progress. The parties will meet on Friday, and I hope for a solution. Then we had security, security, for both projects. So if it doesn't happen, it's also a challenge, because these projects have been connected. We know that Bærum municipal government has made demands. For example: to comply with the requirement of 11000 dwellings, they have requested the arrival of a Fornebuban, but they have also required a western link, an E18 exit. The basic owner’s contribution, which is intended to provide funding here, is a basis for it, as a commitment. That means that the solution that I have about us gets E18 and Fornebubanen, I don't have if the E18 project isn't there.
ParlaMint-NO_2020-05-06.ana.ud68e1113	TØI, the Institute of Transport Economics, has, as the Council of State is well aware, had a research project on what the enlarged E6 had to say for traffic. It was recently mentioned in the media. The results are clear. There have been queues again, but on a much higher level with the number of cars. All research, and to the extent of logic, suggests that increased road capacity increases traffic. Everything suggests that the exact same thing will happen on the E18 westward with existing plans. How can a government council that wants to raise climate issues go in for such a solution?
ParlaMint-NO_2020-05-06.ana.ud68e1118	I'm very little impressed by how those who put in the political leadership before me raised the E18 project. It has been raised as a project that I experience is different from what it really is. We're building a highway, but we're getting fewer passageways with the new road we're building, than the one that's there today. So we're building a lot more distance with express bike paths. This is also an urban development project, and when we see it, for example. what Bjørvika has experienced in this city we are now, with the motorway built in the tunnel, I think that the same urban development thinking should also be at the root of Bærum. So I think that project is a very good development project.
ParlaMint-NO_2020-05-06.ana.ud68e1126	Then I got trimmed a little today, and that's good. I was in another part of Stortinget, and suddenly I was informed that I was going to ask questions. Now I'll try to read it without breathing: ‘The government has asked the government to ensure that public tenders in road, rail and fairway are designed in such a way that Norwegian operators have a real opportunity to compete for the projects. Norwegian entrepreneurs themselves strongly warn that public contracts are increasingly being designed in such a way that Norwegian companies are losing against foreign companies. On the other hand, the Council of State writes in its answer to questions to written answer No. 1353 that ‘it is very rare that Norwegian operators do not compete with international players’. [[2019-2020]] [[...]] Does the Council of State wish to strengthen the Norwegian construction industry through new grips?’
ParlaMint-NO_2020-05-06.ana.ud68e1135	I note that Norwegian entrepreneurs are doing very well in the competition against foreign operators for a large transport project in Norway. In 2019, for example, 21 out of a total of 23 of the State Road Administration and New Vegar's major contracts for what can be considered Norwegian contractors, 21 out of 23 projects. With large contracts, one in this context means more than 100 million contracts. kr. This goes into what has been a clear trend for several years, namely that the vast majority of contracts for the construction of a transport project go to Norwegian entrepreneurs, and I am pleased about that. I have asked transport companies to follow the follow-up of Stortinget so that supply is designed in such a way that Norwegian contractors have a real opportunity to compete for the contracts. This policy will strengthen Norwegian companies, and thus economic development in Norway, and is a policy government closely follows up. Governments in the transport sector have shown that they take good account of the Norwegian market in the design of new projects to be launched. I am concerned that we are still working to facilitate a good dialogue between the state builders and the Norwegian construction market. This is important to ensure that information, knowledge and development of contract strategies are known to both the builder and the contractors. Through this dialogue, the Norwegian market will be better able to prepare for competitions before they are released. The builders and Norwegian entrepreneurs have a common interest in facilitating as good a competition as possible. The government takes this policy very seriously. I believe that the work that is now being done in the transport sector suggests that Norwegian entrepreneurs will be very successful in the competition with foreign operators in the future.
ParlaMint-NO_2020-05-06.ana.ud68e1144	In the context of the package of measures adopted in Stortinget before and at Easter, it was important to set the wheels in motion. In the first place, there was income security and security for people, but then it was also getting the economy going. Among other things, we sat down. Of, if you're counting on broadband as part of your travel bet, $1150 million. kr to various transport measures to the construction industry for activity – classical countercyclical policy. Then we've seen that Avinor has unfortunately tightened up his projects, where you slow down the activity of the economy. But then we got the decision that one should try to help the Norwegian construction industry, and one of the things you get a lot of input on is that too big a project makes it demanding for some Norwegian operators. The Council of State will consider the breakdown of major projects, such as: The Hålogaland road, so that it is possible for several local and national actors to participate in the different tenders?
ParlaMint-NO_2020-05-06.ana.ud68e1151	It is quite right, as the representative, Mr Schlagsvold Vedum, says, that we have got quite a lot of money for the transport sector and transport. Yet, in the 1.1 billion. kr will be the smaller project. There I think they're all, most of the projects are just going to be Norwegian entrepreneurs, because they're smaller. So it is quite right that the challenge has been that some of the projects have actually become bigger. This means that competition is also more demanding. It is also the case that the Norwegian plant industry has at some point asked for a larger project, and now the kind of signal that I am hearing here is also coming, that we should perhaps look at being able to split it up. It's something that we so absolutely should consider. I am concerned that in the projects that are in progress, I will be careful with that. For example, when it concerns the Hålogalandsweg, I know that there are also Norwegian entrepreneurs who are assessing that particular plant.
ParlaMint-NO_2020-05-06.ana.ud68e1158	The Norwegian public sector is a very large buyer of services, not least in view of the Norwegian construction industry. Just how we design purchasing policies for the state, municipalities and states has a huge amount to say about how we can develop value creation, jobs and industry in Norway. Not least in the district council of Hareide, political action has a lot to say. Therefore, I hope that the idea that was especially dominated at the beginning of the Solberg government, namely, very large plants, is being given more and more feedback from many in the construction industry that they believe it is impossible to put them on. You have to go back to the time when you split up some of the projects. In decisions taken in Stortinget, there was an additional point that the government parties got into: Norwegian operators are good to use, but it must not be more expensive. The division of projects can make things a little more expensive, but the social benefits can be increased by enabling several Norwegian plant actors to participate in the competitions. Does the Council of State Hareide think that it may be worth the price, that by splitting up projects you might make some of the projects more expensive, but you get more Norwegian players, in order to have growth and development?
ParlaMint-NO_2020-05-06.ana.ud68e1165	We're now dependent on keeping the wheels running. I think everyone is aware that the Norwegian plant industry, which is so competent and competent, is being commissioned. That's our wish. It has to happen in a neat way. I have taken with me the signals that, while a construction industry in Norway asked for a larger and larger project for some years back in time, they have now pointed to exactly what Battle Force Vedum here points to, that we should perhaps look at doing the projects a little less. That's what I really think we should consider, not least in the time we're in now, where we need activity in our own country. But it has to happen in a neat way. I also mean that we have to be concerned that the funds that are our common means are spent in the best possible way. It's in our interest. But we are so absolutely looking at what we can do to ensure that the Norwegian plant industry is involved and gets the assignment we want. What I mean is a win-win situation.
ParlaMint-NO_2020-05-06.ana.ud68e1173	‘The Covid-19 crisis affects a number of industries, including the green industries that are the foundation of the country’s future transition. Do the Councils see the need for exceptional measures for forest and wood industries in the light of the covid-19 crisis?’
ParlaMint-NO_2020-05-06.ana.ud68e1180	I share the representative's commitment to the forest industry. Forestry, forestry and wood industry are affected by the Korona crisis, as are all other industries. Forestry warned early that access to foreign labour would fail, for example, which meant that one had problems with the forest season. This made us change when it comes to foreign labour, in order to ensure this. Those who were already here got to be longer, and we opened up to EEA citizens. In addition, we made changes to the funds within the Agricultural Development Fund, the LUF, together with agricultural actors and organisations, to find funds that would help one to obtain an exceptional contribution to forest planting. The grant scheme was to compensate for additional costs due to a lower number of certified foreign seasonal workers to Norway just then. In addition, the government has, as I said, amended the regulations for recruitment. The Covid-19 situation, the Korona crisis, has also led to a decline in construction activity. The decline is growing rapidly in the value chains of forest and wood industries. Sawmilling needs to reduce the production of wood and demand for less wood. It also means that one gets timber in stock, precisely because one does not have the same consumption. Therefore, a good number of forest contractors and logging teams must stop the logging of forests. These contractors are essential for the logging in Norway. Many of the general measures included in the packages through the Storting also apply to the forest and wood industries. However, reduced production on a large scale will lead to reductions in raw material access to the pulp mill industry. It is also an important industry for us. That is why I want to establish measures precisely for this. I showed yesterday that in the revised national budget we have put on the table 50 million. kr – both because we want the wheels in motion, not least for the contractors, and to ensure that one has a mass drive. This is also a tremendous opportunity to drive and clear forests to provide better quality in the long term to the trees that are to be left, in order to get better growth opportunities and better quality and thus higher price when a hopefully returns to better times.
ParlaMint-NO_2020-05-06.ana.ud68e1193	I also registered that yesterday the government left a package on the table that comes in revision. That is good, so I thank you for that answer, even though the Centre Party might wish for a more comprehensive and wider package for the forest industry. But it's important for the situation we're in, and it's also good that we get thinning of the forest. At the same time, we know that many already have major challenges. In April, half of Norway’s forest layers stood – that is, the machines stood. I also saw that the council stated that she loves large machines, after she had driven a forest machine yesterday. It's good we're more people who think it's fun. But these are also machines that bind up a lot of capital, and that shouldn't be too long before it creates huge financial problems for those who own and run them. Then the question is: The package that was presented yesterday comes under review and will be adopted in June. But many already have major financial problems. From when can these instruments be expected to enter into force?
