ParlaMint-NO_2020-03-04.ana.ud555e28	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2020-03-04.ana.ud555e958	I don't know if the council has been in Inner Namdal, but if you combine the Highlands, the Lierne, the Namskogan and Røyrvik, you get a municipality with an area of the size of Westfold. Then I have to ask: why should you do that, when the local authorities, with 1,400 inhabitants, have today a primary school that is absolutely amazing, and where they actually serve the kids a hot school meal every day and have a sports park near primary school? No one complains at primary school in Lierne, with 1 400 people. The highlands, which have 2,500 inhabitants, have cut almost the highest on the Municipal Barometer year after year because of the good welfare services they provide to their inhabitants. Because they have good kindergartens. No one's waiting in kindergarten. They have a good primary school, and they do not at least have a good care for the elderly. When municipalities with the number of inhabitants provide such good services, what should be the reason for them to merge? At least it can't be the number of home nurses or teachers that the council here refers to.
ParlaMint-NO_2020-03-04.ana.ud555e969	I am the first to rejoice that municipalities, whether small or large, provide good services to their inhabitants, and that the inhabitants are satisfied with those services. This does not mean, however, that the municipalities are necessarily well equipped to meet the developments we are now seeing, with a population development where fewer and fewer people of working age are to provide more and more people who are not in work. I'm busy listening, not only to the Center Party people who have offices in Oslo, but also to people who have their shoes on out there. The councillors have given clear advice that there is a need for continued community reform. Even local central party politicians do that, for example. Lise Marie Sommerstad from Sandefjord, who, in conjunction with the merger with Andebu, said: «We've got bigger relationships and larger and better trade unions in the merged municipality. It's some of the things that have mattered most to me." Perhaps we should listen to just local central party politicians in this process as well.
ParlaMint-NO_2020-03-04.ana.ud555e981	People elected in Oslo, councillor!
ParlaMint-NO_2020-03-04.ana.ud555e986	The next question is from the representative Marit Knutsdatter Strand and goes to the Minister for Municipal Affairs and Modernisation.
ParlaMint-NO_2020-03-04.ana.ud555e994	The question is: ‘The Council of State writes in the Address Paper on 21 February 2020 that the municipal reform must continue in order to achieve coherent urban housing and labour market areas and that ‘120 municipalities have fewer than 3000 inhabitants. For many of them, the challenges are not a future scenario. It is a reality.» Which municipalities in large-scale electoral district Uppland do the Council of State think should be merged?’
ParlaMint-NO_2020-03-04.ana.ud555e1001	I could in particular refer to my previous answer. We could have given ourselves there, but since there are now a number of questions about exactly the same thing in a row, I'm still going to take the opportunity to elaborate something on Uppland. As I said in my reply to the representative Arnstad, the work on municipal structure is based on volunteering and local initiatives, in line with the Stortinge decision of 7 December 2017. It is therefore up to local politicians to consider whether they want to address the question of who of the neighbours they want to talk to. This also applies to the local government of the former Uppland State. I think they should take this discussion. I do not want to point to specific municipalities in former Uppland that I think should merge, but I would like to remind the representative of the recommendation from the county office in the then Uppland in 2016 that shows that there is a need for structural changes there as well. The recommendation stated: ‘Based on Stortinget’s objectives with the reform, Fylkesmannen will recommend a municipal structure in Uppland consisting of eight to ten municipalities.’ The municipalities of the former Uppland County will also meet challenges in the form of, among others,: Population decline and population ageing in the future. These don't go over, and they'll be heavier to meet for the smallest municipalities. I'm not saying that community reunification will solve the challenges alone, but building stronger municipalities will make municipalities better able to provide services to the citizens and to develop their municipality in a good and sustainable way.
ParlaMint-NO_2020-03-04.ana.ud555e1010	The problem is that the general approach of the Council of State shows little local knowledge and also little interest in local conditions. The Council of State further writes in its statement: ‘The government has decided that local initiatives and voluntary action should form the basis for the municipal reform during this period. Of course, this is the government’. The municipalities of Oppland made extensive efforts to assess mergers and consequences and to conduct referendums. Freedom-based — what instruments will the Council of State use to force new initiatives? And when he refers to the State – is the State's assessment a local assessment independent of the government's centralisation tool?
ParlaMint-NO_2020-03-04.ana.ud555e1017	This is not about centralisation. It's about the opposite, that's to enable the municipalities to deliver good services to their inhabitants. I feel that the Centre Party is more concerned with the structure of the municipalities than with the services of the municipalities. I think that's very unfortunate. We can't stick our heads in the sand and ignore that as a society we're going to face some major challenges in the years to come. The question then is, is the structure well suited to meet these challenges? My answer to that will be no. It's not just based on my own reflections about this, it's also based on just local input, including. from the State, as you might say, well know the local conditions. The County Council made its recommendation in 2016, and it is clear. But I hear no response from the Central Party on how they thought the municipalities would meet challenges in the future, other than that everything should be the way it was before.
ParlaMint-NO_2020-03-04.ana.ud555e1022	There is no doubt that, as a central party, I am quite concerned about enabling the municipalities to provide good services to the citizens, but unlike the Council of State, it is obvious to me that there are far more instruments than the municipal structure that need to be put in place to ensure that. As we look at the relocation and birth rates of North Norway and Sogn and Fjordane, for example, which are in the news today, national policies have everything to say. For example, if the Council of State thinks that housing and working areas should be merged, it believes that: The councillor that Lillehammer shall devour the neighbouring municipalities of Øyer and Gausdal, or shall Gjøvik join together with Gran and Søndre and Nordre Land? And what about the Valdres municipalities of Vang, West Slider, South Aurdal and Etnedal, which all have under 3,000 inhabitants? Will the Council of State merge these municipalities?
ParlaMint-NO_2020-03-04.ana.ud555e1027	As I have said repeatedly – that is why it should be unnecessary to respond to it once more – community reunification will be based on volunteering. So I'm not the one that's merging municipalities, but municipalities that want to merge themselves. I believe that municipalities should assess whether the structure they have is appropriate to meet the challenges ahead. So the name of the representative is Gjøvik. I just made a border adjustment between Vestre Toten and Gjøvik municipalities. There the municipal border went through a building in Raufoss Industripark. These are areas that grow together and where the inhabitants do not relate to the municipal border because it is a coherent housing and labour market. I believe, regardless of that border adjustment, that the municipalities of the Gjøvik region should look at the possibilities of merging. It has to be up to them, but it makes sense on behalf of the inhabitants that they do it, because this has grown together into one area already.
ParlaMint-NO_2020-03-04.ana.ud555e1037	‘On 21 February, the Council of State in the Address Paper wrote that the municipal reform must continue. He believes, among other things, that the challenge facing local authorities is great because climate change is to be limited and sustainability targets are to be met. He writes: "120 municipalities have fewer than 3000 inhabitants. For many of them, the challenges are not a future scenario. It is a reality.» In what way do small municipalities prevent tackling the climate challenges, and how does the Council of State think that community mergers will save the climate?’
ParlaMint-NO_2020-03-04.ana.ud555e1044	I'm not saying that community reunification will save the climate. What I'm saying is that we have good evidence that many small municipalities have challenges in having sufficient capacity and competence to solve all the challenges they face. I have previously mentioned the documentation to the statesmen who are in the 2016 recommendations. Last year, telemark research conducted a study on how municipalities with less than 3,000 inhabitants play a role as a generalist municipality. The report shows that the smallest municipalities already have small and vulnerable organisations. Therefore, these municipalities do not have sufficient capacity and competence to operate the development of services in line with expectations and legal requirements of national authorities. Many municipalities lack up-to-date planning, which is both required by law and a prerequisite for good social development. For small municipalities it will be important, in my view, to pursue active and good social planning in order to achieve good social development. The report of Telemark research also has a survey of consultants in these municipalities with less than 3000 inhabitants, and they say that they do not have sufficient competence for community and spatial planning. And the jobs are not considered attractive enough. The positions in these fields are allocated to a wide range of tasks and responsibilities, and if they are able to recruit, it is often the newly trained person who does not remain in the position for a long time. I think we should have municipalities that have an administration that has enough capacity and competence to deal with current and future challenges, inter alia. climate, preparedness and environment. We know that several of the small municipalities do not have today.
ParlaMint-NO_2020-03-04.ana.ud555e1053	That was a lot of nice words. That's often the way we talk about climate, that we take something that's the most basic thing we have, that's nature and how we use it, and make it a big question about plan, construction works, competence environments and a lot of good things. But it was the council that even brought the climate into the discussion through its chronicles, so if you're going to look at what actually matters to the climate and the environment in a municipality, it might be transport. If you have bigger municipalities, it could mean that people have to drive more, and that's probably not very good. The central party believes that the municipal structure is important, because if you combine municipalities, the services will often also be centralised, and it is not very good that you have centralised services, because then people have to drive more to get to the services. Is the Council concerned that increased transport needs would be negative if we were to support a large-scale community merger, i.e. in the context of climate change?
ParlaMint-NO_2020-03-04.ana.ud555e1058	There is no natural law that says that a larger municipality has an increased transport demand. But the logical thing is that a larger municipality can easily have a more coordinated land policy, which can help to actually reduce transport needs over time. But there is no doubt that solving the climate challenges is also going to require that we have good competence in the municipalities of the country, and there is no doubt that many small municipalities already have problems attracting enough skills. I am concerned that the municipalities should be attractive, and that a basis should be laid for them to be attractive, and not least a basis for more people who may have left the municipality to study, looking attractive to move home because there are strong, good professional environments within the municipality that can offer two good jobs to a family that wants to establish themselves. I notice that several Central Party politicians around the country also see this point, but here at Stortinget, the Center Party does not seem to recognize this.
ParlaMint-NO_2020-03-04.ana.ud555e1063	The Council of State points out that coordinated land policy is important in order to limit climate change and that this is an argument for community convergence. But if you look at what it's actually talking about here: it's small municipalities, which can be so small that it's less than 3,000 inhabitants. Then it's about municipalities where people live quite spread, there could be people with just a few hundred people, or maybe a few dozen. It is not those who are a threat to climate change. It is not that faulty spatial planning in our smallest municipalities is a threat to the climate, I believe. The only thing I can imagine you could achieve, it had to be – if you have an explicit goal about it – that you want to centralize people so that they live more closely, in the center, and don't live spread. It's the only thing that will make a positive contribution to the climate, if you're going to base the Council of State's argument. So my question is, is it a goal for the Council of State that people should move to central areas, that it should be a measure of spatial planning? Then you want to depopulate the villages.
ParlaMint-NO_2020-03-04.ana.ud555e1070	Firstly, climate change is about more than reducing greenhouse gas emissions, it is also about climate adaptation, and there is no doubt that many small municipalities will face major challenges with climate change in the future. It will require considerable competence to adapt to climate change and prepare for what is coming. It is also the case that half of the municipalities in the country state that lack of competence is a major challenge. In the smallest municipalities, this challenge is the greatest. If we're talking about climate, or if we're talking about other important disciplines, it's important that the municipalities are able to provide good services to their citizens. I hear no answer from the Central Party on how the municipalities will deal with the challenges they face in the future, other than turning the clock back and looking back. That is not the answer for the future. We need to look forward. If we are to maintain the qualities of society that we all appreciate, we must be willing to change. It's also at the heart of how we're going to solve these challenges.
ParlaMint-NO_2020-03-04.ana.ud555e1080	«In articles in the Address Paper on 21 February, the Council of State wrote that there are still too many small municipalities and points specifically to municipalities with less than 3000 inhabitants. South of Trøndelag, the municipalities of Osen, Rennebu, Holtålen, Tidal and Rindal have fewer than 3000 inhabitants. Does the Council of State mean that these municipalities must join one or more neighbouring municipalities?’
ParlaMint-NO_2020-03-04.ana.ud555e1087	First, I would like to say that it is positive that regional newspapers are read by representatives from all over the country. It's really honor to the Address Paper for them to reach everyone. That being said, it is not so strange that it reaches the representative, Mr. Greni, but she is obviously not alone in the Central Party to have read the Address Paper. As I have pointed out in previous answers today, we have many small municipalities in Norway, and this government believes that community reunification is the best solution for small and vulnerable municipalities to be better equipped to deal with today's and tomorrow's challenges. In order to repeat it, in the event that Mr. Greni did not get it, further work on changes in the municipal structure is based on volunteering and local processes. The County of Southern Trondelag wrote in its recommendation in the autumn of 2016 that Osen, Rennebu, Holtålen, Tidal and Rindal should join one or more of their neighbouring municipalities in the long term. Also in this case, the County Council's recommendation can be a good starting point for local discussions. The discussion about the municipality has the necessary prerequisites for addressing current and future challenges, should be taken into account in the individual local government and, as I have pointed out earlier, in the planning processes. I know that the Center Party is concerned about the loss of proximity and local democracy in the municipalities. I have a great deal of understanding and respect for the fact that changing municipal boundaries creates commitment and feelings. The municipalities that have now been through a merger have worked actively to maintain local democracy. In several places it is time to create more local selections than local authorities in the old municipalities. In all the new municipalities, I feel that attention is being paid to the fact that the local services are to be good in all parts of the new municipality and that participation schemes are being developed.
ParlaMint-NO_2020-03-04.ana.ud555e1100	After listening to the questionnaire, one would almost believe that the Council of State has not realised that there has been a municipal reform, that all municipalities under 3000 inhabitants have taken the next talk, and that they have made the adjustments that have given clear answers that bundling will provide poorer services to the population. That is why the local government has said no to aggregation. They were also very familiar with the County Council report before they made that choice. Of course, the centre party is not opposed to voluntary community mergers, where the initiative comes from below. The fact that small municipalities are doing well is at best naive, said the Council of State in its contribution. In the Holtålen, which is my municipality of residence, there has been an investigation and a population survey. The local government said no, against one vote. It was also a referendum there 80 pst. said a clear no to a community merger. The Council of State believes that 80 pst. by the hollows are very naive?
ParlaMint-NO_2020-03-04.ana.ud555e1109	I believe it is important that the municipalities are able to provide good services. I believe that the citizens of the whole country are more concerned that the services they receive are of good quality, and that they get them when they need them, than what the municipality is called and where the town hall is. That's what matters when everything comes to it. It is also worth listening to some of the Center Party's own in this matter, for example. Ivar Vigdenes, who said it very well to the NRK in 2016: ‘We must be constantly looking for ways to improve municipal services, and I am absolutely sure that a merger would achieve that for us.’ Does the representative, Mr Greni, disagree with the rapporteur, Mr Vigdenes, in his comments?
ParlaMint-NO_2020-03-04.ana.ud555e1121	I guess I was going to ask the questions, but I very much agree that a large municipality will gain benefits, and that the neighbouring municipalities will have great disadvantages with it. So that's where we fully agree with the Vigdenes. He is the rapporteur in a large municipality who wanted to keep the municipality house. To something else: Victor Norman is appointed chairman of the government-appointed demographic committee. Their mission is to get us to know how the wave of old age will affect District Norway. He has commented on this in several ways. He has said, on questions about how to meet the wave of older people, that the less each municipality is, the better – I repeat: better – the municipality has assumptions to get a good offer that fits the context in which they are. They have greater adaptability, they're more solution-oriented, they have a better interaction with volunteering and the relatives. This will not be achieved by larger municipalities to the same extent, and the ageing wave will be a major challenge for urban communities. Can the Councils comment on that?
ParlaMint-NO_2020-03-04.ana.ud555e1130	The fact that there are more and more older people is basically a positive thing. That means people live longer. At the same time, it means that there are fewer people in working life who need to provide more and more people who do not work. It also means that the fight for skills is growing, because fewer people need to meet greater needs, especially in the health and care sector in the future. This means that for both the city and the country as a whole, demographic development will be of great importance in the future and will be a challenge for many to deal with. I think that the demographic trend, especially in many of the smallest municipalities in the districts, is important that we contribute to these municipalities becoming attractive to immigrants and can facilitate new activity.
ParlaMint-NO_2020-03-04.ana.ud555e1140	«In a chronicle in the Address Paper, the Council of State pointed out that there are still too many small municipalities and that 120 municipalities still have less than 3000 inhabitants. Previous rounds of municipal merger have met with great resistance in Telemark. The municipalities of Siljan, Hjartdal, Seljord, Witteseid, Nissedal, Fyresdal and Tokke have fewer than 3,000 inhabitants. Which of these municipalities thinks the Council of State should be merged?’
ParlaMint-NO_2020-03-04.ana.ud555e1147	It is up to the municipalities themselves to decide whether they want to join each other or not. As I have said before, I believe that all smaller municipalities, and also larger municipalities that are part of a coherent housing and labour market, should regularly assess whether they have a municipal structure that is suitable for meeting the challenges they will face and that can help them to provide good services to their citizens in the future. I think I'm going to give up on it to avoid repeating myself too much.
ParlaMint-NO_2020-03-04.ana.ud555e1154	Thanks for the answer. I think it's okay to repeat yourself, at least instead of hustling at the Central Party asking questions about this, when we've got a minister with clear statements in this area. To Telemark: One of the proposals that really raised a lot of resistance in the previous municipal merger round was to merge the whole of West Telemark. There's already very well-functioning intercommunal cooperation, not least in child protection, that I know well, but it's huge distances. Of the six municipalities, for example: only wine municipality much larger than Vestfold. I just wonder what the Council of State thinks about the proposal that has also been raised by his party traps: should you simply start a new process of looking at whether the whole of West-Telemark will be merged into one large municipality?
ParlaMint-NO_2020-03-04.ana.ud555e1163	That's a question you have to consider locally. I believe, as mentioned earlier, that all municipalities should assess at regular intervals whether the municipal structure is suitable to meet the challenges they face. It is clear that intermunicipal cooperation is a way of trying to address some of the challenges, but it also contributes to shifting power from the local government to the management board, and it is demanding for the intercommunal companies to deal with the ownership structure of many of them. As Ivar Vigdenes said to the NRK in 2016: «As the manager responsible for an intercommunal enterprise, you become a little paralysed when you have to go for a round with five other municipalities before you can make a decision.» It's clear that there's not justends of inter-municipal cooperation. For example: Hallingdal, as I get questions about later from the representative Lundtigen, I think there is 30 intercommunal cooperation between the six municipalities. Too many people, it's starting to become a little bit of an unmanageable size.
ParlaMint-NO_2020-03-04.ana.ud555e1175	Thanks for the answer. Intermunicipal cooperation often works well. There are also other types of cooperation across local borders that enable the different municipalities to carry out the services they will have. I think it is funny and interesting – even though we in the Central Party read the Address Paper – that the Minister reads all the statements made by the rapporteur, Mr Vigdene. Then we're all concerned with Trøndelag, and so in the Address Paper, the Council of State wrote this about the need to continue the municipal reform in order to get a coherent, good labour market in cities. In Telemark, the attempt at municipal mergers fell on the previous crossroads of the municipalities of Skien, Porsgrund, Bamble and Siljan, although to a large extent they are already a large, coherent housing and labour market region. Shall we take that debate again? Does the Council of State think it would be a good idea for these Grenlands municipalities to sit down again at the negotiating table?
ParlaMint-NO_2020-03-04.ana.ud555e1182	As I said, I believe that municipalities need to assess this on a regular basis, and that is an absolute basis for the merger of several municipalities that currently constitute coherent housing and labour markets in the years to come. Norway is a country that is managed in many ways, but I think we could make better solutions for the inhabitants of coherent housing and labour markets if you, for example, were to: had merged into one unit with coordinated planning. So yes, it should be assessed at regular intervals, and I have faith that local politicians are going to do it. When I refer to the representatives of the Vigdenes and other Central Party politicians, it's because I'm busy listening to local politicians around the country, and not just those sitting on the Stortinget in Oslo.
ParlaMint-NO_2020-03-04.ana.ud555e1193	‘The Council of State wrote in the Address Paper on 21 February 2020 that, in order to obtain a coherent urban and labour market area, local reform must continue and that ‘120 municipalities have fewer than 3000 inhabitants. For many of them, the challenges are not a future scenario. It is a reality.» What municipalities in the Grand Election District of Sogn and Fjordane my Council of State that should be merged?’
ParlaMint-NO_2020-03-04.ana.ud555e1200	Let me first say that I have a heart beating for Sogn and Fjordane. I've been far from related to the county, and had the joy of being present during the opening of the film about the artist Nikolai Astrup in the fall. Then, of course, I was in Jölster and spoke with the rapporteur in Jölster, who comes from the Central Party. Now Jölster is part of a new large municipality. The rapporteur's initial scepticism was enough there, but now I feel at least that he is going into this with life and light, because he sees that the result for the inhabitants is going to be good, but also that Jölster is still going to be Jölster even though they are now part of the Sunnfjord municipality. So to the question – about which municipalities in the Sogn and Fjordane major elections district that I think should be merged. Then I would like to refer a little from the recommendation from the County of Sogn and Fjordane at the time, which assessed the situation as follows: Many of our municipalities will face challenges in securing good and equivalent services for the long term. We believe that a wider trade union environment will provide greater space for action and better conditions for better services to citizens and businesses. The same applies to planning and development tasks. Furthermore, the State also highlighted: The new regional planning strategy for Sogn and Fjordane also points to the need for regional enlargement and stronger centres to curb relocation and create greater attractiveness for relocation. A long-term development towards larger regional municipalities will support this objective. I am also of the opinion that larger municipalities will be more attractive to residents and businesses, and with greater attractiveness it will also facilitate growth in the population.
ParlaMint-NO_2020-03-04.ana.ud555e1215	I thank you for your answer. It's interesting and perhaps a little eye-catching that the Council of State is more busy listening to a state bureaucrat in a Leikanger office than listening to the populace from Sogn and Fjordane and other states of Stortinget. He has now expressed this – that those who sit here on the Grand Council are not so important, but local peoples, and therefore a bureaucrat on Leikanger, are important. So it is interesting that he mentions the spokesman in Jölster, because at the county meeting this weekend he said something completely different to me. Then he said that in a radio debate in 2015 he promised that Jölster would keep the transfers you had before the merger, in a new big municipality, but they have not. It was exordinators Klakegg very dissatisfied with, and it's also the other spokespersons before the merger very dissatisfied with. Can the Council of State tell them why they have not retained the funds that they were promised in the NRK Sogn and Fjordane's radio debate, and what would he possibly do with it?
ParlaMint-NO_2020-03-04.ana.ud555e1226	I am committed to listening to local politicians, and I am very pleased with the constructive role played by the Centre Party in the regional reform in Sogn and Fjordane and Westland, where Jenny Følling was an active driver on the part of the Centre Party. Of course, we appreciate that kind of commitment. When I spoke to the former rapporteur in Jölster, he did not mention this matter to me. Now it is clear that I was there in my capacity as Minister of Digitalisation – or really a distant relative of the artist – but we talked a lot about the merger of municipalities and the future of the new big municipality, and this did not come up in his conversation with me. I do not know the circumstances surrounding what was said and not said in 2015, so I should perhaps be allowed to come back to that.
ParlaMint-NO_2020-03-04.ana.ud555e1233	Governments have asked several representatives what the Center Party will do. I can tell you what the Center Party did when we were in government. We created a new income system that benefited all the municipalities, including the smaller municipalities. It has destroyed this government, so that the income of the smaller municipalities is ruined. We had municipal food funds, because when one had much more regional development funds, the municipalities got food to build jobs. We had an active district policy for the smaller municipalities, and we stabilized the population – now the population of the districts is raging downwards. But to be quite concrete: Kinn municipality was supposed to be the great rescue for the coast of Sogn and Fjordane. One should be rich and get a lot of resources and more tasks. Now is the fasit: No new tasks, they've lost Bridge, 16 million. kr less in income, they fear the employer’s fees after 2021, and the costs of operating the municipality have increased dramatically because of all the travel costs they have now received. Is the Council of State saying that this is a successful municipal merger in the municipality of Kinn?
ParlaMint-NO_2020-03-04.ana.ud555e1240	I think it is necessary to continue the municipal reform, and then I think it is too early to pass judgment on municipal mergers that have just entered into force. That there is a need for larger and stronger professional environments that make the municipality better able to solve the problems and are also more attractive for relocation, I think it's the way to go. And I'm not alone in that perception, fortunately. With regard to the Central Party's regional policy, it is clear that where we want to invest in building the country by facilitating good roads, competitive tax conditions that make it attractive to invest in research and development, the Centre Party has had a different approach – there is no doubt. But when we see the result now, with record low unemployment in all districts and good growth in the economy, new activity, I think the judgment of our policies is quite good.
ParlaMint-NO_2020-03-04.ana.ud555e1250	I just need to make it clear in the introduction that the questioner is also a local public authority when he does not act as a wholesaler. So the Council of State now gets a question from one that also serves as a spokesman in the district. The Minister for Municipal Affairs and Modernisation made a clear statement in the Address Paper: «There are still too many small municipalities». ‘The compulsory reform of the municipalities in this country should continue clearly under this government. After an enormous use of resources to merge municipalities, the Council of State of the Address Paper in February states that the municipal reform has not been completed. Did the government party warn their respective spokesmen in Tysnes, Fitjar, Fedje and Masfjorden to start a merger process with their neighbouring municipalities?’
ParlaMint-NO_2020-03-04.ana.ud555e1259	Unlike the representative, I believe that the sense is evenly distributed in this country, so I do not have to tell the rapporteurs from the Right what to do. They can decide for themselves whether or not they want to talk to their neighbouring municipalities. Then I'm a little surprised that the Center Party is as structural conservative as they turn out to be here. The most important thing must be that municipalities are able to provide good services, that they are equipped to meet the tasks ahead. But it seems to be completely absent from the Center Party's argument in this case. They're most busy looking back. You can wonder if the Center Party really is for a municipal map that looks like what we had before 1965 – now I don't remember the exact number of municipalities that were then, but it might be the president, it was at least over 700 – because small is good and everything was better before. But it was a different time, for example. Aurland had no road connection until Oslo Lysverker built Hol-Aurland in 1967. That's when the municipal structure from before 1965 was adapted. Now we're in a digitalized society that's just going to shoot speed on the technology front, giving completely new opportunities to solve these problems in new and better ways. The interest in how to use new technologies to deliver better services to the population, to better solve the problems, to extend the money, to provide greater security to the community and to create greater attractiveness has been completely absent from the Centre Party. The year I was a Minister of Digitalisation, I had at least no questions about it at all. I think we need to show a lot more interest in how we can help municipalities drive innovation that makes them attractive and can provide even better services, and then the debate on municipal structure cannot be what's at stake. We need to structure this in an appropriate way, but the structure itself cannot be an objective. I have a very pragmatic relationship with how to organise the municipal map. I have no goal for the municipality map to change it. However, the point is that Norway has changed, and that means that we politicians, too, must keep up with the changes and change the structure as time has changed. Just to answer the question, it is up to the individual local authority to decide whether they want to join municipal mergers in their area.
ParlaMint-NO_2020-03-04.ana.ud555e1272	I record that the state councils set out a voluntary line, and the voluntary line was really tried in the municipalities not so long ago, when all municipalities in this country with Right in the head – Right with Prime Minister and Government – were forced into a municipal structure debate. In order to take the municipality of Tysne, which is one of the municipalities in the target group of the state council, which is too small, i.e. under 3,000 inhabitants: In 2016, the local government of Tysne's case of municipal reform ended up wanting to continue as they are today. What has changed, and what, if any, are the means by which the State Councils will implement the inclusion of the municipality of Tysne in the list of merits of merged municipalities?
ParlaMint-NO_2020-03-04.ana.ud555e1279	All the financial incentives that led to the municipal mergers we've had so far continue. There is an economic incentive both to investigate and to merge municipalities into larger units. Then it has to be up to the individual local government to decide if they want to do it. When it comes to the question of what has changed, I think it's time to work anyhow that there are larger units because the municipalities already notice that it's demanding to solve the problems on the basis that they have. The councillors gave a very clear advice to me in January, where they also said that the municipal reform must continue. It is clear that they are aware of the responsibility, that they are required to provide statutory services which, in many places, are not fully capable of doing. I think we'll take that into account in this room as well.
ParlaMint-NO_2020-03-04.ana.ud555e1286	I choose to listen to the elected representatives and the local government who make decisions. In this way, it is also the responsibility of the advisers. That being said, Tysne's municipality is just, despite the size and not least the number of inhabitants, a municipality with particularly good results and a good financial balance. For example, they are better off with key figures at the SSB than most other municipalities in the country. The municipalities of Tysne will face major challenges in connecting to a common bus and labour market because, for example: depend on ferry to get to and from e.g. town hall on Stord. So it's very clear that you don't have to generalise municipalities and state that all municipalities with less than 3,000 inhabitants have to join someone, as the Council of State does in the play of the Address Paper.
ParlaMint-NO_2020-03-04.ana.ud555e1291	I have not said that all municipalities with less than 3000 inhabitants will merge, but I have said that we have 120 municipalities with less than 3000 inhabitants. So I have said that many municipalities are too small, and that many municipalities are struggling to attract skills in order to solve their problems in a good way. Earlier this week I read the last edition of the Municipal Report. It said that in Berlevåg you could report that you have announced the position as a growth manager three times without anyone having missed. This illustrates the challenge faced by many small municipalities. Community aggregation is not the answer to everything, but being dogmatic against community aggregation in the situation we're in, at least that's not the answer. Here we have to be pragmatic and make sure that we organize ourselves in such a way that we achieve the goals that we are all committed to achieving, namely, good services.
ParlaMint-NO_2020-03-04.ana.ud555e1302	‘The Council of State has stated that the municipal reform must continue and that many municipalities are still too small. The six municipalities in the Nord-Gudbrandsdalen have previously carried out thorough investigations that resulted in a referendum, and it ended up that the municipalities were not merged. Among these are municipalities that score high on KS’s municipal barometer, especially Lom and Dovre. At the same time, these municipalities have fewer than 3000 inhabitants. Do the councils of these municipalities not believe that they have the right to life and should initiate new studies on aggregation?’
ParlaMint-NO_2020-03-04.ana.ud555e1309	One thing is what I mean – another thing is what they mean. I would like to show that Dovre was one of the municipalities that decided in 2016 on their desire to merge with their neighbouring municipality Lesja. In a referendum, a majority of the population said yes to aggregation. I am pleased that the municipality is doing a good job on the KS municipal barometer. However, it does not have to mean that they do not want challenges in the future. So I know that there is now a new local government in Dovre, but I feel quite certain that the challenges that led to the decision in Dovre, and the 2016 intention agreement, are not completely gone. The population is also largely the same as in 2016. In the case of Lom, the then local government decided that they did not agree to merge with Skåk, but that they were at the same time positive to new assessments of the change in municipal structure. Here too, of course, there have been local elections, but I believe this can provide a basis for today's local government in Lom to consider taking the matter up to a new discussion.
ParlaMint-NO_2020-03-04.ana.ud555e1318	As the Council of State certainly knows, I was rapporteur in Dovre at that time, and none of the assessments we made had anything to do with whether it was less than 3,000 inhabitants or not. We solved that mission by engaging in a good dialogue with the inhabitants. We made an intentional agreement that was very detailed. We streamed all the people's meetings, and we described a municipality, a decentralised municipality, where many of the tasks that two independent municipalities are doing today were to do. We said we'd listen to the people. In Dovre, there was a majority. In Lesja it wasn't, and we respected it. What's the whole thing is that referendums are going to mean something. Does not the Council of State have respect for referendums, and does the Council of State believe that the decisions of local governments on regional and intermunicipal cooperation are a poor solution for the future?
ParlaMint-NO_2020-03-04.ana.ud555e1323	I am very pleased that the representative and former rapporteur in Dovre had such a proactive approach to the issue of community reunification that he took as rapporteur in Dovre. It is clear that it must be a bit strange for the representative to hear the speeches from his party traps, which are so unequivocally negative to mergers, when he himself was one of the rapporteurs who actually worked for a merger on behalf of his citizens. I think it is good that we have rapporteurs around the country who are not as dogmatic as one can often stay when sitting in Oslo, and that one is concerned about finding good solutions for its citizens locally. So I'm concerned that there was a referendum four years ago, not to prevent you from having new discussions if the challenges persist and the situation changes.
ParlaMint-NO_2020-03-04.ana.ud555e1330	I want to go back to the Commune Barometer, which I actually started with in my first question. The two municipalities I mentioned, Lom and Dovre, have actually been at the top of the Municipal Barometer – Lom even twice. The barometer addresses 141 key factors in the field of child protection, kindergartens, primary schools, health, cost level, culture, environment, resources care and care, proceedings, social services, water and sewerage, economics — all that has been debated here in the Chamber today. Child protection, kindergartens, primary schools, care, health and economics are weighted 85 pst. Examples of some of the 185 key factors are teacher competence requirements, national test results, vacant flats, child protection treatment periods, operating performance, economic performance, municipal housing, pedagogical staff, costs of administration per capita — ‘you name it’. What should these municipalities do better to ensure that top political leadership is satisfied?
ParlaMint-NO_2020-03-04.ana.ud555e1337	As I said, I am very happy that both small and large municipalities are doing well on the KS municipality barometer. I do not believe that the KS municipality survey, which now measures the results of its citizens, is a good indicator of future developments. I think it is good that we have rapporteurs, on whom the representative is an example, who are looking forward to seeing that changes in municipal structure can actually bring positive results, as was the case for Dovre. Then there was no aggregation, but these are questions that I'm sure will come up again as time passes, simply because today's municipal structure is not particularly well suited to over time to solve the tasks that we as society face, and where the municipalities are an important welfare provider.
