ParlaMint-NO_2020-02-05.ana.ud231e28	The representative, Helge André Njåstad, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e1122	Sometimes I wonder what reality the members of this government really live in, because both our volunteers, our municipal politicians and people out in the countryside are tired of being described and praised by a reality they don't know about. Now we have to go from talking to practice. The reality is that the municipality after the municipality in pig-grown areas, in rural and small municipalities, now has to lay down their volunteer centres as a result of the centralising policy of the government. This does not help to believe in local politicians, because local politicians are now in charge of budgets under the worst municipal arrangement of 15 years. This means that we are weakening communities around the districts. [[The President clubs.]] Does the Council of State think that this is good district policy?
ParlaMint-NO_2020-02-05.ana.ud231e1129	I think it is good district policy that few decisions are made here in Oslo. It is good district policy that local politicians know the people and the community best, who know how to prioritise them. As long as the grant to the volunteer centres was not part of the free framework, only the centres were funded. The way other municipalities organised voluntary work meant that volunteering lost a lot of money. Although this is not a statutory service, I believe that politicians from both the Labour Party, the Right and all other parties give priority to volunteering in their municipal budgets because we politicians know how much volunteering means to local communities. I believe that this is a fairer arrangement. [[President clubs]]
ParlaMint-NO_2020-02-05.ana.ud231e1134	It doesn't help to be threatened when the realities out there of the dear municipal politicians who are going to give priority to a narrower economy than ever, who have already turned the crown four times, are experiencing new cuts from this government. When priority needs to be given between statutory services such as health, school and care for the elderly and, in addition, the contribution to the important function of the volunteering centre is lost, I understand that it goes beyond just volunteering. The government could choose to maintain the grant, so that we had an equivalent framework for volunteering across the country. Nord-Odal has to cut NOK 250000, Stor-Elvdal has to cut NOK 300000, Gjøvik 1 million. kr, Namsskogan 600 000 kr, Overhalla 700000 kr, and Inderøy 450 000 kr. This means that these volunteer centres are laid down, while the big cities keep their own. [[President clubs]] Does the district minister think it is right that the volunteer centres should be set up in built-up areas?
ParlaMint-NO_2020-02-05.ana.ud231e1139	When I meet local politicians out there, they tell me that they want as little detail as possible from us in Oslo for how to use the funds, precisely because they think they're best placed to prioritise according to local circumstances. We're so lucky to have a solid municipal economy, and that means there are good opportunities to give priority to volunteering. It was in the 2017 budget the signals about this conversion came from the government. It has allowed policy-makers to finance these offers over the years and to invest in how to do so. The scheme has been unfair because only the volunteer centres have received support. Very good volunteer work around the other municipalities has not been accepted. [[President clubs]] It will include in the free framework.
ParlaMint-NO_2020-02-05.ana.ud231e1144	The President reminds the questioners and the Council of State of dealing with speaking time.
ParlaMint-NO_2020-02-05.ana.ud231e1152	‘Many district municipalities experience a joyful increase in visitors. Several of our smallest municipalities have a few weeks in the year where the population is multiplied, like Geiranger, who has 200 inhabitants and one million visitors. The six lovot municipalities have 24 000 inhabitants, and in the summer of 2018 30 000 walkers were registered each day on the most popular mountains. Hauklandstranda in the municipality of Vestvågøy has 300000 visitors, and the municipality has been refused a parking fee of 50 kroner per person. day to cover the costs of emptying toilets and garbage. The right rejects the fact that municipalities may require tourist visits, regardless of the situation. How will our districts be able to take advantage of travel opportunities when the Right in Government does not ensure that it is possible to finance common resources?’
ParlaMint-NO_2020-02-05.ana.ud231e1159	I agree with the representative of Åsunn Lyngedal that it is very positive that the interest in Norway as a destination is increasing. Travel is a very important district industry, and therefore we should do what we can to help the tourism industry create jobs, develop and contribute to activities throughout Norway. We see, for example: What North Lysturism means for North Norway, and what experience tourism and cultural tourism means for our villages and for Coast Norway. Travel contributes to local value creation, employment and better service provision in the districts – including for residents. There is a development that the government will support, and the government prioritises the work for the sustainable development of Norwegian tourism just to create growth and jobs locally. It is important that locals also welcome tourists. We need to ensure measures that contribute to all-year tourism, so that many jobs are created, which in turn brings good welfare to the municipality. We have to contribute to longer seasons and more year-round operation. Having said that, we see that it has brought challenges to the most popular destinations, including: related to safety, logistics, wear and tear and conflicts of interests and considerations. This is especially true in Lofoten, as the representative knows well. They have had challenges over time, and then, of course, they have to be allowed to do something locally. The government has said that we don't want to impose national tourist taxes. That's what the right has also said. However, it is open to the establishment of voluntary local schemes. The right has gone out and said that we do not want national tourist tax, but if the representative had come along, she had registered that the undersigned two months ago was out as a businessman and opened up local visits. The legal framework for payment by users in municipalities allows municipalities to impose charges, fees and self-payment for specific municipal services. This means that both municipalities and landowners can charge for the services provided, whether parking spaces, toilets or other infrastructure. No one is preventing them from doing today. However, the collection will then be directly linked to the service or infrastructure offered — not in general to visitors in the area. Because this is such an important district policy, together with the other relevant state councils responsible for travel life and the development of District Norway, I will look into the possibility for municipalities to establish payment arrangements. Sustainable tourism is important for the regions of Norway in the coming years.
ParlaMint-NO_2020-02-05.ana.ud231e1174	I have registered what the chairman of the Right Programme Committee has said, but I have also recorded how former Minister of Industry Røe Isaksen has blackened the Business Committee when we dealt with a matter of tourist taxes, common good financing and visiting contributions: totally reprehensible. That's the problem. I hope the signals we get here are positive for the local authorities' ability to cover their expenses. The municipality of Vestvågøy is in an entirely up-to-date situation. They have been refused to use the money for parking for anything other than to refurbish the parking space. It is not possible to use them on toilets or to empty garbage. When you have to empty the toilet three times a day in the high season, it is a huge expense for a small district municipality. Nordland is concerned about this, it is also Visit Sognefjord, who runs a project under the direction of Westland and More and Romesdal, and KS is concerned about the problem. Does the Minister see that a totally reprehensible attitude of the Minister of Industry towards joint good financing could hinder the development of a sustainable travel life?
ParlaMint-NO_2020-02-05.ana.ud231e1183	I think it's important that we distinguish two schemes here. A nationally imposed tourist tax from Stortinget is a bad idea. It doesn't want travel life itself, and there are a lot of municipalities that don't want it. A statutory visit contribution that the municipalities themselves can make when they receive a visit to their municipality is quite different. I am for that, and I also feel that the government will be willing to assess, precisely because it is so important for District Norway. It creates jobs, and it creates growth and activity. In parts of Building Norway, e.g. in Øyer or Hemsedal, we see a huge development and growth in the municipalities because they've invested in ski tourism and are good at it. I think visiting contributions are a good arrangement. It helps to ensure the sustainability of tourism and to avoid the spillage or wear of public goods, which our citizens will also feel like a burden.
ParlaMint-NO_2020-02-05.ana.ud231e1190	I thank you for your answer. It is very positive to hear, because the Workers' Party is also against a state imposed tourist tax. What we want is a visitation grant and an opportunity for the district councils to get paid. The Council of State's replies could give the impression that there is a legal basis for paying, but the refusal of the municipality of Vestvåg suggests that there may be a need for a legal basis for the municipalities. I would like to invite the Council of State to influence its party to be positive regarding the treatment of Document 8:20 S for 2019-2020, to seek out a possible visitation contribution.
ParlaMint-NO_2020-02-05.ana.ud231e1197	In that case, the representative mentioned from West Wagøy, I think the directorate went in and refused because it was not linked to the service for which they paid, if I remember correctly. But the municipalities can do it within the framework of today, and I think it is very important for those municipalities that feel a burden related to catering and great wear and tear on the common goods. If we are to be able to continue to get tourists from all over the world to Norway to experience our wonderful country, which will also contribute to creating a lot of jobs around the districts, especially hard-pressed jobs in many places, we must also make sure that it does not go at the expense of local communities. That is why, as district minister, I am going to work for municipalities to have this opportunity to make a visitation contribution to a much greater extent than they do today.
ParlaMint-NO_2020-02-05.ana.ud231e1207	‘Since its accession, the government has systematically reduced the regional and district policy instruments in the State budget, in particular the regional development funds that the county municipalities have been able to use to create new jobs throughout the country. How will the Council of State strengthen national regional policy instruments in the future?’
ParlaMint-NO_2020-02-05.ana.ud231e1214	It is nice to get acquainted with the Municipal Political Spokesman of the Workers Party. I look forward to many good debates in the future on how to jointly strengthen and contribute to growth and development in District Norway. Let me first say that Norwegian business is going well, and many, many, many places in District Norway are doing very well. Last year, 40 000 new jobs were created in the private sector. These jobs came into town and built, and what is pleasing is that, among other things, in the respective home counties of the representative and me, Nordland and Trøndelag – but also in Troms, Finnmark and Inland – we see the lowest unemployment in the country. At the same time, Norway, and in particular its districts, face major challenges in the future. We have to take care of that. I look at this very seriously, because in the districts there are challenges related to demography and lack of competence. There are fewer young people per pensioner, and both business and public activities have challenges to tackle the labour market. The representative is concerned about the decline in regional development funds. Now it is the case that the Ministry of Local Affairs and Modernisation manages targeted regional and regional policy instruments of almost 1.3 billion. kr. Most of the funds are used to boost growth in the regions and districts, for example: corporate loan and grant schemes, clusters and businesses. And as part of the regional reform, county councils are now also given commercial instruments that are important for mobilising and qualifying more businesses and district entrepreneurs into large markets and national support schemes. Successful regional and district policies also require efforts in many policy areas, and we see that over many years, government spending on transport, tax relief, health services, education, research and innovation works – precisely because we see all the new jobs being created along the coast and in our towns. So the government is using $44 billion. for action and for measures that mean enormous amounts for those living in the districts. We've increased the traffic budget by 80 pst. since we took over. When I'm around visiting the companies and talking to people, many people say that the most important thing we can do for them is to continue the efforts the government has on its way and take back the lag that was left after the red-greens when we took over.
ParlaMint-NO_2020-02-05.ana.ud231e1229	Despite the three minutes of speaking time of the Council of State, and so many interesting considerations, I did not get an answer to my question. In 2013, there was a budget of 1.5 billion. kr for regional development and innovation. That money is now gone, the last remainder disappeared as a little bit into the frame allocation and is no longer specifically targeted. The Council of State earlier mentioned the need for targeted action in this issue. This was a targeted measure, and the results it has produced are well documented. So I repeat my question: how will the Council of State strengthen the national regional policy instruments in the future?
ParlaMint-NO_2020-02-05.ana.ud231e1234	Now the representative Sivertsen is so tanned after many years in Stortinget that he knows that it is once a year that the government will tell which district and regional policy funds will be strengthened, and that is when the budget is presented. So then Sivertsen will have to wait in suspense. Then I can inform you that when I, the year I've been a nutritionist spokeswoman for the Right here in Stortinget, have visited businesses in all the counties around the country – I don't know how many hundreds of business managers I've met – they tell me the same thing: Protection of the EEA Agreement, keep taxes and charges down, ensure adequate competence, and give us more road and traffic – continue to do so. But it is not a single manager who has ever said: Give us back the regional development funds, make sure to invest in the regional development funds – then you save District Norway, then you save the companies, then you create more jobs.
ParlaMint-NO_2020-02-05.ana.ud231e1247	It is possible that it is right for the managers that the Council of State has met. But I also meet many business leaders, and employees, local politicians and regional politicians, who are not only engaged in building businesses, but also in building communities that can facilitate businesses, and they are asking for these tools. I understand that the Council of State does not have any concrete plans to strengthen the national regional policy instruments in the future, so let me ask another question. What role does the Council of State think counties play in facilitating the growth and development of new jobs that provide housing and good life throughout the country?
ParlaMint-NO_2020-02-05.ana.ud231e1254	I think they play an important role. For this reason, the government in the context of the regional reform has also ensured that the counties have more than 700 million. which can contribute to the growth and development of enterprises and to the creation of jobs, in particular in vulnerable areas. Then I must also remind the representative that in the Regional and Regional Responsibility portfolio of the Minister for Regional and Digitalisation, as part of the Department's regional and district responsibility, we have good instruments such as the business-oriented schemes, such as Competence Pilots, such as clusters and innovation programmes, as competence centres for districts, means of conversion, INTERREG and the Arctic 2030. In addition, when we continue to protect differentiated employers’ taxes and bets on transport, it will mean continued growth and development in District Norway. When I was up in North Norway now, in the brook of the West, it was great to see how on the «extent naked island» really manage to create innovation and technology that few have seen the husband do.
ParlaMint-NO_2020-02-05.ana.ud231e1267	‘In the government budget for 2020, the government was able to liquidate the municipal tax collection. With this, many areas of skilled work are disappearing in many district municipalities. Municipalities that we know want more jobs of this type, not fewer. In addition, the government has set up a very tight local economy that will put pressure on the services offered to its citizens, where the result may be down-staffing and poorer offers to people. What will the Council of State actually do to provide skilled jobs throughout the country?’
ParlaMint-NO_2020-02-05.ana.ud231e1274	As a newly-baked district and digitisation minister, I am very happy to have this very issue, because it is so important for further development and new initiatives in our districts. Creating skilled jobs throughout the country is one of the most important tasks of the government. One of the instruments is an active localisation policy. The aim is more public jobs outside the major cities. We need to coordinate relocation, closure and creation of state jobs, so we get a good regional distribution. Skilled work places from the state have to be distributed better across the country than is now done through changing governments. Since 2013, the government has moved or established more than 1 220 jobs outside Oslo. Government jobs are important to strengthen regional labour markets. At the same time, I would like to stress that the municipal sector and private business are the most important carriers in the labour market in all parts of the country. There we find a diversity of skills workplaces. Digitalisation means that we can now and in the future carry out tasks by means of fewer employees. It's a challenge, but it's also an opportunity for the districts. The example of the tax rate to which the representative Hagebakken refers is that efficiency reduces the need for jobs. That also means 370 million. kr saved every year, which we can spend on other things in the districts. At the same time, the tasks are grouped in 56 competences across the country. The efficiency is increasing in several sectors. We should not oppose changes that result in lower costs and greater efficiency. Our goal must be better services and money saved, both in state, state and municipality. At the same time, we must ensure that it is not the same places where jobs are lost every time changes occur in a sector. I'm very concerned about that. Due to digitisation, many of the new tasks are geographically independent. It is important to further pursue policy in this area. They may in principle be carried out anywhere. It offers the opportunity to build environments of competence more places around District Norway than you've ever been able to. The government is now preparing pilots to strengthen cooperation between smaller departments of state agencies in the regions. By establishing new co-located clusters of competences, the overall public sector in the regions can be strengthened. Such a professional environment will facilitate the retention and recruitment of the State budgets.
ParlaMint-NO_2020-02-05.ana.ud231e1287	Here, it is obvious that it is likely to lose more than what the savings gain is. Local tax offices are, of course, a very well-functioning system — very efficient and with good target achievement. Local recovery has made it easier to use local knowledge, which is now disappearing. Here builds down skills and jobs in the municipalities. This is an obvious centralization on the part of the government — this too, as so much as other. There is reason to question the government’s expected efficiency gains. This might as well result in lost income, as I said. Just look at Denmark, which has suffered enormous losses due to less efficient collection. Does the Council of State see the risk she is running, and how unfortunate is this for Municipality and District Norway – yes, I would simply say district enemy?
ParlaMint-NO_2020-02-05.ana.ud231e1294	It is clear that the consequences of job losses are greater for a small labour market than they are for a large one. In itself, there is talk that the agencies should choose to maintain jobs in the smaller areas. The Guidelines on State Localisation, which deal with remedial measures, state that the impact on the labour markets that lose State jobs is to be assessed. In the case of major structural changes, departmental departments are now responsible for assessing the need for remedial measures. That is why I am very pleased that one has now chosen to promote regional and regional policy in the government, and that we have split up the Ministry of Municipal Affairs and Modernisation, so that we have also got our own district minister who can ensure that when each department and government council makes decisions in its field, it is necessary to look at the impact this has on the districts, especially government jobs.
ParlaMint-NO_2020-02-05.ana.ud231e1301	I am really concerned about the legitimacy of the collection, and that it is being challenged when the possibility of dialogue with the audience is being reduced. Nor is it likely that from 1 June this year, government intervention is necessary to strengthen the work against the black economy and the crime of working life. One is at risk of poorer contact with the business community and a weakening of control. I am in no way reassured by what I hear the district minister say, and – again – the great danger of great losses when the municipality will no longer collect its own taxes. This is also fundamental to the autonomous, maritime role of municipalities. Does the Council of State see that this represents a bad start on her entry as a district minister, and that it is all poorly justified on a professional basis?
ParlaMint-NO_2020-02-05.ana.ud231e1306	This decision has been made, and the government is standing by it. It has been done before my time, but I promise the representative Hagebakken that I will accompany the work done by any Council of State on the decommissioning of skilled jobs or measures that have consequences for the districts, even if it looks good to each sector in itself. This is my job in the government, among other things. to see how the whole of the policy we are pursuing is turning out in the districts. The government wants a bet in the districts. Now, when we see that there is a shortage of skilled labour, we're doing something about it. That is why we are now setting up Competence Pilots – to link the needs of companies for skills and the ability of education to train citizens. Having engineers, having nurses, having people available to work in the marine environment, is important for growth and development further in District Norway.
ParlaMint-NO_2020-02-05.ana.ud231e1316	‘What are the State Councils planning to do to ensure jobs, competences and value creation in the future?’
ParlaMint-NO_2020-02-05.ana.ud231e1321	Business in many districts is going well, and people live where the values are and are being created. It makes strong businesses and living communities a competitive advantage for Norway, and it is important that we politicians too are involved in communicating. Because we have innovative businesses, we have jobs, and we have knowledge environments all over Norway. These are the strengths on which we must build. The government prioritises a business-enhancing tax policy and pursues a broad research and innovation policy. A good community economy provides the basis for good services and public jobs throughout the country. Active localisation policy provides a basis for a good regional distribution of state jobs. Since 2013, the number of persons employed in the municipal sector has increased by 6.6 pst. Good and stable access to electronic communications is precisely a priority for people to live and work where they want and for businesses to create jobs and values across the country. The system of differentiated employer charges is continued and the EEA Agreement provides for access to markets for rural industries such as fisheries, aquaculture, energy and tourism. At the same time, sectoral industrial policy is so important for the development of districts, and there is some background for the government to reduce a public body to assess the importance of industry for living and sustainable communities. The continued development of districts depends on the exploitation of natural resources in the sea and on land. The Granavolden platform shows that the sustainable use of natural resources must also have a positive impact on local communities. Because we are totally dependent on community communities that facilitate the development of industries, and I want to work to ensure that communities get a greater share of the value creation and more of the interventions being done. This is badly needed income for the municipalities around our districts. Access to adequate and relevant labour is an ongoing challenge. In particular, the challenges are caused by a sharp increase in the number of older people, and demography is also taking place in the thinnest parts of the country. There will be stronger competition if necessary, qualified labour. An important step in the reform of competences is to stimulate the development of flexible provision of further training and make lifelong learning more accessible. The reform of competence also supports the strategic and coordinating role of the county councils in regional competence policy, so the government invites municipalities to participate in pilots to link the demand from the enterprise to competence.
ParlaMint-NO_2020-02-05.ana.ud231e1334	This was a nice performance of what could have been a poem, but as politics I think it was actually a lot weaker. It is a tribute of the districts and a tribute of the status quo, and there is very little action being warned. I almost have to ask: what does the government think a district is for something – what is a district? It is relevant to ask about it, for example: in connection with the relocation of state workplaces. We saw it quite concretely when it was about the police's new payroll and accounting centre. The year in India was current, but was rejected because it was part of Oslo's housing and labour market region. This setting has been set instead of Drammen. It's a pretty big town. From Drammen there are time routes to Oslo, and it takes half an hour. From the year one train goes an hour, and it takes almost one and a half hours. Then one almost has to answer why the government thinks that the drama is more district than the Year.
ParlaMint-NO_2020-02-05.ana.ud231e1339	I think the definition of district varies a lot. Many people would say that you live outside Oslo, you are often districts, and you live close to Trondheim, but not within the municipality border, you feel that you are a little district. That is why we need a policy that works for the whole country, which ensures that jobs are created, and that there is development and growth. In the allocation of State jobs, the government — before my time — has made assessments of how the whole country will have a more balanced distribution of state jobs than it has today. There I know that Drammen has not come out very well, so the election fell on Drammen.
ParlaMint-NO_2020-02-05.ana.ud231e1346	It's still a mystery to me how Drammen can be more district than the Year. What the government council's in on is that there's one outside of Oslo, can be district some time. Anyway, both Jaren and Drammen are outside Oslo. The years are only considerably further away from Oslo than Drammen does. The drama is a nice city, there's nothing to say on it. But how can one still get a position associated with the relocation of state jobs that points to the Drammen and not to the Jaren, stating that Jaren is part of the bus and labour market region of Oslo?
ParlaMint-NO_2020-02-05.ana.ud231e1351	As the representative knows, I joined the government a week and a half ago, and in terms of decisions, discussions and reasons for decisions made by the government, and for which I did not have constitutional responsibility, such as the policy of relocation, it is difficult for me to stand and talk about and explain in detail why the government did what it did. I am concerned that, in the future, we will be very careful to ensure that when we talk about state jobs being moved out, it is not just going to be done to the big cities, where there is enough competence from before – skills jobs are important to distribute across the country if we are to be able to build up skills environments. The issue of the court structure – a matter that becomes very important to the districts – is not only about the courts, but also about valuable competences that are lost in the districts if you want to follow a hundred percent of the proposal that is at stake.
ParlaMint-NO_2020-02-05.ana.ud231e1359	‘The Court of Justice, which has examined the structure of the courts, has made a proposal which could lead to a large-scale centralisation of the courts of the country. The closures could lead to a longer route for people and local businesses who need their legal clearance. How will the Council of State take care of regional considerations in the further process of the judicial structure?’
ParlaMint-NO_2020-02-05.ana.ud231e1366	The Government has not yet taken a decision on the follow-up to the Court of Justice’s investigation. The Government does not consider the specific proposals of the Commission and does not make changes to the structure until the investigation has been at the hearing and all interested parties have been given the opportunity to comment. Any proposals for amendments will be submitted to the Stortinget. The fact that the investigation has not been sent to the hearing is simply because the government has spent time reviewing the investigation carefully. The Government assesses whether an alternative proposal should be submitted at the hearing, precisely in order to ensure the proper functioning of the districts as well as to give consideration to considerations other than those of a purely judicial nature. The Commission’s proposal is not an expression of the government’s policy, although some have tried to present it this way. It's a purely professional recommendation. Nevertheless, the Court Commission points to some of the challenges that we take seriously and do something about. The National Audit Office also considers that the potential to streamline the rights of way has not been exploited to a greater extent. We must have two thoughts in our head at once — there is room for change, and at the same time work will be done to ensure that the people receive the services they need, and the requirement of fundamental legal certainty will be met. District reasons, as the representative asks, are one of several reasons for which the government will focus on the follow-up. The government is committed to ensuring that citizens throughout the country have a good and equivalent court offer. The quality of the justice system is essential for the legal certainty of the citizens, and there will be the direction of the government in this work.
ParlaMint-NO_2020-02-05.ana.ud231e1377	Thanks for the answer. It is possible that the position of the Court of Justice Commission is not a direct expression of the government's policy, but it may be that there is a consequence of the government's policy, for the courts, as the rest of the justice sector, is strongly pressured by major cuts made over the years by the right-wing government. Does the Council of State feel that there can be a link between funding and the ABE reform that can underpin this large-scale centralisation and the abolition of district rights and land parcels across the country?
ParlaMint-NO_2020-02-05.ana.ud231e1382	Urbanisation and centralisation are probably not what we see as a trend just in Norway; it happens all over the world. In every country, people are moving towards the cities. Society is evolving, and as a society we have to be able to hang out with. Nevertheless, we are so concerned about Norway that we should give our population the opportunity and space to live throughout the country, especially because Norway is a country rich in natural resources. It is very important for us to be able to create jobs where resources are – jobs that can lead to incomes to the municipality and ensure that people can live around Norway. In this case, there are many considerations to balance, and of course, high legal certainty for all of our citizens is very important. High trust in the courts is an absolute objective for all those living in a state of law. I also believe that we need to be open so that the courts can be arranged smarter in the future.
ParlaMint-NO_2020-02-05.ana.ud231e1389	The Council of State argues that the government is on a sound decision-making basis when there is a need for any change in the structure of the courts. The opposition here at Stortinget is also very concerned about this and therefore believes it would be wise to deal with the structural part and the quality part from the Commission's position as a whole, just to ensure that you do not have a large-scale centralization and the abolition of property rights across the country. Would the Council agree that it would make sense to see content together with structure when the Storing and Government are about to deal with the Commission's suspension?
ParlaMint-NO_2020-02-05.ana.ud231e1396	However, before part two of the Commission’s decision is taken, there is a good reason to make a decision. The government is committed to ensuring that citizens throughout the country have a good and equivalent court offer, and the quality of the courts is crucial to the legal certainty of citizens. I stress that district concerns should be taken care of – and become important for the government to take care of – when we deal with this matter. In a court of law, not only is a court of law; there are also areas of competence related to the Court of Justice. As district minister, I am going to put great emphasis on this when we are going to deal with this matter. At the same time, we need to ensure that the courts become effective and provide a qualitatively good offer to the citizens, who are entitled to good judicial procedures. It'll be important.
ParlaMint-NO_2020-02-05.ana.ud231e1406	As a representative of the northernmost district of Norway, I would like to begin by congratulating the Minister for District and Digitalisation on the job. My question is: ‘For District Norway, transportation and communication are essential for housing and positive economic development. Norway has a large lag in the maintenance of the county roads, scheduled for more than 60 billion. kr. Do the Council of State agree that upgrading the county roads is essential for the positive development of the whole of Norway?’
ParlaMint-NO_2020-02-05.ana.ud231e1415	The government will facilitate living communities and growth throughout Norway. Good transport is crucial to development. Good transport is essential in order to make it possible to live and live in District Norway, and not least in order to allow companies to take advantage of competitive advantages. Appropriate, efficient and safe transport is important for everyday life for people and businesses. Good infrastructure and good transport services link different parts of the country. An increasing proportion of the population also lives in smaller central municipalities in agglomerations, district centres and regional centre of gravity. Rapid and safe connections are important for freight transport and passenger travel. That is why I am pleased that the budget for transport has increased from 41 billion. In 2013, when we took over as a government, for over 75 billion. kr in 2020, i.e. an increase of over 80 pst. It was absolutely crucial because it was simply a completely overlooked sector of transport we took over, where the county roads were starving feed, that was as far as it was asphalt on the roads, and it was terrible for business to get ahead quickly and safely. Therefore, the government increased the part of the framework grant justified by upgrading and renewal of the county road network to over 1,5 billion. in 2020. The funds are provided with a separate breakdown within the framework grant and the distribution is based on a survey of the maintenance kit run carried out by the State Road Service. Between 2014 and 2020, a total of €8.7 billion has been allocated. NOK at this bet, in nominal kroner. It is the county itself that prioritises its road infrastructure in the counties. The counties have the opportunity to see different infrastructure investments and priorities in the context of larger areas, and the consideration of regional assumptions and needs can be better addressed. The Granavolden platform shows that the government of the upcoming NTP will assess how the State can help to ensure that some highways with a high share of heavy cars and exports can best be upgraded. In the context of the work on the new NTP for 2022-2033, the Ministry of Transport has asked the transport modes and establishments to identify the routes that are of the greatest importance for business transport. Furthermore, the 2020 budget is set at 100 million. kr for the establishment of a system of grants for county roads of particular importance for commercial transport. The objective of the scheme will be to improve the promotion and competitiveness of business. The scheme shall stimulate the improvement of county roads which are of particular importance for business transport.
ParlaMint-NO_2020-02-05.ana.ud231e1428	It is correct, as the Minister says – the budget for transport has increased by large sums. But at the same time, it's demonstrably clear to everyone who travels around this country, that there's a big difference in the standard on the highways and the county roads. We can see that when we travel around. Does the Minister think that measures are needed to correct this imbalance in the standard between national roads and county roads? And in case she thinks it: What measures should be taken?
ParlaMint-NO_2020-02-05.ana.ud231e1433	There has been a large investment precisely because regional development funds have been reduced, which the Workers' Party is very busy with, and turned it over to bet on the county roads and gave the county municipalities the opportunity to renovate their county roads. There has been a clear feedback from the county councils around that if you are to be able to have businesses off the coast, up in the countryside and on the mountains, you need to have affordable county roads, so that the trails get there. By 2020, we're going to spend 1.9 billion. kr on renewal and upgrading of county roads and repair of tunnels. As I said, we're proposing 100 million. kr to a subsidy scheme for county roads that are important for the transport of food and we will continue to invest in government transport, together with the county municipalities, which will also give priority to their rural roads.
ParlaMint-NO_2020-02-05.ana.ud231e1440	The minister says that the county councils are given the opportunity to rust up the roads, but then it is very strange that the aftermath is the way it is. 60 B.C.E. kr, as I wrote, was a low estimate. The Association of Machine Entrepreneurs estimates that it is 90 billion. kr i lagp. It's a huge aftermath around the country. If the logic of the minister is that there has been enough money from the state to the county councils and the delays on the roads only increase and increase, then my question to the minister is: what is the reason for increased delays if there is no lack of money in the county councils?
ParlaMint-NO_2020-02-05.ana.ud231e1445	As I said, this government has increased its traffic budgets by 80 pst. There is a reason why we had to give so much priority to the state budget for transport, and that was when the Workers' Party crashed, including. SV, there was no more road, no more race protection, no more tunnel protection that was the first priority. The behavioral wager seemed to be almost at the bottom of the priority list. That is why it is a formidable task to be able to get our infrastructure up to the level and standard that it should have had, so that it is possible for businesses to operate efficiently, and that it is possible for residents living in the districts to drive safely and safely.
ParlaMint-NO_2020-02-05.ana.ud231e1453	I would also like to start by congratulating the Council of State on the appointment. ‘Similar framework conditions are an important instrument of rural policy. The natural resources we're going to live on, are in the district, and if we're going to get the products out to the market, we depend on good infrastructure all the way to the farm. Now parts of the construction industry in our district are warning of a concern. They have to cancel people, county councils don't have the means to build a road. There will be fewer and fewer road projects on which they can compete. How will the Council of State contribute to the return of the county to regional development?’
ParlaMint-NO_2020-02-05.ana.ud231e1462	Thank you for the congratulations from the representative of Leirtrø. The counties report that they are mainly on the route of their planned projects on the county roads. In addition, the road budget is bigger than ever before, and there is a lot of activity across the country. The government will facilitate activity and the continued development of communities throughout the country. Good transport is important for the development of districts. Appropriate, efficient and safe transport is important for everyday life for people and businesses. The county is a central player in the development of good and coherent infrastructure. Measured on the road length, highways account for approximately 20 pst. and county roads about 80 pst. of the total national and county road network. The part of the joint road administration relating to the county road is wholly transferred to the county municipalities. It is the county itself that prioritises its road infrastructure in the counties. The counties have the opportunity to see different infrastructure investments and priorities in context in larger areas, where consideration of regional assumptions and needs can be better addressed. The government is committed to facilitating that county municipalities have framework conditions and the economy to discharge their responsibilities. The counties, seen as a whole, have had good economic performance in recent years and are entering 2020 with a good financial basis. In the period 2013-2018, the average annual real growth in free revenues was 0,9 pst. The county authorities have also had unexpected high tax revenues in recent years, contributing to a good economy. With the regional reform, county authorities have been given increased responsibility for tasks and instruments that are important for regional development — tasks, among others. related to competence, industrial development, integration, public health and agriculture. The new county structure allowed for the dissolution of the road administration, and the new county municipalities have now been given their own road administration. Regional priorities can be effectively implemented. I believe that the county councils are at the heart of regional development and positive social development in all parts of the country. I believe that this is clearly recognised by the regional reform, and the reform provides a basis for a more holistic priority adapted to the needs of the population and industry in different parts of the country. At the same time, I see that it is important to ensure that the sector provides regional space for action and contributes to coordination of regional efforts.
