ParlaMint-NO_2020-03-11.ana.ud187e28	The representative, Mr Liv Signe Navarsete, will present a proposal for a representative.
ParlaMint-NO_2020-03-11.ana.ud187e806	Reporting is very important to be able to work with a problem. The fact that people are telling us about a problem and telling us about it is important that we can get to grips with it at all. I think there's going to be a more awareness of this in many parts of our schoolwork, and I'm glad. I also hope that when we get a new law that regulates this, you will have a greater awareness of it. But school violence is kind of a lot of different challenges. There may be violence in a youth environment brought into a school environment, bullying situations that end up in violent situations, and there may be anger related to a youth environment targeted at teachers, for example. These are a lot of different things, and they have to be handled in a slightly different way. That's why we want to gather the best possible experience from around the country on how this can be done. Strong consciousness makes you manage to change this.
ParlaMint-NO_2020-03-11.ana.ud187e811	I would also like to think that with the developments you see, there is a need for clearer national action and clearer national tools. I feel that the teachers themselves are asking for it, so I hope that the Council of State will look at it. I am pleased that she refers to a new training law, but as the Council of State was involved in its reply, it is first submitted to the Stortinget in 2022. It's quite many years to wait for change. One of the things that teachers have been particularly concerned about is that in some of these cases, especially those dealing with Section 9(A) of the Training Act, the teacher does not have a direct right to object. As I understand it, there is no need for a change in the law to ensure that the teachers are heard in the difficult issues that arise. One may hope that the Council of State will make a change, so that teachers are guaranteed counter-dictation, that one does not have to wait for a new training law to get this done.
ParlaMint-NO_2020-03-11.ana.ud187e816	We'll see about that. It is important to combat violence, but it is also important to do so in a secure manner, and to give all actors the opportunity to speak. But I also want to stress that here we need a local commitment. I myself sat down at the town hall and had responsibility for school, and we had quite a lot of tough violent experiences in that period. Working systematically and breaking up the environments that develop these negative cultures, and trying to think again -- we actually ended up laying down a school to start all over again building a new school environment -- are the kind of grip you have to take locally. It is therefore important that the responsibility lies there. It's good that we get the tools they can use – and a law that guarantees the players in school everyday.
ParlaMint-NO_2020-03-11.ana.ud187e824	‘According to the SSB, almost 110000 children are now growing up with persistently low household incomes. The SSB writes that the proportion of children in households with persistent low incomes increased from 3.5 pst. in 2013 to 4.6 pst. in 2018. In the municipality of Stavanger, children’s rights have recently been taken out of the income calculation for beneficiaries of social assistance, so that many more children and families benefit from child welfare. Will the Council of State encourage other municipalities to follow the good example of Stavanger, so that many more families and children on a national basis will benefit from a possible increase in child welfare in the future?’
ParlaMint-NO_2020-03-11.ana.ud187e831	On a proposal from the Government of Prop. 1 S for 2020, child benefit is increased by DKK 300 per month for children up to the age of 6 with effect from 1 September 2020. This represents an annual increase of NOK 3600. As revealed by the Granavolden platform, the government will ensure that the increase in child welfare for this group can also benefit families dependent on economic social assistance. As a follow-up to this, the Ministry of Labour and Social Affairs will increase the country’s indicative rates of financial support for living for the categories children 0 to 5 years of age with equivalent amounts to the agreed increase in child benefit per month in addition to normal price adjustment. The representative asked if I would encourage municipalities to follow Stavanger's example. I would like to make it clear here that according to the law the municipalities have the right and obligation to always make individual assessments of needs and to use judgement when measuring social benefits. With the exception of children’s income from work on leisure and school holidays, municipalities also have the right to assess the income base, including whether to include family allowances. It is not natural for me, as the Council of State, to encourage the municipalities to exercise this discretion in a certain way. However, I refer to the above-mentioned change that we are making in the country's indicative rates of economic support for living.
ParlaMint-NO_2020-03-11.ana.ud187e840	For most people, child confidence is a universal system that benefits everyone. That's why I would like the government's response to be clearer, precisely because there are families who don't get that income and take it as a income base, and that very many municipalities simply save money on those who have the least in our society. We've seen numbers from 2018 point out that this is more than 400 million. NOK that Norwegian municipalities are saving on this scheme, and then the government should take action to change it. The question then arises: why should all families with children in Stavanger receive child welfare, while families with social assistance in e.g. Don't Steinker get child's back?
ParlaMint-NO_2020-03-11.ana.ud187e847	I want to believe that the answer to that was a good news for a representative of the Socialist Left Party, because the reason why it is now implemented in the municipality of Stavanger, is that a political majority has come to make that change. This is something that municipalities have the opportunity to do. Someone chooses to do it, someone does not choose to do it. I don't think it's just about savings, I also think some municipalities are worried that it might have a bad effect on, for example. incentives to work. But as I said, it is up to the municipalities to decide for themselves.
ParlaMint-NO_2020-03-11.ana.ud187e852	A part on the right-hand side seems to have to test the need for child protection. I don't know if the Council of State means it itself, but it's a legitimate political position to have. In this case, you have the opposite, you reverse the need for child care. Child welfare is taken away from those who need it most. Having universal arrangements is one of the strengths of the Norwegian welfare state. Governments themselves make about 1.4 million. kr and receive, as far as I know, child welfare. That's what SV and I think is good. A social welfare family living in a municipality that does not have that scheme lives in poverty and gets significantly less than everyone in this room. Then my question becomes: does the Council of State think this is fair?
ParlaMint-NO_2020-03-11.ana.ud187e859	I don't think the main reason why I, too, as a very, very well-paid government council, receive child welfare, is that it's good and fair as such. The main reason is enough that trying to test the need for child welfare will make it very easy to create an intrigued, complex system that also in worst cases creates so-called poverty traps, i.e. that you lose more money to work, because the good falls away because you've made thresholds for it. So from a purely justice point of view, there are certainly good reasons to just test child welfare, but actually it's a bad idea, because it's impossible to do it without creating poverty traps. There are wage differences in society, and state councils serve very, very well, but I don't think you can compare to a government council salary. We must remember that very many common workers do not serve very well – a cleaner, an unskilled nursery assistant. I am also concerned that there should be no undue difference between those who receive benefits and those who work in a low-income job.
ParlaMint-NO_2020-03-11.ana.ud187e875	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2020-03-11.ana.ud187e883	‘OPS Flekkefjord-Lgågal route is closed due to. tunnel upgrade. Traffic is referred to the old road described by roads24.no as the ‘infamous Kvinesheia’. Traffickers have been patient in the belief that work is done quickly and efficiently. That's not always the case, there's a few shifts working, and the tunnels are often empty. According to the Transport Economic Institute, the socio-economic cost of the bypass is 250 million. crowns, which exceed the total of the contract. How much will it cost to complete the tunnel upgrade and will a faster implementation be initiated?’
ParlaMint-NO_2020-03-11.ana.ud187e890	The representative Meininger Saudland asks an appropriate question. Let me briefly say that the tunnel upgrade will cost 175 million. NOK, and then I'll take a little bit of history in this matter. Storting representative Ingunn Foss asked a written question about the tunnel upgrade last December. State Council Dale answered the question on 20 December 2019. In the reply from Dale State Council, it was clarified that the upgrade is necessary to comply with the Tunnel Safety Regulation and that the work is carried out in accordance with an agreement with the OPS Allfarveg Company. In connection with the question from the representative Foss, the state road authority was asked to re-assess the possibility of speeding up completion without conflicting with the provisions of the labour law. The state road system has been in dialogue with Allfarveg on a possible faster progress. It has not been possible to reach agreement on faster progress within the contractual financial framework and deadlines. All Colour has a contractual deadline of 15 June 2020. Then the traffic shall be able to resume at E39 as normal. The road authority of the State states that a member of the organisation responsible for OPS conducts the tunnel upgrade as effectively as possible within the limits of the contract. Both the Swedish Road Administration and the company focus on completing the work as quickly as possible. As a basis for Gisle Meininger Saudland's question, one of them is TØI, which has estimated the socio-economic consequences of the transition to a size of 250 million. kr. TØ’s calculation is based on information from the NRK South, which is not fully quality checked. Unfortunately, the NRK's basis is not quite correct. Extra run length is e.g. not 30 km, but 15.6 km. The state road authority has pointed this out to both TØI and NRK Sørlanden. So the image is very close to the way it is produced, although there is no doubt that periods of circulation cause significant inconvenience to road users. This is an important tunnel upgrade work, and the installations that will be done here are important. Of course, there's got to be a whole thing before this is in place. It is also true that the statements in the Work Environment Act do not allow Sunday and night work unless it is necessary. The state road authority has made an assessment of the necessity for night work on this project. Here's the state and whether it's property that's being assessed. Derogations have been made for parts of the route, including: The Fosseland Tunnel and the Fedahei Tunnel. Unfortunately, that is the contract we have to adhere to, and I see no alternative to action other than that of Dale.
ParlaMint-NO_2020-03-11.ana.ud187e905	I thank you for your answer. Since the Council of State has family in the South, I expect him to know that this is a significant matter that is being discussed a lot. However, I would like to ask the Council of State if there is something he can do now when the work is in progress, in order to remedy the negative consequences — given that industry has a great deal of extra costs, and of the road safety picture, how heavy transport goes through small centres, etc. Is there anything the Council of State can do, or is the race laid, anyway?
ParlaMint-NO_2020-03-11.ana.ud187e912	The representative Meininger Saudland may have run this orbit more times than I've done, but I've also done it a few times in the last year, and I understand the disadvantages this creates. There is considerable extra time, and even if some repairs have been made on the road to make it a better rerun path, it is a very demanding rerun path. I also understand the perspective that we would have liked to have done this more quickly, but I thought the Council of State Dale took some initiative to just check this out. Then it is actually going to be a new contract, and then there will be a significant extra cost. It is also such that the legislation we have attached to night and weekend work does not prove to be effective in this type of contract. Then, unfortunately, there are few possibilities for doing so, even though, as I said, I thought it was a suitable and good question the representative Meininger Saudland has asked me today.
ParlaMint-NO_2020-03-11.ana.ud187e921	I thank you for the answer from the Council of State and for his initiative to check whether it can be done more quickly. The last thing I want to address is the principle, and it doesn't necessarily apply to this specific case. Does the Council of State consider it reasonable for public authorities, such as the State Road Administration, to save money by pushing the cost of an imposed road rehabilitation onto road users, even though it is likely that more money and speeding up the process are economically viable? And will the Council of State take the initiative to change this so that in the future there will be no such situation?
ParlaMint-NO_2020-03-11.ana.ud187e928	I think it's a good supplementary question I get, because there's no doubt that in this case – now maybe not 250 million. kr quite correctly – has a significant cost that this work goes over so long. I think we should look at it more closely also when we enter into these types of contracts, whether that is how we can get this done faster. I think that part of the Agder region is strongly influenced by the transition that has been going on for so long. Can we get it done faster, I think it's a significant improvement for society, and that's what I think I'm going to include myself in the dialogue with the State Road Service.
ParlaMint-NO_2020-03-11.ana.ud187e935	The representative pointed out in the question that the Council of State has family in the South, and the president would just add that the Council of State also has family in Sunnhordland. The next question is from the representative Geir Pollestad. The representative Pollestad hasn't yet come to meet state councillor Bollestad, so we can move on to the next question.
ParlaMint-NO_2020-03-11.ana.ud187e951	The Management Board of OsloMet will discuss tomorrow the question of whether the university wishes to extend the lease on Kjeller. This decision shall be taken by the Management Board itself. Universities and higher education institutions have a separate responsibility for deciding their own place of study structure. The places where an institution is to study, how education and research are to be organised and what is to be offered where is part of the responsibility of the Board of Directors of the institution. It is the governments that know best about the institution's needs, limitations and opportunities. On a general basis, I am concerned that universities should both assess how best to provide high-quality education and research, and at the same time train candidates as the labour and business community in the region. Universities and higher education institutions have a responsibility to adapt education provision to the needs of society. Universities and colleges have extensive and close cooperation with regional and local employment and business. The university and higher education sectors must ensure and cooperate with regional employment and industry, regional authorities and other development actors in the region in order to contribute to the further development of the region. Regional contact and engagement in different areas of interaction, for example within business clusters, is important to strengthen knowledge flow and develop the capacity to cooperate between business and knowledge environments. Stakeholders should work jointly to ensure that this cooperation can be further developed within the current and, where appropriate, amended framework. In the event of changes in the study location structure, institutions should also consider the possible consequences for cooperation with the working and social life of the region and how the societal mission can be carried out by an altered presence in the region. In general, I believe that digitalisation and technological development will in the future provide institutions with new opportunities for knowledge production and cooperation with their surrounding countries. The presence of universities and higher education institutions in a region is about more than physical infrastructure and where the places of study are located. The association and presence of institutions shall take place, inter alia: on participation in cooperation and knowledge production arenas. The 2018 Long-term Research and Higher Education Plan clearly expects from the government that universities and higher education institutions should have a clear role in the development of local and regional ecosystems for commercialisation and economic development. This refers to the importance of cooperation with the labour and business sectors in education, for example: through practice placement and cooperation on bachelor's and master's tasks. Such cooperation is important in order to develop the capacity for conversion and innovation. The evaluation of any new study location structure by the institutions involves difficult reflections on how best to use resources to carry out the societal task, so that they train candidates and produce development work as jobs and businesses in the region demand. I trust that universities and colleges, which know the skills needs of their neighbourhood, have the best conditions for organising their activities in this way.
ParlaMint-NO_2020-03-11.ana.ud187e970	We have to see the big picture, which the council itself is concerned about. Developments in the Great Oslo and regional plans point to a major need for competence, innovation and education in the area. Everything suggests that the need is for OsloMet to be and further develop its presence. The basis for the merger was similar developments in the Lillestrøm area and in Oslo. Physical presence we know is important for recruiting students and candidates into the workplace afterwards. Is there anything that suggests that the need is less now than when the merger took place? The structural reform of the government was intended to strengthen the academy also in Rome, not just in Oslo.
ParlaMint-NO_2020-03-11.ana.ud187e975	It is not the case that the Ministry of Knowledge approves the file of the Boards of Directors of the institutions. What OsloMet has at the same time assured us, and we are going to follow closely, is that if the board decides to terminate the rental relationship at Kjeller, it will do so in line with the investigation instructions and the construction and rental instructions. This also means that such considerations must be taken into account. As I also said in my answer, there are many ways to cooperate with local and regional business and employment. Although it is now on Kjeller, it has a consequence for other parts of Romerike, or Follo for that matter, that we have OsloMet lying there. I am concerned that this should not go beyond the cooperation you have with business and employment in the region, but this is something we must come back to when the board has dealt with its case tomorrow.
ParlaMint-NO_2020-03-11.ana.ud187e982	With all the renegotiations of leases to which the institution is also facing in Oslo, there are a huge number of uncertainties for the areas available to the institution. There is uncertainty about moving to Oslo in terms of study quality, study environment and physical space for employees and students. On the other hand, there is well-being among students and trade unions at Kjeller today. I wonder: How much uncertainty do students and employees need to know and express before the Council of State possibly enters and requires clearer clarifications on their behalf for the further development of OsloMet and a potential closure of Kjeller?
ParlaMint-NO_2020-03-11.ana.ud187e987	I have great respect for the fact that the kind of change – or discussion about change – that is now taking place in OsloMet, can create uncertainty both for employees and for students. What is important to say is that if the board decides tomorrow, when they deal with this matter, to terminate the lease on Kjeller, they will start a difficult investigation. One of the questions is precisely this: the premises available in Oslo. What the principal at OsloMet has drawn out is that they want to reduce their area, just to get more power out of them. This applies to the employees. We're going to follow it closely, but the reason why it's a little difficult now to start answering as if the board's been dealing with it is that they're going to do it tomorrow. This means that once they have made their decision – and we will follow it closely – we will also follow closely that the investigation instructions are followed closely, and that good alternatives are given if they are to leave Kjeller.
ParlaMint-NO_2020-03-11.ana.ud187e995	‘OsloMet is an important research institution in a number of disciplines of great importance to future challenges, including renewable energy, health technology and social security, in which OsloMet cooperates closely with regional business. To what extent does the Council of State see the value of maintaining close and long-term cooperation with regional business?’
ParlaMint-NO_2020-03-11.ana.ud187e1002	I have to start by referring to my previous answer when it comes to the fact that the board of directors at OsloMet tomorrow will deal with the question of whether the university wants to extend the rental contract at Kjeller, and that it is the board that has to make that decision itself. The size clearly informed the government when they dealt with the structural message in the previous period, that in the future, as it is today, it must be up to the institutions themselves and their governments to assess what an appropriate study structure implies. It also obliges me as the Council of State to follow some rules. Universities and higher education institutions have a comprehensive societal mission, such as: involves: training candidates of high relevance to the needs of the labour market; carry out research and development at a high international level contribute to innovation, value creation and regional development; cooperate with and transfer knowledge to business and general government; In the current long-term plan for research and higher education, the government is clear that we will facilitate more research and development in both the business and public sectors. At the same time, we will facilitate research-based business and better interaction between academia, industry and the public sector. The role of institutions as a regional knowledge actor in interaction with the surrounding society is important to ensure and strengthen the relevance of research and education. It is essential to provide qualified candidates with skills that meet the needs of the labour market — both nationally and regionally. The long-term plan clearly expects from the government that universities and colleges should have a clear role in the development of local and regional ecosystems for commercialisation and industrial development. Increased mobility of employees between industry and educational institutions is also important for networking, building skills and strengthening the knowledge flow between sectors. Universities and colleges have extensive and close cooperation with regional and local employment and business. Regional contact and engagement in different areas of interaction, for example within business clusters, is important to strengthen knowledge flow and develop the capacity to cooperate between business and knowledge environments. Stakeholders should work jointly to further develop this cooperation within the current and, where appropriate, amended framework. The presence of universities and higher education institutions as a knowledge actor in a region depends on more than physical infrastructure and the location of the place of study. The association and presence of institutions shall take place, inter alia: on participation in different areas of cooperation and knowledge production. The social mission of universities and colleges, which also deals with cooperation and transfer of knowledge to business, remains constant. Universities, universities of science and higher education meet today with equal expectations of profiling and of contributing to regional development. I expect our higher education institutions to continue developing their long-term cooperation with national, regional and local employment and business.
ParlaMint-NO_2020-03-11.ana.ud187e1036	There were a lot of words from the government council, but what it comes down to in this case is whether it will help to strengthen or weaken the regional research environment and the business community, the contact with them from OsloMet, if you choose to put down the activity at Kjeller. At Kjeller there are today many important environments. OsloMet has his activity there today. In addition, for example: The Institute of Energy Engineering, which has important research in some of the same fields, the Swedish Defence Research Institute and the Norwegian Institute of Air Research – to name a few. OsloMet doesn't live in a vacuum. For example, the Ministry’s letter of allocation, which just refers to the Granavolden platform, provides guidance on strengthening the interaction between business, academia and the innovation and research environment. Furthermore, the Ministry has also concluded a development agreement with the institution. Does the Council of State think that a closure on Kjeller would be in line with that development agreement?
ParlaMint-NO_2020-03-11.ana.ud187e1043	I'm sorry if the representative experienced too many words, but we try by the government to answer as best we can the questions we get – and we have an assigned speaking time that we like to use. But what does it boil down to? Well, first of all, it boils down to our ambition that higher education institutions should also cooperate with regional employment. That's why I come to the autumn with a big message about work relevance, that is, how we can make sure that our institutions, which have many societal tasks, are closely connected to the needs of the working life locally where they are located, but also nationally. The second is that precisely the location of a study site does not need to be completely decisive given the very cooperation that the representative has outlined. There are examples that it's still going to be a close collaboration with. So the question is where to find the place of study. It will deal with tomorrow, and before they have concluded, it is difficult for me to answer all the eventualities if they decide to make a change.
ParlaMint-NO_2020-03-11.ana.ud187e1052	In terms of location, the letter of assignment to OsloMet also says something about campus development. In concrete terms, the allocation letter for 2020 states: ‘The Ministry notes that guidelines for the location of state workplaces and government service production have been revised.’ It was done last November. In addition, it says: «Institutions must take account of the guidelines when locating and before the Governing Board takes its decisions.» Thus, the current Council of State is responsible for the follow-up of these guidelines by its sector. This was written in the letter of assignment to OsloMet. If it doesn't affect the location of Kjeller, it doesn't matter in any context. Can the Council of State confirm what is stated in the letter of allocation, that the Board of Directors is responsible for such an investigation before a decision is taken, and will it ensure that it has taken place and that the guidelines are followed up within its sector?
ParlaMint-NO_2020-03-11.ana.ud187e1069	It is absolutely right that we present quite extensive letters of assignment. We also have development agreements with the institutions. The division of labour for which I am and which has also been decided by the Storting is quite clear. We make quite clear demands on quality, student follow-up – all these questions. But with regard to the organisation of the place where teaching places should be, where the campus should be, it is up to the institutions to decide for themselves. This has been decided explicitly by the Storting. In fact, it was only the representative of Gælsvik's party who voted against, so that's how he feels about it. Nevertheless, what we're saying is that now the board is going to deal with this matter, and then it's going to be investigated after the investigation manual. It also means that they need to make visible how they can have these cooperations, follow the letter of allocation, etc. I just think that we need to first see how the board deals with this matter, and then we will follow up all the questions – which the representative will certainly also ask me again. But first the board has to deal with the matter. And where campus should be, is up to the institutions themselves to decide.
ParlaMint-NO_2020-03-11.ana.ud187e1076	We go back to question 5.
ParlaMint-NO_2020-03-11.ana.ud187e1084	«The cover sheet has referred to a matter in which a farmer has made a mistake in submitting a request for a production premium. I am aware that there are several similar cases in which farmers are now at risk of losing hundreds of thousands of dollars because of relatively small errors in submitting such an application. Will the Council of State put the concerns of individuals ahead of the concerns of the system and see to it that these farmers are paid out production support?’
ParlaMint-NO_2020-03-11.ana.ud187e1091	It is economically demanding to be in a situation where you have planned the operation on the basis of a production grant that you think you have applied for, but then you are told that the money is not paid because the application has not actually been sent. The time-limits for the submission of applications for production grants are primarily necessary for farmers themselves to receive subsidies as early as possible. The Directorate-General for Agriculture paid more than 10 billion in February at the latest. kr in production and replacement subsidies. The deadlines for applying for production subsidies were set in the agricultural settlement in 2016. The parties then agreed that the deadlines should be absolute. Time-limits are also necessary to ensure effective processing and control in order to obtain the basic material for the agricultural negotiations. The Directorate-General for Agriculture has made considerable efforts to facilitate the applicant to meet the deadlines set. Firstly, the application system opens up approx. two weeks before the deadline for the application, so that the applicant has sufficient time to submit the application. Secondly, all undertakings which have applied for production grants the year before are notified to Altin in advance of each application period. At the same time, SMS or e-mail alerts are given that the entity has received such information. From the 2020 application round, two additional SMS notifications are introduced to applicants who are late. This will give farmers who think they have submitted the application, but who have not done so, a reminder to submit the application for a final deadline. In common with the matters I have been made aware of, the applicants believe that they have been involved in the application system, but not ready to submit the application in the correct manner. I therefore believe that there is reason to consider whether the deadlines should have been more modest for companies that we see have been in the application system before the final deadline. That's why I'd like to ask the Agriculture Directorate to look at that kind of thing again.
ParlaMint-NO_2020-03-11.ana.ud187e1102	There's something about what's most important – is that the system, or is that the people? And who are we politicians put into this? I can admit that I have done wrong, I have forgotten things, and I also hope that the Minister of Agriculture and Food can remember times when she has forgotten things or not done everything as it should be. Here it is that people have been inside, they have believed they have delivered, and they have received a receipt. I will admit that I get receipts by SMS, but I will not open the attachment and read it. I also get documents in Altin that I don't go in and check quality, and I don't read Google's standard terms. So my question is, does the Council of State see that this case is untimely when it gets hundreds of thousands of dollars in consequences for those who believe they have done the right thing, but who have made a mistake?
ParlaMint-NO_2020-03-11.ana.ud187e1109	Now I have answered the representative that in the cases where it appears that one has been in the system, I ask the Agriculture Directorate to look at them again. But it's not a goal to put the system in front of individuals, as the representative Pollestad here suggests. The system is for Norwegian farmers and is designed for Norwegian farmers in order to ensure that the proper production refund is paid as quickly as possible. That's why we have a system. It's not just in terms of production support we have such a system. We're actually doing it in the tax rate as well as in loans for students. This is a requirement to help people get in. Then I'll ask the directorate to look at the applications where we know you've been in the application system. But we have to set the limit somewhere, just to make sure all the 39,500 farmers who have actually done this right, and who are waiting for the money.
ParlaMint-NO_2020-03-11.ana.ud187e1116	I think everyone is a few that we shouldn't run and give money to people who haven't been looking, and who haven't at all made any attempt to search. Here I believe that there is a case where one has tried, and then one has done something wrong. There is a need to have consequences, but the question is, what is the extent of the consequences? I took this up in the Question Time because I want the matter to be resolved, and that the farmers should not lose these money. In that way, I thought there was a positive signal coming, and we'll follow up on this further. There has also been a later look-up in Bondebladt, which shows that there is broad support among the political parties to the view that the consequences are not consistent with the error that has been made. So I'm interpreting what I'm saying here today, so that this case will say solution, and I'm very happy about that.
ParlaMint-NO_2020-03-11.ana.ud187e1125	I have replied several times that I have informed the directorate. At the same time, we have application deadlines to meet those who are applying – not for the system – that the administration is constantly making possible for us to actually get. Then we're concerned that it's the seventh and last responsibility of the applicants, and that's what it has to be. But where we now see that they've been inside the system and thought that they've done the job they were supposed to do, we're doing what we can to make sure that the system works, and we're looking at those things again.
ParlaMint-NO_2020-03-11.ana.ud187e1135	This question, from the representative Kjersti Toppe to the Minister for Oil and Energy, is raised by the representative Hans Inge Myrvold.
ParlaMint-NO_2020-03-11.ana.ud187e1140	I hope the Council of State finds it convenient that I am here in Kjersti Toppe's absence. But I would like to stress that the content of the question is absolutely interested in the signatures. The question is: ‘With massive resistance from the municipalities, the government will scrap away NVE’s proposal for a national framework for shore-based wind power. NVE pointed out 13 areas that the directorate thinks are the most suitable for wind power on land in Norway. 98 municipalities have area within the 13 areas. In the hearing round, 56 municipalities have black. 49 municipalities clearly said no to wind turbines, among them all the municipalities in the Western counties that are covered by the national framework. Will the government respect the massive local resistance to wind power expansion in these areas?’
ParlaMint-NO_2020-03-11.ana.ud187e1149	As you know, the government has not gone further with the NVE’s proposal for a national framework for wind power designating areas as suitable for shore-based wind power. A large majority of municipalities did not wish their municipality to be included in these areas. The proposal for a national framework also contained a comprehensive knowledge base, which is a good reason for us to take it further. At the hearing, the municipalities provided useful reflections on the further development of wind power. The Ministry of Oil and Energy was given an idea of how to improve both process and content concession treatment of wind power. Many municipalities also pointed out that more renewable energy production is important in order to facilitate the electrification of more and more social sectors and to stimulate industrial development in the districts. Wind power has created debate. There are many questions about wind power in the future. How are we going to get a good enough local and regional anchoring? How should we address different environmental requirements and ensure that those who live and travel in the areas that may be affected are properly taken into account? What are the benefits, both local and national, of wind power? These are issues for which we need a clear and predictable policy. The Government is therefore aiming at providing a roll-out message on the wind concession system before the summer. The Communication will contain themes such as deadlines, participation and involvement, impact assessments and how best to ensure environmental and nature considerations. Today, I invited you to a wide-ranging wind power recording meeting, which we unfortunately had to cancel as a result of the situation with the corona virus. But I also plan to visit some of the areas with the most wind power expansion in the country. Then I will listen to those who were most affected during the different stages of concessional treatment, and learn more about the local effects after an extension. We are now in a phase with a lot of wind power expansion. It's a consequence of concessions given under both this government and the previous one. It is linked to the electrical certificate system, for which there has been broad political outreach. In the years after 2021, there will be little wind power expansion, simply because new projects have not come far enough in the process of gaining a concession. I look forward to discussing how in the years to come we will achieve the best possible system for the concession treatment of new wind power projects, i.e. a system that enables us to balance important considerations in a good way and ensure a solid local and regional anchoring.
ParlaMint-NO_2020-03-11.ana.ud187e1166	That's where I'm tracking a little bit. The Councils of State consider that the basis of knowledge in this framework should in some way be burdensome. And much of the basis for this question is precisely because the situation that has arisen since the government scrapped the national wind framework plan is quite unclear and incomprehensible. How and to what extent will the municipalities and the local government participate in the new concessional treatments? And not least, what policy will the Council of State and the Government base in the further development of wind power on land?
ParlaMint-NO_2020-03-11.ana.ud187e1171	Although there was a great deal of resistance to the national framework as such and to the various areas that were designated as suitable and less suitable for development, I feel that there is a broad consensus that the knowledge base of that work is useful for the future, no matter how it should be. But that's also exactly why I have now notified a big message, because I feel that a big message is the best way to ensure a wide, open process. It also gives all the parties at Stortinget an opportunity to participate in that policy development. I believe – and wish – that local anchoring is important. It is very rare that concessions have been given against local wishes, and what the municipality believes is incredibly important in the future, but we also need to have the other interests in this matter. I am pleased to discuss that message when it comes to Stortinget. We have already announced different things we are looking at in this regard, and I am sure that we can get a good policy for the future that ensures that we take care of both, that is, that it is still possible to deploy wind power in Norway, but that we also have local anchoring.
ParlaMint-NO_2020-03-11.ana.ud187e1178	I listen to the Council of State, and I think it's very wise to come to the Storting and get these questions anchored, and it'll also be entirely decisive for potential future wind power. The council itself mentioned this meeting today, which was a recording meeting, and which is now cancelled. At the same time, the work goes its way. Is the Council of State certain that all these recordings that were to be presented at the meeting today will actually get the anchoring that is necessary, in the further work?
ParlaMint-NO_2020-03-11.ana.ud187e1185	I think, of course, it was a very bad thing that we didn't have that meeting. I also have plans to travel regionally to have meetings elsewhere than in Oo, to say it like that. Many have also sent written recordings. It's everyone's welcome to do, and I'm going to read them carefully and make sure that we get a good involvement in the process also in the future. I think it's absolutely crucial. Now the Storting will also have the opportunity to have its own process. Of course, it is quite possible and desirable that Stortinget also has consultations on this matter when it comes, and I am not in doubt that we will all be heard. I think it's good that the Center Party also has a commitment to wind power. I might wish that also the commitment that there is still good reason – and need – to be able to expand some more wind power in the future was a little more present in what the Center Party is out communicating, for example. that this is important value creation for the districts, it means a lot for both farmers and landowners. I think that might be a perspective that is a little bit missing from the approach chosen by the Central Party in this debate.
ParlaMint-NO_2020-03-11.ana.ud187e1194	Case No. 2 is finished.
ParlaMint-NO_2020-03-11.ana.ud187e1208	There is no record available. Thus, today's map is finished. Does anyone ask for a word before the meeting is cancelled? - The meeting has been cancelled.
