ParlaMint-BG_2022-03-16.u1	Honourable colleagues, please register. Colleagues online are: Eva Miteva?
ParlaMint-BG_2022-03-16.u171	Okay, thank you, Mr. Shalafov, to Chapter Five and we'll move on. I open a discussion on the title of the Bill, the names of the sections, the texts read by Plamen Shalafov. Anyone who wants to make a statement? I won't. I'm putting an end to this discussion and we'll move on to a vote. I vote: the title of the bill, which is by importer; the name of Chapter One is by importer; art. 1 shall be in the version of the Commission; art. 2 is by importer; the name of Chapter 2 is by importer; the name of Section I in Chapter 2 is by importer; art. 3 shall be in the version of the Commission; art. 4 is by importer; art. 5 is by importer; art. 6 is by importer; art. 7 shall be in the version of the Commission; art. 8 and 9 are by importer; the name of Section II is by importer; art. 10 is by importer; the name of Section III is by importer; art. 11 shall be in the version of the Commission; art. 12 is by importer; the name of Section IV is also by importer; the text of art. Art. 13 also; art. 14 shall be in the version of the Commission; art. 15 is by importer; the name of Section V is by importer; art. 16 shall be in the version of the Commission; art. 17 and 18 are by importer; art. 19 shall be in the version of the Commission; art. 20 is by importer; the name of Section VI is by importer; art. 21 is by importer; art. 22 is in the version of the importer, but its systematic place is like 23 according to the Commission; art. 23 shall be in the version of the Commission and shall become art. Article 22; 24 shall be in the version of the Commission; art. 25 is by importer; the name of Chapter 3 is in the version of the Commission; art. 26 shall be in the version of the Commission; Art. 26 shall be in the version of the Commission; 27 shall be in the version of the Commission; art. 28 is in the version of the Commission; the name of Chapter 4 is by importer; art. 29 is by importer; art. 30 shall be in the version of the Commission; Art. 30 shall be in the version of the Commission; It shall be in the version of the Commission; Art. 31 shall be in the version of the Commission; 32 shall be in the version of the Commission; and Art. 32 shall be in the version of the Commission; 33 is an importer. We vote them all in full. Eva Miteva?
ParlaMint-BG_2022-03-16.u172	(ITN, via Internet platform for video conference): For.
ParlaMint-BG_2022-03-16.u173	And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u174	Yeah.
ParlaMint-BG_2022-03-16.u175	They voted 124 MPs in the Chamber and 2 online " 126" total: 117 in the Chamber and 2 online " 119" total, no objection, abstentioned 7. The motion is accepted.
ParlaMint-BG_2022-03-16.u176	"Chapter 5" "Structurals" with a delay in the maturity of the covered bond issue. The Commission shall support the text of the importer for the name of Chapter Five. The Commission shall support the text of the importer for art. 34 as in para. 6 in the text before t. 1 the words "the following' are deleted and the words "the following' are deleted. 1 the words "active events' for "supplied' shall be replaced by the circumstances leading to "supplied events'. "Chapters 6............................................................................................................................................................................................................................................................ The Commission shall support the text of the importer on the name of Chapter Six. The Commission shall support the text of the importer for art. 35. The Commission shall in principle support the text of the importer and propose the following version of art. 36: Art. 36. For issuing permission under art. 35 the issuer bank shall submit to the BNB an application for authorisation of covered bonds to which the following documents and information shall apply: 1. a detailed business programme on the business of issuing covered bonds for at least a three-year period after the issue of covered bonds, and if the planned maturity of the bonds is shorter, for the entire period until the maturity of the covered bonds; 2. information on the existence of a bank's software and material collateralisation issuer required to issue and manage covered bonds in accordance with the requirements of this law and its implementing regulations; 3. the internal rules, policies and procedures of the issuer bank in accordance with the requirements of this law and its implementing regulations; 4. detailed information on the assets to be included in the cover pool and their compliance with the eligibility requirements of this law and its implementing regulations; 5. the relevant credit rules and policies of the issuer bank in relation to the approval, modification, renewal and refinancing of the assets to be included in the cover pool; 6. information on the allocation of responsibilities within the issuer bank regarding the issuance and management of covered bonds; 7. information on the observer of the coverage, where he will be appointed, including data and information proving that he meets the requirements of this law, and a draft contract with the selected observer of the cover; 8. in the case of externally issued covered bonds under art. 11, para. 1, information on the verification carried out whether the internally issued covered bonds under art. 11, para. 1, including those resulting from cross-border cross-border cross-border covered bond issuance entities under art. 12, in accordance with the requirements of this law and its implementing regulations; 9. in the case of joint financing under Chapter Two, Section IV, a draft contract under which eligible assets arising from the activities of the originator bank will be transferred to the issuer bank, as well as documents and information about the originator bank, which are necessary to make the decision under art. 35. The Commission shall support the text of the importer for art. 37. The Commission shall support the text of the importer for art. 38, as in para. 1 in the text before t. 1 words in the case of "supplier' is replaced by "supplier' when "supplier' is replaced by "supplier'. The Commission shall in principle support the text of the importer and propose the following version of art. 39: Art. 39. The Bulgarian National Bank refuses to issue an authorisation for the covered bond programme, respectively for the issue of covered bond issue, with a reasoned decision where: 1. not all necessary documents and information are provided or the documents contain clear irregularities; 2. the issuer does not systematically comply with the requirements of this law in relation to other covered bonds or covered bond issues programmes issued by it; 3. the covered bond programme, respectively the issuance of covered bond issue, will result in a significant risk to the operation of the issuer bank or its financial situation; 4. the issuance of covered bonds will lead to a breach of the requirements of this law or of the regulatory acts implementing it; 5. there is a risk that the issue of covered bonds will endanger the stability of the financial system of the Republic of Bulgaria; 6. the issuer does not have the necessary resources and capacity, including software and material collateralisation, or qualified personnel, to ensure the smooth issuance and administration of a covered bond programme or covered bond issue; 7. the selected observer of the coating does not meet the requirements of this law; 8. the envisaged structure of the cover pool does not meet the requirements of this law; 9. the rules and procedures in place in the issuer bank in relation to the issuance and administration of covered bonds do not provide the necessary protection of investors' rights. The Commission shall support the text of the importer for art. 40, as in para. 1 the word "acts" is replaced by "normal acts" and in para. 2 the words "at least from "same' shall be replaced by "successful' than "successful'. The Commission shall support the text of the importer for art. 41. The Commission shall support the text of the importer for art. 42. "Heads.. Organizational requirements and information provision............................................................................................ The Commission shall support the text of the importer for the name of Chapter 7. The Commission shall support the text of the importer for art. 43, such as the word "acts', is replaced by "normal acts'. The Commission shall support the text of the importer for art. 44. The Commission shall support the text of the importer for art. 45. The Commission shall support the text of the importer for art. 46 as in para. 2, p. 5 the words "activating events for" shall be replaced by the circumstances leading to "the events" in para. 3 the words "section III of chapter 2' shall be replaced by "second-ranking', section III and the words "a link to chapter III' shall be replaced by "a link to chapter III' by a reference to the relevant website on which the information can be found'. The Commission shall support the text of the importer for art. 47, as in para. 2, p. 3 the words of the requirements shall be replaced by the terms of the requirements and shall be replaced by the words of the requirements. The Commission shall support the text of the importer for art. 48. "Chapter 8 "Departure, management of cover assets in the event of termination procedure and rescue measures'. The Commission shall support the importer's text on the name of Chapter Eight. The Commission shall support the text of the importer for art. 49, as in para. 3 words................................................................................. The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011): The following The Commission shall support the text of the importer for art. 50, as in para. 3 the words "supplied' are replaced by "supplied' and the word "supplied' is replaced by "supplied'. The Commission shall support the text of the importer for art. 51, as in para. 2, p. 2 words.............................................................................. 51, para. 1 of the Law on the Recovery and Restructuring of Credit Institutions and Investment Intermediaries is replaced by Art. 51, para. 1 of the same law. The Commission shall in principle support the text of the importer and propose the following version of art. 52: Art. 52. (1) An extraordinary manager may only be a natural person who meets the requirements for a trade union under art. 25, para. 1 of the Bankruptcy Act. The implementation of the requirements shall be established by the BNB in accordance with Art. 1. 25, para. 2 and 4 of the same law. (2) The extraordinary manager may be the extraordinary manager of more than one issue covered bonds issued by the same issuer bank. The extraordinary manager may not be a temporary manager, a temporary trade union, a trade union, a Quaestor, a liquidator or perform other functions within the framework of a termination procedure or rescue measures with regard to the issuer bank. (3) The Bulgarian National Bank may appoint up to two persons as extraordinary managers. When two emergency managers are appointed, they shall take decisions unanimously and exercise their powers jointly, unless the BNB decides otherwise. (4) The Bulgarian National Bank may terminate the powers of a person appointed as extraordinary manager of the covered bonds and appoint another in its place in the presence of one or more of the following grounds: 1. written request of the extraordinary governor addressed to the BNB; 2. when the extraordinary governor has found that he has not responded or has subsequently ceased to comply with the requirements of para. 1 or para. 2 sentence 2; 3. in the event of actual failure of the extraordinary manager to exercise its powers; 4. in the event of death or imposition of an emergency manager; 5. at the discretion of the BNB, when the extraordinary manager does not fulfil his obligations or by his actions endangers the interests of investors in covered bonds and/or the opposite parties to derivative contracts concluded in accordance with art. 10. (5) The Act of BNB under para. 4 shall not be subject to appeal. The Commission shall support the text of the importer for art. 53, as in para. 5 the words "the order of" shall be deleted. The Commission shall support the text of the importer for art. 54, as in para. 2 words. The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011): The following information is available in the Official Journal of the European Union (hereinafter The Commission shall support the text of the importer for art. 55. The Commission shall support the text of the importer for art. 56, as in para. 2 the words "the order of" shall also be deleted in para. 6 the words "not" shall be replaced by "not" and "not" shall be replaced by "not." The Commission shall support the text of the importer for art. 57 as in para. 3 the words "Chapter 4 of Part One' shall be replaced by "Chapter 1'. The Commission shall support the text of the importer for art. 58, as in para. 1, t. 2 the words "for cover" shall also be deleted in para. 3 the words "the order of" shall be deleted. The Commission shall support the text of the importer for art. 59, as in para. 2 the words "the order of" shall also be deleted in para. 6 all over the words. 26, para. The following points are inserted after point (a) (i) of Article 4 (1) of Regulation (EU) No 182/2011: 26, para. The following information is available in the Official Journal of the European Union (hereinafter referred to as "the Authority') and in the Official Journal of the European Union (hereinafter "the Authority') "Chapter 9 "Surveillance and supervisory cooperation." The Commission shall support the importer's text on the name of Chapter Ninth. The Commission shall support the text of the importer for art. 60, as in para. 1 the word "acts' is replaced by "normal acts'. The Commission shall support the text of the importer for art. 61, as in c. 9 the word "sanctions" is replaced by "punishments." The Commission shall support the text of the importer for art. 62 as in para. 1 after the word "supervisory" is added to the covered bonds and in para. 2 and 3 the word "needs" shall be replaced by the "values" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the words "needs" shall be replaced by the The Commission shall in principle support the text of the importer and propose the following version of art. 63: Art. 63. (1) The information received or generated by the BNB for the purposes of public supervision of covered bonds or in relation to it shall be professional secrecy. This information shall not constitute official secrecy within the meaning of the Classified Information Protection Act. (2) It is not a professional secret that information which is subject to publication or disclosure under a regulatory act. (3) The members of the Board of Directors of BNB, the employees, experts and other persons working for BNB shall be obliged to keep professional secrecy, including after their relationship with BNB has ceased. (4) The persons under para. 3 may use information representing professional secrecy only for the purposes and in the performance of their duties. This information shall not be disclosed or made available to any person or body other than those referred to in art. 64, para. 1. (5) The limitations of para. 4 shall not apply if the information is provided in aggregate form so that the persons to which it relates cannot be identified. (6) The information received by a person obliged to provide it under this law may be given back upon request by him. The Commission shall support the text of the importer for art. 64, as in para. 1 in the text before t. 1 words "al." The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011): In the case of vehicles of categories M1, M3, N2, N3, N3, N3, N3, N3, N3, N3, N3 and N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3, N3 2 point (b) is finally added to the covered bonds and in points (a) to (c) to (d) to (e) to (g) to (g) to (g) to (g) to (g) to (g) to (g) to (e) to (g) to (g) to (g) to (g) to (g) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to (h) to The Commission shall support the text of the importer for art. 65, as in para. 1 the words "observance of the' shall be replaced by "public supervision' in para. 3 the words "exercise" and "in other Member States" shall be deleted. The Commission shall support the text of the importer for art. 66, as in para. 2 after the words. The entry for the United Kingdom is replaced by the text set out in the Annex to this Decision. 1.................................................................................. The Commission shall support the text of the importer for art. 67. The Commission shall support the text of the importer for art. 68, and after the words "public supervision" the covered bonds shall be added. The Commission shall in principle support the text of the importer and propose the following version of art. 69: Art. 69. (1) The Bulgarian National Bank shall, as a body for public supervision of covered bonds, disclose on its website the following information: 1. the provisions of the relevant regulations, as well as the texts of the general supervisory guidelines adopted by the BNB concerning the issue of covered bonds; 2. information on the policy and practice followed by the BNB on the implementation of this law and the regulations on its implementation, as well as the reasons for their change; the information on the policy followed shall include at least information on the means which the BNB chooses and uses in the exercise of its operational autonomy to achieve the objectives of this law; 3. a list of banks authorised by the BNB to issue covered bonds, and 4. List of programs and emissions covered bonds under art. 42 that have the right to use the own funds requirement for the covered debt instrument (premium) or the own funds requirement for the own funds requirement. (2) The published information under para. 1 shall be updated when a change occurs. (3) The Bulgarian National Bank shall annually inform EBA of the list of the issuer banks referred to in para. 1, t. 3 and the lists of programmes and emissions covered bonds referred to in para. 1, t. 4.
ParlaMint-BG_2022-03-16.u177	Thank you, Mr. Shalafov. I am opening the discussion on the texts of the title of Chapter 5 and art. Art. 34 to Art. 69 inclusive. Is there anyone who wants to make a statement? I won't. I'm calling off the discussion. Let's move on to the vote. I put to the vote: the name of Chapter 5 by importer; art. 34 in the version of the Commission; the name of Chapter Six (a) by importer; art. 35 by importer; art. Council Regulation (EC, Euratom) No 1605/2002 of 25 June 2002 laying down general provisions on the European Regional Development Fund, the European Social Fund and the Cohesion Fund and repealing Council Regulation (EC, Euratom) No 1605/2002 (OJ L 298, 26.10.2012, p. 1). 37 by importer; Articles 38, 39 and 40.......................................................................................................................................................................................................................................................... Art. 43 in the version of the Commission; art. 44, 45 by importer; Articles 46 and 47 are edited by the Commission; art. 48 by importer, the name of Chapter 8 by importer, Articles 49 to 54 in the version of the Commission; art. 55 by importer; of art. 56 to 58 in the version of the Commission; the name of Chapter 9 of the Board; Articles 60 to 66 of the Commission; art. Art. 67 s. (b) by importer; art. 68 and 69 are edited by the Committee on Budget and Finance. We vote all the texts in full. Eva Miteva?
ParlaMint-BG_2022-03-16.u178	Yeah.
ParlaMint-BG_2022-03-16.u179	Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u180	Yeah.
ParlaMint-BG_2022-03-16.u181	Thank you. They voted 124 MPs in the House plus 2 online The motion is accepted. Here you go, Mr. Shalafov.
ParlaMint-BG_2022-03-16.u182	..Chapter 10...Searchful measures. Administrative penal provisions. The Commission shall support the importer's text on the name of Chapter 10a. "Section I "Supporting measures". The Commission shall support the text of the importer for Section I. The Commission shall in principle support the text of the importer and propose the following version of art. 70: Art. 70. (1) The Bulgarian National Bank may apply the measures under para. 2 where he finds that an issuer bank, an observer of the cover, an extraordinary manager, their employee, a member of a management or control body of the above, a person who performs management functions under a contract, as well as persons holding a qualified shareholding in an issuer bank, have performed or carried out activities in breach of that law, its implementing regulations, BNB decisions, and where the exercise of control activities by the BNB is prevented or the interests of investors are threatened, including where: 1. an issuer bank has been authorised for a covered bond programme on the basis of incorrect data or other irregular means; 2. an issuer bank no longer meets the conditions under which the authorisation for a covered bond programme has been granted; 3. a bank shall issue covered bonds without having been authorised in accordance with the provisions of Chapter Six; 4. an issuer bank shall not comply with the requirements for keeping a cover register in accordance with Section VI of Chapter Two; 5. a bank issues covered bonds that do not meet the requirements for separating the assets from the cover in accordance with art. 49; 6. a bank issues covered bonds that are not covered by eligible assets meeting the requirements of Section I of Chapter Two; 7. a bank issue covered bonds that are covered by assets located in third countries in breach of the requirements laid down in art. 5, para. 2 - 4; 8. a bank shall include assets in the cover pool of covered bonds using an intra-group structure for issuing covered bonds within the meaning of Chapter Two, Section III, in breach of the requirements of that law; 9. an issuer bank shall not comply with the conditions for joint financing laid down in Section IV of Chapter Two; 10. an issuer bank does not comply with the requirements for the composition of the cover pool laid down in this law, including the requirements for supplementing or replacing assets from the cover according to the requirements of this law, the supervisory instructions of the BNB and/or the terms of the issue; 11. issuer bank does not comply with the requirements for derivative contracts in the cover pool set out in art. 10; 12. an issuer bank shall not comply with the requirements for the separation of assets from cover in accordance with the provisions of Chapter Two, Section VI and Chapter Eight; 13. an issuer bank shall not provide the required information or provide incomplete or inaccurate information in violation of the provisions of art. 46; 14. issuer bank systematically does not comply with the liquidity buffer requirements in violation of Art. 14. 28; 15. A bank issuing covered bonds with entities with the possibility of deferred maturity shall not comply with the conditions for their use laid down in art. 34; 16. An issuer bank shall not take into account the required information or provide incomplete or inaccurate information about its obligations in violation of the provisions of art. 47. (2) In the cases under para. 1 BNB may: 1. send a written warning to the persons under para. 1; 2. order in writing to the persons under para. 1 to take specific measures within a specified time limit necessary to prevent and remedy infringements, their harmful effects or the risk to investors' interests; 3. require an originator bank to change its policies, procedures and methodologies for the approval, modification, renewal and refinancing of the assets arising from its activities that are included in the cover pool of the covered bond issue; 4. require a covered bond issuer to appoint or remove members of its management bodies or employees who have been assigned special functions in relation to the covered bond programme; 5. set additional requirements for the issuer bank in relation to issued covered bonds; 6. require the issuer bank to make changes in the cover of covered bonds in respect of eligible assets or derivative contracts, including by changing the conditions under art. 38, para. 2 in which it has issued the authorisation for a covered bond programme and to require the issuer bank to increase the minimum level of over-security of covered bonds above or under the terms of the issue levels by including ancillary assets in the cover pool; 7. require the issuer bank to appoint a cover observer, to replace an existing cover observer in accordance with Chapter 4 or to make changes to the contract concluded with it; 8. require the issuer bank to replace the agent of the collateral or representative of the guarantors or to make changes to the contracts concluded with them; 9. replace the appointed extraordinary manager or make changes to the act of appointment; 10. inform the public of an activity related to covered bonds issued which threatens the interests of investors; 11. make public information about a committed infringement with an indication of the intruder according to the order of art. 75; 12. suspend the supply or sale of covered bonds from a given issue; 13. propose to the Financial Supervision Commission to suspend or remove covered bonds from trading on a regulated market or from another trading system from a particular issue; 14. request from the bank an issuer of covered bonds additionally or more frequently providing information than provided under art. 46 and 47; 15. withdraw the permission of a programme or issue covered bonds. (3) The Bulgarian National Bank may apply measures under para. 2 and where, on the basis of the evidence collected, it can reasonably assume that the issuer bank is likely to violate the provisions of that law and the implementing regulations within the next 12 months. (4) At the request of the BNB, the Registry Agency shall record the circumstances, respectively, the acts under para. 2, in the Trade Register. Section II............................................................................................................................. The Commission shall support the text of the importer for Section II. The Commission shall support the text of the importer for art. 71, as in para. 1 the word "acts" is replaced by "normal acts" and in para. 8 words.............................................................................. 70, para. Art. 2 The Commission shall be empowered to adopt delegated acts in accordance with the examination procedure referred to in Article 1 to amend this Regulation by means of implementing acts in accordance with the examination procedure referred to in Article 4 (2). 70, para. 2 of this Law, the provisions of art. 26............................................................................... Section III "Administrative Penal Provisions." The Commission shall support the text of the importer for Section III. The Commission shall in principle support the text of the importer and propose the following version of art. 72: Art. 72. (1) A bank issuing covered bonds without permission or in violation of BNB's permission under Chapter Six shall be punished with a penalty of 200,000 BGN. to the larger amount between 5 000 000 leva. and 5 per cent of the total annual turnover of the bank according to its latest report approved by its management body and in case of a repeated infringement of BGN 400 000. to the larger amount between 10 000 000 leva. and 10 per cent of the total annual turnover of the bank according to its latest report approved by its management body. (2) An issuer bank which has committed an infringement under art. Art. 24 or art. 25 is punished with a penalty of 10 000 to 250 000 BGN, and in case of repeated infringement from 20 000 to 500,000 BGN. The administrator of the bank, an issuer who committed a breach in the first sentence, is charged a fine of 5000 to 40,000 BGN, and in case of repeated infringement from 10 000 to 80 000 BGN. (3) An issuer bank which has committed a breach of Chapter Two, with the exception of art. 24 and 25, chapters 3rd, 5th, 7th and 8th of this law or of its implementing regulations, shall be punished with a penalty of 20 000 BGN. to the larger amount between BGN 1 000 000. and 2 per cent of the total annual turnover of the bank according to its latest report approved by its management body and in case of a repeated infringement of BGN 40 000. to the larger amount between BGN 2 000 000. and 5 per cent of the total annual turnover of the bank according to its latest report approved by its management body. (4) Observer of the cover, which committed a violation of Chapter 4 or other provisions of this Law and of the regulations on its application, shall be punished with a penalty of 15 000 to 100 000 BGN, and in case of repeated infringement from 30 000 to 200 000 BGN. (5) For the conduct or admission of infringements of this law or of its implementing acts, other than those referred to in para. 4 if the act does not constitute a crime, individuals are punished with a fine of 10 000 to 200 000 BGN, and in case of a repeated infringement from 20 000 to 400 000 BGN. If the intruder is a legal person or a sole trader, a penalty of 20 000 to 500 000 BGN is imposed, and in case of a repeated infringement from 40,000 to 1 000 000 BGN. (6) Who failed to comply with the administrative measure imposed by the BNB under art. 70, para. 2 is punished with a fine of 5000 to 100 000 BGN, and in case of a repeated infringement from 10 000 to 200 000 BGN, and if it is a legal person or a sole trader of 20 000 to 500 000 BGN, and in case of a repeated infringement from 40 000 to 1000 000 BGN. (7) Where the value of the losses acquired or the value of the losses prevented as a result of the infringement under para. A fine is imposed on the natural person up to the double amount of this value, but not less than 5000 BGN, and in case of a repeated infringement not less than 10 000 BGN, respectively the legal person and the sole trader shall be subject to a penalty to the double amount of this value, but not less than 10 000 BGN, and in case of a repeated infringement not less than 20 000 BGN. The Commission shall support the text of the importer for art. 73. The Commission shall support the text of the importer for art. 74, as in para. 1, t. 4 and 5 the word "supplier" shall be replaced by "supplier" in the case of "supplier" in the case of "supplier" in the case of "supplier" in the case of "supplier" in the case of "supplier" in the case of "supplier" in the case of "supplier." 6 the words "supervision under this law" shall be replaced by "supervision of covered bonds" etc. 7 after the word "preliminary', the words "reportable' shall be added. The Commission shall support the text of the importer for art. 75, as in para. 1 the word "sublegal' is replaced by "normal' and the words "in' in the publications contain information' are replaced by "reporting information'. The Commission shall support the text of the importer for art. 76, and after the word "supplied" "supplied" is added. "Additional provisions'. The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 1, i.e. 14 the word "law" is replaced by "this law" and so on. 21 the words "or public supervision" shall be deleted. The Commission shall support the text of the importer for § 2 and shall replace the words The Commission shall support the text of the importer for § 3 and shall, at the end of the day, be added (OJ L 328/29 of 18 December 2019). It's all right, it's all right, it's all right. "Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. Under § 4, there is a proposal of the MP Lyubomir Karimanski, made in accordance with Article 4. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 4: ............................................ By 8 July 2022 the Governing Council of the Bulgarian National Bank shall issue the regulations under art. 26, para. Art. 6, Art. 32, para. Art. 5 and art. 44, para. 5. The Commission shall, in principle, support the text of the importer and propose the following version of § 5: .................................................................................. (1) The law on mortgage bonds (prom., SG No. ...) is repealed. (2) For mortgage bonds issued until the entry into force of this Act, the regime of the repealed Law on mortgage bonds shall apply. The Commission shall, in principle, support the text of the importer and propose the following version of § 6: ........................................................... (1) Bonds issued before 8 July 2022 by a credit institution having its registered office in a Member State which is subject to supervision to protect bond holders, including the requirement that the bonds raised by the issue be invested in assets which, throughout the period of the issue, provide cover for the claims relating to bonds and which, in the event of the issuer's insolvency, are used as a priority for the repayment of liabilities to bondholders until their maturity is deemed to be covered bonds within the meaning of that law. (2) The Bulgarian National Bank shall monitor whether the bonds under para. 1, the issuer of which is a bank authorised to operate under the Credit Institutions Act shall comply with the requirements laid down in para. 1. Chapter 9 shall apply accordingly. Under § 7, there is a proposal of the MP Lyubomir Karimanski, made in accordance with Article 7. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall support the text of the importer for § 7, i.e. 2 everywhere the number The Commission shall support the text of the importer for § 8, i.e. 2 words. The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011 of 25 October 2011 laying down detailed rules for implementing Regulation (EC) No Under § 9, there is a proposal of the MP Lyubomir Karimanski, made in accordance with Article 9. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of § 9: ..................................................... In the Law on Bankruptcy (prom., SG No. ...) the following amendments and additions shall be made: 1. In Article 4 (1) (b), point (c) is replaced by the following: 3, para. 1, t. 1 Finally, the assets included in the covered bond cover register under the covered bond law are added. 2. In Article 4 (1) (b), point (c) is replaced by the following: 63, para. 3 after the words of the Ministry of Finance under art. 152b, para. 1 of the Public Finance Act. The claims of the creditors on covered bonds under art. 1 of the Public Finance Act shall be added. 26, para. 2 of the Covered Bonds Act. The Commission shall support the text of the importer for § 10. The Commission shall support the text of the importer for § 11. The Commission shall support the text of the importer for § 12, i.e. 4 words................................................................................. The following points are inserted after point 1 (Commission Implementing Regulation (EU) No 540/2011): The following information Under § 13, there is a proposal of the MP Lyubomir Karimanski, made in accordance with Article 13. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission does not support the text of the importer and proposes that § 13 be rejected. There is a proposal of the MP Lyubomir Karimanski, made in accordance with the order of art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission proposes to create a new § 13: ...... 13............................ 13. In the Law on Markets in Financial Instruments (prom., SG No. ...), in art. 80 words of mortgage bonds shall be replaced by covered bonds and the words of the mortgage bonds shall be replaced by the covered bonds. The Commission shall support the text of the importer for § 14. The Commission shall support the text of the importer for § 15. The Commission shall support the text of the importer for § 16, i.e. The amount of assigned revenue in accordance with Article 21 (3) of the Financial Regulation is estimated at EUR 150000. 2 words shall be comma and shall be deleted. The Commission shall support the text of the importer for § 17, and the words The Commission shall support the text of the importer for § 18, i.e. 1 the According to § 19 there is a proposal of the MP Lyubomir Karimanski, made in accordance with Article 19. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 19: "Seriously, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry. (1) The law shall enter into force from 8 July 2022, with the exception of art. 6, para. 4th sentence, second sentence, Art. 26, para. Art. 6, Art. 32, para. Art. 5, art. 44, para. 5 in connection with § 3 which shall enter into (2) Paragraph 9 concerning amendments to the Bankruptcy Act shall not apply to insolvency proceedings opened at the date of its entry into force.
ParlaMint-BG_2022-03-16.u183	Thank you, Mr. Shalafov. Colleagues, I'm opening a discussion on the texts read by Mr. Shalafov. Is there anyone who wants to make a statement? I can't see. I'm calling off the discussion. We shall proceed to voting on the following texts: the name of Chapter X, which is by importer; the name of Section I, which is by importer; art. 70, which is in the version of the Commission; the name of Section II, which is by importer; art. 71, which is in the version of the Commission; the name of Section III, which is by importer; art. 72, which is in the version of the Commission; art. Article 73, which is by importer; Art. 74, which is edited; art. Article 75, which is in edit; 76 also; the name "Additional provisions', which is by importer; § 1, which is edited; paragraphs 2 and 3, which are also edited; the name "Transitional and final provisions'; paragraphs 4 and 5 which are edited; paragraphs 6, 7 and 8, which are also in the version of the Commission; § 9, which is also in the version of the Commission; § 10 by importer; § 11 by importer; § 12, which is in the version of the Commission; § 13, which is in the version of the Commission with a proposal to create a new § 13 and dropping out of proposals by the importer; § 14, which is an importer; § 15, which is an importer; paragraphs 16, 17 and 18, which are in the version, and § 19, which is also in the version of the Budget Commission. Eva Miteva?
ParlaMint-BG_2022-03-16.u184	(ITN, via Internet platform for video conference): For.
ParlaMint-BG_2022-03-16.u185	Mr. Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u186	Yeah.
ParlaMint-BG_2022-03-16.u187	Thank you, colleagues. They voted 131 MPs in the Chamber and 2 online.. 133 total: 124 in the Chamber and 2 online.. 126 total, not against, abstentioned 7. That's how the offer is accepted. We move on to item four of the agenda for today, namely: HEARING OF THE PRESIDENT OF THE STATE AGENCY FOR THE ENGINEERS AT THE MINISTER COUNCIL OF BENEFICIARY. 110 OF THE RULES ON THE ORGANIZATION AND WORK OF THE PEOPLE'S COLLECTION ON THE SITUATION OF CRISIS CENTRES RECEIVED BY THE STATE AGENCY FOR LEARNERS AND THE GENTITY OF THE AGENCY TO PRESENT EXPERT AND TRANSFERANCE. Importer: Elizabeth Belobradova from March 10th this year. Here you are, Mrs. Bellobradova.
