ParlaMint-BG_2022-03-30.u1	Colleagues, I think we can start the registration now. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u127	Thank you, Mr. Gechev. Is there a line to Mr. Gechev? Here you go, Mr. Chorbanov.
ParlaMint-BG_2022-03-30.u128	Thank you, Mr. Chairman. I will also reserve the right to speak afterwards. Ladies and gentlemen of the House, Mr. Minister! I can't help but think about the ideas I've been making so far. It is clear that we, as a national representation, should observe the best examples that can be taken from the system of higher education, and, of course, of doctorates around the world. Professor Gechev, the best part is when you get a PhD without a contest. There are no competitions anywhere in the world. I've been a PhD abroad. No one's doing a contest. There is an interview with all the candidates and it is only and only the responsibility of the scientific supervisor whether to choose him or not to choose him. He has all the responsibility. The competitions, I can give you an example, are very distorting the right to choose a candidate in many courses at least in the way they are done in our country. I have four PhDs and five currents. Thank God something like this has not happened at the moment for a number of reasons, but the possibility of a project choice to work on a particular PhD is a wonderful opportunity and I would strongly support such an idea. The second thing about remuneration. A project may give any remuneration within the project. There's nothing scary about it being much bigger than a standard doctorate. And no, it's not the same terms. In the same university or scientific institute, in the same department or department the conditions are different. And I can tell you what that is. That's the doctorate chief. If the doctorate chief can provide more funds that are better for the people who work for him, this should be stimulated in all possible ways. It should not be relied entirely on the state to make any compensation or to limit people working in PhDs. Thank you.
ParlaMint-BG_2022-03-30.u129	Thank you. Do you want a hole, Mr. Gechev? Here you go.
ParlaMint-BG_2022-03-30.u130	Thank you. Dear colleague Chorbanov, we will not argue, as universities around the world differ in different programmes. I know the American system best, I know European universities, I've been a committee member at such competitions. There must be a difference somewhere, but agree, you can't leave it to one member of the department, whether it's a professor, there are several professors in the department, they can make a single decision. If perhaps in medicine there are any differences, but every leading university around the world announces every year competitions on certain PhD topics for PhD PhDs, where many master graduates from around the world appear to apply for the corresponding PhD. The fact that there are established scientists anywhere you can invite a colleague you have noticed in the stream, in the seminars you work with, invite him to participate in the PhD contest if he has such qualities, but everywhere there is a commission in the department or in the faculty which is pronounced on these applications. But I say again, there are no exceptions under certain conditions, of course, which must be written in the Law. Secondly, we have no difference in the fact that PhD students who participate in scientific projects and carry out scientific projects that are funded will also receive greater remuneration. There was a nuance here I noted that when there are PhD students in one research unit, under other equal conditions it is good to include these PhD students in the projects as well. Otherwise, agree that in the same department you will have young people PhD students, from which one can receive 710 BGN, the other Whoever works more gets more, but agree, it can also create tension. Just have some doctoral priority that we've chosen and we've already included. I don't think there'll be any differences here, because at least in our faculty and departments, the first thing we do in science projects is include the PhD students who are in the department. So I don't see any differences, but as you can see, there are things that need to be specified in both the Law and the Rules, so that the fan is open, let's give way to scientific projects to include more young people. The best thing is when a doctorate is related to practice, to a specific scientific project. Then the PhD students and the scientific leaders will be satisfied, and most importantly the business or state that will benefit from this product. Thank you.
ParlaMint-BG_2022-03-30.u131	Thank you, Mr. Gechev. Mr. Chorbanov, do you want the floor? Here you go. [[Reply.]] The first one at the time is the first one in law. He had made a request before then. Excuse me.
ParlaMint-BG_2022-03-30.u132	Thank you, Mr. Chairman. Dear Minister, ladies and gentlemen of the House! Now I'm essentially commenting on the bill. From our point of view, the bill is on the right track. It is necessary and the changes that are put into it are necessary in order to optimize many of the procedures that currently weigh. It's clear I'm gonna go with the students and the PhD students. When it comes to students, for example, it is much easier to make such a system of training between several universities. The specialties are flexible, they are not formed, they are not exactly fixed and we can even see that the same specialty can sound in many different ways in different universities. This, of course, is the right approach and the right opportunity for multidisciplinaryness. Of course, this is not applicable to PhD students at this stage, because in the Law they are bound by ciphers, with a way to protect, and if, for example, we do a joint doctorate personally from some of my laboratories and the Medical University, it will have to be assigned to one of the two places and it will receive the code at one of the two places, a cipher at one of the two places. There's no way he gets a cipher for both PhD in biology and PhD in medicine. There is no way this is going to happen at this stage, of course, there is yet to be thought here in this respect. Of course, including, again, PhD students in projects is extremely good, because projects are being worked around the world and so far so very much so. You couldn't at least hire a PhD student in my field if you didn't have funding. If there's no project, this PhD has nothing to do. This is an additional opportunity to give a broad front to more people to be tied directly to this programme, so this is a good initiative. Of course, there will have to be some clarification between the first and second votes here, by saying again what we said and in the Commission: it is good to fix that after the end of this project the PhD student should enter into the norms that are set in the Law on the Development of the Academic Staff, or to enter into the rules in which the funding stops, but its training can continue according to the rules, understand, there is time for one year additional work, then additional years are given respectively, in which he can defend himself, and this gives an additional freedom for the doctor to process the results, to include them in publications and so on. Publications are, of course, important and it is good to be refined as texts... should be scientific publications. I will only allow myself to comment again on Professor Gechev's separation protocols around the world are gone. From here to Trinidad and Tobago participating in an article is participating in an article and that's all. It's not necessary, it's only the scientific supervisor's responsibility to assess what his PhD's involvement in this work is. He doesn't need to have completed the entire project, and there's no way. You are working on the project. He can participate. In our law it is said well enough that with the same work can not be protected two dissertations. In other words, if two PhD students work on the project and participate simultaneously in three publications, they cannot protect both a dissertation and these same publications. It's clear and clear enough. And last but not least, plagiarism. Plagiarism is a modern nightmare for many people, because it eventually reveals in the past who has done what. There are already software that translate from English to Bulgarian, from English to German. You know, a few ministers in Germany caught them, so to speak, with rewritten texts from English. However, it should be very precise what plagiarism is and how it can be commented. Of course, plagiarism should not be confused with quoted literature, because in each scientific work there are enough texts that quote foreign literature, but this should be clearly and accurately mentioned and perhaps need to be refined the text between first and second readings again. Thank you.
ParlaMint-BG_2022-03-30.u133	Thank you, Mr. Chorbanov. Is there a line to Professor Chorbanov? I can't see. Dear Professor Mikhailov, come in.
ParlaMint-BG_2022-03-30.u134	Thank you, Mr. Chairman. Dear Mr. Chairman, Mr. Minister, honourable colleagues! I am impressed by the desire of the lawmaker to enter into a topic which is extremely important for Bulgarian science and thus to try to stimulate it. In this sense, I agree with the statement of colleague Gechev and colleague Chorbanov on several basic things, which I will also allow myself to stop at, because they are very neural and treated in this law and, by my humble judgment, can lead to incorrect interpretation, under incorrect composition of the law, to an explosion of negative phenomena that can vitiate the desire of the Law to promote research. First of all, what Professor Chorbanov said here, every research work has several parts. One part is reviewed, which defines what is the problem that the researcher wants to solve and then enters the special part where he presents his scientific data and conclusions from them. That is why I fully agree with Professor Chorbanov that we must very carefully in the Law, but really very carefully, if not in the law itself, then in its provisions... in the final and in a regulation accompanying the law itself, determine the concept of plagiarism, because in the attitude to the problem the author is forced to quote and use sources that are fundamental in the relevant branch of science. And if this is what the search for plagiarism is concentrated on in him, then things can be very dilated to a very heavy degree and corrupt the work of the one who has engaged with him to disrupt his scientific self-esteem and forever deprive him of the desire to engage in science. I want to share with you here as a person who spent 40 years on medical science in Bulgaria, that the problem is that I do not know how Professor Chorbanov is at the Bulgarian Academy of Sciences, in the Medical University is in a very difficult situation, a very difficult situation. The number of PhD students has been steadily reduced for the last 10 years for many reasons that are outside the subject of this law, but when we form the Law, we also need to know what consequences it may have. And here comes the second thesis I want to mention in defence of what Professor Gechev said. When we talk about the reliability of the data, it should be taken into account only the primary reliability of the data, as the conclusions being drawn on the basis of the data, I can give you two examples that in my life have remained as a red track and I quote them to my students during lectures. About 20 years ago, a trend of breast cancer transplants occurred in the world based on studies by a South African university, and this became literally an avalanche throughout the world, all transplant centers started transplanting patients in the advanced stage of breast cancer, after which I still remember this congress in Curajor in Italy, came a group that had done a complete analysis of the data not but the conclusions of a colleague, after which the frequency of the transplanted cancer patients catastrophicly decreased throughout the world, as they proved that the data were somehow inadequate but commented and the conclusions to them were incorrect, and this led to very serious changes, and for the colleague himself led to very serious, so to say, consequences, inability to participate in scientific forums yet years to come. The second issue, which relates to the reliability of the data. During a similar study in San Antonio in the United States, we compared reliable data, Mr. Minister, to a group of women with the same disease. If the age is between 40 and 45 years old, the results are quite different with the same therapy instead of the age between 45 and 50 years old. This means that when we have a claim to the relevant scientific artist to present the authenticity of his data, they should only turn to primary assurance. The findings are his right. They can be disproved by the development of discipline, whether it be medicine or any other discipline, it is not only about biological sciences, it can also be about human sciences, but otherwise the concept of authenticity can be commented on in many aspects. It relates to the conclusions of scientific work. And that is why my wish is for you, first of all, that the period between first and second reading be as extended as possible. Secondly, to actually attract all higher education institutions, because they have a completely different tract, opportunities to activate scientific activity through projects. I would like to share here with the esteemed audience, who deals with this serious legislation, that projects in the field of clinical medicine are extremely expensive and when you speak here at one point, I will now allow myself to read it: i.e. 8 of § 4: The Doctoral Students under para. 7 are accepted....and so on....and/or funding of their education................................................................................................... [[the President signals that time has run out]] . Thank you, Mr. Chairman, I'm done. But there's no talking about funding the science project. Much of the scientific projects supported by our country in the field of health, clinical medicine cannot be implemented due to a lack of funding, which must be very serious. Therefore, perhaps the Law should also pay attention to the problems of funding scientific projects. It should be defined in some way, assisted by the state, so that the doctoral students feel at ease that they can really complete a project. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-30.u135	Thank you, Mr. Professor. Are there lines? Here you go.
ParlaMint-BG_2022-03-30.u136	Thank you, Mr. Chairman. My line is to the esteemed Minister, Mr. Chairman! My line to you, Professor Mihailov, is to support what you say, because really, when we defend a thesis when we're dissertations, we actually do what we do at first, we do a literary review. In this literary review, of course, we quote people who have previously done this topic, but in fact the most important part of this thesis is the discussion and that is where we should see whether there really is some kind of plagiarism, or things are clarified and are accurate. The other thing is that we are already seeing more and more often that we have a mixture of two scientific areas. For example, I can give, as is in my specialty, the orthopedics and traumatology, it is an air medicine, but most of our thesis and PhD students are currently doing research and practical application, biomechanical research, which then implements in their scientific work, which is when this moment really comes when we don't know it will be a PhD in biomechanicals or will be a PhD in medicine. This really needs to be regulated very well, because problems will then arise. Thank you. Thank you, Professor Baltov. Mr. Secretary, come in.
ParlaMint-BG_2022-03-30.u137	Good afternoon! Mr. Chairman, ladies and gentlemen of the House! First of all, I want to assure you that these proposals for changes are very focused. They introduce in our legislation practices that are widely used abroad and are introduced in a way that has been drilled into many places around the world for years, so my request is not to look for any, how can I say, uncertainty about what we want to achieve. Rather, we are trying to catch up on years of behind in terms of methods and forms that are used abroad. Part of the discussion, which has been forming in the last 15 minutes, is in the wrong direction. There is still a definition of plagiarism in the Law. This definition is used very successfully by the National Committee on Academic Ethics, and therefore my request to the MPs is to read what is currently in place to see what we are building on. Indeed, there is no definition of unreliable scientific data, but this did not prevent the National Committee on Academic Ethics from referring these conditions, these analyses right to the problems that you are putting in place. Obviously, if you're using foreign data and they're unreliable, it's not your problem, it's the problem of whoever posted them for the first time. I would like to speak, however, to prevent attempts to delay this bill. He is late in several respects and my call is to give no more than two weeks to be able to finish the texts, to be refined. I assure you that we will take into account all the proposals that have been made and which can correct the texts and which do not change the meaning of the Law, because there are several urgent tasks that we need to solve. That's the most important thing I have to say right now. Please don't delay the law. Thank you.
ParlaMint-BG_2022-03-30.u138	Professor Mihailov, you have the right to the back of your head. Here you go.
ParlaMint-BG_2022-03-30.u139	Thank you, Mr. Chairman! I thank my fellow Members, who replicated me, and Mr. Minister, for addressing our speeches. I can only thank Professor Baltov, he made his statement in favor of what, I think, I also claimed. With all due respect to you, Academician Denkov, when I hear in Bulgaria that I am absorbing something that is abroad, I am starting to get a little goose bump. And I'll tell you why. That's when the famous clinical trails appeared, which had a place in only one state of Australia. Somewhere they showed up, someone sent them, they abducted themselves, they infiltrated all the health care with the shield, that it was an experience from abroad. I dare not question what you say. You claim that there is a long-standing definition of plagiarism, which perhaps should in some way also be refined modern, but not always, not always the mechanical implanting of experience that is civil... If we make a comparison, I do not want to enter into these debates here before the respected Members of the National Assembly, do you understand the difference between the level of science in the United States of America and the Kingdom of Japan, Western Europe, on a far more modest level, to be honest, and the Republic of Bulgaria? And if we introduce a mechanical attempt to assess scientific activity from a country that is a leader in the world in the field of science in the Republic of Bulgaria, we will not get the necessary effect. Therefore, I do not plead that the Law be returned nor that the term be extended indefinitely. There are legal norms for the extension of this deadline and for the solution, but as a person who is a respected member of our academic community, I allow myself, I hope he is not angry with me and Professor Baltov or Professor Gechev or Professor Chorbanov for expressing our considerations. Because so little came out that you don't know what you're talking about here, we've decided all this, we've had experience from abroad, we'll implant it and so on. That is not our reason for our speeches. The reason is already the fragile scientific activity in Bulgaria, which is here and your colleague, the former minister, he knows what the state of Bulgarian science is, it is not pink at all. And if we put things that are not in their place, we can get an effect that will not be satisfactory to the entire nation. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-30.u140	Thank you, Professor. Mr. Secretary, come in.
ParlaMint-BG_2022-03-30.u141	With great respect to all those who have spoken, I simply cannot leave the last sentence. Bulgarian science should not be underestimated. I know her well enough, I know strong scientific schools, I have compared with other countries around us and I can assure you that Bulgarian science is at a normal European level, of course, not one of the leading countries. So we shouldn't underestimate her. Rather, we need to help her, as has been mentioned, to remove obstacles to her so that this potential can develop. I just can't afford to leave without saying that there's really nothing to be ashamed of. We need to work harder. Thank you.
ParlaMint-BG_2022-03-30.u142	Thank you, Mr. Secretary. Are there any other speeches? I can't see. Honourable Members, I put to the first vote a bill amending and supplementing the Law on Higher Education No 47 202-01-1, submitted by the Council of Ministers on 18 January 2022. They voted 151 MPs: 139 against 12, without abstention. By the way, online I missed to... The bill has been passed. Procedure between the two readings. Here you go.
ParlaMint-BG_2022-03-30.u143	Dear Mr. Chairman, on the basis of art. 79, para. 1 of the Rules of Procedure I am proposing an extension of the time limit for written proposals under the newly adopted Law amending and supplementing the Law on Higher Education by seven days, i.e. 14 days. Thank you.
ParlaMint-BG_2022-03-30.u144	Thank you. I shall put to the vote the procedural proposal made. Miroslava Petrova? They voted 145 MPs: for 145, against and abstention there is no. The motion is accepted. Half an hour off. [[After the break.]]
ParlaMint-BG_2022-03-30.u145	Colleagues, it's been half an hour a few minutes. I think we should continue our work with the Draft Law on the ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth power supply of Mar resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022. First, we need to hear the report from the Committee on Budget and Finance. Is there a Commissioner who would like to present the report? As a last resort, the President of the National Assembly may, but what if there are members of the Commission? I'll give you the report, Mr. Dobrev.
ParlaMint-BG_2022-03-30.u146	The opposition is reading the report!
ParlaMint-BG_2022-03-30.u147	It's happened, Mr. Dobrev.
ParlaMint-BG_2022-03-30.u148	It's true. ♪ I can't believe on a bill for ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association concerning the nineteenth power supply of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022. At a meeting held on 17 March 2022, the Budget and Finance Committee examined that bill. The meeting was attended by representatives of the Ministry of Finance: Ivaylo Yaydzhiev The bill was presented by Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance. The nineteenth power supply of the International Development Association (MAP) is a comprehensive package of measures supporting the development of the poorest countries in the world that are aimed at creating job incentives; improving debt sustainability; supporting countries in a vulnerable and unstable situation affected by conflicts and crisis situations; strengthening regional integration and focusing on crisis preparedness. The International Development Association is financed mainly by additional funds of its members, so-called "feeds', with the use of its resources being reviewed every three years. So far, 19 MAP feeds have been approved, especially under the multilateral debt relief initiative. The practice established within the institution is to provide the majority of the resources of the periodically approved supplies in the form of a grant-free donation by members of the MAP with the status of contributors and a small part to carry out voting rights and to supplement the relevant entries. The original approved amount of the nineteenth power supply amounted to 82 billion. USD to be distributed within a three-year period from 1 July 2020 to 30 June 2023. Given the deepened impact of the CoVID-19 pandemic, the Association has conducted an analysis of the nineteenth power supply, which has shown that the envisaged funds may not be sufficient to meet the needs of the borrower countries, which is partly due to the preliminary supply of MAP with part of the nineteenth power supply resources to meet the needs of the member states to address the economic and health consequences of the pandemic. In the framework of meetings held between the participants on the 20th power supply of MAP, a decision was made to reduce the period of the nineteenth power supply from three to two years, to withdraw part of the resources (about 12.5 billion). This appropriation is intended to cover commitments remaining to be settled from previous years. From 2023 financial year to 2022 financial year and transfer to another part (about 11 billion) This appropriation is intended to cover commitments remaining to be settled from previous years. to the 20th power supply of MAP, as well as the change and redistribution of resources under individual programming policies in the general framework of the nineteenth power supply. The agreement provides for the Republic of Bulgaria to grant a grant to MAP amounting to 2.7 million. EUR in two instalments payable as follows: 1,8 million EUR 15 June 2022 and 0,9 million EUR on 17 January 2023 The Association will use the grant from Bulgaria to grant funding in the form of grants and guarantees in addition to loans to finance projects approved by MAP executives during the period of MAP 19. Bulgaria has been a full member of the Association since 3 November 2021 with the signing of the MAP Founding Treaty. In view of the conclusion of the Agreement prior to the completion of the country's membership procedure in the Association, a clause providing for the possibility, once Bulgaria becomes a member, to be able at any time to convert the amount of grant granted to MAP into a subscription bearing voting rights. The bill complies with the requirements of the Law on Regulatory Acts, the Decree on its implementation and of the Rules on Organization and Activity of the National Assembly. The International Treaty is subject to ratification by a law of the National Assembly on the basis of art. 85, para. 1, t. 4 and 8 of the Constitution of the Republic of Bulgaria. After the discussion was concluded, a vote was held and the following results were obtained: 13 "for" and 1 "abstained." On the basis of the above and the results of the vote, the Committee on Budget and Finance proposes to the National Assembly to adopt a Draft for ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth supply of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022.
ParlaMint-BG_2022-03-30.u149	Thank you, Mr. Dobrev. There is a report from the Foreign Policy Committee. Here you go.
ParlaMint-BG_2022-03-30.u150	Thank you, Mr. Chairman. ♪ I can't believe on a bill for ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association concerning the nineteenth power supply of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022. At a regular meeting held on 2 March 2022, the Foreign Policy Committee examined the Draft Law on the ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth supply of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021. The reasons for the bill were presented by the Deputy Minister of Finance Ivaylo Yaydzhiev. The International Development Association is an organization of the World Bank Group established in 1960 to complement the activities of the International Bank for Reconstruction and Development by promoting economic development, increasing productivity and raising standards of living in the less developed territories of the world. The International Development Association supports the poorest countries by providing loans under subsidiary conditions, grants and technical assistance, and is also committed to debt relief under various initiatives. All Member States of the European Union, except Malta, are members of MAP. The decision of the MAP Governing Council on the nineteenth power supply is an authorised contributory contribution by 23 Member States................................................................................................................................................................................................................................................ The Republic of Bulgaria has been a full member of MAP since 3 November 2021. The agreement provides for the Republic of Bulgaria to grant a grant to MAP of 2,7 million. EUR in two instalments payable as follows: 1,8 million EUR 15 June 2022 and 0,9 million EUR on 17 January 2023 The Association will use the grant from the Republic of Bulgaria to grant funding in the form of grants and guarantees in addition to loans to finance projects approved by MAP executives during the period of MAR 19. MAP 19 is intended to continue the strong support of small countries, focusing on achieving economies of scale, harmonizing policies, strengthening preparedness and crisis sustainability and adapting to the effects of climate change. No additional costs, transfers or other payments are necessary for the implementation of the Draft Act. The payment of the contributions provided for in the Agreement will take place after the completion of the internal legal procedures of the Bulgarian Party for its ratification. The necessary funds under the Agreement will be provided within the framework of the state budget for the relevant year in the part of the financing of the budget balance. The draft law is not related to the transposition of European Union acts. The bill is subject to ratification by a law of the National Assembly on the basis of art. 85, para. 1, t. 4 and 8 of the Constitution of the Republic of Bulgaria. On the basis of the discussion held and the subsequent vote, the Committee on Foreign Policy with 10 votes for the Council of Bulgaria and the International Development Association on the Nineteenth Powering of MAP Resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022.
ParlaMint-BG_2022-03-30.u151	Thank you, Mrs. Korcheva. We also presented the Report to the second committee on this bill. I'm opening a discussion on the bill. Come in for a speech. You have the floor.
ParlaMint-BG_2022-03-30.u152	Mr. Chairman, at the beginning of the month in Bulgaria people fought for oil, not because the oil would run out, but because it was expected to increase its price from one lev. A week before that, they were lining up for fuel. Again, the cause was expected to grow by 10 pennies. In Bulgaria, a rich European and prosperous country is shutting down hospitals, closing schools, closing settlements. We must now vote on granting aid of nearly 3 million. Euros of the money of these same people who fight for oil to help developing countries. No one is saying that Bulgaria itself needs help. We will not participate in this hypocrisy and will not support this vote with a positive response. Thank you.
ParlaMint-BG_2022-03-30.u153	Thank you, dear Mr. Ruschev. Are there any lines to that statement? I can't see. Are there any other statements on the bill? I won't. I'm closing the debate on the bill. I put to the first vote a bill for ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth power supply of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021. Miroslava Petrova? They voted 129 MPs: 117 against 11, abstention 1. The motion is accepted. Here you go, Mr. Gechev.
ParlaMint-BG_2022-03-30.u154	Dear Mr. Chairman, colleagues! On the basis of art. 76, para. 2 of the Rules on Organization and Activity of the National Assembly, I propose the bill adopted in the first vote for ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth powering of MAP resources, concluded by Exchange of Letters of 1 and 2 November 2021, No 47-202-02-2, submitted by the Council of Ministers on 10 February 2022, to be adopted at the second vote in today's plenary session. Thank you.
ParlaMint-BG_2022-03-30.u155	Thank you, Mr. Gechev. First, we are voting on the proposal to be considered at second reading. We are voting for the ratification bill to be reviewed at second reading in today's sitting. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u156	Yeah. They voted 136 MPs: 122, against 12, abstention 2. The proposal to consider and at second reading is accepted. Here you go, Mr. Gechev.
ParlaMint-BG_2022-03-30.u157	Thank you, Mr. Chairman, colleagues! THE LAW OF THE on the ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth power supply of MAR resources concluded by Exchange of Letters of 1 and 2 November 2021 A single member. Ratification of the Grant Agreement between the Government of the Republic of Bulgaria and the International Development Association on the nineteenth power supply of the resources of MAR, concluded by Exchange of Letters of 1 and 2 November 2021
ParlaMint-BG_2022-03-30.u158	Thank you, Mr. Gechev. Are there any statements on the bill? I can't see. I'm closing the debate. I put to the vote at second reading the text of the Law read so read by Mr. Gechev. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u159	Yeah.
ParlaMint-BG_2022-03-30.u160	140 MPs voted: 126 against 11, abstention 3. The motion is accepted. Moving on to the next item on the agenda: LAW FOR THE RATIFITING OF THE AGREEMENT BETWEEN THE REPUBLIC OF BULGARIA AND THE INTERNATIONAL BANK FOR THE RECOGNITION AND DEVELOPMENT OF THE RESTRUCTURING OF THE RESTRUCTURING OF THE REPUBLIC OF BULGARIA WITH THE INTERNATIONAL BANK FOR RECOGNITION AND DEVELOPMENT RELATED TO THE WITHDRAWAL OF THE BANK OF THE USE OF LIBOR AS A REFFERED LECTURE PROCEEDING IN THE NOTICE OF THE WORLD BANK OF 11 AUGUST 2021, AND LISMO-OTCOMPONED TO THE REPUBLIC OF BULGARIA OF 4 FEUBER 2022 The Budget and Finance Committee has a report. Here you go, Mr. Gechev. First clearance procedure.
ParlaMint-BG_2022-03-30.u161	Dear Mr. Chairman, colleagues! Please, on the basis of art. 43, para. 2 of the Rules of Procedure of the National Assembly to vote for the following persons to be admitted to the Chamber: Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance, Mrs. Svetlana Panova, Head of the Department of International Financial Institutions and Cooperation at the Ministry of Finance, and Mrs. Desislava Lazova, State Expert in the Directorate of International Financial Institutions and Cooperation at the Ministry of Finance.
ParlaMint-BG_2022-03-30.u162	Thank you, Mr. Gechev. I shall put to the vote the proposal for admission made in this House. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u163	Yeah. They voted 123 MPs: 116, against 5, abstention 2. The motion is accepted. Please invite the guests to the hall. Mr. Gechev, present the Report to the Commission.
ParlaMint-BG_2022-03-30.u164	Thank you, Mr. Chairman. ♪ I can't believe on a bill for ratification of the Agreement between the Republic of Bulgaria and the International Bank for Reconstruction and Development on amendments to the loan agreements of the Republic of Bulgaria with the International Bank for Reconstruction and Development relating to the withdrawal of the Bank from the use of LIBOR as a reference rate, as notified to the World Bank of 11 August 2021, and a letter reply to the Republic of Bulgaria of 4 February 2022, No 47-202-02-4, submitted by the Council of Ministers on 2 March 2022. At a meeting held on 17 March 2022, the Budget and Finance Committee examined that bill. The meeting was attended by representatives of the Ministry of Finance: Ivaylo Yaydzhiev The bill was presented by Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance. By its Decision No 101 of 2 March 2022, the Council of Ministers proposed to the National Assembly to ratify an Agreement contained in the World Bank's notification of 11 August 2021 and a reply letter from the Bulgarian side of 4 February 2022 informing the National Assembly that it did not object to amendments to the loan agreements of the Republic of Bulgaria with the International Bank for Reconstruction and Development relating to the withdrawal of the Bank from the use of LIBER as a reference rate. The World Bank's notification is in the context of an initiative to transition its reference interest rate towards withdrawal from the use of LIBOR. As of 1 January 2022, LIBOR in euro is not quoted by the reference banks on the interbank market in London. According to the World Bank, such termination can be expected in terms of EURIBOR in the future. In order to maintain the compatibility of the financing and lending costs, the Bank has approved an initiative to transition its reference rate, the implementation of which requires an amendment to all loan agreements, in order to include provisions replacing the LIBOR or EURIBOR in existing loans in circumstances where the LIBOR or EURIBOR cease to exist or are no longer commercially acceptable for the management of its assets and liabilities. Currently, the Republic of Bulgaria is party to nine loan agreements with the International Bank for Reconstruction and Development, which are due interest based on LIBOR in euro, each of which is ratified by the National Assembly by law. The specific agreements, the laws on their ratification and the conditions under which the Bank may change the base for determining the interest rates on them are set out in the reasons of the Bill. The amendments to the loan agreements provided for in the World Bank's notification are adapted to all borrowers of the International Bank for Reconstruction and Development format, including replacing the concept of LIBOR with a new definition of reference rate. For loans in EUR, EURIBOR or other reference rate specified by the Bank shall be determined if it finds that EURIBOR has ceased to exist or is no longer commercially acceptable for the management of its assets and liabilities. The related amendments provide that the Bank will immediately notify the borrower of future changes and that another reference rate and related amendments to the provisions of the loan agreements will enter into force from the date of the relevant notification. According to the creditor, the provisions in force of the loan agreements listed above between the Republic of Bulgaria and the International Bank for Reconstruction and Development give him the right to change the reference rate on loans by notification to the borrower on the basis of a lack of objection. The specific case concerns an amendment of international treaties ratified by law, relevant to the operation of those same laws. From the point of view of relations with the International Bank for Reconstruction and Development, in which the Republic of Bulgaria is a member, the lack of opposition would constitute support for the implementation of an initiative of the international financial institution to transition the World Bank's reference rate towards withdrawing from the use of LIBOR. The bill complies with the requirements of the Law on Regulatory Acts, the Decree on its implementation and of the Rules on Organization and Activity of the National Assembly. The letter of amendment No 1 of the Financial Treaty is subject to ratification by a law of the National Assembly on the basis of art. 85, para. 1, t. 7 and para. 3 of the Constitution of the Republic of Bulgaria. After the discussion was concluded, a vote was held, which received the following results: 13 votes for the debate, without the opposition and the abstention. On the basis of the above and the results of the vote, the Committee on Budget and Finance proposes to the National Assembly to adopt, at first vote, a Draft for ratification of the Agreement between the Republic of Bulgaria and the International Bank for Reconstruction and Development on amendments to the loan agreements of the Republic of Bulgaria with the International Bank for Reconstruction and Development relating to the withdrawal of the Bank from the use of the LIBOR as a reference rate contained in a notification to the World Bank of 11 August 2021 and a letter reply to the Republic of Bulgaria of 4 February 2022, No 47-202-02-4, submitted by the Council of Ministers on 2 March 2022.
ParlaMint-BG_2022-03-30.u165	Thank you, Mr. Gechev. Only the Budget and Finance Committee is assigned this bill. I'm opening the discussion on it. Is there anyone who wants to make a statement? I won't. I'm closing the debate and moving on to the vote. I put to the vote for the first reading Draft Law on the ratification of the Agreement between the Republic of Bulgaria and the International Bank for Reconstruction and Development on amendments to the loan agreements of the Republic of Bulgaria with the International Bank for Reconstruction and Development relating to the withdrawal of the Bank from the use of the LIBOR as a reference rate contained in a notification to the World Bank of 11 August 2021 and a reply letter from the Republic of Bulgaria of 4 February 2022. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u166	Yeah.
ParlaMint-BG_2022-03-30.u167	Thank you. Vote a total of 138 MPs: for a total of 124, against none, abstention 14. The motion is accepted. Here you go, Mr. Gechev.
