ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u208	Thank you, Mr. Karimansky. I am opening the discussion on paragraphs 47 to 51, including the end of the Bill. Is there anyone who wants to make a statement? I won't. I'm calling off the discussion. Let's move on to the vote. We are voting from the title "Additional provision" and § 47 to § 51, including "to the end of the bill." Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u209	Yeah.
ParlaMint-BG_2022-02-02.u210	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u211	Yeah.
ParlaMint-BG_2022-02-02.u212	And Peter Chobanov?
ParlaMint-BG_2022-02-02.u213	Abstention.
ParlaMint-BG_2022-02-02.u214	Thank you. They voted in Hall 122 Members of Parliament and 3 online. The votes for are 118 in the hall and 2 online The motion is accepted. With this, we have exhausted this item on the agenda. Declaration please, Professor Tonev.
ParlaMint-BG_2022-02-02.u215	Dear Mr. Chairman, honourable Members of the National Assembly! Let me read a statement on behalf of the Parliamentary Group. We would like to inform you of our opinion on the exploitation of the health system on political issues. We have witnessed a human tragedy in the city of Vratsa, which is why one person is no longer among us. There is a series of medical and administrative facts that will show us the causes of this tragedy and whether it could have been prevented. We are about to find out what is needed to prevent such tragedies from happening again. Using a human tragedy for political purposes is one of the ugliest things we can imagine, especially from the stands of the National Assembly, which is not a precedent, unfortunately. We hoped and repeatedly appealed that this would not happen. Talking about an anti-human regime, about victims of the healthcare system are unacceptable and the least insulting to the thousands working in this system that save tens of thousands of lives, some of them will save our lives one day. And how will we feel at this moment when we have spoken from this stand against them?! We are all aware from here that at these levels of corruption in our country, tolerated in recent years, and the system very often works on muscle and far from perfect, but without reducing this corruption all efforts to sanitize the system will not result in the desired results. The Vratsa case has rocked the public, rocked all of us from The Change. Again, to talk about victims of the healthcare system is the most severe form of hypocrisy and populism. We remind you that the Minister of Health has already commissioned an inquiry into the case of the Medical Supervision Executive Agency and we believe that all facts and causal links will be announced to the public as soon as possible. We all want justice, but let's not get carried away with baseless accusations and finger waving, search for scapegoats, and especially the accumulation of political dividends against the backdrop of a tragedy of life. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u216	Thank you, Professor Tonev. Are you here for procedure? Here you go.
ParlaMint-BG_2022-02-02.u217	Mr. Chairman, since the morning when there was a Chairman's Council and then in the entire dialogues that we had at the beginning of the sitting, we are talking about double standards that you, at the head of all of us, should avoid and end. In this regard, only a week or two ago from this tribune I read a statement. Right after me, you allowed a line..a complete violation of the rules. A reply to a statement, after which there was a personal explanation of my statement, a second violation of the rules. In this regard, my procedure is, now we have the right, because you've already given it, we want a reply and I ask you to follow what you... [[Noise and lines.]]
ParlaMint-BG_2022-02-02.u218	Quiet, please!
ParlaMint-BG_2022-02-02.u219	...you've been put into practice.
ParlaMint-BG_2022-02-02.u220	Quiet, please!
ParlaMint-BG_2022-02-02.u221	A line, because both the left sector and the central one you're invading and you have double standards. Thank you. [[Noise and lines.]]
ParlaMint-BG_2022-02-02.u222	Mr. Ganev, I don't recall giving a reply to a statement, but I will review the transcripts, if you can, and you can tell me in which session I did so. I'll take a look at it specifically.
ParlaMint-BG_2022-02-02.u223	10:05 p.m.
ParlaMint-BG_2022-02-02.u224	Excuse me? At 10:05? What did I do at 10:05? [[Noise and lines.]] I gave him the procedure and she was with me. [[Noise and lines.]] Well, I also gave Mr. Ganev a procedure. [[Noise and lines.]] Please come in for a procedure. To me, right?
ParlaMint-BG_2022-02-02.u225	Yes, to you. When lies are uttered out of this tribune, you must react immediately because in the declaration we read and which was spoken here at 10:00, there was no point in any accusations against the Bulgarian doctors. I'm what... [[(Noise and lines. Commendations by "Keep On Changing": "Eee!"]] No, no, no, no, no, no, no. No, no, no, no, no, no, no, no, no, no, When I spoke, I made it clear what the problem was. The problem is that there is a protocol signed by the Minister of Health, a protocol that takes about half an hour per person, such is the protocol, and it does not depend on the doctor. I've been talking to doctors who are currently following the health rules... [[noise and lines]]
ParlaMint-BG_2022-02-02.u226	I didn't hear anything about me so far.
ParlaMint-BG_2022-02-02.u227	On the contrary, you tolerate lies. No one blames the Bulgarian doctors. Doctors now have the following choice: either follow the rules and thus suffer the citizens, or observe what they have sworn in the Hippocratic oath, and thus can be vulnerable, because someone can say that they do not comply with the rules that the Minister of Health has signed for them. Don't lie! Nobody blames doctors, on the contrary. Doctors are the ones who are currently working despite these rules, and the easiest way to solve the problem is to get your minister to remove this protocol. A man with a broken leg can't go in there and explain for half an hour if he had a sore throat. What kind of madness is this?!
ParlaMint-BG_2022-02-02.u228	Mr. Kostadinov, after all the procedure for me.
ParlaMint-BG_2022-02-02.u229	Mr. Minchev, the procedure for you was: do not let lies from this high place. You observe very closely and follow everything, do not let such a thing happen again.
ParlaMint-BG_2022-02-02.u230	Procedure!
ParlaMint-BG_2022-02-02.u231	For procedure you have the floor.
ParlaMint-BG_2022-02-02.u232	Thank you, Mr. Chairman. Dear colleagues, just one clarification to make in support of the request for a procedure by colleague Ganev that you do not remember because you were in quarantine at the time. The chairman of parliament then, colleague Vigenin, allowed after a statement a reply, separately and a right to a personal explanation...
ParlaMint-BG_2022-02-02.u233	Okay, I'll take a look...
ParlaMint-BG_2022-02-02.u234	...that's why we want there to be no double standards, I'm just specifying. Thank you, Mr. Chairman.
ParlaMint-BG_2022-02-02.u235	Thank you, Mr. Petrov. I'll go through the transcripts. Moving on to the next item on the agenda: PRESENTLY TERMINATION OF THE COMMISSION'S PRESENT'S RIGHT TO PROVIDE CORRUPTION AND TO TAKE OFF INDEPENDENCE OF DEFINITELY ACCOMPLISHED PROCEEDANCE. Maybe no discussions in twenty places. [[Relations from the National Representative Manol Genov.]] Colleagues, Mr. Genov, please! The next item is at the request of the Parliamentary Group of 47, para. 8 for early termination of the relationship of the President of the Commission for Countering Corruption and for the withdrawal of illegally acquired property. Quiet, please! A letter was received from the President of the Commission, which, on the basis of art. 11, para. 2, a proposal last from the Anti-Corruption Act and the withdrawal of the illegally acquired property implemented sends a Decision under Protocol No 1030 of 14 January 2022 to the Commission for Countering Corruption and for the withdrawal of illegally acquired property with a proposal for early termination of the relationship of the President of the Commission and an application to the National Assembly for resignation. The Commission's decision to counter corruption and to withdraw illegally acquired property is as follows: ? RESPONSIBILITY? on Protocol No 1030 of 14 January 2022 Today, 14 January 2022, the Commission for Countering Corruption and for the Withdrawal of Illegally Acquired Property in the Chamber: Vice-President Anton Slavchev; Member Antoaneta Tsonkova; Member Plamen Yotsov; Article Silvia Kudreva, in connection with a letter addressed to Mr. Anton Slavchev, Vice-President of KKCONPI, with an internal number of SW-01-356 from 14 January 2022, with an application for resignation of Mr. Sotir Tsatsarov, Chairman of the KKCONPI, the Anti-Corruption Commission and for the withdrawal of illegally acquired property HAS DECIDED He proposed to the National Assembly of the Republic of Bulgaria to terminate early as of 1 March 2022 the relationship of Sotir Stefanov Tsatsarov, Chairman of the Commission for Countering Corruption and for the withdrawal of illegally acquired property, on the basis of art. 11, para. 1, t. 2 of the Law on Countering Corruption and for the withdrawal of illegally acquired property due to his resignation. The application to the President to the National Assembly shall be as follows: To the National Assembly of the Republic of Bulgaria APPLICATION By Sotir Stefanov Tsatsarov "President of KKCONPI" Honourable Members of the National Assembly, on the basis of art. 11, para. 1, t. 2 I am resigning as Chairman of the Commission for Countering Corruption and for the withdrawal of illegally acquired property. Please terminate my employment with effect from 1 March 2022 There is also a work project that I will read to you: Project! DECISION on early termination of the relationship of the President of the Commission for Countering Corruption and for the withdrawal of illegally acquired property The National Assembly on the basis of art. 84, p. Art. 8 and art. 86, para. 1 of the Constitution of the Republic of Bulgaria and art. 11, para. 1, t. 2 in relation to para. 2 of the Anti-Corruption Act and the forfeiture of illegally acquired property and on a proposal from the Commission to counter corruption and to withdraw illegally acquired property pursuant to its decision of 14 January 2022. HAS DECIDED He suspended the relationship of Sotir Stefanov Tsatsarov as Chairman of the Commission for Countering Corruption and for the withdrawal of illegally acquired property as of 1 March 2022. My fellow Members, I am opening the discussion on this item on the agenda. To speak, Toma Bikov.
ParlaMint-BG_2022-02-02.u236	Dear Mr. Chairman, honourable Members! We expected Mr. Tsatsarov to be here after all. Having regard to his resignation and even more in the context of the fact that there is also criticism of his work and, on the other hand, in some way and positive statements, it was logical at the end of this terminated term that he would also give some report from this tribune to the National Assembly, which chose him for this position. From what we've seen, the dot was scheduled for tomorrow morning. Now move to this moment, but I think there should be some discussion about this. I see you're in a hurry and I can't understand why today and not tomorrow? And what the hell would happen, or you don't want to have any serious debate on this subject, but I think what you're doing in this way is highly illogical. We at the Anti-Corruption Committee in Parliament had a hearing of Mr. Tsatsarov on all sorts of issues, but it happened a little by force, too. What is the problem with Mr. Tsatsarov coming, telling himself what he was doing, giving his opinion on some questions and moving on with some new law, as far as we can hear, and something we'll be looking forward to. But then we just let go, and then it's like nothing ever happened. It doesn't suit you because you're usually in the ruling majority about publicity, about transparency, about being heard in some way. When it comes to something important, you hid our energy proposal under the carpet in the morning, and now under the carpet is Mr. Tsatsarov, the carpet will end up very narrow. You push a lot under the carpet everything, and then the judicial reform under the carpet, and everything under the carpet, and when the carpet goes up, I don't know what we're gonna do. We have no problem with whether to listen to Mr. Tsatsarov or not to listen to him. I hope that one of my colleagues from the ruling majority will show some initiative on this issue. We will not take initiative. I make one remark about this approach. Unfortunately, it becomes a chronic approach, and will continue further. So be safe and God help you. [[Laughter]]
ParlaMint-BG_2022-02-02.u237	For a replica "St Konstantin Bachiiski," then Iva Miteva and Krum Zarkov. Just to be clear, we didn't move to the program. The proposal is deposited and is in the order of art. 47, para. 8 from the parliamentary group of "There is such a people" and that is why we are currently looking at it. Here you go, Mr. Bachiysky.
ParlaMint-BG_2022-02-02.u238	Colleague Bikov, a hearing of Mr. Tsatsarov was held in the press committee. As I recall, you were in it and the entire Bulgarian society, thanks to the many media that reflected this hearing. We have questions that Mr. Tsatsarov has answered. The results are clear and anyone can read them, they are public. This committee works inefficiently, but then I'll explain why it works inefficiently. Mr. Tsatsarov's resignation would have become a fact anyway, or the change in the leadership of the KKCONPI would have been a fact...................... whether a little earlier or a little later, it is not so important. It is much more important how this commission will work from now on, as to date the KKCONPI has made more saints safe than the Bulgarian Orthodox Church in the last hundred years. [[Applause from "We are continuing the Change."]] The people who were being checked almost all came out with a halo regardless of the data we have, and the public knows certain individuals, including some under the Law of Magnetski, who have been checked several times, and this leadership of the KPCONPI has found no argument with which to form, i.e. to find a discrepancy. I believe that the next Commission will have much more efficiency, so it is important what will happen from now on. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u239	Thank you, Mr. Bachiysky. Now Eva Miteva.
ParlaMint-BG_2022-02-02.u240	Dear Mr. Bikov, in this case we are in the hypothesis of resignation and the National Assembly to rule on it. There is a strong opinion of the Constitutional Court No 2 of 2018 on the resignation of the MP Delyan Dobrev, in which the Constitutional Court categorically says that this is subjective law. The National Assembly can only determine whether this resignation is real, categorical, to rule on it and to terminate it. He can't even solve anything beyond what the relevant authority has submitted. That is, we must accept the resignation as it was submitted by Mr. Tsatsarov. Moreover, in the Anti-Corruption Act adopted by GERB, in art. 11, para. 2 there is a detailed procedure which explicitly states that, after resigning from the President of the KKCONPI, it passes through a decision of the KKCONPI itself. In other words, it decides whether to accept this resignation and submit this decision to the National Assembly. If the MPs wanted to debate the release of Mr. Tsatsarov, they could have, on the grounds of art. 11, para. 3 of that same law to request and initiate resignation with one fifth of the MPs and then hold any hearings. That is, we are currently in a situation of resignation, which Parliament is simply obliged to accept. Thank you.
ParlaMint-BG_2022-02-02.u241	Thank you, Mrs. Miteva. And Krum Zarkov for the third line.
ParlaMint-BG_2022-02-02.u242	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Bikov, what Mrs. Miteva just recalled is a decision of the Constitutional Court which was taken at the request of MPs from BSP, so this is an absolute legal interpretation. There's no subject to talk here. I'm taking a line to answer Mr. Bikov's file for serious conversation. What's going on today? This early termination of the powers of the Chairperson of the KKCONPI is known even when he was elected. As is known, the failure of the organ that you created. And in order not to be very wordy, I will only remind you of then under the fanfare of a mega-, super-, hyperorgan who had to satisfy the pressure of international institutions because of Bulgaria's apparent failure to deal with one of its biggest problems, namely corruption on the high levels of power, the majority that you represented then, collected incompatible mechanisms under a hat. This coincided with the expiry of Mr. Tsatsarov's mandate as Prosecutor General and he found a port in this law. This is all our recent history. The reality, however, is that this is measured in a lot of lost time, in more reports that found that there were no high convictions on the high levels of power, in many more debates in different institutions and in different countries as to how corrupt our state is. This has to do with the fact that no one is investing here. This has to do with the fact that no one lives well here. This has to do with poverty. This has to do with every single problem, including those dramas that rock our society at night, which some people are trying to exploit here today morning. That's what happened! This resignation is in itself a pre-known act, and from now on my reply is no longer to you, but to the new ruling majority, we really need quality legislation and people to fill it with content. And in order not to allow Mr. Bikov and his colleagues to mentor, we need to do it quickly and qualitatively. We don't have time to waste, so let's move on. [[Applause from "We are continuing the Change" and "BSP" for Bulgaria.]]
ParlaMint-BG_2022-02-02.u243	Thank you, Mr. Zarkov. A hole? Here you go, Mr. Bikov.
ParlaMint-BG_2022-02-02.u244	Dear Mr. Chairman, honourable Members! Dear Mr. Zarkov, there is no way we can debate the new law within one line, so there is no way I can get to the point. Only for the last words you have seen so far is that fast and quality you can only raise the price of electricity. [[Noise and lines.]] Secondly, Mrs. Miteva, well, I agree, there is such a constitutional solution. As far as I understand, there is no debate at all, although there is one in the Rules, and we are currently in the framework of this debate, so I am speaking on it at all, but your political will is not to have such a debate at all, so I expect there to be no further speeches. And since there's not one side of the debate, if we start debating the solution here, it'll turn into some kind of comrade court where even the one we're suing isn't there. Mr. Bachiiski, we heard from Mr. Tsatsarov at the Anti-Corruption Commission on my initiative. After trying not to be heard under some formal arguments, we eventually managed to listen to it, thank God. This was the right decision, I think, because it was not only him, although we have not yet scheduled a meeting of the Committee on Corruption, there we will also have to listen to the head of the SANS on the same case, which is very serious. This is about withdrawing access to classified information from Mr. Tsatsarov. As for saints, I don't know if they're saints, but some of them are your sponsors for sure. There's something else interesting about this committee. Mr. Rashkov, this is what Mr. Tsatsarov said, and for me it was the most important thing, it turned out to be undeclared bank accounts and properties. You should be shocked to know how much corruption and embezzlement make you sick. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u245	Thank you, Mr. Bikov. Another statement? Radomir Cholakov.
ParlaMint-BG_2022-02-02.u246	Thank you, Mr. Chairman. My fellow Members, I wish I could explain once more what Mr. Bikov wanted me to say. He makes it quite clear, but it may not be unnecessary to continue these reasonings. Colleagues, this question is not formal again. He's not legal. Mr. Tsatsarov has resigned and the people's representation will vote on the fact that he has resigned. The fact that he resigned, however, I think it's a good reason to invite him into the room and talk to this man. And it seems to me that all the authorities that the National Assembly has elected by their own vote when their mandates are terminated forcefully or when their mandates have expired, or when they, as in the case of Mr Tsatsarov, resign, are good to be invited to the National Assembly, which once made respect to choose them, and it is good to make their respect finally hear them. Colleagues, look, I'm very sensitive to the institutionality we're all talking about. These aren't just people, these are organs that we have broadcast, and they are equipped with the highest degree of mandate. The strongest term, broadcast directly by the National Assembly! These are people with experience. As for example last week we talked for a very long time about Mr. Ivan Ivanov and very often mentioned his name and now Mr. Tsatsarov. This is a man who has been the chief prosecutor of this country for seven years, then four or how many years as chairman of the KKCONPI. He certainly knows a lot of things, certainly has a lot of experience and we certainly need to hear what he would have to say. And if these people are not invited to the National Assembly, we are not listening to their impressions, their experience, what they have to tell us, because I am sure that they can make proposals to the new legislation, and they will not be unreasonable proposals. Once again, colleagues, I am not based on the fact that people are ill-intentioned and evil. I come from the fact that people are well-meaning. Everyone has something to say and what to say, and if we too approach well - meaning, surely we can learn something. I'm in front of a guy who's been chief prosecutor for seven years and three or four years head of KKCONPI, I have respect in general, and I think I have something to learn from him if I want to. This little, how can I say, humiliating treatment of representatives of senior state institutions that we release and throw them away! I don't want to see you any more!?? It's not good for the institutional climate, it's not good for respect for the institutions, it's not good for the people's representation. We are not a board of a company that fires a director just like that, we are the National Assembly. And I say again, after the National Assembly has once voted in trust of these people, at the end of their mandates, no matter how these mandates end and end, it is good to listen to them, to show them respect for what they have done, if something has not finished, to make a remark to them, because as we are treating them now, tomorrow they will behave with the next It is clear that this understanding is not yet available, but once again I say: this is not a board of a company that fires and appoints employees to a meeting. This is a National Assembly where issues are discussed and decisions should be taken. In order to make decisions, these decisions must be informed and have respect for each other. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u247	Thank you. A line? Krum Zarkov, come in.
ParlaMint-BG_2022-02-02.u248	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Cholakov, I'm taking the liberty of taking a line to give you an answer. Mr. Tsatsarov and his commission submit a report every year, which is discussed in the National Assembly, is accepted and in which there is sufficient data. In addition, from yesterday our post office are proposals, which Mr. Tsatsarov has provided after his experience to discuss the new legislative changes. In other words, all matters of substance that you want to discuss are possible to be discussed. Of course, there's nothing wrong with him coming and saying here. I listened very carefully to what he said and what the Members of the Commission asked him, but that is not the important thing............... whether he will come here or not. What's important is how we approach things that are going to happen from now on. And what you have done now in your speech is roughly the following: we approach man with respect because he has been like this for seven years, eight years. Your right! Let's see if you're going to respect him when he's not at all, because this isn't about getting fired, it's about his volition. And I will tell you again: it was foreknown because of the way he took up this post, for the reasons why he took it, because of the Law that was assembled, because of the way this institution was constructed, because everything was proforma. In the best case for the eyes of Brussels, in the worst case, the cover-up of corruption that has been brewing in this country for years. That's the truth, and you may continue to show your respect, only I'm not sure who. [[Applause from "We continue the Change", "BSP for Bulgaria", and "ITN."]]
ParlaMint-BG_2022-02-02.u249	Thank you, Mr. Zarkov. Any other lines? Mr. Bachiysky.
ParlaMint-BG_2022-02-02.u250	Mr. Cholakov, I absolutely disagree with you that you see, here the man is suspended and forgotten about him. I would like to assure you as a member of the Committee on Prevention and Counteraction of Corruption that we will not forget Mr. Tsatsarov. We still have a lot of questions. We will continue to respect him and invite him regularly, in the good sense of the word I see that you laughed. We will invite him regularly even after his powers have been terminated, as we have a lot of questions for him not only in recent years when he represented the KKCONPI, but also at the time when he was the Attorney General. Personally, I have many questions about many cases of public importance. Don't take up your time now, you'll find out a little bit. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-02.u251	Thank you. Is there a third line? I won't. Here you go. Here you go. Here you go.
ParlaMint-BG_2022-02-02.u252	I laughed because you said: we will not forget Mr. Tsatsarov. I thought the way you treat a lot of people, they wouldn't forget you. Everything I wanted to say is expressed in one sentence: do not do to others what you do not want to do to you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u253	Thank you, Mr. Cholakov. Are there any other speeches? Here you go, Mr. Gurov.
ParlaMint-BG_2022-02-02.u254	Thank you, Mr. Chairman. Dear colleagues! Just a little more than a year ago, many people here from the hall together with our friends and associates stole every free minute, every free day, we traveled hundreds of miles to be here, around, in the squares, on the streets, around this building for one purpose, not because we had any political ambitions, but because we wanted to say clearly and categorically: "No to corruption!" So strong and widespread was the sense of corruption throughout society at all levels that voters and people supported us only and only so that we could change this vicious model of governance and save the country from corruption, which had seized it with terrible power. It was precisely "Nuleva's tolerance to corruption" that was the motto that people recognized and gave their trust, their hope of change. Today I can safely say: friends and associates, this day has come. The change has begun! Today, with this act, we end one of the brightest symbols of the conquered state of the model. [[(Applause from.. We continue Change......................................................................................]] Something that only a year ago seemed absolutely impossible today becomes a fact. What I want to emphasise is that our main task here is not to fight against one person or against one political force or another. Our task and cause is much harder. And it is to make such phenomena no longer happen in Bulgarian politics through legislative changes. So, as important as this resignation is, it's just the beginning. We have a long and difficult journey ahead of us. Experts in the coalition already have a clear view and position on what are the changes that we will be proposing in the structure of the Anti-Corruption Commission and in its powers in the coming days. The law on the judiciary has already been presented for public consultation. In the coming days, we will also initiate the establishment of a parliamentary committee that will seek broad support for constitutional changes, those that will ensure that these periods remain in the past. As I said at the beginning, we came with a clear request and it was zero tolerance for corruption. We have much more work to do, but today's decision to accept this resignation is a very good first step in this difficult road. I hope that in this order of thought Mr. Geshev will take an example from his mentor and soon we will have an occasion here to discuss another resignation. [[Applause from.. Continue Change..........................................]] Thank you. [[(Applause from.. We continue Change......................................................................................]]
ParlaMint-BG_2022-02-02.u255	Thank you, Mr. Gurov. Replices to Andrej Gurov? Alexander Ivanov, for a line.
ParlaMint-BG_2022-02-02.u256	Dear Mr. Chairman, honourable Members of the National Assembly! Dear Mr. Ghurov, although your statement was a light form of declaration, you obviously could not do it in the form of a declaration, because we have today such an item on the agenda to consider nice, heartfelt words. However, I was impressed by the idea that it was rather an attempt for some blurry fog to create for the citizens, the society of their problems today. A year ago, what it was and what your motives were, it's a good thing to mention. Zero tolerance against corruption must exist. It is this body that must exercise such control, but let us remember the following: a large part of your parliamentary group, with respect to each and every colleague in this Chamber, has succeeded people, my respects. It is nice when you go out and talk about this feeling of corruption, to give examples, because most of you have succeeded businessmen and when you talk about feeling, if you want this feeling to recreate to a reality, because a year ago you have passed, you are already ruling for 10 months, saying elementary examples and pointing them out. That's advice. I'm saying this out of the purest feelings, because otherwise there's only one that remains, let's say, a fog that is spoken of in space. Otherwise, concrete examples are always better especially than this tribune. You say: I have built a-a-a-and so examples are given. The other thing you highlighted is the vision. I hope your vision for changes has been made after a wide and deep analysis. Analyzing the last two or three months, when you already have an informed government, you are ruling, we are waiting for the results of these analyses. Looks like there's gonna be one. I hope they seriously fight corruption. At least that's what you said. These analyses, I hope, do not run out of hiring relatives and acquaintances, relatives on board, by enterprise, because we are now running out of these analyses. There are no solutions... [[The President signals that time has expired.]] I'm finishing up, Mr. Chairman. To Mr. Gurov, give examples, first of corruption, nice. The other thing that is, this analysis should be on the agenda of society. Unfortunately, you do not make decisions about the ill problems that today excite inflation, electricity prices. These are, Mr. Gurov, the things that interest Bulgarian citizens today. Thank you.
ParlaMint-BG_2022-02-02.u257	Another line? Hamid Hamid then Michal Kambarev.
ParlaMint-BG_2022-02-02.u258	Thank you, Mr. Chairman. Dear Mr. Gurov, it is good that you mentioned that you would seek a broad constitutional majority. Several times we have stated that we are open to conversation. But how many times have you come to have these conversations with us? You announce that you are preparing to set up a temporary committee to discuss the ideas of the Constitution. Well, we have a permanent acting one, it's called the Committee on Constitutional and Legal Affairs. What prevents this committee from having such a debate every week? Why wouldn't he be here? Before you vote on this decision tomorrow, my recommendation is that you at least change the name of the Standing Committee and that it will remain only for legal matters, and the temporary will make it constitutional. The practice so far in all the National Assemblys is that such a commission is created when there is a proposed project that is looking for a signature. If you don't have one, we'll introduce you today. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-02.u259	Thank you, Mr. Hamid. Here you go, Mr. Kambarev.
ParlaMint-BG_2022-02-02.u260	Mr. Gurov, allow me to make a slight remark to you. You're a university teacher, and I know you're used to talking at a higher level. I'm assuming that what you said wasn't understood by everyone. Examples have been requested, which will be given examples, for which I would like to sign up for a speech, in order to give specific examples and to say in a straight text what you want to hear, because it clearly needs to be in your language. Thank you. [[(Applause from.. We continue the Change.............................................. Replies from GERB-SDS: "Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, ……]]
ParlaMint-BG_2022-02-02.u261	A hole? No. To speak, Desislava Atanasova. [[Comments from GERB-SDS.]] He doesn't want the back. [[Reply by MP Desislava Atanasova.]] He doesn't want it, so I gave you your word.
ParlaMint-BG_2022-02-02.u262	Thank you, Mr. Chairman. Ladies and gentlemen of the House! First, a resignation is indeed a personal act not only in view of the Constitutional Court's decision in the event of such a case. It is strange for me, on the one hand, that a parliamentary group, not the President of Parliament, is proposing that this resignation be considered on the agenda this week of the National Assembly. Let's say this is a matter perhaps related to the organization within your quadruple coalition. Secondly, I insist that, when discussing Mr. Tsatsarov's resignation, we should definitely state from the parliamentary tribune that the National Assembly should also consider the Annual Report of KKCONPI, which is submitted every year by 1 March. We insist, as Mr. Tsatsarov's resignation takes effect on 1 March, the date he has indicated to find, Mr. President, time, if this report is submitted on your initiative, to put it on the agenda of future plenary days. What I have heard from some of my colleagues, the first request that we are already listening to more than maybe a year and a half for zero tolerance for corruption, for change, for legislative changes. It seems to me that I need to refresh the memory of a part of the plenary and to focus on the preparation of that bill, which made it possible for the CPCONPI to function in this Chamber and under this law. Dear colleagues, this has happened not so long ago. It happened when Deputy Prime Minister was Mrs. Meglena Kuneva. At that time, my colleague Nastimir Ananiev was part of the group of the Reformation Block. Then he insisted that this law, which you are now criticising, be the flag of the flag of the fight against corruption. I'm quite deliberately mentioning it by name. Then I think Hristo Ivanov was in the same government and already Minister of Justice. [[Noise and lines.]] So, when you are looking for the history of the processes, you can most calmly draw experience from those of your colleagues who are now a symbol of change, even though they are ruling with a party of the status quo, I am talking about BSP, which BSP then did not support the Law, which was flag, anti-corruption, of the same ones that I categorically marked. So, what's next? Yes, in the last year and a half, two names or three were a main slogan in your election exercises and activities. Borisov despite you earns confidence only last year three times in elections, and not by 6%, honourable Members from the rightmost part of the House, with more than 20%. Once we were a second political force, once we were a first political force, now we are once again a second political force within this Parliament, despite your rules of the Forty-Fiveth and Sixth National Assembly, despite the machines, despite everything. Tsatsarov yes, he resigned not because of you, as he told the Commission, his decision on this resignation was taken long before Prime Minister Petkov spoke about your people, who will be placed somewhere, and long before Mr. Tsatsarov's access to classified information was revoked. You have all heard that 15 days before his decision, Mr. Tsatsarov informed the presidents of parliamentary groups and the president. I hope you heard it well. Mr. Tsatsarov said other interesting things in this committee, although much of what you said had a training nature, because some of you had not even read the Law, which you have been commenting on for so long. But he also said that a number of checks are currently being carried out due to non-compliance with property declarations of a minister from the Ministry of Commerce and Industry of your government, Mr. Boyko Rashkov, i.e. the topic of zero tolerance for corruption, passionate speeches, declarations from the tribune relating to checks of ministers who have a discrepancy in property declarations, I think it is of no use to you. Next, only less than a week ago another amazing light came on, and it is not from the opposition, on the subject of corruption. Transparency International has measured an increase in corruption levels in Bulgaria. And this: when? When Prime Minister Ergo was Minister of Economy against the Constitution, he managed; when the Minister of Interior was Minister of Interior, when that change began, he managed; when the Minister of Finance was also Minister of Finance; he, in turn, was a long way back in time a participant in another cabinet. Then he appointed the wife of a current deputy prime minister in his office, and at the moment the same minister and the same deputy prime minister appointed one family on all boards the Laurer family, also a symbol of the Change. Let's go back to KPCONPI. Of course, I leave aside Mr. Gurov's declarative attitude to Mr. Geshev's resignation because I talked about the three who for a year and a half were the main theme of the Change. Mr. Gurov, you may be a university teacher, as your colleague called you. [[(Replies from]] Perhaps you are a university lecturer now, but when you are chairman of a parliamentary group, you should at least know that the resignation of the Attorney General is not discussed here in the National Assembly, it is discussed in the format of the Supreme Judicial Council. This is the body that chooses the Attorney General and accordingly, which releases. I do not know what changes you will be making from now on, but I hope that you will not change this rule because it guarantees the separation of authorities, the foundations of the judiciary and the judicial reform. Finally, I would say that I believe that the vote on this resignation by Mr. Tsatsarov is the first thing the majority will do without analyzing. There's probably nothing else. Although it's hardly on the agenda of society. But that's where the hard part begins. I think and predict your path to be difficult, but at the expense of this short! [[Applause from GERB-SDS.]] But big requests, dear colleagues, weigh as a responsibility. From today's resignation, we expect a new law and zero tolerance for corruption. It's your responsibility now! Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u263	For lines.. Georgi Svilenski, Nastimir Ananiev and Hamid Hamid. Here you go, Mr. Svilensky.
