ParlaMint-BG_2022-02-23.u1	Honourable colleagues, please register. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u276	Thank you, Mr. Bikov. Here you are, Mr. Vassilev. After that for procedure, Mr. Mitev?
ParlaMint-BG_2022-02-23.u277	Mr. Bikov, I won't talk to you about Djibouti because I wasn't there, but what I would like to talk to you about is the budget of the Ministry of Culture and the budget for culture in the country. [[Noise, lines from the National Representative Toma Bikov.]] I'm just looking at you. And I have a question for you. You speak a percentage of GDP, the budget must be a billion and 400 million. lv. Consider for a moment that the Ministry of Culture currently has a billion and 400 million. lv. ▪ What will he do with them? What would the Ministry of Culture do if today they received a billion and 400 million. lv.? Here is the answer to your question why they do not have them at the moment. Because there are no prepared footage, no prepared projects, no clear vision of what to happen in culture with this money. And the conversation hasn't raised everyone's salary by 10% in the last X years, with that number in the next X years. Speaking of change and who's good and who's bad, yeah, we're bad. We don't raise wages without real results across the street. And when the Ministry of Culture prepares its projects, make real results and the people who make these projects and real results, they will get no 10% increase, they can also get a 100% increase. But the people who sit and don't produce new results, I'm sorry, there will be no increase for them. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-23.u278	Thank you, Mr. Vassilev. [[National Representative Toma Bikov wants the floor.]] About what? Except in the manner of conducting it, but really short, Mr. Bikov.
ParlaMint-BG_2022-02-23.u279	Dear Mr. Chairman! Dear Mr. Deputy Prime Minister, I'm glad you have a bearing on this sector. One and four billion. You said it, not us. By the way, two months ago it was also clear that it could not, of course, from 280 million. The Commission therefore concludes that the measure is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. To jump to one and four, because there is no infrastructure to spend that money on. [[(Private applause from]] But why are you explaining it? Why do you promise that? Why do you promise it? That's my question. [[Noise and lines from.. We continue the Change.]] Second, take small steps. I'm not saying raise it 1%, it's far from my point of view, but small steps to develop this infrastructure. And something else. I heard today the phrase "Effective museums." I don't know what you mean by effective museums? What is efficiency, financial efficiency, cultural efficiency? That's the way it is for everything in culture. It can't be measured on a design basis. That's not a starter. There are institutions that may seem meaningless to you at first glance, but they have some meaning and it needs to be seen. It is not always in numbers and numbers described. There are subsequent benefits that Bulgarian society acquires and cannot only with projects and projects and projects. These people, by not raising their salaries in any way in this severe crisis, you condemn some of them to leave the sector at all and to no longer deal with it. And they'll be very hard to get back after that. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-23.u280	Thank you, Mr. Bikov, for the update. Here you are, Mr. Mitev, for procedure.
ParlaMint-BG_2022-02-23.u281	Dear Mr. Chairman, honourable Members, ladies and gentlemen ministers! I think we've proven today with this irrigation debate over six and a half hours that we're quite dialogueal. For the last five years, I've done a check, we're the government that's accepted the most opposition proposals, and I think you should give us credit for that.
ParlaMint-BG_2022-02-23.u282	Zero. Zero!
ParlaMint-BG_2022-02-23.u283	Eleven! You didn't check. So I would like to propose an end to the debate and move on to the next points. [[Applause from "We continue the Change", noise and lines by GERB-SDS.]]
ParlaMint-BG_2022-02-23.u284	Wait, wait, calm down! Is there a counteroffer? Here you are, Mrs. Galunova. You raised your hand first. [[(Comments from GERB-SDS:]] There are records, but let's see what the National Assembly decides. [[Noise and lines from GERB-SDS.]] The rules don't oblige us to release all the records. Here you go.
ParlaMint-BG_2022-02-23.u285	Thank you, Mr. Chairman. I'm making a reverse offer. We can't end this debate right now. [[noise and lines]] Because it's something that affects a lot of people in the industry. Culture is something that must not be ignored. I disagree with the Minister of Finance for not being able to pay for wages. We have to give money for wages because...
ParlaMint-BG_2022-02-23.u286	Mrs. Galunova, this is not a procedure anymore, it's a statement! We know what you want.
ParlaMint-BG_2022-02-23.u287	This is my motivation for making a reverse proposal not to end this debate.
ParlaMint-BG_2022-02-23.u288	We get it. Such proposals shall be put to the vote immediately. Please vote on the proposal to end the discussions under art. 1. [[Noise and lines from GERB-SDS.]] Atanas Zafirov?
ParlaMint-BG_2022-02-23.u289	Yeah.
ParlaMint-BG_2022-02-23.u290	Krum Zarkov?
ParlaMint-BG_2022-02-23.u291	Yeah.
ParlaMint-BG_2022-02-23.u292	Stefan Shilev?
ParlaMint-BG_2022-02-23.u293	That's against it.
ParlaMint-BG_2022-02-23.u294	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u295	Yeah.
ParlaMint-BG_2022-02-23.u296	They voted 205 MPs in the Chamber and 4 online " 209" total: 123 in the Chamber and 3 online " 126" total, against 81 and 1 online "82" total, abstention 1. The motion is accepted. Revoting? Here you go, Mr. Gadget. Short must be the motivation.
ParlaMint-BG_2022-02-23.u297	Yeah, it's gonna be a short motivation, because at least people who vote online are nice to be with video, not just audio, to actually see that it's not on tape. [[(Sighs:) We continue the Change.)]] There's no way to settle it. So let's, first of all, be included anyway on video, see that they are voting. That's the kind of remark you had the last few days. Apart from that, it is up to you to continue with your comments. So far, we've been walking constructively in the debate, seeing if this is going to go on like this.
ParlaMint-BG_2022-02-23.u298	They don't have to see each other by our decision. I don't think it can be on tape when I ask and someone answers, so please re-vote mode. Colleagues Online? Atanas Zafirov? Now we can see you, and we can't hear you.
ParlaMint-BG_2022-02-23.u299	Yeah.
ParlaMint-BG_2022-02-23.u300	Krum Zarkov?
ParlaMint-BG_2022-02-23.u301	Yeah.
ParlaMint-BG_2022-02-23.u302	Stefan Shilev?
ParlaMint-BG_2022-02-23.u303	That's against it.
ParlaMint-BG_2022-02-23.u304	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u305	Yeah.
ParlaMint-BG_2022-02-23.u306	They voted 208 MPs in the Chamber and 4 online.. total 212: for 127 in the Chamber and 3 online.. total 130, against 81 and 1 online.. total 82, abstention 1. With this vote, we end the discussion. I want to tell you that... [[Noise and lines from GERB-SDS.]] No, no, don't worry. There's ten of them. There's no way I'm gonna choose one over another. The rules do not oblige us, so the discussion is closed. [[Applause from "We are continuing the Change."]] But of course, each of these statements can be made on the following terms, specifically on individual terms. [[GERB-SDS noise and lines]] proposals. So, these are procedures probably? [[Noise and lines from GERB-SDS.]] On what? First Mr. Drenchev asked, I think. For procedure or for what, Mr. Drenchev? For procedure.
ParlaMint-BG_2022-02-23.u307	For procedure.
ParlaMint-BG_2022-02-23.u308	Please come in for a procedure. What procedure?
ParlaMint-BG_2022-02-23.u309	Mr. Chairman, naturally, in the manner of conduct. It is a practice in this parliament to silence the opposition, to block the debate [[noise and lines, applause from GERB-SDS]] And don't say... Now, I really don't know why we're trying so hard to get the budget over in a hurry. It is so that, in fact, all sectors that need some reasonable management of their finances will be damaged. We see the coalition standing here, staring blankly, not knowing anything about what's going on. [[(Noise, lines and shouts:]] They cut our arguments...
ParlaMint-BG_2022-02-23.u310	To me, Mr. Drenchev.
ParlaMint-BG_2022-02-23.u311	...and what will happen if the debate is interrupted right now, and the least you can do...
ParlaMint-BG_2022-02-23.u312	He's cut off already, Mr. Drenchev.
ParlaMint-BG_2022-02-23.u313	You know, what you can do is give the floor to the people who signed up. I was enrolled and I was first on the list, and Mr. Vasilev took my word away from me, coming in with some other explanation. This thing can't go on, it's simple. I haven't seen...
ParlaMint-BG_2022-02-23.u314	We get it, Mr. Danchev.
ParlaMint-BG_2022-02-23.u315	Obviously, this is my first parliament, but I've never seen anything like this on TV before, so let the other colleagues who've been here longer to say, was it ever such a miracle here? [[Applause from ARGUING.]]
ParlaMint-BG_2022-02-23.u316	It's been, Mr. Drenchev, worse. Now, you know that after every procedure in the manner of conduct and I have two minutes, but since I have not broken the procedures and regulations, still to say that Mr. Drenchev particularly should not have asked for this procedure because I gave him the floor, but he was not in the Chamber. [[Applause from "We are continuing the Change."]] So, Mr. Drenchev, you could have spoken, but let me say again that you have this opportunity in the following members to continue the discussion. Now, Mr. Bikov, also in the manner of conduct. [[Reply.]] Okay. We'll be patient. The voice of the opposition must be heard.
ParlaMint-BG_2022-02-23.u317	Dear Mr. Chairman, I am going to call on you to be very constructive in some sense. Now there will be six procedures, colleagues, we've played it out. We've been ruling, you've been opposition. Now there will be six procedures of two minutes, time will pass, there must be three four speeches more, there are people who are prepared...
ParlaMint-BG_2022-02-23.u318	There's ten of them, Mr. Bikov.
ParlaMint-BG_2022-02-23.u319	Well, we'll do 20 procedures then. What's going to happen? What's the point of that?
ParlaMint-BG_2022-02-23.u320	Well, do it if you have to.
ParlaMint-BG_2022-02-23.u321	What's the point? I'm telling you, for the first time in this Parliament, this is happening. I remember your faces when you were opposition, and I see them now. You are completely different people, my colleagues from BSP, to you I address because others were not then. You're completely different. I have a feeling you've survived September 9th. The procedure is to let people speak, we will move on. The debate is going normally right now, why do you want him off the rails? Yeah, you're gonna wait two more hours more or less, big deal. Either way, we're gonna be sitting here until Friday or as long as we have to. Let us behave constructively and continue, as it has been so far, to talk about policies, not procedures. Thank you.
ParlaMint-BG_2022-02-23.u322	Thank you, Mr. Bikov. You are also one of those who have already been able to speak. 22 MPs have spoken, if this is blocking the opposition's voice, I think it's not. After all, the debate, the discussion under art. 1 is already closed. If you want, we can keep using the time. We're getting a lot of patience here now, but then I'm gonna start taking your word if it's not in the way of conduct so we don't abuse the rules.
ParlaMint-BG_2022-02-23.u323	Thank you, Mr. Chairman. My procedure is as follows. I beg you not to abuse the Rules of Procedure. At least the Members who have signed up for speeches have proposals that want to justify it. And in this way, in which you fellow Members abuse the Rules, is at least nothing to do with the spirit of parliamentaryism. Mr. Chairman, fellow governors, please listen to the common sense, and we read the Rules, and I dare say quite successfully, and even better than you. Leave the colleagues who have signed up there of all parties enrolled, they have proposals, Mr. Chairman, which are in art. 1, so this is not even a blockage of the opposition's voice, but you are not giving a constitutionally guaranteed, MP to defend proposals made by the Rules accordingly. I am absolutely constructively making this remark to you in the manner of conduct. I think that the most legitimate thing you can do right now is not to listen to those who broadcast you above, from the ruling majority, to listen to your inner conscience and in accordance with the Rules of Procedure, to leave colleagues who have written statements on their proposals to justify them from the stands of the National Assembly. Thank you.
ParlaMint-BG_2022-02-23.u324	Thank you, Mr. Ivanov. We're strictly following the rules. There was a proposal, it was voted out, the discussion is closed. Here you are, Mr. Ananiev, first, then God's Gajev.
ParlaMint-BG_2022-02-23.u325	I've been raising my hand for 30 minutes!
ParlaMint-BG_2022-02-23.u326	Okay, before Mr. Gadget, I'll give you the floor. Here you go, Mr. Ananiev.
ParlaMint-BG_2022-02-23.u327	Dear Mr. Chairman, after the vote took place, you told the entire House that you would give the floor to the opposition. Is that right? That's right. Excuse me, colleagues, do you know, however, what it means to end the debates on art. 1? This means that when voting on art. 1 all basic indicators included in all paragraphs of Article 1 have been adopted. 1 which in practice makes no sense to look at and debate all the other members or almost all the other members of the Draft Budget. We have prepared ourselves, we have arguments, we have proposals that can help this House to make the right decision. For example, I have prepared myself for my speech, and I cannot do this right now because you are voting to end the debate. I'm sorry, but this is at least incorrect to the opposition that has always sought to be constructive. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-23.u328	Thank you, Mr. Ananiev. Before I give the floor to Mr. Nenkov, to clarify that not everything is decided by the vote on art. 1. There is a practice and a decision of the Constitutional Court, if any of the proposals on the following members are adopted, we will finally go back to art. 1 and we're going to adapt the numbers so that they match the decisions on the other terms. Nothing's been solved. Here you go, Mr. Nenkov.
ParlaMint-BG_2022-02-23.u329	Dear Mr. Chairman, honourable Members! First of all, Mr. President, I'm making a note that it was not very appropriate to play with the blocking of the voice of the opposition you made, and rather it was unnecessary. It's procedure. Indeed, Mr. Chairman, so far the debate has been very fruitful. There were serious, good speeches, there was also the Deputy Prime Minister, who also took part in these speeches, gave his arguments, and we, of course, from our point of view ours. All signed up to speak are people, colleagues who have suggestions. Not just wanting to speak on some subject, but on specific proposals. I don't know what's the rush, guys. Because if you were in such a hurry, we had to look at this budget for example in January, if you were so concerned that this budget would enter an hour soon to give a long-term predictable framework to the Bulgarian state in all sectors that depend on the adoption of this budget, and you are now in a hurry to finish. Why, colleagues, why are you doing this to yourself? It is of great importance to me that this debate continues. Leave them alone, how many eight or nine speeches are there, it's no big deal, you'll endure them. Why and in what way did you decide, Mr. Chairman? By the way, because colleagues sitting next to you, assuming they are colleagues who are first in the National Assembly, you have been part of the opposition for four years. Tell me in which case exactly this GERB as a ruling majority did it, tell me one such case? Not to mention that Mr. Minchev last week, I don't remember what topic, there was another point with the debate being terminated, and Mr. Minchev said: because they hadn't provided a list of the people who were going to speak. Well, we just put together a list, but it still doesn't work. Can you tell me which way we have to protect our proposals? Can someone please answer that question for me? [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-23.u330	Thank you, Mr. Nenkov. A procedural proposal was made to end the discussions. The House voted and I, as President, must implement this decision, as I said, under the Rules of Procedure, such a request... [[Noise and lines.]] There have been different cases, by the way. Here you go, Mr. Bojankov. After all, let's alternate groups. Everyone will speak.
ParlaMint-BG_2022-02-23.u331	Thank you, Mr. Chairman. My procedure is with you. Yes, colleagues who criticise you not only have the right to speak, to take procedures, the main tool of the opposition is to justify during the budgetary procedure its proposals, parliamentary control to put to the government and executive its issues, but we lawyers say it has the right, but there is also abuse of the right. We're talking about a classic abuse of law here. That is, parliamentary procedures are used both in the manner of conduct, if you will, and in the speeches to repeat the same in order to lose parliamentary time. But time is not wasted on the government, time is wasted on Bulgaria because, as a parliamentary meeting lasts too long, you know, no committees can be conducted during this time, there are important bills waiting to be examined in committee. When these bills are not reviewed in committee, they cannot enter the Chamber and the same people from the government will come out and ask us: what happened to your promises of reforms and changes? Well, that's what the executives are using, they're abusing the right to delay parliamentary time. Naturally, there is an answer, and it is a procedural one, of this grip, of this strategy of GERB, of Resurrection and of DPS, of the new triple opposition, and this answer is an end to the debates so that we can fulfill our commitments and work so that we do not waste time on Bulgarian citizens. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-23.u332	Thank you, Mr. Bojankov. Mr. Gazhev, that there are more of this group, and then Mr. Ibryamov. Here you go, Mr. Gadget.
ParlaMint-BG_2022-02-23.u333	Thank you, Mr. Chairman. Mr. Minister, ladies and gentlemen of the House! Perhaps you should have replied to Mr. Bojankov that none of the committee chairmen planned meetings this week. Maybe that's why there are no meetings.
ParlaMint-BG_2022-02-23.u334	There are, there are meetings.
ParlaMint-BG_2022-02-23.u335	Okay, so there's a committee that has a meeting. I have a question for you: art. 80, para. 3 of our Rules imperative, in the sense quite clear, and it is that the people's representative can justify proposals made within five minutes for each proposal. This is by the Rules of Procedure with art. 80, which regulates how the vote goes at second reading. I have made a proposal in due order, it has been submitted in writing, not in art. 79, para. 6, p. Two, and I've done it the right way. By the way, I have stated a statement before the lead sitting at the time, while Mr. Karimanski was reading the report, that is, at the very beginning. How now do you execute my rule of law? Or are you telling me that this House has violated the Rules of Procedure? Something like that happens because all those who have made proposals can protect them. There are 83 proposals under para. I've now counted them, some have been accepted, some have been rejected. Some colleagues have made several proposals, but they have been defending in one speech for five minutes. We have the right to defend these proposals of ours because they are made and they are those who are being debated. Because if you read art. 79, debates are on proposals made, not on the text of an importer. You take the right and violate the Rules with this vote. I don't know why you're putting to the vote something that would violate the Rules of Procedure? That is what I want to understand, Mr President, because at the moment you are, firstly, violating the regulations, not giving the MPs who have made proposals in due order to protect and justify them. Separately, you don't want to end the debate, and thus the House appears to be violating the Rules of Procedure. Well, that's the rule of law? [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-23.u336	Thank you, Mr. Gadget. [[Relations from the National Representative Hristo Gazhev.]] The rules have been respected, the vote has been taken. You said what you had to say. He has the word Mr. Ibryamov.
ParlaMint-BG_2022-02-23.u337	Mr. Chairman, Mr. Deputy Prime Minister, ladies and gentlemen of the House! Mr. Chairman, you are right in one thing when the MP comes out and does a proper procedure, as happened by my colleague Iskren Mitev, there was a vote and we ended the debate. So far, so good. The fact is that nowhere in the Rules does it say that there should then be a continuation of the debates, but there is another fact when we choose any of the Members of the National Assembly, that 22 people who have spoken cannot be representatives of the National Assembly, as there are 240 Members of Parliament, and you are only six people who are chairing the National Assembly. Mr. Vigenin, you are not an example, and you are of many years of experience, and even if you had observed from the hall what a face Mr. Minchev made, I would be ashamed of myself. What is the reason why you do not give an opportunity because there are of all parliamentary groups enrolled? And instead of wasting all our time here, as our colleague Bojankov says, the Bulgarian people are watching what we are doing today and not by any law under the State Budget Act. There are no committees and no other laws here. Every law is important, but the state is a fundamental law. And instead of giving colleagues the opportunity to speak on their suggestions and work to go with more speeches, but there will be no quarrel, let me put it this way, you are making the situation nervous right now. This environment will affect further debate, and if you want two days here to argue and do procedures, don't. That's what the former governors used to do. You criticized them, and today you apply exactly the same, do not give this example. Don't, because that's how you're throwing the new governors into the fire from the supposed change, but, you know, colleagues, you're going to switch because you're deluding yourself. When BSP says the DPS was in government, no, colleagues, please refer to whose parents, whose fathers and mothers, relatives were during GERB administration in the administration. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-23.u338	Thank you, Mr. Ibryamov. Mr. Ganev, come in.
ParlaMint-BG_2022-02-23.u339	It's extremely gracious of you, Mr. Vigenin, to finally see your rebirth. It is shocking your conduct not only today, given that you then gave the right to a personal explanation and to a reply...
ParlaMint-BG_2022-02-23.u340	Get to the point, Mr. Ganev.
ParlaMint-BG_2022-02-23.u341	...and I can't be surprised at what you did today's violation of the Rules of Procedure. As chairman, you had the right to stop the person concerned, who is only doing this in this Parliament, and to say that now is not the time to adopt the state budget. By the way, does Minister Vassilev honour that he answers, not just to hold the chair, to go in and explain how he sees them as politics. Given that there was, and there are points on which we in our group have not defended them, we have not justified them, and we have not said why you had every right not to give and not to allow voting on this thing. That's unacceptable. And when you hear that you are the second GERB, I am referring to your coalition and I am continuing to change, do not be surprised, because you have heard that even they have not allowed this thing. At the moment, you are taking away the right of MPs to defend their proposals. What's more important, what's the case? Go home at 10:00? No, that's not important. What are you gaining at the moment with 15, 20, 30 procedures? From our group we'll have 13 people now procedure, is that what you're gonna save as time? You won't save it. At the next point we will have 13 procedures and you will not leave, and you will stop the meetings, let us see Bozhankov's face what will save as time, because by now we would have all passed...
ParlaMint-BG_2022-02-23.u342	Please, Mr. Ganev!
ParlaMint-BG_2022-02-23.u343	I therefore call on the President of the National Assembly, instead of sitting on the sidelines, to take attitude and return the right to 10 people who are recorded, to defend their points and to continue on in the way that we have worked so far and not in this way to blow up the situation in the National Assembly. [[Applause from ARGUING.]]
ParlaMint-BG_2022-02-23.u344	Just to clarify that there is no way for the President to stop a Member of the National Assembly from doing so. The decision's been made. [[Noise and lines.]] Now Mr. Peter Petrov. Colleagues, we're driving by the book.
ParlaMint-BG_2022-02-23.u345	Dear Mr. Chairman, honourable Members! I am one of the duly recorded on the list, for which I thank my colleague Ivanov. I'm also one of those who made suggestions under art. 1, and so far patiently, since I have been in the Chamber all day, I have not been out as opposed to 85% of those looking at me at the moment, I have patiently listened to the speeches of all my fellow Members, waiting for my turn. Even twice, Mr. Chairman, I did a line. I think they were constructive. Instead, I saw how with the motion for a vote, in which the House was suddenly filled before then, we so know that there will be something of this type, right, we are not blind, to tell you that we have seen how this vote restricts the possibility that we who have made proposals and are on the list to present them. I want to ask you, Mr. Chairman, how are you going to give me a chance now? Yes, you have no obligation under the Rules of Procedure of these 10 people to allow them, but you have the right, and you can do so, even though the vote is over, so that we can present our proposals, as I believe this is important. We do not need to resort to any procedural pursuits. I would like to say that what we have done at the moment is not a procedural grip, and you are forcing us at the next point to try to avoid the speeches of the ministers, although they are not here at the moment, except for the honourable Mr. Vassilev, to make sure that we can speak at the next point. That's what you're forcing us to do now, Mr. Chairman, so I'm asking you to let these 10 people at least speak. I do not believe that these are procedural moves, as Mr. Bojankov said, because when we made the Commission's Rules, he did not make any changes in the opposite direction, claiming that such procedures would be used as pitfalls by the opposition. Then I didn't hear it. He was so quiet about it. Thank you.
ParlaMint-BG_2022-02-23.u346	Thank you, Mr. Petrov. After all, I'm in charge of the House's decision, so I can't at my own discretion... [[Reply from MP Petar Petrov.]] The House has decided, Mr. Petrov, that the debates must be terminated, and they are terminated. Mr. Marinov has been picking up for a long time, please.
ParlaMint-BG_2022-02-23.u347	Mr. Chairman, Mr. Deputy Prime Minister, ladies and gentlemen of the House! I, too, am one of those who have signed up for a speech that clearly will not be able to speak and defend our proposals. You know that GERB-SDS parliamentary group has tabled a proposal for a 15% increase in the salaries of employees of the Ministry of Interior, which I believe should support all parliamentary parties represented in this Parliament. It's clear why. Because these people actually guarantee public order and security in the country. As our proposal was to increase the revenue by 406 million. BGN, as a result of the recalculations we made, the amount became 272 million. And 400,000. lv. My speech was for this purpose to bring, Mr. Chairman, an editorial amendment to our proposal, which I will give to you...
ParlaMint-BG_2022-02-23.u348	Thank you.
ParlaMint-BG_2022-02-23.u349	...to meet the requirement and not to go back to art. 1. I believe that everyone here is convinced that this proposal must be accepted because it concerns the security of society and these employees in recent years of various crises have fulfilled their public duty as it should be carried out, and I think they have earned it. In fact, this is not an increase, it will appear as a compensation in connection with galloping inflation. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-23.u350	Thank you, Mr. Marinov. Let's alternate groups. Professor Mihailov, then we will return to GERB.
ParlaMint-BG_2022-02-23.u351	Mr. Chairman, Mr. Deputy Prime Minister, honourable Members! Allow me in this procedure, addressing you, however, to congratulate Mr. Marinov on the delicate way in which he made his proposal in the procedure, although this may be wrong from a purely procedural point of view. But I can congratulate him on the tone, I can congratulate him on the way he tried to get out of this situation. I also call all of you not only as a representative of the people, but also as a doctor, it is clear that every rule has problems in its application, and in its creation, as it is not perfect. Perfect products create only God, and one of them is man. But here I will address Mr. Ganev, who used something as an interesting expression, for which I also congratulate him. He spoke 48 hours ago about the so-called food sovereignty. Do you remember that? You remember him, Mr. Ganev. In order to maintain our mental sovereignty and not to stand here for 15 hours, Professor Gechev four years ago remember that he told you, colleagues from GERB, that the budget is adopted under another mechanism in many countries in the world. Not for 24 hours half-dead here in the hall, as was happening in 2017, 2018, 2019, 2020, and came to paradoxes. Yes, you can actually do procedures until recoil. This was done by BSP and finally forced the management of the Assembly to stop the meeting at three and a half in the morning. If we're going to go to this for abuse of law, it doesn't make any sense. Let us, as Mr. Marinov made this editorial proposal and hand it over to the chairman at the moment, if any, because indeed the rest is abuse of right and loss of mental sovereignty in each of us. To work more than 10 hours, 12 hours, 14 hours, 16 hours is not effective, it comes to blunders, it comes to need and disputes whether there is a second, whether there is a third revoting. Here in the history of this Assembly was not the first case this. You remember, who are older colleagues here in Parliament, the proposal for the monasteries, which then forced the return and was still not accepted by the majority. When it came to the Zographic Monastery, I remember it very well " 2017 versus 2018. So I ask you for tolerance to each other. A decision has been made, this in the Rules exists as a procedure, such a decision has been taken by the majority, let us find a way to move forward, not to wander away in the desire to get in a situation of Tsugzwang. Thank you, Mr. Chairman. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-23.u352	Mr. Valchev has the floor.
ParlaMint-BG_2022-02-23.u353	Dear Mr President, I object to your assumption that all the proposals that have been made and which we have not been able to defend will be able to do so further in the other articles, where the organisational budgets of the various senior officers are, because of the nine proposals in which I have been involved, in which I am an importer or an importer, four concern only art. 1 and I haven't had a chance to protect them. Only art. 1 as a technique has such suggestions. The decision of the Chamber is clear, but the Rules leave you the opportunity to decide whether or not to leave those who have signed up, at the beginning of the sitting we have signed up while Mr Karimanski was reading the Report and who we have proposals to protect. You didn't look for a reasonable solution. If you were looking for a reasonable solution, you would start to reason in this plane at least those who have made proposals can protect them, at least those who concern only and only art. 1. If you'd given me a chance, I'd probably save myself the opportunity to protect them in art. Art. 16, art. 18. I mean, I'd save extra time. If you had given me an opportunity, I would have made a technical note. I suppose the members of the Budget Committee, the Deputy Prime Minister, will confirm that we made such technical remarks and they made sense. I would have supported one of your suggestions if you had given me an opportunity. But the assumption, as I understand it, expressed by Mr. Bojankov and Mr. Mihailov, is that all the opposition speaks is a waste of time. It is a dangerous thinking syndrome that parliament, parliamentaryism is unnecessary and that we can without hearing each other's opinions without this tribune providing pluralism. Thank you.
ParlaMint-BG_2022-02-23.u354	Thank you, Mr. Valchev. Now from the DPS. Sorry, I forgot the name! [[Heckling]] Let's, uh, alternate groups after all.
ParlaMint-BG_2022-02-23.u355	Thank you, Mr. Chairman. My fellow Members, in connection with the ongoing procedures, I have a procedure not in the manner of conduct. What we accept here is very important for all Bulgarian citizens. However, the way we accept is also very important, because with our behavior we set an example of behavior in society. And what I notice as a conclusion from the work of the National Assembly, from the formation of the current coalition, is that we are doing the same thing, which makes GERB more, and the procedures we do, we do them the same way that GERB did them, only more, so what's the difference? And if you claim that you are not gaging the opposition, I am proposing to include the cameras of BNT 1 and the microphones of BNR. [[Applause from DPS.]]
ParlaMint-BG_2022-02-23.u356	Thank you. Of course, this procedural proposal must be voted on. Is there any other feedback? I can't see. I put to the vote the motion to turn on the BNT cameras... Did you say BNT 1? BNT 2 rather. [[Heckling]] One, okay. [[Heckling]] Okay, wait a minute. After all, there was a proposal for BNT 1 and BNR. Please vote regime. Colleagues who are online: Atanas Zafirov?
ParlaMint-BG_2022-02-23.u357	Abstention.
ParlaMint-BG_2022-02-23.u358	Krum Zarkov?
ParlaMint-BG_2022-02-23.u359	Abstention.
ParlaMint-BG_2022-02-23.u360	Stefan Shilev? Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u361	Abstention.
ParlaMint-BG_2022-02-23.u362	Vote 203 MPs in the House and 3 online.. total 206: for 105... [[(Reply:]] Wait, let me announce the result first and we'll do a re-vote. For 105, against 26, total abstention 75. The motion is accepted. It's a re-vote. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u363	Yeah.
ParlaMint-BG_2022-02-23.u364	Krum Zarkov?
ParlaMint-BG_2022-02-23.u365	Abstention.
ParlaMint-BG_2022-02-23.u366	Stefan Shilev?
ParlaMint-BG_2022-02-23.u367	Yeah.
ParlaMint-BG_2022-02-23.u368	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u369	Abstention.
ParlaMint-BG_2022-02-23.u370	They voted 216 MPs in the Chamber and 4 online " 220" total: 109 in the Chamber and 2 online "111," against 20, abstention 89. [[Applause from DPS and GERB-SDS.]] That's how the offer is accepted. Please turn on the cameras. Here you go, Mr. Ananiev.
ParlaMint-BG_2022-02-23.u371	Dear Mr. Chairman, I would like a 30-minute recess on behalf of the parliamentary group. Thank you.
ParlaMint-BG_2022-02-23.u372	I'm taking 30 minutes off. [[After the break.]]
ParlaMint-BG_2022-02-23.u373	I'd like the Quaestors to invite my colleagues to the Chamber. Let's get back to work. [[National Representative Kostadin Kostadinov wants the floor for declaration.]] Mr. Hristov asked for the floor. [[Heckling]] Here you go, Mr. Christov.
ParlaMint-BG_2022-02-23.u374	Thank you, Mr. Chairman. Mr. Chairman, Mr. Deputy Prime Minister, ladies and gentlemen of the House! I really do not understand why it was not given an hour to MEPs from different parliamentary groups to justify their proposals, provided that the law entered into force from 1 April. Over the years, there has been a vote and work late, as a BSP colleague said, but budgets were adopted before the New Year, usually before Christmas holidays, and from this point of view was in a hurry to be completed in time because the budget entered from January 1st. Now, given that it has entered since 1 April, I do not see what the problem was to allow these colleagues to speak. Dear colleagues, especially those who are younger in this House, new things, innovation is very important, but tradition is also very important. I will tell you that the absolute imposition of the will of the majority over the minority is just as undemocratic as the imposition of the will of the minority over the majority if we are Democrats. I think we are. There are formations here, which, and not a small part, contain in their abbreviation. Yes, you have the right to a majority to decide what happens, but the opposition is good to be heard, because the policies that you will apply through the budget are the privilege of those who manage. And those in opposition must explain their differences. We're different as ideologies. If we didn't have these differences, we'd be a political formation. Allow the right formation GERB-SDS, the patriotic formation of rebirth and the liberal formation to say their views on the budget because they need to express their differences for this budget. Thank you. [[Applause from GERB-SDS and AGE.]]
ParlaMint-BG_2022-02-23.u375	Thank you, Mr. Christov. Sincere Mitev for procedure. Mr. Kostadinov, then I will give you the floor for a declaration on behalf of a parliamentary group. Here you go, Mr. Mitev.
